zts1e	新手冒險家學習課程
zts814e	到黑森林的樵夫小屋尋找傑特
zts815e	超生化魔物來襲
zts816e	光之聖戰士
zts817e	尋找青魔法師的遺物
zts818e	委託雪滋 羅濱蒂修復
zts819e	傳達青魔法師的遺物
zts820e	將日記恢復原狀
zts821e	去尋找青魔法師的過去
zts822e	說一說在時空之石發生的事情
zts823e	尋找破壞者的遺物
zts824e	去找特殊漂白劑的材料
zts825e	交付特殊漂白劑
zts826e	交付破壞者的遺物
zts827e	支付所被要求的金額
zts828e	了解破壞者的過去
zts829e	說一說在時空之石發生的事情
zts830e	去尋找十字軍鬥士的遺物
zts831e	去尋找聖光水瓶
zts832e	交付聖光水瓶
zts833e	交付十字軍鬥士的遺物
zts834e	尋找保險箱
zts835e	尋找鑰匙
zts836e	交付保險箱與鑰匙
zts837e	了解十字軍鬥士的過去
zts838e	去打敗煉獄公爵 "亞奇納德"
zts839e	傳達打敗了亞奇納德的消息
zts840e	使用向傑力寇收到的第一個關卡時空之石, 挑戰第一個關卡
zts841e	使用第二個關卡時空之石, 挑戰第一個關卡
zts842e	使用第三個關卡時空之石, 挑戰最後關卡
zts843e	闇黑復仇者
zts844e	了解一下對於記憶的雕刻的事情.
zts845e	尋找有關記憶的雕刻的物品.
zts846e	傳達交付一些有關記憶雕刻的物品.
zts847e	傳達交付記憶的雕刻.
zts848e	透過過去的種種事情來尋找線索.
zts849e	支付所要求的金額.
zts850e	收集教士長矛所需的材料
zts851e	傳達交付尚未完成的教士長矛.
zts852e	完成教士長矛.
zts853e	傳達交付教士長矛.
zts854e	擊退依波卡魯
zts855e	霜雪冰冠
zts856e	聽聽艾美專櫃的要求
zts857e	幫艾美專櫃傳送信件
zts858e	幫琛姆治 布朗傳送信件
zts859e	到港口看看吧
zts860e	回到琛姆治 布朗那裡
zts861e	回到蕾妮卡特斯在的地方
zts862e	尋找艾美專櫃
zts863e	告知已經準備好開始冒險
zts864e	詢問要做的事情
zts865e	傳達介紹書
zts866e	去見大魔法師佩爾羅
zts867e	回到路迪哈德所在的地方
zts868e	蒐集情報
zts869e	傳達航海日誌
zts870e	蒐集追加情報
zts871e	傳達追加情報
zts872e	傳達已蒐集好的情報
zts873e	蒐集追加情報
zts874e	打聽聯絡書
zts875e	傳達莫路卡的魔法書
zts876e	詢問關於拉泰歐爾的蛋
zts877e	請收集質感差的木材40個
zts878e	在曙光平原移動到翻滾斷層的井水前
zts879e	在紀錄挑戰模式挑戰時空之石，並且得到高分!
zts880e	探查研究所
zts881e	古代靈魂的引導
zts882e	請完成時空之石
zts883e	聖誕老人的委託
zts884e	獵殺怪物來保護小朋友吧！
zts885e	向聖誕老人報告
zts933e	阻止摩里塔茲港口被襲擊
zts934e	摩里塔茲港口守衛圖穆提出請求，必須調查襲擊港口的原因。
zts935e	阻止摩里塔茲港口被襲擊
zts936e	摩里塔茲港口守衛圖穆說，如果消滅怪物，應該可以找到某些證據。
zts937e	摩里塔茲港口守衛圖穆，要求消滅沙漠盜賊團的工作員之後，將仙人掌果實布袋帶來。
zts938e	摩里塔茲港口守衛圖穆，要求將信交給躲在尼爾的野營地周邊的助手賓。
zts939e	在尼爾的野營地周邊的助手賓，要求掃蕩在尼爾野營地的沙漠盜賊團。
zts940e	在尼爾的野營地周邊的助手賓，要求把從尼爾野營地的部隊長尼爾手中取得的東西，交給在摩里塔茲沙漠港口守衛圖穆。
zts941e	港口周圍很奇怪…
zts942e	摩里塔茲港口的燈塔守衛 奇爾頓，要求你去找尼爾的野營地周邊的助手賓，並聽從他的指示。
zts943e	尼爾的野營地周邊的助手賓，要求消滅周圍的沙漠盜賊團偵察兵。
zts944e	在尼爾的野營地周邊的助手賓要求襲擊尼爾野營地，消滅沙漠盜賊團。
zts945e	助手賓要求打倒尼爾野營地的部隊長尼爾之後，將高級偵查報告書帶來。
zts946e	在尼爾的野營地周邊的助手賓要求將高級偵查報告書交給燈塔守衛 奇爾頓。
zts947e	燈塔守衛 奇爾頓要求將高級偵查報告書，交給阿卡穆里商團野營地的總行首哈瑪特‧阿卡瑪。
zts948e	死守摩里塔茲港口
zts949e	摩里塔茲港口守衛圖穆，要求你去找在尼爾的野營地周邊的助手賓，聽從他的指示。
zts950e	尼爾的野營地周邊的助手賓要求從沙漠盜賊團手中奪回仙人掌果實布袋。
zts951e	尼爾的野營地周邊的助手賓要求將混有香料的仙人掌果實布袋灑在尼爾野營地。
zts952e	尼爾的野營地周邊的助手賓要求從尼爾野營地的部隊長崗哨帶回指令卷軸。
zts953e	尼爾的野營地周邊的助手賓要求將偽造的指令卷軸放置在尼爾野營地。
zts954e	死守摩里塔茲港口
zts955e	尼爾的野營地周邊的助手賓要求轉達給摩里塔茲港口守衛圖穆。
zts956e	糊塗卻珍貴的助手
zts957e	摩里塔茲港口守衛圖穆要求援救在尼爾野營地的助手夏恩。
zts958e	尼爾野營地的助手夏恩說為了解開腳銬，需要從沙漠盜賊團鑰匙守衛身上取得沙漠盜賊團的鑰匙。
zts959e	尼爾野營地的助手夏恩說為了解開腳銬，需要沙漠盜賊團鑰匙守衛的沙漠盜賊團鑰匙。
zts960e	尼爾野營地的助手夏恩為了確保逃亡路線，要求打倒沙漠盜賊團。
zts961e	收回初級交易物品
zts962e	燈塔鑰匙守衛湯姆要求在沙漠港口周圍找回商團交易物品。
zts963e	收回中級交易物品
zts964e	摩里塔茲港口的燈塔守衛 奇爾頓要求找回尼爾的野營地周邊的商團交易物品，並交給助手賓。
zts965e	收回高級交易物品
zts966e	尼爾的野營地周邊的助手賓，要求從尼爾的野營地周邊的沙漠盜賊團手中找回商團交易物品後，交給在摩里塔茲港口守衛圖穆。
zts967e	奪取初級交易物品
zts968e	摩里塔茲港口的燈塔守衛 奇爾頓要求消滅港口周圍的怪物，帶回商團交易物品。
zts969e	奪取中級交易物品
zts970e	摩里塔茲港口的燈塔守衛 奇爾頓，要求從尼爾的野營地周邊的沙漠盜賊團手中找回商團交易物品，再交給助手賓。
zts971e	奪取高級交易物品
zts972e	尼爾的野營地周邊的助手賓，要求從尼爾野營地的沙漠盜賊團手中找回商團交易物品，交給摩里塔茲港口的燈塔守衛 奇爾頓。
zts973e	尋找被奪走的阿卡穆里商團的交易物品。
zts974e	在阿卡穆里商團野營地的總行首哈瑪特‧阿卡瑪要求聽從副行首修米海伊茲的指示。
zts975e	在阿卡穆里商團野營地的副行首修米海伊茲要求消滅商團野營地東部與野營地西部的怪物，收回商團交易物品。
zts976e	在阿卡穆里商團野營地的副行首修米海伊茲要求消滅商團野營地西部的沙漠盜賊團，收回商團交易物品。
zts977e	尋找被奪走的阿卡穆里商團的交易物品。
zts978e	在阿卡穆里商團野營地的修米海伊茲要求尋找丟失的阿卡穆里商團旗幟。
zts979e	在阿卡穆里商團野營地的修米海伊茲要求收回在凱路斯野營地的商團交易物品。
zts980e	在阿卡穆里商團野營地的修米海伊茲要求將報告書交給哈瑪特‧阿卡瑪。
zts981e	開啟商團野營地之路
zts982e	阿卡穆里商團的修米海伊茲為了開啟港口和商團野營地之間的道路，要求消滅商團野營地東部的怪物。
zts983e	阿卡穆里商團的修米海伊茲為了開啟商團野營地和沙漠飛鷹城之間的道路，要求消滅商團野營地西部的怪物。
zts984e	阿卡穆里商團的修米海伊茲為了開啟港口和商團野營地之間的道路，要求消滅在麥爾奇的野營周邊的怪物。
zts985e	阿卡穆里商團野營地的修米海伊茲為了開啟商團野營地和沙漠飛鷹城之間的道路，要求消滅在凱路斯野營地周邊的怪物。
zts986e	阿卡穆里商團野營地的修米海伊茲要求將報告書交給哈瑪特‧阿卡瑪。
zts987e	與沙漠盜賊團的協商
zts988e	阿卡穆里商團野營地的哈瑪特‧阿卡瑪拜託與沙漠盜賊團的代理人進行協商。修米海伊茲會給予協商相關的準備。
zts989e	阿卡穆里商團野營地的修米海伊茲要求將他準備的文件交給在凱路斯野營地的代理人姆路沙。
zts990e	在凱路斯野營地的代理人姆路沙命令沙漠盜賊團攻擊冒險家。
zts991e	在凱路斯野營地的代理人姆路沙命令部隊長凱路斯攻擊冒險家。
zts992e	在麥爾奇的野營的代理人姆路沙表示已經了解阿卡穆里商團的意思，要求將密令交給阿卡穆里商團的負責人。
zts993e	在阿卡穆里商團野營地的修米海伊茲要求將他準備的信交給哈瑪特‧阿卡瑪。
zts994e	商團俘虜救援作戰
zts995e	必須將第2階段行動通知書交給修米海伊茲。
zts996e	阿卡穆里商團野營地的修米海伊茲要求襲擊拘禁商團俘虜的麥爾奇的野營，消滅沙漠盜賊團之後，與商團俘虜護瑪特對話。
zts997e	在麥爾奇的野營的商團俘虜護瑪特要求擊倒沙漠盜賊團鑰匙守衛之後，將鑰匙守衛的鑰匙帶來。
zts998e	在麥爾奇的野營的商團俘虜護瑪特為了確保逃亡路線，要求消滅沙漠盜賊團。確保逃亡路線之後，必須與修米海伊茲對話。
zts999e	阿卡穆里商團的修米海伊茲要求將俘虜相關的報告書交給哈瑪特‧阿卡瑪。
zts1000e	前往麥爾奇的野營
zts1001e	阿卡穆里商團野營地的修米海伊茲要求消滅在商團野營地東部的怪物。
zts1002e	阿卡穆里商團野營地的修米海伊茲要求消滅麥爾奇的野營周邊的怪物和沙漠盜賊團。
zts1003e	阿卡穆里商團野營地的修米海伊茲要求消滅在麥爾奇的野營的沙漠盜賊團和部隊長麥爾奇。
zts1004e	阿卡穆里商團野營地的修米海伊茲要求將報告書交給阿卡穆里商團的總行首哈瑪特‧阿卡瑪。
zts1005e	前往凱路斯野營地
zts1006e	阿卡穆里商團野營地的修米海伊茲要求消滅在商團野營地西部的怪物。
zts1007e	阿卡穆里商團野營地的修米海伊茲要求消滅在凱路斯野營地周邊的怪物和沙漠盜賊團。
zts1008e	阿卡穆里商團野營地的修米海伊茲要求消滅在凱路斯野營地的沙漠盜賊團和部隊長麥爾奇。
zts1009e	沙漠盜賊團覬覦的是什麼？
zts1010e	阿卡瑪商團本店的總團長尼比阿卡瑪要求你聽從代理人塞米亞‧貝爾頓的指示。
zts1011e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求從凱路斯野營地的部隊長凱路斯手中取得緊急指令書。
zts1012e	代理人塞米亞‧貝爾頓要求幫助派往卡頓的野營地周邊的警衛兵普特蘭，消滅沙漠盜賊團。執行作戰之後，聽從警衛兵普特蘭的指示。
zts1013e	在卡頓的野營地周邊的警衛兵普特蘭要求消滅沙漠盜賊團。
zts1014e	警衛兵普特蘭要求潛入卡頓的野營地，觀察沙漠盜賊團的動向。
zts1015e	警衛兵普特蘭要求消滅在卡頓的野營地的部隊長卡頓之後，將他的緊急指令書B帶來。
zts1016e	在卡頓的野營地周邊的警衛兵普特蘭要求將緊急指令書Ｂ交給在阿卡瑪商團本店的代理人塞米亞‧貝爾頓。
zts1017e	在阿卡瑪商團本店的塞米亞‧貝爾頓要求將緊急指令書卷軸，與阿卡穆里商團委託費袋子交給在無法地帶的卡瑪歸‧莫皮。
zts1018e	在阿卡瑪商團本店的塞米亞‧貝爾頓要求將報告書交給總團長尼比阿卡瑪。
zts1019e	與沙漠盜賊團最後的交涉
zts1020e	阿卡瑪商團本店的塞米亞‧貝爾頓要求說服在無法地帶的劍客貝爾門之後，尋找與沙漠盜賊團交涉的方法。
zts1021e	無法地帶的劍客貝爾門要求將貝爾門的封印之信交給在沙漠盜賊團 巢穴的代理人盧夏爾第。
zts1022e	沙漠盜賊團 巢穴的代理人盧夏爾第要求消滅偷聽他密談內容的沙漠盜賊團。
zts1023e	在沙漠盜賊團 巢穴的代理人盧夏爾第要求收集周圍異常的弱兵。
zts1024e	在沙漠盜賊團 巢穴的代理人盧夏爾第要求從目前所在的沙漠盜賊團 巢穴脫逃之後，確保逃亡路線能通往無法地帶。
zts1025e	在沙漠盜賊團 巢穴的代理人盧夏爾第要求將寫有目前沙漠盜賊團情況的盧夏爾第之密令交給阿卡穆里商團的重要人物。
zts1026e	在阿卡瑪商團本店的塞米亞‧貝爾頓要求將報告書交給總團長尼比阿卡瑪。
zts1027e	知己知彼
zts1028e	在阿卡瑪商團本店的尼比阿卡瑪要求將'寄給代理人的信-從總行首開始'交給代理人塞米亞‧貝爾頓。
zts1029e	在阿卡瑪商團本店的塞米亞‧貝爾頓要求將'作戰名稱：知己知彼'傳達給在無法地帶的劍客貝爾門。
zts1030e	在無法地帶的劍客貝爾門要求消滅在凱路斯野營地的沙漠盜賊團和部隊長凱路斯。另外還要求調查凱路斯野營地的奇特箱子。
zts1031e	必須將沙漠盜賊團組織圖交給在無法地帶的劍客貝爾門。
zts1032e	無法地帶的劍客貝爾門要求消滅在卡頓的野營地的沙漠盜賊團和部隊長卡頓之後，調查卡頓的奇特箱子。
zts1033e	在卡頓的野營地的奇特箱子發現了沙漠盜賊團的組織圖。必須交給在無法地帶的劍客貝爾門。
zts1034e	在無法地帶的劍客貝爾門要求詢問卡瑪歸‧莫皮，以取得沙漠盜賊團組織圖相關的指點。
zts1035e	必須帶著完成的沙漠盜賊團組織圖，交給在阿卡瑪商團本店的代理人塞米亞‧貝爾頓。
zts1036e	與沙漠盜賊團的全面戰
zts1037e	阿卡瑪商團本店的總團長尼比阿卡瑪要求將沙漠盜賊團巢穴討伐命令書交給塞米亞‧貝爾頓之後，聽從她的指示。
zts1038e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求討伐在沙漠盜賊團 巢穴的沙漠盜賊團。
zts1039e	在阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求將沙漠盜賊團 巢穴的討伐報告書交給總團長尼比阿卡瑪。
zts1040e	追蹤重要的商團交易物品
zts1041e	阿卡瑪商團本店的總團長尼比阿卡瑪要求將"商團交易物品追蹤報告書-從總行首開始"轉達給代理人塞米亞‧貝爾頓。
zts1042e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求必須根據獲得的情報，從凱路斯野營地某處的箱子中尋找亞斯特聖殿遺物的上半部碎片。
zts1043e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求從卡頓的野營地某處的箱子中尋找亞斯特聖殿遺物的下半部碎片。
zts1044e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求從沙漠盜賊團 巢穴某處的箱子中尋找亞斯特聖殿遺物中間的碎片。
zts1045e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓要求將亞斯特聖殿遺物交給亞斯特聖殿的大祭司 艾爾拉第安。
zts1046e	沙漠盜賊團 巢穴內的商團俘虜救援作戰
zts1047e	必須帶著寫有救援內容的紙條，尋找在沙漠盜賊團 巢穴某處的商團俘虜隆姆艾爾。
zts1048e	在沙漠盜賊團 巢穴的商團俘虜隆姆艾爾要求尋找沙漠盜賊團內的盜賊團巢穴鑰匙之後，解開鎖鏈。
zts1049e	在沙漠盜賊團 巢穴的商團俘虜隆姆艾爾要求確保他的逃亡路線安全。這項任務完成之後，必須向阿卡瑪商團本店的塞米亞‧貝爾頓報告。
zts1050e	可疑的遺物碎片
zts1051e	必須將破碎的遺物碎片交給在沙漠飛鷹城的塞米亞‧貝爾頓。
zts1052e	在阿卡瑪商團本店的塞米亞‧貝爾頓要求將裝有破碎遺物碎片的袋子交給尼比阿卡瑪。
zts1053e	亞斯特聖殿地下聖堂的幽靈？
zts1054e	亞斯特聖殿的大祭司 艾爾拉第安要求去見祭司 派拉，聽從她的指示。
zts1055e	祭司 派拉要求調查位於亞斯特聖殿地下聖堂的書庫。
zts1056e	祭司 派拉要求調查位於亞斯特聖殿地下聖堂的骨灰堂 。
zts1057e	祭司 派拉要求調查位於亞斯特聖殿地下聖堂的禮拜堂。
zts1058e	必須調查中央聖堂。應該可以找到亞斯特聖殿地下聖堂發生之事件的重大線索。
zts1059e	亞斯特聖殿的祭司 派拉要求將報告書交給大祭司 艾爾拉第安。
zts1060e	亞斯特聖殿地下聖堂的混亂
zts1061e	祭司 派拉要求消滅在亞斯特聖殿地下聖堂書庫的幽靈之後，將靈魂的淨水帶來。
zts1062e	祭司 派拉要求消滅在亞斯特聖殿地下聖堂骨灰堂 內的幽靈之後，將靈魂的淨水帶來。
zts1063e	祭司 派拉要求消滅在亞斯特聖殿地下聖堂禮拜堂內的幽靈之後，將靈魂的淨水帶來。
zts1064e	祭司 派拉要求消滅在亞斯特聖殿地下聖堂中央聖堂內的幽靈之後，將靈魂的淨水帶來。
zts1065e	祭司 派拉要求將裝有靈魂的淨水之魔法袋子交給大祭司 艾爾拉第安。
zts1066e	讓可憐的靈魂安息
zts1067e	亞斯特聖殿的大祭司 艾爾拉第安要求前往阿卡瑪商團本店，確認之前委託的訂購清單。
zts1068e	阿卡瑪商團本店的尼比阿卡瑪表示代理人塞米亞‧貝爾頓已正在調查亞斯特聖殿訂購清單的目錄。
zts1069e	阿卡瑪商團本店的塞米亞‧貝爾頓告知記載於訂購清單的物品在卡頓的野營地。
zts1070e	阿卡瑪商團本店的塞米亞‧貝爾頓要求將裝有香爐的盒子交給大祭司 艾爾拉第安。
zts1071e	亞斯特聖殿的大祭司 艾爾拉第安要求帶著裝有太陽神祝福的香爐，尋找在亞斯特聖殿某處的祭司靈魂，給予追思。
zts1072e	在亞斯特聖殿地下聖堂的祭司諾拉要求將香使用在死於書庫中的祭司屍體上。
zts1073e	在亞斯特聖殿地下聖堂的祭司諾拉要求將香使用在死於骨灰堂 中的祭司屍體上。
zts1074e	在亞斯特聖殿地下聖堂的祭司諾拉要求將香使用在死於禮拜堂中的祭司屍體上。
zts1075e	在亞斯特聖殿地下聖堂的祭司諾拉要求將香使用在死於禮拜堂中的尋寶隊屍體上。
zts1076e	祭司諾拉要求將亡者之信交給能解讀的人。
zts1077e	必須將已解讀的亡者之信交給大祭司 艾爾拉第安。他也許會告訴你有關信的內容。
zts1078e	破碎的遺物與線索
zts1079e	必須將破碎的克萊尼卡斯遺物交給大祭司 艾爾拉第安。
zts1080e	亞斯特聖殿的大祭司 艾爾拉第安要求在亞斯特聖殿的地下聖堂尋找克萊尼卡斯的遺物碎片，之後交給祭司 派拉。
zts1081e	亞斯特聖殿的祭司 派拉要求在亞斯特聖殿的地下聖堂骨灰堂 ，尋找克萊尼卡斯的遺物碎片。
zts1082e	亞斯特聖殿的祭司 派拉要求在亞斯特聖殿的地下聖堂禮拜堂，尋找克萊尼卡斯的遺物碎片。
zts1083e	亞斯特聖殿的祭司 派拉要求在地下聖堂的中央聖堂尋找克萊尼卡斯的遺物碎片。
zts1084e	失蹤的調查隊員
zts1085e	在尋寶隊本部的利亞‧阿卡瑪要求尋找消失的調查隊員。
zts1086e	在尋寶隊本部的希林‧海伊茲要求從卡頓的野營地的沙漠盜賊團中尋找被遺忘的聖殿報告書。
zts1087e	在尋寶隊本部的希林‧海伊茲要求從被遺忘的聖殿要道的沙漠盜賊團手中取得被遺忘的聖殿報告書之後，尋找在被遺忘的聖殿的調查隊員。
zts1088e	在被遺忘的聖殿的米克爾‧拉本茲要求爭取時間來治療調查隊員的傷。
zts1089e	在被遺忘的聖殿的米克爾‧拉本茲要求收回被怪物奪走的太陽神書板碎片。
zts1090e	在被遺忘的聖殿的米克爾‧拉本茲要求將這段時間所調查的東西交給在尋寶隊本部的希林‧海伊茲。
zts1091e	在尋寶隊本部的希林‧海伊茲要求將米可的報告書交給利亞‧阿卡瑪。
zts1092e	調查被遺忘的聖殿
zts1093e	在被遺忘的聖殿的米克爾‧拉本茲想要調查周邊地區，要求消滅怪物。
zts1094e	在被遺忘的聖殿的米克爾‧拉本茲想要調查周邊地區，要求消滅怪物。
zts1095e	在被遺忘的聖殿的米克爾‧拉本茲想要調查周邊地區，要求消滅在特定地區C的怪物。
zts1096e	在被遺忘的聖殿的米克爾‧拉本茲要求尋找其他調查員丟失的被遺忘的聖殿之新增報告書。
zts1097e	在被遺忘的聖殿的米克爾‧拉本茲要求將這段時間所製作的被遺忘的聖殿調查報告書交給在尋寶隊本部的收件人希林‧海伊茲。
zts1098e	在尋寶隊本部的收件人希林‧海伊茲要求將他自己製作的超簡易調查報告書交給利亞‧阿卡瑪。
zts1099e	被遺忘的聖殿遺跡之來歷
zts1100e	被遺忘的聖殿的米克爾‧拉本茲要求將第1塊書板帶來。
zts1101e	被遺忘的聖殿的米克爾‧拉本茲要求將第2塊書板帶來。
zts1102e	被遺忘的聖殿的米克爾‧拉本茲要求將第3塊書板帶來。
zts1103e	在被遺忘的聖殿的米克爾‧拉本茲要求從怪物那裡尋找破碎的書板。
zts1104e	被遺忘的聖殿的米克爾‧拉本茲要求將書板盒子交給在尋寶隊本部的收件人希林‧海伊茲。
zts1105e	在尋寶隊本部的希林‧海伊茲要求將莉亞專用的超簡易分析書交給利亞‧阿卡瑪。
zts1106e	拉希特聖殿的守護者
zts1107e	在被遺忘的聖殿的米克爾‧拉本茲想要調查拉希特聖殿地下聖堂，要求消滅書庫的怪物。
zts1108e	在被遺忘的聖殿的米克爾‧拉本茲想要調查拉希特聖殿地下聖堂，要求消滅骨灰堂 的怪物。
zts1109e	在被遺忘的聖殿的米克爾‧拉本茲想要調查拉希特聖殿地下聖堂，要求消滅禮拜堂的怪物。
zts1110e	在被遺忘的聖殿的米克爾‧拉本茲想要調查拉希特聖殿地下聖堂，要求消滅地下聖堂的怪物。
zts1111e	在被遺忘的聖殿的米克爾‧拉本茲要求將他製作的關於拉希特聖殿守護者的報告書交給在尋寶隊本部的希林‧海伊茲。
zts1112e	在尋寶隊本部的希林‧海伊茲，要求將「拉希特聖殿的守護者：簡易報告書」交給利亞‧阿卡瑪。
zts1113e	拉希特聖殿的遺物
zts1114e	被遺忘的聖殿的米克爾‧拉本茲要求尋找分散在拉希特聖殿地下聖堂破碎的遺物碎片。最好能調查書庫。
zts1115e	被遺忘的聖殿的米克爾‧拉本茲要求尋找分散在拉希特聖殿地下聖堂中破碎的遺物碎片。最好能調查骨灰堂 。
zts1116e	被遺忘的聖殿的米克爾‧拉本茲要求尋找分散在拉希特聖殿地下聖堂中破碎的遺物碎片。最好能調查禮拜堂。
zts1117e	被遺忘的聖殿的米克爾‧拉本茲要求尋找分散在拉希特聖殿地下聖堂中破碎的遺物碎片。最好能調查中央聖堂。
zts1118e	被遺忘的聖殿的米克爾‧拉本茲要求將裝有拉希特聖殿遺物殘骸的袋子交給在尋寶隊本部的收件人希林‧海伊茲。
zts1119e	尋寶隊本部的收件人希林‧海伊茲要求，將「拉希特聖殿的遺物：簡易報告書」交給利亞‧阿卡瑪。
zts1120e	拉希特聖殿的秘密
zts1121e	被遺忘的聖殿的米克爾‧拉本茲要求尋找在拉希特聖殿地下聖堂內破碎的書板A。最好從離入口最近的書庫開始調查。
zts1122e	被遺忘的聖殿的米克爾‧拉本茲要求尋找在拉希特聖殿地下聖堂內破碎的書板B。這次最好調查骨灰堂 。
zts1123e	被遺忘的聖殿的米克爾‧拉本茲要求尋找在拉希特聖殿地下聖堂內破碎的書板C。這次最好調查禮拜堂。
zts1124e	被遺忘的聖殿的米克爾‧拉本茲要求尋找在拉希特聖殿地下聖堂內破碎的書板D。這次最好調查中央聖堂。
zts1125e	被遺忘的聖殿的米克爾‧拉本茲要求將調查員的背包交給在尋寶隊本部的收件人希林‧海伊茲。
zts1126e	在尋寶隊本部的希林‧海伊茲，要求將自己製作的「拉希特聖殿的失蹤者：簡易報告書」交給利亞‧阿卡瑪。
zts1127e	名叫卡瑪歸‧莫皮的男子
zts1128e	無法地帶的卡瑪歸‧莫皮表示酒錢不夠，拜託向熟識的劍客貝爾門借錢並帶過來。
zts1129e	無法地帶的劍客貝爾門要求取得能治癒卡瑪歸‧莫皮憂鬱症的魔法材料。必須取得沙精靈之淨水。
zts1130e	無法地帶的劍客貝爾門要求取得能治癒卡瑪歸‧莫皮憂鬱症的魔法材料。必須取得風精靈之淨水。
zts1131e	無法地帶的劍客貝爾門要求取得能治癒卡瑪歸‧莫皮憂鬱症的魔法材料。要求取得在卡頓的野營地的蘭姆酒和妖精之夢粉。
zts1132e	無法地帶的劍客貝爾門提供了袋子，要求前往亞斯特聖殿拜託大祭司 艾爾拉第安製作憂鬱症解藥。
zts1133e	亞斯特聖殿的大祭司 艾爾拉第安要求將特別的蘭姆酒交給阿卡穆里商團的代理人塞米亞‧貝爾頓，她會包裝成普通的蘭姆酒。
zts1134e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓提供了重新包裝過的蘭姆酒。這個應該可以治癒卡瑪歸‧莫皮的憂鬱症。
zts1135e	無法地帶的卡瑪歸‧莫皮睡著了。必須將卡瑪歸‧莫皮睡著的事告訴劍客貝爾門。
zts1136e	寄給沙漠盜賊團頭目的信
zts1137e	寄給沙漠盜賊團頭目的信好像分成碎片了。找到碎片的話，必須向阿卡瑪商團本店的代理人塞米亞‧貝爾頓詢問看看。
zts1138e	阿卡瑪商團本店的代理人塞米亞‧貝爾頓以提供情報作為代價，要求消滅在迪斯丘陵的怪物。之後必須尋找無法地帶的貝爾門。
zts1139e	無法地帶的劍客貝爾門要求幫助他所率領的無法地帶的警衛隊。
zts1140e	無法地帶的劍客貝爾門說想要獲得需要的情報，就去找卡瑪歸‧莫皮問問看。
zts1141e	無法地帶的卡瑪歸‧莫皮說那封信是寄給他的沒錯。但是他沒有興趣，因此要求去與劍客貝爾門蒙商議。
zts1142e	沙漠盜賊團的手段
zts1143e	無法地帶的卡瑪歸‧莫皮說沒有錢喝酒了，因此要求劍客貝爾門去找酒給他。雖然很無奈，但是幫忙一下也沒什麼不好。
zts1144e	無法地帶的劍客貝爾門要求協助無法地帶守衛隊的任務。
zts1145e	無法地帶的劍客貝爾門要求從沙漠盜賊團 巢穴的代理人盧夏爾第那裡打聽沙漠盜賊團的情況。
zts1146e	沙漠盜賊團 巢穴的代理人盧夏爾第要求消滅沙漠盜賊團 巢穴的沙漠盜賊團。
zts1147e	沙漠盜賊團 巢穴的代理人盧夏爾第要求尋找在舊亞斯特聖殿地下的翻譯比爾利。
zts1148e	在舊亞斯特聖殿地下的翻譯比爾利要求消滅在周圍監視他的沙漠盜賊團。
zts1149e	在舊亞斯特聖殿地下的翻譯比爾利想要讓沙漠盜賊團的指揮體制產生混亂，要求消滅部隊長嘯嵐和部隊長塞伊。
zts1150e	在舊亞斯特聖殿地下的翻譯比爾利要求將沙漠盜賊團頭目的印章交給劍客貝爾門。
zts1151e	無法地帶的劍客貝爾門說必須把沙漠盜賊團頭目的印章還給原來的主人。他手指的地方就是卡瑪歸‧莫皮所在之處。
zts1152e	挺身而出保衛的時刻到了。
zts1153e	無法地帶的劍客貝爾門要求消滅在無法地帶鄰近地區和迪斯丘陵的怪物。
zts1154e	無法地帶的劍客貝爾門要求消滅在無法地帶和凱路斯野營地的沙漠盜賊團。
zts1155e	無法地帶的劍客貝爾門要求消滅卡頓的野營地的沙漠盜賊團。
zts1156e	沙漠盜賊團的分裂
zts1157e	在舊亞斯特聖殿的地下發現了旅行者的日誌。必須尋找了解此事的人。翻譯比爾利也許會知道。
zts1158e	舊亞斯特聖殿地下的翻譯比爾利要求從沙漠盜賊團 巢穴的特定地區取得精靈粉末。首先必須尋找精靈的皮革袋子。
zts1159e	舊亞斯特聖殿地下的翻譯比爾利要求從周圍的沙漠盜賊團取得奇特的袋子。
zts1160e	舊亞斯特聖殿地下的翻譯比爾利要求將比利的奇特盒子，交給在沙漠盜賊團 巢穴的代理人盧夏爾第。
zts1161e	沙漠盜賊團 巢穴的代理人盧夏爾第要求將比利的奇特盒子和他的信交給他的朋友。朋友就在無法地帶。
zts1162e	無法地帶的代理人盧夏爾第要求將他的信交給卡瑪歸‧莫皮。
zts1163e	事出必有因
zts1164e	要求調查沙漠盜賊團 巢穴的西南方。要求消滅妨礙調查的沙漠盜賊團。
zts1165e	要求調查沙漠盜賊團 巢穴的西南方。要求消滅妨礙調查的沙漠盜賊團。
zts1166e	要求調查沙漠盜賊團 巢穴的東部。要求消滅妨礙調查的沙漠盜賊團。
