zts1e	新物品
zts2040e	休閒服（女）2
zts2041e	休閒服（男）3
zts2042e	休閒服（女）3
zts2043e	休閒服（男）4
zts2044e	休閒服（女）4
zts2045e	休閒服（男）5
zts2046e	休閒服（女）5
zts2047e	休閒服（男）6
zts2048e	休閒服（女）6
zts2049e	賀歲老鼠帽
zts2050e	可愛的老鼠型帽子，陪你渡佳節。
zts2051e	大桔大利帽
zts2052e	新鮮的柑桔帽子。柑桔成份有去頭、按摩頭皮功能，特顯柔順有光澤的秀髮
zts2053e	運來大桔帽
zts2054e	掛有豪華裝飾的運來大桔帽子。挺帥氣的，可是比較重，會引致頸痛啊，要注意！[n]
zts2055e	全盒帽子
zts2056e	小巧精緻的全盒帽子，內裡全是美味可口的糖果。[n]
zts2057e	藍色軍帽
zts2058e	古代官吏、駐軍常用的帽子。可以流露傳統風格[n]
zts2059e	綠色軍帽
zts2060e	紅色軍帽
zts2061e	N(活動)
zts2062e	O(活動)
zts2063e	S(活動)
zts2064e	1(活動)
zts2065e	Y(活動)
zts2066e	E(活動)
zts2067e	A(活動)
zts2068e	R(活動)
zts2069e	驚喜紀念獎章
zts2070e	熊貓帽子(7日)
zts2071e	裝備時,會戴上可愛的熊貓帽子.[n]裝備時開始計算使用時間.[n]所有攻擊力+5%[n]增加最大MP+200[n][n]
zts2072e	大灰熊裝(7日)
zts2073e	裝備時,身上衣服將會變成大灰熊.[n]裝備時開始計算使用時間.[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2074e	北極熊裝(7日)
zts2075e	裝備時,身上衣服將會變成北極熊.[n]裝備時開始計算使用時間.[n]所有防禦力+5%[n]最大 HP +200[n][n]
zts2076e	熊貓裝(7日)
zts2077e	裝備時,身上衣服將會變成熊貓.[n]裝備時開始計算使用時間.[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2078e	熊娃娃裝(7日)
zts2079e	裝備時,身上衣服將會變成熊娃娃.[n]裝備時開始計算使用時間.[n]所有防禦力 +5%[n]最大 HP+200[n][n]
zts2080e	大灰熊帽子(7日)
zts2081e	裝備時,將會帶上可愛的大灰熊帽子.[n]裝備時開始計算使用時間.[n]所有攻擊力 +5%[n]最大 MP+200[n][n]
zts2082e	北極熊帽子(7日)
zts2083e	裝備時,將會帶上可愛的北極熊帽子.[n]裝備時開始計算使用時間.[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2084e	熊娃娃帽子(7日)
zts2085e	裝備時,將會帶上可愛的熊娃娃帽子.[n]裝備時開始計算使用時間.[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2086e	精靈老鼠帽[n][n]
zts2087e	潮流運動服(7日)
zts2088e	裝備時,身上衣服將會變成運動服.[n]裝備時開始計算使用時間.[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2089e	黑白運動裝(7日)
zts2090e	小龍運動裝(7日)
zts2091e	元祖校服(7日)
zts2092e	暴走族裝(7日)
zts2093e	天藍色運動服(7日)
zts2094e	潮流運動服(7日)
zts2095e	粉紅色運動服(7日)
zts2096e	潮型夾克(7日)
zts2097e	裝備時,身上衣服將會變成休閒服.[n]裝備時開始計算使用時間.[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2098e	學校校服(7日)
zts2099e	軍人造型夾克(7日)
zts2100e	水手裝(7日)
zts2101e	綠野夾克(7日)
zts2102e	白領套裝(7日)
zts2103e	火焰夾克(7日)
zts2104e	金屬夾克 (7日)
zts2105e	探險家服裝(7日)
zts2106e	新鮮的橘子帽,橘子內含防止頭皮削以及促進頭皮按摩的成分,可以使頭髮變的有光澤[n][n]
zts2107e	掛有華麗裝飾的花盆帽子,雖然很漂亮,但是重量很重,要注意脖子![n][n]
zts2108e	大灰熊裝(30日)
zts2109e	北極熊裝(30日)
zts2110e	熊貓裝(30日)
zts2111e	熊娃娃裝(30日)
zts2112e	潮流運動服(30日)
zts2113e	黑白運動裝(30日)
zts2114e	小龍運動裝(30日)
zts2115e	元祖校服(30日)
zts2116e	暴走族裝(30日)
zts2117e	天藍色運動服(30日)
zts2118e	潮流運動服(30日)
zts2119e	粉紅色運動服(30日)
zts2120e	潮型夾克(30日)
zts2121e	學校校服(30日)
zts2122e	軍人造型夾克(30日)
zts2123e	水手裝(30日)
zts2124e	綠野夾克(30日)
zts2125e	白領套裝(30日)
zts2126e	火焰夾克(30日)
zts2127e	休閒服 女性4(30日)
zts2128e	金屬夾克(30日)
zts2129e	休閒服 女性5(30日)
zts2130e	探險家服裝(30日)
zts2131e	休閒服 女性6(30日)
zts2132e	大灰熊裝(永久)
zts2133e	北極熊裝(永久)
zts2134e	熊貓裝(永久)
zts2135e	熊娃娃裝(永久)
zts2136e	潮流運動服(永久)
zts2137e	黑白運動裝(永久)
zts2138e	小龍運動裝(永久)
zts2139e	元祖校服(永久)
zts2140e	暴走族裝(永久)
zts2141e	天藍色運動服(永久)
zts2142e	潮流運動服(永久)
zts2143e	粉紅色運動服(永久)
zts2144e	潮型夾克(永久)
zts2145e	學校校服(永久)
zts2146e	軍人造型夾克(永久)
zts2147e	水手裝(永久)
zts2148e	綠野夾克(永久)
zts2149e	白領套裝(永久)
zts2150e	火焰夾克(永久)
zts2151e	休閒服 女性4(永久)
zts2152e	金屬夾克(永久)
zts2153e	休閒服 女性5(永久)
zts2154e	探險家服裝(永久)
zts2155e	休閒服 女性6(永久)
zts2156e	熊貓帽子(30日)
zts2157e	大灰熊帽子(30日)
zts2158e	北極熊帽子(30日)
zts2159e	熊娃娃帽子(30日)
zts2160e	熊貓帽子(永久)
zts2161e	大灰熊帽子(永久)
zts2162e	北極熊帽子(永久)
zts2163e	熊娃娃帽子(永久)
zts2164e	HP以及MP將會漸漸恢復[n]3個空格以內的自組隊伍也會恢復[n]這個道具將會在活動結束時消失[n][n]
zts2165e	使用時,將會使玩家以及自組隊員同時恢復.[n]這個道具將會在活動結束時消失[n][n]
zts2166e	使用時,15日內將會賦予下一個功能.[n][主要效果][n]裝備,主要,其他的欄位將會各增加4格,共12格.[n]經驗值獲得量增加10%[n][附加效果][n]寵物以及夥伴的經驗值獲得量增加10%.[n]攻擊力以及防禦力增加10%[n][注意事項][n]冒險家的背包以及效果不會重複適用.[n]是個道具無法放入倉庫內.[n][n]
zts2167e	超級可愛的老鼠帽子.[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts2168e	美味的橘子帽，橘子成份有去皮屑，按摩頭皮，滋潤秀髮的作用。[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts2169e	掛有華麗裝飾的花盆帽子。帥氣非凡，但挺重的，小心頸疼。[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts2170e	小又輕的全盒帽子,會想要從裡面拿出糖果來吃.[n]所有攻擊力+5%[n]增加最大MP+200[n][n]
zts2171e	古代官吏、駐軍常用的帽子。可以流露傳統風格[n]男性專用[n][n]
zts2174e	伙伴共用存貨[n]可以增加50空間。[n]10/30/60日期限[n]
zts2175e	伙伴共用存貨[n]可以增加50空間。[n]10/30/60日期限[n]
zts2176e	伙伴共用存貨[n]可以增加50空間。[n]10/30/60日期限[n]
zts2179e	艾美專櫃的信
zts2180e	琛姆治的信
zts2181e	琛姆治的推薦信
zts2182e	拉泰歐爾的蛋
zts2183e	重要的夥伴昏睡的物品[n][n]
zts2184e	納卡的介紹書
zts2185e	Nos Camp SS等級的冒險家[n][n]
zts2186e	航海日誌
zts2187e	骷髏的紋樣很明顯地印在上面
zts2188e	第一次的偵查報告書
zts2189e	無法得知的線索 第一頁
zts2190e	因為撕破無法讀取[n][n]
zts2191e	無法得知的線索 第二頁
zts2192e	無法得知的線索 第三頁
zts2193e	古老的書板
zts2194e	結界驅動石像是依照以下原理運作…(以下省略)[n][n]
zts2195e	撕破的偵查報告書
zts2196e	彼托頓德拉偵查報告書
zts2197e	這是你寫的報告書[n][n]
zts2198e	第二次偵查報告書
zts2199e	路德拉克斯的魔法書
zts2200e	報告書卷
zts2201e	這是你要寫的報告書
zts2204e	不要對拿信給你的人說出奇怪的話[n]艾美專櫃[n][n]
zts2205e	我又開立了一個定期存款，所以生活費都不夠用。[n]幫我加薪吧，琛姆治[n][n]
zts2206e	請多照顧拿這個去找你的人[n]你的好朋友琛姆治[n][n]
zts2207e	最近常常看到外地來的冒險家[n]新來的冒險家看起來都很笨，不用去在乎。[n][n]
zts2208e	在主人醒來之前阻擋侵入者[n](之後因為被撕破無法讀取)[n][n]
zts2209e	寫著穆克斯王親自要攻擊冰封雪堡[n]的內容[n][n]
zts2210e	裝著邪惡的雜念[n]寫著可以對抗咒語的方法[n][n]
zts2211e	賀歲老鼠帽(永久)
zts2212e	大桔大利帽(永久)
zts2213e	運來大桔帽(永久)
zts2214e	全盒帽子(永久)
zts2215e	藍色軍帽(永久)
zts2216e	綠色軍帽(永久)
zts2217e	紅色軍帽(永久)
zts2218e	賀歲老鼠帽(7日)
zts2219e	賀歲老鼠帽(30日)
zts2220e	大桔大利帽(7日)
zts2221e	大桔大利帽(30日)
zts2222e	運來大桔帽(7日)
zts2223e	運來大桔帽(30日)
zts2224e	全盒帽子(7日)
zts2225e	全盒帽子(30日)
zts2226e	藍色軍帽(7日)
zts2227e	藍色軍帽(30日)
zts2228e	綠色軍帽(7日)
zts2229e	綠色軍帽(30日)
zts2230e	紅色軍帽(7日)
zts2231e	紅色軍帽(30日)
zts2234e	大福神的祝福
zts2235e	在衝(稀有等級)裝備失敗時，[n]能保護裝備不會消失。[n]武器、服裝共用。[n](可使用2次)[n][n]
zts2236e	強擊符咒
zts2237e	裝備此物品時攻擊力會提升20%[n][n]
zts2238e	堅固符咒
zts2239e	裝備此物品時防禦力會提升20%[n][n]
zts2240e	小蛋蛋晶球
zts2253e	金黃復活蛋
zts2254e	酒紅花紋復活蛋[n][n]
zts2255e	水藍復活蛋
zts2256e	水藍紋復活蛋[n][n]
zts2257e	雪白復活蛋
zts2258e	雪白花紋復活蛋[n][n]
zts2259e	金黃花紋復活蛋[n][n]
zts2260e	復活之永生靈魂
zts2261e	擁有神秘力量的靈魂[n][n]
zts2262e	熟蛋
zts2263e	美味的熟蛋
zts2264e	白色情人節活動專用道具[n]這個道具會在活動結束後消失[n]
zts2265e	白色情人節活動專用道具[n]單擊異性人物後送上禮物套裝表白。[n]表白成功的話，會得到快樂的白色情人節魔法，失敗的話[n]會哽咽一分鐘。[n]這個道具會在活動結束後消失[n][n]
zts2266e	酒紅花紋復活蛋
zts2267e	白色情人節活動專用道具[n]HP和MP自動恢復[n]三名以內的寵物和伙伴也可以一起恢復。[n]這個道具會在活動結束後消失[n][n]
zts2268e	幼苗史汀奇球
zts2269e	黃色貝諾晶球
zts2270e	乾扁跳豆晶球
zts2271e	小巨翅妖球晶球
zts2272e	黑暗爆破手晶球
zts2273e	微型粉紅萊吉姆晶球
zts2274e	蝙蝠妖球晶球
zts2275e	偵測儀球
zts2276e	夢之歷險誕生禮物箱
zts2277e	夢之歷險兒童節禮盒![n]友情的翅膀10個、全頻擴音器10個、固定訊息泡泡10個。![n]
zts2278e	夢之歷險紀念禮盒
zts2279e	夢之歷險兒童節紀念禮盒![n]有機會獲得熊玩偶套裝(永久)、感冒夢古、各式帽子(7天)喔![n]
zts2280e	火屬性特殊人物卡片[n]前進！！前進！！前進！！[n]揮舞著沉重的雙手劍，縱橫在戰場上的[n]威猛戰士！！！[n][n]
zts2281e	水屬性特殊人物卡片[n]任何東西都能用銳利的劍氣砍成兩半！！[n]有著充滿殺氣的雙眼的冷酷劍客！！[n][n]
zts2282e	水屬性特殊人物卡片[n]如同雷雨暴風般落下的箭矢！[n]擁有敏銳身手的世界第一獵人！！！[n][n]
zts2283e	暗屬性特殊人物卡片[n]將身影隱藏在黑夜中，藏在暗影的是毛骨悚然的殺氣！！！[n]只要被盯上就絕不會讓獵物逃走的野獸！！[n][n]
zts2284e	火屬性特殊人物卡片[n]破壞與消滅的信奉者！！[n]為了燃燒的火燄，連靈魂也出賣的火花之化身！！[n][n]
zts2285e	光屬性特殊人物卡片[n]光與秩序的信奉者！！[n]遵從母親愛羅尼亞之意的智慧的魔法師[n][n]
zts2286e	火屬性特殊人物卡片[n]手裡劍達人!![n]為了救櫻花公主[n]來到光之冒險的茶茶丸!![n]
zts2287e	光屬性特殊人物卡片[n]維護正義的堅強意志與信念!![n]毀滅黑暗的聖光守護者!![n][n]
zts2288e	暗屬性特殊人物卡片[n]動員所有的人手以及方法來制壓敵人![n]支配戰場的最強戰士![n]
zts2289e	火屬性特殊人物卡片[n]鍾愛冒險與進攻的狂人!![n]惹火他就會爆炸(!?)的破壞支配者!![n][n]
zts2290e	光屬性特殊人物卡片[n]守護美麗大自然的森林戰士![n]以野獸的本能來殲滅敵人![n]
zts2291e	水屬性特殊人物卡片[n]流動在體內的寒氣!![n]將周圍所有的東西都凍結的寒冰支配者!![n][n]
zts2292e	暗屬性特殊人物卡片[n]使用禁斷黑暗妖術的黑魔法師![n]借用惡魔的力量來打開死亡之門![n]
zts2311e	神秘百寶箱A
zts2312e	藏有多款珍貴寶物的寶箱，打開後會有意想不到的驚喜
zts2313e	神秘百寶箱B
zts2315e	將肉粽妖精當作寵物帶在身邊，每1個小時[n]將會生產出各樣的食物儲放在裝備欄。[n][n]
zts2316e	韓國傳統帽(7日)
zts2317e	可愛的韓國傳統帽[n]裝備後開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2318e	韓國傳統帽(30日)
zts2319e	韓國傳統帽(永久)
zts2320e	皇后頭飾(7日)
zts2321e	豪華的中國傳統頭飾[n]裝備後開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2322e	皇后頭飾(30日)
zts2323e	皇后頭飾(永久)
zts2324e	舞姬頭飾(7日)
zts2325e	美麗的日本傳統裝飾[n]裝備後開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2326e	舞姬頭飾(30日)
zts2327e	舞姬頭飾(永久)
zts2328e	韓國公子帽(7日)
zts2329e	韓國傳統公子帽[n]裝備後開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2330e	韓國公子帽(30日)
zts2331e	韓國公子帽(永久)
zts2332e	殭屍帽(7日)
zts2333e	有趣的可愛殭屍帽[n]裝備時開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2334e	殭屍帽(30日)
zts2335e	殭屍帽(永久)
zts2336e	日本傳統帽(7日)
zts2337e	帥氣的日本傳統武術帽子[n]裝備時開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2338e	日本傳統帽(30日)
zts2339e	日本傳統帽(永久)
zts2384e	粉紅色韓國禮服(7日)
zts2385e	裝備後服裝會變成韓國傳統服裝[n]裝備後開始計算使用時間[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2386e	粉紅色韓國禮服(30日)
zts2387e	粉紅色韓國禮服(永久)
zts2388e	彩虹韓服小外套(7日)
zts2389e	彩虹韓服小外套(30日)
zts2390e	彩虹韓服小外套(永久)
zts2391e	傳統韓服(7日)
zts2392e	傳統韓服(30日)
zts2393e	傳統韓服(永久)
zts2394e	武林高手清裝(7日)
zts2395e	裝備時服裝會變成中國傳統服裝[n]裝備後開始計算使用時間[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2396e	武林高手清裝(30日)
zts2397e	武林高手清裝(永久)
zts2398e	皇帝清裝(7日)
zts2399e	皇帝清裝(30日)
zts2400e	皇帝清裝(永久)
zts2401e	龍紋清裝(7日)
zts2402e	龍紋清裝(30日)
zts2403e	龍紋清裝(永久)
zts2404e	靈月陰陽師服裝(7日)
zts2405e	裝備時服裝會變成日本傳統服裝[n]裝備後開始計算使用時間[n]所有防禦力 +5%[n]最大 HP +200[n][n]
zts2406e	靈月陰陽師服裝(30日)
zts2407e	靈月陰陽師服裝(永久)
zts2408e	耀日陰陽師服裝(7日)
zts2409e	耀日陰陽師服裝(30日)
zts2410e	耀日陰陽師服裝(永久)
zts2411e	榻榻米和服(7日)
zts2412e	榻榻米和服(30日)
zts2413e	榻榻米和服(永久)
zts2414e	紅豔玫瑰(7日)
zts2415e	紅豔玫瑰(30日)
zts2416e	紅豔玫瑰(永久)
zts2417e	鮮嫩薄荷 (7日)
zts2418e	鮮嫩薄荷 (30日)
zts2419e	鮮嫩薄荷 (永久)
zts2420e	牛奶朱古力(7日)
zts2421e	牛奶朱古力(30日)
zts2422e	牛奶朱古力(永久)
zts2423e	杜鵑韓服(7日)
zts2424e	杜鵑韓服(30日)
zts2425e	杜鵑韓服(永久)
zts2426e	夕陽韓服(7日)
zts2427e	夕陽韓服(30日)
zts2428e	夕陽韓服(永久)
zts2429e	繡球花韓服(7日)
zts2430e	繡球花韓服(30日)
zts2431e	繡球花韓服(永久)
zts2432e	紫梅花旗袍(7日)
zts2433e	紫梅花旗袍(30日)
zts2434e	紫梅花旗袍(永久)
zts2435e	紅鳳凰旗袍(7日)
zts2436e	紅鳳凰旗袍(30日)
zts2437e	紅鳳凰旗袍(永久)
zts2438e	摩登旗袍(7日)
zts2439e	摩登旗袍(30日)
zts2440e	摩登旗袍(永久)
zts2441e	桃花和服(7日)
zts2442e	桃花和服(30日)
zts2443e	桃花和服(永久)
zts2444e	花花和服(7日)
zts2445e	花花和服(30日)
zts2446e	花花和服(永久)
zts2447e	帥勁和服(7日)
zts2448e	帥勁和服(30日)
zts2449e	帥勁和服(永久)
zts2450e	使用時將會獲得HP上升、MP上升、SP上升、多謝惠顧中[n]得到其中一個效果。[n]收集10個加上2萬金幣給貝托魯奇[n]可以交換到１個端午節遠征隊印章[n]此道具將於活動結束後回收[n][n]
zts2451e	端午節遠征隊印章
zts2452e	可以透過在依蘭特村莊裡的端午節遠征場[n]執行遠征團[n]建議等級 : 20-99[n][使用方法][n]使用時可以成為遠征團的領隊[n]成為領隊後，點擊其他人，再點擊邀請加入遠征團的按鍵，[n]就可以加入遠征團。[n]可以跟遠征團隊員們一起到團隊征討的地圖入口，其中一人入場後[n]其他所有人將會自動入場[n][注意事項][n]不符合建議等級的人雖然可以參加遠征團[n]但是會有處罰[n](愛心數不增加、遠征成功時無法獲得寶箱)[n]此道具在活動結束後將會消失[n][n]
zts2459e	魔性盾(武器)
zts2460e	附有許多魔法的石頭[n]透過組合可以賦予多樣的魔法能力在裝備上[n]
zts2461e	特殊魔性盾(武器)
zts2462e	附有很多特殊魔法的石頭[n]透過組合可以賦予多樣的魔法能力在裝備上[n]
zts2463e	戰鬥魔性盾(武器)
zts2464e	附有很多戰鬥魔法的石頭[n]透過組合可以賦予多樣的魔法能力在裝備上[n]
zts2465e	完美魔性盾(武器)
zts2466e	附有很多完美魔法的石頭[n]透過組合可以賦予多樣的魔法能力在裝備上[n]
zts2467e	魔性盾(服裝)
zts2468e	特殊魔性盾(服裝)
zts2469e	戰鬥魔性盾(服裝)
zts2470e	完美魔性盾(服裝)
zts2471e	半分魔性盾(武器)
zts2472e	附有微量魔法的石頭[n]透過組合可以賦予多樣的魔法能力在裝備上[n]
zts2473e	半分魔性盾(服裝)
zts2502e	神韻香水
zts2503e	可以將其他角色的專用道具變成自己的道具[n]雙重點擊道具後，再點擊角色的專用道具，就可以轉換成自己的道具。[n]隨著所轉換的道具等級、稀有等級的不同，所需要的香水數量也不同。[n]
zts2504e	鑑定彩虹珍珠
zts2505e	未確認的道具使用鑑定彩虹珍珠[n]將珍珠粉碎後灑在道具上，將會發揮出隱藏的能力。[n][n]
zts2506e	魔法橡皮擦
zts2507e	可以將賦予在道具上的能力徹底清除的萬用橡皮擦[n][注意事項][n]1. 清除後的能力無法再復原[n]2. 清除能力後，專用道具可以繼續使用。[n][n]
zts2508e	使用時，將會在30分鐘內顯示固定泡泡訊息。[n]使用後不能更改訊息內容，下線即消失。[n]輸入'$可以關閉固定泡泡訊息[n][n]
zts2509e	香軟鬆餅
zts2510e	香脆披薩
zts2511e	冷凍糖漿
zts2512e	甜甜雪糕
zts2513e	雪糕甜筒
zts2514e	冬甩咖啡組合
zts2515e	忌廉法國麵包
zts2516e	雪糕水果新地
zts2517e	音速飛劍
zts2518e	因為重量輕，所以可以快速的砍敵人的單手劍。[n][n]
zts2519e	沉擊石劍
zts2520e	使用巨石重量強力攻擊敵人的強力劍[n][n]
zts2521e	森之精靈弓
zts2522e	藏匿在森林中的精靈所使用的弓[n][n]
zts2523e	狙擊隼弓
zts2524e	如老應獵食般準確的弓， 對於名射手來說，是件人氣商品。[n][n]
zts2525e	火焰骷顱法杖
zts2526e	火焰骷顱環繞的法杖，可以將咒術強力發揮的法杖。[n][n]
zts2527e	靈神之杖
zts2528e	附有神聖力量的法杖，有名咒術師的最愛。[n][n]
zts2529e	精靈神木弓
zts2530e	精靈種植的神木所製作成的弓，有強硬的耐久度。[n][n]
zts2531e	隕石十字弓
zts2532e	如隕石般墬落破壞力十足的十字弓[n][n]
zts2533e	神秘光匕首
zts2534e	使用神秘材料所製作的匕首，散發美麗的橙光。[n][n]
zts2535e	海神匕首
zts2536e	遙望驚濤駭浪所製作的匕首，可以給予敵人如浪濤般傷害。[n][n]
zts2537e	幽靈闇槍
zts2538e	集中靈魂力量的闇之槍[n][n]
zts2539e	流星雨強力槍
zts2540e	如同流星掃射，發出強大的魔法子彈的槍。[n][n]
zts2541e	泰山盔甲
zts2542e	安全保護身體的堅固盔甲[n][n]
zts2543e	白金鐵甲
zts2544e	使用厚重的白金鐵製作，將防禦力發揮極大化的鐵甲，重量稍重所以行動不便。[n][n]
zts2545e	狩獵輕衣
zts2546e	獵人喜好穿著的輕巧狩獵服飾。[n][n]
zts2547e	輕量化魔衣
zts2548e	使用魔法織物製作成更為輕巧，防禦力發揮極大化的神奇輕衣。[n][n]
zts2549e	惡靈之袍
zts2550e	附有惡魔咒術的法袍[n][n]
zts2551e	賢者法袍
zts2552e	賢者喜愛穿著的法袍，穿起來相當舒適，所以受到許多咒術師的喜愛。[n][n]
zts2553e	凱旋戰靴
zts2554e	厚重堅硬的皮件加上橡皮，防禦力極高的靴子。[n][n]
zts2555e	聖靈之鞋
zts2556e	輕巧且十分舒適的鞋子[n][n]
zts2557e	朝露手套
zts2558e	染上清晨朝露的魔法手套，雖然輕薄，但是防禦力極高。[n][n]
zts2559e	沉墬煉獄手套
zts2560e	相當厚實的手套，防禦力很高，相對行動上較不方便。[n][n]
zts2561e	純銀項鍊
zts2562e	使用925純銀製作的漂亮項鍊[n][n]
zts2563e	紫晶項鍊
zts2564e	鑲有美麗紫水晶的項鍊[n][n]
zts2565e	祖母綠手鍊
zts2566e	鑲有翠綠寶石的手鍊[n][n]
zts2567e	編織手鐲
zts2568e	編織扭轉製作的手鍊[n][n]
zts2569e	海藍寶戒指
zts2570e	鑲有清透海洋般水藍寶石的戒指[n][n]
zts2571e	滿月水晶戒指
zts2572e	使用滿月的水晶製作的戒指[n][n]
zts2573e	女生柯利牧羊犬衣服(7日)
zts2574e	裝備時會變成狗狗服裝[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2575e	女生柯利牧羊犬衣服(30日)
zts2576e	女生柯利牧羊犬衣服(永久)
zts2577e	女生黃金獵犬衣服(7日)
zts2578e	女生黃金獵犬衣服(30日)
zts2579e	女生黃金獵犬衣服(永久)
zts2580e	女生泰式貓衣服(7日)
zts2581e	裝備時會變成貓咪服裝[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2582e	女生泰式貓衣服(30日)
zts2583e	女生泰式貓衣服(永久)
zts2584e	女生俄羅斯藍貓衣服(7日)
zts2585e	女生俄羅斯藍貓衣服(30日)
zts2586e	女生俄羅斯藍貓衣服(永久)
zts2587e	女生性感兔女郎衣服(7日)
zts2588e	裝備時會變成兔子服裝[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2589e	女生性感兔女郎衣服(30日)
zts2590e	女生性感兔女郎衣服(永久)
zts2591e	女生華麗兔女郎衣服(7日)
zts2592e	女生華麗兔女郎衣服(30日)
zts2593e	女生華麗兔女郎衣服(永久)
zts2594e	西伯利亞老虎衣服(7日)(性別請看說明)
zts2595e	裝備時會變成老虎服裝[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2596e	西伯利亞老虎衣服(30日)(性別請看說明)
zts2597e	西伯利亞老虎衣服(永久)(性別請看說明)
zts2598e	女生可愛魔法虎衣服(7日)
zts2599e	女生可愛魔法虎衣服(30日)
zts2600e	女生可愛魔法虎衣服(永久)
zts2601e	男生鬥牛犬衣服(7日)
zts2602e	男生鬥牛犬衣服(30日)
zts2603e	男生鬥牛犬衣服(永久)
zts2604e	男生臘腸狗衣服(7日)
zts2605e	男生臘腸狗衣服(30日)
zts2606e	男生臘腸狗衣服(永久)
zts2607e	男生美國短毛貓衣服(7日)
zts2608e	男生美國短毛貓衣服(30日)
zts2609e	男生美國短毛貓衣服(永久)
zts2610e	男生科拉特貓衣服(7日)
zts2611e	男生科拉特貓衣服(30日)
zts2612e	男生科拉特貓衣服(永久)
zts2613e	男生帥氣兔衣服(7日)
zts2614e	男生帥氣兔衣服(30日)
zts2615e	男生帥氣兔衣服(永久)
zts2616e	男生毛毛兔衣服(7日)
zts2617e	男生毛毛兔衣服(30日)
zts2618e	男生毛毛兔衣服(永久)
zts2619e	男生帥氣魔法虎衣服(7日)
zts2620e	男生帥氣魔法虎衣服(30日)
zts2621e	男生帥氣魔法虎衣服(永久)
zts2622e	女生柯利牧羊犬帽子(7日)
zts2623e	可愛的狗狗帽子[n]裝備後開始計算使用時間[n]所有攻擊力 +5%[n]最大 MP +200[n][n]
zts2624e	女生柯利牧羊犬帽子(30日)
zts2625e	女生柯利牧羊犬帽子(永久)
zts2626e	女生黃金獵犬帽子(7日)
zts2627e	女生黃金獵犬帽子(30日)
zts2628e	女生黃金獵犬帽子(永久)
zts2629e	女生泰式貓帽子(7日)
zts2630e	可愛的貓咪帽子[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2631e	女生泰式貓帽子(30日)
zts2632e	女生泰式貓帽子(永久)
zts2633e	女生俄羅斯藍貓帽子(7日)
zts2634e	女生俄羅斯藍貓帽子(30日)
zts2635e	女生俄羅斯藍貓帽子(永久)
zts2636e	女生性感兔女郎髮箍(7日)
zts2637e	可愛的兔耳朵[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2638e	女生性感兔女郎髮箍(30日)
zts2639e	女生性感兔女郎髮箍(永久)
zts2640e	女生華麗兔女郎髮箍(7日)
zts2641e	女生華麗兔女郎髮箍(30日)
zts2642e	女生華麗兔女郎髮箍(永久)
zts2643e	西伯利亞虎帽子(7日)(性別請看說明)
zts2644e	可愛的老虎帽子[n]從裝備開始計算使用時間[n]所有防禦力+5%[n]最大HP+200[n][n]
zts2645e	西伯利亞虎帽子(30日)(性別請看說明)
zts2646e	西伯利亞虎帽子(永久)(性別請看說明)
zts2647e	女生可愛魔法虎帽子(7日)
zts2648e	女生可愛魔法虎帽子(30日)
zts2649e	女生可愛魔法虎帽子(永久)
zts2650e	男生鬥牛犬帽子(7日)
zts2651e	男生鬥牛犬帽子(30日)
zts2652e	男生鬥牛犬帽子(永久)
zts2653e	男生臘腸狗帽子(7日)
zts2654e	男生臘腸狗帽子(30日)
zts2655e	男生臘腸狗帽子(永久)
zts2656e	男生美國短毛貓帽子(7日)
zts2657e	男生美國短毛貓帽子(30日)
zts2658e	男生美國短毛貓帽子(永久)
zts2659e	男生科拉特貓帽子(7日)
zts2660e	男生科拉特貓帽子(30日)
zts2661e	男生科拉特貓帽子(永久)
zts2662e	男生帥氣兔帽子(7日)
