zts1e	休息(C)
zts838e	產生強大的護盾,加強防禦力
zts840e	Snowman basic attack
zts842e	惠特尼 凱瑟琳的基本攻擊.
zts843e	惠特尼 凱瑟琳萌芽之藤
zts844e	神秘之夜衝刺
zts845e	嘉達的基本攻擊
zts846e	嘉達之蛇
zts847e	札斯特的基本攻擊.
zts848e	札斯特搖滾
zts849e	黑魔戰士的基本攻擊.
zts850e	森林守護者的基本攻擊.
zts851e	幽冥槍使 的基本攻擊.
zts852e	黑魔戰士的基本攻擊.
zts853e	使用巨大的武器,由上往下撞擊對方.
zts854e	武器內附有黑暗之氣,使其旋轉攻擊敵人以及四周物品.
zts855e	從身體深處凝聚狂氣的力量,使戰鬥力上升,
zts856e	但防禦力卻會減少.
zts857e	吐出狂氣的力量,朝向敵人的方向猛烈的衝刺.
zts858e	使用狂氣的力量來亂打敵人.
zts859e	在狂暴的狀況下,亂打敵人以及其週邊.
zts860e	使用巨大化的武器,摧毀敵人的防禦變成無力化.
zts861e	使用狂氣的力量與大地結合使敵人分成兩半.
zts862e	犧牲自身的生命力值,來提升戰鬥力.
zts863e	使用狂氣與黑暗的力量,使身體開始旋轉亂打四周敵人.
zts864e	森林守護者的基本攻擊
zts865e	同時施放兩個飛鏢強擊敵人.
zts866e	飛鏢將直線的飛向敵人,將敵人分成兩半.
zts867e	召喚老鷹的魂,使其可以進行準確的攻擊.
zts868e	召喚大自然之氣,將自然之氣充滿於自身.
zts869e	投擲急速旋轉的飛鏢,將周邊的敵人分成兩半.
zts870e	召喚狼的魂,使自身更敏捷.
zts871e	敵人將停止大自然之氣.
zts872e	同時向四方投擲多隻的\飛鏢,將周邊的敵人分成兩半.
zts873e	召喚熊的魂,使自身更為強大.
zts874e	將大自然的氣息賦予在巨大飛鏢上,然後再投擲出去.
zts875e	幽冥槍使 的基本攻擊
zts876e	將快速的連續施放咒術槍.
zts877e	裝設爆發型的子彈,向敵人射擊.
zts878e	召喚已訂立契約的惡魔,運起黑暗之氣來保護契約者.
zts879e	裝設下詛咒的子彈,向敵人射擊.
zts880e	契約下的惡魔將黑暗之氣賦予於契約者身上.
zts881e	契約者的惡魔將向敵人下詛咒.
zts882e	裝設下了詛咒以及附有惡靈的子彈,向敵人連續射擊.
zts883e	施放黑暗之氣,入侵敵人的身體.
zts884e	由於契約下的惡魔所施放的鎮魂曲,使周邊的敵人受到恐懼而逃跑,同時生命力也會被吸取.
zts885e	裝設下了詛咒以及附有惡靈的子彈,對週邊掃射.
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts950e	休息
zts951e	(C)
zts952e	拾獲
zts953e	(X,`)
zts954e	可讓身體的能力提升5
zts955e	可讓身體的能力提升15
zts956e	[高級] 筋力強化課程
zts957e	可讓身體的能力提升60
zts958e	可讓敏捷提升5
zts959e	可讓敏捷提升15
zts960e	可讓敏捷提升60
zts961e	可讓精神力提升5
zts962e	可讓精神力提升30
zts963e	可讓精神力提升60
zts964e	HP最大值增加300
zts965e	HP最大值增加1000
zts966e	HP最大值增加3000
zts967e	MP最大值增加300
zts968e	MP最大值增加1000
zts969e	MP最大值增加3000
zts970e	[初級]自然治癒
zts971e	特殊化不死系
zts972e	攻擊初級不死系時，提升近距離攻擊力。
zts973e	捕獲方法
zts974e	1. 選擇動物怪之後，確認目標視窗是否有捕獲圖示。
zts975e	2. 攻擊比自身等級較低的怪物，並把目標的血量下降至50%或以下。
zts976e	3. 使用捕獲技能。
zts977e	4. 失敗時等待凍結時間完結後，再次嘗試。
zts978e	提升攻擊力 1Lv
zts979e	提升憤怒一擊的近距離攻擊力。
zts980e	提升攻擊力
zts981e	提升弱點攻擊的近距離攻擊力，並增加致命一擊傷害。
zts982e	提升地動波的近距離攻擊力。
zts983e	提升狂擊的近距離攻擊力。
zts984e	提升雙擊的近距離攻擊力。
zts985e	提升衝鋒射擊的遠距離攻擊力。
zts986e	向對方使出強力的一擊。
zts987e	把對方拖到自身旁邊。
zts988e	聚集劍氣並強力旋轉，給予周邊傷害。
zts989e	射擊強力箭矢，推擠對方。
zts990e	在跳躍的狀態下亂射，沒有近距離懲罰，並給予多數敵人傷害。
zts991e	遠距離的曲線亂射技術，可讓敵人周圍的３格範圍內降下箭雨。
zts992e	利用短劍，給予致命一擊。
zts993e	在輔助短劍塗上巨毒，讓敵人中毒。
zts994e	在旋轉的狀態下，揮舞短劍，攻擊周邊所有敵人。
zts995e	因為突然的反擊，敵人可能會受到無法移動的影響。
zts996e	事先聚集攻擊之氣，在下次攻擊時追加使用。
zts997e	提升冒險隊的命中率及致命一擊機率。
zts998e	箭矢塗毒
zts999e	提升集中射擊的遠距離攻擊力。
zts1000e	提升強力射擊的遠距離攻擊力。
zts1001e	魔法護盾
zts1002e	以一定的機率生成護盾，並減低本身所受到的所有傷害。
zts1003e	自然保護
zts1004e	生成保護罩，並減少組隊員的所有屬性傷害。
zts1005e	增加速射的遠距離攻擊力。
zts1006e	增加箭雨的遠距離攻擊力。
zts1007e	強化
zts1008e	提升封鎖刺擊的近距離攻擊力，並增加無法移動的機率。
zts1009e	提升短劍刺擊的近距離攻擊力。
zts1010e	爆發
zts1011e	使用火焰球時，以一定的機率引起火焰爆發。
zts1012e	冰凍
zts1013e	使用寒冰球時，以一定的機率使對方冰凍。
zts1014e	提升魔力飛彈的魔法攻擊力。
zts1015e	強化 1Lv
zts1016e	提升水漩渦的魔法攻擊力與水屬性之力。
zts1017e	強化 2Lv
zts1018e	提升石晶塊的魔法攻擊力。
zts1019e	提升威力魔彈的魔法攻擊力。
zts1020e	以追加方式增加致命一擊機率與傷害。
zts1021e	提升攻擊力 2Lv
zts1022e	賦予水屬性 1Lv
zts1023e	在組合槍射擊賦予水屬性之力。
zts1024e	往自身前面，快速飛射劍氣。
zts1025e	集中身體的精神，並提升各種抵抗力。
zts1026e	安靜又快速的靠近敵人身邊，並給予一擊。
zts1027e	發射大子彈，讓敵人在瞬間無法回神。
zts1028e	與炸藥一起發射箭矢，給予極大的傷害。
zts1029e	特殊化PvP
zts1030e	PvP時提升近距離攻擊力。
zts1031e	賦予火屬性 1Lv
zts1032e	在憤怒的一擊賦予火屬性之力。
zts1033e	賦予火屬性 2Lv
zts1034e	賦予暗屬性 1Lv
zts1035e	在憤怒的一擊賦予暗屬性之力。
zts1036e	賦予暗屬性 2Lv
zts1037e	提升閃耀之刃的近距離攻擊力。
zts1038e	初級魔物特化
zts1039e	攻擊初級魔物時，提升近距離攻擊力。
zts1040e	動物特化
zts1041e	攻擊初級動物時，提升近距離攻擊力。
zts1042e	植物特化
zts1043e	攻擊初級植物時，提升近距離攻擊力。
zts1044e	攻擊初級魔物時，提升遠距離攻擊力。
zts1045e	攻擊初級動物時，提升遠距離攻擊力。
zts1046e	提升攻擊力 3Lv
zts1047e	提升攻擊力 4Lv
zts1048e	賦予火屬性
zts1049e	變換為火屬性。
zts1050e	增加擊暈的昏厥機率。
zts1051e	強化血之誓盟的效果與持續時間。
zts1052e	提升衝刺攻擊的近距離攻擊力，並使對方僵硬。
zts1053e	突然的把對方拖至附近，並使對方失去精神力。
zts1054e	提升爆發射擊的遠距離攻擊力。
zts1055e	攻擊初級植物時，提升遠距離攻擊力。
zts1056e	提升飛射的遠距離攻擊力。
zts1057e	極大化鷹眼的持續時間與效果。
zts1058e	刺毒強化 1Lv
zts1059e	在短劍塗上刺毒。
zts1060e	刺毒強化 2Lv
zts1061e	追加爆發射擊的火屬性之力。
zts1062e	攻擊初級不死系時，提升遠距離攻擊力。
zts1063e	PvP時提升遠距離攻擊力。
zts1064e	發射火焰箭矢火燒敵人。
zts1065e	在能量球賦予水屬性之力。
zts1066e	水屬性之力 2Lv
zts1067e	在組合槍射擊賦予水屬性之力。
zts1068e	提升火焰球的魔法攻擊力與火屬性之力。
zts1069e	提升寒冰球的魔法攻擊力與水屬性之力。
zts1070e	提升火焰柱的魔法攻擊力與火屬性之力。
zts1071e	把具有魔力的箭矢往上發射，讓本身周邊降下箭雨。
zts1072e	用短劍攻擊對方的弱點，並給予極大的傷害。
zts1073e	筋力弱化毒
zts1074e	在箭矢上塗上筋力弱化毒，減弱敵人的力量。
zts1075e	刺激強化毒
zts1076e	在箭矢上塗上刺激強化毒，刺激敵人的神經。
zts1077e	猛毒強化 1Lv
zts1078e	在短劍塗上猛毒。
zts1079e	猛毒強化 2Lv
zts1080e	在地上召喚冰之錐，給予極大傷害。
zts1081e	天之審判
zts1082e	在天上出現一道光，給予極大傷害。
zts1083e	在本身周邊噴出岩漿，並火燒敵人。
zts1084e	在組合槍凝聚魔力並發射。
zts1085e	散播死亡之力，使周邊敵人失去戰鬥的意志。
zts1086e	生成更加冰冷的冰之錐，提升魔法攻擊力，並增加冰凍機率。
zts1087e	將天之審判，追加水屬性之力。
zts1088e	生成更加炙熱的岩漿地區，提升魔法攻擊力，並增加嚴重灼傷機率。
zts1089e	凱比納斯召喚攻擊
zts1090e	凱比納斯基本攻擊
zts1091e	暈厥 1Lv
zts1092e	在閃耀之箭聚集魔力，給予更多傷害並讓敵人暈厥。
zts1093e	提升弱點刺擊的近距離攻擊力，並引發嚴重出血。
zts1094e	更加華麗的特效，同時技能的功能也會更加強力。
zts1095e	在狂擊賦予火屬性之力。
zts1096e	在狂擊賦予暗屬性之力。
zts1097e	在衝鋒射擊賦予火屬性之力。
zts1098e	在衝鋒射擊賦予暗屬性之力。
zts1099e	在雙擊賦予火屬性之力。
zts1100e	在雙擊賦予暗屬性之力。
zts1101e	增加射程距離
zts1102e	增加衝刺攻擊的射程距離。
zts1103e	在地動波賦予火屬性之力。
zts1104e	賦予暗屬性
zts1105e	在地動波賦予暗屬性之力。
zts1106e	在弱點攻擊賦予火屬性之力。
zts1107e	在弱點攻擊賦予暗屬性之力。
zts1108e	弱化防禦輔助 1Lv
zts1109e	攻擊敵人的弱點之後，破壞防具。
zts1110e	弱化防禦輔助 2Lv
zts1111e	弱化防禦輔助 3Lv
zts1112e	用刀背襲擊對方，並引發嚴重暈厥。
zts1113e	瞬間把對方拖過來，使對方失去精神力。
zts1114e	極大化四面楚歌的效果與持續時間。
zts1115e	變換為暗屬性。
zts1116e	升級波動劍氣。
zts1117e	在閃耀之刃追加火屬性之力。
zts1118e	在閃耀之刃追加暗屬性之力。
zts1119e	閃耀之刃的特效會變得更加華麗，並極大化攻擊力。
zts1120e	在爆發射擊追加暗屬性之力。
zts1121e	爆發射擊的特效會變得更加華麗，並極大化攻擊力。
zts1122e	狐狸第1次技能攻擊
zts1123e	狐狸第2次技能攻擊
zts1124e	狐狸第3次基本攻擊
zts1125e	野狼第1次衝刺攻擊
zts1126e	野狼第2次衝刺攻擊
zts1127e	野狼第3次衝刺攻擊
zts1128e	賦予水屬性
zts1129e	在集中射擊賦予水屬性之力。
zts1130e	賦予光屬性
zts1131e	在集中射擊賦予光屬性之力。
zts1132e	增加命中率
zts1133e	以集中射擊增加擊中敵人的機率。
zts1134e	增加致命一擊
zts1135e	以集中射擊增加給予敵人致命一擊的機率。
zts1136e	升級(致命一擊)
zts1137e	極大化集中射擊的致命一擊機率。
zts1138e	在強力射擊賦予水屬性之力。
zts1139e	在強力射擊賦予光屬性之力。
zts1140e	推擠強化 1Lv
zts1141e	射擊更加強力的箭矢，推擠對方。
zts1142e	推擠強化 2Lv
zts1143e	推擠強化 3Lv
zts1144e	極大化強力射擊的遠距離攻擊力。
zts1145e	貫通射擊的特效會變得更加華麗，並極大化攻擊力與致命一擊機率。
zts1146e	在飛射賦予水屬性之力。
zts1147e	賦予光屬性 1Lv
zts1148e	在飛射賦予光屬性之力。
zts1149e	賦予光屬性 2Lv
zts1150e	極大化飛射的遠距離攻擊力。
zts1151e	在速射賦予光屬性之力。
zts1152e	在速射賦予水屬性之力。
zts1153e	極大化速射的遠距離攻擊力。
zts1154e	在箭雨賦予水屬性之力。
zts1155e	在箭雨賦予光屬性之力。
zts1156e	極大化箭雨的遠距離攻擊力。
zts1157e	在短劍刺擊賦予水屬性之力。
zts1158e	在短劍刺擊賦予光屬性之力。
zts1159e	出血
zts1160e	攻擊要害，並引發出血。
zts1161e	暈厥
zts1162e	攻擊要害，並引發暈厥。
zts1163e	極大化短劍刺擊的近距離攻擊力。
zts1164e	在封鎖刺擊賦予水屬性之力。
zts1165e	在封鎖刺擊賦予光屬性之力。
zts1166e	極大化封鎖刺擊的近距離攻擊力，並增加致命一擊機率。
zts1167e	暈厥 2Lv
zts1168e	閃耀之箭的特效會變得更加華麗，並極大化攻擊力。
zts1169e	弱點刺擊的特效會變得更加華麗，並極大化攻擊力與致命一擊機率。
zts1170e	更加準確的瞄準腿部，增加遠距離攻擊力，並提升腿部傷害的機率。
zts1171e	將瞄準腿部的遠距離攻擊力極大化，並提升命中率。
zts1172e	在能量球賦予火屬性之力。
zts1173e	在魔力飛彈賦予水屬性之力。
zts1174e	在魔力飛彈賦予火屬性之力。
zts1175e	極大化魔力飛彈的魔法攻擊力。
zts1176e	極大化石晶塊的魔法攻擊力，讓暈厥更加有效。
zts1177e	光保護
zts1178e	自然保護會使光屬性之力保護的更好。
zts1179e	暗保護
zts1180e	自然保護會使暗屬性之力保護的更好。
zts1181e	冰之錐的特化會變得更加華麗，並極大化攻擊力。
zts1182e	在威力魔彈賦予火屬性之力。
zts1183e	在威力魔彈賦予水屬性之力。
zts1184e	極大化威力魔彈的魔法攻擊力。
zts1185e	增加蓄氣的攻擊之力。
zts1186e	極大化魔法護盾的功能，並增加吸收力與持續時間。
zts1187e	強化 3Lv
zts1188e	遠距離保護 1Lv
zts1189e	遠距離保護 2Lv
zts1190e	遠距離保護 3Lv
zts1191e	魔法保護 1Lv
zts1192e	魔法保護 2Lv
zts1193e	魔法保護 3Lv
zts1194e	增加恢復量 2Lv
zts1195e	強化黑霧，讓對方的視線幾乎看不見。
zts1196e	減少移動速度
zts1197e	減少命中
zts1198e	集中魔力，並引導敵人更加沉睡。
zts1199e	在魔力光束追加火屬性之力。
zts1200e	在魔力光束追加水屬性之力。
zts1201e	提升攻擊力
zts1202e	極大化魔力光束的攻擊力。
zts1203e	岩漿地區的特效會變得更加華麗，並極大化攻擊力。
zts1204e	狐狸第3次強力攻擊
zts1205e	羊第3次基本攻擊
zts1206e	銀普第3次基本攻擊
zts1207e	史鈴第3次基本攻擊
zts1208e	刺鼠第3次基本攻擊
zts1209e	水保護
zts1210e	自然保護會使水屬性之力保護的更好。
zts1211e	火保護
zts1212e	自然保護會使火屬性之力保護的更好。
zts1213e	天之審判的特效會變得更加華麗，並極大化攻擊力。
zts1214e	升級(攻擊力)
zts1215e	極大化集中射擊的遠距離攻擊力。
zts1216e	雪夕傳送
zts1217e	攻擊惡魔守護者
zts1218e	攻擊天使守護者
zts1219e	寒冰攻擊
zts1220e	撕破的法袍基本攻擊
zts1221e	霧氣巨人範圍攻擊
zts1222e	妖女基本攻擊
zts1223e	召喚鼴鼠女王
zts1224e	米斯提阿羅恢復
zts1225e	SE周圍攻擊
zts1226e	SE周圍攻擊2
zts1227e	曼陀羅惡靈
zts1228e	受詛咒的天狼基本攻擊
zts1229e	空白資料
zts1230e	利用神聖的光之力量，弱化周邊光屬性以外的敵人。
zts1231e	透過神聖的光之加護，使得本身與冒險隊變得更強。
zts1232e	愛你
zts1233e	(ALT+Q)
zts1234e	好久不見
zts1235e	(ALT+W)
zts1236e	嘻哈
zts1237e	(ALT+E)
zts1238e	哈哈
zts1239e	(ALT+R)
zts1240e	害羞
zts1241e	(ALT+T)
zts1242e	呵呵
zts1243e	(ALT+Y)
zts1244e	嘩
zts1245e	(ALT+U)
zts1246e	啊
zts1247e	(ALT+I)
zts1248e	氣死人
zts1249e	(ALT+O)
zts1250e	耶~
zts1251e	(ALT+P)
zts1252e	幹什麼
zts1253e	(ALT+A)
zts1254e	開玩笑?
zts1255e	(ALT+S)
zts1256e	極力推薦!
zts1257e	(ALT+D)
zts1258e	抓癢
zts1259e	(ALT+F)
zts1260e	咆吼
zts1261e	(ALT+G)
zts1262e	不會忘記
zts1263e	(ALT+H)
zts1264e	撈獲!
zts1265e	(ALT+J)
zts1266e	反彈
zts1267e	(ALT+K)
zts1268e	淚流滿面
zts1269e	(ALT+L)
zts1270e	啊嘩!
zts1271e	(ALT+Z)
zts1272e	嗚唔
zts1273e	(ALT+X)
zts1274e	精神完全崩潰
zts1275e	(ALT+C)
zts1276e	俊男
zts1277e	(ALT+V)
zts1278e	美女
zts1279e	(ALT+B)
zts1280e	嗯嗯
zts1281e	(ALT+N)
zts1282e	噓
zts1283e	(ALT+M)
zts1284e	脫力
zts1285e	(ALT+,)
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
zts1296e	煮食資格證書
zts1297e	提升劍的攻擊力.
zts1298e	減少一定量的HP來提升你及隊伍的攻擊力.
zts1299e	提升你的防禦力.
zts1300e	提升你及隊伍的命中率及致命打擊率
zts1301e	提升魔彈的遠距離攻擊力.
zts1302e	提升遠距離攻擊力及爆擊魔彈的火屬性傷害.
zts1303e	賦予火屬性 3Lv
zts1304e	強化血之誓盟的效果.
zts1305e	賦予暗屬性 3Lv
zts1306e	提升攻擊力 5Lv
zts1307e	極大化鷹眼的效果.
zts1308e	生成更加冰冷的冰之錐，並提升魔法攻擊力.
zts1309e	將天之審判，追加火屬性之力.
zts1310e	生成更加炙熱的岩漿地區，並提升魔法攻擊力.
zts1311e	黑暗隱士者範圍攻擊
zts1312e	在閃耀之箭聚集魔力，給予更多傷害並讓敵人暈厥.
zts1313e	閃耀之箭的特效會變得更加華麗，並極大化攻擊力.
zts1314e	極大化威力魔彈的遠攻擊攻擊力.
zts1315e	散播死亡之力，使周邊敵人失去戰鬥的意志，並減慢他們的移動速度.
zts1316e	散播死亡之力，使周邊敵人失去戰鬥的意志，並令他們的命中率下降.
zts1317e	提升烈焰球的魔法攻擊力.
zts1318e	提升玄冰球的魔法攻擊力.
zts1319e	揮動劍峰形成破壞力驚人的龍捲風.
zts1320e	以瞬雷之勢作出無堅不摧的一擊.
zts1321e	於一定時間內提升你及隊伍的致命打擊率.
zts1322e	提升你及隊伍的移動速度.
zts1323e	於一定時間內提升你的致命打擊傷害值.
zts1324e	提升你的防禦力，並減少 30% 所受傷害來凝聚你的魔力.
zts1325e	提升你及隊伍的火屬性及火屬性抵抗.
zts1326e	減少你受到致命一擊的機率.
zts1327e	透過移動光環，令周圍出現一些特殊效果.
zts1328e	魔間獵人範圍攻擊
zts1329e	召喚雷伊斯
zts1330e	爆發 2Lv
zts1331e	冰凍 2Lv
zts1332e	提升自然保護的效果.
zts1333e	賦予水屬性 3Lv
zts1334e	噓
zts1335e	monster skill
zts1336e	遠征團列表
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
zts1527e	monster skill
zts1528e	monster skill
zts1529e	monster skill
zts1530e	monster skill
zts1531e	monster skill
zts1532e	monster skill
zts1533e	monster skill
zts1534e	monster skill
zts1535e	monster skill
zts1536e	monster skill
zts1537e	monster skill
zts1538e	monster skill
zts1539e	monster skill
zts1540e	monster skill
zts1541e	monster skill
zts1542e	monster skill
zts1543e	monster skill
zts1544e	monster skill
zts1545e	monster skill
zts1546e	monster skill
zts1547e	monster skill
zts1548e	monster skill
zts1549e	monster skill
zts1550e	monster skill
zts1551e	monster skill
zts1552e	monster skill
zts1553e	monster skill
zts1554e	monster skill
zts1555e	monster skill
zts1556e	monster skill
zts1557e	monster skill
zts1558e	monster skill
zts1559e	monster skill
zts1560e	monster skill
zts1561e	monster skill
zts1562e	monster skill
zts1563e	monster skill
zts1564e	monster skill
zts1565e	monster skill
zts1566e	monster skill
zts1567e	monster skill
zts1568e	monster skill
zts1569e	monster skill
zts1570e	monster skill
zts1571e	monster skill
zts1572e	monster skill
zts1573e	monster skill
zts1574e	升級 2Lv
zts1575e	2Lv PVP 特化
zts1576e	增加空中箭雨的遠距離攻擊力和致命損傷力。
zts1577e	距離增加
zts1578e	3Lv攻擊力提升
zts1579e	增加天空的審判的範圍
zts1580e	monster skill
zts1581e	monster skill
zts1582e	monster skill
zts1583e	monster skill
zts1584e	monster skill
zts1585e	monster skill
zts1586e	monster skill
zts1587e	monster skill
zts1588e	南瓜炸彈
zts1589e	積高燈籠(彈跳)
zts1590e	積高燈籠(中級彈跳)
zts1591e	積高燈籠(召喚)
zts1592e	積高燈籠(召喚2)
zts1610e	產生濃霧使敵人命中率和致命打擊率下降。
zts1611e	在隱藏中移動。但如果你受到攻擊，隱藏會被解除。
zts1615e	用神聖的光芒懲罰所有敵人，並暫時降低他們的能力。
zts1620e	集中精神並提升防禦力，受到的傷害減輕30%，部份傷害會用魔力抵消。
zts1622e	便利屋功能
zts1623e	粗暴的吱喳雞彈跳
zts1624e	粗暴的吱喳雞強力彈跳
zts1635e	發射步槍
zts1636e	全面攻擊
zts1637e	酒桶藏身
zts1638e	躲在酒桶裡阻斷敵人的攻擊。
zts1639e	炮擊支援
zts1640e	獲得聯合船艦的支援對敵人炮擊。
zts1641e	跳舞
zts1643e	歡呼
zts1645e	克拉托斯的祝福
zts1646e	火山爆發
zts1647e	咆哮
zts1649e	衝鋒攻擊
zts1650e	突進一擊
zts1651e	下蛋
zts1652e	正在編織蜘蛛網
zts1653e	太陽爆裂（小）
zts1654e	太陽爆裂（大）
zts1655e	召喚（鳳凰）
zts1656e	召喚（蛋）
zts1657e	推擊（強）
zts1658e	念動傳送
zts1659e	太陽爆裂（超）
zts1660e	灼熱之盾
zts1673e	騎士斬
zts1674e	聖炎騎士的基本攻擊。
zts1675e	劍盾合擊
zts1676e	使用盾牌撞向敵人，順勢使出反擊斬。
zts1677e	大地一擊
zts1678e	用刺擊的方式對敵人發出渾身一擊。
zts1679e	聖炎突擊
zts1680e	舉起盾牌奮力衝向敵人。有90%機會使目標陷入'擊倒'狀態。
zts1681e	英勇衝鋒
zts1682e	英勇地衝入敵陣並使出威力驚人的攻擊。
zts1683e	嘲諷
zts1684e	對處於'擊倒'狀態中的敵人使用時，可以讓對方完全失去冷靜。
zts1685e	聖炎之盾
zts1686e	在盾牌上渾注力量，反彈所有傷害。每次成功擋格時，攻擊者會受到即時傷害。
zts1687e	迴旋盾擊
zts1688e	高速旋轉的盾牌化為強大的武器，攻擊一定範圍內的敵人，有機率造成'擊倒'狀態。
zts1689e	騎士之誓
zts1690e	睹上騎士的榮耀，誓要用劍挫敗眼前的敵人。
