zts1e	特殊攻擊
zts821e	PvP時，攻擊力減少 %s%%
zts823e	傳送到指定地點。
zts827e	以%s%%的機率，召喚[%s]。
zts828e	恢復持有者的體力 %s%%。
zts829e	減少持有者的體力 %s%%。
zts831e	能夠狩獵小綿羊
zts832e	角鬥士之心
zts833e	角鬥士防禦
zts834e	角鬥士攻擊
zts835e	以 %S%% 的機率提升超級角鬥場中受到的傷害 %S%%。
zts836e	以 %S%% 的機率降低超級角鬥場中受到的傷害 %S%%。
zts837e	在角鬥場攻擊時，以 %S%% 的機率提升攻擊力 %S%%。
zts838e	在角鬥場攻擊時，以 %S%% 的機率降低攻擊力 %S%%。
zts840e	召喚1號
zts841e	召喚2號
zts842e	召喚3號
zts843e	觀眾席視點
zts844e	召喚第1隊員
zts845e	召喚第2隊員
zts846e	召喚第3隊員
zts847e	觀看其他作戰中的隊友視點
zts849e	能夠發現附近隱藏的角色。
zts851e	精靈獲得的經驗值增加%s%%
zts853e	幾乎沒有橡果
zts860e	以%s%%的機率，召喚最多 %s 隻的黑暗物質之源。
zts861e	以%s%%的機率，把敵人的恢復效果反轉。
zts862e	以%s%%的機率，把敵人下一擊對你造成的傷害轉換成恢復效果。透過此技能累積恢復的HP會在%s秒後一次過扣除。
zts863e	以%s%%的機率，延長%s%%敵人的技能冷卻時間。假如此技能成功發動，則同時降低自身的技能冷卻時間。
zts864e	假如是一個暗黑元素，以%s%%的機率，增加%s%%受到的暗黑傷害。
zts865e	假如是一個暗黑元素，以%s%%的機率，減少%s%%受到的暗黑傷害。
zts869e	假如處於[靈魂吸收]狀態，以%s%%的機率獲得[%s]效果。
zts870e	一般狀態時，以%s%%的機率獲得[%s]效果。
zts871e	以%s%%的機率抵抗強制移位效果。
zts873e	魔法技能再使用時間增加 %s%%
zts874e	魔法技能再使用時間減少 %s%%
zts877e	除了特定位置外，攻擊視線範圍內的所有敵人。
zts878e	減少目標對手%s%%的HP(以%s%% 慨率)
zts879e	造成傷害，HP下降了%s%% (以%s%%慨率)
zts883e	於視野範圍內召喚荊棘。
zts884e	轉換目標
zts886e	以 %s%% 機率使低於%s等級的增益效果無法被應用。
zts890e	迅速移動到 %s 區塊。
zts891e	召喚最少10顆流星以及額外 %s 顆流星。
zts892e	能夠和%s成員傳送到記錄的位置
zts894e	以怒火作出普通攻擊！
zts895e	吸引附近5格的敵人。
zts900e	以 %s%% 機率， 無視目標防禦 %s%%。
zts901e	以 %s%% 機率， 減少所受到的爆擊傷害 %s%%。
zts904e	英雄變身最大MP % 改變
zts905e	安雪路安的降臨。增加最大HP以及最大MP %s%%。
zts906e	安雪路安的降臨。減少最大HP以及最大MP %s%%。
zts908e	攻擊時，以%s%%機率召喚影子攻擊敵人
zts909e	增益盜取
zts910e	接下來的攻擊，從目標身上盜取 %s 等級以下的增益狀態。最大 %s 效果。(只作用於目標同伴)
zts912e	接下來的攻擊，從目標同伴身上盜取 %s 等級以下的增益狀態，並轉移至３格以內的同盟身上。盜取最大 %s 效果。
zts913e	解除變身
zts914e	以 %s%% 概率解除變身。效果消失時會返回變身狀態。
zts916e	%s 秒內無法攻擊。
zts917e	以 %s%% 概率解除變身。當效果成功發動時，目標將無法攻擊 %s 秒，效果消失時會返回變身狀態。
zts919e	時空轉移
zts920e	與目標互換位置。當效果結束時，返回原有位置。
zts923e	當你死亡時，信譽的「損失量」增加%s%%。
zts924e	當你死亡時，信譽的「損失量」降低%s%%。
zts925e	當你死亡時，覺醒經驗值的「損失量」增加%s%%。
zts926e	當你死亡時，覺醒經驗值的「損失量」降低%s%%。
zts928e	懲罰開始，迎接死亡吧。
zts931e	攻擊天使勢力時，增加最大傷害%s%%。
zts932e	攻擊天使勢力時，減少最大傷害%s%%。
zts933e	攻擊惡魔勢力時，增加最大傷害%s%%。
zts934e	攻擊惡魔勢力時，減少最大傷害%s%%。
zts937e	%s%%機率，重置技能冷卻時間。
zts938e	%s%%機率，5格範圍內的同伴獲得[%s]。
zts939e	%s%%機率，5格範圍內的同伴移除[%s]。
zts940e	以%s%%機率消除目標%s級以下的增益效果。
zts942e	以%s%%機率發動，如果怪物等級比玩家角色等級更高或相同，提升攻擊傷害%s%%。
zts943e	以%s%%機率發動，如果怪物等級比玩家角色等級更高或相同，降低所受傷害%s%%。
zts945e	格檔 %s 次低於 %s級的負面狀態。
zts947e	隱身時，提升角色移動速度 %s。
zts948e	隱身時，減少角色移動速度 %s。
zts955e	你的名譽收益增加了%s%%。
zts956e	你的名譽收益下降了%s%%。
zts957e	你所獲得的AW經驗值增加了%s%%。
zts958e	你所獲得的AW經驗值減少了%s%%。
zts959e	同行時，你可以獲得%s個未知道具/每%s小時。
zts960e	%s%%機率消除敵人1個攻擊增益效果。
zts961e	對腐化的骨龍施以巫妖的魔法力量，並給予施法者活化之龍效果。
zts962e	對腐化的骨龍施以巫妖的魔法力量，並給予施法者強壯的活化之龍效果。
zts968e	以 %s%% HP、MP，復活陷入戰鬥不能狀態角色。
zts970e	攻擊隱藏的敵人,並造成 %s 額外傷害。
zts972e	隱藏的敵人傷害增加 %s%%。
zts973e	隱藏的敵人傷害減少 %s%%。
zts974e	發現 %s 格範圍內隱藏的敵人。
zts977e	回到迷你屋享受休假，角色HP將會回復 %s%%。如果玩家HP MAX，將會獲得額外 %s%% HP Bonus。
zts980e	不受技能CD限制，能夠連續使用技能，效果 %s 次。
zts985e	轉換成「赤龍」的形態獲取火焰力量。
zts986e	轉換成「獬豸」的形態獲取野獸力量。
zts987e	%s%%機率 [%s]冷卻時間初始化
zts991e	戰鬥和職業經驗值獲得量提升了%s%%。
zts993e	使用魔法或遠距離攻擊時，有 %s%% 機率施放魔法之箭。
zts994e	迷你亞克惡魔技能
zts995e	防禦時，一定機率減少損傷
zts996e	對「封印圓壺、死亡之地」怪物傷害提升
zts997e	%s%% 機率提升火屬性攻擊傷害 %s%%
zts998e	%s%% 機率降低火屬性攻擊傷害 %s%%
zts999e	同行時，對封印圓壺怪物傷害提升%s%%，對死亡之地怪物傷害提升%s%%。
zts1000e	同行時，封印圓壺怪物所造成的傷害降低%s%%，死亡之地怪物所造成的傷害降低%s%%。
