zts1e	幼紅小狐
zts1287e	書庫沙礫劍鬥士
zts1288e	書庫沙礫弓手
zts1289e	書庫沙礫咒術士
zts1290e	古代遺跡守門人
zts1291e	烈火之巴拉古斯
zts1292e	烈火之巴拉凱特
zts1293e	暴炎的君主巴拉酷斯
zts1294e	烈火之獵犬
zts1295e	暴炎的魔犬凱路途斯
zts1296e	烈火之巨人
zts1297e	烈火之鍊
zts1298e	烈火之侵蝕者
zts1299e	暴炎的巨人卡頓部米倫
zts1300e	烈火之暴食者
zts1301e	烈火之翼
zts1302e	烈火之造化之物
zts1303e	暴炎的聖祖克拉爾米迪倫
zts1304e	烈火之利刃
zts1305e	烈火之盾牌
zts1306e	烈火之矛
zts1307e	暴炎的火神克萊尼卡斯
zts1308e	代理人哈瑪第
zts1309e	燈塔守衛 奇爾頓
zts1310e	港口守衛圖穆
zts1311e	哈瑪特‧阿卡瑪
zts1312e	修米海伊茲
zts1313e	祭司 塞力再德
zts1314e	大祭司 艾爾拉第安
zts1315e	祭司 派拉
zts1316e	利亞‧阿卡瑪
zts1317e	希林‧海伊茲
zts1318e	尼比阿卡瑪
zts1319e	塞米亞‧貝爾頓
zts1320e	迪普‧布拉溫
zts1321e	代門‧米路埔
zts1322e	阿卡瑪商團警備隊
zts1323e	阿卡瑪商團代理人
zts1324e	阿卡瑪商團商人
zts1325e	沙漠飛鷹城居民
zts1326e	尋寶隊的靈魂
zts1327e	死去的尋寶隊
zts1328e	祭司的靈魂
zts1329e	書庫死去的祭司
zts1330e	休息中的搜索隊盜賊
zts1331e	駱駝
zts1332e	助手賓
zts1333e	商團俘虜隆姆艾爾
zts1334e	代理人盧夏爾第
zts1335e	翻譯比爾利
zts1336e	米克爾‧拉本茲
zts1337e	卡瑪歸‧莫皮
zts1338e	劍客貝爾門
zts1339e	無法地帶民兵隊
zts1340e	瑪爾倫‧代澤特里博
zts1341e	鮑伯丁‧希爾可韋伯
zts1342e	無法地帶居民
zts1343e	調查員希在斯
zts1344e	迷樣的旅行者
zts1345e	克萊尼卡斯的歡迎
zts1346e	尼爾的精銳劍客
zts1347e	尼爾的精銳暗殺者
zts1348e	尼爾的精銳炮手
zts1349e	尼爾的精銳爆破兵
zts1350e	暴風沙礫穆基
zts1351e	暴風沙礫瘦精獸
zts1352e	暴風沙礫鋒利之刺
zts1353e	暴風沙礫暴食者
zts1354e	暴風沙礫鋒利之角
zts1355e	暴風沙礫曼陀羅
zts1356e	暴風沙礫黑蠍子
zts1357e	暴風沙礫巨蜥王
zts1358e	貧瘠的沙礫穆基
zts1359e	貧瘠的沙礫瘦精獸
zts1360e	貧瘠的沙礫鋒利之刺
zts1361e	貧瘠的沙礫暴食者
zts1362e	貧瘠的沙礫鋒利之角
zts1363e	貧瘠的沙礫曼陀羅
zts1364e	貧瘠的沙礫黑蠍子
zts1365e	貧瘠的沙礫巨蜥王
zts1366e	無光的沙礫 暴食者
zts1367e	無光的沙礫 曼陀羅
zts1368e	無光的沙礫 黑蠍子
zts1369e	無光的沙礫 巨蜥王
zts1370e	暴風沙礫藤蔓
zts1371e	暴風沙礫刺藤蔓
zts1372e	暴風沙礫仙人掌
zts1373e	貧瘠的沙礫藤蔓
zts1374e	貧瘠的沙礫刺藤蔓
zts1375e	貧瘠的沙礫仙人掌
zts1376e	無光的沙礫 仙人掌
zts1377e	暴風沙礫小狐　
zts1378e	貧瘠的沙礫小狐　
zts1379e	麥爾奇的搜索隊之劍客
zts1380e	麥爾奇的搜索隊之暗殺者
zts1381e	麥爾奇的搜索隊之炮手
zts1382e	麥爾奇的搜索隊之爆破兵
zts1383e	麥爾奇的搜索隊之指揮員
zts1384e	麥爾奇的搜索隊之偵查兵
zts1385e	麥爾奇的的野營地 鑰匙守衛
zts1386e	麥爾奇的野營地 教導官
zts1387e	麥爾奇的精銳 劍客
zts1388e	麥爾奇的精銳 暗殺者
zts1389e	麥爾奇的精銳 炮手
zts1390e	麥爾奇的精銳 爆破兵
zts1391e	塞伊的搜索隊劍客
zts1392e	凱路斯的搜索隊劍客
zts1393e	凱路斯的搜索隊暗殺者
zts1394e	凱路斯的搜索隊炮手
zts1395e	凱路斯的搜索隊爆破兵
zts1396e	凱路斯的搜索隊指揮員
zts1397e	凱路斯的搜索隊偵查兵
zts1398e	凱路斯野營地 鑰匙守衛
zts1399e	凱路斯野營地 教導官
zts1400e	凱路斯的精銳 劍客
zts1401e	凱路斯的精銳 暗殺者
zts1402e	凱路斯的精銳 炮手
zts1403e	凱路斯的精銳 爆破兵
zts1404e	塞伊的搜索隊暗殺者
zts1405e	卡頓的搜索隊劍客
zts1406e	卡頓的搜索隊暗殺者
zts1407e	卡頓的搜索隊炮手
zts1408e	卡頓的搜索隊爆破兵
zts1409e	卡頓的搜索隊指揮員
zts1410e	卡頓的搜索隊偵查兵
zts1411e	卡頓的野營地 鑰匙守衛
zts1412e	卡頓的野營地 教導官
zts1413e	卡頓的精銳 劍客
zts1414e	卡頓的精銳 暗殺者
zts1415e	卡頓的精銳 炮手
zts1416e	卡頓的精銳 爆破兵
zts1417e	塞伊的搜索隊炮手
zts1418e	地下骨灰堂 修道士
zts1419e	地下骨灰堂 祈願者
zts1420e	地下骨灰堂 構圖者
zts1421e	地下骨灰堂 領路人
zts1422e	中央聖室 修道士
zts1423e	中央聖室 祈願者
zts1424e	中央聖室 構圖者
zts1425e	中央聖室 領路人
zts1426e	地下禮拜堂 修道士
zts1427e	地下禮拜堂 祈願者
zts1428e	地下禮拜堂 構圖者
zts1429e	地下禮拜堂 領路人
zts1430e	拉希特聖殿 暴風精靈
zts1431e	拉希特聖殿 沙精靈
zts1432e	拉希特聖殿 沙礫巨人
zts1433e	拉希特聖殿 沙礫侏儒
zts1434e	勞希德聖殿 暴風精靈
zts1435e	勞希德聖殿 沙精靈
zts1436e	勞希德聖殿 沙礫巨人
zts1437e	勞希德聖殿 沙礫侏儒
zts1438e	路希特聖殿 暴風精靈
zts1439e	路希特聖殿 沙精靈
zts1440e	路希特聖殿 沙礫巨人
zts1441e	路希特聖殿 沙礫侏儒
zts1442e	骨灰堂沙礫 怨靈
zts1443e	骨灰堂沙礫 劍鬥士
zts1444e	骨灰堂沙礫 弓手
zts1445e	骨灰堂沙礫 咒術士
zts1446e	禮拜堂沙礫 怨靈
zts1447e	禮拜堂沙礫 劍鬥士
zts1448e	禮拜堂沙礫 弓手
zts1449e	禮拜堂沙礫 咒術士
zts1450e	中央聖室 怨靈
zts1451e	中央聖室 劍鬥士
zts1452e	中央聖室 弓手
zts1453e	中央聖室 咒術士
zts1454e	塞伊的搜索隊爆破兵
zts1455e	嘯嵐的搜索隊劍客
zts1456e	嘯嵐的搜索隊暗殺者
zts1457e	嘯嵐的搜索隊炮手
zts1458e	嘯嵐的搜索隊爆破兵
zts1459e	塞伊的警備隊劍客
zts1460e	塞伊的警備隊暗殺者
zts1461e	塞伊的警備隊炮手
zts1462e	塞伊的警備隊爆破兵
zts1463e	嘯嵐的警備隊劍客
zts1464e	嘯嵐的警備隊暗殺者
zts1465e	嘯嵐的警備隊炮手
zts1466e	嘯嵐的警備隊爆破兵
zts1467e	塞伊的輸送隊劍客
zts1468e	塞伊的輸送隊暗殺者
zts1469e	塞伊的輸送隊炮手
zts1470e	塞伊的輸送隊爆破兵
zts1471e	嘯嵐的輸送隊劍客
zts1472e	嘯嵐的輸送隊暗殺者
zts1473e	嘯嵐的輸送隊炮手
zts1474e	嘯嵐的輸送隊爆破兵
zts1475e	嘯嵐的護衛隊 劍客
zts1476e	嘯嵐的護衛隊 暗殺者
zts1477e	嘯嵐的護衛隊 炮手
zts1478e	嘯嵐的護衛隊 爆破兵
zts1479e	塞伊的護衛隊 劍客
zts1480e	塞伊的護衛隊 暗殺者
zts1481e	塞伊的護衛隊 炮手
zts1482e	塞伊的護衛隊 爆破兵
zts1483e	無邊的沙礫穆基
zts1484e	無邊的沙礫之瘦精獸
zts1485e	無邊的沙礫之鋒利之刺
zts1486e	無邊的沙礫之暴食者
zts1487e	無邊的沙礫之 鋒利之角
zts1488e	無邊的沙礫之 曼陀羅
zts1489e	無邊的沙礫之 黑蠍子
zts1490e	無邊的沙礫之 巨蜥王
zts1491e	消失的沙礫穆基
zts1492e	消失的沙礫 瘦精獸
zts1493e	消失的沙礫鋒利之刺
zts1494e	消失的沙礫 暴食者
zts1495e	消失的沙礫 鋒利之角
zts1496e	消失的沙礫 曼陀羅
zts1497e	消失的沙礫 黑蠍子
zts1498e	消失的沙礫 巨蜥王
zts1499e	無邊的沙礫之 藤蔓
zts1500e	無邊的沙礫 刺藤蔓
zts1501e	無邊的沙礫 仙人掌
zts1502e	消失的沙礫 藤蔓
zts1503e	消失的沙礫 刺藤蔓
zts1504e	野營地 崗哨
zts1505e	仙人掌果實布袋
zts1506e	折斷的阿卡瑪商團旗幟
zts1507e	第1地區 商團貨物
zts1508e	第2地區 商團貨物
zts1509e	第3地區 商團貨物
zts1510e	第4地區 商團貨物
zts1511e	第5地區 商團貨物
zts1512e	第6地區 商團貨物
zts1513e	2次行動指令書 保管箱
zts1514e	遺物儲藏箱子:卡頓的野營地
zts1515e	遺物儲藏箱子:沙漠盜賊團 巢穴
zts1516e	摺疊紙條儲藏箱子
zts1517e	無法調查的碎裂的遺物碎片
zts1518e	塞伊的偵查隊 劍客
zts1519e	塞伊的偵查隊 暗殺者
zts1520e	塞伊的偵查隊 炮手
zts1521e	塞伊的偵查隊 爆破兵
zts1522e	嘯嵐的偵查隊 劍客
zts1523e	嘯嵐的偵查隊 暗殺者
zts1524e	嘯嵐的偵查隊 炮手
zts1525e	嘯嵐的偵查隊 爆破兵
zts1526e	嘯嵐的親衛隊 劍客
zts1527e	嘯嵐的親衛隊 暗殺者
zts1528e	嘯嵐的親衛隊 炮手
zts1529e	嘯嵐的親衛隊 爆破兵
zts1530e	塞伊的親衛隊 劍客
zts1531e	塞伊的親衛隊 暗殺者
zts1532e	塞伊的親衛隊 炮手
zts1533e	塞伊的親衛隊 爆破兵
zts1534e	沙漠盜賊團巢穴的鑰匙守衛
zts1535e	沙漠盜賊團巢穴的教導官
zts1536e	不調查的碎裂遺物線索
zts1537e	不能發現的碎裂遺物碎片
zts1538e	未開封箱子
zts1539e	書庫的碎裂遺物的痕跡
zts1540e	骨灰堂的碎裂遺物的痕跡
zts1541e	禮拜堂的碎裂遺物的痕跡
zts1542e	中央聖室的碎裂遺物的痕跡
zts1543e	不調查的第一個書板
zts1544e	不調查的第二個書板
zts1545e	不調查的第三個書板
zts1546e	書庫的碎裂的書板
zts1547e	骨灰堂的碎裂的書板
zts1548e	禮拜堂的碎裂的書板
zts1549e	中央聖室的碎裂的書板
zts1550e	骨灰堂死去的祭司
zts1551e	禮拜堂死去的祭司
zts1552e	勞希德聖殿管理人
zts1553e	路希特聖殿管理人
zts1554e	拉希特聖殿管理人
zts1555e	妖精的夢之碎片儲藏箱子
zts1556e	給盜賊團頭目的信
zts1557e	不能發現的旅行者日誌
zts1558e	無法調查的強力眩惑藥瓶
zts1559e	妖精的皮口袋
zts1560e	沙漠妖精的粉末儲藏箱子
zts1561e	風妖精的粉末儲藏箱子
zts1562e	沙礫 妖精的粉末儲藏箱子
zts1563e	無法調查的特殊 藥瓶
zts1564e	阿卡瑪商團箱子
zts1565e	丟失商品:凱路斯野營地
zts1566e	丟失商品:卡頓的野營地
zts1567e	丟失商品:沙漠盜賊團巢穴
zts1568e	丟失商品:舊亞斯特聖殿地下
zts1569e	不能發現的特殊箱子
zts1570e	調查員羅拉姆
zts1571e	配給員庫杰爾
zts1572e	兵站管理兵亞倫
zts1573e	盜賊團的箱子
zts1574e	依普拉罕穆的箱子
zts1575e	特殊箱子
zts1576e	亞依林
zts1577e	精銳劍客
zts1578e	精銳暗殺者
zts1579e	精銳炮手
zts1580e	精銳爆破兵
zts1581e	野營地部隊長尼爾
zts1582e	野營地部隊長麥爾奇
zts1583e	野營地部隊長凱路斯
zts1584e	野營地部隊長卡頓
zts1585e	盜賊團巢穴部隊長嘯嵐
zts1586e	盜賊團巢穴部隊長塞伊
zts1587e	兵站軍官伍爾曼
zts1588e	料理商人
zts1589e	鑄造師
zts1590e	沙漠的煉金術師
zts1591e	飾品商人
zts1592e	小爐匠
zts1593e	魔法單車男
zts1594e	魔法單車女
zts1595e	魔法絨緞男
zts1596e	魔法絨緞女
zts1597e	古代遺跡管理人1號 觀看
zts1598e	古代遺跡管理人2號 觀看
zts1599e	古代遺跡管理人3號 觀看
zts1600e	休息中的輸送隊盜賊
zts1601e	休息中的警備隊盜賊
zts1602e	休息中的精銳盜賊
zts1603e	落石3(盜賊團)
zts1604e	摩魯塔茲港口居民
zts1605e	積高燈籠
zts1606e	南瓜炸彈
zts1607e	南瓜夢古
zts1608e	哈囉喂標牌
zts1609e	被封印的粉紅萊吉姆
zts1610e	被封印的巨大咕雞
zts1611e	被封印的巴特突擊侍衛
zts1612e	被封印的地獄犬
zts1613e	被封印的鬥雞
zts1614e	被封印的蝠鼠妖球
zts1615e	被封印的魔王的飼犬
zts1616e	被封印的死亡騎兵
zts1617e	被封印的冥界戰士
zts1618e	被封印的偵測儀
zts1619e	被封印的史域多
zts1620e	被封印的弧妖
zts1621e	被封印的帝王蟹
zts1622e	被封印的雪女
zts1623e	被封印的天豺狼
zts1624e	被封印的蒸氣巨人
zts1625e	被封印的楓葉巨人
zts1626e	被封印的山蔘
zts1627e	被封印的暗影王
zts1628e	被封印的史域多泥漿魔岩
zts1634e	飄逸之雪
zts1635e	飄逸之雪
zts1636e	飄逸之雪
zts1638e	卡兒蛋之巢
zts1639e	球王夢古EX
zts1641e	球王夢古
zts1642e	水晶洞穴守衛犬
zts1643e	水晶洞穴守衛
zts1644e	水晶洞穴祭司長
zts1645e	水晶洞穴守護者
zts1646e	被操控的貝納奧斯幻影弓手
zts1647e	被操控的貝納奧斯幻影咒術師
zts1648e	被操控的貝納奧斯幻影劍士
zts1649e	被召喚的水晶洞穴守衛犬
zts1650e	被召喚的水晶洞穴守衛
zts1651e	被召喚的水晶洞穴祭司長
zts1652e	被召喚的水晶洞穴守護者
zts1653e	虛弱的貝納奧斯幻影弓手
zts1654e	虛弱的貝納奧斯幻咒術師
zts1655e	虛弱的貝納奧斯幻影劍士
zts1656e	布雷諾B型
zts1657e	魔法開篷車(藍)
zts1658e	魔法開篷車(紅)
zts4786e	藍晶石
zts4787e	綠晶石
zts4788e	黃晶石
zts4789e	小薯梗
zts4790e	薯梗王
zts4791e	小怪薯
zts4792e	怪薯王
zts4793e	變壞的馬鈴薯
zts4797e	南瓜夢古EX
zts4798e	積高燈籠護衛軍
zts4800e	便利屋管理員
zts4801e	調查員穆罕默特
zts4802e	被封印的 紅色萊吉姆
zts4803e	被封印的 小角尤達
zts4804e	被封印的 獨角尤達
zts4805e	被封印的 黑萊吉姆
zts4806e	被封印的 魔翼尤達
zts4807e	被封印的 灰豺狼
zts4808e	被封印的 山洞豬
zts4809e	被封印的 山岩烏龜
zts4810e	被封印的 鬃毛豺狼
zts4811e	被封印的 雪人
zts4812e	被封印的 聖誕夢古EX
zts4814e	新春兔子
zts4815e	吱喳雞女王
zts4816e	憤怒的超級吱喳雞
zts4817e	巨型卡兒蛋
zts4818e	巨型卡兒蛋
zts4819e	巨型大菲菲
zts4820e	巨型小菲菲
zts4821e	超級吱喳雞Jr.
zts4823e	復活節標牌
zts4825e	突擊夢古
zts4826e	魔法筋斗雲(男)
zts4827e	魔法筋斗雲(女)
zts4828e	孔雀石夢古
zts4829e	紅寶石夢古
zts4830e	黑曜石夢古
zts4831e	天青石夢古
zts4832e	石榴石夢古
zts4833e	藍瑪瑙夢古
zts4834e	粉紅鑽夢古
zts4836e	家族功能管理員
zts4837e	巴拉古斯
zts4838e	巴拉凱特
zts4839e	赤焰之巨人
zts4840e	赤焰之鍊
zts4841e	熔岩精靈
zts4842e	不穩定的 鳳凰
zts4843e	熾烈之造化之物
zts4844e	沙漠盜賊團的搜索隊之劍客
zts4845e	沙漠盜賊團的搜索隊之炮手
zts4846e	沙漠盜賊團的搜索隊之爆破兵
zts4847e	太陽神之高級祭師
zts4848e	克拉托斯之碎片
zts4849e	巴拉酷斯之自我
zts4850e	熔岩正在冷卻
zts4851e	遺跡守護者
zts4852e	阿卡瑪商團 軍事工程師
zts4853e	大冒險家 約翰
zts4854e	夢古小次郎EX
zts4855e	靈巧的赤焰之獵犬
zts4856e	狂暴的赤焰之獵犬
zts4857e	敏捷的赤焰之鍊
zts4858e	克拉托斯殘像
zts4859e	熔岩鬼靈
zts4860e	幻影赤焰之獵犬
zts4861e	克拉托斯之子
zts4862e	幻影巴拉古斯
zts4863e	幻影巴拉凱特
zts4864e	剛烈的巴拉古斯
zts4865e	剛烈的巴拉凱特
zts4866e	剛烈的熔岩精靈
zts4867e	毒蜘蛛之蛋
zts4868e	巴拉酷斯之蛋
zts4869e	暴炎的巴拉古斯
zts4870e	暴炎的巴拉凱特
zts4871e	爆裂之巨人
zts4872e	太陽神魔岩
zts4873e	鳳凰之蛋
zts4874e	巫師飛行掃把
zts4875e	魔女飛行掃把
zts4876e	海盜標牌
zts4877e	獨眼龍船長 康胖
zts4878e	鋼蚌
zts4879e	傑克蚌
zts4880e	卡蚌
zts4881e	船長 傑克派諾
zts4882e	船長夢古(水)
zts4883e	船長夢古(火)
zts4884e	船長夢古(光)
zts4885e	船長夢古(暗黑)
zts4886e	迷你傑克蚌
zts4887e	海盜 訓練員
zts4889e	赤焰之獵犬
zts4890e	鳳凰克拉爾米迪倫
zts4891e	暴炎的聖劍
zts4892e	暴炎的神盾
zts4893e	暴炎的穿刺
zts4894e	瑪爾倫代澤特里博
zts4895e	神秘古文明
zts4896e	閃光的沙礫
zts4897e	冰之花
zts4898e	封印
zts4899e	受損的封印
zts4900e	墜落的邪惡元靈
zts4901e	封印守護者
zts4902e	不穩定的 守護者
zts4903e	熔岩噴發
zts4906e	魔法駱駝（男）
zts4907e	魔法駱駝（女）
zts4908e	小巴拉酷斯
zts4909e	生命水晶
zts4910e	熔岩攻擊
zts4911e	赤焰煉金術士
zts4912e	哈囉喂寵物訓練員
zts4913e	巫師艾力克
zts4914e	魔女瑪妮
zts4919e	戰狼夢古
zts4920e	戰國夢古
zts4921e	紅鼻子夢古
zts4922e	迷你紅鼻子夢古
zts4923e	紅鼻子寵物訓練員
zts4924e	被封印的迷你紅鼻子夢古
zts4925e	聖誕路牌
zts4926e	雪花
zts4927e	雙板滑雪高手(M)
zts4928e	雙板滑雪高手((F)
zts4929e	弧形單板專家(M)
zts4930e	弧形單板專家(F)
zts4935e	魔法滑板小子
zts4936e	魔法滑板少女
zts4938e	強化惡魔犬克拉托斯
zts4939e	小天使萊吉姆
zts4940e	小天使萊吉姆
zts4941e	熾天使萊吉姆
zts4942e	熾天使萊吉姆
zts4943e	神聖天使萊吉姆
zts4944e	神秘之蛋
zts4945e	復活節布袋
zts4946e	見習天使
zts4947e	大天使萊吉姆
zts4948e	德國球王夢古
zts4949e	法國球王夢古
zts4950e	英格蘭球王夢古
zts4951e	意大利球王夢古
zts4952e	西班牙球王夢古
zts4953e	波蘭球王夢古
zts4954e	俄羅斯球王夢古
zts4955e	捷克球王夢古
zts4956e	土耳其球王夢古
zts4957e	大魔法師 肯
zts4958e	破滅與渾沌 真紅猛焰龍
zts4959e	部隊長 阿基里斯
zts4960e	阿基里斯的 魔岩士兵
zts4961e	阿基里斯的 史瑞克弓箭手
zts4962e	阿基里斯的 史瑞克魔劍士
zts4963e	阿基里斯的 獄炎精靈
zts4964e	羅柏特 豪邁
zts4965e	艾琳 威莉姆斯
zts4966e	沃爾夫岡 馮 葛德
zts4967e	渾沌的 赤焰巨人
zts4968e	渾沌的 熔岩精靈
zts4970e	迷你 康胖
zts4971e	海賊少女 凱瑟琳
zts4972e	炎赤丸
zts4973e	冰晶夜鷹
zts4974e	聖誕糜鹿
zts4975e	迷你聖誕鹿
zts4976e	托爾的靈魂
zts4977e	奧麗加的靈魂
zts4978e	羅伊的靈魂
zts4979e	被封印的迷你聖誕鹿
zts4980e	紳士雪人的軍團
zts4981e	雪之精靈溫妮
zts4983e	神聖魔法騎士(男)
zts4984e	神聖魔法騎士(女)
zts4985e	愛心魔法騎士(男)
zts4986e	愛心魔法騎士(女)
zts4987e	漆黑魔法騎士(男)
zts4988e	漆黑魔法騎士(女)
zts4989e	巨型漩渦
zts4990e	簡易陷阱
zts4991e	追跡者-隼
zts4992e	煙幕
zts4993e	青魔導使 默達
zts4994e	夏納爾 幽魂山羊
zts4995e	夏納爾 冰霜魔蟲
zts4996e	寒冰之刃 貝魯 夏納爾
zts4998e	可疑的冰川
zts4999e	蒙德
zts5000e	艾德華
zts5001e	依莉莎亞
zts5002e	利維坦 偵察兵
zts5003e	利維坦 突擊兵
zts5004e	利維坦 雪女
zts5005e	利維坦 鬃毛豺狼
zts5006e	聖殿守護者 利維坦
zts5007e	夏納爾之聖殿基石
zts5008e	警備隊之靈
zts5009e	皇家親衛隊之靈
zts5010e	弓手之靈
zts5011e	魔法UFO(男)
zts5012e	魔法UFO(女)
zts5013e	魔法陸行雞(男)
zts5014e	魔法陸行雞(女)
zts5015e	焰之狐狸
zts5016e	火花幼狐
zts5017e	焰光靈狐
zts5018e	迪肯
zts5019e	溫尼 查
zts5020e	角鬥場配給品商人
zts5021e	艦長夢古
zts5022e	魔法滑浪風帆(男)
zts5023e	魔法滑浪風帆(女)
zts5024e	收集家 阿肯
zts5025e	夢古夢古國王
zts5026e	西部牛仔夢古
zts5028e	被召喚的暗之起源
zts5031e	水夢古
zts5032e	火夢古
zts5033e	召喚飛天獨角馬
zts5034e	召喚小菲菲
zts5035e	召喚雪人
zts5036e	召喚糜鹿
zts5037e	黃色吉普車駕駛員(男)
zts5038e	黃色吉普車駕駛員(女)
zts5039e	藍色吉普車駕駛員(男)
zts5040e	藍色吉普車駕駛員(女)
zts5041e	紅色吉普車駕駛員(男)
zts5042e	紅色吉普車駕駛員(女)
zts5043e	綠色吉普車駕駛員(男)
zts5044e	綠色吉普車駕駛員(女)
zts5045e	黑色吉普車駕駛員(男)
zts5046e	黑色吉普車駕駛員(女)
zts5047e	紫色吉普車駕駛員(男)
zts5048e	紫色吉普車駕駛員(女)
zts5049e	夢古半藏
zts5050e	夢古影分身
zts5051e	黑暗咒法師
zts5052e	黑暗騎士
zts5053e	黑暗射手
zts5054e	黑暗天狼
zts5055e	渾沌
zts5056e	迷樣的旅行者
zts5057e	撒拉卡爾
zts5058e	莉莉絲
zts5059e	印弟安夢古
zts5060e	可愛的九尾妹妹
zts5061e	帕克先生的長子
zts5062e	帕克先生的次子
zts5063e	帕克先生的三子
zts5064e	修道的狐狸
zts5065e	修道的小狐狸
zts5066e	維京勇士
zts5067e	百年虎王
zts5068e	年糕籃
zts5069e	繩
zts5070e	顫抖的兄妹
zts5071e	流浪者
zts5072e	虎王的刺鼠
zts5073e	虎王的毒刺鼠
zts5074e	貓咪劍統士
zts5075e	大巫師 雷娜
zts5076e	非完全體混沌
zts5077e	一口奶酪
zts5078e	一束小草
zts5079e	紅‧兵衛
zts5080e	青‧兵衛
zts5081e	紅‧兵衛分身
zts5082e	青‧兵衛分身
zts5083e	誘人的葫蘆
zts5084e	洪巴
zts5085e	噢巴
zts5086e	受傷的燕子
zts5087e	洪巴的奇怪葫蘆
zts5088e	噢巴的奇怪葫蘆
zts5089e	激進的紅‧兵衛分身
zts5090e	激進的青‧兵衛分身
zts5092e	有毒的暗黑植物
zts5093e	絆腳英雄
zts5096e	被操控靈魂的英雄
zts5097e	青澀兔 小芒
zts5098e	烏龜 鮑爾
zts5099e	秘境小小兔
zts5100e	巨型胡蘿蔔
zts5101e	奇怪的兔子洞穴
zts5102e	秘境兔領袖
zts5104e	名譽經理
zts5109e	冥煌龍之影子
zts5110e	羅夫尼克
zts5111e	埃斯特里
zts5112e	拉斯基爾
zts5113e	狂熱者
zts5114e	女神 吉隆崎
zts5115e	菲利斯 第二團 十字軍
zts5116e	吉隆崎 親衛隊
zts5117e	吉隆崎 皇家親衛隊
zts5118e	吉隆崎 法術親衛隊
zts5119e	吉隆崎 牧師
zts5120e	德萊昂
zts5121e	雷曼
zts5122e	伊斯梅爾
zts5123e	巴索
zts5124e	女神 愛羅尼亞
zts5125e	精英 狂熱者
zts5126e	愛羅尼亞 親衛隊
zts5127e	愛羅尼亞 皇家親衛隊
zts5128e	愛羅尼亞 法術親衛隊
zts5129e	愛羅尼亞 牧師
zts5130e	精英 巴索
zts5131e	菲利斯 第六團 十字軍
zts5132e	菲利斯 十字軍 隊長
zts5133e	菲利斯 轉換 牧師
zts5134e	菲利斯 配給 牧師
zts5135e	技能書 NPC
zts5136e	十字軍 格雷厄姆
zts5137e	努伊勒
zts5138e	禮戈斯
zts5139e	亞撒黑
zts5140e	拉梅爾
zts5141e	薩基爾
zts5142e	巴克拉
zts5143e	帕里斯
zts5144e	波魯斯
zts5145e	菲利斯 第二團 先鋒
zts5146e	菲利斯 第二團 牧師 凱利
zts5147e	菲利斯 第二團 牧師 莫利
zts5148e	惡魔監督者 阿蒙
zts5149e	天使 路西斐爾
zts5150e	吉隆崎 魔法領域
zts5151e	守護石
zts5152e	格雷厄姆
zts5153e	未知的幽靈劍士
zts5154e	未知的幽靈弓手
zts5155e	未知的幽靈咒術師
zts5156e	佩拉諾的幽靈劍士
zts5157e	佩拉諾的幽靈弓手
zts5158e	佩拉諾的幽靈咒術師
zts5159e	受傷的十字軍
zts5160e	發瘋的十字軍
zts5161e	被洗腦的十字軍
zts5162e	未知的精銳幽靈劍士
zts5163e	未知的精銳幽靈弓手
zts5164e	未知的精銳幽靈咒術師
zts5165e	低級的精銳幽靈劍士
zts5166e	高級的精銳幽靈劍士
zts5167e	佩拉諾的精銳幽靈劍士
zts5168e	不完全的佩拉諾
zts5169e	煉金術士菲利斯
zts5170e	拉巴斯
zts5171e	哈帕戈斯
zts5172e	基列伊
zts5173e	亞斯塔羅特
zts5174e	研究時空裂縫的十字軍學者
zts5175e	克爾曼西娜
zts5176e	埃爾丁
zts5177e	飛船船長
zts5178e	傳說中的獵人
zts5179e	盜墓強盜
zts5180e	希望的格雷厄姆
zts5181e	深淵的格雷厄姆
zts5182e	熱忱的格雷厄姆
zts5183e	淨化的格雷厄姆
zts5184e	佩拉諾的小流星
zts5185e	佩拉諾的大流星
zts5186e	佩拉諾的灰刃
zts5187e	佩拉諾的黑刃
zts5188e	破碎的克雷姆左刃
zts5189e	破碎的克雷姆右刃
zts5190e	烏龜鮑爾
zts5191e	女神吉隆崎雕像
zts5192e	女神愛羅尼亞雕像
zts5193e	被遺忘的聖殿祭壇
zts5194e	芙蕾雅
zts5195e	拉格納羅洛
zts5196e	貪婪之龍法布尼爾
zts5197e	妮恩
zts5198e	尤瓦達
zts5199e	偵察兵
zts5200e	法布尼爾的犬齒
zts5201e	法布尼爾的小齒
zts5202e	碎裂的法布尼爾犬齒
zts5203e	碎裂的法布尼爾小齒
zts5206e	沙漠盜賊隊長
zts5207e	盜賊成員
zts5208e	盜賊精英
zts5213e	尤柏蘭
zts5214e	珍妮花
zts5215e	沙漠蜘蛛
zts5216e	堅韌的風沙巨人
zts5217e	堅韌的風沙矮人
zts5218e	飢渴幽靈
zts5219e	沙漠比斯艾溫
zts5220e	堅韌的風沙蜥蜴
zts5221e	堅韌的風沙盔甲蟲
zts5222e	沙漠幽靈
zts5223e	哥特長老
zts5224e	哥特小孩
zts5225e	海盜船船長
zts5226e	流浪沙漠的煉金術士
zts5227e	沙漠鐵匠
zts5228e	衛兵
zts5229e	軍務長
zts5230e	海盜夢古貓
zts5231e	海軍夢古貓
zts5232e	腐化的尤柏蘭
zts5233e	腐化的骨龍
zts5234e	活死人
zts5235e	不死之身
