zts1e	依蘭特 裝備商店 (使用)
zts5075e	要如何解除屬性魔法呢?
zts5076e	嗯嗯… 應該要使用，有各種屬性魔法的用品吧…首先，注意觀察一下這周圍吧，應該有辦法的
zts5077e	好了，地脈斷了！
zts5078e	動作快一點！等比斯特提起精神之前，要把他解決掉！
zts5079e	(聲音)停！！
zts5080e	你是誰?
zts5081e	(聲音) 你要見比斯特嗎?
zts5082e	你是誰?
zts5083e	(聲音) 比斯特的憤怒…會把你們燒光！！
zts5084e	你們是誰? 你們想要的是什麼東西?
zts5085e	(聲音) 跟我交易吧，我會在神殿頂樓等你
zts5086e	…突然找來的敵人…
zts5087e	那個聲音…可以相信嗎?
zts5088e	請看前面~
zts5089e	強大的魔力，剛剛那個聲音…不能輕易放過
zts5090e	不知道你是誰…你想要的是什麼? 為什麼要叫我們?
zts5091e	我…殺了我吧！！
zts5092e	小心！好強的魔力！
zts5093e	哈哈…現在起是我的自由了
zts5094e	我…不知道，被這裡困住之後，我的時間就停止了，我是誰…這裡是哪裡…我什麼都不知道…
zts5095e	你到底在說什麼啊！我們要打敗比斯特才行啊！
zts5096e	哈哈… 比斯特絕對不會被打敗的
zts5097e	我…可能是… 封印比斯特的鑰匙，我可以見到你們是因為…可能有人…喚醒了比斯特
zts5098e	是的~
zts5099e	謝謝，我現在自由了…我現在…要離開這裡的…
zts5100e	…被困住的靈魂身體，慢慢要消失了…
zts5101e	喂！我們要打敗比斯特啦！要怎麼才可能控制比斯特的本尊呢?
zts5102e	比斯特只會聽從，喚醒比斯特的人……喚醒比斯特的人，代表著魔法的象徵…其他的就是死亡，放棄吧…
zts5103e	喂！喂！
zts5104e	…被困住的靈魂消失了…
zts5105e	這…唉呀！！
zts5106e	喚醒比斯特的是巴特…
zts5107e	…這是什麼意思?
zts5108e	巴特使用得魔法用品…這個可以打破，恐怖的魔法陣！！
zts5109e	可是…那個要從哪裡…
zts5110e	這才是問題…
zts5111e	難道……你知道巴特的魔法用品在哪裡嗎?
zts5112e	現在馬上！法上要回到依蘭特村莊了！！回到Nos Camp吧！！
zts5113e	沒有時間了！！快吧！
zts5114e	山露古！！ 山露古！！
zts5115e	幹嘛這麼忙碌啊?
zts5116e	我上次給你的，那個… 咒語石！！
zts5117e	那個…克雷亞多的咒語石… 一個很奇怪的東西啊！！
zts5118e	啊…那個喔，在這裡…
zts5119e	啊… 嗯…不知道是什麼事情，希望有幫上你的忙！！
zts5120e	對！就是這個！！
zts5121e	這下完蛋了！！
zts5122e	等一下，現在還剩下一點事情！繼續行動吧！
zts5123e	還有辦法嗎?
zts5124e	首先…這裡的魔法陣，被破壞了，那… 我們應該可以直接進入到比斯特的心臟了~
zts5125e	你說比斯特的心臟嗎?
zts5126e	是的，只要讓比斯特的心臟停止的話…本尊也會停止
zts5127e	應該吧！那應該在之前就要攻擊他的心臟了，
zts5128e	要相信！一定可以的！現在放棄還太早了，加油吧！！
zts5129e	我們不會逃忙，不會輸，兄弟們！跟著我吧！去殺了那些人吧！
zts5130e	這黑色石版是！以前用來聯絡魔物的東西！
zts5131e	為什麼突然要對我說這些呢??
zts5135e	唔…就是…有個叫翻滾斷層
zts5136e	翻滾斷層嗎?
zts5137e	危險喔！為什麼要跟著來啊?！
zts5138e	危險！ 為什麼要跟過來呢?
zts5139e	請不要再接近了，這前面有非常可怕的魔物！
zts5140e	魔物?
zts5141e	並不是狼人族，而是另一種會盲目攻擊的生命體，他們都是被惡魔帶來這裡的
zts5142e	請不要再前進了，告辭~
zts5143e	依蘭特技能登錄所2(使用)
zts5151e	取得超級咕雞印章
zts5152e	告知依蘭特村莊的所有人們
zts5153e	目前羅布格卿的養雞場所養的雞兒們，因不明的原因變的很凶暴，正處於危機當中
zts5154e	曾經是養雞場中的靈物 超級咕雞，為何變的如此凶暴，目前還不知道
zts5155e	但是如果狀況持續下去，以後將無法享用到新鮮可口的雞蛋了
zts5156e	如果不希望發生這麼恐怖的事情，就請把超級咕雞抓來吧
zts5157e	沒有時間了，請快點動身！ 聽明白了嗎?
zts5158e	[羅布格宅邸管家 河馬酷]
zts5159e	這…這…這感覺好像是在威脅人耶！！！！
zts5160e	43Lv尋找神秘之寶物
zts5161e	情報員任務
zts5162e	45Lv新同盟
zts5163e	48Lv比斯特之樹
zts5164e	情報員的對話
zts5165e	Notuse
zts5166e	Notuse
zts5167e	Notuse
zts5168e	Notuse
zts5169e	Notuse
zts5170e	Notuse
zts5171e	Notuse
zts5172e	Notuse
zts5173e	Notuse
zts5174e	44Lv新同盟
zts5175e	狼人族茶茶丸任務
zts5176e	取得任務
zts5177e	茶茶丸任務
zts5178e	ㄟ您好?
zts5179e	我現在很忙喔 !不要煩我好嗎?
zts5180e	…(看起來非常不開心喔)
zts5181e	啊!這麼硬的怎麼敲碎啊~
zts5182e	ㄟ~那個~
zts5183e	還沒走喔?你真的很煩人耶
zts5184e	我是說…(這個問題下次再問好了)你看起來好累喔…有什麼要幫忙嗎?
zts5185e	是這樣喔~喔~不好意思喔!不過應該你弄不好吧
zts5186e	是隕石,還有碑石… 是這些東西掉下來而形成的，這些石頭很硬到無法敲碎!
zts5187e	你說隕石嗎?怎麼可能~哪裡有隕石掉落啊?告訴我好嗎?
zts5188e	有看到這些個洞嗎?因為這些洞，路都塞住沒辦法通過
zts5189e	只要打碎這個就可以了(需要更硬的東西)， 好像有其他方法~等等喔
zts5190e	我需要你的幫忙喔
zts5191e	什麼啊?
zts5192e	要打碎隕石,不過用十字鎬沒辦法弄碎
zts5193e	那應該需要巨大的鎚子，幫我拿些材料馬上幫你做~
zts5194e	謝謝!不過，你說的材料是??
zts5195e	需要金屬和樹材!需要比較高檔的材料喔
zts5196e	我找回來了!這裡有材料~
zts5197e	耶!很好的材料喔!很好~等我一下喔
zts5198e	等了一陣子
zts5199e	耶!好了!完成了~噹噹噹噹噹
zts5200e	哇!好厲害喔~真的什麼都可以打碎耶~
zts5201e	哈哈!因為威力非常大~所以特別小心哦~
zts5202e	謝謝你!
zts5203e	這個應該可以打碎隕石吧?
zts5204e	哇~!!這種鎚子應該可以打碎!謝啦!
zts5205e	不會啊~我來幫個忙~
zts5206e	真是個大好人!快幫我打碎吧~
zts5207e	呼~
zts5208e	你真的好厲害喔!謝謝你的幫忙!很快就結束了耶~
zts5209e	辛苦了，那我去查一下隕石附近喔~
zts5210e	好~找一個類似石碑一樣的隕石就好，啊!!對了~這附近感覺很危險，要小心一點喔~
zts5211e	…?
zts5212e	挖勒!他們本來有這麼強嗎?奇怪耶~
zts5213e	是因為隕石的關係嗎?需要趕快查一查~
zts5214e	隕石終於找到了~咦!真的很像石碑耶~
zts5215e	啊~奇怪~好暈喔
zts5216e	不知不覺的想要碰隕石,之後眼前出現白白的影像
zts5217e	……這裡是哪裡啊?他們是誰啊?
zts5218e	長很醜的那個好像是壞人~他是不是在綁架啊?那…那位穿紅色衣服的人是要救女生的...??
zts5219e	很親切的影像說明哦，還有人物的名字~壞人就是鯰魚太夫~紅色衣服就是茶茶丸 還有女的就是櫻花公主
zts5220e	那兩個看起來很強~咦~他們跑掉了~怎麼突然出現一扇門啊?!
zts5221e	那扇門是從石碑出來的，是吧?與隕石很像的石碑…
zts5222e	需要查一下那石碑…
zts5223e	這是什麼石頭啊?感覺有點奇怪!
zts5224e	撿起石碑附近的石頭之後, 眼前的影像就消失了
zts5225e	…拿著石頭，影像就不見了~
zts5226e	如果這石頭跟影像有關係…那應該就可以再次見他們…
zts5227e	剛剛適合這石碑的洞!難怪~
zts5228e	還有幾個洞…要好好記住這裡(不要忘記這裏)
zts5229e	跟艾美解釋過了
zts5230e	卡片裡有人?怎麼可能啊?
zts5231e	你知道發生了什麼事情嗎?
zts5232e	恩…好像我幫不了你耶!你可以去找山露古喔!他應該可以幫你的忙!
zts5233e	是這樣喔~我知道了
zts5234e	跟山露古講過
zts5235e	唉~
zts5236e	知道有什麼方法嗎?
zts5237e	是的，有聽過這種卡片…是有方法可以把封印的人暫時從卡片中出來，但是…
zts5238e	有方法可以提供給我喔!什麼都可以喔!
zts5239e	恩….如果只是一下下,應該可以從卡片裡讓他出來一下~
zts5240e	真的嗎!?
zts5241e	是的，不過需要精靈淨水，這些東西應該拉迪很清楚…去問問看~
zts5242e	知道了，謝謝你。
zts5243e	拉迪!拉迪!!在哪裡啊!!
zts5244e	恩，什麼事情呢…?
zts5245e	精靈淨水去哪裡才可以拿到呢??
zts5246e	喔!冷靜冷靜!精靈淨水的話，我可以幫你製作~
zts5247e	呀呀呀~太好了，因為很急?不好意思喔，可以現在幫我製作嗎?
zts5248e	製作是不難啦!不過，材料不好找耶
zts5249e	我會盡量找!請你說需要的材料?
zts5250e	恩，需要乾淨的水和妖精之粉…乾淨的水可以今天早上拿，不過妖精之粉的話，需要認識妖精才可以拿耶~
zts5251e	啊~或許可以跟貝托魯奇要看看
zts5252e	對喔!拉迪~我很快回來的~因為真的很急，所以要先幫我準備喔!
zts5253e	好，好的
zts5254e	貝托魯奇~
zts5255e	ㄟ很吵耶~可不可以安靜一下，妖精會嚇到啦~
zts5256e	真的不好意思喔!因為太忙…所以不小心~
zts5257e	找我有什麼事呢?
zts5258e	需要妖精之粉…或許你會有這些東西~
zts5259e	現在沒有，可是可以跟妖精他們拿拿看~
zts5260e	真的啊!?可以幫我找嗎?拜託你喔.
zts5261e	<pname>你也知道, 妖精很任性耶…拿好吃的東西給他，他才會給妖精之粉
zts5262e	剛好缺要用在料理的香菜耶~可以幫我找5個香菜嗎?
zts5263e	好的!簡單了!好的~我會幫你的
zts5264e	我帶來了你要的東西了~
zts5265e	耶~可以用這個當中餐~跟妖精一起吃耶~我跟妖精講一下~等等喔~
zts5266e	這就是妖精之粉
zts5267e	謝謝!
zts5268e	不會!謝謝你~跟妖精的中餐很愉快~
zts5269e	(材料已經收集好了吧~快點要去救茶茶丸!!)
zts5270e	來啦!正在等你
zts5271e	很急喔 快點幫我做好不好…
zts5272e	好!稍等一下喔
zts5273e	好了~這裡~
zts5274e	啊!謝謝~不好意思跟你要這麼難的東西~
zts5275e	不會不會!我也很開心可以幫你的忙
zts5276e	(只要有這個…可以把茶茶丸回到以前!去見一下山露古好了~)
zts5277e	山露古!!我有帶來精靈淨水!再來要怎麼做呢?
zts5278e	很簡單喔!把精靈淨水噴在卡片上
zts5279e	是這樣嗎?是嗎?
zts5280e	是的!慢慢來!但只可以讓他出來一下下， 要記的喔~時間不多喔
zts5281e	將精靈淨水滴在卡片上，開始冒煙了耶~
zts5282e	啊啊…這裡是?謝謝~相關的情況我已經在卡片裡聽說過了，時間不多~不過，可不可以幫我一下呢?真不好意思~
zts5283e	好啊，我樂意幫你的
zts5284e	謝啦!來到這裡遇到你真的很開心…!
zts5285e	ㄟ果然是…
zts5286e	有看到附近有從來沒看過的時空裂縫嗎?感覺到跟我之前住的地方有一樣的氣息~
zts5287e	新的時空裂縫的話…聽說有在北部平原發現~
zts5288e	果然是…經過那裡應該可以到我住的地方，那裡藏公主的髮飾 可以幫我去拿嗎?
zts5289e	是很特別的髮飾嗎?
zts5290e	沒錯!那髮飾有公主的力量，因為那個我才會來到這裡
zts5291e	恩~
zts5292e	還有..之前應該有感覺到~可以用我的力量把鯰魚太夫打敗
zts5293e	雖然是卡片被封住…但部分的力量還是可以給你用
zts5294e	拜託你，使用我的力量去救公主
zts5295e	知道了!我會幫你救公主的
zts5296e	為了使用我的力量需要多加修練~拜託你喔~
zts5297e	茶茶丸又被這張卡片封鎖了
zts5298e	茶茶丸…不用擔心!我會幫你救回櫻花公主的!!!
zts5299e	請稍等我一下喔= =
zts5300e	啊?什麼事情呢?
zts5301e	<pname>我感覺到很純淨的力量
zts5302e	哈哈!不要這樣~很害羞呢~
zts5303e	不是啦…我是說你手上的髮飾啦~
zts5304e	………
zts5305e	啊~就是這個髮飾喔!可以借我看一下嗎?
zts5306e	恩!
zts5307e	有股純淨的力量…!這感覺…這力量…髮飾的主人好像被封印在某地方耶~
zts5308e	對啊!被封印了你怎麼知道啊?
zts5309e	有關髮飾的氣息，我可以都知道~
zts5310e	那可以把被封鎖的主人恢復回來嗎?
zts5311e	髮飾裡有主人的力量…但這髮飾沒剩下的力量已經不多了
zts5312e	啊!那沒方法了嗎?
zts5313e	我知道方法啦!
zts5314e	什麼呢… ?我會幫忙的!什麼都願意喔!
zts5315e	真的嗎?好吧，請問你知道大法師之塔嗎?
zts5316e	大法師之塔的話…有許多被丟棄的…
zts5317e	對!哪裡有很多暗黑魔法師創造的魔物
zts5318e	在那裡要做什麼呢?
zts5319e	暗黑魔法師為了給魔物灌輸生命使用了靈魂的結晶。只要把那個魔物殺掉就能得到靈魂的結晶…可是，魔物太強了。
zts5320e	靈魂的結晶…那我去找回來！
zts5321e	要做寶石的話就需要靈魂的結晶，那個結晶能量很少，請盡量收集。
zts5322e	嘿嘿…收集這麼多就行了吧?
zts5323e	你這麼辛苦…被封印的人應該是很重要的人吧?
zts5324e	這是我好朋友拜託我的。所以，我一定要遵守我和他約定!
zts5325e	是這樣啊，那個約定我一定會幫你遵守的，請稍等一下。
zts5326e	我做了靈魂的寶石。把這個放在髮飾裡面的話，可能很快就集中力量。
zts5327e	快點吧…拜託啦!
zts5328e	那現在就放進去。請小心一點。
zts5329e	…?
zts5330e	靈魂的寶石放在髮飾裡周圍馬上集中了許多力量
zts5331e	哇，好強的能量!
zts5332e	完成了喔
zts5333e	櫻花公主呢?不是馬上就出來的嗎?
zts5334e	被封印的人叫櫻花公主嗎?請叫她的名字。應該會有回應。
zts5335e	是這樣喔，謝謝你，真的謝謝你喔
zts5336e	謝謝！真的很感謝！
zts5337e	接受茶茶丸任務
zts5338e	嗯，不是長時間的話，可以從卡片裡出來一下…
zts5339e	雖然很有信心…可是，鯰魚太夫也不弱…
zts5340e	<pname>!!猶豫什麼？茶茶丸跟我在一起！
zts5341e	茶茶丸…請相信我!我一定會遵守跟你的約定!
zts5342e	<pname>，請稍等我一下喔
zts5343e	<pname>我感覺到你的純淨的力量。
zts5344e	茶茶丸　施展
zts5345e	嚇了我一跳!沒想到突然進來了這裡…你是?!鯰魚太夫!!
zts5346e	咦?你是誰啊?怎麼知道我的名字啊?
zts5347e	呀唷!我被抓了!幫幫我吧!
zts5348e	(這次好像看得到我??茶茶丸還沒跟著我來?)
zts5349e	(我還不知道對方的實力，所以現在打起來太過冒險) 先撤退!我不會原諒妨礙我的人!!
zts5350e	啊勒!等我!很快就跑掉了…跟刺客一樣快~
zts5351e	這個石頭?!是不是故意掉在地上的?這感覺有點特別…有種似曾相識的感覺
zts5352e	找到了!鯰魚太夫!
zts5353e	喔!你是來救我的嗎?
zts5354e	你這個家伙，那時候!我已經警告過你了!!殺了他吧!
zts5355e	這家伙逃跑到哪裡了？啊？！這不是打架的聲音嗎？一起去看看吧！！
zts5356e	這臭小子跑去哪裡啊?咦?這聲音是…?有人在打架.去看一下好了!!
zts5357e	啊?那個人是…茶茶丸?（茶茶丸還沒通過門，怎麼能在這裡?)現在沒有時間!先幫他吧!
zts5358e	我不知道你是誰，可是真的很感謝你的幫忙
zts5359e	小事一樁!幸好沒發生什麼事情~
zts5360e	那我先走了，我不會忘記你的
zts5361e	啊!等一下一起走啦~
zts5362e	鯰魚太夫!終於遇到了!
zts5363e	這是什麼!?茶茶丸，你怎麼在這裡??
zts5364e	茶茶丸!?你到底做什麼?快點救我!
zts5365e	我也幫你，茶茶丸!
zts5366e	你是…!?我對你的好意很感謝，可是，不知道你的力量用不用的上…
zts5367e	(怎麼這樣…!我的攻擊竟然一點也沒有用!!）
zts5368e	鯰魚太夫有特別的力量。除了我以外，還沒有人可以打倒他。請你保護櫻花公主。
zts5369e	啊!啊!(喊叫聲)
zts5370e	哼!怎麼樣?鯰魚太夫!!
zts5371e	很可惜，茶茶丸!到此為止了嗎?
zts5372e	(雖然沒幫到什麼忙，不過很開心的結束了)
zts5373e	長久的歲月，還沒結束的戰鬥。竟然，在這裡打休止符!結束了!
zts5374e	那時候，面露著奸笑的鯰魚太夫。才在感覺到有點危險的剎那，茶茶丸就被吸收到哪鯰魚太夫手上的卡片裡。
zts5375e	你把茶茶丸怎麼了?
zts5376e	用那張卡片可以封印人～笨笨的茶茶丸!嗤嗤!!
zts5377e	(我一個人不能擋住鯰魚太夫…現在只能逃跑…下次一定會救出櫻花公主!?)
zts5378e	櫻花公主，我一定會再回來救你!請忍耐一下!
zts5379e	哦，我忘了你這個家伙也在這裡!抓住他吧!今天真開心。嗤嗤!!
zts5380e	你這個臭小子，我不會忘記你的~
zts5381e	嗯?!這家伙，帶卡片走了嗎?說真的，已經封印了，他也不能做什麼。嗤嗤!!
zts5382e	差點掉下去了…沒想到從關口進來的地方是屋頂上…髮飾會在哪裡？
zts5383e	糟糕！沒想到那些家伙先到這裡了…我一定要比他們還早點找到髮飾
zts5384e	被發現了= =
zts5385e	這些家伙人數太多…可是，越戰鬥越感覺得到的這強力的力量是什麼?這就是茶茶丸的力量嗎!!
zts5386e	找到了耶
zts5387e	辛苦了，跟著來~很值得
zts5388e	誰啊!是誰啊?
zts5389e	不需要告訴你。 (剛才感覺得到茶茶丸的氣息…是不是錯覺？)那個髮飾…給我！那是鯰魚太夫的東西。
zts5390e	這是茶茶丸的東西！不能給你！
zts5391e	…!! 你認識茶茶丸嗎?
zts5392e	當然，茶茶丸是我的好朋友~
zts5393e	是茶茶丸的朋友…那我不會給你活著的機會…你要做個心理準備
zts5394e	哇!!這是茶茶丸的力量嘛!?不是錯覺的…要是被茶茶丸打敗的話，我會認輸的
zts5395e	哼!茶茶丸的確跟我在一起!!
zts5396e	嗯…是這樣嗎?跟茶茶丸的戰鬥…我不會後悔。把我殺掉吧!
zts5397e	我不要你的命
zts5398e	咳咳!!這臭小子們是什麼東西啊?
zts5399e	鯰魚太夫再找你，不要逃避挑戰，我們會等你。
zts5400e	哼!你以為我會逃跑嗎
zts5401e	NOS Event!
zts5402e	nos活動拉迪1
zts5403e	nos活動拉迪2
zts5404e	nos活動拉迪3
zts5405e	nos活動拉迪4
zts5406e	nos活動拉迪5
zts5407e	nos活動拉迪6
zts5408e	nos活動拉迪7
zts5409e	nos活動拉迪8
zts5410e	依蘭特 Nos Camp (日本用)
zts5411e	依蘭特練金術協會 (日本用)
zts5412e	你應該知道…我沒有好好保護我的主人
zts5413e	就算我被封印到卡片裡…你應該可以使用我的力量
zts5414e	我會將這力量交給你，你會利用這個力量去救公主嗎?
zts5415e	喔~是喔~
zts5416e	之前也感覺到，我無法打敗鯰魚太夫
zts5417e	知道了!我會幫你的
zts5418e	這個請收下，某一天一定會用上的
zts5419e	ㄟ這是髮飾??
zts5420e	沒錯!這髮飾有公主的力量 因為公主的力量我才會來到這裡~
zts5421e	現在剩下的問題是…怎麼找到鯰魚太夫的…
zts5422e	我聽過這附近有了新的時空裂縫。與隕石掉落差不多的時候出現的，因此，可以去那個時空裂縫看看
zts5423e	啊！難怪感覺得到我家鄉的感覺，原來是因為那個時空裂縫！
zts5424e	好了！我一定會跟你一起救櫻花公主！
zts5425e	謝謝!來到異界遇見像你這麼好的朋友…真的很高興!拜…託…了
zts5426e	說完這句話，茶茶丸就再被封印到卡片裡了。
zts5427e	我也是…茶茶丸…不要擔心。我一定會遵守約定的!
zts5428e	被刪除的任務對話
zts5429e	茶茶丸_石碑關口
zts5430e	這裡是哪裡啊?怎麼突然會出現一遍竹林…
zts5431e	你是?!鯰魚太夫!!
zts5432e	啊?!你是誰啊?怎麼知道我名字呢?
zts5433e	(難道是鯰魚太夫的分身嗎？再看看好像比較小…茶茶丸呢？)
zts5434e	(不能發揮全部原本的力量…現在戰鬥會有點危險…) 先撤退！我不會原諒妨礙我的人
zts5435e	你要一直妨礙我嗎?!我不會原諒你的!
zts5436e	分身的力量也相當強
zts5437e	呼！再追也沒什麼意思…有下次再決勝負吧…
zts5438e	茶茶丸_閃亮的石頭
zts5439e	這是鯰魚太夫的命令！擋住吧！
zts5440e	真強悍的傢伙!浪費太多時間了…快點追上吧!
zts5441e	呼!結束了嗎?
zts5442e	咦?這聲音是…?有人在打架，去看一下好了!!
zts5443e	你是…!?儘管是分身…鯰魚太夫也有特別的力量…請你保護公主
zts5444e	很可惜，茶茶丸!
zts5445e	(先救出櫻花公主就行了…）
zts5446e	你欺負公主了，我不會原諒你!
zts5447e	那時候，面露著奸笑的鯰魚太夫。才在感覺到有點危險的剎那，茶茶丸就被吸收到哪鯰魚太夫手上的卡片裡。
zts5448e	櫻花公主本來就只是誘餌而已～目前沒有人可擋住我!!哈哈!!
zts5449e	(我一個人打不贏鯰魚太夫。只能靠茶茶丸…)
zts5450e	(就算心裡放不下公主，現在也只能帶著卡片逃跑!)
zts5451e	哦，我忘了你這個家伙也在這裡!你逃跑嗎?哈哈!!不像樣的家伙
zts5452e	嗯!?這家伙，帶卡片走了嗎?說真的，已經封印了。他也不能做什麼。嗤嗤!!
zts5453e	幸虧沒有人追我…回去noscamp求救好了！
zts5454e	茶茶丸狩獵印章
zts5455e	你敢進來這裡啊?
zts5456e	我為了打倒鯰魚太夫來這裡了!
zts5457e	哈!哈!哈!你真大膽!你有信心吧?那你先要通過我的考試。通過的話，我會讓你跟鯰魚太夫見面。嘻嘻!
zts5458e	看來你不是吹牛大王。哈哈!好了，看看你的劍術吧!來吧!
zts5459e	真強！終於出現了能打倒鯰魚太夫的人了…走啊!哈哈哈哈哈!
zts5460e	你…不是鯰魚太夫的左右手嗎?
zts5461e	你不用知道!哈哈，你有資格挑戰鯰魚太夫!快走吧!
zts5462e	鯰魚太夫!!這次戰鬥應該很難!哈哈哈!
zts5463e	那家伙是不是希望我打倒他吧?看起來好像很開心
zts5464e	空白(沒有對話)
zts5465e	大石碑
zts5466e	…他寫的是什麼?
zts5467e	小石碑
zts5468e	果然…看不懂
zts5469e	ACT2 任務：林克山地支部
zts5470e	很高興遇見你。擁有狼人族靈魂的冒險家
zts5471e	這樣的稱呼，有點不好意思…
zts5472e	直接切入正題吧，我們要在林克山地上設立Nos Camp，可是村長還沒答應，你去好好解決吧
zts5473e	(我一直習慣接受了委託，所以我不知不覺地答應了…囧!)
zts5474e	等一下！
zts5475e	等什麼?冒險者
zts5476e	沒有啦，我想知道清楚一點的細節
zts5477e	好的，卡-艾彌爾在重整因戰爭而疲倦的軍隊。但是，艾彌爾除了人類以外還有很多敵人。而且，不知何時又會發生戰爭。所以，連照顧混亂的國家的時間也不夠。所以，卡-艾彌爾需要像你一樣對狼人族友善的冒險家來協助，因此要求在此設置Nos Camp。但是，這不是我個人的意願就能做到，也需要村長和住民的同意。況且，他們還不相信人類…
zts5478e	(超級麻煩的事又來了!!)好了!知道了，我去找村長
zts5479e	結束對話
zts5480e	您好!村長
zts5481e	卡-艾彌爾說過關於你的事情，你是要說的是跟Nos Camp有關的事吧?那不用再說
zts5482e	可是…村長!
zts5483e	我承認他想得沒錯，但是狼人族還不能接受人類
zts5484e	那沒有事情需要幫助的嗎?
zts5485e	為什麼要幫我們的忙?
zts5486e	那是因為…人類與狼人族之間的戰爭是因為羅布格卿的欲望造成的。雖然開戰了，但是他們也明白了那是惡魔的奸計之後，那麼應該可以一起合力…
zts5487e	你以為人類真心真意地幫助我們了嗎?因為他們知道了他們的命也很危險…算了!現在還不是給你說那個的時候。有一個辦法可以讓我們看看你的決心，怎樣?要不要試試?
zts5488e	好的!我要試試
zts5489e	那給你機會………林克!!
zts5490e	(頭髮掩眼的狼人族進來了)
zts5491e	嗯…現在林克山地有很多懷有惡意的魔物進來了，並開始奪走艾彌爾的力量…在那裡的人啊!
zts5492e	是的，咒術師先生!
zts5493e	脛骨之峰本來是艾彌爾也不能進去的神聖的地方。你去找在脛骨之峰的8個石像，給祖先證明那些惡運不是因為人類的關係後，再藉祖先的力量去掉林克山地的惡運
zts5494e	哦～
zts5495e	啊!石像怎麼能說話?你是不是祖先?
zts5496e	我不知道他說什麼…先塗些山楂汁試試吧!
zts5497e	嗚～嗚～
zts5498e	呼呼～
zts5499e	呼呼～
zts5500e	已經習慣了，現在聽起來好像歌聲
zts5501e	嗚～
zts5502e	嗚～嗚～
zts5503e	yeah~哦，這樣不行。
zts5504e	嗚～嗚～
zts5505e	(石像被打壞了)
zts5506e	啊?這怎麼回事?
zts5507e	咒術師先生!石像被打壞了!
zts5508e	嗯…石像的殘骸是白色的還是黃色的?
zts5509e	幾乎都是白色
zts5510e	為了展現現我們狼人族脛骨之峰固有的黃色，要用特別的黏土做了那個石像，可是，那個黏土很難找到，有人趁戰爭偷走了粘土了，我會告訴你在哪裡可以找到黏土。還有因為，我們村裡石工在戰爭時受傷了，所以只能先藉你們的力量來幫忙
zts5511e	你都收集好了你要的東西嗎?那我要去別的地方調查
zts5512e	再見
zts5513e	(消失的比納)
zts5514e	太重…但是凱梅特到底是什麼?啊!不管怎樣，委託誰做石像呢?在依蘭特沒看過做這個的人…那先問一下柏修斯?可是，這不是武器…問問看隨意人好了…
zts5515e	這個村落有沒有可以做石像的人？
zts5516e	我突然覺得我擁有能做石像的神之左手!!!!!
zts5517e	你行嗎，感覺罩不住?
zts5518e	哼!
zts5519e	你可以告訴在哪裡嗎?
zts5520e	哼…你身上那是什麼?
zts5521e	是這個嗎?
zts5522e	(拿出來黏土)
zts5523e	哦!你要這個做什麼東西?
zts5524e	我要做一個脛骨之峰的石像
zts5525e	我知道那個石像，那整包都是黏土嗎?
zts5526e	恩，這些量夠不夠做?
zts5527e	不會不夠，那我去幫你找石工
zts5528e	可以嗎?
zts5529e	好的。那給我黏土
zts5530e	(遞給他黏土)
zts5531e	等一下
zts5532e	(隨意人去了其他地方又再回來了)
zts5533e	在這
zts5534e	恩
zts5535e	這樣行嗎?
zts5536e	石像復原了，咒術師先生
zts5537e	辛苦了，住民跟村長也答應了讓你們設置Nos Camp
zts5538e	不用對我感謝，一切都是祖先的心意
zts5539e	(向琛姆治報告了狀況)
zts5540e	是嗎?辛苦了
zts5541e	不會
zts5542e	目前要趕快努力幹活拿出績效!等一下，給你這個
zts5543e	謝謝!可是，我不太想要這些獎賞= =
zts5544e	不要?我以為你是個讓人尊敬的冒險家，我想錯了，你原來跟普通人沒什麼差別
zts5545e	不是…我說的意思不是那個…
zts5546e	那不是獎賞，而是可修村落的補給和工具，你快點去協助整理吧!!
zts5547e	什麼?這不是冒險家該做的事…為什麼我要做…
zts5548e	別那麼斤斤計較!因戰爭造成村落被破壞了。又不可能讓惡魔來幫助我們，羅布格近衛隊進來村落也很危險。只有狼人族和你們冒險家才能幫助他們。那快點動手吧!
zts5549e	(被推了出去)
zts5550e	我要怎麼用? 5個磚塊能幹嘛?
zts5551e	沒有什麼變…
zts5552e	對，一點也沒有變…
zts5553e	真沒勁…唱在從石像那邊聽的歌曲吧! Oh～～ 啊?這是什麼啊?
zts5554e	哦!這看來是是狼人族寶物地圖!先問問琛姆治!
zts5555e	琛姆治!!琛姆治!!
zts5556e	你已經做完了嗎?還要給你一組
zts5557e	等一下!
zts5558e	等一下!這是不是寶物地圖?!我沒想到這麼快就能拿出績效!!!YA!!
zts5559e	(是太興奮了嗎?)
zts5560e	現在先停止維修工程，先找寶物回來吧!我會好好的獎賞你的
zts5561e	這看起來好像很珍貴!
zts5562e	恩?怎麼了?
zts5563e	給你這個!
zts5564e	啊!!!真辛苦了!我快點確認一下有多少價值。還有，林克找你。
zts5565e	咒術師先生找我?好的，謝謝
zts5566e	ACT2 任務：狼人族與凱梅特
zts5567e	你找我嗎?
zts5568e	今天我的靈魂徘迴於時空之中發現了比斯特的種子在生長，其中一個很快長大，好像是德勒撒斯
zts5569e	德… 德勒撒斯?難道比斯特已經復活了嗎?
zts5570e	我只看到一個而已，所以還不能確定，但是，也有可能在別的時空裂縫長大，最好事先處理
zts5571e	啊？這裡要下去的話，需要什麼裝備吧？要去商店買纜繩。
