zts1e	最棒的服務
zts420e	所有防禦力提升5%。[n]HP最多提升200。劍士、弓手、 咒術師可佩戴。[n]男性專用。[n]佩戴時開始計算使用時限。[n]佩戴後不能交易
zts421e	霹靂舞運動服(7日)
zts422e	霹靂舞運動服(30日)
zts423e	霹靂舞運動服(永久)
zts424e	簡單是最好的~！
zts425e	黑與白
zts426e	所有防禦力提升5%。[n]HP最多提升200。劍士、弓手、 咒術師可佩戴。[n]女性專用。[n]佩戴時開始計算使用時限。[n]佩戴後不能交易
zts427e	黑與白(7日)
zts428e	黑與白(30日)
zts429e	黑與白(永久)
zts430e	來吧~！我是街頭格鬥者！
zts431e	街頭格鬥者運動服
zts432e	街頭格鬥者運動服(7日)
zts433e	街頭格鬥者運動服(30日)
zts434e	街頭格鬥者運動服(永久)
zts435e	簡單的體育服！
zts436e	學校體育服
zts437e	學校體育服(7日)
zts438e	學校體育服(30日)
zts439e	學校體育服(永久)
zts440e	學校體育服(永久)
zts441e	運動服
zts442e	運動服(7日)
zts443e	運動服(30日)
zts444e	運動服(永久)
zts445e	舒適的運動服
zts446e	藍天運動服
zts447e	藍天運動服(7日)
zts448e	藍天運動服(30日)
zts449e	藍天運動服(永久)
zts450e	為有潮流觸覺做您而設！
zts451e	流行運動服
zts452e	流行運動服(7日)
zts453e	流行運動服(30日)
zts454e	流行運動服(永久)
zts455e	可愛的少女體育服
zts456e	迷人粉紅運動服
zts457e	迷人粉紅運動服(7日)
zts458e	迷人粉紅運動服(30日)
zts459e	迷人粉紅運動服(永久)
zts460e	簡單的休閑服
zts461e	帥氣褲子
zts462e	帥氣褲子(7日)
zts463e	帥氣褲子(30日)
zts464e	帥氣褲子(永久)
zts465e	我是個清純的女生~
zts466e	校服
zts467e	校服(7日)
zts468e	校服(30日)
zts469e	校服(永久)
zts470e	為散發男性美的您而設！
zts471e	軍褲
zts472e	軍褲(7日)
zts473e	軍褲(30日)
zts474e	軍褲(永久)
zts475e	我是個可愛的女生~
zts476e	可愛少女
zts477e	可愛少女(7日)
zts478e	可愛少女(30日)
zts479e	可愛少女(永久)
zts480e	清新的草綠色休閑服
zts481e	森林褲子
zts482e	森林褲子(7日)
zts483e	森林褲子(30日)
zts484e	森林褲子(永久)
zts485e	我是個性感的事業女性
zts486e	辦公室制服
zts487e	辦公室制服(7日)
zts488e	辦公室制服(30日)
zts489e	辦公室制服(永久)
zts490e	辦公室制服(永久)
zts491e	為火熱熱情的您而設！
zts492e	熱情牛仔褲(7日)
zts493e	熱情牛仔褲(30日)
zts494e	熱情牛仔褲(永久)
zts495e	為緊貼潮流的您而設！
zts496e	重金屬牛仔褲
zts497e	重金屬牛仔褲(7日)
zts498e	重金屬牛仔褲(30日)
zts499e	重金屬牛仔褲(永久)
zts500e	為熱愛冒險的您而設！
zts501e	冒險家服裝
zts502e	冒險家服裝(7日)
zts503e	冒險家服裝(30日)
zts504e	冒險家服裝(永久)
zts505e	老鼠帽子
zts506e	超級可愛的老鼠帽子.[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts507e	ABC
zts508e	美味的橘子帽
zts509e	美味的橘子帽，橘子成份有去皮屑，按摩頭皮，滋潤秀髮的作用。[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts510e	豪華的花盆帽子
zts511e	掛有華麗裝飾的花盆帽子。帥氣非凡，但挺重的，小心頸疼。[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts512e	木碗帽子
zts513e	輕巧可愛的木碗帽子。真想用來放餃子。[n][n]全攻擊力上升5%[n]MP 上限增加200[n]
zts514e	藍色地主帽色
zts515e	古時管理者或地主常戴的帽子。富傳統色彩。[n][n]全攻擊力上升5%[n]MP 上限增加200[n]男性專用[n]
zts516e	綠色地主帽色
zts517e	深紅地主帽
zts518e	寵物名牌
zts519e	SP補充劑
zts520e	恢復所有的HP/MP[n]及消除所有負效果。[n]還會追家180000/70000/30000 SP點數。[n]
zts521e	冒險家登山背包
zts522e	同伴專用背包
zts523e	伙伴共用存貨[n]可以增加50空間。[n]10/30/60日期限[n]
zts524e	寵物的次元倉庫
zts525e	可透過寵物隨時隨地打開倉庫。[n]10/30/60天使用期[n]
zts526e	背包組合
zts527e	創世女神的祝福
zts528e	守護天使之祝福
zts529e	生產設施耐力券
zts530e	生產點數增值券
zts531e	新年利是
zts532e	大的全體恢復劑 99個
zts533e	可使玩家伙伴和寵物恢復。香港活動用[n]
zts534e	大的HP恢復劑 99個
zts535e	大的HP恢復劑 99個
zts536e	面子提升藥水 1個
zts537e	體面數值回復到最高的100[n]. 香港活動用[n]
zts538e	隊伍時空產生
zts539e	隊伍時空裂縫碎片 1個
zts540e	雙擊的話會出現任務.[n]香港活動用[n]
zts541e	找稀有的道具吧！
zts542e	魔法箱子
zts543e	熊貓衣服, 熊貓帽, 大黑熊衣服, 大黑熊帽,下級卡保護捲軸, 創世女神的祝福, 紅封包, 希魯安的 泉水, 生產量2倍優惠卷, 伙伴用湯藥,伙伴用背囊, 最高級的寵物食糧中，出現其中一個[n]
zts544e	綁起可愛的老鼠髮型吧！
zts545e	賀歲老鼠帽(永久)
zts546e	用維他命保養頭皮
zts547e	大桔大利帽(永久)
zts548e	好重喔！但非常華麗呢！
zts549e	運來大桔帽(永久)
zts550e	現在家裡的東西都是藝術品！
zts551e	全盒帽子(永久)
zts552e	為了有品味的您！
zts553e	藍色軍帽(永久)
zts554e	綠色軍帽(永久)
zts555e	紅色軍帽(永久)
zts556e	賀歲老鼠帽(7日)
zts557e	賀歲老鼠帽(30日)
zts558e	大桔大利帽(7日)
zts559e	大桔大利帽(30日)
zts560e	運來大桔帽(7日)
zts561e	運來大桔帽(30日)
zts562e	全盒帽子(7日)
zts563e	全盒帽子(30日)
zts564e	藍色軍帽(7日)
zts565e	藍色軍帽(30日)
zts566e	綠色軍帽(7日)
zts567e	綠色軍帽(30日)
zts568e	紅色軍帽(7日)
zts569e	紅色軍帽(30日)
zts571e	使用所有的存貨清單 [n]不能與獎章同時使用
zts575e	神秘百寶箱A
zts576e	神秘百寶箱B
zts594e	可愛的韓國傳統帽
zts595e	韓國傳統帽
zts596e	所有攻擊力增加5%.[n] MP上限增加 200.[n]只有劍士, 弓手, 咒術師可裝備.[n]女性專用.[n]首次裝備時開始計算裝備時間.[n]裝備後不能交易.[n]
zts597e	韓國傳統帽(7日)
zts598e	韓國傳統帽(30日)
zts599e	韓國傳統帽(永久)
zts600e	皇后頭飾
zts601e	皇后頭飾(7日)
zts602e	皇后頭飾(30日)
zts603e	皇后頭飾(永久)
zts604e	散發您的魅力吧！
zts605e	藝妓頭飾
zts606e	藝妓頭飾(7 日)
zts607e	藝妓頭飾(30日)
zts608e	藝妓頭飾(永久)
zts609e	我是良民家庭的兒子！
zts610e	韓國公子帽
zts611e	所有攻擊力增加5%.[n] MP上限增加 200.[n]只有劍士, 弓手, 咒術師可裝備.[n]男性專用.[n]首次裝備時開始計算裝備時間.[n]裝備後不能交易.[n]
zts612e	韓國公子帽(7日)
zts613e	韓國公子帽(30日)
zts614e	韓國公子帽(永久)
zts615e	帶出幽默的感覺
zts616e	殭屍帽
zts617e	殭屍帽(7日)
zts618e	殭屍帽(30日)
zts619e	殭屍帽(永久)
zts620e	我是民主的官員！
zts621e	日本傳統帽
zts622e	日本傳統帽(7日)
zts623e	日本傳統帽(30日)
zts624e	日本傳統帽(永久)
zts625e	穿上韓國的美吧！
zts626e	粉紅色韓國禮服
zts627e	粉紅色韓國禮服(7日)
zts628e	粉紅色韓國禮服(30日)
zts629e	粉紅色韓國禮服(永久)
zts630e	彩虹韓服小外套
zts631e	彩虹韓服小外套(7日)
zts632e	彩虹韓服小外套(30日)
zts633e	彩虹韓服小外套(永久)
zts634e	傳統韓服
zts635e	傳統韓服(7日)
zts636e	傳統韓服(30日)
zts637e	傳統韓服(永久)
zts638e	為有品味的您而設
zts639e	武林高手清裝
zts640e	武林高手清裝(7日)
zts641e	武林高手清裝(30日)
zts642e	武林高手清裝(永久)
zts643e	皇帝清裝
zts644e	皇帝清裝(7日)
zts645e	皇帝清裝(30日)
zts646e	皇帝清裝(永久)
zts647e	龍紋清裝
zts648e	龍紋清裝(7日)
zts649e	龍紋清裝(30日)
zts650e	龍紋清裝(永久)
zts651e	帥氣的日本傳統服裝
zts652e	靈月陰陽師服裝
zts653e	靈月陰陽師服裝(7日)
zts654e	靈月陰陽師服裝(30日)
zts655e	靈月陰陽師服裝(永久)
zts656e	耀日陰陽師服裝
zts657e	耀日陰陽師服裝(7日)
zts658e	耀日陰陽師服裝(30日)
zts659e	耀日陰陽師服裝(永久)
zts660e	榻榻米和服
zts661e	榻榻米和服(7日)
zts662e	榻榻米和服(30日)
zts663e	榻榻米和服(永久)
zts664e	穿上熱情的玫瑰吧！
zts665e	紅豔玫瑰
zts666e	紅豔玫瑰(7日)
zts667e	紅豔玫瑰(30日)
zts668e	紅豔玫瑰(永久)
zts669e	清新的薄荷衣服
zts670e	鮮嫩薄荷
zts671e	鮮嫩薄荷 (7日)
zts672e	鮮嫩薄荷 (30日)
zts673e	鮮嫩薄荷 (永久)
zts674e	幼滑香甜的誘惑
zts675e	牛奶朱古力
zts676e	牛奶朱古力(7日)
zts677e	牛奶朱古力(30日)
zts678e	牛奶朱古力(永久)
zts679e	杜鵑韓服
zts680e	杜鵑韓服(7日)
zts681e	杜鵑韓服(30日)
zts682e	杜鵑韓服(永久)
zts683e	夕陽韓服
zts684e	夕陽韓服(7日)
zts685e	夕陽韓服(30日)
zts686e	夕陽韓服(永久)
zts687e	繡球花韓服
zts688e	繡球花韓服(7日)
zts689e	繡球花韓服(30日)
zts690e	繡球花韓服(永久)
zts691e	展現性感的體態
zts692e	紫梅花旗袍
zts693e	紫梅花旗袍(7日)
zts694e	紫梅花旗袍(30日)
zts695e	紫梅花旗袍(永久)
zts696e	紅鳳凰旗袍
zts697e	紅鳳凰旗袍(7日)
zts698e	紅鳳凰旗袍(30日)
zts699e	紅鳳凰旗袍(永久)
zts700e	摩登旗袍
zts701e	摩登旗袍(7日)
zts702e	摩登旗袍(30日)
zts703e	摩登旗袍(30日)
zts704e	多漂亮，多可愛唷！
zts705e	桃花和服
zts706e	桃花和服(7日)
zts707e	桃花和服(30日)
zts708e	桃花和服(永久)
zts709e	花花和服
zts710e	花花和服(7日)
zts711e	花花和服(30日)
zts712e	花花和服(永久)
zts713e	帥勁和服
zts714e	帥勁和服(7日)
zts715e	帥勁和服(30日)
zts716e	帥勁和服(永久)
zts717e	可愛的小狗衣服！
zts718e	女生柯利牧羊犬衣服
zts719e	女生柯利牧羊犬衣服(7日)
zts720e	女生柯利牧羊犬衣服(30日)
zts721e	女生柯利牧羊犬衣服(永久)
zts722e	女生黃金獵犬衣服
zts723e	女生黃金獵犬衣服(7日)
zts724e	女生黃金獵犬衣服(30日)
zts725e	女生黃金獵犬衣服(永久)
zts726e	迷人的貓衣服！
zts727e	女生泰式貓衣服
zts728e	女生泰式貓衣服(7日)
zts729e	女生泰式貓衣服(30日)
zts730e	女生泰式貓衣服(永久)
zts731e	女生俄羅斯藍貓衣服
zts732e	女生俄羅斯藍貓衣服(7日)
zts733e	女生俄羅斯藍貓衣服(30日)
zts734e	女生俄羅斯藍貓衣服(永久)
zts735e	性感的兔女郎衣服！
zts736e	女生性感兔女郎衣服
zts737e	女生性感兔女郎衣服(7日)
zts738e	女生性感兔女郎衣服(30日)
zts739e	女生性感兔女郎衣服(永久)
zts740e	女生華麗兔女郎衣服
zts741e	女生華麗兔女郎衣服(7日)
zts742e	女生華麗兔女郎衣服(30日)
zts743e	女生華麗兔女郎衣服(永久)
zts744e	有威嚴的虎衣服！
zts745e	西伯利亞老虎衣服
zts746e	西伯利亞老虎衣服(7日)
zts747e	西伯利亞老虎衣服(30日)
zts748e	西伯利亞老虎衣服(永久)
zts749e	女生可愛魔法虎衣服
zts750e	女生可愛魔法虎衣服(7日)
zts751e	女生可愛魔法虎衣服(30日)
zts752e	女生可愛魔法虎衣服(永久)
zts753e	男生鬥牛犬衣服
zts754e	男生鬥牛犬衣服(7日)
zts755e	男生鬥牛犬衣服(30日)
zts756e	男生鬥牛犬衣服(永久)
zts757e	男生臘腸狗衣服
zts758e	男生臘腸狗衣服(7日)
zts759e	男生臘腸狗衣服(30日)
zts760e	男生臘腸狗衣服(永久)
zts761e	男生美國短毛貓衣服
zts762e	男生美國短毛貓衣服(7日)
zts763e	男生美國短毛貓衣服(30日)
zts764e	男生美國短毛貓衣服(永久)
zts765e	男生科拉特貓衣服
zts766e	男生科拉特貓衣服(7日)
zts767e	男生科拉特貓衣服(30日)
zts768e	男生科拉特貓衣服(永久)
zts769e	帥氣的兔衣服
zts770e	男生帥氣兔衣服
zts771e	男生帥氣兔衣服(7日)
zts772e	男生帥氣兔衣服(30日)
zts773e	男生帥氣兔衣服(永久)
zts774e	男生毛毛兔衣服
zts775e	男生帥氣兔衣服(7日)
zts776e	男生帥氣兔衣服(30日)
zts777e	男生帥氣兔衣服(永久)
zts778e	男生帥氣魔法虎衣服
zts779e	男生帥氣魔法虎衣服(7日)
zts780e	男生帥氣魔法虎衣服(30日)
zts781e	男生帥氣魔法虎衣服(永久)
zts782e	可愛的小狗帽子！
zts783e	女生柯利牧羊犬帽子
zts784e	女生柯利牧羊犬帽子(7日)
zts785e	女生柯利牧羊犬帽子(30日)
zts786e	女生柯利牧羊犬帽子(永久)
zts787e	女生黃金獵犬帽子
zts788e	女生黃金獵犬帽子(7日)
zts789e	女生黃金獵犬帽子(30日)
zts790e	女生黃金獵犬帽子(永久)
zts791e	迷人的貓帽子
zts792e	女生泰式貓帽子
zts793e	女生泰式貓帽子(7日)
zts794e	女生泰式貓帽子(30日)
zts795e	女生泰式貓帽子(永久)
zts796e	女生俄羅斯藍貓帽子
zts797e	女生俄羅斯藍貓帽子(7日)
zts798e	女生俄羅斯藍貓帽子(30日)
zts799e	女生俄羅斯藍貓帽子(永久)
zts800e	性感的兔女郎髮箍！
zts801e	女生性感兔女郎髮箍
zts802e	女生性感兔女郎髮箍(7日)
zts803e	女生性感兔女郎髮箍(30日)
zts804e	女生性感兔女郎髮箍(30日)
zts805e	女生華麗兔女郎髮箍
zts806e	女生華麗兔女郎髮箍(7日)
zts807e	女生華麗兔女郎髮箍(30日)
zts808e	女生華麗兔女郎髮箍(永久)
zts809e	有威嚴的虎帽子！
zts810e	西伯利亞虎帽子
zts811e	西伯利亞虎帽子(7日)
zts812e	西伯利亞虎帽子(30日)
zts813e	西伯利亞虎帽子(永久)
zts814e	女生可愛魔法虎帽子
zts815e	女生可愛魔法虎帽子(7日)
zts816e	女生可愛魔法虎帽子(30日)
zts817e	女生可愛魔法虎帽子(永久)
zts818e	男生鬥牛犬帽子
zts819e	男生鬥牛犬帽子(7日)
zts820e	男生鬥牛犬帽子(30日)
zts821e	男生鬥牛犬帽子(永久)
zts822e	男生臘腸狗帽子
zts823e	男生臘腸狗帽子(7日)
zts824e	男生臘腸狗帽子(30日)
zts825e	男生臘腸狗帽子(永久)
zts826e	男生美國短毛貓帽子
zts827e	男生美國短毛貓帽子(7日)
zts828e	男生美國短毛貓帽子(30日)
zts829e	男生美國短毛貓帽子(永久)
zts830e	男生科拉特貓帽子
zts831e	男生科拉特貓帽子(7日)
zts832e	男生科拉特貓帽子(30日)
zts833e	男生科拉特貓帽子(永久)
zts834e	帥氣的兔帽子
zts835e	男生帥氣兔帽子
zts836e	男生帥氣兔帽子(7日)
zts837e	男生帥氣兔帽子(30日)
zts838e	男生帥氣兔帽子(永久)
zts839e	男生毛毛兔帽子
zts840e	男生毛毛兔帽子(7日)
zts841e	男生毛毛兔帽子(30日)
zts842e	男生毛毛兔帽子(永久)
zts843e	男生帥氣魔法虎帽子
zts844e	男生帥氣魔法虎帽子(7日)
zts845e	男生帥氣魔法虎帽子(30日)
zts846e	男生帥氣魔法虎帽子(永久)
zts877e	黃金虎衣服
zts878e	黃金虎衣服(7日)
zts879e	黃金虎衣服(31日)
zts880e	黃金虎衣服(永久)
zts881e	黃金虎帽子
zts882e	黃金虎帽子(7日)
zts883e	黃金虎帽子(31日)
zts884e	黃金虎帽子(永久)
zts899e	爽朗狗衣服
zts900e	爽朗狗衣服(7日)
zts901e	爽朗狗衣服(30日)
zts902e	爽朗狗衣服(永久)
zts903e	閃亮狗衣服
zts904e	閃亮狗衣服(7日)
zts905e	閃亮狗衣服(30日)
zts906e	閃亮狗衣服(永久)
zts907e	漂亮的獅子衣服！
zts908e	啡色燙髮獅子衣服
zts909e	啡色燙髮獅子衣服(7日)
zts910e	啡色燙髮獅子衣服(30日)
zts911e	啡色燙髮獅子衣服(永久)
zts912e	黑色燙髮獅子衣服
zts913e	黑色燙髮獅子衣服(7日)
zts914e	黑色燙髮獅子衣服(30日)
zts915e	黑色燙髮獅子衣服(永久)
zts916e	師氣狗衣服
zts917e	師氣狗衣服(7日)
zts918e	師氣狗衣服(30日)
zts919e	師氣狗衣服(永久)
zts920e	柔嫩狗衣服
zts921e	柔嫩狗衣服(7日)
zts922e	柔嫩狗衣服(30日)
zts923e	柔嫩狗衣服(永久)
zts924e	充滿威嚴的獅子衣服！
zts925e	黃金獅子衣服
zts926e	黃金獅子衣服(7日)
zts927e	黃金獅子衣服(30日)
zts928e	黃金獅子衣服(永久)
zts929e	黑色獅子衣服
zts930e	黑色獅子衣服(7日)
zts931e	黑色獅子衣服(30日)
zts932e	黑色獅子衣服(永久)
zts933e	爽朗狗帽子
zts934e	爽朗狗帽子(7日)
zts935e	爽朗狗帽子(30日)
zts936e	爽朗狗帽子(永久)
zts937e	閃亮狗帽子
zts938e	閃亮狗帽子(7日)
zts939e	閃亮狗帽子(30日)
zts940e	閃亮狗帽子(永久)
zts941e	漂亮的獅子帽！
zts942e	啡色燙髮獅子帽(7日)
zts943e	啡色燙髮獅子帽(30日)
zts944e	啡色燙髮獅子帽(永久)
zts945e	黑色燙髮獅子帽(7日)
zts946e	黑色燙髮獅子帽(30日)
zts947e	黑色燙髮獅子帽(永久)
zts948e	師氣狗帽子
zts949e	師氣狗帽子(7日)
zts950e	師氣狗帽子(30日)
zts951e	師氣狗帽子(永久)
zts952e	充滿威嚴的獅子帽子！
zts953e	黃金獅子帽子
zts954e	黃金獅子帽子(7日)
zts955e	黃金獅子帽子(30日)
zts956e	黃金獅子帽子(永久)
zts957e	黑色獅子帽子
zts958e	黑色獅子帽子(7日)
zts959e	黑色獅子帽子(30日)
zts960e	黑色獅子帽子(永久)
zts961e	啡色燙髮獅子帽(7日)
zts962e	黑色燙髮獅子帽(7日)
zts963e	柔嫩狗帽子
zts964e	柔嫩狗帽子(7日)
zts965e	柔嫩狗帽子(30日)
zts966e	柔嫩狗帽子(永久)
zts970e	ACT4禮物寶箱A
zts972e	ACT4禮物寶箱B
zts984e	在PvP更厲害！
zts985e	PvP攻擊力強化劑
zts986e	使用時，1小時內PvP攻擊力提升50%.[n]只有在霜雪冰冠跟對方陣營戰鬥時才有效.[n]
zts987e	PvP防禦力強化劑
zts988e	使用時，1小時內PvP防禦力提升50%.[n]只有在霜雪冰冠跟對方陣營戰鬥時才有效.[n]
zts989e	在PvP更強悍！！
zts990e	PvP抗性強化劑
zts991e	使用時，1小時內PvP抗性提升20%.[n]只有在霜雪冰冠跟對方陣營戰鬥時才有效.[n]
zts992e	我的家族大聚會！
zts993e	家族召喚號角
zts994e	使用此道具可使家族成員移到自己身邊.[n]30秒內右下方會出現介面, 點擊介面即可移動.[n]只可召喚同一分流的家族成員, 不可使用在狩獵時空裂縫及時空裂縫.[n]
zts995e	天使雪白斯奧復活！
zts996e	天使聖所包
zts997e	最多一個小時內，設定令天使陣營雪白斯奧復活的構造物.[n]HP和 MP全都回復到100%, 5秒內 PvP無敵輔助狀態.[n]復活或於敵人領域受攻擊，聖所使用時間將遞減, 使用時間結束時將消失.[n][n]※只可在霜雪冰冠使用,只有自己屬於天使陣營方可使用[n]
zts998e	惡魔雪白斯奧復活！
zts999e	惡魔祭壇包
zts1000e	最多一個小時內，設定令惡魔陣營雪白斯奧復活的構造物.[n]HP和 MP全都回復到100%, 5秒內 PvP無敵輔助狀態.[n]復活或於敵人領域受攻擊，聖所使用時間將遞減, 使用時間結束時將消失.[n][n]※只可在霜雪冰冠使用,只有自己屬於惡魔陣營方可使用[n]
zts1005e	PvP攻擊力強化劑 5支
zts1006e	PvP攻擊力強化劑 10支
zts1007e	PvP防禦力強化劑 5支
zts1008e	PvP防禦力強化劑 10支
zts1009e	PvP抵抗力強化劑 5支
zts1010e	PvP抵抗力強化劑 5支
zts1011e	家族召喚號角 5個
zts1012e	家族召喚號角 10個
zts1057e	永遠是美麗的象徵!
zts1058e	小神仙服
zts1059e	小神仙服(7天)
zts1060e	小神仙服(30天)
zts1061e	小神仙服(永久)
zts1062e	我是小白魔紳士!
zts1063e	小白魔紳士服
zts1064e	小白魔紳士服(7天)
zts1065e	小白魔紳士服(30天)
zts1066e	小白魔紳士服(永久)
zts1067e	繫上別緻的蝴蝶頭飾吧!
zts1068e	粉紅蝴蝶頭飾
zts1069e	粉紅蝴蝶頭飾(7天)
zts1070e	粉紅蝴蝶頭飾(30天)
zts1071e	粉紅蝴蝶頭飾(永久)
zts1072e	戴上帥氣的小高帽吧!
zts1073e	紳士小高帽
zts1074e	紳士小高帽 (7天)
zts1075e	紳士小高帽 (30天)
zts1076e	紳士小高帽 (永久)
zts1085e	精靈醒覺1個
zts1118e	抹去他人的氣味吧!
zts1119e	神韻香水
zts1120e	把他人的專用裝備，轉換為本人的裝備時所需要的香水。[n][使用方法][n]用滑鼠雙擊神韻香水，就會列出裝備轉換視窗。把他人的專用裝備放在該視窗之後，按下轉換按鈕，即可轉換為本人的專用裝備。[n][注意事項][n]隨著轉換裝備的等級與稀有等級，所需要的香水數量也會不同喔。[n]
zts1121e	神韻香水 20個
zts1122e	神韻香水 50個
zts1123e	神韻香水 99個
zts1124e	天然香水 90個
zts1143e	使用時會跳出可強化0~9等級變身卡片的視窗。[n]在此視窗強化時，就算失敗了變身卡片靈魂也不會消滅，發光的綠色靈魂和發光的紅色靈魂也不會消失。[n][使用方法][n][n]在此視窗進行強化時，將會減少1個護符，並可以保護卡片。[n]
zts1144e	使用時會跳出可強化10~14等級變身卡片的視窗。[n]在此視窗強化時，就算失敗了變身卡片靈魂也不會消滅，發光的清澈靈魂也不會消失。[n][使用方法][n][n]在此視窗進行強化時，將會減少1個護符，並可以保護卡片。[n]
zts1146e	飛天獨角馬晶球
zts1147e	月兔寶寶晶球
zts1171e	藏有珍貴寶物的箱子!
zts1172e	神秘百寶箱D
zts1173e	藏有多種珍貴寶物的箱子，打開會有意想不到的驚喜![n][n][可獲得以下其中一種物品][n]飛天獨角馬晶球[n]女性用摩登旗袍(30日)[n]男性用龍紋清裝(30日)[n]女性用帥勁和服(30日)[n]男性用榻榻米和服(30日)[n]SP補充劑(大)[n]防爆護符 x3[n]大福神的守護  x1[n]精靈醒覺 x5[n]
zts1204e	聖誕限定版！
zts1205e	聖誕百寶箱
zts1206e	聖誕限定百寶箱.[n]藏有多種珍貴寶物的箱子[n]有機會獲得珍貴的聖誕節限定的聖誕夢古EX晶球喔！[n][n][可獲得以下其中一種物品][n]聖誕夢古EX晶球[n]激運寶箱A[n]女性用閃亮狗帽子(30日)[n]女性用閃亮狗衣服(30日)[n]男性用柔嫩狗帽子(30日)[n]男性用柔嫩狗衣服(30日)[n]神韻香水8個[n]寵物保管彈珠[n]同伴用背包10天2個[n]全頻擴音器70個
zts1242e	新年限定百寶箱!
zts1243e	新年限定百寶箱
zts1244e	新年限定百寶箱[n]開啟它就可以得到十分珍貴的物品喔.[n][寶箱內容][n]星彩神牛晶球[n]激運寶箱 B[n]寵物的次元倉庫(60日)[n]神韻香水5支[n]友誼的翅膀50個[n]希魯安的泉水50支[n]冒險家登山背包(30日)[n]寵物保管彈珠[n]寵物名牌2個[n]最高級的寵物飼料3個[n][n]
zts1266e	改變你的命運吧!
zts1322e	試一試你的運氣吧！
zts1323e	幸運福袋
zts1324e	裡邊好像放有很多珍貴的物品呢!![n]開啟它你可以得到以下其中一件物品.[n][福袋內容][n] 大福神的守護[n] 大福神的祝福[n] 防爆護符[n] 低等卡片防爆護符 2 個[n] 高等卡片防爆護符[n] 女生泰式貓帽子(永久)[n] 女生泰式貓衣服(永久)[n] 男生美國短毛貓帽子(永久)[n] 男生美國短毛貓衣服(永久)[n] 女生泰式貓帽子(30日)[n] 女生泰式貓衣服(30日)[n] 男生美國短毛貓帽子(30日)[n] 男生美國短毛貓衣服(30日)[n]
zts1325e	星彩神牛晶球
zts1327e	紳士帽
zts1328e	型男必備![n]裝備時開始計算使用時間[n]所有攻擊力 +5%[n]最大MP +200[n]
zts1329e	紳士帽(7日)
zts1330e	紳士帽(30日)
zts1331e	紳士帽(永久)
zts1332e	紳士服
zts1333e	型男必備![n]裝備時開始計算使用時間[n]所有防禦力 +5%[n]最大HP +200[n]
zts1334e	紳士服(7日)
zts1335e	紳士服(30日)
zts1336e	紳士服(永久)
zts1348e	星光校園制服
zts1349e	星光校園制服(7日)
zts1350e	星光校園制服(30日)
zts1351e	星光校園制服(永久)
zts1352e	星光校園髮帶
zts1353e	星光校園髮帶(7日)
zts1354e	星光校園髮帶(30日)
zts1355e	星光校園髮帶(永久)
zts1359e	夢古小次郎晶球
zts1393e	雪白的天使翅膀！
zts1394e	天使之翼
zts1395e	使用它便可以將特殊人物的翅膀改變為天使的翅膀。[n][使用方法][n]1. 變身為特殊人物。[n]2. 使用它來改變你的翅膀。[n] [注意事項][n]1. 你必需已把特殊人物卡片提升到 +1或以上才能使用。[n]2. 若你把特殊人物卡片放到特殊卡片盒中的話，效果便會消失。[n][n]
zts1396e	漆黑的惡魔翅膀！
zts1397e	惡魔之翼
zts1398e	使用它便可以將特殊人物的翅膀改變為惡魔的翅膀。[n][使用方法][n]1. 變身為特殊人物。[n]2. 使用它來改變你的翅膀。[n] [注意事項][n]1. 你必需已把特殊人物卡片提升到 +1或以上才能使用。[n]2. 若你把特殊人物卡片放到特殊卡片盒中的話，效果便會消失。[n][n]
zts1405e	雙倍經驗值~!
zts1406e	白金勳章
zts1407e	勳章包含多種白金優惠。[n]使用期間，可以發展勳章效果。[n][重要效果][n]1.增加所有取得的經驗值100%。[n]2. 每天補充50000 SP[n]
zts1408e	白金勳章（ 1天）
zts1409e	白金勳章（ 3天）
zts1410e	白金勳章（ 10天）
zts1411e	白金勳章（ 30天）
zts1501e	一副塔羅卡
zts1524e	冒險家登山背包10日(活動)
zts1526e	同伴專用背包10天(活動)
zts1528e	寵物的次元倉庫10天(活動)
zts1530e	歐比克蜘蛛印章
zts1531e	史域多哈因印章
zts1532e	阿修羅王印章
zts1533e	暗黑卡斯特拉印章
zts1534e	超級吱雞印章
zts1535e	水鑲冰晶印章
zts1536e	爽快魔法輕型車
zts1537e	魔法輕型車　
zts1538e	移動速度極高的魔法輕型車[n]使用物品時變身成為魔法輕型車使用者~[n]請享受高速的移動速度吧![n][構成目品][n]魔法輕型車寶箱1個[n]
zts1539e	魔法毯子使用者
zts1540e	魔法絨緞
zts1541e	移動速度極高的魔法毯子[n]使用物品時變身成為魔法毯子使用者~[n]請享受高速的移動速度吧![n]即使在沙漠在一樣的快![n][構成目品][n]魔法毯子寶箱1個[n]
zts1542e	只有萬聖節才會出現的寶箱，打開後將可得到無限驚喜！
zts1543e	嘩鬼寶箱
