zts1e	一般效果
zts821e	愛羅尼亞的祝福
zts822e	有效時間內，以50%的機率抵抗所有負面狀態。
zts823e	吉隆崎的祝福
zts824e	有效時間內，阻擋所有傷害，但無法移動或攻擊。
zts825e	比斯特之靈
zts826e	有效時間內，MP快速恢復。
zts827e	海魯丹突襲
zts828e	有效時間內，藏身於影子之中隱藏身影。
zts829e	墨爾佛倫突襲
zts830e	有效時間內，獲得很高的移動速度。
zts832e	受水壓炮彈影響，攻擊力及水抵抗下降。
zts835e	精靈經驗值增加
zts836e	你所獲得的精靈經驗值增加
zts837e	煙霧
zts841e	魔化機械之翼
zts842e	翅膀力量
zts843e	影族(F)
zts844e	提升影族的力量
zts845e	影族(E)
zts846e	影族(D)
zts847e	影族(C)
zts848e	影族(B)
zts849e	影族(A)
zts850e	影族(S)
zts851e	著魔(F)
zts852e	被迷惑的狀態
zts853e	著魔(E)
zts854e	著魔(D)
zts855e	著魔(C)
zts856e	著魔(B)
zts857e	著魔(A)
zts858e	著魔(S)
zts859e	暗言術(F)
zts860e	行使破滅的力量
zts861e	暗言術(E)
zts862e	暗言術(D)
zts863e	暗言術(C)
zts864e	暗言術(B)
zts865e	暗言術(A)
zts866e	暗言術(S)
zts867e	魅惑(F)
zts868e	魅惑你的敵人
zts869e	魅惑(E)
zts870e	魅惑(D)
zts871e	魅惑(C)
zts872e	魅惑(B)
zts873e	魅惑(A)
zts874e	魅惑(S)
zts875e	猛毒(F)
zts876e	迅速而且致命的猛毒
zts877e	猛毒(E)
zts878e	猛毒(D)
zts879e	猛毒(C)
zts880e	猛毒(B)
zts881e	猛毒(A)
zts882e	猛毒(S)
zts883e	死亡標記(F)
zts884e	不著痕跡地標記敵人
zts885e	死亡標記(E)
zts886e	死亡標記(D)
zts887e	死亡標記(C)
zts888e	死亡標記(B)
zts889e	死亡標記(A)
zts890e	死亡標記(S)
zts891e	闇焰(F)
zts892e	削弱敵人的抵抗力
zts893e	闇焰(E)
zts894e	闇焰(D)
zts895e	闇焰(C)
zts896e	闇焰(B)
zts897e	闇焰(A)
zts898e	闇焰(S)
zts899e	魔法手槍
zts900e	光屬性之力增加，並恢復自己的HP。
zts901e	西部牛仔祝福
zts902e	光屬性抵抗增加。
zts903e	特洛伊木馬
zts904e	召喚特洛伊木馬攻擊覆數敵人。
zts905e	忍術祝福
zts906e	暗屬性抵抗增加。
zts907e	熾天使之翼
zts908e	墜惡暗之翼
zts909e	輕量 天堂之拳
zts910e	神之大能
zts911e	天堂之拳
zts912e	強力 天堂之拳
zts913e	超級 天堂之拳
zts914e	混亂
zts915e	以心靈爆破對敵人造成傷害。
zts916e	黑暗之鎧
zts917e	讓你一瞬間遠離危機。
zts918e	輕量 黑暗能量
zts919e	從體內生成一股黑暗能量並造成傷害。
zts920e	黑暗能量
zts921e	強力 黑暗能量
zts922e	邪咒之手
zts923e	來自魔境的邪咒之手造成可怕的傷害。
zts924e	幻視
zts925e	被幻影迷惑並感到恐懼。
zts926e	心靈操控
zts927e	短時間內進行自我催眠。
zts928e	強力 時空壓縮
zts929e	操控敵人的時間，並干涉敵人的行動。
zts930e	時空壓縮
zts931e	輕度 時空壓縮
zts932e	強力 命運之輪
zts933e	在干涉敵人時間的同時，獲得增益效果。
zts934e	命運之輪
zts935e	弱化 命運之輪
zts936e	暗影飛刃
zts937e	透過暗影飛刃，降低敵人使用恢復道具的效益。
zts938e	靈魂吸收
zts939e	附著吸收到的靈魂。
zts940e	死神標記
zts941e	受到這個效果影響時，假如再受到[斷魂亂斬]襲擊，會承受額外傷害。
zts942e	靈魂解放
zts943e	解放吸收了的靈魂，並降低技能冷卻時間。
zts944e	強力 靈魂解放
zts945e	無限之鎧
zts946e	提升對位移效果的抵抗力。
zts947e	輕量 靈魂狂暴
zts948e	放任憤怒的靈魂暴走而獲得強化。
zts949e	靈魂狂暴
zts950e	強力 靈魂狂暴
zts951e	靈魂侵蝕
zts952e	一定時間內造成持續傷害，當技能效果結束時，會轉移到附近的1個敵人身上繼續效果。
zts953e	復仇靈擊
zts954e	一定時間內提升能力。
zts955e	強力 靈魂侵蝕
zts956e	成為宿主，並持續受到傷害，宿主身上的技能效果結束時，會轉移到附近的敵人身上繼續效果。
zts957e	被宿主傳染，於時間內持續受到傷害。
zts958e	撒拉卡爾之光
zts959e	撒拉卡爾之力量被儲值
zts960e	烈焰燃燒之翼
zts961e	烈焰冰霜之翼
zts963e	印弟安的祝福
zts964e	火屬性抵抗增加、減少因爆擊所受到的傷害。
zts965e	印弟安的友誼
zts966e	火屬性之力增加，並攻擊附近多個敵人。
zts967e	被可愛的九尾所迷惑
zts968e	因九尾的迷惑而失去了意識
zts969e	紅色藥瓶的效果
zts970e	紅色藥瓶的特效
zts971e	墮入迷惑(F)
zts972e	九尾妹妹的可愛動作
zts973e	墮入迷惑(E)
zts974e	墮入迷惑(D)
zts975e	墮入迷惑(C)
zts976e	墮入迷惑(B)
zts977e	墮入迷惑(A)
zts978e	墮入迷惑(S)
zts979e	妖精的尾巴(F)
zts980e	柔軟順滑的妖精尾巴
zts981e	妖精的尾巴(E)
zts982e	妖精的尾巴(D)
zts983e	妖精的尾巴(C)
zts984e	妖精的尾巴(B)
zts985e	妖精的尾巴(A)
zts986e	妖精的尾巴(S)
zts987e	愛的呼喚(F)
zts988e	可愛九尾的尖叫聲
zts989e	愛的呼喚(E)
zts990e	愛的呼喚(D)
zts991e	愛的呼喚(C)
zts992e	愛的呼喚(B)
zts993e	愛的呼喚(A)
zts994e	愛的呼喚(S)
zts995e	維京的祝福
zts996e	水屬性抵抗增加、降低技能冷卻時間以及每隔一段時間恢復MP。
zts997e	海賊之魂
zts998e	增加異常狀態抗性，增加攻擊傷害。
zts999e	虎之力
zts1000e	虎之力提升
zts1001e	降低移動速度
zts1002e	芝麻油
zts1003e	油膩的芝麻油
zts1004e	旋風
zts1005e	感到暈眩
zts1006e	大量出血(F)
zts1007e	大量出血中。
zts1008e	大量出血(E)
zts1009e	大量出血(D)
zts1010e	大量出血(C)
zts1011e	大量出血(B)
zts1012e	大量出血(A)
zts1013e	大量出血(S)
zts1014e	強烈風暴(F)
zts1015e	由虎王造成的風暴。對高品質的物品不會造成影響。
zts1016e	強烈風暴(E)
zts1017e	強烈風暴(D)
zts1018e	強烈風暴(C)
zts1019e	強烈風暴(B)
zts1020e	強烈風暴(A)
zts1021e	強烈風暴(S)
zts1022e	虎之力(F)
zts1023e	虎之力提升
zts1024e	虎之力(E)
zts1025e	虎之力(D)
zts1026e	虎之力(C)
zts1027e	虎之力(B)
zts1028e	虎之力(A)
zts1029e	虎之力(S)
zts1030e	貓統士之魂
zts1031e	於持續時間內每次攻擊必定產生致命傷害
zts1033e	紅豆湯的影響
zts1034e	兵衛的寶藏
zts1035e	當青紅兵衛走在一起時會變得更強大。
zts1036e	混沌的祝福
zts1037e	接收不完整的祝福。
zts1038e	荊棘之地
zts1039e	雷娜的詛咒魔法，被荊棘限制移動能力。
zts1040e	詛咒的魅力(虫)
zts1041e	雷娜的詛咒魔法，被詛咒影響變成了虫子。
zts1042e	詛咒的魅力(鼠)
zts1043e	雷娜的詛咒魔法，被詛咒影響變成了老鼠。
zts1044e	妖魔舞台(F)
zts1045e	真的很痛！！
zts1046e	妖魔舞台(E)
zts1047e	妖魔舞台(D)
zts1048e	妖魔舞台(C)
zts1049e	妖魔舞台(B)
zts1050e	妖魔舞台(A)
zts1051e	妖魔舞台(S)
zts1052e	妖的化身(F)
zts1053e	召喚激進的兵衛分身
zts1054e	妖的化身(E)
zts1055e	妖的化身(D)
zts1056e	妖的化身(C)
zts1057e	妖的化身(B)
zts1058e	妖的化身(A)
zts1059e	妖的化身(S)
zts1060e	隱身帽子(F)
zts1061e	使用小妖的魔法帽子進行隱身
zts1062e	隱身帽子(E)
zts1063e	隱身帽子(D)
zts1064e	隱身帽子(C)
zts1065e	隱身帽子(B)
zts1066e	隱身帽子(A)
zts1067e	隱身帽子(S)
zts1068e	審判之光(F)
zts1069e	以光之名懲治敵人。
zts1070e	審判之光(E)
zts1071e	審判之光(D)
zts1072e	審判之光(C)
zts1073e	審判之光(B)
zts1074e	審判之光(A)
zts1075e	審判之光(S)
zts1076e	神聖印記(F)
zts1077e	以強光進行標記。
zts1078e	神聖印記(E)
zts1079e	神聖印記(D)
zts1080e	神聖印記(C)
zts1081e	神聖印記(B)
zts1082e	神聖印記(A)
zts1083e	神聖印記(S)
zts1084e	神之名義(F)
zts1085e	以神之名義削弱敵人。
zts1086e	神之名義(E)
zts1087e	神之名義(D)
zts1088e	神之名義(C)
zts1089e	神之名義(B)
zts1090e	神之名義(A)
zts1091e	神之名義(S)
zts1092e	純淨的能源
zts1093e	粉末有消除恐怖氣氛的效果。
zts1094e	恐怖氣氛
zts1095e	女巫雷娜因為使用靈氣正不斷消耗體力。
zts1096e	詛咒夢古
zts1097e	被女巫雷娜所詛咒的夢古。
zts1098e	法術約束
zts1099e	可以使用敵人對應攻擊屬性的技能。
zts1100e	火焰
zts1101e	火之元素
zts1102e	寒冰
zts1103e	水之元素
zts1104e	神聖
zts1105e	光之元素
zts1106e	虛無
zts1107e	中立元素
zts1108e	暗黑
zts1109e	魔力躍動 1
zts1110e	攻擊會消除增益效果並受到額外傷害。
zts1111e	魔力躍動 2
zts1112e	魔力躍動 3
zts1113e	元素之力
zts1114e	法術昇華
zts1115e	於一段時間內提高能力上限。
zts1116e	閃亮的粉
zts1117e	沾上閃亮的粉。神聖爆破將會造成額外傷害。
zts1118e	神聖墓地
zts1119e	記錄瞬間移動位置。
zts1120e	聖夜．秘光
zts1121e	神之祝福
zts1122e	靈活之劍
zts1123e	因傷害導致緩慢。
zts1124e	黑暗審判
zts1125e	被黑暗力量所影響而無法攻擊。
zts1126e	審判
zts1127e	於一段時間內無法迴避攻擊。
zts1128e	神聖之域
zts1129e	大幅減少恢復量。
zts1130e	點燃鬥志
zts1131e	劍被神聖力量所覆蓋，並增加攻擊力。
zts1132e	重燃希望
zts1133e	身體被神聖力量所覆蓋，並增加防禦力。
zts1134e	克爾之斷
zts1135e	被黑暗力量約束。「神聖交易」會造成額外傷害。
zts1136e	黑暗衝刺
zts1137e	黑暗衝刺使能力最大化。
zts1138e	閃耀之光(F)
zts1139e	被強大的電流所擊中。
zts1140e	閃耀之光(E)
zts1141e	閃耀之光(D)
zts1142e	閃耀之光(C)
zts1143e	閃耀之光(B)
zts1144e	閃耀之光(A)
zts1145e	閃耀之光(S)
zts1146e	荊棘之地(F)
zts1147e	被荊棘限制移動能力。
zts1148e	荊棘之地(E)
zts1149e	荊棘之地(D)
zts1150e	荊棘之地(C)
zts1151e	荊棘之地(B)
zts1152e	荊棘之地(A)
zts1153e	荊棘之地(S)
zts1154e	詛咒的氣息(F)
zts1155e	被詛咒的氣息所削弱。
zts1156e	詛咒的氣息(E)
zts1157e	詛咒的氣息(D)
zts1158e	詛咒的氣息(C)
zts1159e	詛咒的氣息(B)
zts1160e	詛咒的氣息(A)
zts1161e	詛咒的氣息(S)
zts1162e	被荊棘限制移動能力。
zts1163e	被詛咒的氣息所削弱。
zts1164e	白女巫雷娜的加持
zts1165e	受白女巫雷娜的加持所影響
zts1166e	傲慢挑釁
zts1167e	以傲慢的態度挑釁敵人
zts1168e	殘暴
zts1169e	非常懊悔與憤怒的狀態
zts1170e	地獄火焰(F)
zts1171e	地獄火焰
zts1172e	地獄火焰(E)
zts1173e	地獄火焰(D)
zts1174e	地獄火焰(C)
zts1175e	地獄火焰(B)
zts1176e	地獄火焰(A)
zts1177e	地獄火焰(S)
zts1178e	沸騰吧！(F)
zts1179e	沸騰吧！
zts1180e	沸騰吧！(E)
zts1181e	沸騰吧！(D)
zts1182e	沸騰吧！(C)
zts1183e	沸騰吧！(B)
zts1184e	沸騰吧！(A)
zts1185e	沸騰吧！(S)
zts1186e	惡魔之鱗(F)
zts1187e	受惡魔之鱗保護減少損傷
zts1188e	惡魔之鱗(E)
zts1189e	惡魔之鱗(D)
zts1190e	惡魔之鱗(C)
zts1191e	惡魔之鱗(B)
zts1192e	惡魔之鱗(A)
zts1193e	惡魔之鱗(S)
zts1194e	黑暗契約
zts1195e	執生黑暗契約對敵人快速攻擊
zts1196e	刺殺時機
zts1197e	制壓敵人造成致命一擊。
zts1198e	快速步伐
zts1199e	物理攻擊回避率極限化。
zts1200e	神聖之盾
zts1201e	以神聖之力防禦敵人的攻擊
zts1202e	一定機率產生隨機時間的隱身狀態，使敵人無法發現。
zts1203e	跳跳
zts1204e	靈活快部的步伐節奏！
zts1205e	青草過敏
zts1206e	青草使敵人皮膚敏感
zts1207e	胡蘿蔔毒素
zts1208e	受感染的胡蘿蔔毒素
zts1209e	受驚嚇而抽搐
zts1210e	青春就是活力
zts1211e	烏龜的技能，持續時間長。
zts1212e	我愛胡蘿蔔
zts1213e	誘惑兔子的巨大蘿蔔。一旦受到破壞便會消失。
zts1214e	青草過敏(F)
zts1215e	青草過敏(E)
zts1216e	青草過敏(D)
zts1217e	青草過敏(C)
zts1218e	青草過敏(B)
zts1219e	青草過敏(A)
zts1220e	青草過敏(S)
zts1221e	胡蘿蔔毒素(F)
zts1222e	胡蘿蔔毒素(E)
zts1223e	胡蘿蔔毒素(D)
zts1224e	胡蘿蔔毒素(C)
zts1225e	胡蘿蔔毒素(B)
zts1226e	胡蘿蔔毒素(A)
zts1227e	胡蘿蔔毒素(S)
zts1228e	跳跳(F)
zts1229e	跳跳(E)
zts1230e	跳跳(D)
zts1231e	跳跳(C)
zts1232e	跳跳(B)
zts1233e	跳跳(A)
zts1234e	跳跳(S)
zts1235e	目標鎖定(F)
zts1236e	對鎖定目標造成傷害！
zts1237e	目標鎖定(E)
zts1238e	目標鎖定(D)
zts1239e	目標鎖定(C)
zts1240e	目標鎖定(B)
zts1241e	目標鎖定(A)
zts1242e	目標鎖定(S)
zts1243e	陷阱(F)
zts1244e	使目標移動受到限制！
zts1245e	陷阱(E)
zts1246e	陷阱(D)
zts1247e	陷阱(C)
zts1248e	陷阱(B)
zts1249e	陷阱(A)
zts1250e	陷阱(S)
zts1251e	火力支援(F)
zts1252e	以強大的火力支援前方！
zts1253e	火力支援(E)
zts1254e	火力支援(D)
zts1255e	火力支援(C)
zts1256e	火力支援(B)
zts1257e	火力支援(A)
zts1258e	火力支援(S)
zts1259e	安雪路安的奉獻
zts1260e	被奉獻的力量所填滿！
zts1261e	安雪路安的降臨
zts1262e	八週年記念加持
zts1263e	剛煌龍之黃金翼
zts1264e	冥煌龍之黑鋼翼
zts1265e	絕對零度(F)
zts1266e	MP迅速減少。
zts1267e	絕對零度(E)
zts1268e	絕對零度(D)
zts1269e	絕對零度(C)
zts1270e	絕對零度(B)
zts1271e	絕對零度(A)
zts1272e	絕對零度(S)
zts1273e	泡泡射擊(F)
zts1274e	HP迅速減少。
zts1275e	泡泡射擊(E)
zts1276e	泡泡射擊(D)
zts1277e	泡泡射擊(C)
zts1278e	泡泡射擊(B)
zts1279e	泡泡射擊(A)
zts1280e	泡泡射擊(S)
zts1281e	HP迅速減少，當受到致命攻擊時會造成極大傷害。
zts1282e	急速冷凍(F)
zts1283e	受到急速冷凍所影響而無法使用魔法。
zts1284e	急速冷凍(E)
zts1285e	受到急速冷凍所影響而無法使用技能。
zts1286e	急速冷凍(D)
zts1287e	急速冷凍(C)
zts1288e	急速冷凍(B)
zts1289e	急速冷凍(A)
zts1290e	急速冷凍(S)
zts1291e	受到急速冷凍所影響而無法使用技能，同時全屬性抗性下降。
zts1292e	冰霜之霧(F)
zts1293e	在霜霧中，難以找到敵人。
zts1294e	冰霜之霧(E)
zts1295e	冰霜之霧(D)
zts1296e	冰霜之霧(C)
zts1297e	冰霜之霧(B)
zts1298e	冰霜之霧(A)
zts1299e	冰霜之霧(S)
zts1300e	冰封禁制(F)
zts1301e	寒冷所致，而無法閃避。
zts1302e	冰封禁制(E)
zts1303e	冰封禁制(D)
zts1304e	冰封禁制(C)
zts1305e	冰封禁制(B)
zts1306e	冰封禁制(A)
zts1307e	冰封禁制(S)
zts1308e	霜涷琉璃(F)
zts1309e	產生出薄薄的冰簾，從而盜取敵人的增益效果。(只作用於目標同伴)
zts1310e	霜涷琉璃(E)
zts1311e	霜涷琉璃(D)
zts1312e	霜涷琉璃(C)
zts1313e	霜涷琉璃(B)
zts1314e	霜涷琉璃(A)
zts1315e	霜涷琉璃(S)
zts1316e	傷口切割(F)
zts1317e	深度的傷口切割，使人難以恢復。
zts1318e	傷口切割(E)
zts1319e	傷口切割(D)
zts1320e	傷口切割(C)
zts1321e	傷口切割(B)
zts1322e	傷口切割(A)
zts1323e	傷口切割(S)
zts1324e	意志掠奪(F)
zts1325e	打敗敵人，以獲得更多寶物。
zts1326e	意志掠奪(E)
zts1327e	意志掠奪(D)
zts1328e	意志掠奪(C)
zts1329e	意志掠奪(B)
zts1330e	意志掠奪(A)
zts1331e	意志掠奪(S)
zts1332e	涼颼颼(F)
zts1333e	幽暗的海盜船，使人受到驚嚇。
zts1334e	涼颼颼(E)
zts1335e	涼颼颼(D)
zts1336e	涼颼颼(C)
zts1337e	涼颼颼(B)
zts1338e	涼颼颼(A)
zts1339e	涼颼颼(S)
zts1340e	Rage Mode
zts1341e	Rage已經充滿了。
zts1342e	愛哭
zts1343e	健忘的 愛羅尼亞
zts1344e	虛榮的 吉隆崎
zts1345e	我的魔角在哪裡？
zts1346e	健忘的 愛羅尼亞忘記了她已經使用了她的魔角…
zts1347e	把我名貴的高跟鞋還給我
zts1348e	她…因為把高跟鞋丟了而感到後悔…
zts1349e	手工魔角
zts1350e	女神 愛羅尼亞的恩典
zts1351e	名貴高跟鞋
zts1352e	女神 吉隆崎的恩典
zts1353e	痛苦的鬥爭
zts1354e	女神 愛羅尼亞的祝福
zts1355e	安雪路安的恩典
zts1356e	你因為成功保護了十字軍而獲得了安雪路安的恩典。
zts1357e	十字軍痛苦地哭泣
zts1358e	十字軍的苦痛是你無法拯救的。
zts1359e	愛羅尼亞的詛咒
zts1360e	女神 愛羅尼亞的詛咒
zts1361e	吉隆崎的詛咒
zts1362e	女神 吉隆崎的詛咒
zts1363e	安雪路安的保護
zts1364e	安雪路安的詛咒
zts1365e	安雪路安的詛咒
zts1366e	吉隆崎的憤怒
zts1367e	女神 吉隆崎非常的苦惱和憤怒
zts1368e	R. Mode
zts1369e	R. Mode已經充滿了。
zts1370e	詭計
zts1371e	瞬間隱藏
zts1376e	防線衝擊！(F)
zts1377e	玩偶衝擊敵方防線使之暈眩。
zts1378e	防線衝擊！(E)
zts1379e	防線衝擊！(D)
zts1380e	防線衝擊！(C)
zts1381e	防線衝擊！(B)
zts1382e	防線衝擊！(A)
zts1383e	防線衝擊！(S)
zts1384e	變成玩偶吧！(F)
zts1385e	被控偶師的力量剪成玩偶…。
zts1386e	變成玩偶吧！(E)
zts1387e	變成玩偶吧！(D)
zts1388e	變成玩偶吧！(C)
zts1389e	變成玩偶吧！(B)
zts1390e	變成玩偶吧！(A)
zts1391e	變成玩偶吧！(S)
zts1392e	充滿力量啦！熊熊！(F)
zts1393e	把靈魂注入熊Bear Bear身上！
zts1394e	充滿力量啦！熊熊！(E)
zts1395e	充滿力量啦！熊熊！(D)
zts1396e	充滿力量啦！熊熊！(C)
zts1397e	充滿力量啦！熊熊！(B)
zts1398e	充滿力量啦！熊熊！(A)
zts1399e	充滿力量啦！熊熊！(S)
zts1400e	死亡遊戲(F)
zts1401e	死亡遊戲！你敢挑戰嗎？
zts1402e	死亡遊戲(E)
zts1403e	死亡遊戲(D)
zts1404e	死亡遊戲(C)
zts1405e	死亡遊戲(B)
zts1406e	死亡遊戲(A)
zts1407e	死亡遊戲(S)
zts1408e	小丑的詛咒(F)
zts1409e	馬戲團的幻影惡作戲！
zts1410e	小丑的詛咒(E)
zts1411e	小丑的詛咒(D)
zts1412e	小丑的詛咒(C)
zts1413e	小丑的詛咒(B)
zts1414e	小丑的詛咒(A)
zts1415e	小丑的詛咒(S)
zts1416e	驚喜～！(F)
zts1417e	驚嚇過度而失去知覺。
zts1418e	驚喜～！(E)
zts1419e	驚喜～！(D)
zts1420e	驚喜～！(C)
zts1421e	驚喜～！(B)
zts1422e	驚喜～！(A)
zts1423e	驚喜～！(S)
zts1424e	巨型曼德拉草(F)
zts1425e	召喚巨型曼德拉草攻擊敵人。
zts1426e	巨型曼德拉草(E)
zts1427e	巨型曼德拉草(D)
zts1428e	巨型曼德拉草(C)
zts1429e	巨型曼德拉草(B)
zts1430e	巨型曼德拉草(A)
zts1431e	巨型曼德拉草(S)
zts1432e	TreeGun攻擊(F)
zts1433e	被TreeGun驅束而無法行動。
zts1434e	TreeGun攻擊(E)
zts1435e	TreeGun攻擊(D)
zts1436e	TreeGun攻擊(C)
zts1437e	TreeGun攻擊(B)
zts1438e	TreeGun攻擊(A)
zts1439e	TreeGun攻擊(S)
zts1440e	時空轉移(F)
zts1441e	短時間與敵人互換位置。
zts1442e	時空轉移(E)
zts1443e	時空轉移(D)
zts1444e	時空轉移(C)
zts1445e	時空轉移(B)
zts1446e	時空轉移(A)
zts1447e	時空轉移(S)
zts1448e	傘之軌跡(F)
zts1449e	受到肉眼看不見的傷害卻嚴重出血。
zts1450e	傘之軌跡(E)
zts1451e	傘之軌跡(D)
zts1452e	傘之軌跡(C)
zts1453e	傘之軌跡(B)
zts1454e	傘之軌跡(A)
zts1455e	傘之軌跡(S)
zts1456e	屁股著地的摔倒在街上(F)
zts1457e	不小心摔倒在街上而暴露出弱點！！！！
zts1458e	屁股著地的摔倒在街上(E)
zts1459e	屁股著地的摔倒在街上(D)
zts1460e	屁股著地的摔倒在街上(C)
zts1461e	屁股著地的摔倒在街上(B)
zts1462e	屁股著地的摔倒在街上(A)
zts1463e	屁股著地的摔倒在街上(S)
zts1464e	雨傘花反射(F)
zts1465e	當受到傷害時，反射一定比率的傷害。但是無法反射純Debuff效果。
zts1466e	雨傘花反射(E)
zts1467e	雨傘花反射(D)
zts1468e	雨傘花反射(C)
zts1469e	雨傘花反射(B)
zts1470e	雨傘花反射(A)
zts1471e	雨傘花反射(S)
zts1472e	細細粒公主金星同伴(F)
zts1473e	同伴作用
zts1474e	細細粒公主金星同伴(E)
zts1475e	細細粒公主金星同伴(D)
zts1476e	細細粒公主金星同伴(C)
zts1477e	細細粒公主金星同伴(B)
zts1478e	細細粒公主金星同伴(A)
zts1479e	細細粒公主金星同伴(S)
zts1480e	克雷姆的自我(主武器)
zts1481e	一把有自己思想的武器。如果和其他克雷姆融合…
zts1482e	克雷姆的自我(副武器)
zts1483e	死亡天使亞茲拉爾
zts1484e	被吸收的佩拉諾之翼
zts1485e	辛卡珊的精華
zts1486e	閃耀的樹精華
zts1487e	尤米妮克的黎明之光
zts1488e	打開清晨的發光寶石
zts1489e	洛特的黃昏之陰
zts1490e	踏入黃昏的陰影
zts1491e	帢雷斯的戰鬥怒吼
zts1492e	帢雷斯的勇氣力量
zts1493e	拉迪昆的迴音
zts1494e	銀色靈魂的拉迪昆迴音
zts1495e	路德拉克斯的情報
zts1496e	巫師路德拉克斯的豐富知識
zts1497e	安雪路安的創造
zts1498e	創世者安雪路安，建立一切的開端。
zts1499e	佩拉諾的破壞
zts1500e	滅世者佩拉諾，破壞一切的結尾。
zts1501e	神的意志
zts1502e	爆擊傷害機率大大提升。
zts1503e	神的權威
zts1504e	反射所有攻擊
zts1505e	克雷姆的光明能量
zts1506e	可以感受到克雷姆的能量
zts1507e	懲罰
zts1508e	死亡天使用作治療靈魂的魔法。現在佩拉諾可以通過吸收能量來發動。
zts1509e	克雷姆的暗黑能量
zts1510e	克雷姆的強力暈眩
zts1511e	女神的微笑
zts1512e	HP快速回復。
zts1513e	女神的憤怒
zts1514e	HP快速扣減。
zts1515e	女神的詛咒
zts1516e	附加各種詛咒。
zts1517e	女神的嫉妒
zts1518e	反射傷害。
zts1519e	創造之神 安雪路安
zts1520e	PvP防禦力大幅提升。
zts1521e	破壞之神 佩拉諾
zts1522e	PvP攻擊力大幅提升。
zts1523e	寒冰晶冠之寒流
zts1524e	移動速度大幅下降。
zts1525e	寒冰晶冠之詛咒
zts1526e	一段時間內攻擊不能。
zts1527e	鮑爾的祝福
zts1528e	清涼氣息
zts1529e	魅惑的妖精之翼
zts1530e	九週年記念的祝福
zts1531e	法布尼爾的詛咒
zts1532e	邪惡之龍貪婪的力量即使降臨。
zts1533e	奧丁的祝福
zts1534e	充滿了奧丁的能量
zts1535e	戰鬥怒吼
zts1536e	以吼聲震撼敵人破壞意志！
zts1537e	戰場上的意志
zts1538e	抬起頭吧，戰士！
zts1539e	瓦爾基裡的祝福
zts1540e	接受瓦爾基裡的祝福！
zts1541e	英靈的指引
zts1542e	指引英靈前往瓦爾哈拉。
zts1543e	大自然的祝福
zts1544e	被自然界的祝福所包圍
zts1545e	大風壓
zts1546e	受到風壓影響，難以移動。
zts1547e	黏性唾液
zts1548e	被唾液所黏住，難以移動。
zts1549e	封鎖陷阱
zts1550e	移動速度下降，難以用物理攻擊命中目標。
zts1551e	高級格檔
zts1552e	於持續時間內格檔負面狀態。
zts1553e	海盜王的祝福
zts1554e	同行時，可以獲得未知的道具。
zts1555e	海軍上將的祝福
zts1556e	同行時，可以獲得更多的信譽和AW經驗值。
zts1557e	巫妖的魔法力量
zts1558e	可以提升暗黑能量的巫妖之力。
zts1559e	大巫妖的魔法力量
zts1560e	可以提升大量暗黑能量的巫妖之力。
zts1561e	活化之龍
zts1562e	能夠自動增生的活化之龍
zts1563e	強壯的活化之龍
zts1564e	能夠快速自動增生的活化之龍
zts1565e	絕對屏障
zts1566e	能夠阻擋任務傷害。
zts1567e	禁咒術
zts1568e	耗盡心志，換來不死之身。
zts1569e	幽靈吹息(F)
zts1570e	獲得幽靈的力量。
zts1571e	幽靈吹息(E)
zts1572e	幽靈吹息(D)
zts1573e	幽靈吹息(C)
zts1574e	幽靈吹息(B)
zts1575e	幽靈吹息(A)
zts1576e	幽靈吹息(S)
zts1577e	德斯特拉赫(F)
zts1578e	爆發強大的黑暗力量
zts1579e	德斯特拉赫(E)
zts1580e	德斯特拉赫(D)
zts1581e	德斯特拉赫(C)
zts1582e	德斯特拉赫(B)
zts1583e	德斯特拉赫(A)
zts1584e	德斯特拉赫(S)
zts1585e	維京人的驕傲(F)
zts1586e	引以為傲的維京人能力。
zts1587e	維京人的驕傲(E)
zts1588e	維京人的驕傲(D)
zts1589e	維京人的驕傲(C)
zts1590e	維京人的驕傲(B)
zts1591e	維京人的驕傲(A)
zts1592e	維京人的驕傲(S)
zts1593e	骷髏戰士羅洛(F)
zts1594e	骷髏戰士羅洛(E)
zts1595e	骷髏戰士羅洛(D)
zts1596e	骷髏戰士羅洛(C)
zts1597e	骷髏戰士羅洛(B)
zts1598e	骷髏戰士羅洛(A)
zts1599e	骷髏戰士羅洛(S)
zts1600e	雄心壯志
zts1601e	滿懷成功的心情，非常亢奮！
zts1602e	活力爆發
zts1603e	惡魔恩典的信念
zts1604e	領導力
zts1605e	超乎常人的能力，能夠看到別人看不見的真相。
zts1606e	十週年記念加持
zts1607e	通往夢想世界的通行証
zts1608e	完全失去抵抗能力的陷入睡眠。
zts1609e	魔力方塊[隱藏]
zts1610e	魔法水平較低，但仍然能夠隱藏身影一段時間。
zts1611e	魔力方塊[抗性]
zts1612e	魔法水平較低，但仍可抵禦不良影響。
zts1613e	魔力方塊[移動]
zts1614e	魔法水平較低，但仍可提升移動速度。
zts1615e	魔力方塊[眩暈]
zts1616e	魔法水平較低，但仍可造成眩暈效果。
zts1617e	粉碎衝擊(F)
zts1618e	利用堅硬的肩膀向敵人進行衝撞攻擊。
zts1619e	粉碎衝擊(E)
zts1620e	粉碎衝擊(D)
zts1621e	粉碎衝擊(C)
zts1622e	粉碎衝擊(B)
