zts1e	Ataques especiales
zts596e	El nivel de HP del oponente ha sido reducido un %s y el nivel de HP del jugador ha aumentado la misma cantidad.
zts597e	Habilidad del jefe de los monstruos
zts598e	Maestro Morcos
zts599e	Proporciona %s%% daños al jugador que se encuentra a %s campos de ti.
zts600e	Pierdes el reflejo y la probabilidad de MP
zts601e	Perder los MP restantes con cierta probabilidad
zts602e	No utilizar este objeto.
zts603e	Tiene un %s%% de probabilidades de eliminar un %s%% de los MP restantes.
zts604e	Especialización y Hechizo Resistencia
zts605e	Hechizo Resistencia
zts606e	Especialización PvP
zts607e	Eliminar hechizo por debajo de un determinado nivel.
zts608e	%s%% resistencia contra el efecto: Nivel [%s] e inferior.
zts609e	%s daños adicionales en modo PvP.
zts610e	Disminuye %s daños en modo dos jugadores.
zts611e	Tiene una probabilidad del %s%% de eliminar efectos dañinos de nivel inferior al %s.
zts612e	La explosión ha causado %s%% daños en %s bloques cercanos.
zts613e	Maestro Hatus
zts614e	Ataque Cabeza de Dragón
zts615e	Causa %s%% daños a los jugadores de un lugar determinado.
zts616e	Lady Calvina
zts617e	Invocar serpiente
zts618e	Especialista SE
zts619e	Energía del escudo
zts620e	Expansión del hechizo
zts621e	Movimiento del aura
zts622e	Vida y muerte
zts623e	Inserta el número de hechizos y el valor de los daños (1/1000).
zts624e	Inserta el número de hechizos.
zts625e	Moviendo el aura provoca esta influencia a tu alrededor.
zts626e	No tienes que insertar nada.
zts627e	Cuanto menos vida tengas, más fuerte será el efecto.
zts628e	4. Raid de la familia Glacernon
zts629e	4. Habilidad de Glacernon
zts630e	Todos los adversarios que se encuentren a %s campos a la redonda sufren un daño de %s%%.
zts631e	Todos los adversarios que se encuentren a %s campos a la redonda sufren un gran daño de %s%%.
zts632e	Ataque del monstruo evocado
zts633e	Eliminar monstruo evocado
zts634e	Le infliges un %s%% de daño a [%s].
zts638e	Aumenta el nivel máximo de HP en un %s%%, pero nunca más de 5 000 HP.
zts639e	Reduce el nivel máximo de HP en un %s%%, aunque no más de 5000 HP.
zts651e	El Acelerador aumenta tu velocidad.
zts652e	Tu velocidad aumenta al máximo durante un período corto de tiempo.
zts657e	esconder en barril de ron
zts663e	Invoca 1 [%s] con una probabilidad del %s%%.
zts664e	Invoca 1 [%s] con una probabilidad del %s%% (desaparece pasado un tiempo)
zts668e	Atrae hacia ti la atención de los enemigos cercanos.
zts671e	La fuerza de ataque total ha aumentado en un %s%%.
zts672e	La fuerza de ataque total se ha reducido en un %s%%.
zts673e	La fuerza de defensa total ha aumentado en un %s%%.
zts674e	La fuerza de defensa total se ha reducido en un %s%%.
zts675e	Modifica el nivel máximo de MP. (Espíritu del Oso)
zts676e	Aumenta el nivel máximo de MP en un %s%%, pero nunca más de 5 000 MP.
zts677e	Reduce el nivel máximo de MP en un %s%%, aunque no más de 5 000 MP.
zts678e	Reduce las habilidades de todos tus oponentes.
zts685e	Refleja el daño máximo recibido de %s.
zts686e	El daño infligido por todos los ataques aumentará en un %s%% con una probabilidad del %s%%. Si la defensa funciona, la energía se cargará.
zts687e	El daño infligido por todos los ataques se reducirá en un %s%% con una probabilidad del %s%%. Si la defensa funciona, la energía se cargará.
zts688e	Cuando hayas conseguido derrotar a tu oponente con esta habilidad, habrá una probabilidad del %s%% de que se dé el siguiente efecto: [%s].
zts689e	Si te burlas de un oponente que ha caído fuera de combate, habrá una probabilidad del %s%% de que se dé el siguiente efecto: [%s].
zts690e	Si te burlas de un oponente que tiene un estado normal, habrá una probabilidad del %s%% de que se dé el siguiente efecto: [%s].
zts691e	Devuelve el efecto maligno del oponente con una probabilidad determinada.
zts694e	El radio de alcance del ataque del Servidor del cañón de fuego aumenta en %s.
zts695e	El radio de ataque del Servidor del cañón de fuego se reduce en %s.
zts696e	Retroceso ante %s bloqueos del adversario.
zts699e	Las habilidades ígneas de Volcano aumentan en %s.
zts700e	Las habilidades ígneas de Volcano se reducen en %s.
zts704e	Reduce la efectividad del buff que potencia del ataque del enemigo.
zts705e	Si consigues esquivar el ataque del enemigo, el buff aumentará con una probabilidad determinada.
zts706e	Defensa contra %s de daño crítico.
zts713e	Reduce en un %s%% el daño que recibe tu compañero dentro del alcance. En cambio, recibes %s%% del daño de tu compañero.
zts714e	Aumenta el daño transferido por el compañero en un %s%%.
zts715e	Reduce el daño transferido por el compañero en un %s%%.
zts716e	La capacidad de recuperación de HP ha aumentado en un %s%%.
zts717e	La capacidad de recuperación de HP ha disminuido en un %s%%.
zts718e	Daños adicionales recibidos por combo de habilidades: %s%%
zts728e	El Sacrificio produce, con una probabilidad del %s%%, [%s].
zts732e	Se genera, con una probabilidad del %s%%, [%s] en el lugar fijado.
zts733e	Se retira, con una probabilidad del %s%%, [%s] en el lugar indicado.
zts734e	Desaparece sin dejar rastro.
zts741e	%s%% del daño recibido se añade a tu HP y si tienes un potenciador activado, no recibes más daños.
zts742e	%s%% del daño recibido se retira de tu HP y si tienes un potenciador activado, no recibes más daños.
zts745e	Los daños aumentan en %s%% debido a la utilización de la técnica [%s].
zts746e	Los daños disminuyen en %s%% debido a la utilización de la técnica [%s].
zts747e	El índice de golpe mortal aumenta en %s%% debido a la utilización de la técnica [%s].
zts748e	El índice de golpe mortal disminuye en %s%% debido a la utilización de la técnica [%s].
zts752e	Aumenta los daños contra %s en un %s%%.
zts753e	Cuando %s ataque a un jugador, los daños disminuirán en %s%%.
zts754e	La eficacia de los objetos de recuperación aumenta en %s%%.
zts755e	La eficacia de los objetos de recuperación disminuye en %s%%.
zts757e	Si Liona lleva la Tarjeta del especialista para compañero, hay una probabilidad del %s%% de que se produzca [%s].
zts758e	Si Liona lleva la Tarjeta del especialista para compañero, hay una probabilidad del %s%% de que se elimine [%s].
zts764e	Tender una emboscada al enemigo y atacarlo.
zts765e	El halcón sigue y acecha al enemigo y puede atacarlo desde el aire.
zts766e	Gracias a los agudos sentidos del halcón, se identifica y ataca al enemigo con menos HP. Después, este jugador queda marcado para que los demás también puedan atacarlo.
zts767e	Aumenta el poder de defensa en PvP.
zts768e	Aumenta el poder de defensa en PvP en un %s%%.
zts769e	El poder de defensa en PvP disminuye en un %s%%.
zts776e	Restablece un %s%% del HP restante del oponente.
zts777e	Disminuye el nivel de HP del oponente en %s%%
zts778e	Si se utiliza %s veces, se produce [%s]. Solo puede subir hasta el nivel 2.
zts779e	El alcance de ataque aumenta en %s.
zts780e	El alcance de ataque se reduce en %s.
zts781e	Mover en otra dirección durante %s segundos contra la voluntad del jugador.
zts782e	Desde la emboscada se provoca, con una probabilidad del %s%%, [%s].
zts787e	Tras un ataque de francotirador se produce, con una probabilidad del %s%%, [%s].
zts788e	Tras un ataque de francotirador se retira, con una probabilidad del %s%%, [%s].
zts789e	El alcance de ataque de emboscada aumenta en %s.
zts790e	Se produce, con una probabilidad del %s%%, [%s] después de un ataque de emboscada.
zts793e	Pierdes todo el control sobre tu cuerpo. Otros jugadores pueden liberarte del hielo eterno.
zts794e	La meditación corta genera, con una probabilidad del %s%%, [%s].
zts795e	La meditación media genera, con una probabilidad del %s%%, [%s].
zts796e	La meditación larga genera, con una probabilidad del %s%%, [%s].
zts799e	Recibes un %s%% del daño de un acierto crítico provocado por un francotirador.
zts808e	Desplazamiento de %s campo/s hacia atrás con una probabilidad del %s%%.
zts810e	Desplaza al adversario, con una probabilidad del %s%%, %s campo/s hacia atrás.
zts811e	El tiempo de efecto para ataque a corta distancia aumenta en %s.
zts812e	El tiempo de efecto para ataque a corta distancia se reduce en %s.
zts813e	El tiempo de efecto para ataque a larga distancia aumenta en %s.
zts814e	El tiempo de efecto para ataque a larga distancia se reduce en %s.
zts815e	El tiempo de efecto para ataque mágico aumenta en %s.
zts816e	El tiempo de efecto para ataque mágico se reduce en %s.
zts817e	Cuando te mata otro jugador, su HP se reduce en un %s%%.
zts818e	Cuando te mata otro jugador, su HP aumenta en un %s%%.
zts819e	Aumenta el poder de ataque en PvP.
zts820e	Aumenta el poder de ataque en PvP en un %s%%.
zts821e	Se reduce el poder de ataque en PvP en un %s%%.
zts823e	Te teletransporta al lugar escogido.
zts827e	Otorga una probabilidad del %s%% de invocar [%s].
zts828e	Recupera tus HP en un %s%%.
zts829e	Disminuye tus HP en un %s%%.
zts831e	Puede cazar ovejas.
zts832e	Buff de la arena de equipos
zts833e	Poder de defensa de la arena de equipos
zts834e	Poder de ataque de la arena de equipos
zts835e	El daño recibido en la arena de equipos tiene una probabilidad del %s%% de aumentar en un %s%%.
zts836e	El daño recibido en la arena de equipos tiene una probabilidad del %s%% de reducirse en un %s%%.
zts837e	El poder de ataque en la arena de equipos tiene una probabilidad del %s%% de aumentar en un %s%% durante un ataque.
zts838e	El poder de ataque en la arena de equipos tiene una probabilidad del %s%% de reducirse en un %s%% durante un ataque.
zts840e	Llamar al nº. 1
zts841e	Llamar al nº. 2
zts842e	Llamar al nº. 3
zts843e	Vista de espectador
zts844e	Llamar al participante nº. 1
zts845e	Llamar al participante nº. 2
zts846e	Llamar al participante nº. 3
zts847e	Cambiar de la vista propia a los participantes en el combate.
zts849e	Solamente puedes ver a personajes escondidos en tus cercanías.
zts850e	Aumento de los puntos de experiencia de tu hada
zts851e	Los puntos de experiencia de tu hada aumentan en un %s%%.
zts853e	Lanza bellotas tan fuerte como puede.
zts860e	Con una probabilidad de éxito del %s%% invoca hasta %s Clones oscuros.
zts861e	Existe una probabilidad de %s%% de convertir los efectos regeneradores de HP en daño.
zts862e	Transforma los daños de los enemigos en un efecto sanador con una probabilidad de éxito del %s%%. El HP regenerado y los daños acumulados desaparecen tras %s segundos.
zts863e	El tiempo de regeneración de las técnicas de los enemigos aumenta en un %s%%, con una probabilidad de éxito del %s%%. Cuando la técnica da resultado, tu tiempo de regeneración disminuye.
zts864e	Hay una probabilidad de un %s%% de aumentar los daños recibidos mediante el elemento tinieblas en un %s%%.
zts865e	Hay una probabilidad de un %s%% de disminuir los daños recibidos mediante el elemento tinieblas en un %s%%.
zts869e	Hay una probabilidad de un %s%% de utilizar [%s] cuando haya un espíritu absorbido.
zts870e	Hay una probabilidad de un %s%% de utilizar [%s] cuando no haya un espíritu absorbido.
zts871e	Resiste el movimiento forzado con una probabilidad del %s%%.
zts873e	El período de tiempo para la reutilización de habilidades mágicas ha aumentado en un %s%%.
zts874e	El período de tiempo para la reutilización de habilidades mágicas ha disminuido en un %s%%.
zts877e	Ataca a todos los enemigos que están en el campo de visión salvo en un lugar concreto.
zts878e	Reduce el nivel de HP del enemigo en un %s%% con una probabilidad del %s%%.
zts879e	El nivel de HP se reduce en un %s%% del daño ocasionado con una probabilidad del %s%%.
zts883e	Invoca un zarzal que esté a la vista.
zts884e	Transforma el objetivo.
zts886e	Hay una probabilidad del %s%% de que no se puedan emplear efectos beneficiosos por debajo del nivel %s.
zts890e	Teleporta velozmente %s campos adelante.
zts891e	Hace caer diez meteoritos y %s adicionales.
zts892e	Te teleporta con %s miembros al lugar guardado.
zts894e	Solamente capaz de lanzar un ataque normal debido a la furia.
zts895e	Atrae hacia ti la atención de los enemigos a 5 campos de distancia.
zts900e	Hay una probabilidad del %s%% de que se ignoren %s%% de la defensa del objetivo.
zts901e	Hay una probabilidad del %s%% de que se reduzca el daño crítico recibido en un %s%%.
zts904e	Transformación en héroe. Los MP máximos variarán porcentualmente.
zts905e	Aparición de Ancelloan. Los HP y los MP máximos aumentan en un %s%%.
zts906e	Aparición de Ancelloan. Los HP y los MP máximos disminuyen en un %s%%.
zts908e	Durante el ataque hay una probabilidad del %s%% de invocar a la Sombra del dragón de ónice para que lance un ataque adicional.
zts909e	Robo de efecto
zts910e	En caso de impactar, al enemigo se le roba un efecto por debajo del nivel %s. Máximo: %s efectos.
zts912e	Si el ataque tiene éxito, se pueden robar efectos positivos por debajo del nivel %s del compañero del objetivo y transferirlos a aliados en el rango de 3 campos. Se puede robar hasta un máximo de %s efectos.
zts913e	Abortar transformación
zts914e	La transformación tiene una probabilidad del %s%% de interrumpirse. Retorna al estado anterior cuando el efecto desaparece.
zts916e	No puede atacar durante %s segundos.
zts917e	Tiene un %s%% de probabilidades de cancelar la transformación. Si se cancela con éxito no se puede atacar durante %s segundos. El personaje regresa al estado anterior.
zts919e	Cambio de sitio
zts920e	Intercambia la posición con el objetivo. En cuanto termine el efecto, el personaje vuelve a la posición inicial.
zts923e	Si mueres, la cantidad de puntos de fama que pierdes aumenta en un %s%%.
zts924e	Si mueres, la cantidad de puntos de fama que pierdes disminuye en un %s%%.
zts925e	Si mueres, la cantidad de puntos de experiencia de nivel heroico que pierdes aumenta en un %s%%.
zts926e	Si mueres, la cantidad de puntos de experiencia de nivel heroico que pierdes disminuye en un %s%%.
zts928e	Se ejecutará la sentencia; la muerte os espera.
zts931e	Cuando atacas a ángeles, tus daños máximos aumentan a %s%%.
zts932e	Cuando atacas a ángeles, tus daños máximos se reducen a %s%%.
zts933e	Cuando atacas a demonios, tus daños máximos aumentan a %s%%.
zts934e	Cuando atacas a demonios, tus daños máximos se reducen a %s%%.
zts937e	Hay una probabilidad del %s%% de que se restaure el tiempo de espera de la habilidad empleada.
zts938e	Hay una probabilidad del %s%% de que se emplee [%s] sobre la alianza dentro de 5 campos.
zts939e	Hay una probabilidad del %s%% de que se elimine [%s] de la alianza dentro de 5 campos.
zts940e	Otorga una probabilidad del %s%% de eliminar efectos positivos por debajo del nivel %s.
zts942e	Si el nivel del monstruo es más alto que el del personaje, hay una probabilidad de un %s%% de que el daño aumente en un %s%%.
zts943e	Si el nivel del monstruo es más alto que el del personaje, hay una probabilidad de un %s%% de que el daño disminuya en un %s%%.
zts945e	Bloquea %s efectos negativos por debajo del nivel %s.
zts947e	Tu velocidad de movimiento aumenta en %s mientras te ocultes.
zts948e	Tu velocidad de movimiento disminuye en %s mientras te ocultes.
zts955e	La fama recibida aumenta en un %s%%.
zts956e	La fama recibida se reduce en un %s%%.
zts957e	La experiencia de héroe recibida aumenta en un %s%%.
zts958e	La experiencia de héroe recibida se reduce en un %s%%.
zts959e	Mientras te acompañen puedes recibir siempre tras %s hora(s) %s objeto(s) desconocido(s).
zts960e	%s%% de probabilidad de retirarle al enemigo un potenciador de refuerzo.
zts961e	Crea mediante la magia del Liche un Dragón de huesos y le otorga al usuario la Fuerza vital del dragón.
zts962e	Crea mediante la magia del Liche un Dragón de huesos y le otorga al usuario la Fuerza vital del dragón fuerte.
zts970e	Los ataques dirigidos a enemigos escondidos pueden ocasionar %s daños ocasionales
zts972e	El daño de enemigos ocultos aumenta en %s%%.
zts973e	El daño de enemigos ocultos aumenta en un %s%%.
zts974e	Desvela enemigos ocultos en %s campos adyacentes.
zts977e	Vuelve al mini-mundo y regenera un %s%% de tus HP. Si tus HP están al máximo, recibirás un %s%% de HP adicionales.
