zts1e	Training for Rookie Adventurers
zts765e	Get help from Catlotte!
zts766e	Find the second ingredient for the spell!
zts767e	Bring Soty the second ingredient for the spell!
zts768e	Get help from Teodor Topp!
zts769e	Pay what Teodor Topp demands and get the information!
zts770e	Find the third ingredient for the spell!
zts771e	Bring Soty the third ingredient for the spell!
zts772e	Get help from Mimi Mentor!
zts773e	Find the fourth ingredient for the spell!
zts774e	Bring Soty the fourth ingredient for the spell!
zts775e	Get help from the Koaren Chief!
zts776e	Find the fifth ingredient for the spell!
zts777e	Bring Soty the fifth ingredient for the spell!
zts778e	Get help from Doggo!
zts779e	Find the sixth ingredient for the spell!
zts780e	Bring Soty the sixth ingredient for the spell!
zts781e	Find someone who knows the seventh ingredient for the spell!
zts782e	Find the fake ingredient for the spell!
zts783e	Give Soty Bystander the fake ingredient!
zts784e	Reveal Rect Lat's true identity!
zts785e	Where's the Truth?
zts786e	Listen to what Rect Lat has to say!
zts787e	Find the Old Tree!
zts788e	Investigate the inside of the Old Tree!
zts789e	Eliminate the monsters preventing you from tracking down Fever!
zts790e	Someone is here... look into it!
zts791e	Go to Seli-Lusha!
zts792e	Follow Eri Windspear's instructions!
zts793e	Eliminate the monsters barring the way to the Underground Pathway!
zts794e	Eliminate the monsters barring the way to the Underground Pathway!
zts795e	You've found the gate to the Underground Path at last!
zts796e	Explore Seli-Lusha!
zts797e	Find out the truth at last!
zts798e	Locate Korrkoaren!
zts799e	Ask Colly how to get to Korrkoaren!
zts800e	Find the first ingredient for the vision spell!
zts801e	Find the second ingredient for the vision spell!
zts802e	Find the third ingredient for the vision spell!
zts803e	Hand Colly all the ingredients for the vision spell!
zts804e	Recover the Pearl of Dusk!
zts805e	Eri Windspear and Rect Lat's Choice
zts806e	Ask Eri Windspear for help in preventing the resurrection of Latheore!
zts807e	Ask Rect Lat for help in preventing the resurrection of Latheore!
zts808e	Go to Seli-Lusha to prevent the resurrection of Latheore!
zts809e	Fight against the angels blocking your path!
zts810e	Fight your way through to Fever's Cocoon!
zts811e	Fight against the angels blocking your path!
zts812e	Fight you way through to Fever's Cocoon!
zts813e	Prevent the Angel King's return!
zts814e	Find Jack Lumber's Forester's House!
zts815e	The Arrival of the Demons
zts816e	The Guardian of Light
zts817e	Look for the Blue Magician's items!
zts818e	Find out how to craft the jewel!
zts819e	Deliver the Blue Magician's items!
zts820e	Find out how you can repair the diary!
zts821e	Find out about the Blue Magician's past!
zts822e	Say what you experienced in the Time-Space!
zts823e	Look for the Destroyer's items!
zts824e	Collect ingredients for the Special Bleach!
zts825e	Deliver the Special Bleach!
zts826e	Deliver the Destroyer's items!
zts827e	Pay the required amount of Gold!
zts828e	Find out about the Destroyer's past!
zts829e	Say what you experienced in the Time-Space!
zts830e	Look around for Crusader's items!
zts831e	Look for the Holy Water Bottles!
zts832e	Deliver the Holy Water Bottles!
zts833e	Deliver the Crusader's items!
zts834e	Search for the safe!
zts835e	Search for the key!
zts836e	Deliver the safe and the key!
zts837e	Find out something about the Crusader's past!
zts838e	Defeat Archtheridon!
zts839e	Deliver the news that you defeated Archtheridon!
zts840e	Use Gate 1 which you received from Jerico and complete your first task.
zts841e	Use Gate 2 and take on the mission.
zts842e	Use Gate 3 and pass the final challenge.
zts843e	Dark Revenger
zts844e	Find the Fragments of Memory!
zts845e	Look for something related to the Fragments of Memory!
zts846e	Delivery the Fragment of Memory piece!
zts847e	Delivery the Fragments of Memory!
zts848e	Look for clues in the past!
zts849e	Pay the demanded amount!
zts850e	Collect the materials for the Priest's Spear!
zts851e	Deliver the Unfinished Priest's Spear!
zts852e	Complete the Priest's Spear!
zts853e	Deliver the Priest's Spear!
zts854e	Defeat Echekaruel Mysticaron!
zts855e	Glacernon
zts856e	Listen to Mimi Mentor's request!
zts857e	Deliver Mimi Mentor's letter!
zts858e	Deliver the letter to Benito Butler!
zts859e	Go to the port and meet Leika Passage.
zts860e	Return to Anni!
zts861e	Go to Leika Passage!
zts862e	Go to Mimi Mentor!
zts863e	Tell Leika Passage that you're ready for the journey!
zts864e	Obtain the Power of Protection, go to Glacernon, and get further instructions from Leika.
zts865e	Deliver the Recommendation Letter to Rudin Albisco!
zts866e	Meet Aurelius Roshu!
zts867e	Return to Rudin Albisco!
zts868e	Gather clues!
zts869e	Deliver the logbook to Rudin Albisco!
zts870e	Gather more clues!
zts871e	Deliver the Reconnaissance Report!
zts872e	Deliver the Old Tablet!
zts873e	Gather additional clues!
zts874e	Find out who the traitor is!
zts875e	Deliver Mukraju's Magic Book!
zts876e	Go to Rudin Albisco!
zts877e	Collect 10 pieces of Low Quality Wood!
zts878e	Go to the well near Sunset Cliff!
zts879e	Clear the Time-Space in challenge mode with a higher score than the required one!
zts880e	Exploring the Laboratory
zts881e	Guided by an Ancient Soul
zts882e	Clear Time-Space.
zts883e	Santa Claus's Request
zts884e	Hunt monsters to protect the children!
zts885e	Report to Santa Claus!
zts933e	Attack on the Harbour
zts934e	Harbour Guard Tom from Mortaz Desert Harbour has asked you to investigate the origins of the attacks on the harbour.
zts935e	Attack on the Harbour
zts936e	Harbour Guard Tom thinks we will find evidence once the monsters have been eliminated.
zts937e	Harbour Guard Tom has asked you to eliminate the Desert Robbers' patrol spy and to retrieve the Prickly Pears.
zts938e	Harbour Guard Tom has asked you to bring a letter to Hamid in Neil's Camp Area.
zts939e	Hamid from Neil's Camp Area has asked you to eliminate the Desert Robbers in Neil's Camp.
zts940e	Hamid from Neil's Camp Area has asked you to bring the things you got from Commander Neil to Harbour Guard Tom in Mortaz Desert Harbour.
zts941e	Strange Happenings
zts942e	Lighthouse Guard Chilton from Mortaz Desert Harbour has asked you to go to Hamid in Neil's Camp Area and to follow his instructions.
zts943e	Hamid has asked you to eliminate the Desert Robber Scout in the area.
zts944e	Hamid from Neil's Camp Area has asked you to attack Neil's Camp and to eliminate the Desert Robbers.
zts945e	Hamid has asked you to eliminate Commander Neil in his camp and to obtain the Invaluable Patrol Report.
zts946e	Hamid from Neil's Camp Area has asked you to bring the Invaluable Patrol Report to Lighthouse Guard Chilton.
zts947e	Lighthouse Guard Chilton has asked you to take the Invaluable Patrol Report to President Noah in the Akamur Camp.
zts948e	Defence of the Harbour
zts949e	Harbour Guard Tom has asked you to go to Hamid in Neil's Camp Area and to follow his instructions.
zts950e	Hamid from Neil's Camp Area has asked you to steal Prickly Pears from the Desert Robbers.
zts951e	Hamid from Neil's Camp Area has asked you to distribute the aroma-soaked prickly pears in Neil's Camp.
zts952e	Hamid from Neil's Camp Area has asked you to obtain the camp commander's stack of orders.
zts953e	Hamid from Neil's Camp Area has asked you to bring the manipulated stack of orders back to the camp.
zts954e	Defence of the Harbour
zts955e	Hamid from Neil's Camp Area has asked you to bring something to Harbour Guard Tom in Mortaz Desert Harbour.
zts956e	A Dumb but Important Assistant
zts957e	Harbour Guard Tom has asked you to free Assistant Shane from Neil's Camp.
zts958e	Assistant Shane in Neil's Camp has asked you to obtain the key from the Desert Robber Key Master to he can unlock the chains around his legs.
zts959e	Assistant Shane in Neil's Camp has asked you to obtain the key from the Desert Robber jailer to he can unlock the chains around his legs.
zts960e	Assistant Shane from Neil's Camp has asked you to eliminate the Desert Robbers so he can escape safely.
zts961e	Lost Trade Goods - Part 1
zts962e	Harbour Guard Tom has asked you to retrieve the Akamur Merchants' trade goods from the surrounding area.
zts963e	Lost Trade Goods - Part 2
zts964e	Lighthouse Guard Chilton has asked you to bring the trade goods in Neil's Camp Area to Hamid.
zts965e	Lost Trade Goods - Part 3
zts966e	Hamid from Neil's Camp Area has asked you to retrieve the trade goods from the Desert Robbers and to bring them to Harbour Guard Tom.
zts967e	Stolen Trade Goods - Part 1
zts968e	Lighthouse Guard Chilton from Mortaz Desert Harbour has asked you to eliminate the monsters in the area and to retrieve the trade goods.
zts969e	Stolen Trade Goods - Part 2
zts970e	Lighthouse Guard Chilton from Mortaz Desert Harbour has asked you to retrieve the trade goods in Neil's Camp Area and to bring them to Hamid.
zts971e	Stolen Trade Goods - Part 3
zts972e	Hamid from Neil's Camp Area has asked you to steal the trade goods from the Desert Robbers and bring them to Lighthouse Guard Chilton.
zts973e	Find the stolen trade goods!
zts974e	President Noah of the Akamur Camp has asked you to go to Hazel and follow her instructions.
zts975e	Hazel from the Akamur Camp has asked you to eliminate the monsters in the East and West Merchant Camps and collect the trade goods.
zts976e	Hazel from the Akamur Camp has asked you to eliminate the Desert Robbers in the West Merchant Camp and collect the trade goods.
zts977e	Find the stolen trade goods!
zts978e	Hazel from the Akamur Camp has asked you to look for the Akamur Merchants' lost flag.
zts979e	Hazel from the Akamur Camp has asked you to bring back the trade goods from Keru's Camp.
zts980e	Hazel from the Akamur Camp has asked you to bring the report to Noah.
zts981e	The Akamur Trade Route
zts982e	Hazel from the Akamur Merchants has asked you to eliminate the monsters in the East Merchant Camp so that the trade route can be reopened.
zts983e	Hazel from the Akamur Merchants has asked you to eliminate the monsters in the West Merchant Camp so that the road to Desert Eagle City can be opened.
zts984e	Hazel from the Akamur Merchants has asked you to eliminate the monsters in Melki's Camp Area so that the road to the merchant camp can be opened.
zts985e	Hazel from the Akamur Camp has asked you to eliminate the monsters in Keru's Camp Area so the trade route between the merchant camp and Desert Eagle City can be opened.
zts986e	Hazel from the Akamur Camp has asked you to bring the report to Noah.
zts987e	Negotiating with the Desert Robbers
zts988e	Noah from the Akamur Camp has asked you to conduct negotiations with the representative of the Desert Robbers. Hazel will make all the preparations for the negotiations.
zts989e	Hazel from the Akamur Camp has asked you to bring the document she prepared to Representative Mursha in Keru's Camp.
zts990e	Representative Mursha from Keru's Camp has ordered the Desert Robbers to attack the adventurer.
zts991e	Representative Mursha from Keru's Camp has ordered Commander Keru to attack the adventurer.
zts992e	Representative Mursha says he understands what the Akamur Merchants are trying to tell him and has given you a secret letter to bring to the merchants.
zts993e	Hazel from the Akamur Camp has asked you to take her letter to Noah.
zts994e	Liberating the Merchant
zts995e	Give Hazel the Second Mission Report!
zts996e	Hazel from the Akamur Merchants' Camp has asked you to eliminate the Desert Robber in Melki's Camp in order to free the merchant being held there. Speak with the captive merchant Humad afterwards.
zts997e	The captive merchant Humad from Melki's Camp has asked you to eliminate the Desert Robbers and to obtain the key from the jailer.
zts998e	The captive merchant Humad from Melki's Camp has asked you to eliminate the Desert Robbers so that he can safely escape. After that, talk to Hazel.
zts999e	Hazel from the Akamur Camp has asked you to bring the report on the captive merchant to Noah.
zts1000e	The Road to Melki's Camp
zts1001e	Hazel from the Akamur Camp has instructed you to eliminate the monsters in the East Merchant Camp.
zts1002e	Hazel from the Akamur Camp has instructed you to eliminate the monsters and Desert Robbers in Melki's Camp Area.
zts1003e	Hazel from the Akamur Camp has instructed you to eliminate the Desert Robbers and Commander Melki in Melki's Camp.
zts1004e	Hazel from the Akamur Camp has instructed you give the report to President Noah.
zts1005e	The Path to Keru's Camp
zts1006e	Hazel from the Akamur Camp has instructed you to eliminate the monsters in the West Merchant Camp.
zts1007e	Hazel from the Akamur Camp has instructed you to eliminate the Desert Robbers and monsters in Kerus's Camp Area.
zts1008e	Hazel from the Akamur Camp has instructed you to eliminate the Desert Robbers in Keru's Camp and Commander Melki in Melki's Camp.
zts1009e	The Desert Robber's Intentions
zts1010e	Nephi from the Akamur Quarter has instructed you carry out Representative Semia's orders.
zts1011e	Representative Semia from the Akamur Quarter has instructed you to obtain Commander Keru's hurried report from Keru's Camp.
zts1012e	Representative Semia has instructed you to help Guard Putran in Garton's Camp Surroundings and eliminate the Desert Robbers. After that you are to follow Guard Putran's instructions.
zts1013e	Guard Putran from Garton's Camp Area has asked you to eliminate the Desert Robbers.
zts1014e	Guard Putran has asked you to attack Garton's Camp and to observe the Desert Robbers' movements.
zts1015e	Guard Putran has asked you to eliminate Commander Garton in Garton's Camp and then to obtain Patrol B's Hurried Report.
zts1016e	Guard Putran from Garton's Camp Area has asked you to bring Patrol B's Hurried Report to Representative Semia in the Akamur Quarter as quickly as possible.
zts1017e	Representative Semia from the Akamur Quarter has given you Commander Keru's Hurried Report and a small bag of gold, which you are to bring to Xavier in the Chaos Zone.
zts1018e	Representative Semia from the Akamur Quarter would like you to take the report to Nephi.
zts1019e	The Last Negotiations
zts1020e	Representative Semia from the Akamur Quarter would like you to look for Velmon in the Chaos Zone and find a way to negotiate with the Desert Robbers.
zts1021e	Velmon from the Chaos Zone has asked you to take the sealed letter to Representative Rushaldin in the Desert Robber Camp.
zts1022e	Representative Rushaldin has asked you to eliminate the Desert Robber who was eavesdropping in on your conversation.
zts1023e	Representative Rushaldin from the Desert Robber Camp has asked you to obtain the strange medicine bottle.
zts1024e	Once Rushaldin has fled from the Desert Robber Camp, you must clear the way for him to reach the Chaos Zone safely.
zts1025e	Representative Rushaldin has asked you to bring his secret letter about the Desert Robbers' current situation to an important person among the Akamur Merchants.
zts1026e	Representative Semia from the Akamur Quarter has asked you to give the report to Nephi.
zts1027e	Know Your Enemy Like Yourself
zts1028e	Nephi from the Akamur Quarter has asked you to bring the letter to Representative Semia.
zts1029e	Representative Semia from the Akamur Quarter has asked you to bring the letter with the title "Mission Name: Know Your Enemy Like Yourself" to Velmon in the Chaos Zone.
zts1030e	Velmon from the Chaos Zone has asked you to eliminate the Desert Robbers and Commander Keru in Keru's Camp. You should also investigate Keru's Strange Chest.
zts1031e	Bring the Desert Robbers' sketch to Velmon in the Chaos Zone!
zts1032e	Velmon from the Chaos Zone has asked you to eliminate the Desert Robbers and Commander Garton in Garton's Camp, and then to investigate Garton's Strange Chest.
zts1033e	In the strange chest in Garton' Camp you can find a Desert Robber sketch. Bring it to Velmon from the Chaos Zone!
zts1034e	Velmon from the Chaos Zone would like an evaluation of the sketch and has asked you to ask Xavier about it.
zts1035e	The completed Desert Robber sketch must be given to Representative Semia in the Akamur Quarter.
zts1036e	Eradication of the Desert Robbers
zts1037e	Nephi from the Akamur Quarter has asked you to bring the note containing the attack orders to Representative Semia and then to follow her instructions.
zts1038e	Semia from the Akamur Quarter has asked you to attack the robbers in the Desert Robber Camp.
zts1039e	Representative Semia from the Akamur Quarter has asked you to bring the report of the attack on the Desert Robber Camp to Nephi.
zts1040e	Searching for Valuable Trade Goods
zts1041e	Nephi from the Akamur Quarter has asked you to bring President Noah's report on the search for the valuable trade goods to Representative Semia.
zts1042e	According to the report from Representative Semia from the Akamur Quarter, the trade goods should be in a chest in Keru's Camp. Find the Upper Aster Temple Relict Piece!
zts1043e	Representative Semia from the Akamur Quarter has asked you to look for the Lower Aster Temple Relict Piece in Garton's Camp, which you should be able to find in a chest somewhere.
zts1044e	Representative Semia from the Akamur Quarter has asked you to look for the Central Aster Temple Relict Piece, which should be in a chest somewhere in the Desert Robber Camp.
zts1045e	Representative Semia from the Akamur Quarter has asked you to bring the Aster Temple Relict to High Priest Eladin.
zts1046e	The Captive Merchant
zts1047e	Take the distress message to the Desert Robber Camp. Look for Prisoner Sharif being held captive there somewhere!
zts1048e	Prisoner Sharif from the Desert Robber Camp has asked you to find the key to unlock his chains.
zts1049e	Prisoner Sharif from the Desert Robber Camp has asked you to set him free. After he is freed, Representative Semia in the Akamur Quarter must be informed of what has happened.
zts1050e	The Strange Relic
zts1051e	The Relic Piece must be brought to Representative Semia in Desert Eagle City.
zts1052e	Representative Semia has asked you to bring the bag containing the Broken Relic Piece to Nephi in the Akamur Quarter.
zts1053e	The Spirits of Aster Courtyard
zts1054e	High Priest Eladin has asked you to go to Priestess Vera and to follow her instructions.
zts1055e	Priestess Vera from the Aster Temple has asked you to investigate the library beneath Aster Temple.
zts1056e	Priestess Vera from the Aster Temple has asked you to investigate the underground caves in the underground sanctuary.
zts1057e	Priestess Vera from the Aster Temple has asked you to investigate the Prayer Hall in the Aster Centre.
zts1058e	The Centre Sanctum must be investigated. I think you will be able to find clues about the incident in Aster Temple's underground sanctuary.
zts1059e	Priestess Vera from the Aster Temple has asked you to bring the report to High Priest Eladin.
zts1060e	The Chaos of Aster Temple
zts1061e	Priestess Vera from the Aster Temple has asked you to bring her some Spirit Essence after eliminating the spirits in the library.
zts1062e	Priestess Vera from the Aster Temple has asked you to bring her some Spirit Essence after eliminating the spirits in the Aster Temple's Underground Caves.
zts1063e	Priestess Vera from the Aster Temple has asked you to bring her some Spirit Essence after eliminating the spirits in the Aster Temple's Prayer Hall.
zts1064e	Priestess Vera from the Aster Temple has asked you to bring her some Spirit Essence after eliminating the spirits in the Aster Temple's Centre Sanctum.
zts1065e	Priestess Vera from the Aster Temple has asked you to bring the magic bag of spirit essences you have collected to High Priest Eladin.
zts1066e	May the Spirits Rest in Peace
zts1067e	High Priest Eladin from the Aster Temple has asked you to go to the Akamur Quarter and check on the order they placed a while back.
zts1068e	Nephi from the Akamur Quarter thinks that Aster Temple's order has already been reviewed by Representative Semia.
zts1069e	Representative Semia from the Akamur Quarter says that the goods Aster Temple ordered can be found at Garton's Camp.
zts1070e	Representative Semia from the Akamur Quarter says the incense sticks must be brought to High Priest Eladin.
zts1071e	High Priest Eladin has asked you honour the soul of a priest located somewhere in Aster Temple with the incense sticks blessed by the sun god.
zts1072e	Priestess Nora underneath Aster Temple has asked you to put the incense on the body of the Dead Priest in the library.
zts1073e	Priestess Nora underneath Aster Temple has asked you to put the incense on the body of the Dead Priest.
zts1074e	Priestess Nora underneath Aster Temple has asked you to put the incense on the body of the Dead Priest in the Prayer Hall.
zts1075e	Priestess Nora underneath Aster Temple has asked you to put the incense on the body of the Dead Treasure Hunter in the Prayer Hall.
zts1076e	Priestess Nora has asked you to bring the letter of the dead to someone who can read it.
zts1077e	Bring High Priest Eladin the letter of the angry deceased. He'll be able to tell you more about the contents.
zts1078e	The Relic of Ideas
zts1079e	Bring High Priest Eladin the broken relic of Grenigas!
zts1080e	High Priest Eladin from the Aster Temple has asked you to find Grenigas' broken relic and to bring it to Priestess Vera.
zts1081e	Priestess Vera has asked you to look for the broken relic of Grenigas underneath Aster Temple.
zts1082e	Priestess Vera from the Aster Temple has asked you to look for Grenigas' Relic Piece at Aster Temple's underground sanctuary.
zts1083e	Priestess Vera from the Aster Temple has asked you to look for the relic of Grenigas at the Centre Sanctum in Aster Centre.
zts1084e	The Missing Explorer
zts1085e	Riana from the Treasure Hunter Camp has asked you to look for the missing explorer.
zts1086e	Serena from the Treasure Hunter Camp has asked you to look for the Desert Robbers' report on the Temple Site in Garton's Camp.
zts1087e	Serena from the Treasure Hunter Camp has asked you to obtain the Desert Robbers' report on the Temple Site, which is in the possession of the Desert Robbers near the Temple Path. After that, look for the missing explorers at the Temple Site.
zts1088e	Michol from the Temple Site has asked you to buy him some more time so he can treat the explorers' injuries!
zts1089e	Michol from the Temple Site has asked you to retrieve the Stone Tablet Fragment which was stolen by monsters.
zts1090e	Michol from the Temple Site has asked you to bring the items investigated to Serena in the Treasure Hunter Camp.
zts1091e	Serena from the Treasure Hunter Camp has asked you to take Michol's report to Riana.
zts1092e	The Temple Site
zts1093e	Michol from the Temple Site has asked you to eliminate the monsters in the area so that they can continue their investigations.
zts1094e	Michol from the Temple Site has asked you to eliminate the monsters in the area so that they can continue their investigations.
zts1095e	Michol from the Temple Site has asked you to eliminate the monsters in Special Area C area so that they can continue their investigations.
zts1096e	Michol from the Temple Site has asked you to look for the report containing additional information on the Temple Site that was lost by one of the explorers.
zts1097e	Michol from the Temple Site has asked you to bring the current report about the Temple Site to Serena in the Treasure Hunter Camp.
zts1098e	Serena from the Treasure Hunter Camp has asked you to bring the short investigation report she's written to Riana.
zts1099e	The True Nature of the Temple Site
zts1100e	Michol from the Temple Site has asked you to obtain the First Script Tablet.
zts1101e	Michol from the Temple Site has asked you to obtain the Second Script Tablet.
zts1102e	Michol from the Temple Site has asked you to obtain the Third Script Tablet.
zts1103e	Michol from the Temple Site has asked you to obtain the Broken Script Tablets from the monsters.
zts1104e	Michol from the Temple Site has asked you to bring the container with the Broken Script Tablets to Serena in the Treasure Hunter Camp.
zts1105e	Serena from the Treasure Hunter Camp has asked you to bring the short report to Riana.
zts1106e	The Sentinel of the Rashid Temple
zts1107e	Michol from the Temple Site has asked you to eliminate the monsters in the library so that they can continue their investigations in the Rashid Temple catacombs.
zts1108e	Michol from the Temple Site has asked you to eliminate the monsters in the underground caves so that they can continue their investigations of the Rashid Temple catacombs.
zts1109e	Michol from the Temple Site has asked you to eliminate the monsters in the Prayer Hall so that they can continue their investigations in the Rashid Temple catacombs.
zts1110e	Michol from the Temple Site has asked you to eliminate the monsters in the underground sanctuary so that they can continue their investigations in the Rashid Temple catacombs.
zts1111e	Michol from the Temple Site has asked you to bring his report on the Sentinel of the Rashid Temple to Serena in the Treasure Hunter Camp.
zts1112e	Serena from the Treasure Hunter Camp has asked you to bring the short report on the Sentinel of the Rashid Temple to Riana.
zts1113e	The Relic of the Rashid Temple
zts1114e	Michol from the Temple Site has asked you to find the Broken Relic Pieces in the Rashid Temple catacombs. Also look in the Library!
zts1115e	Michol from the Temple Site has asked you to look for the Broken Relic Pieces in the Rashid Temple catacombs. Also look in the Underground Caves!
zts1116e	Michol from the Temple Site has asked you to look for the Broken Relic Pieces in Rashid Centre. Also look in the Prayer Hall!
zts1117e	Michol from the Temple Site has asked you to look for the Broken Relic Pieces in the Rashid Temple catacombs. Also look in the Centre Sanctum!
zts1118e	Michol from the Temple Site has asked you to take the bag containing the relict pieces to Serena in the Treasure Hunter Camp.
zts1119e	Serena from the Treasure Hunter Camp has asked you to give the report on the relicts of the Rashid Temple to Riana.
zts1120e	The Secret of the Rashid Temple
zts1121e	Michol from the Temple Site has asked you to look for the first broken script tablet in the Rashid Temple catacombs. Start with the Library, located near the entrance!
zts1122e	Michol from the Temple Site has asked you to look for the second broken script tablet in the Rashid Temple catacombs. Head to the Underground Caves!
zts1123e	Michol from the Temple Site has asked you to look for the third broken script tablet in the Rashid Temple catacombs. Head to the Prayer Hall!
zts1124e	Michol from the Temple Site has asked you to look for the fourth broken script tablet in the Rashid Temple catacombs. Go to the Centre Sanctum!
zts1125e	Michol from the Forgotten Temple has asked you to bring the Treasure Hunter's Knapsack to Serena in the Treasure Hunter Camp.
zts1126e	Serena from the Treasure Hunter Camp has asked you to give the short report on the true nature of the Rashid Temple to Riana.
zts1127e	A Man Called Xavier
zts1128e	Xavier from the Chaos Zone has no more money for alcohol and has asked you to borrow some money from his friend Velmon on his behalf.
zts1129e	Velmon from the Chaos Zone has asked you to get a few ingredients for a magical cure for Xavier's depression. He needs some Sand Spirit Essence.
zts1130e	Velmon from the Chaos Zone has asked you to get a few ingredients for a magical cure for Xavier's depression. He needs some Wind Spirit Essence.
zts1131e	Velmon from the Chaos Zone has asked you to get a few ingredients for a magical cure for Xavier's depression. He needs some Rum and Fairy Dust from Garton's Camp.
zts1132e	Velmon from the Chaos Zone has given you a container to bring to High Priest Eladin at Aster Temple so he can complete the magical cure for Xavier's depression.
zts1133e	If you take the special rum from High Priest Eladin in the Aster Temple to Representative Semia from the Akamur Quarter, she will repackage it so that it looks like new.
zts1134e	Representative Semia from the Akamur Quarter has repackaged the rum for you. Take it to Xavier so that his depression can be cured.
zts1135e	Xavier from the Chaos Zone has fallen asleep. Go and report what's happened to Velmon!
zts1136e	The Letter to the Desert Robber Leader
zts1137e	The letter to the leader of the Desert Robbers is divided into several pieces. If you find pieces of it, bring them to Semia in the Akamur Quarter and ask her about it.
zts1138e	Semia from the Akamur Quarter has asked you to eliminate the monsters in the Lost Desert in return for the information. Then look for Velmon in the Chaos Zone.
zts1139e	Velmon has asked you to help his patrol in the Chaos Zone.
zts1140e	Velmon from the Chaos Zone thinks you should find Xavier and ask him about the information you're looking for.
zts1141e	Xavier from the Chaos Zone says that the contents of the letter are addressed to him, but he says you should talk to Velmon for more information.
zts1142e	The Nature of the Desert Robbers
zts1143e	Xavier from the Chaos Zone has asked you to get him some alcohol from Velmon, since he's broke. It's silly, but it can't hurt to help.
zts1144e	Velmon from the Chaos Zone has asked you to help him and his patrol.
zts1145e	Velmon from the Chaos Zone has asked you to find out about the current situation of the Desert Robbers with the help of Representative Rushaldin from the Desert Robber Camp.
zts1146e	Representative Rushaldin from the Desert Robber Camp has asked you to eliminate the Desert Robbers there.
zts1147e	Representative Rushaldin from the Desert Robber Camp has asked you to find Kamil in the Robber Courtyard.
zts1148e	Kamil has asked you to eliminate the Desert Robbers guarding the Robber Camp Area.
zts1149e	Kamil has asked you to eliminate Commanders Shoran and Shay and thus foil the Desert Robbers' plans.
zts1150e	Kamil has asked you to bring the commander's rusty seal to Velmon.
zts1151e	Velmon from the Chaos Zone has asked you to give the seals back to their true owner. He pointed to Xavier.
zts1152e	Time for Defence
zts1153e	Velmon from the Chaos Zone has asked you to eliminate the monsters in the Chaos Environment and in the Lost Desert.
zts1154e	Velmon from the Chaos Zone has asked you to eliminate the Desert Robbers in the Chaos Zone and in Keru's Camp.
zts1155e	Velmon from the Chaos Zone has asked you to eliminate the Desert Robbers in Garton's Camp.
zts1156e	The Desert Robber Schism
zts1157e	The Traveller's Diary has been found underneath the Aster Temple. Now you have to find someone who knows something about it. Maybe Kamil knows more.
zts1158e	Kamil has asked you to obtain Fairy Dust from the Desert Robber Camp. However you'll have to find an Elf's Leather Bag first.
zts1159e	Kamil has asked you to obtain the strange bags from the Desert Robbers in the area.
zts1160e	Kamil has asked you to bring the strange container to Representative Rushaldin in the Desert Robber Camp.
zts1161e	Representative Rushaldin from the Desert Robber Camp has asked you to bring the strange container from Kamil and the letter from Representative Rushaldin to his friend. He says his friend is in the Chaos Zone.
zts1162e	Representative Rushaldin from the Chaos Zone has asked you to bring the letter from Representative Rushaldin to Xavier.
zts1163e	Every Effect Has A Cause
zts1164e	Investigate the southwest of the Desert Robber Camp. The troublesome Desert Robbers must be thoroughly eliminated.
zts1165e	Investigate the southeast of the Desert Robber Camp. The troublesome Desert Robbers must be thoroughly eliminated.
zts1166e	Investigate the east of the Desert Robber Camp. The troublesome Desert Robbers must be thoroughly eliminated.
zts1167e	Find and investigate the place in the Desert Robber Camp where the drug is being produced. The troublesome Desert Robbers need to be completely eliminated.
zts1168e	Use the contents of the Medicine Bottle on a sleeping Desert Robber in the Desert Robber Camp. Observe and report on its effects.
zts1169e	Kamil has asked you to bring the investigation report to Representative Rushaldin in the Desert Robber Camp.
zts1170e	Representative Rushaldin from the Desert Robber Camp has asked you to bring the short report to Velmon in the Chaos Zone.
zts1171e	Velmon from the Chaos Zone has asked you to inform Xavier about the incidents in the Desert Robber Camp.
zts1172e	The Desert Robbers' Recovery
zts1173e	The strange Medicine Bottle must be brought to Kamil in the Robber Courtyard.
zts1174e	Kamil has asked you to bring the bottle to Representative Rushaldin in the Desert Robber Camp as soon as possible.
zts1175e	Representative Rushaldin from the Desert Robber Camp has asked you to bring the sample of the drug and the secret letter to his old friend Velmon in the Chaos Zone.
zts1176e	Velmon in the Chaos Zone has told you that Xavier most probably knows how to produce an antidote to the drug.
zts1177e	Xavier from the Chaos Zone has asked you to bring the sample of the drug and the letter to his old friend High Priest Eladin in Aster Temple.
zts1178e	High Priest Eladin can only produce the antidote with the help of the goods he's ordered from the Akamur Merchants. Go to the Akamur Merchants and check if they have already arrived!
zts1179e	Semia from the Akamur Quarter says that after a through examination of the order, the goods for Aster Temple are scattered in Keru's and Garton's Camps.
zts1180e	High Priest Eladin from Aster Temple has asked you to bring the Blessed Elf Essence to Representative Rushaldin in the Desert Robber Camp.
zts1181e	Representative Rushaldin from the Desert Robber Camp has asked you to test the Blessed Elf Essence on a sleeping Desert Robber.
zts1182e	Representative Rushaldin from the Desert Robber Camp has asked you to bring his report about the solution to Kamil in the Robber Courtyard.
zts1183e	Kamil has asked you to take the report about the Desert Robbers to Velmon in the Chaos Zone.
zts1184e	Velmon from the Chaos Zone has asked you to bring the report to Xavier.
zts1185e	The Leader of the Desert Robbers
