zts1e	El mejor servicio
zts371e	Ardilla con una Perla de Congelación
zts373e	¡Tengo mi propio Santa Claus pequeño!
zts374e	Perlas de la Ardilla
zts941e	¡Un sombrero espectacular de león!
zts952e	¡Un sombrero espectacular de león!
zts1005e	10 Pociones de Ataque PvP
zts1006e	10 Pociones de Ataque PvP
zts1007e	5 Pociones de Defensa PvP
zts1008e	10 Pociones de Defensa PvP
zts1009e	5 Pociones de Resistencia PvP
zts1010e	10 Pociones de Resistencia PvP
zts1011e	5 Cuernos del Conjuro Familiar
zts1012e	10 Cuernos del Conjuro Familiar
zts1057e	¡Soy el símbolo de la belleza eterna!
zts1058e	Tinker Bell
zts1059e	Tinker Bell (7 días)
zts1060e	Tinker Bell (30 días)
zts1061e	Disfraz de Hada (indefinido)
zts1062e	¡Soy el demonio de NosTale!
zts1063e	Demonio Blanco
zts1064e	Demonio Blanco (7 días)
zts1065e	Demonio Blanco (30 días)
zts1066e	Demonio Blanco (permanente)
zts1067e	¡Lleva un bonito lazo!
zts1068e	Cinta rosa de pelo
zts1069e	Cinta rosa de pelo (7 días)
zts1070e	Cinta rosa de pelo (30 días)
zts1071e	Cinta rosa de pelo (permanente)
zts1072e	¡Conviértete en todo un caballero!
zts1073e	Bombín blanco
zts1074e	Bombín blanco (7 días)
zts1075e	Bombín blanco (30 días)
zts1076e	Bombín Blanco (permanente)
zts1118e	¡Elimina el olor de los demás!
zts1119e	Fragancia
zts1120e	Se utiliza cuando conviertes en tuyos los ítems exclusivos de otro.[n][Cómo funciona][n]La ventana de conversión de ítems aparece cuando haces doble clic sobre el ítem.
zts1121e	20 Perfumes bienolientes
zts1122e	50 perfumes bienolientes
zts1123e	99 perfumes bienolientes
zts1146e	Pegaso
zts1147e	Conejo entrañable
zts1242e	Caja del azar de año nuevo
zts1243e	Caja de año nuevo
zts1244e	Caja de Año Nuevo[n]Puedes obtener uno de los siguientes objetos.[n]Objetos: Perla del Toro Tori, Caja misteriosa B, Cesta NosMate (60 días), 5 Perfumes bienolientes, 50 Alas de la Amistad, 50 Fuentes de agua de Cylloan, una Mochila del Aventurero (30 días), Perlas NosMates, 2 Placas para mascotas, 3 Porciones de la mejor comida para mascotas.[n][n]
zts1266e	¡Desafía tu suerte!
zts1325e	Perlas de la Ardilla Enferma
zts1327e	Sombrero guay para hombres
zts1329e	Sombrero guay para hombres (7 días)
zts1330e	Sombrero guay para hombres (30 días)
zts1331e	Sombrero guay para hombres (Indefinido)
zts1332e	Traje guay para hombres
zts1334e	Traje guay para hombres (7 días)
zts1335e	Traje guay para hombres (30 días)
zts1336e	Traje guay para hombres (Indefinido)
zts1348e	Uniforme escolar luz sideral
zts1349e	Uniforme escolar luz sideral (7 días)
zts1350e	Uniforme escolar luz sideral (30 días)
zts1351e	Uniforme escolar luz sideral (Indefinido)
zts1352e	Cinta de pelo estrellita
zts1353e	Cinta de pelo estrellita (7 días)
zts1354e	Cinta de pelo estrellita (30 días)
zts1355e	Cinta de pelo estrellita (Indefinida)
zts1359e	Perla de la Ardilla Samurai
zts1394e	Alas de Ángel
zts1397e	Alas del Demonio
zts1510e	Plumas de Ángel (99 piezas)
zts1511e	Caja Misteriosa A [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Máscara feroz A [n] Máscara feroz B [n] Máscara feroz C [n] Perlas de Ardilla [n] Perlas de la Ardilla Gladiadora [n] Perlas de la Ardilla Cazaratones [n] Alimento especial para mascotas [n] Pergamino protector de equipamiento [n] Agua de la fuente de Cylloan [n]  Pergamino de la liberación [n]  Poción especial grande[n]
zts1512e	Caja Misteriosa B [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Máscara de la Calma A [n] Máscara de la Calma B [n] Máscara de la Calma C [n] Perlas de la Ardilla Torera [n] Perlas de la Ardilla Marinera [n] Perlas de la Ardilla Samurai [n]  Alimento especial para mascotas [n] Pergamino Protector de equipamiento [n] Agua de la fuente de Cylloan [n] Pergamino de la liberación [n] Poción especial grande[n]
zts1513e	Caja Misteriosa C [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Venda del Abismo A [n] Venda del Abismo B [n] Venda del Abismo C [n] Perlas de Pegaso [n] Perlas del conejo entrañable [n] Perlas de la Ardilla Enferma [n]  Alimento especial para mascotas [n] Pergamino Protector de equipamiento [n] Agua de la fuente de Cylloan [n] Pergamino de la liberación [n] Poción especial grande[n]
zts1528e	Cesta de mascota (10 días, evento)
zts1530e	Sello de la Araña Negra Gigante
zts1531e	Sello del Gigante Slade
zts1532e	Sello de Xysenstrauch
zts1533e	Sello de Dark Castra
zts1534e	Sello del Rey Pollo
zts1535e	Sello de la Madre de Cuby
zts1537e	Patinete Mágico
zts1540e	Alfombra Mágica
zts2790e	Medallón del NosComerciante (1 día) (Evento)
zts2800e	Medallón del NosComerciante (30 días)
zts2801e	Medallón del NosComerciante (7 días)
zts8848e	Baúl de la Fortuna de la Eurocopa
zts8993e	Baúl de la fortuna del Conejorejo
zts9201e	Caja Jackpot espectacular
zts9265e	Pepita de oro diminuta
zts9266e	Pepita de oro pequeña
zts9267e	Pepita de oro grande
zts9268e	Pepita de oro enorme
zts9282e	Baúl del especialista: alas y más
zts10043e	Fusión de disfraces
zts10054e	¡Para todos a los que les encanta variar!
zts10055e	Con esto puedes cambiar el aspecto de tu disfraz.[n]Para hacerlo tienes que registrar el disfraz base y el disfraz complementario.[n][Atención][n]1) Los disfraces temporalmente limitados no se pueden variar.[n]2) Los disfraces ligados solamente a personajes se pueden variar una vez.[n]3) El disfraz complementario desaparecerá en el proceso.[n]4) Un [Reinicio de fusión de disfraces] te permite restaurar el cambio.[n]5) Las opciones del disfraz complementario no se aplicarán al disfraz base.[n]
zts10226e	Medallón del 10.º aniversario
zts10274e	Medalla vip del Banco Cuarry (10 días)
zts10275e	Recibes el estatus de vip en el Banco Cuarry y no tienes que pagar tasas.[n][Atención] Solo válida durante 10 días.[n]
zts10276e	Medalla vip del Banco Cuarry (30 días)
zts10277e	Recibes el estatus de vip en el Banco Cuarry y no tienes que pagar tasas.[n][Atención] Solo válida durante 30 días.[n]
zts19684e	Puedes utilizar durante 10 días[n]todas las casillas de tu inventario.[n]
zts19685e	Puedes utilizar durante 30 días[n]todas las casillas de tu inventario.[n]
zts19686e	Puedes utilizar durante 60 días[n]todas las casillas de tu inventario.[n]
zts19687e	Puedes utilizar indefinidamente todas las casillas de tu inventario.[n]
