zts1e	Effet général
zts648e	Tu libères ton esprit grâce à la méditation.
zts652e	L'état a provoqué une lésion interne.
zts655e	Trauma entravant
zts656e	Cet état de choc est provoqué par l'introduction d'une lame.
zts657e	Manque d'énergie
zts658e	Il y a une certaine probabilité d'empêcher un effet négatif.
zts659e	Manque d'énergie puissant
zts660e	Manque d'énergie critique
zts661e	Syndrome de Kundalini
zts662e	Cet état affecte considérablement ton énergie physique et spirituelle.
zts663e	Trauma
zts664e	Trauma puissant
zts665e	Trauma critique
zts666e	Esprit de sacrifice
zts667e	Bulle d'eau
zts668e	La bulle d'eau t'enveloppe et te protège des attaques.
zts669e	Chant des sirènes
zts670e	Le chant des sirènes fait perdre tout contrôle de soi.
zts671e	Petite chute d'eau
zts672e	La chute d'eau ralentit la vitesse de déplacement.
zts673e	Chute d'eau
zts674e	Grande chute d'eau
zts675e	Électrochoc léger
zts676e	L'électrochoc paralyse tout pendant un moment.
zts677e	Électrochoc
zts678e	Électrochoc puissant
zts679e	Pression hydraulique
zts680e	L'importance de la pression hydraulique paralyse tout temporairement.
zts681e	Bénédiction océanique
zts682e	La bénédiction océanique protège des dégâts causés par l'adversaire.
zts683e	Colère du Viking (F)
zts684e	Le Viking cède à la colère.
zts685e	Colère du Viking (E)
zts686e	Colère du Viking (D)
zts687e	Colère du Viking (C)
zts688e	Colère du Viking (B)
zts689e	Colère du Viking (A)
zts690e	Colère du Viking (S)
zts691e	Coup du vilain garçon (F)
zts692e	L'adversaire se fait entourlouper par le courage et la bravoure du joueur.
zts693e	Coup du vilain garçon (E)
zts694e	Coup du vilain garçon (D)
zts695e	Coup du vilain garçon (C)
zts696e	Coup du vilain garçon (B)
zts697e	Coup du vilain garçon (A)
zts698e	Coup du vilain garçon (S)
zts699e	Amour maternel (F)
zts700e	L'amour maternel éveille un fort instinct de protection.
zts701e	Amour maternel (E)
zts702e	Amour maternel (D)
zts703e	Amour maternel (C)
zts704e	Amour maternel (B)
zts705e	Amour maternel (A)
zts706e	Amour maternel (S)
zts707e	Sagesse maternelle (F)
zts708e	Rien ne vaut les bons conseils d'une mère.
zts709e	Sagesse maternelle (E)
zts710e	Sagesse maternelle (D)
zts711e	Sagesse maternelle (C)
zts712e	Sagesse maternelle (B)
zts713e	Sagesse maternelle (A)
zts714e	Sagesse maternelle (S)
zts715e	Hémorragie (F)
zts716e	Hémorragie (E)
zts717e	Hémorragie (D)
zts718e	Hémorragie (C)
zts719e	Hémorragie (B)
zts720e	Hémorragie (A)
zts721e	Hémorragie (S)
zts722e	Déclaration de Freya (F)
zts723e	Déclaration de Freya (E)
zts724e	Déclaration de Freya (D)
zts725e	Déclaration de Freya (C)
zts726e	Déclaration de Freya (B)
zts727e	Déclaration de Freya (A)
zts728e	Déclaration de Freya (S)
zts729e	Tir de Viking super précis (F)
zts730e	Tir de Viking super précis (E)
zts731e	Tir de Viking super précis (D)
zts732e	Tir de Viking super précis (C)
zts733e	Tir de Viking super précis (B)
zts734e	Tir de Viking super précis (A)
zts735e	Tir de Viking super précis (S)
zts736e	Bénédiction de Léona
zts737e	La bénédiction de Léona rend ton attaque efficace.
zts738e	Spécialité de Léona
zts739e	La spécialité de Léona rend ton attaque plus efficace.
zts740e	La résistance contre l'élément Eau et la force d'attaque augmentent.
zts741e	Bénédiction du Lapinou Padbra
zts742e	La bénédiction du Lapinou Padbra augmente la compétence de combat.
zts743e	Handicap
zts744e	La force d'attaque de l'adversaire est limitée.
zts746e	Esprit de clarification
zts747e	Esprit de sobriété
zts748e	Force spirituelle
zts749e	Lésion interne de 1er degré
zts750e	Lésion interne de 2e degré
zts751e	Lésion interne de 3e degré
zts752e	En cas de manque d'énergie, il n'y a rien à faire.
zts753e	Piège mobile
zts754e	Si le piège mobile t'attrape, tu ne peux temporairement plus bouger.
zts755e	Aveuglé
zts756e	Le brouillard diminue la précision et retarde la durée d'effet de tes attaques magiques.
zts757e	Embuscade
zts758e	À l'affût, tu attends le bon moment pour attaquer.
zts759e	Attaque en embuscade
zts760e	Embusque l'adversaire pour l'attaquer de manière ciblée.
zts761e	Force vitale
zts762e	Renforce tes forces vitales grâce à l'énergie de la forêt.
zts763e	Embuscade : 1re position
zts764e	D'un mouvement presque imperceptible, tu peux attaquer et toucher ta cible rapidement.
zts765e	Embuscade : 2e position
zts766e	Tireur embusqué : 1re position
zts767e	Tu trouves la meilleure position pour attaquer en tireur embusqué (également possible en embuscade).
zts768e	Tireur embusqué : 2e position
zts769e	Tir crânien
zts770e	La cible subit un choc grâce à un tir très efficace.
zts771e	Embuscade : 1re préparation
zts772e	Tu te prépares pour réaliser une embuscade efficace.
zts773e	Embuscade : 2e préparation
zts774e	Glace éternelle
zts775e	Tu es pris au piège dans de la glace éternelle : tu ne peux rien faire pour l'instant.
zts776e	Vocifération violente
zts777e	Une vocifération violente provoque temporairement un état de faiblesse.
zts778e	Rigidité de mandragore
zts779e	Les nerfs sont temporairement anesthésiés par une mandragore.
zts780e	Poison de mandragore faible
zts781e	Le poison de mandragore attaque considérablement le système nerveux.
zts782e	Poison de mandragore
zts783e	Poison de mandragore puissant
zts784e	Poison de mandragore mortel
zts785e	Esquive rapide
zts786e	L'attaque physique est esquivée d'un pivotement rapide.
zts787e	Dans le collimateur du tireur embusqué
zts788e	L'attaque du tireur embusqué provoque de lourds dégâts.
zts789e	Oeil d'aigle
zts790e	L'oeil d'aigle te permet d'attaquer avec précision un adversaire très éloigné.
zts791e	Hurlement de la bête
zts792e	La force d'attaque de la bête est renforcée par son hurlement.
zts793e	Fureur de la bête
zts794e	Glacerus est déchaîné.
zts795e	Une partie des dégâts subis est transmise à un autre joueur.
zts796e	Tu subis les dégâts à la place d'un de tes coéquipiers, mais en échange ta force de défense augmente.
zts797e	Bénédiction du renard
zts798e	La bénédiction du renard augmente la résistance contre l'élément Feu.
zts799e	Chant des sirènes (PvP)
zts800e	Phase 1 : renaissance de l'arène d'équipe
zts801e	Pendant la renaissance phase 1, la capacité de survie augmente temporairement.
zts802e	Phase 2 : renaissance de l'arène d'équipe
zts803e	Pendant la renaissance phase 2, la force d'attaque augmente temporairement.
zts804e	Phase 3 : renaissance de l'arène d'équipe
zts805e	Pendant la renaissance phase 3, la capacité de survie, la force d'attaque et la vitesse de déplacement augmentent temporairement.
zts806e	Combinaison faible
zts807e	Combinaison forte
zts808e	La force d'attaque dans l'arène d'équipe augmente.
zts809e	Le force de défense dans l'arène d'équipe augmente.
zts810e	L'énergie dans l'arène d'équipe augmente.
zts811e	La vitesse de déplacement dans l'arène d'équipe augmente.
zts812e	Vue perçante
zts813e	La vue perçante démasque temporairement un personnage caché.
zts814e	La combinaison est faible si tous les membres de l'équipe appartiennent à la même classe.
zts815e	La combinaison est forte si les membres de l'équipe n'appartiennent pas tous à la même classe.
zts816e	La vitesse de déplacement augmente temporairement.
zts817e	Bombe à eau
zts819e	Bénédiction de la Navy
zts820e	La défense et la résistance à l'Eau augmentent.
zts821e	Bénédiction d'Erenia
zts822e	La bénédiction d'Erenia te rend résistant à tous les effets négatifs avec une probabilité de 50 %.
zts823e	Bénédiction de Zénas
zts824e	La bénédiction de Zénas bloque les dégâts subis, mais tu ne peux ni attaquer ni te déplacer.
zts825e	Énergie astrale
zts826e	L'énergie astrale entraîne une régénération rapide des MP.
zts827e	Cape d'invisibilité
zts828e	Tu es parfaitement camouflé et les autres ne peuvent pas te remarquer.
zts829e	Revanche
zts830e	Tu te déplaces temporairement à une vitesse foudroyante.
zts832e	La bombe à eau fait baisser la force d'attaque et la résistance à l'Eau.
zts835e	Les points d'EXP de ta fée augmentent.
zts836e	Le nombre de points d'EXP de ta fée augmente.
zts837e	Brouillard
zts838e	Embrumé
zts841e	Ailes titanesques
zts842e	Renforcement titanesque
zts843e	Course de l'obscurité (F)
zts844e	Le pouvoir de l'élément Obscurité augmente.
zts845e	Course de l'obscurité (E)
zts846e	Course de l'obscurité (D)
zts847e	Course de l'obscurité (C)
zts848e	Course de l'obscurité (B)
zts849e	Course de l'obscurité (A)
zts850e	Course de l'obscurité (S)
zts851e	Fascination (F)
zts852e	Un état envoûtant se déclenche.
zts853e	Fascination (E)
zts854e	Fascination (D)
zts855e	Fascination (C)
zts856e	Fascination (B)
zts857e	Fascination (A)
zts858e	Fascination (S)
zts859e	Pouvoir de l'obscurité (F)
zts860e	Libère un pouvoir destructeur tout puissant.
zts861e	Pouvoir de l'obscurité (E)
zts862e	Pouvoir de l'obscurité (D)
zts863e	Pouvoir de l'obscurité (C)
zts864e	Pouvoir de l'obscurité (B)
zts865e	Pouvoir de l'obscurité (A)
zts866e	Pouvoir de l'obscurité (S)
zts867e	Tentation (F)
zts868e	Tu es soumis à la tentation de l'adversaire.
zts869e	Tentation (E)
zts870e	Tentation (D)
zts871e	Tentation (C)
zts872e	Tentation (B)
zts873e	Tentation (A)
zts874e	Tentation (S)
zts875e	Méchanceté (F)
zts876e	Élimine ton adversaire en un éclair.
zts877e	Méchanceté (E)
zts878e	Méchanceté (D)
zts879e	Méchanceté (C)
zts880e	Méchanceté (B)
zts881e	Méchanceté (A)
zts882e	Méchanceté (S)
zts883e	Marqué (F)
zts884e	Un état taciturne se déclenche.
zts885e	Marqué (E)
zts886e	Marqué (D)
zts887e	Marqué (C)
zts888e	Marqué (B)
zts889e	Marqué (A)
zts890e	Marqué (S)
zts891e	Danse des flammes (F)
zts892e	La résistance de l'adversaire diminue.
zts893e	Danse des flammes (E)
zts894e	Danse des flammes (D)
zts895e	Danse des flammes (C)
zts896e	Danse des flammes (B)
zts897e	Danse des flammes (A)
zts898e	Danse des flammes (S)
zts899e	Révolver magique
zts900e	L'élément Lumière est renforcé et les HP sont rétablis.
zts901e	Bénédiction du cowboy
zts902e	La résistance à l'élément Lumière augmente.
zts903e	Cheval de Troie
zts904e	Un Cheval de Troie est invoqué pour attaquer plusieurs ennemis à la fois.
zts905e	Bénédiction du ninja
zts906e	La résistance à l'élément Obscurité augmente.
zts907e	Ailes archangéliques
zts908e	Ailes archidémoniaques
zts909e	Faible coup divin
zts910e	Adresse divine
zts911e	Coup divin
zts912e	Coup divin puissant
zts913e	Violent coup divin
zts914e	Confusion
zts915e	L'anéantissement de la raison inflige des dégâts à l'adversaire.
zts916e	Armure des ténèbres
zts917e	Les dangers sont temporairement esquivés.
zts918e	Faible énergie ténébreuse
zts919e	Une énergie ténébreuse possédant le corps inflige des dégâts.
zts920e	Énergie ténébreuse
zts921e	Énergie ténébreuse puissante
zts922e	Mains de la malédiction
zts923e	Les mains de la malédiction infligent des dégâts importants.
zts924e	Illusion
zts925e	L'illusion trompe et effraie les victimes.
zts926e	Aspiration de pensées
zts927e	L'autohypnose temporaire permet d'aspirer les pensées.
zts928e	Suspension du temps puissante
zts929e	Tu bloques l'adversaire en prenant la contrôle de sa conception du temps.
zts930e	Suspension du temps
zts931e	Faible suspension du temps
zts932e	Roue de la fortune puissante
zts933e	Tu bénéficies d'un effet positif en modifiant la perception du temps de l'adversaire.
zts934e	Roue de la fortune
zts935e	Faible roue de la fortune
zts936e	Transformateur de lames
zts937e	Le transformateur de lames réduit l'efficacité des objets de guérison.
zts938e	Absorption d'esprit
zts939e	L'absorption d'esprit permet d'assimiler les esprits aspirés.
zts940e	Signe de mort
zts941e	Celui qui porte ce signe de mort et qui est exposé à la division de l'esprit subit des dégâts supplémentaires.
zts942e	Libération spirituelle
zts943e	La libération spirituelle libère les esprits absorbés et diminue le temps de rechargement des compétences.
zts944e	Libération spirituelle puissante
zts945e	Armure ultime
zts946e	L'armure ultime augmente la défense et aide à résister aux mouvements forcés.
zts947e	Esprit de la rage faible
zts948e	La colère multipliée par l'esprit de la rage augmente la force.
zts949e	Esprit de la rage
zts950e	Esprit de la rage puissant
zts951e	Possession
zts952e	Durant l'effet, la possession inflige des dégâts, puis transmet l'effet à l'adversaire le plus proche de la cible.
zts953e	Oscillation des esprits vengeurs
zts954e	Les compétences de défense augmentent temporairement.
zts955e	Possession puissante
zts956e	En se transformant en hôte, la cible subit les dégâts durant l'effet. Une fois la durée écoulée, l'effet est transféré à un adversaire proche.
zts957e	L'effet est transféré par l'hôte. Durant l'effet, les dégâts sont continus.
zts958e	Lumière de Sarakael
zts959e	La puissance de Sarakael est assurée.
zts960e	Ailes flamboyantes embrasées
zts961e	Ailes algides gelées
zts963e	Bénédiction de l'Indien
zts964e	La résistance à l'élément Feu augmente et les dégâts critiques reçus diminuent.
zts965e	Pacte de sang de l'Indien
zts966e	La force de l'élément Feu augmente et brûle plusieurs adversaires proches.
zts967e	Charme de Foxy
zts968e	Le charme de Foxy hypnotise et immobilise.
zts969e	Flacon rouge
zts970e	Ce récipient de verre en filigrane renferme un effet spécial très spécial.
zts971e	Sous le charme (F)
zts972e	Foxy fait tourner toutes les têtes avec son Charme fou.
zts973e	Sous le charme (E)
zts974e	Sous le charme (D)
zts975e	Sous le charme (C)
zts976e	Sous le charme (B)
zts977e	Sous le charme (A)
zts978e	Sous le charme (S)
zts979e	Queue soyeuse (F)
zts980e	Ces neuf queues soyeuses sont tellement douces !
zts981e	Queue soyeuse (E)
zts982e	Queue soyeuse (D)
zts983e	Queue soyeuse (C)
zts984e	Queue soyeuse (B)
zts985e	Queue soyeuse (A)
zts986e	Queue soyeuse (S)
zts987e	Hurlement perçant (F)
zts988e	Foxy émet un glapissement aigu et perçant.
zts989e	Hurlement perçant (E)
zts990e	Hurlement perçant (D)
zts991e	Hurlement perçant (C)
zts992e	Hurlement perçant (B)
zts993e	Hurlement perçant (A)
zts994e	Hurlement perçant (S)
zts995e	Bénédiction d'Odin
zts996e	La résistance à l'élément Eau augmente, les temps de rechargement des compétences diminuent et les MP sont rétablis à intervalles définis.
zts997e	Fureur d'Odin
zts998e	La résistance aux effets négatifs et les dégâts d'attaque augmentent.
zts999e	Domination du tigre
zts1000e	Le tigre surgit.
zts1001e	La vitesse de déplacement diminue.
zts1002e	Huile de sésame
zts1003e	Vieille huile de sésame
zts1004e	Tournoiement
zts1005e	Ça donne le tournis.
zts1006e	Grande perte de sang (F)
zts1007e	Il y a une grande perte de sang.
zts1008e	Grande perte de sang (E)
zts1009e	Grande perte de sang (D)
zts1010e	Grande perte de sang (C)
zts1011e	Grande perte de sang (B)
zts1012e	Grande perte de sang (A)
zts1013e	Grande perte de sang (S)
zts1014e	Rafale monstre (F)
zts1015e	La rafale du tigre n'a aucun effet sur les monstres ou les personnages de niveau élevé.
zts1016e	Rafale monstre (E)
zts1017e	Rafale monstre (D)
zts1018e	Rafale monstre (C)
zts1019e	Rafale monstre (B)
zts1020e	Rafale monstre (A)
zts1021e	Rafale monstre (S)
zts1022e	Domination du tigre (F)
zts1023e	Le tigre surgit.
zts1024e	Domination du tigre (E)
zts1025e	Domination du tigre (D)
zts1026e	Domination du tigre (C)
zts1027e	Domination du tigre (B)
zts1028e	Domination du tigre (A)
zts1029e	Domination du tigre (S)
zts1030e	Petites pattes adroites
zts1031e	Un coup critique par attaque est infligé pendant la durée de l'effet.
zts1033e	Soupe de haricots rouges
zts1034e	Mon trésor, ton trésor
zts1035e	Cheongbi et Hongbi sont plus forts lorsqu'ils sont ensemble.
zts1036e	Bénédiction du diable
zts1037e	Tu obtiens une bénédiction imparfaite.
zts1038e	Buisson épineux
zts1039e	La magie maudite de Laurena immobilise grâce aux épines.
zts1040e	Parfum de la malédiction (lombric)
zts1041e	La magie maudite de Laurena transforme la cible en lombric.
zts1042e	Parfum de la malédiction (rat)
zts1043e	La magie maudite de Laurena transforme la cible en rat.
zts1044e	Club des cornus (F)
zts1045e	Attention, ça fait infernalement mal !
zts1046e	Club des cornus (E)
zts1047e	Club des cornus (D)
zts1048e	Club des cornus (C)
zts1049e	Club des cornus (B)
zts1050e	Club des cornus (A)
zts1051e	Club des cornus (S)
zts1052e	Clone de diablotin (F)
zts1053e	Un clone de diablotin agressif est invoqué.
zts1054e	Clone de diablotin (E)
zts1055e	Clone de diablotin (D)
zts1056e	Clone de diablotin (C)
zts1057e	Clone de diablotin (B)
zts1058e	Clone de diablotin (A)
zts1059e	Clone de diablotin (S)
zts1060e	Chapeau de diablotin (F)
zts1061e	Utilise l'art des diablotins pour disparaître dans les airs.
zts1062e	Chapeau de diablotin (F)
zts1063e	Chapeau de diablotin (D)
zts1064e	Chapeau de diablotin (C)
zts1065e	Chapeau de diablotin (B)
zts1066e	Chapeau de diablotin (A)
zts1067e	Chapeau de diablotin (S)
zts1068e	Jugement de la Lumière (F)
zts1069e	Châtie l'ennemi par le pouvoir de la Lumière.
zts1070e	Jugement de la Lumière (E)
zts1071e	Jugement de la Lumière (D)
zts1072e	Jugement de la Lumière (C)
zts1073e	Jugement de la Lumière (B)
zts1074e	Jugement de la Lumière (A)
zts1075e	Jugement de la Lumière (S)
zts1076e	Marque de la Lumière (F)
zts1077e	Cette marque rayonne avec force.
zts1078e	Marque de la Lumière (E)
zts1079e	Marque de la Lumière (D)
zts1080e	Marque de la Lumière (C)
zts1081e	Marque de la Lumière (B)
zts1082e	Marque de la Lumière (A)
zts1083e	Marque de la Lumière (S)
zts1084e	Au nom de Dieu (F)
zts1085e	L'adversaire est affaibli par la puissance de Dieu.
zts1086e	Au nom de Dieu (E)
zts1087e	Au nom de Dieu (D)
zts1088e	Au nom de Dieu (C)
zts1089e	Au nom de Dieu (B)
zts1090e	Au nom de Dieu (A)
zts1091e	Au nom de Dieu (S)
zts1092e	Énergie du nettoyage
zts1093e	L'effet de la poudre chasse l'atmosphère lugubre.
zts1094e	Atmosphère lugubre
zts1095e	Le pouvoir de la sorcière Laurena aspire la vitalité.
zts1096e	Parfum de la malédiction (Ratufu)
zts1097e	La magie maudite de Laurena transforme la cible en Ratufu.
zts1098e	Lien magique
zts1099e	Utilise les compétences élémentaires de l'attaque ennemie.
zts1100e	Flamme
zts1101e	Énergie du Feu
zts1102e	Glace
zts1103e	Énergie de l'Eau
zts1104e	Auréole
zts1105e	Énergie de la Lumière
zts1106e	Non élémentaire
zts1107e	Énergie neutre
zts1108e	Ténèbres
zts1109e	Voie rapide 1
zts1110e	En cas d'attaque, l'effet se dissipe et des dégâts d'attaque supplémentaires sont infligés.
zts1111e	Voie rapide 2
zts1112e	Voie rapide 3
zts1113e	Formule magique
zts1114e	Maître de grimoire
zts1115e	La compétence atteint temporairement son maximum.
zts1116e	Poudre lumineuse
zts1117e	La Poudre lumineuse permet de teindre et l'Explosion sacrée provoque des dégâts supplémentaires.
zts1118e	Mémorial
zts1119e	L'emplacement de téléportation est sauvegardé.
zts1120e	Illumination
zts1121e	Bénédiction divine
zts1122e	Coupe-pieds
zts1123e	Blesse l'ennemi pour le ralentir.
zts1124e	Jugement de damnation
zts1125e	Le pouvoir de la damnation immobilise.
zts1126e	Jugement
zts1127e	L'attaque ne peut être évitée que temporairement.
zts1128e	Sanctuaire
zts1129e	Diminue une grande quantité de régénération.
zts1130e	Effervescence
zts1131e	La puissance sacrée auréole l'épée et augmente les dégâts d'attaque.
zts1132e	Contre-effervescence
zts1133e	La puissance sacrée auréole le corps et augmente ainsi la défense.
zts1134e	Perdition
zts1135e	L'énergie de la damnation est unifiée, provoquant des dégâts supplémentaires par la conversion.
zts1136e	Allure obscure
zts1137e	L'énergie du sprint atteint son maximum.
zts1138e	Impact de Lumière (F)
zts1139e	Un énorme Impact de Lumière s'abat.
zts1140e	Impact de Lumière (E)
zts1141e	Impact de Lumière (D)
zts1142e	Impact de Lumière (C)
zts1143e	Impact de Lumière (B)
zts1144e	Impact de Lumière (A)
zts1145e	Impact de Lumière (S)
zts1146e	Buisson épineux (F)
zts1147e	Les épines immobilisent.
zts1148e	Buisson épineux (E)
zts1149e	Buisson épineux (D)
zts1150e	Buisson épineux (C)
zts1151e	Buisson épineux (B)
zts1152e	Buisson épineux (A)
zts1153e	Buisson épineux (S)
zts1154e	Parfum de la malédiction (F)
zts1155e	Le parfum de la malédiction affaiblit.
zts1156e	Parfum de la malédiction (E)
zts1157e	Parfum de la malédiction (D)
zts1158e	Parfum de la malédiction (C)
zts1159e	Parfum de la malédiction (B)
zts1160e	Parfum de la malédiction (A)
zts1161e	Parfum de la malédiction (S)
zts1162e	Le buisson épineux immobilise.
zts1163e	Le parfum de la malédiction t'affaibli.
zts1164e	Bénédiction de la sorcière
zts1165e	Il s'agit de la bénédiction de la sorcière Laurena.
zts1166e	Provocation
zts1167e	L'ennemi est provoqué par une action dédaigneuse.
zts1168e	Atrocité
zts1169e	L'irritation et la colère montent.
zts1170e	Flammes infernales (F)
zts1171e	Flammes infernales
zts1172e	Flammes infernales (E)
zts1173e	Flammes infernales (D)
zts1174e	Flammes infernales (C)
zts1175e	Flammes infernales (B)
zts1176e	Flammes infernales (A)
zts1177e	Flammes infernales (S)
zts1178e	Bouillonnant (F)
zts1179e	Bouillonnant
zts1180e	Bouillonnant (E)
zts1181e	Bouillonnant (D)
zts1182e	Bouillonnant (C)
zts1183e	Bouillonnant (B)
zts1184e	Bouillonnant (A)
zts1185e	Bouillonnant (S)
zts1186e	Embrasement magique (F)
zts1187e	Le violent embrasement magique diminue les dégâts.
zts1188e	Embrasement magique (E)
zts1189e	Embrasement magique (D)
zts1190e	Embrasement magique (C)
zts1191e	Embrasement magique (B)
zts1192e	Embrasement magique (A)
zts1193e	Embrasement magique (S)
zts1194e	Pacte des ténèbres
zts1195e	Avec le pacte des ténèbres, tu peux attaquer plus vite.
zts1196e	Ombre assassine
zts1197e	Tu peux vaincre l'ennemi en lançant une attaque mortelle.
zts1198e	Pieds agiles
zts1199e	L'esquive est maximisée pour les attaques physiques.
zts1200e	Bouclier sacré
zts1201e	La puissance divine te protège des attaques ennemies.
zts1202e	Pendant une durée aléatoire, il y a une certaine probabilité que tu sois caché et tes ennemis ne peuvent plus te trouver.
zts1203e	Élan déhanché
zts1204e	Une attaque vive, habile et élancée !
zts1205e	Herbe grouillante
zts1206e	L'herbe démange la peau.
zts1207e	Poison aux carottes
zts1208e	Le poison aux carottes de Lola est très efficace.
zts1209e	Spasme d'effroi
zts1210e	Intemporalité
zts1211e	Un talent de la tortue qui vit depuis déjà très longtemps.
zts1212e	Amour des carottes
zts1213e	Les lièvres sont attirés par une carotte géante. Elle disparaît dès que le légume géant est détruit.
zts1214e	Herbe grouillante (F)
zts1215e	Herbe grouillante (E)
zts1216e	Herbe grouillante (D)
zts1217e	Herbe grouillante (C)
zts1218e	Herbe grouillante (B)
zts1219e	Herbe grouillante (A)
zts1220e	Herbe grouillante (S)
zts1221e	Poison aux carottes (F)
zts1222e	Poison aux carottes (E)
zts1223e	Poison aux carottes (D)
zts1224e	Poison aux carottes (C)
zts1225e	Poison aux carottes (B)
zts1226e	Poison aux carottes (A)
zts1227e	Poison aux carottes (S)
zts1228e	Élan déhanché (F)
zts1229e	Élan déhanché (E)
zts1230e	Élan déhanché (D)
zts1231e	Élan déhanché (C)
zts1232e	Élan déhanché (B)
zts1233e	Élan déhanché (A)
zts1234e	Élan déhanché (S)
zts1235e	Viser (F)
zts1236e	Le ciblage précis met en position de danger.
zts1237e	Viser (E)
zts1238e	Viser (D)
zts1239e	Viser (C)
zts1240e	Viser (B)
zts1241e	Viser (A)
zts1242e	Viser (S)
zts1243e	Collet (F)
zts1244e	La liberté de mouvement est temporairement restreinte par l'attaque.
zts1245e	Collet (E)
zts1246e	Collet (D)
zts1247e	Collet (C)
zts1248e	Collet (B)
zts1249e	Collet (A)
zts1250e	Collet (S)
zts1251e	Feu de secours (F)
zts1252e	La puissance du Feu vient en renfort.
zts1253e	Feu de secours (E)
zts1254e	Feu de secours (D)
zts1255e	Feu de secours (C)
zts1256e	Feu de secours (B)
zts1257e	Feu de secours (A)
zts1258e	Feu de secours (S)
zts1259e	Prière d'Ancelloan
zts1260e	La puissance d'Ancelloan sert de bénédiction.
zts1261e	Apparition d'Ancelloan
zts1263e	Ailes dorées
zts1264e	Ailes d'onyx
zts1265e	Zéro pointé (F)
zts1266e	Les MP chutent rapidement.
zts1267e	Zéro pointé (E)
zts1268e	Zéro pointé (D)
zts1269e	Zéro pointé (C)
zts1270e	Zéro pointé (B)
zts1271e	Zéro pointé (A)
zts1272e	Zéro pointé (S)
zts1273e	Explobulle (F)
zts1274e	Les HP chutent rapidement.
zts1275e	Explobulle (E)
zts1276e	Explobulle (D)
zts1277e	Explobulle (C)
zts1278e	Explobulle (B)
zts1279e	Explobulle (A)
zts1280e	Explobulle (S)
zts1281e	Les HP chutent rapidement. Un coup critique provoque d'importants dégâts.
zts1282e	Gel éclair (F)
zts1283e	Figée par le gel, la cible ne peut soudain plus employer de magie.
zts1284e	Gel éclair (E)
zts1285e	Figée par le gel, la cible ne peut soudain plus employer de compétences.
zts1286e	Gel éclair (D)
zts1287e	Gel éclair (C)
zts1288e	Gel éclair (B)
zts1289e	Gel éclair (A)
zts1290e	Gel éclair (S)
zts1291e	Figée par le gel, la cible ne peut soudain plus employer de compétences. Toutes les résistances diminuent.
zts1292e	Brume gelée (F)
zts1293e	La vue est obstruée ce qui rend l'ennemi difficile à trouver.
zts1294e	Brume gelée (E)
zts1295e	Brume gelée (D)
zts1296e	Brume gelée (C)
zts1297e	Brume gelée (B)
zts1298e	Brume gelée (A)
zts1299e	Brume gelée (S)
zts1300e	Morsure froide (F)
zts1301e	C'est impossible d'éviter le froid mordant.
zts1302e	Morsure froide (E)
zts1303e	Morsure froide (D)
zts1304e	Morsure froide (C)
zts1305e	Morsure froide (B)
zts1306e	Morsure froide (A)
zts1307e	Morsure froide (S)
zts1308e	Voile (F)
zts1309e	Un léger film de glace subtilise l'effet positif de l'ennemi.
zts1310e	Voile (F)
zts1311e	Voile (D)
zts1312e	Voile (C)
zts1313e	Voile (B)
zts1314e	Voile (A)
zts1315e	Voile (S)
zts1316e	Blessure taillée (F)
zts1317e	Cette méchante blessure est profonde et difficile à soigner.
zts1318e	Blessure taillée (E)
zts1319e	Blessure taillée (D)
zts1320e	Blessure taillée (C)
zts1321e	Blessure taillée (B)
zts1322e	Blessure taillée (A)
zts1323e	Blessure taillée (S)
zts1324e	Pillage (F)
zts1325e	L'adversaire est éliminé dans le but de t'enrichir.
zts1326e	Pillage (E)
zts1327e	Pillage (D)
zts1328e	Pillage (C)
zts1329e	Pillage (B)
zts1330e	Pillage (A)
zts1331e	Pillage (S)
zts1332e	Torpeur spectrale (F)
zts1333e	La vue du vaisseau fantôme fait naître une peur paralysante.
zts1334e	Torpeur spectrale (E)
zts1335e	Torpeur spectrale (D)
zts1336e	Torpeur spectrale (C)
zts1337e	Torpeur spectrale (B)
zts1338e	Torpeur spectrale (A)
zts1339e	Torpeur spectrale (S)
zts1340e	Mode colère
zts1341e	Le compteur de colère est plein.
zts1342e	Pleurnichard
zts1343e	Erenia l'Étourdie
zts1344e	Vanité de Zénas
zts1345e	Où est ma corne ?
zts1346e	Erenia l'Étourdie a oublié qu'elle avait déjà utilisé sa corne.
zts1347e	Rends-moi mes chaussures !
zts1348e	Elle regrette d'avoir jeté sa propre chaussure.
zts1349e	Corne artisanale
zts1350e	La grâce d'Erenia
zts1351e	Chaussures luxueuses
zts1352e	Grâce de Zénas
zts1353e	Lutte douloureuse
zts1354e	Bénédiction d'Ancelloan
zts1355e	Grâce d'Ancelloan
zts1356e	Ancelloan t'accorde sa grâce, car tu as sauvé le croisé.
zts1357e	Plainte du croisé
zts1358e	Elle se nourrit de la rancoeur des croisés.
zts1359e	Malédiction d'Erenia
zts1360e	Malédiction d'Erenia
zts1361e	Malédiction de Zénas
zts1362e	Malédiction de Zénas
zts1363e	Protection d'Ancelloan
zts1364e	Malédiction d'Ancelloan
zts1365e	La malédiction d'Ancelloan est incroyablement puissante.
zts1366e	Indignation de Zénas
zts1367e	Zénas est contrariée et très en colère.
zts1368e	Mode colère
zts1369e	Le compteur de colère est plein.
zts1370e	Entourloupe
