zts1e	Meilleur service
zts363e	L'utilisation provoque les effets suivants durant 15 jours : [n][Effets de base][n]Tu reçois 4 emplacements d'inventaire supplémentaires dans "Equipement", "Principal" et "ETC" (total : 12).[n]10% d'expérience supplémentaire[n][Autres effets][n]10% d'expérience supplémentaire pour ton partenaire et ton NosMate.[n]Tes valeurs d'attaque et de défense augmentent de 10%[n][Attention][n]Ne double pas l'inventaire en cas d'utilisation conjointe avec le sac de l'aventurier ![n]Cet objet ne peut être gardé à l'entrepôt.[n][n]
zts364e	Transporter une petite souris
zts365e	Chapeau de rat mignon
zts366e	Tu peux avoir un rat heureux comme familier.[n][n]
zts367e	Bénédiction du cochon rose
zts368e	Perle du nouvel an
zts369e	Tu peux utiliser le cochon chanceux comme animal de comagnie.[n] Lorsqu'il t'accompagne en tant que NosMate, il te donne un bonus de 10% sur ton attaque et ta défense.
zts370e	Boules de froid permettant d'éviter des Accidents
zts371e	Perle de Ratufu enrhumé
zts372e	Tu peux peut choisir un rat de brousse comme animal domestique. [n] [n] Quand il attaque transmet dans certain cas du froid à l'adversaire. La vitesse et le niveau de défense de celui se gèlent et donc diminuent. [n]
zts373e	J'ai mon petit papa noël personnel !
zts374e	Perle de Ratufu brun
zts718e	Costume de colley
zts719e	Costume de colley (7 jours)
zts720e	Costume de colley (30 jours)
zts721e	Costume de colley (permanent)
zts722e	Costume de Golden Retriever
zts723e	Costume de Golden Retriever (7 jours)
zts724e	Costume de Golden Retriever (30 jours)
zts725e	Costume de Golden Retriever (permanent)
zts727e	Costume siamois
zts728e	Costume siamois (7 jours)
zts729e	Costume siamois (30 jours)
zts730e	Costume siamois (permanent)
zts731e	Costume de chat gris
zts732e	Costume de chat gris (7 jours)
zts733e	Costume de chat gris (30 jours)
zts734e	Costume de chat gris (permanent)
zts736e	Costume de lapin
zts737e	Costume de lapin (7 jours)
zts738e	Costume de lapin (30 jours)
zts739e	Costume de lapin (permanent)
zts740e	Costume de lapin jaune
zts741e	Costume de lapin jaune (7 jours)
zts742e	Costume de lapin jaune (30 jours)
zts743e	Costume de lapin jaune (permanent)
zts749e	Costume de lion blond
zts750e	Costume de lion blond (7 jours)
zts751e	Costume de lion blond (30 jours)
zts752e	Costume de lion blond (permanant)
zts753e	Costume de bouledogue
zts754e	Costume de bouledogue (7 jours)
zts755e	Costume de bouledogue (30 jours)
zts756e	Costume de bouledogue (permanent)
zts757e	Costume de Basset
zts758e	Costume de Basset (7 jours)
zts759e	Costume de Basset (30 jours)
zts760e	Costume de Basset (permanent)
zts761e	Costume de chat birman
zts762e	Costume de chat birman (7 jours)
zts763e	Costume de chat birman (30 jours)
zts764e	Costume de chat birman (permanent)
zts765e	Costume de Korat
zts766e	Costume de Korat (7 jours)
zts767e	Costume de Korat (30 jours)
zts768e	Costume de Korat (permanent)
zts770e	Costume du Lièvre de Mars
zts771e	Costume du Lièvre de Mars (7 jours)
zts772e	Costume du Lièvre de Mars (30 jours)
zts773e	Costume du Lièvre de Mars (permanent)
zts774e	Costume du Lièvre blanc
zts775e	Costume du Lièvre blanc (7 jours)
zts776e	Costume du Lièvre blanc (30 jours)
zts777e	Costume du Lièvre blanc (permanent)
zts778e	Costume de lion d'or
zts779e	Costume de lion d'or (7 jours)
zts780e	Costume de lion d'or (30 jours)
zts781e	Costume de lion d'or (permanent)
zts783e	Chapeau de dalmatien
zts784e	Chapeau de dalmatien (7 jours)
zts785e	Chapeau de dalmatien (30 jours)
zts786e	Chapeau de dalmatien (permanent)
zts787e	Chapeau de Rottweiler
zts788e	Chapeau de Rottweiler (7 jours)
zts789e	Chapeau de Rottweiler (30 jours)
zts790e	Chapeau de Rottweiler (permanent)
zts792e	Chapeau de Siamois
zts793e	Chapeau de Siamois (7 jours)
zts794e	Chapeau de Siamois (30 jours)
zts795e	Chapeau de Siamois (permanent)
zts796e	Chapeau de chat gris
zts797e	Chapeau de chat gris (7 jours)
zts798e	Chapeau de chat gris (30 jours)
zts799e	Chapeau de chat gris (permanent)
zts801e	Oreille de lapin
zts802e	Oreille de lapin (7 jours)
zts803e	Oreille de lapin (30 jours)
zts804e	Oreille de lapin (permanent)
zts805e	Oreilles de lapin jaune
zts806e	Oreilles de lapin jaune (7 jours)
zts807e	Oreilles de lapin jaune (30 jours)
zts808e	Oreilles de lapin jaune (permanent)
zts814e	Chapeau de lion blond
zts815e	Chapeau de lion blond ( 7 jours)
zts816e	Chapeau de lion blond ( 30 jours)
zts817e	Chapeau de lion blond (permanent)
zts818e	Chapeau de bouledogue
zts819e	Chapeau de bouledogue (7 jours)
zts820e	Chapeau de bouledogue (30 jours)
zts821e	Chapeau de bouledogue (permanent)
zts822e	Chapeau de Saint-Bernard
zts823e	Chapeau de Saint-Bernard (7 jours)
zts824e	Chapeau de Saint-Bernard (30 jours)
zts825e	Chapeau de Saint-Bernard (permanent)
zts826e	Chapeau de chat birman
zts827e	Chapeau de chat birman (7 jours)
zts828e	Chapeau de chat birman (30 jours)
zts829e	Chapeau de chat birman (permanent)
zts830e	Chapeau de Korat
zts831e	Chapeau de Korat (7 jours)
zts832e	Chapeau de Korat (30 jours)
zts833e	Chapeau de Korat (permanent)
zts835e	Chapeau de Lièvre de Mars
zts836e	Chapeau de Lièvre de Mars (7 jours)
zts837e	Chapeau de Lièvre de Mars (30 jours)
zts838e	Chapeau de Lièvre de Mars (permanent)
zts839e	Chapeau de Lièvre blanc
zts840e	Chapeau de Lièvre blanc (7 jours)
zts841e	Chapeau de Lièvre blanc (30 jours)
zts842e	Chapeau de Lièvre blanc (permanent)
zts843e	Chapeau de lion d'or
zts844e	Chapeau de lion d'or (7 jours)
zts845e	Chapeau de lion d'or (30 jours)
zts846e	Chapeau de lion d'or (permanent)
zts899e	Chapeau de dalmatien
zts900e	Chapeau de dalmatien (7 jours)
zts901e	Chapeau de dalmatien (30 jours)
zts902e	Chapeau de dalmatien (permanent)
zts903e	Chapeau de Rottweiler
zts904e	Chapeau de Rottweiler (7 jours)
zts905e	Chapeau de Rottweiler (30 jours)
zts906e	Chapeau de Rottweiler (permanent)
zts908e	Chapeau de lion blond
zts909e	Chapeau de lion blond ( 7 jours)
zts910e	Chapeau de lion blond ( 30 jours)
zts911e	Chapeau de lion blond (permanent)
zts912e	Chapeau de lion foncé
zts913e	Chapeau de lion foncé (7 jours)
zts914e	Chapeau de lion foncé (30 jours)
zts915e	Chapeau de lion foncé (permanent)
zts916e	Chapeau de bouledogue
zts917e	Chapeau de bouledogue (7 jours)
zts918e	Chapeau de bouledogue (30 jours)
zts919e	Chapeau de bouledogue (permanent)
zts920e	Chapeau de Saint-Bernard
zts921e	Chapeau de Saint-Bernard (7 jours)
zts922e	Chapeau de Saint-Bernard (30 jours)
zts923e	Chapeau de Saint-Bernard (permanent)
zts925e	Chapeau de lion d'or
zts926e	Chapeau de lion d'or (7 jours)
zts927e	Chapeau de lion d'or (30 jours)
zts928e	Chapeau de lion d'or (permanent)
zts929e	Chapeau de lion noir
zts930e	Chapeau de lion noir (7 jours)
zts931e	Chapeau de lion noir (30 jours)
zts932e	Chapeau de lion noir (permanent)
zts933e	Costume de colley
zts934e	Costume de colley (7 jours)
zts935e	Costume de colley (30 jours)
zts936e	Costume de colley (permanent)
zts937e	Costume de Golden Retriever
zts938e	Costume de Golden Retriever (7 jours)
zts939e	Costume de Golden Retriever (30 jours)
zts940e	Costume de Golden Retriever (permanent)
zts941e	Un superbe chapeau de lion !
zts942e	Costume de lion blond (7 jours)
zts943e	Costume de lion blond (30 jours)
zts944e	Costume de lion blond (permanant)
zts945e	Costume de lion foncé (7 jours)
zts946e	Costume de lion foncé (30 jours)
zts947e	Costume de lion foncé (permanant)
zts948e	Costume de bouledogue
zts949e	Costume de bouledogue (7 jours)
zts950e	Costume de bouledogue (30 jours)
zts951e	Costume de bouledogue (permanent)
zts952e	Un magnifique chapeau de lion !
zts953e	Chapeau de lion d'or
zts954e	Chapeau de lion d'or (7 jours)
zts955e	Chapeau de lion d'or (30 jours)
zts956e	Chapeau de lion d'or (permanent)
zts957e	Chapeau de lion noir
zts958e	Chapeau de lion noir (7 jours)
zts959e	Chapeau de lion noir (30 jours)
zts960e	Chapeau de lion noir (permanent)
zts961e	Costume de lion blond
zts962e	Costume de lion foncé
zts963e	Chapeau de Saint-Bernard
zts964e	Chapeau de Saint-Bernard (7 jours)
zts965e	Chapeau de Saint-Bernard (30 jours)
zts966e	Chapeau de Saint-Bernard (permanent)
zts1005e	10x potion de force d'attaque en PvP
zts1006e	10x potion de force d'attaque en PvP
zts1007e	5x potion de défense en PvP
zts1008e	10x potion de défense en PvP
zts1009e	5 potions de résistance PvP
zts1010e	10 potions de résistance PvP
zts1011e	5x cornes de rassemblement des familles
zts1012e	10x corne de rassemblement des familles
zts1057e	Je suis le symbole de la beauté éternelle.
zts1058e	Costume de fée
zts1059e	Costume de fée (7 jours)
zts1060e	Costume de fée (30 jours)
zts1061e	Costume de fée (permanent)
zts1062e	Je suis le démon de NosTale !
zts1063e	Démon blanc
zts1064e	Démon blanc (7 jours)
zts1065e	Démon blanc (30 jours)
zts1066e	Démon blanc (permanent)
zts1067e	Porte un joli noeud !
zts1068e	Ruban rose
zts1069e	Ruban rose (7 jours)
zts1070e	Ruban rose (30 jours)
zts1071e	Ruban rose (permanent)
zts1072e	Deviens un homme imposant !
zts1073e	Feutre blanc
zts1074e	Feutre blanc (7 jours)
zts1075e	Feutre blanc (30 jours)
zts1076e	Feutre blanc (permanent)
zts1118e	Supprime l'odeur des autres !
zts1119e	Parfum
zts1120e	Utilisé lorsque tu transformes les objets exclusifs d'autres joueurs pour te les approprier[n]Mode d'emploi :[n]Double-clique dessus pour ouvrir la fenêtre de transformation d'objets.[n][n]
zts1121e	20x parfum
zts1122e	50x parfum
zts1123e	99x parfum
zts1124e	90 parfums qui sentent bon
zts1146e	Pégase
zts1147e	Lapin mignon
zts1242e	Boîte-surprise du nouvel an !
zts1243e	Boîte du nouvel an
zts1244e	C'est la boîte du nouvel an.[n]Tu recevras l'un des objets suivants : [n]1x perle de Ratufu taureau, 1x boîte à énigmes B, 1x panier pour familier (60 jours), 5x parfum, 50x ailes de l'amitié, 50x eau de source de Cylloan, 1x sac à dos de l'aventurier (30 jours), 1x perle de familier, 2x badge pour NosMates, 3x croquettes de qualité[n][n]
zts1266e	Tente ta chance !
zts1325e	Perle du  taureau Tori
zts1327e	Chapeau pour bel homme
zts1329e	Chapeau pour bel homme (7 jours)
zts1330e	Chapeau pour bel homme (30 jours)
zts1331e	Chapeau pour bel homme (Permanent)
zts1332e	Vêtements pour bel homme
zts1334e	Vêtements pour bel homme (7 jours)
zts1335e	Costume pour bel homme (30 jours)
zts1336e	Vêtements pour bel homme (Permanent)
zts1348e	Look de starlette d'école
zts1349e	Look de starlette d'école (7 jours)
zts1350e	Look de starlette d'école (30 jours)
zts1351e	Look de starlette d'école (Permanent)
zts1352e	Serre-tête de starlette
zts1353e	Serre-tête de starlette (7 jours)
zts1354e	Serre-tête de starlette (30 jours)
zts1355e	Serre-tête de starlette (Permanent)
zts1359e	Perle de Tori Samouraï
zts1394e	Aile d'ange
zts1397e	Aile de démon
zts1510e	99x plumes d'ange
zts1511e	Boite à énigmes A[n]Dans cette boîte, tu trouveras l'un des objets du NosMall suivants :[n]1x masque furieux A[n]1x masque furieux B[n]1x masque furieux C[n]1x perle de Ratufu brun[n]1x perle de Ratufu gladiateur[n]1x perle de Ratufu destructeur de vermine[n]1x croquettes spéciales[n]1x parchemin protecteur d'équipement[n]1x eau de source Cylloan[n]1x parchemin de libération[n]1x grande potion spéciale[n]
zts1512e	Boite à énigmes B[n]Dans cette boîte, tu trouveras l'un des objets du NosMall suivants :[n]1x masque silencieux A[n]1x masque silencieux B[n]1x masque silencieux C[n]1x perle de Ratufu taureau[n]1x perle de Ratufu aquatique[n]1x perle de Ratufu samouraï[n]1x croquettes spéciales[n]1x parchemin protecteur d'équipement[n]1x eau de source Cylloan[n]1x parchemin de libération[n]1x grande potion spéciale[n]
zts1513e	Boite à énigmes C[n]Dans cette boîte, tu trouveras l'un des objets du NosMall suivants :[n]1x bandage oculaire A[n]1x bandage oculaire B[n]1x bandage oculaire C[n]1x perle de Pégase[n]1x perle de lapin mignon[n]1x perle de Ratufu malade[n]1x croquettes spéciales[n]1x parchemin protecteur d'équipement[n]1x eau de source Cylloan[n]1x parchemin de libération[n]1x grande potion spéciale[n]
zts1528e	Panier pour familier (10 jours/évènement)
zts1530e	Sceau de l´Araignée Noire Géante
zts1531e	Sceau du Slade Géant
zts1532e	Sceau de Xysenshrub
zts1533e	Sceau de Castra Sombre
zts1534e	Sceau du Roi Poule
zts1535e	Sceau de la mère Cuby
zts1537e	Scooteur magique
zts1540e	Tapis magique
zts2790e	Médaille NosMarchand (1 jour, évènement)
zts2800e	Médaille NosMarchand (30 jours)
zts2801e	Médaille NosMarchand (7 jours)
zts8848e	Coffre du hasard du championnat 2012
zts8993e	Coffre du hasard de Lapinou Padbra
zts9201e	Coffre jackpot incroyable
zts9265e	Pépite d'or minuscule
zts9266e	Petite pépite d'or
zts9267e	Grosse pépite d'or
zts9268e	Énorme pépite d'or
zts9282e	Coffre pour spécialiste : ailes & co
zts10043e	Fusion de costumes
zts10054e	Avis à tous ceux qui aiment le changement !
zts10055e	Tu peux changer l'apparence de ton costume.[n]Il te suffit d'enregistrer le costume basique et le costume matériel.[n][Attention][n]1. Les costumes non permanents ne peuvent pas être modifiés.[n]2. Seuls les costumes liés aux personnages peuvent être modifiés une fois.[n]3. L'opération fait disparaître le costume matériel.[n]4. En réinitialisant la fusion de costumes, tu peux annuler la modification.[n]5. Les options du costume matériel ne s'appliquent pas au costume basique.[n]
zts10226e	Médaille du 10e anniversaire
zts10274e	Médaille VIP de la banque Cuarry (10 jours)
zts10275e	Tu obtiens le statut VIP auprès de la banque Cuarry et tu ne dois pas payer de frais.[n][Attention] Cet objet n'est valide que pendant 10 jours.[n]
zts10276e	Médaille VIP de la banque Cuarry (30 jours)
zts10277e	Tu obtiens le statut VIP auprès de la banque Cuarry et tu ne dois pas payer de frais.[n][Attention] Cet objet n'est valide que pendant 30 jours.[n]
