zts1e	Attaque spéciale
zts587e	Bonhomme de neige géant
zts588e	Froid 1
zts589e	Froid 2
zts590e	Le Blizzard inflige jusqu'à 99 % de dégâts aux joueurs debout.
zts591e	Le Tremblement de terre inflige jusqu'à 99 % de dégâts aux joueurs allongés.
zts592e	Absorption
zts593e	Cibler l'absorption
zts594e	Absorption de HP
zts595e	L'absorption est activée contre l'adversaire.
zts596e	Les HP de l'adversaire diminuent de %s. Cette valeur est ensuite ajoutée aux HP du joueurs.
zts597e	Compétence du boss
zts598e	Maître Morcos
zts599e	Le joueur à plus de %s champs d'écart de toi subit %s%% de dégâts.
zts600e	La réflexion et les MP sont perdus.
zts601e	Avec une certaine probabilité, les MP restants sont perdus.
zts602e	Cette partie ne peut pas être utilisée.
zts603e	Avec une probabilité de %s%%, %s%% des MP restants sont perdus.
zts604e	Spécialisation et résistance au buff
zts605e	Résistance au buff
zts606e	Spécialisation PvP
zts607e	Au dessous d'un certain niveau, le buff est supprimé.
zts608e	%s%% de résistance contre l'effet %s et inférieur
zts609e	Les dégâts en PvP augmentent de %s.
zts610e	Les dégâts en PvP diminuent de %s.
zts611e	Avec une probabilité de %s%%, les effets de niveau %s ou inférieur sont levés.
zts612e	Dans un rayon de %s champs, l'explosion provoque %s%% de dégâts.
zts613e	Maître Hatus
zts614e	Coup-de tête du dragon
zts615e	Le joueur subit %s%% dégâts à un endroit spécifique.
zts616e	Dame Calvina
zts617e	Un serpent est invoqué.
zts618e	Spécialiste SE
zts619e	Énergie du bouclier
zts620e	Propagation du buff
zts621e	Déplacement de l'aura
zts622e	Mort et vif
zts623e	Le nombre de buffs et les statistiques de dégâts s'affichent (1/1 000).
zts624e	La quantité de buffs s'affiche.
zts625e	Le Déplacement de l'aura a un impact sur les environs.
zts626e	Tu n'as rien à saisir.
zts627e	Moins tu as de HP, plus l'effet est puissant.
zts628e	4. Raid en famille de la Couronne de glace
zts629e	4. Compétence de la Couronne de glace
zts630e	Tous les adversaires dans un rayon de %s champs subissent %s%% de dégâts.
zts631e	Tous les adversaires dans un rayon de %s champs subissent %s%% de dégâts.
zts632e	Attaque du monstre invoqué
zts633e	Le monstre invoqué est vaincu.
zts634e	Tu infliges à %s %s%% de dégâts.
zts638e	Les HP maximums augmentent de %s%%, mais pas au-delà de 5 000 HP.
zts639e	Les HP maximums diminuent de %s%%, mais pas au-delà de 5 000 HP.
zts651e	Le boosteur de vitesse augmente ta vitesse.
zts652e	Ta vitesse est temporairement maximisée.
zts657e	Tonneau de rhum pour cachette
zts663e	1 %s est invoqué avec une probabilité de %s%%.
zts664e	1 %s est invoqué avec une probabilité de %s%% (disparaît après un certain temps).
zts668e	L'attention des adversaires proches se fixe sur toi.
zts671e	La force d'attaque totale augmente de %s%%.
zts672e	La force d'attaque totale diminue de %s%%.
zts673e	La force de défense totale augmente de %s%%.
zts674e	La force de défense totale diminue de %s%%.
zts675e	Les MP maximums sont modifiés (Esprit de l'ours).
zts676e	Les MP maximums augmentent de %s%%, mais pas au-delà de 5 000 MP.
zts677e	Les MP maximums diminuent de %s%%, mais pas au-delà de 5 000 MP.
zts678e	Les compétences de tous les adversaires sont amoindries.
zts685e	Les dégâts maximums subis sont répercutés de %s.
zts686e	Les dégâts de toutes les attaques augmentent de %s%% avec une probabilité de %s%%. Si la défense est efficace, l'énergie est rechargée.
zts687e	Les dégâts de toutes les attaques diminuent de %s%% avec une probabilité de %s%%. Si la défense est efficace, l'énergie est rechargée.
zts688e	Si tu parviens à vaincre ton adversaire en utilisant cette compétence, il y a une probabilité de %s%% de provoquer %s.
zts689e	Lorsque tu te moques de ton adversaire qui est K.O., il y a une probabilité de %s%% de provoquer : %s.
zts690e	Lorsque tu te moques d'un adversaire qui est dans un état normal, il y a une probabilité de %s%% de provoquer : %s.
zts691e	Un effet négatif adverse est réfléchi avec une certaine probabilité.
zts694e	La portée du Canonnier de feu augmente de %s.
zts695e	La portée du Canonnier de feu diminue de %s.
zts696e	Tu recules face à %s blocages de l'adversaire.
zts699e	Les compétences enflammées du Volcanor augmentent de %s.
zts700e	Les compétences enflammées du Volcanor diminuent de %s.
zts704e	L'efficacité du buff renforçant l'attaque de l'adversaire diminue.
zts705e	Si tu réussis à esquiver l'attaque de l'adversaire, le buff augmente avec une certaine probabilité.
zts706e	Tu te défends de %s dégâts critiques.
zts713e	%s%% des dégâts subis par ton allié à portée diminuent. En contrepartie, tu encaisses %s%% des dégâts de ton allié.
zts714e	Les dégâts transmis par tes coéquipiers augmentent de %s%%.
zts715e	Les dégâts transmis par tes coéquipiers diminuent de %s%%.
zts716e	Le rétablissement des HP augmente de %s%%.
zts717e	Le rétablissement des HP diminue de %s%%.
zts718e	Dégâts supplémentaires subis par combo : %s%%
zts728e	Avec une probabilité de %s%%, le sacrifice provoque %s.
zts732e	Il y a une probabilité de %s%% de provoquer à l'endroit déterminé : %s.
zts733e	Il y a une probabilité de %s%% de supprimer à l'endroit déterminé : %s.
zts734e	Tu disparais temporairement sans laisser de trace.
zts741e	%s%% des dégâts subis sont ajoutés à tes HP et, avec un buff actif, tu ne subis aucuns dégâts supplémentaires.
zts742e	%s%% des dégâts subis sont retirés de tes HP et, avec un buff actif, tu ne subis aucuns dégâts supplémentaires.
zts745e	Les dégâts augmentent de %s%% grâce à l'utilisation de la compétence %s.
zts746e	Les dégâts diminuent de %s%% grâce à l'utilisation de la compétence %s.
zts747e	La probabilité de coups critiques augmente de %s%% grâce à l'utilisation de la compétence %s.
zts748e	La probabilité de coups critiques diminue de %s%% grâce à l'utilisation de la compétence %s.
zts752e	Les dégâts contre %s augmentent de %s%%.
zts753e	Lorsqu'un joueur est attaqué par %s, les dégâts diminuent de %s%%.
zts754e	L'efficacité des objets de récupération augmente de %s%%.
zts755e	L'efficacité des objets de récupération diminue de %s%%.
zts757e	Quand Léona porte la carte de spécialiste pour partenaire, il y a une probabilité de %s%% de provoquer : %s.
zts758e	Quand Léona porte la carte de spécialiste pour partenaire, il y a une probabilité de %s%% de supprimer : %s.
zts764e	Tu embusques l'adversaire pour l'attaquer de manière ciblée.
zts765e	L'ennemi est poursuivi, chassé par le faucon, et peut être attaqué depuis le ciel.
zts766e	L'intelligence du faucon permet d'identifier et d'attaquer l'ennemi qui a le moins de HP. Ce joueur sera marqué d'un signe et pourra être attaqué avec plus d'intensité par d'autres.
zts767e	La défense en PvP augmente.
zts768e	La défense en PvP augmente de %s%%.
zts769e	La défense en PvP diminue de %s%%.
zts776e	%s%% des HP restants de l'adversaire sont rétablis.
zts777e	%s%% des HP restants de l'adversaire diminuent.
zts778e	Après %s utilisations, %s survient (mais ne peut atteindre au maximum que le niveau 2).
zts779e	La portée d'attaque augmente de %s.
zts780e	La portée d'attaque diminue de %s.
zts781e	Le joueur est déplacé contre sa volonté dans une autre direction pendant %s secondes.
zts782e	En Embuscade, il y a une probabilité de %s%% de provoque : %s.
zts787e	Après l'attaque du Tireur embusqué, il y a une probabilité de %s%% de provoquer : %s.
zts788e	Après l'attaque du Tireur embusqué, il y a une probabilité de %s%% de supprimer : %s.
zts789e	La portée d'attaque en Embuscade augmente de %s.
zts790e	En cas d'attaque en Embuscade, il y a une probabilité de %s%% de provoquer : %s.
zts793e	Une fois que tout contrôle physique est perdu, les autres joueurs peuvent te libérer de la glace éternelle.
zts794e	Avec une probabilité de %s%%, la Méditation courte provoque : %s.
zts795e	Avec une probabilité de %s%%, la Méditation normale provoque : %s.
zts796e	Avec une probabilité de %s%%, la Méditation longue provoque : %s.
zts799e	L'attaque du Tireur embusqué t'inflige %s%% des dégâts causés par un coup critique.
zts808e	Avec une probabilité %s%%, tu recules de %s champs.
zts810e	Avec une probabilité de %s%%, l'adversaire est repoussé de %s champs en arrière.
zts811e	La durée d'effet d'une attaque rapprochée augmente de %s.
zts812e	La durée d'effet d'une attaque rapprochée diminue de %s.
zts813e	La durée d'effet d'une attaque à distance augmente de %s.
zts814e	La durée d'effet d'une attaque à distance diminue de %s.
zts815e	La durée d'effet d'une attaque magique augmente de %s.
zts816e	La durée d'effet d'une attaque magique diminue de %s.
zts817e	Quand un joueur t'élimine, les HP de celui-ci diminuent de %s%%.
zts818e	Quand un joueur t'élimine, les HP de celui-ci augmentent de %s%%.
zts819e	La force d'attaque en PvP augmente.
zts820e	La force d'attaque en PvP augmente de %s%%.
zts821e	La force d'attaque en PvP diminue de %s%%.
zts823e	Tu te téléportes à l'endroit choisi.
zts827e	Avec une probabilité de %s%%, %s est invoqué.
zts828e	Tu récupères %s%% de tes HP.
zts829e	Tes HP diminuent de %s%%.
zts831e	Cette compétence permet de chasser des moutons.
zts832e	Buff d'arène d'équipe
zts833e	Force de défense de l'arène d'équipe
zts834e	Force d'attaque pour l'arène d'équipe
zts835e	Avec une probabilité de %s%%, les dégâts subis dans l'arène d'équipe augmentent de %s%%.
zts836e	Avec une probabilité de %s%%, les dégâts subis dans l'arène d'équipe diminuent de %s%%.
zts837e	Avec une probabilité de %s%%, la force d'attaque dans l'arène d'équipe augmente de %s%%.
zts838e	Avec une probabilité de %s%%, la force d'attaque dans l'arène d'équipe diminue de %s%%.
zts840e	Appeler le n° 1
zts841e	Appeler le n° 2
zts842e	Appeler le n° 3
zts843e	Vue spectateur
zts844e	Appeler le participant n° 1
zts845e	Appeler le participant n° 2
zts846e	Appeler le participant n° 3
zts847e	Passe de ton propre point de vue à celui du participant au combat.
zts849e	Tu peux à présent voir les personnages cachés qui se trouvent près de toi.
zts850e	Les points d'EXP de ta fée augmentent.
zts851e	Les points d'EXP de ta fée augmentent de %s%%.
zts853e	Cette compétence vous permet de lancer des noisettes le plus fort possible.
zts860e	Avec une probabilité de %s%%, tu invoques jusqu'à %s clones des ténèbres.
zts861e	Avec une probabilité de %s%%, la régénération des HP se change en dégâts.
zts862e	Avec une probabilité de %s%%, les dégâts de l'adversaire se transforme en effet régénérateur. Les HP rétablis et les dégâts accumulés disparaissent au bout de %s secondes.
zts863e	Avec une probabilité de %s%%, le temps de rechargement de la compétence adverse augmente de %s%%. Si la compétence réussit, ton propre temps de rechargement sera diminué.
zts864e	Avec une probabilité de %s%%, les dégâts infligés par l'élément Obscurité augmentent de %s%%.
zts865e	Avec une probabilité de %s%%, les dégâts infligés par l'élément Obscurité diminuent de %s%%.
zts869e	Avec une probabilité de %s%%, la compétence %s est utilisée si un esprit absorbé est disponible.
zts870e	Avec une probabilité de %s%%, la compétence %s est utilisée si aucun esprit absorbé n'est disponible.
zts871e	Avec une probabilité de %s%%, tu résistes à un mouvement forcé.
zts873e	Le délai pour réutiliser tes compétences magiques augmente de %s%%.
zts874e	Le délai pour réutiliser tes compétences magiques diminue de %s%%.
zts877e	Attaque tous les ennemis dans ton champ de vision, sauf à un endroit précis.
zts878e	Avec une probabilité de %s%%, les HP de l'adversaire diminuent de %s%%.
zts879e	Les HP diminuent à hauteur de %s%% des dégâts causés avec une probabilité de %s%%.
zts883e	Tu invoques un Buisson épineux dans ton champ de vision.
zts884e	La cible est transformée.
zts886e	Avec une probabilité de %s%%, aucun effet positif inférieur au niveau %s ne peut être utilisé.
zts890e	Téléportation rapide %s champs en avant
zts891e	10 météorites et %s de plus s'abattent.
zts892e	Toi et %s membres êtes téléportés vers le lieu sauvegardé.
zts894e	La rage empêche de provoquer plus qu'une simple attaque normale.
zts895e	L'attention des adversaires dans un rayon de 5 champs se fixe sur toi.
zts900e	Avec une probabilité de %s%%, %s%% de la défense de la cible est ignorée.
zts901e	Avec une probabilité de %s%%, les dégâts critiques subis diminuent de %s%%.
zts904e	Transformation en héros : les MP maximums sont modifiés en pourcentage.
zts905e	Ancelloan apparaît. Les HP et les MP maximums augmentent de %s%%.
zts906e	Ancelloan apparaît. Les HP et les MP maximums diminuent de %s%%.
zts908e	Pendant l'attaque, l'ombre du dragonyx est invoquée avec une probabilité de %s%% pour engager une attaque supplémentaire.
zts909e	Vol d'effet
zts910e	Une attaque réussie permet de voler un effet positif au-dessous du niveau %s de la cible. Il est possible de subtiliser jusqu'à %s effets.
zts912e	Une attaque réussie permet de voler des effets positifs au-dessous du niveau %s du partenaire de la cible pour les transférer à des alliés dans un rayon de 3 champs. Il est possible de subtiliser jusqu'à %s effets.
zts913e	Annulation de transformation
zts914e	La transformation est annulée avec une probabilité de %s%%. Le personnage retourne à l'état précédent une fois l'effet dissipé.
zts916e	Toute attaque est impossible pendant %s secondes.
zts917e	La transformation est interrompue avec une probabilité de %s%%. Si l'interruption marche, toute attaque est impossible pendant %s secondes. Le personnage retourne à son état précédent.
zts919e	Changement de place
zts920e	Tu échanges ta position avec celle de ta cible. Dès que l'effet prend fin, le personnage reprend sa position initiale.
zts923e	Quand tu meurs, le nombre de points de réputation que tu perds augmente de %s%%.
zts924e	Quand tu meurs, le nombre de points de réputation que tu perds diminue de %s%%.
zts925e	Quand tu meurs, le nombre de points d'EXP de niveau héroïque que tu perds augmente de %s%%.
zts926e	Quand tu meurs, le nombre de points d'EXP de niveau héroïque que tu perds diminue de %s%%.
zts928e	La peine sera appliquée, la mort vous attend.
zts931e	Si tu attaques des anges, tes dégâts maximaux augmentent, passant à %s%%.
zts932e	Si tu attaques des anges, tes dégâts maximaux diminuent, passant à %s%%.
zts933e	Si tu attaques des démons, tes dégâts maximaux augmentent, passant à %s%%.
zts934e	Si tu attaques des démons, tes dégâts maximaux diminuent, passant à %s%%.
zts937e	Avec une probabilité de %s%%, le temps de rechargement de la compétence utilisée est réinitialisé.
zts938e	Avec une probabilité de %s%%, %s est utilisé sur l'alliance dans une zone de 5 champs.
zts939e	Avec une probabilité de %s%%, %s est retiré de l'alliance dans une zone de 5 champs.
zts940e	Avec une probabilité de %s%%, les effets positifs au-dessous du niveau %s sont levés.
zts942e	Si le monstre est d'un niveau plus élevé que le personnage, il y a %s %% de probabilité que les dégâts augmentent de %s %%.
zts943e	Si le monstre est d'un niveau plus élevé que le personnage, il y a %s %% de probabilité que les dégâts diminuent de %s %%.
zts945e	Cette compétence bloque %s effets négatifs au-dessous du niveau %s.
zts947e	Ta vitesse de déplacement augmente de %s quand tu te caches.
zts948e	Ta vitesse de déplacement est réduite de %s quand tu te caches.
zts955e	La réputation reçue est augmentée de %s %%.
zts956e	La réputation reçue est réduite de %s %%.
zts957e	L'expérience héroïque acquise est augmentée de %s %%.
zts958e	L'expérience héroïque acquise est réduite de %s %%.
zts959e	Quand tu es accompagné, tu peux encore recevoir %s objet(s) inconnu(s) après %s heure(s).
zts960e	Il y a %s %% de chances de retirer un buff de renforcement d'un ennemi.
zts961e	Grâce à la magie de la liche, un dragon squelettique est créé, faisant bénéficier l'utilisateur de la « vitalité du dragon ».
zts962e	Grâce à la magie de la liche, un dragon squelettique est créé, faisant bénéficier l'utilisateur de la « vitalité du dragon puissant ».
zts970e	Les attaques contre des ennemis cachés provoquent %s de dégâts en plus.
zts972e	Les dégâts des ennemis cachés augmentent de %s %%.
zts973e	Les dégâts des ennemis cachés sont réduits de %s %%.
zts974e	Les ennemis cachés dans %s champs environnants sont couverts.
zts977e	Tu retournes dans ton Mini-pays et tu rétablis %s %% de tes HP. Si tu disposes du montant de HP maximums, tu reçois %s %% de HP supplémentaires.
