zts1e	Efekt ogólny
zts568e	Gdy przeciwnik jest w stanie zamroczenia lub zostanie zaatakowany, stan knockdown zostanie usuniêty. W kombinacji z umiejêtnoœci¹ "Egzekucja" przeciwnik otrzyma 30% dodatkowych obra¿eñ.
zts569e	Stan skrajnego rozdra¿nienia
zts570e	Stan skrajnego rozdra¿nienia wystêpuje wskutek ekstremalnej prowokacji ze strony przeciwnika i prowadzi do powiêkszenia otrzymywanych obra¿eñ.
zts571e	Magiczne odbicie
zts572e	Magiczne odbicie z pewnym prawdopodobieñstwem odbija wszystkie negatywne efekty przeciwnika. Umiejêtnoœci, które wywo³uj¹ jedynie negatywny efekt i nie zadaj¹ ¿adnych obra¿eñ, nie s¹ odbijane.
zts573e	Stan rozdra¿nienia
zts574e	Stan rozdra¿nienia wystêpuje wskutek ekstremalnej prowokacji ze strony przeciwnika.
zts575e	Wzburzenie krwi
zts576e	Wskutek ³aknienia krwi zostaje podwy¿szona si³a ataku i szybkoœæ poruszania siê.
zts577e	Westchnienie pokonanego
zts578e	Westchnienie pokonanego zniechêca ciê przez pora¿kê. W kombinacji z umiejêtnoœci¹ "Egzekucja" otrzymujesz 70% dodatkowych obra¿eñ.
zts579e	Wiwaty t³umu
zts580e	Wiwaty t³umu krzepi¹ twego ducha walki, który cieszy siê z pora¿ki przeciwnika.
zts581e	Wzmocnienie eksplozji
zts582e	Wzmocnienie eksplozji zwiêksza celnoœæ oraz zasiêg ataku.
zts583e	Okrzyk zwyciêstwa
zts584e	Okrzyk zwyciêstwa demonstruje uczestnictwo w walce z siln¹ wol¹ zwyciêstwa.
zts585e	Pierwsza fala uderzeniowa
zts586e	Przeciwnik znajduje siê w stanie szoku wskutek potê¿nego uderzenia pioruna.
zts587e	Tarcza magmy
zts588e	Tarcza magmy absorbuje si³ê ataku przeciwnika i zu¿ywa przy tym PM.
zts589e	Truj¹cy gaz wulkaniczny
zts590e	Truj¹cy gaz wulkaniczny zadaje przeciwnikowi obra¿enia.
zts591e	Moc wulkanu
zts592e	Moc wulkanu maksymalizuje wszystkie umiejêtnoœci Vulkano.
zts593e	Bagno lawy
zts594e	Bagno lawy zmniejsza zdolnoœæ do ataku.
zts595e	Strumieñ lawy
zts596e	Strumieñ lawy powoduje, ¿e przeciwnik z ma³ym prawdopodobieñstwem stê¿eje w twardniej¹cej lawie.
zts597e	Wielki strumieñ lawy
zts598e	Wielki strumieñ lawy powoduje, ¿e przeciwnik z pewnym prawdopodobieñstwem grzêŸnie w twardniej¹cej lawie.
zts599e	Kipi¹cy strumieñ lawy
zts600e	Kipi¹cy strumieñ lawy powoduje, ¿e przeciwnik z du¿ym prawdopodobieñstwem stê¿eje w twardniej¹cej lawie.
zts601e	P³on¹cy strumieñ lawy
zts602e	P³on¹cy strumieñ lawy powoduje, ¿e przeciwnicy szybko tê¿ej¹ w twardniej¹cej lawie.
zts603e	Stê¿enie Lawy
zts604e	Przeciwnik nie ma szans wydostania siê ze stê¿enia lawy.
zts605e	Powalenie z nóg
zts606e	Fala uderzeniowa powala przeciwnika z nóg.
zts607e	Potê¿na fala uderzeniowa
zts608e	Potê¿na fala uderzeniowa burzy wszystko na swej drodze.
zts609e	Turbo-do³adowanie
zts610e	Turbo-do³adowanie zwiêksza wydajnoœæ poprzez ulepszenie dzia³a.
zts611e	Zahamowanie ³adowania
zts612e	Wydajnoœæ dzia³a spada wskutek niefachowo przeprowadzonej modyfikacji.
zts613e	Pancerz magmy
zts614e	Pancerz magmy pokrywa twoj¹ zbrojê i nadaje jej ekstremalnie wysok¹ si³ê obrony.
zts615e	Druga fala uderzeniowa
zts616e	Trzecia fala uderzeniowa
zts617e	Strach przed smokiem
zts618e	Zastygniêcie w bezruchu wskutek ogromnego strachu przed smokiem.
zts619e	Szok wskutek z³ego l¹dowania
zts620e	Wprawia w stan szoku wskutek z³ego l¹dowania.
zts621e	D³ugotrwa³a fala uderzeniowa
zts622e	Wprawia przeciwnika w przewlek³y stan szoku.
zts623e	Gdy przeciwnik znajdzie siê w stanie zamroczenia lub zostanie zaatakowany, stan knockdown zostanie usuniêty. W kombinacji z umiejêtnoœci¹ "Egzekucja" przeciwnik otrzyma 20% dodatkowych obra¿eñ.
zts624e	Wydajnoœæ cia³a zwiêksza siê przez wzburzenie krwi.
zts625e	Westchnienie pokonanego zniechêca ciê przez pora¿kê. W kombinacji z umiejêtnoœci¹ "Egzekucja" otrzymujesz 40% dodatkowych obra¿eñ.
zts626e	P³on¹cy strumieñ lawy powoduje, ¿e przeciwnik szybko tê¿eje w twardniej¹cej lawie.
zts627e	Obrona broni¹
zts628e	Obrona przed atakiem przeciwnika za pomoc¹ dzia³a.
zts629e	P³on¹cy ogieñ piekielny
zts630e	Przeciwnik zostanie os³abiony za pomoc¹ p³on¹cego ognia piekielnego, a liczba jego P¯ nieustannie spada.
zts631e	Œmiertelne krwawienie punktowe
zts632e	B³ogos³awieñstwo sowy
zts633e	Odpornoœæ na wodê oraz si³a ataku zostaj¹ zwiêkszone.
zts634e	Halloweenowe b³ogos³awieñstwo
zts635e	Halloweenowe b³ogos³awieñstwo zwiêksza twoje PD o 10%.
zts636e	Drakula krwiopijca
zts637e	Dziêki niej wysysasz z przeciwnika P¯, a twoja energia ¿yciowa roœnie.
zts638e	B³ogos³awieñstwo Rudiego
zts639e	Zwiêksza efektywnoœæ przedmiotów do regeneracji oraz zwiêksza si³ê ataku przy atakach na potwory niskiego poziomu.
zts640e	B³ogos³awieñstwo kwiatu dŸwiêku
zts641e	To niezwyk³e b³ogos³awieñstwo zosta³o uzyskane dziêki wype³nieniu misji z Kwiatu DŸwiêku.
zts642e	Gor¹czka kwiatu dŸwiêku
zts643e	Tarcza Rudiego
zts644e	Niewidzialna tarcza Fafnira przez chwilê stanowi ochronê.
zts645e	Szlachetny gest
zts646e	Przejmujesz obra¿enia innego gracza.
zts648e	Duch zostaje uwolniony dziêki medytacji.
zts652e	Stan ten spowodowa³ powstanie wewnêtrznej rany.
zts655e	Pêtaj¹ca trauma
zts656e	Stan szoku wywo³any pchniêciem ostrza.
zts657e	Niedobór energii
zts658e	Z pewnym prawdopodobieñstwem zapobiega negatywnemu efektowi.
zts659e	Znaczny niedobór energii
zts660e	Krytyczny niedobór energii
zts661e	Syndrom Kundalini
zts662e	Ten stan znacznie ogranicza twoj¹ fizyczn¹ i duchow¹ energiê.
zts663e	Trauma
zts664e	Silna Trauma
zts665e	Krytyczna Trauma
zts666e	Duch poœwiêcenia
zts667e	Bañka wodna
zts668e	Otacza ciê bañka wodna, zapewniaj¹c ci ochronê przed atakami.
zts669e	Pieœñ syren
zts670e	Pieœñ syren powoduje utratê wszelkiej samokontroli.
zts671e	Ma³y wodospad
zts672e	Wodospad przyczynia siê do spowolnienia szybkoœci poruszania siê.
zts673e	Wodospad
zts674e	Du¿y wodospad
zts675e	Ma³y elektrowstrz¹s
zts676e	Elektrowstrz¹s powoduje chwilowy parali¿ wszystkiego.
zts677e	Elektrowstrz¹s
zts678e	Wielki elektrowstrz¹s
zts679e	Ciœnienie wodne
zts680e	Dziêki wysokiemu ciœnieniu wody wszystko jest przez chwilê sparali¿owane.
zts681e	B³ogos³awieñstwo oceanu
zts682e	B³ogos³awieñstwa œwiêtego oceanu chroni ciê przed obra¿eniami zadanymi przez przeciwnika.
zts683e	Gniew wikinga (F)
zts684e	Wybucha gniew wikinga.
zts685e	Gniew wikinga (E)
zts686e	Gniew wikinga (D)
zts687e	Gniew wikinga (C)
zts688e	Gniew wikinga (B)
zts689e	Gniew wikinga (A)
zts690e	Gniew wikinga (S)
zts691e	Strza³ niegrzecznego ch³opca (F)
zts692e	WywiedŸ w pole przeciwnika odwag¹ i mêstwem.
zts693e	Strza³ niegrzecznego ch³opca (E)
zts694e	Strza³ niegrzecznego ch³opca (D)
zts695e	Strza³ niegrzecznego ch³opca (C)
zts696e	Strza³ niegrzecznego ch³opca (B)
zts697e	Strza³ niegrzecznego ch³opca (A)
zts698e	Strza³ niegrzecznego ch³opca (S)
zts699e	Matczyna mi³oœæ (F)
zts700e	Mi³oœæ matczyna budzi silny instynkt opiekuñczy.
zts701e	Matczyna mi³oœæ (E)
zts702e	Matczyna mi³oœæ (D)
zts703e	Matczyna mi³oœæ (C)
zts704e	Matczyna mi³oœæ (B)
zts705e	Matczyna mi³oœæ (A)
zts706e	Matczyna mi³oœæ (S)
zts707e	Matczyna m¹droœæ (F)
zts708e	Kobieta jest s³aba, lecz matka jest silna.
zts709e	Matczyna m¹droœæ (E)
zts710e	Matczyna m¹droœæ (D)
zts711e	Matczyna m¹droœæ (C)
zts712e	Matczyna m¹droœæ (B)
zts713e	Matczyna m¹droœæ (A)
zts714e	Matczyna m¹droœæ (S)
zts715e	Silne krwawienie (F)
zts716e	Silne krwawienie (E)
zts717e	Silne krwawienie (D)
zts718e	Silne krwawienie (C)
zts719e	Silne krwawienie (B)
zts720e	Silne krwawienie (A)
zts721e	Silne krwawienie (S)
zts722e	ZapowiedŸ Freyi (F)
zts723e	ZapowiedŸ Freyi (E)
zts724e	ZapowiedŸ Freyi (D)
zts725e	ZapowiedŸ Freyi (C)
zts726e	ZapowiedŸ Freyi (B)
zts727e	ZapowiedŸ Freyi (A)
zts728e	ZapowiedŸ Freyi (S)
zts729e	Superprecyzyjny strza³ Wikinga (F)
zts730e	Superprecyzyjny strza³ Wikinga (E)
zts731e	Superprecyzyjny strza³ Wikinga (D)
zts732e	Superprecyzyjny strza³ Wikinga (C)
zts733e	Superprecyzyjny strza³ Wikinga (B)
zts734e	Superprecyzyjny strza³ Wikinga (A)
zts735e	Superprecyzyjny strza³ Wikinga (S)
zts736e	B³ogos³awieñstwo Leony
zts737e	B³ogos³awieñstwo Leony umo¿liwia efektowny atak.
zts738e	Specjalnoœæ Leony
zts739e	Specjalnoœæ Leony umo¿liwia ci skuteczny atak.
zts740e	Zwiêkszenie odpornoœci na ¿ywio³ wody i si³y ataku.
zts741e	B³ogos³awieñstwo Puszka K³êbuszka
zts742e	Twoja zdolnoœæ do walki zwiêksza siê dziêki b³ogos³awieñstwu Puszka K³êbuszka.
zts743e	Z handikapem
zts744e	Zmniejszenie si³y ataku przeciwnika.
zts746e	Duch oœwiecenia
zts747e	Duch powœci¹gliwoœci
zts748e	Duchowa moc
zts749e	Rana wewnêtrzna I stopnia
zts750e	Rana wewnêtrzna II stopnia
zts751e	Rana wewnêtrzna III stopnia
zts752e	Nic nie mo¿esz zrobiæ przy niedoborze energii.
zts753e	Ruchoma pu³apka
zts754e	Jeœli dosta³eœ siê w szpony ruchomej pu³apki, to przez chwilê nie mo¿esz siê poruszaæ.
zts755e	Œlepota
zts756e	Mg³a zmniejsza celnoœæ i opóŸnia czas dzia³ania twojego magicznego ataku.
zts757e	Zasadzka
zts758e	Stañ na czatach i czekaj na odpowiedni¹ chwilê, aby zaatakowaæ.
zts759e	Napad z zasadzki
zts760e	Zaatakuj przeciwnika z zasadzki.
zts761e	Witalnoœæ
zts762e	Wzmocnij swoj¹ witalnoœæ za pomoc¹ energii lasu.
zts763e	Zasadzka - pozycja 1
zts764e	Dziêki prawie bezszelestnemu ruchowi mo¿esz szybko zadaæ cios i zaatakowaæ.
zts765e	Zasadzka - pozycja 2
zts766e	Snajper - pozycja 1
zts767e	ZnajdŸ w³aœciw¹ pozycjê na atak snajpera. Pozycja mo¿liwa równie¿ z zasadzki.
zts768e	Snajper - pozycja 2
zts769e	Strza³ w g³owê
zts770e	Na skutek zadania skutecznego strza³u w g³owê cel doznaje szoku.
zts771e	Zasadzka - przygotowanie 1
zts772e	Przygotowanie na skuteczny atak z zasadzki.
zts773e	Zasadzka - przygotowanie 2
zts774e	Wieczny lód
zts775e	Zosta³eœ uwiêziony w wiecznym lodzie i przez pewien czas nic nie mo¿esz zrobiæ.
zts776e	G³oœny ryk
zts777e	G³oœny ryk wywo³uje przez krótki czas stan s³aboœci.
zts778e	Stê¿enie Mandry
zts779e	Stê¿enie Mandry wywo³uje przejœciow¹ niemo¿noœæ kontroli nerwów.
zts780e	S³aba trucizna Mandry
zts781e	Trucizna Mandry atakuje w powa¿nym stopniu system nerwowy.
zts782e	Trucizna Mandry
zts783e	Silna trucizna Mandry
zts784e	Œmiertelna trucizna Mandry
zts785e	Szybki unik
zts786e	Robisz szybki obrót i dziêki temu unikasz ciosu.
zts787e	Na celowniku snajpera
zts788e	Doznajesz powa¿nych obra¿eñ na skutek ataku snajpera.
zts789e	Sokole oko
zts790e	Sokole oko umo¿liwia bardzo dok³adny atak na odleg³y cel.
zts791e	Ryk bestii
zts792e	Ryk wzmacnia si³ê ataku bestii.
zts793e	Furia bestii
zts794e	Glacerus szaleje.
zts795e	Czêœæ otrzymanych obra¿eñ przechodzi na innego gracza.
zts796e	Wprawdzie przejmujesz obra¿enia innego gracza, ale za to zwiêksza siê twoja si³a obrony.
zts797e	B³ogos³awieñstwo lisa
zts798e	B³ogos³awieñstwo lisa zwiêksza odpornoœæ na ¿ywio³ ognia.
zts799e	Pieœñ syren (PvP)
zts800e	Faza 1: Odrodzenie areny dru¿ynowej
zts801e	Podczas odrodzenia/fazy 1 na pewien czas zwiêksza siê umiejêtnoœæ prze¿ycia.
zts802e	Faza 2: Odrodzenie areny dru¿ynowej
zts803e	Podczas odrodzenia/fazy 2 na pewien czas zwiêksza siê si³a ataku.
zts804e	Faza 3: Odrodzenie areny dru¿ynowej
zts805e	Podczas odrodzenia/fazy 3 na pewien czas zwiêksza siê umiejêtnoœæ prze¿ycia, si³a ataku oraz szybkoœæ poruszania siê.
zts806e	S³aba kombinacja
zts807e	Mocna kombinacja
zts808e	Zwiêkszenie si³y ataku na arenie dru¿ynowej.
zts809e	Zwiêkszenie si³y obrony na arenie dru¿ynowej.
zts810e	Zwiêkszenie energii na arenie dru¿ynowej.
zts811e	Zwiêkszenie prêdkoœci poruszania siê na arenie dru¿ynowej.
zts812e	Spostrzegawczoœæ
zts813e	Spostrzegawczoœæ ujawnia na krótki czas ukryt¹ postaæ.
zts814e	Jeœli wszyscy cz³onkowie dru¿yny nale¿¹ do tej samej klasy, tworz¹ oni s³ab¹ kombinacjê.
zts815e	Jeœli wszyscy cz³onkowie dru¿yny nale¿¹ do ró¿nych klas, tworz¹ oni mocn¹ kombinacjê.
zts816e	Na krótki czas zwiêkszona zostaje szybkoœæ poruszania siê.
zts817e	Bomba wodna
zts819e	Marynarskie b³ogos³awieñstwo
zts820e	Zwiêkszenie si³y obrony i odpornoœci na wodê.
zts821e	B³ogos³awieñstwo Erenii
zts822e	B³ogos³awieñstwo Erenii uodparnia ciê na wszystkie negatywne efekty z prawdopodobieñstwem 50%.
zts823e	B³ogos³awieñstwo Zenas
zts824e	B³ogos³awieñstwo zenas odbija otrzymane obra¿enia. Ty jednak nie mo¿esz siê poruszaæ ani atakowaæ.
zts825e	Astralna energia
zts826e	Astralna energia szybko uzupe³nia twoje PM.
zts827e	Czapka kamufla¿u
zts828e	Masz znakomity kamufla¿, nikt nie jest w stanie ciê rozpoznaæ.
zts829e	Rewan¿
zts830e	Przez krótki moment mo¿esz siê b³yskawicznie poruszaæ.
zts832e	U¿ycie bomby wodnej zmniejsza si³ê ataku i odpornoœæ na wodê.
zts835e	Zwiêkszenie punktów doœwiadczenia twojej wró¿ki
zts836e	Liczba zdobywanych punktów doœwiadczenia twojej wró¿ki zostaje zwiêkszona.
zts837e	Mg³a
zts838e	Zamglony
zts841e	Skrzyd³a tytana
zts842e	Wzmocnienie tytana
zts843e	Bieg ciemnoœci (F)
zts844e	Zwiêksza si³ê ¿ywio³u mroku.
zts845e	Bieg ciemnoœci (E)
zts846e	Bieg ciemnoœci (D)
zts847e	Bieg ciemnoœci (C)
zts848e	Bieg ciemnoœci (B)
zts849e	Bieg ciemnoœci (A)
zts850e	Bieg ciemnoœci (S)
zts851e	Fascynacja (F)
zts852e	Wywo³uje stan zwabienia.
zts853e	Fascynacja (E)
zts854e	Fascynacja (D)
zts855e	Fascynacja (C)
zts856e	Fascynacja (B)
zts857e	Fascynacja (A)
zts858e	Fascynacja (S)
zts859e	Potêga ciemnoœci (F)
zts860e	Rozbudza wszechmocn¹ niszczycielsk¹ si³ê.
zts861e	Potêga ciemnoœci (E)
zts862e	Potêga ciemnoœci (D)
zts863e	Potêga ciemnoœci (C)
zts864e	Potêga ciemnoœci (B)
zts865e	Potêga ciemnoœci (A)
zts866e	Potêga ciemnoœci (S)
zts867e	Wabik (F)
zts868e	Postaæ nara¿ona na zwabienie przez przeciwnika.
zts869e	Wabik (E)
zts870e	Wabik (D)
zts871e	Wabik (C)
zts872e	Wabik (B)
zts873e	Wabik (A)
zts874e	Wabik (S)
zts875e	Z³oœliwoœæ (F)
zts876e	W mgnieniu oka za³atwia przeciwnika.
zts877e	Z³oœliwoœæ (E)
zts878e	Z³oœliwoœæ (D)
zts879e	Z³oœliwoœæ (C)
zts880e	Z³oœliwoœæ (B)
zts881e	Z³oœliwoœæ (A)
zts882e	Z³oœliwoœæ (S)
zts883e	Szkic (F)
zts884e	W stanie milczenia.
zts885e	Szkic (E)
zts886e	Szkic (D)
zts887e	Szkic (C)
zts888e	Szkic (B)
zts889e	Szkic (A)
zts890e	Szkic (S)
zts891e	Taniec p³omieni (F)
zts892e	Zmniejsza odpornoœæ przeciwnika.
zts893e	Taniec p³omieni (E)
zts894e	Taniec p³omieni (D)
zts895e	Taniec p³omieni (C)
zts896e	Taniec p³omieni (B)
zts897e	Taniec p³omieni (A)
zts898e	Taniec p³omieni (S)
zts899e	Czarodziejski rewolwer
zts900e	Wzmacnia ¿ywio³ œwiat³a i przywraca P¯.
zts901e	B³ogos³awieñstwo kowboja
zts902e	Zwiêksza odpornoœæ na ¿ywio³ œwiat³a.
zts903e	Koñ trojañski
zts904e	Przywo³uje konia trojañskiego do ataku na wielu wrogów na raz.
zts905e	B³ogos³awieñstwo ninja
zts906e	Zwiêksza odpornoœæ na ¿ywio³ mroku.
zts907e	Skrzyd³a archanio³a
zts908e	Skrzyd³a arcydemona
zts909e	S³abe boskie uderzenie
zts910e	Boski los
zts911e	Boskie uderzenie
zts912e	Silne boskie uderzenie
zts913e	Potê¿ne boskie uderzenie
zts914e	Zamêt
zts915e	Zadaje przeciwnikowi obra¿enia w formie erozji umys³u.
zts916e	Zbroja ciemnoœci
zts917e	Umo¿liwia krótkotrwa³¹ ucieczkê przed niebezpieczeñstwem.
zts918e	S³aba mroczna energia
zts919e	Zadaje obra¿enia od mrocznej energii wewn¹trz cia³a.
zts920e	Mroczna energia
zts921e	Silna mroczna energia
zts922e	Rêce kl¹twy
zts923e	Otrzymuje potê¿ne obra¿enia z r¹k kl¹twy.
zts924e	Iluzja
zts925e	Iluzja wywo³uje uczucie strachu i rozczarowania.
zts926e	Mentalna absorpcja
zts927e	Mentalna absorpcja mo¿liwa jest poprzez wyæwiczenie umiejêtnoœci krótkotrwa³ej samohipnozy.
zts928e	Silna pró¿nia czasowa
zts929e	Zatrzymuje przeciwnika poprzez kontrolê jego poczucia czasu.
zts930e	Pró¿nia czasowa
zts931e	£agodna pró¿nia czasowa
zts932e	Silne ko³o fortuny
zts933e	Wywo³uje pozytywny efekt poprzez zak³ócenie poczucia czasu u przeciwnika.
zts934e	Ko³o fortuny
zts935e	£agodne ko³o fortuny
zts936e	Konwerter ostrza
zts937e	Konwerter ostrza redukuje wydajnoœæ przedmiotów uleczaj¹cych.
zts938e	Duchowa absorpcja
zts939e	Duchowa absorpcja umo¿liwia wch³oniêcie wyssanych duchów.
zts940e	Znak œmierci
zts941e	Zadaje dodatkowe obra¿enia osobie nosz¹cej ten znak i wystawionej na dzia³anie [Duchowego rozszczepienia].
zts942e	Uwolnienie duchów
zts943e	Uwolnienie duchów oswabadza wch³oniête duchy i zmniejsza czas odnowy umiejêtnoœci.
zts944e	Silne uwolnienie duchów
zts945e	Ultymatywny pancerz
zts946e	Ultymatywny pancerz zwiêksza obronê i pomaga oprzeæ siê wymuszonym ruchom.
zts947e	S³aby duch furii
zts948e	Rozniecona przez ducha furii z³oœæ zwiêksza si³ê.
zts949e	Duch furii
zts950e	Silny duch furii
zts951e	Opêtanie
zts952e	Opêtanie zadaje obra¿enia podczas trwania efektu, a nastêpnie przenosi efekt na przeciwnika, stoj¹cego najbli¿ej pierwszego celu.
zts953e	Wahad³o grozy
zts954e	Na moment zwiêksza zdolnoœci obronne.
zts955e	Silne opêtanie
zts956e	Zostaje gospodarzem i otrzymuje obra¿enia podczas trwania efektu. Efekt przenosi siê na przeciwników w pobli¿u po tym, jak zakoñczy siê czas jego trwania na gospodarzu.
zts957e	Efekt przenoszony przez gospodarza. Podczas trwania efektu bez przerwy otrzymujesz obra¿enia.
zts958e	Œwiat³o Sarakaela
zts959e	Potêga Sarakaela zosta³a umocniona.
zts960e	Gorej¹ce skrzyd³a p³omieni
zts961e	Lodowate skrzyd³a mrozu
zts963e	B³ogos³awieñstwo Indianina
zts964e	Zwiêksza odpornoœæ na ¿ywio³ ognia i zmniejsza otrzymywane obra¿enia krytyczne.
zts965e	Wiêzy krwi Apaczów
zts966e	Wzmacniaj¹ ¿ywio³ ognia i dopiekaj¹ jednoczeœnie wielu przeciwnikom w pobli¿u.
zts967e	Urok Foxy
zts968e	Ca³kowicie mimowolny i spokojny na skutek dzia³ania uroku Foxy.
zts969e	Czerwona buteleczka
zts970e	W tej filigranowej flaszce kryje siê wyj¹tkowy efekt specjalny.
zts971e	Ulec urokowi (F)
zts972e	Foxy zawróci ka¿demu w g³owie, bo jest s³odka i urocza.
zts973e	Ulec urokowi (E)
zts974e	Ulec urokowi (D)
zts975e	Ulec urokowi (C)
zts976e	Ulec urokowi (B)
zts977e	Ulec urokowi (A)
zts978e	Ulec urokowi (S)
zts979e	Puszysty ogonek (F)
zts980e	Dziewiêæ puszystych ogonków, które s¹ taaakie miêciutkie.
zts981e	Puszysty ogonek (E)
zts982e	Puszysty ogonek (D)
zts983e	Puszysty ogonek (C)
zts984e	Puszysty ogonek (B)
zts985e	Puszysty ogonek (A)
zts986e	Puszysty ogonek (S)
zts987e	Przenikliwe zawodzenie (F)
zts988e	Przenikliwe i g³oœne zawodzenie lisicy Foxy.
zts989e	Przenikliwe zawodzenie (E)
zts990e	Przenikliwe zawodzenie (D)
zts991e	Przenikliwe zawodzenie (C)
zts992e	Przenikliwe zawodzenie (B)
zts993e	Przenikliwe zawodzenie (A)
zts994e	Przenikliwe zawodzenie (S)
zts995e	B³ogos³awieñstwo Odina
zts996e	Zwiêksza odpornoœæ na ¿ywio³ wody, zmniejsza czas odnowy umiejêtnoœci i co pewien czas odnawia PM.
zts997e	Z³oœæ Odina
zts998e	Zwiêksza odpornoœæ na negatywne efekty oraz obra¿enia od ataku.
zts999e	Panowanie tygrysa
zts1000e	Tygrys powstaje.
zts1001e	Zmniejsza szybkoœæ poruszania siê.
zts1002e	Olej sezamowy
zts1003e	Stary olej sezamowy
zts1004e	Szaleñstwo
zts1005e	Czuje zawroty g³owy.
zts1006e	Znaczna utrata krwi (F)
zts1007e	Nast¹pi³a znaczna utrata krwi.
zts1008e	Znaczna utrata krwi (E)
zts1009e	Znaczna utrata krwi (D)
zts1010e	Znaczna utrata krwi (C)
zts1011e	Znaczna utrata krwi (B)
zts1012e	Znaczna utrata krwi (A)
zts1013e	Znaczna utrata krwi (S)
zts1014e	Szkwa³y potworów (F)
zts1015e	Spodnie wiatru tygrysa nie maj¹ wp³ywu na potwory lub postacie wysokiego poziomu.
zts1016e	Szkwa³y potworów (E)
zts1017e	Szkwa³y potworów (D)
zts1018e	Szkwa³y potworów (C)
zts1019e	Szkwa³y potworów (B)
zts1020e	Szkwa³y potworów (A)
zts1021e	Szkwa³y potworów (S)
zts1022e	Panowanie tygrysa (F)
zts1023e	Tygrys powstaje.
zts1024e	Panowanie tygrysa (E)
zts1025e	Panowanie tygrysa (D)
zts1026e	Panowanie tygrysa (C)
zts1027e	Panowanie tygrysa (B)
zts1028e	Panowanie tygrysa (A)
zts1029e	Panowanie tygrysa (S)
zts1030e	Zrêczna r¹czka
zts1031e	Z ka¿dym atakiem zadaje cios krytyczny podczas trwania efektu.
zts1033e	Czerwona zupa fasolowa
zts1034e	Mój skarb, twój skarb
zts1035e	Cheongbi i Hongbi staj¹ siê silniejsi, gdy s¹ razem.
zts1036e	Diabelskie b³ogos³awieñstwo
zts1037e	Otrzymuje niedoskona³e b³ogos³awieñstwo.
zts1038e	Cierniogon
zts1039e	Przeklêta magia Laureny unieruchamia cel kolcami.
zts1040e	Zapach kl¹twy (Robak)
zts1041e	Przeklêta magia Laureny przemienia cel w robaka.
zts1042e	Zapach kl¹twy (Szczur)
zts1043e	Przeklêta magia Laureny przekszta³ca cel w szczura.
zts1044e	Kolczasta maczuga (F)
zts1045e	Uwaga, strasznie boli!
zts1046e	Kolczasta maczuga (E)
zts1047e	Kolczasta maczuga (D)
zts1048e	Kolczasta maczuga (C)
zts1049e	Kolczasta maczuga (B)
zts1050e	Kolczasta maczuga (A)
zts1051e	Kolczasta maczuga (S)
zts1052e	Klon diabe³ka (F)
zts1053e	Przywo³uje agresywnego klona diabe³ka.
zts1054e	Klon diabe³ka (E)
zts1055e	Klon diabe³ka (D)
zts1056e	Klon diabe³ka (C)
zts1057e	Klon diabe³ka (B)
zts1058e	Klon diabe³ka (A)
zts1059e	Klon diabe³ka (S)
zts1060e	Kapelusz diabe³ka (F)
zts1061e	U¿ywa sztuczki diabe³ka, umo¿liwiaj¹cej rozp³ywanie siê w powietrzu.
zts1062e	Kapelusz diabe³ka (E)
zts1063e	Kapelusz diabe³ka (D)
zts1064e	Kapelusz diabe³ka (C)
zts1065e	Kapelusz diabe³ka (B)
zts1066e	Kapelusz diabe³ka (A)
zts1067e	Kapelusz diabe³ka (S)
zts1068e	Jaœniej¹cy wyrok (F)
zts1069e	Ukarz wroga za pomoc¹ jasnego œwiat³a.
zts1070e	Jaœniej¹cy wyrok (E)
zts1071e	Jaœniej¹cy wyrok (D)
zts1072e	Jaœniej¹cy wyrok (C)
zts1073e	Jaœniej¹cy wyrok (B)
zts1074e	Jaœniej¹cy wyrok (A)
zts1075e	Jaœniej¹cy wyrok (S)
zts1076e	Znak œwiat³a (F)
zts1077e	Znak, który bardzo jasno œwieci.
zts1078e	Znak œwiat³a (E)
zts1079e	Znak œwiat³a (D)
zts1080e	Znak œwiat³a (C)
zts1081e	Znak œwiat³a (B)
zts1082e	Znak œwiat³a (A)
zts1083e	Znak œwiat³a (S)
zts1084e	W Imiê Boga (F)
zts1085e	Boska moc os³abiaj¹ca wroga.
zts1086e	W Imiê Boga (E)
zts1087e	W Imiê Boga (D)
zts1088e	W Imiê Boga (C)
zts1089e	W Imiê Boga (B)
zts1090e	W Imiê Boga (A)
zts1091e	W Imiê Boga (S)
zts1092e	Energia oczyszczenia
zts1093e	Dzia³anie proszku wprowadza koszmarny nastrój.
zts1094e	Koszmarny nastrój
zts1095e	Potêga wiedŸmy Laureny wysysa ¿yciow¹ moc.
zts1096e	Zapach kl¹twy (Krzakogon)
zts1097e	Przeklêta magiczna moc Laureny zamienia cel w krzakogona.
zts1098e	Czarodziejskie okowy
zts1099e	W przypadku wrogiego ataku umo¿liwia u¿ycie umiejêtnoœci przeciwnika przypisanych do konkretnego ¿ywio³u.
zts1100e	P³omieñ
zts1101e	Energia ognia
zts1102e	Lód
zts1103e	Energia wody
zts1104e	Aureola
zts1105e	Energia œwiat³a
zts1106e	Bez ¿ywio³u
zts1107e	Neutralna energia
zts1108e	Zaæmienie
zts1109e	Pas do wyprzedzania 1
zts1110e	W razie ataku efekt zostanie usuniêty i zadasz dodatkowe obra¿enia.
zts1111e	Pas do wyprzedzania 2
zts1112e	Pas do wyprzedzania 3
zts1113e	Czarodziejskie zaklêcie
