zts1e	Effetto Generale
zts625e	Il Sospiro del perdente ti scoraggia attraverso una sconfitta. In combinazione con l'abilità "Esecuzione" ottieni un danno ulteriore del 40%.
zts626e	La Colata di lava ardente opera in questo modo: l'avversario ha un'altissima possibilità di pietrificarsi.
zts627e	Difesa con arma
zts628e	Difendersi con i cannoni dagli attacchi dell'avversario.
zts629e	Ardente fuoco infernale
zts630e	L'avversario si debilita attraverso l'Ardente fuoco infernale e gli HP scendono ininterrottamente.
zts631e	Punto sanguinante fatale
zts632e	Benedizione della civetta
zts633e	La resistenza all'acqua e la forza di attacco aumentano.
zts634e	Benedizione di Halloween
zts635e	La Benedizione di Halloween aumenta i tuoi XP del 10%.
zts636e	Dracula vampiro
zts637e	In questo modo potrai succhiare HP al tuo avversario e la tua resistenza aumenta.
zts638e	Benedizione di Rudi
zts639e	Accresce l'efficacia degli item di recupero e aumenta la forza di attacco contro mostri di livello inferiore.
zts640e	Benedizione del Fiore del suono
zts641e	Riceverai questa benedizione dopo aver terminato la quest del Fiore del suono.
zts642e	Febbre del Fiore del suono
zts643e	Scudo di Rudi
zts644e	Lo scudo invisibile di Rudi ti fornisce una temporanea protezione.
zts645e	Gesto nobile
zts646e	Incassi il danno al posto del tuo compagno di gioco.
zts648e	Lo spirito viene liberato attraverso la meditazione.
zts652e	Le condizioni hanno causato una ferita interna.
zts655e	Un trauma inchiodante
zts656e	Uno stato di shock provocato dall'introduzione di una lama.
zts657e	Mancanza di energia
zts658e	Evita un effetto negativo con una certa probabilità.
zts659e	Grossa mancanza di energia
zts660e	Mancanza di energia critica
zts661e	Sindrome di Kundalini
zts662e	Questo stato riduce drasticamente le tue energie fisiche e mentali.
zts663e	Trauma
zts664e	Forte trauma
zts665e	Trauma critico
zts666e	Spirito del sacrificio
zts667e	Bolla d'acqua
zts668e	La bolla d'acqua ti avvolge e ti protegge dagli attacchi.
zts669e	Il Canto delle sirene
zts670e	Il Canto delle sirene fa perdere ogni forma di autocontrollo.
zts671e	Piccola cascata
zts672e	La velocità di movimento si rallenta attraverso la cascata.
zts673e	Cascata
zts674e	Cascata grande
zts675e	Piccolo elettroshock
zts676e	Attraverso l'elettroshock si paralizza tutto per un momento.
zts677e	Elettroshock
zts678e	Grosso elettroshock
zts679e	Pressione dell'acqua
zts680e	Con l'alta pressione si blocca tutto per un frangente.
zts681e	Benedizione dell'oceano
zts682e	Protegge da danni causati dall'avversario attraverso la Benedizione del sacro mare.
zts683e	Collera del vichingo (F)
zts684e	La collera del vichingo esplode.
zts685e	Collera del vichingo (E)
zts686e	Collera del vichingo (D)
zts687e	Collera del vichingo (C)
zts688e	Collera del vichingo (B)
zts689e	Collera del vichingo (A)
zts690e	Collera del vichingo (S)
zts691e	Colpo del cattivo ragazzo (F)
zts692e	Inganna l'avversario con valore e coraggio.
zts693e	Colpo del cattivo ragazzo (E)
zts694e	Colpo del cattivo ragazzo (D)
zts695e	Colpo del cattivo ragazzo (C)
zts696e	Colpo del cattivo ragazzo (B)
zts697e	Colpo del cattivo ragazzo (A)
zts698e	Colpo del cattivo ragazzo (S)
zts699e	Amore materno (F)
zts700e	L’amore materno risveglia un forte istinto di protezione.
zts701e	Amore materno (E)
zts702e	Amore materno (D)
zts703e	Amore materno (C)
zts704e	Amore materno (B)
zts705e	Amore materno (A)
zts706e	Amore materno (S)
zts707e	Saggezza della madre (F)
zts708e	Le donne sono forti, ma le madri lo sono ancora di più.
zts709e	Saggezza della madre (E)
zts710e	Saggezza della madre (D)
zts711e	Saggezza della madre (C)
zts712e	Saggezza della madre (B)
zts713e	Saggezza della madre (A)
zts714e	Saggezza della madre (S)
zts715e	Sanguinamento grave (F)
zts716e	Sanguinamento grave (E)
zts717e	Sanguinamento grave (D)
zts718e	Sanguinamento grave (C)
zts719e	Sanguinamento grave (B)
zts720e	Sanguinamento grave (A)
zts721e	Sanguinamento grave (S)
zts722e	Annuncio di Freya (F)
zts723e	Annuncio di Freya (E)
zts724e	Annuncio di Freya (D)
zts725e	Annuncio di Freya (C)
zts726e	Annuncio di Freya (B)
zts727e	Annuncio di Freya (A)
zts728e	Annuncio di Freya (S)
zts729e	Tiro ultrapreciso da vichingo (F)
zts730e	Tiro ultrapreciso da vichingo (E)
zts731e	Tiro ultrapreciso da vichingo (D)
zts732e	Tiro ultrapreciso da vichingo (C)
zts733e	Tiro ultrapreciso da vichingo (B)
zts734e	Tiro ultrapreciso da vichingo (A)
zts735e	Tiro ultrapreciso da vichingo (S)
zts736e	Benedizione di Leona
zts737e	La Benedizione di Leona rende possibile un attacco efficiente.
zts738e	La specialità di Leona
zts739e	La specialità di Leona rende il tuo attacco più efficace.
zts740e	Aumentano la resistenza contro l'elemento acqua e la forza d'attacco.
zts741e	Benedizione di Bally morbidoso
zts742e	L'abilità di combattimento aumenta grazie alla Benedizione di Bally morbidoso.
zts743e	Disabile
zts744e	La potenza d'attacco dell'avversario verrà ridotta.
zts746e	Spirito della delucidazione
zts747e	Spirito della sobrietà
zts748e	Forza spirituale
zts749e	Ferita interna grado 1
zts750e	Ferita interna grado 2
zts751e	Ferita interna grado 3
zts752e	In caso di mancanza di energia non si può fare nulla.
zts753e	Trappola mobile
zts754e	Se ti acchiappa la trappola mobile non potrai muoverti per un momento.
zts755e	Accecato
zts756e	La nebbia riduce l'HitRate e ritarda la durata dell'effetto del tuo attacco magico.
zts757e	Appostamento
zts758e	Stai in agguato e aspetta il momento giusto per attaccare.
zts759e	Imboscata
zts760e	Effettua un attacco mirato all'avversario.
zts761e	Forza vitale
zts762e	Rinforza la tua forza vitale attraverso l'energia del bosco.
zts763e	Appostamento - posizione 1
zts764e	Attraverso un movimento quasi silente puoi colpire rapidamente e attaccare.
zts765e	Appostamento - posizione 2
zts766e	Tiratore - posizione 1
zts767e	Trova la giusta posizione per il tiratore. Cioè è possibile anche dall'appostamento.
zts768e	Tiratore - posizione 2
zts769e	Colpo alla testa
zts770e	L'obiettivo ha uno shock causato dal colpo molto efficace.
zts771e	Appostamento - preparazione 1
zts772e	La preparazione di un attacco è efficace anche dall'appostamento.
zts773e	Appostamento - preparazione 2
zts774e	Ghiaccio eterno
zts775e	Sei stato intrappolato nel ghiaccio eterno e per il momento non puoi fare nulla.
zts776e	Un barrito violento
zts777e	Per breve tempo si stabilisce uno stato di debolezza a causa di un violento barrito.
zts778e	Narcosi Mandra
zts779e	I nervi sono momentaneamente incontrollabili a causa di una .
zts780e	Veleno Mandra leggero
zts781e	Il veleno Mandra indebolisce i nervi in maniera considerevole.
zts782e	Veleno Mandra
zts783e	Veleno Mandra forte
zts784e	Veleno Mandra letale
zts785e	Schiva velocemente
zts786e	Schivare un attacco attraverso un giro veloce.
zts787e	Nel mirino del tiratore
zts788e	Subisci gravi danni attraverso l'attacco del tiratore.
zts789e	Occhio d'aquila
zts790e	L'occhio d'aquila consente di effettuare un attacco preciso anche su un avversario lontano.
zts791e	Barrito della bestia
zts792e	La forza d'attacco aumenta attraverso il barrito della bestia.
zts793e	Furia della bestia
zts794e	Glacerus è fuori di sé.
zts795e	Una parte del danno ricevuto verrà trasferito su un tuo compagno di gioco.
zts796e	Ricevi il danno al posto del tuo compagno di gioco e in questo modo aumenta la tua difesa.
zts797e	Benedizione della volpe
zts798e	La Benedizione della volpe aumenta la resistenza contro l'elemento di fuoco.
zts799e	Il Canto delle sirene (PvP)
zts800e	Fase 1: resurrezione dell'Arena dei Team
zts801e	Durante la resurrezione/fase 1, le capacità di sopravvivenza sono incrementate per un certo periodo di tempo.
zts802e	Fase 2: resurrezione dell'Arena dei Team
zts803e	Durante la resurrezione/fase 2, la potenza d'attacco viene incrementata per un certo periodo di tempo.
zts804e	Fase 3: resurrezione dell'Arena dei Team
zts805e	Durante la resurrezione/fase 3, le capacità di sopravvivenza, la potenza d'attacco e la velocità di movimento vengono incrementate per un certo periodo di tempo.
zts806e	Combinazione debole
zts807e	Combinazione forte
zts808e	La potenza d'attacco dell'Arena dei Team è stata incrementata.
zts809e	La potenza difensiva dell'Arena dei Team è stata incrementata.
zts810e	L'energia dell'Arena dei Team è stata incrementata.
zts811e	La velocità di movimento dell'Arena dei Team è stata incrementata.
zts812e	Chiaroveggenza
zts813e	Con la chiaroveggenza puoi vedere per un breve periodo un personaggio nascosto.
zts814e	Quando i membri di un team appartengono tutti alla stessa classe, la combinazione risulterà debole.
zts815e	Quando i membri di un team appartengono tutti ad una classe differente, la combinazione risulterà forte.
zts816e	La velocità di movimento è stata incrementata per un breve periodo.
zts817e	Bomba idrica
zts819e	Benedizione della marina
zts820e	Aumentano la difesa e la resistenza all'acqua.
zts821e	Benedizione di Erenia
zts822e	Ci sono il 50% di probabilità che la benedizione di Erenia ti renda resistente a qualsiasi effetto negativo.
zts823e	Benedizione Zenas
zts824e	La Benedizione di Zenas respinge il danno subito ma ti impedisce di muoverti e di attaccare.
zts825e	Energia astrale
zts826e	L'energia astrale ti permette di ripristinare velocemente i tuoi MP.
zts827e	Berretto mimetico
zts828e	Mimetizzazione perfetta. Nessuno ti riconoscerà.
zts829e	Rivincita
zts830e	Per un breve periodo potrai muoverti in modo fulmineo.
zts832e	Attraverso la bomba idrica, l'attacco e la resistenza all'acqua diminuiscono.
zts835e	Incremento dei punti esperienza della tua Fata
zts836e	La quantità di punti esperienza della tua Fata è aumentata.
zts837e	Smog
zts838e	Annebbiato
zts841e	Ali da titano
zts842e	Rafforzamento titano
zts843e	Corsa dell'oscurità  (F)
zts844e	Aumenta il potere dell'elemento ombra.
zts845e	Corsa dell'oscurità (E)
zts846e	Corsa dell'oscurità  (D)
zts847e	Corsa dell'oscurità (C)
zts848e	Corsa dell'oscurità (B)
zts849e	Corsa dell'oscurità (A)
zts850e	Corsa dell'oscurità (S)
zts851e	Fascino (F)
zts852e	Innesca uno stato di tentazione.
zts853e	Fascino (E)
zts854e	Fascino (D)
zts855e	Fascino (C)
zts856e	Fascino (B)
zts857e	Fascino (A)
zts858e	Fascino (S)
zts859e	Potere dell'oscurità (F)
zts860e	Scatena un potere onnipotente di distruzione.
zts861e	Potere dell'oscurità (E)
zts862e	Potere dell'oscurità (D)
zts863e	Potere dell'oscurità (C)
zts864e	Potere dell'oscurità (B)
zts865e	Potere dell'oscurità (A)
zts866e	Potere dell'oscurità (S)
zts867e	Tentazione (F)
zts868e	Sei soggetto alla tentazione dell'avversario.
zts869e	Tentazione (E)
zts870e	Tentazione (D)
zts871e	Tentazione (C)
zts872e	Tentazione (B)
zts873e	Tentazione (A)
zts874e	Tentazione (S)
zts875e	Cattiveria (F)
zts876e	Elimina l'avversario in un lampo.
zts877e	Cattiveria (E)
zts878e	Cattiveria (D)
zts879e	Cattiveria (C)
zts880e	Cattiveria (B)
zts881e	Cattiveria (A)
zts882e	Cattiveria (S)
zts883e	Segnato (F)
zts884e	Sei in uno stato di silenzio.
zts885e	Segnato (E)
zts886e	Segnato (D)
zts887e	Segnato (C)
zts888e	Segnato (B)
zts889e	Segnato (A)
zts890e	Segnato (S)
zts891e	Danza delle fiamme (F)
zts892e	Riduce la resistenza dell'avversario.
zts893e	Danza delle fiamme (E)
zts894e	Danza delle fiamme (D)
zts895e	Danza delle fiamme (C)
zts896e	Danza delle fiamme (B)
zts897e	Danza delle fiamme (A)
zts898e	Danza delle fiamme (S)
zts899e	Pistola magica
zts900e	Potenzia l'elemento luce e ricarica gli HP.
zts901e	Benedizione del cowboy
zts902e	Aumenta la resistenza contro l'elemento luce.
zts903e	Cavallo di Troia
zts904e	Evoca un cavallo di Troia per attaccare numerosi avversari.
zts905e	Benedizione del ninja
zts906e	Aumenta la resistenza contro l'elemento ombra.
zts907e	Ali d'arcangelo
zts908e	Ali d'arcidemone
zts909e	Colpo di Dio debole
zts910e	Destrezza di Dio
zts911e	Colpo di Dio
zts912e	Colpo di Dio potente
zts913e	Colpo di Dio pesante
zts914e	Pandemonio
zts915e	Provoca danni nell'avversario annientandone l'intelligenza.
zts916e	Armatura dell'oscurità
zts917e	Abilita a brevi fughe dal pericolo.
zts918e	Energia oscura debole
zts919e	Provoca danni all'interno del corpo attraverso un'Energia oscura.
zts920e	Energia oscura
zts921e	Energia oscura potente
zts922e	Mani della maledizione
zts923e	Riceve un danno pesante attraverso le Mani della maledizione.
zts924e	Illusione
zts925e	L'Illusione porta a intimidire e ingannare.
zts926e	Vortice di pensieri
zts927e	Un Vortice di pensieri è possibile se si esercita per breve tempo l'autoipnosi.
zts928e	Revoca del tempo potente
zts929e	Fa perdere all'avversario la cognizione del tempo.
zts930e	Revoca del tempo
zts931e	Revoca del tempo leggera
zts932e	Ruota della fortuna potente
zts933e	Ha un effetto positivo facendo perdere all'avversario la cognizione del tempo.
zts934e	Ruota della fortuna
zts935e	Ruota della fortuna leggera
zts936e	Trasformatore di lame
zts937e	Il Trasformatore di lame riduce l'effetto degli oggetti usati per la guarigione.
zts938e	Assorbimento dello spirito
zts939e	L'Assorbimento dello spirito rende possibile l'accoglienza degli spiriti assorbiti.
zts940e	Segno di morte
zts941e	Provoca ulteriore danno in colui che porta questo Segno di morte e che sia esposto alla [Scissione dello spirito].
zts942e	Liberazione degli spiriti
zts943e	La Liberazione degli spiriti rilascia gli spiriti assorbiti e diminuisce il Tempo di ricarica dell'abilità.
zts944e	Liberazione degli spiriti potente
zts945e	Corazza ultimativa
zts946e	La Corazza ultimativa aumenta la difesa e aiuta a fronteggiare il movimento forzato.
zts947e	Spirito debole della rabbia
zts948e	L'ira scatenata dallo Spirito della rabbia aumenta la forza.
zts949e	Spirito della rabbia
zts950e	Spirito potente della rabbia
zts951e	Posseduto
zts952e	L'essere posseduto provoca danni mentre l'effetto è in corso e trasmette l'effetto sull'avversario che si ha come obiettivo successivo.
zts953e	Pendolo dello Spirito della vendetta
zts954e	Aumenta la capacità di difesa per un istante.
zts955e	Posseduto potente
zts956e	Diventa oste e riceve il danno mentre l'effetto è in corso. L'effetto si trasmette sugli avversari vicini una volta che questo termina sull'oste.
zts957e	Effetto trasmesso dall'oste. Riceve ininterrottamente il danno durante la durata dell'effetto.
zts958e	Luce di Sarakel
zts959e	Il potere di Sarakel è al sicuro.
zts960e	Ali di fuoco fiammeggianti
zts961e	Ali di ghiaccio congelate
zts963e	Benedizione dell'indiano
zts964e	Aumenta la resistenza all'elemento fuoco e riduce l'entità del danno critico subito.
zts965e	Patto di sangue degli indiani
zts966e	Aumenta la forza dell'elemento fuoco e incendia più avversari nelle vicinanze.
zts967e	Charme di Foxy
zts968e	Completamente sottomesso e sedato dallo Charme di Foxy.
zts969e	Bottiglietta rossa
zts970e	In questo piccolo contenitore di vetro filigranato si nascone un effetto speciale.
zts971e	Fascino disarmante (F)
zts972e	Foxy fa perdere la testa a chiunque col suo fare malizioso e sdolcinato.
zts973e	Fascino disarmante (E)
zts974e	Fascino disarmante (D)
zts975e	Fascino disarmante (C)
zts976e	Potere del fascino (B)
zts977e	Fascino disarmante (A)
zts978e	Fascino disarmante (S)
zts979e	Coda morbidosa (F)
zts980e	Nove code morbidose sono così soffici!!!
zts981e	Coda morbidosa (E)
zts982e	Coda morbidosa (D)
zts983e	Coda morbidosa (C)
zts984e	Coda morbidosa (B)
zts985e	Coda morbidosa (A)
zts986e	Coda morbidosa (S)
zts987e	Ululato acuto (F)
zts988e	L'ululato acuto e penetrante della volpe Foxy.
zts989e	Ululato acuto (E)
zts990e	Ululato acuto (D)
zts991e	Ululato acuto (C)
zts992e	Ululato acuto (B)
zts993e	Ululato acuto (A)
zts994e	Ululato acuto (S)
zts995e	Benedizione di Odino
zts996e	Aumenta la resistenza contro l'elemento acqua e la forza d'attacco, riduce il tempo di ricarica delle abilità e rigenera MP a intervalli costanti.
zts997e	Collera di Odino
zts998e	Aumenta i danni inflitti all'avversario e la resistenza contro gli effetti negativi.
zts999e	Dominio della tigre
zts1000e	La tigre si alza.
zts1001e	Riduce la velocità di movimento.
zts1002e	Olio di sesamo
zts1003e	Olio di sesamo vecchio
zts1004e	Trottola
zts1005e	Vengono le vertigini.
zts1006e	Emorragia (F)
zts1007e	È iniziata una forte perdita di sangue.
zts1008e	Emorragia (E)
zts1009e	Emorragia (D)
zts1010e	Emorragia (C)
zts1011e	Emorragia (B)
zts1012e	Emorragia (A)
zts1013e	Emorragia (S)
zts1014e	Folata mostruosa (F)
zts1015e	La raffica di vento della tigre non influisce su mostri o personaggi di alto livello.
zts1016e	Folata mostruosa (E)
zts1017e	Folata mostruosa (D)
zts1018e	Folata mostruosa (C)
zts1019e	Folata mostruosa (B)
zts1020e	Folata mostruosa (A)
zts1021e	Folata mostruosa (S)
zts1022e	Dominio della tigre (F)
zts1023e	La tigre si alza.
zts1024e	Dominio della tigre (E)
zts1025e	Dominio della tigre (D)
zts1026e	Dominio della tigre (C)
zts1027e	Dominio della tigre (B)
zts1028e	Dominio della tigre (A)
zts1029e	Dominio della tigre (S)
zts1030e	Mano lesta
zts1031e	Per tutta la durata dell'effetto, provoca un colpo critico a ogni attacco.
zts1033e	Zuppa di fagioli rossi
zts1034e	Il mio tesoro, il tuo tesoro
zts1035e	Cheongbi e Hongbi sono più forti quando sono insieme.
zts1036e	Benedizione del demone
zts1037e	Riceve una benedizione incompleta.
zts1038e	Cespuglio di spine
zts1039e	La maledizione di Laurena immobilizza l'avversario con delle spine.
zts1040e	Profumo della maledizione (verme)
zts1041e	La maledizione di Laurena trasforma l'obiettivo in un verme.
zts1042e	Profumo della maledizione (ratto)
zts1043e	La maledizione di Laurena trasforma l'obiettivo in un ratto.
zts1044e	Clava spinosa (F)
zts1045e	Attenzione, fa un male infernale!
zts1046e	Clava spinosa (E)
zts1047e	Clava spinosa (D)
zts1048e	Clava spinosa (C)
zts1049e	Clava spinosa (B)
zts1050e	Clava spinosa (A)
zts1051e	Clava spinosa (S)
zts1052e	Clone del demone (F)
zts1053e	Evoca un clone aggressivo del demone.
zts1054e	Clone del demone (E)
zts1055e	Clone del demone (D)
zts1056e	Clone del demone (C)
zts1057e	Clone del demone (B)
zts1058e	Clone del demone (A)
zts1059e	Clone del demone (S)
zts1060e	Cappello del demone (F)
zts1061e	Utilizza la capacità del demone di scomparire nel nulla.
zts1062e	Cappello del demone (E)
zts1063e	Cappello del demone (D)
zts1064e	Cappello del demone (C)
zts1065e	Cappello del demone (B)
zts1066e	Cappello del demone (A)
zts1067e	Cappello del demone (S)
zts1068e	Giudizio della Luce (E)
zts1069e	Punisce il nemico con il potere della luce.
zts1070e	Giudizio della Luce (E)
zts1071e	Giudizio della Luce (D)
zts1072e	Giudizio della Luce (C)
zts1073e	Giudizio della Luce (B)
zts1074e	Giudizio della Luce (A)
zts1075e	Giudizio della Luce (S)
zts1076e	Marchio della Luce (F)
zts1077e	Un marchio luminosissimo.
zts1078e	Marchio della Luce (E)
zts1079e	Marchio della Luce (D)
zts1080e	Marchio della Luce (C)
zts1081e	Marchio della Luce (B)
zts1082e	Marchio della Luce (A)
zts1083e	Marchio della Luce (S)
zts1084e	In nome di Dio (F)
zts1085e	Indebolisce l'avversario con la potenza di Dio.
zts1086e	In nome di Dio (E)
zts1087e	In nome di Dio (D)
zts1088e	In nome di Dio (C)
zts1089e	In nome di Dio (B)
zts1090e	In nome di Dio (A)
zts1091e	In nome di Dio (S)
zts1092e	Energia della purificazione
zts1093e	L'effetto della polvere dissipa la Voce atroce.
zts1094e	Voce atroce
zts1095e	Il potere della strega Laurena assorbe la forza vitale.
zts1096e	Profumo della maledizione (Opossum)
zts1097e	La magia maledetta di Laurena tramuta il bersaglio in un Opossum.
zts1098e	Catene d'incanto
zts1099e	Rende possibile l'utilizzo delle abilità elementali degli attacchi avversari.
zts1100e	Fiamma
zts1101e	Energia del fuoco
zts1102e	Ghiaccio
zts1103e	Energia dell'acqua
zts1104e	Bagliore sacro
zts1105e	Energia della luce
zts1106e	Senza elementi
zts1107e	Energia neutra
zts1108e	Tenebra
zts1109e	Corsia di sorpasso 1
zts1110e	In occasione di un attacco l'effetto verrà rimosso e sarà inflitto un ulteriore danno da attacco.
zts1111e	Corsia di sorpasso 2
zts1112e	Corsia di sorpasso 3
zts1113e	Formula magica
zts1114e	Maestro del libro magico
zts1115e	Incrementa l'abilità al massimo per un certo lasso di tempo.
zts1116e	Polvere di luce
zts1117e	Si colora per via della Polvere di luce. Subisce un ulteriore danno tramite l'Esplosione sacra.
zts1118e	Memorial
zts1119e	Salva il luogo del teletrasporto.
zts1120e	Illuminazione
zts1121e	Benedizione di Dio
zts1122e	Recisione in corsa
zts1123e	Rallenta per via di una ferita.
zts1124e	Sentenza della dannazione
zts1125e	Immobilizza tramite il Potere della dannazione.
zts1126e	Sentenza
zts1127e	Per un certo periodo di tempo non può evitare l'attacco.
zts1128e	Santuario
zts1129e	Riduce  fortemente la rigenerazione.
zts1130e	Accensione
zts1131e	La forza sacra pervade la spada e incrementa il danno da attacco.
zts1132e	Riaccensione
zts1133e	La forza sacra permea il corpo e incrementa la difesa.
zts1134e	Pestilenza
zts1135e	Combina l'Energia della dannazione e infligge ulteriori danni tramite Conversione.
zts1136e	Iter oscuro
zts1137e	L'energia per gli sprint verrà massimizzata.
zts1138e	Colpo della luce (F)
zts1139e	Si subisce un Colpo della luce di enorme potenza.
zts1140e	Colpo della luce (E)
zts1141e	Colpo della luce (D)
zts1142e	Colpo della luce (C)
zts1143e	Colpo della luce (B)
zts1144e	Colpo della luce (A)
zts1145e	Colpo della luce (S)
zts1146e	Cespuglio di spine (F)
zts1147e	Immobilizza per mezzo delle spine.
zts1148e	Cespuglio di spine (E)
zts1149e	Cespuglio di spine (D)
zts1150e	Cespuglio di spine (C)
zts1151e	Cespuglio di spine (B)
zts1152e	Cespuglio di spine (A)
zts1153e	Cespuglio di spine (S)
zts1154e	Profumo della maledizione (F)
zts1155e	Il Profumo della maledizione indebolisce.
zts1156e	Profumo della maledizione (E)
zts1157e	Profumo della maledizione (D)
zts1158e	Profumo della maledizione (C)
zts1159e	Profumo della maledizione (B)
zts1160e	Profumo della maledizione (A)
zts1161e	Profumo della maledizione (S)
zts1162e	È incapace di muoversi a causa del Cespuglio di spine.
zts1163e	Il Profumo della maledizione ti indebolisce.
zts1164e	Benedizione della strega
zts1165e	Acquisisce la Benedizione della strega da Laurena.
zts1166e	Annuncio di battaglia
zts1167e	Provoca il tuo avversario con un'azione arrogante.
zts1168e	Atrocità
zts1169e	In preda alla rabbia e alla furia.
zts1170e	Fiamme degli Inferi (F)
zts1171e	Fiamme degli Inferi
zts1172e	Fiamme degli Inferi (E)
zts1173e	Fiamme degli Inferi (D)
zts1174e	Fiamme degli Inferi (C)
zts1175e	Fiamme degli Inferi (B)
zts1176e	Fiamme degli Inferi (A)
zts1177e	Fiamme degli Inferi (S)
zts1178e	Ribollire
zts1179e	Ribollire
zts1180e	Ribollire (E)
zts1181e	Ribollire (D)
zts1182e	Ribollire (C)
zts1183e	Ribollire (B)
zts1184e	Ribollire (A)
zts1185e	Ribollire (S)
zts1186e	Esca incantata
zts1187e	Riduce il danno tramite l'uso della potente Esca incantata.
zts1188e	Esca incantata (E)
zts1189e	Esca incantata (D)
zts1190e	Esca incantata (C)
zts1191e	Esca incantata (B)
zts1192e	Esca incantata (A)
zts1193e	Esca incantata (S)
zts1194e	Patto delle tenebre
zts1195e	Il Patto delle tenebre permette di attaccare più velocemente.
zts1196e	Ombra del brigante
zts1197e	Ti permette di sconfiggere il tuo nemico con un attacco letale.
zts1198e	Piedi agili
zts1199e	Massimizza la capacità di schivare gli attacchi fisici.
zts1200e	Scudo sacro
zts1201e	Proteggiti dagli attacchi avversari con l'aiuto della potenza divina.
zts1202e	Per un periodo di tempo casuale, si verifica una certa probabilità di restare nascosti e non essere, quindi, notati dagli avversari.
zts1203e	Colpo d'anca
zts1204e	Attacca con passo leggero, agilità e slancio.
zts1205e	Erba pruriginosa
zts1206e	Erba che provoca prurito alla pelle.
zts1207e	Veleno alla carota
zts1208e	Il veleno alla carota di Lola è molto efficace.
zts1209e	Crampo di paura
zts1210e	Atemporalità
zts1211e	Un talento della tartaruga che ormai ha una bella età.
zts1212e	Amore per le carotine
zts1213e	Attrae i conigli con una carota gigante. Scompare non appena la gigantesca radice è stata distrutta.
zts1214e	Erba pruriginosa (F)
zts1215e	Erba pruriginosa (E)
zts1216e	Erba pruriginosa (D)
zts1217e	Erba pruriginosa (C)
zts1218e	Erba pruriginosa (B)
zts1219e	Erba pruriginosa (A)
zts1220e	Erba pruriginosa (S)
zts1221e	Veleno alla carota (F)
zts1222e	Veleno alla carota (E)
zts1223e	Veleno alla carota (D)
zts1224e	Veleno alla carota (C)
zts1225e	Veleno alla carota (B)
zts1226e	Veleno alla carota (A)
zts1227e	Veleno alla carota (S)
zts1228e	Colpo d'anca (F)
zts1229e	Colpo d'anca (E)
zts1230e	Colpo d'anca (D)
zts1231e	Colpo d'anca (C)
zts1232e	Colpo d'anca (B)
zts1233e	Colpo d'anca (A)
zts1234e	Colpo d'anca (S)
zts1235e	Puntamento (F)
zts1236e	In pericolo per puntamento.
zts1237e	Puntamento (E)
zts1238e	Puntamento (D)
zts1239e	Puntamento (C)
zts1240e	Puntamento (B)
zts1241e	Puntamento (A)
zts1242e	Puntamento (S)
zts1243e	Laccio (F)
zts1244e	La libertà di movimento è temporaneamente limitata dall'attacco.
zts1245e	Laccio (E)
zts1246e	Laccio (D)
zts1247e	Laccio (C)
zts1248e	Laccio (B)
zts1249e	Laccio (A)
zts1250e	Laccio (S)
zts1251e	Fuoco di sostegno (F)
zts1252e	Sostiene con un'efficace potenza di fuoco.
zts1253e	Fuoco di sostegno (E)
zts1254e	Fuoco di sostegno (D)
zts1255e	Fuoco di sostegno (C)
zts1256e	Fuoco di sostegno (B)
zts1257e	Fuoco di sostegno (A)
zts1258e	Fuoco di sostegno (S)
zts1259e	Preghiera di Ancelloan
zts1260e	Benedetto dalla potenza di Ancelloan.
zts1261e	Apparizione di Ancelloan
zts1263e	Ali dorate
zts1264e	Ali d'onice
zts1265e	Zero (F)
zts1266e	Gli MP diminuiscono rapidamente.
zts1267e	Zero (E)
zts1268e	Zero (D)
zts1269e	Zero (C)
zts1270e	Zero (B)
zts1271e	Zero (A)
zts1272e	Zero (S)
zts1273e	Bolla esplosiva (F)
zts1274e	Gli HP diminuiscono rapidamente.
zts1275e	Bolla esplosiva (E)
zts1276e	Bolla esplosiva (D)
zts1277e	Bolla esplosiva (C)
zts1278e	Bolla esplosiva (B)
zts1279e	Bolla esplosiva (A)
zts1280e	Bolla esplosiva (S)
zts1281e	Gli HP diminuiscono rapidamente. Subisce un danno enorme in seguito a colpo critico.
zts1282e	Raffreddamento lampo (F)
zts1283e	Non può usare alcuna magia a causa di congelamento improvviso.
zts1284e	Raffreddamento lampo (E)
zts1285e	Non può usare alcuna abilità a causa di congelamento improvviso.
zts1286e	Raffreddamento lampo (D)
zts1287e	Raffreddamento lampo (C)
zts1288e	Raffreddamento lampo (B)
zts1289e	Raffreddamento lampo (A)
zts1290e	Raffreddamento lampo (S)
zts1291e	Non può usare alcuna abilità a causa di congelamento improvviso. Tutte le resistenze diminuiscono.
zts1292e	Nebbia algida (F)
zts1293e	Sarà difficile localizzare l'avversario a causa della visuale incerta.
zts1294e	Nebbia algida (E)
zts1295e	Nebbia algida (D)
zts1296e	Nebbia algida (C)
zts1297e	Nebbia algida (B)
zts1298e	Nebbia algida (A)
zts1299e	Nebbia algida (S)
zts1300e	Morsa gelida (F)
zts1301e	È impossibile sfuggire al freddo pungente.
zts1302e	Morsa gelida (E)
zts1303e	Morsa gelida (D)
zts1304e	Morsa gelida (C)
zts1305e	Morsa gelida (B)
zts1306e	Morsa gelida (A)
zts1307e	Morsa gelida (S)
zts1308e	Cortina (F)
zts1309e	Genera una patina di ghiaccio sottile che permette di sottrarre un effetto positivo all'avversario.
zts1310e	Cortina (E)
