zts1e	Servizio migliore
zts311e	Ottieni una Benda dell'Abisso A, Benda dell'Abisso B, Benda dell'Abisso C,[n] Opossum, Opossum Disinfestatore, Opossum Gladiatore, [n]Pergamena per la protezione dell'equipaggiamento, Pergamena per annullare il Lv bloccato, Cibo per gli animali abili[n]Acqua primaverile di Cylloan, Caricatore grande di SP
zts312e	Aumenta l'abilità della fata!
zts313e	Amplificatore della Fata
zts314e	Aumenta per un'ora l'abilità della fata.[n]Quando usi l'amplificatore della fata, non puoi cambiarla prima che finisca il tempo.
zts357e	Pranzerò quando incontrerò un grande colpo dell'Anno Nuovo!
zts358e	1 Busta Regalo
zts359e	Puoi ottenere uno dei seguenti item: [n]1 Caricatore Speciale[n]1 Protezione di Ancelloan[n]1 Pergamena della Liberazione[n]1 Pergamena Protettiva per l'Equipaggiamento[n]1 Caricatore Speciale Grande[n]1 Zaino dell'Avventuriero[n]1 Acqua della Fonte di Cylloan[n]1 Pozione del Recupero Assoluta[n]1 Elmetto di un Cavaliere[n]1 Maschera di un Cavaliere[n]1 Perla con Opossum Ammalato[n]1 Perla del Maialino Fortunato[n]1 Perla del Ratto Fortunato[n][n]
zts360e	10 Buste Regalo
zts361e	5 Buste Regalo
zts362e	1 Regalo d'Anniversario
zts363e	Da quando lo userai, gli effetti seguenti saranno attivi per 15 giorni:[n][Effetti di base][n]Potrai avere 4 slot nell'inventario "Equipaggiamento", "Principale" e "ETC" (in totale 12).[n]Avrai il 10% d'esperienza in più[n][Altri Effetti][n]Il tuo compagno e il tuo NosMate otterranno il 10% di esperienza in più.[n]I valori del tuo attacco e della tua difesa aumenteranno del 10%[n][Attenzione][n]Se lo usi con lo zaino dell'Avventuriero, gli slot dell'inventario non verranno raddoppiati![n]Non sei in grado di mettere l'oggetto nel deposito.[n][n]
zts364e	Un Piccolo topo
zts365e	Cappello del ratto dolce
zts366e	Puoi usare il ratto fortunato come animale.[n][n] Il ratto fortunato è capace di trasferire la peste durante un attacco. Gli avversari che si procureranno la peste, otterranno colpi critici per 6 secondi. [n]
zts367e	Benedetto con un maiale rosa
zts368e	Perla del nuovo anno!
zts369e	Puoi usare il "maiale fortunato" come animale.[n]Se è con te come NosMate, tutti i valori di attacco e di difesa aumentano del 10%
zts370e	Evita il Freddo per non avere incidenti.
zts371e	Tori con il freddo nella Perla
zts372e	E' possibile avere la coda d'arbusto come animale da compagnia.[n][n] Se ci sono attacchi, hai una determinata probabilità di congelare l'avversario. La velocità e il livello di difesa dell'avversario verrà azzerato e cadrà.
zts373e	Ho il mio piccolo Babbo Natale!
zts374e	Perla di Tori Santa
zts718e	Costume di pastore
zts719e	Costume di pastore (7 giorni)
zts720e	Costume di pastore (30 giorni)
zts721e	Costume di pastore (permanente)
zts722e	Vestiti del cane dorato
zts723e	Vestiti del cane dorato (7 giorni)
zts724e	Vestiti del cane dorato (30 giorni)
zts725e	Vestiti del cane dorato (permanente)
zts727e	Vestiti del gatto siamese
zts728e	Vestiti del gatto siamese (7 giorni)
zts729e	Vestiti del gatto siamese (30 giorni)
zts730e	Vestiti del gatto siamese (permanente)
zts731e	Vestito Russo Blu
zts732e	Vestito Russo Blu (7 giorni)
zts733e	Vestito Russo Blu (30 giorni)
zts734e	Vestito Russo Blu (permanente)
zts736e	Vestiti da coniglietto
zts737e	Vestiti da coniglietto (7 giorni)
zts738e	Vestiti da coniglietto (30 giorni)
zts739e	Vestiti da coniglietto (permanente)
zts740e	Vestiti da coniglietto giallo
zts741e	Vestiti da coniglietto giallo (7 giorni)
zts742e	Vestiti da coniglietto giallo (30 giorni)
zts743e	Vestiti da coniglietto giallo (permanente)
zts749e	Vestiti da leone luminoso
zts750e	Vestiti da leone luminoso (7 giorni)
zts751e	Vestiti da leone luminoso (30 giorni)
zts752e	Vestiti da leone luminoso (permanente)
zts753e	Vestito da Bulldog
zts754e	Vestito da Bulldog (7 giorni)
zts755e	Vestito da Bulldog (30 giorni)
zts756e	Vestito da Bulldog (permanente)
zts757e	Vestito da bassotto
zts758e	Vestito da bassotto (7 giorni)
zts759e	Vestito da bassotto (30 giorni)
zts760e	Vestito da bassotto (permanente)
zts761e	Vestito del gatto Americano
zts762e	Vestito del gatto Americano (7 giorni)
zts763e	Vestito del gatto Americano (30 giorni)
zts764e	Vestito del gatto Americano (permanente)
zts765e	Vestito di Korat
zts766e	Vestito di Korat (7 giorni)
zts767e	Vestito di Korat (30 giorni)
zts768e	Vestito di Korat (permanente)
zts770e	Vestiti della lepre di marzo
zts771e	Vestiti della lepre di marzo (7 giorni)
zts772e	Vestiti della lepre di marzo (30 giorni)
zts773e	Vestiti della lepre di marzo (permanente)
zts774e	Vestiti da coniglio bianco
zts775e	Vestiti da coniglio bianco (7 giorni)
zts776e	Vestiti da coniglio binaco (30 giorni)
zts777e	Vestiti da coniglio bianco (permanente)
zts778e	Vestiti da leone dorato
zts779e	Vestiti da leone dorato (7 giorni)
zts780e	Vestiti da leone dorato (30 giorni)
zts781e	Vestiti da leone dorato (permanente)
zts783e	Cappello del cane bianco
zts784e	Cappello del cane bianco (7 giorni)
zts785e	Cappello del cane bianco (30 giorni)
zts786e	Cappello del cane bianco (permanente)
zts787e	Cappello del cane nero
zts788e	Cappello del cane nero (7 giorni)
zts789e	Cappello del cane nero (30 giorni)
zts790e	Cappello del cane nero (permanente)
zts792e	Cappello del gatto siamese
zts793e	Cappello del gatto siamese (7 giorni)
zts794e	Cappello del gatto siamese (30 giorni)
zts795e	Cappello del gatto siamese (permanente)
zts796e	Cappello Russo Blu
zts797e	Cappello Russo Blu (7 giorni)
zts798e	Cappello Russo Blu (30 giorni)
zts799e	Cappello Russo Blu (permanente)
zts801e	Orecchino del coniglietto
zts802e	Orecchino del coniglietto (7 giorni)
zts803e	Orecchini del coniglietto (30 giorni)
zts804e	Orecchini del coniglietto (permanente)
zts805e	Orecchini da coniglietto giallo
zts806e	Orecchini da coniglietto giallo (7 giorni)
zts807e	Orecchini da coniglietto giallo (30 giorni)
zts808e	Orecchini da coniglietto giallo (permanente)
zts814e	Cappello da leone luminoso
zts815e	Cappello da leone luminoso (7 giorni)
zts816e	Cappello da leone luminoso (30 giorni)
zts817e	Cappello da leone luminoso (permanente)
zts818e	Cappello da Bulldog
zts819e	Cappello da Bulldog (7 giorni)
zts820e	Cappello da Bulldog (30 giorni)
zts821e	Cappello da Bulldog (permanente)
zts822e	Cappello da bassotto
zts823e	Cappello da bassotto (7 giorni)
zts824e	Cappello da bassotto (30 giorni)
zts825e	Cappello da bassotto (permanente)
zts826e	Cappello del gatto Americano
zts827e	Cappello del gatto Americano (7 giorni)
zts828e	Cappello del gatto Americano (30 giorni)
zts829e	Cappello del gatto Americano (permanente)
zts830e	Cappello di Korat
zts831e	Cappello di Korat (7 giorni)
zts832e	Cappello di Korat (30 giorni)
zts833e	Cappello di Korat (permanente)
zts835e	Cappello della lepre di marzo
zts836e	Cappello della lepre di marzo (7 giorni)
zts837e	Cappello della lepre di marzo (30 giorni)
zts838e	Cappello della lepre di marzo (permanente)
zts839e	Cappello da coniglio bianco
zts840e	Cappello da coniglio bianco (7 giorni)
zts841e	Cappello da coniglio bianco (30 giorni)
zts842e	Cappello da coniglio bianco (permanente)
zts843e	Cappello da leone dorato
zts844e	Cappello da leone dorato (7 giorni)
zts845e	Cappello da leone dorato (30 giorni)
zts846e	Cappello da leone dorato (permanente)
zts899e	Cappello del cane bianco
zts900e	Cappello del cane bianco (7 giorni)
zts901e	Cappello del cane bianco (30 giorni)
zts902e	Cappello del cane bianco (permanente)
zts903e	Cappello del cane nero
zts904e	Cappello del cane nero (7 giorni)
zts905e	Cappello del cane nero (30 giorni)
zts906e	Cappello del cane nero (permanente)
zts908e	Cappello da leone luminoso
zts909e	Cappello da leone luminoso (7 giorni)
zts910e	Cappello da leone luminoso (30 giorni)
zts911e	Cappello da leone luminoso (permanente)
zts912e	Cappello del leone oscuro
zts913e	Cappello del leone oscuro (7 giorni)
zts914e	Cappello del leone oscuro (30 giorni)
zts915e	Cappello del leone oscuro (permanente)
zts916e	Cappello da Bulldog
zts917e	Cappello da Bulldog (7 giorni)
zts918e	Cappello da Bulldog (30 giorni)
zts919e	Cappello da Bulldog (permanente)
zts920e	Cappello da bassotto
zts921e	Cappello da bassotto (7 giorni)
zts922e	Cappello da bassotto (30 giorni)
zts923e	Cappello da bassotto (permanente)
zts925e	Cappello del leone dorato
zts926e	Cappello del leone dorato (7 giorni)
zts927e	Cappello del leone dorato (30 giorni)
zts928e	Cappello del leone dorato (permanenten)
zts929e	Cappello del leone nero
zts930e	Cappello del leone nero (7 giorni)
zts931e	Cappello del leone nero (30 giorni)
zts932e	Cappello del leone nero (permanente)
zts933e	Costume di pastore
zts934e	Costume di pastore (7 giorni)
zts935e	Costume di pastore (30 giorni)
zts936e	Costume di pastore (permanente)
zts937e	Vestiti del cane dorato
zts938e	Vestiti del cane dorato (7 giorni)
zts939e	Vestiti del cane dorato (30 giorni)
zts940e	Vestiti del cane dorato (permanente)
zts941e	Un fantastico Cappello Leone!
zts942e	Vestiti da leone luminoso (7 giorni)
zts943e	Vestiti da leone luminoso (30 giorni)
zts944e	Vestiti da leone luminoso (permanente)
zts945e	Vestiti del leone oscuro (7 giorni)
zts946e	Vestiti del leone oscuro (30 giorni)
zts947e	Vestiti del leone oscuro (permanente)
zts948e	Vestito da Bulldog
zts949e	Vestito da Bulldog (7 giorni)
zts950e	Vestito da Bulldog (30 giorni)
zts951e	Vestito da Bulldog (permanente)
zts952e	Uno splendido Cappello Leone!
zts953e	Cappello del leone dorato
zts954e	Cappello del leone dorato (7 giorni)
zts955e	Cappello del leone dorato (30 giorni)
zts956e	Cappello del leone dorato (permanenten)
zts957e	Cappello del leone nero
zts958e	Cappello del leone nero (7 giorni)
zts959e	Cappello del leone nero (30 giorni)
zts960e	Cappello del leone nero (permanente)
zts961e	Vestiti da leone luminoso
zts962e	Vestiti del leone oscuro
zts963e	Cappello da bassotto
zts964e	Cappello da bassotto (7 giorni)
zts965e	Cappello da bassotto (30 giorni)
zts966e	Cappello da bassotto (permanente)
zts1005e	5 PvP Pozione d'Attacco
zts1006e	10 PvP Pozione d'Attacco
zts1007e	5 PvP Pozione di Difesa
zts1008e	10 PvP Pozione di Difesa
zts1009e	5 PvP Pozione della Resistenza
zts1010e	10 PvP Pozione della Resistenza
zts1011e	5 Corni della Famiglia
zts1012e	10 Corni della Famiglia
zts1057e	Sono il simbolo della bellezza eterna!
zts1058e	Campana Tintinnante
zts1059e	Campana Tintinnante (7 giorni)
zts1060e	Campana Tintinnante (30 giorni)
zts1061e	Costume da Fata (permanente)
zts1062e	Sono il demone di NosTale!
zts1063e	Demone bianco
zts1064e	Demone bianco (7 giorni)
zts1065e	Demone bianco (30 giorni)
zts1066e	Demone bianco (permanente)
zts1067e	Indossa il fiocco carino!
zts1068e	Fiocco rosa per i capelli
zts1069e	Fiocco rosa per i capelli (7 giorni)
zts1070e	Fiocco rosa per i capelli (30 giorni)
zts1071e	Fiocco rosa per i capelli (Permanente)
zts1072e	Diventa un gentleman!
zts1073e	Fedora bianco
zts1074e	Fedora bianco (7 giorni)
zts1075e	Fedora Bianco (30 giorni)
zts1076e	Fedora Bianco (Permanente)
zts1118e	Elimina gli altri odori
zts1119e	Profumo di Buon Odore
zts1120e	E' usato quando converti gli altri oggetti esclusivi nei tuoi.[n][Istruzioni][n]La finestra della conversione dell'oggetto si apre quando si clicca due volte su di esso.
zts1121e	20 Profumi di Buon Odore
zts1122e	50 Profumi di Buon Odore
zts1123e	99 Profumi di Buon Odore
zts1124e	90 Profumi di Buon Odore
zts1146e	Pegasus
zts1147e	Coniglio Carino
zts1242e	Scatola random di Felice Anno Nuovo!
zts1243e	Scatola di Felice Anno Nuovo!
zts1244e	Scatola dell'Anno Nuovo[n]Potrai ottenere uno di questi diversi oggetti.[n]Oggetti: [n]Perla di Toro Tori, Scatola Misteriosa B, Cesta per NosMate (60 giorni), 5 Profumi, 50 Ali dell'Amicizia, 50 Acqua primaverile di Cylloan, Zaino dell'avventuriero (30 giorni), Perla NosMate, 2 Targhette per NosMate, 3 Porzioni del miglior cibo per NosMate.[n][n]
zts1266e	Metti alla prova la tua fortuna!
zts1325e	Perla del Toro Tori
zts1327e	Bel cappello da uomo
zts1329e	Bel cappello da uomo (7 giorni)
zts1330e	Cappello Attraente(30 giorni)
zts1331e	Bel cappello da uomo (illimitato)
zts1332e	Bel completo da uomo
zts1334e	Bel completo da uomo (7 giorni)
zts1335e	Abito Attraente(30 giorni)
zts1336e	Bel completo da uomo (illimitato)
zts1348e	Uniforme scolastica Starlight
zts1349e	Uniforme scolastica Starlight (7 giorni)
zts1350e	Uniforme scolastica Starlight (30 Giorni)
zts1351e	Uniforme scolastica Starlight (infinita)
zts1352e	Cerchietto Starlight
zts1353e	Cerchietto Starlight (7 Giorni)
zts1354e	Cerchietto Starlight (30 giorni)
zts1355e	Cerchietto Starlight (illimitato)
zts1359e	Perla del Samurai dal codino a cespuglio
zts1394e	Ali d'Angelo
zts1397e	Ali di Demone
zts1510e	Piuma d'angelo (99 pezzi)
zts1511e	Scatola misteriosa A [n]Se apri questa scatola puoi ottenere uno dei seguenti item NosMall. [n] [Gli item che puoi ottenere] [n] Maschera Feroce A [n] Maschera Feroce B [n] Maschera Feroce C [n] [n] Perla di Opossum[n] Perla di Opossum Gladiatore[n] Perla di Opossum Disinfestatore[n] Cibo speciale per animali domestici[n] Rotoli protettivi equipaggiamento[n] Acqua di fonte Cylloan[n] Pergamene della liberazione[n] Pozione speciale grande[n]
zts1512e	Scatola misteriosa B [n]Se apri questa scatola puoi ottenere uno dei seguenti item NosMall. [n] [Gli item che puoi ottenere] [n] Maschera Tranquilla A [n] Maschera Tranquilla B [n] Maschera Tranquilla C[n] Perla di Opossum Toro[n] Perla di Opossum d'Acqua[n] Perla di Opossum Samurai[n] Cibo speciale per animali domestici[n] Rotoli protettivi equipaggiamento[n] Acqua di fonte Cylloan[n] Pergamene della liberazione[n] Pozione speciale grande[n]
zts1513e	Scatola misteriosa C [n]Se apri questa scatola puoi ottenere uno dei seguenti item NosMall. [n] [Gli item che puoi ottenere] [n] Benda Occhi A [n] Benda Occhi B [n] Benda Occhi C [n] Perla di Pegasus[n] Perla di Coniglio dolce [n] Perla di Opossum Ammalato[n] Cibo speciale per animali domestici[n] Rotoli protettivi equipaggiamento[n] Acqua di fonte Cylloan[n] Pergamene della liberazione[n] Pozione speciale grande[n]
zts1528e	Cestino per Animali (10 giorni, evento)
zts1530e	Sigillo del Ragno Gigante Nero
zts1531e	Sigillo del Gigante Slade
zts1532e	Sigillo di Xysenshrub
zts1533e	Sigillo di Dark Castra
zts1534e	Sigillo del Re Pollo
zts1535e	Sigillo di Madre Cuby
zts1537e	Scooter Magico
zts1540e	Tappeto magico
zts2790e	Medaglia del NosMercante (1 giorno) (evento)
zts2800e	Medaglia del NosMercante (30 giorni)
zts2801e	Medaglia del NosMercante (7 giorni)
zts8848e	Scrigno del caso per il Campionato Europeo 2012
zts8993e	Scrigno del caso di Bally morbidoso
zts9201e	Scatola jackpot fenomenale
zts9265e	Minuscolo frammento d'oro
zts9266e	Piccolo frammento d'oro
zts9267e	Grosso frammento d'oro
zts9268e	Enorme frammento d'oro
zts9282e	Scrigno dello specialista: Ali e molto altro
zts10043e	Fusione del costume
zts10054e	Per gli amanti del cambiamento!
zts10055e	Permette di modificare l'aspetto del proprio costume.[n]Per farlo devi registrare il Costume base e il Costume materiale.[n][Attenzione][n]1. I costumi con durata limitata non possono essere modificati.[n]2. Possono essere modificati, una sola volta, solo i costumi legati ai personaggi.[n]3. Il Costume materiale scomparirà.[n]4. Tramite il [Reset della fusione del costume] puoi annullare la modifica.[n]5. Le opzioni del Costume materiale non vengono applicate al Costume base.[n]
zts10226e	Medaglia del 10° anniversario
zts10274e	Medaglia VIP della Banca Cuarry (10 giorni)
zts10275e	Nella Banca Cuarry ottieni lo status VIP e non devi pagare tasse.[n]Attenzione: è valida solo per 10 giorni.[n]
zts10276e	Medaglia VIP della Banca Cuarry (30 giorni)
zts10277e	Nella Banca Cuarry ottieni lo status VIP e non devi pagare tasse.[n]Attenzione: è valida solo per 30 giorni.[n]
zts19668e	Zaino dell'avventuriero (permanente)
zts19669e	Zaino del compagno (permanente)
zts19670e	Cestino per animali (permanente)
zts19684e	Puoi usare per 10 giorni[n]tutti gli slot del tuo inventario.[n]
zts19685e	Puoi usare per 30 giorni[n]tutti gli slot del tuo inventario.[n]
zts19686e	Puoi usare per 60 giorni[n]tutti gli slot del tuo inventario.[n]
zts19687e	Puoi usare permanentemente tutti gli slot del tuo inventario.[n]
zts19874e	Medaglia del 11° anniversario
zts19880e	Scrigno con Slitta magica
zts19881e	Questo scrigno contiene una Slitta magica.[n]
zts19886e	Perla dell'orso polare Marco
zts19888e	Maschera Diavolo infuocato (30 giorni)
zts19889e	Maschera Diavolo infuocato (permanente)
zts19890e	Costume Diavolo infuocato (30 giorni)
zts19891e	Costume Diavolo infuocato (permanente)
zts19892e	Set Diavolo infuocato
zts19911e	Carta speciale Costume da cerimonia
zts19913e	Chiave universale per Scrigni del tesoro
zts19915e	Opossum della fortuna
zts19916e	Opossum della fortuna sfacciata
zts19930e	Ali del costume Diavolo infuocato (30 giorni)
zts19931e	Ali del costume Diavolo infuocato (permanente)
zts19932e	Carta speciale compagno del Coniglio pasquale pazzo
zts19933e	Cappellino festivo del Coniglio pasquale (30 giorni)
zts19934e	Cappellino festivo del Coniglio pasquale (permanente)
zts19935e	Costume festivo del Coniglio pasquale (30 giorni)
zts19936e	Costume festivo del Coniglio pasquale (permanente)
zts19937e	Scrigno con Costume festivo del Coniglio pasquale
zts19938e	Cappello del Coniglio pasquale (30 giorni)
zts19939e	Cappello del Coniglio pasquale (permanente)
zts19940e	Costume del Coniglio pasquale (30 giorni)
zts19941e	Costume del Coniglio pasquale (permanente)
zts19942e	Set Costume del Coniglio pasquale
zts19954e	Perla di Nuvola dorata
zts19956e	Amuleto eroico della benedizione sigillato (a caso)
zts19959e	Cappello del costume da fata (30 giorni)
zts19960e	Cappello del costume da fata (permanente)
zts19961e	Veste del costume da fata (30 giorni)
zts19962e	Veste del costume da fata (permanente)
zts19963e	Ali del costume da fata (30 giorni)
zts19964e	Ali del costume da fata (permanente)
zts19965e	Set Costume da fata
zts19973e	Sigillo Grasslin
zts19976e	Booster FXP (1 giorno)
zts19977e	Booster FXP (3 giorni)
zts19978e	Booster FXP (7 giorni)
zts19979e	Booster FXP (30 giorni)
zts19980e	Scrigno "Asino-piñata magico"
zts19986e	Carta speciale compagno di Perti Ala solitaria
zts19987e	Strega del ghiaccio piccola
zts19993e	Lontra
zts19995e	Avventuriero
zts19996e	Amante degli animali
zts19997e	Ribelle
zts19998e	Idealista
zts19999e	Ambasciatore di pace
zts20000e	Diplomatico
zts20001e	Estirpatore
zts20002e	Salvezza di NosVille
zts20003e	Instancabile
zts20004e	Punta solitaria
zts20005e	Artista della magia
zts20006e	Mago supremo
zts20007e	Stregone
zts20008e	Arco d'argento
zts20009e	Robin Hood
zts20010e	Arciere maestro
zts20011e	Mercenario
zts20012e	Cavaliere templare
zts20013e	Spadaccino maestro
zts20014e	Cintura nera
zts20015e	Sensei
zts20016e	con lo Stile del drago
zts20017e	Titolo dell'evento
zts20018e	Angelo della morte del PvP
zts20019e	Campione PvP
zts20020e	Leggenda PvP
zts20021e	Titano PvP
zts20022e	Drago d'onice
zts20023e	Liberatore
zts20024e	Fortunello
zts20025e	Sagace
zts20026e	Baluardo
zts20027e	Chiaroveggente
zts20028e	Eroe raggiante
zts20029e	Divino
zts20032e	Cappello tropicale (30 giorni)
zts20033e	Cappello tropicale (permanente)
zts20034e	Costume tropicale (30 giorni)
zts20035e	Costume tropicale (permanente)
zts20036e	Ali del costume tropicale (30 giorni)
zts20037e	Ali del costume tropicale (permanente)
zts20038e	Set Costume tropicale
zts20039e	Carta di modifica del nome
zts20043e	Ali lampo
zts20045e	Biglietto per l'ampliamento dell'inventario (30 giorni)
zts20046e	Biglietto per l'ampliamento dell'inventario (60 giorni)
zts20047e	Biglietto per l'ampliamento dell'inventario (permanente)
zts20048e	Medaglia del 12° anniversario
zts20049e	Scrigno Alpaca del 12º anniversario
zts20050e	Scrigno Alpaca da corsa del 12º anniversario
zts20053e	Artista
zts20054e	divora-biscotti
zts20055e	Talento nato
zts20056e	Superfan
zts20057e	Enigmista
zts20058e	Modello
zts20059e	Star del cinema
zts20060e	Paroliere
zts20061e	Sopravvissuto!
zts20062e	Zampalesta
zts20063e	Cuore d'oro
zts20064e	Cappello Strega del ghiaccio (30 giorni)
zts20065e	Cappello Strega del ghiaccio (permanente)
zts20066e	Costume Strega del ghiaccio (30 giorni)
zts20067e	Costume Strega del ghiaccio (permanente)
zts20068e	Ali del costume Strega del ghiaccio (30 giorni)
zts20069e	Ali del costume Strega del ghiaccio (permanente)
zts20070e	Set Costume Strega del ghiaccio
zts20071e	Pergamena per la conservazione di tatuaggi
zts20072e	Rimuovi-tatuaggio
zts20073e	Incudine runica per le riparazioni
zts20074e	Martello per la rimozione delle rune
zts20075e	Pergamena con rune fortunate
zts20078e	Scrigno del caso Piuma d'angelo
zts20079e	Scrigno del caso: Cristallo di luna piena
zts20080e	Pergamena con rune fortunate premium
zts20085e	Scrigno del caso Rune e tatuaggi 1
zts20086e	Questo scrigno contiene oggetti straordinari.[n]Apri lo scrigno per ottenere uno dei seguenti item:[n]2x Pergamena per la conservazione di tatuaggi[n]2x Rimuovi-tatuaggio[n]2x Martello per la rimozione delle rune[n]4x Pergamena con rune fortunate[n]8x Incudine runica per le riparazioni
zts20087e	Scrigno del caso Rune e tatuaggi 2
zts20088e	Questo scrigno contiene oggetti straordinari.[n]Apri lo scrigno per ottenere uno dei seguenti item:[n]3x Pergamena per la conservazione di tatuaggi[n]3x Rimuovi-tatuaggio[n]3x Martello per la rimozione delle rune[n]6x Pergamena con rune fortunate[n]12x Incudine runica per le riparazioni
zts20091e	Cappello Mago di Noz (30 giorni)
zts20092e	Cappello Mago di Noz (permanente)
zts20093e	Costume Mago di Noz (30 giorni)
zts20094e	Costume Mago di Noz (permanente)
zts20095e	Set Mago di Noz
zts20116e	Scegli altre ali per il tuo specialista.[n]
zts20119e	Scrigno "Magazzino spazioso (permanente)"
zts20120e	Scrigno "Magazzino spazioso (30 giorni)"
zts20133e	Magazzino spazioso (30 giorni)
zts20149e	Solvente per rune
zts20158e	Achenaton, il Faraone maledetto
zts20168e	Ali Gladius
zts20182e	Medaglia del 13° anniversario
zts20183e	Pasticcio dorato
zts20184e	Pasticcio
zts20185e	Costume "Strega zucca/Cavaliere zucca" (30 giorni)
zts20186e	Cappello "Strega zucca/Cavaliere zucca" (30 giorni)
zts20187e	Ali del costume "Strega zucca/Cavaliere zucca" (30 giorni)
zts20188e	Costume "Strega zucca/Cavaliere zucca" (permanente)
zts20189e	Cappello "Strega zucca/Cavaliere zucca" (permanente)
zts20190e	Ali del costume "Strega zucca/Cavaliere zucca" (permanente)
zts20191e	Set "Strega zucca/Cavaliere zucca"
zts20204e	Gechino Paladino
zts20205e	Skin Pescatore pro
zts20213e	Pacchetto "Casa Abete"
zts20214e	Pacchetto "Albero di Natale"
zts20215e	Pacchetto "Famiglia Pupazzi di neve"
zts20216e	Pacchetto "Auto con albero di Natale"
zts20217e	Pacchetto "Deposito Gnomo (30 giorni)"
zts20218e	Pacchetto "Deposito Gnomo (permanente)"
zts20219e	Pacchetto "Decorazioni per le feste 2020" (30 giorni)
zts20220e	Pacchetto "Decorazioni per le feste 2020" (permanente)
zts20221e	Ali di cristallo
zts20223e	Deposito Gnomo (30 giorni)
zts20230e	Slitta magica
zts20231e	Elmo teschio Lanciamorte (30 giorni)
zts20232e	Elmo teschio Lanciamorte (permanente)
zts20233e	Corazza Lanciamorte (30 giorni)
zts20234e	Corazza Lanciamorte (permanente)
zts20235e	Ali Lanciamorte (30 giorni)
zts20236e	Ali Lanciamorte (permanente)
zts20237e	Set Lanciamorte
zts20255e	Toro da rodeo
zts20257e	Scrigno Toro da rodeo
zts20261e	Civetta magica
zts20269e	Costume Paese delle Meraviglie (30 giorni)
zts20270e	Costume Paese delle Meraviglie (permanente)
zts20271e	Copricapo Paese delle Meraviglie (30 giorni)
zts20272e	Copricapo Paese delle Meraviglie (permanente)
zts20273e	Set costume Paese delle Meraviglie
zts20274e	Costume Paese delle Meraviglie (permanente)
zts20281e	Skin Cuoco stellato
zts20289e	Ali floreali
zts20299e	Volpistrello
zts20300e	Favoloso
zts20336e	Sigillo del raid Pupazzo di neve
zts20337e	Sigillo del Raid di Jack O' Lantern
zts20338e	Sigillo della Gallina regina (evento)
zts20339e	Sigillo del Raid di Foxy
zts20340e	Sigillo del Raid di Maru
zts20341e	Sigillo del Raid Hongbi-Cheongbi
zts20342e	Sigillo del raid del folle Dr. Miaunz
zts20343e	Sigillo del raid del Coniglio pasquale pazzo
zts20344e	Sigillo del pirata (evento)
zts20345e	Sigillo del Raid di Lola Liuk
zts20346e	Costume Apis mellifera (30 giorni)
zts20347e	Costume Apis mellifera (permanente)
zts20348e	Corona Apis mellifera (30 giorni)
zts20349e	Corona Apis mellifera (permanente)
zts20350e	Ali Apis mellifera (30 giorni)
zts20351e	Ali Apis mellifera (permanente)
zts20352e	Occhiali da sole Apis mellifera (30 giorni)
zts20353e	Occhiali da sole Apis mellifera (permanente)
zts20354e	Set costume Apis mellifera
zts20366e	Costume Apis mellifera (30 giorni)
zts20367e	Costume Apis mellifera (permanente)
zts20368e	Corona Apis mellifera (30 giorni)
zts20369e	Corona Apis mellifera (permanente)
zts20370e	Ali Apis mellifera (30 giorni)
zts20371e	Ali Apis mellifera (permanente)
zts20372e	Occhiali da sole Apis mellifera (30 giorni)
zts20373e	Occhiali da sole Apis mellifera (permanente)
zts20374e	Set costume Apis mellifera
zts20383e	Pass Battaglia premium
zts20384e	Moneta Pass Battaglia premium
zts20385e	Baby-dinosauro Velutzi
zts20390e	Canguro 14° anniversario
zts20391e	Scrigno Canguro 14° anniversario
zts20392e	Canguro Boxer 14° anniversario
zts20393e	Scrigno Canguro Boxer 14° anniversario
zts20396e	Medaglia 15° anniversario
zts20397e	Costume Medico della peste/Lady Monatto (30 giorni)
zts20398e	Costume Medico della peste/Lady Monatto (permanente)
zts20399e	Cappello Peste/Copricapo Peste (30 giorni)
zts20400e	Cappello Peste/Copricapo Peste (permanente)
zts20401e	Set Medico della peste/Lady Monatto (permanente)
zts20409e	Costume Medico della peste/Lady Monatto (30 giorni)
zts20410e	Costume Medico della peste/Lady Monatto (permanente)
zts20411e	Set Medico della peste/Lady Monatto (permanente)
zts20415e	Pergamena protettiva della carta drago
zts20416e	Spada del gelo (30 giorni)
zts20417e	Spada del gelo (permanente)
zts20418e	Arco del gelo (30 giorni)
zts20419e	Arco del gelo (permanente)
zts20420e	Bacchetta magica del gelo (30 giorni)
zts20421e	Bacchetta magica del gelo (permanente)
zts20422e	Guanti del gelo (30 giorni)
zts20423e	Guanti del gelo (permanente)
zts20424e	Scrigno Armi del gelo
zts20433e	Squama Asgobas
zts20437e	Scrigno Armi In fondo al mar
zts20443e	Tigre bianca magica Anno nuovo
zts20445e	Koala letargico
zts20450e	Costume Rocketeer (30 giorni)
zts20451e	Costume Rocketeer (permanente)
zts20452e	Headset Rocketeer (30 giorni)
zts20453e	Headset Rocketeer (permanente)
zts20454e	Ali Rocketeer (30 giorni)
zts20455e	Ali Rocketeer (permanente)
zts20456e	Set Outfit Rocketeer
zts20472e	Carrozza Coniglio nobile
zts20473e	Scrigno Carrozza Coniglio nobile
zts20483e	Scrigno del caso Ali retro
zts20487e	Modifica-ali (casuale)
zts20491e	Pergamena del Gran pescatore
