zts1e	Negozio degli attrezzi di Teo
zts6315e	(Soty Bystander emette un grido)
zts6316e	Boom!!! L'esplosione devasterebbe qualsiasi cosa.
zts6317e	Cosa?! Causerebbe dei danni così violenti?
zts6318e	Esatto, per questo sto recuperando informazioni su Fever: per sventare la possibile catastrofe. E avrei proprio bisogno del tuo aiuto. Ho affrontato un viaggio lungo e sfiancante. La stanchezza mi... ti prego dammi una mano...
zts6319e	Farei qualunque cosa per evitare un'esplosione del genere!
zts6320e	Per prima cosa dovresti andare dal mio assistente Rect Lat. Anche lui è alla ricerca di Fever. Sarebbe bello se lo aiutassi. Mi faresti questo favore? Al momento, Rect Lat si trova nel Bosco di Aceri.
zts6321e	Soty Bystander ti ha chiesto di aiutarmi? Non credo che tu possa fare molto per me.
zts6322e	Comunque, vedremo... Io sono Rect Lat.
zts6323e	Mi chiamo <pname>.
zts6324e	Mi sorprende che tu non abbia avuto ancora modo di conoscere Roofgain... vabbeh, pazienza. Devo chiederti un favore. Un paio di giorni fa ho trovato alcune scaglie di Fever. Purtroppo, però, gli Wollet me le hanno rubate. Dovrei dare la caccia agli Wollet, ma ho delle altre questioni in sospeso di cui occuparmi. Vorrei che ci pensassi tu. Per catturare Fever, ci servono le sue scaglie.
zts6325e	Ok, me ne occuperò!
zts6326e	Gli Wollet che sto cercando si trovano nella parte periferica del Bosco di Aceri. Quella zona, però, è infestata di mostri. Quindi fai attenzione.
zts6327e	Queste scaglie sono enormi. Sicuramente appartengono a Fever. Nel parte interna c'è scritto qualcosa. Meglio che la faccia vedere a Rect Lat.
zts6328e	(Rect Lat legge gli strani segni che si trovano nella parte interna delle scaglie)
zts6329e	Questo...
zts6330e	Che sarebbe?
zts6331e	Non riesco a leggere.
zts6332e	(Noti che Rect Lat parla con voce ferma e sicura)
zts6333e	Molto probabile che Soty Bystander ne sappia qualcosa. Portale le scaglie.
zts6334e	(Rect Lat borbotta qualcosa tra sé dopo che ti ha consegnato le scaglie)
zts6335e	Pensavo di conoscere tutte le lingue di questa regione.
zts6336e	(Non gli credo. Sta mentendo.)
zts6337e	(Soty Bystander legge i segni presenti sulle scaglie)
zts6338e	Su questi simboli grava un incantesimo. Un incantesimo che proviene da un altro mondo.
zts6339e	Come da un altro mondo?
zts6340e	Ognuno di questi simboli attiva lo stesso incantesimo. In questo modo se ne potenzia l'efficacia. Se tutte le scaglie di Fever contengono questi segni, l'esplosione deturperà irrimediabilmente la città e ciò che c'è attorno.
zts6341e	Non può essere vero...
zts6342e	Dobbiamo eliminare Fever prima che si trasformi in crisalide.
zts6343e	Il problema è che non ho idea di dove si sia nascosto...
zts6344e	So come potremo incastrare Fever. Dirò a Rect Lat di prendere le dovute precauzioni. Nel frattempo, però, devi recuperare diversi ingredienti. Questa è la lista che contiene tutto il necessario.
zts6345e	Il primo ingrediente di cui ho bisogno è la Polvere di falena. Fever evita la luce dal sole. È molto probabile che abbia una vista pessima. Il mio piano sarebbe questo: fare in modo che la Polvere di falena assomigli a un minerale. E la Polvere di falena è semplice da reperire.
zts6346e	Finalmente ho tutto. E ora di corsa da Soty Bystander.
zts6347e	Hai già recuperato tutto? Wow. Allora, adesso procura il prossimo ingrediente. Più veloce sei nel trovare ciò che ci serve e meglio è, no? Per noi tutti, intendo.
zts6348e	(Leggi la lista) "Con la sola Polvere di falena è impossibile ricreare un effetto ottico che induca Fever a pensare di trovarsi di fronte a un vero minerale. Per questo ci serve la Polvere di spirito." Ma... dove posso trovarla? Catlotta dovrebbe saperlo. Lei si intende di oggetti luminosi e luccicanti.
zts6349e	Polvere di spirito? Hm... Ne ho sentito parlare ma non so esattamente dove si possa trovare. Caty, sai per caso dove si possa recuperare della Polvere di spirito?
zts6350e	Non mi avevi per caso detto di aver visto la Polvere di spirito nel Bosco di Aceri? Forse la Polvere di spirito si può reperire nei rami del Diavolo d'acero.
zts6351e	Ohoh... sì, nel Bosco di Aceri... Chiaro, no?
zts6352e	Sì, grazie.
zts6353e	Sii prudente, però. Evita di farti pungere dalle zanzare che ronzano vicino al Diavolo d'acero. Sono piuttosto aggressive. Le loro punture non sono letali, ma provocano molto dolore.
zts6354e	Tra l'altro, è probabile che le zanzare di cui parlo svolazzino proprio nei punti in cui è presente la Polvere di spirito. Vedi di ricordartelo.
zts6355e	Oh, il mio cavaliere è già andato via.
zts6356e	Ah, sorellina...
zts6357e	Ora ho recuperato anche questo ingrediente. Bene. Ora si va da Soty Bystander!
zts6358e	Wow! Ottimo lavoro. Sei più abile di quanto pensassi. Passiamo al prossimo ingrediente...
zts6359e	(Leggi la lista) Il terzo ingrediente serve per creare l'illusione del giacimento... Cosa?! Mi serve un Fegato di Cerbero? Dove posso trovare una cosa del genere? Hm... conosco una persona che potrebbe saperlo... No, oh no... e vabbeh, non ho altra scelta. Uff, non ho proprio voglia di rivolgermi di nuovo a lui...
zts6360e	Oh... chi abbiamo qui? <pname>, no? Ah, come vorrei che tutti i miei clienti fossero come te... Dimmi, di cosa hai bisogno oggi?
zts6361e	Ho bisogno di un Fegato di Cerbero.
zts6362e	Scusa, puoi ripetere!? Non ti ho capito.
zts6363e	Un Fegato di Cerbero!!
zts6364e	Hm... il Fegato di Cerbero... bene. Ti farò un prezzo onesto. E quando lo dico io, c'è da fidarsi. 1 milione di unità d'oro. Un prezzo onesto!
zts6365e	E lo chiami prezzo onesto?? Mi stai prendendo in giro, vero?
zts6366e	Beh, se non ti sta bene, puoi sempre andare da un'altra parte!!
zts6367e	Ma questa è usura... sfruttamento... abuso!!!
zts6368e	(Anche se sei furente, paghi la cifra richiesta da Teodor)
zts6369e	Grazie mille! Ahah... Il cane nero cattivo si nasconde nel profondo. Ecco, questa mappa potrebbe tornarti utile. Se dovessi avere dei problemi, potrai rivolgerti a me quando vuoi. E non dimenticarti il denaro.
zts6370e	Stavano per farmi fuori. Uff...
zts6371e	Fantastico! Ottimo lavoro. Sei... stupefacente!
zts6372e	Cos'è il prossimo ingrediente? (Leggi la lista) Vediamo... Per fare in modo che il gusto del minerale artificiale sia simile a quello autentico, bisogna ricreare anche una consistenza analoga. Un Corno di Rumbler fa proprio al caso nostro. Hm... Forse Mimi ora potrebbe rivelarsi utile.
zts6373e	(Richiedi a Mimi un Corno di Rumbler)
zts6374e	Il Corno del Rumbler è duro già di per sé. Ma se ti serve un materiale particolarmente solido e compatto, sarebbe meglio usare un Corno di Re Rumbler.
zts6375e	Dove posso trovare i Re Rumbler?
zts6376e	Dovrebbero trovarsi sulla Scogliera Rocciosa. Conosci già quella zona. Quindi non dovresti avere problemi a trovare la strada.
zts6377e	Non c'è problema. Ma come mai tanta fretta?
zts6378e	Ti spiegherò tutto più tardi. Ciao.
zts6379e	Sempre tanto da fare, come al solito...
zts6380e	La Scogliera Rocciosa si trova a nord dei Prati Soleggiati. Oh, <pname> non perde proprio tempo. È già in viaggio...
zts6381e	Fatto! Finalmente! Soty dovrebbe essere soddisfatta di questo Corno di Rumbler.
zts6382e	Oh... mio...
zts6383e	Che succede? Qualcosa non va con gli ingredienti?
zts6384e	No, no. Pensavo... Lavori decisamente meglio di Rect Lat. Ti andrebbe di diventare il mio assistente? Potrei pagarti bene.
zts6385e	Sono un avventuriero... e voglio restare un avventuriero.
zts6386e	Peccato. Saresti piaciuto tanto al mio Roofgain...
zts6387e	Qual è il prossimo ingrediente che devo procurare?
zts6388e	(Leggi la lista) Il minerale deve dare l'impressione di contenere una potente energia. Quindi sarebbe meglio aggiungere alcuni Cristalli dell'anima. Fever è diffidente per natura. Se notasse che il minerale emana una forza esigua, di sicuro non lo sfiorerebbe neppure. Per il nostro obiettivo andrebbero bene un paio di anime di guerrieri.
zts6389e	Non capisco... forse il Capo dei Koaren potrà dirmi qualcosa di più sui Cristalli dell'anima.
zts6390e	Hmm... ho qualche dubbio.
zts6391e	(Il Capo dei Koaren parla per un po' con Colly)
zts6392e	Colly dice che si possono trovare i Cristalli dell'anima presso le anime dei guerrieri. Quando erano in vita, erano dei rinomati combattenti. Forti e audaci. Ora sono dei mostri fuori di senno. Puoi trovarli nella Grotta Spiritata.
zts6393e	Ora vai, caro il mio Kang Kang Koaren. E non dimenticare di tenere alto l'onore del tuo popolo.
zts6394e	Uff... Questi spiriti sembravano piuttosto dei Kovolt vivi, altroché...
zts6395e	Hai già portato a termine anche questo incarico?! Ottimo lavoro. Ma non hai provato neanche un po' di paura? Pensavo ti dovessi battere contro dei terribili fantasmi.
zts6396e	Beh, sì, ma ho saputo gestire la situazione.
zts6397e	Hm... sai, dolcezza, mi è stato riferito che nel tuo corpicino umano si nasconde l'anima di un impavido guerriero Kovolt. Forse è davvero così.
zts6398e	No, non è per niente vero!
zts6399e	Allora si trattava di un'informazione errata... oltre che particolarmente costosa...
zts6400e	Chi ti ha detto una cosa simile?
zts6401e	Hmm... una donna con gli occhiali. Sosteneva che tutti pagano cifre simili per ottenere le sue informazioni.
zts6402e	Oh no, Anni...
zts6403e	Ora mancano solo 2 ingredienti per il minerale. Dove è andata a finire la descrizione del sesto ingrediente...
zts6404e	Descrizione:Dopo aver trasferito la forza dei Cristalli dell'anima nel minerale, bisogna riprodurre anche l'odore del minerale autentico. In questo caso sono indispensabili le Foglie d'acero. Gli Umani non sentono il profumo delle Foglie d'acero, quindi per loro risulta difficile trovarle.
zts6405e	Se gli Umani non sono in grado di percepire gli effluvi delle Foglie di acero, meglio chiedere aiuto a Doggo. Lui saprà come trovarle.
zts6406e	Rintracciare le Foglie d'acero d'oro è tutt'altro che semplice. Emanano una fragranza delicata che tende a svanire in breve tempo. Hanno un odore che ricorda la terra piuttosto che il legno.
zts6407e	Non ho capito niente.
zts6408e	È difficile da spiegare. In ogni caso le Foglie d'acero d'oro si trovano dove ci sono le Anime d'acero. Sono... fortemente legate alla terra.
zts6409e	Gli aceri si trovano nel Bosco di Aceri. Ma le Foglie d'acero d'oro le trovi vicino alle Anime d'acero. Dove siano esattamente... beh...
zts6410e	Si potrebbe lavorare un po' più rapidamente? Ci state mettendo una vita!
zts6411e	Ora manca solo un ingrediente. Ma prima devo portare le foglie a Soty Bystander.
zts6412e	Come l'hai recuperato? Neanche Rect Lat è riuscito a reperire questo ingrediente. Wow, sei incredibile. Davvero impressionante.
zts6413e	Yeah. (A chi mi dovrei rivolgere per trovare il settimo ingrediente?)
zts6414e	(Senti dei passi e ti giri)
zts6415e	Stai per caso cercando qualcosa?
zts6416e	(Rody Windsinger potrebbe sapere qualcosa sul settimo ingrediente utile per l'incantesimo)
zts6417e	(Spieghi a Rody che a Soty Bystander servono degli ingredienti per un incantesimo e che tu li stai recuperando)
zts6418e	Oh no... ti hanno ingannato!
zts6419e	Mi hanno ingannato?
zts6420e	Fever non è una creatura pericolosa. Non è per niente una bomba a orologeria. È un essere innocuo che sta svolgendo una missione di vitale importanza. Sta proteggendo Lateor, il Re degli Angeli. Ti hanno raggirato affinché tu portassi a termine degli incarichi. Di fatto loro sono dei Demoni.
zts6421e	Cosa? È un'assurdità. Ho già avuto a che fare con i Demoni. Quelli sono Umani!!
zts6422e	I Demoni potenti possono cambiare facilmente aspetto, a differenza dei Demoni di basso livello. Non ho dubbi: si sono presentati a te come degli Umani per ingannarti.
zts6423e	Non riesco a crederci...
zts6424e	Non so esattamente cosa abbiano in mente i Demoni. Ma posso dirti che faremo qualsiasi cosa per evitare che ci invadano. Il nostro obiettivo è resuscitare Lateor, il re degli Angeli. In questo modo i Demoni potranno scordarsi di attaccare questo mondo. <pname>, voglio averti al mio fianco.
zts6425e	Stai mentendo... chi sei!?
zts6426e	Sono un Angelo di Paradiso Mistico. Mi chiamo Rudy Stewart e sono uno degli otto sacerdoti del Re degli Angeli.
zts6427e	Perché tieni segreta la tua vera identità?
zts6428e	Non avevo altra scelta... Il mio principale obiettivo è difendere la pace. Se ancora non mi credi, chiedi allora a Eri. Lei conosce bene il tipo di incantesimo demoniaco che stai realizzando al momento. Forse allora mi capirai...
zts6429e	(Rody Windsinger esita un secondo e poi aggiunge con voce ferma:)
zts6430e	Gli Angeli stanno sempre dalla parte della giustizia. Eri te lo confermerà.
zts6431e	Bene... Allora io sto dalla parte degli Angeli.
zts6432e	(Porti l'ultimo ingrediente a Soty Bystander. Sembra quasi in stato di estasi.
zts6433e	Grazie mille. Sei un avventuriero di grande valore. Grazie a te, adesso siamo in grado di gestire il problema. Ora porta l'ingrediente a Rect Lat. Farà in modo di eseguire il sortilegio. Ti ricordi dove hai incontrato Rect Lat la prima volta? Ti sta aspettando nello stesso posto!
zts6434e	Atto 3 - Qual è la verità?
zts6435e	Ci deve essere un malinteso.
zts6436e	Perché non mi ha detto che sei un Demone?
zts6437e	Voi Umani ritenete che noi Demoni siamo vostri nemici. È chiaro che tengo segreta la mia vera identità. E tu non avresti esitato a tradirmi solo perché te l'ha chiesto un Angelo. Ho ragione, o no?
zts6438e	Dunque...
zts6439e	Fanno un po' tutti così. Per questo non dico mai subito chi sono realmente. Però ora mi voglio presentare come si deve. Mi chiamo Rect Lightelusion. Sono l'assistente di Soty. Soty Bystander è un'assistente del grande Surcan, uno dei cinque devoti di Hellord.
zts6440e	E quindi sei mio nemico?
zts6441e	No, non lo sono... I seguaci di Surcan non sono ostili agli Umani. Coloro che tentano di resuscitare l'Albero di Fernon servono altri maestri.
zts6442e	Come posso sapere con esattezza che tu non sei di fatto mio nemico?
zts6443e	E tu come puoi credere che gli Angeli stiano dalla tua parte? Solo perché sono Angeli? Molto divertente...
zts6444e	Guarda! Hanno evocato dei mostri per farci fuori. E a te hanno detto che volevano conoscere la mia vera identità. Credi davvero che Fever non esploda una volta che la sua metamorfosi sarà conclusa?
zts6445e	(Rect Lat lancia un sasso a terra. È simile al minerale che ha mangiato Fever. Non appena colpisce il suolo, si sente un grosso boato.)
zts6446e	Guarda che esplosione ha provocato una pietra di piccole dimensioni. Come puoi credere che Fever non esploderà? Si nutre di questo minerale in quantità industriali!
zts6447e	Era...
zts6448e	Il Re degli Angeli dovrebbe fare ingresso in questo mondo da NosVille. Perché proprio questa città? Potrebbero risvegliarlo pure a Paradiso Mistico, la loro città.
zts6449e	Dipende dal fatto che qui ci siano molti Demoni.
zts6450e	Sbagliato. Noi siamo venuti qui per fermare gli Angeli. I loro preparativi sono iniziati molto tempo fa. Probabilmente hanno anche tentato di resuscitare Lateor a Paradiso Mistico. Ma devono aver causato una catastrofe. Niente di strano che cerchino un nuovo posto per permettere al Re degli Angeli di tornare. In questo modo, possono risparmiare la loro città e combattere contro Hellord.
zts6451e	Dici che il nostro mondo sta per diventare una zona di guerra?
zts6452e	Vedo che inizi a capire. Io vorrei evitare la guerra. Per questo ho bisogno del tuo aiuto.
zts6453e	Come posso fidarmi di te?
zts6454e	Non conosci la leggenda della prima guerra tra Paradiso Mistico e Hellord? La dea Zenas voleva porre fine una volta per tutte alla faccenda ed eliminare sia Paradiso Mistico sia Hellord. Erenia, Madre divina, la trattenne però dal farlo. Da allora è nostro dovere conservare l'equilibrio. Hellord ha molti servitori: alcuni di loro vogliono la pace, altri la guerra. Io voglio preservare la pace. Se il Re degli angeli si dovesse risvegliare, infatti, l'equilibrio salterebbe. Erenia non riuscirebbe a placare a lungo l'anima di Zenas. E a quel punto..
zts6455e	... andrebbe tutto a pezzi.
zts6456e	(Rect Lat annuisce)
zts6457e	Non mi fido di te, ma allo stesso tempo non posso più credere neanche agli Angeli...
zts6458e	Non voglio costringerti a fare niente. Dovresti prima fare alcune ricerche. Poi saprai su chi devi fare affidamento. Purtroppo non ci è riuscito nemmeno di adescare Fever. Ora, però, dobbiamo scoprire assolutamente dove si nasconda. La quantità di minerale di cui dispone è sufficiente per permettergli di trasformarsi in crisalide. Al momento sta sicuramente in un luogo sicuro per tessere il suo bozzolo. Con molta probabilità in un albero secolare... prova a immaginare.
zts6459e	(Chi diamine sta dicendo la verità? Non posso fidarmi né dei Demoni né degli Angeli. Ho bisogno di fare un'indagine approfondita... solo così sarò in grado di scoprire la verità.)
zts6460e	Nella zona nord del Bosco di Aceri c'è un albero secolare. Non dovrebbe essere molto difficile da trovare.
zts6461e	Questo è il posto che ha nominato Rect Lat.
zts6462e	Non avrei mai pensato che queste Grotte Sotterranee fossero così grandi...
zts6463e	Qui ci sono delle tracce. Sembrerebbero di Fever. Ma non posso dirlo con esattezza... i mostri non mi permettono di esaminarle con precisione...
zts6464e	Qui finiscono le tracce. Che... che diamine di rumori sono questi? Meglio andare a controllare di persona.
zts6465e	(Stai tentando di non farti scoprire dagli Angeli e, tutto d'un tratto, compare Eri)
zts6466e	E tu che ci fai qui? Ti hanno ferito. Fammi vedere.
zts6467e	Non ti avvicinare!
zts6468e	Avevi promesso di darci una mano. Quindi puoi fare affidamento su di noi, se ti serve aiuto.
zts6469e	E per esprimere gratitudine, visto che sto dalla vostra parte, avete già tentato di uccidermi due volte?
zts6470e	Non so di cosa stia parlando.
zts6471e	Ora smettila. L'ingrediente che mi avete dato, quello per l'incantesimo, non era quello giusto. Ha evocato dei mostri che per poco non mi uccidevano. E quando ho esplorato queste grotte, mi avete assalito. Queste ferite sono la prova che i tuoi sgherri mi hanno attaccato. E quindi dovrei ancora credere che non siete miei nemici?
zts6472e	(Eri fa cadere Slade Oxtern e inizia a piangere)
zts6473e	Non ti ho mai mentito. MAI! E non avrei neanche tentato di ferire una persona onesta come te. Mi hai aiutato spesso... più spesso di quanto io non abbia aiutato te... *sob*
zts6474e	Ok, ok... ora smetti di piangere.
zts6475e	Allora... mi credi?
zts6476e	Per il momento sì...
zts6477e	E allora permettimi di curare le tue ferite.
zts6478e	(Non appena Eri stende le mani sulle tue ferite, i suoi palmi emanano luce. Le tue ferite si rimarginano.)
zts6479e	Sto cercando Fever... sai per caso dove si trovi al momento?
zts6480e	(Eri tentenna)
zts6481e	Devo scoprire chi è che dice la verità. Devo capire che tipo di creatura sia davvero questo Fever.
zts6482e	Sembra che stiano accadendo dei fatti al limite del verosimile... specie ora che riferisci che qui ci sono molti altri Angeli. A dir la verità, io e Rody Windsinger dovremmo essere gli unici Angeli presenti in questa zona. Solo noi abbiamo ricevuto un incarico per quest'area. Se sono arrivati degli altri Angeli, mi piacerebbe conoscere i motivi. Posso venire con te?
zts6483e	Il bozzolo di Fever deve trovarsi a Seli-Lusha. Così almeno ha detto Rody Windsinger.
zts6484e	Il ponte...
zts6485e	È distrutto...
zts6486e	E ora... che facciamo?
zts6487e	(Eri pensa. Poi sembra trovare una soluzione)
zts6488e	Penso che esista una Strada Sotterranea che porta a Seli-Lusha.
zts6489e	Davvero?
zts6490e	Sì, ne sono sicura. Fidati di me!
zts6491e	Eri... Sei sicura di conoscere la strada che porta al passaggio?
zts6492e	Hmm.... non al cento per cento.
zts6493e	Ma hai detto di sapere dove si trovava l'ingresso della Strada Sotterranea!
zts6494e	Pensavo fosse qui... ma a quanto pare mi sbagliavo...
zts6495e	Diamo uno sguardo qui nei dintorni...
zts6496e	*sigh* Ok...
zts6497e	Hm... Davvero strano.
zts6498e	La Strada Sotterranea dovrebbe trovarsi qui. Prima però sbarazziamoci dei mostri.
zts6499e	Certo.
zts6500e	Qui non c'è niente!!!
zts6501e	Eh?! Com'è possibile...
zts6502e	Proviamo in questa direzione.
zts6503e	Su, dai...
zts6504e	Comunque, a quanto pare, l'entrata non è qui.
zts6505e	Ora credo di non avere dubbi. L'ingresso per la Strada Sotterranea doveva essere lì dove c'erano i mostri.
zts6506e	Scusa...
zts6507e	Non è nemmeno qui...
zts6508e	Non penso questo sia il posto giusto.
zts6509e	Questa zona è tutt'altro che accogliente, indipendentemente dal fatto che ci troviamo nel posto giusto o meno...
zts6510e	Vieni, dai, ora dobbiamo sicuramente trovarci nel posto giusto!!
zts6511e	L'hai già detto settecento volte. Mi arrendo...
zts6512e	Sembra che pian pianino ci stiamo avvicinando all'entrata, non credi?
zts6513e	Io credo che stavolta non riusciremo a sopravvivere.
zts6514e	Ehi, guarda là!! Quello è l'ingresso!!
zts6515e	Speriamo di non aver gioito troppo in fretta.
zts6516e	Ma è chiaro, questo è l'ingresso! L'ho trovato!
zts6517e	Per davvero... L'entrata della Strada Sotterranea!!
zts6518e	Beh... (Eri sogghigna soddisfatta)
zts6519e	Gli Angeli stanno sempre nel giusto.
zts6520e	Avevi ragione nel dire che l'entrata si trovava "probabilmente qui da qualche parte".
zts6521e	Eheh... mi dispiace.
zts6522e	Non preoccuparti. Meno male... ce l'abbiamo fatta. E stiamo bene.
zts6523e	Finalmente, abbiamo raggiunto la nostra meta. Uff...
zts6524e	(In lontananza si sente un brusio di voci)
zts6525e	Si sta avvicinando qualcuno...
zts6526e	Da questa parte...
zts6527e	Korrkoaren ha già trovato la Perla del crepuscolo? In questo caso, dovrebbe averla data a Catlotta.
zts6528e	La Perla del crepuscolo? No... Korrkoaren e Kenel non sono ancora stati qui.
zts6529e	Maledizione... Ho bisogno urgente della Perla del crepuscolo...
zts6530e	Serve anche a te? E quindi vuoi eseguire un potente incantesimo sigillante?
zts6531e	(Spieghi a Catlotta ciò che è successo)
zts6532e	Ricordi? Volevo sigillare per sempre l'Albero di Fernon con la perla. A ogni modo... credo che sia meglio cedere la perla a te. Cercherò di scoprire dove si trova Korrkoaren.
zts6533e	Potresti farlo?
zts6534e	Chiaro. Il mio cristallo Catty trova qualsiasi cosa.
zts6535e	(Speriamo che il cristallo ci metta meno tempo a trovare Koaren di quanto non ce ne abbia impiegato Eri per rintracciare la Strada Sotterranea)
zts6536e	(Catlotta consulta la sua sfera di cristallo e ti dice che Kenel e Korrkoaren sono ancora su Monte Krem alla ricerca della perla)
zts6537e	Come posso raggiungerli?
zts6538e	Neanche io so esattamente come li possa raggiungere su Monte Krem. Colly conosce bene quella zona, no?
zts6539e	Ti do il benvenuto. Gli spiriti del vento mi hanno riferito della tua imminente venuta. Cosa posso fare per te?
zts6540e	(Racconti a Colly ciò che Catlotta ha visto nella sfera di cristallo)
zts6541e	Quel posto non è semplice da raggiungere. Se tu partissi ora, il viaggio durerebbe diversi giorni, a passo di marcia.
zts6542e	Non ho così tanto tempo. Devo vedere Korrkoaren. Urgentemente.
zts6543e	Gli spiriti... Forse è giunto il momento di utilizzare l'incantesimo dimenticato.
zts6544e	L'incantesimo dimenticato?
zts6545e	Si chiama "Stelle e vento: per starti vicino". La mia famiglia veglia su questa magia da generazioni e non ne ha mai rivelato il segreto. L'incantesimo funziona quasi come una Pietra spazio-temporale. Per eseguirlo sono addirittura necessari dei materiali simili. Non avrei mai immaginato di eseguirlo. Per questo non dispongo dei materiali. Dovrei chiederti di procurarmeli.
zts6546e	Sono segnati su questa lista. Ecco a te.
zts6547e	Quale sarebbe il prossimo?
zts6548e	Ora ho bisogno di un ultimo ingrediente.
zts6549e	Ottimo lavoro! Grazie! Ora pronuncerò "Stelle e vento: per starti vicino". Concentrazione...
zts6550e	(Colly mormora la formula magica)
zts6551e	Fulgida luce di stelle, impetuosi intrecci di vento. Libero come la natura è il vostro eterno vagare. Condividete con me il vostro potere, con me che amo la libertà.
zts6552e	(Non appena l'incantesimo sprigiona il suo effetto, la stanza si riempie di luce)
zts6553e	(Spieghi a Korrkoaren per quale motivo hai bisogno della Perla del crepuscolo)
zts6554e	Credo in te. Sii prudente.
zts6555e	(Ho bisogno dell'aiuto di Eri e Ract Lat per portare a termine il tutto)
zts6556e	Atto 3 - La decisione di Eri e Rect Lat
zts6557e	(Mostri la Perla del crepuscolo a Eri e le spieghi come si può bloccare la metamorfosi di Fever)
zts6558e	Ho bisogno del tuo aiuto!
zts6559e	Se ti aiutassi, mi accuserebbero di tradimento.
zts6560e	Non trovi che sia ingiusto?
zts6561e	In che senso "ingiusto"?
zts6562e	Se Lateor, il Re degli Angeli, si risveglia e giunge nel nostro mondo, si verificherà una brutale esplosione. Il mio paese si trasformerà poi in un campo di battaglia, luogo di conflitto tra Angeli e Demoni. E tu vuoi restare a guardare senza fare niente?
zts6563e	No... mai... ma...
zts6564e	So che ti sta a cuore ogni vita umana e che odi la guerra. Però, Rody Windsinger vuole dare inizio al conflitto nel nostro mondo. Un conflitto eterno!!
zts6565e	Inoltre, non riuscirò mai a collaborare con i Demoni. Sono l'incarnazione dei pensieri oscuri di Ancelloan. Non potrò mai condividerli.
zts6566e	Sai già cosa accadrà. Quando Lateor si risveglierà, il potere del minerale sarà rilasciato in un solo colpo. Ho bisogno di te: tu conosci il minerale e conosci Rody Windsinger meglio di tutti.
zts6567e	Credo proprio che ogni tua azione sia mossa... da amore. Lo so... aiuteresti qualsiasi Umano, sei contro la guerra e faresti di tutto per evitare che inizi. Rody Windsinger, però, è posseduto da una forte brama di potere e la sua determinazione non conosce confini. Qualcuno deve frapporsi tra lui e i suoi deliranti obiettivi. Per questo ho bisogno di te. Senza di te, non ce la posso fare. Ti prego, aiutami.
zts6568e	(Eri riflette per un po' prima di rispondere)
zts6569e	Hai ragione... è necessario mantenere l'equilibrio tra Bene e Male. E dobbiamo evitare che ci siano delle vittime tra gli Umani.
zts6570e	(Ora devo discutere con Rect Lat)
zts6571e	Hm... Hai intenzione di chiedere aiuto a Rect Lat?
zts6572e	Chiaro.
zts6573e	Ma...
zts6574e	Senza il suo aiuto falliremo. Quindi devi fargli cambiare idea.
zts6575e	Ti stavo aspettando... non c'è bisogno che mi dica niente. Tu vuoi che appoggi il tuo piano. Vuoi evitare che Lateor risorga.
zts6576e	Non voglio tornare a Hellord. Lì regnano violenza e cupidigia. Si combatte per la sopravvivenza. Anche se non credo in Erenia, questo mondo per me è importante. Non saprei che fare se venisse distrutto.
zts6577e	È certo che se non ci fosse vita, niente avrebbe senso.
zts6578e	Proprio il ragionamento tipico di un Angelo.
zts6579e	Cosa? Ti stai prendendo gioco di me?
zts6580e	No, per niente. Ti rispetto parecchio. <pname>? Hai idea di cosa dovremmo fare?
zts6581e	Bisogna andare a Seli-Lusha.
zts6582e	Allora muoviamoci... La metamorfosi sta per concludersi e presto Lateor risorgerà.
zts6583e	(In lontananza compare una schiera d'Angeli...)
zts6584e	Non preoccupatevi, vi coprirò le spalle.
zts6585e	Grazie, Rect Lat. Andiamo Eri.
zts6586e	Sii forte, Angelo! Hai dichiarato guerra al tuo popolo.
zts6587e	Lo so... e comunque, il mio nome è Eri!
zts6588e	Capito... Eri. Bene, andiamo!
zts6589e	Non possiamo scontrarci con ogni Angelo della milizia. Dovremmo tentare di sfondare le loro fila e poi raggiungere il bozzolo.
zts6590e	Sorelle, mi dispiace tanto... lo faccio per gli Umani... perdonatemi, vi prego!
zts6591e	Questo è gigantesco...
zts6592e	Grosso abbastanza anche per Fever. A breve si schiuderà il bozzolo...
zts6593e	Dobbiamo evitare che succeda... Bisogna fare presto!
zts6594e	Andiamo!
zts6595e	Non un altro passo!! Che siate maledetti. Che il Re degli Angeli possa punirvi!!
zts6596e	Andrai incontro alla tua rovina insieme al tuo re... annegherai nel vuoto, tu, apologeta dell'ipocrisia!
zts6597e	Il Re degli Angeli, al suo risveglio, sarà furente.
zts6598e	La sua ira non mi fa paura!
zts6599e	Siamo solo a metà strada. Passiamo di qui!
zts6600e	Da quella parte si ritorna in superficie... non credi che dovremmo proseguire verso il basso?
zts6601e	<pname>, decidi tu!
zts6602e	(Non esiti un secondo) Andremo in direzione di Rect Lat!
zts6603e	Ahah... proprio divertente...
zts6604e	Ascoltate! Voi credete che ogni vostro sforzo sia finalizzato al compimento di una buona causa. Ma vi sbagliate. Distruggere delle vite non è mai giustificabile. Se uccidete degli Umani, con loro morirà anche la futura speranza di vita dell'intero mondo. State commettendo un'atroce nefandezza, credetemi...
zts6605e	Il nostro agire è legato alla realizzazione della volontà di Lateor. Non esistono altri scopi per il nostro operato. Nessuna vittima è tanto importante da ridurre il valore dei suoi propositi.
zts6606e	(Un Angelo si accosta di soppiatto a Eri Windspear. Come tenta di attaccarla, Rect Lat lo scaraventa a terra.)
