zts1e	Neuer Gegenstand
zts3016e	Du kannst die Schutzrolle benutzen, wenn du deine Spezialistenkarte von Level 0-9 verbesserst. Selbst wenn die Verbesserung fehlschlägt, verlierst du die Items "Glänzende grüne Seele", "Glänzende rote Seele", "Drachenhaut" und "Drachenblut" nicht. Die Seele der Karte bleibt erhalten.[n][Anleitung][n]Der Schutzeffekt beginnt, sobald du einen Doppelklick auf die Schutzrolle machst.[n]Bei einem erneuten Doppelklick verschwindet der Effekt wieder.[n](In diesem Fall wird noch keine Schutzrolle verbraucht.)[n]Nur wenn du versuchst, eine Spezialistenkarte unter dem Effekt der Schutzrolle zu verbessern, verbrauchst du jeweils eine SP-Schutzrolle.[n]
zts3017e	Du kannst die Schutzrolle benutzen, wenn du deine Spezialistenkarte von Level 10-14 verbesserst. Selbst wenn die Verbesserung fehlschlägt, verlierst du die Items "Glänzende blaue Seele" und "Drachenherz" nicht! Die Seele der Karte bleibt erhalten.[n][Anleitung][n]Der Schutzeffekt beginnt, sobald du einen Doppelklick auf die Schutzrolle machst.[n]Bei einem erneuten Doppelklick verschwindet der Effekt wieder.[n](In diesem Fall wird noch keine Schutzrolle verbraucht.)[n]Nur wenn du versuchst, eine Spezialistenkarte unter dem Effekt der Schutzrolle zu verbessern, verbrauchst du jeweils eine SP-Schutzrolle.[n]
zts3018e	Dieses Schwert wurde aus den Waffen besiegter Soldaten geschmiedet.[n][n]
zts3019e	Enthält den Geist der Krieger.[n][n]
zts3020e	Die Sehne des Bogens ist mit Leichtigkeit zu bedienen.[n][n]
zts3021e	Sie scheinen nicht besonders nützlich zu sein.[n]Effekt:[n]40% Resistenz gegen leichten Giftdorn[n][n]
zts3022e	Bedeckt deine Ohren.[n]Effekt:[n]Resistenz gegen den Mandra-Schrei[n][n]
zts3023e	Du bist sehr clever, wenn du diesen Gegenstand trägst.[n]Effekt: 30% Resistenz gegen leichte Verzweiflung.[n][n]
zts3024e	Dieser Hut hält deinen Kopf warm.[n][n]
zts3025e	Ein Hut, der wie ein Pümpel aussieht.[n][n]
zts3026e	Schützt deinen Kopf.[n][n]
zts3027e	Kopfschmuck, der an Insektenfühler erinnert.[n][n]
zts3028e	Taoisten lieben dieses Stirnband.[n][n]
zts3029e	Der Funny Fish-Hut.[n][n]
zts3030e	Attraktive Personen lieben es![n][n]
zts3031e	Der Hut mit dem Horn eines Wasserbüffels.[n][n]
zts3032e	Klassische rechteckige Brille
zts3033e	Schmuddelige rechteckige Brille
zts3034e	Modische rechteckige Brille
zts3035e	Luxuriöse rechteckige Brille
zts3036e	Rechteckige Brille des Gelehrten
zts3037e	Monokel des Gelehrten
zts3038e	Rundes Monokel
zts3039e	Verleiht dir elementare Angriffskraft,[n]die der Elementstärke deines Charakters hinzugefügt wird.[n][n]
zts3040e	Mit diesem Gegenstand kannst du[n]dein NosMate in eine Perle[n]einsperren und sie im Inventar[n]oder im Warenhaus aufbewahren.[n]Kann mit anderen Spielern getauscht werden.[n][n][Anleitung][n]Wähle dein NosMate an und klicke[n]zweimal auf die Perle.[n][n][Achtung][n]Durch die Lagerung des NosMates[n]in dieser Perle wird sein Name[n]verloren gehen. Sollte dein[n]NosMate ein höheres Level haben[n]als dein eigenes, kannst du es zwar[n]im Miniland freilassen, aber nicht[n]mit auf Missionen nehmen.[n][n]
zts3041e	Ein charmanter Katzenhut.[n][n]
zts3042e	Ein schelmischer Eselhut.[n][n]
zts3043e	Dieser Hut ist bei den Cowboys im Wilden Westen sehr beliebt.[n][n]
zts3044e	Ein niedlicher Affenhut.[n][n]
zts3045e	Ein wilder Antilopenhut.[n][n]
zts3046e	Ein riesiger Trichterwindenhut.[n][n]
zts3047e	Ein niedlicher Pinguinhut.[n][n]
zts3048e	Ein alter, aber eleganter Zylinder.[n][n]
zts3049e	Ein hübsches Stirnband, das an Bärenohren erinnert.[n][n]
zts3050e	Kleiner Blumentopfhut[n][n]
zts3051e	Räubermaske
zts3052e	Grimmige Maske
zts3053e	Schrille Maske
zts3054e	Stille Maske
zts3055e	Ehrliche Maske
zts3056e	Heilende Maske
zts3057e	Augenbinde
zts3058e	Augenbinde des Abgrunds
zts3059e	Augenbinde der Fantasie
zts3060e	Gelocktes Haar im Apollo-Style[n][n]
zts3061e	Haar, das irgendwie explodiert aussieht[n][n]
zts3062e	Eine Punkfrisur in einer ungewöhnlichen Farbe.[n][n]
zts3063e	Eine Stachelfrisur in einer ungewöhnlichen Farbe.[n][n]
zts3064e	Ein niedlicher Pandahut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3065e	Ein süßes Kragenbärenkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3066e	Ein süßes Eisbärenkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3067e	Ein süßes Pandakostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3068e	Ein süßes Teddybärenkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3069e	Ein niedlicher Kragenbärenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3070e	Ein niedlicher Eisbärenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3071e	Ein niedlicher Teddybärenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3072e	Ein niedlicher Rattenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3073e	Eine cooles Outfit.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3074e	Ein lässiges Outfit.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3075e	Dieser Hut beugt Schuppen vor, massiert deine Kopfhaut und verleiht deinen Haaren Glanz.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3076e	Dieser prächtige Hut ist ziemlich schwer und verursacht Nackenschmerzen![n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3077e	Ein kleiner, leichter Nussschalenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3078e	Früher haben Beamte solche Hüte getragen. Sie erzeugen eine besondere Atmosphäre.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3079e	Eine hübsche, traditionell koreanische Kopfbedeckung.[n]Die Anwendungszeit beginnt, sobald du sie aufsetzt.[n][n]
zts3080e	Ein luxuriöses, traditionell chinesisches Accessoire.[n]Die Anwendungszeit beginnt, sobald du es benutzt.[n][n]
zts3081e	Ein hübsches, traditionell japanisches Accessoire.[n]Die Anwendungszeit beginnt, sobald du es benutzt.[n][n]
zts3082e	Eine traditionell koreanische Kopfbedeckung.[n]Die Anwendungszeit beginnt, sobald du sie aufsetzt.[n][n]
zts3083e	Ein interessanter asiatischer Hut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3084e	Eine elegante, traditionell japanische Kopfbedeckung.[n]Die Anwendungszeit beginnt, sobald du sie aufsetzt.[n][n]
zts3085e	Ein traditionell koreanisches Kostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3086e	Ein traditionell chinesisches Kostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3087e	Ein traditionell japanisches Kostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3088e	Ein Hundekostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3089e	Ein Katzenkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3090e	Ein Hasenkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3091e	Unreife Feuerfee
zts3092e	Unreife Wasserfee
zts3093e	Unreife Lichtfee
zts3094e	Unreife Schattenfee
zts3095e	Ein Tigerkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3096e	Ein Löwenkostüm.[n]Die Anwendungszeit beginnt, sobald du es anziehst.[n][n]
zts3097e	Ein Hundehut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3098e	Ein Katzenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3099e	Häschenohren.[n]Die Anwendungszeit beginnt, sobald du sie aufsetzt.[n][n]
zts3100e	Ein niedlicher Tigerhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3101e	Ein Löwenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3102e	Ein Hasenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3103e	Ehrwürdiger Tigerhut.[n]Anwendungszeit beginnt sobald du ihn zum ersten Mal aufgesetzt hast.[n][n]
zts3104e	Ein Löwenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3105e	Haarnadel der Vernunft
zts3106e	Eine niedliche sternförmige Haarnadel.[n]Effekt:[n]10% Resistenz gegen leichte Blackouts[n][n]
zts3107e	Haarnadel der Konzentration
zts3108e	Eine niedliche sternförmige Haarnadel.[n]Effekt:[n]30% Resistenz gegen leichte Blackouts[n][n]
zts3109e	Haarnadel der Hoffnung
zts3110e	Eine niedliche sternförmige Haarnadel.[n]Effekt:[n]40% Resistenz gegen leichte Verzweiflung[n][n]
zts3111e	Haarnadel der Hingabe
zts3112e	Eine niedliche sternförmige Haarnadel.[n]Effekt:[n]35% Resistenz gegen leichte Blackouts[n]40% Resistenz gegen leichtes Nervengas[n][n]
zts3113e	Stoffstirnband
zts3114e	Dieses Stirnband verbessert die Konzentrationsfähigkeit.[n]Effekt:[n]15% Resistenz gegen leichte Blutungen[n][n]
zts3115e	Lederstirnband
zts3116e	Dieses Stirnband verbessert die Konzentrationsfähigkeit.[n]Effekt:[n]30% Resistenz gegen leichte Blutungen[n][n]
zts3117e	Leichtes Stirnband
zts3118e	Dieses Stirnband verbessert die Konzentrationsfähigkeit.[n]Effekt:[n]25% Resistenz gegen leichte Lähmungen[n][n]
zts3119e	Seidenes Stirnband
zts3120e	Dieses Stirnband verbessert die Konzentrationsfähigkeit.[n]Effekt:[n]40% Resistenz gegen leichte Blutungen[n]35% Resistenz gegen leichte Lähmungen[n]40%  Resistenz gegen Verzweiflungen[n][n]
zts3121e	Silbernes Blumenstirnband
zts3122e	Ein mit Blumen verziertes Stirnband.[n]Effekt:[n]10% Resistenz gegen Blackouts[n][n]
zts3123e	Verfluchtes Blumenstirnband
zts3124e	Ein mit Blumen verziertes Stirnband.[n]Effekt:[n]25% Resistenz gegen Blutungen[n][n]
zts3125e	Weißes Blumenstirnband
zts3126e	Ein mit Blumen verziertes Stirnband.[n]Effekt:[n]30% Resistenz gegen Blackouts[n][n]
zts3127e	Feuriges Blumenstirnband
zts3128e	Ein mit Blumen verziertes Stirnband.[n]Effekt:[n]35% Resistenz gegen Brennen[n]20% Resistenz gegen Angst[n][n]
zts3129e	Es ist nützlich, um schnell irgendwohin zu gelangen.[n][n]
zts3130e	Eisiges Blumenstirnband
zts3131e	Ein mit Blumen verziertes Stirnband.[n]Effekt:[n]30% Resistenz gegen Frost[n]25% Resistenz gegen Horror[n][n]
zts3132e	Schützendes Blumenstirnband
zts3133e	Ein mit Blumen verziertes Stirnband.[n]Effekt:[n]25% Resistenz gegen Waffe schwächen[n]25% Resistenz gegen Frost[n]30% Resistenz gegen Brennen[n][n]
zts3134e	Kälte-Kopfschutz
zts3135e	Kopfschutz.[n]Effekt:[n]20% Resistenz gegen Kälte[n][n]
zts3136e	Panik-Kopfschutz
zts3137e	Kopfschutz.[n]Effekt:[n]25% Resistenz gegen Blackouts[n]35% Resistenz gegen Schwächungen des Angriffselements[n][n]
zts3138e	Todes-Kopfschutz
zts3139e	Kopfschutz.[n]Effekt:[n]25% Resistenz gegen Blackouts[n]50% Resistenz gegen die Hand des Todes[n][n]
zts3140e	Gift-Kopfschutz
zts3141e	Kopfschutz.[n]Effekt:[n]30% Resistenz gegen Blutungen[n]40% Resistenz gegen Todesgifte[n][n]
zts3142e	Starker Kopfschutz
zts3143e	Kopfschutz.[n]Effekt:[n]30% Resistenz gegen Blutungen[n]40% Resistenz gegen Horror[n][n]
zts3144e	Ultimativer Kopfschutz
zts3145e	Kopfschutz.[n]Effekt:[n]20% Resistenz gegen Blutungen[n]15% Resistenz gegen Blackouts[n]60% Resistenz gegen Schwächungen des Angriffselements[n]60% Resistenz gegen die Hand des Todes[n][n]
zts3146e	Steinhaarreif
zts3147e	Ein Haarreif mit niedlichen Flügeln.[n]Effekt:[n]15% Resistenz gegen Versteinerung[n][n]
zts3148e	Winterhaarreif
zts3149e	Ein Haarreif mit niedlichen Flügeln.[n]Effekt:[n]20% Resistenz gegen tödliche Blackouts[n]25% Resistenz gegen schlechte Kälte[n][n]
zts3150e	Sommerhaarreif
zts3151e	Ein Haarreif mit niedlichen Flügeln.[n]Effekt:[n]20% Resistenz gegen fatales Brennen[n]25% Resistenz gegen schwere Blutungen[n][n]
zts3152e	Leichter Haarreif
zts3153e	Ein Haarreif mit niedlichen Flügeln.[n]Effekt:[n]20% Resistenz gegen ernsten Horror[n]25% Resistenz gegen starke Untauglichkeit[n][n]
zts3154e	Harter Haarreif
zts3155e	Ein Haarreif mit niedlichen Flügeln.[n]Effekt:[n]20% Resistenz gegen Todesgift[n]20% Resistenz gegen Zerbrechen der Verteidigungswaffe[n][n]
zts3156e	Engelshaarreif
zts3157e	Ein Haarreif mit niedlichen Flügeln.[n]Effekt:[n]25% Resistenz gegen tödliche Blackouts[n]25% Resistenz gegen fatales Brennen[n]25% Resistenz gegen schwere Blutungen[n]25% Resistenz gegen starke Untauglichkeit[n][n]
zts3158e	Pandahut (7 Tage/Event)
zts3159e	Pandahut (30 Tage/Event)
zts3160e	Kragenbärenhut (7 Tage/Event)
zts3161e	Kragenbärenhut (30 Tage/Event)
zts3162e	Eisbärenhut (7 Tage/Event)
zts3163e	Eisbärenhut (30 Tage/Event)
zts3164e	Teddybärenhut (7 Tage/Event)
zts3165e	Teddybärenhut (30 Tage/Event)
zts3166e	Kragenbärenkostüm (7 Tage/Event)
zts3167e	Kragenbärenkostüm (30 Tage/Event)
zts3168e	Eisbärenkostüm (7 Tage/Event)
zts3169e	Eisbärenkostüm (30 Tage/Event)
zts3170e	Pandakostüm (7 Tage/Event)
zts3171e	Pandakostüm (30 Tage/Event)
zts3172e	Teddybärenkostüm (7 Tage/Event)
zts3173e	Teddybärenkostüm (30 Tage/Event)
zts3174e	Wasserbüffelhorn (7 Tage)
zts3175e	Der Hut mit einem Horn von einem Wasserbüffels[n]Anwendungszeit beginnt sobald du ihn zum ersten Mal aufgesetzt hast.[n][n]
zts3176e	Ritterhelm (7 Tage)
zts3177e	Der Helm des legendären schwarzen Ritters.[n]Die Anwendungsdauer beginnt, sobald du ihn zum ersten Mal aufgesetzt hast.[n][n]
zts3178e	Katzenhut (7 Tage)
zts3179e	Ein charmanter Katzenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3180e	Fühler (7 Tage)
zts3181e	Kopfschmuck, der an Insektenfühler erinnert.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3182e	Funny Fish-Hut (7 Tage)
zts3183e	Der Funny Fish-Hut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3184e	Geweihhut (7 Tage)
zts3185e	Dieser Hut hält deinen Kopf warm.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3186e	Pümpelhut (7 Tage)
zts3187e	Ein Hut, der wie ein Pümpel aussieht.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3188e	Pinguinhut (7 Tage)
zts3189e	Ein niedlicher Pinguinhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3190e	Haarschmuck (7 Tage)
zts3191e	Schützt deinen Kopf.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3192e	Alter Zylinder (7 Tage)
zts3193e	Ein alter, aber eleganter Zylinder.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3194e	Stirnband des Orakels (7 Tage)
zts3195e	Taoisten lieben dieses Stirnband.[n]Die Anwendungszeit beginnt, sobald du es aufsetzt.[n][n]
zts3196e	Trichterwindenhut (7 Tage)
zts3197e	Ein riesiger Trichterwindenhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3198e	Eselhut (7 Tage)
zts3199e	Ein schelmischer Eselhut.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3200e	Cowboyhut (7 Tage)
zts3201e	Dieser Hut ist bei den Cowboys im Wilden Westen sehr beliebt.[n]Die Anwendungszeit beginnt, sobald du ihn aufsetzt.[n][n]
zts3202e	Wird beim Betreten eines Timespace benötigt.[n][n]
zts3203e	Kann veredelt werden, um Donnerflusssand, Cellapuder und andere Materialien zu erhalten.[n]Um es zu veredeln, kaufe einen Veredler und doppelklicke darauf.[n][n]
zts3204e	Wird zum Verbessern der Ausrüstung[n]von +1 bis +7 benutzt.[n][n]
zts3205e	Wird zum Verbessern der Ausrüstung[n]von +8 bis +10 benutzt.[n][n]
zts3206e	Erhöht die Basis-SpP um 50 Punkte.[n][n]
zts3207e	Quest der Klangblume
zts3208e	Stellt die HP vollständig wieder her.[n]Erhöht zusätzlich die SpP um 100.[n][n]
zts3209e	Stellt die HP/MP vollständig wieder her.[n]Erhöht zusätzlich die SpP um 300.[n][n]
zts3210e	Stellt die HP/MP vollständig wieder her.[n]Entfernt alle schlechten Effekte.[n]Erhöht zusätzlich die SpP um 500.[n][n]
zts3211e	Startet den Cuby Mutter-Raid am Jellyplatz bei den Sonnigen Wiesen.[n]Empfohlenes Level: 30-45[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang.[n]Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen, erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n][n]
zts3212e	Startet den Ginseng-Raid bei der Ginsengfarm am Fernonvorposten.[n]Empfohlenes Level: 40-59[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang.[n]Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen, erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n][n]
zts3213e	Startet den Dark Castra-Raid im Saal d. Totenklage im Fernontempel U2.[n]Empfohlenes Level: 50-65[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang.[n]Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen, erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n][n]
zts3214e	Startet den Raid der schwarzen Riesenspinne bei der Spinnenhöhle in der Berghöhle 5 in Mount Krem.[n]Empfohlenes Level: 60-75[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang.[n]Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen, erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n][n]
zts3215e	Startet den Riesenslade-Raid am Altar der Qualen am Gipfel des Krem.[n]Empfohlenes Level: 70-85[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang.[n]Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen,[n]erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n][n]
zts3216e	Startet den Huhnkönig-Raid auf der Hühnerfarm in NosVille.[n]Empfohlenes Level: 20-35[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, wähle einen Mitspieler[n]und benutze den Button "Team". Sollten alle Vorbereitungen getroffen sein, gehe zum Raideingang.[n]Wenn der Teamleiter den Raid betritt,[n]folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen[n]können zwar bei dem Raid mitmachen, erhalten jedoch eine Bestrafung.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n][n]
zts3217e	Kann ein Item sofort nach Benutzung verbessern.[n] Kann verwendet werden, um Items von 0 bis +6 zu verbessern.[n] Wenn der Vorgang fehlschlägt, verschwindet das Item nicht.[n]Anleitung:[n]Öffne das Upgradefenster per Doppelklick.[n]Wenn du das Item in diesem Fenster verbesserst, ist es vor Zerstörung geschützt.[n][n]
zts3218e	Verstärkt die Fähigkeiten der ausgerüsteten Fee für eine Stunde um 20%.[n]Kann auf alle Feen angewendet werden.[n]Verändert das Aussehen deiner Fee.[n]Wenn du den Feenverstärker verwendest, kannst du die Fee erst wieder wechseln, wenn die Wirkung abgeklungen ist.[n][n]
zts3219e	Armirs Produktionsbuch
zts3220e	Einband von Armirs Produktionsbuch
zts3221e	Feuerholz
zts3222e	Feuerholz
zts3223e	Eismaschine
zts3224e	Gillionsteinveredler
zts3225e	Durch Veredeln eines Gillionsteines kannst du Donnerflusssand, Cellapuder und andere Materialien erhalten.[n][n]
zts3226e	Puppe der Wiedergeburt
zts3227e	Wenn du stirbst, wird eine Puppe verbraucht und du wirst an dem Ort, an dem du gestorben bist, wiedergeboren.[n]Du erleidest keinen Schwächungseffekt der Wiederbelebung.[n]Stellt 50% deiner HP wieder her.[n][n]
zts3228e	Partner-Schutzengel
zts3229e	Mit diesem Schutzengel kannst du deinen Partner wiederbeleben.[n]Stellt 50% der HP deines Partners wieder her.[n][n]
zts3230e	Premium-Medaille (10 Tage)
zts3231e	Medaillen mit verschiedenen positiven Effekten.[n][Haupteffekt][n]1. Den Kategorien "Ausrüstung", "Haupt" und "Andere" werden 12 weitere Plätze hinzugefügt, also ingesamt 36 weitere Plätze.[n]2. Klicke auf das Rucksack-Symbol im Portrait deines Partners,[n]um 50 Plätze seines Rucksacks zu verwenden.[n]3. Klicke auf das Rucksack-Symbol im Portrait deines Partners,[n]um das Warenhaus in deinem Miniland direkt zu öffnen.[n]4. Verstärkt die Elementkraft deines NosMates um 20%[n]und verändert das Aussehen bestimmter Feen.[n]5. Erhöht die Geschwindigkeit deines NosMates um 2[n]und die Erfahrungspunkte um 20%.[n][n]
zts3232e	Premium-Medaille (30 Tage)
zts3233e	Hut-Glücksbox (7 Tage)
zts3234e	Eine Glücksbox mit verschiedenen Hüten![n]Öffne die Kiste, um für 7 Tage einen Hut zu erhalten.[n][n]
zts3235e	Kostüm-Glücksbox (7 Tage)
zts3236e	Eine Glücksbox mit verschiedenen Kostümen![n]Öffne die Kiste, um für 7 Tage ein Kostüm zu erhalten.[n][n]
zts3237e	Hut-Glücksbox (30 Tage)
zts3238e	Eine Glücksbox mit verschiedenen Hüten![n]Öffne die Kiste, um für 30 Tage einen Hut zu erhalten.[n][n]
zts3239e	Kostüm-Glücksbox (30 Tage)
zts3240e	Eine Glücksbox mit verschiedenen Kostümen![n]Öffne die Kiste, um für 30 Tage ein Kostüm zu erhalten.[n][n]
zts3241e	Beste Glücksbox
zts3242e	Eine Glücksbox mit verschiedenen Gegenständen![n]Öffne sie, um einen seltenen Gegenstand zu erhalten.[n][n]
zts3243e	Hochwertige Glücksbox
zts3244e	Gute Glücksbox
zts3245e	Mit diesem Schutzengel kannst du dein NosMate wiederbeleben.[n]Stellt 50% der HP deines Haustiers wieder her.[n][n]
zts3246e	Produktionsbuch für Waffen
zts3247e	[Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3248e	Produktionsbuch für Rüstungen
zts3249e	Eine Produktionsanleitung für Kleidung.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3250e	Produktionsbuch für Handschuhe und Schuhe
zts3251e	Eine Produktionsanleitung für Handschuhe und Stiefel.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3252e	Produktionsbuch für Accessoires
zts3253e	Eine Produktionsanleitung für Accessoires.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3254e	Timespacestein (Huhnkönig)
zts3255e	Der Timespace, um das Siegel des Huhnkönigs zu bekommen.[n]Levellimit: 20-35[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Kann nur allein betreten werden.[n][n]
zts3256e	Timespacestein (Cuby Mutter)
zts3257e	Der Timespace, um das Siegel der Cuby Mutter zu bekommen.[n]Levellimit: 30-45[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Kann nur allein betreten werden.[n][n]
zts3258e	Timespacestein (Ginseng)
zts3259e	Der Timespace, um das Ginseng-Siegel zu bekommen.[n]Levellimit: 40-55[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Kann nur allein betreten werden.[n][n]
zts3260e	Timespacestein (Dark Castra)
