zts1e	Специальные Атаки
zts664e	Вызывает 1 [%s] с вероятностью %s%%. (исчезает по прошествии определенного времени)
zts668e	Привлекает находящихся неподалеку монстров.
zts671e	Атака увеличивается на %s%%.
zts672e	Атака уменьшается на %s%%.
zts673e	Защита увеличивается на %s%%.
zts674e	Защита уменьшается на %s%%.
zts675e	Максимальные ОМ изменены. (Дух Медведя)
zts676e	Увеличивает максимальные ОМ на %s%%, но не больше, чем на 5000 ОМ.
zts677e	Уменьшает максимальные ОМ на %s%%, но не больше, чем на 5000 ОМ.
zts678e	Ослабление навыков всех противников
zts685e	Отражает максимум полученного урона от %s.
zts686e	Урон от всех атак повышается на %s%% с вероятностью %s%%. Успешно выполненное защитное действие перезарядит энергию.
zts687e	Урон от всех атак понижается на %s%% с вероятностью %s%%. Успешно выполненное защитное действие перезарядит энергию.
zts688e	Если ты сможешь сразить противника этим навыком, [%s] возникнет с %s%% вероятностью.
zts689e	Если ты насмехаешься над сокрушенным противником, с %s%% вероятностью возникает [%s].
zts690e	Если ты насмехаешься над противником в обычном состоянии, с %s%% вероятностью возникает [%s].
zts691e	Отражает дебаф противника с определенной вероятностью.
zts694e	Область действия Огненного канонира увеличена на %s.
zts695e	Область действия Огненного канонира уменьшена на %s.
zts696e	Уклоняться от %s блоков противника.
zts699e	Огненные навыки вулкана повышены на %s.
zts700e	Огненные навыки вулкана понижены на %s.
zts704e	Снижает эффективность атак врага, которые усиливают баф.
zts705e	Если тебе удастся отступить от атаки противника, баф будет улучшен определенным образом.
zts706e	Защита от критического урона %s.
zts713e	Сокращает %s%% урона, который твой союзник получает в пределах диапазона. За это ты будешь получать %s%% от урона твоего союзника.
zts714e	Увеличивает урон, который передается от твоего союзника, на %s%%.
zts715e	Уменьшает урон, который передается от твоего союзника, на %s%%.
zts716e	Повышает скорость восстановления ОЗ на %s%%
zts717e	Понижает скорость восстановления ОЗ на %s%%
zts718e	Дополнительный урон от использования комбо-навыка: %s%%
zts728e	C вероятностью %s%% жертвоприношение производит [%s].
zts732e	В указанном месте с вероятностью %s%% [%s] производится.
zts733e	В указанном месте с вероятностью %s%% [%s] снимается.
zts734e	Исчезает бесследно на короткое время.
zts741e	%s%% шанс на неполучение никакого урона. Кроме того, %s%% единиц урона, которые персонаж должен был получить, вместо этого добавляются к его ОЗ.
zts742e	%s%% шанс на неполучение никакого урона. Кроме того, %s%% единиц урона, которые персонаж должен был получить, вместо этого отнимаются от его ОЗ.
zts745e	Урон увеличивается на %s%% благодаря использованию навыка [%s].
zts746e	Урон уменьшается на %s%% благодаря использованию навыка [%s].
zts747e	Шанс критического удара увеличивается на %s%% благодаря использованию навыка [%s].
zts748e	Шанс критического удара уменьшается на %s%% благодаря использованию навыка [%s].
zts752e	Увеличивает урон против %s на %s%%.
zts753e	Если %s нападет на игрока, урон уменьшится на %s%%.
zts754e	Увеличение эффективности восстанавливающих предметов на %s%%
zts755e	Уменьшение эффективности восстанавливающих предметов на %s%%
zts757e	Когда Леона использует карту специалиста партнера,  с %s%% вероятностью производится [%s].
zts758e	Когда Леона использует карту специалиста партнера, с %s%% вероятностью снимается [%s].
zts764e	Нападение на выбранную цель из засады.
zts765e	Врага преследует охотящийся сокол, который может напасть сверху.
zts766e	Соколиная прозорливость помогает вычислить противника с минимальным количеством ОЗ для дальнейшего нападения на него. Этот противник отмечается особой отметкой и становится целью для интенсивных атак других игроков
zts767e	Защита в ПвП увеличена.
zts768e	Получаемый в ПвП урон понижается на %s%%.
zts769e	Защита в ПвП уменьшена на %s%%.
zts776e	Восстанавливает %s%% от оставшихся ОЗ противника
zts777e	Понижает %s%% от оставшихся ОЗ противника
zts778e	При использовании %s раз(а), [%s] производится. Может достигать максимум 2 уровня.
zts779e	Диапазон атаки увеличен на %s.
zts780e	Диапазон атаки уменьшен на %s.
zts781e	Двигайся в другом направлении в течение %s секунд против воли игрока.
zts782e	С вероятностью %s%% [%s] производится благодаря атаке из засады.
zts787e	После выстрела снайпера с вероятностью %s%% [%s] производится.
zts788e	После выстрела снайпера с вероятностью %s%% [%s] снимается.
zts789e	Диапазон атаки из засады увеличен на %s.
zts790e	С вероятностью %s%% после нападения из засады [%s] производится.
zts793e	Ты теряешь контроль над телом. Другие игроки могут освободить тебя из вечного льда.
zts794e	С вероятностью %s%% короткая медитация производит [%s].
zts795e	С вероятностью %s%% обычная медитация производит [%s].
zts796e	С вероятностью %s%% долгая медитация производит [%s].
zts799e	Ты получишь %s%% урона от критического удара атаки снайпера.
zts808e	С вероятностью %s%% происходит перемещение на %s клеток назад.
zts810e	С вероятностью %s%% противника отталкивает на %s клетки.
zts811e	Длительность применяемых в ближнем бою эффектов увеличена на %s.
zts812e	Длительность применяемых в ближнем бою эффектов уменьшена на %s.
zts813e	Длительность применяемых в дальнем бою эффектов увеличена на %s.
zts814e	Длительность применяемых в дальнем бою эффектов уменьшена на %s.
zts815e	Длительность магических эффектов увеличена на %s.
zts816e	Длительность магических эффектов уменьшена на %s.
zts817e	Если тебя убьет другой игрок, его ОЗ понизятся на %s%%
zts818e	Если тебя убьет другой игрок, его ОЗ повысятся на %s%%
zts819e	Увеличивает силу ПвП атаки.
zts820e	Увеличивает силу ПвП атаки на %s%%.
zts821e	Уменьшает силу ПвП атаки на %s%%.
zts823e	Телепортирует тебя на выбранное место.
zts827e	С вероятностью %s%% вызывает [%s].
zts828e	Восстанавливает твои ОЗ на %s%%
zts829e	Понижает твои ОЗ на %s%%
zts831e	Может охотиться на овец.
zts832e	Баф групповой арены
zts833e	Сила защиты групповой арены
zts834e	Сила атаки групповой арены
zts835e	С вероятностью %s%% полученный на групповой арене урон увеличится на %s%%.
zts836e	С вероятностью %s%% полученный на групповой арене урон уменьшится на %s%%.
zts837e	С вероятностью %s%% сила атаки во время битвы на групповой арене увеличится на %s%%.
zts838e	С вероятностью %s%% сила атаки во время битвы на групповой арене уменьшится на %s%%.
zts840e	Вызов номер 1
zts841e	Вызов номер 2
zts842e	Вызов номер 3
zts843e	Наблюдение
zts844e	Вызвать 1 участника
zts845e	Вызвать 2 участника
zts846e	Вызвать 3 участника
zts847e	Переключить камеру на обзор участника, находящегося в битве
zts849e	Теперь ты можешь видеть находящихся рядом с тобой скрытых персонажей.
zts850e	Увеличение очков опыта феи
zts851e	Количество очков опыта, которое получает твоя фея, увеличивается на %s%%.
zts853e	Брось желудь так сильно, как сможешь.
zts860e	С вероятностью в %s%% призывает %s темных клонов.
zts861e	Восстанавливающие ОЗ эффекты конвертируются в урон с вероятностью %s%%
zts862e	Превращает наносимый противником урон в эффект исцеления с вероятностью %s%%. Восстановленные ОЗ и накопленный урон исчезают через %s секунд
zts863e	С вероятностью в %s%% время восстановления навыков противника увеличится на %s%%. При успешном применении навыка собственное время восстановления сократится.
zts864e	С вероятностью %s%% урон от элемента тьмы повышается на %s%%, пока тебя сопровождает фея тьмы.
zts865e	Урон от элемента тьмы будет понижен с вероятностью в %s%% на %s%%.
zts869e	С вероятностью в %s%% появится [%s], если есть поглощенная душа.
zts870e	С вероятностью в %s%% появится [%s], если нет поглощенной души.
zts871e	Сопротивление принудительному перемещению с вероятностью в %s%%.
zts873e	Время восстановления магических навыков повышается на %s%%.
zts874e	Время восстановления магических навыков понижается на %s%%.
zts877e	Нанесение урона всем врагам в поле зрения, кроме определенных мест.
zts878e	Понижает ОЗ противника на %s%% с вероятностью %s%%
zts879e	Понижает ОЗ на %s%% от нанесенного урона с вероятностью %s%%
zts883e	Призывает колючий кустарник в пределах видимости.
zts884e	Превращает цель во что-то другое.
zts886e	С вероятностью %s%% полезные эффекты ниже %s уровня не могут быть использованы.
zts890e	Быстро телепортирует на %s клеток вперед.
zts891e	Вызывает 10 (+%s) метеоритов, падающих с неба.
zts892e	Телепортирует тебя и участников %s группы в сохраненное место.
zts894e	Способен выполнить только обычную атаку из-за гнева.
zts895e	Привлекает внимание монстров на расстоянии 5 клеток вокруг тебя.
zts900e	%s%% шанс игнорирования %s%% защиты цели.
zts901e	%s%% шанс снижения получаемого критического урона на %s%%.
zts904e	Превращение в героя. Максимальные ОМ изменены в процентном соотношении.
zts905e	Призрак Анкеллоан. Повышает максимальное количество ОЗ и ОМ на %s%%
zts906e	Призрак Анкеллоан. Понижает максимальное количество ОЗ и ОМ на %s%%
zts908e	Во время атаки с %s%% вероятностью призывается теневой клон, который производит дополнительную атаку.
zts909e	Кража эффекта
zts910e	Удачная атака крадет полезный эффект ниже %s уровня с цели. Максимум %s эффектов.
zts912e	Удачная атака может украсть полезные эффекты ниже %s уровня с партнера цели и перенаправить их на союзников, стоящих не далее 3 клеток. Максимально может быть украдено до %s эффектов.
zts913e	Прервать транформацию
zts914e	С %s%% вероятностью трансформация прерывается. Возвращение к прежнему состоянию после исчезновения эффекта.
zts916e	Не может атаковать %s секунд.
zts917e	С %s%% вероятностью трансформация прерывается. Если прерывание успешно, ты не можешь атаковать %s секунд. Персонаж вернется в предыдущее состояние.
zts919e	Смена положения
zts920e	Меняется местами с целью. Как только эффект перестает действовать, персонаж возвращается на свое прежнее место.
zts923e	Количество очков репутации, которое ты потеряешь после смерти, повышается на %s%%.
zts924e	Количество очков репутации, которое ты потеряешь после смерти, понижается на %s%%.
zts925e	Количество очков опыта чемпиона, которое ты потеряешь после смерти, повышается на %s%%.
zts926e	Количество очков опыта чемпиона, которое ты потеряешь после смерти, понижается на %s%%.
zts928e	Наказание будет исполнено. Смерть ждет!
zts931e	Урон по игрокам фракции ангелов повышается на %s%%.
zts932e	Когда ты атакуешь ангелов, твой максимальный урон понижается до %s%%.
zts933e	Урон по игрокам фракции демонов повышается на %s%%.
zts934e	Когда ты атакуешь демонов, твой максимальный урон понижается до %s%%.
zts937e	С вероятностью %s%% сбрасывает время перезарядки использованного атакующего навыка.
zts938e	С вероятностью %s%% накладывает %s на союзника в пределах 5 клеток.
zts939e	С вероятностью %s%% удаляет %s с союзника в пределах 5 клеток.
zts940e	С вероятностью %s%% снимает положительные эффекты ниже %s уровня
zts942e	С вероятностью %s%% повышает урон на %s%%, если уровень монстра выше, чем уровень персонажа.
zts943e	С вероятностью %s%% понижает урон на %s%%, если уровень монстра выше, чем уровень персонажа.
zts945e	Блокирует %s негативных эффектов до %s уровня.
zts947e	Твоя скорость передвижения повышается на %s, когда ты прячешься.
zts948e	Твоя скорость передвижения понижается на %s, когда ты прячешься.
zts955e	Повышает количество получаемых очков репутации на %s%%.
zts956e	Понижает количество получаемых очков репутации на %s%%.
zts957e	Повышает количество получаемого чемпионского опыта на %s%%.
zts958e	Понижает количество получаемого чемпионского опыта на %s%%.
zts959e	Через %s ч. ты можешь получить %s неизвестных предметов, если твой помощник тебя сопровождает.
zts960e	С вероятностью %s%% снимает положительный эффект с противника.
zts961e	С помощью магии мертвых создает костяного дракона и дает игроку драконскую живучесть.
zts962e	С помощью магии мертвых создает костяного дракона и дает игроку сильную драконскую живучесть.
zts970e	Атаки по скрытым врагам наносят %s дополнительного урона
zts972e	Урон от скрытых врагов повышен на %s%%
zts973e	Урон от скрытых врагов понижен на %s%%
zts974e	Обнаруживает скрытых врагов в пределах %s клеток
zts977e	Возврат в мини-страну для регенерации %s%% ОЗ. Если у тебя максимальное количество ОЗ, ты получаешь %s%% дополнительных ОЗ
zts980e	Навык можно использовать %s раз(а) без перезарядки.
zts985e	Трансформируйся и встань в Драконью стойку, в которой ты можешь наносить сильнейшие огненные атаки.
zts986e	Трансформируйся и встань в Хэтэ стойку, в которой ты можешь наносить сильнейшие звериные атаки.
zts987e	С вероятностью %s%% время перезарядки %s сбрасывается.
zts991e	Повышение количества получаемых очков опыта основного и рабочего уровней на %s%%.
zts993e	С вероятностью %s%% выстреливает магическую стрелу, когда ты используешь магические навыки или навыки с дальней атакой.
zts997e	Дает %s%% шанс повышения силы огненной атаки на %s%%.
zts998e	Дает %s%% шанс понижения силы огненной атаки на %s%%.
zts999e	Когда он сопровождает игрока, он предоставляет повышение силы атаки против монстров из запечатанных сосудов на %s%% и повышение силы атаки против монстров в Стране мертвых на %s%%.
zts1000e	Когда он сопровождает игрока, он предоставляет понижение силы атаки против монстров из запечатанных сосудов на %s%% и понижение силы атаки против монстров в Стране мертвых на %s%%.
zts1002e	Шаг в сторону
zts1003e	Просветление
zts1004e	Лунное поглощение
zts1005e	Сбор лепестков
zts1006e	Знак луны
zts1007e	Накладывает %s с вероятностью %s%% при успешном уклонении от атаки.
zts1008e	Используй навык с положительным эффектом, пока Просветление еще активно, чтобы активировать дополнительные эффекты.
zts1010e	Позволяет использовать навыки Полнолуния.
zts1012e	Позволяет использовать навыки Цветка Лотоса.
zts1014e	Следующий урон, который ты нанесешь на отмеченного соперника, будет повышен на %s%% и потратит Знак луны.
zts1015e	Следующий урон, который по тебе нанесет отмеченный соперник, будет повышен на %s%% и потратит Знак луны.
zts1016e	Сила атаки против монстров из Запечатанных сосудов повышается на %s%%, а против монстров в Стране мертвых - на %s%%.
zts1017e	Сила атаки против монстров из Запечатанных сосудов понижается на %s%%, а против монстров в Стране мертвых - на %s%%.
zts1019e	Сопротивление
zts1020e	Возможность атаковать
zts1021e	Знак полнолуния
zts1022e	Сдерживание светом полнолуния
zts1023e	Когда тебя атакуют, с вероятностью %s%% срабатывает %s.
zts1024e	После использования атакующего навыка с опреденной вероятностью срабатывает еще одна Возможность атаковать.
zts1025e	Следующий урон, который ты нанесешь отмеченному сопернику, будет повышен на %s%%. На это потратится Знак полнолуния.
zts1026e	Если эффект Сдерживание лунным светом наложен на соперника, сработает эффект Сдерживание светом полнолуния.
zts1027e	Изменяет процентную силу элемента.
zts1028e	Изменяет процентную силу элемента огня.
zts1029e	Изменяет процентную силу элемента воды.
zts1030e	Изменяет процентную силу элемента света.
zts1031e	Изменяет процентную силу элемента тьмы.
zts1032e	Изменяет процентную силу всех элементов.
zts1033e	Дополнительный урон от элемента огня повышается на %s%%.
zts1034e	Сила элемента огня понижается на %s%%.
zts1035e	Сила элемента воды повышается на %s%%
zts1036e	Сила элемента воды понижается на %s%%.
zts1037e	Сила элемента света повышается на %s%%.
zts1038e	Сила элемента света понижается на %s%%.
zts1039e	Сила элемента тьмы повышается на %s%%
zts1040e	Сила элемента тьмы понижается на %s%%.
zts1041e	Сила всех элементов повышается на %s%%
zts1042e	Сила всех элементов понижается на %s%%
zts1043e	Изменяет процентное сопротивление элементам.
zts1044e	Изменяет все процентное сопротивление.
zts1045e	Изменяет процентное сопротивление элементу огня.
zts1046e	Изменяет процентное сопротивление элементу воды.
zts1047e	Изменяет процентное сопротивление элементу света.
zts1048e	Изменяет процентное сопротивление элементу тьмы.
zts1049e	Сопротивление всем элементам повышается на %s%%.
zts1050e	Сопротивление всем элементам понижается на %s%%.
zts1051e	Сопротивление элементу огня повышается на %s%%.
zts1052e	Сопротивление элементу огня понижается на %s%%.
zts1053e	Сопротивление элементу воды повышается на %s%%.
zts1054e	Сопротивление элементу воды понижается на %s%%.
zts1055e	Сопротивление элементу света повышается на %s%%.
zts1056e	Сопротивление элементу света понижается на %s%%.
zts1057e	Сопротивление элементу тьмы повышается на %s%%.
zts1058e	Сопротивление элементу тьмы понижается на %s%%.
zts1060e	Когда предмет выпадает, с определенной вероятностью он может выпасть еще раз.
zts1061e	Когда с монстра, с которым ты сражаешься, падает предмет, с %s%% вероятностью он может выпасть еще раз.
zts1064e	Повышение силы элемента экипированной феи на %s.
zts1065e	Понижение силы элемента экипированной феи на %s.
zts1070e	(Текущие ОЗ/макс. ОЗ * %s)%% шанс наложения %s на твоего противника.
zts1071e	(Недостающие ОЗ/макс. ОЗ * %s)%% шанс наложения %s на твоего противника.
zts1072e	При успешной атаке ты получаешь %s очков силы.
zts1073e	При получении атаки во время блока, ты получаешь %s очков силы.
zts1074e	Ты можешь использовать навыки силы.
zts1075e	Действие эффекта заканчивается, когда ты получаешь урон от противника.
zts1078e	Сила атаки в ПвП повышается на %s%% на время Радужной битвы. Скорость передвижения повышается на %s на время Радужной битвы.
zts1079e	Сила атаки в ПвП понижается на %s%% на время Радужной битвы. Скорость передвижения понижается на %s на время Радужной битвы.
zts1086e	С %s%% вероятностью весь элементальный урон повышается на %s%%.
zts1087e	С %s%% вероятностью весь элементальный урон понижается на %s%%.
zts1088e	С вероятностью %s%% урон от всех огненных атак повышается на %s%%.
zts1089e	С вероятностью %s%% урон от всех огненных атак понижается на %s%%.
zts1090e	С вероятностью %s%% урон от всех водных атак повышается на %s%%.
zts1091e	С вероятностью %s%% урон от всех водных атак понижается на %s%%.
zts1092e	С вероятностью %s%% урон от всех светлых атак повышается на %s%%.
zts1093e	С вероятностью %s%% урон от всех светлых атак понижается на %s%%.
zts1094e	С вероятностью %s%% урон от всех темных атак повышается на %s%%.
zts1095e	С вероятностью %s%% урон от всех темных атак понижается на %s%%.
zts1102e	Повышение урона по растениям низкого уровня на %s%%.
zts1103e	Понижение урона по растениям низкого уровня на %s%%.
zts1104e	Повышение урона по животным низкого уровня на %s%%.
zts1105e	Понижение урона по животным низкого уровня на %s%%.
zts1106e	Повышение урона по монстрам низкого уровня на %s%%.
zts1107e	Понижение урона по монстрам низкого уровня на %s%%.
zts1108e	Повышение урона по ковольтам на %s%%.
zts1109e	Понижение урона по ковольтам на %s%%.
zts1110e	Повышение урона по кэтси на %s%%.
zts1111e	Понижение урона по кэтси на %s%%.
zts1116e	Понижение урона по духам низкого уровня на %s%%.
zts1117e	Повышение урона по ангелам на %s%%.
zts1118e	Понижение урона по ангелам на %s%%.
zts1119e	Повышение урона по демонам на %s%%.
zts1120e	Понижение урона по демонам на %s%%.
zts1126e	Понижение урона по монстрам в Стране мертвых на %s%%.
zts1127e	Повышение урона по монстрам из Запечатанных сосудов на %s%%.
zts1128e	Понижение урона по монстрам из Запечатанных сосудов на %s%%.
zts1129e	Повышение количества получаемого опыта на %s%%.
zts1130e	Понижение количества получаемого опыта на %s%%.
zts1131e	Повышение количества получаемого рабочего опыта на %s%%.
zts1132e	Понижение количества получаемого рабочего опыта на %s%%.
zts1138e	Понижение количества очков атаки в карте специалиста на %s.
zts1139e	Повышение количества очков защиты в карте специалиста на %s.
zts1140e	Понижение количества очков защиты в карте специалиста на %s.
zts1141e	Повышение количества очков элемента в карте специалиста на %s.
zts1142e	Понижение количества очков элемента в карте специалиста на %s.
zts1143e	Повышение количества очков ОЗ и ОМ в карте специалиста на %s.
zts1144e	Понижение количества очков ОЗ и ОМ в карте специалиста на %s.
zts1150e	Повышение силы всех атак на %s%%.
zts1151e	Понижение силы всех атак на %s%%.
zts1152e	Повышение силы атак ближнего боя на %s%%.
zts1153e	Понижение силы атак ближнего боя на %s%%.
zts1154e	Повышение силы атак дальнего боя на %s%%.
zts1155e	Понижение силы атак дальнего боя на %s%%.
zts1156e	Повышение силы магических атак на %s%%.
zts1157e	Понижение силы магических атак на %s%%.
zts1158e	Повышение урона по духам низкого уровня на %s%%.
zts1159e	Повышение урона по монстрам в Стране мертвых на %s%%.
zts1160e	Повышение количества очков атаки в карте специалиста на %s.
zts1162e	Во время атаки с вероятностью %s%% элемент твоей экипированной может повыситься на %s.
zts1163e	Во время атаки с вероятностью %s%% элемент твоей экипированной может понизиться на %s.
zts1169e	Во время атаки с вероятностью %s%% может наложить %s на твоего противника.
zts1170e	Во время атаки с вероятностью %s%% позволяет получить %s.
zts1171e	Когда ты защищаешься, с вероятностью %s%% может наложить %s на твоего противника.
zts1172e	Когда ты защищаешься, с вероятностью %s%% позволяет получить %s.
zts1176e	Когда тебя атакуют навыком с элементом тьмы, с вероятностью %s%% может запустить %s.
zts1177e	Когда на тебя накладываются негативные эффекты, сила атаки и защиты повышается на %s%% за каждый негативный эффект.
zts1178e	Когда на тебя накладываются положительные эффекты, сила атаки и защиты повышается на %s%% за каждый положительный эффект.
zts1180e	С %s%% вероятностью противник, стоящий в пределах 2 клеток, получает %s.
zts1181e	С %s%% вероятностью %s снимается с противника, стоящего в пределах 2 клеток.
zts1190e	Во время твоей защиты с вероятностью %s%% призывается %s.
zts1191e	Во время твоей защиты с вероятностью %s%% призываются два %s.
zts1198e	Во время твоей атаки с %s%% вероятностью срабатывает Метеоритный удар.
zts1199e	Во время твоей защиты с %s%% вероятностью %s%% ед. урона отражаются в противника.
zts1200e	Во время твоей атаки с %s%% вероятностью срабатывает атака волка.
zts1201e	Во время твоей защиты с %s%% вероятностью противник отбрасывается назад.
zts1210e	Во время твоей атаки с %s%% вероятностью срабатывает удар молнии.
zts1211e	Во время твоей атаки с %s%% вероятностью срабатывает Сила проклятия.
zts1212e	Во время твоей атаки с %s%% вероятностью срабатывает атака медведя.
zts1213e	Во время твоей атаки с %s%% вероятностью срабатывает Сила льда.
zts1215e	Урон по нежити низкого уровня повышается на %s%%.
zts1216e	Урон по нежити низкого уровня понижается на %s%%.
zts1220e	Сила защиты от атак ближнего боя повышается на %s%%.
zts1221e	Сила защиты от атак ближнего боя понижается на %s%%.
zts1222e	Сила защиты от атак дальнего боя повышается на %s%%.
zts1223e	Сила защиты от атак дальнего боя понижается на %s%%.
zts1224e	Сила защиты от магических атак повышается на %s%%.
zts1225e	Сила защиты от магических атак понижается на %s%%.
zts1227e	Скорость восстановления ОМ повышается на %s%%
zts1228e	Скорость восстановления ОМ понижается на %s%%
zts1231e	Урон по монстрам повышается на %s%%.
zts1232e	Урон по монстрам понижается на %s%%.
zts1234e	Потребление очков производства понижается на %s%%.
zts1235e	Потребление очков производства повышается на %s%%.
zts1237e	Уклонение повышается на %s%%.
zts1238e	Уклонение понижается на %s%%.
zts1246e	Во время твоей защиты с %s%% вероятностью %s%% ед. урона отражаются в противника.
zts1247e	Наносит %s ед. урона всем противникам в пределах %s клеток каждые 4 секунды.
zts1248e	Повышает силу атаки твоего НосПомощника на %s%%.
zts1249e	Накладывает %s на всех противников в пределах %s клеток каждые 4 секунды.
zts1250e	Во время твоей атаки с %s%% вероятностью (уровень заклинателя * 18) противник получает урон от Силы апокалипсиса. Он также получает соответствующий негативный эффект.
zts1251e	Во время твоей атаки с %s%% вероятностью ты получаешь Силу отражения.
zts1252e	Во время твоей атаки с %s%% вероятностью (уровень заклинателя * 15) противник получает урон от Силы волка. Он также получает соответствующий негативный эффект.
zts1253e	Во время твоей атаки с %s%% вероятностью противник отбрасывается назад на 4 клетки.
zts1254e	Во время твоей защиты с %s%% вероятностью противник отбрасывается назад на 4 клетки.
zts1255e	Во время атаки ближнего боя с %s%% вероятностью (уровень заклинателя * 17) противник получает урон от Силы апокалипсиса. Он также получает соответствующий негативный эффект.
zts1257e	Во время твоей атаки с %s%% вероятностью ты получаешь Силу ловкости.
zts1258e	Во время твоей атаки с %s%% вероятностью (уровень заклинателя * 18) противник получает урон от Силы молнии. Он также получает соответствующий негативный эффект.
zts1259e	Во время твоей атаки с %s%% вероятностью на противника срабатывает Сила проклятия.
zts1260e	Во время твоей атаки с %s%% вероятностью (уровень заклинателя * 23) противник получает урон от Силы медведя. Он также получает соответствующий негативный эффект.
zts1261e	Во время твоей атаки с %s%% вероятностью ты получаешь Силу льда.
zts1268e	Магическая броня предотвращает получение %s ед. урона.
zts1269e	Во время твоей защиты с %s%% вероятностью твое сопротивление элементу, которым тебя атакует противник, повышается на %s.
zts1270e	Во время твоей защиты с %s%% вероятностью твое сопротивление элементу, которым тебя атакует противник, понижается на %s.
zts1271e	Максимальное количество ОЗ повышается на %s%%.
zts1272e	Максимальное количество ОЗ понижается на %s%%.
zts1273e	Когда твоя атака блокируется, с %s%% вероятностью блокировка игнорируется.
zts1274e	Уклонение повышается на %s%%.
zts1275e	Точность всех атак повышается на %s%%.
zts1282e	Когда ты получаешь критический урон, с %s%% вероятностью %s%% ед. этого урона отражаются в противника.
zts1283e	У тебя есть (потерянные ОЗ/макс. ОЗ * 100 / %s%% * %s%%) шанс уклониться от атаки.
zts1284e	Урон от критических атак повышается на %s%% за каждый критический удар (макс. %s).
zts1285e	Во время твоей защиты с %s%% вероятностью %s%% ед. получаемого урона отнимаются от твоих ОМ вместо ОЗ.
zts1286e	Общая сила атаки повышается на %s%% от магической защиты.
zts1293e	Во время атаки с %s%% вероятностью лев-лоа наносит %s%% дополнительного урона.
zts1294e	Во время атаки с %s%% вероятностью орел-лоа наносит %s%% дополнительного урона.
zts1295e	Во время атаки с %s%% вероятностью змея-лоа наносит %s%% дополнительного урона.
zts1296e	Во время атаки с %s%% вероятностью медведь-лоа наносит %s%% дополнительного урона.
zts1297e	Когда ты получаешь негативный эффект, с вероятностью %s%% сила всех элементов повышается на %s%%.
zts1299e	Точность повышается на %s%%.
zts1300e	Точность понижается на %s%%
zts1302e	Концентрация повышается на %s%%.
zts1303e	Концентрация понижается на %s%%.
zts1306e	Король Зверей выбрал тебя в качестве цели для укуса.
zts1307e	Количество твоих ОЗ повышается на %s каждый раз, когда ты уклоняешься.
zts1310e	Максимальное количество ОЗ повышается на %s%%.
zts1311e	Максимальное количество ОЗ понижается на %s%%.
zts1312e	Максимальное количество ОМ повышается на %s%%.
zts1313e	Максимальное количество ОМ понижается на %s%%.
zts1315e	Сила атаки против монстров из Запечатанных сосудов повышается на %s%%, а против монстров на Глацерноне на %s%%.
zts1316e	Сила атаки против монстров из Запечатанных сосудов понижается на %s%%, а против монстров на Глацерноне на %s%%.
zts1317e	Все противники в пределах %s клеток получают %s ед. урона каждую секунду.
zts1318e	На всех противников в пределах %s клеток накладывается проклятие %s каждую секунду.
zts1320e	С %s%% вероятностью атакующий получает %s.
zts1321e	Если противник атакует тебя, с %s%% вероятностью он получает %s.
zts1322e	С %s%% вероятностью любой союзник в пределах 2 клеток получает %s.
zts1323e	С %s%% вероятностью %s снимается с союзника, стоящего в пределах 2 клеток.
zts1325e	Белиал отражает твои атаки и наносит урон по твоим союзникам.
zts1327e	Урон от критических ударов повышается на %s%%.
zts1328e	Урон от критических ударов понижается на %s%%.
zts1329e	Во время твоей защиты урон от критических ударов повышается на %s%%.
zts1330e	Во время твоей защиты урон от критических ударов понижается на %s%%.
zts1341e	Если ты победишь монстра, с %s%% вероятностью на тебя будет наложен эффект %s.
zts1353e	Если ты будешь повержен(а), на всех противников в пределах %s клеток будет наложен эффект %s.
zts1361e	Если ты или твой НосПомощник победите монстра, все находящиеся в живых НосПомощники восстановят себе %s%% ОЗ.
zts1362e	Если ты или твой НосПомощник победите монстра, все находящиеся в живых НосПомощники восстановят себе %s%% ОЗ.
zts1363e	Если один из твоих НосПомощников будет повержен, ты восстановишь себе %s%% ОЗ.
zts1364e	Если один из твоих НосПомощников будет повержен, все находящиеся в живых НосПомощники восстановят себе %s%% ОЗ.
zts1365e	Если ты победишь монстра, с %s%% вероятностью на твоих НосПомощников будет наложен эффект %s.
zts1366e	Если ты победишь монстра, с %s%% вероятностью сила атаки твоих НосПомощников будет повышена на %s%%.
zts1367e	Если ты победишь монстра, с %s%% вероятностью сила всех защит твоих НосПомощников будет повышена на %s%%.
zts1368e	Если ты победишь монстра, с %s%% вероятностью все твои НосПомощники восстановят себе %s%% ОЗ.
zts1373e	Если твой НосПомощник победит монстра, сила твоей атаки будет повышена на %s%%.
zts1374e	Если твой НосПомощник победит монстра, сила твоих защит будет повышена на %s%%.
zts1375e	Если ты будешь повержен(а), на всех твоих НосПомощников в пределах %s клеток будет наложен эффект %s.
zts1376e	Если все твои НосПомощники будут повержены, с %s%% вероятностью на тебя будет наложен эффект %s.
zts1377e	Если ты победишь монстра, эффект %s будет наложен на любого из твоих НосПомощников в пределах %s клеток.
zts1378e	Призывает %s.
zts1380e	Если один из твоих НосПомощников будет повержен, все находящиеся в живых НосПомощники восстановят себе %s%% ОЗ.
zts1383e	Сила атаки ваших отрядов повышается (уровень x %s).
zts1384e	Сила защиты ваших отрядов повышается (уровень x %s).
zts1385e	none
zts1386e	Сила атаки ваших отрядов повышается (%s + уровень x %s).
