zts1e	Descansar
zts666e	Teletransporta hacia un lugar determinado y deja trocitos de madera en la posición original
zts667e	Esconde el personaje. Vuelve a aparecer en el siguiente ataque propio o del enemigo
zts668e	Monta el Kamapakun del Rey Polvareda y ataca a los enemigos que se encuentran a su alrededor
zts669e	Invoca la profecía de Jajamaru, ataca y hace desaparecer a tu enemigo
zts670e	Este talento sólo es efectivo para Namaju
zts671e	Recupera el nivel de energía durante un tiempo determinado y daña a Namaju
zts672e	Sprint de los monstruos
zts673e	Ataque instantáneo del guerrero-duende
zts674e	Teletransporte de la mujer malvada
zts675e	Niebla tóxica
zts676e	Ataque básico del Diablo resucitado
zts677e	Deslumbramiento del Diablo resucitado
zts678e	Ataque básico del Falcón-Calavera
zts679e	Ataque básico del Lander
zts680e	Remolino del Lander de la Muerte
zts681e	Silencio del Lander de la Muerte
zts682e	Teletransporte fantasma del Lander de la Muerte
zts683e	Ataque básico del caballero gigante
zts684e	Terremoto del caballero gigante
zts685e	Grito del guerrero gigante
zts686e	Escudo ensordecedor del guerrero gigante
zts687e	Ataque básico del cuerno oscuro
zts688e	Estrella de fuego del cuerno oscuro
zts689e	Salto de primavera
zts690e	Grito de primavera
zts691e	Salto medio de primavera
zts692e	Salto rápido de primavera
zts693e	Ataque básico del dragón de fuego
zts694e	Ataque básico del dragón de huesos
zts695e	Ataque elemental
zts696e	Flecha santa
zts697e	Ataque triple
zts698e	Modo de asedio
zts699e	Modo de defensa
zts700e	Plegaria de restauración
zts701e	Cruz santa
zts702e	Escudo creciente
zts703e	Plegaria de defensa
zts704e	Plegaria de ataque
zts705e	Concentrar
zts706e	Mueve la barra
zts707e	Golpe
zts708e	Sobre la cara
zts709e	Asalto sónico
zts710e	Chute de adrenalina
zts711e	Ataque de locura
zts712e	Gran golpe
zts713e	Corte del tornado
zts714e	Berserker
zts715e	Vida y muerte
zts716e	Ruptura de la armadura
zts717e	Dispara la escopeta
zts718e	Tiro rápido
zts719e	Tiro lejano
zts720e	Acelerador de velocidad
zts721e	Colocabombas
zts722e	Bomba de gas tóxico
zts723e	Tiro explosivo
zts724e	Cura milagrosa
zts725e	Tiro boom
zts726e	Mina de fuego
zts727e	Caída del infierno
zts728e	Lanza el bumerán
zts729e	Golpe de las serpientes
zts730e	Zarpa de bestia
zts731e	Espíritu de águila
zts732e	Resplandor elemental
zts733e	Volar en círculo
zts734e	Espíritu de lobo
zts735e	Down elemental
zts736e	Hiedra
zts737e	Espíritu de oso
zts738e	Fuerza del bosque
zts739e	Bola de hielo
zts740e	Fragmento de hielo
zts741e	Destello de hielo
zts742e	Lanza de hielo
zts743e	Cadena de hielo
zts744e	Escudo de hielo
zts745e	Glaciar
zts746e	Bendición del agua
zts747e	Granizo fuerte
zts748e	Frío
zts749e	Tormenta de nieve
zts750e	Ataque de las burbujas de Criso
zts751e	Ataque de los pies de Treekun
zts752e	Aliento santo
zts753e	Elemento santo
zts754e	Efecto deslumbrador
zts755e	Concentrar
zts756e	Acelerador activado
zts757e	Cadena helada
zts758e	Dispara el arma mágica
zts759e	Tiro combinado
zts760e	Rayo mágico
zts761e	Guardián Fantasma
zts762e	Tiro maldito
zts763e	Maldición oscura
zts764e	Posesión
zts765e	Recarga fantasma
zts766e	Poción maléfica
zts767e	Réquiem
zts768e	Invasión de los fantasmas
zts769e	Ataque obtuso
zts770e	Ataque eléctrico específico
zts771e	Revocación de las plantas
zts772e	Modo Lanza de Erikiel
zts773e	Ataque del topo
zts774e	Ataque de fosilización del basilisco
zts775e	Ataque del polvo de las polillas
zts776e	Ataque-técnica para deshacer
zts777e	Ataque del Graylander
zts778e	Técnica estelar del Graylander
zts779e	Ataque básico de Crisos
zts780e	Ataque del topo-grillo
zts781e	Fuerza concentrada
zts782e	Explosión de bomba
zts783e	Explosión de bomba 2
zts784e	Ataque agresivo
zts785e	Explosión de las minas del campo
zts786e	Ataque básico del derrape
zts787e	Derrape Glaciar
zts788e	Ataque básico de las margaritas
zts789e	Máscara de gas de las margaritas
zts790e	Ataque básico de Seina
zts791e	Cruz santa de Seina
zts792e	Gran ímpetu
zts793e	Sobre la cara
zts794e	Freno de la armadura
zts795e	El ataque básico del Guardián de la Justicia
zts796e	Los oponentes recibirán un flechazo de la flecha santa y quedarán gravemente heridos
zts797e	Los daños triples de tu ataque harán sufrir grandes daños a tu oponente
zts798e	Las criaturas que se encuentran a tu lado quedarán debilitadas por la fuera de la luz del aliento santo.
zts799e	Aumenta todas las fueras de ataque durante un tiempo determinado
zts800e	Tu grupo será envuelto por una luz santa.
zts801e	Los puntos de vida serán recuperados
zts802e	Mediante una explosión causada por el Fantasma de la Luz se generará una gran cruz
zts804e	Aumenta tu fuerza corporal y así como tu nivel de defensa y el de los miembros de tu grupo
zts805e	Aumenta el nivel de ataque y la moral tuyos y de los miembros de tu grupo.
zts806e	Tu objetivo y los enemigos que se encuentren alrededor serán vencidos mediante la invocación del poder concentrado.
zts807e	Es el ataque básico del destructor.
zts808e	Un tiro rápido al enemigo que le hará caer inconsciente.
zts809e	Convierte tu escopeta en un arma sumamente mortal para acabar con todos los enemigos que se encuentren a tu alrededor.
zts810e	Acelera tus movimientos por medio de un acelerador potente.
zts811e	Ataca a los enemigos que se encuentran a tu alrededor mediante la explosión de una bomba especial. Tras 40 segundos, la bomba se desactiva por sí misma.
zts812e	Intoxica a los enemigos que se encuentran a tu alrededor mediante la explosión de una bomba de gas tóxico.
zts813e	El poder de la escopeta ha aumentado
zts814e	Curación de todos los efectos dañinos que te han causado tus enemigos.
zts815e	Ataca a los enemigos y a los que se encuentran a tu alrededor tirando una bomba.
zts816e	Las minas de fuego se lanzan al enemigo
zts817e	La bomba más fuerte se ha encendido accidentalmente.
zts818e	Es el ataque básico del hechizo azul.
zts819e	Ataca al enemigo con trozos de hielo.
zts820e	Congela al enemigo con un poderoso hechizo de hielo.
zts821e	El enemigo recibe daños por culpa de una lanza de hielo
zts822e	Ata al enemigo con un una cadena helada para causarle daños.
zts823e	Disminuye el ataque del enemigo mediante un escudo protector de hielo.
zts824e	Se forman columnas de hielo alrededor del personaje que lanza el hechizo
zts825e	Bendición del agua
zts826e	Aumenta la resistencia al elemento agua
zts827e	Los enemigos sufren daños por el caer de las piedras de granizo
zts828e	Congela al enemigo mediante una corriente de aire frío y muere de congelación
zts829e	Una tormenta de hielo potente causa graves daños a tu enemigo.
zts830e	Técnica de Hellduke
zts831e	Gracias al efecto recuperarás tu nivel de HP
zts832e	Aron místico
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Caballero místico
zts838e	Maximiza el nivel de defensa mediante la formación de un fuerte escudo.
zts840e	Ataque básico del muñeco de nieve
zts842e	Ataque básico de Whitney
zts843e	Rayo maldito de Whitney
zts844e	Golpe del Guerrero místico
zts845e	Ataque básico de Coupe
zts846e	Serpiente Coupe
zts847e	Ataque básico de Justin
zts848e	Gran golpe de Justin
zts849e	Es el ataque básico de Berserker.
zts850e	Ataque básico del Guardabosques
zts851e	Ataque básico del Mago de las tinieblas
zts852e	Es el ataque básico de Berserker.
zts853e	Pega al enemigo con un arma enorme.
zts854e	Pegar al enemigo y a los que se encuentran a su alrededor con un arma con elementos de las tinieblas.
zts855e	Aumenta la fuerza de ataque sacándole el Mal de la mente, pero
zts856e	Reduce la fuerza de defensa
zts857e	Lanzarse con fuerza sobre el enemigo para sacarle el Mal.
zts858e	Golpea a los enemigos indistintamente bajo los efectos de un ataque de locura
zts859e	Golpea a los enemigos y a los que se encuentren a tu alrededor indistintamente bajo los efectos de un ataque de locura
zts860e	Neutraliza la defensa del oponente utilizando armas enormes.
zts861e	Destruye el suelo y al enemigo bajo los efectos de un ataque de locura
zts862e	Aumenta la fuerza de ataque con una reducción del nivel de vida propio.
zts863e	Golpea todo lo que se encuentra alrededor indistintamente utilizando las fuerzas del Mal y de las Tinieblas.
zts864e	Es el ataque básico del Guardabosques.
zts865e	Lanza 2 bumeranes hacia tu oponente.
zts866e	Corta a tus enemigos lanzándoles un bumerán.
zts867e	Puedes realizar ataques certeros en contra el enemigo invocando el alma del águila.
zts868e	Empápate del espíritu de la naturaleza.
zts869e	Corta a los enemigos tirando el bumerán fuertemente.
zts870e	Aumenta la rapidez de movimientos llamando al Espíritu del lobo.
zts871e	Absorbe el Espíritu de la Naturaleza de tu enemigo.
zts872e	Lanza unos cuantos bumeranes a los enemigos que se encuentran a tu alrededor para hacerles pedazos
zts873e	Aumenta la fuerza de defensa llamando al Alma del Oso.
zts874e	Lanza un bumerán enorme junto con el espíritu de la naturaleza.
zts875e	Ataque básico del Mago de las tinieblas
zts876e	Dispara repetidamente tu arma mágica.
zts877e	Un rayo mágico causa una explosión que daña a tu enemigo
zts878e	Un Guardián Fantasma aparece para proteger al personaje de los ataques.
zts879e	Dispara un tiro maldito al enemigo.
zts880e	Cubre al personaje con una oscura maldición que aumenta la fuerza de su elemento de las tinieblas.
zts881e	Un poderoso demonio maldice al oponente
zts882e	Dispara fantasmas malditos repetidamente
zts883e	Envía un espíritu de las tinieblas y rellena al enemigo con el espíritu.
zts884e	Durante el réquiem del demonio comprometido huyen aterrorizados todos los enemigos y sus vidas son absorbidas.
zts885e	Disparos de fuego hacia los fantasmas malditos
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts950e	Descansar
zts951e	(C)
zts952e	Recoger
zts953e	(X,`)
zts954e	Aumenta la fuerza corporal en 5.
zts955e	Aumenta la fuerza corporal en 15.
zts956e	[Maestro] Ataque optimizado
zts957e	Aumenta la fuerza corporal en 60.
zts958e	Aumenta el tempo en 5.
zts959e	Aumenta el tempo en 15.
zts960e	Aumenta el tempo en 60.
zts961e	Aumenta la defensa mágica en 5.
zts962e	Aumenta la defensa mágica en 30.
zts963e	Aumenta la defensa mágica en 60.
zts964e	Aumenta el nivel máximo de HP en 300.
zts965e	Aumenta el nivel máximo de HP en 1000.
zts966e	Aumenta el nivel máximo de HP en 3000.
zts967e	Aumenta el nivel máximo de MP en 300.
zts968e	Aumenta el nivel máximo de MP en 1000.
zts969e	Aumenta el nivel máximo de MP en 3000.
zts970e	[Principiante] Cura natural
zts971e	Especializado en vivos
zts972e	Aumenta la fuerza de ataque a corta distancia en vivos de niveles bajos.
zts973e	Cómo capturar
zts974e	1. Elige un monstruo y comprueba si tiene un símbolo de captura.
zts975e	2. Coge al monstruo todo el tiempo necesario hasta que su nivel de HP esté por debajo del 50%.
zts976e	3. Para capturar al monstruo utiliza la técnica de capturación.
zts977e	4. Si la capturación falla, espera a que la técnica se cargue de nuevo e inténtalo otra vez.
zts978e	Aumenta la fuera de ataque nivel 1
zts979e	Aumenta la fuerza de ataque a corta distancia en estallidos de furia.
zts980e	La fuerza de ataque ha aumentado.
zts981e	Aumenta la fuerza de ataque a corta distancia en los estallidos de furia y ocasiona daños en los aciertos críticos.
zts982e	Aumenta la fuerza de ataque a corta distancia en los temblores.
zts983e	Aumenta la fuerza de ataque a corta distancia en los vendavales.
zts984e	Aumenta la fuerza de ataque a corta distancia en los ataques dobles.
zts985e	Aumenta la fuerza en ataques de larga distancia en los tiros dinámicos.
zts986e	Apunta un acierto significativo.
zts987e	Coge al enemigo y ponlo delante de ti.
zts988e	Después de recoger energía de espada, haz un giro violento con ella en dirección a todos los enemigos situados a tu alrededor, para ocasionarles daños.
zts989e	Dispara una flecha para ahuyentar a tus enemigos.
zts990e	Dispara flechas mientras saltas para herir a los enemigos de tu alrededor sin penalización.
zts991e	Disparo remoto que lanza flechas a los enemigos situados a 3 bloques de ti.
zts992e	Causa daños críticos con un puñal.
zts993e	Añade veneno a tu arma adicional para intoxicar a tu enemigo.
zts994e	Mientras te giras, ataca a todos los enemigos de tu alrededor.
zts995e	En los ataques sorpresa, el movimiento del oponente se detiene.
zts996e	Guarda la energía del ataque para soltar un ataque más fuerte sobre el siguiente objetivo.
zts997e	Aumenta el índice de acierto y el daño crítico del aventurero.
zts998e	Puntas de flechas tóxicas
zts999e	Aumenta la fuerza de ataque a larga distancia del tiro al objetivo.
zts1000e	Aumenta la fuerza de ataque a larga distancia del tiro intensivo.
zts1001e	Barrera mágica
zts1002e	Crea un escudo que disminuye los daños ocasionados por todos los ataques en una cierta probabilidad.
zts1003e	Protección de la naturaleza
zts1004e	Crea una seguridad que reduce todos los daños de los elementos que reciben los miembros del grupo.
zts1005e	Aumenta la fuerza de ataques a larga distancia en los tiros rasantes.
zts1006e	Aumenta la fuerza de ataque a larga distancia durante la lluvia de flechas.
zts1007e	Optimización
zts1008e	Aumenta la fuerza de ataques a corta distancia en las cuchilladas fugaces, así como la probabilidad de interrumpir el movimiento.
zts1009e	Aumenta la fuerza de ataque a corta distancia en una puñalada mortal.
zts1010e	Explosión
zts1011e	Añade una explosión de llamas a los pernos de fuego con una cierta probabilidad.
zts1012e	Hielo
zts1013e	Mediante los pernos de hielo, congela a tu oponente con una cierta probabilidad.
zts1014e	Aumenta el poder de ataque mágico de los raquetes mágicos.
zts1015e	Optimización Nivel 1
zts1016e	Aumenta la fuerza de ataque mágico y el elemento agua del tornado.
zts1017e	Optimización Nivel 2
zts1018e	Aumenta la fuerza de ataque mágico del tiro de piedra.
zts1019e	Aumenta la fuerza de ataque mágico de las balas mágicas
zts1020e	Aumenta la probabilidad de impacto crítico y causa daño adicional.
zts1021e	Aumenta la fuerza de ataque del nivel 2
zts1022e	Utilización del elemento agua Nivel 1
zts1023e	Tiro mágico con elemento agua
zts1024e	Dispara rápidamente ante ti energía de espada
zts1025e	Aumenta todas las resistencias mediante la concentración de tu cuerpo.
zts1026e	Aparece de repente ante tu enemigo y propínale un golpe certero.
zts1027e	Aturde a tu enemigo tirándole grandes balas.
zts1028e	Dispara una flecha con explosivos para causar daños mayores.
zts1029e	Especialización del modo PvP
zts1030e	Aumenta la fuerza de ataque a corta distancia en el modo PvP.
zts1031e	Utilización del elemento fuego nivel 1
zts1032e	Estallido de furia con elemento fuego.
zts1033e	Utilización del elemento fuego Nivel 2
zts1034e	Utilización del elemento tinieblas Nivel 1
zts1035e	Estallido de furia con elemento tinieblas.
zts1036e	Utilización del elemento tinieblas Nivel 2
zts1037e	Aumenta la fuerza de ataque a corta distancia de las cuchillas relucientes.
zts1038e	Especializado en monstruos de niveles bajos
zts1039e	Aumenta la fuerza de ataque a corta distancia de los monstruos de los niveles bajos.
zts1040e	Especializado en animales
zts1041e	Aumenta la fuerza de ataque a corta distancia en los animales de niveles bajos.
zts1042e	Especializado en plantas
zts1043e	Aumenta la fuerza de ataque a corta distancia en plantas de niveles bajos.
zts1044e	Aumenta la fuerza de ataque a corta distancia en monstruos de niveles bajos.
zts1045e	Aumenta la fuerza de ataque a larga distancia en animales de niveles bajos.
zts1046e	Aumenta la fuerza de ataque en nivel 3
zts1047e	Aumenta la fuerza ataque en nivel 4
zts1048e	Utilización del elemento fuego
zts1049e	Convierte su elemento en el elemento fuego.
zts1050e	Aumenta la probabilidad de quedar aturdido en un ataque de estrellas.
zts1051e	Agudiza el efecto y la duración del pacto de sangre.
zts1052e	Aumenta la fuerza de ataque a larga distancia del ataque de tormenta y deja perplejo al oponente.
zts1053e	Coge a tu enemigo de repente, ponlo delante de ti y distráele.
zts1054e	Aumenta la fuerza de ataque a larga distancia de las explosiones.
zts1055e	Aumenta la fuerza de ataque a larga distancia en las plantas de niveles bajos.
zts1056e	Aumenta la fuerza de ataque a larga distancia de los saltos.
zts1057e	Maximiza el efecto y la duración de los ojos de falcón.
zts1058e	Optimiza el cuerno tóxico de nivel 1
zts1059e	Puñal con cuerno tóxico.
zts1060e	Optimiza el cuerno tóxico de nivel 2
zts1061e	Añade el elemento fuego a las explosiones.
zts1062e	Aumenta la fuerza de ataque a larga distancia a los vivos de nivel bajo.
zts1063e	Aumenta la fuerza de ataque a larga distancia en el modo PvP.
zts1064e	Dispara una flecha en llamas para quemar a tu enemigo.
zts1065e	Pernos energéticos con elemento agua.
zts1066e	Utilización del elemento agua nivel 2
zts1067e	Tiro mágico con elemento fuego.
zts1068e	Aumenta la fuerza de ataque mágico y el elemento fuego de los pernos de fuego.
zts1069e	Aumenta la fuerza de ataque mágico y el elemento de agua de los pernos de hielo.
zts1070e	Aumenta la fuerza de ataque mágico del elemento de fuego de la columna de fuego.
zts1071e	Dispara flechas mágicas sobre ti mismo para ocasionar una lluvia de flechas a tu alrededor.
zts1072e	Hiere a tu enemigo en su punto débil con un puñal para ocasionarle daños mayores.
zts1073e	Veneno paralizador
zts1074e	Punta de flecha con veneno paralizador para disminuir la fuerza de tu enemigo.
zts1075e	Veneno fortalecedor
zts1076e	Punta de flecha con veneno fortalecedor para estimular los nervios de tu enemigo.
zts1077e	Optimización del veneno mortal nivel 1
zts1078e	Puñal con veneno mortal.
zts1079e	Optimización del veneno mortal nivel 2
zts1080e	Causa a tu compañero grandes daños invocando el taladro de hielo desde la tierra.
zts1081e	Justicia del cielo
zts1082e	Ataca a tu oponente con la luz del cielo.
zts1083e	Quema a tu enemigo salpicando lava a tu alrededor.
zts1084e	Tira un hechizo concentrado con tu arma mágica.
zts1085e	Invoca el aura de la muerte para desmotivar a tus enemigos.
zts1086e	Invoca un taladro de hielo más frío que nunca, aumenta la fuerza de ataque mágico, así como la probabilidad de causar una helada.
zts1087e	Añade a la justicia del cielo el elemento agua.
zts1088e	Invoca una lava más caliente que nunca, aumenta la fuerza de ataque mágico, así como la probabilidad de quemaduras críticas.
zts1089e	Invocación de Calvina
zts1090e	Ataque básico de Calvina
zts1091e	Aturdimiento nivel 1
zts1092e	Flecha brillante con un hechizo que causa a tu oponente más daños a la hora de sufrir un aturdimiento.
zts1093e	Aumenta la fuerza de ataque a corta distancia en los puntos débiles y causa serias hemorragias a tu oponente.
zts1094e	La técnica de efecto de animación brillará más y su fuerza aumentará.
zts1095e	Vendaval con elemento fuego.
zts1096e	Vendaval con elemento tinieblas.
zts1097e	Tiro dinámico con elemento fuego.
zts1098e	Tiro dinámico con elemento tinieblas.
zts1099e	Ataque doble con elemento fuego.
zts1100e	Ataque doble con elemento tinieblas.
zts1101e	Aumenta la distancia de alcance del tiro.
zts1102e	Aumenta la distancia de alcance del ataque tormenta.
zts1103e	Temblor con elemento fuego.
zts1104e	Utilización del elemento tinieblas.
zts1105e	Temblor con elemento tinieblas.
zts1106e	Estallido de furia con elemento fuego.
zts1107e	Estallido de furia con el elemento sombra.
zts1108e	neutralizar defensa nivel 1
zts1109e	Ataca un punto al descubierto del oponente para destruir sus armas de defensa.
zts1110e	Neutralizar defensa nivel 2
zts1111e	Neutralizar defensa nivel 3
zts1112e	Ataca con la empuñadura de la espada para causar un aturdimiento mortal a tu oponente.
zts1113e	Coge al oponente, ponlo delante de ti y distráelo.
zts1114e	Maximiza el efecto y la duración de la supresión.
zts1115e	Convierte su elemento en un elemento tinieblas.
zts1116e	Optimiza la energía de la espada.
zts1117e	Añade el elemento fuego a la cuchilla reluciente.
zts1118e	Añade el elemento tinieblas a la cuchilla reluciente.
zts1119e	El efecto de animación de la cuchilla reluciente brillará más y su fuerza aumentará.
zts1120e	Añade el elemento tinieblas a la explosión.
zts1121e	El efecto animación de la explosión  brillará más y su fuerza aumentará.
zts1122e	1. Técnicas "Ataque del Zorro"
zts1123e	2. Técnicas "Ataque del Zorro"
zts1124e	3. Ataque básico del Zorro
zts1125e	1. Ataque cazador del Lobo
zts1126e	2. Ataque cazador del Lobo
zts1127e	3. Ataque cazador del Lobo
zts1128e	Utilización del elemento agua.
zts1129e	Tiro al objetivo con elemento agua.
zts1130e	Utilización del elemento luz.
zts1131e	Tiro al objetivo con elemento luz.
zts1132e	Aumenta el índice de acierto.
zts1133e	Aumenta la probabilidad de acertar al oponente con un tiro al objetivo .
zts1134e	Aumenta la probabilidad de impacto crítico
zts1135e	Aumenta la probabilidad de impacto crítico del Tiro al objetivo.
zts1136e	Optimizar (choque mortal)
zts1137e	Maximiza la probabilidad de impacto crítico del Tiro al objetivo.
zts1138e	Tiro intensivo con elemento agua.
zts1139e	Tiro intensivo con elemento luz.
zts1140e	Choque optimizado nivel 1
zts1141e	Dispara una flecha para acertar al oponente a larga distancia.
zts1142e	Choque optimizado nivel 2
zts1143e	Choque optimizado nivel 3
zts1144e	Maximiza la fuerza de ataque a larga distancia del tiro intensivo.
zts1145e	El efecto animación de Tiro desgarrador está activo. Maximiza la potencia y la probabilidad de impacto crítico.
zts1146e	Salto con elemento agua.
zts1147e	Utilización del elemento luz nivel 1
zts1148e	Salto con elemento luz.
zts1149e	Utilización del elemento luz nivel 2
zts1150e	Maximiza la fuerza de ataque a larga distancia del salto.
zts1151e	Tiro rasante con elemento luz.
zts1152e	Tiro rasante con elemento agua.
zts1153e	Maximiza la fuerza de ataque a larga distancia del tiro rasante.
zts1154e	Lluvia de flechas con el elemento agua.
zts1155e	Lluvia de flechas con elemento luz.
zts1156e	Maximiza la fuerza de ataque a larga distancia de la lluvia de flechas.
zts1157e	Picadura mortal con elemento agua.
zts1158e	Picadura mortal con elemento luz
zts1159e	Hemorragia
zts1160e	Causa una picadura a tu enemigo en uno de sus puntos críticos para ocasionarle una hemorragia.
zts1161e	Aturdimiento
zts1162e	Causa una picadura a tu oponente en uno de sus puntos críticos para ocasionarle un aturdimiento.
zts1163e	Maximiza la fuerza de taque a corta distancia de la picadura mortal.
zts1164e	Cuchillada fugaz con elemento agua.
zts1165e	Cuchillada fugaz con elemento luz.
zts1166e	Maximiza la fuerza de ataque a corta distancia de Cuchillada fugaz y aumenta la probabilidad de impacto crítico.
zts1167e	Aturdimiento nivel 2.
zts1168e	El efecto animación de las flechas relucientes brillará más y aumentará su fuerza.
zts1169e	El efecto animación de Atacar punto débil está activo. Maximiza la potencia y la probabilidad de impacto crítico.
zts1170e	Tiro al objetivo a las piernas del oponente, aumenta la fuerza de ataque a larga distancia y la probabilidad de herir la pierna del oponente.
zts1171e	Maximiza el poder de ataque a distancia del tiro al objetivo y aumenta el índice de acierto.
zts1172e	Pernos energéticos con elemento fuego.
zts1173e	Cohetes mágicos con elemento agua.
zts1174e	Cohetes mágicos con elemento fuego.
zts1175e	Maximiza la fuera de ataque mágica de los cohetes mágicos.
zts1176e	Maximiza la fuerza de ataque mágica del tiro de piedra para producir un aturdimiento al oponente.
zts1177e	Protector lumínico
zts1178e	La protección de la naturaleza salvaguarda la energía del elemento luz.
zts1179e	Protección de las tinieblas
zts1180e	La protección de la naturaleza salvaguarda la energía del elemento tinieblas.
zts1181e	El efecto animación del taladro de hielo brillará más y aumentará su fuerza.
zts1182e	Balas mágicas con elemento fuego.
zts1183e	Balas mágicas con elemento agua.
zts1184e	Maximiza la fuerza de ataque mágico de las balas mágicas.
zts1185e	Aumenta la fuerza de ataque durante la recuperación de magia.
zts1186e	Maximiza el efecto de la barrera mágica. Aumenta la duración y la fuerza de absorción.
zts1187e	Optimización nivel 3
zts1188e	Protección a larga distancia nivel 1
zts1189e	Protección a larga distancia nivel 2
zts1190e	Protección a larga distancia nivel 3
zts1191e	Protección mágica nivel 1
zts1192e	Protección mágica nivel 2
zts1193e	Protección mágica nivel 3
zts1194e	Aumenta el ámbito de recuperación nivel 2
zts1195e	Optimiza la ceguera para dejar al enemigo ciego.
zts1196e	Disminuye la velocidad del movimiento.
zts1197e	Reduce el índice de acierto.
zts1198e	Concentra fuerza mágica para adormecer a tu oponente.
zts1199e	Añade el elemento fuego al destello mágico.
zts1200e	Añade el elemento agua al destello mágico.
zts1201e	Aumenta la fuerza de ataque.
zts1202e	Maximiza la fuerza de ataque del destello mágico.
zts1203e	El efecto de animación de la zona Magma brillará más y aumentará su fuerza.
zts1204e	3. Ataque fuerte del Zorro
zts1205e	3. Ataque básico del Lobo
zts1206e	3. Ataque básico del Diablillo
zts1207e	3. Ataque básico del Jelly
zts1208e	3. Ataque básico de la Rata
zts1209e	Protección del agua
zts1210e	La protección de la naturaleza salvaguarda la energía del elemento agua.
zts1211e	Protección del fuego
zts1212e	La protección de la naturaleza salvaguarda la energía del elemento de fuego.
zts1213e	El efecto animación de la justicia del cielo brillará más y su fuerza aumentará.
zts1214e	Optimización (fuerza de ataque)
zts1215e	Maximiza la fuerza de ataque a larga distancia del tiro al objetivo.
zts1216e	Teletransporte de la mujer de hielo.
zts1217e	Ataque del guardián de los demonios.
zts1218e	Ataque del guardián de los Ángeles.
zts1219e	Ataque de hielo
zts1220e	Ataque básico de Robbe
zts1221e	Ataque del Gigante Nebuloso
zts1222e	Ataque básico de la Diabla
zts1223e	Invocación de la Reina Topo
zts1224e	Recuperación mística de Aron
zts1225e	Ataque SE a los alrededores
zts1226e	Ataques SE a los alrededores 2
zts1227e	Ataque básico del Fantasma Mandra
zts1228e	Ataque básico de la bestia maldita
zts1229e	Datos de las judías
zts1230e	Disminuye la potencia de los enemigos que no tienen el elemento luz mediante la Luz Sagrada.
zts1231e	Te optimiza a ti y a tu grupo mediante la Luz Sagrada.
zts1232e	Amor
zts1233e	(Alt + Q)
zts1234e	Saludar
zts1235e	(Alt + W)
zts1236e	Sonreír
zts1237e	(Alt + E)
zts1238e	Reírse
zts1239e	(Alt + R)
zts1240e	Tímido
zts1241e	(Alt + T)
zts1242e	Jeje
zts1243e	(Alt + Y)
zts1244e	Uuups
zts1245e	(Alt + U)
zts1246e	Ahhh
zts1247e	(Alt + l)
zts1248e	Avergonzado
zts1249e	(Alt + O)
zts1250e	Victoria
zts1251e	(Alt + P)
zts1252e	¿Cómo?
zts1253e	(Alt + A)
zts1254e	¿Te estás quedando conmigo?
zts1255e	(ALT+S)
zts1256e	Necesidad
zts1257e	(Alt + D)
zts1258e	Vergüenza
zts1259e	(Alt + F)
zts1260e	Furioso
zts1261e	(Alt + G)
zts1262e	Pagaré
zts1263e	(Alt + H)
zts1264e	Te tengo
zts1265e	(Alt + J)
zts1266e	Reflejar
zts1267e	(Alt + K)
zts1268e	Lágrimas
zts1269e	(Alt + L)
zts1270e	Llorar
zts1271e	(Alt + Z)
zts1272e	Buaaaah
zts1273e	(Alt + X)
zts1274e	Quemar
zts1275e	(Alt + C)
zts1276e	Chico nervioso
zts1277e	(Alt + V)
zts1278e	Chica nerviosa
zts1279e	(Alt + B)
zts1280e	Hmmmmm
zts1281e	(Alt + N)
zts1282e	Hmms
zts1283e	(Alt + M)
zts1284e	Caralarga
zts1285e	(Alt +,)
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
zts1296e	Cualificación para cocinar para el grupo
