zts1e	Новый предмет
zts2113e	Черно-белая спортивная одежда (30 дней)
zts2114e	Солнечная спортивная одежда (30 дней)
zts2115e	Спортивная одежда коралло-розового цвета (30 дней)
zts2116e	Спортивная одежда с рисунком пламени (30 дней)
zts2117e	Спортивная одежда цвета голубого неба (30 дней)
zts2118e	Модная спортивная одежда (30 дней)
zts2119e	Ярко-розовая спортивная одежда (30 дней)
zts2120e	Джинсовая одежда (30 дней)
zts2121e	Зеленая школьная форма (30 дней)
zts2122e	Военная одежда (30 дней)
zts2123e	Желтая школьная форма (30 дней)
zts2124e	Одежда охотника (30 дней)
zts2125e	Фиолетовая школьная форма (30 дней)
zts2126e	Одежда цвета пламени (30 дней)
zts2127e	Удобная женская одежда на каждый день 4 (30 дней)
zts2128e	Одежда в стиле Heavy Metal (30 дней)
zts2129e	Удобная женская одежда на каждый день 5 (30 дней)
zts2130e	Одежда искателя приключений (30 дней)
zts2131e	Удобная женская одежда на каждый день 6 (30 дней)
zts2132e	Костюм гималайского медведя (вечный)
zts2133e	Костюм белого медведя (вечный)
zts2134e	Костюм панды (вечный)
zts2135e	Костюм плюшевого мишки (вечный)
zts2136e	Одежда в стиле хип-хоп (вечная)
zts2137e	Черная спортивная одежда (вечная)
zts2138e	Солнечная спортивная одежда (вечная)
zts2139e	Коралловая спортивная одежда (вечная)
zts2140e	Пламенная спортивная одежда (вечная)
zts2141e	Голубая спортивная одежда (вечная)
zts2142e	Модная спортивная одежда (вечная)
zts2143e	Розовая спортивная одежда (вечная)
zts2144e	Джинсовая одежда (вечная)
zts2145e	Зеленая школьная форма (вечная)
zts2146e	Военная одежда (вечная)
zts2147e	Желтая школьная форма (вечная)
zts2148e	Одежда лесника (вечная)
zts2149e	Фиолетовая школьная форма (вечная)
zts2150e	Пламенная одежда (вечная)
zts2151e	Удобная женская одежда на каждый день 4 (не ограничена по времени)
zts2152e	Одежда в стиле Heavy Metal (вечная)
zts2153e	Удобная женская одежда на каждый день 5 (не ограничена по времени)
zts2154e	Одежда искателя приключений (вечная)
zts2155e	Удобная женская одежда на каждый день 6 (не ограничена по времени)
zts2156e	Шляпа панды (30 дней)
zts2157e	Шляпа гималайского медведя (30 дней)
zts2158e	Шляпа белого медведя (30 дней)
zts2159e	Шляпа плюшевого мишки (30 дней)
zts2160e	Шапка панды (вечная)
zts2161e	Шапка гималайского медведя (вечная)
zts2162e	Шапка белого медведя (вечная)
zts2163e	Шляпа плюшевого мишки (вечная)
zts2164e	Временно повышает количество ОЗ и ОМ.[n]Лечит питомца и партнера.[n][n]
zts2165e	Исцеляет тебя и твоего питомца.[n][Внимание][n]Этот предмет исчезнет по окончании события.[n][n]
zts2166e	Использовав этот предмет, ты активируешь на 15 дней следующие эффекты:[n][n]В каждой вкладке инвентаря добавится по 4 ячейки.[n]Ты будешь получать на 10% больше опыта.[n]Сила твоих атаки и защиты повысится на 10%.[n]Твои питомцы и партнеры будут получать на 10% больше опыта.[n][n][Внимание][n]Использование этого предмета вместе с Рюкзаком путешественника НЕ удвоит количество ячеек инвентаря. Этот предмет нельзя поместить на склад.[n][n]
zts2167e	Очаровательная шляпа в форме крысы. Все силы нападения увеличиваются на 5%. Максимальное количество МР увеличивается на 200.
zts2168e	Надев эту шляпу, ты будешь чувствовать настоящую свежесть.[n]Сила всех атак +5%[n]Макс количество ОМ +200[n][n]
zts2169e	Эта шляпа великолепна, но она также очень тяжелая. От нее даже шея болит![n]Сила всех атак +5%[n]Максимальное количество ОМ +200[n][n]
zts2170e	Это маленькая деревянная шляпа в виде бочки. Я бы её открыл и достал бы из неё клёцки. Все силы атаки увеличиваются на 5%. Максимальное количество  МР увеличивается на 200.
zts2171e	Раньше такие шляпы носили представители власти. Они создают особую атмосферу.[n]Сила всех атак +5%[n]Макс количество ОМ +200[n][n]
zts2174e	С помощью твоего партнера ты сможешь получить на 50 ячеек в инвентаре больше.[n](10 дней)[n][n]
zts2175e	С помощью твоего партнера ты сможешь получить на 50 ячеек в инвентаре больше.[n](30 дней)[n][n]
zts2176e	С помощью твоего партнера ты сможешь получить на 50 ячеек инвентаря больше.[n](60 дней)[n][n]
zts2177e	Священный хрустальный шар для очков репутации
zts2178e	Повышает твою репутацию на 200. Нельзя превышать допустимый предел. [n][n]
zts2179e	Письмо Мими Ментор
zts2180e	Письмо Анны
zts2181e	Рекомендательное письмо Анны
zts2182e	Яйцо Латеора
zts2183e	Яйцо, в котором спит драгоценный друг.[n][n]
zts2184e	Рекомендательное письмо Лейки
zts2185e	Первоклассный искатель приключений из НосКэмп.
zts2186e	Вахтенный журнал
zts2187e	На нем хорошо видна печать в виде черепа.
zts2188e	Первое сообщение разведки
zts2189e	Первая подсказка
zts2190e	Нечитаема, так как была порвана.
zts2191e	Вторая подсказка
zts2192e	Третяя подсказка
zts2193e	Старая табличка
zts2194e	На этой табличке описаны принципы работы Магического барьера.[n][n]
zts2195e	Порванный отчет разведки
zts2196e	Разведовательное сообщение Биторен Тундры
zts2197e	Это сообщение, которое ты написал.
zts2198e	Второе сообщение разведки
zts2199e	Книга волшебства Мукрацзу
zts2200e	Пакет с сообщениями
zts2201e	Ты должен написать это сообщение
zts2202e	Магический сундук
zts2203e	В сундуке находится магический предмет. [n]При использовании его ты можешь получить или случайный покупаемый предмет или какой-нибудь костюм. [n][n]
zts2204e	Постарайся не сказать ничего странного тому, кто передаст тебе это письмо.[n]Мими Ментор[n][n]
zts2205e	У меня нет достаточно денег,[n] чтобы оплачивать все расходы на питание.[n] Всё это потому, что я открыла еще один счёт,[n] на который я каждый месяц перевожу определенную сумму денег.[n] Повысь мне, пожалуйста, зарплату.[n] Анни.[n][n]
zts2206e	Пожалуйста, присмотри за человеком, который передаст тебе это сообщение.[n]Твой старый друг Анни.[n][n]
zts2207e	Я вижу недавно прибывших искателей приключений.[n] Они выглядят придурковато.[n] Нет никаких поводов для беспокойства.[n][n]
zts2208e	Сдерживайте нападающих, пока не проснётся наш лорд. (дальнейшее оторвано).
zts2209e	Здесь сказано, что лорд Моркос собственнолично[n]совершит нападение на Цитадель Замерзшего Сердца.[n][n]
zts2210e	Содержит в себе злобную душу. Метод, как победить проклятие, описан здесь.
zts2211e	Шапка крысы (Постоянно)
zts2212e	Шапка-апельсин (Постоянно)
zts2213e	Декоративная шапка-цветочный горшок (Постоянно)
zts2214e	Шапка в виде ореховой скорлупы (Постоянно)
zts2215e	Синяя шляпа основателя (вечная)
zts2216e	Зеленая шляпа основателя (вечная)
zts2217e	Красная шляпа основателя (вечная)
zts2218e	Шапка крысы (7 дней)
zts2219e	Шапка крысы (30 дней)
zts2220e	Шапка-апельсин (7 дней)
zts2221e	Шапка-апельсин (30 дней)
zts2222e	Декоративная шапка-цветочный горшок (7 дней)
zts2223e	Декоративная шапка-цветочный горшок (30 дней)
zts2224e	Шапка в виде ореховой скорлупы (7 дней)
zts2225e	Шапка в виде ореховой скорлупы (30 дней)
zts2226e	Синяя шляпа основателя (7 дней)
zts2227e	Синяя шляпа основателя (30 дней)
zts2228e	Зеленая шляпа основателя (7 дней)
zts2229e	Зеленая шляпа основателя (30 дней)
zts2230e	Красная шляпа основателя (7 дней)
zts2231e	Красная шляпа основателя (30 дней)
zts2232e	2х амулет благословения
zts2233e	Если ты наденешь этот предмет, шансы на успех в торговле увеличатся на 10%. Кроме того[n]в случае неудачи экипировка будет защищена.[n] Можно применять для обычного оружия и экипировки[n](всего можно использовать не более 2-х раз)[n][n]
zts2234e	Амулет защиты (Двойное использование)
zts2235e	Если спор на уровень редкости проигран, экипировка будет защищена. Используется для оружия и  брони. Может быть использован 2 раза.
zts2236e	Амулет Силы
zts2237e	Атака увеличивается на 20%.
zts2238e	Амулет Решимости
zts2239e	Защита увеличиваются на 20%.
zts2240e	Жемчужина Яичной феи
zts2241e	Ключ удачи
zts2242e	Воспользуйся ключом, чтобы получить различные вознаграждения![n] Какую награду ты получишь, зависит от твоего везения! [n][n]
zts2243e	Сказочное вознаграждение
zts2244e	Невиданные сокровище спрятаны внутри! [n]Ты можешь получить один из следующих предметов: Свиток защиты экипировки, жемчужину пышнохвоста, жемчужину новогодней свинки, [n]специальный корм для питомцев, свиток освобождения, держатель карт специалиста[n] [n][n]
zts2245e	Таинственный сундук
zts2246e	В сундуке находится таинственное сокровище! [n]Ты можешь получить один из следующих предметов:[n] 2 амулета благословения, костюм/шапку гималайского медведя, костюм/шапку панды [n]или средний специальный напиток. [n][n]
zts2247e	Античная сокровищница
zts2248e	В античном сундуке находится сокровище - один из следующих предметов![n]Благославление Ангела-Хранителя, вода из источника Циллоан, рюкзак искателя приключений, [n]амулет Силы, амулет Решимости, корзинка для НосМэйта или [n]купон прочности. [n][n]
zts2249e	Высококлассная сокровищница
zts2250e	В этом сундуке находится настоящее сокровище![n]Ты получишь один из следующих предметов:[n]1x Жемчужина питомца[n]1x Жемчужина партнера[n]1x Амулет защиты (Двойное использование)[n]1x Свиток освобождения[n][n]
zts2251e	Шикарная сокровищница
zts2252e	В этом сундуке находится клад![n]Ты получишь один из следующих предметов:[n]1x Призовой купон[n]1x Усилитель феи[n]1x Купон производства[n][n]
zts2253e	Желтое пасхальное яйцо
zts2254e	Пасхальное яйцо с красным узором.
zts2255e	Синее пасхальное яйцо
zts2256e	Пасхальное яйцо с синим узором.
zts2257e	Белое пасхальное яйцо
zts2258e	Пасхальное яйцо с белым узором.
zts2259e	Пасхальное яйцо с желтым узором.[n][n]
zts2260e	Душа Пасхи
zts2261e	Душа с таинственной силой.
zts2262e	Вареное яйцо
zts2263e	Временно повышает количество ОЗ и ОМ.[n]Лечит питомца и партнера.[n]Этот предмет можно использовать во время боя.[n][n]
zts2264e	Событийный предмет Белого дня.[n][Внимание][n]Этот предмет исчезнет по окончании события.[n][n]
zts2265e	Событийный предмет Белого дня.[n]Покажи тому, кого ты любишь, глубину своих чувств, подарив этот подарок.[n]Если он будет принят, ты получишь особое благословение.[n]Если он будет отклонен, твой персонаж будет плакать в течение минуты.[n][Внимание][n]Этот предмет исчезнет по окончании события.[n][n]
zts2266e	Красное пасхальное яйцо
zts2267e	Временно повышает ОЗ и ОМ.[n]Исцеляет питомцев и партнеров.[n]Событийный предмет Белого дня.[n][Внимание][n]Этот предмет исчезнет по окончании события.[n][n]
zts2268e	Жемчужина маленького Дандера
zts2269e	Жемчужина Сидля
zts2270e	Жемчужина Гороха
zts2271e	Жемчужина Огненного вампира
zts2272e	Жемчужина Ходока
zts2273e	Жемчужина Розового Студня
zts2274e	Жемчужина вампира
zts2275e	Жемчужина боинга
zts2276e	Подарок ко дню рождения
zts2277e	Подходящий подарок для твоего друга в этот особый день.
zts2278e	Подарок объединения
zts2279e	Подарок от сервера NosTale. Ты можешь получить какой-нибудь случайный предмет.
zts2280e	Карта специалиста элемента огня[n]Воин доминирует на поле боя благодаря силе своего меча. Он не отступает до последнего, поэтому с ним сложно соперничать.[n][n]
zts2281e	Карта специалиста элемента воды[n]Глаза Самурая наполнены ненавистью. Любой, кто встанет у него на пути, познакомится с острой стороной его меча.[n][n]
zts2282e	Карта специалиста элемента воды[n]Охотник выпускает смертельный дождь стрел на своих противников. Он быстр и ловок, и его действия сложно предугадать.[n][n]
zts2283e	Карта специалиста элемента тьмы[n]За этой спокойной маской прячется жестокий и кровожадный убийца. Обычно он последнее, что успевает увидеть его противник.[n][n]
zts2284e	Карта специалиста элемента огня.[n]Символизирует разрушение и разорение.[n]Душа этого мага пылает огнем.[n][n]
zts2285e	Карта специалиста элемента света.[n]Хранитель света, порядка и равновесия.[n]Этот мудрый маг действует по воле Эрении, используя силу добра и света в битве с врагами.[n][n]
zts2286e	Карта специалиста элемента огня.[n]Возвращение легенды![n]Дадамару появится в NosTale,[n]чтобы спасти принцессу Сакуру![n]
zts2287e	Карта специалиста элемента света[n][n]Железная воля и непоколебимая вера крестоносца помогают ему соблюдать баланс между добром и злом. Далеко не многие его противники могут похвастаться подобными качествами.[n][n]
zts2288e	Карта специалиста элемента тьмы[n][n]Используя силу тьмы, Берсерк подавляет волю врагов. Его врагам крайне сложно ему противостоять.[n][n]
zts2289e	Карта специалиста элемента огня[n]Разрушитель обожает огонь и взрывы и уничтожает всех противников, которые встают на его пути. В битвах он безжалостен, но справедлив.[n][n]
zts2290e	Карта специалиста элемента света[n][n]Хранитель пустоши отлично чувствует себя в дикой местности благодаря животным инстинктам и знаниям о природе. Их звериная ярость помогает им побеждать любых врагов.[n][n]
zts2291e	Карта специалиста элемента воды[n]Холодные сердца ледяных магов позволяют им превращаться в ледышки в опасных ситуациях, сильно повышая их сопротивление элементу воды. Управляя холодом и льдом, они способны наносить своим противникам огромный урон.[n][n]
zts2292e	Карта специалиста элемента тьмы.[n]Темный стрелок сокрушает врагов с помощью запретной магии. Их наполняет поистине демоническая сила.[n][n]
zts2293e	Магическая сокровищница (женская школьная форма)
zts2294e	В ней находятся магические предметы. [n]Ты можешь получить или случайный покупной предмет или какой-нибудь костюм. [n][n]
zts2295e	Магическая сокровищница (женская спортивная одежда)
zts2296e	Магическая сокровищница (мужская униформа)
zts2297e	Магическая сокровищница (для мужчин)
zts2298e	Магическая сокровищница (мужская рэперская одежда)
zts2299e	Магическая сокровищница (мужская спортивная одежда)
zts2300e	Второй ключ счастья
zts2301e	Вторая сказочная сокровищница
zts2302e	В сказочной сокровищнице находится настоящий клад![n] Ты можешь получить один из следующих предметов: защитный цилиндр для ОС карт (низкий уровень), жемчужину больного Пышнохвоста, новогоднюю жемчужину счастья, специальный корм для животных, защитный цилиндр экипировки, напиток сброса очков или свиток освобождения.[n][n]
zts2303e	Вторая таинственная сокровищница
zts2304e	Во второй таинственной сокровищнице находится настоящий клад! Ты можешь получить один из следующих предметов: 2х амулет благословения, костюм для Клиффа, костюм для Тома, костюм для Боба, шляпу/костюм белого медведя (30 дней), шляпу крысы (30 дней), шляпу/костюм плюшевого мишки (30 дней), средний специальный напиток. [n][n]
zts2305e	Вторая античная сокровищница
zts2306e	В этой коробке спрятано древнее сокровище![n]Ты получишь один из следующих предметов:[n]1x Благословение ангела-хранителя[n]1x Ключевая вода Циллоан[n]1x Рюкзак искателя приключений (10 дней)[n]1x Рюкзак партнера (10 дней)[n]1x Амулет силы[n]1x Амулет решимости[n]1x Корзинка питомца (30 дней)[n]1x Купон прочности[n][n]
zts2307e	Вторая шикарная сокровищница
zts2308e	В этом сундуке лежит сокровище![n]Ты получишь один из следующих предметов:[n]1x Жемчужина питомца[n]1x Именной ошейник для питомца[n]1x Амулет защиты (Двойное использование)[n]1x Свиток освобождения[n][n]
zts2309e	Вторая прекрасная сокровищница
zts2310e	В этом сундуке находится клад![n]Ты получишь один из следующих предметов:[n]1x Призовой купон[n]1x Усилитель феи[n]1x Купон производства[n][n]
zts2311e	Загадочная белая сокровищница А
zts2312e	В ней находится много ценных предметов. Тебя ждет сюрприз![n][n]
zts2313e	Загадочная белая сокровищница В
zts2314e	Напиток сброса очков (Событие)
zts2315e	Если тебя сопровождает Травяная фея, ты получаешь каждый час какую нибудь еду.
zts2316e	Айям (7 дней)
zts2317e	Милая традиционная корейская шляпка.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех атак +5%[n]Максимальное количество ОМ +200[n][n]
zts2318e	Айам (30 дней)
zts2319e	Аям (вечный)
zts2320e	Корона императрицы (7 дней)
zts2321e	Роскошный традиционный китайский аксессуар.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех атак +5%[n]Максимальное количество ОМ +200[n][n]
zts2322e	Корона императрицы (30 дней)
zts2323e	Корона императрицы (вечная)
zts2324e	Шпилька для волос с цветочками (7 дней)
zts2325e	Симпатичный традиционный японский аксессуар. Время использования начинается сразу же, как только ты его оденешь. Прибавляются 5% ко всем показателям нападения. Максимальное количество МР увеличивается на 200.
zts2326e	Шпилька для волос  с цветочками (30 дней)
zts2327e	Цветочная шпилька (вечная)
zts2328e	Хогеон (7 дней)
zts2329e	Традиционная корейская шляпа.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех атак +5%[n]Максимальное количество ОМ +200[n][n]
zts2330e	Хогеон (30 дней)
zts2331e	Хогон (вечный)
zts2332e	Азиатская шляпа (7 дней)
zts2333e	Интересная азиатская шляпа.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех атак +5%[n]Максимальное количество ОМ +200[n][n]
zts2334e	Азиатская шляпа (30 дней)
zts2335e	Азиатская шляпа (вечная)
zts2336e	Ебози (7 дней)
zts2337e	Элегантная японская шляпа. Время использования начинается сразу же, как только ты её оденешь. Прибавляются 5% ко всем показателям нападения. Максимальное количество МР увеличивается на 200.
zts2338e	Ебози (30 дней)
zts2339e	Эбоси (вечная)
zts2384e	Весенний Хэнбок (7 дней)
zts2385e	Традиционный корейский костюм.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех защит +5%[n]Макс количество ОЗ +200[n][n]
zts2386e	Весенний Хэнбок (30 дней)
zts2387e	Весенний ханбок (вечный)
zts2388e	Радужный Хэнбок (7 дней)
zts2389e	Радужный Хэнбок (30 дней)
zts2390e	Радужный ханбок (вечный)
zts2391e	Летний Хэнбок (7 дней)
zts2392e	Летний Хэнбок (30 дней)
zts2393e	Летний ханбок (вечный)
zts2394e	Кунг Фу Чипао (7 дней)
zts2395e	Традиционный китайский костюм.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех защит +5%[n]Макс количество ОЗ +200[n][n]
zts2396e	Кунг Фу Чипао (30 дней)
zts2397e	Кунг-фу ципао (вечное)
zts2398e	Императорский Чипао (7 дней)
zts2399e	Императорский Чипао (30 дней)
zts2400e	Императорское ципао (вечное)
zts2401e	Дракон Чипао (7 дней)
zts2402e	Дракон Чипао (30 дней)
zts2403e	Ципао с драконом (вечное)
zts2404e	Кимоно лунного света (7 дней)
zts2405e	Традиционный японский костюм.[n]Время действия предмета отсчитывается с момента первого использования.[n]Сила всех защит +5%[n]Макс количество ОЗ +200[n][n]
zts2406e	Кимоно лунного света (30 дней)
zts2407e	Лунное кимоно (вечное)
zts2408e	Кимоно солнечного света (7 дней)
zts2409e	Кимоно солнечного света (30 дней)
zts2410e	Солнечное кимоно (вечное)
zts2411e	Кимоно Дадами (7 дней)
zts2412e	Кимоно Дадами (30 дней)
zts2413e	Кимоно дадами (вечное)
zts2414e	Костюм огненной розы (7 дней)
zts2415e	Костюм огненной розы (30 дней)
zts2416e	Костюм огненной розы (вечный)
zts2417e	Костюм мяты (7 дней)
zts2418e	Костюм мяты (30 дней)
zts2419e	Мятный костюм (вечный)
zts2420e	Шоколадный костюм (7 дней)
zts2421e	Шоколадный костюм (30 дней)
zts2422e	Шоколадный костюм (вечный)
zts2423e	Хэнбок Азалии (7 дней)
zts2424e	Хэнбок Азалии (30 дней)
zts2425e	Ханбок с азалиями (вечный)
zts2426e	Хэнбок Крокус (7 дней)
zts2427e	Хэнбок Крокус (30 дней)
zts2428e	Ханбок с крокусами (вечный)
zts2429e	Хэнбок Роз (7 дней)
zts2430e	Хэнбок Роз (30 дней)
zts2431e	Ханбок с розами (вечный)
zts2432e	Фиолетовый Чипао (7 дней)
zts2433e	Фиолетовый Чипао (30 дней)
zts2434e	Фиолетовый Чипао (время не ограничено)
zts2435e	Чипао Феникса (7 дней)
zts2436e	Ципао с изображением феникса (30 дней)
zts2437e	Чипао с фениксом (вечный)
zts2438e	Черное ципао (7 дней)
zts2439e	Черное ципао (30 дней)
zts2440e	Черное ципао (вечное)
zts2441e	Кимоно с цветочками вишни (7 дней)
zts2442e	Кимоно с цветочками вишни (30 дней)
zts2443e	Кимоно с цветками вишни (вечное)
zts2444e	Кимоно с лилиями
zts2445e	Кимоно с лилиями (30 дней)
zts2446e	Кимоно с лилиями (вечное)
zts2447e	Куноичи Кимоно (7 дней)
zts2448e	Куноичи кимоно (30 дней)
zts2449e	Куноичи кимоно (вечное)
zts2450e	Собери каждого из этих предметов по три штуки: Рис, Бамбук и Куриная ножка. Отнеси эти предметы и 20 000 золота Еве Энерджи, чтобы получить Травяную печать. Этот предмет исчезнет по окончании события.[n][n]
zts2451e	Печать Весны
zts2452e	Запускает Весенний рейд в на Травяном лугу рядом с НосВиллем.[n]Рекомендуемый уровень: 20-99[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу в рейд.[n]Когда лидер заходит в локацию рейда,[n]остальные члены команды перемещаются в нее автоматически.[n][Внимание][n]Персонажи, чей уровень выше рекомендуемого, могут войти в рейд, но они получат штраф.[n](Они не добавят команде дополнительные сердечки здоровья и не получат рейдовую коробку даже в случае победы)
zts2453e	Ты получишь один из следующих предметов:[n]1x Фиолетовая школьная форма (30 дней/вечная)[n]1x Желтая школьная форма (30 дней/вечная)[n]1x Зеленая школьная форма (30 дней/вечная)[n]1x Свиток защиты экипировки[n]1x Свиток освобождения[n]1x Усилитель феи[n]1x Благословение ангела-хранителя[n]1x Особая еда для питомцев[n]1x Благословение Анкеллоан[n]1x Среднее зелье специалиста[n][n]
zts2454e	Ты получишь один из следующих предметов:[n]1x Голубая спортивная одежда (30 дней/вечная)[n]1x Розовая спортивная одежда (30 дней/вечная)[n]1x Коралловая спортивная одежда (30 дней/вечная)[n]1x Свиток защиты экипировки[n]1x Свиток освобождения[n]1x Усилитель феи[n]1x Благословение ангела-хранителя[n]1x Особая еда для питомцев[n]1x Благословение Анкеллоан[n]1x Среднее зелье специалиста[n][n]
zts2455e	Там находится один из следующих предметов: джинсовая одежда (30 дней/постоянно), одежда цвета пламени (30 дней/постоянно), одежда охотника (30 дней/постоянно), защитный цилиндр экипировки, свиток с указом об освобождении, усилитель феи, благославление Ангела-Хранителя, специальный корм для животных, благославление Анселлоан или средний специальный напиток.[n]
zts2456e	Ты получишь один из следующих предметов:[n]1x Военная одежда (30 дней/вечная)[n]1x Одежда искателя приключений (30 дней/вечная)[n]1x Одежда в стиле Heavy Metal (30 дней/вечная)[n]1x Свиток защиты экипировки[n]1x Усилитель феи[n]1x Усилитель феи[n]1x Благословение ангела-хранителя[n]1x Специальный корм для питомцев[n]1x Благословение Анкеллоан[n]1x Среднее зелье специалиста[n][n]
zts2457e	Там находится один из следующих предметов: спортивная одежда с рисунком языков пламени (30 дней/постоянно), одежда в стиле Хип-хоп (30 дней/постоянно), защитный цилиндр экипировки, усилитель феи, благославление Ангела-Хранителя, специальный корм для животных, благославление Анселлоан или средний специальный напиток.[n]
zts2458e	Там находится один из следующих предметов: спортивная одежда жёлтого цвета (30 дней/постоянно), модная спортивная одежда (30 дней/постоянно), защитный цилиндр экипировки, усилитель феи, благославление Ангела-Хранителя, специальный корм для животных, благославление Анселлоан или средний специальный напиток.[n]
zts2459e	Совершенная ракушка (оружие)
zts2460e	Камень наполнен многими волшебными способностями. При помощи его, ты можешь наделить другой предмет различными волшебными способностями.
zts2461e	Особая ракушка (оружие)
zts2462e	Этот камень наполнен необычными волшебными способностями. При помощи его, ты можешь добавить различные волшебные способности другому предмету.
zts2463e	ПвП ракушка (оружие)
zts2464e	Камень наполнен различными военными волшебными способностями. Ты можешь добавить различные волшебные способности другим предметам при помощи этого камня.
zts2465e	Идеальная ракушка (оружие)
zts2466e	Камень наполнен всеми волшебными способностями. При помощи этого камня ты можешь добавить различные волшебные способности другим предметам.
zts2467e	Совершенная ракушка (одежда)
zts2468e	Особая ракушка (одежда)
zts2469e	ПвП ракушка (одежда)
zts2470e	Идеальная ракушка (одежда)
zts2471e	Неполная ракушка (оружие)
zts2472e	Камень наполнен несколькими волшебными способностями. При помощи этого камня, ты можешь добавить различные волшебные способности другим предметам.
zts2473e	Неполная ракушка (одежда)
zts2502e	Духи
zts2503e	Ты можешь сделать своими принадлежещие другим персонажам предметы.  При помощи двойного щелчка ты можешь изменить предмет таким образом, чтобы ты сам мог им пользоваться. В зависимости от уровня и редкости предмета, тебе нужно разное количество бутылочек духов.
zts2504e	Радужные жемчужины
zts2505e	Радужные жемчужины служат для идентификации предметов. Измельчи жемчужину и посыпь жемчужную пыль на предмет, для того чтобы прочитать скрытые функции предмета.
zts2506e	Волшебная стирка
zts2507e	Стирка обладает возможностью стирать все функции предмета. Удалённые функции не могут больше быть восстановлены. Относящиеся к персонажу предметы, даже после удаления всех функций,  остаются с персонажем.
zts2508e	После того, как поле создано, набранный текст не может быть изменён.[n] После 30 минут использования или окончания игры поле исчезает. [n]Досрочное удаление его невозможно.[n][n]
zts2509e	Маффин
zts2510e	Кусочек пиццы
zts2511e	Сосулька с сиропом
zts2512e	Мороженое на палочке
zts2513e	Мороженое в стаканчике
zts2514e	Кофе с пирожным
zts2515e	Багет
zts2516e	Вазочка с мороженым
zts2517e	Быстрая сабля
zts2518e	Легкая сабля, идеальная для нанесения молниеносных атак.[n][n]
zts2519e	Большой меч
zts2520e	Благодаря своему большому весу, этот меч может сокрушить даже самых больших противников.[n][n]
zts2521e	Лесной Ветер
zts2522e	Такими луками вооружены эльфы - защитники леса.[n][n]
zts2523e	Лук снайпера
zts2524e	Очень точный лук. Популярен у самых метких стрелков.
zts2525e	Волшебная палочка с черепом
zts2526e	Сделанная из черепа палочка, повышающая силу магических заклинаний до предела.[n][n]
zts2527e	Посох главного волшебника
zts2528e	Палочка, наполненная святой силой. Использовалась многими знаменитыми магами.[n][n]
zts2529e	Арбалет эльфов
zts2530e	Сделанный из особо прочного дерева, этот арбалет обладает высокой проникающей способностью.[n][n]
zts2531e	Баллиста
zts2532e	Тяжелый, но очень мощный арбалет.[n][n]
zts2533e	Мистический кинжал
zts2534e	Кинжал сделан из таинственных материалов, которые придают ему сверкающий фиолетовый цвет.
zts2535e	Волнообразный кинжал
zts2536e	Благодаря своей волнистой форме, этот кинжал наносит противнику серьёзные  раны.
zts2537e	Призрачный волшебный пистолет
zts2538e	Снаряд этого оружия состоит из сконцентрированной энергии духа.
zts2539e	Метеор
zts2540e	Стреляет мощными волшебными пулями, похожими на метеоры.[n][n]
zts2541e	Телохранитель
zts2542e	Тяжелая броня, защищающая твое тело.[n][n]
zts2543e	Тяжелый защитник
zts2544e	Броня с толстыми железными накладками для максимальной защиты.[n]Из-за своего веса она замедляет скорость передвижения.[n][n]
zts2545e	Туника охотника
zts2546e	Легкая, но прочная туника. Очень популярна среди охотников.
zts2547e	Легкий шаг
zts2548e	Эта легкая броня, сделанная из магических тканей, обеспечивает максимальную защиту.[n][n]
zts2549e	Роба зла
zts2550e	Мантия, наполненная темной магией.[n][n]
zts2551e	Роба мудреца
zts2552e	Прекрасная одежда, которую часто одевают мудрецы. Многие волшебники носят эту одежду, так как она очень удобная.
