zts1e	Volpe piccola
zts1215e	NPC della quest
zts1216e	Pozione sospetta
zts1217e	Scrigno strano di Keru
zts1218e	Scrigno strano di Garton
zts1219e	Cimeli rubati di Keru
zts1220e	Cimeli rubati di Garton
zts1221e	Opossum pugile
zts1222e	Cacciatore oceanico evocato
zts1223e	Guardiano oceanico evocato
zts1248e	Allenatore di NosMate (principianti)
zts1249e	Pesce Sabbiamare
zts1250e	Prota Sabbiamare
zts1251e	Foglielama Sabbiamare
zts1252e	Predatore Sabbiamare
zts1253e	Adulatore Sabbiamare
zts1254e	Rettile appuntito Sabbiamare
zts1255e	Corno tagliente Sabbiamare
zts1256e	Volpe Sabbiamare
zts1257e	Cactus Sabbiamare
zts1258e	Mantide Sabbiamare
zts1259e	Scorpione Sabbiamare
zts1260e	Basilisco Sabbiamare
zts1261e	Monaco della preghiera
zts1262e	Spirito della preghiera
zts1263e	Sacerdote della preghiera
zts1264e	Capo della preghiera
zts1265e	Comandante Neil
zts1266e	Comandante Melki
zts1267e	Comandante Keru
zts1268e	Comandante Garton
zts1269e	Samurai della Truppa di Ricognizione di Neil
zts1270e	Assassino della Truppa di Ricognizione di Neil
zts1271e	Cacciatore della Truppa di Ricognizione di Neil
zts1272e	Incendiario della Truppa di Ricognizione di Neil
zts1273e	Guardiano di Neil
zts1274e	Guardia dell'accampamento di Neil
zts1275e	Maestro delle chiavi di Neil
zts1276e	Spia della Truppa di Ricognizione di Neil
zts1277e	Ibrahim
zts1278e	Comandante Shoran
zts1279e	Comandante Shay
zts1280e	Esploratore della Truppa di Ricognizione di Neil
zts1281e	Bufera di sabbia
zts1282e	Spirito della sabbia
zts1283e	Gigante di sabbia
zts1284e	Nano di sabbia
zts1285e	Amministratore di antichi cimeli
zts1286e	Spirito Ventosabbioso
zts1287e	Gladiatore Ventosabbioso
zts1288e	Arciere Ventosabbioso
zts1289e	Mago Ventosabbioso
zts1290e	Guardiano dell'antica rovina
zts1291e	Magmaro infuocato
zts1292e	Valaket infuocato
zts1293e	Re del fuoco Valakus
zts1294e	Cane incandescente
zts1295e	Kertos, il cane demoniaco
zts1296e	Gigante infuocato
zts1297e	Catena infuocata
zts1298e	Scultore infuocato
zts1299e	Katol
zts1300e	Cacciatore infuocato
zts1301e	Ali infuocate
zts1302e	Creatura infuocata
zts1303e	Gral, la grande fenice
zts1304e	Lama infuocata
zts1305e	Scudo infuocato
zts1306e	Lancia infuocata
zts1307e	Re del fuoco Greniga
zts1308e	Jin Hamadin
zts1309e	Guardiano del faro Chilton
zts1310e	Guardia portuale Tom
zts1311e	Presidente Noah
zts1312e	Hazel
zts1313e	Sacerdotessa Serizad
zts1314e	Sommo sacerdote Eladin
zts1315e	Sacerdotessa Vera
zts1316e	Riana
zts1317e	Serena
zts1318e	Nephi
zts1319e	Rappresentante Semia
zts1320e	Paul
zts1321e	Delmon Milow
zts1322e	Guardia dei Mercanti Akamur
zts1323e	Rappresentante dei mercanti Akamur
zts1324e	Mercante Akamur
zts1325e	Abitante
zts1326e	Spirito di un cercatore di tesoro
zts1327e	Ricercatore di tesoro morto
zts1328e	Anima di un sacerdote
zts1329e	Sacerdote morto
zts1330e	Brigante addormentato
zts1331e	Cammello
zts1332e	Hamid
zts1333e	Sharif prigioniero
zts1334e	Rappresentante Rushaldin
zts1335e	Kamil
zts1336e	Michol
zts1337e	Xavier
zts1338e	Velmon
zts1339e	Unità Militare Caos
zts1340e	Saccheggiatore del Deserto Maloren
zts1341e	Bolporti, il tessitore di seta
zts1342e	Abitante dell'Area del Caos
zts1343e	Ispettore Serges
zts1344e	Viaggiatore misterioso
zts1345e	Fantasma di Greniga
zts1346e	Samurai d'élite di Neil
zts1347e	Assassino d'élite di Neil
zts1348e	Cacciatore d'élite di Neil
zts1349e	Incendiario d'Élite di Neil
zts1350e	Pesce Sabbiabufera
zts1351e	Prota Sabbiabufera
zts1352e	Foglielama Sabbiabufera
zts1353e	Predatore Sabbiabufera
zts1354e	Corno tagliente Sabbiabufera
zts1355e	Mantide Sabbiabufera
zts1356e	Scorpione Sabbiabufera
zts1357e	Basilisco Sabbiabufera
zts1358e	Pesce Sabbiatalco
zts1359e	Prota Sabbiatalco
zts1360e	Foglielama Sabbiatalco
zts1361e	Predatore Sabbiatalco
zts1362e	Corno tagliente Sabbiatalco
zts1363e	Mantide Sabbiatalco
zts1364e	Scorpione Sabbiatalco
zts1365e	Basilisco Sabbiatalco
zts1366e	Predatore Sabbiamobile
zts1367e	Mantide Sabbiamobile
zts1368e	Scorpione Sabbiamobile
zts1369e	Basilisco Sabbiamobile
zts1370e	Rettile Sabbiabufera
zts1371e	Rettile appuntito Sabbiabufera
zts1372e	Cactus Sabbiabufera
zts1373e	Rettile Sabbiatalco
zts1374e	Rettile appuntito Sabbiatalco
zts1375e	Cactus Sabbiatalco
zts1376e	Cactus Sabbiamobile
zts1377e	Volpe Sabbiabufera
zts1378e	Volpe Sabbiatalco
zts1379e	Samurai della Truppa di Ricognizione di Melki
zts1380e	Assassino della Truppa di Ricognizione di Melki
zts1381e	Cacciatore della Truppa di Ricognizione di Melki
zts1382e	Incendiario della Truppa di Ricognizione di Melki
zts1383e	Spia della Truppa di Ricognizione di Melki
zts1384e	Esploratore della Truppa di Ricognizione di Melki
zts1385e	Maestro delle chiavi di Melki
zts1386e	Guardiano di Melki
zts1387e	Samurai d'élite di Melki
zts1388e	Assassino d'élite di Melki
zts1389e	Cacciatore d'élite di Melki
zts1390e	Incendiario d'élite di Melki
zts1391e	Samurai della Truppa di Ricognizione di Shay
zts1392e	Samurai della Truppa di Ricognizione di Keru
zts1393e	Assassino della Truppa di Ricognizione di Keru
zts1394e	Cacciatore della Truppa di Ricognizione di Keru
zts1395e	Incendiario della Truppa di Ricognizione di Keru
zts1396e	Spia della Truppa di Ricognizione di Keru
zts1397e	Esploratore della Truppa di Ricognizione di Keru
zts1398e	Maestro delle chiavi di Keru
zts1399e	Guardiano di Keru
zts1400e	Samurai d'élite di Keru
zts1401e	Assassino d'élite di Keru
zts1402e	Cacciatore d'élite di Keru
zts1403e	Incendiario d'élite di Keru
zts1404e	Assassino della Truppa di Ricognizione di Shay
zts1405e	Samurai della Truppa di Ricognizione di Garton
zts1406e	Assassino della Truppa di Ricognizione di Garton
zts1407e	Cacciatore della Truppa di Ricognizione di Garton
zts1408e	Incendiario della Truppa di Ricognizione di Garton
zts1409e	Spia della Truppa di Ricognizione di Garton
zts1410e	Esploratore della Truppa di Ricognizione di Garton
zts1411e	Maestro delle chiavi di Garton
zts1412e	Guardiano di Garton
zts1413e	Samurai d'élite di Garton
zts1414e	Assassino d'élite di Garton
zts1415e	Cacciatore d'élite di Garton
zts1416e	Incendiario d'élite di Garton
zts1417e	Cacciatore della Truppa di Ricognizione di Shay
zts1418e	Monaco del lamento
zts1419e	Spirito del lamento
zts1420e	Sacerdote del lamento
zts1421e	Capo del lamento
zts1422e	Monaco della perturbazione
zts1423e	Spirito della perturbazione
zts1424e	Sacerdote della perturbazione
zts1425e	Capo della perturbazione
zts1426e	Monaco dell'agonia
zts1427e	Spirito dell'agonia
zts1428e	Sacerdote dell'agonia
zts1429e	Capo dell'agonia
zts1430e	Bufera Sabbiadeserto
zts1431e	Spirito Sabbiadeserto
zts1432e	Gigante Sabbiadeserto
zts1433e	Nano Sabbiadeserto
zts1434e	Bufera di Sabbiatalco
zts1435e	Spirito Sabbiatalco
zts1436e	Gigante Sabbiatalco
zts1437e	Nano Sabbiatalco
zts1438e	Tempesta Sabbiamobile
zts1439e	Spirito Sabbiamobile
zts1440e	Gigante Sabbiamobile
zts1441e	Nano Sabbiamobile
zts1442e	Spirito Sabbiavulcanica
zts1443e	Gladiatore Sabbiavulcanica
zts1444e	Arciere Sabbiavulcanica
zts1445e	Mago Sabbiavulcanica
zts1446e	Spirito Sabbiavolante
zts1447e	Gladiatore Sabbiavolante
zts1448e	Arciere Sabbiavolante
zts1449e	Mago Sabbiavolante
zts1450e	Spirito Sabbiasecca
zts1451e	Gladiatore Sabbiasecca
zts1452e	Arciere Sabbiasecca
zts1453e	Mago Sabbiasecca
zts1454e	Incendiari della Truppa di Ricognizione di Shay
zts1455e	Samurai della Truppa di Ricognizione di Shoran
zts1456e	Assassino della Truppa di Ricognizione di Shoran
zts1457e	Cacciatore della Truppa di Ricognizione di Shoran
zts1458e	Incendiario della Truppa di Ricognizione di Shoran
zts1459e	Samurai della pattuglia di Shay
zts1460e	Assassino della pattuglia di Shay
zts1461e	Cacciatore della pattuglia di Shay
zts1462e	Incendiario della pattuglia di Shay
zts1463e	Samurai della pattuglia di Shoran
zts1464e	Assassino della pattuglia di Shoran
zts1465e	Cacciatore della pattuglia di Shoran
zts1466e	Incendiario della pattuglia di Shoran
zts1467e	Samurai del trasporto di Shay
zts1468e	Assassino del trasporto di Shay
zts1469e	Cacciatore del trasporto di Shay
zts1470e	Incendiario del trasporto di Shay
zts1471e	Samurai del trasporto di Shoran
zts1472e	Assassino del trasporto di Shoran
zts1473e	Cacciatore del trasporto di Shoran
zts1474e	Incendiario del trasporto di Shoran
zts1475e	Samurai scorta di Shoran
zts1476e	Assassino scorta di Shoran
zts1477e	Cacciatore scorta di Shoran
zts1478e	Bombardiere scorta di Shoran
zts1479e	Samurai scorta di Shay
zts1480e	Assassino scorta di Shay
zts1481e	Cacciatore scorta di Shay
zts1482e	Incendiario scorta di Shay
zts1483e	Pesce Sabbiadeserto
zts1484e	Prota Sabbiadeserto
zts1485e	Foglielama Sabbiadeserto
zts1486e	Predatori Sabbiadeserto
zts1487e	Corno tagliente Sabbiadeserto
zts1488e	Mantide Sabbiadeserto
zts1489e	Scorpione Sabbiadeserto
zts1490e	Basilisco Sabbiadeserto
zts1491e	Pesce Sabbiaspirito
zts1492e	Prota Sabbiaspirito
zts1493e	Foglielama Sabbiaspirito
zts1494e	Predatore Sabbiaspirito
zts1495e	Corno tagliente Sabbiaspirito
zts1496e	Mantide Sabbiaspirito
zts1497e	Scorpione Sabbiaspirito
zts1498e	Basilisco Sabbiaspirito
zts1499e	Rettile Sabbiadeserto
zts1500e	Rettile appuntito Sabbiadeserto
zts1501e	Cactus Sabbiadeserto
zts1502e	Rettile Sabbiaspirito
zts1503e	Rettile appuntito Sabbiaspirito
zts1504e	Guardia dell'accampamento
zts1505e	Sacco con fichi d'India
zts1506e	Bandiera di Akamur distrutta
zts1507e	Merci di primo scambio
zts1508e	Merci di seconda mano
zts1509e	Merci di terza mano
zts1510e	Merci di quarta mano
zts1511e	Merci di quinta mano
zts1512e	Merci di sesta mano
zts1513e	Scrigno che contiene la lista dei comandi
zts1514e	Cimeli rubati di Garton
zts1515e	Cimeli rubati
zts1516e	Scrigno con pergamene
zts1517e	Strano frammento di cimelio
zts1518e	Samurai della Truppa di Ricognizione di Shay
zts1519e	Assassino della Truppa di Ricognizione di Shay
zts1520e	Cacciatore della Truppa di Ricognizione di Shay
zts1521e	Incendiario della Truppa di Ricognizione di Shay
zts1522e	Samurai della Truppa di Ricognizione di Shoran
zts1523e	Assassino della Truppa di Ricognizione di Shoran
zts1524e	Cacciatore della Truppa di Ricognizione di Shoran
zts1525e	Incendiario della Truppa di Ricognizione di Shoran
zts1526e	Samurai delle Guardie di Shoran
zts1527e	Assassino delle Guardie di Shoran
zts1528e	Cacciatore delle Guardie di Shoran
zts1529e	Incendiario delle Guardie di Shoran
zts1530e	Samurai delle Guardie di Shay
zts1531e	Assassino delle Guardie di Shay
zts1532e	Cacciatore delle Guardie di Shay
zts1533e	Incendiario delle Guardie di Shay
zts1534e	Maestro delle chiavi dei Banditi del Deserto
zts1535e	Guardiano dei Banditi del Deserto
zts1536e	Cimeli rotti
zts1537e	Cimelio rotto
zts1538e	Scrigno sigillato
zts1539e	Frammenti di cimeli rotti
zts1540e	Frammenti di cimeli rotti
zts1541e	Frammenti di cimeli rotti
zts1542e	Frammenti di cimeli rotti
zts1543e	Prima tavoletta
zts1544e	Seconda tavoletta
zts1545e	Terza tavoletta
zts1546e	Tavoletta rotta
zts1547e	Tavoletta rotta
zts1548e	Tavoletta rotta
zts1549e	Tavoletta rotta
zts1550e	Monaco morto
zts1551e	Chierico morto
zts1552e	Golem Sabbiatalco
zts1553e	Golem Sabbiamobile
zts1554e	Golem Sabbiadeserto
zts1555e	Scrigno con Polvere di fata
zts1556e	Lettera dei Banditi del Deserto
zts1557e	Diario del viaggiatore
zts1558e	Bottiglia di veleno
zts1559e	Borsa in pelle degli elfi
zts1560e	Polvere di fata della terra
zts1561e	Polvere di fata del vento
zts1562e	Polvere di fata della sabbia
zts1563e	Flaconcino medicinale
zts1564e	Scrigno del mercante di Akamur
zts1565e	Scrigno Perduto (Campo di Keru)
zts1566e	Scrigno Perduto (Campo di Garton)
zts1567e	Merce perduta (Campo Banditi Deserto)
zts1568e	Scrigno perduto (Centro Banditi)
zts1569e	Scrigno strano sconosciuto
zts1570e	Roram
zts1571e	Ufficiale d'approvvigionamento Jamal
zts1572e	Ufficiale d'approvvigionamento Aaron
zts1573e	Scrigno della Banda di Briganti
zts1574e	Scrigno dell'oblio
zts1575e	Scrigno strano
zts1576e	Isalin
zts1577e	Samurai d'élite
zts1578e	Assassino d'élite
zts1579e	Cacciatore d'élite
zts1580e	Incendiario d'élite
zts1581e	Comandante dell'accampamento Neil
zts1582e	Comandante dell'accampamento Melki
zts1583e	Comandante Keru
zts1584e	Comandante dell'accampamento Garton
zts1585e	Comandante dei briganti Shoran
zts1586e	Comandante dei briganti Shay
zts1587e	Ufficiale d'approvvigionamento Ulman
zts1588e	Samira
zts1589e	Elias
zts1590e	Eldin
zts1591e	Elly
zts1592e	Amon
zts1593e	Scooter magico (m)
zts1594e	Scooter magico (f)
zts1595e	Tappeto magico (m)
zts1596e	Tappeto magico (f)
zts1597e	Amministratore dei cimeli antichi: Osservatore 1
zts1598e	Amministratore dei cimeli antichi: Osservatore 2
zts1599e	Amministratore dei cimeli antichi: Osservatore 3
zts1600e	Unità di Trasporto dormiente
zts1601e	Pattuglia morta
zts1602e	Unità d'élite morta
zts1603e	Caduta massi
zts1604e	Abitante del porto
zts1605e	Jack O'Lantern
zts1606e	Bomba zucca
zts1607e	Opossum zucca
zts1608e	Segnavia di Halloween
zts1609e	Jelly Rosa con sigillo
zts1610e	Pulcino sigillato
zts1611e	Soldato d'assalto dei Kenko sigillato
zts1612e	Cerbero sigillato
zts1613e	Gallo combattente sigillato
zts1614e	Vampy sigillato
zts1615e	Cane di Satana sigillato
zts1616e	Cavaliere dell'inferno sigillato
zts1617e	Garg sigillato
zts1618e	Boing Sigillato
zts1619e	Slade sigillato
zts1620e	Diavolo infuocato sigillato
zts1621e	Re granchio sigillato
zts1622e	Strega del ghiaccio sigillata
zts1623e	Bestia sigillata
zts1624e	Gigante di nebbia sigillato
zts1625e	Graylander sigillato
zts1626e	Ginseng sigillato
zts1627e	Re delle ombre sigillato
zts1628e	Golem Slade
zts1634e	Tigre bianca magica (m)
zts1635e	Tigre bianca magica (f)
zts1636e	Tigre bianca magica (f)
zts1638e	Nido
zts1639e	Opossum calciatore
zts1641e	Opossum arbitro
zts1642e	Cane da guardia della Grotta dei Cristalli
zts1643e	Guardiano della Grotta dei Cristalli
zts1644e	Sacerdote della Grotta dei Cristalli
zts1645e	Guardiano della Grotta dei Cristalli
zts1646e	Fantasma di smeraldo
zts1647e	Fantasma di zaffiro
zts1648e	Fantasma di rubino
zts1649e	Cane da guardia della Grotta dei Cristalli evocato
zts1650e	Guardiano della Grotta dei Cristalli evocato
zts1651e	Sacerdote della Grotta dei Cristalli evocato
zts1652e	Guardiano della Grotta dei Cristalli evocato
zts1653e	Fantasma dell'ombra
zts1654e	Fantasma dell'ombra
zts1655e	Fantasma dell'ombra
zts1656e	Rusty Robby
zts1657e	Cabrio magica (m)
zts1658e	Cabrio magica (f)
zts4789e	Re dei tuberi
zts4790e	Grande re dei tuberi
zts4791e	Re Tubero mostruoso
zts4792e	Grande re Tubero mostruoso
zts4793e	Patata putrefatta
zts4797e	Super opossum zucca
zts4798e	Accompagnatori di Jack O'Lantern
zts4800e	Bibi Bazar
zts4801e	Professor Asim
zts4802e	Jelly rosso sigillato
zts4803e	Folletto cornuto sigillato piccolo
zts4804e	Folletto cornuto sigillato
zts4805e	Jelly scuro sigillato
zts4806e	Folletto cornuto sigillato grande
zts4807e	Lupo sigillato
zts4808e	Maiale sigillato
zts4809e	Tartaruga di montagna sigillata
zts4810e	Leonlupo sigillato
zts4811e	Yeti sigillato
zts4812e	Super Babbo Opossum sigillato
zts4815e	Gallina regina
zts4816e	Re pollo rabbioso
zts4817e	Uovo gigante
zts4818e	Eggy gigante
zts4819e	Chicky saltellante gigante
zts4820e	Chicky truce gigante
zts4821e	Chick Norris
zts4823e	Segnavia pasquale
zts4825e	Opossum dell'Unità Speciale
zts4826e	Fluffy McFly (m)
zts4827e	Fluffy McFly (f)
zts4828e	Opossum verde
zts4829e	Opossum rosso
zts4830e	Opossum nero
zts4831e	Opossum blu
zts4832e	Opossum giallo
zts4833e	Opossum turchese
zts4834e	Opossum rosa
zts4835e	Gestore^del^Deposito^della^Famiglia
zts4836e	Salim
zts4837e	Magmaro
zts4838e	Ragno del fuoco Valaket
zts4839e	Gigante delle fiamme
zts4840e	Catena infuocata forte
zts4841e	Fantasma lavico
zts4842e	Fenice
zts4843e	Creatura ardente
zts4844e	Samurai del Team d'Esplorazione dei Banditi del Deserto
zts4845e	Cacciatore del Team d'Esplorazione dei Banditi del Deserto
zts4846e	Incendiario del Team d'Esplorazione dei Banditi del Deserto
zts4847e	Sommo sacerdote del Dio del fuoco
zts4848e	Ombra di Kertos
zts4849e	Ombra di Valakus
zts4850e	Pietra lavica lievitante
zts4851e	Custode dei cimeli
zts4852e	Ingegnere militare dei Mercanti Akamur
zts4853e	John l'avventuriero
zts4854e	Super Opossum samurai
zts4855e	Cane incandescente agile
zts4856e	Cane incandescente mordace
zts4857e	Catena infuocata
zts4858e	Ombra di Kertos
zts4859e	Spirito lavico
zts4860e	Cane incandescente spettrale
zts4861e	Cucciolo di Kertos
zts4862e	Magmaro spettrale
zts4863e	Valaket spettrale
zts4864e	Magmaro forte
zts4865e	Valaket forte
zts4866e	Fantasma lavico forte
zts4867e	Uovo dei ragni
zts4868e	Uovo di Valakus
zts4869e	Magmaro Ardente
zts4870e	Valaket Ardente
zts4871e	Gigante infuocato
zts4872e	Guardiano del Dio del fuoco
zts4873e	Uovo della Fenice
zts4874e	Pilota della Scopa cornuta (m)
zts4875e	Pilota della Scopa cornuta (f)
zts4876e	Segnavia con bandiera pirata
zts4877e	Capitano Pete O'Peng
zts4878e	Pirati Kangpen
zts4879e	Pirati Jackpen
zts4880e	Pirati Cappen
zts4881e	Capitano Jack Panon
zts4882e	Opossum pirata (Acqua)
zts4883e	Opossum pirata (Fuoco)
zts4884e	Opossum pirata (Luce)
zts4885e	Opossum pirata (Oscurità)
zts4886e	Mini Jackpen
zts4887e	Allenatore degli animali domestici dei pirati
zts4889e	Cane incandescente
zts4890e	Gral la Fenice gigante
zts4891e	Lama del calore splendente
zts4892e	Scudo del calore splendente
zts4893e	Lancia del calore splendente
zts4894e	Valoren, il Bandito del Deserto
zts4895e	Motivo misterioso
zts4896e	Montagnetta di sabbia brillante
zts4897e	Fior di ghiaccio
zts4898e	Sigillo
zts4899e	Sigillo spezzato
zts4900e	Spirito caduto
zts4901e	Guardiano del sigillo
zts4902e	Guardiano del sigillo debole
zts4903e	Fossa di lava
zts4904e	Winnie Piumabianca (m)
zts4905e	Winnie Piumabianca (f)
zts4906e	Cammello magico (m)
zts4907e	Cammello magico (f)
zts4908e	Piccolo di Valakus
zts4909e	Cristallo della vita
zts4910e	Fontana di lava
zts4911e	Alchimista delle fiamme
zts4912e	Allenatore di animali domestici terribile
zts4913e	Eric
zts4914e	Mary
zts4915e	Nossi, il drago (m)
zts4916e	Nossi, il drago (f)
zts4919e	Opossum centurione
zts4920e	Opossum shogun
zts4921e	Opossum Rudolf
zts4922e	Giovane Opossum Rudolf
zts4923e	Allenatore di animali domestici per Rudolf
zts4924e	Giovane Opossum Rudolf sigillato
zts4925e	Segnavia di Natale
zts4926e	Fiore^di^ghiaccio^(quest^dell'evento)
zts4927e	Ike Valanga (m)
zts4928e	Isa Valanga (f)
zts4929e	Chris Slavina (m)
zts4930e	Chrissy Slavina (f)
zts4931e	Bici "Billy Boneshaker" (m)
zts4932e	Bici "Billy Boneshaker" (f)
zts4933e	Pattini in linea "Blazing Blades" (m)
zts4934e	Pattini in linea "Blazing Blades" (f)
zts4935e	Skateboard "Doni Darkslide" (m)
zts4936e	Skateboard "Doni Darkslide" (f)
zts4938e	Kertos, il cane demoniaco forte
zts4939e	Jelly saltellante
zts4940e	Jelly saltellante grande
zts4941e	Jelly vivace
zts4942e	Jelly vivace grande
zts4943e	Seraphim
zts4944e	Uovo misterioso
zts4945e	Sacco di Pasqua
zts4946e	Jelly saltellante giovane
zts4947e	Jelly vivace giovane
zts4948e	Opossum calciatore (DE)
zts4949e	Opossum calciatore (FR)
zts4950e	Opossum calciatore (EN)
zts4951e	Opossum calciatore (IT)
zts4952e	Opossum calciatore (ES)
zts4953e	Opossum calciatore (PL)
zts4954e	Opossum calciatore (RU)
zts4955e	Opossum calciatore (CZ)
zts4956e	Opossum calciatore (TR)
zts4957e	Grande mago Kan
zts4958e	Lord Draco
zts4959e	Ardente Achille
zts4960e	Golem di Achille
zts4961e	Arciere teschio di Achille
zts4962e	Guerriero teschio di Achille
zts4963e	Fiamma di Achille
zts4964e	Roberto Lusso
zts4965e	Irene Williams
zts4966e	Harald di Nos
zts4967e	Gigante di fiamme di Draco
zts4968e	Spirito della lava di Draco
zts4970e	Mini Kangpen
zts4971e	Leona
zts4972e	Darko
zts4973e	Fibi Gelida
zts4974e	Rudi il teppista
zts4975e	Rudi il teppista giovane
zts4976e	Anima di Aegir
zts4977e	Anima di Freya
zts4978e	Anima di Barni
zts4979e	Rudi il teppista giovane sigillato
zts4980e	Yeti ripugnante
zts4981e	Fiocco, la fata della neve
zts4982e	Bally morbidoso
zts4983e	Unicorno bianco
zts4984e	Unicorno bianco
zts4985e	Unicorno rosa
zts4986e	Unicorno rosa
zts4987e	Unicorno nero
zts4988e	Unicorno nero
zts4989e	Vortice gigante
zts4990e	Trappola mobile
zts4991e	Falco da caccia
zts4992e	Nuvola di vapore
zts4993e	Felix Gelo
zts4994e	Enkidu Glacerus
zts4995e	Verme glaciale di Glacerus
zts4996e	Glacerus, il gelido
zts4998e	Pietra dell'anima congelata
zts4999e	Zangpo
zts5000e	Falco
zts5001e	Elisia
zts5002e	Ficcanaso gelido
zts5003e	Soldato bellicoso gelido
zts5004e	Strega del ghiaccio gelida
zts5005e	Leonlupo gelido
zts5006e	Laraneya
zts5007e	Sigillo del ghiaccio di Glacerus
zts5008e	Fantasma della guarnigione
zts5009e	Fantasma della Guardia del corpo
zts5010e	Fantasma del tiratore
zts5011e	UFO speciale (m)
zts5012e	UFO speciale (f)
zts5013e	Marco Pollo (m)
zts5014e	Marco Pollo (f)
zts5015e	Mini^Inferno
zts5016e	Fiammetta
zts5017e	Scintilla
zts5018e	Tei Ken
zts5019e	Victoria
zts5020e	Steve Stuff
zts5021e	Opossum marinaio
zts5022e	Windsurfista (m)
zts5023e	Windsurfista (f)
zts5024e	Akon, il collezionista
zts5025e	Re Opossum
zts5026e	Opossum cowboy
zts5028e	Clone oscuro evocato
zts5031e	Opossum dell'acqua
zts5032e	Opossum del fuoco
zts5033e	Mini Pegaso
zts5034e	Pulcino feroce evocato
zts5035e	Yeti evocato
zts5036e	Mini Rudi
zts5037e	Jeep gialla (m)
zts5038e	Jeep gialla (f)
zts5039e	Jeep blu (m)
zts5040e	Jeep blu (f)
zts5041e	Jeep rossa (m)
zts5042e	Jeep rossa (f)
zts5043e	Jeep verde acquamarina (m)
zts5044e	Jeep verde acquamarina (f)
zts5045e	Jeep nera (m)
zts5046e	Jeep nera (f)
zts5047e	Jeep rosa (m)
zts5048e	Jeep rosa (f)
zts5049e	Opossum ninja
zts5050e	Opossum ninja mini
zts5051e	Mago sinistro
zts5052e	Cavaliere oscuro
zts5053e	Arciere tetro
zts5054e	Lupo nero
zts5055e	Caligo
zts5056e	Viaggiatore misterioso
zts5057e	Sarakael
zts5058e	Lilith
zts5059e	Opossum indiano
zts5060e	Foxy
zts5061e	Primogenito di Mister Park
zts5062e	Secondogenito di Mister Park
zts5063e	Terzogenito di Mister Park
zts5064e	Volpe rabbiosa
zts5065e	Volpe Dusi rabbiosa
zts5066e	Opossum vichingo
zts5067e	Maru
zts5068e	Cestino con torta di riso
zts5069e	Corda
zts5070e	Fratelli spaventati
zts5071e	Vagabondo
zts5072e	Criceto tigre
zts5073e	Criceto tigre velenoso
zts5074e	Sammy Zampalesta
zts5075e	Strega Laurena
zts5076e	Bestia di Laurena
zts5077e	Pezzo di formaggio
zts5078e	Ciuffo d'erba
zts5079e	Demone Hongbi
zts5080e	Demone Cheongbi
zts5081e	Clone del demone Hongbi
zts5082e	Clone del demone Cheongbi
zts5083e	Zucca a fiasco
zts5084e	Hungbu
zts5085e	Nolbu
zts5086e	Rondine ferita
zts5087e	Zucca a fiasco di Hungbu
zts5088e	Zucca a fiasco di Nolbu
zts5089e	Clone aggressivo di Hongbi
zts5090e	Clone aggressivo di Cheongbi
zts5092e	Erba Tossica della dannazione
zts5093e	Soldato sotto shock
zts5096e	Soldato stregato
zts5097e	Lola Liuk
zts5098e	Raphael
zts5099e	Peluche di Lola
zts5100e	Carota gigante
zts5101e	Caverna dei Conigli
zts5102e	Coniglietto maestro di Lola
zts5104e	Eroe Hugo
zts5109e	Ombra del drago d'onice
zts5110e	Rozhanik
zts5111e	Ester
zts5112e	Lazekiel
zts5113e	Zelota
zts5114e	Zenas
zts5115e	Crociato del 2ª unità
zts5116e	Cavaliere guardiano di Zenas
zts5117e	Guardia reale di Zenas
zts5118e	Mago guardiano di Zenas
zts5119e	Sacerdote di Zenas
zts5120e	Tallion
zts5121e	Rement
zts5122e	Ismatte
zts5123e	Bacoom
zts5124e	Erenia
zts5125e	Zelota d'élite
zts5126e	Cavaliere guardiano di Erenia
zts5127e	Guardia reale di Erenia
zts5128e	Mago guardiano di Erenia
zts5129e	Sacerdote di Erenia
zts5130e	Bacoom d'élite
zts5131e	Crociato del 6ª unità
zts5132e	Comandante dei crociati
zts5133e	Sacerdote della trasformazione
zts5134e	Sacerdote della previdenza
zts5135e	Esperto del libro di abilità
zts5136e	Crociato Graham
zts5137e	Panuel
zts5138e	Eligos
zts5139e	Asahel
zts5140e	Ramel
zts5141e	Zaqiel
zts5142e	Barak
zts5143e	Zepar
zts5144e	Polneus
zts5145e	Principiante della 2ª Unità
zts5146e	Sacerdotessa Kelly della 2ª Unità
zts5147e	Sacerdotessa Molly della 2ª Unità
zts5148e	Sorvegliante Amon
zts5149e	Arcangelo Lucifero
zts5150e	Campo magico di Zenas
zts5151e	Pietra del guardiano
zts5152e	Graham
zts5153e	Spadaccino degli spiriti ignoti
zts5154e	Arciere degli spiriti ignoti
zts5155e	Mago degli spiriti ignoti
zts5156e	Spadaccino degli spiriti di Fernon
zts5157e	Arciere degli spiriti di Fernon
zts5158e	Mago degli spiriti di Fernon
zts5159e	Crociato ferito
zts5160e	Crociato folle
zts5161e	Crociato manipolato
zts5162e	Spadaccino degli spiriti ignoti d'élite
zts5163e	Arciere degli spiriti ignoti d'élite
zts5164e	Mago degli spiriti ignoti d'élite
zts5165e	Guerriero degli spiriti d'élite di rango inferiore
zts5166e	Guerriero degli spiriti d'élite di rango superiore
zts5167e	Mago degli spiriti d'élite di Fernon
zts5168e	Fernon incompleta
zts5169e	Alchimista Felice
zts5170e	Libel
zts5171e	Harpago
