zts1e	Nowy przedmiot
zts3568e	Z³ote A (event)
zts3569e	Z³ote P (event)
zts3570e	Z³ote Y (event)
zts3571e	Bia³a litera.[n]Zanieœ wszystkie litery wchodz¹ce w sk³ad s³ów NEW YEAR do Mimi Mentor,[n]a otrzymasz pude³ko noworoczne.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3572e	E (Event)
zts3573e	W (event)
zts3574e	Y (event)
zts3575e	A (event)
zts3576e	R (event)
zts3577e	Z³ote Pude³ko Noworoczne
zts3578e	Oto noworoczne z³ote pude³ko.[n]Zawiera wyj¹tkowy skarb.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3579e	Noworoczne Pude³ko
zts3580e	Noworoczne pude³ko[n]Mo¿esz otrzymaæ jeden z przedmiotów.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3581e	Noworoczna Skrzynia
zts3582e	Noworoczne pude³ko.[n]Mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów:[n]1x Krzakogon Byk[n]1x Tajemnicze pude³ko B[n]1x Koszyk zwierz¹tka (60 dni)[n]5x Perfumy[n]50x Skrzyd³a przyjaŸni[n]50x Woda Ÿródlana z Cylloan[n]1x Plecak Poszukiwacza Przygód (30 dni)[n]1x Per³a Zwierzaka[n]2x Obro¿a z imieniem dla zwierzaka[n]3x Wykwintna karma dla zwierzaka[n][n]
zts3583e	Zupa z Ry¿em
zts3584e	Przedmiot noworoczny.[n]P¯ i PM s¹ powoli przywracane.[n]Mo¿na u¿yæ tylko podczas odpoczynku.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3585e	Talizman
zts3586e	Przedmiot noworoczny[n]Jeœli sprzedasz go w sklepie, otrzymasz 10 000 z³ota.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3587e	Jajo Anio³a (indywidualne)
zts3588e	Po u¿yciu twoja ochronna moc zyska si³ê Anio³ów.[n]Jeœli jesteœ cz³onkiem rodziny, nie mo¿esz tego u¿yæ.[n][n]
zts3589e	Jajo Demona (indywidualne)
zts3590e	Po u¿yciu twoja ochronna moc zyska si³ê Demonów.[n]Jeœli jesteœ cz³onkiem rodziny, nie mo¿esz tego u¿yæ.[n][n]
zts3591e	Jajo Anio³a (rodzina)
zts3592e	Moc ochrony twojej rodziny zyska na moc anio³ów.[n]Tylko szef rodziny mo¿e tego u¿yæ.[n][n]
zts3593e	Jajo Demona (rodzina)
zts3594e	Moc ochrony twojej rodziny zyska moc demonów.[n]Tylko szef rodziny mo¿e tego u¿yæ.[n][n]
zts3620e	P³omienne Rêkawice Wiecznoœci
zts3621e	Bardzo mocne rêkawice zrobione z p³omieni piekielnych.[n][n]
zts3622e	Wichrowe Rêkawice Wiecznoœci
zts3623e	Bardzo mocne rêkawice zrobione z g³êbi oceanu.[n][n]
zts3624e	Boskie Rêkawice Wiecznoœci
zts3625e	Bardzo mocne rêkawice zrobione ze œwiêtego œwiat³a.[n][n]
zts3626e	Œmiertelne Rêkawice Wiecznoœci
zts3627e	Bardzo mocne rêkawice zrobione z g³êbi mroku.[n][n]
zts3680e	Ognisty Kryszta³
zts3681e	Kryszta³ ten jest bardzo rzadkim klejnotem.[n]Sprzedaj¹c go w sklepie, otrzymasz w zamian niez³¹ sumkê.[n]
zts3682e	Posiada ¿ywio³ œwiat³a o mocy 30%, nie mo¿e jednak byæ silniejszy.
zts3683e	Posiada ¿ywio³ œwiat³a o mocy 35%, nie mo¿e jednak byæ silniejszy.[n]Zmniejsza zu¿ycie punktów produkcji w mini-grach o 20%.[n][n]
zts3684e	Posiada ¿ywio³ ognia o mocy 35%, nie mo¿e jednak byæ silniejszy.[n]Zmniejsza zu¿ycie punktów produkcji w mini-grach o 20%.[n][n]
zts3685e	Pud³o z Podarunkami Mistrza Hatusa
zts3686e	Jest to pud³o z podarunkami, które nale¿a³o kiedyœ do Mistrza Hatusa.[n]Gdy je otworzysz, mo¿esz otrzymaæ sekretny przedmiot Mistrza Hatusa.[n][n]
zts3687e	Elegancki Mêski Kapelusz (30 dni)
zts3688e	Walentynkowy przedmiot eventowy:[n]Ozdoba dla atrakcyjnego mê¿czyzny.[n]Ca³a atak +5%[n]Maks. PM +200[n][n]
zts3689e	Elegancki Mêski Garnitur (30 dni)
zts3690e	Walentynkowy przedmiot eventowy:[n]Strój dla atrakcyjnego mê¿czyzny.[n]Ca³a obrona +5%[n]Maks. P¯ +200[n][n]
zts3691e	Przedmiot eventowy na Walentynki.[n]Oka¿ bliskiej osobie przeciwnej p³ci swoj¹ sympatiê.[n]Gdy osoba ta przyjmie go, ty otrzymasz b³ogos³awieñstwo walentynkowe.[n](Si³a ataku/obrony +10%)[n]Uwaga: Swoj¹ mi³oœæ mo¿esz wyraziæ jedynie trzy razy dziennie.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3692e	Przedmiot eventowy na Walentynki.[n]P¯ i PM s¹ powoli przywracane.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3719e	Ozdoba dla atrakcyjnego mê¿czyzny.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n]Ca³y atak +5%[n] Maks. PM +200[n][n]
zts3720e	Strój dla atrakcyjnego mê¿czyzny.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n]Ca³a obrona +5%[n]Maks. P¯ +200[n][n]
zts3721e	Elegancki Mêski Garnitur (7 dni)
zts3722e	Elegancki Mêski Garnitur (na sta³e)
zts3723e	Elegancki Mêski Kapelusz (7 dni)
zts3724e	Elegancki Mêski Kapelusz (na sta³e)
zts3725e	Krzakogon Samuraj
zts3726e	Pude³ko zawiera zakupione przez ciebie przedmioty.[n]Zawiera skrzyd³a anio³a i nadzwyczajne pude³ko fortuny.[n][n]
zts3727e	Pude³ko zawiera zakupione przez ciebie przedmioty.[n]Zawiera skrzyd³a demona i wartoœciowe pude³ko fortuny.[n][n]
zts3728e	Skrzyd³a Anio³a
zts3729e	Przemienia skrzyd³a twojego specjalisty w skrzyd³a anio³a.[n][Instrukcja][n]1. Przemieñ siê w specjalistê.[n]2. U¿yj tego przedmiotu, by zmieniæ swoje skrzyd³a.[n][Uwaga][n]1. Mo¿esz zmieniæ je w skrzyd³a anio³a jedynie przy u¿yciu ulepszonej karty specjalisty +1 lub wy¿szej.[n]2. Skrzyd³a znikaj¹, gdy od³o¿ysz kartê specjalisty do pojemnika na karty.[n][n]
zts3730e	Skrzyd³a Demona
zts3731e	Przemienia skrzyd³a twojego specjalisty w skrzyd³a .[n][Instrukcja][n]1. Przemieñ siê w specjalistê.[n]2. U¿yj tego przedmiotu, by zmieniæ swoje skrzyd³a.[n][Uwaga][n]1. Mo¿esz zmieniæ je w skrzyd³a demona jedynie przy u¿yciu ulepszonej karty specjalisty +1 lub wy¿szej.[n]2. Skrzyd³a znikaj¹, gdy od³o¿ysz kartê specjalisty do pojemnika na karty.[n][n]
zts3738e	Gwiezdny Mundurek Szkolny (7 dni)
zts3739e	Ubranie dla ³adnych dziewczynek.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n][n]
zts3740e	Gwiezdny Mundurek Szkolny (30 dni)
zts3741e	Gwiezdny Mundurek Szkolny (na sta³e)
zts3742e	Gwiezdna Wst¹¿ka do W³osów (7 dni)
zts3743e	Wst¹¿ka do w³osów dla ³adnych dziewczynek[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n][n]
zts3744e	Gwiezdna Wst¹¿ka do W³osów (30 dni)
zts3745e	Gwiezdna Wst¹¿ka do W³osów (na sta³e)
zts3746e	Przedmiot na event Bia³ego Dnia.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3747e	Przedmiot na event Bia³ego Dnia.[n]Oka¿ bliskiej osobie przeciwnej p³ci swoj¹ sympatiê.[n]Gdy osoba ta przyjmie go, ty otrzymasz b³ogos³awieñstwo Bia³ego Dnia.[n](Si³a ataku/obrony +10%)[n]Uwaga: Swoj¹ mi³oœæ mo¿esz wyraziæ jedynie trzy razy dziennie.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3748e	Przedmiot na event Bia³ego Dnia.[n]P¯ i PM s¹ powoli przywracane.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3749e	Przedmiot na event Bia³ego Dnia.[n]Oka¿ bliskiej osobie przeciwnej p³ci swoj¹ sympatiê.[n]Gdy osoba ta przyjmie go, ty otrzymasz b³ogos³awieñstwo Bia³ego Dnia.[n](Si³a ataku/obrony +10%)[n]Uwaga: Swoj¹ mi³oœæ mo¿esz wyraziæ jedynie trzy razy dziennie.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3761e	Przedmiot na event Bia³ego Dnia.[n]Oka¿ bliskiej osobie przeciwnej p³ci swoj¹ sympatiê.[n]Gdy osoba ta przyjmie go, ty otrzymasz b³ogos³awieñstwo Bia³ego Dnia.[n](Punkty doœwiadczenia +10%)[n]Uwaga: Swoj¹ mi³oœæ mo¿esz wyraziæ jedynie trzy razy dziennie.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3799e	Elkaim
zts3800e	Ladine
zts3801e	Rumial
zts3802e	Varik
zts3820e	Czasoprzestrzeñ do zdobycia pieczêci gigantycznego czarnego paj¹ka.[n]Limit poziomu: 60-75[n]Z tym przedmiotem mo¿esz od razu wejœæ.[n][n]
zts3850e	Odrzuæ zapytanie o rejestracjê
zts3867e	Czasoprzestrzeñ do zdobycia pieczêci gigantycznego czarnego paj¹ka.[n]Limit poziomu: 60-75[n]Do czasoprzestrzeni mo¿na wejœæ przy [Górskiej Jaskini 5].[n]Mo¿na wejœæ tylko w pojedynkê.[n][n]
zts3888e	Kostium Hawajski dla Mê¿czyzn (7 dni)
zts3889e	Hawajski kostium dla mê¿czyzn.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n]Ca³a obrona +5%[n]Maks. P¯ +200[n][n]
zts3890e	Kostium Hawajski dla Mê¿czyzn (30 dni)
zts3891e	Kostium Hawajski dla Mê¿czyzn (na sta³e)
zts3892e	Hawajski kostium dla mê¿czyzn.[n]Ca³a obrona +5%[n]Maks. P¯ +200[n][n]
zts3893e	Kostium Hawajski dla Kobiet (7 dni)
zts3894e	Hawajski kostium dla kobiet.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n]Ca³a obrona +5%[n]Maks. P¯ +200[n][n]
zts3895e	Kostium Hawajski dla Kobiet (30 dni)
zts3896e	Kostium Hawajski dla Kobiet (na sta³e)
zts3897e	Hawajski kostium dla kobiet.[n]Ca³a obrona +5%[n]Maks. P¯ +200[n][n]
zts3898e	Hawajska Ozdoba na G³owê dla Mê¿czyzn (7 dni)
zts3899e	Hawajska ozdoba na g³owê dla mê¿czyzn.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n]Ca³a si³a ataku +5%[n]Maks. PM +200[n][n]
zts3900e	Hawajska Ozdoba na G³owê dla Mê¿czyzn (30 dni)
zts3901e	Hawajska ozdoba na g³owê dla mê¿czyzn (na sta³e)
zts3902e	Hawajska ozdoba na g³owê dla mê¿czyzn.[n]Ca³a si³a ataku +5%[n]Maks. PM +200[n][n]
zts3903e	Hawajska Ozdoba na G³owê dla Kobiet (7 dni)
zts3904e	Hawajska ozdoba na g³owê dla kobiet.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n]Ca³a si³a ataku +5%[n]Maks. PM +200[n][n]
zts3905e	Hawajska Ozdoba na G³owê dla Kobiet (30 dni)
zts3906e	Hawajska Ozdoba na G³owê Dla Kobiet (na sta³e)
zts3907e	Hawajska ozdoba na g³owê dla kobiet.[n]Ca³a si³a ataku +5%[n]Maks. PM +200[n][n]
zts3954e	I (event)
zts3955e	Podczas eventu mo¿esz zdobyæ I od zmodyfikowanych lisów a <3 od zmodyfikowanych owiec.[n]Obydwie rzeczy mo¿na wymieniæ u Dr Franeksteina.[n]Lisy maj¹ swoje nory g³êboko w ziemi a owieczki czuj¹ siê szczególnie dobrze wszêdzie tam, gdzie roœnie trawa lub gdzie mog¹ ugasiæ pragnienie wiedzy...[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3956e	<3 (event)
zts3984e	Cieniowa Lanca Hatusa
zts3985e	£uk Otch³ani Hatusa
zts3986e	Piekielna Laska Hatusa
zts3987e	Po u¿yciu mog¹ wyst¹piæ nastêpuj¹ce efekty:[n]Zwiêkszenie liczby P¯, Zwiêkszenie liczby PM, zwiêkszenie liczby PS lub nic.[n]Alternatywnie mo¿na wymieniæ u Evy Energy na pieczêæ Grasslin.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts3988e	Dziêki wzmocnieniu przez 10 minut otrzymasz 30% wiêcej punktów doœwiadczenia w walce i profesji.[n][Uwaga][n]Przedmiot ten zniknie po zakoñczeniu eventu.[n][n]
zts4001e	Pud³o z Podarunkami Lady Calvinas
zts4002e	Krzakogon Bokser
zts4003e	Nadgryziona Figa Kaktusowa
zts4004e	Figa Kaktusowa
zts4005e	Worek z Figami Kaktusowymi
zts4006e	List Asystenta Hamida
zts4007e	Pismo Neila
zts4008e	Pierwszy Raport Rozpoznania
zts4009e	Drugi Raport Rozpoznania
zts4010e	Raport Rozpoznania Hamida
zts4011e	Raport Rozpoznania Chiltona
zts4012e	Worek Fig Kaktusowych (x2)
zts4013e	Worek z Zatrutymi Figami Kaktusowymi
zts4014e	Lista Rozkazów
zts4015e	Klucz Zarz¹dcy Obozu Bandy Rozbójników
zts4016e	Klucz Stra¿nika Bandy Rozbójników
zts4017e	Niedrogie Towary
zts4018e	Przeciêtny Towar
zts4019e	Wartoœciowy Towar
zts4020e	Towar o Niewielkiej Wartoœci
zts4021e	Towar Œredniej Wartoœci
zts4022e	Cenny Towar
zts4023e	Towar ze Wschodu
zts4024e	Towar z Zachodu
zts4025e	Towar z Zachodu (nr 1)
zts4026e	Flaga Handlarzy Akamura
zts4027e	Pierwsze Towary Handlowe
zts4028e	Drugie Towary Handlowe
zts4029e	Trzecie Towary Handlowe
zts4030e	Czwarte Towary Handlowe
zts4031e	Pi¹te Towary Handlowe
zts4032e	Szóste Towary Handlowe
zts4033e	Maska Pustynnego Rozbójnika
zts4034e	God³o Pustynnego Rozbójnika
zts4035e	Pieczêæ Komendanta Kerusa
zts4036e	Drugi Raport Zlecenia
zts4037e	Klucz Dozorcy
zts4038e	Pilny Raport Kerusa
zts4039e	Pilny Raport Patrolu B
zts4040e	Butelka z Lekarstwem
zts4041e	Górny Fragment Reliktu Œwi¹tyni Aster
zts4042e	Dolny Fragment Reliktu Œwi¹tyni Aster
zts4043e	Œrodkowy Fragment Reliktu Œwi¹tyni Aster
zts4044e	Pierwszy Klucz Rozbójnika
zts4045e	Drugi Klucz Rozbójnika
zts4046e	Zniszczony Fragment Reliktu
zts4047e	Esencja Ducha
zts4048e	Kadzide³ko
zts4049e	Kadzide³ko z B³ogos³awieñstwem Bóstwa S³oñca
zts4050e	Kadzide³ko z B³ogos³awieñstwem Bóstwa S³oñca 1
zts4051e	Kadzide³ko z B³ogos³awieñstwem Bóstwa S³oñca 2
zts4052e	Kadzide³ko z B³ogos³awieñstwem Bóstwa S³oñca 3
zts4053e	Fragment Reliktu Grenigasa A
zts4054e	Fragment Reliktu Grenigasa B
zts4055e	Fragment Reliktu Grenigasa C
zts4056e	Fragment reliktu Grenigasa D
zts4057e	Podarte Pismo
zts4058e	Raport o Placu Œwi¹tyni A
zts4059e	Raport o Placu Œwi¹tyni B
zts4060e	Fragment Kamiennej Tablicy
zts4061e	Raport Placu Œwi¹tyni
zts4062e	Pierwsza Tablica
zts4063e	Druga Tablica
zts4064e	Trzecia Tablica
zts4065e	Rozbita Tablica
zts4066e	Zniszczony Fragment Reliktu
zts4067e	Rozbita Tablica (Biblioteka)
zts4068e	Rozbita tablica (Podziemna jaskinia)
zts4069e	Rozbita Tablica (Sala modlitw)
zts4070e	Rozbita Tablica (Œwiêty Plac Centrum)
zts4071e	Plecak Poszukiwacza Skarbu
zts4072e	Esencja Ducha Piasku
zts4073e	Esencja Ducha Wiatru
zts4074e	Rum
zts4075e	Py³ Wró¿ek
zts4076e	Œrodkowy Fragment Listu do Herszta Pustynnych Rozbójników
zts4077e	Fragment Listu do Herszta Pustynnych Rozbójników
zts4078e	Skórzana Torba Wró¿ki
zts4079e	Py³ Wró¿ek Ziemi
zts4080e	Py³ Wró¿ek Wiatru
zts4081e	Py³ Wró¿ek Piasku
zts4082e	Pierwsza Podejrzana Torba
zts4083e	Druga Podejrzana Torba
zts4084e	Trzecia Podejrzana Torba
zts4085e	Czwarta Podejrzana Torba
zts4086e	Esencja Wró¿ki Piasku
zts4087e	Esencja Wró¿ki Wiatru
zts4088e	Poœwiêcona Esencja Wró¿ek
zts4089e	B³ogos³awiona Esencja Wró¿ek 1
zts4090e	B³ogos³awiona Esencja Wró¿ek 2
zts4091e	Lista Rozkazów Neila
zts4092e	Lista Rozkazów Melkia
zts4093e	Lista Rozkazów Kerusa
zts4094e	Lista Rozkazów Gartona
zts4095e	Lista Poleceñ Shorana
zts4096e	Lista Poleceñ Shaya
zts4097e	Wygrana 1
zts4098e	Wygrana 2
zts4099e	Wygrana 3
zts4100e	Wygrana 4
zts4101e	Dziwna Skrzynia
zts4102e	Budzik Delmona
zts4103e	Z³ota Moneta Bandy Rozbójników
zts4104e	Srebrna Moneta Bandy Rozbójników
zts4105e	Miedziana Moneta Bandy Rozbójników
zts4106e	Klucz Bandy Rozbójników
zts4107e	Z³oty Klucz Bandy Rozbójników
zts4108e	Torba Bandy Rozbójników
zts4109e	Nieznany Relikt
zts4110e	Tajemniczy Relikt
zts4111e	Eliksir Regeneracji (Akt 5)
zts4112e	1) [n][n]
zts4113e	2) [n][n]
zts4119e	Pergamin Broni Komendanta
zts4120e	Œwiat³okopie Bandy Rozbójników
zts4121e	Œwie¿y Sok z Truskawek
zts4122e	Œwie¿y Sok z Winogron
zts4123e	Mocne Wino Gronowe
zts4124e	Mocne Wino z Jab³ek
zts4125e	Pieczêæ Rajdu Bandy Rozbójników
zts4127e	Pud³o z Podarunkami Lady Calvinas
zts4128e	Miecz Morskiej Wichury Calvinas
zts4129e	Miecz zrobiony z zêbów Calvinas.[n][n]
zts4130e	£uk Fali Powodziowej Calvinas
zts4131e	£uk z koœci Calvinas.[n][n]
zts4132e	Magiczna Laska Lilii Wodnej Calvinas
zts4133e	Ró¿d¿ka, która zosta³a zrobiona z p³etwy Calvinas.[n][n]
zts4134e	Kusza Niebieskiego Kolca Calvinas
zts4135e	Kusza, która zosta³a zrobiona z niebieskiego kolca Calvinas i wykuta przez Kowala Wiecznego Morza.[n][n]
zts4136e	Sztylet Niebieskiego Zêba Calvinas
zts4137e	Sztylet, który zosta³ zrobiony z niebieskich k³ów Calvinas i wykuty przez Kowala Wiecznego Morza.[n][n]
zts4138e	Miotacz Niebieskiego Kolca Calvinas
zts4139e	Jest to miotacz zaklêæ zrobiony z niebieskiego rogu Calvinas i wykuta przez Kowala Wiecznego Morza.[n][n]
zts4140e	Zapieczêtowana Karta Tarota (G³upiec)
zts4141e	Karta tarota (G³upiec) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (G³upiec).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4142e	Zapieczêtowana Karta Tarota (Mag)
zts4143e	Karta tarota (Mag) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Mag).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4144e	Zapieczêtowana Karta Tarota (Mi³oœæ)
zts4145e	Karta tarota (Mi³oœæ) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Mi³oœæ).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4146e	Zapieczêtowana Karta Tarota (Pustelnik)
zts4147e	Karta tarota (Pustelnik) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Pustelnik).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4148e	Zapieczêtowana Karta Tarota (Œmieræ)
zts4149e	Karta tarota (Œmieræ) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Œmieræ).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4150e	Zapieczêtowana Karta Tarota (Demon)
zts4151e	Karta tarota (Demon) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Demon).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4152e	Zapieczêtowana Karta Tarota (Wie¿a)
zts4153e	Karta tarota (Wie¿a) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Wie¿a).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4154e	Zapieczêtowana Karta Tarota (Gwiazda)
zts4155e	Karta tarota (Gwiazda) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Gwiazda).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4156e	Zapieczêtowana Karta Tarota (Ksiê¿yc)
zts4157e	Karta tarota (Ksiê¿yc) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (Ksiê¿yc).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4158e	Zapieczêtowana Karta Tarota (S³oñce)
zts4159e	Karta tarota (S³oñce) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n][Instrukcja][n]Kliknij dwukrotnie, aby usun¹æ pieczêæ i otrzymaæ kartê tarota (S³oñce).[n]Tylko postacie z poziomem wy¿szym ni¿ 60 mog¹ u¿ywaæ kart tarota.[n][n]
zts4160e	Karty Tarota
zts4164e	Magiczny Skuter
zts4165e	Dziêki temu przedmiotowi staniesz siê kierowc¹ skutera.[n]Twoja szybkoœæ poruszania siê wzroœnie.[n]Aby zdj¹æ, u¿yj ponownie tego przedmiotu.[n]Brak ograniczenia poziomu.[n][n]
zts4166e	Magiczny Dywan
zts4167e	Dziêki temu przedmiotowi mo¿esz lataæ na magicznym dywanie.[n]Twoja szybkoœæ poruszania siê zwiêksza siê w regionach pustynnych.[n][n]Aby zsi¹œæ, u¿yj ponownie tego przedmiotu.[n]Mo¿na go u¿ywaæ od poziomu 70.[n][n]
zts4170e	Krótki Miecz z Br¹zu
zts4171e	Zardzewia³y Gladius
zts4172e	Ostry Krótki Miecz
zts4173e	Krótki Nieozdobiony Miecz
zts4174e	Ostra Szabla
zts4175e	Miecz Czerwonej Energii
zts4176e	Ostry Szeroki Miecz
zts4177e	Zardzewia³y Kordelas
zts4178e	Ostry Szeroki Miecz
zts4179e	Zardzewia³a Skyabona
zts4180e	Krótki £uk
zts4181e	Cienki Bambusowy £uk
zts4182e	£uk Wojenny
zts4183e	Cienki Dêbowy £uk
zts4184e	Twardy £uk
zts4185e	£uk Wiatru
zts4186e	Du¿y £uk Myœliwski
zts4187e	Têpy Mistrzowski £uk
zts4188e	D³ugi £uk Bojowy
zts4189e	Niebieski Miedziany £uk
zts4190e	Ma³a Per³owa Ró¿d¿ka
zts4191e	Ró¿d¿ka Czerwonych Oczu
zts4192e	Wzmocniona czarodziejska ró¿d¿ka
zts4193e	Ma³a Ró¿d¿ka Many
zts4194e	Czarodziejska ró¿d¿ka niebieskich oczu
zts4195e	Iskrz¹ca siê Ró¿d¿ka
zts4196e	Krwawi¹ca czarodziejska ró¿d¿ka
zts4197e	Szafirowa Czarodziejska Ró¿d¿ka
zts4198e	Wzmocniona kryszta³owa czarodziejska ró¿d¿ka
zts4199e	Ber³o Many
zts4200e	Lekka Kusza
zts4201e	Kusza Zniszczenia
zts4202e	Mocna Kusza
zts4203e	Kusza Mistrza
zts4204e	Kusza z Rogu Demona
zts4205e	Lekki Sztylet
zts4206e	Lekki Sztylet Górala
zts4207e	Sztylet Zdobiony Klejnotami
zts4208e	Sztylet Mistrza
zts4209e	Szafirowy Sztylet
zts4210e	Ma³y Miotacz Zaklêæ Many
zts4211e	Normalny Miotacz Zaklêæ Many
zts4212e	Z³oty Miotacz Zaklêæ Many
zts4213e	Miotacz Zaklêæ Wielkiego Mistrza
zts4214e	Miotacz Zaklêæ Many Ozdobiony Runami
zts4215e	Cienka Skórzana Zbroja
zts4216e	Miêkki Obszyty Pancerz
zts4217e	Zbroja Wojownika
zts4218e	Magiczna Skórzana Zbroja
zts4219e	Skórzana Zbroja Kolcza
zts4220e	Pancerz Zakrywaj¹cy Ca³e Cia³o
zts4221e	Solidna Skórzana Zbroja
zts4222e	¯elazny Pancerz
zts4223e	Pe³na Zbroja P³ytowa
zts4224e	Ciê¿ki Obroñca
zts4225e	Cienka Tunika
zts4226e	Cienka Welurowa Tunika
zts4227e	Tunika z Jagniêcej Skóry
zts4228e	Leœna Tunika
zts4229e	Tunika z Cielêcej Skóry
zts4230e	Cienka Tunika Oddechu
zts4231e	Skórzana Tunika
zts4232e	Cienka Tunika z Pekari
zts4233e	Upierzona Tunika Toskana
zts4234e	Cienka Tunika Duchów
zts4235e	Cienka P³ócienna Szata
zts4236e	Mocna Bawe³niana Szata
zts4237e	Cienka Lniana Szata
zts4238e	Magiczna Lniana Szata
zts4239e	Magiczna Szata Tweedowa
zts4240e	Mocna Wzorzysta Szata
zts4241e	Lniana Szata Maga
zts4242e	Mocna Jedwabna Tunika
zts4243e	Magiczna Szata z Oœci Œledzia
zts4244e	Szata Otch³ani
zts4245e	Uszlachetniony Naszyjnik Mano
zts4246e	Uszlachetniony Naszyjnik Kocich Oczu
zts4247e	Uszlachetniony Kryszta³owy Naszyjnik
zts4248e	Uszlachetniony Diamentowy Naszyjnik
zts4249e	Uszlachetniony Pierœcieñ Mano
zts4250e	Uszlachetniony Pierœcieñ Kocich Oczu
zts4251e	Uszlachetniony Kryszta³owy Pierœcieñ
zts4252e	Uszlachetniony Diamentowy Pierœcieñ
zts4253e	Uszlachetniona Bransoletka Mano
zts4254e	Uszlachetniona Bransoletka Kocich Oczu
