zts1e	Ausruhen
zts608e	Erhöht die MP-Erholung um 120.
zts609e	Naturheilung
zts610e	Mit einem stilvollen Effekt.
zts611e	Stärke der Skills wird nochmal erhöht.
zts612e	Glänzende Klinge
zts613e	Gigantischer Tornado
zts614e	Verstärktes Zaubergeschoss
zts616e	Sturmschlag
zts617e	Stärkung der Elementresistenz
zts618e	Hastiger Angriff
zts619e	Betäubungsschuss
zts620e	Explosionsschuss
zts621e	Flammender Pfeil
zts622e	Glänzender Pfeil
zts623e	Greife schwache Punkte an.
zts624e	Eisspitzen
zts625e	Gerechtigkeit des Lichts
zts626e	Magmazone
zts627e	Magischer Strahl
zts628e	Atem des Verlierers
zts629e	Sprung des Huhnkönigs
zts630e	Schrei des Huhnkönigs
zts631e	Erhöht für eine bestimmte Zeit bei umliegenden Begleitern die Verteidigung und die Resistenz.
zts632e	Schützt vor kritischen Treffern.
zts633e	Treten
zts634e	Schrei
zts635e	Springen
zts636e	Explosiv-magische Bombe verstärken
zts637e	Mittlerer Sprung des Huhnkönigs
zts638e	Schneller Sprung des Huhnkönigs
zts639e	Greife schnell und effektiv mit Bambusstäben an.
zts640e	Jajamaru-Bossfalle
zts641e	Shuriken-Angriff
zts642e	Shuriken-Sprung
zts643e	Flammenfeuer
zts644e	Bombenwurf
zts645e	Ersetzen
zts646e	Schleichen
zts647e	Knallfrosch-Beschwörung
zts648e	Schöpfung
zts649e	Kraft des leeren Herzens
zts650e	Explosiv-magische Bombe verstärken 2
zts651e	Ninja Shuriken-Angriff
zts652e	Namajus Stampfen
zts653e	Namaju herbeirufen
zts654e	Angriff der Rüstungen
zts655e	Angriff der Ahornblätter
zts656e	Laserstrahlen
zts657e	Geister herbeirufen
zts658e	Magische Hände
zts659e	Giftiger Nebel
zts660e	Stolpern
zts661e	Angriff der Kovolt-Geisterbogenschützen
zts662e	Grundangriff des Jajamaru. Schleudert Shuriken auf die Feinde.
zts663e	Springt und schleudert Shuriken in die Richtung der Feinde.
zts664e	Ein Feuerangriff auf nebeneinanderstehende Feinde.
zts665e	Schleudert eine starke Bombe auf die Feinde
zts666e	Teleportiert zu einem bestimmten Punkt und hinterlässt Holzsplitter am Ursprungsort.
zts667e	Verbirgt dich bis zum nächsten Angriff von dir oder anderen.
zts668e	Reitet einen Knallfrosch und greift Gegner in der Umgebung an.
zts669e	Beschwört die Miniaturen von Jajamaru. Sie greifen an und verschwinden wieder.
zts670e	Diese Fähigkeit kann nur für Namaju eingesetzt werden.
zts671e	Stellt die Energie für eine begrenzte Zeit wieder her und lässt Namaju Schaden erleiden.
zts672e	Biestspurt
zts673e	Hastiger Angriff des Kovoltkriegers
zts674e	Teleport der Teufelsdame
zts675e	Nebelgift
zts676e	Basisangriff des auferstandenen Skelettkriegers
zts677e	Blendet den auferstandenen Teufel.
zts678e	Basisangriff des Totenkopffalken
zts679e	Basisangriff des Todeskriegers
zts680e	Wirbelwind des Todeskriegers
zts681e	Schweigen des Todeskriegers
zts682e	Phantomteleport des Todeskriegers
zts683e	Basisangriff des Höllenritters
zts684e	Erdschock des Höllenritters
zts685e	Schrei des Höllenritters
zts686e	Betäubungsschild des Höllenritters
zts687e	Basisangriff des fliegenden Feuerteufels
zts688e	Feuerstern des Fliegenden Feuerteufels
zts689e	Hüpfer der Grasslinfee
zts690e	Gebrüll der Grasslinfee
zts691e	Halbhoher Hüpfer der Grasslinfee
zts692e	Schneller Hüpfer der Grasslinfee
zts693e	Basisangriff des Feuerdrachen
zts694e	Basisangriff des Knochendrachen
zts695e	Elementarer Angriff
zts696e	Heiliger Pfeil
zts697e	Dreifacher Angriff
zts698e	Belagerungsmodus
zts699e	Verteidigungsmodus
zts700e	Gebet der Wiederherstellung
zts701e	Heiliges Kreuz
zts702e	Wachsender Schild
zts703e	Gebet der Verteidigung
zts704e	Gebet des Angriffs
zts705e	Konzentrat 1
zts706e	Axthieb
zts707e	Schlag
zts708e	Raserei
zts709e	Ansturm der Schallwellen
zts710e	Adrenalinschlag
zts711e	Wahnsinnsangriff
zts712e	Großer Schwung
zts713e	Gespaltener Tornado
zts714e	Berserker
zts715e	Leben und Tod
zts716e	Rüstung zerreißen
zts717e	Flinte abfeuern
zts718e	Schneller Schuss
zts719e	Weitschuss
zts720e	Tempoverstärker
zts721e	Bombenleger
zts722e	Giftgas-Bombe
zts723e	Sprengschuss
zts724e	Wundersame Heilung
zts725e	Dröhnender Schuss
zts726e	Feuermine
zts727e	Höllensturz
zts728e	Schmetterbumerang
zts729e	Ansturm der Schlangen
zts730e	Biestkralle
zts731e	Geist des Adlers
zts732e	Elementares Leuchten
zts733e	Bumerangwurf
zts734e	Geist des Wolfes
zts735e	Verlust der Elemente
zts736e	Efeu
zts737e	Geist des Bären
zts738e	Waldkraft
zts739e	Eisball
zts740e	Eissplitter
zts741e	Eisstrahl
zts742e	Eislanze
zts743e	Eiskette
zts744e	Eisschild
zts745e	Gletscher
zts746e	Segnung des Wassers
zts747e	Starker Hagel
zts748e	Kälte
zts749e	Schneesturm
zts750e	Chrysos Blasenangriff
zts751e	Treekuns Fußangriff
zts752e	Heiliger Atem
zts753e	Heiliges Element
zts754e	Leuchtender Effekt
zts755e	Konzentrat 2
zts756e	Verstärker aktiviert
zts757e	Eisige Kette
zts758e	Magischer Schuss
zts759e	Kombinierter Schuss
zts760e	Magischer Blitz
zts761e	Wächtergeist
zts762e	Verfluchter Schuss
zts763e	Dunkler Fluch
zts764e	Besessenheit
zts765e	Regeneration des Geistes
zts766e	Trank des Bösen
zts767e	Totenmesse
zts768e	Geisterinvasion
zts769e	Stumpfangriff
zts770e	Spezieller Elektrikangriff
zts771e	Qualle herbeirufen
zts772e	Erikiel im Speermodus
zts773e	Maulwurfangriff
zts774e	Versteinerungsangriff des Basilisken
zts775e	Mottenstaub-Angriff
zts776e	Geschicklichkeitsangriff
zts777e	Graylander-Angriff
zts778e	Graylander-Betäubung
zts779e	Chrysos Basisangriff
zts780e	Maulwurfgrillen-Angriff
zts781e	Konzentrierte Macht
zts782e	Bombenexplosion
zts783e	Bombenexplosion 2
zts784e	Aggressiver Angriff
zts785e	Landminenexplosion
zts786e	Schleuder-Basisangriff
zts787e	Schleudergleiter
zts788e	Gänseblümchen-Basisangriff
zts789e	Gänseblümchen-Gashülle
zts790e	Seinas Basisangriff
zts791e	Seinas Heiliges Kreuz
zts792e	Großer Schwung
zts793e	Raserei
zts794e	Rüstung zerreißen
zts795e	Das ist der Basisangriff des Kreuzritters.
zts796e	Schieße einen heiligen Pfeil ab und verwunde deine Gegner.
zts797e	Der dreifache Angriff lässt deine Gegner großen Schaden erleiden.
zts798e	Die umstehenden Kreaturen werden durch das starke Lichtelement des heiligen Atems geschwächt.
zts799e	Erhöht alle Angriffskräfte für eine bestimmte Zeit.
zts800e	Dein Ziel wird von einem heiligen Licht umhüllt.
zts801e	HP werden wiederhergestellt.
zts802e	Durch eine Explosion, verursacht durch den Geist des Lichtes, entsteht ein großes heiliges Kreuz.
zts804e	Erhöht die Ausdauer und die Verteidigung von dir und deiner Gruppe.
zts805e	Erhöht dein Angriffslevel und deine Moral. Dies gilt auch für deine Gruppe.
zts806e	Dein Ziel und umliegende Gegner werden durch die Beschwörung der konzentrierten Macht besiegt.
zts807e	Das ist der Basisangriff des Zerstörers.
zts808e	Ein schneller Schuss verursacht bei den Gegnern großen Schaden.
zts809e	Erledigt alle in der Nähe befindlichen Gegner.
zts810e	Beschleunige deine Bewegungen durch einen kräftigen Booster.
zts811e	Greift umliegende Gegner durch die Explosion einer speziellen Bombe an. Nach 40 Sekunden entschärft sich die Bombe von selbst.
zts812e	Vergiftet umliegende Gegner durch die Explosion einer Giftgas-Bombe.
zts813e	Erhöht die Durchschlagskraft der Flinte.
zts814e	Heilung aller schlechten Effekte, die durch Gegner zugefügt wurden.
zts815e	Greift Gegner durch Werfen einer Bombe an.
zts816e	Feuerminen stürmen auf die Gegner zu.
zts817e	Die stärkste Bombe wird zufällig gezündet.
zts818e	Das ist der Basisangriff des Eismagiers.
zts819e	Greife den Gegner mit scharfen Eissplittern an.
zts820e	Durch einen mächtigen Frostzauber erfriert der Gegner.
zts821e	Pikse deine Gegner mit einer Eislanze.
zts822e	Fesselt den Gegner an eine Eiskette.
zts823e	Ein schützender Eisschild mildert den Angriff des Gegners.
zts824e	Es entstehen scharfkantige Eisgebilde um den Charakter herum, der den Zauber ausführt.
zts825e	Segen des Wassers
zts826e	Erhöht die Resistenz gegen das Wasserelement.
zts827e	Die Gegner erleidet durch hinabfallende Hagelkörner großen Schaden.
zts828e	Ein kalter Luftzug lässt deine Gegner erstarren.
zts829e	Ein frostiger Schneesturm vernichtet die Gegner.
zts830e	Helldukes Technik
zts831e	HP werden wiederhergestellt.
zts832e	Mysticaron
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Mystischer Ritter
zts838e	Erschafft einen riesigen Schild, der die Verteidigung maximiert.
zts840e	Basisangriff vom Schneemann
zts842e	Whitneys Basisangriff
zts843e	Whitneys Fluchblitz
zts844e	Schlag des mystischen Ritters
zts845e	Basisangriff von Kupei
zts846e	Kupeis Schlange
zts847e	Justins Basisangriff
zts848e	Justins großer Schwung
zts849e	Das ist der Basisangriff des Berserkers.
zts850e	Das ist der Basisangriff des Wildhüters.
zts851e	Basisangriff des Schattenmagiers
zts852e	Das ist der Basisangriff des Berserkers.
zts853e	Schlägt den Gegner mit einer riesigen Waffe.
zts854e	Diese Waffe mit dem Schattenelement schlägt den Gegner und alles um ihn herum nieder.
zts855e	Erhöht die Angriffskraft, indem er seinen Wahnsinn und seine geistigen Kräfte bündelt.
zts856e	Verringert die Verteidigung.
zts857e	Entziehe dem Feind seinen Wahnsinn und stürze dich auf ihn.
zts858e	Schlage den Gegner in Raserei zu Brei.
zts859e	Schlage im Wahnsinn zufällig um dich.
zts860e	Neutralisiere die Verteidigung des Gegners.
zts861e	Zerbricht den Feind und lässt den Boden erschüttern.
zts862e	Verbraucht HP, um die Angriffskraft zu erhöhen.
zts863e	Nutzt den Wahnsinn und die Raserei für einen zufälligen Rundumschlag.
zts864e	Wirft einen Bumerang in die Richtung des Feindes.
zts865e	Schleudere 2 Bumerangs in die Richtung deines Gegners.
zts866e	Schneide deine Feinde mit einem Bumerang.
zts867e	Mit dem Geist des Adlers kannst du deinen Gegner gezielt angreifen.
zts868e	Das elementare Leuchten erfüllt dich mit der Aura der Natur.
zts869e	Verletze die Feinde mit einem energischen Bumerangwurf.
zts870e	Durch den Geist des Wolfes erhöht sich die Bewegungsgeschwindigkeit.
zts871e	Sauge die spirituelle Energie aus dem Feind.
zts872e	Schleudert einen Bumerang in mehrere Richtungen, um alle Gegner in deiner Umgebung zu treffen.
zts873e	Erhöht die Verteidigungskraft, indem der Geist des Bären gerufen wird.
zts874e	Wirf einen Riesenbumerang, um ihn mit der Aura der Natur zu vereinen.
zts875e	Basisangriff des Schattenmagiers
zts876e	Feuert wiederholt die Zauberwaffe ab.
zts877e	Ein magischer Blitz verursacht eine Explosion, die dem Gegner Schaden zufügt.
zts878e	Ein Wächtergeist erscheint, um den Charakter vor Angriffen zu beschützen.
zts879e	Feuert einen verfluchten Schuss auf den Gegner ab.
zts880e	Belegt den Charakter mit einem dunklen Fluch, der die Kraft des Schattenelements erhöht.
zts881e	Ein mächtiger Dämon verflucht den Gegner.
zts882e	Feuert wiederholt verfluchte Schüsse auf das Ziel ab.
zts883e	Erfülle den Gegner mit Dunkelenergie.
zts884e	Die Totenmesse lässt alle Gegner im Umfeld vor Furcht davonrennen und ihre Leben werden ausgelöscht.
zts885e	Feuert wild und unkontrolliert Schüsse ab, angetrieben durch verfluchte Geister.
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts950e	Ausruhen
zts951e	(C)
zts952e	Aufheben
zts953e	(X,`)
zts954e	Erhöht die Körperkraft um 5.
zts955e	Erhöht die Körperkraft um 15.
zts956e	[Hervorragend] Verstärkter Angriff
zts957e	Erhöht die Körperkraft um 60.
zts958e	Erhöht die Geschicklichkeit um 5.
zts959e	Erhöht die Geschicklichkeit um 15.
zts960e	Erhöht die Geschicklichkeit um 60.
zts961e	Erhöht die Geisteskraft um 5.
zts962e	Erhöht die Geisteskraft um 30.
zts963e	Erhöht die Geisteskraft um 60.
zts964e	Erhöht die HP dauerhaft um 300.
zts965e	Erhöht die HP dauerhaft um 1.000.
zts966e	Erhöht die HP dauerhaft um 3.000.
zts967e	Erhöht die MP dauerhaft um 300.
zts968e	Erhöht die MP dauerhaft um 1.000.
zts969e	Erhöht die MP dauerhaft um 3.000.
zts970e	[Einfach] Naturheilung
zts971e	Spezialisiert auf Untote
zts972e	Erhöht die Nahangriffskraft gegen niedriglevelige Untote.
zts973e	Fängt ein Tier ein, dass zu deinem NosMate werden kann.
zts974e	1. Wähle ein Tier aus und überprüfe, ob es ein Symbol zum Einfangen hat.
zts975e	2. Greife es nun solange an, bis seine HP unter 50% liegt.
zts976e	3. Um es danach zu fangen, musst du den Skill Einfangen benutzen.
zts977e	4. Falls du scheiterst, musst du warten, bis der Skill wieder einsatzbereit ist. Danach kannst du es erneut versuchen.
zts978e	Erhöht die Angriffskraft um 1 Level
zts979e	Erhöht die Nahangriffskraft des Wutschlages.
zts980e	Erhöht die Angriffskraft.
zts981e	Erhöht die Nahangriffskraft des Racheschlags und den Schaden bei einem kritischen Treffer.
zts982e	Erhöht die Nahangriffskraft der Erdwelle.
zts983e	Erhöht die Nahangriffskraft des Windstoßes.
zts984e	Erhöht die Nahangriffskraft des Doppelangriffs.
zts985e	Erhöht die Fernangriffskraft des dynamischen Schusses.
zts986e	Erziele einen bedeutenden Treffer.
zts987e	Hole den Gegner vor dir ein.
zts988e	Schnelles Drehen fügt den nahegelegenen Gegnern Schaden zu.
zts989e	Schieße einen Pfeil, der deinen Gegner wegzustößt.
zts990e	Schießt Pfeile im Sprung ab, um den umliegenden Gegnern ohne Strafe Schaden zufügen zu können.
zts991e	Mit diesem Fernangriff schießt du Pfeile auf den Gegner und dessen Umkreis von drei Feldern ab.
zts992e	Füge mit einem Dolch kritischen Schaden zu.
zts993e	Der Gegner wird durch einen zusätzlichen Dolchangriff vergiftet.
zts994e	Beim Umdrehen, werden alle Gegner in deiner Nähe angegriffen.
zts995e	Ein Überraschungsangriff unterbricht die Bewegung des Gegners.
zts996e	Sammelt Energie für den nächsten Angriff.
zts997e	Erhöht die Hitrate und den verursachten kritischen Schaden des Abenteurers.
zts998e	Giftige Pfeilspitze
zts999e	Erhöht die Fernangriffskraft des Zielschusses.
zts1000e	Erhöht die Fernangriffskraft des starken Schusses.
zts1001e	Magische Barriere
zts1002e	Erzeugt ein Schild, das den Schaden aller Angriffe mit einer bestimmten Wahrscheinlichkeit verringert.
zts1003e	Erhaltung der Natur
zts1004e	Erzeugt ein Schutzschild um deine Gruppe, das den durch Elemente erlittenen Schaden verringert.
zts1005e	Erhöht die Fernangriffskraft des Schnellschusses.
zts1006e	Erhöht die Fernangriffskraft des Pfeilregens.
zts1007e	Verstärkung
zts1008e	Erhöht die Nahangriffskraft des Sturmhiebes und die Wahrscheinlichkeit, die Bewegung zu unterbrechen.
zts1009e	Erhöht die Nahangriffskraft des tödlichen Stiches.
zts1010e	Explosion
zts1011e	Der Feuerbolzen wird mit einer bestimmten Wahrscheinlichkeit um eine Flammenexplosion erweitert.
zts1012e	Frost
zts1013e	Durch die Benutzung des Eisbolzens wird der Gegner mit einer bestimmten Wahrscheinlichkeit eingefroren.
zts1014e	Erhöht die Magieangriffskraft der magischen Rakete.
zts1015e	Verstärkung um 1 Level
zts1016e	Erhöht die Magieangriffskraft und verstärkt das Wasserelement des Tornados.
zts1017e	Verstärkung um 2 Level
zts1018e	Erhöht die Magieangriffskraft des Steinwurfes.
zts1019e	Erhöht die Magieangriffskraft des Zaubergeschosses.
zts1020e	Erhöht die Chance auf kritische Treffer und verursacht zusätzlichen Schaden.
zts1021e	Erhöht die Angriffskraft um 2 Level
zts1022e	Wasserelement Level 1 anwenden
zts1023e	Füge dem magischen Schuss das Wasserelement hinzu.
zts1024e	Gibt einen kraftvollen Stoß nach vorn mit dem Schwert ab.
zts1025e	Erhöht alle Resistenzen durch die Konzentration auf deinen Körper.
zts1026e	Schleiche dich an deinen Feind an und verpasse ihm einen Seitenhieb.
zts1027e	Verursache bei deinem Gegner einen Blackout, indem du ihn mit einem großen Geschoss triffst.
zts1028e	Schieße einen Pfeil mit Sprengstoff, um heftigen Schaden zu verursachen.
zts1029e	PvP-Spezialisierung
zts1030e	Erhöht die Nahangriffskraft im PvP.
zts1031e	Feuerelement Level 1 anwenden
zts1032e	Füge dem Wutschlag das Feuerelement hinzu.
zts1033e	Feuerelement Level 2 anwenden
zts1034e	Schattenelement Level 1 anwenden
zts1035e	Füge dem Wutschlag das Schattenelement hinzu.
zts1036e	Schattenelement Level 2 anwenden
zts1037e	Erhöht die Nahangriffskraft der glänzenden Klinge.
zts1038e	Spezialisiert auf niedriglevelige Monster
zts1039e	Erhöht die Nahangriffskraft gegen niedriglevelige Monster.
zts1040e	Spezialisiert auf Tiere
zts1041e	Erhöht die Nahangriffskraft gegen niedriglevelige Tiere.
zts1042e	Spezialisiert auf Pflanzen
zts1043e	Erhöht die Nahangriffskraft gegen niedriglevelige Pflanzen.
zts1044e	Erhöht die Fernangriffskraft gegen niedriglevelige Monster.
zts1045e	Erhöht die Fernangriffskraft gegen niedriglevelige Tiere.
zts1046e	Erhöht die Angriffskraft um 3 Level
zts1047e	Erhöht die Angriffskraft um 4 Level
zts1048e	Feuerelement anwenden
zts1049e	Ändert das Element zu einem Feuerelement.
zts1050e	Erhöht die Wahrscheinlichkeit eines Blackouts bei einem Sternenangriff.
zts1051e	Verstärkt den Effekt und die Dauer des Blutfluchs.
zts1052e	Erhöht die Nahangriffskraft des Sturmangriffs und lässt den Gegner erstarren.
zts1053e	Ziehe den Gegner plötzlich vor dich, um ihn abzulenken.
zts1054e	Erhöht die Fernangriffskraft des Explosionsschusses.
zts1055e	Erhöht die Fernangriffskraft gegen niedriglevelige Pflanzen.
zts1056e	Erhöht die Fernangriffskraft des Sprungschusses.
zts1057e	Maximiert den Effekt und die Dauer vom Ritual des Falken.
zts1058e	Verstärkter Giftdorn Level 1
zts1059e	Versieh den Dolch mit einem Giftdorn.
zts1060e	Verstärkter Giftdorn Level 2
zts1061e	Füge dem Explosionsschuss das Feuerelement hinzu.
zts1062e	Erhöht die Fernangriffskraft gegen niedriglevelige Untote.
zts1063e	Erhöht die Fernangriffskraft im PvP.
zts1064e	Schieße einen Flammenpfeil, um den Gegner zu verbrennen.
zts1065e	Füge dem Energiebolzen das Wasserelement hinzu.
zts1066e	Wasserelement Level 2 anwenden
zts1067e	Füge dem magischen Schuss das Feuerelement hinzu.
zts1068e	Erhöht die Magieangriffskraft und verstärkt das Feuerelement des Feuerbolzens.
zts1069e	Erhöht die Magieangriffskraft und verstärkt das Wasserelement des Eisbolzens.
zts1070e	Erhöht die Magieangriffskraft und verstärkt das Feuerelement der Feuersäule.
zts1071e	Erschaffe einen Pfeilregen, indem du magische Pfeile nach oben schießt.
zts1072e	Triff den schwachen Punkt deines Gegners mit einem Dolch, um heftigen Schaden zu verursachen.
zts1073e	Lähmendes Gift
zts1074e	Behandle die Pfeilspitze mit dem lähmenden Gift, um deinen Gegner zu schwächen.
zts1075e	Verstärkendes Gift
zts1076e	Behandle die Pfeilspitze mit dem verstärkenden Gift, um deinen Gegner damit zu verwunden.
zts1077e	Verstärktes Todesgift: Level 1
zts1078e	Bestreiche den Dolch mit dem Todesgift.
zts1079e	Verstärktes Todesgift: Level 2
zts1080e	Verursache dem Gegner heftigen Schaden durch Beschwören von Eisspitzen aus dem Boden.
zts1081e	Gerechtigkeit des Himmels
zts1082e	Füge dem Gegner mit dem Licht des Himmels großen Schaden zu.
zts1083e	Gegner in unmittelbarer Nähe verbrennen sich an der Lava, die dich umgibt.
zts1084e	Feuert einen massiven Zauber aus der Zauberwaffe ab.
zts1085e	Strahle die Aura des Todes aus, um deine Feinde zu entmutigen.
zts1086e	Erschafft noch kältere Eisspitzen als sonst, erhöht die Magieangriffskraft und die Wahrscheinlichkeit, den Effekt Frost zu verursachen.
zts1087e	Füge der Gerechtigkeit des Himmels das Wasserelement hinzu.
zts1088e	Die besonders heiße Lava erhöht die Magieangriffskraft und die Wahrscheinlichkeit für fatales Brennen.
zts1089e	Calvinas' Beschwörung
zts1090e	Calvinas' Basisangriff
zts1091e	Blackout Level 1
zts1092e	Durch den glänzenden Pfeil, der mit einem Zauber versehen ist, wird ein Blackout beim Gegner verursacht und er erleidet mehr Schaden.
zts1093e	Erhöht die Nahangriffskraft bei Angriffen auf schwache Punkte und verursacht beim Gegner schwere Blutungen.
zts1094e	Der Animationseffekt ist aktiv und seine Kraft wird stärker.
zts1095e	Füge dem Windstoß das Feuerelement hinzu.
zts1096e	Füge dem Windstoß das Schattenelement hinzu.
zts1097e	Füge dem dynamischen Schuss das Feuerelement hinzu.
zts1098e	Füge dem dynamischen Schuss das Schattenelement hinzu.
zts1099e	Füge dem Doppelangriff das Feuerelement hinzu.
zts1100e	Füge dem Doppelangriff das Schattenelement hinzu.
zts1101e	Erhöht die Reichweite.
zts1102e	Erhöht die Reichweite des Sturmangriffs.
zts1103e	Füge der Erdwelle das Feuerelement hinzu.
zts1104e	Schattenelement anwenden
zts1105e	Füge der Erdwelle das Schattenelement hinzu.
zts1106e	Füge dem Racheschlag das Feuerelement hinzu.
zts1107e	Füge dem Racheschlag das Schattenelement hinzu.
zts1108e	Verteidigung beseitigen Level 1
zts1109e	Greife einen ungeschützten Punkt des Gegners an, um seine Rüstung zu zerstören.
zts1110e	Verteidigung beseitigen Level 2
zts1111e	Verteidigung beseitigen Level 3
zts1112e	Eine Attacke mit dem Schwertgriff, die beim Gegner einen tödlichen Blackout verursacht.
zts1113e	Ziehe den Gegner vor dich, um ihn abzulenken.
zts1114e	Maximiert den Effekt und die Dauer des Einschüchterns.
zts1115e	Ändert das Element zu einem Schattenelement.
zts1116e	Verbessert den Schwertstoß.
zts1117e	Füge der glänzenden Klinge das Feuerelement hinzu.
zts1118e	Füge der glänzenden Klinge das Schattenelement hinzu.
zts1119e	Der Animationseffekt der glänzenden Klinge ist aktiv und ihre Kraft wird maximiert.
zts1120e	Füge dem Explosionsschuss das Schattenelement hinzu.
zts1121e	Der Animationseffekt des Explosionsschusses ist aktiv und seine Kraft wird maximiert.
zts1122e	1. Angriffsfähigkeiten des Fuchses
zts1123e	2. Angriffsfähigkeiten des Fuchses
zts1124e	3. Basisangriff des Fuchses
zts1125e	1. Jagdangriff des Wolfes
zts1126e	2. Jagdangriff des Wolfes
zts1127e	3. Jagdangriff des Wolfes
zts1128e	Wasserelement anwenden
zts1129e	Füge dem Zielschuss das Wasserelement hinzu.
zts1130e	Lichtelement anwenden
zts1131e	Füge dem Zielschuss das Lichtelement hinzu.
zts1132e	Erhöht die Hitrate.
zts1133e	Erhöht die Wahrscheinlichkeit den Gegner mit einen Zielschuss zu treffen.
zts1134e	Erhöht die Chance auf kritische Treffer.
zts1135e	Erhöht die Chance auf kritische Treffer von Zielschuss.
zts1136e	Verbessern (kritische Treffer)
zts1137e	Maximiert die Chance auf kritische Treffer von Zielschuss.
zts1138e	Füge dem starken Schuss das Wasserelement hinzu.
zts1139e	Füge dem starken Schuss das Lichtelement hinzu.
zts1140e	Verstärktes Stoßen Level 1
zts1141e	Schieße einen Pfeil, der den Gegner weit weg stößt.
zts1142e	Verstärktes Stoßen Level 2
zts1143e	Verstärktes Stoßen Level 3
zts1144e	Maximiert die Fernangriffskraft des starken Schusses.
zts1145e	Der Animationseffekt von Durchdringender Schuss ist aktiv. Die Kraft und die Chance auf kritische Treffer werden maximiert.
zts1146e	Füge dem Sprungschuss das Wasserelement hinzu.
zts1147e	Lichtelement Level 1 anwenden
zts1148e	Füge dem Sprungschuss das Lichtelement hinzu.
zts1149e	Lichtelement Level 2 anwenden
zts1150e	Maximiert die Fernangriffskraft des Sprungschusses.
zts1151e	Füge dem Schnellschuss das Lichtelement hinzu.
zts1152e	Füge dem Schnellschuss das Wasserelement hinzu.
zts1153e	Maximiert die Fernangriffskraft des Schnellschusses.
zts1154e	Füge dem Pfeilregen das Wasserelement hinzu.
zts1155e	Füge dem Pfeilregen das Lichtelement hinzu.
zts1156e	Maximiert die Fernangriffskraft des Pfeilregens.
zts1157e	Füge dem tödlichen Stich das Wasserelement hinzu.
zts1158e	Füge dem tödlichen Stich das Lichtelement hinzu.
zts1159e	Blutung
zts1160e	Füge dem Gegner eine Stichwunde zu, die zu einer Blutung führt.
zts1161e	Blackout
zts1162e	Füge dem Gegner eine Stichwunde zu, die einen Blackout verursacht.
zts1163e	Maximiert die Nahangriffskraft des tödlichen Stiches.
zts1164e	Füge dem Sturmhieb das Wasserelement hinzu.
zts1165e	Füge dem Sturmhieb das Lichtelement hinzu.
zts1166e	Maximiert die Nahangriffskraft von Sturmhieb und erhöht die Chance auf kritische Treffer.
zts1167e	Blackout Level 2
zts1168e	Der Animationseffekt des glänzenden Pfeiles ist aktiv und seine Kraft wird maximiert.
zts1169e	Der Animationseffekt von Schwachstelle angreifen ist aktiv. Die Kraft und die Chance auf kritische Treffer werden maximiert.
zts1170e	Ein gezielter Schuss auf die Beine des Gegners erhöht die Fernangriffskraft und die Wahrscheinlichkeit, den Gegner am Bein zu verwunden.
zts1171e	Maximiert die Fernangriffskraft der Zielerfassung und erhöht ihre Hitrate.
zts1172e	Füge dem Energiebolzen das Feuerelement hinzu.
zts1173e	Füge der magischen Rakete das Wasserelement hinzu.
zts1174e	Füge der magischen Rakete das Feuerelement hinzu.
zts1175e	Maximiert die Magieangriffskraft der magischen Rakete.
zts1176e	Maximiert die Magieangriffskraft des Steinwurfs, um beim Gegner leichter einen Blackout zu verursachen.
zts1177e	Lichtschutz
zts1178e	Die Erhaltung der Natur wird bewahrt durch das Lichtelement.
zts1179e	Schattenschutz
zts1180e	Die Erhaltung der Natur wird bewahrt durch das Schattenelement.
zts1181e	Der Animationseffekt der Eisspitzen ist aktiv und ihre Kraft wird maximiert.
zts1182e	Füge dem Zaubergeschoss das Feuerelement hinzu.
zts1183e	Füge dem Zaubergeschoss das Wasserelement hinzu.
zts1184e	Maximiert die Magieangriffskraft des Zaubergeschosses.
zts1185e	Erhöht die Angriffskraft während der Magieerholung.
zts1186e	Maximiert den Effekt der magischen Barriere. Erhöht die Wirkungsdauer und den absorbierten Schaden.
zts1187e	Verstärkung Level 3
