zts1e	Petit renard
zts1249e	Poisson des sables marins
zts1250e	Prota des sables marins
zts1251e	Tranchant des sables marins
zts1252e	Prédateur des sables marins
zts1253e	Rampant des sables marins
zts1254e	Rampant épineux des sables marins
zts1255e	Embrochant des sables marins
zts1256e	Renard des sables marins
zts1257e	Cactus des sables marins
zts1258e	Mante des sables marins
zts1259e	Scorpion des sables marins
zts1260e	Basilic des sables marins
zts1261e	Moine de la prière
zts1262e	Fantôme de la prière
zts1263e	Prêtre de la prière
zts1264e	Maître de la prière
zts1265e	Commandant Neil
zts1266e	Commandant Melki
zts1267e	Commandant Kerus
zts1268e	Commandant Garton
zts1269e	Samouraï de la troupe d'éclaireurs de Neil
zts1270e	Assassin de la troupe d'éclaireurs de Neil
zts1271e	Chasseur de la troupe d'éclaireurs de Neil
zts1272e	Bombardier de la troupe d'éclaireurs de Neil
zts1273e	Gardien de Neil
zts1274e	Magasinier de Neil
zts1275e	Maître des clés de Neil
zts1276e	Espion de la troupe d'éclaireurs de Neil
zts1277e	Ibrahim
zts1278e	Commandant Shoran
zts1279e	Commandant Shay
zts1280e	Agent de la troupe d'éclaireurs de Neil
zts1281e	Tempête de sable
zts1282e	Fantôme des sables
zts1283e	Géant des sables
zts1284e	Nain des sables
zts1285e	Conservateur des reliques antiques
zts1286e	Fantôme des sables venteux
zts1287e	Gladiateur des sables venteux
zts1288e	Tireur des sables venteux
zts1289e	Mage des sables venteux
zts1290e	Gardien du portail des ruines antiques
zts1291e	Magmaros enflammé
zts1292e	Valaket enflammé
zts1293e	Valakus, roi des flammes
zts1294e	Chien de braise
zts1295e	Kertos, le chien-démon
zts1296e	Géant enflammé
zts1297e	Chaîne enflammée
zts1298e	Sculpteur enflammé
zts1299e	Katol
zts1300e	Prédateur enflammé
zts1301e	Ailes enflammées
zts1302e	Créature enflammée
zts1303e	Graal, le grand phénix
zts1304e	Lame enflammée
zts1305e	Bouclier enflammé
zts1306e	Lance enflammée
zts1307e	Grenigas, le dieu du Feu
zts1308e	Jin Hamadin
zts1309e	Chilton, le gardien du phare
zts1310e	Tom, le garde du port
zts1311e	Président Noah
zts1312e	Hazel
zts1313e	Prêtresse Sherzade
zts1314e	Grand prêtre Eladin
zts1315e	Prêtresse Vera
zts1316e	Riana
zts1317e	Serena
zts1318e	Nephi
zts1319e	Représentante Semia
zts1320e	Paul
zts1321e	Delmon Milow
zts1322e	Garde des marchands d'Akamur
zts1323e	Représentant des marchands d'Akamur
zts1324e	Marchand d'Akamur
zts1325e	Habitant
zts1326e	Esprit de chasseur de trésors
zts1327e	Chasseur de trésors mort
zts1328e	Âme d'un prêtre
zts1329e	Prêtre mort
zts1330e	Voleur endormi
zts1331e	Chameau
zts1332e	Hamid
zts1333e	Prisonnier Sharif
zts1334e	Représentant Rushaldin
zts1335e	Kamil
zts1336e	Michol
zts1337e	Xavier
zts1338e	Velmon
zts1339e	Milice du chaos
zts1340e	Pillard maloren du désert
zts1341e	Bolporti, le tisseur de soie
zts1342e	Habitant de la Zone du chaos
zts1343e	Inspecteur Serges
zts1344e	Voyageur mystérieux
zts1345e	Fantôme de Grenigas
zts1346e	Samouraï d'élite de Neil
zts1347e	Assassin d'élite de Neil
zts1348e	Chasseur d'élite de Neil
zts1349e	Bombardier d'élite de Neil
zts1350e	Poisson des sables tempétueux
zts1351e	Prota des sables tempétueux
zts1352e	Tranchant des sables tempétueux
zts1353e	Prédateur des sables tempétueux
zts1354e	Embrochant des sables tempétueux
zts1355e	Mante des sables tempétueux
zts1356e	Scorpion des sables tempétueux
zts1357e	Basilic des sables tempétueux
zts1358e	Poisson des sables poussiéreux
zts1359e	Prota des sables poussiéreux
zts1360e	Tranchant des sables poussiéreux
zts1361e	Prédateur des sables poussiéreux
zts1362e	Embrochant des sables poussiéreux
zts1363e	Mante des sables poussiéreux
zts1364e	Scorpion des sables poussiéreux
zts1365e	Basilic des sables poussiéreux
zts1366e	Prédateur des sables mouvants
zts1367e	Mante des sables mouvants
zts1368e	Scorpion des sables mouvants
zts1369e	Basilic des sables mouvants
zts1370e	Rampant des sables tempétueux
zts1371e	Rampant épineux des sables tempétueux
zts1372e	Cactus des sables poussiéreux
zts1373e	Rampant des sables poussiéreux
zts1374e	Rampant épineux des sables poussiéreux
zts1375e	Cactus des sables poussiéreux
zts1376e	Cactus des sables mouvants
zts1377e	Renard des sables tempétueux
zts1378e	Renard des sables poussiéreux
zts1379e	Samouraï de la troupe d'éclaireurs de Melki
zts1380e	Assassin de la troupe d'éclaireurs de Melki
zts1381e	Chasseur de la troupe d'éclaireurs de Melki
zts1382e	Bombardier de la troupe d'éclaireurs de Melki
zts1383e	Espion de la troupe d'éclaireurs de Melki
zts1384e	Agent de la troupe d'éclaireurs de Melki
zts1385e	Maître des clés de Melki
zts1386e	Gardien de Melki
zts1387e	Samouraï d'élite de Melki
zts1388e	Assassin d'élite de Melki
zts1389e	Chasseur d'élite de Melki
zts1390e	Bombardier d'élite de Melki
zts1391e	Samouraï de la troupe d'éclaireurs de Shay
zts1392e	Samouraï de la troupe d'éclaireurs de Kerus
zts1393e	Assassin de la troupe d'éclaireurs de Kerus
zts1394e	Chasseur de la troupe d'éclaireurs de Kerus
zts1395e	Bombardiers de la troupe d'éclaireurs de Kerus
zts1396e	Espion de la troupe d'éclaireurs de Kerus
zts1397e	Agent de la troupe d'éclaireurs de Kerus
zts1398e	Maître des clés de Kerus
zts1399e	Gardien de Kerus
zts1400e	Samouraï d'élite de Kerus
zts1401e	Assassin d'élite de Kerus
zts1402e	Chasseur d'élite de Kerus
zts1403e	Bombardier d'élite de Kerus
zts1404e	Assassin de la troupe d'éclaireurs de Shay
zts1405e	Samouraï de la troupe d'éclaireurs de Garton
zts1406e	Assassin de la troupe d'éclaireurs de Garton
zts1407e	Chasseur de la troupe d'éclaireurs de Garton
zts1408e	Bombardier de la troupe d'éclaireurs de Garton
zts1409e	Espion de la troupe d'éclaireurs de Garton
zts1410e	Agent de la troupe d'éclaireurs de Garton
zts1411e	Maître des clés de Garton
zts1412e	Gardien de Garton
zts1413e	Samouraï d'élite de Garton
zts1414e	Assassin d'élite de Garton
zts1415e	Chasseur d'élite de Garton
zts1416e	Bombardier d'élite de Garton
zts1417e	Chasseur de la troupe d'éclaireurs de Shay
zts1418e	Moine des lamentations
zts1419e	Fantôme des lamentations
zts1420e	Prêtre des lamentations
zts1421e	Maître des lamentations
zts1422e	Moine de l'agitation
zts1423e	Fantôme de l'agitation
zts1424e	Prêtre de l'agitation
zts1425e	Maître de l'agitation
zts1426e	Moine de l'agonie
zts1427e	Fantôme de l'agonie
zts1428e	Prêtre de l'agonie
zts1429e	Maître de l'agonie
zts1430e	Tempête des sables désertiques
zts1431e	Fantôme des sables désertiques
zts1432e	Géant des sables désertiques
zts1433e	Nain des sables désertiques
zts1434e	Tempête des sables poussiéreux
zts1435e	Fantôme des sables poussiéreux
zts1436e	Géant des sables poussiéreux
zts1437e	Nain des sables poussiéreux
zts1438e	Tempête des sables mouvants
zts1439e	Fantôme des sables mouvants
zts1440e	Géant des sables mouvants
zts1441e	Nain des sables mouvants
zts1442e	Fantôme des sables volcaniques
zts1443e	Gladiateur des sables volcaniques
zts1444e	Tireur des sables volcaniques
zts1445e	Mage des sables volcaniques
zts1446e	Fantôme des sables aériens
zts1447e	Gladiateur des sables aériens
zts1448e	Tireur des sables aériens
zts1449e	Mage des sables aériens
zts1450e	Fantôme des sables arides
zts1451e	Gladiateur des sables arides
zts1452e	Tireur des sables arides
zts1453e	Mage des sables arides
zts1454e	Bombardier de la troupe d'éclaireurs de Shay
zts1455e	Samouraï de la troupe d'éclaireurs de Shoran
zts1456e	Assassin de la troupe d'éclaireurs de Shoran
zts1457e	Chasseur de la troupe d'éclaireurs de Shoran
zts1458e	Bombardier de la troupe d'éclaireurs de Shoran
zts1459e	Patrouille samouraï de Shay
zts1460e	Patrouille assassine de Shay
zts1461e	Patrouille chasseuse de Shay
zts1462e	Patrouille bombardière de Shay
zts1463e	Patrouille samouraï de Shoran
zts1464e	Patrouille assassine de Shoran
zts1465e	Patrouille chasseuse de Shoran
zts1466e	Patrouille bombardière de Shoran
zts1467e	Samouraï de transport de Shay
zts1468e	Assassin de transport de Shay
zts1469e	Chasseur de transport de Shay
zts1470e	Bombardier de transport de Shay
zts1471e	Samouraï de transport de Shoran
zts1472e	Assassin de transport de Shoran
zts1473e	Chasseur de transport de Shoran
zts1474e	Bombardier de transport de Shoran
zts1475e	Samouraï d'escorte de Shoran
zts1476e	Assassin d'escorte de Shoran
zts1477e	Chasseur d'escorte de Shoran
zts1478e	Bombardier d'escorte de Shoran
zts1479e	Samouraï d'escorte de Shay
zts1480e	Assassin d'escorte de Shay
zts1481e	Chasseur d'escorte de Shay
zts1482e	Bombardier d'escorte de Shay
zts1483e	Poisson des sables désertiques
zts1484e	Prota des sables désertiques
zts1485e	Tranchant des sables désertiques
zts1486e	Prédateur des sables désertiques
zts1487e	Embrochant des sables désertiques
zts1488e	Mante des sables désertiques
zts1489e	Scorpion des sables désertiques
zts1490e	Basilic des sables désertiques
zts1491e	Poisson des sables fantomatiques
zts1492e	Prota des sables fantomatiques
zts1493e	Tranchant des sables fantomatiques
zts1494e	Prédateur des sables fantomatiques
zts1495e	Embrochant des sables fantomatiques
zts1496e	Mante des sables fantomatiques
zts1497e	Scorpion des sables fantomatiques
zts1498e	Basilic des sables fantomatiques
zts1499e	Rampant des sables désertiques
zts1500e	Rampant épineux des sables désertiques
zts1501e	Cactus des sables désertiques
zts1502e	Rampant des sables fantomatiques
zts1503e	Rampant épineux des sables fantomatiques
zts1504e	Garde d'entrepôt
zts1505e	Sac de figues de cactus
zts1506e	Drapeau d'Akamur détruit
zts1507e	Premières marchandises
zts1508e	Deuxièmes marchandises
zts1509e	Troisièmes marchandises
zts1510e	Quatrièmes marchandises
zts1511e	Cinquièmes marchandises
zts1512e	Sixièmes marchandises
zts1513e	Coffre des listes de commandements
zts1514e	Reliques volées de Garton
zts1515e	Reliques volées
zts1516e	Coffre de parchemins
zts1517e	Morceau de relique étrange
zts1518e	Samouraï de la troupe d'éclaireurs de Shay
zts1519e	Assassin de la troupe d'éclaireurs de Shay
zts1520e	Chasseur de la troupe d'éclaireurs de Shay
zts1521e	Bombardier de la troupe d'éclaireurs de Shay
zts1522e	Samouraï de la troupe d'éclaireurs de Shoran
zts1523e	Assassin de la troupe d'éclaireurs de Shoran
zts1524e	Chasseur de la troupe d'éclaireurs de Shoran
zts1525e	Bombardier de la troupe d'éclaireurs de Shoran
zts1526e	Samouraï de la garde de Shoran
zts1527e	Assassin de la garde de Shoran
zts1528e	Chasseur de la garde de Shoran
zts1529e	Bombardier de la garde de Shoran
zts1530e	Samouraï de la garde de Shay
zts1531e	Assassin de la garde de Shay
zts1532e	Chasseur de la garde de Shay
zts1533e	Bombardier de la garde de Shay
zts1534e	Maître des clés des voleurs du désert
zts1535e	Gardien des voleurs du désert
zts1536e	Reliques brisées
zts1537e	Relique brisée
zts1538e	Coffre scellé
zts1539e	Morceaux de relique brisés
zts1540e	Morceaux de relique brisés
zts1541e	Morceaux de relique brisés
zts1542e	Morceaux de relique brisés
zts1543e	Première tablette d'écriture
zts1544e	Deuxième tablette d'écriture
zts1545e	Troisième tablette d'écriture
zts1546e	Tablette d'écriture brisée
zts1547e	Tablette d'écriture brisée
zts1548e	Tablette d'écriture brisée
zts1549e	Tablette d'écriture brisée
zts1550e	Moine mort
zts1551e	Clerc mort
zts1552e	Golem des sables poussiéreux
zts1553e	Golem des sables mouvants
zts1554e	Golem des sables désertiques
zts1555e	Coffre à poussière de fées
zts1556e	Lettre au chef des voleurs du désert
zts1557e	Journal du voyageur
zts1558e	Flacon de poison
zts1559e	Sac de fée en cuir
zts1560e	Poussière de fées de la terre
zts1561e	Poussière de fées du vent
zts1562e	Poussière de fées du sable
zts1563e	Flacon médicinal
zts1564e	Coffre des marchands d'Akamur
zts1565e	Coffre perdu (Camp de Kerus)
zts1566e	Coffre perdu (Camp de Garton)
zts1567e	Marchandises perdues (Camp des voleurs du désert)
zts1568e	Coffre perdu (Centre des voleurs)
zts1569e	Coffre étrange non découvert
zts1570e	Roram
zts1571e	Officier d'approvisionnement Jamal
zts1572e	Officier d'approvisionnement Aaron
zts1573e	Coffre de la bande des voleurs
zts1574e	Coffre aux trésors de l'oubli
zts1575e	Coffre étrange
zts1576e	Isalin
zts1577e	Samouraï d'élite
zts1578e	Assassin d'élite
zts1579e	Chasseur d'élite
zts1580e	Bombardier d'élite
zts1581e	Commandant du Camp de Neil
zts1582e	Commandant du Camp de Melki
zts1583e	Commandant Kerus
zts1584e	Commandant de Camp de Garton
zts1585e	Commandant Shoran
zts1586e	Commandant Shay
zts1587e	Officier d'approvisionnement Ulman
zts1588e	Samira
zts1589e	Elias
zts1590e	Eldin
zts1591e	Elly
zts1592e	Bricoleur
zts1593e	Scooteur magique (h)
zts1594e	Scooteur magique (f)
zts1595e	Tapis magique (h)
zts1596e	Tapis magique (f)
zts1597e	Conservateur de la relique antique, 1er observateur
zts1598e	Conservateur de la relique antique, 2e observateur
zts1599e	Conservateur de la relique antique, 3e observateur
zts1600e	Unité de transport endormie
zts1601e	Patrouille endormie
zts1602e	Unité d'élite morte
zts1603e	Chute de pierres
zts1604e	Habitant du port
zts1605e	Jack O'Lantern
zts1606e	Bombe citrouille
zts1607e	Ratufu courge
zts1608e	Panneau indicateur d'Halloween
zts1609e	Jelly rose scellé
zts1610e	Poussin scellé
zts1611e	Soldat d'assaut kenko scellé
zts1612e	Chien de l'enfer scellé
zts1613e	Coq de combat scellé
zts1614e	Vampie scellé
zts1615e	Chien de Satan scellé
zts1616e	Chevalier infernal scellé
zts1617e	Gargs scellé
zts1618e	Boing scellé
zts1619e	Slade scellé
zts1620e	Diable de Feu scellé
zts1621e	Crabe royal scellé
zts1622e	Sorcière-glaçon scellée
zts1623e	Bête scellée
zts1624e	Géant brumeux scellé
zts1625e	Graylander scellé
zts1626e	Ginseng scellé
zts1627e	Roi de l'ombre scellé
zts1628e	Golem slade scellé
zts1634e	Tigre blanc magique (h)
zts1635e	Tigre blanc magique (f)
zts1636e	Tigre blanc magique (f)
zts1638e	Nid d'oiseau
zts1639e	Ratufu footballeur
zts1641e	Ratufu arbitre
zts1642e	Chien de garde de la Grotte cristalline
zts1643e	Garde de la Grotte cristalline
zts1644e	Prêtre de la Grotte cristalline
zts1645e	Gardien de la Grotte cristalline
zts1646e	Fantôme d'émeraude
zts1647e	Fantôme de saphir
zts1648e	Fantôme de rubis
zts1649e	Chien de garde de la Grotte cristalline invoqué
zts1650e	Garde de la Grotte cristalline invoqué
zts1651e	Prêtre de la Grotte cristalline invoqué
zts1652e	Gardien de la Grotte cristalline invoqué
zts1653e	Fantôme d'ombre
zts1654e	Fantôme d'ombre
zts1655e	Fantôme d'ombre
zts1656e	Rusty Robby
zts1657e	Cabriolet magique (h)
zts1658e	Cabriolet magique (f)
zts4789e	Tige de patate royale
zts4790e	Tige de grande patate royale
zts4791e	Patate royale monstrueuse
zts4792e	Grande patate royale monstrueuse
zts4793e	Patate pourrie
zts4797e	Super Ratufu courge
zts4798e	Sbire de Jack O'Lantern
zts4800e	Bibi Bazar
zts4801e	Professeur Asim
zts4802e	Jelly rouge scellé
zts4803e	Diablotin cornu scellé
zts4804e	Diablotin cornu scellé
zts4805e	Jelly obscur scellé
zts4806e	Grand diablotin cornu scellé
zts4807e	Loup scellé
zts4808e	Cochon scellé
zts4809e	Tortue de montagne scellée
zts4810e	Lion-loup scellé
zts4811e	Yéti scellé
zts4812e	Super Ratufu père Noël scellé
zts4815e	Reine poule
zts4816e	Roi poulet furieux
zts4817e	Œuf d'oiseau géant
zts4818e	Œufet géant
zts4819e	Poussinet caracolant géant
zts4820e	Poussinet furibond géant
zts4821e	Chuck Poussin
zts4823e	Panneau indicateur de Pâques
zts4825e	Ratufu d'unité spéciale
zts4826e	Mac Umulonimbus (h)
zts4827e	Mac Umulonimbus (f)
zts4828e	Ratufu vert
zts4829e	Ratufu rouge
zts4830e	Ratufu noir
zts4831e	Ratufu bleu
zts4832e	Ratufu jaune
zts4833e	Ratufu turquoise
zts4834e	Ratufu rose
zts4835e	Directeur^de^l'entrepôt^familial
zts4836e	Salim
zts4837e	Magmaros
zts4838e	Valaket, arachnide du feu
zts4839e	Géant de flammes
zts4840e	Chaîne enflammée forte
zts4841e	Spectre de lave
zts4842e	Phénix
zts4843e	Créature flamboyante
zts4844e	Samouraï de l'équipe d'exploration des voleurs du désert
zts4845e	Chasseur de l'équipe d'exploration des voleurs du désert
zts4846e	Bombardier de l'équipe d'exploration des voleurs du désert
zts4847e	Haut prêtre du dieu du feu
zts4848e	Ombre de Kertos
zts4849e	Ombre de Valakus
zts4850e	Pierre de lave en fusion
zts4851e	Gardien des reliques
zts4852e	Ingénieur militaire des marchands d'Amakur
zts4853e	John, l'aventurier
zts4854e	Ratufu super samouraï
zts4855e	Chien de braise agile
zts4856e	Chien de braise mordant
zts4857e	Chaîne enflammée
zts4858e	Ombre de Kertos
zts4859e	Fantôme de lave
zts4860e	Chien de braise flou
zts4861e	Chiot de Kertos
zts4862e	Magmaros flou
zts4863e	Valaket floue
zts4864e	Magmaros fort
zts4865e	Valaket forte
zts4866e	Spectre de lave fort
zts4867e	Œuf d'araignée
zts4868e	Œuf de Valakus
zts4869e	Magmaros flamboyant
zts4870e	Valaket flamboyante
zts4871e	Géant de flammes
zts4872e	Protecteur du dieu du feu
zts4873e	Œuf du phénix
zts4874e	Pilote de balai magique (h)
zts4875e	Pilote de balai magique (f)
zts4876e	Panneau indicateur avec pavillon pirate
zts4877e	Capitaine Pete O'Peng
zts4878e	Pirate Kangpen
zts4879e	Pirate Jackpen
zts4880e	Pirate Cappen
zts4881e	Capitaine Jack Panon
zts4882e	Ratufu pirate (eau)
zts4883e	Ratufu pirate (feu)
zts4884e	Ratufu pirate (Lumière)
zts4885e	Ratufu pirate (Obscurité)
zts4886e	Mini Jackpen
zts4887e	Entraîneur animalier des pirates
zts4889e	Chien de braise
zts4890e	Graal, le grand phénix
zts4891e	Lame de chaleur étincelante
zts4892e	Bouclier de chaleur étincelante
zts4893e	Lance de chaleur étincelante
zts4894e	Valoren, le voleur du désert
zts4895e	Symbole mystérieux
zts4896e	Tas de sable étincelant
zts4897e	Fleur de glace
zts4898e	Sceau
zts4899e	Sceau brisé
zts4900e	Esprit tombé
zts4901e	Protecteur du sceau
zts4902e	Protecteur du sceau faible
zts4903e	Fosse de lave
zts4904e	Yakari plume-blanche (h)
zts4905e	Yakari plume-blanche (f)
zts4906e	Chameau magique (h)
zts4907e	Chamelle magique (f)
zts4908e	Progéniture de Valakus
zts4909e	Cristal de vie
zts4910e	Fontaine de lave
zts4911e	Alchimiste du feu
zts4912e	Entraîneur animalier de l'épouvante
zts4913e	Éric
zts4914e	Marie
zts4915e	Nossi le dragon (h)
zts4916e	Nossi le dragon (f)
zts4919e	Ratufu centurion
zts4920e	Ratufu shogun
zts4921e	Ratufu Rodolphe
zts4922e	Jeune ratufu Rodolphe
zts4923e	Entraîneur animalier de Rodolphe
zts4924e	Jeune ratufu Rodolphe scellé
zts4925e	Panneau indicateur de Noël
zts4926e	Fleur^de^glace^(quête^évènementielle)
zts4927e	Max Poudreuse (h)
zts4928e	Isa Poudreuse (f)
zts4929e	Chris Laplanche (h)
zts4930e	Chiara Laplanche (f)
zts4931e	VTT « Billy Boneshaker » (h)
zts4932e	VTT « Billy Boneshaker » (f)
zts4933e	Rolleurs « Blazing Blades » (h)
zts4934e	Rolleurs « Blazing Blades » (f)
zts4935e	Skateboard « Doni Darkslide » (h)
zts4936e	Skateboard « Doni Darkslide » (f)
zts4938e	Kertos, le chien-démon fort
zts4939e	Jelly sautillant
zts4940e	Grand Jelly sautillant
zts4941e	Jelly caracolant
zts4942e	Grand jelly caracolant
zts4943e	Séraphin
zts4944e	Œuf mystérieux
zts4945e	Sac de Pâques
zts4946e	Jeune jelly sautillant
zts4947e	Jeune jelly caracolant
zts4948e	Ratufu foot (DE)
zts4949e	Ratufu foot (FR)
zts4950e	Ratufu foot (EN)
zts4951e	Ratufu foot (IT)
zts4952e	Ratufu foot (ES)
zts4953e	Ratufu foot (PL)
zts4954e	Ratufu foot (RU)
zts4955e	Ratufu foot (CZ)
zts4956e	Ratufu foot (TR)
zts4957e	Kan, le grand magicien
zts4958e	Sire Draco
zts4959e	Achille l'enflammé
zts4960e	Golem d'Achille
zts4961e	Tireur à tête de mort d'Achille
zts4962e	Guerrier à tête de mort d'Achille
zts4963e	Flamme d'Achille
zts4964e	Roberto Lusso
zts4965e	Irène Williams
zts4966e	Harold de Nos
zts4967e	Géant de flammes de Draco
zts4968e	Fantôme de lave de Draco
zts4970e	Mini Kangpen
zts4971e	Léona
zts4972e	Darko
zts4973e	Fibi Givrée
zts4974e	Rudy Loubard
zts4975e	Jeune Rudy Loubard
zts4976e	Âme d'Ægir
zts4977e	Âme de Freya
zts4978e	Âme de Barni
zts4979e	Jeune Rudy Loubard scellé
zts4980e	Abominable yéti
zts4981e	Flocon, la fée des neiges
zts4982e	Lapinou Padbra
zts4983e	Licorne blanche
zts4984e	Licorne blanche
zts4985e	Licorne rose
zts4986e	Licorne rose
zts4987e	Licorne noire
zts4988e	Licorne noire
zts4989e	Tourbillon géant
zts4990e	Piège mobile
zts4991e	Faucon de chasse
zts4992e	Nuage de vapeur
zts4993e	Félix Frost
zts4994e	Enkidu de Glacerus
zts4995e	Ver de glace de Glacerus
zts4996e	Glacerus le Rude
zts4998e	Gemme d'âme glacée
zts4999e	Zangpo
zts5000e	Falco
zts5001e	Élisia
zts5002e	Fouineur algide
zts5003e	Soldat de combat algide
zts5004e	Sorcière-glaçon givrée
zts5005e	Lion-loup givré
zts5006e	Laranéya
zts5007e	Sceau glacial de Glacerus
zts5008e	Fantôme de la garnison
zts5009e	Fantôme du garde du corps
zts5010e	Fantôme du tireur
zts5011e	Soucoupe volante (h)
zts5012e	Soucoupe volante (f)
zts5013e	Marco Poulo (h)
zts5014e	Marco Poulo (f)
zts5015e	Mini^Inferno
zts5016e	Étincelette
zts5017e	Pyropatte
zts5018e	Tei Ken
zts5019e	Victoria
zts5020e	Steve Stuff
zts5021e	Ratufu de la Navy
zts5022e	Aérosurfeur (h)
zts5023e	Aérosurfeuse (f)
zts5024e	Collectionneur Akon
zts5025e	Roi des Ratufus
zts5026e	Ratufu cowboy
zts5028e	Clone des ténèbres invoqué
zts5031e	Ratufu de l'Eau
zts5032e	Ratufu du Feu
zts5033e	Minipégase
zts5034e	Poussin féroce invoqué
zts5035e	Yéti invoqué
zts5036e	Minirudy
zts5037e	Jeep jaune (h)
zts5038e	Jeep jaune (f)
zts5039e	Jeep bleue (h)
zts5040e	Jeep bleue (f)
zts5041e	Jeep rouge (h)
zts5042e	Jeep rouge (f)
zts5043e	Jeep turquoise (h)
zts5044e	Jeep turquoise (f)
zts5045e	Jeep noire (h)
zts5046e	Jeep noire (f)
zts5047e	Jeep rose fushia (h)
zts5048e	Jeep rose fushia (f)
zts5049e	Ratufu ninja
zts5050e	Mini Ratufu ninja
zts5051e	Magicien ténébreux
zts5052e	Chevalier ténébreux
zts5053e	Archer sinistre
zts5054e	Loup noir
zts5055e	Caligor
zts5056e	Voyageur mystérieux
zts5057e	Sarakael
zts5058e	Lilith
zts5059e	Ratufu indien
zts5060e	Foxy
zts5061e	Fils aîné de Mister Park
zts5062e	Deuxième fils de Mister Park
zts5063e	Troisième fils de Mister Park
zts5064e	Renard enragé
zts5065e	Renard Dusi enragé
zts5066e	Ratufu viking
zts5067e	Maru
zts5068e	Panier de gâteaux de riz
zts5069e	Corde
zts5070e	Fratrie terrifiée
zts5071e	Promeneur
zts5072e	Hamster-tigre
zts5073e	Hamster-tigre venimeux
zts5074e	Patrick Pattedouce
zts5075e	Sorcière Laurena
zts5076e	Bête de Laurena
zts5077e	Morceau de fromage
zts5078e	Touffe d'herbe
zts5079e	Diablotin Hongbi
zts5080e	Diablotin Cheongbi
zts5081e	Diablotin clone de Hongbi
zts5082e	Diablotin clone de Cheongbi
zts5083e	Calebasse
zts5084e	Hungbu
zts5085e	Nolbu
zts5086e	Hirondelle blessée
zts5087e	Calebasse de Hungbu
zts5088e	Calebasse de Nolbu
zts5089e	Clone de Hongbi agressif
zts5090e	Clone de Cheongbi agressif
zts5092e	Plante toxique de damnation
zts5093e	Soldat traumatisé
zts5096e	Soldat ensorcelé
zts5097e	Lola Longoreil
zts5098e	Raphaël
zts5099e	Lièvre doudou de Lola
zts5100e	Carotte géante
zts5101e	Terrier de lièvre
zts5102e	Maître lièvre de Lola
zts5104e	Hugo Héro
zts5109e	Ombre du dragonyx
zts5110e	Rozhanik
zts5111e	Esther
zts5112e	Lazékiel
zts5113e	Zélote
zts5114e	Zénas
zts5115e	Croisé de la 2e escouade
zts5116e	Chevalier protecteur de Zénas
zts5117e	Sentinelle royale de Zénas
zts5118e	Mage protecteur de Zénas
zts5119e	Prêtre de Zénas
zts5120e	Talion
zts5121e	Rément
zts5122e	Ismatte
zts5123e	Bacoum
zts5124e	Erenia
zts5125e	Zélote d'élite
zts5126e	Chevalier protecteur d'Erenia
zts5127e	Sentinelle royale d'Erenia
zts5128e	Mage protecteur d'Erenia
zts5129e	Prêtre d'Erenia
zts5130e	Bacoum d'élite
zts5131e	Croisé de la 6e escouade
zts5132e	Commandant des croisés
zts5133e	Prêtre transformateur
zts5134e	Prêtre approvisionneur
zts5135e	Expert de livres de compétences
zts5136e	Croisé Graham
zts5137e	Panuel
zts5138e	Eligoss
zts5139e	Asael
zts5140e	Ramel
zts5141e	Sakiel
zts5142e	Barak
zts5143e	Zéphar
zts5144e	Polneus
zts5145e	Débutant de la 2e escouade
zts5146e	Prêtresse Kelly de la 2e escouade
zts5147e	Prêtresse Molly de la 2e escouade
zts5148e	Sentinelle Amon
zts5149e	Archange Lucifer
zts5150e	Champ magique de Zénas
zts5151e	Pierre gardienne
zts5152e	Graham
zts5153e	Épéiste spectral inconnu
zts5154e	Archer spectral inconnu
zts5155e	Sorcier spectral inconnu
zts5156e	Épéiste spectral de Fernon
zts5157e	Archer spectral de Fernon
zts5158e	Sorcier spectral de Fernon
zts5159e	Croisé blessé
zts5160e	Croisé fou
zts5161e	Croisé manipulé
zts5162e	Épéiste spectral d'élite inconnu
zts5163e	Archer spectral d'élite inconnu
zts5164e	Sorcier spectral d'élite inconnu
zts5165e	Guerrier spectral d'élite de rang inférieur
zts5166e	Guerrier spectral d'élite de rang supérieur
zts5167e	Sorcier spectral d'élite de Fernon
zts5168e	Fernon incomplète
zts5169e	Alchimiste Felice
zts5170e	Libel
zts5171e	Harpago
zts5172e	Kirel
zts5173e	Astaroth
zts5174e	Chercheur d'espace-temps des Croisés
zts5175e	Kerzena
zts5176e	Eldin
zts5177e	Capitaine du vaisseau
zts5178e	Ranger légendaire
zts5179e	Pilleur de tombes
zts5180e	Graham plein d'espoir
zts5181e	Graham des abysses
zts5182e	Graham pyro
zts5183e	Graham nettoyeur
zts5184e	Petit météore de Fernon
zts5185e	Grand météore de Fernon
zts5186e	Lame grise de Fernon
zts5187e	Lame noire de Fernon
zts5188e	Lame gauche de Krem brisé
zts5189e	Lame droite de Krem brisé
zts5190e	Léo le Lâche
zts5191e	Statue de la déesse Zénas
zts5192e	Statue de la déesse Erenia
zts5193e	Autel du Temple oublié
zts5194e	Frigg
zts5195e	Ragnar
zts5196e	Terrible Fafnir
zts5197e	Erdimine
zts5198e	Utegarda
zts5199e	Fureteur
zts5200e	Canine de Fafnir
zts5201e	Petite dent de Fafnir
zts5202e	Canine cassée de Fafnir
zts5203e	Petite dent cassée de Fafnir
zts5206e	Capitaine des voleurs du désert
