zts1e	Riposo
zts684e	Scossa della Terra del Cavaliere Gigante
zts685e	Urlo del Cavaliere Gigante
zts686e	Scudo stordente del Cavaliere Gigante
zts687e	Attacco di base del Diavolo infuocato Volante
zts688e	Stella di Fuoco del Diavolo infuocato Volante
zts689e	Salto del Triangolo
zts690e	Urlo del Triangolo
zts691e	Salto medio della Primavera
zts692e	Salto veloce della primavera
zts693e	Attacco di base del Drago
zts694e	Attacco di base del Teschio del Drago
zts695e	Colpo di Balestra
zts696e	Saetta sacra
zts697e	Tripla Saetta
zts698e	Modalità d'Assedio
zts699e	Modalità difesa
zts700e	Preghiera del Recupero
zts701e	La Croce Sacra
zts702e	Scudo ricoperto
zts703e	Preghiera della Difesa
zts704e	Preghiera dell'Affronto
zts705e	Concentrazione
zts706e	Oscillazione del braccio
zts707e	Urto
zts708e	Oltre il Volto
zts709e	Corsa sonica
zts710e	Shock d'adrenalina
zts711e	Attacco d'impeto
zts712e	Ritmo Grande
zts713e	Tornado tagliente
zts714e	Violento
zts715e	Vita e Morte
zts716e	Corazza rotta
zts717e	Fuoco del Fucile da caccia
zts718e	Colpo Veloce
zts719e	Tiro ampio fortunato
zts720e	Amplificatore
zts721e	Mina antiuomo
zts722e	Corazza a gas
zts723e	Sfuriata
zts724e	Pacco della Salute
zts725e	Colpo Boom
zts726e	Mina di Fuoco
zts727e	Caduta nell'Inferno
zts728e	Lancio del Boomerang
zts729e	Corsa del Serpente
zts730e	Graffio della Bestia
zts731e	Spirito dell'aquila
zts732e	Brillantezza dell'elemento
zts733e	Volo del Circolo
zts734e	Spirito del Lupo
zts735e	Elemental Down
zts736e	Edera
zts737e	Spirito dell'Orso
zts738e	Potenza della Foresta
zts739e	Sfera di Ghiaccio
zts740e	Frammento di Ghiaccio
zts741e	Folata gelida
zts742e	Lancia di Ghiaccio
zts743e	Catena di Ghiaccio
zts744e	Scudo gelato
zts745e	Ghiacciaio
zts746e	Benedizione dell'acqua
zts747e	Lancie Grandi
zts748e	Freddo intenso
zts749e	Bufera di Neve
zts750e	Attacco di Bolle di Crisos
zts751e	Attacco dei piedi di Treekun
zts752e	Benedizione sacra
zts753e	Caricamento Triplo
zts754e	Effetto Brillante
zts755e	Concentrazione
zts756e	Amplificatore
zts757e	Pietra di Ghiaccio
zts758e	Fuoco della Revolver magica
zts759e	Colpo combinato
zts760e	Attacco magico improvviso
zts761e	Guardia Fantasma
zts762e	Maledizione dell'attacco improvviso
zts763e	Forza Oscura
zts764e	Posseduto
zts765e	Caricamento Fantasma
zts766e	Pozione del Cattivo
zts767e	Requiem
zts768e	Invasione Fantasma
zts769e	Attacco del Tronco
zts770e	Attacco elettrico dei licheni
zts771e	Richiamo dei Licheni
zts772e	Modalità Erikiel Javelin
zts773e	Attacco Mole
zts774e	Attacco della fossilizzazione del basilisco
zts775e	Attacco della Polvere di Falena
zts776e	Rievoca Abilità
zts777e	Attacco Graylander
zts778e	Attacco della coda Graylander
zts779e	Attacco di base di Crisos
zts780e	Attacco della talpa
zts781e	Concetrazione
zts782e	Esplosione della Bomba
zts783e	Esplosione della Bomba 2
zts784e	Spinta del tronco
zts785e	Esplosione Claymore
zts786e	Attacco di base di Skid
zts787e	Ghiacciaio di Skid
zts788e	Attacco di base di Daisy
zts789e	Corazza gas di Daisy
zts790e	Attacco di base di Seina
zts791e	Croce sacra di Seina
zts792e	Grande Slancio
zts793e	Oltre il viso
zts794e	Freno dell'armatura.
zts795e	E' un attacco di base del Crociato.
zts796e	I Nemici sono sconfitti dallo Spirito Sacro.
zts797e	I nemici vengono sconfitti da tre frecce di luce sacre.
zts798e	I non morti circostanti diventano deboli a causa della potenza della luce sacra.
zts799e	La compagnia selezionata diventa forte dalla provvidenza sacra della luce.
zts800e	La compagnia è avvolta da una luce sacra.
zts801e	La forza fisica è stata recuperata grazie ad un effetto.
zts802e	Lo spirito della Luce esplode e viene creata un'enorme croce.
zts804e	Aumenta la tua forza fisica e quella della tua compagnia.
zts805e	Aumenta la tua potenza d'attacco e quella della tua compagnia.
zts806e	I nemici vicini vengono sconfitti da una croce sacra evocata.
zts807e	E' un attacco di base del Distruttore.
zts808e	Il fuoco spara i nemici per sconfiggerli.
zts809e	Sconfigge i nemici circostanti.
zts810e	Come l'amplificatore viene attivato, la velocità aumenta in un momento.
zts811e	Attacca i nemici e i dintorni facendo esplodere una bomba speciale. La bomba si disinnesca da sola dopo 40 secondi.
zts812e	Avvelena i nemici e coloro che ci sono intorno con un esplosione di una bomba gas.
zts813e	La potenza della pistola magica è stata rafforzata.
zts814e	Cura la condizione anormale
zts815e	Attacca i nemici e i dintorni lanciando una bomba.
zts816e	La mina di Fuoco attacca i nemici.
zts817e	La bomba più forte viene lanciata a caso.
zts818e	E' un attacco di base del Mago Blu.
zts819e	Sconfigge i nemici con un pezzo di ghiaccio
zts820e	Congela i nemici grazie ad una magia
zts821e	Attacca i nemici con una lancia ghiacciata
zts822e	Lega i nemici con una catena ghiacciata
zts823e	Annulla l'attacco nemico con uno scudo ghiacciato
zts824e	Dei pilastri congelati emergono intorno alla persona che ha lanciato la magia.
zts825e	Benedizione dell'acqua
zts826e	Ricevi la Benedizione dell'acqua
zts827e	Sconfigge i nemici con una grande lancia
zts828e	Congela i nemici con uno schizzo gelido potente
zts829e	Sconfigge i nemici con una tempesta gelida
zts830e	Abilità di Hellduke
zts831e	Gli HP sono stati recuperati grazie ad un effetto.
zts832e	Mysticaron
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Cavaliere Mistico
zts838e	Massimizza la difesa mediante la creazione di un grande scudo.
zts840e	Attacco base dell' uomo-neve
zts842e	Attacco di base di Whitney
zts843e	Maledizione dell'attacco improvviso di Whitney
zts844e	Balzo del Cavaliere Mistico
zts845e	Attacco di base di Coupe
zts846e	Serpente Coupe
zts847e	Attacco di base di Justin
zts848e	Grande slancio di Justin
zts849e	E' un attacco di base del Violento.
zts850e	E' un attacco di base del Guardiano Selvatico.
zts851e	E' un attacco di base del Mago Oscuro
zts852e	E' un attacco di base del Violento.
zts853e	Colpisce l'avversario con un'enorme arma.
zts854e	Colpisce i nemici intorno con un'arma con l'elemento oscuro.
zts855e	Aumenta la potenza d'attacco raccogliendo le forze, ma
zts856e	Diminuisce la potenza difensiva.
zts857e	Assalta violentemente il nemico tirando fuori la rabbia.
zts858e	Batte nemico a caso sotto follia.
zts859e	Batte nemico e circostanti a caso sotto follia.
zts860e	Neutralizza la difesa nemica grazie all'uso di un'enorme arma.
zts861e	Incrina il campo e un nemico sotto follia
zts862e	Aumento della potenza d'attacco con la diminuzione della propria vita.
zts863e	Colpisci tutto ciò che hai intorno trasformandoti sotto l'influsso del potere dell'oscurità e della follia.
zts864e	E' un attacco di base del Custode Selvatico.
zts865e	Lancia 2 boomerang al nemico.
zts866e	Taglia i nemici attraverso il lancio di un Boomerang
zts867e	Puoi compiere un attacco mirato all'avversario mentre richiami l'anima dell'aquila
zts868e	Riempe uno con lo spirito della natura dal raccoglimento dello spirito.
zts869e	Taglia i nemici circostanti lanciando un boomerang con forza
zts870e	Aumento della velocità di movimento richiamando l'anima del lupo.
zts871e	Risucchia lo spirito della natura dal nemico.
zts872e	Fa a pezzi i nemici circostanti lanciando diversi boomerang.
zts873e	Aumento della potenza difensiva con il richiamo dell'anima dell'orso.
zts874e	Lancia un enorme boomerang con lo spirito della natura
zts875e	E' un attacco di base del Mago Oscuro
zts876e	Spara ripetutamente con la Revolver Magica.
zts877e	Lancia un esplosivo all'avversario
zts878e	Difende un messaggero con lo spirito oscuro evocando il demone ingaggiato
zts879e	Spara un colpo avvelenato all'avversario.
zts880e	Il demone evocato conferisce al messaggero il potere oscuro.
zts881e	Il demone ingaggiato maledice l'avversario.
zts882e	Spara colpi con fantasmi maledetti ripetutamente
zts883e	Manda lo spirito oscuro per riempire il nemico.
zts884e	Il Requiem mette in fuga tutti gli avversari nelle tue vicinanze facendogli perdere la vita.
zts885e	Spara colpi con fantasmi maledetti selvaggiamente.
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts950e	Riposo
zts951e	(C)
zts952e	Ritira
zts953e	(X,`)
zts954e	Aumenta la forza corporea di 5.
zts955e	Aumenta la forza corporea di 15.
zts956e	[Maestro] Attacco rafforzato
zts957e	Aumenta la forza corporea di 60.
zts958e	Aumenta la velocità di 5.
zts959e	Aumenta la velocità di 15.
zts960e	Aumenta la velocità di 60.
zts961e	Aumenta la difesa magica di 5.
zts962e	Aumenta la difesa magica di 30.
zts963e	Aumenta la difesa magica di 60.
zts964e	Aumenta HP massimo di 300.
zts965e	Aumenta HP massimo di 1000.
zts966e	Aumenta HP massimo di 3000.
zts967e	Aumenta MP massimo di 300.
zts968e	Aumenta MP massimo di 1000.
zts969e	Aumenta MP massimo di 3000.
zts970e	[Basso] Guarigione naturale.
zts971e	Specializzato per gli Immortali
zts972e	Aumenta il potere di attacco ravvicinato verso Immortali con livello basso.
zts973e	Come catturare
zts974e	Scegli un mostro e poi verifica se nella finestra del bersaglio c'è il simbolo della cattura.
zts975e	Attacca il mostro fino a quando il suo HP non scende sotto il 50%.
zts976e	Per catturare il mostro utilizza l'abilità „cattura“.
zts977e	Se il tentativo di cattura  fallisce aspetta che l'abilità si ricarichi e poi prova di nuovo.
zts978e	Aumenta la forza di attacco 1Liv.
zts979e	Aumenta la forza di attacco ravvicinato del Colpo furioso.
zts980e	La forza di attacco è aumentata.
zts981e	Aumenta la forza di attacco ravvicinato in caso di colpo di vendetta e i danni in caso di colpo critico.
zts982e	Aumenta la forza di attacco ravvicinato in caso di onda terrestre.
zts983e	Aumenta la forza di attacco ravvicinato in caso di colpo di vento.
zts984e	Aumenta la forza di attacco ravvicinato in caso di attacco doppio.
zts985e	Aumenta la forza di attacco a distanza in caso di colpo dinamico.
zts986e	Segna un colpo importante.
zts987e	Raggiungi il tuo avversario.
zts988e	Dopo avere accumulato energia spada girati di scatto per provocare danni agli avversari che ti circondano.
zts989e	Scaglia una freccia per spingere via l'avversario.
zts990e	Scaglia una freccia saltando e provoca danni ai nemici che ti circondano senza alcuna penalità.
zts991e	Con questo attacco a distanza scagli delle frecce che colpiscono l'avversario e l'area intorno a lui (3 campi).
zts992e	Compi un attacco fatale con un pugnale.
zts993e	Aggiungi del veleno alla tua arma ausiliaria per avvelenare l'avversario.
zts994e	Mentre ti giri attacca tutti gli avversari che ti circondano.
zts995e	In seguito a contrattacco improvvisogli avversari potrebbero non essere in grado di muoversi.
zts996e	Accumula energia d'attacco per mettere a segno un attacco più forte verso il prossimo bersaglio.
zts997e	Aumenta l'HitRate e il danno critico inflitto dall'avventuriero.
zts998e	Punta di freccia avvelenata.
zts999e	Aumenta la forza di attacco a lunga distanza di un colpo mirato.
zts1000e	Aumenta la forza d'attacco da lontano del Colpo Intenso.
zts1001e	Barriera Magica
zts1002e	Crea uno scudo per ridurre i danni di tutti gli attacchi con una determinata probabilità.
zts1003e	Protezione della Natura
zts1004e	Crea una protezione che riduce il danno di tutti gli elementi causati a tutti i membri del gruppo.
zts1005e	Aumenta la forza di attacco a distanza in caso di un colpo veloce.
zts1006e	Aumenta la forza di attacco a distanza in caso di Pioggia di Frecce.
zts1007e	Rafforzamento
zts1008e	Aumenta la forza d'attacco ravvicinato di Colpo di Tempesta e la possibilità di interrompere il movimento.
zts1009e	Aumenta la forza di attacco ravvicinato in caso di una Pugnalata Mortale.
zts1010e	Esplosione
zts1011e	Aggiunge ai dardi di fuoco un'esplosione di fuoco con una determinata probabilità.
zts1012e	Gelo
zts1013e	Congela il tuo avversario con una certa probabilità utilizzando dei dardi di ghiaccio.
zts1014e	Aumenta la forza di attacco magico del missile magico.
zts1015e	Rafforzamento 1Liv.
zts1016e	Aumenta la forza di attacco magico e l'Elemento Acqua del Tornado.
zts1017e	Rafforzamento 2Liv.
zts1018e	Aumenta la forza di attacco magico della sassata.
zts1019e	Aumenta la forza di attacco magico della pallottola magica.
zts1020e	Aumenta la probabilità di sferrare colpi critici e provoca danni extra.
zts1021e	Aumenta la forza d'attacco 2Liv.
zts1022e	Allestimento dell'Elemento Acqua 1Liv.
zts1023e	Munisci il colpo magico dell'Elemento Acqua.
zts1024e	Brucia rapidamente l'energia spada di fronte a te.
zts1025e	Aumenta tutte le resistenze attraverso la tua concentrazione sul tuo corpo.
zts1026e	Scivola velocemente sul nemico ed attaccalo.
zts1027e	Provoca all'avversario un blackout in un istante sparando una grossa pallottola.
zts1028e	Scaglia un esplosivo con una freccia per provocare ingenti danni.
zts1029e	Specializzazione PvP.
zts1030e	Aumenta la forza di attacco ravvicinato in caso di PvP.
zts1031e	Allestimento dell'Elemento Fuoco 1Liv.
zts1032e	Dotare il colpo d'ira dell'Elemento Fuoco.
zts1033e	Allestimento dell'Elemento Fuoco 2Liv.
zts1034e	Allestimento dell'Elemento Ombra 1Liv.
zts1035e	Dotare il colpo d'ira dell'Elemento Ombra.
zts1036e	Allestimento dell'Elemento Ombra 2Liv.
zts1037e	Aumenta la forza d'attacco ravvicinato della lama luccicante.
zts1038e	Specializzato nei mostri di livello basso
zts1039e	Aumenta la capacità di attacco ravvicinato verso mostri di livello basso.
zts1040e	Specializzato in animali
zts1041e	Aumenta la capacità di attacco ravvicinato verso animali di livello basso.
zts1042e	Specializzato in piante
zts1043e	Aumenta la capacità di attacco ravvicinato verso piante di livello basso.
zts1044e	Aumenta la capacità di attacco a distanza verso mostri di livello basso.
zts1045e	Aumenta la capacità di attacco a distanza verso animali di livello basso.
zts1046e	Aumenta la forza d'attacco 3Liv.
zts1047e	Aumenta la forza d'attacco 4Liv.
zts1048e	Allestimento dell'Elemento Fuoco
zts1049e	Cambia il suo Elemento in Fuoco.
zts1050e	Aumenta la probabilità di un Blackout in caso di attacco stellare.
zts1051e	Rafforza l'effetto e la durata del patto di sangue.
zts1052e	Aumenta la forza d'attacco ravvicinato dell'attacco di tempesta e irrigidisce l'avversario.
zts1053e	Trascina l'avversario davanti a te per distrarlo.
zts1054e	Aumenta la forza d'attacco a distanza del colpo esplosivo.
zts1055e	Aumenta la capacità di attacco a distanza verso piante di livello basso.
zts1056e	Aumenta la capacità di attacco a distanza del colpo saltato.
zts1057e	Massimizza l'effetto e la durata dell'occhio di falco.
zts1058e	Rafforza la spina avvelenata 1Liv.
zts1059e	Munire il pugnale di una spina avvelenata.
zts1060e	Rafforza la spina avvelenata 2Liv.
zts1061e	Munisci il colpo esplosivo dell'Elemento Fuoco.
zts1062e	Aumenta la forza d'attacco a distanza verso Immortali di livello basso.
zts1063e	Aumenta la forza d'attacco a distanza in PvP.
zts1064e	Scaglia una freccia di fuoco per bruciare l'avversario.
zts1065e	Munire i dardi energetici dell'Elemento Acqua.
zts1066e	Allestimento dell'Elemento Acqua 2Liv.
zts1067e	Munisci il colpo magico dell'Elemento Fuoco.
zts1068e	Aumenta la forza d'attacco magico e l'Elemento Fuoco dei dardi di fuoco.
zts1069e	Aumenta la forza d'attacco magico e l'Elemento Acqua dei dardi di ghiaccio.
zts1070e	Aumenta la forza d'attacco magico e l'Elemento Fuoco della colonna di fuoco.
zts1071e	Scaglia in alto una freccia magica per provocare una pioggia di frecce intorna a te.
zts1072e	Colpisci il punto debole del tuo avversario con un pugnale così da provocargli un danno acuto
zts1073e	Veleno paralizzante
zts1074e	Munire la punta della freccia di veleno paralizzante per ridurre la forza dell'avversario.
zts1075e	Veleno rinforzante
zts1076e	Munire la punta della freccia di veleno rinforzante per stimolare i nervi dell'avversario.
zts1077e	Rafforzamento veleno mortale 1Liv.
zts1078e	Muinre il pugnale di veleno mortale.
zts1079e	Rafforzamento veleno mortale 2Liv.
zts1080e	Provoca all'avversario ingenti danni attraverso l'evocazione del trapano del ghiaccio dalla terra.
zts1081e	Giustizia del cielo
zts1082e	Attacca l'avversario con la luce del cielo.
zts1083e	Brucia gli avversari facendo schizzare la lava intorno a te.
zts1084e	Lancia un incantesimo concentrato con un'arma magica.
zts1085e	Diffondi l'aura della morte per scoraggiare i toi nemici.
zts1086e	Crea un trapano del ghiaccio più potente del solito, aumenta la forza dell'attacco magico e la probabilità di provocare gelo.
zts1087e	Munisci la giustizia del cielo dell'Elemento Acqua.
zts1088e	Crea lava più bollente del solito, aumenta la forza d'attacco magico e la probabilità di una bruciatura critica.
zts1089e	Evocazione di Calvinas
zts1090e	Attacco base di Calvinas
zts1091e	Blackout 1Liv.
zts1092e	Munire la lama luccicante di un incantesimo così da cagionare all'avversario maggiori danni e da provocargli un blackout.
zts1093e	Aumenta la forza di attacco ravvicinato in caso di attacco a punti deboli e provoca all'avversario delle serie perdite di sangue.
zts1094e	L'effetto di animazione della abilità diventa più luminoso e la sua forza aumenta.
zts1095e	Munire il colpo di vento dell'Elemento Fuoco.
zts1096e	Munire il colpo di vento dell'Elemento Ombra.
zts1097e	Munire il colpo dinamico dell'Elemento Fuoco.
zts1098e	Munire il colpo dinamico dell'Elemento Ombra.
zts1099e	Munire il doppio attacco dell'Elemento Fuoco.
zts1100e	Munire il doppio attacco dell'Elemento Ombra.
zts1101e	Aumenta il raggio di portata del colpo.
zts1102e	Aumenta il raggio di portata dell'attacco di tempesta.
zts1103e	Munire l'onda terrestre dell'Elemento Fuoco.
zts1104e	Allestimento dell'Elemento Ombra
zts1105e	Munire l'onda terrestre dell'Elemento Ombra.
zts1106e	Munire il colpo di vendetta dell'Elemento Fuoco.
zts1107e	Munire il colpo di vendetta dell'Elemento Ombra.
zts1108e	Neutralizzare la difesa 1Liv.
zts1109e	Attacca un punto non protetto del tuo avversario per distruggere le sue armi protettive.
zts1110e	Neutralizzare la difesa 2Liv.
zts1111e	Neutralizzare la difesa 3Liv.
zts1112e	Attacca con l'impugnatura della spada per provocare all'avversario un blackout fatale.
zts1113e	Trascina l'avversario davanti a te per distrarlo.
zts1114e	massimizza l'effetto e la durata dell'oppressione.
zts1115e	Cambia il suo Elemento in Elemento Ombra.
zts1116e	Migliora l'energia della spada.
zts1117e	Munisci la lama luccicante dell'Elemento Fuoco.
zts1118e	Munisci la lama luccicante dell'Elemento Ombra.
zts1119e	L'effetto di animazione della lama luccicante aumenta e la sua forza viene massimizzata.
zts1120e	Munisci il colpo esplosivo dell'Elemento Ombra.
zts1121e	L'effetto di animazione del colpo esplosivo diventa più luminoso e la sua forza viene massimizzata.
zts1122e	Abilità 1 attacco della volpe
zts1123e	Abilità 2 attacco della volpe
zts1124e	Attacco base 3 della volpe
zts1125e	Attacco caccia 1 del lupo
zts1126e	Attacco caccia 2 del lupo
zts1127e	Attacco caccia 3 del lupo
zts1128e	Allestimento dell'Elemento Acqua
zts1129e	Munire il colpo mirato dell'Elemento Acqua.
zts1130e	Allestimento dell'Elemento Luce
zts1131e	Munire il colpo mirato dell'Elemento Luce.
zts1132e	Aumenta l'HitRate.
zts1133e	Aumenta la probabilità di colpire l'avversario con un colpo mirato.
zts1134e	Aumenta la probabilità di sferrare colpi critici.
zts1135e	Aumenta la probabilità di sferrare colpi critici in caso di colpo mirato.
zts1136e	Miglioramento (colpo mortale)
zts1137e	Massimizza la probabilità di sferrare colpi critici in caso di colpo mirato.
zts1138e	Rafforza Colpo Intenso con l`Elemento Acqua.
zts1139e	Rafforza Colpo Intenso con l`Elemento Luce.
zts1140e	Potenziamento Spinta Lv1
zts1141e	Scaglia una freccia per allontanare l'avversario.
zts1142e	Potenziamento Spinta Lv2
zts1143e	Potenziamento Spinta Lv3
zts1144e	Massimizza la forza d'attacco a distanza del Colpo Intenso.
zts1145e	L'animazione del Colpo pungente diventa più luminosa. La probabilità di sferrare colpi critici e la potenza dei colpi stessi vengono massimizzate.
zts1146e	Rafforza Calcio Volante con l`Elemento Acqua.
zts1147e	Allestimento dell'Elemento Luce 1Liv.
zts1148e	Rafforza Calcio Volante con l`Elemento Luce.
zts1149e	Potenziamento Elemento Luce Lv2
zts1150e	Massimizza l`attacco a distanza di Colpo Volante.
zts1151e	Rafforza Colpo Rapido con l'Elemento Luce.
zts1152e	Rafforza Colpo Rapido con l'Elemento Acqua.
zts1153e	Massimizza la forza d'attacco del Colpo Rapido.
zts1154e	Munire la pioggia di frecce dell'Elemento Acqua.
zts1155e	Munire la pioggia di frecce dell'Elemento Luce.
zts1156e	Massimizza l'attacco distanza della pioggia di frecce.
zts1157e	Munire la coltellata mortale dell'Elemento Acqua.
zts1158e	Munire la coltellata mortale dell'Elemento Luce.
zts1159e	Sanguinamento
zts1160e	Provoca ad un tuo avversario una coltellata in un punto critico per farlo sanguinare.
zts1161e	Blackout
zts1162e	Provoca ad un tuo avversario una coltellata in un punto critico per causargli un blackout.
zts1163e	Massimizza la forza di attacco ravvicinato della pugnalata mortale.
zts1164e	Munire il colpo di tempesta dell'Elemento Acqua.
zts1165e	Munire il colpo di tempesta dell'Elemento Luce.
zts1166e	Massimizza la forza dell'attacco ravvicinato del colpo di tempesta e aumenta la probabilità di sferrare colpi critici.
zts1167e	Blackout 2Liv.
zts1168e	L'effetto di animazione della freccia luccicante diventa più luminoso e la sua forza viene massimizzata.
zts1169e	L'animazione di "Attacca punto debole" è attiva. La probabilità di sferrare colpi critici e la potenza dei colpi stessi vengono massimizzate.
zts1170e	Colpo mirato sulle gambe del nemico, aumenta la forza d'attacco a lunga distanza, così come la probabilità di ferire il tuo nemico alle gambe.
zts1171e	Massimizza la forza d'attacco a distanza del colpo mirato e aumenta l'HitRate.
zts1172e	Munire i dardi di fuoco dell'Elemento Fuoco.
zts1173e	Munire il missile magico dell'Elemento Acqua.
zts1174e	Munire il missile magico dell'Elemento Fuoco.
zts1175e	Massimizza la forza d'attacco magico del missile magico.
zts1176e	Massimizza la forza di attacco magico della sassata per provocare all'avversario un blackout.
zts1177e	Protezione della Luce
zts1178e	La Protezione della Natura difende l'energia dell'Elemento Luce.
zts1179e	Protezione dell'ombra
zts1180e	La Protezione della Natura difende l'energia dell'Elemento Ombra.
zts1181e	L'effetto di animazione del trapano del ghiaccio diventa più luminoso e la sua forza viene massimizzata.
zts1182e	Munire la pallottola magica dell'Elemento Fuoco.
zts1183e	Munire la pallottola magica dell'Elemento Acqua.
zts1184e	Massimizza la forza di attacco magico della pallottola magica.
zts1185e	Aumenta la forza d'attacco durante il recupero della magia.
zts1186e	Massimizza l'attacco a lunga distanza di un colpo mirato.
zts1187e	Rafforzamento 3Liv.
zts1188e	Protezione a distanza 1Liv.
zts1189e	Protezione a distanza liv. 2
zts1190e	Protezione a distanza 1Liv.
zts1191e	Protezione magica 1Liv.
zts1192e	Protezione magica 2Liv.
zts1193e	Protezione magica 3Liv.
zts1194e	Aumenta il margine di recupero 2Liv.
zts1195e	Rafforza la cecità per accecare intensamente l'avversario.
zts1196e	Velocità di movimento ridotta
zts1197e	Riduce l'HitRate.
zts1198e	Proietta forza magica per fare addormentare il tuo avversario.
zts1199e	Aggiungi l'Elemento Fuoco al raggio magico.
zts1200e	Aggiungi l'Elemento Acqua al raggio magico.
zts1201e	Aumenta la forza d'attacco
zts1202e	Massimizza la forza d'attacco del raggio magico.
zts1203e	L'effetto di animazione della zona Magma diventa più luminoso e la sua forza viene massimizzata.
zts1204e	Terzo attacco forte della Volpe
zts1205e	Terzo attacco base del Wollie
zts1206e	Terzo attacco base dell'Imp
zts1207e	Terzo attacco base del Jelly
zts1208e	Terzo attacco base del Ratto
zts1209e	Protezione dell'Acqua
zts1210e	La Protezione della Natura difende l'energia dell'Elemento Acqua.
zts1211e	Protezione del Fuoco
zts1212e	Protezione della Natura difende l'energia dell'Elemento Fuoco.
zts1213e	L'effetto di animazione della giustizia del cielo diventa più luminoso e la sua forza viene massimizzata.
zts1214e	Miglioramento (forza d'attacco)
zts1215e	Massimizza l'attacco a lunga distanza di un colpo mirato.
zts1216e	Teletrasporto della Donna di Ghiaccio
zts1217e	Attacco del Guardiano Diavolo
zts1218e	Attacco del Guardiano Angelo
zts1219e	Attacco di ghiaccio
zts1220e	Attacco base della Foca
zts1221e	Attacco superficiale del Gigante della nebbia.
zts1222e	Attacco base della Signora del Diavolo
zts1223e	Evocazione della Regina Talpa
zts1224e	Riposo di Mysticaron
zts1225e	SE attacco area circostante 1
zts1226e	SE attacco area circostante 2
zts1227e	Attacco base del fantasma Mandra
zts1228e	Attacco base della bestia dannata
zts1229e	Dati fagioli
zts1230e	Diminuisce l'abilità die nemici che non sono elementi-Luce attraverso la Luce Santa.
zts1231e	Fa sì che tu e il tuo gruppo d'avventura diventiate più forti per mezzo della Luce Santa.
zts1232e	Amore
zts1233e	(Alt + Q)
zts1234e	Ciao
zts1235e	(Alt + W)
zts1236e	Smorfia
zts1237e	(Alt + E)
zts1238e	Risata
zts1239e	(Alt + R)
zts1240e	Timido
zts1241e	(Alt + T)
zts1242e	Hehe
zts1243e	(Alt + Y)
zts1244e	Ooops
zts1245e	(Alt + U)
zts1246e	Ahhh
zts1247e	(Alt + l)
zts1248e	Imbarazzato
zts1249e	(Alt + O)
zts1250e	Vittoria
zts1251e	(Alt + P)
zts1252e	Cosa?
zts1253e	(Alt + A)
zts1254e	Mi prendi in giro?
zts1255e	(ALT+S)
zts1256e	Esigenza
zts1257e	(Alt + D)
zts1258e	Disonore
zts1259e	(Alt + F)
zts1260e	Arrabbiato
zts1261e	(Alt + G)
zts1262e	La pagherai
zts1263e	(Alt + H)
zts1264e	Pesca
zts1265e	(Alt + J)
zts1266e	Rifletti
zts1267e	(Alt + K)
zts1268e	Lacrime
zts1269e	(Alt + L)
zts1270e	Pianto
zts1271e	(Alt + Z)
zts1272e	Singhiozzo
zts1273e	(Alt + X)
zts1274e	Solitudine
zts1275e	(Alt + C)
zts1276e	Ragazzo carino
zts1277e	(Alt + V)
zts1278e	Ragazza carina
zts1279e	(Alt + B)
zts1280e	Hmmmm
zts1281e	(Alt + N)
zts1282e	Bleh
zts1283e	(Alt + M)
zts1284e	Mento lungo
zts1285e	(Alt +,)
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
zts1296e	Abilitazione a cucinare per il gruppo
zts1297e	Aumenta la forza d'attacco dell'energia della spada.
zts1298e	Aumenta la tua forza d'attacco e quella del tuo gruppo per un certo lasso di tempo, riducendo però i tuoi HP.
zts1299e	Aumenta la tua forza di difesa.
zts1300e	Aumenta l'HitRate e la probabilità di sferrare colpi critici (per te e per il tuo gruppo).
zts1301e	Aumenta la forza di attacco del Proiettile Magico.
zts1302e	Aumenta la forza di attacco e l'Elemento Fuoco del Proiettile Esplosivo.
