zts1e	Тренировка новых искателей приключений
zts718e	Поговори с тренером Кальвином и узнай, как у него дела
zts719e	Сразись с 99 сильными деревьями-зомби!
zts720e	Найди причину загрязнения воды!
zts721e	Сразись с 99 королевскими пиявками и 99 гигантскими пиявками!
zts722e	Отнеси чистую воду Кэтлотт!
zts723e	Отнеси чистую воду Кэтлотт!
zts724e	Узнай, как дела у людей в НосВилле!
zts725e	Иди осторожнее... Что-то приближается!
zts726e	Основательно исследуй лабораторию!
zts727e	Сообщи о своих исследованиях в лаборатории!
zts728e	Собери маргаритки и лилии!
zts729e	Положи собранные ингредиенты в рот статуи краба!
zts730e	Достань сумеречную жемчужину из гигантского моллюска!
zts731e	Отправляйся в Кошачью комнату в Еловом лесу и сообщи о жемчужине заката!
zts732e	Отнеси мутную воду Кэтлотт!
zts733e	Отнеси загрязненную воду Кэтлотт!
zts734e	Отнеси грязную воду Кэтлотт!
zts735e	Собери хвосты летучих енотов по просьбе Мими Ментор!
zts736e	Сразись с пнями по просьбе Тренера Кальвина!
zts737e	Сразись с сильными деревьями-зомби по просьбе Тренера Кальвина!
zts738e	Избавься от пиявок, которые стирают следы!
zts739e	Неизвестная руда
zts740e	Найди домик дровосека Джека!
zts741e	Представься молодому человеку!
zts742e	Выслушай дровосека Джека!
zts743e	Выясни, почему яки больше не появляются у Джека!
zts744e	Отдай колокольчик дровосеку Джеку!
zts745e	Найди злодея, который превратил яков в монстров!
zts746e	Уничтожь злобное существо, который превратил яков в монстров!
zts747e	Объясни Джеку, почему яки стали злыми.
zts748e	Выслушай Роди Виндсингера!
zts749e	Найди человека, который знает что-либо о неизвестной руде.
zts750e	Найди месторасположение неизвестной руды!
zts751e	Добудь неизвестную руду, охотясь на монстров!
zts752e	Добудь неизвестную руду, охотясь на монстров!
zts753e	Иди по сверкающему следу!
zts754e	Февер очень опасен?
zts755e	Спроси Кэтлотту о слизи Февера.
zts756e	Узнай больше о слизи!
zts757e	Найди женщину, о которой говорил Догго!
zts758e	Найди помощника Соти Бистандер!
zts759e	Расправься с Воллетами и найти облезшую кожу Февера!
zts760e	Отнеси кожу Февера Ректу Лату!
zts761e	Покажи Соти облезшую кожу Февера.
zts762e	Сразись с ящерицами по просьбе Мими!
zts763e	Найди первый ингредиент заклинания!
zts764e	Принеси Соти первый ингредиент заклинания!
zts765e	Получи помощь Кэтлотты!
zts766e	Найди второй ингредиент заклинания!
zts767e	Принеси Соти второй ингредиент заклинания!
zts768e	Получи помощь Теодора Топпа!
zts769e	Заплати Теодору Топпу и получи информацию!
zts770e	Найди третий ингредиент заклинания!
zts771e	Принеси Соти третий ингредиент заклинания!
zts772e	Получи помощь Мими Ментор!
zts773e	Найди четвертый ингредиент заклинания!
zts774e	Принеси Соти четвертый ингредиент заклинания!
zts775e	Получи помощь Вождя Коарена!
zts776e	Найди пятый ингредиент заклинания!
zts777e	Принеси Соти пятый ингредиент заклинания!
zts778e	Попроси помощи у Догго!
zts779e	Найди шестой ингредиент заклинания!
zts780e	Принеси Соти шестой ингредиент заклинания!
zts781e	Найди кого-нибудь, кто знает о седьмом ингредиенте для заклинания!
zts782e	Найди фальшивый ингредиент заклинания!
zts783e	Принеси Соти фальшивый ингредиент заклинания!
zts784e	Раскрой настоящую сущность Рект Лата!
zts785e	Истина...?
zts786e	Выслушай Ректа Лата!
zts787e	Найди старое дерево!
zts788e	Узнай, что находится внутри старого дерева!
zts789e	Избавься от монстров, которые мешают тебе выследить Февера!
zts790e	Здесь кто-то есть... Нужно проверить!
zts791e	Иди в Сели-Лушу!
zts792e	Следуй указаниям Эри Виндспир!
zts793e	Избавься от монстров, которые блокируют дорогу к подземной тропинке!
zts794e	Избавься от монстров, которые блокируют дорогу к подземной тропинке!
zts795e	Наконец ворота в подземный тоннель найдены!
zts796e	Исследуй Сели-Лушу!
zts797e	Выясни истину!
zts798e	Найди Корркоарена!
zts799e	Узнай у Колли, как добраться до Корркоарена!
zts800e	Найди первый ингредиент для заклинания реальности!
zts801e	Найди второй ингредиент для заклинания реальности!
zts802e	Найди третий ингредиент для заклинания реальности!
zts803e	Передай Колли ингредиенты для заклинания реальности.
zts804e	Верни обратно жемчужину заката!
zts805e	Выбор Эри Виндспир и Ректа Лата
zts806e	Попроси Эри Виндспир помочь тебе предотвратить воскрешение Латеора!
zts807e	Попроси Ректа Лата помочь тебе предотвратить воскрешение Латеора!
zts808e	Иди в Сели-Луша и предотврати воскрешение Латеора!
zts809e	Сразись с ангелами, которые закрывают твой путь!
zts810e	Доберись до кокона Февера!
zts811e	Сразись с ангелами, которые закрывают твой путь!
zts812e	Доберись до кокона Февера!
zts813e	Предотврати возвращение короля ангелов!
zts814e	Найди домик дровосека Джека!
zts815e	Пришествие демонов
zts816e	Страж света
zts817e	Поищи вещи ледяного мага!
zts818e	Выясни, как создавать драгоценные камни.
zts819e	Доставь вещи ледяного мага!
zts820e	Узнай, как можно восстановить дневник!
zts821e	Выясни что-нибудь о прошлом ледяного мага!
zts822e	Расскажи, что тебе удалось пережить в пространственно-временном камне!
zts823e	Поищи вещи разрушителя!
zts824e	Собери ингредиенты для специального отбеливателя!
zts825e	Доставь специальный отбеливатель!
zts826e	Доставь предметы разрушителя!
zts827e	Заплати указанное количество золота!
zts828e	Выясни что-нибудь о прошлом разрушителя!
zts829e	Расскажи, что тебе довелось пережить в пространственно-временном камне!
zts830e	Поищи вещи Крестоносца!
zts831e	Найти бутылки со святой водой!
zts832e	Доставь бутылки со святой водой!
zts833e	Доставь предметы крестоносца!
zts834e	Ищи сейф!
zts835e	Поищи ключ!
zts836e	Доставь сейф и ключ!
zts837e	Выясни что-нибудь о прошлом крестоносца!
zts838e	Победи Архтеридона!
zts839e	Сообщи о том, что тебе удалось победить Архтеридона!
zts840e	Пройди сквозь первые врата, полученные от Джерико, чтобы закончить первое задание.
zts841e	Пройди сквозь вторые врата, чтобы закончить второе задание.
zts842e	Пройди сквозь третьи врата, чтобы закончить последнее задание.
zts843e	Темный мститель
zts844e	Найди фрагменты воспоминаний!
zts845e	Поищи что-нибудь, что связано с фрагментами воспоминаний!
zts846e	Доставь кусочек фрагмента воспоминаний!
zts847e	Передай фрагменты воспоминаний!
zts848e	Поищи подсказки в прошлом!
zts849e	Выплати требуемую сумму!
zts850e	Собери материалы для копья жреца!
zts851e	Доставь незавершенное копье жреца!
zts852e	Заверши копье жреца!
zts853e	Доставь копье жреца!
zts854e	Победи Эшкаруэля Мистикарона!
zts855e	Глацернон
zts856e	Выслушай просьбу Мими!
zts857e	Доставь письмо Мими Ментор!
zts858e	Доставь письмо Бенито Батлеру!
zts859e	Иди в порт и встреться с Лейкой Пассаже.
zts860e	Возвращайся к Энни!
zts861e	Иди к Лейке Пассаже!
zts862e	Иди к Мими Ментор!
zts863e	Сообщи Лейко Пассаж о готовности отправиться в путь!
zts864e	Получи силу защиты, направляйся на Глацернон и получи дальнейшие инструкции от Лейки.
zts865e	Передай рекомендательное письмо Рудину Альбиско!
zts866e	Встреться с Аврелиусом Рошу!
zts867e	Возвращайся к Рудину Альбиско!
zts868e	Собирай информацию!
zts869e	Передай бортовой журнал Рудину Альбиско!
zts870e	Собирай больше информации!
zts871e	Доставь отчет разведки!
zts872e	Передай старую табличку!
zts873e	Собери дополнительную информацию!
zts874e	Выясни, кто предатель!
zts875e	Доставь магическую книгу Мукражу!
zts876e	Направляйся к Рудину Альбиско!
zts877e	Собери 10 бревен плохого качества!
zts878e	Иди к колодцу рядом с Утесом вечерней зари!
zts879e	Заверши пространственно-временной камень в режиме испытания с результатом выше заданного!
zts880e	Исследование лаборатории
zts881e	Ведомый древним духом
zts882e	Заверши пространственно-временной камень.
zts883e	Просьба Деда Мороза
zts884e	Убей монстров, чтобы защитить детей!
zts885e	Сообщи Деду Морозу!
zts933e	Нападение на порт
zts934e	Страж порта в пустыне Мортаз Том просит тебя выяснить причины нападений на порт.
zts935e	Нападение на порт
zts936e	Страж порта Том считает, что можно найти доказательства, если расправиться с монстрами.
zts937e	Страж порта Том просит тебя расправиться со шпионом разбойников пустыни и раздобыть плоды опунции.
zts938e	Страж порта Том просит тебя передать письмо Хамиду, который находится на окраине Нейла.
zts939e	Хамид с окраины Нейла просит тебя уничтожить разбойников пустыни в лагере Нейла.
zts940e	Хамид с окраины Нейла просит тебя отнести предметы, взятые у командира Нейла, стражу порта пустыни Мортаз Тому.
zts941e	Странные происшествия
zts942e	Смотритель маяка Хилтон из порта в пустыне Мортаз просит тебя отправиться к Хамиду на окраину Нейла и следовать его указаниям.
zts943e	Хамид с окраины Нейла просит тебя расправиться с разведчикам разбойников пустыни, которые находятся неподалеку.
zts944e	Хамид с окраины Нейла просит тебя напасть на лагерь Нейла и расправиться с разбойниками пустыни.
zts945e	Хамид с окраины Нейла просит тебя расправиться с командиром Нейла и раздобыть важный патрульный отчет.
zts946e	Хамид с окраины Нейла просит тебя отнести важный патрульный отчет смотрителю маяка Хилтону.
zts947e	Смотритель маяка Хилтон просит тебя передать важный патрульный отчет председателю Ною в лагерь Акамура.
zts948e	Оборона порта
zts949e	Страж порта Том просит тебя отправиться к Хамиду на окраину Нейла и следовать его указаниям.
zts950e	Хамид с окраины Нейла просит тебя украсть опунцию у разбойников пустыни.
zts951e	Хамид с окраины Нейла просит тебя разложить в лагере Нейла ароматные плоды опунции.
zts952e	Хамид с окраины Нейла просит тебя раздобыть у командира лагеря стопку документов с приказами.
zts953e	Хамид с окраины Нейла попросил тебя вернуть на место стопку исправленных приказов.
zts954e	Оборона порта
zts955e	Хамид с окраины Нейла просит тебя кое-что передать стражу порта пустыни Мортаз Тому.
zts956e	Важный помощник
zts957e	Страж порта Том просит тебя освободить ассистента Шейна из лагеря Нейла.
zts958e	Ассистент Шейн в лагере Нейла просит тебя раздобыть для него ключ разбойников пустыни, при помощи которого он сможет снять оковы со своих ног.
zts959e	Ассистент Шейн из лагеря Нейла просит тебя достать у тюремщика ключ разбойников пустыни, чтобы снять оковы со своих ног.
zts960e	Ассистент Шейн из лагеря Нейла просит тебя расправиться с разбойниками пустыни, чтобы он мог спокойно сбежать.
zts961e	Пропавшие товары - часть 1
zts962e	Страж порта Том просит тебя собрать товары торговцев Акамура в окрестностях и принести их назад.
zts963e	Пропавшие товары - часть 2
zts964e	Смотритель маяка Хилтон просит тебя отнести товары Хамиду на окраину Нейла.
zts965e	Пропавшие товары - часть 3
zts966e	Хамид с окраины Нейла просит тебя забрать товары у разбойников пустыни и отнести их стражу порта Тому.
zts967e	Украденные товары - часть 1
zts968e	Смотритель маяка Хилтон из порта в пустыне Мортаз просит тебя расправиться с монстрами в окрестностях и вернуть товары.
zts969e	Украденные товары - часть 2
zts970e	Смотритель маяка Хилтон из порта в пустыне Мортаз просит тебя забрать товары с окраины Нейла и отнеси их Хамиду.
zts971e	Украденные товары - часть 3
zts972e	Хамид с окраины Нейла просит тебя украсть товары у разбойников пустыни и отнести их смотрителю маяка Хилтону.
zts973e	Отыщи украденные товары!
zts974e	Председатель Ной просит тебя отправиться к Хазилю и следовать его указаниям.
zts975e	Хазиль из лагеря Акамура просит тебя расправиться с монстрами в восточном и западном лагерях и собрать товары.
zts976e	Хазиль из лагеря Акамура просит тебя расправиться с разбойниками пустыни в западном лагере и собрать товары.
zts977e	Отыщи украденные товары!
zts978e	Хазиль из лагеря Акамура просит тебя найти потерянный флаг торговцев Акамура.
zts979e	Хазиль из лагеря торговцев Акамура просит тебя вернуть назад товары из лагеря Керуса.
zts980e	Хазиль из лагеря Акамура просит тебя передать отчет Ною.
zts981e	Торговый путь Акамура
zts982e	Хазиль из торговцев Акамура просит тебя расправиться с монстрами в восточном лагере, чтобы можно было снова открыть торговый путь.
zts983e	Хазиль из Акамура просит тебя расправиться с монстрами в западном лагере, чтобы можно было открыть торговый путь в город Орлов.
zts984e	Хазиль из торговцев Акамура просит тебя расправиться с монстрами на окраине Мелки, чтобы снова можно было открыть торговый путь в лагерь торговцев.
zts985e	Хазиль из торговцев Акамура просит тебя расправиться с монстрами на окраине Керуса, чтобы можно было открыть торговый путь, соединяющий лагерь торговцев и город Орлов.
zts986e	Хазиль из лагеря Акамура просит тебя передать отчет Ною.
zts987e	Переговоры с разбойниками пустыни
zts988e	Ной из лагеря Акамура просит тебя провести переговоры с представителем разбойников пустыни. Хазиль подготовит все для переговоров.
zts989e	Хазиль из лагеря Акамура просит тебя передать представителю Марше в лагерь Керуса подготовленный документ.
zts990e	Представитель Марша из лагеря Керуса приказала разбойникам пустыни напасть на искателя приключений.
zts991e	Представитель Марша из лагеря Керуса приказала командиру Керусу напасть на искателя приключений.
zts992e	Представитель Марша говорит, что понял, что хотят ему сказать торговцы Акамура, и просит тебя передать торговцам тайное письмо.
zts993e	Хазиль из лагеря Акамура просит тебя передать его письмо Ною.
zts994e	Освобождение торговца
zts995e	Доставь второй отчет Хазилю!
zts996e	Хазиль из лагеря Акамура просит тебя расправиться с разбойниками пустыни в лагере Мелки, чтобы освободить находящегося там пленного торговца. Помоги пленнику Хамаду и поговори с ним.
zts997e	Пленный торговец Хамад из лагеря Мелки просит тебя расправиться с разбойниками пустыни и раздобыть ключ тюремщика.
zts998e	Пленный торговец Хамад в лагере Мелки просит тебя расправиться с разбойниками пустыни и тем самым помочь ему сбежать. После этого нужно поговорить с Хазилем.
zts999e	Хазиль из лагеря Акамура просит тебя передать отчет о пленном торговце Ною.
zts1000e	Дорога к лагерю Мелки
zts1001e	Хазиль из лагеря Акамура приказал уничтожить монстров в Восточном лагере.
zts1002e	Хазиль из лагеря Акамура приказал уничтожить монстров и разбойников пустыни на окраине Мелки.
zts1003e	Хазиль из лагеря Акамура приказал уничтожить разбойников пустыни и командира Мелки в лагере Мелки.
zts1004e	Хазиль из лагеря Акамура приказал передать отчет Председателю Ною.
zts1005e	Дорога в лагерь Керуса
zts1006e	Хазиль из лагеря Акамура приказал уничтожить монстров в Западном лагере.
zts1007e	Хазиль из лагеря Акамура приказал уничтожить монстров и разбойников пустыни на окраине Керуса.
zts1008e	Хазиль из лагеря Акамура приказал уничтожить разбойников пустыни в Лагере Керуса и командира Мелки в лагере Мелки.
zts1009e	Что задумали разбойники пустыни?
zts1010e	Нефи из лагеря Акамура попросила следовать приказам представителя Семии.
zts1011e	Представитель Семия из штаба Акамура поручила добыть срочное сообщение командира Керуса в лагере Керуса.
zts1012e	Представитель Семия поручила тебе помочь стражу Путрану на окраине Гартона и уничтожить разбойников пустыни. После этого тебе нужно будет следовать указаниями Стража Путрана.
zts1013e	Страж Путран из окрестностей лагеря Гартона просит тебя уничтожить разбойников пустыни.
zts1014e	Страж Путран просит тебя совершить нападение на лагерь Гартона и проследить за перемещениями разбойников пустыни.
zts1015e	Страж Путран просит тебя уничтожить командира Гартона, который находится в лагере Гартона, и достать срочный отчет патруля Б.
zts1016e	Страж Путран из окрестностей лагеря Гартона просит тебя как можно скорее отнести срочный отчет патруля Б представителю Семии в штаб Акамура.
zts1017e	Представитель Семия из штаба Акамура дает тебе срочный отчет командира Керуса и сумочку с небольшим количеством денег, которые тебе нужно отнести Ксавьеру в Зону Хаоса.
zts1018e	Представитель Семия из штаба Акамура просит тебя передать отчет Нефи.
zts1019e	Последние переговоры
zts1020e	Представитель штаба Акамура Семия просит тебя отыскать Велмона в Зоне Хаоса и придумать способ провести переговоры с разбойниками пустыни.
zts1021e	Велмон из Зоны хаоса просит тебя отнести запечатанное письмо представителю Рушалдину в лагерь разбойников.
zts1022e	Представитель Рушалдин просит тебя уничтожить разбойника пустыни, который подслушал ваш разговор.
zts1023e	Представитель Рушалдин из лагеря разбойников просит тебя достать странный медицинский пузырек.
zts1024e	Так как Рушалдин сбежал из лагеря разбойников пустыни, тебе нужно очистить ему путь, чтобы он достиг Зоны Хаоса невредимым.
zts1025e	Представитель Рушалдин просит тебя передать это секретное письмо, содержащее информацию о текущей обстановке в банде разбойников, одному важному человеку среди торговцев Акамура.
zts1026e	Представитель Семия из штаба Акамура просит тебя передать отчет Нефи.
zts1027e	Знай своего врага как самого себя
zts1028e	Нефи из штаба Акамура просит тебя отнести это письмо представителю Семии.
zts1029e	Представитель Семия из штаба Акамура просит тебя передать Велмону из Зоны Хаоса письмо с заглавием "Задание: Знай своего врага как самого себя".
zts1030e	Велмон из Зоны Хаоса просит тебя уничтожить разбойников пустыни и командира Керуса, которые находятся в лагере Керуса. Затем тебе нужно будет проверить странный сундук Керуса.
zts1031e	Отнеси схему разбойников пустыни Велмону в Зону Хаоса!
zts1032e	Велмон из Зоны хаоса просит тебя уничтожить разбойников пустыни и командира Гартона в лагере Гартона, а затем проверить странный сундук Гартона.
zts1033e	В странном сундуке в лагере Гартона ты найдешь схему разбойников пустыни. Отнеси ее Велмону!
zts1034e	Велмон из Зоны Хаоса хочет узнать побольше об этой схеме и поручает тебе спросить об этом Ксавьера.
zts1035e	Полную схему действий разбойников пустыни надо отнести представителю Семии в штаб Акамура.
zts1036e	Избавление от разбойников пустыни
zts1037e	Нефи из штаба Акамура просит тебя передать это письмо с приказом о нападении представителю Семии, а затем следовать ее указаниям.
zts1038e	Семия из штаба Акамура поручает тебе напасть на лагерь разбойников пустыни.
zts1039e	Представитель Семия из штаба Акамура просит тебя отнести Нефи отчет о нападении на лагерь разбойников.
zts1040e	Украденные реликвии
zts1041e	Нефи из штаба Акамура просит тебя передать представителю Семии отчет председателя Ноя о поиске ценных товаров.
zts1042e	Согласно отчету Семии из штаба Акамура, товары находятся в сундуке в лагере Керуса. Найди верхнюю часть реликвии храма Астера!
zts1043e	Представитель штаба Акамура Семия просит тебя найти в лагере Гартона нижнюю часть реликвии храма Астера, которая спрятана где-то в сундуке.
zts1044e	Представительница штаба Акамура Семия просит тебя отыскать среднюю часть реликвии храма Астера, которая спрятана где-то в сундуке в лагере разбойников.
zts1045e	Представитель штаба Акамура Семия просит тебя передать реликвию храма Астера из высшему жрецу Эладину.
zts1046e	Пленный торговец
zts1047e	Возьми эту записку с просьбой о помощи и отправляйся в лагерь разбойников. Отыщи пленника Шарифа, которого держат где-то там!
zts1048e	Пленный Шариф из лагеря разбойников просит тебя отыскать ключ и освободить его.
zts1049e	Пленник Шариф из лагеря разбойников просит тебя освободить его. После этого обо всем надо будет сообщить представителю Семии из штаба Акамура.
zts1050e	Странная реликвия
zts1051e	Реликвию надо отнести представителю Семии, которая находится в городе Орлов.
zts1052e	Представитель Семия просит тебя отнести Нефи в штаб Акамура сумку с реликвией.
zts1053e	Духи дворика Астера
zts1054e	Высший жрец Эладин просит тебя отправиться к жрице Вере и следовать ее указаниям.
zts1055e	Жрица Вера поручает тебе проверить библиотеку в подземелье храма Астера.
zts1056e	Жрица Вера поручает тебе проверку подземных пещер у святилища в подземелье.
zts1057e	Жрица Вера просит тебя проверить молельню в Центре Астера.
zts1058e	Святилище необходимо исследовать. Я думаю, можно отыскать следы событий, произошедших в подземелье храма Астера.
zts1059e	Жрица Вера из храма Астера просит тебя отнести этот отчет высшему жрецу Эладину.
zts1060e	Хаос храма Астера
zts1061e	Жрица Вера из храма Астера просит тебя принести эссенцию духов после того, как ты расправишься с ними в библиотеке.
zts1062e	Жрица Вера из храма Астера просит тебя достать ей эссенцию духов, после того как ты уничтожишь духов в подземных пещерах Храма Астера.
zts1063e	Жрица Вера из храма Астера просит тебя принести ей эссенцию духов, после того как ты уничтожишь духов в молельне храма Астера.
zts1064e	Жрица Вера из храма Астера просит тебя принести ей эссенцию духов, после того как ты уничтожишь духов в главном святилище храма Астера.
zts1065e	Жрица Вера из храма Астера просит тебя отнести высшему жрецу Эладину магическую сумку с эссенцией духов.
zts1066e	Покой духов
zts1067e	Высший жрец Эладин просит тебя сходить в штаб Акамура и проверить список товаров, заказанных некоторое время назад.
zts1068e	Нефи из штаба Акамура думает, что список товаров из храма Астера уже был проверен представителем Семией.
zts1069e	Представитель Семия из штаба Акамура говорит, что товары храма Астера находятся в лагере Гартона.
zts1070e	Представитель Семия из штаба Акамура говорит, что коробки с ароматическими палочками надо отнести высшему жрецу Эладину.
zts1071e	Высший жрец Эладин просит тебя почтить память души жреца, находящейся где-то в храме Астера, с помощью ароматических палочек, которые несут в себе благословение бога солнца.
zts1072e	Жрица Нора, которая находится в подземелье храма Астера, просит тебя поставить благовония на тело мертвого жреца в библиотеке.
zts1073e	Жрица Нора из подземелья храма Астера просит тебя поставить благовония на тело мертвого жреца.
zts1074e	Жрица Нора из подземелья Храма Астера просит тебя поставить благовония на тело мертвого жреца в молельне.
zts1075e	Жрица Нора из подземелья Храма Астера просит тебя поставить благовония на тело кладоискателя в молельне.
zts1076e	Жрица Нора просит тебя передать письмо мертвеца кому-нибудь, кто сможет его прочесть.
zts1077e	Отнеси письмо разъяренного мертвеца высшему жрецу Эладину. Он сможет больше рассказать о его содержании.
zts1078e	Разбитая реликвия
zts1079e	Отнеси высшему жрецу Эладину разбитую реликвию Гренигаса!
zts1080e	Высший жрец Эладин из храма Астера просит тебя отыскать разбитую реликвию Гренигаса и отнести ее жрице Вере.
zts1081e	Жрица Вера из храма Астера просит тебя отыскать в подземелье храма Астера разбитую реликвию Гренигаса.
zts1082e	Жрица Вера из храма Астера просит тебя поискать реликвию Гренигаса в священном подземелье храма Астера.
zts1083e	Жрица Вера просит из храма Астера тебя поискать реликвию Гренигаса в главном святилище Центра Астера.
zts1084e	Пропавший кладоискатель
zts1085e	Риана из лагеря искателей просит тебя отыскать пропавшего исследователя.
zts1086e	Серена из лагеря искателей просит тебя поискать в лагере Гартона отчет разбойников пустыни о храмовой площади.
zts1087e	Серена из лагеря искателей просит тебя достать отчет разбойников пустыни о храмовой площади, который находится у они хранят где-то по дороге к храму. После этого тебе надо будет отыскать на храмовой площади пропавших исследователей.
zts1088e	Михоль из храмовой площади просит тебя выиграть им еще немного времени, чтобы он мог обработать раны исследователя!
zts1089e	Михоль из храмовой площади просит тебя вернуть фрагмент каменной доски, который украли монстры.
zts1090e	Михоль с Храмовой площади просит тебя отнести Серене в лагерь искателей исследованные предметы.
zts1091e	Серена из лагеря искателей просит тебя передать отчет Михоля Риане.
zts1092e	Храмовая площадь
zts1093e	Михоль с Храмовой площади просит тебя уничтожить всех монстров в окрестностях, чтобы можно было спокойно продолжить исследования.
zts1094e	Михоль из Храмовой площади просит тебя уничтожить всех монстров в окрестностях, чтобы можно было спокойно продолжить исследования.
zts1095e	Михоль с храмовой площади просит тебя уничтожить монстров в Особом регионе В, чтобы можно было продолжить исследования.
zts1096e	Михоль с храмовой площади просит тебя отыскать утерянный одним из исследователей отчет с дополнительной информацией о храмовой площади.
zts1097e	Михоль попросил тебя отнести Серене в лагерь искателей отчет о текущей ситуации на храмовой площади.
zts1098e	Серена из лагеря искателей просит тебя отнести Риане короткий отчет об исследованиях.
zts1099e	Истинная сторона Храмовой площади
zts1100e	Михоль с храмовой площади просит тебя достать первую плиту с надписью.
zts1101e	Михоль с храмовой площади просит тебя достать вторую плиту с надписью.
zts1102e	Михоль с храмовой площади просит тебя достать третью плиту с надписью.
zts1103e	Михоль с Храмовой площади просит тебя забрать у монстров разбитые плиты с надписями.
zts1104e	Михоль с Храмовой площади просит тебя отнести Серене в лагерь искателей коробку с разбитыми плитами.
zts1105e	Серена из лагеря искателей просит тебя передать Риане этот краткий отчет.
zts1106e	Страж храма Рашида
zts1107e	Михоль с Храмовой площади просит тебя уничтожить всех монстров в библиотеке, чтобы можно было спокойно продолжить исследования в подземелье Храма Рашида.
zts1108e	Михоль с Храмовой площади просит тебя  уничтожить всех монстров в подземных пещерах, чтобы можно было продолжить исследования в Храме Рашида.
zts1109e	Михоль с Храмовой площади просит тебя уничтожить всех монстров в молельне, чтобы можно было спокойно продолжить исследования в подземелье Храма Рашида.
zts1110e	Михоль с Храмовой площади просит тебя уничтожить всех монстров в подземном святилище, чтобы можно было продолжить исследования в подземелье Храма Рашида.
zts1111e	Михоль с храмовой площади храма просит тебя отнести Серене в лагерь искателей его отчет о страже храма Рашида.
zts1112e	Серена из лагеря искателей просит тебя передать Риане этот краткий отчет о страже храма Рашида.
zts1113e	Реликвия Храма Рашида
zts1114e	Михоль с храмовой площади храма попросил тебя отыскать разбитую реликвию в подземелье Рашида. Не забудь проверить библиотеку.
zts1115e	Михоль с храмовой площади попросил тебя найти в подземелье Рашида разбитую реликвию. Не забудь заглянуть в подземные пещеры.
zts1116e	Михоль с храмовой площади попросил тебя отыскать в центре Рашида разбитую реликвию. Обязательно проверь молельню.
