zts1e	Özel saldýrý
zts549e	%s mesafesinde gücümüzle [%s] daðýtýyoruz
zts550e	%s mesafesinde düþmanlarýmýza [%s] daðýtýyoruz
zts551e	Görev
zts552e	Görev izleyeci
zts553e	Kurallara baðlý olarak yaratýk çaðýrýmý yapar.
zts554e	Yüzde restorasyon ve hasar
zts555e	Yüzde hasar
zts556e	Düþmanýn YP'si %%%s azaltýlýr.
zts557e	Hasar ile birlikte YP %s%% azaldý
zts558e	Durumu dönüþtürür
zts559e	[%s]   [%s] e dönüþür
zts560e	Ödenmiþ eþya
zts561e	Parþömenin gücü verildi
zts562e	Altýný yükseltir
zts563e	Altýn kazanýmý oraný %s%% arttý
zts564e	Maksimum YP deðiþtirir % (Sadece güçlendirici kullanýr)
zts565e	Maksimum BP deðiþtirir %( Sadece güçlendirici kullanýr)
zts566e	Maksimum YP %s%%  yükselir
zts567e	Maksimum YP %s%% azalýr
zts568e	Maksimum BP %s%% yükselir
zts569e	Maksimum BP %s%% azalýr
zts570e	Bütün savunma deðerlerini %s%% yükseltir
zts571e	Ýkinci özel liste
zts572e	Bomba koy
zts573e	Bomba ateþle
zts574e	Saldýrý esnasýnda patlayýcý yerleþtir.
zts575e	Etrafý yok etmek
zts576e	Bir bomba çaðýrýr. Tekrar etkinleþtirildiðinde bomba patlar.
zts577e	3 ateþ mayýný çaðýrýr.
zts578e	Kutsal nefes
zts579e	Saldýranýn üstüne güçlendirici  büyü uygular
zts580e	Iþýk elementi kullanmayan düþmanlarýn özelliklerini azaltýr
zts581e	Yüzde %s%% olasýlýkla düþmana [%s] ile saldýrýn
zts582e	Uzmanlýk kartýnýn geliþtirilmesi
zts583e	Düþük UK Koruma Parþömeni
zts584e	Yüksek UK Koruma Parþömeni
zts585e	Düþük UK koruma parþömenini kullan.
zts586e	Yüksek UK koruma parþömenini kullan.
zts587e	Büyük kardan adam
zts588e	Soðuk 1
zts589e	Soðuk 2
zts590e	Bir kar fýrtýnasý.Ayaktaki bütün oyuncular  %99 a kadar hasar alýrlar.
zts591e	Bir deprem.Bütün oturan oyuncular %99  hasar alýrlar.
zts592e	Emmek
zts593e	Emmeyi  hedefle
zts594e	YP emme
zts595e	Rakip üzerine emmeyi uygula
zts596e	Rakip YP deðeri %s azalýr ve oyuncunun YP deðeri ayný deðerde yükselir.
zts597e	Þef saldýrýsý
zts598e	Load. Morcos
zts599e	Oyuncuya %s%% hasar verir , senden %s hücre birimden fazla  uzakta olan oyuncuya.
zts600e	Þuur ve BP olasýlýðý kaybediliyor
zts601e	Kalan BP deðerini  belirli bir olasýlýk ile kaybet
zts602e	Bu bölümü kullanma
zts603e	%s%% olasýlýk ile   kalan BP deðerinden %s%% yoketmek.
zts604e	Uzmanlaþmak ve cazibe direnci
zts605e	Cazibe direnci
zts606e	PvP uzmanlýðý
zts607e	Belirli bir seviye altýndaki cazibeyi etkisiz kýl.
zts608e	Þu efekte karþý %%%s direnç: %s ve daha düþük.
zts609e	PvP esnasýnda %s ekstra hasar
zts610e	PvP esnasýnda %s hasar azalýr
zts611e	%s%% olasýlýk ile  Svy. %s altýndaki kötü efektleri kaldýr
zts612e	Patlama %s çevrendeki bloklara  %s%% hasar verdi
zts613e	Lord Hatus
zts614e	Ejderha kafasý saldýrýsý
zts615e	Belirli yerlerde bulunan oyunculara %s%% hasar verir
zts616e	Lord Calvinas
zts617e	Yýlan çaðýr
zts618e	Uzman SE
zts619e	Kalkan enerjisi
zts620e	Cazibenin yayýlýmý
zts621e	Aura hareketi
zts622e	Yaþam ve ölüm
zts623e	Cazibe miktarý ve Zarar miktarýný yaz (1/1000).
zts624e	Cazibe sayýsýný yaz.
zts625e	Aura hareketlendirilmesi sayesinde bu auranýn çevreyede etkisi olur.
zts626e	Hiçbir girdi yapmana gerek yok.
zts627e	Ne kadar az yaþam puanýn varsa , efekt o kadar güçlü olur.
zts628e	4. Glacernon Aile-Akýný
zts629e	4. Glacernon Yeteneði
zts630e	%s hücre uzaklýðýndaki sahada bulunan rakipler, %s%% oranýnda hasara uðruyor.
zts631e	%s hücre uzaklýðýndaki sahada bulunan rakipler, %s%% oranýnda yüksek hasara uðruyor.
zts632e	Büyülü canavarýn saldýrýsý
zts633e	Büyülü canavarý yok et
zts634e	[%s] isimli kiþiye %s%% oranýnda aðýr zarar veriyorsun.
zts638e	Maksimum YP'yi, %s%% yükseltir, ama 5000'den fazla deðil.
zts639e	Maksimum YP'yi, %s%% düþürür, ama 5000'den fazla deðil.
zts651e	Speed Booster, hýzýný artýracak.
zts652e	Hýzýn, kýsa süreliðine en yüksek düzeye çýkarýlacak.
zts657e	Rom fýçýsýna saklan
zts663e	%%%s olasýlýkla 1 [%s] çaðýrýr.
zts664e	%%%s olasýlýkla 1 [%s] çaðýrýr. (belli bir süre sonra kaybolur)
zts668e	Yakýndaki rakiplerin dikkatini senin üzerine çeker.
zts671e	Toplam saldýrý gücü %%%s oranýnda yükseldi.
zts672e	Toplam saldýrý gücü %%%s oranýnda azaldý.
zts673e	Toplam savunma gücü %%%s oranýnda yükseldi.
zts674e	Toplam savunma gücü %%%s oranýnda azaldý.
zts675e	Maksimum SP'yi deðiþtirir. (Ayý Ruhu)
zts676e	Maksimum BP %s%% artar, ancak 5000 BP'den fazla deðil.
zts677e	Maksimum BP %s%% düþer, ancak 5000 BP'den fazla deðil.
zts678e	Tüm rakiplerin yeteneklerini azaltýr.
zts685e	Alýnan en yüksek hasarýn yansýmasý %s.
zts686e	Tüm saldýrýlarýn hasarlarý %s%% ihtimalle %s%% yükselir. Eðer savunma baþarýlý sonuçlanýrsa enerji yüklenir.
zts687e	Tüm saldýrý hasarlarý %s%% ihtimalle %s%% düþer. Eðer savunma baþarýlý sonuçlanýrsa enerji yüklenir.
zts688e	Rakibi bu yetenekle yenmeyi baþarabildiysen, %s%% ihtimalle [%s] kullanýlacaktýr.
zts689e	Eðer yere serilen bir rakiple dalga geçersen, %s%% ihtimalle [%s] kullanacaktýr.
zts690e	Normal durumda bulunan bir rakiple dalga geçersen %s%% ihtimalle [%s] kullanacaktýr.
zts691e	Rakibin kötü bir efektini belirli bir ihtimalle geri yansýtýr.
zts694e	Saldýrý yarýçapý %s arttý.
zts695e	Ateþ topunun saldýrý menzili %s düþtü.
zts696e	Rakibin %s blokundan sýyrýl.
zts699e	Vulkano'nun alevli yetenekleri %s artar.
zts700e	Vulkano'nun alevli yetenekleri %s düþer.
zts704e	Rakibin saldýrýsýný güçlendiren bufflarýn etkisini düþürür.
zts705e	Rakibin saldýrýsýndan geri çekilmeyi baþarýrsan buff belirli bir ihtimalle yükselir.
zts706e	%s kritik hasara karþý savun.
zts713e	Eriþim alanýndaki oyuncu arkadaþýnýn alacaðý hasarýn %%%s kadarýný azaltýr. Onun yerine oyuncu arkadaþýnýn %%%s hasarýný alýrsýn.
zts714e	Oyuncu arkadaþtan geçen hasarý %%%s artýrýr.
zts715e	Oyuncu arkadaþtan geçen hasarý %%%s azaltýr.
zts716e	YP restorasyon gücü %%%s arttý.
zts717e	YP restorasyon gücü %%%s azaldý.
zts718e	Yetenek kombosuyla ek olarak alýnan hasar: %%%s
zts728e	Feda olma, %%%s bir olasýlýkla [%s] saðlar.
zts732e	Belirlenmiþ yerde %%%s bir olasýlýkla [%s] saðlar.
zts733e	Belirlenmiþ yerde %%%s bir olasýlýkla [%s] ortadan kaldýrýlýr.
zts734e	Hiçbir iz býrakmadan kýsa bir süre kaybolur.
zts741e	%%%s olasýlýkla hasar almazsýn. Ayrýca aslýnda alman gereken hasarýn %%%s kadarý YP'ne eklenir.
zts742e	%%%s olasýlýkla hasar almazsýn. Bunun yerine aslýnda alman gereken hasarýn %%%s kadarý YP'nden kesilir.
zts745e	Zarar becerinin kullanýmýyla %%%s oranýnda arttý [%s].
zts746e	Zarar becerinin kullanýmýyla %%%s oranýnda düþtü [%s].
zts747e	Kritik isabet þansý becerinin kullanýmýyla %%%s oranýnda arttý [%s].
zts748e	Kritik isabet þansý becerinin kullanýmýyla %%%s oranýnda düþtü [%s].
zts752e	%s hasarýný %%%s oranýnda artýrýr.
zts753e	%s bir oyuncuya saldýrdýðýnda hasar %%%s oranýnda düþer.
zts754e	Yenileme eþyasýnýn etkisi %%%s artar.
zts755e	Yenileme eþyasýnýn etkisi %%%s düþer.
zts757e	Leona, partner uzmanlýk kartýný taþýrsa, %%%s kadar bir olasýlýkla [%s] oluþturulur.
zts758e	Leona, partner uzmanlýk kartýný taþýrsa, %%%s kadar bir olasýlýkla [%s] silinir.
zts764e	Rakibe doðrudan pusudan saldýr.
zts765e	Düþman, bir kartal tarafýndan takibe alýnýr, avlanýr ve havadan da saldýrýya uðrayabilir.
zts766e	Kartalýn keskin zekasýyla ortaya çýkarýlan en az YP'li rakibe saldýrýlýr. Ardýndan bu oyuncu iþaretlenir ve baþkalarý tarafýndan rahatça saldýrýya uðrayabilir.
zts767e	PvP'deki savunma gücü yükseldi.
zts768e	PvP esnasýnda alýnan hasarý %%%s düþürür.
zts769e	PvP'deki savunma gücü %%%s azaldý.
zts776e	Düþmanýn kalan YP'si %%%s yenilenir.
zts777e	Düþmanýn kalan YP'si %%%s azaltýlýr.
zts778e	%s kere kullanýldýðýnda, [%s] saðlar ama en fazla seviye 2'ye çýkabilir.
zts779e	Saldýrý menzili %s kadar arttý.
zts780e	Saldýrý menzili %s kadar azaldý.
zts781e	Oyuncunun isteði dýþýnda %s saniyeliðine baþka bir istikamete doðru hareket ettirir.
zts782e	Pusudan %%%s bir olasýlýkla [%s] saðlanýr.
zts787e	Bir pusucu saldýrýsýndan sonra %%%s bir olasýlýkla [%s] saðlar.
zts788e	Bir pusucu saldýrýsýndan sonra %%%s bir olasýlýkla [%s] kaldýrýlýr.
zts789e	Pusudan saldýrý menzili %s kadar arttý.
zts790e	Pusu saldýrýsýndan sonra %%%s bir olasýlýkla [%s] saðlar.
zts793e	Beden hakimiyeti tamamen kaybedilir. Baþka oyuncular seni ebedi buzdan kurtarabilir.
zts794e	Kýsa süreli meditasyon %%%s bir olasýlýkla [%s] saðlar.
zts795e	Normal süreli meditasyon %%%s bir olasýlýkla [%s] saðlar.
zts796e	Uzun süreli meditasyon %%%s bir olasýlýkla [%s] saðlar.
zts799e	%%%s olasýlýkla bir pusucu saldýrýsýyla kritik isabet alýrsýn.
zts808e	%%%s bir olasýlýkla %s geri geri gidilir.
zts810e	Rakibi %%%s bir olasýlýkla %s alan geri iter.
zts811e	Yakýn saldýrýnýn kullaným süresi %s arttý.
zts812e	Yakýn saldýrýnýn kullaným süresi %s azaldý.
zts813e	Uzaktan saldýrýnýn kullaným süresi %s arttý.
zts814e	Uzaktan saldýrýnýn kullaným süresi %s azaldý.
zts815e	Sihirli saldýrýnýn kullaným süresi %s arttý.
zts816e	Sihirli saldýrýnýn kullaným süresi %s azaldý.
zts817e	Baþka bir oyuncu seni öldürüldüðünde, o oyuncunun YP'si eksik olan YP'sinin %%%s miktarý kadar azalýr.
zts818e	Baþka bir oyuncu seni öldürdüðünde, o oyuncunun YP'si eksik olan YP'sinin %%%s miktarý kadar artar.
zts819e	PvP'de saldýrý gücünü yükseltir.
zts820e	PvP'de saldýrý gücünü %%%s yükseltir.
zts821e	PvP'de saldýrý gücünü %%%s azaltýr.
zts823e	Seçili yere ýþýnlar.
zts827e	%%%s olasýlýkla 1 [%s] çaðýrýr.
zts828e	%%%s YP'ni restore eder
zts829e	%s%% YP'ni azaltýr
zts831e	Koyun avlayabilir.
zts832e	Takým Arenasý Güçlendiricisi
zts833e	Takým Arenasý Savunma Gücü
zts834e	Takým Arenasý Saldýrý Gücü
zts835e	%s%% ihtimalle takým arenasýnda edinilen hasar %s%% oranýnda artýyor.
zts836e	%s%% ihtimalle takým arenasýnda edinilen hasar %s%% oranýnda azalýyor.
zts837e	%s%% ihtimalle takým arenasýnda saldýrý esnasýnda saldýrý gücü %s%% oranýnda artýyor.
zts838e	%s%% ihtimalle takým arenasýnda saldýrý esnasýnda saldýrý gücü %s%% oranýnda azalýyor.
zts840e	1 Numarayý ara
zts841e	2 Numarayý ara
zts842e	3 Numarayý ara
zts843e	Seyirci görüþü
zts844e	1. katýlýmcýyý ara
zts845e	2. katýlýmcýyý ara
zts846e	3. katýlýmcýyý ara
zts847e	Kendi görüþünden savaþan katýlýmcýya dönüþ.
zts849e	Þimdi yakýnýnda saklanmýþ karakterleri görebilirsin.
zts850e	Perinin tecrübe puanlarýnda artýþ
zts851e	Perinin tecrübe puanlarýný %%%s artýrýr.
zts853e	Meþe palamudunu mümkün olduðu kadar sert atar.
zts860e	%%%s baþarý oranýyla %s oranýna kadar Karanlýk Güç çaðrýlýr.
zts861e	%%%s oranýnda bir olasýlýkla YP yenileyen efektler hasara dönüþtürülür.
zts862e	Düþmanýn hasarýný %%%s baþarý oranýyla bir þifa efektine dönüþtürür. Yenilenen YP ve toplanan zarar %s saniye sonra kaybolur.
zts863e	Rakibin becerisinin soðuma süresi, %%%s bir baþarý oranýyla, %%%s uzatýlýr. Beceri baþarýlý olursa, kendi becerinin soðuma süresi kýsalýr.
zts864e	Gölge Perisi sana eþlik ettiði sürece %%%s olasýlýkla gölge elementiyle alýnan hasar %%%s artar.
zts865e	%%%s bir baþarý oranýyla gölge elementiyle alýnan zarar %%%s azalýr.
zts869e	Emilmiþ ruh varsa, %%%s bir baþarý oranýyla [%s] uygulanýr.
zts870e	Emilmiþ ruh yoksa, %%%s bir baþarý oranýyla [%s] uygulanýr.
zts871e	Ýstenmeyen harekete %%%s bir olasýlýkla karþý koyulur.
zts873e	Büyü becerilerinin tekrar kullaným süresi %%%s arttý.
zts874e	Büyü becerilerinin tekrar kullaným süresi %%%s azaldý.
zts877e	Görüþ alanýndaki bütün düþmanlara saldýrýr. Belli bir yer dýþýnda.
zts878e	Rakibin %%%s YP'sini, %%%s ihtimalle azaltýr.
zts879e	Verilen hasarýn %%%s YP'si, %%%s ihtimalle azaldý.
zts883e	Görüþ mesafesindeki bir dikenli çalýyý çaðýrýr.
zts884e	Hedefi dönüþtürür.
zts886e	%%%s bir olasýlýkla seviye %s altýnda iyi efekt uygulanamaz.
zts890e	Hemen %s alan ileri ýþýnlar.
zts891e	On göktaþý ve %s adet daha yaðdýrýr.
zts892e	Seni ve %s üyeyi kayýtlý yere ýþýnlar.
zts894e	Öfke yüzünden yalnýzca normal bir saldýrý yapabilecek durumda.
zts895e	5 hane içerisindeki rakiplerin dikkatini senin üzerine çeker.
zts900e	%%%s ihtimalle hedefin savunmasý %%%s yok sayýlýr.
zts901e	%%%s ihtimalle alýnan kritik hasar %%%s düþer.
zts904e	Kahramana dönüþüm. Maksimum MP'nin yüzdeleri deðiþir.
zts905e	Ancelloan'ýn ortaya çýkýþý. Maksimum YP ve MP'yi %%%s artýrýr.
zts906e	Ancelloan'ýn ortaya çýkýþý. Maksimum YP ve MP'yi %%%s azaltýr.
zts908e	Ek saldýrý gerçekleþtirebilmek için, saldýrý sýrasýnda %%%s olasýlýkla bir gölge klonu çaðrýlýr.
zts909e	Efekt Çalma
zts910e	Baþarýlý bir saldýrýda %s seviyesinin altýnda iyi bir efekt hedeften çalýnýr. En fazla %s efekt.
zts912e	Saldýrý baþarýlý olduðunda hedef partnerin seviye %s altýndaki iyi efektleri 3 alan içinde müttefiklere aktarýlýr. En fazla %s efekt çalýnabilir.
zts913e	Dönüþümün iptali
zts914e	Dönüþüm %s%% ihtimalle iptal edilir. Etki kaybolduðunda önceki duruma geri döner.
zts916e	%s saniye boyunca saldýramaz.
zts917e	Dönüþüm %%%s olasýlýkla iptal edilir. Ýptal etme iþlemi baþarýlý olursa %s saniye boyunca saldýrý düzenlenemez. Hedef önceki durumuna döner.
zts919e	Yer Deðiþikliði
zts920e	Hedefle yer deðiþtirir. Etkisi bittiðinde karakter önceki yerine geri döner.
zts923e	Öldüðünde kaybettiðin itibar puanýnýn miktarý %%%s artar.
zts924e	Öldüðünde kaybettiðin itibar puanýnýn miktarý %%%s azalýr.
zts925e	Öldüðünde kaybettiðin kahramanlýk seviyesi puanýnýn miktarý %%%s artar.
zts926e	Öldüðünde kaybettiðin kahramanlýk seviyesi puanýnýn miktarý %%%s azalýr.
zts928e	Ceza infaz edilecek, ölüm seni bekliyor.
zts931e	Melek fraksiyonu oyuncularýna karþý hasarý %%%s artýrýr.
zts932e	Meleklere saldýrdýðýnda maksimum hasarýn düþerek %s%% olur.
zts933e	Ýblis fraksiyonu oyuncularýna karþý hasarý %%%s artýrýr.
zts934e	Ýblislere saldýrdýðýnda maksimum hasarýn düþerek %s%% olur.
zts937e	Kullanýlan saldýrý becerisinin soðuma süresi %%%s ihtimalle sýfýrlanýr.
zts938e	[%s] %%%s ihtimalle 5 alan içinde ittifaktan çýkarýlacak.
zts939e	[%s] %%%s ihtimalle 5 alan içinde ittifaktan çýkarýlacak.
zts940e	%%%s olasýlýkla %s altý iyi efektler silinir.
zts942e	Canavar karakterle ayný veya daha yüksek savaþ seviyesine sahipse hasar %%%s olasýlýkla %%%s yükselir.
zts943e	Canavarýn seviyesi karakterin seviyesinden daha yüksekse hasar %%%s olasýlýkla %%%s düþer.
zts945e	%s. seviyenin altýndaki %s kötü efekti engeller.
zts947e	Sen gizlenmiþ durumdayken hareket hýzý %s artar.
zts948e	Sen gizlenmiþ durumdayken hareket hýzý %s düþer.
zts955e	Kazanýlan þöhret %s%% arttý.
zts956e	Kazanýlan þöhret %s%% azaldý.
zts957e	Kazanýlan kahramanlýk deneyimi %s%% arttý.
zts958e	Kazanýlan kahramanlýk deneyimi %s%% arttý.
zts959e	Sana eþlik edilirken her zaman %s saat sonra %s bilinmeyen eþyalar elde edebilirsin.
zts960e	Rakipten bir güçlendirme buffu kaldýrma þansý %s%%.
zts961e	Hortlak büyüsüyle bir kemik ejderha yaratýr ve kullanýcýya "ejderhanýn yaþam gücünü" verir.
zts962e	Hortlak büyüsüyle bir kemik ejderha yaratýr ve kullanýcýya "güçlü ejderhanýn yaþam gücünü" verir.
zts970e	Gizlenmiþ düþmanlara karþý saldýrý %s ekstra hasar verir.
zts972e	Gizlenmiþ düþmanlardan gelen hasar %%%s yükselir.
zts973e	Gizlenmiþ düþmanlardan gelen hasar %%%s düþer.
zts974e	Çevredeki %s alanda bulunan gizlenmiþ düþmanlarý bulur.
zts977e	Mini Ülke'ye geri dön ve %%%s YP yenile. Maksimum HP'ye sahipsen ekstra %%%s YP alýrsýn.
zts980e	Beceriyi soðuma süresiz %s kez kullanabilir.
zts985e	Dönüþür ve alevli saldýrýlar gerçekleþtirebilmeni saðlayan ejderha konumuna geçer.
zts986e	Dönüþür ve haetae konumuna geçip canavarýn gücüyle saldýrýlar gerçekleþtirebilmeni saðlar.
zts987e	%%%s olasýlýkla [%s] becerisinin soðuma süresini baþlatýr.
zts988e	%%%s olasýlýkla [%s] becerisinin soðuma süresini baþlatýr.
zts991e	Alýnan dövüþ ve meslek tecrübesi puanlarý %%%s yükseldi.
zts993e	Büyü veya uzak saldýrý becerileri kullandýðýnda %%%s olasýlýkla büyülü bir ok fýrlatýrsýn.
zts997e	%%%s olasýlýkla ateþ saldýrý hasarýný %%%s yükseltir.
zts998e	%%%s olasýlýkla ateþ saldýrý hasarýný %%%s düþürür.
zts999e	Sana eþlik ediyorken mühürlü mahfazada bulunan canavarlara %%%s daha fazla hasar ve Ölüler Ülkesi'ndeki canavarlara %%%s daha fazla hasar verir.
zts1000e	Sana eþlik ediyorken mühürlü mahfazada bulunan canavarlara %%%s daha düþük hasar ve Ölüler Ülkesi'ndeki canavarlara %%%s daha düþük hasar verir.
zts1002e	Sýyrýlma adýmý
zts1003e	Aydýnlanma
zts1004e	Ay ýþýðý serumu
zts1005e	Çiçek duruþu
zts1006e	Ayýn izleri
zts1007e	Saldýrýlardan sýyrýlýrsýn ve %%%s olasýlýkla %s oluþturursun.
zts1008e	Aydýnlanma etkinken bir güçlendirici becerisi kullandýðýnda ekstra efektler alýrsýn.
zts1010e	Dolunay becerileri kullanabilirsin.
zts1012e	Lotus çiçeði becerileri kullanabilirsin.
zts1014e	Ýzlerle rakibine vereceðin bir sonraki hasar %%%s yükselir ve ayýn izlerini harcar.
zts1015e	Rakibin vereceði bir sonraki hasar %%%s düþer ve ayýn izlerini harcar.
zts1016e	Mühürlü mahfaza canavarlarýna karþý %%%s daha yüksek hasar ve Ölüler Ülkesi'ndeki canavarlara karþý %%%s daha yüksek hasar.
zts1017e	Mühürlü mahfaza canavarlarýna karþý %%%s daha düþük hasar ve Ölüler Ülkesi'ndeki canavarlara karþý %%%s daha düþük hasar.
zts1019e	Direniþ
zts1020e	Saldýrý imkaný
zts1021e	Dolunayýn izleri
zts1022e	Dolunay gücüyle baðlý
zts1023e	Saldýrýya uðradýðýnda %%%s olasýlýkla %s meydana getirirsin.
zts1024e	Bir saldýrý becerisini kullandýktan sonra ekstra bir saldýrý imkaný þansý elde edebilirsin.
zts1025e	Ýzlerle iþaretli rakibine vereceðin bir sonraki hasar %%%s yükselir ve dolunayýn izlerini harcar.
zts1026e	"Ay ýþýðý gücüyle baðlý" efekti rakibe etki ettiðinde "dolunay gücüyle baðlý" meydana gelir.
zts1027e	Elementin yüzdelik deðerini deðiþtirir.
zts1028e	Ateþ elementinin yüzdelik deðerini deðiþtirir.
zts1029e	Su elementinin yüzdelik deðerini deðiþtirir.
zts1030e	Iþýk elementinin yüzdelik deðerini deðiþtirir.
zts1031e	Gölge elementinin yüzdelik deðerini deðiþtirir.
zts1032e	Tüm elementlerinin yüzdelik deðerlerini deðiþtirir.
zts1033e	Ateþ elementi bonus hasarý %%%s artar.
zts1034e	Ateþ elementi %%%s düþtü.
zts1035e	Su elementi %%%s arttý.
zts1036e	Su elementi %%%s düþtü.
zts1037e	Iþýk elementi %%%s arttý.
zts1038e	Iþýk elementi %%%s düþtü.
zts1039e	Gölge elementi %%%s arttý.
zts1040e	Gölge elementi %%%s düþtü.
zts1041e	Tüm elementler %%%s arttý.
zts1042e	Tüm elementler %%%s düþtü.
zts1043e	Element direncinin yüzdelik deðerini deðiþtirir.
zts1044e	Tüm dirençlerin yüzdelik deðerlerini deðiþtirir.
zts1045e	Ateþ direncinin yüzdelik deðerini deðiþtirir.
zts1046e	Su direncinin yüzdelik deðerini deðiþtirir.
zts1047e	Iþýk direncinin yüzdelik deðerini deðiþtirir.
zts1048e	Gölge direncinin yüzdelik deðerini deðiþtirir.
zts1049e	Tüm element dirençleri %%%s arttý.
zts1050e	Tüm element dirençleri %%%s düþtü.
zts1051e	Ateþ direnci %%%s arttý.
zts1052e	Ateþ direnci %%%s düþtü.
zts1053e	Su direnci %%%s arttý.
zts1054e	Su direnci %%%s düþtü.
zts1055e	Iþýk direnci %%%s arttý.
zts1056e	Iþýk direnci %%%s düþtü.
zts1057e	Gölge direnci %%%s arttý.
zts1058e	Gölge direnci %%%s düþtü.
zts1060e	Düþürülmüþ olan bir eþya belli bir olasýlýkla yeniden düþürülür. Bu etki sadece düþürülen eþya bir oyuncuya atandýðýnda iþler, grupta paylaþýldýðýnda iþlemez.
zts1061e	Avlanan bir canavar bir eþya düþürdüðünde %%%s olasýlýkla ayný eþyayý yeniden düþürür. Bu etki sadece düþürülen eþya bir oyuncuya atandýðýnda iþler, grupta paylaþýldýðýnda iþlemez.
zts1064e	Kuþanýlmýþ perinin elementini %s yükseltir.
zts1065e	Kuþanýlmýþ bir perinin elementi %s düþer.
zts1070e	Rakip (þu anki YP/maksimum YP*%%%s) olasýlýkla [%s] efektini alýr.
zts1071e	Rakip (kaybedilmiþ YP/maksimum YP*%%%s) olasýlýkla [%s] efektini alýr.
zts1072e	Saldýrý baþarýlý olursa %s Mut puaný alýrsýn.
zts1073e	Blokla etkinken saldýrýya uðradýðýnda %s Mut puan alýrsýn.
zts1074e	Mut becerileri kullanabilirsin.
zts1075e	Rakip tarafýndan verilen hasar bu efekti sonlandýrýr.
zts1078e	PvP saldýrý gücü Gökkuþaðý savaþý sýrasýnda %%%s daha yüksektir. Hareket hýzý Gökkuþaðý savaþý sýrasýnda %s daha yüksektir.
zts1079e	PvP saldýrý gücü Gökkuþaðý savaþý sýrasýnda %%%s daha düþüktür. Hareket hýzý Gökkuþaðý savaþý sýrasýnda %s daha düþüktür.
zts1086e	%%%s olasýlýkla tüm element hasarý %%%s yükselir.
zts1087e	%%%s olasýlýkla tüm element hasarý %%%s düþer.
zts1088e	%%%s olasýlýkla tüm ateþ saldýrý hasarý %%%s yükselir.
zts1089e	%%%s olasýlýkla tüm ateþ saldýrý hasarý %%%s düþer.
zts1090e	%%%s olasýlýkla tüm su saldýrý hasarý %%%s yükselir.
zts1091e	%%%s olasýlýkla tüm su saldýrý hasarý %%%s düþer.
zts1092e	%%%s olasýlýkla tüm ýþýk saldýrý hasarý %%%s yükselir.
zts1093e	%%%s olasýlýkla tüm ýþýk saldýrý hasarý %%%s düþer.
zts1094e	%%%s olasýlýkla tüm gölge saldýrý hasarý %%%s yükselir.
zts1095e	%%%s olasýlýkla tüm gölge saldýrý hasarý %%%s düþer.
zts1102e	Düþük seviyeli bitkilere verilen hasar %%%s yükseldi.
zts1103e	Düþük seviyeli bitkilere verilen hasar %%%s düþtü.
zts1104e	Düþük seviyeli hayvanlara verilen hasar %%%s yükseldi.
zts1105e	Düþük seviyeli hayvanlara verilen hasar %%%s düþtü.
zts1106e	Düþük seviyeli canavarlara verilen hasar %%%s yükseldi.
zts1107e	Düþük seviyeli canavarlara verilen hasar %%%s düþtü.
zts1108e	Kovoltlara karþý hasar %%%s yükseldi.
zts1109e	Kovoltlara karþý hasar %%%s düþtü.
zts1110e	Catsylere karþý hasar %%%s yükseldi.
zts1111e	Catsylere karþý hasar %%%s düþtü.
zts1116e	Düþük seviyeli ruhlara karþý hasar %%%s düþtü.
zts1117e	Meleklere karþý hasar %%%s yükseldi.
zts1118e	Meleklere karþý hasar %%%s düþtü.
zts1119e	Ýblislere karþý hasar %%%s yükseldi.
zts1120e	Ýblislere karþý hasar %%%s düþtü.
zts1126e	Ölüler Ülkesi'ndeki canavarlara verilen hasar %%%s düþtü.
zts1127e	Mühürlü mahfazalardaki canavarlara verilen hasar %%%s yükseldi.
zts1128e	Mühürlü mahfazalardaki canavarlara verilen hasar %%%s düþtü.
zts1129e	Tecrübe kazanýmý %%%s yükseldi.
zts1130e	Tecrübe kazanýmý %%%s düþtü.
zts1131e	Meslek tecrübesi kazanýmý %%%s yükseldi.
zts1132e	Meslek tecrübesi kazanýmý %%%s düþtü.
zts1138e	Uzmanýnýn saldýrý beceri puaný %s düþtü.
zts1139e	Uzmanýnýn savunma beceri puaný %s yükseldi.
zts1140e	Uzmanýnýn savunma beceri puaný %s düþtü.
zts1141e	Uzmanýnýn element beceri puaný %s yükseldi.
zts1142e	Uzmanýnýn element beceri puaný %s düþtü.
zts1143e	Uzmanýnýn YP/BP beceri puaný %s yükseldi.
zts1144e	Uzmanýnýn YP/BP beceri puaný %s düþtü.
zts1150e	Bütün saldýrýlar %%%s yükseldi.
zts1151e	Bütün saldýrýlar %%%s düþtü.
zts1152e	Yakýn saldýrýlar %%%s yükseldi.
zts1153e	Yakýn saldýrýlar %%%s düþtü.
zts1154e	Uzak saldýrýlar %%%s yükseldi.
zts1155e	Uzak saldýrýlar %%%s düþtü.
zts1156e	Büyülü saldýrýlar %%%s yükseldi.
zts1157e	Büyülü saldýrýlar %%%s düþtü.
zts1158e	Düþük seviyeli ruhlara karþý hasar %%%s yükseldi.
zts1159e	Ölüler Ülkesi'ndeki canavarlara verilen hasar %%%s yükseldi.
zts1160e	Uzmanýnýn saldýrý beceri puaný %s yükseldi.
zts1162e	Saldýrý halinde kuþanýlmýþ olan perinin elementi %%%s olasýlýkla %s yükselir.
