zts1e	Yeni nesne
zts4316e	Tarot Kartý (Ay)
zts4317e	Ayýn gücü[n]maksimum BP'yi 2.000 ve bütün elementer güçleri 50 puan artýrýr.[n]Gereken seviye: 60[n]Kullaným süresi: 1 saat[n]Kullaným süresi, ilk kez kullanýldýðýnda baþlar.[n][n]
zts4318e	Tarot Kartý (Güneþ)
zts4319e	Güneþin ýsýsý sana güç verir.[n]Saldýrý gücünü 100 artýrýr. Ayrýca ateþ saldýrýlarýn 100 daha yüksektir ve isabet oranýn %100'dür.[n]Gereken seviye: 60[n]Kullaným süresi: 1 saat. Kullaným süresi, ilk kez kullanýldýðýnda baþlar.[n][n]
zts4320e	Yýldýrým Muskasý
zts4321e	Bu týlsým yýldýrýmlarýn gücünü içinde barýndýrýr.[n]Ýsabet oranýný +100 artýrýr.[n]Gereken seviye: 60[n]Kullaným süresi: 3 saat. Kullaným süresi, ilk kez kullanýldýðýnda baþlar.[n][n]
zts4322e	Dalga Muskasý
zts4323e	Bu muska dalgalarýn kudretini içinde barýndýrýr.[n]Tecrübe kazanýmý %15 artar.[n]Gereken seviye: 60[n]Kullaným süresi: 3 saat[n]Kullaným süresi, ilk kez kullanýldýðýnda baþlar.[n][n]
zts4324e	Bulut Muskasý
zts4325e	Bu týlsým bulutlarýn kudretini içinde barýndýrýr. Maksimum BP'ni 1.000 yükseltir.[n]Gereken seviye: 60[n]Kullaným süresi: 3 saat[n]Kullaným süresi kuþandýktan sonra baþlar.[n][n]
zts4326e	Rüzgar Muskasý
zts4327e	Bu týlsým rüzgarlarýn kudretini içinde barýndýrýr. Hareket hýzýný 1 artýrýr.[n]Gereken seviye: 60[n]Kullaným süresi: 3 saat[n]Kullaným süresi kuþandýktan sonra baþlar.[n][n]
zts4328e	Ateþ Muskasý
zts4329e	Bu týlsým ateþin kudretini içinde barýndýrýr. Toplam saldýrý gücünü 40 artýrýr.[n]Gereken seviye: 60[n]Kullaným süresi: 3 saat[n]Kullaným süresi kuþandýktan sonra baþlar.[n][n]
zts4330e	Çöl Haydutlarýnýn Uzun Kýlýcý
zts4331e	Bu keskin kýlýç çöl haydutlarýnýn seçkin Kýlýç Savaþçýlarý tarafýndan kullanýlýr.[n][n]
zts4332e	Çöl Haydutlarýnýn Yayý
zts4333e	Çöl Haydutlarýnýn usta Okçularý tarafýndan kullanýlan, saðlam bir yay.[n][n]
zts4334e	Çöl Haydutlarýnýn Bastonu
zts4335e	Bu gizemli baston, çöl haydutlarýnýn usta Büyücüleri tarafýndan kullanýlýr.[n][n]
zts4336e	Haydut Çetesinin Altýn Zýrhý
zts4337e	Çöl haydutlarýnýn altýn amblemini taþýyan bir zýrh.[n][n]
zts4338e	Haydut Çetesinin Altýn Tuniði
zts4339e	Çöl haydutlarýnýn altýn amblemini taþýyan bir zýrh.[n][n]
zts4340e	Haydut Çetesinin Altýn Cübbesi
zts4341e	Çöl haydutlarýnýn altýn amblemini taþýyan bir cübbe.[n][n]
zts4342e	Çöl Serserisi Arbaleti
zts4343e	Bu arbalet çöl serserileri tarafýndan kullanýlýyordu.[n][n]
zts4344e	Çöl Akrebi Hançeri
zts4345e	Bu hançer akrep kuyruklarýndan yapýldý.[n][n]
zts4346e	Çöl Büyücülerinin Büyülü Silahý
zts4347e	Çöl Büyücüleri güçlerini bu büyülü silahtan alýyor.[n][n]
zts4348e	Haydut Çetesinin Gümüþ Ayakkabýlarý
zts4349e	Çöl haydutlarý bu gümüþ ayakkabýlarý bir hazine gibi koruyor.[n][n]
zts4350e	Haydut Çetesinin Parlayan Ayakkabýlarý
zts4351e	Çöl haydutlarý bu parlayan ayakkabýlarý bir hazine gibi koruyor.[n][n]
zts4352e	Haydut Çetesinin Gümüþ Eldivenleri
zts4353e	Çöl haydutlarý bu gümüþ eldivenleri bir hazine gibi koruyor.[n][n]
zts4354e	Haydut Çetesinin Parlayan Eldivenleri
zts4355e	Çöl haydutlarý bu parlayan eldivenleri bir hazine gibi koruyor.[n][n]
zts4356e	Haydut Liderinin Þapkasý
zts4357e	Efsaneye göre bu ünlü bir Haydudun þapkasý.[n][n]
zts4358e	Haydut Liderinin Maskesi
zts4359e	Efsaneye göre bu ünlü bir Haydudun Maskesi.[n][n]
zts4360e	Büyük Liderin Keskin Kýlýcý
zts4361e	Bu keskin kýlýç doðudaki çöl haydutlarýnýn lideri tarafýndan kullanýlýyor.[n][n]
zts4362e	Büyük Liderin Sihirli Deðneði
zts4363e	Çöl haydutlarýnýn lideri bu sihirli deðneði kullanýyor.[n][n]
zts4364e	Büyük Liderin Kamalý Yayý
zts4365e	Doðudaki çöl haydutlarýnýn lideri bu kamalý yayý kullanýyor.[n][n]
zts4366e	Komutanýn Aðýr Zýrhý
zts4367e	Çöl haydutlarýnýn komutanýnýn aðýr zýrhý.[n][n]
zts4368e	Komutanýn Cübbesi
zts4369e	Çöl haydutlarýnýn komutanýnýn cübbesi.[n][n]
zts4370e	Komutanýn Deri Zýrhý
zts4371e	Çöl haydutlarýnýn komutanýnýn deri zýrhý.[n][n]
zts4372e	Büyük Liderin Arbaleti
zts4373e	Bu arbalet Ýbrahim'in hazine odasýnda korunuyor.[n][n]
zts4374e	Büyük Liderin Büyülü Silahý
zts4375e	Ýbrahim seyahatlerinden birinde bir Büyücüden bu büyülü silahý çaldý.[n][n]
zts4376e	Büyük Liderin Býçaðý
zts4377e	Ýbrahim bu býçaðý koruyor.[n][n]
zts4378e	Komutanýn Kavuðu
zts4379e	Çöl haydutlarýnýn komutaný bu kavuðu takýyor.[n][n]
zts4380e	Büyük Liderin Kavuðu
zts4381e	Çöl haydutlarýnýn lideri bu kavuðu takýyor.[n][n]
zts4382e	Deniz Görüþü Eldivenleri
zts4383e	Deniz Perilerinin kutsamasýna sahip eldivenler.[n][n]
zts4384e	Siyah Taþderisi Eldivenler
zts4385e	Saðlam, koyu lav taþýndan eldivenler[n][n]
zts4386e	Deniz Görüþü Çizmeleri
zts4387e	Deniz Perilerinin kutsamasýna sahip çizmeler.[n][n]
zts4388e	Siyah Taþderisi Çizmeler
zts4389e	Saðlam, koyu lav taþýndan çizmeler.[n][n]
zts4390e	Leydi Calvinas'ýn hazine sandýðý
zts4391e	Calvinas'ýn Mavi Diken Arbaleti
zts4392e	Calvinas'ýn Pençe Miðferi
zts4393e	Calvinas'ýn kendi pençelerinden ve büyü enerjisinden yapýlan bir miðfer.[n][n]
zts4394e	Calvinas'ýn Pullu Miðferi
zts4395e	Calvinas'ýn pullarýndan yapýlan bir miðfer.[n][n]
zts4396e	Glacernon Koruyucu Bilekliði
zts4397e	Calvinas'ýn gizli bir yerde koruduðu Glacernon hazinesi.[n][n]
zts4398e	Komutanýn Keskin Kýlýcý
zts4399e	Doðudaki çöl haydutlarýnýn komutaný bu keskin kýlýcý kullanýyor.[n][n]
zts4400e	Komutanýn Kamalý Yayý
zts4401e	Doðudaki çöl haydutlarýnýn komutaný bu kamalý yayý kullanýyor.[n][n]
zts4402e	Komutanýn Dövüþ Deðneði
zts4403e	Güneydeki çöl haydutlarýnýn komutaný bu dövüþ deðneðini kullanýyor.[n][n]
zts4404e	Çöl Paralý Askerinin Arbaleti
zts4405e	Bu arbalet çöl paralý askerleri tarafýndan kullanýlýyordu.[n][n]
zts4406e	Seçkin Suikastçýsýnýn Hançeri
zts4407e	Bu keskin hançer çölün seçkin suikastçýlarý tarafýndan kullanýlýyor.[n][n]
zts4408e	Kara Büyücülerin Büyülü Silahý
zts4409e	Kara Büyücüler güçlerini bu büyülü silahtan alýyor.[n][n]
zts4410e	Haydut Çetesinin Parlayan Zýrhý
zts4411e	Bu zýrh ýþýðýn gücüyle güçlendirildi.[n][n]
zts4412e	Haydut Çetesinin Parlayan Deri Zýrhý
zts4413e	Bu deri zýrh ýþýðýn gücüyle güçlendirildi.[n][n]
zts4414e	Haydut Çetesinin Parlayan Cübbesi
zts4415e	Bu cübbe ýþýðýn gücüyle güçlendirildi.[n][n]
zts4416e	Tüccar Maskesi
zts4417e	Akamur tüccarlarýnýn maskesi.[n][n]
zts4418e	Haydut Maskesi
zts4419e	Çöl haydutlarýnýn kullandýðý bir maske.[n][n]
zts4420e	Ýlkyardým Maskesi
zts4421e	Akamur tüccarlarýnýn þifalý maskesi.[n][n]
zts4422e	Denetleyici Maskesi
zts4423e	Hazine avcýsý denetleyicilerinin taktýðý bir maske.[n][n]
zts4424e	Seçkin Maskesi
zts4425e	Çöl haydutlarýnýn seçkinlerine özgü, özel bir maske.[n][n]
zts4426e	Komutan Maskesi
zts4427e	Çöl haydutlarýnýn komutaný bu maskeyi takýyor.[n][n]
zts4428e	Kum Ruhunun Koruyucu Miðferi
zts4429e	Kum ruhu esansýný içerir.[n][n]
zts4430e	Rüzgar Ruhunun Koruyucu Miðferi
zts4431e	Rüzgar ruhu esansýný içerir.[n][n]
zts4432e	Çöl Haydutlarýnýn Koruyucu Miðferi
zts4433e	Çöl haydutlarýnýn basit askerlerinin taktýðý bir koruyucu miðfer.[n][n]
zts4434e	Tüccar Miðferi
zts4435e	Akamur tüccarlarýnýn nöbetçilerinin koruyucu miðferi.[n][n]
zts4436e	Boksör Çalýkuyruk
zts4437e	Haydut Çetesinin Keskin Kýlýcý
zts4438e	Haydut çetesinin kullandýðý sýradan bir keskin kýlýç.[n][n]
zts4439e	Haydut Çetesinin Kamalý Yayý
zts4440e	Haydut çetesi tarafýndan kullanýlan, sýradan bir kamalý yay.[n][n]
zts4441e	Haydut Çetesinin Bastonu
zts4442e	Haydut çetesi tarafýndan kullanýlan sýradan baston.[n][n]
zts4443e	Gardiyan Arbaleti
zts4444e	Akamur Gardiyanlarý tarafýndan kullanýlan bir arbalet.[n][n]
zts4445e	Suikastçý Hançeri
zts4446e	Akamur Tüccarlarýnýn suikastçýlarýnýn kullandýðý bir hançer.[n][n]
zts4447e	Tüccarlarýn Sihirli Deðneði
zts4448e	Akamur Tüccarlarýnýn Büyücülerinin sihirli deðneði.[n][n]
zts4449e	Acemi Haydut Saç Bandý
zts4450e	Haydut çetesinin acemilerinin taktýðý bir saç bandý.[n][n]
zts4451e	Haydut Liderinin Eldivenleri
zts4452e	Haydut liderinin bu eldivenleri kullandýðý söyleniyor.[n][n]
zts4453e	Haydut Liderinin Ayakkabýlarý
zts4454e	Haydut liderinin bu ayakkabýlarý kullandýðý söyleniyor.[n][n]
zts4455e	Kullanýldýðýnda þu efektlerden biri ortaya çýkabilir:[n]YP artýþý, BP artýþý, UP artýþý ya da hiçbir þey.[n]Alternatif olarak Eva Enerji'de bir Graslin mührüyle takas edilebilir.[n][Dikkat][n]Bu eþya etkinlik bittiðinde yok olur.[n][n]
zts4456e	Kullanýldýðýnda þu efektlerden biri ortaya çýkabilir:[n]YP artýþý, BP artýþý, UP artýþý ya da hiçbir þey.[n]Alternatif olarak Eva Enerji'de bir Graslin mührüyle takas edilebilir.[n][Dikkat][n]Bu eþya etkinlik bittiðinde yok olur.[n][n]
zts4457e	Güçlendirici savaþ tecrübesi puanlarýný 10 dakika boyunca %30 artýrýr.[n][Dikkat][n]Bu eþya etkinlik bittiðinde yok olur.[n][n]
zts4458e	Boksör Çalýkuyruk Paketi
zts4459e	Yaz tatili için sýnýrlý eþya.[n]Boksör Çalýkuyruðu ve birçok baþka eþyayý bir kerede elde edebilirsin.[n][n]
zts4460e	Bu eþya yeni kazanýlan oyunculara özeldir.[n]Tecrübe puaný artýþýndan yararlanmak için, seni oyuna kazandýran arkadaþýnla ayný zamanda oturum aç.[n][Dikkat][n]Bu eþya etkinlik bittiðinde yok olur.[n][n]
zts4461e	Premium Hazine Sandýðý
zts4462e	Hýzlý, büyülü bir scooter içeren bir premium sandýk.[n]Aþaðýdaki nesneleri elde edebilirsin:[n]1 tane büyülü scooter[n]5 tane Ancelloan kutsamasý[n]Eþyayý kullandýðýnda, büyülü bir scooter sürücüsüne dönüþürsün.[n]Haydi hýz sarhoþluðunun tadýný çýkaralým![n]Satýn almanýn avantajý:[n]Premium sandýklar almak[n][n]
zts4463e	Uzmanýnýn kanatlarýný melek kanatlarýna dönüþtürür.[n][Kullanýmý][n]1. Kendini bir uzmana dönüþtür.[n]2. Kanatlarýný deðiþtirmek için bu nesneyi kullan.[n][Dikkat][n]1. Kanatlarý sadece geliþtirilmiþ bir uzman kartý +1 ya da üstüyle melek kanatlarýna dönüþtürebilirsin.[n]2. Uzman kartýný bir kart tutucusuna koyduðunda kanatlar kaybolur.[n][n]
zts4464e	Uzmanýnýn kanatlarýný iblis kanatlarýna dönüþtürür.[n][Kullanýmý][n]1. Kendini bir uzmana dönüþtür.[n]2. Kanatlarýný deðiþtirmek için bu nesneyi kullan.[n][Dikkat][n]1. Kanatlarý sadece geliþtirilmiþ bir uzman kartý +1 ya da üstüyle iblis kanatlarýna dönüþtürebilirsin.[n]2. Uzman kartýný bir kart tutucusuna koyduðunda kanatlar kaybolur.[n][n]
zts4465e	Kaliteli Devriye Raporu (Hamid)
zts4466e	Kaliteli Devriye Raporu (Deniz Feneri Gardiyaný Chilton)
zts4467e	Görev eþyasý.[n]Bunu Neil Kampý'nýn kaktüs incirleriyle birlikte kullan.[n]
zts4468e	Anahtar Ustasýnýn Haydut Çetesi Anahtarý
zts4469e	Kýrýk Ticari Mal
zts4470e	Ticari Mal (Ýlk bulunan)
zts4471e	Ticari Mal (Ýkinci bulunan)
zts4472e	Ticari Mal (Üçüncü bulunan)
zts4473e	Ticari Mal (Dördüncü bulunan)
zts4474e	Ticari Mal (Beþinci bulunan)
zts4475e	Ticari Mal (Altýncý bulunan)
zts4476e	Rahip Tütsü Çubuðu
zts4477e	Görev eþyasý.[n]Bunu kütüphanedeki ölü Rahipte kullan.[n]
zts4478e	Keþiþ Tütsü Çubuðu
zts4479e	Görev eþyasý.[n]Bunu yeraltý maðarasýndaki ölü Keþiþte kullan.[n]
zts4480e	Papaz Tütsü Çubuðu
zts4481e	Görev eþyasý.[n]Bunu ibadet odasýndaki ölü Papazda kullan.[n]
zts4482e	Hazine Avcýsý Tütsü Çubuðu
zts4483e	Görev eþyasý.[n]Bunu ölü Hazine Avcýsýnda kullan.[n]
zts4484e	Kum Esansý
zts4485e	Rüzgar Esansý
zts4486e	Çöl Haydutlarýnýn Liderine Yazýlmýþ Mektubun Parçasý
zts4487e	Görev eþyasý.[n]Bunu Çöl Haydudu Kampýndaki casus birliðinin dinlenen haydudunda kullan.[n]
zts4488e	Görev eþyasý.[n]Bunu çöl haydudu kampýndaki dinlenen nakliye biriminde kullan.[n]
zts4489e	Görev eþyasý.[n]Bunu çöl haydudu kampýndaki dinlenen devriyede kullan.[n]
zts4490e	Toprak Peri Tozu
zts4491e	Görev eþyasý.[n]Bunu çöl haydudu kampýndaki ölü seçkin birimde kullan.[n]
zts4492e	Çalýntý Mal (Kerus Kampý)
zts4493e	Çalýntý Mal (Garton Kampý)
zts4494e	Çalýntý Mal (Çöl Haydudu Kampý)
zts4495e	Çalýntý Mal (Haydut Ýç Avlusu)
zts4496e	Üzerinde haydut çetesi liderinin amblemi var.[n]Bunu çöl kartalý þehrindeki altýn tüccarýnda bir silahla takas edebilirsin.[n][n]
zts4497e	Üzerinde haydut çetesi liderinin amblemi var.[n]Bunu çöl kartalý þehrindeki gümüþ tüccarýnda takas edebilirsin.[n][n]
zts4498e	Üzerinde haydut çetesi liderinin amblemi var.[n]Bunu çöl kartalý þehrindeki bakýr tüccarýnda takas edebilirsin.[n][n]
zts4499e	Anahtara haydut çetesinin amblemi iþlenmiþ.[n]Haydut çetesinin sandýðýný açmak için buna ihtiyacýn var.[n]Her deneme için bir anahtar gerekir.
zts4500e	Ýbrahim'in Altýn Anahtarý
zts4501e	Bu altýn anahtarýn üzerinde Ýbrahim'in amblemi var.[n]Bu anahtarla unutkanlýk hazine sandýðýný açabilirsin.[n]Ýster baþarýlý ol, ister baþarýsýz: Her denemede bir anahtar harcanýr.[n][n]
zts4502e	Ýbrahim'in Çantasý
zts4503e	Bu çanta haydut çetesinin liderine ait.[n]Ýçinde þu eþyalardan birini bulacaksýn:[n]1 tane haydut çetesi altýn parasý[n]1 tane parlayan, gök mavisi deðerli taþ[n]1 tane Ýbrahim'in altýn anahtarý[n][n]
zts4504e	Gizemli ama büyüleyici bir kalýntý.[n]Bunu araþtýrmasý için bir arkeologa verirsen, daha fazlasýný öðrenebilirsin.[n]Ayrýntýlý olarak incelenmediði sürece içinde ne olduðunu bilemezsin.[n]Bu nesne yalnýzca 60. seviyenin üstündeki karakterler tarafýndan kullanýlabilir.[n][n]
zts4505e	Gizemli ama büyüleyici bir kalýntý.[n]Bunu araþtýrmasý için bir arkeologa verirsen, daha fazlasýný öðrenebilirsin.[n]Ayrýntýlý olarak incelenmediði sürece içinde ne olduðunu bilemezsin.[n]Bu nesne yalnýzca 60. seviyenin üstündeki karakterler tarafýndan kullanýlabilir.[n][n]
zts4506e	Taze Elma Suyu
zts4507e	2.500 YP ve 2.500 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4508e	Sert Çilek Þarabý
zts4509e	10.000 YP ve 10.000 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4510e	Bu belge Çöl Haydutlarý Komutaný'na ait silahýn üretimini açýklar.[n]Yeni silah ve zýrhlar üretmenin formülünü gösterir.[n][Üretim][n]1. Tüm malzemeler envanterde bulunmalý.[n]2. Parþömene çift týklayarak üretim penceresini aç.[n]3. Üretmek istediðin nesneyi seç.[n]4. Gerekli teçhizat nesnelerini pencereye sürükle.[n]5. Ýþlemi tamamlamak için üretim düðmesine bas.[n][Dikkat][n]Nadirlik seviyesi, arýtma seviyesi ve baþlangýç nesnelerinin seçenekleri ürüne aktarýlýr.[n][n]
zts4511e	Bu belge Çöl Haydutlarý Komutaný'na ait maskeyi nasýl üretebileceðini açýklar.[n]Yeni silah ve zýrhlar üretmenin formülünü gösterir.[n][Üretim][n]1. Tüm malzemeler envanterde bulunmalý.[n]2. Parþömene çift týklayarak üretim penceresini aç.[n]3. Üretmek istediðin nesneyi seç.[n]4. Gerekli teçhizat nesnelerini pencereye sürükle.[n]5. Ýþlemi tamamlamak için üretim düðmesine bas.[n][Dikkat][n]Nadirlik seviyesi, arýtma seviyesi ve baþlangýç nesnelerinin seçenekleri ürüne aktarýlýr.[n][n]
zts4512e	3.000 YP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4513e	3.000 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4514e	20.000 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4515e	20.000 YP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4516e	Yýldýzçiçeði Tapýnaðý'ndaki Gizli Yol'da Haydut çetesi akýnýný baþlatýr.[n]Önerilen seviye: 80-95[n][Kullanýmý][n]Oyuncu takým lideri olur.[n]Takým lideri olduktan sonra diðer oyuncularý üzerilerine týklayarak davet edebilirsin.[n]Akýn giriþine gir. Lider giriþ yaptýðýnda grubun diðer üyeleri de otomatik olarak onunla birlikte giriþ yapar.[n][Dikkat][n]Önerilenden yüksek seviyedeki karakterler akýna katýlabilir ancak ceza alýr.[n](Baþarýlý olunsa bile ekstra kalp veya akýn kutusu alýnamaz.)[n][n]
zts4517e	Bir Tarot oyun kartý ve bir þans kutusu içerir.[n][n]
zts4518e	Sýcak Metal Külçesi
zts4519e	Metal külçesinin sýcaklýðýný hissediyorsun.[n]Üretimde kullanýlýr.[n][n]
zts4520e	Kýrýk Kalýntý Parçasý
zts4521e	Dükkanda satýlabilir.[n]Kalýntý araþtýrma sýrasýnda kýrýldý.[n]Pratikte deðersiz olan bu nesne için çok yüksek bir fiyat almayý bekleme.[n][n]
zts4522e	Parlayan Mor Deðerli Taþ
zts4523e	Dükkanda satýlabilir.[n][n]
zts4524e	Parlayan Gök Mavisi Deðerli Taþ
zts4525e	YP: 2.000, BP: 2.000[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4526e	Yanan Piliç
zts4527e	YP: 10.000 BP: 10.000[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n]Yalnýzca dinlenirken kullanýlabilir.[n][n]
zts4528e	Sýcak Deri
zts4529e	Derinin sýcaklýðýný hissediyorsun.[n]Üretimde kullanýlýr.[n][n]
zts4530e	Sýcak Kumaþ
zts4531e	Kumaþýn sýcaklýðýný hissediyorsun.[n]Üretimde kullanýlýr.[n][n]
zts4532e	Sýcak Odun
zts4533e	Odunun sýcaklýðýný hissediyorsun.[n]Üretimde kullanýlýr.[n][n]
zts4534e	Sýcak Gümüþ Tel
zts4535e	Üretimde kullanýlýr.[n][n]
zts4536e	Sýcak Altýn Tel
zts4537e	Tanrýsal Büyü Kristali
zts4538e	Koyu Renk Büyü Kristali
zts4539e	Tanrýsal Kristal
zts4540e	Koyu Renk Kristal
zts4541e	Mavi Metal Kumu
zts4542e	Mavi Odun Parçasý
zts4543e	Mavi Kristal Parçasý
zts4544e	Mor Odun Parçasý
zts4545e	Mor Metal Kumu
zts4546e	Mor Kristal Parçasý
zts4547e	Erguvan Rengi Kehribar
zts4548e	Turuncu Kehribar
zts4549e	Turkuvaz Kehribar
zts4550e	Akamur Maskesinin Parçasý
zts4551e	Çöl Haydudu Maskesinin Parçasý
zts4552e	Akamur Plaketi
zts4553e	Kuru Çavdar Ekmeði
zts4554e	YP: 3.500, BP: 1.500[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4555e	Vaha Suyu
zts4556e	YP: 1.500, BP: 3.500[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4557e	Sýcak Kuzu Þiþ
zts4558e	YP: 4.000, BP: 3.000[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4559e	Canlandýrýcý Yeraltý Suyu
zts4560e	YP: 3.000, BP: 4.000[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4561e	Sýcak Kakao
zts4562e	YP: 15.000 BP: 7.500[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n]Yalnýzca dinlenirken kullanýlabilir.[n][n]
zts4563e	Soðuk Kakao
zts4564e	YP: 7.500 BP: 15.000[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n]Yalnýzca dinlenirken kullanýlabilir.[n][n]
zts4565e	Kuzu Eti
zts4566e	Sýcak bir kuzu þiþin malzemesi.[n][n]
zts4567e	Yeraltý Suyu
zts4568e	Canlandýrýcý yeraltý suyunun malzemesi.[n][n]
zts4569e	Dev Çilekli Sandýk
zts4570e	Taze çilek suyu ve sert çilek þarabýnýn malzeleleri.[n][n]
zts4571e	Olgun Üzümlü Sandýk
zts4572e	Taze üzüm suyu ve sert üzüm þarabýnýn malzemeleri.[n][n]
zts4573e	Kýrmýzý Elmalý Sandýk
zts4574e	Taze elma suyu ve sert elma þarabýnýn malzemeleri.[n][n]
zts4575e	Eve Dönüþ Týlsýmý (Çöl)
zts4576e	Bu týlsým seni köye geri götürür.[n]Bulunduðun konum kaydedilir ve geri dönüþ týlsýmýyla ayný noktaya geri dönersin.[n][Sýnýrlama][n]Sadece Çöl'de ve Yanan Kýlýç'ta kullanabilirsin.[n]Çöl bölgesi içerisinde yeniden doðum noktasý olan bir köye geri dönersin.[n][n]
zts4577e	Seni Ölüm Adasý'na götürür.
zts4579e	Beþ Tarot kartýndan oluþan bir set.[n]Aþaðýdaki mühürlü Tarot kartlarýnýn beþ tanesini elde edebilirsin:[n]Soytarý, Büyücü, Aþk, Münzevi, Ölüm, Ýblis, Kule, Yýldýz, Ay ya da Güneþ.[n]Bir mühürlü Tarot kartý kullandýðýnda, teçhizat nesnesi olarak bir Tarot kartý alýrsýn. Kullaným süresi kullanýldýðý anda baþlar.[n][n]
zts4580e	Beþ Tarot kartýndan oluþan bir set.[n]Aþaðýdaki mühürlü Tarot kartlarýnýn beþ tanesini elde edebilirsin:[n]Soytarý, Büyücü, Aþk, Münzevi, Ölüm, Ýblis, Kule, Yýldýz, Ay ya da Güneþ.[n]Bir mühürlü Tarot kartý kullandýðýnda, teçhizat nesnesi olarak bir Tarot kartý alýrsýn. Kullaným süresi kullanýldýðý anda baþlar[n]Yalnýzca 60. seviye ve üstündeki karakterler Tarot kartý kullanabilir.[n][n]
zts4581e	Þu eþyalardan birini elde etmek için kutuyu aç:[n]1 tane kýzgýn maske A[n]1 tane kýzgýn maske B[n]1 tane kýzgýn maske C[n]1 tane Kahverengi Çalýkuyruk[n]1 tane Gladyatör Çalýkuyruk[n]1 tane Haþere Uzmaný Çalýkuyruk[n]1 tane özel evcil hayvan yemi[n]1 tane teçhizat koruma parþömeni[n]1 tane Cylloan kaynak suyu[n]1 tane serbest býrakma parþömeni[n]1 tane büyük özel iksir[n]
zts4582e	Bu kutuyu açtýðýnda, Þu NosMall eþyalarýndan birini elde edebilirsin.[n][Elde edebileceðin eþyalar][n] 1 tane sessiz maske A[n] 1 tane sessiz maske B[n] 1 tane sessiz maske C[n] 1 tane Boða Çalýkuyruk Ýncisi[n] 1 tane Akua Çalýkuyruk Ýncisi[n]1 tane Samuray Çalýkuyruk Ýncisi[n]1 tane özel evcil hayvan yemi[n]5 tane teçhizat koruma parþömeni[n]99 tane Cylloan kaynak suyu[n]5 tane Serbest býrakma parþömeni[n]1x büyük özel iksir[n]
zts4583e	Þu eþyalardan birini elde etmek için kutuyu aç:[n]1 tane uçurum gözbaðý A[n]1 tane uçurum gözbaðý B[n]1 tane uçurum gözbaðý C[n]1 tane Pegasus[n]1 tane tatlý tavþan[n] 1 tane hasta Çalýkuyruk[n]1 tane özel evcil hayvan yemi[n]1 tane teçhizat koruma parþömeni[n]1 tane Cylloan kaynak suyu[n]1 tane serbest býrakma parþömeni[n] 1 tane büyük özel iksir[n][n]
zts4584e	Bununla, ölüm korkusu yaþayacaksýn.[n] Bu sayede, daha hýzlý hareket edip, düþmana daha þiddetli saldýrabilecek ve MP kullanýmýn azalacaktýr.[n] Hareket hýzý +1, Saldýrý gücü 150, %20 MP kullanýmý düþüþü.[n]  Lv. 60[n] Süre: Ýlk kullanýldýðýndan itibaren 1 saat boyunca[n][n]
zts4590e	2.000 YP ve 2.000 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4591e	2.500 YP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4592e	2.000 YP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4593e	2.000 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4594e	2.500 BP yeniler.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4595e	Yýldýzçiçeði Tapýnaðý'ndaki Gizli Yol'da Haydut çetesi akýnýný baþlatýr.[n]Önerilen seviye: 80-99[n][Kullanýmý][n]Oyuncu takým lideri olur.[n]Takým lideri olduktan sonra diðer oyuncularý üzerilerine týklayarak davet edebilirsin.[n]Akýn giriþine gir. Lider giriþ yaptýðýnda grubun diðer üyeleri de otomatik olarak onunla birlikte giriþ yapar.[n][Dikkat][n]Önerilenden yüksek seviyedeki karakterler akýna katýlabilir ancak ceza alýr.[n](Baþarýlý olunsa bile ekstra kalp veya akýn kutusu alýnamaz.)[n][n]
zts4596e	YP: 700, BP: 700[n]YP ve BP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n][n]
zts4597e	YP: 2.500[n]YP yavaþ yavaþ dolar.[n]NosMate'in de bundan yararlanýr.[n]Yalnýzca dinlenirken kullanýlabilir.[n][n]
