zts1e	En iyi servis
zts303e	Bunlardan birini alýrsýn : Derinliðin göz bandý A, Derinliðin göz bandý B,Derinliðin göz bandý C, Çalýkuyruk incisi,Gladyatör Çalýkuyruk incisi,Böceklerden arýndýran Çalýkuyruk incisi[n] 5 para eþyasý
zts304e	Hayvaným olarak Tori
zts305e	Tori Tori topu
zts306e	Tatlý toriyi hayvaným olarak kayýt ettir[n]
zts307e	Gladyatör Tori topu
zts308e	Siyah tori topu
zts309e	Bunlardan birini al  Kýzgýn maske A,Kýzgýn maske B,Kýzgýn maske C,[n]Böceklerden arýndýran Çalýkuyruk,Gladyatör Çalýkuyruk,[n]Teçhizat koruma parþömeni,seviye serbest býrakma parþömeni,akýllý evcil hayvanlar için mama[n]Cylloan kaynak suyu,büyük Uzm. puaný doldurucu
zts310e	Bu eþyalardan birini al: Durgun maske A, durgun maske B, durgun maske C,[n]Kahverengi Çalýkuyruk incisi, Gladyatör Çalýkuyruk incisi, Böceklerden arýndýran Çalýkuyruk,[n]Teçhizat koruma parþömeni, serbest býrakma parþömeni, özel evcil hayvan yemi,[n]Cylloan kaynak suyu, büyük özel iksir.
zts311e	Bunlardan birini alýrsýn : Derinliðin göz bandý A,Derinliðin göz bandý B,Derinliðin göz bandý C,[n]Çalýkuyruk,Böceklerden arýndýran Çalýkuyruk incisi,Gladyatör çalýkuyruk,[n]Teçhizat korucu parþömen,seviye serbest býrakma parþömeni,akýllý evcil hayvanlar için mama,Cylloan kaynak suyu,büyük Uzm. puaný doldurucu
zts312e	Perinin yeteneðini yükselt!
zts313e	Peri güçlendirici
zts314e	1 saat için perinin yeteneðini güçlendir.[n]Peri güçlendiriciyi kullandýðýn süre boyunca periyi etki süresi boyunca deðiþtiremezsin.
zts357e	Yený yýlda çok büyük bir þeyler baþaracaðýma dair bir öngörüm var!
zts358e	1 hediye zarfý
zts359e	Bunlardan birini alýrsýn: Orta boy özel doldurucu, Ancelloan kutsamasý,serbest býrakma parþömeni,teçhizat koruyucu parþömen,...,büyük özel doldurucu,maceracý sýrtçantasý,Cylloan kaynak suyu,büyük tam iksir,siyah bir þövalyenin miðferi,siyah bir þövalyenin maskesi,Donmalý Çalýkuyruk incisi,þans domuzcuðu incisi,þanslý farenin incisi.[n]
zts360e	10 hediye zarfý
zts361e	5 hediye zarfý
zts362e	1 doðum günü hediyesi
zts363e	Kullandýðýn andan itibaren 15 gün geçerlidir:[n][Temel efektler:]Envanterinde "Teçhizat" , "Ana" ve "Diðer" kategorilerinde  4 yer fazlalaþýr (Toplamda 12 yer).[n]%10 daha fazla tecrübe kazanýmý.[n][Diðer efektler][n]Partnerin ve NosMate'in %10 tecrübe kazanýmý artar.[n]Saldýrý ve savunma deðerlerin %10 yükselir.[n][Dikkat:][n]Maceracý sýrtçantasý ile birlikte kullanýldýðýnda envanter alanýn iki katýna ÇIKMAZ!![n]Bu eþyayý depoya koyamazsýn.[n][n]
zts364e	Ufak bir fare taþýmak.
zts365e	Tatlý fare þapkasý
zts366e	Evcil hayvan olarak bir þanslý fareye sahip olabilirsin.[n][n]
zts367e	Pembe bir domuz ile kutsanmýþ
zts368e	Yeni yýl incisi!
zts369e	Evcil hayvan olarak þans domuzcuðu sahibi olabilirsin.[n][n]Sana eþlik ettiðinde,saldýrý ve savunma deðerlerin %10 yükselir.[n]
zts370e	Kazalarý önlemek için soðuk.
zts371e	Soðuk boncuklu çalýkuyruk
zts373e	Benim kendi küçük noel babam var!
zts374e	Noel baba tori incisi
zts941e	Mükemmel bir aslan þapkasý!
zts952e	Etkileyici bir aslan þapkasý!
zts1005e	10 PvP saldýrý gücü iksiri
zts1006e	10 PvP saldýrý gücü iksiri
zts1007e	5 PvP savunma iksiri
zts1008e	10 PvP savunma iksiri
zts1009e	5 PvP direnç iksiri
zts1010e	10 PvP direnç iksiri
zts1011e	5 aile çaðýrým boynuzu
zts1012e	10 aile çaðýrým boynuzu
zts1057e	Sonsuz güzelliðin sembolü benim!
zts1058e	Tinker Bell
zts1059e	Tinker Bell (7 gün)
zts1060e	Tinker Bell ( 30 gün)
zts1061e	Peri kostümü (sýnýrsýz)
zts1062e	Nostale iblisiyim ben!
zts1063e	Beyaz iblis
zts1064e	Beyaz iblis ( 7 gün)
zts1065e	Beyaz iblis (30 gün)
zts1066e	Beyaz iblis (süresiz)
zts1067e	Güzel bir kurdela tak!
zts1068e	Pembe Saç kurdelasý
zts1069e	Pembe saç kurdelasý (7 gün)
zts1070e	Pembe saç kurdelasý( 30 gün)
zts1071e	Pembe saç kurdelasý (sýnýrsýz)
zts1072e	Kibar bir beyfendi ol!
zts1073e	Beyaz fötr þapka
zts1074e	Beyaz fötr þapka (7 gün)
zts1075e	Beyaz fötr þapka (30 gün)
zts1076e	Beyaz fötr þapka (sýnýrsýz)
zts1118e	Diðerlerinin kokusunu dindirir!
zts1119e	Güzel kokulu parfüm
zts1120e	Baþkalarýnýn özel maddelerini kendi maddene dönüþtürdüðünde kullanýlýr.[n][Kullanýmý][n]Üzerine çift týkladýðýnda madde deðiþtirme penceresi açýlýr.
zts1121e	20 iyi kokulu parfüm
zts1122e	50 iyi kokulu parfüm
zts1123e	99 iyi kokulu parfüm
zts1146e	Pegasus
zts1147e	Tatlý Tavþan
zts1242e	Yeni yýl þans kutusu
zts1243e	Yeni yýl kutusu
zts1244e	Yeni yýl kutusu [n] Sýradaki deðiþik eþyalardan birini alabilirsin. [n]Eþyalar: Boða Tori incisi, gizemli kutu B, NosMate sepeti(60 gün), 5 iyi kokulu parfüm, 50 arkadaþlýk kanatlarý, 50 Cylloan kaynak suyu, Maceracý sýrtçantasý(30 gün), NosMate incisi, 2 Adverme tasmasý, 3 porsiyon en iyi NosMate mamasý.[n][n]
zts1266e	Þansýný dene!
zts1510e	Melek kanatlarý (99 adet)
zts1511e	Gizemli kutu A [n] Eðer bu kutuyu açarsan sýradaki çeþitli eþyalardan birini alabilirsin. [n Öfkeli maske A[n], Öfkeli maske B[n], Öfkeli maske C[n], Çalýkuyruðu incisi[n], Savaþçý çalý kuyruðu incisi[n], Avcý çalýkuyruðu incisi[n], Teçhizat parþömeni[n], Cylloan kaynak suyu[n], NosMate mamasý[n], serbest býrakým parþömeni[n], büyük özel iksir[n]
zts1512e	Gizemli kutu B [n]Eðer bu kutuyu açarsan önümüzdeki eþyalardan birini alabilirsin. [n][Alabileceðin eþyalar][n]Sessiz maske A[n]Sessiz maske B[n]Sessiz maske C[n]Boða çalýkuyruðu incisi[n]Akua çalýkuyruðu incisi[n]Samuray çalýkuyruðu incisi[n]Özel NosMate yemi[n]Teçhizat parþömeni[n]Cylloan kaynak suyu[n]Serbest býrakým parþömeni[n]Büyük özel iksir[n]
zts1513e	Gizemli kutu C [n] Eðer bu kutuyu açarsan sýradaki çeþitli eþyalardan birini alabilirsin. [n] Göz bandý A[n], Göz bandý B[n], Göz bandý C[n], Kanatlý at incisi[n], Tatlý bir tavþan incisi[n], Hasta çalýkuyruðu incisi[n], Teçhizat parþömeni[n], Cylloan kaynak suyu[n], NosMate mamasý[n], serbest býrakým parþömeni[n], büyük özel iksir[n]
zts1528e	NosMate sepeti (10 gün/etkinlik)
zts1537e	Büyülü Scooter
zts1540e	Büyülü halý
zts2790e	NosTüccar Madalyasý (1 gün) (Etkinlik)
zts2800e	NosTüccar Madalyasý (30 gün)
zts2801e	NosTüccar Madalyasý (7 gün)
zts8848e	2012 Avrupa Futbol Þampiyonasý - Rastgele Sandýðý
zts8993e	Fluffy Bally'ýn Rastgele Kutusu
zts9201e	Harika Ýkramiye Sandýðý
zts9265e	Minik Altýn Parçasý
zts9266e	Küçük Altýn Parçasý
zts9267e	Büyük Altýn Parçasý
zts9268e	Kocaman Altýn Parçasý
zts9282e	Uzman Sandýðý: Kanatlar ve daha fazlasý
zts10043e	Kostüm Birleþtirme
zts10054e	Çeþitlilik sevenlere özel!
zts10055e	Bununla kostümünün görünümünü deðiþtirebilirsin.[n]Bunun için ana kostümü ve malzeme kostümünü kaydetmelisin.[n][Dikkat][n]1. Süre sýnýrý olan kostümler deðiþtirilemez.[n]2. Sadece karaktere baðlý kostümler bir kere deðiþtirilebilir.[n]3. Malzeme kostümü böylece kaybolur.[n]4. [Kostüm birleþtirme sýfýrlama] iþlemiyle deðiþimi geri döndürebilirsin.[n]5. Malzeme kostümü seçenekleri ana kostüme uygulanmaz.[n]
zts10226e	10. Yýl Dönümü Madalyasý
zts10274e	Cuarry Bankasý VIP Madalyasý (10 Gün)
zts10275e	Cuarry Bankasý'ndan VIP statüsü alacak ve iþlem ücreti ödemeyeceksin.[n][Dikkat] Sadece 10 gün geçerlidir.[n]
zts10276e	Cuarry Bankasý VIP Madalyasý (30 Gün)
zts10277e	Cuarry Bankasý'ndan VIP statüsü alacak ve iþlem ücreti ödemeyeceksin.[n][Dikkat] Sadece 30 gün geçerlidir.[n]
zts19668e	Maceracý Sýrt Çantasý (sýnýrsýz)
zts19669e	Partner Sýrt Çantasý (sýnýrsýz)
zts19670e	Evcil Hayvan Sepeti (sýnýrsýz)
zts19684e	Envanterinin [n]tüm yuvalarýný 10 gün boyunca kullanabilirsin.[n]
zts19685e	Envanterinin [n]tüm yuvalarýný 30 gün boyunca kullanabilirsin.[n]
zts19686e	Envanterinin [n]tüm yuvalarýný 60 gün boyunca kullanabilirsin.[n]
zts19687e	Envanterinin tüm yuvalarýný sürekli olarak kullanabilirsin.[n]
zts19874e	11. yýl dönümü madalyonu
zts19880e	Büyülü kýzak içeren sandýk
zts19881e	Bu sandýk büyülü bir kýzak içerir.[n]
zts19886e	Kutup Ayýsý Týs incisi
zts19888e	Ateþ Þeytaný maskesi (30 günlük)
zts19889e	Ateþ Þeytaný maskesi (sýnýrsýz)
zts19890e	Ateþ Þeytaný kostümü (30 günlük)
zts19891e	Ateþ Þeytaný kostümü (sýnýrsýz)
zts19892e	Ateþ Þeytaný seti
zts19911e	Düðün kostümü uzman kartý
zts19913e	Hazine sandýðý genel anahtarý
zts19915e	Þans Çalýkuyruðu
zts19916e	Süper Þans Çalýkuyruðu
zts19930e	Ateþ Þeytaný kostüm kanadý (30 günlük)
zts19931e	Ateþ Þeytaný kostüm kanadý (sýnýrsýz)
zts19932e	Çýlgýn Paskalya tavþanýnýn partner uzman kartý
zts19933e	Paskalya tavþaný parti þapkacýðý (30 günlük)
zts19934e	Paskalya tavþaný parti þapkacýðý (sýnýrsýz)
zts19935e	Paskalya tavþaný parti kostümü (30 günlük)
zts19936e	Paskalya tavþaný parti kostümü (sýnýrsýz)
zts19937e	Paskalya tavþaný parti kostümü sandýðý
zts19938e	Paskalya tavþaný þapkasý (30 günlük)
zts19939e	Paskalya tavþaný þapkasý (sýnýrsýz)
zts19940e	Paskalya tavþaný kostümü (30 gün)
zts19941e	Paskalya tavþaný kostümü (sýnýrsýz)
zts19942e	Paskalya tavþaný kostüm seti
zts19954e	Altýn bulut incisi
zts19956e	Kutsanmanýn Mühürlenmiþ Kahramansý Týlsýmý (rastgele)
zts19959e	Peri kostüm baþlýðý (30 gün)
zts19960e	Peri kostüm baþlýðý (sýnýrsýz)
zts19961e	Peri kostüm giysisi (30 gün)
zts19962e	Peri kostüm giysisi (sýnýrsýz)
zts19963e	Peri kostüm kanatlarý (30 gün)
zts19964e	Peri kostüm kanatlarý (sýnýrsýz)
zts19965e	Peri kostüm seti
zts19973e	Graslin mührü
zts19976e	FXP güçlendiricisi (1 gün)
zts19977e	FXP güçlendiricisi (3 gün)
zts19978e	FXP güçlendiricisi (7 gün)
zts19979e	FXP güçlendiricisi (30 gün)
zts19980e	"Büyülü Eþek Piñata" sandýðý
zts19986e	Tek Kanat Perti partner uzman kartý
zts19987e	Küçük Buz Cadýsý
zts19993e	Su samuru
zts19995e	Maceracý
zts19996e	Hayvan Dostu
zts19997e	Asi
zts19998e	Ýdealist
zts19999e	Barýþ Getirici
zts20000e	Diplomat
zts20001e	Ot Temizleyicisi
zts20002e	NosVille Kurtarýcýsý
zts20003e	Yorulmaz
zts20004e	Benzersiz
zts20005e	Sihirbaz
zts20006e	Ulu Büyücü
zts20007e	Usta Cadý
zts20008e	Gümüþ Yay
zts20009e	Robin Hood
zts20010e	Usta Okçu
zts20011e	Paralý Asker
zts20012e	Tapýnak Þövalyesi
zts20013e	Kýlýç Ustasý
zts20014e	Kara Kuþak
zts20015e	Sensei
zts20016e	Ölüm Pençesi
zts20017e	Etkinlik Unvaný
zts20018e	PvP Ölüm Meleði
zts20019e	PvP Þampiyonu
zts20020e	PvP Efsanesi
zts20021e	PvP Titaný
zts20022e	Oniks Ejderi
zts20023e	Kurtarýcý
zts20024e	Þanslý Çocuk
zts20025e	Keskin Zekalý
zts20026e	Kale Duvarý
zts20027e	Kahin
zts20028e	Iþýldayan Kahraman
zts20029e	Tanrýsal
zts20032e	Tropik þapka (30 günlük)
zts20033e	Tropik þapka (sýnýrsýz)
zts20034e	Tropik kostüm (30 günlük)
zts20035e	Tropik kostüm (sýnýrsýz)
zts20036e	Tropik kostüm kanatlarý (30 günlük)
zts20037e	Tropik kostüm kanatlarý (sýnýrsýz)
zts20038e	Tropik kostüm seti
zts20039e	Ýsim deðiþtirme kartý
zts20043e	Þimþek kanatlar
zts20045e	Envanter geniþletme bileti (30 günlük)
zts20046e	Envanter geniþletme bileti (60 günlük)
zts20047e	Envanter geniþletme bileti (sýnýrsýz)
zts20048e	12. yýl dönümü madalyasý
zts20049e	12. yýl dönümüne özel alpaka sandýðý
zts20050e	12. yýl dönümüne özel koþucu alpaka sandýðý
zts20053e	Sanatçý
zts20054e	Bisküvisever
zts20055e	Doðal Yetenek
zts20056e	En Büyük Hayran
zts20057e	Bulmaca Ustasý
zts20058e	Manken
zts20059e	Film Yýldýzý
zts20060e	Laf Ebesi
zts20061e	hayatta kaldý!
zts20062e	Kadifepati
zts20063e	Sýcak Kalp
zts20064e	Buz Cadýsý þapkasý (30 günlük)
zts20065e	Buz Cadýsý þapkasý (sýnýrsýz)
zts20066e	Buz Cadýsý kostümü (30 günlük)
zts20067e	Buz Cadýsý kostümü (sýnýrsýz)
zts20068e	Buz Cadýsý kostüm kanatlarý (30 günlük)
zts20069e	Buz Cadýsý kostüm kanatlarý (sýnýrsýz)
zts20070e	Buz Cadýsý kostüm seti
zts20071e	Dövme kayýt parþömeni
zts20072e	Dövme silici
zts20073e	Runik tamir örsü
zts20074e	Runik çýkarma çekici
zts20075e	Þans runiði parþömeni
zts20078e	Melek kanadý rastgele kutusu
zts20079e	Dolunay kristali rastgele kutusu
zts20080e	Premium þans runiði parþömeni
zts20085e	Dövme runiði rastgele kutusu 1
zts20086e	Bu sandýk harika nesneler içerir.[n]Þu eþyalardan birini almak için sandýðý aç:[n]2x dövme kayýt parþömeni[n]2x dövme silici[n]2x runik silme çekici[n]4x þans runiði parþömeni[n]8x tamir runik örsü
zts20087e	Dövme runiði rastgele kutusu 2
zts20088e	Bu sandýk harika nesneler içerir.[n]Þu eþyalardan birini almak için sandýðý aç:[n]3x dövme kayýt parþömeni[n]3x dövme silici[n]3x runik silme çekici[n]6x þans runiði parþömeni[n]12x tamir runik örsü
zts20091e	"Noz Büyücüsü" Þapkasý (30 gün)
zts20092e	"Noz Büyücüsü" Þapkasý (sýnýrsýz)
zts20093e	"Noz Büyücüsü" Kostümü (30 gün)
zts20094e	"Noz Büyücüsü" Kostümü (sýnýrsýz)
zts20095e	"Noz Büyücüsü" Seti
zts20116e	Uzmanýn için baþka kanatlar seç.[n]
zts20119e	"Geniþ ürün deposu" (sýnýrsýz) sandýðý
zts20120e	"Geniþ ürün deposu" (30 gün) sandýðý
zts20133e	Geniþ ürün deposu (30 gün)
zts20149e	Runik cilasý
zts20158e	Lanetli Firavun Achenaton
zts20168e	Kýlýç Kanat
zts20182e	13. yýl dönümü madalyasý
zts20183e	Altýn pasta muhallebisi
zts20184e	Pasta^Muhallebisi
zts20185e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" kostümü (30 günlük)
zts20186e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" þapkasý (30 günlük)
zts20187e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" kostüm kanatlarý (30 günlük)
zts20188e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" kostümü (sýnýrsýz)
zts20189e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" þapkasý (sýnýrsýz)
zts20190e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" kostüm kanatlarý (sýnýrsýz)
zts20191e	"Bal Kabaðý Cadýsý/Bal Kabaðý Þövalyesi" seti
zts20204e	Þövalye Geko
zts20205e	Profesyonel balýkçý görünümü
zts20213e	Aðaç ev paketi
zts20214e	Yýlbaþý aðacý paketi
zts20215e	Kardan adam ailesi paketi
zts20216e	"Yýlbaþý aðacý yüklü araba" paketi
zts20217e	Cüce deposu paketi (30 gün)
zts20218e	Cüce deposu paketi (sýnýrsýz)
zts20219e	"Bayram dekorasyonu 2020" paketi (30 gün)
zts20220e	"Bayram dekorasyonu 2020" paketi (sýnýrsýz)
zts20221e	Kristal kanatlar
zts20223e	Cüce deposu (30 gün)
zts20230e	Büyülü kýzak
zts20231e	Mýzraklý ölüm - Kafatasý miðferi (30 gün)
zts20232e	Mýzraklý ölüm - Kafatasý miðferi (sýnýrsýz)
zts20233e	Mýzraklý ölüm - Göðüs zýrhý (30 gün)
zts20234e	Mýzraklý ölüm - Göðüs zýrhý (sýnýrsýz)
zts20235e	Mýzraklý ölüm - Kanatlar (30 gün)
zts20236e	Mýzraklý ölüm - Kanatlar (sýnýrsýz)
zts20237e	Mýzraklý ölüm - Set
zts20255e	Rodeo Boðasý
zts20257e	Rodeo Boðasý Sandýðý
zts20261e	Büyülü Baykuþ
zts20269e	Harikalar Diyarý Kostümü (30 Gün)
zts20270e	Harikalar Diyarý Kostümü (sýnýrsýz)
zts20271e	Harikalar Diyarý Baþlýðý (30 Gün)
zts20272e	Harikalar Diyarý Baþlýðý (sýnýrsýz)
zts20273e	Harikalar Diyarý Kostüm Seti
zts20274e	Harikalar Diyarý Kostümü (sýnýrsýz)
zts20281e	Yýldýzlý Aþçý Görünümü
zts20289e	Çiçek Kanatlar
zts20299e	Yarasatilki
zts20300e	Efsanevi
zts20336e	Kardan adam akýn mührü
zts20337e	Jack O'Lantern'in Akýn Mührü
zts20338e	Tavuk Kraliçesi Mührü (Etkinlik)
zts20339e	Tilkicik akýn mührü
zts20340e	Maru'nun akýn mührü
zts20341e	Hongbi Cheongbi akýn mührü
zts20342e	Çýlgýn Dr. Maunz'un akýn mührü.
zts20343e	Çýlgýn Paskalya tavþanýnýn akýn mührü
zts20344e	Korsan Mührü (Etkinlik)
zts20345e	Lola Büyükkulak'ýn akýn mührü
zts20346e	Bal Arýsý Kostümü (30 Gün)
zts20347e	Bal Arýsý Kostümü (Sýnýrsýz)
zts20348e	Bal Arýsý Tacý (30 Gün)
zts20349e	Bal Arýsý Tacý (Sýnýrsýz)
zts20350e	Bal Arýsý Kanatlarý (30 Gün)
zts20351e	Bal Arýsý Kanatlarý (Sýnýrsýz)
zts20352e	Bal Arýsý Güneþ Gözlüðü (30 Gün)
zts20353e	Bal Arýsý Güneþ Gözlüðü (Sýnýrsýz)
zts20354e	Bal Arýsý Kostüm Seti
zts20366e	Bal Arýsý Kostümü (30 Gün)
zts20367e	Bal Arýsý Kostümü (Sýnýrsýz)
zts20368e	Bal Arýsý Tacý (30 Gün)
zts20369e	Bal Arýsý Tacý (Sýnýrsýz)
zts20370e	Bal Arýsý Kanatlarý (30 Gün)
zts20371e	Bal Arýsý Kanatlarý (Sýnýrsýz)
zts20372e	Bal Arýsý Güneþ Gözlüðü (30 Gün)
zts20373e	Bal Arýsý Güneþ Gözlüðü (Sýnýrsýz)
zts20374e	Bal Arýsý Kostüm Seti
zts20383e	Premium Savaþ Kartý
zts20384e	Premium Savaþ Kartý Parasý
zts20385e	Yavrudino Velutzi
zts20390e	14. Yýl Dönümü Kangurusu
zts20391e	14. Yýl Dönümü Kanguru Sandýðý
zts20392e	14. Yýl Dönümünün Kanguru Boksörü
zts20393e	14. Yýl Dönümünün "Kanguru Boksörü" Sandýðý
zts20396e	15. Yýl Dönümü Madalyasý
zts20397e	Veba Doktoru/Veba Hemþiresi Kostümü (30 gün)
zts20398e	Veba Doktoru/Veba Hemþiresi Kostümü (sýnýrsýz)
zts20399e	Veba Þapkasý/Veba Kapüþonu (30 gün)
zts20400e	Veba Þapkasý/Veba Kapüþonu (sýnýrsýz)
zts20401e	Veba Doktoru/Veba Hemþiresi Seti
zts20409e	Veba Doktoru/Veba Hemþiresi Kostümü (30 gün)
zts20410e	Veba Doktoru/Veba Hemþiresi Kostümü (sýnýrsýz)
zts20411e	Veba Doktoru/Veba Hemþiresi Seti
zts20415e	Ejderha Kartý Koruyucu Parþömeni
zts20416e	Don Kýlýcý (30 Gün)
zts20417e	Don Kýlýcý (sýnýrsýz)
zts20418e	Don Yayý (30 Gün)
zts20419e	Don Yayý (sýnýrsýz)
zts20420e	Don Sihirli Deðneði (30 Gün)
zts20421e	Don Sihirli Deðneði (sýnýrsýz)
zts20422e	Don Eldiveni (30 Gün)
zts20423e	Don Eldiveni (sýnýrsýz)
zts20424e	Don Silah Sandýðý
zts20433e	Asgobas'ýn Pulu
zts20437e	Deniz altý silah sandýðý
zts20443e	Büyülü Beyaz Yeni Yýl Kaplan
zts20445e	Uykucu Koala
zts20450e	Roketçi kostümü (30 gün)
zts20451e	Roketçi kostümü (sýnýrsýz)
zts20452e	Roketçi kulaklýðý (30 gün)
zts20453e	Roketçi kulaklýðý (sýnýrsýz)
zts20454e	Roketçi kanatlarý (30 gün)
zts20455e	Roketçi kanatlarý (sýnýrsýz)
zts20456e	Roketçi kýyafeti seti
zts20472e	Asil Tavþancýk Faytonu
zts20473e	“Asil Tavþancýk Faytonu” sandýðý
zts20483e	Retro kanatlar rastgele kutusu
zts20487e	Kanat dönüþtürücü (rastgele)
zts20491e	Usta Balýkçý’nýn parþömeni
zts20492e	Rafting kostümü (30 gün)
zts20493e	Rafting kostümü (sýnýrsýz)
zts20494e	Yelkenci kostümü (30 gün)
zts20495e	Yelkenci kostümü (sýnýrsýz)
zts20496e	Sporcu dalgýç kýyafeti (30 gün)
zts20497e	Sporcu dalgýç kýyafeti (sýnýrsýz)
zts20498e	Dalgýç kostümü (30 gün)
zts20499e	Dalgýç kostümü (sýnýrsýz)
zts20500e	Rafting þapkasý (30 gün)
zts20501e	Rafting þapkasý (sýnýrsýz)
zts20502e	Kaptan þapkasý (30 gün)
zts20503e	Kaptan þapkasý (sýnýrsýz)
zts20504e	Dalýþ regülatörü (30 gün)
zts20505e	Nefes regülatörü (sýnýrsýz)
zts20506e	Þnorkel seti (30 gün)
zts20507e	Þnorkel seti (sýnýrsýz)
zts20508e	Rafting kostüm seti
zts20509e	Yelkenci kostüm seti
zts20510e	Sporcu dalgýç kostüm seti
zts20511e	Dalgýç kostüm seti
zts20518e	Mavi küçük þiþe
zts20519e	Kýrmýzý küçük þiþe
zts20520e	Sarý küçük þiþe
zts20521e	Yavru Panda
zts20526e	15. Yýl Dönümü Unvaný
zts20527e	Soluk-15
zts20529e	Soluk Prototipi
zts20534e	Ýskelet kostümü (30 gün)
zts20535e	Ýskelet kostümü (sýnýrsýz)
zts20536e	Ýskelet maskesi (30 gün)
zts20537e	Ýskelet maskesi (sýnýrsýz)
zts20542e	Ýskelet kostüm seti
zts20549e	Altýn Kartal Kanatlarý
zts20557e	Zencefilli Kurabiye Savaþçýsý Par
zts20558e	Zencefilli Kurabiye Okçusu Pur
zts20559e	Zencefilli Kurabiye Büyücüsü Pir
zts20569e	Kutsama Týlsýmý (Etkinlik)
zts20571e	Koruma Týlsýmý (Etkinlik)
zts20573e	Kutsanmanýn Kahramansý Týlsýmý (Rastgele, Etkinlik)
zts20575e	Kutsanmanýn Kahramansý Týlsýmý (Etkinlik)
zts20577e	Teçhizat Koruma Parþömeni (Etkinlik)
zts20579e	Altýn Teçhizat Koruma Parþömeni (Etkinlik)
zts20581e	Þans Runiði Parþömeni (Etkinlik)
zts20583e	Premium Runik Yükseltme Parþömeni (Etkinlik)
zts20584e	Tatlý çikolata kýlýcý (30 gün)
zts20585e	Tatlý çikolata kýlýcý (sýnýrsýz)
zts20586e	Tatlý çikolata eldiveni (30 gün)
zts20587e	Tatlý çikolata eldiveni (sýnýrsýz)
zts20588e	Tatlý çikolata yayý (30 gün)
zts20589e	Tatlý çikolata yayý (sýnýrsýz)
zts20590e	Tatlý çikolata sihirli deðneði (30 gün)
zts20591e	Tatlý çikolata sihirli deðneði (sýnýrsýz)
zts20592e	"Çikolata rüyasý" silah görünümü sandýðý
zts20611e	Dinozor kostümü (30 gün)
zts20612e	Dinozor kostümü (sýnýrsýz)
zts20613e	Peluþ dinozor kafasý (30 gün)
zts20614e	Peluþ dinozor kafasý (sýnýrsýz)
zts20615e	Dinozor kanatlarý (30 gün)
zts20616e	Dinozor kanatlarý (sýnýrsýz)
zts20617e	Dinozor kostüm seti
zts20624e	Ebedi
zts20631e	Evcil hayvan eðitmeni incisi
zts20633e	Evcil hayvan eðitmenleri için premium görünüm
zts20635e	Aðaç kanatlarý
zts20640e	Antik etkinlik sandýðý
zts20641e	Efsanevi etkinlik sandýðý
zts20642e	Dikenli saç modeli sandýðý (sýnýrlý)
zts20643e	Orman Elfi Okçusu Forga
zts20648e	Navy Çalýkuyruk
zts20652e	Mini evcil hayvan "Griffin" (sýnýrsýz)
zts20653e	Mini evcil hayvan "Kara Ejderha" (sýnýrsýz)
zts20654e	Mini evcil hayvan "Griffin" (30 gün)
zts20655e	Mini evcil hayvan "Kara Ejderha" (30 gün)
zts20656e	Mini evcil hayvan "Griffin" (7 gün)
zts20657e	Mini evcil hayvan "Kara Ejderha" (7 gün)
zts20667e	Iþýn kýlýcý (30 gün)
zts20668e	Iþýn kýlýcý (sýnýrsýz)
zts20669e	Iþýn eldiveni (30 gün)
zts20670e	Iþýn eldiveni (sýnýrsýz)
zts20671e	Iþýn yayý (30 gün)
zts20672e	Iþýn yayý (sýnýrsýz)
zts20673e	Iþýn sihirli deðneði (30 gün)
zts20674e	Iþýn sihirli deðneði (sýnýrsýz)
zts20683e	Iþýn silah görünümü sandýðý
zts20687e	Mini evcil hayvan "Feniks" (sýnýrsýz)
zts20688e	Mini evcil hayvan "Feniks" (30 gün)
zts20689e	Mini evcil hayvan "Feniks" (7 gün)
zts20690e	Mini evcil hayvan "Mavi Feniks" (sýnýrsýz)
zts20691e	Mini evcil hayvan "Mavi Feniks" (30 gün)
zts20692e	Mini evcil hayvan "Mavi Feniks" (7 gün)
zts20702e	16. yýl dönümü için küçük çikolatalý pasta
zts20703e	16. yýl dönümü için küçük gökkuþaðý pastasý
zts20717e	Tanrýnýn ürpertici hizmetkarý kostümü (30 gün)
zts20718e	Tanrýnýn ürpertici hizmetkarý kostümü (sýnýrsýz)
zts20719e	Tanrýnýn ürpertici hizmetkarý baþlýðý (30 gün)
zts20720e	Tanrýnýn ürpertici hizmetkarý baþlýðý (sýnýrsýz)
zts20721e	Tanrýnýn ürpertici hizmetkarý kostüm seti
zts20732e	Peri sýfýrlama seti
zts20733e	Altýn alet
zts20734e	Peri dönüþtürücü
zts20735e	Buhar Çýlgýnlýðý Kanatlarý
