zts1e	Teos Werkzeugladen
zts5249e	Ich werde tun, was ich kann! Sag mir einfach, was du dafür brauchst.
zts5250e	Hm ... Wir brauchen reines Wasser und Feenstaub. Das reine Wasser ist kein Problem, doch um an den Feenstaub zu kommen, muss man mit einer Fee eng befreundet sein.
zts5251e	Oh! Hm ... Eva! Eva steht den Feen doch recht nahe ...
zts5252e	Stimmt! Ich bin bald zurück, Malcolm. Es ist wirklich dringend, fang also bitte schon mal mit den Vorbereitungen an.
zts5253e	Oh ... Okay!
zts5254e	Eva!!!
zts5255e	Hey! Mach nicht so einen Lärm! Sei bitte leise, sonst erschreckst du noch die Feen ...
zts5256e	Oh, entschuldige. Ich bin nur sehr in Eile ...
zts5257e	Das ist schon in Ordnung ... Aber warum hattest du es so eilig, mich zu finden?
zts5258e	Ich brauche etwas Feenstaub. Hast du welchen?
zts5259e	Momentan habe ich keinen, aber wenn ich die Feen danach frage, bekomme ich bestimmt welchen.
zts5260e	Wirklich? Würdest du für mich danach fragen? Bitte!
zts5261e	Die Begeisterung der Feen für gutes Essen ist dir sicherlich bekannt, <pname>. Wenn man ihnen etwas Leckeres bringt, geben sie einem bestimmt etwas Staub.
zts5262e	Hm ... Für die Zubereitung der Speisen fehlt mir noch ein besonderes Gewürz ... Könntest du mir 5 Portionen duftendes Gras besorgen?
zts5263e	Klar doch! Das sollte kein Problem darstellen!
zts5264e	Hier ist das duftende Gras!
zts5265e	Großartig! Damit können wir den Feen etwas Leckeres zubereiten! Ich sage gleich den Feen Bescheid! Warte bitte kurz.
zts5266e	Hier ist der Feenstaub, den du wolltest.
zts5267e	Vielen Dank!
zts5268e	Gern geschehen. Dank dir hatten die Feen eine wundervolle Mahlzeit.
zts5269e	(Damit sind alle nötigen Materialien beisammen. Jajamaru muss schnellstens befreit werden!)
zts5270e	Endlich bist du wieder hier! Ich habe schon auf dich gewartet.
zts5271e	Mach bitte schnell! Es ist sehr dringend.
zts5272e	Gedulde dich bitte einen Augenblick ...
zts5273e	So, bitteschön! Hier ist sie ...
zts5274e	Oh! Vielen Dank! Und bitte entschuldige die Hektik ...
zts5275e	Ach, das macht doch nichts. Es freut mich, dass ich dir helfen konnte.
zts5276e	(Nun sollte es möglich sein, Jajamaru zu befreien! Schnell zu Calvin!)
zts5277e	Calvin! Ich habe die Essenz des Geistes! Was muss ich nun damit machen?
zts5278e	Das ist ganz einfach. Verbinde die Essenz mit der Karte.
zts5279e	Etwa so?
zts5280e	Ja. Ganz langsam! Aber denk dran, dass du die Person damit nur vorübergehend befreien kannst.
zts5281e	Allmählich steigt aus der Karte Rauch auf ...
zts5282e	Ähm ... Wo bin ich? Oh, danke dir! Du weißt also über die Karte Bescheid ... Wir haben nicht allzu viel Zeit. Kannst du mir einen Gefallen tun?
zts5283e	Ja, mit Vergnügen!
zts5284e	Vielen Dank ... Ich hätte nicht erwartet, an einem solchen Ort einen Verbündeten zu finden ... Das ist einfach großartig!
zts5285e	Das finde ich auch ...
zts5286e	Ist dir hier irgendwo ein kleines Tor aufgefallen? Ich spüre hier nämlich die gleiche starke Energie wie in meinem Dorf.
zts5287e	Hm ... Ich glaube, bei den NosVille-Wiesen hat man ein neues Tor entdeckt.
zts5288e	Gut! Durch dieses Tor gelangt man in mein Dorf. Ich habe dort die Haarnadel der Prinzessin versteckt. Könntest du sie suchen?
zts5289e	Eine Haarnadel? Ist sie irgendwie besonders?
zts5290e	Ja. Sie enthält die Macht der Prinzessin. Durch diese Macht konnte ich hierher gelangen.
zts5291e	Okay ...
zts5292e	Nur ich habe die Macht, Namaju zu vernichten.
zts5293e	Obwohl mein Körper in dieser Karte gefangen ist, kann meine Macht genutzt werden. Würdest du es versuchen? Ich kann meine gesamte Macht auf dich übertragen.
zts5294e	Bitte! Nutze meine Macht und befreie die Prinzessin.
zts5295e	Ja, das werde ich! Ich werde alles versuchen, um die Prinzessin zu retten!
zts5296e	Du musst zunächst trainieren und dich mit der Macht vertraut machen ... Das ist ... unerlässlich, um ...
zts5297e	Jajamaru wurde wieder in die Karte eingeschlossen.
zts5298e	Keine Sorge, Jajamaru! Ich werde Prinzessin Sakura mit deiner Macht retten!
zts5299e	Hey du! Warte einen Moment.
zts5300e	Hm? Worum geht es?
zts5301e	Ich spüre eine sehr reine Kraft in dir, <pname>.
zts5302e	Hihi! Du machst mich ganz verlegen ...
zts5303e	Hm ... Aber diese Kraft geht nicht von dir aus, sondern von einem Gegenstand, den du bei dir hast ...
zts5304e	?
zts5305e	Ah! Es ist diese Haarnadel! Kann ich sie mir mal ansehen?
zts5306e	Ja, sicher.
zts5307e	Oh, diese Kraft ist so ... rein! Hm? Es fühlt sich so an, als ... wäre der Besitzer dieser Kraft irgendwo eingesperrt ... Ist das so?
zts5308e	Ja, das ist sie! Woher wusstest du das?
zts5309e	Wenn ich eine Kraft spüre, führt sie mich direkt zu ihrem Besitzer.
zts5310e	Könntest du den Besitzer der Kraft dann auch befreien?
zts5311e	Ja, wenn die Haarnadel vollständig von dieser Macht erfüllt wäre ... Aber das ist hier nicht der Fall. Die Kraft in dieser Haarnadel reicht nicht aus.
zts5312e	Oh ... Dann gibt es also keine Möglichkeit, sie zu befreien?
zts5313e	Ich kenne einen Weg, aber ... Nein, vergiss es, das ist unmöglich.
zts5314e	Warum? Ich bin bereit, alles zu tun! Bitte sag es mir.
zts5315e	Du würdest wirklich alles tun? Nun ... Kennst du den Zauberturm?
zts5316e	Du meinst ... den verlassenen Zauberturm?
zts5317e	Ja. Dort wimmelt es vor Monstern, die durch schwarze Magie erschaffen wurden.
zts5318e	Und was muss ich dort tun?
zts5319e	Bei der schwarzen Magie werden Seelenkristalle zur Erweckung der Monster genutzt. Wenn du die Monster tötest, kannst du die Seelenkristalle erbeuten. Aber sei vorsichtig! Diese Monster sind besonders stark ...
zts5320e	Seelenkristalle ... Okay, ich werde sie dir bringen!
zts5321e	Ich brauche die Seelenkristalle, um daraus ein Juwel anzufertigen. Sammle bitte so viele Seelenkristalle wie möglich.
zts5322e	*schnauf* Sind das genug Kristalle? Oh, Prinzessin Sakura ...
zts5323e	Die eingesperrte Person ... Sie ist dir wohl wichtig ... Deshalb bemühst du dich so ...
zts5324e	Ich habe es einem Freund versprochen. Und ich werde mein Versprechen halten!
zts5325e	Ich verstehe ... Warte einen Moment. Ich werde dir dabei helfen, dein Versprechen zu halten.
zts5326e	Ich habe das Juwel angefertigt. Wenn man es an der Haarnadel befestigt, kann die darin enthaltene Energie auf sie übergehen.
zts5327e	Danke! Könntest du es gleich anbringen?
zts5328e	Ja, gerne. Gib gut Acht.
zts5329e	??
zts5330e	Sobald das Juwel die Haarnadel berührt, durchströmt sie große Energie.
zts5331e	Eine Energie wie diese habe ich noch nie gespürt.
zts5332e	Jetzt sollte die Energie in der Haarnadel ausreichen.
zts5333e	Aber wo ist Prinzessin Sakura? Die Haarnadel sollte sie doch befreien?
zts5334e	Der Name der eingesperrten Person lautet also Sakura? Rufe sie einfach bei ihrem Namen und sie wird dir antworten.
zts5335e	Ah, verstehe. Danke! Danke vielmals!
zts5336e	Entferne Prinzessin Sakuras Siegel!
zts5337e	Nehme Jajamarus Quest an.
zts5338e	Hm ... Auch wenn es nur für kurze Zeit ist ... Er muss einfach aus dieser Karte befreit werden ...
zts5339e	Nicht, dass ich zu wenig Vertrauen hätte ... Aber Namaju sieht doch recht stark aus ...
zts5340e	<pname>!! Warum zögerst du? Jajamaru ist mit dir!
zts5341e	Jajamaru ... Gib gut Acht! Ich habe dir etwas versprochen und daran werde ich mich halten!
zts5342e	<pname>! Einen Moment, bitte.
zts5343e	Ich spüre eine sehr reine Kraft in dir, <pname>.
zts5344e	Jajamaru-Timespace
zts5345e	Hm ... Ich hätte nicht erwartet, hierher zu kommen. Oh! Das ist doch Namaju!
zts5346e	Hm? Wer bist du? Und woher kennst du meinen Namen?
zts5347e	Hey! Hier drüben! Ich wurde hier eingesperrt! Bitte hilf mir!
zts5348e	(Diesmal können sie mich wohl sehen ... Aber wo ist Jajamaru? Konnte er mich etwa nicht begleiten?)
zts5349e	(Ein Kampf ist keine allzu gute Idee, wenn man den Gegner nicht einschätzen kann ...) Diesmal werde ich mich noch zurückziehen! Wer sich mir in den Weg stellt, wird es bereuen!
zts5350e	Ähm ... Hey! Halt! Er ist schon wieder weg ... Dieser Schurke ist wirklich verdammt schnell ...
zts5351e	Was ist das für ein Stein? Hat er ihn absichtlich fallen lassen? Diese Form ist wirklich ungewöhnlich ... Und diese Markierungen ... Sie kommen mir irgendwie bekannt vor ...
zts5352e	Ich hab es! Namaju!
zts5353e	Oh! Bist du gekommen, um mich zu retten?
zts5354e	Hey du! Ich habe dich gewarnt, dich mir nicht in den Weg zu stellen! Tötet ihn!
zts5355e	Puh ... Die waren ziemlich stark ... Das hat mich recht viel Zeit gekostet ... Ich muss schnellstens die Verfolgung aufnehmen.
zts5356e	Wo ist er nur hin?! Moment! Das klingt nach einem Schwertkampf ... Schnell!
zts5357e	Hm? Das ist doch ... Jajamaru! (Wie ist er hierher gekommen, ohne ein Tor zu benutzen?) Egal, uns läuft die Zeit davon! Ich muss ihm helfen.
zts5358e	Ich weiß zwar nicht, wer du bist, aber ich bin dir für deine Hilfe sehr dankbar.
zts5359e	Keine Ursache. Hauptsache, du bist wohlauf.
zts5360e	Ich werde deine Hilfe nicht vergessen! Aber jetzt muss ich weiter ...
zts5361e	Hey! Moment! Ich begleite dich!
zts5362e	Namaju! Endlich treffen wir uns!
zts5363e	Was?! Jajamaru?! Wie bist du hierher gekommen?
zts5364e	Jajamaru?! Oh! Bitte befreie mich! Schnell!
zts5365e	Ich werde dir helfen, Jajamaru!
zts5366e	Du? Danke ... Aber ich weiß nicht, ob deine Attacken ihm etwas anhaben können ...
zts5367e	(Was?! Oh, nein! Meine Attacken zeigen bei ihm keinerlei Wirkung!)
zts5368e	Namaju verfügt über besondere Kräfte. Nur ich kann ihn bezwingen ... Beschütze du die Prinzessin.
zts5369e	Ahhhh!
zts5370e	Ha! Was sagst du dazu, Namaju?!
zts5371e	Uhhh ... Jajamaru ... Ich werde nicht aufgeben ...
zts5372e	(Ich kann ihm leider nicht helfen ... Aber der Kampf ist eh bald zu Ende.)
zts5373e	Endlich ist der Augenblick gekommen, unserem Kampf ein Ende zu setzen. Nimm das!
zts5374e	Doch in diesem Moment hält Namaju boshaft lachend eine Karte in der Hand. Jajamaru wird plötzlich in die Karte eingesogen und ist verschwunden ...
zts5375e	Was hast du Jajamaru angetan?!
zts5376e	Ich habe ihn erneut in eine Karte gesperrt! Dort ist er gut aufgehoben ... Jajamaru, dieser Narr! Hahaha!!
zts5377e	(Alleine habe ich keine Chance gegen ihn ... Ich muss mich zurückziehen ... Aber ich werde zurückkehren, um die Prinzessin zu befreien!)
zts5378e	Prinzessin Sakura, halte durch! Ich werde wiederkommen und dich retten!
zts5379e	Ach, dich hatte ich völlig vergessen! Schnappt ihn euch! Heute ist ein wundervoller Tag! Muhahaha!!
zts5380e	Hey du! Das wird dir noch leidtun!!
zts5381e	Was?! Hat dieser Typ etwa die Karte an sich genommen? Ach, egal. Ich habe Jajamaru ja bereits in die Karte gesperrt. Was kann er schon damit anfangen? Muhahaha!!
zts5382e	Ahhh! Ich wäre fast gestürzt ... Das Tor hat direkt auf das Dach geführt ... Die Haarnadel ... Wo mag sie nur sein?
zts5383e	Oh nein! Diese Schurken sind mir zuvorgekommen ... Ich muss die Haarnadel vor ihnen finden ...
zts5384e	Oh nein! Sie haben mich entdeckt ...
zts5385e	Puh ... Es sind einfach zu viele ... Aber mit jedem Kampf fühle ich mich stärker ... Das muss Jajamarus Macht sein!
zts5386e	Ich habe sie gefunden!
zts5387e	Ha! Gute Arbeit. Es hat sich gelohnt, dir zu folgen.
zts5388e	Was?! Wer bist du?
zts5389e	Du kennst mich nicht. (Ich kann Jajamarus Macht spüren! Aber das kann doch nicht sein ...) Gib mir die Haarnadel! Meister Namaju will sie haben.
zts5390e	Niemals! Sie gehört Jajamaru! Ich werde sie dir nicht geben!
zts5391e	Hm? Du kennst Jajamaru?
zts5392e	Natürlich! Wir sind Freunde!
zts5393e	Ein Freund von Jajamaru ... Dann darf ich dich nicht am Leben lassen. Bereite dich auf dein Ende vor ...
zts5394e	Uhhh!! Das ist doch Jajamarus Macht?! Ein Irrtum ist ausgeschlossen ... Gegen Jajamaru bin ich machtlos.
zts5395e	*schnauf* Jajamaru ist in mir!!
zts5396e	Uhhh ... Ich werde mich Jajamaru stellen. Töte mich.
zts5397e	Ich brauche dein Leben nicht!
zts5398e	*hust* Wer sind diese Kerle?!
zts5399e	Meister Namaju will mit dir sprechen. Versuch nicht zu fliehen. Den Meister sollte man nicht warten lassen.
zts5400e	Ha! Ich werde bestimmt nicht davon laufen! Warte es nur ab, Namaju!
zts5401e	N.O.S.-Event!
zts5402e	N.O.S.-Event Malcolm 1
zts5403e	N.O.S-Event Malcolm 2
zts5404e	N.O.S.-Event Malcolm 3
zts5405e	N.O.S-Event Malcolm 4
zts5406e	N.O.S.-Event Malcolm 5
zts5407e	N.O.S.-Event Malcolm 6
zts5408e	N.O.S-Event Malcolm 7
zts5409e	N.O.S.-Event Malcolm 8
zts5410e	NosCamp-Info (Japan)
zts5411e	NosVille-Alchemieverband
zts5412e	Wenn selbst ich meinen Meister nicht schützen konnte ...
zts5413e	Obwohl mein Körper in dieser Karte gefangen ist, kann meine Macht genutzt werden. Würdest du es versuchen?
zts5414e	Ich kann meine gesamte Macht auf dich übertragen. Nutze sie, um die Prinzessin zu befreien.
zts5415e	Aber das ...
zts5416e	Namaju kann nur mit meiner Macht bezwungen werden. Bitte hilf mir dabei.
zts5417e	Okay. Ich kümmere mich darum!
zts5418e	Nimm das hier an dich. Du wirst es brauchen.
zts5419e	Ist das ... eine Haarnadel?
zts5420e	Ja. Sie enthält die Macht der Prinzessin. Durch diese Macht konnte ich hierher gelangen.
zts5421e	Okay ... Jetzt muss ich nur noch Namaju finden ...
zts5422e	Hier in der Nähe soll sich ein neues Tor geöffnet haben. Da es zur selben Zeit aufgetaucht ist wie der Meteorit, könnte durchaus ein Zusammenhang bestehen.
zts5423e	Ah! Dann liegt es bestimmt an diesem Tor, dass ich diese Energie in meinem Dorf spüren konnte!
zts5424e	In Ordnung! Dann befreien wir nun gemeinsam Prinzessin Sakura!
zts5425e	Vielen Dank ... Ich hätte nicht erwartet, an einem solchen Ort einen Verbündeten zu finden ... Das ist einfach großartig! Mit deiner ... Unterstützung ... sollte ...
zts5426e	Jajamaru wurde wieder in die Karte eingeschlossen, ehe er zu Ende reden konnte.
zts5427e	Ich finde es auch großartig, dein Verbündeter zu sein ... Keine Sorge, Jajamaru! Ich werde Prinzessin Sakura mit deiner Macht retten!
zts5428e	Gelöschter Quest-Dialog
zts5429e	Jajamaru-Grabstein-Quest
zts5430e	Wo bin ich? Wo kommt auf einmal der ganze Bambus her?
zts5431e	Namaju?!
zts5432e	Hm? Wer bist du? Und woher kennst du den Namen meines Meisters?
zts5433e	(Ist das etwa ein Klon von Namaju? Er sieht irgendwie kleiner aus ... Wo steckt eigentlich Jajamaru?)
zts5434e	(Ich sollte keinen Kampf riskieren, ehe ich die gesamte Macht nutzen kann ...) Diesmal werde mich noch zurückziehen! Wer sich mir in den Weg stellt, wird es bereuen!
zts5435e	Solltest du mir weiterhin in die Quere kommen, werde ich dem ein Ende bereiten! Ich kenne kein Erbarmen!
zts5436e	Dieser Klon scheint ziemlich stark zu sein ...
zts5437e	Puh! Ich kann ihn nicht noch länger verfolgen ... Ich gebe auf ...
zts5438e	Jajamarus glänzender Stein
zts5439e	Meister Namaju hat befohlen, ihn aufzuhalten!
zts5440e	Diese Kerle waren ziemlich stark ... Das hat mich recht viel Zeit gekostet ... Ich muss schnellstens die Verfolgung aufnehmen.
zts5441e	Puh! Nimmt das irgendwann mal ein Ende?
zts5442e	Was ist das für ein Geräusch? Das klingt nach einem Schwertkampf ... Schnell!
zts5443e	Bist du es ... Auch wenn das nur ein Klon ist ... Namaju verfügt über besondere Kräfte. Beschütze bitte die Prinzessin.
zts5444e	Uhhh ... Jajamaru ... Wenn ich doch nur die gesamte Macht nutzen könnte ...
zts5445e	(Ich kann ihm leider nicht helfen ... Aber wenn ich Prinzessin Sakura befreie, wäre es für ihn leichter ...)
zts5446e	Du wagst es, die Prinzessin zu bedrohen! Das ist unverzeihlich! Nimm das!
zts5447e	Doch in diesem Moment hält Namajus Klon boshaft lachend eine Karte in der Hand. Jajamaru wird plötzlich in die Karte eingesogen und ist verschwunden.
zts5448e	Die Prinzessin war von Anfang an nichts weiter als ein Köder! Jetzt kann mich niemand mehr aufhalten! Muhaha!!
zts5449e	(Ich kann Namaju nicht alleine stellen. Aber vielleicht kann ich Jajamaru befreien ...)
zts5450e	(Prinzessin Sakura tut mir so leid, aber ... ich muss mit der Karte fliehen!)
zts5451e	Ach, dich hatte ich völlig vergessen! Willst du etwa davonlaufen? Muhahaha! Feigling!
zts5452e	Was?! Hat dieser Typ etwa die Karte an sich genommen? Ach, egal. Ich habe Jajamaru ja bereits in die Karte gesperrt. Was kann er schon damit anfangen? Muhahaha!!
zts5453e	Keiner folgt mir. Welch ein Glück. Ich muss sofort zum NosCamp zurückkehren und Hilfe holen!
zts5454e	Jajamaru-Raidsiegel
zts5455e	Weißt du, wo du hier hineingeraten bist?
zts5456e	Ich bin hier, um Namaju eine Lektion zu erteilen!
zts5457e	Muhahaha! Mutiger Narr! Du musst dich erst mir stellen, ehe du vor Meister Namaju treten kannst. Muhaha!
zts5458e	Du bist gar nicht mal so schlecht. Ha! Mal sehen, wie du mit diesem Angriff zurecht kommst ...
zts5459e	Ha! Du bist wirklich stark! Namajus Tage sind wohl gezählt ... Endlich! Muhahahaha!
zts5460e	Ähm ... Bist du nicht Namajus rechte Hand?
zts5461e	Das hat dich nicht zu interessieren! Muhaha! Du hast dich als würdig erwiesen ... Geh jetzt. Beeilung!
zts5462e	Namaju! Mach dich auf einen harten Kampf bereit! Muhahaha!
zts5463e	Dieser Typ ... Hatte er etwa gehofft, dass ich ihn bezwinge? Er schien irgendwie erleichtert zu sein ...
zts5464e	Leerer Dialog
zts5465e	Großer Grabstein
zts5466e	Was steht da?
zts5467e	Kleiner Grabstein
zts5468e	Also ... Ich weiß ja nicht.
zts5469e	Akt 2 - Ein Teil von Mount Krem
zts5470e	Freut mich, dich kennen zu lernen. Ich hörte du trägst die Seele eines Kovolts in dir.
zts5471e	(Also ... das zu hören macht mir Angst.)
zts5472e	Wir müssen in Krem ein zweites NosCamp bauen. Jedoch wird der Häuptling der Koaren dem nicht zustimmen. Du musst dieses Problem lösen.
zts5473e	(Moment! Jetzt kommen die Leute schon zu mir und geben mir Befehle, anstatt mich zu fragen!)
zts5474e	Hey, einen Moment!
zts5475e	Was noch, Seele der Kovolts...
zts5476e	Haha... genug davon. Du musst mir noch erzählen, was dort passiert ist.
zts5477e	Sicher: Korrkoaren hilft der Armee, weil die Soldaten hungrig und müde sind. Aber weil es überall so viele Feinde gibt, braucht er eine helfende Hand. Er hat sich dazu entschlossen, Abenteurer wie Dich zu suchen. Er wollte hier ein NosCamp aufbauen, jedoch benötigt er die Zustimmung des Dorfes. Der Häuptling und die Dorfbewohner müssen sich einigen. Aber sie trauen den Menschen nicht, deswegen brauchen wir jemanden wie dich. Du trägst die Seele eines Kovolts in dir...
zts5478e	(Es reicht langsam!) Okay! Ich verstehe. Dann treffe ich mich jetzt mit dem Häuptling.
zts5479e	Gespräch beenden
zts5480e	Wie geht es Ihnen, Häuptling?
zts5481e	Es geht mir gut. Korrkoaren hat mir schon viel von dir erzählt. Aber wenn du mit mir über die Errichtung des NosCamps hier reden willst, verschwendest du deine Zeit.
zts5482e	Aber Häuptling, hören Sie mir doch erst einmal zu ...
zts5483e	Ich weiß, dass das eine gute Idee ist. Aber die meisten Dorfbewohner trauen nun mal den Menschen nicht.
zts5484e	Gibt es etwas, wobei ich helfen kann?
zts5485e	Warum willst du uns helfen?
zts5486e	Nun... Lord Cuarry ist dafür verantwortlich, dass sich Menschen und Kovolts bekämpfen. Dabei haben die Dämonen den Krieg begonnen. Da wir das nun wissen, wieso sollten wir dann nicht gemeinsam kämpfen?
zts5487e	Glaubst du wirklich, dass uns die Menschen unseretwegen geholfen haben? Vielmehr haben sie gemerkt, dass auch ihr Leben in Gefahr... Nein, es ist noch zu früh, dir das zu erzählen. Es gibt eine Möglichkeit, wie du uns deine Loyalität beweisen kannst. Nimmst du die Herausforderung an?
zts5488e	Ja, auf jeden Fall!
zts5489e	Okay, dann werde ich dir diese eine Chance geben. Colly wird dir alles erklären.
zts5490e	(Ein Kovolt mit verbundenen Augen ruft dich zu sich.)
zts5491e	Hmm... böse Mächte sind zum Mount Krem gekommen. Sie rauben die Energie der Kovolts! Hilfst Du uns?
zts5492e	Ja, Magier.
zts5493e	Der Gipfel des Krem ist ein heiliger Ort, den wir Kovolts durchschreiten müssen. Geh dort hin und überzeuge unsere 8 Ahnengötter davon, dass diese Energie nicht von der Anwesenheit der Menschen stammt. Bring ihnen ein Opfer dar und wasche die Statuen mit purem Fruchtsaft, um ihre Kraft zu erhalten. Das wird dich von der bösen Energie befreien.
zts5494e	Wow!!!
zts5495e	Huch!! Die Statue spricht!? Bist du ein Ahnengott?
zts5496e	Aber... ich verstehe leider nicht, was sie sagt... wie auch immer... ich werde sie mit dem Saft waschen.
zts5497e	Oh!! Oooh!!
zts5498e	Woohoo!!
zts5499e	Woo!!! Ohh...
zts5500e	Hm, nun klingt es wie ein Lied.
zts5501e	Woo!! Ohh... woo!!
zts5502e	Uhh... Woa!!
zts5503e	Yee!! Woo!! Was... was tue ich da?!
zts5504e	Oh... woouhhh!!!
zts5505e	(Die Statue ist zerbrochen.)
zts5506e	Woaah! Was ist denn hier passiert?
zts5507e	Magier, die 8. Statue ist zerbrochen!
zts5508e	Hmmm ... welche Farbe hatte der Staub? War er weiß oder gelb?
zts5509e	Er war hauptsächlich weiß.
zts5510e	Diese Statue wurde aus speziellem Lehm gefertigt. Er ist sehr selten und deshalb schwer zu finden. Würde jemand die Statue zerstören, könnten wir sie nicht alleine reparieren. Wir wären bei der Reparatur auf die Hilfe der Menschen angewiesen.
zts5511e	Hast du alles, was du wolltest? Dann werde ich mich nun aufmachen, einen anderen Ort zu erkunden.
zts5512e	Ja! Pass auf dich auf.
zts5513e	(Kenel verschwindet.)
zts5514e	Uff ... Das ist ganz schön schwer. Wo ist eigentlich die Catsy? Ah ... Wen soll ich bloß darum bitten, die Statue zu reparieren? Ich habe keine Ahnung, wer dafür in Frage kommen könnte ... Teoman vielleicht? Seine Arbeit könnte ihn dazu befähigen ... Hmmm? Hier geht es allerdings nicht um Waffen, sondern um ein Kunstwerk, also ... ist das Schluri?
zts5515e	Hast du eine Idee, wer die Statue reparieren könnte?
zts5516e	Nein, ich habe keine Idee, und ich will auch nichts davon hören. Ich mag keine Völker, die die Erde verändern und sie für ihre eigene Zwecke im Namen der Kunst missbrauchen.
zts5517e	Also... weißt du etwas, du möchtest mir nur nichts erzählen, oder?
zts5518e	Tzä!!
zts5519e	Würdest du mir nur sagen, wo ich jemanden finden kann?
zts5520e	Hmpf... übrigens, was trägst du da bei dir?
zts5521e	Ah... das meinst du?
zts5522e	(Du zeigst Schluri den gesammelten Lehm.)
zts5523e	Wow!! Was hast du damit vor?
zts5524e	Damit werde ich auf dem Gipfel des Krem eine Statue errichten.
zts5525e	Ich weiß sehr gut über die Statuen dort bescheid. Ist das alles, was du hast?
zts5526e	Ja... ist es genug?
zts5527e	Nun... ich nehme es an... vermutlich sogar mehr als genug. Möchtest du, dass ich mich mit einen Bildhauer treffe?
zts5528e	Würdest du?
zts5529e	Sicher... mit Vergnügen. Gib mir den Lehm.
zts5530e	(Du übergibst Schluri den Lehm.)
zts5531e	Warte, ich bin bald zurück.
zts5532e	(Schluri macht sich auf den Weg und kommt kurz darauf zurück.)
zts5533e	Hier ist es...
zts5534e	Ja...
zts5535e	Ist es jetzt fertig?
zts5536e	Ich habe die Statue gebaut, Magier.
zts5537e	Du hast deine Arbeit gut gemacht. Jetzt müssen die Dorfbewohner nur noch den Menschen vertrauen, dann darf der Häuptling hier ein NosCamp errichten.
zts5538e	Danke nicht uns. Es ist der Plan unserer Vorfahren.
zts5539e	(Du berichtest Anni davon.)
zts5540e	Wirklich? Das hast du super gemacht!!
zts5541e	Haha... danke für das Lob.
zts5542e	Jetzt... gebe ich dir dieses Geschenk. Bitteschön.
zts5543e	Danke, aber... ist das für eine Belohnung nicht ziemlich wenig?
zts5544e	Wenig? Ich dachte du wolltest ein mutiger Abenteurer werden, und kein Söldner, oder?
zts5545e	Ja, aber... trotzdem...
zts5546e	Das ist keine Belohnung, sondern eine Hilfe, um das Dorf wieder aufzubauen. Geh und hilf den Leuten.
zts5547e	Aber das ist keine Arbeit für einen Abenteurer, warum soll ich sowas tun?
zts5548e	Was sind denn die Aufgaben eines Abenteurers? Das Dorf wurde zerstört - wer soll es wieder aufbauen? Die Dämonen? Lord Cuarry und seine Ritter? Nein? Dann bleiben nur Du und die Kovolts. Geh!
zts5549e	(Anni schiebt dich von hinten hinaus.)
zts5550e	Hmpf... warum muss ich sowas machen? Wie soll ich das Dorf alleine ändern?
zts5551e	Nichts hat sich geändert?
zts5552e	Überhaupt nichts ändert sich ...
zts5553e	Mir ist langweilig... ah... ich werde das Lied singen, das ich bei der Statue gehört habe... Ohhh... Whaa... Ohh? Was ist das?
zts5554e	Wow!! Das ist ja... das ist die Karte, auf der das Versteck des Kovolt-Schatzes markiert ist. Das zeige ich Anni.
zts5555e	Anni!
zts5556e	Bist du schon fertig? Hier ist dein nächster Auftrag!
zts5557e	Nein... warte... kannst du dir das mal anschauen?
zts5558e	Warte!!! Oh Gott!!! Das ist die Schatzkarte aus der Legende... Ich kann es nicht glauben...
zts5559e	(Ist sie echt?)
zts5560e	Die Befestigungsarbeiten sind jetzt fertig. Geh nun und hol den Schatz. Ich werde dir auch eine Belohnung geben.
zts5561e	Das sieht sehr kostbar aus!!
zts5562e	Was ist das? Was ist passiert?
zts5563e	Hier ist der Schatz! Bitteschön.
zts5564e	Wow... du hast einen tollen Job gemacht! Ich werde überprüfen, wie viel es wert ist. Ah, Colly hat nach dir verlangt.
zts5565e	Magier Colly? Verstanden, danke.
zts5566e	Akt 2 - Kovolts und Catsy
zts5567e	Du hast nach mir gerufen?
zts5568e	Hmmm ... Heute ist meine Seele um den Timespace herum geflogen und hat entdeckt, dass dort eins von Fernons Samenkörnern wuchs. Es sah aus wie eine Dryade.
zts5569e	D... Dryaden? Glaubst du, dass Fernon zu neuem Leben erwacht?
zts5570e	Auch wenn ich nur eine Knospe gesehen habe, könnte es auch in anderen Timespacesteinen so sein. Also musst Du die Knospe abkneifen.
zts5571e	Ahhh!! Ich komme hier nicht runter. Ich werde mir im Geschäft ein Seil kaufen.
zts5572e	Ja, der Magier hatte recht. Hier liegen tatsächlich Kokon-Schalen herum, und sie sehen frisch aus. Hier in der Nähe ist aber keine Spur von ihnen. Sie sind verschwunden.
zts5573e	Wie du gesagt hast, Magier, habe ich Spuren finden können. Allerdings scheinen die Dryaden verschwunden zu sein.
zts5574e	Hmm. Ich weiß bereits Bescheid, und ich mache mir große Sorgen. Du musst sie finden und aufhalten!
zts5575e	Catsys!!! Haha!!! Also ... ich sollte mich erst einmal beruhigen. Okay, okay ... als erstes Bericht erstatten. Fernon muss aufgehalten werden ... aber Catsys??? Ha ...
zts5576e	Ich habe ... Haha ... Ich habe heute die Catsys gesehen ... Haha ...
zts5577e	Und warum lachst du so? Hast du etwa noch nie zuvor Catsys gesehen?
zts5578e	Ja. Ich war sehr verwundert, als ich heute die Catsys gesehen habe ... Haha ...
