zts1e	Teo's Tool Shop
zts3595e	Of course, how may I help you?
zts3596e	No problem. I'll bring him the Delicious Lunch right away.
zts3597e	Why?
zts3598e	But there has to be a reason. Come on, tell me!
zts3599e	Okay, if that's what you think. I'll set off at once.
zts3600e	Mimi said you were looking for me. How can I help you?
zts3601e	Okay, I'm here. How may I be of assistance?
zts3602e	Yes, that would be very kind of you. *pondering*
zts3603e	Oh yes, of course. Red Fruits are an ingredient. You can get them from those terrible creatures that make mischief in this area. *pondering*
zts3604e	Could you be a bit more specific? Which creatures do you mean and where can I find them?
zts3605e	(This Malcolm is driving me insane with his brooding.)
zts3606e	You're back already? Thank you for helping me.
zts3607e	My pleasure.
zts3608e	But there's something I need to tell...
zts3609e	What? I had to fight those horrid monsters to get the fruits. And now you don't need them anymore?
zts3610e	Yes? Did someone just call me?
zts3611e	Over here! It's me, Eva from NosVille Market. Could you come over here for a second, <pname>?
zts3612e	No, I meant...
zts3613e	Back already? That was fast! Well done!
zts3614e	Is there no one else that can help you?
zts3615e	What was that all about? Sounded like someone was screaming.
zts3616e	Hey, <pname>, stay here. We weren't finished with our conversation.
zts3617e	Welcome back, <pname>. The guards have told me that you've been doing some excellent work. They're all singing your praises. I am truly proud of you.
zts3618e	Check the quality of your equipment and see if you want to do anything about your skills. When you're finished, come back to me.
zts3619e	(Mimi seems too busy to listen.)
zts3620e	Right, I'm here. What do you want from me?
zts3621e	Miner 2: Very soon!
zts3622e	(The Kovolts are speaking together excitedly.)
zts3623e	Yes?
zts3624e	Yes!
zts3625e	Where do I need to go?
zts3626e	Where should I go?
zts3627e	Hey!!!
zts3628e	I'll be back.
zts3629e	You must have felt it when you were near the mines. The Kovolt miners are acting very strangely at the moment!
zts3630e	What could it be?
zts3631e	I don't know...
zts3632e	Miner 2: Let's start!
zts3633e	Miner 1: Right! So what are we waiting for?
zts3634e	Miner 3: Count me in! Let's go!
zts3635e	Is there really nothing we can do?
zts3636e	Me?
zts3637e	Sooo...
zts3638e	Yes?!!
zts3639e	Unfortunately I have bad news. Lord Cuarry doesn't want to make a bargain with the kovolts.
zts3640e	Why not?... Why?
zts3641e	He said that they're not worth trying to bargain with.
zts3642e	What?
zts3643e	Yes... NosVille was founded by Lord Cuarry. It's sad, but there's nothing we can do.
zts3644e	I feel so unimportant...
zts3645e	I don't want to do it, but I don't have a choice...
zts3646e	You scared me! Who are you?!
zts3647e	Oh... Do I have that?
zts3648e	Hey!
zts3649e	Hm?
zts3650e	Bring me something I need! I'll give you a gift that you'll be able to make good use of.
zts3651e	What are you talking about? Why...
zts3652e	Don't stand around! Go!
zts3653e	Okay, I'm going!
zts3654e	Not sure why I'm doing this... He'd better have something useful for me when I get back.
zts3655e	Your next challenge is already waiting for you! Let's see how quickly you finish this time.
zts3656e	What is it?
zts3657e	People have been hearing strange sounds coming from the mines to the west lately.
zts3658e	Ah! The problem is no one listens to the sorrow of the world anymore.
zts3659e	This world has lost its soul... Everything is losing meaning...
zts3660e	??????
zts3661e	Hey!
zts3662e	Hm... Ah...
zts3663e	What could be making those noises?
zts3664e	Hm... What should I do now?
zts3665e	Explore the Mine Plains. You'll find your fortune there for sure.
zts3666e	Okay...
zts3667e	I've got a bad feeling about this...
zts3670e	Thank you, <pname>! Because of you, the village has become a lot safer.
zts3671e	[[Mount Krem is the grave of Slade. The deep sleep in grave amplifies the sorrow of the Slade and passes it on to their descendants.]]
zts3672e	[[Mother Ancelloan... oh, Mother Ancelloan... do not leave us... Please protect us from death... Shield our poor souls against the war between the sun and the moon... Oh, Mother Ancelloan...]]
zts3673e	[[Gone... The Slade are gone... Mother Ancelloan is gone... Despair... Our despair has brought us new life... Oh, Massive Slade...]]
zts3674e	[[Ignorant fools have awoken Massive Slade. The tragedy of the world. The sorrow of the world. This marks the beginning of the destruction of the world.]]
zts3677e	Use Shop
zts3678e	Start Dialogue
zts3680e	End Dialogue
zts3683e	Hello <pname>! Welcome to NosVille, our wonderful village!
zts3684e	I am Mimi Mentor, one of the people that founded the village. It's lovely to meet you!
zts3685e	It is my job to introduce new adventurers to the villagers.
zts3686e	But there's no time to waste, our village is in danger!!
zts3687e	NosVille is overrun with creatures of unknown orgins. Some of the villagers think that the creatures broke out of the Time-Space.
zts3688e	It would take too long to tell you everything in detail now. But you must be curious to find out what's really going on. I'll explain things little by little.
zts3689e	I'd love to help you, but isn't this a bit much for a rookie like myself?
zts3690e	Oh, a new adventurer. Have a little look around the village and complete your tasks. I'll let you know if I need you.
zts3691e	Fantastic! You mastered your first mission. Now it's time for you to retrieve your reward.
zts3692e	Open the quest window and click on 'Rewards'.
zts3693e	Then click on 'OK' to receive your reward.
zts3694e	There are plenty of adventures out there that are difficult to master on your own.
zts3695e	How about you get yourself a companion who will fight at your side?
zts3696e	Companions can be pets or a partner, for example.
zts3697e	As a NosMate, a well trained pet will remain loyally at your side. Let's go and catch you a NosMate!
zts3698e	Let me just teach you a bit more about NosMates so you can understand how important they can be for you.
zts3699e	A NosMate will support you during your adventures, no matter what. Try completing your next task with the help of your NosMate!
zts3700e	The creatures around the village borders are not very strong. This makes them great for target practice. Let's train your pet by fighting these creatures.
zts3701e	Oh... I almost forgot. Put this Training Uniform on before you head off - it's for your own safety.
zts3702e	Did you get to see your NosMate in action? It's much safer to travel with your pet, than to travel alone!
zts3704e	Never fear! I have a new weapon for you.
zts3705e	Don't forget to collect your reward. Click on 'Rewards' in your quest window.
zts3706e	You'll need to be able to fight a bit better before you can continue your quest.
zts3707e	Did you know that we have a skill master here in the NosCamp who will train any adventurers who are eager to learn? He will teach you new skills and help you improve the skills you already know.
zts3708e	His name is Calvin Coach, you absolutely have to meet him!
zts3709e	Go over to him now, and he'll teach you and help you train your skills.
zts3710e	Great to see you! Mimi Mentor has told me a lot about you already.
zts3711e	My name is Calvin Coach. I'll be teaching you all of the skills you'll need on your adventures. If you want to improve, come and visit often.
zts3712e	Don't forget that an adventurer needs lots of different skills to defeat monsters and complete their missions.
zts3713e	How much is this training going to cost me?
zts3714e	The price depends on the skill and type of training. As this is your first training session, I'll let you have it for free.
zts3715e	Allow me to explain how we go about training you.
zts3716e	That training was brilliant, I already feel much stronger than before.
zts3717e	The good thing about this kind of training is that it's something you won't ever forget. I guarantee it!
zts3718e	Thanks, Calvin! I'd like to try learning a few attack skills now...
zts3719e	Let's get you warmed up before we train any further. How about you go and hunt?
zts3720e	Once you've practised a little, I'll teach you some attack skills.
zts3721e	You are better than the other new cadets. But don't be hasty. Concentrate on your training.
zts3722e	Not bad! I didn't expect you to be so talented. As promised, allow me to teach you a few attack skills.
zts3723e	Young adventurers such as yourself are taught the basic training for free. You'll have to purchase new skills later on.
zts3724e	Take your training seriously and try to learn as much as you can. It's very important, especially for an inexperienced adventurer such as yourself.
zts3725e	Wow, you're looking good! Your training is already paying off. Then you're finally ready to head out on your adventure.
zts3726e	But before you go you should pick up some better equipment. The village shop should have everything you'll need.
zts3727e	Begin by heading over to Malcolm Mix, the village alchemist. He'll be in the alchemy lab.
zts3728e	Are you sure you're ready? You don't seem to be. Haha...
zts3729e	Hello Malcolm, how are you? Mimi sent me.
zts3730e	Oh really? *thinking*
zts3731e	*thinking* Maybe...
zts3732e	(Malcolm suddenly looks at you with interest.)
zts3733e	Yes, I think so. Thank you for your help.
zts3734e	Oh Malcolm, could you tell me where I can buy armour and weapons?
zts3735e	You can buy armour and weapons over there in Teo's Tool Shop. Follow this street, you can't miss him.
zts3736e	Oh, right... Wait there... I almost forgot.
zts3737e	Teoman and his brother are twins. If you want armour you'll want to speak to Teoman, that's the one with the hammer. He's responsible for the armour and weapons.
zts3738e	And what does his brother do?
zts3739e	What do you want? Did Malcolm send you to me?
zts3740e	Then you must be the new adventurer that Mimi Mentor is training. Am I right or am I right?
zts3741e	Yes, that's me.
zts3742e	Mimi already let me know you'd be dropping by. I'm supposed to give you this...
zts3743e	A present? And you're sure you don't want anything for it?
zts3744e	Just take it before I change my mind!
zts3745e	(This Teo guy doesn't seem the friendliest, and he isn't interested in talking much.)
zts3746e	A warm welcome to the NosVille Market, <pname>. Here you will find the freshest and tastiest goods, all top quality guaranteed.
zts3747e	You're new here so I'll give you a one time deal: Your first purchase in the NosVille Market is on the house. Not bad, right?
zts3748e	Feel free to have a look at my wares and choose something yummy for yourself.
zts3749e	Thank you. That's really very kind of you. What's your name?
zts3750e	I am Eva Energy, the leader of the market. I make sure that the hungry adventurers around here always have something fresh and tasty to eat.
zts3751e	There you are. Did you manage to find some suitable equipment for your adventure?
zts3752e	I'm ready, yes. And I didn't have to pay anything for this equipment.
zts3753e	That doesn't surprise me. The people of NosCamp want to help make the start of your life as an adventurer as easy as possible.
zts3754e	Let's go!
zts3755e	Very good, then listen closely. Mysterious portals have been appearing in NosVille recently. These dark portals appear to be connected to Time-Space. Demonic creatures have come out of them and are causing a lot of trouble in the surrounding meadows. They're threatening our peaceful lives!
zts3756e	Your first mission is to protect our village from these Time-Space creatures. We're counting on you! And you'd better hurry, there's no time to lose!
zts3757e	I know this is a pretty dangerous task. But you look like someone who faces danger head on.
zts3758e	The portals I spoke of are called Time Space Stones. These stones connect our world to the underworld via some mystical force. Nobody knows where they come from and why they've suddenly appeared in our world.
zts3759e	All we know is that Time-Space can be entered through these stones.
zts3760e	If you want to explore Time-Space you'll have to find the right stone and then enter the glowing circle that surrounds it.
zts3761e	You'll find the first Time Space Stone in the northern part of the village. I'll explain more to you once you're there.
zts3762e	You did a great job in the Time-Space. And your eyes are nice and bright. There's no doubt you're a true hero.
zts3763e	I'd like to give you this adventurer clothing as a reward for doing so well in Time-Space. It has a special rarity level.
zts3764e	A rarity level? Could you explain what that means?
zts3765e	Of course: Some equipment items have a rarity level. The higher it is, the rarer and more valuable the item.
zts3766e	If you right-click an item an information window will open displaying the rarity level of the item.
zts3767e	Pardon me for intruding, but I've come here because I'm in desperate need of some help.
zts3768e	Now then calm down, Sam. What is it that's worrying you like this?
zts3769e	It's my job to patrol the NosVille Meadows, but my mother is suddenly very sick. I don't know how I'm going to do my duty and look after my poor mother at the same time.
zts3770e	I'm hoping to find someone in the village who would take over my patrol for me.
zts3771e	Let me think... Who could take over your work for a while? Hmm...
zts3772e	I can do it. Trust me!
zts3773e	Are you sure you're ready for a task like this?
zts3774e	All I have to do is patrol the NosVille Meadows north of the village, right? Don't you worry about it, I'll manage that.
zts3775e	Hm? Haven't you left yet?
zts3776e	I'm glad you're back. I see you did well on patrol.
zts3777e	By the way, I met one of the guards. I stood by his side and fought monsters.
zts3778e	You helped one of my men? That's excellent news. Here, take this gift as a sign of my gratitude.
zts3779e	Thank you, Sam. I'm happy to help.
zts3780e	This adventurer is ticking all the right boxes, don't you think, Sam?
zts3781e	Absolutely. He took over the patrol for me so I could look after my mother while she was sick. We could make good use of a competent person like them here.
zts3782e	You're right. Just thinking about that cocky bloke who arrived here recently... he talked big, but then ran away from a girl wearing a disguise and carrying a wooden sword. I doubled up with laughter, let me tell you.
zts3783e	Thank goodness all of them aren't like that. Most adventurers are plucky and brave.
zts3784e	Could you perhaps do me a favour as well? These happy little Woolies have gotten quite overconfident lately and have started eating everything in the farmers' fields.
zts3785e	If you're successful I'll have a suitable reward ready for you.
zts3786e	These Woolies won't be a problem for me. You can count on me, Jim.
zts3787e	Excellent! Then we have an agreement, young adventurer!
zts3788e	Good luck!
zts3789e	Well done! I'm starting to like you. Please take this improved wooden sword as a reward. I used this back when I was an inexperienced adventurer like yourself. I'm sure it'll be in good hands.
zts3790e	Congratulations! You've gained a level since the last time we saw eachother. Did your chicken improve too?
zts3791e	It's time you get your second pet. This time I'd like you to catch a happy little Wooly.
zts3792e	Woolies are very brave and loyal animals. If you had one with you on your adventure, it would be of great help to you.
zts3793e	Now let's make your family of adventurers a little bigger and get you a new NosMate!
zts3795e	However, there is a small problem. You can only take one pet at a time with you on your adventure. That's why the happy little Wooly you caught isn't here right now.
zts3796e	But don't worry. It hasn't gone, it's just waiting for you in Miniland.
zts3797e	Go to Miniland and swap your current companion for the Wooly so it can join you on your adventure.
zts3798e	I have the feeling that something terrible is happening nearby...
zts3799e	It seems like it's getting more and more dangerous here. I'm really worried about the safety of this village.
zts3800e	More and more reports from the villagers about the terrible monsters that are fleeing out of Time-Spaces and into our lands. It's almost as though these creatures have returned from the ancient legends.
zts3801e	Don't worry about it too much, Mimi. NosCamp is full of the brave adventurers that you've trained. They can fight the monsters and help defend the village.
zts3802e	I suppose you're right. There will always be hope for NosVille with fearless adventurers like you around.
zts3803e	We need to get ready to fight! Please accept this gift. It will help you on your long journey.
zts3804e	It's a special tool for adventurers.
zts3805e	Try it out now.
zts3806e	That worked well! You created a valuable item using the tool.
zts3807e	However, this necklace is currently just a nice piece of jewellery.
zts3808e	You can use special gemstones called Cellons to apply various enhancements to your jewellery. This will turn them into extremely powerful items.
zts3809e	Ms. Style at the Fashion Boutique is the expert on this sort of thing. Go there and find out more about enhancements.
zts3810e	Hello, <pname>. It's a lovely day, don't you think?
zts3811e	True, but not nearly as pretty as you... Anyway... Mimi Mentor sent me to you so that I can learn more about jewellery enhancements.
zts3812e	*blushes* Well then you've come to the right place. You'll find all kinds of jewellery to enhance with Cellon stones here.
zts3813e	You're a new customer so I'll give you your first Cellon for free. Come in now if you'd like to call upon my services right away, otherwise you can drop by again later.
zts3814e	Ah, <pname>, could you do me a little favour?
zts3815e	I've got a lot to do right now so I can't really leave. Could you bring this Delicious Lunch to Calvin Coach please?
zts3816e	The poor man is so busy that he forgets to have any lunch sometimes. That's not a healthy thing to do to yourself, so I thought someone should look after him.
zts3817e	Ah... by the way. You don't have to mention that I sent you.
zts3818e	It's not important or anything... but keep it to yourself, okay?
zts3819e	Don't be so curious. It's got nothing to do with you.
zts3820e	Hm... You're not going to eat that, are you?
zts3821e	But it... it was on sale at the market.
zts3822e	Hm... That sounds ridiculous!
zts3823e	Oh, is it midday already? I lost track of time again. Thank you very much for the food.
zts3824e	It's not me you need to be thanking. It's not from me...
zts3825e	Haha... I know. This is a gift from Soraya, am I right?
zts3826e	Erm... yes, yes it is. How did you know?
zts3827e	Now don't look so surprised. I've been aware of Soraya's generosity for a long time now.
zts3828e	Oh really? She didn't want me to tell you...
zts3829e	I've put you on the spot somewhat. I apologise, I didn't want that to happen. Let me give you a few useful pointers before you go, to make up for it.
zts3830e	It's not that big a deal, you knew about it already anyway. You don't need to apologise.
zts3831e	Well that's a relief. But all the same, I'd like to teach you something important. After all, it's my job to advise and train the adventurers in NosCamp.
zts3832e	I'd like to teach you about some additional skills, known as Plus Skills. You remember the basic skills you've already learnt? Well, plus skills are additional skills that enhance your basic skills.
zts3833e	There you are. Malcolm Mix has been looking for you for a while. Could you go and see what he wants?
zts3834e	Ah, there you are. That's right, I was looking for you. I have a little problem and could really do with your help.
zts3835e	It's my job as the village alchemist to provide all sorts of magical items for the adventurers of NosVille. Last week I received an order for 100 healing potions, but I'm missing an important ingredient I need to be able to brew them.
zts3836e	And you'd like me to get this ingredient for you, am I right?
zts3837e	Malcolm!! If I'm going to get this ingredient for you, you'll at least have to tell me where I can find it.
zts3838e	Where you can find it? To the north! Or maybe it was to the south? No, no, to the north... Yes, I'm pretty sure. *pondering*
zts3839e	To be honest, I don't need this fruit anymore.
zts3840e	I'm really sorry, but the order for healing potions has been cancelled because it was so overdue. So you can keep the fruit if you like. And as compensation for your efforts, I'll mix up a health potion for you, all right?
zts3841e	Hey! <pname>!
zts3842e	No problem. I'm on my way.
zts3843e	I'm glad I caught you before you left the village. I've got a new task for you.
zts3844e	Fire away. How can I help you?
zts3845e	It's about ingredients.
zts3846e	Which ingredients?
zts3847e	Well, I heard you collected some red berries for Malcolm. He always needs a lot of different things to brew his potions.
zts3848e	That's right... so?
zts3849e	Well I also need a lot of different ingredients here in the market. At the moment I'm too busy to go out collecting everything myself.
zts3850e	Couldn't you buy the ingredients you need from somewhere instead of collecting them yourself?
zts3851e	You're joking, right? NosVille Market is the only place where you can buy these ingredients. And as I'm the head of the market, I'm the one that has to make sure there's enough in storage for everyone.
zts3852e	Anyway, right now I need some Small Beans. Please go and get some for me.
zts3853e	Hey, not so fast. I don't even know where to find these beans.
zts3854e	Oh, of course! You can find small beans by defeating Pii and Pii Pods. Get me 5 of them to start with.
zts3855e	All right. I'll set off at once.
zts3856e	No problem, I'm happy to help. But I'll need to go now. There are a lot of things I need to get done.
zts3857e	What? You can't just leave me like this. I still need you to go and collect ingredients for me.
zts3858e	Sorry, no. It's difficult to find adventurers as helpful and friendly as you at the moment, you know?
zts3859e	What's happening? I should go and take a quick look and find out.
zts3860e	Calling all guards, adventurers and villagers of NosVille! A huge number of sinister creatures have gathered in the Time-Space to the north of the NosVille Meadows. These monsters are a threat to our lands and we suspect that they're going to start attacking soon.
zts3861e	Great work, <pname>! We managed to thwart their plans, just in time.
zts3862e	But keep your guard up all the same. This is still a very dangerous place. I wish I could accompany you further.
zts3863e	That would be great.
zts3864e	Go and see if everything is all right in the NosCamp Meadows and then return to the village. The people there should count themselves lucky to have such a brave adventurer as yourself in their midst. Thank you once again, <pname>.
zts3865e	Go and have some rest and get yourself ready for your next task.
zts3866e	You'll need a special item for your upcoming adventure. But first we'll need to create it.
zts3867e	A special object? What are you talking about, Mimi?
zts3868e	I'm talking about a Kovolt mask.
zts3869e	A Kovolt mask? Why would I need something like that?
zts3870e	I'm sure you'll find that out at some point. At the moment just think of it as part of making sure you're prepared.
zts3871e	In order to create the Kovolt Mask, we'll need 6 Dander Seeds and four Seedle Leaves. You get Dander Seeds from weak Poison Danders, and the Seedle Leaves from defeating Fire Seedles.
zts3872e	Do you have everything we need? Very good, I will put together the Kovolt Mask for you.
zts3873e	Mimi, we have a huge problem!
zts3874e	What's wrong, Calvin?
zts3875e	The adventurers we sent to explore the Time-Space in the Mine Plains still haven't returned.
zts3876e	We also haven't heard anything from the soldiers who we sent to try and find them.
zts3877e	What bad news. Is there nothing that might give some clue to what's happened with the adventurers?
zts3878e	Not so far unfortunately, Mimi. I think we have no other option but to send another troop of soldiers into the Time-Space. We need to find out what's going on!
zts3879e	Please, let me take on this task. I won't disappoint you.
zts3880e	Very well. You've already shown that you can be relied upon, <pname>. But promise me you'll be careful. I think something terrible may have happened.
zts3881e	Don't worry, I can take care of myself. And in the name of all the NosCamp adventurers, I will find out what's happened.
zts3882e	Good luck with your task. Perhaps you'll meet the soldiers that we sent into the Time-Space.
zts3883e	It's over... I really did it!
zts3884e	Hey you, adventurer!
zts3885e	Hello? Who's calling for me?
zts3886e	I'm over here. At the entrance to the mine. Come over here.
zts3887e	I called you over because I'd like to ask a favour of you.
zts3888e	What sort of favour, may I ask?
zts3889e	Hey, what's wrong? Why are you looking at me so suspiciously?
zts3890e	What are you expecting? It's night time, you pop up suddenly and call me over, and then I'm supposed to do you a favour? I don't even know who you are.
zts3891e	You're an adventurer, aren't you? Well, unless I'm mistaken, you adventurers are always on the lookout for new quests and challenges.
zts3892e	Well, you're right there. What's your point?
zts3893e	What I'm trying to say is that an adventurer like you has to get used to accepting tasks from strangers. You are a real adventurer, right?
zts3894e	All right then, I'll help you. What's the problem?
zts3895e	Well, I've lost my wooden hammer.
zts3896e	And that's why you need my help?
zts3897e	The problem is that this hammer doesn't belong to me. Teoman Topp from Teo's Tool Shop lent it to me.
zts3898e	Hm, Teo can be quite grumpy sometimes. How can I help you?
zts3899e	I'd like you to retrieve this lost hammer for me.
zts3900e	What do you want me to do?
zts3901e	You heard me, go and get that hammer for me. Now, I didn't lose it out here - I lost it in the nearby Time-Space. And wild horses couldn't drag me in there again.
zts3902e	So are you an adventurer, or what? If you are, then stop standing around here and being of no use. Off you go, help an innocent, hard working citizen of NosVille in their time of need!
zts3903e	Excellent work! I knew you could do it! Now, hurry up and bring the wooden hammer to Teoman Topp in NosVille. If you don't get moving you'll take root!
zts3904e	And why can't you do that yourself?
zts3905e	You can see how busy I am. Come on, who else should I be asking for help?
zts3906e	(I think I've just about had enough of letting this lazybones send me about the place. But never mind, at least I'll get out of this place quickly. This guy stinks, like he's been scoffing raw onions all morning.) All right... one more favour! I'll set off at once.
zts3907e	Hello Teo. Mudog asked me to bring you your hammer back.
zts3908e	Finally! I've been waiting for it for way too long. Give it here!
zts3909e	Mudog lost this hammer. I had to go and find it for him, which took a while.
zts3910e	What? What an unreliable bloke. Once I get my hands on him, he'll feel it!
zts3911e	Not so fast, Teo! Nothing bad has happened. You have it back now.
zts3912e	Harrumph, I suppose you're right. He's still earned himself a telling off for this sloppiness. *mumbling*
zts3913e	Calm down, Teo. I'm sure he didn't do it on purpose. Well I need to head off. Good day to you.
zts3914e	Great to see you. Are you all right?
zts3915e	Yes, everything's fine.
zts3916e	I was worried - you've been a while. I thought maybe you'd disappeared, like the other adventurers.
zts3917e	No, I'm okay. I was just delayed. Mudog asked me to do him another favour.
zts3918e	You already did something for him? And now Mudog already wants your help again. That seems like him...
zts3919e	What?
zts3920e	Yes, he asked me if you would be able to give him some more help.
zts3921e	What?! Him again??
zts3922e	Mudog can be a bit annoying sometimes, but he's not a bad guy really. Go and pay him a visit and he'll explain what he wants you to do. And take your Kovolt Mask with you. I think you're going to need it.
zts3923e	Hoho! So I see you're still alive.
zts3924e	Yes, I'm fine. And all I'd asked you to do was get this hammer!
zts3925e	Muahahaha... I'm sorry if that caused you any difficulties. But nothing happened to you.
zts3926e	All's well... I heard you want my help again.
zts3927e	That's right. I'm glad you're here so quickly.
zts3928e	Not so fast! I haven't promised you anything yet.
zts3929e	Oh, come on! I'm really sorry about sending you about the place for that hammer... But this time it's about something really important!
zts3930e	So, what do you say? You'll want to know what this is all about, right?
zts3931e	Sure!
zts3932e	I've had this bad feeling about the mine for a long time, like something isn't right there. These Kovolt Miners... I'm sure they're planning something...
zts3933e	No one has ever been down there to check on things before... You've already proven you're brave. Would you go and sort it out?
zts3934e	Yes...
zts3935e	But how?
zts3936e	With a disguise! If you dress up as a miner, then you should be able to go through the mine unnoticed.
zts3937e	And how is that going to work? They'll see right away that I'm not a Kovolt!
zts3938e	You clearly don't know about a Kovolt Mask's special powers, right?
zts3939e	What special powers? I don't know what you mean... Tell me already!
zts3940e	When you put on the mask, all the Kovolts will think you're one of them. Quite handy, right?
zts3941e	And I'm meant to believe you? As soon as the Kovolts notice that I'm trying to deceive them, I'll be the one dealing with their anger...
zts3942e	Whether you believe me or not, it's the truth.
zts3943e	You're not trying to put me in unnecessary danger, are you?
zts3944e	Of course not! The Kovolts will think you're one of them once you're wearing the mask. You've got nothing to worry about!
zts3945e	Erm, I don't really know... Why don't you do it yourself, if it's so easy?
zts3946e	Well, erm... That's, well... I just can't... *sniffs*
zts3947e	(Is he crying? This can't be right...)
zts3948e	Please! Go and find out what's happening down there! *sniffs* If you won't do it for me, then do it for NosVille!
zts3949e	(Hm... I still have a bad feeling about this... But I'll risk it for NosVille.)
zts3950e	Miner 1: When is it kicking off?
zts3951e	Miner 3: Are we going to manage this?
zts3952e	Miner 2: We just have to survive, then anything is possible.
zts3953e	Hehe... I can't believe it, it works. They really think I'm a Kovolt!
zts3954e	Miner 1: We need to explore this part of the mine. So many miners have been injured there, and some of them even lost their lives... We need to find out what's going on before something else happens.
zts3955e	Miner 2: You're right. But who would volunteer for this task?
zts3956e	Miner 3: Let's play rock, paper, scissors for it!
zts3957e	Miner 1: Sounds good. Hey you, rookie! Come over here.
zts3958e	Miner 1: There'll be no Kovolts skiving off here! That counts for you to! You have to play.
zts3959e	Let's start. Let's play a round...
zts3960e	Damn, lost! Well then I'll have to sort this thing out.
zts3961e	Miner 2: Now then, don't make that face, rookie! You'll come back alive. Good luck!
zts3962e	(If I refuse, I might blow my cover!) All right then, I'll get going...
zts3963e	Miner: Now be quick! Remember, you don't have forever.
zts3964e	Phew, finished! I should go back to the village and have some rest.
zts3965e	Oh, erm... Do you have a bit of time?
zts3966e	Oh, Malcolm!
zts3967e	Well, my... Uncle... The imps... The house has been laid to waste...
zts3968e	Oh... My uncle came home... And these wicked imps... Hm... My uncle must have... followed an imp...
zts3969e	*sigh* One moment, please, I'll summarise. So, your uncle's house has been destroyed by imps. Your uncle went missing after chasing these imps. And you want me to find him. Right?
zts3970e	Haha... Yes, that's right!
zts3971e	Hm... I think... My uncle might be somewhere in Western Mine 1... It's risky...
zts3972e	Um... yes... Don't worry too much about it. Just wait here. I'll do it!
zts3973e	Oh right... I've got something... Might be useful...
zts3974e	What is it?
zts3975e	Oh... erm... sorry... But the Imp uses the shadow element... If you've got resistance to it, then the damage you suffer from it will be reduced...
zts3976e	If you give me a pair of adventurer shoes... Then I can improve them for you...
zts3977e	Ah, okay... I'll combine them together now.
zts3978e	If you need more combinations... You can find me... any time...
zts3979e	Oh, okay... Thanks.
zts3980e	Malcolm must be worried. You should go back. Oh...
zts3981e	Somehow I have the feeling that something's lurking about... Do you have any idea what that could be?
zts3982e	I feel something too... As though something bad is approaching us...
zts3983e	Uhhh... I'm really nervous!
zts3984e	Miner 2: We're not working anymore! We're on strike!
zts3985e	Miner 1: Strike! Strike!
zts3986e	Huh?! The Kovolts are on strike?!
zts3987e	I have to go and tell Mudog.
zts3988e	What did you say?! The Kovolts are on strike?!
zts3989e	That's right. If we'd known of their plans then maybe it wouldn't have gotten this far.
zts3990e	Well we're not going to put up with this! We'll have to stop this strike right away!!
zts3991e	Once Lord Cuarry hears about this, it'll be on me! I'm the one responsible for the mines, after all!!
zts3992e	I'm not really sure what I should do.
zts3993e	This is just so cruel... I have to tell Mudog.
zts3994e	Oh, I'm too late. It's beyond our control now.
zts3995e	Not only here, but also the Kovolts at Mt. Krem called a strike... Lord Cuarry knows about the strikes... Now everything is over...
zts3996e	The people of NosCamp and these layabout guards have let me down. Why didn't they stop this before it got this far?
zts3997e	(He's really getting angry now.) But there has to be a reason for these strikes. Maybe I can find out what's going on here.
zts3998e	Ha, I don't care! All my savings, my pension - all gone! So much for my comfortable future.
zts3999e	(There's no point talking to Mudog anymore. I'll just have to do something about this myself.)
zts4000e	I've lost everything...
zts4001e	The Kovolt Miner's strike is totally reasonable... But there must be some way we can come to a compromise... I should talk to Mimi about it!
zts4002e	The Kovolts are on strike because they feel they're treated badly. Maybe you could talk to Lord Cuarry?
zts4003e	All right, I'll let him know about the Kovolts' demands.
zts4004e	Thanks, Mimi. I hope we can find an answer to this problem.
zts4005e	I will do everything I can - trust me!
zts4006e	Okay, I think I'll have a bit of rest.
zts4007e	I'm sorry, but you won't be able to. There's always something to do here in NosCamp. I've got a new mission for you already.
zts4008e	So, the missions are complete. I should go back to the village and ask Mimi whether there's any news about Lord Cuarry.
zts4009e	Hello, Mimi! Any news from Lord Cuarry?
zts4010e	Seems like the conflict is going to continue. Lord Cuarry will never forgive the Kovolts for rising up against him.
zts4011e	Does NosCamp have to listen to Lord Cuarry, then?
zts4012e	Hm... That's life.
zts4013e	Its unfair! The meaning of life! Goodness and justice? Bah! Nothing but an illusion...
zts4014e	The fight to survive and the survival of the fittest! That's what life truly is.
zts4015e	But sadly... not everyone obeys the laws of nature. Some people talk about equality an want to convince everyone they're right.
zts4016e	But an idea is just an idea. A dream, nothing more. Bah! Dreams! They're the seeds of all evil! Did you know that?
zts4017e	Buffoons! Hunting for an illusion that will never be a reality! Foolish human beings!
zts4018e	Hm? What do you mean by that?
zts4019e	Ah, I've been fired...
zts4020e	Oh, I see. You were just whinging about your job...
zts4021e	The world has gone blind... People just don't see who wants to work anymore. I will raise above this world one day! Just you wait! You foolish buffoons!
zts4022e	(What a ridiculous promise.)
zts4023e	Hm... It's just missing the finishing touch. A little flair!
zts4024e	Are you kidding me? I've got some cool moves.
zts4025e	Hm... What do we have here?!
zts4026e	Not bad... Not bad at all!
zts4027e	Really? Is it really that good?
zts4028e	Oh... Can't you tell?! It's like a pig wearing a pearl necklace. I'll give you another gift. Go.
zts4029e	What... is that?
