zts1e	El mejor servicio
zts371e	Ardilla con una Perla de Congelación
zts373e	¡Tengo mi propio Santa Claus pequeño!
zts374e	Perlas de la Ardilla
zts941e	¡Un sombrero espectacular de león!
zts952e	¡Un sombrero espectacular de león!
zts1005e	10 Pociones de Ataque PvP
zts1006e	10 Pociones de Ataque PvP
zts1007e	5 Pociones de Defensa PvP
zts1008e	10 Pociones de Defensa PvP
zts1009e	5 Pociones de Resistencia PvP
zts1010e	10 Pociones de Resistencia PvP
zts1011e	5 Cuernos del Conjuro Familiar
zts1012e	10 Cuernos del Conjuro Familiar
zts1057e	¡Soy el símbolo de la belleza eterna!
zts1058e	Tinker Bell
zts1059e	Tinker Bell (7 días)
zts1060e	Tinker Bell (30 días)
zts1061e	Disfraz de Hada (indefinido)
zts1062e	¡Soy el demonio de NosTale!
zts1063e	Demonio Blanco
zts1064e	Demonio Blanco (7 días)
zts1065e	Demonio Blanco (30 días)
zts1066e	Demonio Blanco (permanente)
zts1067e	¡Lleva un bonito lazo!
zts1068e	Cinta rosa de pelo
zts1069e	Cinta rosa de pelo (7 días)
zts1070e	Cinta rosa de pelo (30 días)
zts1071e	Cinta rosa de pelo (permanente)
zts1072e	¡Conviértete en todo un caballero!
zts1073e	Bombín blanco
zts1074e	Bombín blanco (7 días)
zts1075e	Bombín blanco (30 días)
zts1076e	Bombín Blanco (permanente)
zts1118e	¡Elimina el olor de los demás!
zts1119e	Fragancia
zts1120e	Se utiliza cuando conviertes en tuyos los objetos exclusivos de otro.[n][Instrucciones][n]La ventana de conversión de objetos aparece cuando haces doble clic sobre el objeto.
zts1121e	20 Perfumes bienolientes
zts1122e	50 perfumes bienolientes
zts1123e	99 perfumes bienolientes
zts1146e	Pegaso
zts1147e	Conejo entrañable
zts1242e	Caja del azar de año nuevo
zts1243e	Caja de año nuevo
zts1244e	Caja de Año Nuevo[n]Puedes obtener uno de los siguientes objetos.[n]Objetos: Perla del Toro Tori, Caja misteriosa B, Cesta NosMate (60 días), 5 Perfumes bienolientes, 50 Alas de la Amistad, 50 Fuentes de agua de Cylloan, una Mochila del Aventurero (30 días), Perlas NosMates, 2 Placas para mascotas, 3 Porciones de la mejor comida para mascotas.[n][n]
zts1266e	¡Desafía tu suerte!
zts1325e	Perlas de la Ardilla Enferma
zts1327e	Sombrero guay para hombres
zts1329e	Sombrero guay para hombres (7 días)
zts1330e	Sombrero guay para hombres (30 días)
zts1331e	Sombrero guay para hombres (Indefinido)
zts1332e	Traje guay para hombres
zts1334e	Traje guay para hombres (7 días)
zts1335e	Traje guay para hombres (30 días)
zts1336e	Traje guay para hombres (Indefinido)
zts1348e	Uniforme escolar luz sideral
zts1349e	Uniforme escolar luz sideral (7 días)
zts1350e	Uniforme escolar luz sideral (30 días)
zts1351e	Uniforme escolar luz sideral (Indefinido)
zts1352e	Cinta de pelo estrellita
zts1353e	Cinta de pelo estrellita (7 días)
zts1354e	Cinta de pelo estrellita (30 días)
zts1355e	Cinta de pelo estrellita (Indefinida)
zts1359e	Perla de la Ardilla Samurai
zts1394e	Alas de Ángel
zts1397e	Alas del Demonio
zts1510e	Plumas de Ángel (99 piezas)
zts1511e	Caja Misteriosa A [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Máscara feroz A [n] Máscara feroz B [n] Máscara feroz C [n] Perlas de Ardilla [n] Perlas de la Ardilla Gladiadora [n] Perlas de la Ardilla Cazaratones [n] Alimento especial para mascotas [n] Pergamino protector de equipamiento [n] Agua de la fuente de Cylloan [n]  Pergamino de la liberación [n]  Poción especial grande[n]
zts1512e	Caja Misteriosa B [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Máscara de la Calma A [n] Máscara de la Calma B [n] Máscara de la Calma C [n] Perlas de la Ardilla Torera [n] Perlas de la Ardilla Marinera [n] Perlas de la Ardilla Samurai [n]  Alimento especial para mascotas [n] Pergamino Protector de equipamiento [n] Agua de la fuente de Cylloan [n] Pergamino de la liberación [n] Poción especial grande[n]
zts1513e	Caja Misteriosa C [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Venda del Abismo A [n] Venda del Abismo B [n] Venda del Abismo C [n] Perlas de Pegaso [n] Perlas del conejo entrañable [n] Perlas de la Ardilla Enferma [n]  Alimento especial para mascotas [n] Pergamino Protector de equipamiento [n] Agua de la fuente de Cylloan [n] Pergamino de la liberación [n] Poción especial grande[n]
zts1528e	Cesta de mascota (10 días, evento)
zts1530e	Sello de la Araña Negra Gigante
zts1531e	Sello del Gigante Slade
zts1532e	Sello de Xysenstrauch
zts1533e	Sello de Dark Castra
zts1534e	Sello del Rey Pollo
zts1535e	Sello de la Madre de Cuby
zts1537e	Patinete Mágico
zts1540e	Alfombra Mágica
zts2790e	Medallón del NosComerciante (1 día) (Evento)
zts2800e	Medallón del NosComerciante (30 días)
zts2801e	Medallón del NosComerciante (7 días)
zts8848e	Baúl de la Fortuna de la Eurocopa
zts8993e	Baúl de la fortuna del Conejorejo
zts9201e	Caja Jackpot espectacular
zts9265e	Pepita de oro diminuta
zts9266e	Pepita de oro pequeña
zts9267e	Pepita de oro grande
zts9268e	Pepita de oro enorme
zts9282e	Baúl del especialista: alas y más
zts10043e	Fusión de disfraces
zts10054e	¡Para todos a los que les encanta variar!
zts10055e	Con esto puedes cambiar el aspecto de tu disfraz.[n]Para hacerlo tienes que registrar el disfraz base y el disfraz complementario.[n][Atención][n]1) Los disfraces temporalmente limitados no se pueden variar.[n]2) Los disfraces ligados solamente a personajes se pueden variar una vez.[n]3) El disfraz complementario desaparecerá en el proceso.[n]4) Un [Reinicio de fusión de disfraces] te permite restaurar el cambio.[n]5) Las opciones del disfraz complementario no se aplicarán al disfraz base.[n]
zts10226e	Medallón del 10.º aniversario
zts10274e	Medalla vip del Banco Cuarry (10 días)
zts10275e	Recibes el estatus de vip en el Banco Cuarry y no tienes que pagar tasas.[n][Atención] Solo válida durante 10 días.[n]
zts10276e	Medalla vip del Banco Cuarry (30 días)
zts10277e	Recibes el estatus de vip en el Banco Cuarry y no tienes que pagar tasas.[n][Atención] Solo válida durante 30 días.[n]
zts19668e	Mochila de aventurero (permanente)
zts19669e	Mochila del compañero (permanente)
zts19670e	Cesta NosMate (permanente)
zts19684e	Puedes utilizar durante 10 días[n]todas las casillas de tu inventario.[n]
zts19685e	Puedes utilizar durante 30 días[n]todas las casillas de tu inventario.[n]
zts19686e	Puedes utilizar durante 60 días[n]todas las casillas de tu inventario.[n]
zts19687e	Puedes utilizar indefinidamente todas las casillas de tu inventario.[n]
zts19874e	Medallón del 11.º aniversario
zts19880e	Baúl con trineo mágico
zts19881e	Este baúl contiene un Trineo mágico.[n]
zts19886e	Perla del Oso polar Gruñidos
zts19888e	Máscara de demonio de fuego (30 días)
zts19889e	Máscara de demonio de fuego (permanente)
zts19890e	Disfraz de demonio de fuego (30 días)
zts19891e	Disfraz de demonio de fuego (permanente)
zts19892e	Set de demonio de fuego
zts19911e	Tarjeta del especialista de atuendo de boda
zts19913e	Llave general de baúles del tesoro
zts19915e	Ardilla de la suerte
zts19916e	Superardilla de la suerte
zts19930e	Alas de disfraz de demonio de fuego (30 días)
zts19931e	Alas de disfraz de demonio de fuego (permanente)
zts19932e	Tarjeta del especialista para compañero del Conejo de Pascua enloquecido
zts19933e	Gorrito de fiesta de Conejo de Pascua (30 días)
zts19934e	Gorrito de fiesta de Conejo de Pascua (permanente)
zts19935e	Atuendo festivo de Conejo de Pascua (30 días)
zts19936e	Atuendo festivo de Conejo de Pascua (permanente)
zts19937e	Baúl de atuendo festivo de Conejo de Pascua
zts19938e	Sombrero de Conejo de Pascua (30 días)
zts19939e	Sombrero de Conejo de Pascua (permanente)
zts19940e	Disfraz de Conejo de Pascua (30 días)
zts19941e	Disfraz de Conejo de Pascua (permanente)
zts19942e	Lote de disfraz de Conejo de Pascua
zts19954e	Perla de nube dorada
zts19956e	Amuleto heroico bendito sellado (aleatorio)
zts19959e	Tocado de atuendo de hada (30 días)
zts19960e	Tocado de atuendo de hada (permanente)
zts19961e	Atuendo de hada (30 días)
zts19962e	Atuendo de hada (permanente)
zts19963e	Alas de atuendo de hada (30 días)
zts19964e	Alas de atuendo de hada (permanente)
zts19965e	Set de atuendo de hada
zts19973e	Sello de Grasslin
zts19976e	Potenciador de XPF (1 día)
zts19977e	Potenciador de XPF (3 días)
zts19978e	Potenciador de XPF (7 días)
zts19979e	Potenciador de XPF (30 días)
zts19980e	Baúl de la piñata burrito mágica
zts19986e	Tarjeta del especialista para compañero de Perti Unala
zts19987e	Bruja de hielo pequeña
zts19993e	Nutria
zts19995e	Aventurero
zts19996e	Amigo de los animales
zts19997e	Rebelde
zts19998e	Idealista
zts19999e	Pacificador
zts20000e	Diplomático
zts20001e	Aniquilador de malas hierbas
zts20002e	Salvador de NosVille
zts20003e	Incansable
zts20004e	Cumbre solitaria
zts20005e	Artista mágico
zts20006e	Gran mago
zts20007e	Jefe brujo
zts20008e	Arco plateado
zts20009e	Robin Hood
zts20010e	Arquero experto
zts20011e	Mercenario
zts20012e	Caballero del temple
zts20013e	Maestro de la espada
zts20014e	Cintonegro
zts20015e	Sensei
zts20016e	Puños mortales
zts20017e	Título de evento
zts20018e	Ángel de la muerte del PvP
zts20019e	Campeón PvP
zts20020e	Leyenda PvP
zts20021e	Titán PvP
zts20022e	Dragón de ónice
zts20023e	Libertador
zts20024e	Afortunado
zts20025e	Perspicaz
zts20026e	Baluarte
zts20027e	Clarividente
zts20028e	Héroe radiante
zts20029e	Sublime
zts20032e	Gorro del trópico (30 días)
zts20033e	Gorro del trópico (permanente)
zts20034e	Atuendo del trópico (30 días)
zts20035e	Atuendo del trópico (permanente)
zts20036e	Alas de atuendo del trópico (30 días)
zts20037e	Alas de atuendo del trópico (permanentes)
zts20038e	Set de atuendo del trópico
zts20039e	Tarjeta de cambio de nombre
zts20043e	Alas de relámpago
zts20045e	Tique de ampliación de inventario (30 días)
zts20046e	Tique de ampliación de inventario (60 días)
zts20047e	Tique de ampliación de inventario (permanente)
zts20048e	Medallón del 12.º aniversario
zts20049e	Baúl de alpaca del 12.º aniversario
zts20050e	Baúl de alpaca de carreras del 12.º aniversario
zts20053e	Artista
zts20054e	adora las galletas
zts20055e	Talento natural
zts20056e	El mayor aficionado
zts20057e	Maestro del concurso
zts20058e	Modelo
zts20059e	Estrella de película
zts20060e	Creador de palabras
zts20061e	¡sobrevive!
zts20062e	Patasuave
zts20063e	Corazón cálido
zts20064e	Gorro de bruja de hielo (30 días)
zts20065e	Gorro de bruja de hielo (permanente)
zts20066e	Atuendo de bruja de hielo (30 días)
zts20067e	Atuendo de bruja de hielo (permanente)
zts20068e	Alas de atuendo de bruja de hielo (30 días)
zts20069e	Alas de atuendo de bruja de hielo (permanente)
zts20070e	Set de atuendo de bruja de hielo
zts20071e	Pergamino de guardado de tatuaje
zts20072e	Eliminador de tatuajes
zts20073e	Yunque de reparación de runas
zts20074e	Martillo retirarrunas
zts20075e	Pergamino de runas afortunadas.
zts20078e	Baúl de la fortuna de plumas de ángel
zts20079e	Baúl de la fortuna de cristales de luna llena
zts20080e	Pergamino prémium de runas afortunadas
zts20085e	Baúl de la fortuna de runas de tatuaje 1
zts20086e	Este baúl contiene objetos magníficos.[n]Al abrir el baúl puedes obtener uno de los siguientes objetos:[n]2 Pergaminos de guardado de tatuaje[n]2 Eliminadores de tatuajes[n]2 Martillos retirarrunas[n]4 Pergaminos de runas afortunadas[n]8 Yunques de reparación de runas
zts20087e	Baúl de la fortuna de runas de tatuaje 2
zts20088e	Este baúl contiene objetos magníficos.[n]Al abrir el baúl puedes obtener uno de los siguientes objetos:[n]3 Pergaminos de guardado de tatuaje[n]3 Eliminadores de tatuajes[n]3 Martillos retirarrunas[n]6 Pergaminos de runas afortunadas[n]12 Yunques de reparación de runas
zts20091e	Sombrero "Mago de Noz" (30 días)
zts20092e	Sombrero "Mago de Noz" (permanente)
zts20093e	Atuendo "Mago de Noz" (30 días)
zts20094e	Atuendo "Mago de Noz" (permanente)
zts20095e	Set "Mago de Noz"
zts20116e	Escoge otras alas para tu especialista.[n]
zts20119e	Baúl "Almacén extenso (permanente)"
zts20120e	Baúl "Almacén extenso (30 días)"
zts20133e	Almacén extenso (30 días)
zts20149e	Abrillantador rúnico
zts20158e	Akenatón, el faraón maldito
zts20168e	Alas de espada
zts20182e	Medallón del 13.º aniversario
zts20183e	Pudin dorado
zts20184e	Pudin
zts20185e	Atuendo "Bruja calabaza/Caballero calabaza" (30 días)
zts20186e	Sombrero "Bruja calabaza/Caballero calabaza" (30 días)
zts20187e	Alas de atuendo "Bruja calabaza/Caballero calabaza" (30 días)
zts20188e	Atuendo "Bruja calabaza/Caballero calabaza" (permanente)
zts20189e	Sombrero "Bruja calabaza/Caballero calabaza" (permanente)
zts20190e	Alas de atuendo "Bruja calabaza/Caballero calabaza" (permanente)
zts20191e	Set "Bruja calabaza/Caballero calabaza"
zts20204e	Paladín gecko
zts20205e	Aspecto de pescador profesional
zts20213e	Paquete de casa en un árbol
zts20214e	Paquete de árbol de Navidad
zts20215e	Paquete de familia de muñecos de nieve
zts20216e	Paquete de coche con árbol de Navidad
zts20217e	Paquete de almacén del duendecillo (30 días)
zts20218e	Paquete de almacén del duendecillo (permanente)
zts20219e	Paquete de decoraciones navideñas 2020 (30 días)
zts20220e	Paquete de decoraciones navideñas 2020 (permanente)
zts20221e	Alas de cristal
zts20223e	Almacén del duendecillo (30 días)
zts20230e	Trineo mágico
zts20231e	Yelmo cadavérico de muerte lancera (30 días)
zts20232e	Yelmo cadavérico de muerte lancera (permanente)
zts20233e	Coraza de muerte lancera (30 días)
zts20234e	Coraza de muerte lancera (permanente)
zts20235e	Alas de muerte lancera (30 días)
zts20236e	Alas de muerte lancera (permanente)
zts20237e	Set de muerte lancera
zts20255e	Toro de rodeo
zts20257e	Baúl de toro de rodeo
zts20261e	Magimochuelo
zts20269e	Atuendo del país de las maravillas (30 días)
zts20270e	Atuendo del país de las maravillas (permanente)
zts20271e	Tocado del país de las maravillas (30 días)
zts20272e	Tocado del país de las maravillas (permanente)
zts20273e	Set de atuendo del país de las maravillas
zts20274e	Atuendo del país de las maravillas (permanente)
zts20281e	Aspecto de cocinero con estrella
zts20289e	Alas de flores
zts20299e	Zorro albar
zts20300e	Fabuloso
zts20336e	Sello de muñeco de nieve
zts20337e	Sello del raid de Jack Calabazas
zts20338e	Sello de la Reina Gallina (evento)
zts20339e	Sello del raid de Vulpina
zts20340e	Sello del raid de Maru
zts20341e	Sello del raid de Hongbi y Cheongbi
zts20342e	Sello del raid del demente Dr. Maullido
zts20343e	Sello del Conejo de Pascua enloquecido
zts20344e	Sello del pirata (evento)
zts20345e	Sello del raid de Lola Cucharón
zts20346e	Atuendo de abeja (30 días)
zts20347e	Atuendo de abeja (permanente)
zts20348e	Corona de abeja (30 días)
zts20349e	Corona de abeja (permanente)
zts20350e	Alas de abeja (30 días)
zts20351e	Alas de abeja (permanente)
zts20352e	Gafas de sol de abeja (30 días)
zts20353e	Gafas de sol de abeja (permanente)
zts20354e	Set de atuendo de abeja
zts20366e	Atuendo de abeja (30 días)
zts20367e	Atuendo de abeja (permanente)
zts20368e	Corona de abeja (30 días)
zts20369e	Corona de abeja (permanente)
zts20370e	Alas de abeja (30 días)
zts20371e	Alas de abeja (permanente)
zts20372e	Gafas de sol de abeja (30 días)
zts20373e	Gafas de sol de abeja (permanente)
zts20374e	Set de atuendo de abeja
zts20383e	Pase batalla prémium
zts20384e	Moneda de pase batalla prémium
zts20385e	Dino bebé Velutzi
zts20390e	Canguro del 14.º aniversario
zts20391e	Baúl de canguro del 14.º aniversario
zts20392e	Canguro boxeador del 14.º aniversario
zts20393e	Baúl de canguro boxeador del 14.º aniversario
zts20396e	Medallón del 15.º aniversario
zts20397e	Atuendo de personal médico de la peste (30 días)
zts20398e	Atuendo de personal médico de la peste (permanente)
zts20399e	Accesorio para la cabeza de la peste (30 días)
zts20400e	Accesorio para la cabeza de la peste (permanente)
zts20401e	Set de personal médico de la peste
zts20409e	Atuendo de personal médico de la peste (30 días)
zts20410e	Atuendo de personal médico de la peste (permanente)
zts20411e	Set de personal médico de la peste
zts20415e	Pergamino protector de dragón
zts20416e	Espada gélida (30 días)
zts20417e	Espada gélida (permanente)
zts20418e	Arco gélido (30 días)
zts20419e	Arco gélido (permanente)
zts20420e	Varita mágica gélida (30 días)
zts20421e	Varita mágica gélida (permanente)
zts20422e	Guantes gélidos (30 días)
zts20423e	Guantes gélidos (permanente)
zts20424e	Baúl de armas gélidas
zts20433e	Escama de Asgobas
zts20437e	Cofre de armas submarino
zts20443e	Tigre blanco mágico de Año Nuevo
zts20445e	Koala dormilón
zts20450e	Atuendo de cohete humano (30 días)
zts20451e	Atuendo de cohete humano (permanente)
zts20452e	Auriculares de cohete humano (30 días)
zts20453e	Auriculares de cohete humano (permanente)
zts20454e	Alas de cohete humano (30 días)
zts20455e	Alas de cohete humano (permanente)
zts20456e	Set de atuendo de cohete humano
zts20472e	Carruaje de conejito noble
zts20473e	Baúl de carruaje de conejito noble
zts20483e	Baúl de la fortuna de Alas retro
zts20487e	Transformador de alas (aleatorio)
zts20491e	Pergamino del maestro pescador
zts20492e	Atuendo de rafting (30 días)
zts20493e	Atuendo de rafting (permanente)
zts20494e	Atuendo de regatista (30 días)
zts20495e	Atuendo de regatista (permanente)
zts20496e	Traje de buceo deportivo (30 días)
zts20497e	Traje de buceo deportivo (permanente)
zts20498e	Atuendo de buzo (30 días)
zts20499e	Atuendo de buzo (permanente)
zts20500e	Visera de rafting (30 días)
zts20501e	Visera de rafting (permanente)
zts20502e	Gorra de capitán (30 días)
zts20503e	Gorra de capitán (permanente)
zts20504e	Regulador de buceo (30 días)
zts20505e	Regulador de buceo (permanente)
zts20506e	Set de esnórquel (30 días)
zts20507e	Set de esnórquel (permanente)
zts20508e	Set de atuendo de rafting
zts20509e	Set de atuendo de regatista
zts20510e	Set de atuendo de buceo deportivo
zts20511e	Set de atuendo de buzo
zts20518e	Botellín azul
zts20519e	Botellín rojo
zts20520e	Botellín amarillo
zts20521e	Bebé panda
zts20526e	Título del 15.º aniversario
zts20527e	Halitus-15
zts20529e	Prototipo de halitus
zts20534e	Disfraz de esqueleto (30 días)
zts20535e	Disfraz de esqueleto (permanente)
zts20536e	Máscara de esqueleto (30 días)
zts20537e	Máscara de esqueleto (permanente)
zts20542e	Conjunto de esqueleto
zts20549e	Alas de águila doradas
zts20557e	Luchador de jengibre Par
zts20558e	Tirador de jengibre Pur
zts20559e	Mago de jengibre Pir
zts20569e	Amuleto bendito (evento)
zts20571e	Amuleto de la protección (evento)
zts20573e	Amuleto heroico bendito (aleatorio, evento)
zts20575e	Amuleto heroico bendito (evento)
zts20577e	Pergamino de protección de equipamiento (evento)
zts20579e	Pergamino de protección de equipamiento dorado (evento)
zts20581e	Pergamino de runas afortunadas (evento)
zts20583e	Pergamino de mejora de runas prémium (evento)
zts20584e	Espada de chocolate dulce (30 días)
zts20585e	Espada de chocolate dulce (permanente)
zts20586e	Guantes de chocolate dulce (30 días)
zts20587e	Guantes de chocolate dulce (permanente)
zts20588e	Arco de chocolate dulce (30 días)
zts20589e	Arco de chocolate dulce (permanente)
zts20590e	Varita mágica de chocolate dulce (30 días)
zts20591e	Varita mágica de chocolate dulce (permanente)
zts20592e	Baúl de aspecto de arma "Sueño chocolateado"
zts20611e	Traje de dinosaurio (30 días)
zts20612e	Traje de dinosaurio (permanente)
zts20613e	Cabeza de dinosaurio de peluche (30 días)
zts20614e	Cabeza de dinosaurio de peluche (permanente)
zts20615e	Alas de dinosaurio (30 días)
zts20616e	Alas de dinosaurio (permanente)
zts20617e	Conjunto de dinosaurio
zts20624e	Infinito
zts20631e	Perla para entrenadores de mascotas
zts20633e	Aspecto prémium para entrenadores de mascotas
zts20635e	Columpio arbóreo
zts20640e	Baúl de evento ancestral
zts20641e	Baúl de evento legendario
zts20642e	Baúl de peinados espinosos (limitado)
zts20643e	Arquera Elfa Silvana Forga
zts20648e	Ardilla naviera
zts20652e	Minimascota "Grifo" (permanente)
zts20653e	Minimascota "Dragón negro" (permanente)
zts20654e	Minimascota "Grifo" (30 días)
zts20655e	Minimascota "Dragón negro" (30 días)
zts20656e	Minimascota "Grifo" (7 días)
zts20657e	Minimascota "Dragón negro" (7 días)
zts20667e	Espada láser (30 días)
zts20668e	Espada láser (permanente)
zts20669e	Guante láser (30 días)
zts20670e	Guante láser (permanente)
zts20671e	Arco láser (30 días)
zts20672e	Arco láser (permanente)
zts20673e	Varita mágica láser (30 días)
zts20674e	Varita mágica láser (permanente)
zts20683e	Baúl de aspectos de arma láser
zts20687e	Minimascota "Fénix" (permanente)
zts20688e	Minimascota "Fénix" (30 días)
zts20689e	Minimascota "Fénix" (7 días)
zts20690e	Minimascota "Fénix azul" (permanente)
zts20691e	Minimascota "Fénix azul" (30 días)
zts20692e	Minimascota "Fénix azul" (7 días)
zts20702e	Pastelito de chocolate por el 16.º aniversario
zts20703e	Pastelito arcoíris por el 16.º aniversario
zts20717e	Atuendo de acólito terrorífico (30 días)
zts20718e	Atuendo de acólito terrorífico (permanente)
zts20719e	Gorro de acólito terrorífico (30 días)
zts20720e	Gorro de acólito terrorífico (permanente)
zts20721e	Atuendo de acólito terrorífico
zts20732e	Set de restablecimiento de Hadas
zts20733e	Herramienta de oro
zts20734e	Transductor feérico
zts20735e	Alas steampunk
