zts1e	Odpoczynek
zts550e	Niebiañska pieœñ
zts551e	Niebiañska pieœñ sprawia, ¿e przeciwnicy na jakiœ czas trac¹ zapa³ do walki.
zts552e	Odnowienie
zts553e	Zdejmuje negatywne efekty z ciebie i twoich towarzyszy.
zts554e	Nawrócenie nieumar³ych
zts555e	Zadaje nieumar³ym krytyczne obra¿enia.
zts556e	Leczenie grupowe
zts557e	Przywraca P¯ twoim towarzyszom.
zts558e	Œwiêta broñ
zts559e	Na pewien czas b³ogos³awi ¿ywio³em œwiat³a twoj¹ broñ.
zts560e	B³ogos³awieñstwo
zts562e	Œwiêty m³ot
zts563e	Œwiêty m³ot spada z nieba i zadaje przeciwnikom potê¿ne obra¿enia.
zts564e	Mi³oœæ (Alt + Q)
zts565e	Hej (Alt + W)
zts566e	Uœmiech (Alt + E)
zts567e	Œmiech (Alt + R)
zts568e	Nieœmia³oœæ (Alt + T)
zts569e	Hehe (Alt + Y)
zts570e	Uuuups (Alt + U)
zts571e	Achhh (Alt + l)
zts572e	Zawstydzenie (Alt + O)
zts573e	Zwyciêstwo (Alt + P)
zts574e	Co? (Alt + A)
zts575e	¯artujesz sobie? (Alt + S)
zts576e	Super! (Alt + D)
zts577e	Jasne!? (Alt + F)
zts578e	Masz jakiœ problem? (Alt + G)
zts579e	Zap³acisz za to! (Alt + H)
zts580e	Mam ciê (Alt + J)
zts581e	STOP! (Alt + K)
zts582e	£zy (Alt + L)
zts583e	P³acz (Alt + Z)
zts584e	Szloch (Alt + X)
zts585e	Wypalenie (Alt + C)
zts586e	Grzeczny ch³opczyk (Alt + V)
zts587e	Grzeczna dziewczynka (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Plucie (Alt + M)
zts590e	D³ugi podbródek (Alt + ,)
zts591e	Kop obrotowy Jerico
zts592e	Ulepszenie
zts594e	Zwiêksza si³ê fizyczn¹ o 30.
zts595e	Zwiêksza tempo o 30.
zts596e	[Zaawansowany] Wzmocnienie bystroœci
zts597e	Zwiêksza bystroœæ o 35.
zts598e	[Mistrz] Wzmocnienie bystroœci
zts599e	Na sta³e zwiêksza P¯ o 400.
zts600e	Na sta³e zwiêksza PM o 400.
zts601e	[Zaawansowany] Skuteczny atak
zts602e	Zwiêksza si³ê ataku o 20.
zts603e	[Mistrz] Efektywny atak
zts604e	[Zaawansowany] Samoobrona
zts605e	Zwiêksza obronê o 20.
zts606e	[Mistrz] Samoobrona
zts607e	Zwiêksza odnowê P¯ o 100.
zts608e	Zwiêksza regeneracjê PM o 120.
zts609e	Naturalna Regeneracja
zts610e	Z szykownym efektem.
zts611e	Si³a umiejêtnoœci jeszcze raz zostaje zwiêkszona.
zts612e	B³yszcz¹ce ostrze
zts613e	Gigantyczne tornado
zts614e	Wzmocniony magiczny pocisk
zts616e	Uderzenie burzy
zts617e	Wzmocnienie odpornoœci na ¿ywio³y
zts618e	Nag³y atak
zts619e	Strza³ og³uszaj¹cy
zts620e	Wybuchowy strza³
zts621e	P³omienna strza³a
zts622e	B³yszcz¹ca strza³a
zts623e	Atakuj s³abe punkty.
zts624e	Lodowa œciana
zts625e	Sprawiedliwoœæ œwiat³a
zts626e	Strefa magmy
zts627e	Magiczny promieñ
zts628e	Oddech pokonanego
zts629e	Skok króla kurczaków
zts630e	Krzyk króla kurczaków
zts631e	Zwiêksza na pewien czas obronê i odpornoœæ u towarzyszy w pobli¿u.
zts632e	Chroni przed ciosami krytycznymi.
zts633e	Kopniaki
zts634e	Krzyk
zts635e	Skoki
zts636e	Wzmocnienie wybuchowej magicznej bomby
zts637e	Œredni skok króla kurczaków
zts638e	Szybki skok króla kurczaków
zts639e	Atakuje szybko i skutecznie za pomoc¹ trzciny bambusowej.
zts640e	Pu³apka szefa Jajamaru
zts641e	Atak Shuriken
zts642e	Skok Shuriken
zts643e	P³omienisty ogieñ
zts644e	Bombardowanie
zts645e	Zmiana
zts646e	Zakradniêcie siê
zts647e	Przywo³anie Kamapakun
zts648e	Stworzenie
zts649e	Si³a pustego serca
zts650e	Wzmocnienie wybuchowej magicznej bomby 2
zts651e	Atak Ninja Shuriken
zts652e	Tupanie Namaju
zts653e	Wezwanie Namaju
zts654e	Atak pancerzy
zts655e	Atak klonowych liœci
zts656e	Wi¹zki laserowe
zts657e	Wezwanie duchów
zts658e	Magiczne d³onie
zts659e	Truj¹ca mg³a
zts660e	Potkniêcie
zts661e	Atak ³ucznika-widmo Kovoltów
zts662e	Podstawowy atak Jajamaru. Wyrzuca Shuriken na wrogów.
zts663e	Skacze i ciska kilka Shuriken w kierunku wroga.
zts664e	Ognisty atak na ustawionych w rzêdzie przeciwników.
zts665e	Zrzuca na przeciwników potê¿n¹ bombê.
zts666e	Teleportuje do okreœlonego punktu i pozostawia drewniane od³amki na pierwotnym miejscu.
zts667e	Ukrywa siê do nastêpnego ataku - w³asnego, albo obcego.
zts668e	Jedzie wierzchem na Kamapakun i atakuje pobliskich wrogów.
zts669e	Przyzywa miniaturowe Jajamaru, które atakuj¹, a potem natychmiast znikaj¹.
zts670e	Umiejêtnoœæ tê mo¿e zastosowaæ tylko Namaju.
zts671e	Przywraca energiê na pewien czas i zadaje Namaju obra¿enia.
zts672e	Pêd bestii
zts673e	Nag³y atak wojownika Kovolt
zts674e	Teleport diabelskiej damy
zts675e	Mglista trucizna
zts676e	Podstawowy atak zmartwychwsta³ego szkieletowego wojownika
zts677e	Oœlepia odrodzonego diab³a.
zts678e	Podstawowy atak jastrzêbia trupiej czaszki
zts679e	Podstawowy atak wojownika œmierci
zts680e	Tr¹ba powietrzna wojownika œmierci
zts681e	Milczenie wojownika œmierci
zts682e	Teleport-widmo wojownika œmierci
zts683e	Podstawowy atak piekielnego rycerza
zts684e	Ziemisty szok piekielnego rycerza
zts685e	Krzyk piekielnego rycerza
zts686e	Og³uszaj¹ca tarcza piekielnego rycerza
zts687e	Podstawowy atak lataj¹cego ognistego diab³a
zts688e	Ognista gwiazda lataj¹cego ognistego diab³a
zts689e	Skok wiosny
zts690e	Ryk wiosny
zts691e	Œredni skok wiosny
zts692e	Szybki skok wiosny
zts693e	Podstawowy atak ognistego smoka
zts694e	Podstawowy atak koœcistego smoka
zts695e	Atak ¿ywio³ów
zts696e	Œwiêta strza³a
zts697e	Trzykrotny atak
zts698e	Tryb oblê¿enia
zts699e	Tryb obrony
zts700e	Modlitwa regeneracji
zts701e	Œwiêty krzy¿
zts702e	Wzrastaj¹ca tarcza
zts703e	Modlitwa obrony
zts704e	Modlitwa ataku
zts705e	Koncentrat 1
zts706e	Cios toporem
zts707e	Cios
zts708e	Wœciek³oœæ
zts709e	Atak fal dŸwiêkowych
zts710e	Uderzenie adrenaliny
zts711e	Atak ob³êdu
zts712e	Du¿y zamach
zts713e	Rozdarte tornado
zts714e	Berserk
zts715e	¯ycie i œmieræ
zts716e	Zniszcz pancerz
zts717e	Wystrza³ z flinty
zts718e	Szybki strza³
zts719e	Strza³ szczêœcia
zts720e	Dopalacz szybkoœci
zts721e	Podk³adacz bomb
zts722e	Bomba gazowa
zts723e	Eksploduj¹cy strza³
zts724e	¯o³nierska Wola
zts725e	Grzmi¹cy strza³
zts726e	Mina ogniowa
zts727e	Upadek do piek³a
zts728e	Bij¹cy bumerang
zts729e	Atak wê¿y
zts730e	Szpon bestii
zts731e	Duch or³a
zts732e	Œwiat³o ¿ywio³u
zts733e	Atak bumerangiem
zts734e	Duch wilka
zts735e	Utrata ¿ywio³ów
zts736e	Bluszcz
zts737e	Duch niedŸwiedzia
zts738e	Si³a lasu
zts739e	Lodowa kula
zts740e	Od³amki lodu
zts741e	Lodowy promieñ
zts742e	Lodowa lanca
zts743e	Lodowy ³añcuch
zts744e	Lodowa tarcza
zts745e	Lodowiec
zts746e	B³ogos³awieñstwo wody
zts747e	Silny grad
zts748e	Ch³ód
zts749e	Zamieæ œnie¿na
zts750e	Atak b¹belkowy Chrysosa
zts751e	Kopniak Treekuna
zts752e	Œwiêty oddech
zts753e	Œwiêty ¿ywio³
zts754e	B³yszcz¹cy efekt
zts755e	Koncentrat 2
zts756e	Wzmacniacz
zts757e	Lodowy ³añcuch
zts758e	Magiczny strza³
zts759e	£¹czony strza³
zts760e	Magiczna b³yskawica
zts761e	Duch stra¿nika
zts762e	Przeklêty strza³
zts763e	Mroczna kl¹twa
zts764e	Opêtanie
zts765e	Regeneracja ducha
zts766e	Eliksir z³a
zts767e	Msza ¿a³obna
zts768e	Inwazja duchów
zts769e	Atak pniaków
zts770e	Specjalny elektryczny atak
zts771e	Przywo³anie grabi
zts772e	Erikiel w trybie w³óczni
zts773e	Atak kretów
zts774e	Atak skamienienia bazyliszka
zts775e	Atak py³owy æmy
zts776e	Atak zrêcznoœciowy
zts777e	Atak Graylandera
zts778e	Og³uszenie Graylandera
zts779e	Podstawowy atak Chrysosa
zts780e	Atak turkuci podjadków
zts781e	Skoncentrowana moc
zts782e	Wybuch bomby
zts783e	Wybuch bomby 2
zts784e	Agresywny atak
zts785e	Wybuch miny l¹dowej
zts786e	Podstawowy atak katapult¹
zts787e	Wiruj¹ca lotnia
zts788e	Podstawowy atak stokrotki
zts789e	Os³ona gazowa stokrotki
zts790e	Podstawowy atak Seiny
zts791e	Œwiêty krzy¿ Seiny
zts792e	Du¿y zamach
zts793e	Wœciek³oœæ
zts794e	Zniszcz pancerz
zts795e	To podstawowy atak krzy¿owca.
zts796e	Poœlij œwiêt¹ strza³ê w kierunku wroga, aby go zraniæ.
zts797e	Potrójny atak zadaje przeciwnikom powa¿ne obra¿enia.
zts798e	Stworzenia, znajduj¹ce siê w pobli¿u, zostaj¹ os³abione w wyniku dzia³ania silnego ¿ywio³u œwiat³a œwiêtego oddechu.
zts799e	Zwiêksza wszystkie si³y ataku na pewien czas.
zts800e	Twój cel jest os³oniêty œwiêtym œwiat³em.
zts801e	P¯ zostaj¹ przywrócone.
zts802e	Duch œwiat³a eksploduje i tworzy siê du¿y œwiêty krzy¿.
zts804e	Zwiêksza wytrzyma³oœæ i obronê twoj¹ i cz³onków twojej grupy.
zts805e	Zwiêksza poziom ataku i morale twoje oraz cz³onków twojej grupy.
zts806e	Twój cel i pobliscy przeciwnicy zostan¹ pokonani przez przywo³an¹ skoncentrowan¹ moc.
zts807e	To podstawowy atak niszczyciela.
zts808e	Szybki strza³ zadaje przeciwnikom powa¿ne obra¿enia.
zts809e	Rani wszystkich przeciwników znajduj¹cych siê w pobli¿u.
zts810e	Zwiêksza szybkoœæ twoich ruchów poprzez u¿ycie zawrotnego dopalacza.
zts811e	Atakuje znajduj¹cych siê w pobli¿u przeciwników w formie wybuchu specjalnej bomby. Po 40 sekundach bomba sama siê rozbraja.
zts812e	Otruwa znajduj¹cych siê w pobli¿u przeciwników przez wybuch truj¹cej bomby gazowej.
zts813e	Zwiêksza si³ê przebicia flinty.
zts814e	Leczenie wszystkich negatywnych efektów, na³o¿onych przez przeciwnika.
zts815e	Atak na przeciwników poprzez rzucenie bomby.
zts816e	Ogniste miny szturmuj¹ w kierunku przeciwników.
zts817e	Najsilniejsza bomba zostaje wystrzelona losowo.
zts818e	To podstawowy atak lodowego maga.
zts819e	Atakuje przeciwnika ostrymi od³amkami lodu
zts820e	Zamra¿a przeciwników potê¿nym mroŸnym czarem.
zts821e	Pok³uj przeciwnika lodow¹ lanc¹.
zts822e	Pêta przeciwnika lodowym ³añcuchem.
zts823e	£agodzi atak przeciwnika dziêki os³onie lodowej tarczy.
zts824e	Dooko³a postaci, która rzuci³a czar, wyrastaj¹ lodowe twory o ostrej krawêdzi.
zts825e	B³ogos³awieñstwo wody
zts826e	Zwiêksza odpornoœæ na ¿ywio³ wody.
zts827e	Przeciwnik doznaje powa¿nych obra¿eñ od spadaj¹cych gradowych kul.
zts828e	Zamra¿a przeciwników ch³odnym powiewem.
zts829e	MroŸna zamieæ niszczy przeciwników.
zts830e	Technika piekielnego ksiêcia
zts831e	P¯ zostaj¹ przywrócone.
zts832e	Mysticaron
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Mistyczny rycerz
zts838e	Zwiêksza obronê przez stworzenie ogromnej tarczy.
zts840e	Podstawowy atak ba³wana
zts842e	Podstawowy atak Whitney
zts843e	Przeklêta b³yskawica Whitney
zts844e	Cios mistycznego rycerza
zts845e	Podstawowy atak Kupei
zts846e	W¹¿ Kupei
zts847e	Podstawowy atak Justina
zts848e	Du¿y zamach Justina
zts849e	To podstawowy atak berserka.
zts850e	To podstawowy atak dzikiego stra¿nika.
zts851e	Podstawowy atak mrocznego maga
zts852e	To podstawowy atak berserka.
zts853e	Uderza przeciwnika potê¿n¹ broni¹.
zts854e	Uderza znajduj¹cych siê w pobli¿u przeciwników broni¹ z ¿ywio³em mroku.
zts855e	Zwiêksza si³ê ataku w wyniku kombinacji ob³êdu i si³y psychicznej.
zts856e	Zmniejsza si³ê obrony.
zts857e	Oczyszcza przeciwnika z szaleñstwa i atakuje go z ca³¹ moc¹.
zts858e	W przyp³ywie wœciek³oœci rozgniata przeciwnika na miazgê.
zts859e	W ob³êdzie wali na oœlep woko³o.
zts860e	Neutralizuje obronê przeciwnika.
zts861e	Rozgniata wroga i sprawia, ¿e dr¿y ziemia.
zts862e	Zu¿ywa P¯, by zwiêkszyæ si³ê ataku.
zts863e	Popada w ob³êd i w przyp³ywie wœciek³oœci wali we wszystko na oœlep.
zts864e	To podstawowy atak dzikiego stra¿nika.
zts865e	Rzuca w kierunku przeciwnika 2 bumerangi.
zts866e	Potnij przeciwników bumerangiem.
zts867e	Duch or³a pozwala na precyzyjne atakowanie przeciwnika.
zts868e	Œwiat³o ¿ywio³u nape³nia ciê aur¹ natury.
zts869e	Wyrzut bumerangiem ciê¿ko rani przeciwników.
zts870e	Zwiêksza szybkoœæ poruszania siê przez wezwanie ducha wilka.
zts871e	Wysysa z przeciwnika duchow¹ energiê.
zts872e	Zakrêca bumerangiem w kilku kierunkach, by trafiæ we wszystkich przeciwników w pobli¿u.
zts873e	Zwiêksza si³ê obrony, przez przyzwanie ducha niedŸwiedzia.
zts874e	Rzuca ogromnym bumerangiem, by zjednoczyæ go nastêpnie z duchem przyrody.
zts875e	Podstawowy atak mrocznego maga
zts876e	Ponownie odpala magiczn¹ broñ.
zts877e	Magiczny piorun powoduje eksplozjê i zadaje przeciwnikowi obra¿enia.
zts878e	Duch stra¿nika zjawia siê, by broniæ postaci przed atakami.
zts879e	Posy³a przeklêty strza³ na przeciwnika.
zts880e	Rzuca na postaæ kl¹twê, która zwiêksza si³ê ¿ywio³u mroku.
zts881e	Potê¿ny demon przeklina przeciwnika.
zts882e	Kilkakrotnie oddaje w kierunku przeciwnika przeklête strza³y.
zts883e	Wype³nia wroga mroczn¹ energi¹.
zts884e	Msza ¿a³obna sprawia, ¿e przeciwnicy w pobli¿u uciekaj¹ w pop³ochu, a ich moc ¿yciowa ulega wch³oniêciu.
zts885e	W wyniku dzia³ania przeklêtych duchów oddaje dzikie i niekontrolowane strza³y.
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts950e	Odpoczynek
zts951e	(C)
zts952e	Podnoszenie
zts953e	(X,`)
zts954e	Zwiêksza si³ê fizyczn¹ o 5.
zts955e	Zwiêksza si³ê fizyczn¹ o 15.
zts956e	[Mistrz] Wzmocniony atak
zts957e	Zwiêksza si³ê fizyczn¹ o 60.
zts958e	Zwiêksza tempo o 5.
zts959e	Zwiêksza tempo o 15.
zts960e	Zwiêksza tempo o 60.
zts961e	Zwiêksza bystroœæ o 5.
zts962e	Zwiêksza bystroœæ o 30.
zts963e	Zwiêksza bystroœæ o 60.
zts964e	Na sta³e zwiêksza iloœæ P¯ o 300.
zts965e	Zwiêksza iloœæ P¯ o 1000.
zts966e	Na sta³e zwiêksza iloœæ P¯ o 3000.
zts967e	Na sta³e zwiêksza iloœæ PM o 300.
zts968e	Na sta³e zwiêksza iloœæ PM o 1000.
zts969e	Na sta³e zwiêksza iloœæ PM o 3000.
zts970e	[Pocz¹tkuj¹cy] Naturalna Regeneracja
zts971e	Specjalizacja: nieumarli
zts972e	Zwiêksza si³ê ataku krótkodystansowego przy ataku nieumar³ych niskiego poziomu.
zts973e	Schwytaj zwierzê, które mo¿e staæ siê twoim NosKumplem.
zts974e	1. Wybierz zwierzê i sprawdŸ, czy posiada ikonkê schwytania.
zts975e	2. Atakuj je dopóty, dopóki jego P¯ nie spadn¹ poni¿ej 50%.
zts976e	3. Aby je schwytaæ, u¿yj umiejêtnoœci schwytania.
zts977e	4. Jeœli ci siê nie uda, musisz poczekaæ, a¿ umiejêtnoœci bêdzie mo¿na u¿yæ ponownie. Wówczas spróbuj ponownie.
zts978e	Zwiêksza si³ê ataku o 1 poziom.
zts979e	Zwiêksza si³ê ataku krótkodystansowego ataku wœciek³oœci.
zts980e	Zwiêksza si³ê ataku.
zts981e	Zwiêksza si³ê ataku krótkodystansowego ciosu zemsty i obra¿enia od ciosu krytycznego.
zts982e	Zwiêksza si³ê ataku krótkodystansowego uziemiaj¹cej fali.
zts983e	Zwiêksza si³ê ataku krótkodystansowego uderzenia wiatru.
zts984e	Zwiêksza si³ê ataku krótkodystansowego w podwójnym ataku.
zts985e	Zwiêksza si³ê ataku d³ugodystansowego dynamicznego strza³u.
zts986e	Zadajesz wyœmienity cios.
zts987e	Umieœæ wroga przed sob¹.
zts988e	Szybkie obroty zadaj¹ wrogom w pobli¿u obra¿enia.
zts989e	Wystrzel strza³ê, aby odepchn¹æ wroga.
zts990e	Posy³a strza³ê z wyskoku i zadaje obra¿enia najbli¿szemu wrogowi bez poniesienia za to kary.
zts991e	Atak d³ugodystansowy, polegaj¹cy na pos³aniu strza³y, która trafia w cel w zasiêgu trzech komórek wokó³ wroga.
zts992e	Zadaje obra¿enia krytyczne sztyletem.
zts993e	Wróg zostaje otruty przez dodatkowy atak sztyletem.
zts994e	Gdy siê obracasz, atakujesz wszystkich wrogów woko³o swoim sztyletem.
zts995e	Atak z zaskoczenia przerywa ruch przeciwnika.
zts996e	Kumuluje energiê do nastêpnego ataku.
zts997e	Zwiêksza celnoœæ i zadane obra¿enia krytyczne poszukiwacza przygód.
zts998e	Truj¹cy grot
zts999e	Zwiêksza si³ê ataku d³ugodystansowego strza³u w dziesi¹tkê.
zts1000e	Zwiêksza si³ê ataku d³ugodystansowego silnego ciosu.
zts1001e	Magiczna bariera
zts1002e	Stwarza tarczê, aby z pewnym prawdopodobieñstwem zmniejszyæ obra¿enia od wszystkich ataków.
zts1003e	Ochrona przyrody
zts1004e	Stwarza tarczê ochronn¹ wokó³ twej grupy i zmniejsza odniesione od ¿ywio³ów obra¿enia.
zts1005e	Zwiêksza si³ê ataku d³ugodystansowego szybkiego strza³u.
zts1006e	Zwiêksza si³ê ataku d³ugodystansowego deszczu strza³.
zts1007e	Wzmocnienie
zts1008e	Zwiêksza si³ê ataku krótkodystansowego ciosu szturmowego i prawdopodobieñstwo przerwania ruchu.
zts1009e	Zwiêksz si³ê ataku krótkodystansowego œmiertelnego ciosu.
zts1010e	Wybuch
zts1011e	Z pewnym prawdopodobieñstwem rozszerza u¿ycie ognistej kuli o ognisty wybuch.
zts1012e	Mróz
zts1013e	U¿ycie lodowej kuli sprawi, ¿e przeciwnik z pewnym prawdopodobieñstwem mo¿e zamarzn¹æ.
zts1014e	Zwiêksz si³ê ataku magicznego magicznej rakiety.
zts1015e	Wzmocnienie o 1 poziom
zts1016e	Zwiêksza magiczn¹ si³ê ataku i ¿ywio³ wody tornada.
zts1017e	Wzmocnienie o 2 poziom.
zts1018e	Zwiêksza magiczn¹ si³ê ataku spadaj¹cego g³azu.
zts1019e	Zwiêksza magiczn¹ si³ê ataku czarodziejskiego pocisku.
zts1020e	Zwiêksza szansê na zadanie ciosu krytycznego i zadaje dodatkowe obra¿enia.
zts1021e	Zwiêksza si³ê ataku o 2 poziomy.
zts1022e	Zastosuj ¿ywio³ wody - poziom 1
zts1023e	Dodaje do magicznego strza³u ¿ywio³ wody.
zts1024e	Energiczne uderzenie mieczem.
zts1025e	Zwiêksza wszystkie odpornoœci przez koncentracjê uwagi na swoim ciele.
zts1026e	Podkradnij siê w pobli¿e wroga i zadaj mu cios z boku.
zts1027e	Zamracza wroga w momencie trafienia go wielkim pociskiem.
zts1028e	Posy³a wybuchow¹ strza³ê, aby zadaæ ciê¿kie obra¿enia.
zts1029e	Specjalizacja PvP
zts1030e	Zwiêksza si³ê ataku krótkodystansowego w PvP.
zts1031e	Zastosuj ¿ywio³ ognia - poziom 1
zts1032e	Dodaje ¿ywio³ ognia do ataku wœciek³oœci.
zts1033e	Zastosuj ¿ywio³ ognia - poziom 2
zts1034e	Zastosuj ¿ywio³ mroku - poziom 1
zts1035e	Dodaje ¿ywio³ mroku do ataku wœciek³oœci.
zts1036e	Zastosuj ¿ywio³ mroku - poziom 2
zts1037e	Zwiêksza si³ê ataku krótkodystansowego b³yszcz¹cego ostrza.
zts1038e	Specjalizacja na potwory niskiego poziomu
zts1039e	Zwiêksza si³ê ataku krótkodystansowego na potwory niskiego poziomu.
zts1040e	Specjalizacja na zwierzêta
zts1041e	Zwiêksza si³ê ataku krótkodystansowego na zwierzêta niskiego poziomu.
zts1042e	Specjalizacja na roœliny
zts1043e	Zwiêksza si³ê ataku krótkodystansowego na roœliny niskiego poziomu.
zts1044e	Zwiêksza si³ê ataku d³ugodystansowego na potwory niskiego poziomu.
zts1045e	Zwiêksza si³ê ataku d³ugodystansowego na zwierzêta niskiego poziomu.
zts1046e	Zwiêksza si³ê ataku o 3 poziomy.
zts1047e	Zwiêksza si³ê ataku o 4 poziomy.
zts1048e	Zastosuj ¿ywio³ ognia
zts1049e	Zmienia ¿ywio³ w ¿ywio³ ognia.
zts1050e	Zwiêksza prawdopodobieñstwo zamroczenia gwieŸdzistego ataku.
zts1051e	Wzmacnia efekt i czas trwania kl¹twy krwi.
zts1052e	Zwiêksza si³ê krótkodystansowego ataku szturmowego i sprawia, ¿e wróg tê¿eje.
zts1053e	Nagle wyci¹gasz wrogów przed siebie i odwracasz ich uwagê.
zts1054e	Zwiêksza si³ê ataku d³ugodystansowego wybuchowego strza³u.
zts1055e	Zwiêksza si³ê ataku d³ugodystansowego na roœliny niskiego poziomu.
zts1056e	Zwiêksza si³ê ataku d³ugodystansowego strza³u z wyskoku.
zts1057e	Maksymalizuje efekt i czas trwania rytua³u soko³a.
zts1058e	Wzmocniony toksyczny kolec - poziom 1
zts1059e	Umieœæ toksyczny kolec na sztylecie.
zts1060e	Wzmocniony toksyczny kolec - poziom 2
zts1061e	Dodaje do wybuchowego strza³u ¿ywio³ ognia.
zts1062e	Zwiêksza si³ê ataku d³ugodystansowego na nieumar³ych niskiego poziomu.
zts1063e	Zwiêksza si³ê ataku d³ugodystansowego w PvP.
zts1064e	Posy³a p³omienn¹ strza³ê, aby podpaliæ wroga.
zts1065e	Dodaje do energetycznej kuli ¿ywio³ wody.
zts1066e	Zastosuj ¿ywio³ wody - poziom 2
zts1067e	Dodaje do magicznego strza³u ¿ywio³ ognia.
zts1068e	Zwiêksza si³ê ataku magicznego i wzmacnia ¿ywio³ ognia ognistej kuli.
zts1069e	Zwiêksza silê ataku magicznego i wzmacnia ¿ywio³ wody lodowej kuli.
zts1070e	Zwiêksza si³ê ataku magicznego i ¿ywio³ ognia s³upa ognia.
zts1071e	Stwórz deszcz strza³, wielokrotnie posy³aj¹c w górê magiczne strza³y.
zts1072e	DŸgnij sztyletem wroga w s³aby punkt, aby zadaæ mu ciê¿kie obra¿enia.
zts1073e	Parali¿uj¹ca trucizna
zts1074e	Umieœæ parali¿uj¹c¹ truciznê na grocie strza³y, by os³abiæ przeciwnika.
zts1075e	Trucizna wzmocnienia
zts1076e	Umieœæ truciznê wzmocnienia na grocie strza³y, aby w ten sposób zraniæ przeciwnika.
zts1077e	Wzmocniona œmiertelna trucizna: poziom 1
zts1078e	Umieœæ œmierteln¹ trucizn¹ na sztylecie.
zts1079e	Wzmocniona œmiertelna trucizna: poziom 2
zts1080e	Zadaj wrogowi powa¿ne obra¿enia, przyzywaj¹c z ziemi lodow¹ œcianê.
zts1081e	Os¹d niebios
zts1082e	Zadaje wrogowi powa¿ne obra¿enia, atakuj¹c go œwiat³em z nieba.
zts1083e	Otaczaj¹ca ciê lawa parzy wrogów w bezpoœrednim otoczeniu.
zts1084e	Wystrzeliwuje potê¿ny czar z magicznej broni.
zts1085e	Promieniuje aur¹ œmierci, by wystraszyæ przeciwników.
zts1086e	Stwarza jeszcze zimniejsz¹ lodow¹ œcianê, zwiêksza si³ê ataku magicznego i prawdopodobieñstwo wyst¹pienia efektu mrozu.
zts1087e	Dodaje do umiejêtnoœci os¹du niebios ¿ywio³ wody.
zts1088e	Gor¹ca magma zwiêksza si³ê ataku magicznego i prawdopodobieñstwo wyst¹pienia œmiertelnego spalenia.
zts1089e	Wezwanie Calvinas
zts1090e	Podstawowy atak Calvinas
zts1091e	Zamroczenie - poziom 1
zts1092e	B³yszcz¹ca strza³a, na któr¹ na³o¿ono czar, wywo³uje u wroga zamroczenie. W efekcie odnosi on wiêcej obra¿eñ.
zts1093e	Zwiêksza si³ê ataku krótkodystansowego przy atakowaniu s³abych punktów i powoduje u przeciwnika silne krwawienie.
zts1094e	Efekt animacyjny jest w³¹czony, a jego si³a zwiêksza siê.
zts1095e	Dodaje do uderzenia wiatru ¿ywio³ wody.
zts1096e	Dodaje do uderzenia wiatru ¿ywio³ mroku.
zts1097e	Dodaje do dynamicznego strza³u ¿ywio³ ognia.
zts1098e	Dodaje do dynamicznego strza³u ¿ywio³ mroku.
zts1099e	Dodaje do podwójnego ataku ¿ywio³ ognia.
zts1100e	Dodaje do podwójnego ataku ¿ywio³ mroku.
zts1101e	Zwiêksza zasiêg.
zts1102e	Zwiêksza zasiêg ataku szturmowego.
zts1103e	Dodaje do uziemiaj¹cej fali ¿ywio³ ognia.
zts1104e	Zastosuj ¿ywio³ mroku
zts1105e	Dodaje do uziemiaj¹cej fali ¿ywio³ mroku.
zts1106e	Dodaje do ciosu zemsty ¿ywio³ ognia.
zts1107e	Dodaje do ciosu zemsty ¿ywio³ mroku.
zts1108e	Neutralizacja obrony - poziom 1
zts1109e	Atakuje ods³oniête punkty i niszczy pancerz wroga.
zts1110e	Neutralizacja obrony - poziom 2
zts1111e	Neutralizacja obrony - poziom 3
zts1112e	Atak g³owic¹ miecza, który powoduje u przeciwnika efekt œmiertelnego zamroczenia.
zts1113e	Umieœæ wroga przed sob¹, by rozproszyæ jego uwagê.
zts1114e	Maksymalizuje efekt i czas trwania zastraszenia.
