zts1e	Objeto nuevo
zts1508e	Armadura nueva (distancia)
zts1509e	Armadura nueva (física)
zts1510e	Ira de Plexon
zts1511e	Schiavona
zts1512e	Scrammer heroico
zts1513e	Ballesta de héroe
zts1514e	Arco de los elementos
zts1515e	Arco de la destrucción
zts1516e	Arma mágica heroica
zts1517e	Vara mágica de serafín
zts1518e	Varita mágica de teracen
zts1519e	Antifaz 1
zts1520e	Antifaz 2
zts1521e	Antifaz 3
zts1522e	Blinder4
zts1523e	Blinder5
zts1524e	Máscara 1
zts1525e	Máscara 2
zts1526e	Máscara 3
zts1527e	Máscara4
zts1528e	Máscara5
zts1529e	Antifaz 2.1
zts1530e	Antifaz 2.2
zts1531e	Antifaz 2.3
zts1532e	Blinder2 4
zts1533e	Blinder2 5
zts1534e	Guante de combate brillantes
zts1535e	Guantes de malla brillantes
zts1536e	Guantes rápidos brillantes
zts1537e	Guantes de la resistencia brillantes
zts1538e	Guantes de la tormenta brillantes
zts1539e	Guantes flamígeros brillantes
zts1540e	Guantes divinos brillantes
zts1541e	Guantes de muerte brillantes
zts1542e	Botas de protección brillantes
zts1543e	Botas de metal pesadas brillantes
zts1544e	Botas de viento brillantes
zts1545e	Botas de acero brillantes
zts1546e	Zapatos ondulados brillantes
zts1547e	Zapatos de fuego brillantes
zts1548e	Zapatos del fulgor brillantes
zts1549e	Zapatos de las tinieblas brillantes
zts1550e	Baúl del tesoro (nivel 1)
zts1551e	Baúl del tesoro (nivel 2)
zts1552e	Baúl del tesoro (nivel 3)
zts1553e	Baúl del tesoro (nivel 4)
zts1554e	Baúl del tesoro (nivel 5)
zts1555e	Tarjeta del especialista de caballero de la cruz
zts1556e	Tarjeta del especialista de berserker
zts1557e	Tarjeta del especialista de destructor
zts1558e	Tarjeta del especialista de guardabosques
zts1559e	Tarjeta del especialista de mago azul
zts1560e	Tarjeta del especialista de mago de las tinieblas
zts1561e	Plan de construcción (nivel 1)
zts1562e	Plan de construcción (nivel 2)
zts1563e	Combinación de botas de tipo A
zts1564e	Combinación de botas de tipo B
zts1565e	Combinación de guantes de tipo A
zts1566e	Combinación de guantes de tipo B
zts1567e	Receta de artículos de consumo
zts1568e	Poción de curación divina
zts1569e	Poción de maná divina
zts1570e	Poción de recuperación divina
zts1571e	Poción de recuperación de SP básica
zts1572e	Poción de ataque
zts1573e	Poción de defensa
zts1574e	Poción de energía
zts1575e	Poción de experiencia
zts1576e	Ladrillo
zts1577e	Semilla de la vida
zts1578e	Huevo de gallina
zts1579e	Carpa
zts1580e	Oriharcon
zts1581e	Hoja extraña
zts1582e	Gusano
zts1583e	Caballa
zts1584e	Martillo
zts1585e	Hacha
zts1586e	Mena mithrill
zts1587e	Aguja
zts1588e	Diamante
zts1589e	Rama de la jungla
zts1590e	Ballena
zts1591e	Piedra misteriosa
zts1592e	Manzana
zts1593e	Pluma de oro
zts1594e	Carrete de hilo
zts1595e	Piedra de fuego
zts1596e	Piedra de agua
zts1597e	Piedra de luz
zts1598e	Piedra de las tinieblas
zts1599e	Metal legendario
zts1600e	Madera legendaria
zts1601e	Tela legendaria
zts1602e	Cuero legendario
zts1603e	Cantera sencilla
zts1604e	Serrería sencilla
zts1605e	Diana sencilla
zts1606e	Estanque sencillo
zts1607e	Cantera media
zts1608e	Serrería media
zts1609e	Diana media
zts1610e	Estanque medio
zts1611e	Cantera buena
zts1612e	Serrería buena
zts1613e	Diana buena
zts1614e	Estanque bueno
zts1615e	Se utiliza para construir edificios útiles.[n]Haz doble clic para ver la lista.[n][n]
zts1616e	Se utiliza para construir edificios maravillosos.[n]Haz doble clic para ver la lista.[n][n]
zts1617e	Se utiliza para confeccionar diferentes zapatos.[n] Haz doble clic sobre esto para ver la lista.[n][n]
zts1618e	Se utiliza para confeccionar diferentes zapatos.[n] Haz doble clic sobre esto para ver la lista.[n][n]
zts1619e	Se utiliza para confeccionar diferentes guantes.[n] Haz doble clic sobre esto para ver la lista.[n][n]
zts1620e	Se utiliza para confeccionar diferentes guantes.[n] Haz doble clic sobre esto para ver la lista.[n][n]
zts1621e	Se utiliza para confeccionar diferentes consumibles.[n] Haz doble clic sobre esto para ver la lista.[n][n]
zts1622e	Al utilizarlo, tú y tu NosMate recuperáis el 100% de los HP.[n][n]
zts1623e	Al utilizarlo, tú y tu NosMate recuperáis el 100% de los MP.[n][n]
zts1624e	Al utilizarlo, tú y tu NosMate recuperáis el 100% de los HP y MP.[n][n]
zts1625e	Cuando se lo usa, añade 10 000 puntos de especialista (SP).[n][n]
zts1626e	Aumenta el poder de ataque en un 20 % durante 10 minutos.[n][n]
zts1627e	Aumenta la defensa en un 20 % durante 10 minutos.[n][n]
zts1628e	Aumenta los HP y los MP en un 10 % durante 10 minutos.[n][n]
zts1629e	Aumenta los puntos de experiencia en un 20 % durante 10 minutos.[n][n]
zts1630e	Corazón de Altair
zts1631e	Es necesario para crear el Regalo de Chilsug.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1632e	Lágrima de Wega
zts1633e	Es necesario para crear el Regalo de Chilsug.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1634e	Pluma
zts1635e	Es necesario para crear el Regalo de Chilsug.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1636e	Regalo de Chilsug
zts1637e	Entrega este regalo a alguien en una ocasión especial. Si el destinatario acepta el regalo, recibes una bendición que permanece 50 minutos.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1638e	Corazón helado
zts1639e	Margarita
zts1640e	Lirio
zts1641e	Campanilla
zts1642e	Escama de Fever
zts1643e	Polvo de polilla
zts1644e	Polvo de espíritus
zts1645e	Goma de mascar
zts1646e	Cuerno de Rumbler
zts1647e	Cristal del alma
zts1648e	Hoja de arce dorada
zts1649e	Estambre dorado
zts1650e	Bigotes de la Madre Topo
zts1651e	Botella de agua llena
zts1652e	Cola de ave de mapache
zts1653e	Cupón de durabilidad
zts1654e	Se puede usar activando el botón "Utilizar cupón" de la [n]ventana de administración de producción del minijuego. Si se usa el cupón,[n]la duración de uso del minijuego aumenta sin consumir oro.
zts1655e	Cupón de recompensa
zts1656e	Si lo quieres conservar, tendrás la opción de hacerlo cuando recibas la recompensa del minijuego.[n]Si lo utilizas,[n]recibirás recompensa doble.[n][n]
zts1657e	Cupón de producción
zts1658e	Se activa con doble clic.[n]Se puede usar cuando los puntos de producción están en 0.[n]Rellena por completo tus puntos de producción.
zts1659e	Se usa con doble clic.[n]Rellena 500 de tus puntos de producción.[n]
zts1660e	Mochila de aventurero (10 días)
zts1661e	Mochila de aventurero (30 días)
zts1662e	Mochila de aventurero (60 días)
zts1663e	Mochila de compañero (10 días)
zts1664e	Mochila del compañero (30 días)
zts1665e	Mochila de compañero (60 días)
zts1666e	Cesta NosMate (10 días)
zts1667e	Cesta NosMate (30 días)
zts1668e	Cesta NosMate (60 días)
zts1669e	Mochila (10 días)
zts1670e	Mochila (30 días)
zts1671e	Mochila (60 días)
zts1672e	Bendición de Erenia
zts1673e	Bendición del Ángel Guardián
zts1674e	Bendición de Zenas
zts1675e	Set de Bendiciones
zts1676e	Máscara feroz A
zts1677e	Máscara feroz B
zts1678e	Máscara feroz C
zts1679e	Máscara calmada A
zts1680e	Máscara calmada B
zts1681e	Máscara calmada C
zts1682e	Venda del abismo A
zts1683e	Venda del abismo B
zts1684e	Venda del abismo C
zts1685e	Ardilla marrón
zts1686e	Ardilla gladiadora
zts1687e	Ardilla fumigadora
zts1688e	Agua opaca
zts1689e	Caja misteriosa A
zts1690e	Caja misteriosa B
zts1691e	Caja misteriosa C
zts1692e	Agua Contaminada
zts1693e	Agua sucia
zts1694e	Agua limpia
zts1695e	Hígado de un Perro del infierno
zts1696e	Fortalecedor de hada
zts1697e	Energía Impulsadora
zts1698e	Si lo utilizas, estarás equipado durante 30 días con:[n]Se añadirán 12 posiciones adicionales a las categorías "Equipamiento", "Principal" y "Otros", un total de 36.[n]No se puede utilizar con una Medalla.[n][n]
zts1699e	Con la ayuda de tu NosMate puedes[n]abrir tu almacén siempre[n]y en cualquier lugar. Si el animal muere,[n]este objeto ya no[n]se puede usar.[n]Ademas deberás colocar[n]un almacén en el Mini-mundo.[n][n]
zts1700e	Tu NosMate recibe un 100 % más de puntos de experiencia.[n]La velocidad de movimiento aumenta en 2[n](1 hora)[n]
zts1701e	Bendición de Ancelloan
zts1702e	Aumenta los puntos de experiencia por combate y profesión durante una hora en un 100 %.[n]No se puede combinar con medallas.[n][n]
zts1703e	Agua Bendita de Renacimiento
zts1704e	Si lo utilizas, estarás equipado durante 10 días con:[n]Se añadirán 12 posiciones adicionales a las categorías "Equipamiento", "Objeto principal" y "Otros", un total de 36.[n]No se puede utilizar con una Medalla.[n][n]
zts1705e	Si lo utilizas, estarás equipado durante 60 días con:[n]Se añadirán 12 posiciones adicionales a las categorías "Equipamiento", "Principal" y "Otros", un total de 36.[n]No se puede utilizar con una Medalla.[n][n]
zts1706e	Loopuster
zts1707e	Espada rota
zts1708e	Bergarce
zts1709e	Seraphion
zts1710e	Caiperu
zts1711e	Ecaracci
zts1712e	Varita mágica de Lord Mukraju
zts1713e	Vara de Aurelius
zts1714e	Renobir
zts1715e	Cai'lander
zts1716e	Suphi'rudin
zts1717e	Ridy'arce
zts1718e	Guante de Roob'raph
zts1719e	Guantes del ejecutor
zts1720e	Zapatos nebulosos
zts1721e	Botas de Ku'ru'kelron
zts1722e	Collar de Diareason
zts1723e	Collar de Rudiselrun
zts1724e	Collar de Kedenoss
zts1725e	Anillo de Diareason
zts1726e	Anillo de Rudiselrun
zts1727e	Anillo de Kedenoss
zts1728e	Brazalete de Diareason
zts1729e	Brazalete de Rudiselrun
zts1730e	Brazalete de Kedenoss
zts1731e	Azuris
zts1732e	Casco de caballero
zts1733e	Máscara de caballero
zts1734e	Aumenta los HP en 800.[n]Recibirás una caja de regalo si reúnes todos los objetos N.O.S. del evento.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1735e	Aumenta los MP en 800.[n]Recibirás una caja de regalo si reúnes todos los objetos N.O.S. del evento.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1736e	Aumenta los HP y los MP en 1000.[n]Recibirás una caja de regalo si reúnes todos los objetos N.O.S. del evento.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1737e	Recibirás una caja de regalo si reúnes todos los objetos N.O.S. del evento.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1738e	Aumenta los puntos de experiencia recibidos en un 100 % durante una hora.[n][n]
zts1739e	Este objeto se puede utilizar una vez por cuenta y día.[n]Recibes una caja de regalo.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1740e	Recibirás una caja de regalo si reúnes todos los objetos N.O.S. del evento.[n]Este objeto se puede utilizar una vez por cuenta y día.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts1741e	Si se utiliza el Fortalecedor de hada, no se podrá cambiar de Hada mientras dure el efecto.[n][n]
zts1742e	En este envoltorio de regalo encontrarás un pequeño presente. Haz doble clic sobre la caja para abrirla y recibir uno de los diferentes regalos que puede contener. El objeto desaparece al final del evento.[n][n]
zts1743e	Pastel verde
zts1744e	Pastel rojo
zts1745e	Pastel blanco
zts1746e	¡Reta al Basilisco!
zts1747e	Time-space del Caballero Gigante
zts1748e	Time-space de Treekun
zts1749e	Time-space de Crisos
zts1750e	Pergamino de armadura de Amir
zts1751e	Pergamino de arma de Amir A
zts1752e	Pergamino de arma de Amir B
zts1753e	Especificaciones de las armas de Amir
zts1754e	Sobrecubierta de especificaciones de armas de Amir
zts1755e	Halita
zts1756e	Pelaje azul
zts1757e	Fruta podrida
zts1758e	Fruta dorada
zts1759e	Locomotora
zts1760e	Corteza sucia
zts1761e	Corteza dorada
zts1762e	Raíz maldita
zts1763e	Madre grande
zts1764e	Flecha impura
zts1765e	Herradura de Yaks
zts1766e	Pata de grillotopo
zts1767e	Hongo dorado
zts1768e	Tornillo gigante
zts1769e	Punta de espada
zts1770e	Muela
zts1771e	Musgo de oro
zts1772e	Cola de topo
zts1773e	Perla de cristal
zts1774e	Perla de muerte
zts1775e	Perla de lavanda
zts1776e	Perla de sangre
zts1777e	Perla de calabaza
zts1778e	Perla de oro
zts1779e	Pinza de cangrejos
zts1780e	Antena luminosa
zts1781e	Rueda dentada
zts1782e	Cáscara podrida
zts1783e	Raíz sucia
zts1784e	Cola de rata
zts1785e	Antena candente
zts1786e	Forjada en las minas oscuras de los enanos, esta espada fue labrada por el legendario maestro herrero Sanin Fu. Antaño fue propiedad del señor de los ángeles; posee el poder de unir la luz y las tinieblas.[n][n]
zts1787e	La cuchilla afilada de esta arma emite una energía misteriosa y poderosa.[n][n]
zts1788e	La oración de protección de un legendario espadachín habita esta ballesta y cuida a su dueño ante ataques a distancia.[n][n]
zts1789e	El Arco obtiene su poder a través del contacto con una Pluma de ángel encantada.[n][n]
zts1790e	Esta arma, fabricada con los métodos más complicados, es obra de un ángel que buscaba proteger a los héroes de ataques enemigos.[n][n]
zts1791e	Un ángel de seis alas, también llamado Serafín , creó esta varita mágica con la bendición de todos los ángeles y le confirió un gran poder.[n][n]
zts1792e	El manifiesto grabado por un espíritu aterrado sobre la espada te permite sentir su presencia a tu lado en todo momento.[n][n]
zts1793e	La hoja rota de esta espada le confiere un aura misteriosa que te lleva a entrenar duramente.[n][n]
zts1794e	Con la rapidez y la implacabilidad de un tornado, las flechas de esta arma atraviesan al adversario y le provocan daños fatales.[n][n]
zts1795e	La bendición del espíritu del agua aumenta los daños y la defensa elemental considerablemente.[n][n]
zts1796e	Un Arco único que antiguamente llevaba un gran emperador.[n][n]
zts1797e	Este Puñal se encontraba inicialmente en poder de las hadas.[n]Posee su poder y aumenta el poder de los elementos.[n][n]
zts1798e	Contiene la energía del mago maligno Mukraju y aumenta así el poder elemental.[n][n]
zts1799e	Contiene la energía del mago bueno Aurelius y aumenta así la defensa contra todos los elementos.[n][n]
zts1800e	Esta arma, en su momento propiedad de un famoso noble llamado Renobir, tiene alma y dignidad propias.[n][n]
zts1801e	Una armadura decorada con estupendos flecos de hilos dorados. Es el orgullo de todo jinete.[n]
zts1802e	Un sello guardián grabado de los elfos mayores. Tranquiliza a quienes lo llevan.[n]
zts1803e	Un sello guardián grabado de los guardianes nobles. Honra a quienes lo llevan.[n]
zts1804e	Límite de nivel: 65-99[n] La entrada se encuentra en el [Túnel profundo-3] [n]Se puede acceder individualmente o en grupo.[n][n]
zts1805e	Time-space del Caballero gigante (A)
zts1806e	Límite de nivel: 65-99[n] La entrada se encuentra en el [Linde del Bosque] [n]Se puede acceder individualmente o en grupo.[n][n]
zts1807e	Time-space del Caballero gigante (B)
zts1808e	Time-space del Caballero gigante (C)
zts1809e	Time-space de Treekun (A)
zts1810e	Límite de nivel: 65-99[n] La entrada se encuentra en el [Bosque de Abetos] [n]Se puede acceder individualmente o en grupo.[n][n]
zts1811e	Time-space de Treekun (B)
zts1812e	Time-space de Treekun (C)
zts1813e	Time-space de Chrysos (A)
zts1814e	Límite de nivel: 65-99[n]La entrada se encuentra en el [Bosque de Arce] [n]Se puede acceder individualmente o en grupo.[n][n]
zts1815e	Time-space de Chrysos (B)
zts1816e	Time-space de Chrysos (C)
zts1817e	Fragmento del Time-space (basilisco)
zts1818e	Fragmento del Time-space (Caballero infernal)
zts1819e	Fragmento del Time-space (Treekun)
zts1820e	Fragmento del Time-space (Chrysos)
zts1821e	Hoja
zts1822e	Piedra de cristal ardiente
zts1823e	Piedra de cristal ondulada
zts1824e	Cristal del viento
zts1825e	Cráneo perdido
zts1826e	Cornamenta de yak
zts1827e	Pieza de armadura negra
zts1828e	Polvo negro
zts1829e	Rama roja
zts1830e	Trozos de suciedad
zts1831e	Arena brillante
zts1832e	Zarpa afilada
zts1833e	Cristal de los deseos
zts1834e	Piedra preciosa negra
zts1835e	Tronco sucio
zts1836e	Corazón de basilisco
zts1837e	Pedazos de piel
zts1838e	Polvo de polilla
zts1839e	Cristal del espíritu del bosque
zts1840e	Hoja dorada
zts1841e	Zumo de abeto
zts1842e	Corazón endurecido
zts1843e	Piel de lagartija
zts1844e	Pelaje marrón
zts1845e	Armadura sólida
zts1846e	Masa celular gigante
zts1847e	Bolsa luminosa
zts1848e	Piedra de arena
zts1849e	Diente de sanguijuela
zts1850e	Sangre coagulada
zts1851e	Gel verde
zts1852e	Zumo contaminado
zts1853e	Posee un elemento luz de una fuerza del 35 %, pero no puede volverse más fuerte.[n]Si te acompaña Azuris, se ahorra un 20 % de los puntos de producción.[n]
zts1854e	Cinturón de joyas de Rebecca
zts1855e	Piedra sangrienta
zts1856e	Diario de Piena
zts1857e	Página desgarrada
zts1858e	Collar de la piedra de felicidad
zts1859e	Botella de agua bendita
zts1860e	Retrato de Justin
zts1861e	Caja fuerte pequeña
zts1862e	Llave triangular
zts1863e	Pañuelo de Ruddy
zts1864e	Blanqueador especial
zts1865e	Receta de blanqueador especial
zts1866e	Paja
zts1867e	Vaina de alubias
zts1868e	Flint
zts1869e	El libro elemental de la aventura
zts1870e	Time-space: Corazón congelado
zts1871e	Time-space: Destructor
zts1872e	Time-space: Guardián de la luz
zts1873e	Time-space: Archtheridon
zts1874e	Botella de agua especial
zts1875e	Los aventureros no se pueden equipar con este casco.[n]Es el casco del legendario Caballero negro.[n][n]
zts1876e	Los aventureros no se pueden equipar con esta máscara.[n]Es la máscara del legendario Caballero negro.[n][n]
zts1877e	Peluca
zts1878e	Peluca espinosa
zts1879e	Ardilla marrón (Japón)
zts1880e	Ardilla fumigadora (Japón)
zts1881e	Máscara feroz A (Japón)
zts1882e	Máscara feroz B (Japón)
zts1883e	Máscara feroz C (Japón)
zts1884e	Venda del abismo A (Japón)
zts1885e	Venda del abismo B (Japón)
zts1886e	Venda del abismo C (Japón)
zts1887e	Máscara calmada A (Japón)
zts1888e	Máscara calmada B (Japón)
zts1889e	Máscara calmada C (Japón)
zts1890e	Peluca de colores
zts1891e	Peluca espinosa inusual
zts1892e	Tarjeta del especialista - elemento luz[n][n]La voluntad y la fe de hierro del Caballero de la cruz contribuyen a un buen balance entre el bien y el mal. El mal no tiene ninguna oportunidad ante estos guardianes de la justicia.[n][n]
zts1893e	Tarjeta del especialista - Elemento fuego[n][n]Su naturaleza destructiva es la perdición de los enemigos que se lo encuentran en sus aventuras y expediciones. Preso de la ira, elimina a sus enemigos sin piedad.[n][n]
zts1894e	Tarjeta del especialista - Elemento agua[n][n]Su corazón helado convierte todo su cuerpo en hielo en situaciones peligrosas para aumentar así su resistencia contra ataques de agua. Gobierna sobre el frío y la helada.[n][n]
zts1895e	Las habilidades de un Hada armada aumentan en un 30 % durante una hora.[n]Tras su utilización, el aspecto del hada cambia (válido únicamente para hadas compradas).[n][n]
zts1896e	Airwaves cassis
zts1897e	Aparece un emoticono masticando.[n][n]
zts1898e	Airwaves eucalipto
zts1899e	Airwaves fresa
zts1900e	Airwaves mentol
zts1901e	Airwaves limón
zts1902e	Airwaves naranja
zts1903e	Conjuro de ráfaga
zts1904e	Caes ante el Conjuro de ráfaga. [n][n]
zts1905e	Bomba de color
zts1906e	Esta Bomba de color cambia el color del cabello o del peinado.[n][n]
zts1907e	Mini-juego de rompecabezas
zts1908e	Airwaves dragees
zts1909e	Activa el efecto Airwaves.[n][n]
zts1910e	Calabaza
zts1911e	Olas de aire
zts1912e	Máquina de escribir
zts1913e	Memoria
zts1914e	Airwaves cereza
zts1915e	Peluca marrón
zts1916e	Fragmento de memoria violeta
zts1917e	De él emana el odio interminable de los zombis.[n][n]
zts1918e	Fragmento de memoria verde
zts1919e	De él emana un sentimiento de libertad espiritual.[n][n]
zts1920e	Fragmento de memoria rojo
zts1921e	De él emana la ira del guerrero.[n][n]
zts1922e	Fragmento de memoria blanca
zts1923e	Tratado de Whitney
zts1924e	En la cubierta pone "Este mes, un interesante estudio sobre un trabajo premiado".[n]
zts1925e	Lazo del pelo de Natalie
zts1926e	Parece decir: "Vive cueste lo que cueste".[n]
zts1927e	Collar de Piepe
zts1928e	Pone "Para mi queridísimo amigo, Piepe de Kupei"[n]
zts1929e	Lobo de madera
zts1930e	Tiene un aspecto tosco, pero disfrutó de una fabricación con mucha atención por el detalle.[n]
zts1931e	Anillo de Seina
zts1932e	El anillo tiene grabadas las palabras "¿Quieres casarte conmigo?".[n][n]
zts1933e	Cristal demoníaco
zts1934e	Con este cristal puedes encontrar demonios. Lamentablemente no funciona.[n][n]
zts1935e	Lanza del sacerdote incompleta
zts1936e	Lanza del sacerdote
zts1937e	Sirve para la destrucción de demonios.[n][n]
zts1938e	Mineral desconocido
zts1939e	Pluma del ángel
zts1940e	Melena de Enkidu
zts1941e	Hoja de Seli-Lusha
zts1942e	Hilo de Fever
zts1943e	Time-space: Odio infinito
zts1944e	Time-space: Ermitaño
zts1945e	Time-space: Llama Negra
zts1946e	Time-space: Echekaluel Misticaron
zts1947e	Plan de construcción para lanza del sacerdote incompleta
zts1948e	Bendición de la gema del alma
zts1949e	Cuando un jugador activa la Tarjeta del especialista, su obtención de experiencia aumenta en 30 %. (Se puede utilizar con la Bendición de Ancelloan).[n]
zts1950e	Pergamino protector de tarjetas SP inferior
zts1951e	Puedes utilizar un Pergamino protector al optimizar tu Tarjeta del especialista de nivel 0 a 9. No perderás el "Alma roja brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1952e	Pergamino protector de tarjetas SP superior
zts1953e	Puedes utilizar un Pergamino protector al optimizar tu Tarjeta del especialista de nivel 10 a 14. No perderás el "Alma azul brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1954e	Piedra de reanimación de alma
zts1955e	¡Con la Piedra de reanimación de alma puedes restablecer una Tarjeta del especialista destruida![n]Si llevas una Tarjeta del especialista y utilizas la Piedra de reanimación de alma, se resucita el alma del especialista y así puedes volver a utilizar la Tarjeta del especialista.[n]Además, los puntos de especialista aumentan en 1000.[n]
zts1956e	Poción de iniciación de puntos
zts1957e	Recuperas todos los puntos de habilidad ya repartidos para repartirlos de nuevo.[n][n]
zts1958e	Plumas de ángel
zts1959e	La Pluma de ángel es un material importante para la optimización de Tarjetas del especialista.[n]Llévaselas con un Cristal de luna llena y un Alma brillante a Malcolm Mix para optimizar la tarjeta.[n][n]
zts1960e	Alma verde brillante
zts1961e	El Alma verde brillante es un material importante para la optimización de Tarjetas del especialista.[n]Este objeto se utiliza para la mejora en los niveles 0-4.[n][n]
zts1962e	Alma roja brillante
zts1963e	El Alma roja brillante es un material importante para la optimización de Tarjetas del especialista.[n]Este objeto se utiliza para la mejora en los niveles 5-9.[n][n]
zts1964e	Alma azul brillante
zts1965e	El Alma azul brillante es un material importante para la optimización de Tarjetas del especialista.[n]Este objeto se utiliza para la mejora en los niveles 10-14.[n][n]
zts1966e	Puedes utilizar el Pergamino protector al optimizar tu Tarjeta del especialista de nivel 0 a 9. No perderás el "Alma roja brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n][Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino)[n]
zts1967e	Puedes utilizar un Pergamino protector al optimizar tu Tarjeta del especialista de nivel 10 a 14. No perderás el "Alma azul brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1968e	Si utilizas una Piedra de reanimación de alma después de que se destruya tu Tarjeta del especialista, se resucita el alma del especialista.[n][n]
zts1969e	La Pluma de ángel es un material importante para la optimización de Tarjetas del especialista.[n][n]
zts1970e	La ganancia de experiencia aumenta en un 50 %. (Se puede utilizar con la bendición de Ancelloan).[n][n]
zts1971e	Puedes utilizar el Pergamino protector al optimizar tu Tarjeta del especialista de nivel 0 a 9. No perderás el "Alma roja brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1972e	Puedes utilizar el Pergamino protector al optimizar tu Tarjeta del especialista de nivel 10 a 14. No perderás el "Alma azul brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1973e	Si utilizas una Piedra de reanimación de alma después de que se destruya tu Tarjeta del especialista, se resucita el alma del especialista.[n] Aumenta los SP básicos adicionalmente en 1000.[n]
zts1974e	Ardilla Santa
zts1975e	Muñeco de nieve
zts1976e	Puedes utilizar un Pergamino protector al optimizar tu Tarjeta del especialista de nivel 0 a 9. No perderás el "Alma roja brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1977e	Puedes utilizar un Pergamino protector al optimizar tu Tarjeta del especialista de nivel 10 a 14. No perderás el "Alma azul brillante" ni el "Alma verde brillante" incluso si la mejora fracasa.[n] [Aplicación] El efecto protector empieza en cuanto hagas doble clic sobre el Pergamino protector.[n]Si haces otra vez doble clic, el efecto desaparecerá.[n](En ese caso no se consumirá ningún pergamino) [n]Solamente consumirás un Pergamino protector si optimizas una Tarjeta del especialista mientras se encuentre bajo su efecto.[n]
zts1978e	Si utilizas una Piedra de reanimación de alma después de que se destruya tu Tarjeta del especialista, se resucita el alma del especialista.[n][n]
zts1979e	Calcetín de Navidad
zts1980e	Estrella fugaz
zts1981e	Campanilla de Navidad
zts1982e	Caja de regalo de evento de invierno
zts1983e	Sello de muñeco de nieve
zts1984e	Un jugador crea el raid del Muñeco de nieve mediante el iglú de NosVille.[n]Nivel recomendado: 20-99[n][Instrucciones][n]El jugador se convierte en jefe del equipo.[n]Como líder podrás invitar a otros jugadores haciendo clic sobre ellos.[n]Ve a la entrada del raid.[n]Cuando el líder acceda, los demás jugadores le seguirán automáticamente.[n][Atención][n]Los personajes que tengan un nivel más alto que el recomendado pueden participar en el raid, pero recibirán una penalización.[n] (No obtendrán corazones ni Cajas del raid aunque ganen).
zts1985e	Pastel
zts1986e	Chocolate caliente
zts1987e	Aumenta poco a poco el nivel de HP y MP.[n]Cura NosMates y compañeros.[n]Un objeto para el evento de Navidad.[n][n]
zts1988e	Resucita la Tarjeta del especialista destruida. Cuando haces doble clic sobre la piedra, el alma destruida se resucita de inmediato.[n] Aumenta los SP básicos adicionalmente en 10 000.[n][n]
zts1989e	Set de cajas misterioso
