zts1e	Attacco Speciale
zts565e	Aumenta la % degli MP (solo buff).
zts566e	Aumenta gli HP del %s%%.
zts567e	Diminuisce gli HP del %s%%.
zts568e	Aumenta gli MP del %s%%.
zts569e	Diminuisce gli MP del %s%%.
zts570e	Aumenta la Difesa del %s%%.
zts571e	La Seconda Carta speciale.
zts572e	Innesca una Bomba.
zts573e	Detona la bomba
zts574e	Posiziona la bomba per un attacco.
zts575e	Distrugge qualsiasi oggetto nei dintorni.
zts576e	Evoca una Bomba. Un'ulteriore attivazione innesca la Bomba.
zts577e	Evoca 3 Mine di fuoco.
zts578e	Respiro Sacro
zts579e	Lancia un Buff sull'Attaccante.
zts580e	Diminuisce le abilità dell'avversario (se non sono elemento luce).
zts581e	Colpisce l'attaccante con una probabilità del %s%% con [%s]
zts582e	Upgrade della Carta speciale
zts583e	Pergamena protettiva SP (basso)
zts584e	Pergamena protettiva SP (alto)
zts585e	Utilizza Pergamena protettiva SP (basso).
zts586e	Utilizza Pergamena protettiva SP (alto).
zts587e	Pupazzo di neve enorme
zts588e	Freddo 1
zts589e	Freddo 2
zts590e	Si intravede una Tempesta di Neve. Tutti i giocatori in piedi perderanno il 99% degli HP.
zts591e	C'è un terremoto. Tutti i giocatori a terra perderanno il 99% degli HP.
zts592e	Assorbi
zts593e	Assorbi l'obiettivo
zts594e	Assorbi HP
zts595e	Assorbi l'Avversario.
zts596e	Assorbe %s HP dall'avversario.
zts597e	Abilità del Boss
zts598e	Lord Morcos
zts599e	I giocatori lontani da te almeno %s campi subiscono danni (%s%%).
zts600e	Perdi i riflessi e la probabilità di MP
zts601e	Toglie gli MP rimanenti con una determinata probabilità.
zts602e	Non utilizzare questa parte.
zts603e	Con una probabilità di un %s%%, toglie un %s%% degli MP rimasti.
zts604e	Specializzazione e Resistenza alle Magie.
zts605e	Resistenza alle Magie
zts606e	Specializzazione PVP
zts607e	Rimuove gli effetti negativi al di sotto di un certo livello.
zts608e	%s%% di resistenza all'effetto: %s o inferiore.
zts609e	Infligge danni aggiuntivi (%s) nei PvP.
zts610e	Diminuisce il danno in PvP di %s.
zts611e	Con una probabilità di un %s%%, rimuove gli effetti negativi al di sotto del Lv %s.
zts612e	L'esplosione provoca danni nello spazio di %s campi. Danni: %s%%.
zts613e	Maestro Hatus
zts614e	Testata del Drago
zts615e	Infligge il %s%% di danno ai giocatori entro una certa distanza.
zts616e	Lady Calvinas
zts617e	Serpente Evocato
zts618e	Specialista SE
zts619e	Energia dello Scudo
zts620e	Diffusione dell'Incantesimo
zts621e	Spostamento Aura
zts622e	Vita e morte
zts623e	Inserisci il numero dell'incantesimo ed il valore del danno (1/1000).
zts624e	Inserisci il numero dell'incantesimo.
zts625e	Provoca alcuni effetti nei dintorni spostando l'aura.
zts626e	Non devi inserire nulla.
zts627e	Applica una forza all`effetto indirettamente proporzionale ai tuoi HP.
zts628e	4. Raid di Famiglia Glacernon
zts629e	4. Abilità Glacernon
zts630e	Tutti gli avversari nello spazio di %s campi subiscono danni (%s%%).
zts631e	Tutti gli avversari nello spazio di %s campi subiscono danni (%s%%).
zts632e	Attacco del mostro evocato
zts633e	Rimuovi mostro evocato
zts634e	Infliggi a [%s] un danno del %s%%.
zts638e	Aumenta gli HP massimi di un %s%%, ma non oltre i 5000 HP.
zts639e	Diminuisce gli HP massimi di un %s%%, ma non oltre i 5000 HP.
zts651e	Tramite lo Speedbooster, la tua velocità di movimento viene aumentata.
zts652e	La tua velocità di movimento viene aumentata al massimo per un momento.
zts657e	nasconditi nel barile di rum
zts663e	%s%% di probabilità di evocare 1 [%s].
zts664e	%s%% di probabilità di evocare 1 [%s]. (Scompare di nuovo dopo un certo lasso di tempo)
zts668e	Attira l'attenzione degli avversari che si trovano vicino a te.
zts671e	La forza d'attacco totale aumenta di questa percentuale: %s%%.
zts672e	La forza d'attacco totale diminuisce di questa percentuale: %s%%.
zts673e	La forza di difesa totale aumenta di questa percentuale: %s%%.
zts674e	La forza di difesa totale diminuisce di questa percentuale: %s%%.
zts675e	Modifica gli MP massimi. (Anima dell'orso)
zts676e	Aumenta gli MP massimi di un %s%%, in ogni caso non oltre i 5000 MP.
zts677e	Diminuisce gli MP massimi di un %s%%, in ogni caso non oltre i 5000 MP.
zts678e	Riduce le abilità di tutti gli avversari.
zts685e	Riflette il massimo del danno ricevuto per il seguente valore: %s.
zts686e	Il danno degli attacchi viene aumentato di un %s%% con una probabilità di un %s%%. Se la difesa si rivela efficace, ti verrà caricata dell'energia.
zts687e	Il danno degli attacchi viene ridotto di un %s%% con una probabilità di un %s%%. Se la difesa si rivela efficace, ti verrà caricata dell'energia.
zts688e	Se sei riuscito a sconfiggere il tuo avversario usando con questa abilità, [%s] entrerà in gioco con una probabilità pari al %s%%.
zts689e	Se sbeffeggi il tuo avversario che ha subito un knock down, con una probabilità pari al %s%% entrerà in gioco [%s].
zts690e	Se sbeffeggi il tuo avversario che si trova in uno stato normale, con una probabilità pari al %s%% entrerà in gioco [%s].
zts691e	Riflette un cattivo effetto dell'avversario con una certa probabilità.
zts694e	L'ampiezza dell'attacco aumenta di %s.
zts695e	Il raggio d'attacco del cannone a fuoco è ridotto di un %s.
zts696e	Retrocedi davanti a un %s dei blocchi del nemico.
zts699e	La capacità di ardere di Vulcano è aumentata di un %s.
zts700e	La capacità di ardere di Vulcano è ridotta di un %s.
zts704e	Se si riduce l'efficacia dell'attacco, si rinforza il buff dell'avversario.
zts705e	Se si riesce a sottrarsi all'attacco dell'avversario, il buff verrà aumentato con una certa probabilità.
zts706e	Difenditi contro %s danni critici.
zts713e	Riduce %s%% del danno che il tuo compagno di gioco riceve all'interno del raggio d'attacco. Ottieni per questo un %s%% del danno del tuo compagno di gioco.
zts714e	Aumenta il danno trasferito dal tuo compagno di gioco del %s%%.
zts715e	Riduce il danno trasferito dal tuo compagno di gioco del %s%%.
zts716e	Il Recupero HP aumenta del %s%%.
zts717e	Il Recupero HP diminuisce del %s%%.
zts718e	Ulteriore danno ricevuto attraverso la skill combo: %s%%
zts728e	Con una probabilità di un %s%% causa il sacrificio [%s].
zts732e	In un luogo stabilito, con una probabilità di un %s%% [%s] viene eliminato.
zts733e	In un luogo stabilito, con una probabilità di un %s%% [%s] viene eliminato.
zts734e	Sparisce per un po' senza lasciar traccia.
zts741e	Sussiste la probabilità (%s%%) di non subire alcun danno. Inoltre, una parte del danno (%s%%) che avresti dovuto subire si sommerà ai tuoi HP.
zts742e	Sussiste la probabilità (%s%%) di non subire alcun danno. Tuttavia, una parte del danno (%s%%) che avresti dovuto subire verrà sottratta dai tuoi HP.
zts745e	Il danno aumenta del %s%% utilizzando l'abilità[%s].
zts746e	Il danno diminuisce del %s%% utilizzando l'abilità [%s].
zts747e	Il colpo mortale aumenta del %s%% utilizzando l'abilità [%s].
zts748e	Il colpo mortale diminuisce del %s%% utilizzando l'abilità [%s].
zts752e	Aumenta il danno contro %s del %s%%.
zts753e	Quando %s attacca un giocatore, il danno diminuisce del %s%%.
zts754e	L'efficacia degli item di recupero aumenta del %s%%.
zts755e	L'efficacia degli item di recupero diminuisce del %s%%.
zts757e	Quando Leona porta la Carta speciale compagno con sé, verrà prodotto con una probabilità di un %s%% [%s].
zts758e	Quando Leona porta la Carta speciale compagno con sé, verrà allontanato con una probabilità di un %s%% [%s].
zts764e	Effettua un attacco mirato all'avversario.
zts765e	Il nemico viene inseguito e cacciato da un falco e può anche essere attaccato dall'aria.
zts766e	Attraverso l'astuzia del falco, viene identificato il nemico con gli HP più bassi e attaccato. Successivamente questo giocatore verrà marchiato con un segno e potrà essere attaccato da altri.
zts767e	Aumenta la potenza difensiva nei PvP.
zts768e	Riduce i danni subiti nel PvP del seguente valore: %s%%.
zts769e	La potenza difensiva nei PvP diminuisce del %s%%.
zts776e	Riproduce %s%% dei restanti HP dell'avversario.
zts777e	Diminuisce del %s%% i restanti HP dell'avversario.
zts778e	Se si usa %s volte, verrà prodotto [%s]. Può salire al massimo al livello 2.
zts779e	Il raggio d'attacco aumenta del %s.
zts780e	Il raggio d'attacco diminuisce del %s.
zts781e	Muoviti per %s secondi in un'altra direzione contro la volontà del giocatore.
zts782e	Dall'appostamento con una probabilità del %s%% [%s] viene prodotto.
zts787e	Dopo l'attacco di un tiratore, con una probabilità di un %s%% [%s] viene prodotto.
zts788e	Dopo l'attacco di un tiratore, con una probabilità di un %s%% [%s] viene eliminato.
zts789e	Il raggio d'attacco dall'appostamento aumenta del %s.
zts790e	Con una probabilità di un %s%% verrà prodotto [%s] dopo un attacco dall'appostamento.
zts793e	Hai perso ogni forma di controllo del tuo corpo. Gli altri giocatori potrebbero liberarti dal ghiaccio eterno
zts794e	La breve meditazione causa con una probabilità di un %s%% [%s].
zts795e	La regolare meditazione causa con una probabilità di un %s%% [%s].
zts796e	La lunga meditazione causa con una probabilità di un %s%% [%s].
zts799e	Puoi ricevere un colpo critico tramite l'attacco di un tiratore (probabilità: %s%%).
zts808e	Sussiste la probabilità (%s%%) di respingere indietro l'avversario di %s campo/i.
zts810e	Sussiste la probabilità (%s%%) di respingere l'avversario di %s campo/i.
zts811e	Aumenta il Tempo di lancio per un raggio d'attacco corto del %s.
zts812e	Diminuisce il Tempo di lancio per un raggio d'attacco corto del %s.
zts813e	Aumenta il Tempo di lancio per un raggio d'attacco lungo del %s.
zts814e	Diminuisce il Tempo di lancio per un raggio d'attacco lungo di %s.
zts815e	Aumenta il Tempo di lancio per un attacco magico di %s.
zts816e	Diminuisce il Tempo di lancio per un attacco magico di %s.
zts817e	Se ti uccide un altro giocatore, i suoi HP diminuiscono del seguente valore: %s%% dei suoi HP mancanti.
zts818e	Se ti uccide un altro giocatore, i suoi HP aumentano del seguente valore: %s%% dei suoi HP mancanti.
zts819e	Aumenta la potenza d'attacco PvP.
zts820e	Aumenta la potenza d'attacco PvP di %s%%.
zts821e	Diminuisce la potenza d'attacco PvP di %s%%.
zts823e	Teletrasporto verso il luogo selezionato.
zts827e	Ha la possibilità del %s%% di evocare [%s].
zts828e	Recupero dei tuoi HP del %s%%.
zts829e	Riduzione dei tuoi HP del %s%%.
zts831e	Può cacciare le pecore.
zts832e	Buff Arena dei Team
zts833e	Potenza difensiva (Arena dei Team)
zts834e	Potenza d'attacco (Arena dei Team)
zts835e	C'è una probabilità di un %s%% che il danno subito nell'Arena dei Team aumenti di un %s%%.
zts836e	C'è una probabilità di un %s%% che il danno subito nell'Arena dei Team si riduca di un %s%%.
zts837e	C'è una probabilità di un %s%% che la potenza d'attacco in un attacco effettuato nell'Arena dei Team aumenti di un %s%%.
zts838e	C'è una probabilità di un %s%% che la potenza d'attacco di un attacco effettuato nell'Arena dei Team si riduca di un %s%%.
zts840e	Chiama il n° 1
zts841e	Chiama il n° 2
zts842e	Chiama il n° 3
zts843e	Visuale del pubblico
zts844e	Chiama il partecipante n° 1
zts845e	Chiama il partecipante n° 2
zts846e	Chiama il partecipante n° 3
zts847e	Passa dalla visuale soggettiva a quella del partecipante che combatte.
zts849e	Adesso puoi vedere i personaggi nascosti presenti vicino a te.
zts850e	Incremento dei punti esperienza della tua Fata
zts851e	I punti esperienza della tua Fata aumentano di un %s%%.
zts853e	Tira la ghianda più forte possibile.
zts860e	Vi è una certa probabilità (%s%%) di evocare fino a %s cloni oscuri.
zts861e	Vi è una certa probabilità (%s%%) che gli effetti rigenerativi degli HP vengano trasformati in danni.
zts862e	Trasforma il danno del nemico in effetto curativo con una probabilità di successo del %s%%. Gli HP rigenerati e il danno accumulato spariscono dopo %s secondi.
zts863e	Con una probabilità di successo di un %s%% il tempo di ricarica dell'abilità dell'avversario aumenta di un %s%%. Se l'abilità riesce, il tuo tempo di ricarica dell'abilità diminuirà.
zts864e	Quando una Fata dell'ombra ti accompagna, vi è una probabilità del %s%%%% che il danno ricevuto attraverso l'elemento ombra aumenti di un %s%%%%.
zts865e	Vi è una probabilità del %s%% che il danno ricevuto attraverso l'elemento ombra diminuisca di un %s%%.
zts869e	Vi è una probabilità del %s%% che, in presenza di uno spirito assorbito, venga utilizzato [%s].
zts870e	Vi è una probabilità del %s%% che, in assenza di spiriti assorbiti, venga utilizzato [%s].
zts871e	Fronteggia il movimento forzato con una probabilità del %s%%.
zts873e	Il tempo di recupero necessario per poter riutilizzare le abilità magiche aumenta di un %s%%.
zts874e	Il tempo di recupero necessario per poter riutilizzare le abilità magiche diminuisce di un %s%%.
zts877e	Attacca tutti i nemici in vista, eccetto che in un determinato luogo.
zts878e	Riduce gli HP dell'avversario del %s%% con una probabilità del %s%%.
zts879e	Diminuisce gli HP del %s%% in base al danno inflitto con una probabilità del %s%%.
zts883e	Evoca un Cespuglio di spine in un punto poco distante.
zts884e	Trasforma l'obiettivo.
zts886e	%s%% di probabilità di non poter usare alcun effetto positivo sotto il livello %s.
zts890e	Teletrasporta velocemente %s campi in avanti.
zts891e	Provoca la caduta di 10 meteoriti (+ ulteriori %s).
zts892e	Teletrasporta te e un determinato numero di membri (%s) nel luogo salvato.
zts894e	In grado di eseguire solo un attacco standard a causa della rabbia.
zts895e	Attira su di te l'attenzione degli avversari che si trovano nello spazio di 5 campi.
zts900e	Vi è un %s%% di probabilità che un %s%% della difesa dell'obiettivo venga ignorato.
zts901e	Vi è un %s%% di probabilità che il danno critico subito sia ridotto di un %s%%.
zts904e	Trasformazione in eroe: gli MP massimi vengono modificati in percentuale.
zts905e	Apparizione di Ancelloan: fa aumentare rispettivamente gli HP e MP massimi del %s%%.
zts906e	Apparizione di Ancelloan: fa diminuire rispettivamente gli HP e MP massimi del %s%%.
zts908e	Durante l'attacco potrebbe venire evocato un clone dell'ombra (probabilità: %s%%) affinché sferri un ulteriore attacco.
zts909e	Effetto furto
zts910e	In caso di attacco eseguito con successo, al bersaglio verrà sottratto un effetto positivo sotto il livello %s. Max. %s effetti.
zts912e	Quando l'attacco va a buon fine, è possibile impossessarsi degli effetti positivi (sotto il livello %s) del compagno del bersaglio e conferirli agli alleati presenti nello spazio di 3 campi. Si possono sottrarre al massimo %s effetti.
zts913e	Annullamento della trasformazione
zts914e	Vi è un %s%% di probabilità che la trasformazione venga annullata. Quando l'effetto è sparito, ritorna allo stato precedente.
zts916e	Non può attaccare per %s secondi.
zts917e	Sussiste una probabilità (%s%%) che la trasformazione venga annullata. Se l'annullamento viene portato a termine con successo, non può subire attacchi per %s secondi. Il destinatario torna allo stato precedente.
zts919e	Cambiaposto
zts920e	Scambia la posizione tra il personaggio e l'obiettivo. Non appena l'effetto scompare, il personaggio torna alla sua posizione iniziale.
zts923e	Se muori, la quantità di punti reputazione che perdi incrementa di un %s%%.
zts924e	Se muori, la quantità di punti reputazione che perdi si riduce di un %s%%.
zts925e	Se muori, la quantità di punti esperienza del livello eroe che perdi incrementa di un %s%%.
zts926e	Se muori, la quantità di punti esperienza del livello eroe che perdi si riduce di un %s%%.
zts928e	È stata emessa la sentenza: vi aspetta la morte.
zts931e	Aumenta il danno inflitto agli avversari della fazione Angeli del seguente valore: %s%%.
zts932e	Se attacchi un Angelo, il danno max. si riduce alla seguente percentuale: %s%%.
zts933e	Aumenta il danno inflitto agli avversari della fazione Demoni del seguente valore: %s%%.
zts934e	Se attacchi i Demoni, il danno max. si riduce alla seguente percentuale: %s%%.
zts937e	Vi è una certa probabilità (%s%%) che il tempo di ricarica dell'abilità di attacco utilizzata venga resettato.
zts938e	Sussiste la probabilità (%s%%) che si applichi %s sull'alleanza presente nello spazio di 5 campi.
zts939e	Sussiste la probabilità (%s%%) che si rimuova %s dall'alleanza presente nello spazio di 5 campi.
zts940e	Vi è un %s%% di probabilità che gli effetti positivi sotto il livello %s vengano rimossi.
zts942e	Se il livello di combattimento del mostro è uguale o superiore rispetto a quello del personaggio, sussiste una probabilità (%s%%) che il danno aumenti (+%s%%).
zts943e	Se il livello del mostro è più alto di quello del personaggio, vi è un %s%% di probabilità che il danno diminuisca di un %s%%.
zts945e	Blocca %s effetti negativi al di sotto del livello %s.
zts947e	Mentre si è nascosti, la velocità di movimento aumenta di un %s.
zts948e	Mentre si è nascosti, la velocità di movimento aumenta di un %s.
zts955e	Aumenta la reputazione ottenuta della seguente percentuale: %s%%.
zts956e	Diminuisce la reputazione ottenuta della seguente percentuale: %s%%.
zts957e	Aumenta l'esperienza eroe della seguente percentuale: %s%%.
zts958e	Diminuisce l'esperienza eroe della seguente percentuale: %s%%.
zts959e	Mentre vieni accompagnato, dopo %s ora/e puoi ricevere %s item sconosciuto/i.
zts960e	%s%% di possibilità di rimuovere un buff di rafforzamento dall'avversario.
zts961e	Usa la magia del Lich per creare un Drago di ossa e conferisce "Forza vitale del drago".
zts962e	Usa la magia del Lich per creare un Drago di ossa e conferisce "Forza vitale del forte drago".
zts970e	Causa un danno aggiuntivo (%s) se il bersaglio è invisibile.
zts972e	I danni contro gli avversari invisibili aumentano della seguente percentuale: %s%%.
zts973e	I danni contro gli avversari invisibili diminuiscono della seguente percentuale: %s%%.
zts974e	Rende visibili gli avversari nascosti nei %s campi circostanti.
zts977e	Torna nella Miniland e rigenera un %s%% dei tuoi HP. Se hai gli HP massimi, ottieni un %s%% di HP extra.
zts980e	Può utilizzare %s volte l'abilità senza tempo di ricarica.
zts985e	Si trasforma e assume la Posizione del drago con i quali puoi eseguire gli attacchi fiammeggianti.
zts986e	Si trasforma e assume la Posizione di Haetae con i quali puoi eseguire gli attacchi con la forza della bestia.
zts987e	Attiva il tempo di ricarica [%s] con la seguente probabilità: %s%%.
zts988e	Attiva il tempo di ricarica [%s] con la seguente probabilità: %s%%.
zts991e	I punti esperienza lavoro e i punti esperienza combattimento ricevuti aumentano del seguente valore: %s%%.
zts993e	Quando utilizzi la magia e gli attacchi a distanza, vi è una certa probabilità (%s%%) di scoccare una freccia magica.
zts997e	%s%% di probabilità di incrementare di un %s%% il danno da attacco di fuoco.
zts998e	%s%% di probabilità di ridurre di un %s%% il danno da attacco di fuoco.
zts999e	Quando accompagna il personaggio, l'attacco ai mostri presenti in un Vaso sigillato incrementa di un %s%% e l'attacco contro i mostri della Terra dei Morti aumenta di un %s%%.
zts1000e	Quando accompagna il personaggio, l'attacco ai mostri presenti in un Vaso sigillato si riduce di un %s%% e l'attacco contro i mostri della Terra dei Morti diminuisce di un %s%%.
zts1002e	Passo elusivo
zts1003e	Illuminazione
zts1004e	Irradiazione lunare
zts1005e	Postura del fiore
zts1006e	Marchio lunare
zts1007e	Scansi gli attacchi e puoi generare (probabilità: %s%%) %s.
zts1008e	Se utilizzi un'abilità buff mentre "Illuminazione" è attiva, otterrai degli effetti extra.
zts1010e	Puoi utilizzare le abilità "Luna piena".
zts1012e	Puoi utilizzare le abilità del "Fiore di loto".
zts1014e	Aumenta di un %s%% il prossimo danno che infliggi con il marchio. Inoltre, il si consuma il Marchio lunare.
zts1015e	Il prossimo danno dell'avversario viene diminuito di un %s%% e consuma il Marchio lunare.
zts1016e	Il danno ai mostri presenti nei Vasi sigillati aumenta di un %s%% e il danno contro i mostri della Terra dei Morti aumenta di un %s%%.
zts1017e	Il danno ai mostri presenti nei Vasi sigillati si riduce di un %s%% e il danno contro i mostri della Terra dei Morti si riduce di un %s%%.
zts1019e	Opposizione
zts1020e	Possibilità di attacco
zts1021e	Marchio della luna piena
zts1022e	Blocco del Potere della luna piena
zts1023e	In caso si venisse attaccati, vi è una certa probabilità (%s%%) di produrre %s.
zts1024e	Dopo aver utilizzato un'abilità di attacco, è possibile ottenere un'ulteriore possibilità di attacco.
zts1025e	Il prossimo danno che infliggi a un avversario contrassegnato col marchio aumenta del seguente valore: %s%%. Il danno consuma il Marchio della luna piena.
zts1026e	Se "Blocco del Potere della luce lunare" ha effetto sull'avversario, attivi "Blocco del Potere della luna piena".
zts1027e	Modifica il valore percentuale dell'elemento.
zts1028e	Modifica il valore percentuale dell'elemento fuoco.
zts1029e	Modifica il valore percentuale dell'elemento acqua.
zts1030e	Modifica il valore percentuale dell'elemento luce.
zts1031e	Modifica il valore percentuale dell'elemento ombra.
zts1032e	Modifica i valori percentuali di tutti gli elementi.
zts1033e	Il bonus danno dell'elemento fuoco aumenta del seguente valore: %s%%.
zts1034e	Riduce l'elemento fuoco del seguente valore: %s%%.
zts1035e	Aumenta l'elemento acqua del seguente valore: %s%%.
zts1036e	Riduce l'elemento acqua del seguente valore: %s%%.
zts1037e	Aumenta l'elemento luce del seguente valore: %s%%.
zts1038e	Riduce l'elemento luce del seguente valore: %s%%.
zts1039e	Aumenta l'elemento ombra del seguente valore: %s%%.
zts1040e	Riduce l'elemento ombra del seguente valore: %s%%.
zts1041e	Aumenta tutti gli elementi del seguente valore: %s%%.
zts1042e	Riduce tutti gli elementi del seguente valore: %s%%.
zts1043e	Modifica il valore percentuale della resistenza agli elementi.
zts1044e	Modifica i valori percentuali di tutte le resistenze.
zts1045e	Modifica il valore percentuale della resistenza al fuoco.
zts1046e	Modifica il valore percentuale della resistenza all'acqua.
zts1047e	Modifica il valore percentuale della resistenza alla luce.
zts1048e	Modifica il valore percentuale della resistenza all'oscurità.
zts1049e	Aumenta tutte le resistenze agli elementi del seguente valore: %s%%.
zts1050e	Riduce tutte le resistenze agli elementi del seguente valore: %s%%.
zts1051e	Aumenta la resistenza al fuoco del seguente valore: %s%%.
zts1052e	Riduce la resistenza al fuoco del seguente valore: %s%%.
zts1053e	Aumenta la resistenza all'acqua del seguente valore: %s%%.
zts1054e	Riduce la resistenza all'acqua del seguente valore: %s%%.
zts1055e	Aumenta la resistenza alla luce del seguente valore: %s%%.
zts1056e	Riduce la resistenza alla luce del seguente valore: %s%%.
zts1057e	Aumenta la resistenza all'oscurità del seguente valore: %s%%.
zts1058e	Riduce la resistenza all'oscurità del seguente valore: %s%%.
zts1060e	Un item che è già stato droppato una volta potrà venire droppato un'altra volta. Questo effetto funziona solo quando l'item droppato viene assegnato al giocatore e non quando si condivide con il gruppo.
zts1061e	Quando un mostro cui dai la caccia droppa un item, lo stesso item potrà venire droppato un'altra volta con la seguente probabilità: %s%%. Questo effetto funziona solo quando l'item droppato viene assegnato al giocatore e non quando si condivide con il gruppo.
zts1064e	Incrementa di %s l'elemento della fata equipaggiata.
zts1065e	L'elemento di una fata equipaggiata diminuisce di %s.
zts1070e	Probabilità di (HP attuali/HP massimi * %s) %% infliggere all'avversario %s.
zts1071e	Probabilità di (HP persi/HP massimi * %s) %% infliggere all'avversario %s.
zts1072e	Quando l'attacco va a buon fine, ricevi %s punti definitivi.
zts1073e	Se ti attaccano quando Parata è attiva, ricevi %s punti definitivi.
zts1074e	Puoi utilizzare le abilità definitive.
zts1075e	I danni provocati dagli avversari annullano l'effetto.
zts1078e	Durante la Battaglia Arcobaleno, la forza di attacco nel PvP aumenta della seguente percentuale: %s%% Durante la Battaglia Arcobaleno, la velocità di movimento aumenta della seguente percentuale: %s
zts1079e	Durante la Battaglia Arcobaleno, la forza di attacco nel PvP diminuisce della seguente percentuale: %s%% Durante la Battaglia Arcobaleno, la velocità di movimento diminuisce della seguente percentuale: %s
zts1086e	Sussiste la probabilità (%s%%) che i danni elementali totali aumentino della seguente percentuale: %s%%.
zts1087e	Sussiste la probabilità (%s%%) che i danni elementali totali si riducano della seguente percentuale: %s%%.
zts1088e	Il danno da attacco del fuoco ha una probabilità di un %s%% di aumentare della seguente percentuale: %s%%.
zts1089e	Il danno da attacco del fuoco ha una probabilità di un %s%% di diminuire della seguente percentuale: %s%%.
zts1090e	Il danno da attacco dell'acqua ha una probabilità di un %s%% di aumentare della seguente percentuale: %s%%.
zts1091e	Il danno da attacco dell'acqua ha una probabilità di un %s%% di diminuire della seguente percentuale: %s%%.
zts1092e	Il danno da attacco della luce ha una probabilità di un %s%% di aumentare della seguente percentuale: %s%%.
zts1093e	Il danno da attacco della luce ha una probabilità di un %s%% di diminuire della seguente percentuale: %s%%.
zts1094e	Il danno da attacco dell'ombra ha una probabilità di un %s%% di aumentare della seguente percentuale: %s%%.
zts1095e	Il danno da attacco dell'ombra ha una probabilità di un %s%% di diminuire della seguente percentuale: %s%%.
zts1102e	I danni contro le piante di livello inferiore incrementano del seguente valore: %s%%
zts1103e	I danni contro le piante di livello inferiore si riducono del seguente valore: %s%%
zts1104e	I danni contro gli animali di livello inferiore incrementano del seguente valore: %s%%
zts1105e	I danni contro gli animali di livello inferiore si riducono del seguente valore: %s%%
zts1106e	I danni contro i mostri di livello inferiore incrementano del seguente valore: %s%%
zts1107e	I danni contro i mostri di livello inferiore si riducono del seguente valore: %s%%
zts1108e	I danni contro i Kovolt incrementano del seguente valore: %s%%
zts1109e	I danni contro i Kovolt si riducono del seguente valore: %s%%
zts1110e	I danni contro i Catty incrementano del seguente valore: %s%%
zts1111e	I danni contro i Catty si riducono del seguente valore: %s%%
zts1116e	I danni contro le anime di livello inferiore si riducono del seguente valore: %s%%
zts1117e	I danni contro gli Angeli incrementano del seguente valore: %s%%
zts1118e	I danni contro gli Angeli si riducono del seguente valore: %s%%
zts1119e	I danni contro i Demoni incrementano del seguente valore: %s%%
zts1120e	I danni contro i Demoni si riducono del seguente valore: %s%%
zts1126e	I danni contro i mostri della Terra dei Morti si riducono del seguente valore: %s%%
zts1127e	I danni contro i mostri dei Vasi sigillati incrementano del seguente valore: %s%%
zts1128e	I danni contro i mostri dei Vasi sigillati si riducono del seguente valore: %s%%
zts1129e	Il guadagno di esperienza incrementa del seguente valore: %s%%
zts1130e	Il guadagno di esperienza si riduce del seguente valore: %s%%
zts1131e	Il guadagno di esperienza nel lavoro incrementa del seguente valore: %s%%
zts1132e	Il guadagno di esperienza nel lavoro si riduce del seguente valore: %s%%
zts1138e	I punti abilità dell'attacco del tuo specialista si riducono del seguente valore: %s
zts1139e	I punti abilità della difesa del tuo specialista incrementano del seguente valore: %s
zts1140e	I punti abilità della difesa del tuo specialista si riducono del seguente valore: %s
zts1141e	I punti abilità dell'elemento del tuo specialista incrementano del seguente valore: %s
zts1142e	I punti abilità dell'elemento del tuo specialista si riducono del seguente valore: %s
zts1143e	I punti abilità degli HP/MP del tuo specialista incrementano del seguente valore: %s
zts1144e	I punti abilità degli HP/MP del tuo specialista si riducono del seguente valore: %s
zts1150e	Gli attacchi incrementano del seguente valore: %s%%
zts1151e	Gli attacchi si riducono del seguente valore: %s%%
zts1152e	Gli attacchi ravvicinati incrementano del seguente valore: %s%%
zts1153e	Gli attacchi ravvicinati si riducono del seguente valore: %s%%
zts1154e	Gli attacchi a distanza incrementano del seguente valore: %s%%
zts1155e	Gli attacchi a distanza si riducono del seguente valore: %s%%
zts1156e	Gli attacchi magici incrementano del seguente valore: %s%%
zts1157e	Gli attacchi magici si riducono del seguente valore: %s%%
zts1158e	I danni contro le anime di livello inferiore incrementano del seguente valore: %s%%
zts1159e	I danni contro i mostri della Terra dei Morti incrementano del seguente valore: %s%%
zts1160e	I punti abilità dell'attacco del tuo specialista incrementano del seguente valore: %s
zts1162e	In caso di attacco, %s%% di probabilità che l'elemento della fata in uso incrementi di %s.
zts1163e	In caso di attacco, %s%% di probabilità che l'elemento della fata in uso diminuisca di %s.
zts1169e	In caso di attacco, l'avversario ha un %s%% di probabilità di ottenere l'effetto [%s].
zts1170e	In caso di attacco, hai un %s%% di probabilità di ottenere l'effetto [%s].
zts1171e	In caso di difesa da parte tua, l'avversario ha un %s%% di probabilità di ottenere l'effetto [%s].
zts1172e	In caso di difesa da parte tua, hai un %s%% di probabilità di ottenere l'effetto [%s].
zts1176e	Quando subisci un attacco con un'abilità dell'elemento ombra, c'è una probabilità di uno %s%% che si attivi l'effetto [%s].
zts1177e	Quando subisci dei debuff, la forza di difesa e quella di attacco aumentano della seguente percentuale per ogni buff: %s%%
zts1178e	Quando disponi di buff, la forza di difesa e quella di attacco aumentano della seguente percentuale per ogni buff: %s%%
