zts1e	Normaler Effekt
zts606e	Der Gegner wird durch eine Explosionsschockwelle von den Beinen gerissen.
zts607e	Große Explosionsschockwelle
zts608e	Die große Explosionsschockwelle reißt alles mit sich.
zts609e	Turbolader
zts610e	Der Turbolader verstärkt die Leistungsfähigkeit durch eine Aufrüstung der Kanone.
zts611e	Ladehemmung
zts612e	Die Leistungsfähigkeit der Kanone wird durch unsachgemäßen Umbau gehemmt.
zts613e	Magmapanzer
zts614e	Der Magmapanzer legt sich über die Rüstung und sorgt für eine extrem hohe Verteidigungskraft.
zts615e	Zweite Schockwelle
zts616e	Dritte Schockwelle
zts617e	Drachenfurcht
zts618e	Erstarren durch riesige Angst vorm Drachen.
zts619e	Schock durch schlechte Landung
zts620e	Versetzt in einen Schockzustand durch schlechte Landung.
zts621e	Andauernde Schockwelle
zts622e	Versetzt in einen länger andauernden Schockzustand.
zts623e	Sobald der Gegner einen Blackout hat oder angegriffen wird, wird der Knockdown aufgehoben. In Kombination mit dem Skill "Vollstreckung" erhält der Gegner zusätzlichen Schaden von 20%.
zts624e	Die Leistungsfähigkeit des Körpers wird durch die Begierde nach Blut erhöht.
zts625e	Der Seufzer des Verlierers entmutigt dich durch eine Niederlage. In Kombination mit dem Skill "Vollstreckung" erhältst du einen zusätzlichen Schaden von 40%.
zts626e	Der brennende Lavaguss bewirkt, dass der Gegner mit höchster Wahrscheinlichkeit erstarrt.
zts627e	Verteidigung mit der Waffe
zts628e	Sich mit der Kanone gegen die Attacke des Gegners verteidigen.
zts629e	Loderndes Höllenfeuer
zts630e	Der Gegner wird durch das Höllenfeuer geschwächt und die HP sinken kontinuierlich.
zts631e	Fatale Punktblutung
zts632e	Eulensegen
zts633e	Die Wasserresistenz und die Angriffskraft sind erhöht.
zts634e	Halloweensegen
zts635e	Der Halloweensegen erhöht deine EXP um 10%.
zts636e	Blutsaugender Dracula
zts637e	Damit saugst du dem Gegner HP ab und deine Lebenskraft steigt.
zts638e	Rudis Segen
zts639e	Steigert die Effektivität der Wiederherstellungsitems und erhöht die Angriffskraft gegen niedriglevelige Monster.
zts640e	Segen der Klangblume
zts641e	Du erhältst diesen Segen, wenn du die Quest der Klangblume erledigt hast.
zts642e	Fieber der Klangblume
zts643e	Rudis Schild
zts644e	Rudis unsichtbarer Schild bietet Schutz für einen Moment.
zts645e	Noble Geste
zts646e	Du steckst den Schaden anstelle deines Mitspielers ein.
zts648e	Der Geist wird befreit durch Meditation.
zts652e	Der Zustand hat eine innere Verletzung verursacht. Bei Aktivierung einer Skillkombo wird dieser Effekt aufgehoben.
zts655e	Fesselndes Trauma
zts656e	Ein Schockzustand, der durch das Eindringen einer Klinge hervorgerufen wird.
zts657e	Energiemangel
zts658e	Verhindert einen schlechten Effekt mit einer gewissen Wahrscheinlichkeit.
zts659e	Starker Energiemangel
zts660e	Kritischer Energiemangel
zts661e	Kundalini-Syndrom
zts662e	Dieser Zustand schränkt deine körperliche und geistige Energie enorm ein.
zts663e	Trauma
zts664e	Starkes Trauma
zts665e	Kritisches Trauma
zts666e	Geist des Aufopferns
zts667e	Wasserblase
zts668e	Die Wasserblase hüllt dich ein und beschützt dich vor Angriffen.
zts669e	Das Lied der Sirenen
zts670e	Jegliche Selbstkontrolle geht durch den Gesang der Sirenen verloren.
zts671e	Kleiner Wasserfall
zts672e	Die Bewegungsgeschwindigkeit verlangsamt sich durch den Wasserfall.
zts673e	Wasserfall
zts674e	Großer Wasserfall
zts675e	Kleiner Elektroschock
zts676e	Durch den Elektroschock ist für einen Moment alles gelähmt.
zts677e	Elektroschock
zts678e	Großer Elektroschock
zts679e	Wasserdruck
zts680e	Durch den hohen Wasserdruck ist für kurze Zeit alles lahmgelegt.
zts681e	Segen des Ozeans
zts682e	Schützt vor Schaden vom Gegner durch den Segen des heiligen Meeres.
zts683e	Zorn des Wikingers (F)
zts684e	Der Zorn des Wikingers bricht aus.
zts685e	Zorn des Wikingers (E)
zts686e	Zorn des Wikingers (D)
zts687e	Zorn des Wikingers (C)
zts688e	Zorn des Wikingers (B)
zts689e	Zorn des Wikingers (A)
zts690e	Zorn des Wikingers (S)
zts691e	Schuss des bösen Jungen (F)
zts692e	Mit Mut und Tapferkeit den Gegner austricksen.
zts693e	Schuss des bösen Jungen (E)
zts694e	Schuss des bösen Jungen (D)
zts695e	Schuss des bösen Jungen (C)
zts696e	Schuss des bösen Jungen (B)
zts697e	Schuss des bösen Jungen (A)
zts698e	Schuss des bösen Jungen (S)
zts699e	Mutterliebe (F)
zts700e	Die Mutterliebe weckt einen starken Beschützerinstinkt.
zts701e	Mutterliebe (E)
zts702e	Mutterliebe (D)
zts703e	Mutterliebe (C)
zts704e	Mutterliebe (B)
zts705e	Mutterliebe (A)
zts706e	Mutterliebe (S)
zts707e	Mutters Weisheit (F)
zts708e	Frauen sind stark, aber Mütter sind stärker.
zts709e	Mutters Weisheit (E)
zts710e	Mutters Weisheit (D)
zts711e	Mutters Weisheit (C)
zts712e	Mutters Weisheit (B)
zts713e	Mutters Weisheit (A)
zts714e	Mutters Weisheit (S)
zts715e	Schwere Blutung (F)
zts716e	Schwere Blutung (E)
zts717e	Schwere Blutung (D)
zts718e	Schwere Blutung (C)
zts719e	Schwere Blutung (B)
zts720e	Schwere Blutung (A)
zts721e	Schwere Blutung (S)
zts722e	Freyas Ansage (F)
zts723e	Freyas Ansage (E)
zts724e	Freyas Ansage (D)
zts725e	Freyas Ansage (C)
zts726e	Freyas Ansage (B)
zts727e	Freyas Ansage (A)
zts728e	Freyas Ansage (S)
zts729e	Superexakter Wikingerschuss (F)
zts730e	Superexakter Wikingerschuss (E)
zts731e	Superexakter Wikingerschuss (D)
zts732e	Superexakter Wikingerschuss (C)
zts733e	Superexakter Wikingerschuss (B)
zts734e	Superexakter Wikingerschuss (A)
zts735e	Superexakter Wikingerschuss (S)
zts736e	Leonas Segen
zts737e	Leonas Segen ermöglicht eine effiziente Attacke.
zts738e	Leonas Spezialität
zts739e	Leonas Spezialität ermöglicht dir einen effizienteren Angriff.
zts740e	Die Resistenz gegen das Wasserelement und die Angriffskraft sind erhöht.
zts741e	Segen des Keinarmhasen
zts742e	Die Kampffähigkeit erhöht sich durch den Segen des Keinarmhasen.
zts743e	Gehandicapt
zts744e	Die Angriffskraft des Gegners wird eingeschränkt.
zts746e	Geist der Aufklärung
zts747e	Geist der Mäßigkeit
zts748e	Geistige Stärke
zts749e	Innere Verletzung-Grad 1
zts750e	Innere Verletzung-Grad 2
zts751e	Innere Verletzung-Grad 3
zts752e	Bei Energiemangel kann man nichts tun.
zts753e	Mobile Falle
zts754e	Hat dich die mobile Falle erwischt, kannst du dich für einen Moment nicht bewegen.
zts755e	Blindsein
zts756e	Der Nebel verringert die Hitrate und verzögert die Wirkungsdauer deines Magieangriffs.
zts757e	Hinterhalt
zts758e	Auf der Lauer liegen und auf das richtige Timing für den Angriff warten.
zts759e	Überfall aus Hinterhalt
zts760e	Den Gegner aus dem Hinterhalt gezielt angreifen.
zts761e	Vitalkraft
zts762e	Verstärke deine Vitalkräfte durch die Energie des Waldes.
zts763e	Hinterhalt - Position 1
zts764e	Durch nahezu lautlose Bewegung kannst du schnell treffen und angreifen.
zts765e	Hinterhalt - Position 2
zts766e	Heckenschütze - Position 1
zts767e	Die richtige Position für einen Heckenschützenangriff finden. Auch möglich aus dem Hinterhalt.
zts768e	Heckenschütze - Position 2
zts769e	Kopfschuss
zts770e	Das Ziel bekommt einen [Schock] durch einen sehr effektiven Schuss.
zts771e	Hinterhalt - Vorbereitung 1
zts772e	Vorbereitung auf einen effizienten Angriff aus dem Hinterhalt.
zts773e	Hinterhalt - Vorbereitung 2
zts774e	Ewiges Eis
zts775e	Du bist im ewigen Eis gefangen und kannst vorübergehend nichts tun.
zts776e	Heftiges Gebrüll
zts777e	Für kurze Zeit stellt sich ein Schwächezustand durch heftiges Gebrüll ein.
zts778e	Mandra-Starre
zts779e	Die Nerven sind vorübergehend unkontrollierbar durch einen Mandra-Betäubung.
zts780e	Schwaches Mandragift
zts781e	Das Mandragift greift die Nerven im Körper erheblich an.
zts782e	Mandragift
zts783e	Starkes Mandragift
zts784e	Tödliches Mandragift
zts785e	Schnelles Ausweichen
zts786e	Einem Angriff auf den Körper durch eine schnelle Drehung ausweichen.
zts787e	Im Fadenkreuz des Heckenschützen
zts788e	Enormen Schaden durch den Angriff des Heckenschützen erleiden.
zts789e	Adlerauge
zts790e	Das Adlerauge ermöglicht eine sehr exakte Attacke auf einen weit entfernten Gegner.
zts791e	Gebrüll der Bestie
zts792e	Die Angriffskraft der Bestie wird durch das Gebrüll verstärkt.
zts793e	Tobsucht der Bestie
zts794e	Glacerus ist außer Rand und Band.
zts795e	Ein Teil des empfangenen Schadens wird auf einen Mitspieler übertragen.
zts796e	Du erhältst den Schaden anstelle eines Mitspielers, dafür wird deine Verteidigungskraft erhöht.
zts797e	Segen des Fuchses
zts798e	Der Segen des Fuchses erhöht die Resistenz gegen das Feuerelement.
zts799e	Das Lied der Sirenen (PvP)
zts800e	Phase 1: Auferstehung der Teamarena
zts801e	Während der Auferstehung/Phase 1 ist die Überlebensfähigkeit für eine bestimmte Zeit erhöht.
zts802e	Phase 2: Auferstehung der Teamarena
zts803e	Während der Auferstehung/Phase 2 ist die Angriffskraft für eine bestimmte Zeit erhöht.
zts804e	Phase 3: Auferstehung der Teamarena
zts805e	Während der Auferstehung/Phase 3 ist die Überlebensfähigkeit, Angriffskraft und Bewegungsgeschwindigkeit für eine bestimmte Zeit erhöht.
zts806e	Schwache Kombination
zts807e	Starke Kombination
zts808e	Die Teamarena-Angriffskraft ist erhöht.
zts809e	Die Teamarena-Verteidigungskraft ist erhöht.
zts810e	Die Teamarena-Energie ist erhöht.
zts811e	Die Teamarena-Bewegungsgeschwindigkeit ist erhöht.
zts812e	Scharfblick
zts813e	Der Scharfblick entlarvt für kurze Zeit einen versteckten Charakter.
zts814e	Wenn alle im Team der gleichen Klasse angehören, ist die Kombination schwach.
zts815e	Wenn alle im Team unterschiedlichen Klassen angehören, ist die Kombination stark.
zts816e	Die Bewegungsgeschwindigkeit ist für kurze Zeit erhöht.
zts817e	Wasserbombe
zts819e	Segen der Navy
zts820e	Die Verteidigungskraft und die Resistenz gegen Wasser werden erhöht.
zts821e	Segen von Erenia
zts822e	Der Segen von Erenia macht dich mit einer Wahrscheinlichkeit von 50% widerstandsfähig gegen alle schlechten Effekte.
zts823e	Zenas' Segen
zts824e	Zenas' Segen blockt den erhaltenen Schaden ab. Aber du kannst weder angreifen noch dich bewegen.
zts825e	Astralenergie
zts826e	Die Astralenergie führt zu schnellem Auffüllen deiner MP.
zts827e	Tarnkappe
zts828e	Du bist super getarnt und für die anderen nicht zu erkennen.
zts829e	Revanche
zts830e	Einen Moment lang kannst du dich blitzartig bewegen.
zts832e	Durch die Wasserbombe werden die Angriffskraft und die Resistenz gegen Wasser verringert.
zts835e	Erhöhung der Erfahrungspunkte deiner Fee
zts836e	Die Menge der Erfahrungspunkte deiner Fee ist erhöht.
zts837e	Nebel
zts838e	Vernebelt
zts841e	Titanflügel
zts842e	Flügelverstärkung
zts843e	Lauf der Finsternis (F)
zts844e	Erhöht die Kraft des Schattenelements.
zts845e	Lauf der Finsternis (E)
zts846e	Lauf der Finsternis (D)
zts847e	Lauf der Finsternis (C)
zts848e	Lauf der Finsternis (B)
zts849e	Lauf der Finsternis (A)
zts850e	Lauf der Finsternis (S)
zts851e	Faszination (F)
zts852e	Löst verlockten Zustand aus.
zts853e	Faszination (E)
zts854e	Faszination (D)
zts855e	Faszination (C)
zts856e	Faszination (B)
zts857e	Faszination (A)
zts858e	Faszination (S)
zts859e	Macht der Finsternis (F)
zts860e	Entfacht die allmächtige Zerstörungsgewalt.
zts861e	Macht der Finsternis (E)
zts862e	Macht der Finsternis (D)
zts863e	Macht der Finsternis (C)
zts864e	Macht der Finsternis (B)
zts865e	Macht der Finsternis (A)
zts866e	Macht der Finsternis (S)
zts867e	Verlockung (F)
zts868e	Der Verlockung des Gegners ausgesetzt sein.
zts869e	Verlockung (E)
zts870e	Verlockung (D)
zts871e	Verlockung (C)
zts872e	Verlockung (B)
zts873e	Verlockung (A)
zts874e	Verlockung (S)
zts875e	Bosheit (F)
zts876e	Erledigt den Gegner blitzschnell.
zts877e	Bosheit (E)
zts878e	Bosheit (D)
zts879e	Bosheit (C)
zts880e	Bosheit (B)
zts881e	Bosheit (A)
zts882e	Bosheit (S)
zts883e	Gezeichnet (F)
zts884e	In einem verschwiegenen Zustand sein.
zts885e	Gezeichnet (E)
zts886e	Gezeichnet (D)
zts887e	Gezeichnet (C)
zts888e	Gezeichnet (B)
zts889e	Gezeichnet (A)
zts890e	Gezeichnet (S)
zts891e	Flammentanz (F)
zts892e	Verringert die Resistenz des Gegners.
zts893e	Flammentanz (E)
zts894e	Flammentanz (D)
zts895e	Flammentanz (C)
zts896e	Flammentanz (B)
zts897e	Flammentanz (A)
zts898e	Flammentanz (S)
zts899e	Zauberpistole
zts900e	Das Lichtelement wird gestärkt und HP wieder aufgefüllt.
zts901e	Segen des Cowboys
zts902e	Erhöht die Resistenz gegen das Lichtelement.
zts903e	Trojanisches Pferd
zts904e	Ruft ein Trojanisches Pferd zum Angriff mehrerer Feinde herbei.
zts905e	Segen des Ninjas
zts906e	Erhöht die Resistenz gegen das Schattenelement.
zts907e	Erzengelflügel
zts908e	Erzdämonenflügel
zts909e	Schwacher Gottesschlag
zts910e	Gottesgeschick
zts911e	Gottesschlag
zts912e	Starker Gottesschlag
zts913e	Gewaltiger Gottesschlag
zts914e	Wirrwarr
zts915e	Verursacht Schaden beim Gegner durch die Vernichtung des Verstandes.
zts916e	Rüstung der Finsternis
zts917e	Befähigt zur kurzzeitigen Flucht vor Gefahr.
zts918e	Schwache Dunkelenergie
zts919e	Verursacht Schaden durch eine dunkle Energie im Inneren des Körpers.
zts920e	Dunkelenergie
zts921e	Starke Dunkelenergie
zts922e	Hände des Fluches
zts923e	Erhält einen starken Schaden durch die Hände des Fluches.
zts924e	Illusion
zts925e	Die Illusion führt dazu, verängstigt und getäuscht zu werden.
zts926e	Gedankensog
zts927e	Gedankensog ist möglich durch das Ausüben der kurzzeitigen Selbsthypnose.
zts928e	Starke Zeitaufhebung
zts929e	Hält den Gegner auf durch die Kontrolle über sein Zeitempfinden.
zts930e	Zeitaufhebung
zts931e	Milde Zeitaufhebung
zts932e	Starkes Glücksrad
zts933e	Erhält einen positiven Effekt durch die Störung des Zeitempfindens des Gegners.
zts934e	Glücksrad
zts935e	Mildes Glücksrad
zts936e	Klingenwandler
zts937e	Der Klingenwandler reduziert die Effizienz von heilenden Gegenständen.
zts938e	Geistesabsorption
zts939e	Die Geistesabsorption sorgt für die Aufnahme von ausgesaugten Geistern.
zts940e	Todeszeichen
zts941e	Fügt demjenigen zusätzlichen Schaden zu, der dieses Todeszeichen trägt und der [Geistesspaltung] ausgesetzt ist.
zts942e	Geisterfreisetzung
zts943e	Die Geisterfreisetzung befreit die absorbierten Geister und verringert die Abklingzeit des Skills.
zts944e	Starke Geisterfreisetzung
zts945e	Ultimativpanzer
zts946e	Der Ultimativpanzer erhöht die Verteidigung und hilft, der erzwungenen Bewegung zu widerstehen.
zts947e	Schwacher Geist der Rage
zts948e	Die durch den Geist der Rage entfachte Wut erhöht die Stärke.
zts949e	Geist der Rage
zts950e	Starker Geist der Rage
zts951e	Besessenheit
zts952e	Die Besessenheit verursacht Schaden während der Effektdauer und überträgt danach den Effekt auf den Gegner, der dem ersten Ziel am nächsten ist.
zts953e	Pendel der Rachegeister
zts954e	Erhöht die Verteidigungsfähigkeiten für einen Moment lang.
zts955e	Starke Besessenheit
zts956e	Wird zum Wirt und empfängt den Schaden während der Effektdauer. Effekt überträgt sich auf Gegner in der Nähe, nachdem der Effekt auf den Wirt endet.
zts957e	Effekt übertragen durch den Wirt. Empfängt den Schaden ununterbrochen während der Effektdauer.
zts958e	Licht von Sarakael
zts959e	Die Macht des Sarakael ist gesichert.
zts960e	Lodernde Feuerflügel
zts961e	Frostige Eisflügel
zts963e	Segen des Indianers
zts964e	Erhöht die Resistenz gegen das Feuerelement und verringert den erhaltenen kritischen Schaden.
zts965e	Blutsbund der Indianer
zts966e	Erhöht die Stärke des Feuerelements und heizt mehreren Gegnern in der Nähe ein.
zts967e	Foxys Charme
zts968e	Völlig willenlos und ruhiggestellt durch Foxys Charme.
zts969e	Rotes Fläschchen
zts970e	Ein spezieller Spezialeffekt steckt in diesem filigranen Glasgefäß.
zts971e	Dem Charme verfallen (F)
zts972e	Foxy verdreht allen den Kopf mit Süß & Sexy.
zts973e	Dem Charme verfallen (E)
zts974e	Dem Charme verfallen (D)
zts975e	Dem Charme verfallen (C)
zts976e	Dem Charme verfallen (B)
zts977e	Dem Charme verfallen (A)
zts978e	Dem Charme verfallen (S)
zts979e	Flauscheschwanz (F)
zts980e	Flauschige neun Schwänze sind sooo weich.
zts981e	Flauscheschwanz (E)
zts982e	Flauscheschwanz (D)
zts983e	Flauscheschwanz (C)
zts984e	Flauscheschwanz (B)
zts985e	Flauscheschwanz (A)
zts986e	Flauscheschwanz (S)
zts987e	Scharfes Geheul (F)
zts988e	Scharfes und durchdringendes Fuchsgeheul von Foxy.
zts989e	Scharfes Geheul (E)
zts990e	Scharfes Geheul (D)
zts991e	Scharfes Geheul (C)
zts992e	Scharfes Geheul (B)
zts993e	Scharfes Geheul (A)
zts994e	Scharfes Geheul (S)
zts995e	Odins Segen
zts996e	Erhöht die Resistenz gegen das Wasserelement, verringert die Abklingzeit von Skills und stellt in bestimmten Zeitabständen MP wieder her.
zts997e	Odins Zorn
zts998e	Erhöht die Resistenz gegen schlechte Effekte sowie den Angriffsschaden.
zts999e	Herrschaft des Tigers
zts1000e	Der Tiger erhebt sich.
zts1001e	Verringert die Bewegungsgeschwindigkeit.
zts1002e	Sesamöl
zts1003e	Altes Sesamöl
zts1004e	Durchdrehen
zts1005e	Fühlt sich schwindlig an.
zts1006e	Massiver Blutverlust (F)
zts1007e	Ein massiver Blutverlust hat eingesetzt.
zts1008e	Massiver Blutverlust (E)
zts1009e	Massiver Blutverlust (D)
zts1010e	Massiver Blutverlust (C)
zts1011e	Massiver Blutverlust (B)
zts1012e	Massiver Blutverlust (A)
zts1013e	Massiver Blutverlust (S)
zts1014e	Monsterböe (F)
zts1015e	Die Windhose des Tigers wirkt sich nicht auf hochlevelige Monster oder Charakter aus.
zts1016e	Monsterböe (E)
zts1017e	Monsterböe (D)
zts1018e	Monsterböe (C)
zts1019e	Monsterböe (B)
zts1020e	Monsterböe (A)
zts1021e	Monsterböe (S)
zts1022e	Herrschaft des Tigers (F)
zts1023e	Der Tiger erhebt sich.
zts1024e	Herrschaft des Tigers (E)
zts1025e	Herrschaft des Tigers (D)
zts1026e	Herrschaft des Tigers (C)
zts1027e	Herrschaft des Tigers (B)
zts1028e	Herrschaft des Tigers (A)
zts1029e	Herrschaft des Tigers (S)
zts1030e	Geschicktes Händchen
zts1031e	Verursacht einen kritischen Treffer mit jedem Angriff für die Dauer des Effekts.
zts1033e	Rote Bohnensuppe
zts1034e	Mein Schatz, dein Schatz
zts1035e	Cheongbi und Hongbi werden stärker, wenn sie zusammen sind.
zts1036e	Teufelssegen
zts1037e	Erhält einen unvollkommenen Segen.
zts1038e	Dornbusch
zts1039e	Laurenas verfluchte Magie macht bewegungsunfähig durch Dornen.
zts1040e	Duft des Fluches (Wurm)
zts1041e	Laurenas verfluchte Magie verwandelt das Ziel in einen Wurm.
zts1042e	Duft des Fluches (Ratte)
zts1043e	Laurenas verfluchte Magie verwandelt das Ziel in eine Ratte.
zts1044e	Hörner-Club (F)
zts1045e	Achtung, tut höllisch weh!
zts1046e	Hörner-Club (E)
zts1047e	Hörner-Club (D)
zts1048e	Hörner-Club (C)
zts1049e	Hörner-Club (B)
zts1050e	Hörner-Club (A)
zts1051e	Hörner-Club (S)
zts1052e	Teufelchens Klon (F)
zts1053e	Beschwört einen aggressiven Klon des Teufelchens.
zts1054e	Teufelchens Klon (E)
zts1055e	Teufelchens Klon (D)
zts1056e	Teufelchens Klon (C)
zts1057e	Teufelchens Klon (B)
zts1058e	Teufelchens Klon (A)
zts1059e	Teufelchens Klon (S)
zts1060e	Teufelchens Hut (F)
zts1061e	Benutzt die Kunst des Teufelchens, sich in Luft aufzulösen.
zts1062e	Teufelchens Hut (E)
zts1063e	Teufelchens Hut (D)
zts1064e	Teufelchens Hut (C)
zts1065e	Teufelchens Hut (B)
zts1066e	Teufelchens Hut (A)
zts1067e	Teufelchens Hut (S)
zts1068e	Leuchtendes Urteil (F)
zts1069e	Bestraft den Feind mit einem hellen Licht.
zts1070e	Leuchtendes Urteil (E)
zts1071e	Leuchtendes Urteil (D)
zts1072e	Leuchtendes Urteil (C)
zts1073e	Leuchtendes Urteil (B)
zts1074e	Leuchtendes Urteil (A)
zts1075e	Leuchtendes Urteil (S)
zts1076e	Mal des Lichts (F)
zts1077e	Ein Mal, dass stark leuchtet.
zts1078e	Mal des Lichts (E)
zts1079e	Mal des Lichts (D)
zts1080e	Mal des Lichts (C)
zts1081e	Mal des Lichts (B)
zts1082e	Mal des Lichts (A)
zts1083e	Mal des Lichts (S)
zts1084e	Im Namen Gottes (F)
zts1085e	Schwächt den Gegner mit der Macht Gottes.
zts1086e	Im Namen Gottes (E)
zts1087e	Im Namen Gottes (D)
zts1088e	Im Namen Gottes (C)
zts1089e	Im Namen Gottes (B)
zts1090e	Im Namen Gottes (A)
zts1091e	Im Namen Gottes (S)
zts1092e	Energie der Reinigung
zts1093e	Die Wirkung des Pulvers verbannt die grausige Stimmung.
zts1094e	Grausige Stimmung
zts1095e	Die Macht der Hexe Laurena saugt die Lebenskraft aus.
zts1096e	Duft des Fluches (Buschi)
zts1097e	Laurenas verfluchte Magie verwandelt das Ziel in ein Buschi.
zts1098e	Zauberfessel
zts1099e	Macht es möglich, die elementgebundenen Skills der gegnerischen Attacke zu nutzen.
zts1100e	Flamme
zts1101e	Energie des Feuers
zts1102e	Eis
zts1103e	Energie des Wassers
zts1104e	Heiligenschein
zts1105e	Energie des Lichts
zts1106e	Elementlos
zts1107e	Neutrale Energie
zts1108e	Finsternis
zts1109e	Überholspur 1
zts1110e	Bei einem Angriff wird der Effekt entfernt und zusätzlicher Angriffsschaden erzeugt.
zts1111e	Überholspur 2
zts1112e	Überholspur 3
zts1113e	Zauberspruch
zts1114e	Zauberbuchmeister
zts1115e	Steigert die Fähigkeit ins Maximum für eine gewisse Zeitspanne.
zts1116e	Leuchtpulver
zts1117e	Gefärbt durch das Leuchtpulver. Erhält zusätzlichen Schaden durch die Heilige Explosion.
zts1118e	Memorial
zts1119e	Speichert den Aufenthaltsort zum Teleportieren.
zts1120e	Erleuchtung
zts1121e	Segen Gottes
zts1122e	Laufschneide
zts1123e	Verlangsamt durch eine Wunde.
zts1124e	Urteil der Verdammnis
zts1125e	Bewegungsunfähig durch die Macht der Verdammnis.
zts1126e	Urteil
zts1127e	Kann den Angriff für einen bestimmten Zeitraum nicht vermeiden.
zts1128e	Heiligtum
zts1129e	Reduziert eine riesige Menge an Regeneration.
zts1130e	Zündung
zts1131e	Die heilige Kraft legt sich auf das Schwert und erhöht den Angriffsschaden.
zts1132e	Rückzündung
zts1133e	Die heilige Kraft legt sich auf den Körper, um die Verteidigung zu erhöhen.
zts1134e	Verderbnis
zts1135e	Bindet die Energie der Verdammnis und erzeugt zusätzlichen Schaden durch Bekehrung.
zts1136e	Dunkler Lauf
zts1137e	Die Energie für Sprints wird maximiert.
zts1138e	Lichtschlag (F)
zts1139e	Getroffen von einem enormen Lichtschlag.
zts1140e	Lichtschlag (E)
zts1141e	Lichtschlag (D)
zts1142e	Lichtschlag (C)
zts1143e	Lichtschlag (B)
zts1144e	Lichtschlag (A)
zts1145e	Lichtschlag (S)
zts1146e	Dornbusch (F)
zts1147e	Macht bewegungsunfähig durch Dornen.
zts1148e	Dornbusch (E)
zts1149e	Dornbusch (D)
zts1150e	Dornbusch (C)
zts1151e	Dornbusch (B)
zts1152e	Dornbusch (A)
zts1153e	Dornbusch (S)
zts1154e	Duft des Fluches (F)
zts1155e	Geschwächt durch den Duft des Fluches.
zts1156e	Duft des Fluches (E)
zts1157e	Duft des Fluches (D)
zts1158e	Duft des Fluches (C)
zts1159e	Duft des Fluches (B)
zts1160e	Duft des Fluches (A)
zts1161e	Duft des Fluches (S)
zts1162e	Ist bewegungsunfähig durch den Dornbusch.
zts1163e	Du bist geschwächt durch den Duft des Fluches.
zts1164e	Hexensegen
zts1165e	Erhält den Hexensegen von Laurena.
zts1166e	Kampfansage
zts1167e	Provoziert den Feind mit einer hochmütigen Aktion.
zts1168e	Gräueltat
zts1169e	Sehr verärgert und wütend.
zts1170e	Höllenflamme (F)
zts1171e	Höllenflamme
zts1172e	Höllenflamme (E)
zts1173e	Höllenflamme (D)
zts1174e	Höllenflamme (C)
zts1175e	Höllenflamme (B)
zts1176e	Höllenflamme (A)
zts1177e	Höllenflamme (S)
zts1178e	Überkocher (F)
zts1179e	Überkocher
zts1180e	Überkocher (E)
zts1181e	Überkocher (D)
zts1182e	Überkocher (C)
zts1183e	Überkocher (B)
zts1184e	Überkocher (A)
zts1185e	Überkocher (S)
zts1186e	Zauberzunder (F)
zts1187e	Verringert den Schaden durch Nutzung des starken Zauberzunders.
zts1188e	Zauberzunder (E)
zts1189e	Zauberzunder (D)
zts1190e	Zauberzunder (C)
zts1191e	Zauberzunder (B)
zts1192e	Zauberzunder (A)
zts1193e	Zauberzunder (S)
zts1194e	Pakt der Finsternis
zts1195e	Der Pakt der Finsternis ermöglicht es, schneller anzugreifen.
zts1196e	Schatten des Schurken
zts1197e	Erlaubt dir, den Feind mit einem tödlichen Angriff zu bezwingen.
zts1198e	Flinke Füße
zts1199e	Maximiert die Ausweichfähigkeit für physische Angriffe.
zts1200e	Heiliger Schild
zts1201e	Schütze dich mit göttlicher Macht vor gegnerischen Attacken.
zts1202e	Hält dich mit einer bestimmten Wahrscheinlichkeit für eine zufällige Zeitspanne versteckt, sodass dich Feinde nicht aufspüren können.
zts1203e	Hüftschwung
zts1204e	Attackiert leichtfüßig, gewandt und mit Schwung.
zts1205e	Krabbelgras
zts1206e	Gras lässt die Haut jucken.
zts1207e	Möhrengift
zts1208e	Das Möhrengift von Lola ist sehr effektiv.
zts1209e	Krampf durch Erschrecken
zts1210e	Zeitlosigkeit
zts1211e	Ein Talent der Schildkröte, die schon sehr lange lebt.
zts1212e	Möhrchenliebe
zts1213e	Lockt die Kaninchen mit einer riesigen Möhre an. Sie verschwindet, sobald das Riesengemüse zerstört ist.
zts1214e	Krabbelgras (F)
zts1215e	Krabbelgras (E)
zts1216e	Krabbelgras (D)
zts1217e	Krabbelgras (C)
zts1218e	Krabbelgras (B)
zts1219e	Krabbelgras (A)
zts1220e	Krabbelgras (S)
zts1221e	Möhrengift (F)
zts1222e	Möhrengift (E)
zts1223e	Möhrengift (D)
zts1224e	Möhrengift (C)
zts1225e	Möhrengift (B)
zts1226e	Möhrengift (A)
zts1227e	Möhrengift (S)
zts1228e	Hüftschwung (F)
zts1229e	Hüftschwung (E)
zts1230e	Hüftschwung (D)
zts1231e	Hüftschwung (C)
zts1232e	Hüftschwung (B)
zts1233e	Hüftschwung (A)
zts1234e	Hüftschwung (S)
zts1235e	Anvisieren (F)
zts1236e	In Gefahr durch Zielerfassung.
zts1237e	Anvisieren (E)
zts1238e	Anvisieren (D)
zts1239e	Anvisieren (C)
zts1240e	Anvisieren (B)
zts1241e	Anvisieren (A)
zts1242e	Anvisieren (S)
zts1243e	Schlinge (F)
zts1244e	Vorübergehend ist die Bewegungsfreiheit durch den Angriff eingeschränkt.
zts1245e	Schlinge (E)
