zts1e	Atak specjalny
zts473e	Szar¿uj na przeciwników w zasiêgu %s komórek.
zts474e	Uciekaj przed przeciwnikiem.
zts475e	Podkradniêcie siê
zts476e	Zobacz ukryte rzeczy
zts477e	Zmieñ tryb
zts478e	Zmiana zasiêgu
zts479e	Jedyny efekt
zts480e	Zmiana szybkoœci ataku.
zts481e	Zmiana trybu.
zts482e	Wskocz na inne potwory.
zts483e	Zasiêg zmieniony na %s.
zts484e	Zasiêg znów normalny.
zts485e	U¿ywa efektów, ale nie zadaje obra¿eñ.
zts486e	Zadaje bezpoœrednie obra¿enia.
zts487e	Czas ataku zostaje zwiêkszony o %s.
zts488e	Czas ataku zostaje zmniejszony o %s.
zts489e	Zmiana trybu z prawdopodobieñstwem %s%%.
zts490e	Z prawdopodobieñstwem %s%% pojawi siê %s.
zts491e	Brak charakterystycznej wartoœci
zts492e	Brak charakterystycznej wartoœci
zts493e	Brak charakterystycznej wartoœci dla ognia
zts494e	Brak charakterystycznej wartoœci dla wody
zts495e	Brak charakterystycznej wartoœci dla œwiat³a
zts496e	Brak charakterystycznej wartoœci dla mroku
zts497e	Wszystkie charakterystyczne si³y zosta³y dezaktywowane.
zts498e	Wszystkie charakterystyczne odpornoœci zosta³y dezaktywowane.
zts499e	¯ywio³ ognia zosta³ dezaktywowany.
zts500e	Odpornoœæ na ogieñ zosta³a dezaktywowana.
zts501e	¯ywio³ wody zosta³ dezaktywowany.
zts502e	Odpornoœæ na wodê zosta³a dezaktywowana.
zts503e	¯ywio³ œwiat³a zosta³ dezaktywowany.
zts504e	Odpornoœæ na œwiat³o zosta³a dezaktywowana.
zts505e	¯ywio³ mroku zosta³ dezaktywowany.
zts506e	Odpornoœæ na mrok zosta³a dezaktywowana.
zts507e	Œwiat³o i mrok
zts508e	Tarcza many
zts509e	Uleczenie
zts510e	Zostañ nieumar³ym
zts511e	Ukryj siê i atakuj
zts512e	Leczy %s%% otrzymanych obra¿eñ zu¿ywaj¹c PM.
zts513e	Zwiêksza PM poprzez absorpcjê %s%% zadanych obra¿eñ.
zts514e	Usuwa wszystkie negatywne efekty do poziomu %s.
zts515e	Usuwa wszystkie pozytywne efekty do poziomu %s.
zts516e	Zadaje obra¿enia nieumar³ym o ni¿szym poziomie.
zts517e	Leczy nieumar³ych o ni¿szym poziomie.
zts518e	Ataki z ukrycia zadaj¹ %s dodatkowych obra¿eñ.
zts519e	Ataki na ukrytych wrogów zadaj¹ %s dodatkowych obra¿eñ.
zts520e	Przedmiot
zts521e	Zwiêksza iloœæ punktów doœwiadczenia.
zts522e	Zwiêksza atak.
zts523e	Upuszczone przedmioty
zts524e	Liczba zdobywanych punktów doœwiadczenia zostaje zwiêkszona o %s%%.
zts525e	Wszystkie si³y ataku zostaj¹ zwiêkszone o %s%%.
zts526e	Przez %s rund przy ka¿dym ataku na ciebie bêd¹ upada³y przedmioty.
zts527e	Odpornoœæ na negatywny efekt
zts528e	Nienormalna odpornoœæ na negatywne efekty
zts529e	Normalna odpornoœæ na negatywne efekty
zts530e	Nienormalna odpornoœæ magiczna
zts531e	Odpornoœæ na truciznê
zts532e	Nienormalna odpornoœæ na choroby
zts533e	Poni¿ej poziomu %s prawdopodobieñstwo negatywnego efektu zostaje zwiêkszone o %s%%.
zts534e	Do poziomu %s w³¹cznie prawdopodobieñstwo nieotrzymania negatywnego efektu wynosi %s%%.
zts535e	Poni¿ej poziomu %s prawdopodobieñstwo otrzymania ogólnego negatywnego efektu zostaje zwiêkszone o %s%%.
zts536e	Poni¿ej poziomu %s prawdopodobieñstwo nieotrzymania ogólnego negatywnego efektu wynosi %s%%.
zts537e	Poni¿ej poziomu %s prawdopodobieñstwo otrzymania negatywnego magicznego efektu zostaje zwiêkszone o %s%%.
zts538e	Poni¿ej poziomu %s prawdopodobieñstwo nieotrzymania negatywnego magicznego efektu wynosi %s%%.
zts539e	Poni¿ej poziomu %s prawdopodobieñstwo otrzymania bardzo toksycznego efektu zostaje zwiêkszone o %s%%.
zts540e	Poni¿ej poziomu %s prawdopodobieñstwo nieotrzymania bardzo toksycznego efektu wynosi %s%%.
zts541e	Poni¿ej poziomu %s prawdopodobieñstwo otrzymania efektu choroby zostaje zwiêkszone o %s%%.
zts542e	Poni¿ej poziomu %s prawdopodobieñstwo nieotrzymania efektu choroby wynosi %s%%.
zts543e	Specjalne zachowanie
zts544e	Przypadkowy teleport
zts545e	Wskocz na obszar.
zts546e	ZaraŸ wszystkich woko³o.
zts547e	Teleportuje ciê w losowe miejsce na mapie.
zts548e	Wskocz na ka¿dy obiekt w odleg³oœci %s pól.
zts549e	W odleg³oœci %s rzuca %s na cz³onków naszej dru¿yny.
zts550e	W odleg³oœci %s rzuca %s na naszych wrogów.
zts551e	Zadanie
zts552e	Zleceniodawca
zts553e	Przywo³uje potwory zgodnie z regu³ami.
zts554e	% uzdrowienia i obra¿eñ
zts555e	% obra¿eñ
zts556e	Zmniejsza P¯ przeciwnika o %s%%.
zts557e	Obra¿enia spowodowa³y zmniejszenie P¯ o %s%%.
zts558e	Transformacja otoczenia.
zts559e	Przekszta³ca %s w %s.
zts560e	Zap³acony przedmiot
zts561e	Dodano moc zwoju.
zts562e	Pomna¿a z³oto.
zts563e	Zwiêksza pozyskiwanie z³ota o %s%%.
zts564e	Zmienia maksymalny % P¯. (U¿ywa tylko wzmocnieñ.)
zts565e	Zmienia maksymalny % PM. (U¿ywa tylko wzmocnieñ.)
zts566e	Zwiêksza maksymalne P¯ o %s%%.
zts567e	Zmniejsza maks. P¯ o %s%%.
zts568e	Zwiêksza maksymalne PM o %s%%.
zts569e	Zmniejsza maks. PM o %s%%.
zts570e	Wszystkie obrony zosta³y zwiêkszone o %s%%.
zts571e	Druga karta specjalisty.
zts572e	Pod³ó¿ bombê
zts573e	Zdetonuj bombê
zts574e	Pod³ó¿ coœ wybuchowego przy ataku.
zts575e	Niszczy otoczenie.
zts576e	Przyzywa bombê. Po ponownym aktywowaniu bomba zostaje u¿yta.
zts577e	Przywo³uje 3 ogniste miny.
zts578e	Œwiêty oddech
zts579e	Nak³ada na atakuj¹cego wzmocnienie.
zts580e	Zmniejsza umiejêtnoœci wrogów nie pos³uguj¹cych siê ¿ywio³em œwiat³a.
zts581e	Z prawdopodobieñstwem %s%% trafia w napastnika %s.
zts582e	Ulepszanie karty specjalisty
zts583e	Zwój Ochrony Karty Specjalisty Niskiego Poziomu
zts584e	Zwój Ochrony Karty Specjalisty Wysokiego Poziomu
zts585e	U¿yj niskiego zwoju ochrony karty SP.
zts586e	U¿yj wysokiego zwoju ochrony karty SP.
zts587e	Du¿y ba³wan
zts588e	Ch³ód 1
zts589e	Ch³ód 2
zts590e	Zamieæ œnie¿na. Wszyscy stoj¹cy gracze otrzymuj¹ do 99% obra¿eñ.
zts591e	Trzêsienie ziemi. Wszyscy le¿¹cy gracze otrzymuj¹ do 99% obra¿eñ.
zts592e	Absorpcja
zts593e	Nakierowanie absorbcji
zts594e	Absorpcja P¯
zts595e	Nak³ada na przeciwnika absorpcjê.
zts596e	P¯ przeciwnika zostaj¹ zredukowane o %s i o tyle samo zwiêkszaj¹ siê P¯ gracza.
zts597e	Umiejêtnoœæ bossa
zts598e	Mistrz Morcos
zts599e	Zadaje %s%% obra¿eñ graczowi, który jest oddalony od ciebie o wiêcej ni¿ %s komórek.
zts600e	Zmniejszenie odbicia i PM.
zts601e	Utrata z pewnym prawdopodobieñstwem pozosta³ych PM.
zts602e	Nie u¿ywaj tej czêœci.
zts603e	Utrata z prawdopodobieñstwem %s%% %s%% pozosta³ych PM.
zts604e	Specjalizacja i odpornoœæ na wzmocnienia
zts605e	Odpornoœæ na wzmocnienia
zts606e	Specjalizacja PvP
zts607e	Zdejmuje wzmocnienie poni¿ej pewnego poziomu.
zts608e	%s%% odpornoœci na efekt: %s i ni¿szego poziomu.
zts609e	Zwiêksza obra¿enia w PvP o %s.
zts610e	Zmniejsza obra¿enia w PvP o %s.
zts611e	Z prawdopodobieñstwem %s%% usuwa negatywne efekty poziomu %s lub ni¿ej.
zts612e	Wybuch zadaje w otoczeniu %s komórek %s%% obra¿eñ.
zts613e	Mistrz Hatus
zts614e	Atak smocz¹ g³ow¹
zts615e	Zadaje graczowi w okreœlonym miejscu %s%% dodatkowych obra¿eñ.
zts616e	Lady Calvinas
zts617e	Przywo³aj wê¿a
zts618e	Specjalista SE
zts619e	Energia tarczy
zts620e	Rozprzestrzenienie siê wzmocnienia
zts621e	Poruszanie siê aury
zts622e	Œmieræ i ¿ycie
zts623e	Podaj liczbê wzmocnieñ i wartoœæ obra¿eñ (1/1000).
zts624e	Podaj liczbê wzmocnieñ.
zts625e	Ruch aury ma wp³yw na otoczenie.
zts626e	Nie musisz niczego wk³adaæ.
zts627e	Im mniej masz P¯, tym silniejszy bêdzie efekt.
zts628e	4. rodzinny rajd w Glacernon
zts629e	4. umiejêtnoœæ Glacernon
zts630e	Wszyscy przeciwnicy, przebywaj¹cy w obrêbie %s pól, doznaj¹ obra¿eñ w wysokoœci %s%%.
zts631e	Wszystkim przeciwnikom przebywaj¹cym w promieniu %s komórek zadaje obra¿enia w wysokoœci %s%%.
zts632e	Atak przywo³anego potwora
zts633e	Pokonaj przywo³anego potwora.
zts634e	Zadaje %s %s%% obra¿eñ.
zts638e	Zwiêksza maksymalne P¯ o %s%%, jednak nie wiêcej ni¿ 5000 P¯.
zts639e	Zmniejsza maks. P¯ o %s%%, jednak nie wiêcej ni¿ o 5000 P¯.
zts651e	Dopalacz prêdkoœci zwiêksza twoj¹ prêdkoœæ.
zts652e	Na krótki czas maksymalizuje twoj¹ prêdkoœæ.
zts657e	Skryj siê w beczce rumu
zts663e	Przywo³uje 1 %s z prawdopodobieñstwem %s%%.
zts664e	Przywo³uje 1 %s z prawdopodobieñstwem %s%%. (Znika po pewny czasie.)
zts668e	Skupia na tobie uwagê przeciwników w pobli¿u.
zts671e	Si³a wszystkich ataków zostaje zwiêkszona o %s%%.
zts672e	Si³a wszystkich ataków zostaje zmniejszona o %s%%.
zts673e	Ca³a si³a obrony zostaje zwiêkszona o %s%%.
zts674e	Ca³a si³a obrony zostaje zmniejszona o %s%%.
zts675e	Zmiana maksymalnych PM. (Duch NiedŸwiedzia)
zts676e	Zwiêksza maks. PM o %s%%, jednak nie mo¿na mieæ wiêcej ni¿ 5000 PM.
zts677e	Zmniejsza maks. PM o %s%%, jednak nie wiêcej ni¿ o 5000 PM.
zts678e	Zmniejsza umiejêtnoœci wszystkich przeciwników.
zts685e	Odbicie maksymalnie otrzymanych obra¿eñ od %s.
zts686e	Obra¿enia od wszystkich ataków zostaj¹ zwiêkszone o %s%% z prawdopodobieñstwem %s%%. Jeœli obrona siê powiedzie, energia zostanie na³adowana.
zts687e	Obra¿enia od wszystkich ataków zostaj¹ zmniejszone o %s%% z prawdopodobieñstwem %s%%. Jeœli obrona siê powiedzie, energia zostanie na³adowana.
zts688e	Jeœli uda siê pokonaæ przeciwnika za pomoc¹ tej umiejêtnoœci, z prawdopodobieñstwem %s%% wyst¹pi %s.
zts689e	Jeœli wyszydzisz przeciwnika bêd¹cego w stanie knockdown, z prawdopodobieñstwem %s%% wyst¹pi %s.
zts690e	Jeœli wyszydzisz przeciwnika bêd¹cego w stanie normalnym, z prawdopodobieñstwem %s%% pojawi siê %s.
zts691e	Odbija negatywny efekt przeciwnika z pewnym prawdopodobieñstwem.
zts694e	Promieñ ataku jest zwiêkszony o %s.
zts695e	Atak obszarowy ognistego kanoniera zostaje zmniejszony o %s.
zts696e	Unik przed %s blokami przeciwnika.
zts699e	Ogniste umiejêtnoœci Vulkano zostaj¹ podwy¿szone o %s.
zts700e	Ogniste umiejêtnoœci Vulkano zostaj¹ zmniejszone o %s.
zts704e	Zmniejsza skutecznoœæ wzmacniaj¹cych atak efektów przeciwnika.
zts705e	Jeœli uda siê uciec przed atakiem wroga, wzmocnienie zwiêkszy siê z pewnym prawdopodobieñstwem.
zts706e	Maksymalne otrzymane obra¿enia krytyczne: %s
zts713e	Osoba posiadaj¹ca to wzmocnienie otrzymuje %s%% mniej obra¿eñ, zaœ osoba, która rzuci³a to wzmocnienie, otrzyma %s%% obra¿eñ zadanych pierwszej osobie.
zts714e	Zwiêksza obra¿enia przekazane przez gracza o %s%%.
zts715e	Zmniejsza obra¿enia przekazane przez gracza o %s%%.
zts716e	Regeneracja P¯ zostaje zwiêkszona o %s%%.
zts717e	Regeneracja P¯ zostaje zmniejszona o %s%%.
zts718e	Dodatkowo otrzymane obra¿enia przez umiejêtnoœæ kombo: %s%%
zts728e	Z prawdopodobieñstwem %s%% wywo³uje poœwiêcenie %s.
zts732e	W wyznaczonym miejscu z prawdopodobieñstwem %s%% wytworzy siê %s.
zts733e	W wyznaczonym miejscu z prawdopodobieñstwem %s%% zostanie usuniête %s.
zts734e	Na chwilê znika bez œladu.
zts741e	Z prawdopodobieñstwem %s%% nie doznasz ¿adnych obra¿eñ. Ponadto %s%% obra¿eñ, które powinieneœ doznaæ, zostanie dodanych do twoich P¯.
zts742e	Z prawdopodobieñstwem %s%% nie doznasz ¿adnych obra¿eñ. Zamiast tego %s%% obra¿eñ, które powinieneœ doznaæ, zostanie odjêtych od twoich P¯.
zts745e	Obra¿enia zostaj¹ zwiêkszone o %s%% dziêki u¿yciu umiejêtnoœci %s.
zts746e	Obra¿enia zostaj¹ zmniejszone o %s%% dziêki u¿yciu umiejêtnoœci %s.
zts747e	Szansa na cios krytyczny zostaje zwiêkszona o %s%% dziêki u¿yciu umiejêtnoœci %s.
zts748e	Szanse na cios krytyczny zostaje zmniejszona o %s%% dziêki u¿yciu umiejêtnoœci %s.
zts752e	Zwiêksza obra¿enia przeciw %s o %s%%.
zts753e	Jeœli %s zaatakuje gracza, obra¿enia zmniejsz¹ siê o %s%%.
zts754e	Efektywnoœæ przedmiotów do regeneracji zwiêksza siê o %s%%.
zts755e	Efektywnoœæ przedmiotów do regeneracji zmniejsza siê o %s%%.
zts757e	Jeœli Leona nosi przy sobie kartê specjalisty partnera, z prawdopodobieñstwem %s%% zostanie stworzony %s.
zts758e	Jeœli Leona nosi przy sobie kartê specjalisty partnera, z prawdopodobieñstwem %s%% zostanie usuniêty %s.
zts764e	Zaatakuj przeciwnika z zasadzki.
zts765e	Twój wróg jest œcigany przez soko³a i mo¿e zostaæ zaatakowany z powietrza.
zts766e	Dziêki swoim wyostrzonym zmys³om sokó³ jest w stanie zidentyfikowaæ i zaatakowaæ gracza o najni¿szej liczbie P¯. Gracz ten zostanie oznaczony i inni bêd¹ go mogli czêœciej atakowaæ.
zts767e	Zwiêkszenie obrony w PvP.
zts768e	Zmniejsza doznane obra¿enia w PvP o %s%%.
zts769e	Zmniejszenie obrony w PvP o %s%%.
zts776e	Regeneruje %s%% pozosta³ych P¯ przeciwnika.
zts777e	Zmniejsza %s%% pozosta³ych P¯ przeciwnika.
zts778e	Jeœli u¿yje siê %s razy, wytworzy siê %s. Maksymalnie mo¿e wzrosn¹æ do poziomu 2.
zts779e	Zasiêg ataku zwiêkszy³ siê o %s.
zts780e	Zasiêg ataku zmniejszy³ siê o %s.
zts781e	Wbrew woli gracza idŸ w innym kierunku przez %s sek.
zts782e	Dziêki zasadzce z prawdopodobieñstwem zostanie wytworzony %s%% %s.
zts787e	Po ataku snajperskim z prawdopodobieñstwem %s%% zostanie usuniêty %s.
zts788e	Po ataku snajperskim z prawdopodobieñstwem %s%% zostanie usuniêty %s.
zts789e	Zasiêg ataku z zasadzki zwiêkszy³ siê o %s.
zts790e	Po ataku z zasadzki z prawdopodobieñstwem %s%% zostanie wytworzony %s.
zts793e	Utrata kontroli nad cia³em. Inni gracze mog¹ ciê uwolniæ z wiecznego lodu.
zts794e	Krótka medytacja wywo³uje %s z prawdopodobieñstwem %s%%.
zts795e	Regularna medytacja wywo³uje %s z prawdopodobieñstwem %s%%.
zts796e	D³ugotrwa³a medytacja wywo³uje %s z prawdopodobieñstwem %s%%.
zts799e	Istnieje %s%% szansy, ¿e doznasz cios krytyczny przez snajperski atak.
zts808e	%s%% szansy na cofniêcie siê o %s komórek po udanym ataku.
zts810e	Odpycha przeciwnika z prawdopodobieñstwem %s%% o %s x pole.
zts811e	Czas dzia³ania ataku krótkodystansowego zostaje zwiêkszony o %s.
zts812e	Czas dzia³ania ataku krótkodystansowego zostaje zmniejszony siê o %s.
zts813e	Czas dzia³ania ataku d³ugodystansowego zostaje zwiêkszony o %s.
zts814e	Czas dzia³ania ataku d³ugodystansowego zostaje zmniejszony o %s.
zts815e	Czas dzia³ania ataku magicznego zwiêkszy³ siê o %s.
zts816e	Czas dzia³ania ataku magicznego zmniejszy³ siê o %s.
zts817e	Jeœli zostaniesz zabity przez innego gracza, jego P¯ zmniejsz¹ siê o %s%% jego brakuj¹cych P¯.
zts818e	Jeœli zostaniesz zabity przez innego gracza, jego P¯ zwiêkszaj¹c siê o %s%% jego brakuj¹cych P¯.
zts819e	Zwiêksza si³ê ataku w PvP.
zts820e	Zwiêksza si³ê ataku w PvP o %s%%.
zts821e	Zmniejsza si³ê ataku w PvP o %s%%.
zts823e	Teleportuje do wybranego miejsca.
zts827e	Z prawdopodobieñstwem %s%% przywo³uje %s.
zts828e	Regeneracja %s%% twoich P¯.
zts829e	Zmniejsza twoje P¯ o %s%%.
zts831e	Mo¿na polowaæ na owce.
zts832e	Wzmocnienie areny dru¿ynowej
zts833e	Si³a obrony areny dru¿ynowej
zts834e	Si³a ataku areny dru¿ynowej
zts835e	Z prawdopodobieñstwem %s%% o %s%% zwiêksz¹ siê obra¿enia odniesione na arenie dru¿ynowej.
zts836e	Z prawdopodobieñstwem %s%% o %s%% zmniejsz¹ siê obra¿enia odniesione na arenie dru¿ynowej.
zts837e	Z prawdopodobieñstwem %s%% o %s%% zwiêkszy siê si³a ataku podczas ataku na arenie dru¿ynowej.
zts838e	Z prawdopodobieñstwem %s%% o %s%% zmniejszy siê si³a ataku podczas ataku na arenie dru¿ynowej.
zts840e	Przywo³aj nr 1
zts841e	Przywo³aj nr 2
zts842e	Przywo³aj nr 3
zts843e	Podgl¹d widza
zts844e	Przywo³aj uczestnika numer 1
zts845e	Przywo³aj uczestnika numer 2
zts846e	Przywo³aj uczestnika numer 3
zts847e	Zamienia podgl¹d w³asnej postaci na podgl¹d walcz¹cego uczestnika.
zts849e	Mo¿esz teraz widzieæ ukryte w pobli¿u postacie.
zts850e	Zwiêkszenie punktów doœwiadczenia twojej wró¿ki
zts851e	Liczba zdobywanych punktów doœwiadczenia twojej wró¿ki zostaje zwiêkszona o %s%%.
zts853e	Rzuca ¿o³êdziem ze wszystkich si³.
zts860e	Z prawdopodobieñstwem %s%% zostanie przywo³anych do %s mrocznych klonów.
zts861e	Z prawdopodobieñstwem %s%% efekty regeneruj¹ce P¯ zostan¹ zamienione w obra¿enia.
zts862e	Przemienia obra¿enia wroga w efekt uleczaj¹cy z prawdopodobieñstwem powodzenia %s%%. Odzyskane P¯ i zebrane obra¿enia znikaj¹ po %s sek.
zts863e	Z prawdopodobieñstwem powodzenia %s%% czas odnowy umiejêtnoœci przeciwnika zostanie zwiêkszony o %s%%. Jeœli u¿ycie umiejêtnoœci siê powiedzie, twój czas odnowy umiejêtnoœci zostanie skrócony.
zts864e	Z prawdopodobieñstwem %s%% otrzymane od ¿ywio³u mroku obra¿enia zostan¹ zwiêkszone o %s%%, o ile towarzyszy ci Wró¿ka Mroku.
zts865e	Z prawdopodobieñstwem %s%% otrzymane od ¿ywio³u mroku obra¿enia zostan¹ zmniejszone o %s%%.
zts869e	Z prawdopodobieñstwem %s%% zostanie zastosowany efekt %s, przy za³o¿eniu, ¿e obecny jest wch³oniêty duch.
zts870e	Z prawdopodobieñstwem %s%% zostanie zastosowany efekt %s, przy za³o¿eniu, ¿e nieobecny jest wch³oniêty duch.
zts871e	Z prawdopodobieñstwem %s%% opiera siê wymuszonym ruchom.
zts873e	WskaŸnik czasu odnowy magicznych umiejêtnoœci wzrasta o %s%%.
zts874e	WskaŸnik czasu dla odnowy magicznych umiejêtnoœci zmniejsza siê o %s%%.
zts877e	Atakuje wszystkich wrogów w zasiêgu wzroku. Poza pewn¹ lokalizacj¹.
zts878e	Zmniejsza P¯ przeciwnika o %s%% z prawdopodobieñstwem %s%%.
zts879e	P¯ zostaj¹ zmniejszone o %s%% spowodowanych obra¿eñ z prawdopodobieñstwem %s%%.
zts883e	Przywo³uje Cierniogona w zasiêgu wzroku.
zts884e	Przemienia cel.
zts886e	Z prawdopodobieñstwem %s%% nie mo¿na zastosowaæ pozytywnych efektów poni¿ej poziomu %s.
zts890e	Szybko teleportuje o %s pola do przodu.
zts891e	Sprawia, ¿e spada dziesiêæ meteorów i dodatkowo %s kolejnych.
zts892e	Teleportuje ciebie oraz %s cz³onków w zapamiêtane miejsce.
zts894e	Przez z³oœæ zdolny przypuœciæ jedynie normalny atak.
zts895e	Skupia na tobie uwagê przeciwników w zasiêgu 5 pól.
zts900e	Z prawdopodobieñstwem %s%% %s%% obrony celu zostanie zignorowane.
zts901e	Z prawdopobieñstwem %s%% otrzymane obra¿enia krytyczne zostan¹ zmniejszone o %s%%.
zts904e	Przemiana w bohatera. Zmiana % maks. PM.
zts905e	Pojawienie siê Ancelloan. Zwiêksza maks. P¯ i PM o %s%%.
zts906e	Pojawienie siê Ancelloan. Zmniejsza maks. P¯ i PM o %s%%.
zts908e	Podczas ataku z prawdopodobieñstwem %s%% zostanie przywo³any mroczny klon, by zadaæ dodatkowy atak.
zts909e	Kradzie¿ efektu
zts910e	Przy pomyœlnym ataku celowi zostanie skradziony dobry efekt poni¿ej poziomu %s. Maks. liczba efektów: %s.
zts912e	Gdy atak jest pomyœlny, dobre efekty poni¿ej poziomu %s mog¹ zostaæ skradzione od partnera celu i transferowane do sprzymierzeñców w obrêbie 3 pól. Maks. liczba skradzionych efektów: %s.
zts913e	Przerwanie przemiany
zts914e	Przemiana zostanie przerwana z prawdopodobieñstwem %s%%. Jeœli efekt zniknie, powraca do poprzedniego stanu.
zts916e	Przez %s sek. nie mo¿e atakowaæ.
zts917e	Istnieje %s%% szansy, ¿e przemiana zostanie przerwana. Po przerwaniu przez %s sek. nie mo¿e byæ atakowany. Cel wraca do poprzedniego stanu.
zts919e	Zmiana miejsca
zts920e	Zamienia siê z celem na miejsca. Po zakoñczeniu efektu postaæ wraca do pierwotnej pozycji.
zts923e	Jeœli umrzesz, iloœæ punktów reputacji, które utracisz, zostanie zwiêkszona o %s%%.
zts924e	Jeœli umrzesz, iloœæ punktów reputacji, które utracisz, zostanie zmniejszona o %s%%.
zts925e	Jeœli umrzesz, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zwiêkszona o %s%%.
zts926e	Jeœli umrzesz, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o %s%%.
zts928e	Kara zostanie wykonana, czeka ciê œmieræ.
zts931e	Zwiêksza obra¿enia zadawane graczom frakcji anio³ów o %s%%.
zts932e	Gdy atakujesz anio³y, twoje maksymalne obra¿enia zmniejszaj¹ siê do %s%%.
zts933e	Zwiêksza obra¿enia zadawane graczom frakcji demonów o %s%%.
zts934e	Gdy atakujesz demony, twoje maksymalne obra¿enia zmniejszaj¹ siê do %s%%.
zts937e	Z prawdopodobieñstwem %s%% czas regeneracji u¿ytej umiejêtnoœci ataku jest resetowany.
zts938e	Z prawdopodobieñstwem %s%% efekt [%s] jest stosowany wzglêdem sojuszu w obrêbie 5 pól.
zts939e	Z prawdopodobieñstwem %s%% efekt [%s] jest usuwany z sojuszu w obrêbie 5 pól.
zts940e	Z prawdopodobieñstwem %s%% usuniête zostan¹ pozytywne efekty poziomu %s.
zts942e	Je¿eli potwór ma taki sam poziom walki jak twoja postaæ lub jego poziom jest wy¿szy, obra¿enia s¹ zwiêkszane z prawdopodobieñstwem %s%% o %s%%.
zts943e	Jeœli potwór ma wy¿szy poziom ni¿ postaæ, obra¿enia zostan¹ zmniejszone z prawdopodobieñstwem %s%% o %s%%.
zts945e	Blokuje %s negatywne efekty poni¿ej poziomu %s.
zts947e	Podczas ukrycia twoja szybkoœæ poruszania siê zostanie zwiêkszona o %s.
zts948e	Podczas ukrycia twoja szybkoœæ poruszania siê zostanie zmniejszona o %s.
zts955e	Otrzymana s³awa zostaje zwiêkszona o %s%%.
zts956e	Otrzymana s³awa zostaje zmniejszona o %s%%.
zts957e	Otrzymane doœwiadczenie bohatera zostaje zwiêkszone o %s%%.
zts958e	Otrzymane doœwiadczenie bohatera zostaje zmniejszone o %s%%.
zts959e	Podczas gdy ktoœ ci towarzyszy, mo¿esz zawsze otrzymaæ po %s godz. nieznane przedmioty w liczbie: %s.
zts960e	%s%% szansa na usuniêcie efektu wzmacniaj¹cego z przeciwnika.
zts961e	Tworzy za pomoc¹ magii licz koœcistego smoka i daje stosuj¹cemu ten efekt graczowi "Si³ê ¿ycia smoka".
zts962e	Tworzy za pomoc¹ magii licz koœcistego smoka i daje stosuj¹cemu ten efekt graczowi "Si³ê ¿ycia silnego smoka".
zts970e	Ataki na ukrytych wrogów zadaj¹ %s dodatkowych obra¿eñ.
zts972e	Obra¿enia od ukrytych wrogów zostaj¹ zwiêkszone o %s%%.
zts973e	Obra¿enia od ukrytych wrogów zostaj¹ zmniejszone o %s%%.
zts974e	Wykrywa ukrytych wrogów w zasiêgu %s pól.
zts977e	Powróæ do mini-landu i zregeneruj %s%% swoich P¯. Jeœli posiadasz maks. liczbê P¯, otrzymasz dodatkowych %s%% P¯.
zts980e	Pozwala %s-krotnie u¿yæ umiejêtnoœci bez odczekiwania czasu regeneracji.
zts985e	Przemienia siê i zajmuje postawê smoka, dziêki czemu mo¿esz przeprowadzaæ ataki p³omieniami.
zts986e	Przemienia siê i zajmuje postawê Haetae, dziêki czemu mo¿esz przeprowadzaæ ataki z si³¹ bestii.
zts987e	Z prawdopodobieñstwem %s%% resetuje czas odnowienia [%s].
zts988e	Z prawdopodobieñstwem %s%% resetuje czas odnowienia [%s].
zts991e	Zdobyta liczba punktów doœwiadczenie w walce oraz profesji zostaje zwiêkszona o %s%%.
zts993e	Z prawdopodobieñstwem %s%% wypuœcisz magiczn¹ strza³ê, jeœli u¿ywasz magii lub umiejêtnoœci ataku d³ugodystansowego.
zts997e	Zwiêksza z prawdopodobieñstwem %s%% obra¿enia od ataku od ognia o %s%%.
zts998e	Zmniejsza z prawdopodobieñstwem %s%% obra¿enia od ataku od ognia o %s%%.
zts999e	W towarzystwie: o %s%% zwiêkszone ataki w walce z potworami z zapieczêtowanego pojemnika oraz o %s%% zwiêkszone ataki w walce z potworami w Krainie Œmierci.
zts1000e	W towarzystwie: o %s%% zmniejszone ataki w walce z potworami z zapieczêtowanego pojemnika oraz o %s%% zmniejszone ataki w walce z potworami w Krainie Œmierci.
zts1002e	Odskok
zts1003e	Oœwiecenie
zts1004e	Absorpcja Œwiat³a Ksiê¿yca
zts1005e	Gromadzenie Kwiatów
zts1006e	Znak Ksiê¿yca
zts1007e	Unikasz ataków i wytwarzasz z prawdopodobieñstwem %s%% %s.
zts1008e	Je¿eli u¿yjesz umiejêtnoœci wzmocnienia, gdy oœwiecenie jest aktywne, otrzymasz dodatkowe efekty.
zts1010e	Mo¿esz u¿yæ umiejêtnoœci pe³ni ksiê¿yca.
zts1012e	Mo¿esz u¿yæ umiejêtnoœci kwiatu lotosu.
zts1014e	Nastêpne obra¿enie, jakie zadasz przeciwnikowi przy u¿yciu znaku, zostanie zwiêkszone o %s%% i zu¿yje znak ksiê¿yca.
zts1015e	Nastêpne obra¿enie przeciwnika zostanie zmniejszone o %s%% i zu¿yje znak ksiê¿yca.
