zts1e	Special Attack
zts818e	If you are killed by another player, their HP is increased by %s%% of their missing HP.
zts819e	Increases PvP attack power.
zts820e	Increases PvP attack power by %s%%.
zts821e	Reduces PvP attack power by %s%%.
zts823e	Teleports you to a selected location.
zts827e	%s%% chance to summon %s.
zts828e	Restores your HP by %s%%.
zts829e	Reduces your HP by %s%%.
zts831e	Can hunt sheep.
zts832e	Team Arena Buff
zts833e	Team Arena Defence Power
zts834e	Team Arena Attack Power
zts835e	There is a %s%% chance of the damage taken in the team arena being increased by %s%%.
zts836e	There is a %s%% chance of the damage taken in the team arena being reduced by %s%%.
zts837e	There is a %s%% chance of the attack power being increased by %s%% during an attack in the team arena.
zts838e	There is a %s%% chance of the attack power being reduced by %s%% during an attack in the team arena.
zts840e	Call Number 1
zts841e	Call Number 2
zts842e	Call Number 3
zts843e	Audience View
zts844e	Call Participant Number 1
zts845e	Call Participant Number 2
zts846e	Call Participant Number 3
zts847e	Switch from own view to fighting participant.
zts849e	You can now see hidden characters in your vicinity.
zts850e	Increase your fairy's experience points
zts851e	Your fairy's experience points are increased by %s%%.
zts853e	Throw the acorn as hard as you can.
zts860e	There is a %s%% chance that up to %s Dark Clones will be summoned.
zts861e	HP replenishing effects will be converted to damage with a probability of %s%%.
zts862e	Transforms the enemy's damage into a healing effect with a %s%% chance of success. The restored HP and collected damage disappear after %s seconds.
zts863e	There is a %s%% chance that the enemy's skill cooldown will be increased by %s%%. If the skill succeeds, your own skill cooldown time will be reduced.
zts864e	There is a %s%% chance that damage from the shadow element is increased by %s%% while a shadow fairy is accompanying you.
zts865e	There is a %s%% probability that damage from the shadow element will be decreased by %s%%.
zts869e	There is a probability of %s%% that %s will be applied if an absorbed spirit is present.
zts870e	There is a probability of %s%% that %s will be applied if no absorbed spirit is present.
zts871e	Resists forced movement with a probability of %s%%.
zts873e	The cooldown time for reusing magic skills is increased by %s%%.
zts874e	The cooldown time for reusing magic skills is reduced by %s%%.
zts877e	Attacks all enemies in visual range. Except at a certain location.
zts878e	Reduces the opponent's HP by %s%% with a probability of %s%%.
zts879e	HP is reduced by %s%% of the damage inflicted with a probability of %s%%.
zts883e	Summons a Thorn Bush in visual range.
zts884e	Transforms the target.
zts886e	There is a %s%% chance that no good effects below level %s can be used.
zts890e	Quickly teleport %s fields forwards.
zts891e	Causes 10 (+%s) meteorites to rain down.
zts892e	Teleports you and %s group members to the saved location.
zts894e	Reduced to carrying out normal attacks by sheer anger.
zts895e	Attracts the attention of enemies within 5 fields of you.
zts900e	There's a %s%% chance to ignore %s%% of the target's defence.
zts901e	There's a %s%% chance of the critical damage received being reduced by %s%%.
zts904e	Transformation to a hero. Maximum MP is changed on a percentage basis.
zts905e	Ancelloan's Apparition. Increases both maximum HP and MP by %s%%.
zts906e	Ancelloan's Apparition. Reduces both maximum HP and MP by %s%%.
zts908e	When attacking, there is a %s%% chance of summoning a shadow clone to carry out an additional attack.
zts909e	Effect Steal
zts910e	A successful attack steals a good effect below level %s from the target. Max. %s effects.
zts912e	A successful attack can steal good effects below level %s from the target's partner and transfer them to allies within 3 fields. Max. %s effects can be stolen.
zts913e	Abort Transformation
zts914e	There's a %s%% chance that the transformation will be aborted. Return to the previous state once the effect has disappeared.
zts916e	Cannot attack for %s sec.
zts917e	There's a %s%% chance that the transformation will be aborted. Cannot be attacked for %s sec. if successfully aborted. The target then returns to their previous state.
zts919e	Phase Change
zts920e	Swaps places with the target. Once the effect ends, the character returns to their initial position.
zts923e	When you die, the amount of reputation you lose is increased by %s%%.
zts924e	When you die, the amount of reputation you lose is reduced by %s%%.
zts925e	When you die, the amount of champion level experience you lose is increased by %s%%.
zts926e	When you die, the amount of champion level experience you lose is reduced by %s%%.
zts928e	The punishment will be carried out. Death awaits!
zts931e	Increases damage against players of the Angel faction by %s%%.
zts932e	When attacking angels, your max. damage decreases to %s%%.
zts933e	Increases damage against players of the Demon faction by %s%%.
zts934e	When attacking demons, your max. damage decreases to %s%%.
zts937e	Provides a %s%% chance to reset the cooldown of the attack skill used.
zts938e	There is a %s%% chance to apply %s to the alliance within 5 fields.
zts939e	There is a %s%% chance to remove %s from the alliance within 5 fields.
zts940e	There is a %s%% chance that buffs below Lv. %s will be removed.
zts942e	Provides a %s%% chance of increasing damage by %s%% if the monster has the same or a higher combat level than the character.
zts943e	Provides a %s%% chance of reducing damage by %s%% if the monster has a higher level than the character.
zts945e	Blocks %s bad effects up to level %s.
zts947e	Your movement speed is increased by %s while you are hidden.
zts948e	Your movement speed is decreased by %s while you are hidden.
zts955e	Increases fame received by %s%%.
zts956e	Reduces fame received by %s%%.
zts957e	Increases champion experience received by %s%%.
zts958e	Reduces champion experience received by %s%%.
zts959e	After %s hour(s) you can receive %s unknown items while you are being accompanied.
zts960e	There's a %s%% chance to remove a buff from the enemy.
zts961e	Uses lich magic to create a Bone Drake and give the caster Dragon Vitality.
zts962e	Uses lich magic to create a Bone Drake and give the caster Strong Dragon Vitality.
zts970e	Attacks on hidden enemies cause %s additional damage.
zts972e	Damage from hidden enemies is increased by %s%%.
zts973e	Damage from hidden enemies is reduced by %s%%.
zts974e	Reveals hidden enemies within %s spaces.
zts977e	Return to Miniland and regenerate %s%% of your HP. If you have maximum HP, you receive %s%% additional HP.
zts980e	Skill can be used %s times without cooldown.
zts985e	Transform and assume the Dragon Stance with which you can carry out flame attacks.
zts986e	Transform and assume the Haetae Stance with which you can carry out attacks using the power of the beast.
zts987e	Provides a %s%% probability to reset the cooldown of %s.
zts988e	Provides a %s%% probability to reset the cooldown of %s.
zts991e	Combat and job experience points earned are increased by %s%%.
zts993e	Provides a %s%% chance of firing a magical arrow when you use magic or ranged attack skills.
zts994e	15% chance to [stun] when attacking. (Applies to Successful Attack)
40% Chance to Increase Fire Properties by 90% during Defense (Always apply).
zts995e	Reduces damage from damage by chance when defending
zts996e	Sealed Vessel Monster and Death Land Monster Attack Damage (Attack Buff)
zts997e	Provides a %s%% chance to increase fire attack damage by %s%%.
zts998e	Provides a %s%% chance to reduce fire attack damage by %s%%.
zts999e	When accompanying the player, provides %s%% increased attack against monsters in sealed vessels and %s%% increased attack against monsters in the Land of Death.
zts1000e	When accompanying the player, provides %s%% reduced attack against monsters in sealed vessels and %s%% reduced attack against monsters in the Land of Death.
zts1002e	Sidestep
zts1003e	Enlightenment
zts1004e	Moonlight Absorption
zts1005e	Gathering Petals
zts1006e	Mark of the Moon
zts1007e	You dodge attacks and have a %s%% chance to cause %s.
zts1008e	Use a buff skill while Enlightenment is active to receive additional effects.
zts1010e	Allows you to use Full Moon skills.
zts1012e	Allows you to use Lotus Flower skills.
zts1014e	The next damage you inflict on a marked enemy will be increased by %s%% and consume the Mark of the Moon.
zts1015e	The next damage inflicted by the enemy will be reduced by %s%% and consume the Mark of the Moon.
zts1016e	Damage against monsters in Sealed Vessels is increased by %s%% and against monsters in the Land of Death by %s%%.
zts1017e	Damage against monsters in Sealed Vessels is reduced by %s%% and against monsters in the Land of Death by %s%%.
zts1019e	Withstand
zts1020e	Opportunity to Attack
zts1021e	Mark of the Full Moon
zts1022e	Bound by the Full Moon's Light
zts1023e	Whenever you are attacked, you have a %s%% chance of generating %s.
zts1024e	After using an attack skill, there is a chance of receiving another Opportunity to Attack.
zts1025e	The next damage you inflict on a marked enemy will be increased by %s%% and consume the Mark of the Full Moon.
zts1026e	If the effect Bound by Moonlight is active on your opponent, you will trigger Bound by the Full Moon's Light.
zts1027e	Changes the elemental percentage.
zts1028e	Changes the fire element percentage.
zts1029e	Changes the water element percentage.
zts1030e	Changes the light element percentage.
zts1031e	Changes the shadow element percentage.
zts1032e	Changes all elemental percentages.
zts1033e	Fire element bonus damage is increased by %s%%.
zts1034e	Fire element is reduced by %s%%.
zts1035e	Water element is increased by %s%%.
zts1036e	Water element is reduced by %s%%.
zts1037e	Light element is increased by %s%%.
zts1038e	Light element is reduced by %s%%.
zts1039e	Shadow element is increased by %s%%.
zts1040e	Shadow element is reduced by %s%%.
zts1041e	All elements are increased by %s%%.
zts1042e	All elements are reduced by %s%%.
zts1043e	Changes the elemental resistance percentage.
zts1044e	Changes the all resistance percentages.
zts1045e	Changes the fire resistance percentage.
zts1046e	Changes the water resistance percentage.
zts1047e	Changes the light resistance percentage.
zts1048e	Changes the shadow resistance percentage.
zts1049e	All elemental resistances are increased by %s%%.
zts1050e	All elemental resistances are reduced by %s%%.
zts1051e	Fire resistance is increased by %s%%.
zts1052e	Fire resistance is reduced by %s%%.
zts1053e	Water resistance is increased by %s%%.
zts1054e	Water resistance is reduced by %s%%.
zts1055e	Light resistance is increased by %s%%.
zts1056e	Light resistance is reduced by %s%%.
zts1057e	Shadow resistance is increased by %s%%.
zts1058e	Shadow resistance is reduced by %s%%.
zts1060e	When an item drops there is a certain probability that it may drop a second time. This effect is only triggered when the dropped item is assigned to the player, not when it is shared in the group.
zts1061e	When a hunted monster drops an item, there's a %s%% chance that it drops the item a second time. This effect is only triggered when the dropped item is assigned to the player, not when it is shared in the group.
zts1064e	Increases the equipped fairy's element by %s.
zts1065e	The equipped fairy's element decreases by %s.
zts1070e	Provides a (current HP/max. HP * %s)%% chance to inflict %s on your opponent.
zts1071e	Provides a (missing HP/max. HP * %s)%% chance to inflict %s on your opponent.
zts1072e	If the attack is successful, you earn %s ultimate points.
zts1073e	If you are attacked while blocking, you earn %s ultimate points.
zts1074e	You can use ultimate skills.
zts1075e	The effect ends if you take damage from enemies.
zts1078e	PvP attack power is increased by %s%% during the Rainbow Battle. Movement speed is increased by %s during the Rainbow Battle.
zts1079e	PvP attack power is reduced by %s%% during the Rainbow Battle. Movement speed is reduced by %s during the Rainbow Battle.
zts1086e	With a %s%% probability all elemental damage is increased by %s%%.
zts1087e	With a %s%% probability all elemental damage is reduced by %s%%.
zts1088e	With a %s%% probability fire attack damage is increased by %s%%.
zts1089e	With a %s%% probability fire attack damage is reduced by %s%%.
zts1090e	With a %s%% probability water attack damage is increased by %s%%.
zts1091e	With a %s%% probability water attack damage is reduced by %s%%.
zts1092e	With a %s%% probability light attack damage is increased by %s%%.
zts1093e	With a %s%% probability light attack damage is reduced by %s%%.
zts1094e	With a %s%% probability shadow attack damage is increased by %s%%.
zts1095e	With a %s%% probability shadow attack damage is reduced by %s%%.
zts1102e	Damage to low-level plants is increased by %s%%.
zts1103e	Damage to low-level plants is reduced by %s%%.
zts1104e	Damage to low-level animals is increased by %s%%.
zts1105e	Damage to low-level animals is reduced by %s%%.
zts1106e	Damage to low-level monsters is increased by %s%%.
zts1107e	Damage to low-level monsters is reduced by %s%%.
zts1108e	Damage to Kovolts is increased by %s%%.
zts1109e	Damage to Kovolts is reduced by %s%%.
zts1110e	Damage to Catsies is increased by %s%%.
zts1111e	Damage to Catsies is reduced by %s%%.
zts1116e	Damage to low-level spirits is reduced by %s%%.
zts1117e	Damage to angels is increased by %s%%.
zts1118e	Damage to angels is reduced by %s%%.
zts1119e	Damage to demons is increased by %s%%.
zts1120e	Damage to demons is reduced by %s%%.
zts1126e	Damage to monsters in the Land of Death is reduced by %s%%.
zts1127e	Damage to monsters from Sealed Vessels is increased by %s%%.
zts1128e	Damage to monsters from Sealed Vessels is reduced by %s%%.
zts1129e	Experience gain is increased by %s%%.
zts1130e	Experience gain is reduced by %s%%.
zts1131e	Job experience gain is increased by %s%%.
zts1132e	Job experience gain is reduced by %s%%.
zts1138e	Your specialist's attack skill points are reduced by %s.
zts1139e	Your specialist's defence skill points are increased by %s.
zts1140e	Your specialist's defence skill points are reduced by %s.
zts1141e	Your specialist's elemental skill points are increased by %s.
zts1142e	Your specialist's elemental skill points are reduced by %s.
zts1143e	Your specialist's HP/MP skill points are increased by %s.
zts1144e	Your specialist's HP/MP skill points are reduced by %s.
zts1150e	All attacks are increased by %s%%.
zts1151e	All attacks are reduced by %s%%.
zts1152e	Melee attacks are increased by %s%%.
zts1153e	Melee attacks are reduced by %s%%.
zts1154e	Ranged attacks are increased by %s%%.
zts1155e	Ranged attacks are reduced by %s%%.
zts1156e	Magic attacks are increased by %s%%.
zts1157e	Magic attacks are reduced by %s%%.
zts1158e	Damage to low-level spirits is increased by %s%%.
zts1159e	Damage to monsters in the Land of Death is increased by %s%%.
zts1160e	Your specialist's attack skill points are increased by %s.
zts1162e	On attack there is a %s%% chance of increasing your equipped fairy's element by %s.
zts1163e	On attack there is a %s%% chance of decreasing your equipped fairy's element by %s.
zts1169e	On attack, there is a %s%% chance of inflicting %s on your opponent.
zts1170e	On attack, there is a %s%% chance of receiving %s.
zts1171e	When you're defending, there is a %s%% chance of inflicting %s on your opponent.
zts1172e	When you're defending, there is a %s%% chance of receiving %s.
zts1176e	When you're attacked with a shadow element skill, there is a %s%% chance of triggering %s.
zts1177e	When debuffs are applied to you, attack and defence power are increased by %s%% per debuff.
zts1178e	When buffs are applied to you, attack and defence power are increased by %s%% per buff.
zts1180e	There is a %s%% chance of an opponent within 2 spaces receiving %s.
zts1181e	There is a %s%% chance of removing %s from an opponent within 2 spaces.
zts1190e	When you're defending, there is a %s%% chance of summoning a(n) %s.
zts1191e	When you're defending, there is a %s%% chance of summoning two %s.
zts1198e	When you're attacking, there is a %s%% chance of triggering a Meteor Strike.
zts1199e	When you're defending, there is a %s%% chance of %s%% of the damage being reflected at the opponent.
zts1200e	When you're attacking, there is a %s%% chance of triggering a wolf attack.
zts1201e	When you're defending, there is a %s%% chance of the opponent being knocked back.
zts1210e	When you're attacking, there is a %s%% chance of triggering a lightning bolt.
zts1211e	When you're attacking, there is a %s%% chance of triggering Curse Power.
zts1212e	When you're attacking, there is a %s%% chance of triggering a bear attack.
zts1213e	When you're attacking, there is a %s%% chance of triggering Frost Power.
zts1215e	Damage to low-level undead is increased by %s%%.
zts1216e	Damage to low-level undead is reduced by %s%%.
zts1220e	Melee defence is increased by %s%%.
zts1221e	Melee defence is reduced by %s%%.
zts1222e	Ranged defence is increased by %s%%.
zts1223e	Ranged defence is reduced by %s%%.
zts1224e	Magic defence is increased by %s%%.
zts1225e	Magic defence is reduced by %s%%.
zts1227e	MP recovery is increased by %s%%.
zts1228e	MP recovery is reduced by %s%%.
zts1231e	Damage to monsters is increased by %s%%.
zts1232e	Damage to monsters is reduced by %s%%.
zts1234e	Production point consumption is reduced by %s%%.
zts1235e	Production point consumption is increased by %s%%.
zts1237e	Dodge is increased by %s%%.
zts1238e	Dodge is reduced by %s%%.
zts1246e	When you're defending, there is a %s%% chance of %s%% of the damage being reflected at the opponent.
zts1247e	Deals %s damage to all opponents within %s space(s) every 4 seconds.
zts1248e	Increases the attack power of your NosMate by %s%%.
zts1249e	Casts %s on all opponents within %s space(s) every 4 seconds.
zts1250e	When you're attacking, there is a %s%% chance (caster level * 18) of an opponent suffering damage from Apocalypse Power. They will also receive the corresponding debuff.
zts1251e	When you're attacking, there is a %s%% chance of receiving Reflection Power.
zts1252e	When you're attacking, there is a %s%% chance (caster level * 15) of an opponent suffering damage from Wolf Power. They will also receive the corresponding debuff.
zts1253e	When you're attacking, there is a %s%% chance of the opponent being knocked back 4 spaces.
zts1254e	When you're defending, there is a %s%% chance of the opponent being knocked back 4 spaces.
zts1255e	When you attack, there is a %s%% chance (caster level * 17) of an opponent suffering damage from Explosion Power. They will also receive the corresponding debuff.
zts1257e	When you're attacking, there is a %s%% chance of receiving Agility Power.
zts1258e	When you're attacking, there is a %s%% chance (caster level * 18) of an opponent suffering damage from Lightning Power. They will also receive the corresponding debuff.
zts1259e	When you're attacking, there is a %s%% chance of triggering Curse Power on the opponent.
zts1260e	When you're attacking, there is a %s%% chance (caster level * 23) of an opponent suffering damage from Bear Power. They will also receive the corresponding debuff.
zts1261e	When you're attacking, there is a %s%% chance of receiving Frost Power.
zts1268e	Magic armour prevents %s damage.
zts1269e	When you're defending, there is a %s%% chance of your resistance to the element with which the opponent is attacking increasing by %s.
zts1270e	When you're defending, there is a %s%% chance of your resistance to the element with which the opponent is attacking decreasing by %s.
zts1271e	The maximum additional HP increases by %s%%.
zts1272e	The maximum additional HP decreases by %s%%.
zts1273e	When your attack is blocked, there's a %s%% chance of ignoring the block.
zts1274e	Dodge is increased by %s%%.
zts1275e	Hit rate of all attacks is increased by %s%%.
zts1282e	When you receive a critical hit, there is a %s%% chance of %s%% being reflected to the opponent.
zts1283e	You have a (lost HP/max. HP * 100 / %s%% * %s%%) chance of dodging the attack.
zts1284e	The final critical hit damage is increased by %s%% per critical hit (max. %s hits).
zts1285e	When you're defending, there is a %s%% chance of %s%% of the damage being deducted from your MP instead of your HP.
zts1286e	Overall attack power is increased by %s%% of magic defence.
zts1293e	When attacking, there is a %s%% chance of %s%% additional damage being added by the lion loa.
zts1294e	When attacking, there is a %s%% chance of %s%% additional damage being added by the eagle loa.
zts1295e	When attacking, there is a %s%% chance of %s%% additional damage being added by the snake loa.
zts1296e	When attacking, there is a %s%% chance of %s%% additional damage being added by the bear loa.
zts1297e	When you receive a debuff, there is a %s%% chance of every element being increased by %s%%.
zts1299e	Hit rate is increased by %s%%.
zts1300e	Hit rate is reduced by %s%%.
zts1302e	Concentration is increased by %s%%.
zts1303e	Concentration is reduced by %s%%.
zts1306e	The Beast King has chosen you as the target of his bite attack.
zts1307e	Your HP increases by %s whenever you dodge.
zts1310e	Maximum HP is increased by %s%%.
zts1311e	Maximum HP is decreased by %s%%.
zts1312e	Maximum MP is increased by %s%%.
zts1313e	Maximum MP is decreased by %s%%.
zts1315e	Increases attack power by %s%% when fighting monsters from Sealed Vessels and by %s%% when fighting monsters in Glacernon.
zts1316e	Reduces attack power by %s%% when fighting monsters from Sealed Vessels and by %s%% when fighting monsters in Glacernon.
zts1317e	All opponents within %s space(s) are dealt %s damage every second.
zts1318e	All opponents within %s space(s) are cursed with %s every second.
zts1320e	The attacker has a %s%% chance of receiving %s.
zts1321e	If an opponent attacks you, there is a %s%% chance of %s being inflicted on them.
zts1322e	There is a %s%% chance of an ally within 2 spaces receiving %s.
zts1323e	There is a %s%% chance of removing %s from an ally within 2 spaces.
zts1325e	Belial reflects your attacks and inflicts damage on your allies.
zts1327e	The final damage from critical hits is increased by %s%%.
zts1328e	The damage from critical hits is reduced by %s%%.
zts1329e	When you're defending, the damage from critical hits is increased by %s%%.
zts1330e	When you're defending, the damage from critical hits is reduced by %s%%.
zts1341e	If you defeat a monster, there is a %s%% chance of %s being cast on you.
zts1353e	If you're defeated, all opponents within %s spaces receive %s.
zts1361e	If you or your NosMates defeat a monster, any NosMates who are currently active will be restored %s%% HP.
zts1362e	If you or your NosMates defeat a monster, any NosMates who are currently active will be restored %s%% HP.
zts1363e	If one of your NosMates is defeated, you will be restored %s%% HP.
zts1364e	If one of your NosMates is defeated, any NosMates who are currently active will be restored %s%% HP.
zts1365e	If you defeat a monster, there is a %s%% chance of %s being cast on your NosMates.
zts1366e	If you defeat a monster, there is a %s%% chance of your NosMates' attack power increasing by %s%%.
zts1367e	If you defeat a monster, there is a %s%% chance that all the defences of your NosMates will increase by %s%%.
zts1368e	If you defeat a monster, there is a %s%% chance of all your NosMates being restored %s%% HP.
zts1373e	If your NosMates defeat a monster, your attack power will be increased by %s%%.
zts1374e	If your NosMates defeat a monster, your defences will be increased by %s%%.
zts1375e	If you're defeated, all of your NosMates within %s spaces receive %s.
zts1376e	If all of your NosMates are defeated, there is a %s%% chance of %s being cast on you.
zts1377e	If you defeat a monster, %s will be cast on any of your NosMates within %s spaces.
zts1378e	Summons Squad %s.
zts1380e	If one of your NosMates is defeated, any NosMates who are currently active will be restored %s%% HP.
zts1383e	Your squads' attack power is increased (level x %s).
zts1384e	Your squads' defence is increased (level x %s).
zts1385e	none
zts1386e	Your squads' attack power is increased (%s + level x %s).
zts1387e	Your squads' defence is increased (%s + level x %s).
zts1389e	Suffers a maximum of %s critical damage when attacked (%s times).
zts1391e	Your NosMates have a %s%% chance to receive %s.
zts1397e	If you are attacked with the fire element, there's a %s%% chance the damage will be increased by %s%%.
zts1398e	If you are attacked with the fire element, there's a %s%% chance the damage will be reduced by %s%%.
zts1399e	If you are attacked with the water element, there's a %s%% chance the damage will be increased by %s%%.
zts1400e	If you are attacked with the water element, there's a %s%% chance the damage will be reduced by %s%%.
zts1401e	If you are attacked with the light element, there's a %s%% chance the damage will be increased by %s%%.
zts1402e	If you are attacked with the light element, there's a %s%% chance the damage will be reduced by %s%%.
zts1403e	If you are attacked with the shadow element, there's a %s%% chance the damage will be increased by %s%%.
zts1404e	If you are attacked with the shadow element, there's a %s%% chance the damage will be reduced by %s%%.
zts1406e	You're invisible to monsters so you can fish in peace. Other players can see you, though.
zts1408e	If you use 'Teleport to Fishing Spot', you'll be taken to your chosen location.
zts1415e	The probability of catching a fish is increased by %s%%.
zts1416e	The probability of catching a fish is reduced by %s%%.
zts1417e	The probability of your fishing line breaking is increased by %s%%.
zts1418e	The probability of your fishing line breaking is reduced by %s%%.
zts1419e	There's a %s%% chance of the bait not being consumed when you cast your fishing line.
zts1420e	There's a %s%% chance that the size of the fish caught increases by %s%%.
zts1421e	There's a %s%% chance that the size of the fish caught decreases by %s%%.
zts1422e	The fishing experience points you receive are increased by %s%%.
zts1423e	The fishing experience points you receive are reduced by %s%%.
zts1426e	I love fishing!
zts1429e	Monsters on general maps will only notice you if you attack them.
zts1433e	Cooking experience gain is increased by %s%%.
zts1434e	Cooking experience gain is reduced by %s%%.
zts1435e	Chance of major success when cooking increased by %s%%.
zts1436e	Chance of major success when cooking reduced by %s%%.
zts1437e	Provides a %s%% chance to receive extra ingredients.
zts1438e	Provides a %s%% chance to receive extra meals.
zts1442e	Provides a %s%% chance spices aren't consumed when cooking.
zts1443e	Provides a %s%% chance extra spices are consumed when cooking.
zts1444e	Increases Full Belly Buff %s by %s points.
zts1445e	Reduces Full Belly Buff %s by %s points.
zts1446e	You lose %s%% fullness points for all Full Belly Buffs and cannot eat any more meals during this time.
zts1447e	Increases fullness point gain by %s%%.
zts1448e	Increases fullness points by %s. Can only be used when satiety is lower than %s.
zts1449e	Reduces fullness points by %s. Can only be used when satiety is lower than %s.
zts1450e	Satiety points will either be increased by %s or reduced by %s.
zts1451e	Provides a %s%% chance to receive %s%% additional fullness points.
zts1452e	Fullness points will be increased by %s or reduced by %s.
zts1457e	Restores HP equal to %s%% of the damage inflicted (max. %s per attack).
zts1458e	Restores MP equal to %s%% of the damage inflicted (max. %s per attack).
zts1459e	You can see hidden characters within %s spaces of you.
zts1460e	Additional HP is increased by %s%%.
zts1461e	Provides a %s%% chance to receive extra ingredients.
zts1462e	Provides a %s%% chance to receive extra meals.
zts1467e	Provides a %s%% chance that basic attacks are executed twice.
zts1468e	Restores %s%% of max. HP (min. %s).
zts1469e	Restores %s%% of max. MP (min. %s).
zts1470e	If HP drops below %s%%, incoming damage is reduced by %s%%.
zts1471e	If HP drops below %s%%, all attacks are increased by %s%%.
zts1473e	The probability of catching a rare fish is increased by %s%%.
zts1474e	The probability of catching a rare fish is reduced by %s%%.
zts1476e	Additional HP is increased by %s%%, but cannot exceed %s%% of max HP.
zts1477e	When carrying out a basic attack, you have a %s%% chance to execute a second basic attack dealing %s%% damage.
zts1479e	Provides a %s%% chance when catching a fish to catch an extra fish.
zts1485e	If you are attacked by the Sun Wolf, this duration has a %s%% chance of increasing by 2 seconds (max. %s times).
zts1486e	If you are attacked by the Sun Wolf, this duration has a %s%% chance of decreasing by 2 seconds (max. %s times).
zts1487e	If you are attacked by the Sun Wolf, there's a %s%% chance %s is cast.
zts1488e	If you are attacked by the Sun Wolf, the damage is increased by %s%%.
zts1494e	You gain additional HP equal to %s%% of the Sun Wolf's HP. (Cannot exceed %s%% of your maximum HP.)
zts1495e	The Sun Wolf and caster have a %s%% chance to receive %s.
zts1496e	If the Sun Wolf is already dead, it is resurrected with %s%% HP.
zts1497e	If the Sun Wolf has more than %s%% HP, the Sunchaser's attack power increases by %s%%.
zts1500e	There's a %s%% chance the Sun Wolf receives the command to cast %s on the target.
zts1504e	Increases HP by %s%% of the current Rage bar.
zts1505e	When you use an attack skill, current HP is reduced by %s%%.
zts1509e	The next attack skill damage is increased by the stored damage (max. %s damage).
zts1510e	If the target is a monster, the damage from all attacks is increased by %s%%. Otherwise the player is forced to transform into the %s.
zts1514e	You transform into a powerful brown bear.
zts1515e	You transform back into a druid.
zts1516e	If you have reached Fury or Frenzy, damage increases by %s%% of the current Rage bar while this in turn drops by %s%%.
zts1522e	The Rage bar increases by %s%%.
zts1523e	The Rage bar sinks by %s%%.
zts1524e	Provides a %s%% chance to reset the used skill's cooldown.
zts1525e	Reduces attacks by %s%% of the current Rage bar.
zts1526e	Reduces the Rage bar by %s%%.
zts1532e	Increases damage from ongoing debuffs by %s%%.
zts1533e	Reduces damage from ongoing debuffs by %s%%.
zts1534e	Provides a %s%% chance to transform into the %s.
zts1535e	If you take damage %s times, %s disappears (excludes damage over time).
zts1536e	Increases damage by %s per buff stack (max. %s).
zts1537e	Increases damage by %s per debuff stack (max. %s).
zts1543e	Increases damage by %s%% proportional to distance.
zts1544e	Provides a %s%% chance per buff stack never to receive a debuff up to level %s (max. 60%%).
zts1545e	Provides a %s%% chance per buff stack to receive a debuff up to level %s (max. 60%%).
zts1546e	Restores %s HP per buff stack (max. %s).
zts1547e	Reduces %s HP per buff stack (max. %s).
zts1548e	Only applies to enemies with buffs above level %s.
zts1549e	Only applies to enemies with debuffs above level %s.
zts1552e	Stores %s%% of the damage.
zts1553e	If you have reached Fury or Frenzy, damage increases by %s%%.
zts1556e	Summons %s NPCs (%s)
zts1557e	Attack power is increased by %s%% of the Rage bar.
zts1558e	The Rage bar increases by %s%%.
zts1561e	Upon getting hit, removes one random debuff up to level %s for each attack with a %s%% chance.
zts1562e	HP is increased by (missing HP/%s)%% of damage given.
zts1563e	The damage of the next skill is increased by the damage stored by Soulripper (min. %s, max. %s).
zts1564e	If you have reached Waterfall Frenzy, damage increases by %s%% of the current Rage bar while this in turn drops by %s%%.
zts1565e	Increases damage from ongoing debuffs by %s%% per stack (max. %s%%).
zts1566e	Reduces damage from ongoing debuffs by %s%% per stack (max. %s%%).
zts1567e	Provides a %s%% chance per stack never to receive a debuff up to level %s (max. 30%%).
zts1568e	Provides a %s%% chance per stack to receive a debuff up to level %s (max. 30%%).
zts1569e	The next attack deals %s more damage per enemy hit.
zts1570e	No HP consumption
zts1571e	No HP recovery
zts1572e	When hit by another character's skill, there is a %s%% chance to reset the cooldown of the skill used.
zts1573e	When you use an attack skill, current HP is reduced by %s%%.
zts1574e	Stores %s%% of the damage caused by this skill (max. %s per target).
zts1577e	In PvP all elemental resistances are increased by %s.
zts1578e	In PvP all elemental resistances are reduced by %s.
zts1579e	You are invisible. This state will not change if you are attacked.
zts1581e	No HP/MP consumption
zts1582e	No HP/MP recovery
zts1584e	Invisible except to enemies within 5 spaces.
zts1591e	While you're attacking, there is a %s%% chance that a dragon will be summoned to attack your target and deal an extra %s%% of the damage you have already inflicted.
zts1592e	While you're attacking, there is a %s%% chance that a fire dragon will be summoned to attack your target and deal an extra %s%% of the damage you have already inflicted.
zts1593e	While you're attacking, there is a %s%% chance that an ice dragon will be summoned to attack your target and deal an extra %s%% of the damage you have already inflicted.
zts1594e	While you're attacking, there is a %s%% chance that a moonlight dragon will be summoned to attack your target and deal an extra %s%% of the damage you have already inflicted.
zts1597e	While you're attacking, there is a %s%% chance that a light dragon will be summoned to attack your target and deal an extra %s%% of the damage you have already inflicted.
zts1599e	When you take %s damage, %s disappears (damage over time does not count).
zts1601e	Restores HP equal to %s%% of the damage taken (max. %s per attack).
zts1602e	MP is increased by %s%% of damage taken (max. %s per attack).
zts1605e	Damage to low-level monsters in the Celestial Lair is increased by %s%%.
zts1606e	Damage from low-level monsters in the Celestial Lair is reduced by %s%%.
zts1608e	Damage to high-level dragons is increased by %s%%.
