zts1e	Zorro pequeño
zts1265e	Comandante Neil
zts1266e	Comandante Melki
zts1267e	Comandante Keru
zts1268e	Comandante Garton
zts1269e	Samurái de la tropa espía de Neil
zts1270e	Asesino de la tropa espía de Neil
zts1271e	Cazador de la tropa espía de Neil
zts1272e	Bombardero de la tropa espía de Neil
zts1273e	Guardián de Neil
zts1274e	Administrador del campamento de Neil
zts1275e	Maestro de llaves de Neil
zts1276e	Fisgón de la tropa espía de Neil
zts1277e	Ibrahim
zts1278e	Comandante Shoran
zts1279e	Comandante Shay
zts1280e	Explorador de la tropa espía de Neil
zts1281e	Tormenta de arena
zts1282e	Espíritu de arena
zts1283e	Gigante de arena
zts1284e	Enano de arena
zts1285e	Administrador de reliquias antiguas
zts1286e	Espíritu arena del viento
zts1287e	Gladiador arena del viento
zts1288e	Arquero arena del viento
zts1289e	Mago arena del viento
zts1290e	Guardián de la ruinas antiguas
zts1291e	Magmaros en llamas
zts1292e	Valaket en llamas
zts1293e	Valakus, Rey del Fuego
zts1294e	Perro rescoldo
zts1295e	Kertos, el Perro Demonio
zts1296e	Gigante en llamas
zts1297e	Cadena ardiente
zts1298e	Escultor en llamas
zts1299e	Katol
zts1300e	Predador en llamas
zts1301e	Alas en llamas
zts1302e	Criatura en llamas
zts1303e	Gral, el Fénix Gigante
zts1304e	Cuchilla en llamas
zts1305e	Escudo en llamas
zts1306e	Lanza en llamas
zts1307e	Grenigas, el Dios del Fuego
zts1308e	Jin Hamadin
zts1309e	Torrero Chilton
zts1310e	Guardia del puerto Tom
zts1311e	Presidente Noah
zts1312e	Hazel
zts1313e	Sacerdotisa Serizad
zts1314e	Sumo sacerdote Eladin
zts1315e	Sacerdotisa Vera
zts1316e	Riana
zts1317e	Serena
zts1318e	Nephi
zts1319e	Representante Semia
zts1320e	Paul
zts1321e	Delmon Milow
zts1322e	Guardia de los comerciantes de Akamur
zts1323e	Representante de los comerciantes de Akamur
zts1324e	Comerciante de Akamur
zts1325e	Habitante
zts1326e	Espíritu de un cazador de tesoros
zts1327e	Cazador de tesoros muerto
zts1328e	Alma de un sacerdote
zts1329e	Sacerdote muerto
zts1330e	Ladrón en reposo
zts1331e	Camello
zts1332e	Hamid
zts1333e	Sharif prisionero
zts1334e	Rushaldin
zts1335e	Kamil
zts1336e	Michol
zts1337e	Xavier
zts1338e	Velmon
zts1339e	Milicia del caos
zts1340e	Saqueador del desierto Maloren
zts1341e	Bolporti, el Tejedor de Seda
zts1342e	Habitante del Área del Caos
zts1343e	Inspector Serges
zts1344e	Viajero misterioso
zts1345e	Fantasma de Grenigas
zts1346e	Samurái de élite de Neil
zts1347e	Asesino de élite de Neil
zts1348e	Cazador de élite de Neil
zts1349e	Bombardero de élite de Neil
zts1350e	Pez de tormenta de arena
zts1351e	Prota de tormenta de arena
zts1352e	Cuchilla de tormenta de arena
zts1353e	Predador de tormenta de arena
zts1354e	Cuernocuchilla de tormenta de arena
zts1355e	Mantis de tormenta de arena
zts1356e	Escorpión de tormenta de arena
zts1357e	Basilisco de tormenta de arena
zts1358e	Pez de arena polvorienta
zts1359e	Prota de arena polvorienta
zts1360e	Cuchilla de arena polvorienta
zts1361e	Predador de arena polvorienta
zts1362e	Cuernocuchilla de arena polvorienta
zts1363e	Mantis de arena polvorienta
zts1364e	Escorpión de arena polvorienta
zts1365e	Basilisco de arena polvorienta
zts1366e	Predador de arenas movedizas
zts1367e	Mantis de arenas movedizas
zts1368e	Escorpión de arenas movedizas
zts1369e	Basilisco de arenas movedizas
zts1370e	Rastrero de tormenta de arena
zts1371e	Rastrero espinoso de tormenta de arena
zts1372e	Cactus de tormenta de arena
zts1373e	Rastrero de arena polvorienta
zts1374e	Rastrero espinoso de arena polvorienta
zts1375e	Cactus de arena polvorienta
zts1376e	Cactus de arenas movedizas
zts1377e	Zorro de tormenta de arena
zts1378e	Zorro de arena polvorienta
zts1379e	Samurái de la tropa espía de Melki
zts1380e	Asesino de la tropa espía de Melki
zts1381e	Cazador de la tropa espía de Melki
zts1382e	Bombardero de la tropa espía de Melki
zts1383e	Fisgón de la tropa espía de Melki
zts1384e	Explorador de la tropa espía de Melki
zts1385e	Maestro de llaves de Melki
zts1386e	Guardián de Melki
zts1387e	Samurái de élite de Melki
zts1388e	Asesino de élite de Melki
zts1389e	Cazador de élite de Melki
zts1390e	Bombardero de élite de Melki
zts1391e	Samurái de la tropa espía de Shay
zts1392e	Samurái de la tropa espía de Kerus
zts1393e	Asesino de la tropa espía de Kerus
zts1394e	Cazador de la tropa espía de Kerus
zts1395e	Bombardero de la tropa espía de Kerus
zts1396e	Fisgón de la tropa espía de Kerus
zts1397e	Explorador de la tropa espía de Kerus
zts1398e	Maestro de llaves de Kerus
zts1399e	Guardián de Kerus
zts1400e	Samurái de élite de Kerus
zts1401e	Asesino de élite de Kerus
zts1402e	Cazador de élite de Kerus
zts1403e	Bombardero de élite de Kerus
zts1404e	Asesino de la tropa espía de Shay
zts1405e	Samurái de la tropa espía de Garton
zts1406e	Asesino de la tropa espía de Garton
zts1407e	Cazador de la tropa espía de Garton
zts1408e	Bombardero de la tropa espía de Garton
zts1409e	Fisgón de la tropa espía de Garton
zts1410e	Explorador de la tropa espía de Garton
zts1411e	Maestro de llaves de Garton
zts1412e	Guardián de Garton
zts1413e	Samurái de élite de Garton
zts1414e	Asesino de élite de Garton
zts1415e	Cazador de élite de Garton
zts1416e	Bombardero de élite de Garton
zts1417e	Cazador de la tropa espía de Shay
zts1418e	Monje del lamento
zts1419e	Espíritu del lamento
zts1420e	Sacerdote del lamento
zts1421e	Líder del lamento
zts1422e	Monje de la perturbación
zts1423e	Espíritu de la perturbación
zts1424e	Sacerdote de la perturbación
zts1425e	Líder de la perturbación
zts1426e	Monje de la agonía
zts1427e	Espíritu de la agonía
zts1428e	Sacerdote de la agonía
zts1429e	Líder del agonía
zts1430e	Tormenta de arena del desierto
zts1431e	Espíritu de arena del desierto
zts1432e	Gigante de arena del desierto
zts1433e	Enano de arena del desierto
zts1434e	Tormenta de arena polvorienta
zts1435e	Espíritu de arena polvorienta
zts1436e	Gigante de arena polvorienta
zts1437e	Enano de arena polvorienta
zts1438e	Tormenta de arenas movedizas
zts1439e	Espíritu de arenas movedizas
zts1440e	Gigante de arenas movedizas
zts1441e	Enano de arenas movedizas
zts1442e	Espíritu de arena del volcán
zts1443e	Gladiador arena del volcán
zts1444e	Arquero arena del volcán
zts1445e	Mago arena del volcán
zts1446e	Espíritu de arena del vuelo
zts1447e	Gladiador arena del vuelo
zts1448e	Arquero arena del vuelo
zts1449e	Mago arena del vuelo
zts1450e	Espíritu de arena seca
zts1451e	Gladiador de la arena seca
zts1452e	Arquero de la arena seca
zts1453e	Mago de la arena seca
zts1454e	Bombardero de la tropa espía de Shay
zts1455e	Samurái de la tropa espía de Shoran
zts1456e	Asesino de la tropa espía de Shoran
zts1457e	Cazador de la tropa espía de Shoran
zts1458e	Bombardero de la tropa espía de Shoran
zts1459e	Samurái patrullero de Shay
zts1460e	Asesino patrullero de Shay
zts1461e	Cazador patrullero de Shay
zts1462e	Bombardero de la patrulla de Shay
zts1463e	Samurái patrullero de Shoran
zts1464e	Asesino patrullero de Shoran
zts1465e	Cazador patrullero de Shoran
zts1466e	Bombardero de la patrulla de Shoran
zts1467e	Samurái de transporte de Shay
zts1468e	Asesino de transporte de Shay
zts1469e	Cazador de transporte de Shay
zts1470e	Bombardero del transporte de Shay
zts1471e	Samurái de transporte de Shoran
zts1472e	Asesino de transporte de Shoran
zts1473e	Cazador de transporte de Shoran
zts1474e	Bombardero de transporte de Shoran
zts1475e	Samurái escolta de Shoran
zts1476e	Asesino escolta de Shoran
zts1477e	Cazador escolta de Shoran
zts1478e	Bombardero escolta de Shoran
zts1479e	Samurái escolta de Shay
zts1480e	Asesino escolta de Shay
zts1481e	Cazador escolta de Shay
zts1482e	Bombardero escolta de Shay
zts1483e	Pez de arena del desierto
zts1484e	Prota de arena del desierto
zts1485e	Cuchilla de arena del desierto
zts1486e	Predador de arena del desierto
zts1487e	Cuernocuchilla de arena del desierto
zts1488e	Mantis de arena del desierto
zts1489e	Escorpión de arena del desierto
zts1490e	Basilisco de arena del desierto
zts1491e	Pez de arena espectral
zts1492e	Prota de arena espectral
zts1493e	Cuchilla de arena espectral
zts1494e	Predador de arena espectral
zts1495e	Cuernocuchilla de arena espectral
zts1496e	Mantis de arena espectral
zts1497e	Escorpión de arena espectral
zts1498e	Basilisco de arena espectral
zts1499e	Rastrero de arena del desierto
zts1500e	Rastrero espinoso de arena del desierto
zts1501e	Cactus de arena del desierto
zts1502e	Rastrero de arena espectral
zts1503e	Rastrero espinoso de arena espectral
zts1504e	Guardián del campamento
zts1505e	Saco con higos chumbos
zts1506e	Bandera de Akamur destruida
zts1507e	Primera mercancía
zts1508e	Segunda mercancía
zts1509e	Tercera mercancía
zts1510e	Cuarta mercancía
zts1511e	Quinta mercancía
zts1512e	Sexta mercancía
zts1513e	Cofre con lista de órdenes
zts1514e	Reliquias robadas de Garton
zts1515e	Reliquias robadas
zts1516e	Baúl con pergaminos
zts1517e	Fragmento de reliquia extraño
zts1518e	Samurái de la tropa espía de Shay
zts1519e	Asesino de la tropa espía de Shay
zts1520e	Cazador de la tropa espía de Shay
zts1521e	Bombardero de la tropa espía de Shay
zts1522e	Samurái de la tropa espía de Shoran
zts1523e	Asesino de La Tropa Espía de Shoran
zts1524e	Cazador de la tropa espía de Shoran
zts1525e	Bombardero de la tropa espía de Shoran
zts1526e	Samurái de la guardia de Shoran
zts1527e	Asesino de la guardia de Shoran
zts1528e	Cazador de la guardia de Shoran
zts1529e	Bombardero de la guardia de Shoran
zts1530e	Samurái de la guardia de Shay
zts1531e	Asesino de la guardia de Shay
zts1532e	Cazador de la guardia de Shay
zts1533e	Bombardero de la guardia de Shay
zts1534e	Maestro de llaves de los ladrones del desierto
zts1535e	Guardián de los ladrones del desierto
zts1536e	Reliquias rotas
zts1537e	Reliquia destruida
zts1538e	Baúl sellado
zts1539e	Fragmentos de reliquia rotos
zts1540e	Fragmentos de reliquia rotos
zts1541e	Fragmentos de reliquia rotos
zts1542e	Fragmentos de reliquia rotos
zts1543e	Primera lápida
zts1544e	Segunda lápida
zts1545e	Tercera lápida
zts1546e	Lápida rota
zts1547e	Lápida rota
zts1548e	Lápida rota
zts1549e	Lápida rota
zts1550e	Monje muerto
zts1551e	Clérigo muerto
zts1552e	Gólem de arena polvorienta
zts1553e	Gólem de arenas movedizas
zts1554e	Gólem de arena del desierto
zts1555e	Baúl con polvo de hadas
zts1556e	Carta de los ladrones del desierto
zts1557e	Diario del viajero
zts1558e	Botellita de veneno
zts1559e	Bolsa de piel de un hada
zts1560e	Polvo de hadas de la tierra
zts1561e	Polvo de hadas del viento
zts1562e	Polvo de hadas de la arena
zts1563e	Frasquito de medicina
zts1564e	Baúl de los comerciantes de Akamur
zts1565e	Baúl perdido (campamento de Kerus)
zts1566e	Baúl perdido (campamento de Garton)
zts1567e	Mercancía perdida (Campamento de los Ladrones del Desierto)
zts1568e	Cofre Perdido (Centro de los Ladrones)
zts1569e	Baúl extraño sin descubrir
zts1570e	Roram
zts1571e	Oficial de abastecimiento Jamal
zts1572e	Oficial de abastecimiento Aaron
zts1573e	Baúl de la banda de ladrones
zts1574e	Baúl del tesoro del olvido
zts1575e	Baúl extraño
zts1576e	Isalin
zts1577e	Samurái de élite
zts1578e	Asesino de élite
zts1579e	Cazador de élite
zts1580e	Bombardero de élite
zts1581e	Comandante del campamento Neil
zts1582e	Comandante del campamento Melki
zts1583e	Comandante Kerus
zts1584e	Comandante del campamento Garton
zts1585e	Comandante Shoran
zts1586e	Comandante Shay
zts1587e	Oficial de abastecimiento Ulman
zts1588e	Samira
zts1589e	Elias
zts1590e	Eldin
zts1591e	Elly
zts1592e	Bricolador
zts1593e	Patinete mágico (h)
zts1594e	Patinete mágico (f)
zts1595e	Alfombra mágica (h)
zts1596e	Alfombra mágica (f)
zts1597e	Administrador de reliquias antiguas: observador 1
zts1598e	Administrador de reliquias antiguas: observador 2
zts1599e	Administrador de reliquias antiguas: observador 3
zts1600e	Unidad de transporte en reposo
zts1601e	Patrulla en reposo
zts1602e	Unidad de élite muerta
zts1603e	Caída de piedras
zts1604e	Habitante del puerto
zts1605e	Jack O´Lantern
zts1606e	Bomba calabaza
zts1607e	Ardilla calabaza
zts1608e	Señal de Halloween
zts1609e	Jelly rosa sellado
zts1610e	Pollito sellado
zts1611e	Soldado de asalto de los Kenkos sellado
zts1612e	Perro infernal sellado
zts1613e	Gallo de pelea sellado
zts1614e	Vampi sellado
zts1615e	Perro de Satanás sellado
zts1616e	Caballero infernal sellado
zts1617e	Gargs sellado
zts1618e	Boing sellado
zts1619e	Slade sellado
zts1620e	Demonio de fuego sellado
zts1621e	Rey cangrejo sellado
zts1622e	Bruja de hielo sellada
zts1623e	Fiera sellada
zts1624e	Gigante nebuloso sellado
zts1625e	Graylander sellado
zts1626e	Ginseng sellado
zts1627e	Rey de las tinieblas sellado
zts1628e	Gólem slade sellado
zts1634e	Tigre blanco mágico (h)
zts1635e	Tigre blanco mágico (f)
zts1636e	Tigre blanco mágico (f)
zts1638e	Nido de pájaro
zts1639e	Ardilla futbolista
zts1641e	Ardilla árbitro
zts1642e	Perro guardián de la Cueva de Cristal
zts1643e	Guardián de la puerta de la Cueva de Cristal
zts1644e	Sacerdote de la Cueva de Cristal
zts1645e	Vigilante de la Cueva de Cristal
zts1646e	Fantasma de esmeralda
zts1647e	Fantasma de zafiro
zts1648e	Fantasma de rubí
zts1649e	Perro guardián de la Cueva de Cristal invocado
zts1650e	Guardián de la puerta de la Cueva de Cristal invocado
zts1651e	Sacerdote de la Cueva de Cristal invocado
zts1652e	Vigilante de la Cueva de Cristal invocado
zts1653e	Fantasma de sombra
zts1654e	Fantasma de sombra
zts1655e	Fantasma de sombra
zts1656e	Rusty Robby
zts1657e	Cabrio mágico (m)
zts1658e	Cabrio mágico (f)
zts4789e	Rey Tubérculo
zts4790e	Gran Rey Tubérculo
zts4791e	Rey Tubérculo monstruoso
zts4792e	Gran Rey Tubérculo monstruoso
zts4793e	Patata podrida
zts4797e	Súper ardilla calabaza
zts4798e	Escoltas de Jack O'Lantern
zts4800e	Bibi Bazar
zts4801e	Profesor Asim
zts4802e	Jelly rojo sellado
zts4803e	Diablillo cornudo pequeño sellado
zts4804e	Diablillo cornudo sellado
zts4805e	Jelly oscuro sellado
zts4806e	Diablillo cornudo grande sellado
zts4807e	Lobo sellado
zts4808e	Cerdo sellado
zts4809e	Tortuga de montaña sellada
zts4810e	Lobo-león sellado
zts4811e	Yeti sellado
zts4812e	Súper ardilla Santa sellada
zts4815e	Reina Gallina
zts4816e	Rey Pollo
zts4817e	Huevo de ave gigante
zts4818e	Eggy gigante
zts4819e	Chicky saltador gigante
zts4820e	Chicky refunfuñón gigante
zts4821e	Chick Norris
zts4823e	Indicador de Pascua
zts4825e	Ardilla de unidad especial
zts4826e	Nublín Núbez (m)
zts4827e	Nublín Núbez (f)
zts4828e	Ardilla verde
zts4829e	Ardilla roja
zts4830e	Ardilla negra
zts4831e	Ardilla azul
zts4832e	Ardilla amarilla
zts4833e	Ardilla turquesa
zts4834e	Ardilla rosa
zts4835e	Gestor^del^almacén^familiar
zts4836e	Salim
zts4837e	Magmaros
zts4838e	Araña de fuego Valaket
zts4839e	Gigante de llamas
zts4840e	Cadena ardiente fuerte
zts4841e	Fantasma de lava
zts4842e	Fénix
zts4843e	Criatura en llamas
zts4844e	Samurái del equipo de exploración de los ladrones del desierto
zts4845e	Cazador del equipo de exploración de los ladrones del desierto
zts4846e	Bombardero del equipo de exploración de los ladrones del desierto
zts4847e	Sumo sacerdote del dios del fuego
zts4848e	Sombra de Kertos
zts4849e	Sombra de Valakus
zts4850e	Piedra de lava humeante
zts4851e	Guardián de las reliquias
zts4852e	Ingeniero militar de los comerciantes de Akamur
zts4853e	John, el aventurero
zts4854e	Ardilla supersamurái
zts4855e	Perro rescoldo ágil
zts4856e	Perro rescoldo mordaz
zts4857e	Cadena ardiente
zts4858e	Sombra de Kertos
zts4859e	Fantasma de lava
zts4860e	Perro rescoldo sombrío
zts4861e	Cría de Kertos
zts4862e	Magmaros sombrío
zts4863e	Valaket sombrío
zts4864e	Magmaros fuerte
zts4865e	Valaket fuerte
zts4866e	Fantasma de lava fuerte
zts4867e	Huevo de las arañas
zts4868e	Huevo de Valakus
zts4869e	Magmaros en llamas
zts4870e	Valaket en llamas
zts4871e	Gigante en llamas
zts4872e	Guardián del dios del fuego
zts4873e	Huevo del fénix
zts4874e	Volador del escobo (h)
zts4875e	Voladora del escobo (f)
zts4876e	Guía con bandera pirata
zts4877e	Capitán Pete O'Peng
zts4878e	Pirata Kangpen
zts4879e	Pirata Jackpen
zts4880e	Piratas cappen
zts4881e	Capitán Jack Panon
zts4882e	Ardilla pirata (agua)
zts4883e	Ardilla pirata (fuego)
zts4884e	Ardilla pirata (luz)
zts4885e	Ardilla pirata (sombras)
zts4886e	Mini Jackpen
zts4887e	Entrenador de mascotas de los piratas
zts4889e	Perro rescoldo
zts4890e	Grial, el Fénix Gigante
zts4891e	Espada del calor resplandeciente
zts4892e	Escudo del calor resplandeciente
zts4893e	Lanza del calor resplandeciente
zts4894e	Valoren, el ladrón del desierto
zts4895e	Diseño misterioso
zts4896e	Montón de arena brillante
zts4897e	Flor de hielo
zts4898e	Sello
zts4899e	Sello roto
zts4900e	Fantasma caído
zts4901e	Guardián del sello
zts4902e	Guardián débil del sello
zts4903e	Hoyo de lava
zts4904e	Winnie Plumablanca (m)
zts4905e	Winnie Plumablanca (f)
zts4906e	Camello mágico (m)
zts4907e	Camello mágico (f)
zts4908e	Cría de Valakus
zts4909e	Cristal de la vida
zts4910e	Fuente de lava
zts4911e	Alquimista de fuego
zts4912e	Entrenador terrorífico de mascotas
zts4913e	Eric
zts4914e	Mary
zts4915e	Nossi, el dragón (m)
zts4916e	Nossi, el dragón (f)
zts4919e	Ardilla centurión
zts4920e	Ardilla sogún
zts4921e	Ardilla Rudolf
zts4922e	Ardilla Rudolf joven
zts4923e	Entrenador de mascotas de Rudolf
zts4924e	Ardilla Rudolf joven sellada
zts4925e	Señal navideña
zts4926e	Flor^de^hielo^(misión^de^evento)
zts4927e	Iker Alud (m)
zts4928e	Isa Alud (f)
zts4929e	Cris Avalancha (m)
zts4930e	Cristi Avalancha (f)
zts4931e	Bici "Billy Boneshaker" (m)
zts4932e	Bici "Billy Boneshaker" (f)
zts4933e	Patines "Blazing Blades" (m)
zts4934e	Patines "Blazing Blades" (f)
zts4935e	Monopatín "Doni Darkslide" (m)
zts4936e	Monopatín "Doni Darkslide" (f)
zts4938e	Perro demonio Kertos fuerte
zts4939e	Jelly saltarín
zts4940e	Jelly saltarín grande
zts4941e	Jelly saltimbanqui
zts4942e	Jelly saltimbanqui grande
zts4943e	Serafín
zts4944e	Huevo misterioso
zts4945e	Saco de Pascua
zts4946e	Jelly saltarín joven
zts4947e	Jelly saltimbanqui joven
zts4948e	Ard. futbolista DE
zts4949e	Ard. futbolista FR
zts4950e	Ard. futbolista EN
zts4951e	Ard. futbolista IT
zts4952e	Ard. futbolista ES
zts4953e	Ard. futbolista PL
zts4954e	Ard. futbolista RU
zts4955e	Ard. futbolista CZ
zts4956e	Ard. futbolista TR
zts4957e	Gran Mago Kan
zts4958e	Lord Draco
zts4959e	Aquiles Vehemente
zts4960e	Gólem de Aquiles
zts4961e	Arquero calavera de Aquiles
zts4962e	Guerrero calavera de Aquiles
zts4963e	Llama de Aquiles
zts4964e	Roberto Lusso
zts4965e	Irene Williams
zts4966e	Harold de Nos
zts4967e	Gigante ígneo de Draco
zts4968e	Fantasma de lava de Draco
zts4970e	Mini Kangpen
zts4971e	Liona
zts4972e	Sombro
zts4973e	Fibi Friggus
zts4974e	Rudi Rabauke
zts4975e	Rudi Rabauke joven
zts4976e	Alma de Aegir
zts4977e	Alma de Freya
zts4978e	Alma de Barni
zts4979e	Rudi Rabauke joven sellado
zts4980e	Yeti malvado
zts4981e	Copo, el hada de las nieves
zts4982e	Conejorejo
zts4983e	Unicornio blanco
zts4984e	Unicornio blanco
zts4985e	Unicornio rosa
zts4986e	Unicornio rosa
zts4987e	Unicornio negro
zts4988e	Unicornio negro
zts4989e	Remolino gigante
zts4990e	Trampa móvil
zts4991e	Halcón de caza
zts4992e	Nube de vapor
zts4993e	Felix Frost
zts4994e	Enkidu de Glacerus
zts4995e	Gusano de hielo de Glacerus
zts4996e	Glacerus, el frío
zts4998e	Gema del alma helada
zts4999e	Zangpo
zts5000e	Falkon
zts5001e	Elisia
zts5002e	Fisgón helado
zts5003e	Soldado de lucha helado
zts5004e	Bruja de hielo helada
zts5005e	Lobo-león helado
zts5006e	Laraneya
zts5007e	Sello de hielo de Glacerus
zts5008e	Espíritu de la guarnición
zts5009e	Espíritu del guardaespaldas
zts5010e	Espíritu del arquero
zts5011e	Ovni estrafalario (m)
zts5012e	Ovni estrafalario (f)
zts5013e	Marco Pollo (m)
zts5014e	Marco Pollo (f)
zts5015e	Miniinferno
zts5016e	Pavesa
zts5017e	Garrascua
zts5018e	Tei Ken
zts5019e	Victoria
zts5020e	Steve Stuff
zts5021e	Ardilla naviera
zts5022e	Windsurfista (m)
zts5023e	Windsurfista (f)
zts5024e	Acón, el coleccionista
zts5025e	Rey ardilla
zts5026e	Ardilla cowboy
zts5028e	Clon oscuro invocado
zts5031e	Ardilla acuática
zts5032e	Ardilla de fuego
zts5033e	Minipegaso
zts5034e	Chicky refunfuñón invocado
zts5035e	Yeti invocado
zts5036e	Minirrudi
zts5037e	Jeep amarillo (m)
zts5038e	Jeep amarillo (f)
zts5039e	Jeep azul (m)
zts5040e	Jeep azul (f)
zts5041e	Jeep rojo (m)
zts5042e	Jeep rojo (f)
zts5043e	Jeep turquesa (m)
zts5044e	Jeep turquesa (f)
zts5045e	Jeep negro (m)
zts5046e	Jeep negro (f)
zts5047e	Jeep rosa (m)
zts5048e	Jeep rosa (f)
zts5049e	Ardilla ninja
zts5050e	Miniardilla ninja
zts5051e	Hechicero tenebroso
zts5052e	Caballero oscuro
zts5053e	Arquero tenebroso
zts5054e	Lobo negro
zts5055e	Caligor
zts5056e	Viajero misterioso
zts5057e	Sarakael
zts5058e	Lilith
zts5059e	Ardilla apache
zts5060e	Vulpina
zts5061e	Primogénito de míster Park
zts5062e	Segundogénito de míster Park
zts5063e	Terciogénito de míster Park
zts5064e	Zorro rabioso
zts5065e	Zorro dusi rabioso
zts5066e	Ardilla vikinga
zts5067e	Maru
zts5068e	Cesta de tartas de arroz
zts5069e	Cuerda
zts5070e	Hermanos temerosos
zts5071e	Caminante
zts5072e	Hámster tigre
zts5073e	Hámster tigre venenoso
zts5074e	Teo Terciopié
zts5075e	Bruja Laurena
zts5076e	Bestia de Laurena
zts5077e	Trozo de queso
zts5078e	Manojo de hierba
zts5079e	Diablilla Hongbi
zts5080e	Diablilla Cheongbi
zts5081e	Clon de la diablilla Hongbi
zts5082e	Clon de la diablilla Cheongbi
zts5083e	Calabaza de peregrino
zts5084e	Hungbu
zts5085e	Nolbu
zts5086e	Golondrina herida
zts5087e	Calabaza de peregrino de Hungbu
zts5088e	Calabaza de peregrino de Nolbu
zts5089e	Clon agresivo de Hongbi
zts5090e	Clon agresivo de Cheongbi
zts5092e	Planta venenosa de la condenación
zts5093e	Soldado aturdido
zts5096e	Soldado embrujado
zts5097e	Lola Cucharón
zts5098e	Rafael
zts5099e	Liebrecilla de peluche de Lola
zts5100e	Zanahoria gigante
zts5101e	Madriguera de liebres
zts5102e	Liebrecilla maestra de Lola
zts5104e	Hugo Héroe
zts5109e	Sombra del dragón de ónice
zts5110e	Rozhanik
zts5111e	Ester
zts5112e	Lazekiel
zts5113e	Zelote
zts5114e	Zenas
zts5115e	Cruzado de la segunda unidad
zts5116e	Caballero guardián de Zenas
zts5117e	Guardia real de Zenas
zts5118e	Mago protector de Zenas
zts5119e	Sacerdote de Zenas
zts5120e	Tallion
zts5121e	Rement
zts5122e	Ismatte
zts5123e	Bacoom
zts5124e	Erenia
zts5125e	Zelote de élite
zts5126e	Caballero guardián de Erenia
zts5127e	Guardia real de Erenia
zts5128e	Mago protector de Erenia
zts5129e	Sacerdote de Erenia
zts5130e	Bacoom de élite
zts5131e	Cruzado de la sexta unidad
zts5132e	Comandante de los cruzados
zts5133e	Sacerdote de la transformación
zts5134e	Sacerdote del abastecimiento
zts5135e	Experto del libro de habilidades
zts5136e	Cruzado Graham
zts5137e	Panuel
zts5138e	Eligos
zts5139e	Asael
zts5140e	Ramel
zts5141e	Zaquiel
zts5142e	Barak
zts5143e	Zepar
zts5144e	Polneus
zts5145e	Novato de la segunda unidad
zts5146e	Sacerdotisa Kelly de la segunda unidad
zts5147e	Sacerdotisa Molly de la segunda unidad
zts5148e	Vigilante Amón
zts5149e	Arcángel Lucifer
zts5150e	Campo mágico de Zenas
zts5151e	Piedra guardiana
zts5152e	Graham
zts5153e	Espadachín de los espíritus desconocido
zts5154e	Arquero de los espíritus desconocido
zts5155e	Mago de los espíritus desconocido
zts5156e	Espadachín de los espíritus de Fernon
zts5157e	Arquero de los espíritus de Fernon
zts5158e	Mago de los espíritus de Fernon
zts5159e	Caballero de la cruz herido
zts5160e	Caballero de la cruz demente
zts5161e	Caballero de la cruz manipulado
zts5162e	Espadachín de los espíritus de élite desconocido
zts5163e	Arquero de los espíritus de élite desconocido
zts5164e	Mago de los espíritus de élite desconocido
zts5165e	Espadachín de los espíritus de élite de rango bajo
zts5166e	Espadachín de los espíritus de élite de rango alto
zts5167e	Mago de los espíritus de élite de Fernon
zts5168e	Fernon incompleta
zts5169e	Alquimista de Felice
zts5170e	Líbel
zts5171e	Harpago
zts5172e	Quirel
zts5173e	Astaroth
zts5174e	Investigador del Time-space de los Caballeros de la cruz
zts5175e	Quersena
zts5176e	Eldinos
zts5177e	Capitán de dirigible
zts5178e	Cazador legendario
zts5179e	Saqueador de tumbas
zts5180e	Graham esperanzado
zts5181e	Graham del abismo
zts5182e	Pirograham
zts5183e	Graham purgador
zts5184e	Meteorito menor de Fernon
zts5185e	Meteorito mayor de Fernon
zts5186e	Cuchilla gris de Fernon
zts5187e	Cuchilla negra de Fernon
zts5188e	Hoja izquierda del Krem partido
zts5189e	Hoja derecha del Krem partido
zts5190e	Leo, el Cobarde
zts5191e	Estatua de la diosa Zenas
zts5192e	Estatua de la diosa Erenia
zts5193e	Altar de la Plaza del Templo
zts5194e	Frigg
zts5195e	Ragnar
zts5196e	Fafnir, el Codicioso
zts5197e	Erdimien
zts5198e	Utegarda
zts5199e	Observador
zts5200e	Colmillo de Fafnir
zts5201e	Diente pequeño de Fafnir
zts5202e	Colmillo roto de Fafnir
zts5203e	Diente pequeño roto de Fafnir
zts5206e	Capitán de los ladrones del desierto
zts5207e	Miembro de la banda de ladrones
zts5208e	Ladrón de élite
zts5213e	Yertirán
zts5214e	Jennifer
zts5215e	Araña del desierto
zts5216e	Gigante de arena feroz
zts5217e	Enano de arena feroz
zts5218e	Espíritu sediento
zts5219e	Sombra nocturna del desierto
zts5220e	Basilisco de arena del desierto feroz
zts5221e	Wiggler del desierto feroz
zts5222e	Espíritu del desierto
zts5223e	Anciano de los godos
zts5224e	Damisela goda
zts5225e	Capitán pirata
zts5226e	Alquimista errante del desierto
zts5227e	Tienda de armas del desierto
zts5228e	Guardián
zts5229e	Intendente
zts5230e	Rey pirata Gatifer
zts5231e	Almirante Ojo de Águila
zts5232e	Yertirán podrido
zts5233e	Dragón de huesos
zts5234e	Muerto viviente
zts5235e	Los no muertos
zts5236e	Espadachín calavera
zts5237e	Muerto errante
zts5238e	Impacto lumínico
zts5239e	Impacto lumínico oscuro
