zts1e	Nuovo item
zts1629e	Per 10 minuti i punti esperienza incrementano del 20%.[n][n]
zts1630e	Cuore di Altair
zts1631e	Si utilizza per la realizzazione del Regalo di Chilsug.[n][Attenzione][n]Questo item scompare alla fine dell'evento.[n][n]
zts1632e	Lacrima di Wega
zts1633e	Si utilizza per la realizzazione del Regalo di Chilsug.[n][Attenzione][n]Questo item scompare alla fine dell'evento.[n][n]
zts1634e	Piuma
zts1635e	Si utilizza per la realizzazione del Regalo di Chilsug.[n][Attenzione][n]Questo item scompare alla fine dell'evento.[n][n]
zts1636e	Regalo di Chilsug
zts1637e	Consegna questo regalo a chi vuoi quando si presenta un'occasione particolare. Quando il destinatario accetta il regalo, tu ricevi una benedizione che dura 50 minuti.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1638e	Cuore di ghiaccio
zts1639e	Margheritine
zts1640e	Giaggiolo
zts1641e	Campanella
zts1642e	Scaglia di pelle di Fever
zts1643e	Polvere di falena
zts1644e	Polvere di spirito
zts1645e	Gomma da masticare
zts1646e	Corno di Rumbler
zts1647e	Cristallo dell'anima
zts1648e	Foglia d'acero d'oro
zts1649e	Stame d'oro
zts1650e	Baffi di Madre talpa
zts1651e	Bottiglia d'acqua piena
zts1652e	Coda di uccello lavatore
zts1653e	Coupon durabilità
zts1654e	Si può usare, si premi il pulsante "Usa coupon"[n]nella finestra della Gestione produzione del mini gioco. Se il coupon viene utilizzato,[n]il periodo d'uso del mini gioco incrementa senza che si debbano usare unità di oro.
zts1655e	Coupon ricompensa
zts1656e	Se decidi di tenerlo, ti verrà chiesto poi se vuoi la ricompensa per il mini gioco.[n]Se lo usi,[n]verrai ricompensato due volte.[n][n]
zts1657e	Coupon produzione
zts1658e	Si attiva facendo doppio clic.[n]Si può utilizzare, se i punti produzione sono a 0.[n]Ripristina tutti i punti produzione.
zts1659e	Si attiva facendo doppio clic.[n]Ripristina 500 punti produzione.[n]
zts1660e	Zaino dell'avventuriero (10 giorni)
zts1661e	Zaino dell'avventuriero (30 giorni)
zts1662e	Zaino dell'avventuriero (60 giorni)
zts1663e	Zaino del compagno (10 giorni)
zts1664e	Zaino del compagno (30 giorni)
zts1665e	Zaino del compagno (60 giorni)
zts1666e	Cestino per animali (10 giorni)
zts1667e	Cestino per animali (30 giorni)
zts1668e	Cestino per animali (60 giorni)
zts1669e	Set Zaini (10 giorni)
zts1670e	Set Zaini (30 giorni)
zts1671e	Set Zaini (60 giorni)
zts1672e	Benedizione di Erenia
zts1673e	Benedizione dell'angelo custode
zts1674e	Benedizione Zenas
zts1675e	Set Benedizione
zts1676e	Maschera feroce A
zts1677e	Maschera feroce B
zts1678e	Maschera feroce C
zts1679e	Maschera del silenzio A
zts1680e	Maschera del silenzio B
zts1681e	Maschera del silenzio C
zts1682e	Benda dell'abisso A
zts1683e	Benda dell'abisso B
zts1684e	Benda dell'abisso C
zts1685e	Opossum marrone
zts1686e	Opossum gladiatore
zts1687e	Opossum disinfestatore
zts1688e	Acqua torbida
zts1689e	Scatola misteriosa A
zts1690e	Scatola misteriosa B
zts1691e	Scatola misteriosa C
zts1692e	Acqua impura
zts1693e	Acqua inquinata
zts1694e	Acqua pura
zts1695e	Fegato di Cerbero
zts1696e	Amplificatore della fata
zts1697e	Amplificatore d'Energia
zts1698e	Quando lo si usa, si ottengono i seguenti vantaggi per 30 giorni:[n]Verrano immessi 12 slot alle categorie "Equipaggiamento", "Principale" e "Altro", quindi si disporrà di 36 slot extra in totale.[n]Non si può utilizzare con una medaglia.[n][n]
zts1699e	Con l'aiuto del tuo NosMate[n]puoi aprire il Deposito[n]dappertutto e in qualsiasi momento. Dopo che l'animale[n]muore, questo oggetto[n]non si può utilizzare.[n]Inoltre, si deve installare un Deposito[n]nella Miniland.[n][n]
zts1700e	Il tuo NosMate riceve il 100% di punti esperienza in più.[n]La velocità di movimento incrementa di 2[n](1 ora)[n]
zts1701e	Benedizione di Ancelloan
zts1702e	Incrementa del 100% i punti esperienza lavoro e i punti esperienza battaglia.[n]Non si può combinare con le medaglie.[n][n]
zts1703e	Acqua Santa della Rinascita
zts1704e	Quando lo si usa, si ottengono i seguenti vantaggi per 10 giorni:[n]Verrano immessi 12 slot alle categorie "Equipaggiamento", "Principale" e "Altro", quindi si disporrà di 36 slot extra in totale.[n]Non si può utilizzare con una medaglia.[n][n]
zts1705e	Quando lo si usa, si ottengono i seguenti vantaggi per 60 giorni:[n]Verrano immessi 12 slot alle categorie "Equipaggiamento", "Principale" e "Altro", quindi si disporrà di 36 slot extra in totale.[n]Non si può utilizzare con una medaglia.[n][n]
zts1706e	Loopuster
zts1707e	Spada spezzata
zts1708e	Bergarce
zts1709e	Seraphion
zts1710e	Caiperu
zts1711e	Ecaracci
zts1712e	Bastone magico di Lord Mukraju
zts1713e	Bastone di Aurelius
zts1714e	Renobir
zts1715e	Cailander
zts1716e	Suphirudin
zts1717e	Ridyarce
zts1718e	Guanti di Roobraph
zts1719e	Guanti dell'esecutore
zts1720e	Scarpe della nebbia imbottite
zts1721e	Stivali di Kurukelron
zts1722e	Collana di Diareason
zts1723e	Collana di Rudiseselrun
zts1724e	Collana di Kedenoss
zts1725e	Anello di Diareason
zts1726e	Anello di Rudiseselrun
zts1727e	Anello di Kedenoss
zts1728e	Bracciale di Diareason
zts1729e	Bracciale di Rudiseselrun
zts1730e	Bracciale di Kedenoss
zts1731e	Azuris
zts1732e	Elmetto da cavaliere
zts1733e	Maschera da cavaliere
zts1734e	Incrementa gli HP di 800.[n]Ricevi un Regalo, se recuperi tutti gli item dell'evento N.O.S.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1735e	Incrementa gli MP di 800.[n]Ricevi un Regalo, se recuperi tutti gli item dell'evento N.O.S.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1736e	Incrementa gli MP e gli HP di 1.000.[n]Ricevi un Regalo, se recuperi tutti gli item dell'evento N.O.S.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1737e	Ricevi un Regalo, se recuperi tutti gli item dell'evento N.O.S.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1738e	Per un'ora, incrementa del 100% i punti esperienza ottenuti.[n][n]
zts1739e	Questo oggetto si può usare una volta al giorno per account.[n]Ricevi un Regalo.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1740e	Ricevi un Regalo una volta che hai recuperato tutti gli item dell'evento N.O.S.[n]Questo oggetto si può usare una volta al giorno per account.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts1741e	Quando si usa l'Amplificatore della fata, non si può cambiare la fata.[n][n]
zts1742e	Questo Pacco regalo contiene un dono. Fai doppio click sulla scatola per aprirla e ottenere uno dei possibili regali. Questo item scompare al termine dell'evento.[n][n]
zts1743e	Torta verde
zts1744e	Torta rossa
zts1745e	Torta bianca
zts1746e	Spazio-tempo del Basilisco
zts1747e	Spazio-tempo del Cavaliere gigante
zts1748e	Spazio-tempo di Treekun
zts1749e	Spazio-tempo di Crisos!
zts1750e	Pergamena dell'armatura di Amir
zts1751e	Pergamena delle armi di Amir A
zts1752e	Pergamena delle armi di Amir B
zts1753e	Specifiche delle armi di Amir
zts1754e	Copertina delle specifiche delle armi di Amir
zts1755e	Halit
zts1756e	Pelliccia blu
zts1757e	Frutto guasto
zts1758e	Frutto dorato
zts1759e	Locomotiva
zts1760e	Corteccia contaminata
zts1761e	Corteccia dorata
zts1762e	Radice maledetta
zts1763e	Ingranaggio gigante
zts1764e	Freccia contaminata
zts1765e	Ferro di cavallo Yak
zts1766e	Zampa di grillotalpa
zts1767e	Fungo d'oro
zts1768e	Vite gigante
zts1769e	Punta di spada
zts1770e	Molare
zts1771e	Muschio dorato
zts1772e	Coda di talpa
zts1773e	Perla di cristallo
zts1774e	Perla mortale
zts1775e	Perla lavanda
zts1776e	Perla del sangue
zts1777e	Perla zucca
zts1778e	Perla d'oro
zts1779e	Chela di granchio
zts1780e	Antenna luccicante
zts1781e	Ruota dentata
zts1782e	Corteccia putrefatta
zts1783e	Radice contaminata
zts1784e	Coda di ratto
zts1785e	Antenna scintillante
zts1786e	Questa spada è stata forgiata dal leggendario fabbro Schilbong nelle tenebrose Miniere dei Nani. Apparteneva originariamente al Signore degli Angeli e può congiungere luce e ombra.[n][n]
zts1787e	La sua lama affilata emana una sinistra e potente energia.[n][n]
zts1788e	Gli effetti della preghiera protettiva di uno spadaccino leggendario sono infusi in questa balestra e proteggono il proprietario dagli attacchi a distanza.[n][n]
zts1789e	Questo arco ha acquisito il proprio potere dopo il contatto con una Piuma d'angelo.[n][n]
zts1790e	Realizzata per mano di un angelo attraverso metodi molto complessi, questa arma assicura protezione agli eroi contro gli attacchi nemici.[n][n]
zts1791e	Un angelo con sei ali, conosciuto come Serafino, ha realizzato questo scettro magico con la benedizione di tutti gli angeli e gli ha infuso un potere enorme.[n][n]
zts1792e	Il manifesto di uno spirito impaurito è stato inciso su questa spada. La sua presenza ti accompagnerà in ogni momento.[n][n]
zts1793e	La lama spezzata di questa spada gli conferisce un'aura misteriosa che ti spingerà a compiere un allenamento davvero intenso.[n][n]
zts1794e	Rapide e terribili come un tornado, le frecce di questa arma perforano l'avversario infliggendogli un danno fatale.[n][n]
zts1795e	Grazie alla Benedizione dello spirito dell'acqua il danno e la difesa elementale vengono incrementati in modo decisivo.[n][n]
zts1796e	Un arco sui generis usato in passato da un grande imperatore.[n][n]
zts1797e	Questo pugnale era originariamente custodito dalle fate.[n]Esso possiede il loro potere e incrementa la forza elementale.[n][n]
zts1798e	Contiene lo spirito del malvagio mago Mukraju e incrementa con esso la forza elementale.[n][n]
zts1799e	Contiene l'energia del mago buono Aurelius e incrementa con essa la difesa contro gli elementi.[n][n]
zts1800e	È come se quest'arma avesse ereditato l'anima e l'onore del suo nobile proprietario, Renobir.[n][n]
zts1801e	Un'armatura con delle decorazioni a frange di fibra dorata. Senza dubbio, l'orgoglio di ogni cavaliere.[n]
zts1802e	Un sigillo inciso delle guardie elfiche. Sortisce un effetto rilassante su chi lo usa.[n]
zts1803e	Un sigillo inciso delle nobili guardie. È un onore portarlo.[n]
zts1804e	Limite di livello: 65-99[n]L'entrata si trova nel [Sotterraneo -3].[n]Si può accedere da soli o in gruppo.[n][n]
zts1805e	Spazio-tempo del Cavaliere gigante (A)
zts1806e	Limite di livello: 65-99[n]L'entrata si trova nelle [Profondità del Bosco d'Abeti ].[n]Si Può entrare soli o in gruppo.[n][n]
zts1807e	Spazio-tempo del Cavaliere gigante (B)
zts1808e	Spazio-tempo del Cavaliere gigante (C)
zts1809e	Spazio-tempo di Treekun (A)
zts1810e	Limite di livello: 65-99[n]L'entrate si trova nel [Bosco d'Abeti].[n]Si può entrare soli o in gruppo.[n][n]
zts1811e	Spazio-tempo di Treekun (B)
zts1812e	Spazio-tempo di Treekun (C)
zts1813e	Spazio-tempo di Chrysos (A)
zts1814e	Limite di livello: 65-99[n]L'entrata si trova nel [Bosco d'Aceri]. [n]Si può entrare da soli o in gruppo.[n][n]
zts1815e	Spazio-tempo di Chrysos (B)
zts1816e	Spazio-tempo di Chrysos (C)
zts1817e	Pezzo spazio-temporale (Basilisco)
zts1818e	Pezzo spazio-temporale (Cavaliere gigante)
zts1819e	Pezzo spazio-temporale (Treekun)
zts1820e	Pezzo spazio-temporale (Chrysos)
zts1821e	Fogliame
zts1822e	Cristallo delle fiamme
zts1823e	Cristallo delle onde
zts1824e	Cristallo del vento
zts1825e	Teschio perduto
zts1826e	Corna Yak
zts1827e	Corazza nera
zts1828e	Polvere nera
zts1829e	Ramo rosso
zts1830e	Grumo di fango
zts1831e	Sabbia scintillante
zts1832e	Zampa affilata
zts1833e	Cristallo dei desideri
zts1834e	Gemma nera
zts1835e	Fusto contaminato
zts1836e	Cuore del Basilisco
zts1837e	Brandello di pelle
zts1838e	Polvere di falena
zts1839e	Cristallo dello spirito del legno
zts1840e	Foglia d'oro
zts1841e	Linfa d'abete
zts1842e	Cuore temprato
zts1843e	Pelle di lucertola
zts1844e	Manto bruno
zts1845e	Guscio duro
zts1846e	Massa cellulare gigante
zts1847e	Sacco luccicante
zts1848e	Arenaria
zts1849e	Dente di sanguisuga
zts1850e	Sangue rappreso
zts1851e	Gel verde
zts1852e	Linfa contaminata
zts1853e	Non può acquistare ulteriore forza, ma possiede un Elemento luce del 35%.[n]Quando Azuris sta al tuo fianco, si risparmieranno il 20% di punti produzione.[n]
zts1854e	Cintura gemmata di Rebecca
zts1855e	Pietra insanguinata
zts1856e	Diario di Piena
zts1857e	Pagina strappata
zts1858e	Collana della pietra della fortuna
zts1859e	Bottiglia d'acqua santa
zts1860e	Ritratto di Justin
zts1861e	Cassaforte piccola
zts1862e	Chiave triangolare
zts1863e	Fazzoletto di Ruddy
zts1864e	Candeggina speciale
zts1865e	Contenitore di acqua ossigenata speciale
zts1866e	Paglia
zts1867e	Baccello di fagioli
zts1868e	Pietra focaia
zts1869e	Libro elementale dell'avventuriero
zts1870e	Spazio-tempo: Cuore gelido
zts1871e	Spazio-tempo: Distruttore
zts1872e	Spazio-tempo: Guardiano della luce
zts1873e	Spazio-tempo: Archtheridon
zts1874e	Bottiglia d'acqua speciale
zts1875e	Gli avventurieri non possono usare l'elmo.[n] Si tratta dell'elmo del Cavaliere nero leggendario. [n][n]
zts1876e	L'avventuriero non possono usare la maschera.[n] Si tratta della Maschera del Cavaliere nero leggendario.[n][n]
zts1877e	Parrucca
zts1878e	Capelli esplosi
zts1879e	Opossum marrone (Giappone)
zts1880e	Opossum disinfestatore (Giappone)
zts1881e	Maschera feroce A (Giappone)
zts1882e	Maschera feroce B (Giappone)
zts1883e	Maschera feroce C (Giappone)
zts1884e	Benda dell'abisso A (Giappone)
zts1885e	Benda dell'abisso B (Giappone)
zts1886e	Benda dell'abisso C (Giappone)
zts1887e	Maschera del silenzio A (Giappone)
zts1888e	Maschera del silenzio B (Giappone)
zts1889e	Maschera del silenzio C (Giappone)
zts1890e	Parrucca variopinta
zts1891e	Capelli esplosi rari
zts1892e	Carta speciale - Elemento luce[n][n]Con la sua ferrea forza di volontà e la sua fede, il potente spadaccino regola gli equilibri tra il bene e il male. Contro questi guardiani della giustizia il male non ha alcun potere.[n][n]
zts1893e	Carta speciale - Elemento fuoco[n][n]La sua natura distruttiva si rivela rovinosa per gli avversari che si imbattono in lui. Ardente di ferocia, elimina i suoi nemici in modo spietato.[n][n]
zts1894e	Carta speciale - Elemento acqua[n][n]Il suo cuore algido gli permette di ghiacciare il proprio corpo nelle situazioni di pericolo e di incrementare così la sua resistenza contro gli attacchi d'acqua. Egli è il signore del gelo e dei freddi.[n][n]
zts1895e	Le abilità della fata equipaggiata aumentano del 30% per un'ora.[n]Dopo l'uso, si modifica l'aspetto della fata (vale solo per le fate acquistate).[n][n]
zts1896e	Airwaves Cassis
zts1897e	Compare una faccina che mastica. [n][n]
zts1898e	Airwaves Eukalyptus
zts1899e	Airwaves Strawberry
zts1900e	Airwaves Menthol
zts1901e	Airwaves Lemon
zts1902e	Airwaves Orange
zts1903e	Onde d'aria magica
zts1904e	Cadi vittime delle Onde d'aria magica.[n][n]
zts1905e	Colorante Pita Pat
zts1906e	Il Colorante Pita Pat cambia dei tuoi capelli o l'acconciatura.[n][n]
zts1907e	Mini gioco puzzle
zts1908e	Confetti Airwaves
zts1909e	Attiva l'Effetto Airwaves. [n][n]
zts1910e	Zucca
zts1911e	Airwaves
zts1912e	Macchina da scrivere
zts1913e	Memory
zts1914e	Airwaves Cherry
zts1915e	Parrucca marrone
zts1916e	Frammento del ricordo viola
zts1917e	Genera l'odio infinito dei non morti.[n][n]
zts1918e	Frammento del ricordo verde
zts1919e	Genera una sensazione di libertà spirituale.[n][n]
zts1920e	Frammento del ricordo rosso
zts1921e	Genera l'ira del guerriero.[n][n]
zts1922e	Frammento del ricordo bianco
zts1923e	Trattato di Whitney
zts1924e	Sul frontespizio si legge "Lo studio più interessante del mese".[n]
zts1925e	Cerchietto di Natalie
zts1926e	Pare che dica: "Vivi ad ogni costo".[n]
zts1927e	Collana di Piepe
zts1928e	Si legge: "Per Piepe, la mia migliore amica, da Kupei"[n]
zts1929e	Bambola Lupo di legno
zts1930e	Ha un aspetto rozzo, ma in realtà è stata realizzata in modo molto accurato.[n]
zts1931e	Anello di Seina
zts1932e	Sull'anello si legge: "Vuoi sposarmi?"[n][n]
zts1933e	Cristallo del demone
zts1934e	Con questo cristallo puoi scovare i Demoni. Purtroppo, però, non funziona.[n][n]
zts1935e	Lancia del sacerdote incompiuta
zts1936e	Lancia del sacerdote
zts1937e	Permette di annientare i Demoni.[n][n]
zts1938e	Minerale misterioso
zts1939e	Piuma d'angelo
zts1940e	Criniera di Enkidu
zts1941e	Foglia di Seli-Lusha
zts1942e	Filo di Fever
zts1943e	Spazio-tempo: Odio infinito
zts1944e	Spazio-tempo: Eremita
zts1945e	Spazio-tempo: Fiamma nera
zts1946e	Spazio-tempo: Echekaruel Mysticaron
zts1947e	Progetto per una Lancia del sacerdote incompiuta
zts1948e	Benedizione della pietra dell'anima
zts1949e	Quando un giocatore attiva la Carta speciale, il guadagno di esperienza aumenta del 30%. (Si può utilizzare con la Benedizione di Ancelloan).[n]
zts1950e	Pergamena protettiva SP (basso)
zts1951e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 0-9. Anche se il miglioramento dovesse fallire, non perderai né l'"Anima brillante rossa", né l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1952e	Pergamena protettiva SP (alto)
zts1953e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 10-14. Anche se il miglioramento dovesse fallire, non perderai l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1954e	Pietra della rinascita dell'anima
zts1955e	Con la Pietra della rinascita dell'anima puoi ripristinare una Carta speciale distrutta.[n]Se hai una Carta speciale distrutta e usi la Pietra della rinascita dell'anima, l'anima dello Specialista verrà resuscitata e potrai servirti di nuovo della Carta speciale.[n]Inoltre, i punti speciali incrementano di 1.000.[n]
zts1956e	Pozione ripristino punti
zts1957e	Ottieni di nuovo i punti abilità distribuiti e potrai distribuirli di nuovo.[n][n]
zts1958e	Piuma d'angelo
zts1959e	La Piuma d'angelo è un materiale importante per il miglioramento delle Carte speciali.[n]Per migliorare una carta, porta la piuma a Malcolm Mix con un Cristallo di luna piena e un'Anima brillante.[n][n]
zts1960e	Anima brillante verde
zts1961e	L'Anima brillante verde è un materiale importante per il miglioramento delle Carte speciali.[n]Questo item si utilizza per l'upgrade di livello 0-4.[n][n]
zts1962e	Anima brillante rossa
zts1963e	L'Anima brillante rossa è un materiale importante per il miglioramento delle Carte speciali.[n]Questo item si utilizza per l'upgrade di livello 5-9.[n][n]
zts1964e	Anima brillante blu
zts1965e	L'Anima brillante blu è un materiale importante per il miglioramento delle Carte speciali.[n]Questo item si utilizza per l'upgrade di livello 10-14.[n][n]
zts1966e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 0-9. Anche se il miglioramento dovesse fallire, non perderai né l'"Anima brillante rossa", né l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]
zts1967e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 10-14. Anche se il miglioramento dovesse fallire, non perderai l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1968e	Quando usi una Pietra della rinascita dell'anima, dopo che la tua Carta speciale è andata distrutta, l'anima dello Specialista verrà resuscitata.[n][n]
zts1969e	La Piuma d'angelo è un materiale importante per il miglioramento delle Carte speciali.[n][n]
zts1970e	Incrementa il guadagno di esperienza del 50%. (Si può usare con la Benedizione di Ancelloan)[n][n]
zts1971e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 0-9. Anche se il miglioramento dovesse fallire, non perderai né l'"Anima brillante rossa", né l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1972e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 10-14. Anche se il miglioramento dovesse fallire, non perderai l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1973e	Quando usi una Pietra della rinascita dell'anima, dopo che la tua Carta speciale è andata distrutta, l'anima dello Specialista verrà resuscitata.[n] Incrementa i punti speciali di base di 1.000. [n]
zts1974e	Babbo Opossum
zts1975e	Pupazzo di neve
zts1976e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 0-9. Anche se il miglioramento dovesse fallire, non perderai né l'"Anima brillante rossa", né l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1977e	Puoi usare la pergamena protettiva quando migliori la tua Carta speciale di livello 10-14. Anche se il miglioramento dovesse fallire, non perderai l'"Anima brillante verde".[n][Utilizzo] L'effetto protettivo inizia non appena clicchi due volte sulla pergamena.[n]Facendo di nuovo doppio clic, l'effetto svanisce.[n](In questo caso non verrà consumata alcuna pergamena)[n]La Pergamena protettiva SP verrà consumata solo se migliorai una Carta speciale mentre l'effetto della pergamena protettiva è attivo.[n]
zts1978e	Quando usi una Pietra della rinascita dell'anima, dopo che la tua Carta speciale è andata distrutta, l'anima dello Specialista verrà resuscitata.[n][n]
zts1979e	Calza colorata
zts1980e	Stella cadente
zts1981e	Campanella di Natale
zts1982e	Regalo Evento invernale
zts1983e	Sigillo del raid Pupazzo di neve
zts1984e	Un giocatore crea il Raid Pupazzo di neve con l'aiuto di Iglus a NosVille.[n]Livello consigliato: 20-99[n][Istruzioni][n]Il giocatore diventa Leader del team.[n]Una volta che sei Leader del team, clicca sugli altri giocatori per invitarli.[n]Vai all'entrata del raid.[n]Quando il Leader del team entra, gli altri membri lo seguono automaticamente.[n][Attenzione][n]I personaggi con un livello più alto rispetto a quello raccomandato possono partecipare al raid, ma vengono penalizzati.[n](Nessun Cuore extra e nessuno Scrigno del raid anche in caso di successo)
zts1985e	Torta
zts1986e	Cioccolata calda
zts1987e	Incrementa temporaneamente gli HP e MP.[n]Guarisce i NosMate e compagni.[n]Item dell'evento di Natale.[n][n]
zts1988e	Rianima la Carta speciale distrutta. Dopo aver fatto doppio clic sulla pietra, l'anima distrutta verrà resuscitata.[n] Incrementa di 10.000 i punti speciali di base.[n][n]
zts1989e	Set Scatola misteriosa
zts1990e	Puoi ottenere una Scatola misteriosa A, una Scatola misteriosa B e una Scatola misteriosa C. Quando apri le scatole, puoi ottenere diversi item dello Shop, perle con Opossum e una nuova maschera.[n]
zts1991e	Cappello Panda
zts1992e	Costume Panda
zts1993e	Carta speciale Guardacaccia
zts1994e	Regalo
zts1995e	Un bellissimo regalo. Clicca due volte per ottenere uno di questi item. [n]
zts1996e	Carta speciale - Elemento ombra[n][n]Con il potere oscuro questo guerriero spinge l'avversario a seguire il sentiero dell'immoralità. I nemici si dimostrano impotenti nei suoi confronti e si piegano al suo volere.[n][n]
zts1997e	Carta speciale - Elemento luce[n][n]Grazie al suo sapere e all'istinto animale, riesce ad ambientarsi nella natura senza sforzo. Con la sua potenza disumana travolge ogni avversario senza problemi.[n][n]
zts1998e	Carta speciale - Elemento ombra[n]I Maghi neri portano i loro avversari alla dannazione con le arti magiche proibite. Essi acquisiscono il loro potere dalle forze maligne del diavolo.[n][n]
zts1999e	Opossum malato
zts2000e	Maialino portafortuna per l'anno nuovo
zts2001e	Ratto felice
zts2002e	Busta regalo
zts2003e	Una Busta regalo per festeggiare il nuovo anno.[n]Ottieni un item a caso o un animale raro.
zts2004e	Legno per piccolo falò
zts2005e	Il Piccolo falò brucia per 3 minuti e ti permette di cucinare un pasto semplice.[n][n]
zts2006e	Legno per grande falò
zts2007e	Il Grande falò brucia per 3 minuti e ti permette di cucinare un pasto sontuoso.[n][n]
zts2008e	Si può acquistare nello Shop.[n]Prendilo dal Ratto felice.[n][n]
zts2009e	I tuoi HP e MP si ricaricano progressivamente.[n]Se il tuo NosMate si trova vicino a te (nello spazio di tre campi), anche i suoi MP e HP verranno ricaricati.[n]Si può usare durante il riposo.[n]Item del nuovo anno![n][n]
zts2010e	Sandwich al formaggio
zts2011e	Carré
zts2012e	Ricarica i tuoi SpP.[n]Si può usare solo quando ti stai riposando.[n][n]
zts2013e	Frittata di frutta
zts2014e	Hamburger
zts2015e	Bistecca
zts2016e	Sciroppo dolce
zts2017e	Spezie
zts2018e	Acqua
zts2019e	Una Busta regalo per festeggiare il nuovo anno.[n]Ottieni un item a caso o un animale raro.
zts2020e	Costume Orso bruno
zts2021e	Costume Orso polare
zts2022e	Costume Orsacchiotto
zts2023e	Cappello Orso bruno
zts2024e	Cappello Orso Polare
zts2025e	Cappello Orsacchiotto
zts2026e	Un item dell'evento per il giorno di San Valentino.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts2027e	Item dell'evento per il giorno di San Valentino.[n]Mostra questo regalo alla persona che ti piace per consegnarglielo.[n]Se la persona lo accetta, ottieni una Benedizione di San Valentino.[n]Se lo rifiuta, il personaggio piange per un minuto.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts2028e	Incrementa temporaneamente HP e MP.[n]Guarisce NosMate e Compagni.[n]Item dell'evento per il giorno di San Valentino.[n][Attenzione][n]Questo item scompare al termine dell'evento.[n][n]
zts2029e	Uniforme da allenamento per uomo 1
zts2030e	Uniforme da allenamento per donna 1
zts2031e	Uniforme da allenamento per uomo 2
zts2032e	Uniforme da allenamento per donna 2
zts2033e	Uniforme da allenamento per uomo 3
zts2034e	Uniforme da allenamento per donna 3
zts2035e	Uniforme da allenamento per uomo 4
zts2036e	Uniforme da allenamento per donna 4
zts2037e	Abbigliamento casual da uomo 1
zts2038e	Abbigliamento casual 1 (f)
zts2039e	Abbigliamento casual 2 (m)
zts2040e	Abbigliamento casual 2 (f)
zts2041e	Abbigliamento casual 3 (m)
zts2042e	Abbigliamento casual 3 (f)
zts2043e	Abbigliamento casual 4 (m)
zts2044e	Straccio Casuale 4 per Donna
zts2045e	Abbigliamento casual 5 (m)
zts2046e	Straccio Casuale 5 per Donna
