zts1e	Основные эффекты
zts700e	Материнская любовь пробуждает сильнейший защитный инстинкт.
zts701e	Материнская любовь (E)
zts702e	Материнская любовь (D)
zts703e	Материнская любовь (C)
zts704e	Материнская любовь (B)
zts705e	Материнская любовь (A)
zts706e	Материнская любовь (S)
zts707e	Мудрость матери (F)
zts708e	Женщины сильны, а матери еще сильнее.
zts709e	Мудрость матери (E)
zts710e	Мудрость матери (D)
zts711e	Мудрость матери (C)
zts712e	Мудрость матери (B)
zts713e	Мудрость матери (A)
zts714e	Мудрость матери (S)
zts715e	Сильное кровотечение (F)
zts716e	Сильное кровотечение (E)
zts717e	Сильное кровотечение (D)
zts718e	Сильное кровотечение (C)
zts719e	Сильное кровотечение (B)
zts720e	Сильное кровотечение (A)
zts721e	Сильное кровотечение (S)
zts722e	Сообщение Фрейи (F)
zts723e	Сообщение Фрейи (E)
zts724e	Сообщение Фрейи (D)
zts725e	Сообщение Фрейи (C)
zts726e	Сообщение Фрейи (B)
zts727e	Сообщение Фрейи (A)
zts728e	Сообщение Фрейи (S)
zts729e	Супер точный выстрел Викинга (F)
zts730e	Супер точный выстрел Викинга (E)
zts731e	Супер точный выстрел Викинга (D)
zts732e	Супер точный выстрел Викинга (C)
zts733e	Супер точный выстрел Викинга (B)
zts734e	Супер точный выстрел Викинга (A)
zts735e	Супер точный выстрел Викинга (S)
zts736e	Благословение Леоны
zts737e	Благословение Леоны повышает эффективность атаки.
zts738e	Специализация Леоны
zts739e	Специализация Леоны предоставит тебе более эффективную атаку.
zts740e	Сопротивление элементу воды и сила атаки увеличены.
zts741e	Благословение Пушистого Балли
zts742e	Боевые навыки улучшаются благодаря Благословению Пушистого Балли.
zts743e	Ограничен
zts744e	Сила атаки противника ограничена.
zts746e	Дух просветления
zts747e	Дух сдержанности
zts748e	Духовная сила
zts749e	Внутренние повреждения 1 степени
zts750e	Внутренние повреждения 2 степени
zts751e	Внутренние повреждения 3 степени
zts752e	Ты не можешь что-либо сделать с нехваткой энергии.
zts753e	Подвижная ловушка
zts754e	Если подвижная ловушка достанет тебя, ты не сможешь двигаться какое-то время.
zts755e	Ослеплен
zts756e	Туман понижает точность и задерживает длительность эффекта твоей магической атаки.
zts757e	Засада
zts758e	Находясь в засаде, необходимо выждать время и подобрать подходящий момент.
zts759e	Нападение из засады
zts760e	Нападение на выбранную цель из засады.
zts761e	Жизненная энергия
zts762e	Укрепи свою жизненную энергию, впитывая энергию леса.
zts763e	Засада - позиция 1
zts764e	Благодаря своим практически беззвучным движениям ты можешь быстро появиться и напасть.
zts765e	Засада - позиция 2
zts766e	Снайпер - позиция 1
zts767e	Найди правильную позицию для снайпера. Засада также возможна.
zts768e	Снайпер - позиция 2
zts769e	Выстрел в голову
zts770e	Точный выстрел помещает цель в состояние шока.
zts771e	Засада - готовность 1
zts772e	Подготовка к эффективной атаке из засады.
zts773e	Засада - готовность 2
zts774e	Вечный лед
zts775e	Ты застрял в вечном льде и временно ничего не можешь сделать.
zts776e	Яростный крик
zts777e	Яростный крик ненадолго вызывает ощущение слабости.
zts778e	Оглушение Мандры
zts779e	Нервная система временно отключается из-за оглушения Мандры.
zts780e	Слабый яд Мандры
zts781e	Яд Мандры наносит серьезные повреждения нервной системе.
zts782e	Яд Мандры
zts783e	Сильный яд Мандры
zts784e	Смертельный яд Мандры
zts785e	Мгновенное уклонение
zts786e	Увернись от атаки, быстро повернувшись.
zts787e	Под снайперским прицелом
zts788e	Атака снайпера наносит огромный урон.
zts789e	Орлиный глаз
zts790e	Орлиный глаз поможет произвести меткую атаку на находящегося вдали соперника.
zts791e	Рык чудовища
zts792e	Рычание усиливает атаку чудовища.
zts793e	Чудовищное безумие
zts794e	Глацерус вышел из-под контроля.
zts795e	Часть полученного урона переносится на твоего союзника.
zts796e	Ты получаешь урон вместо другого игрока, и за это сила твоей защиты увеличивается.
zts797e	Благословение Лисы
zts798e	Благословение Лисы увеличивает сопротивление элементу Огня.
zts799e	Песнь сирен (ПвП)
zts800e	1 фаза: Возрождение групповой арены
zts801e	Во время возрождения/1 фазы, способность к выживанию увеличена на некоторое время.
zts802e	2 фаза: Возрождение групповой арены
zts803e	Во время возрождения/2 фазы, сила атаки увеличена на некоторое время.
zts804e	3 фаза: Возрождение групповой арены
zts805e	Во время возрождения/фазы 3, способность к выживанию, сила атаки и скорость передвижения увеличены на некоторое время.
zts806e	Плохое сочетание
zts807e	Хорошее сочетание
zts808e	Сила атаки групповой арены увеличена.
zts809e	Сила защиты групповой арены увеличена.
zts810e	Энергия групповой арены увеличена.
zts811e	Скорость передвижения групповой арены увеличена.
zts812e	Зоркость
zts813e	Благодаря зоркости можно некоторое время различать невидимого персонажа.
zts814e	Если все участники команды относятся к одному классу, у них получается плохое сочетание.
zts815e	Если все участники команды относятся к разным классам, у них получается хорошее сочетание.
zts816e	Скорость передвижения увеличена на некоторое время.
zts817e	Водяная бомба
zts819e	Благословение моряка
zts820e	Сила защиты и сопротивление воде повышены.
zts821e	Благословение Эрении
zts822e	Благословение Эрении с 50% вероятностью дает сопротивление всем плохим эффектам.
zts823e	Благословение Зенас
zts824e	Благословение Зенас блокирует весь получаемый урон. Но ты не можешь ни атаковать, ни двигаться.
zts825e	Астральная энергия
zts826e	Астральная энергия помогает твоим ОМ восстанавливаться быстрее.
zts827e	Шапка-невидимка
zts828e	Ты отлично замаскирован и другие игроки не могут тебя увидеть.
zts829e	Месть
zts830e	На мгновенье ты сможешь двигаться быстро как молния.
zts832e	Сила атаки и сопротивление воде были понижены из-за водяной бомбы.
zts835e	Увеличение очков опыта феи
zts836e	Количество очков опыта, которое получает твоя фея, увеличивается.
zts837e	Смог
zts838e	Затуманен
zts841e	Крылья титана
zts842e	Сила титана
zts843e	Путь тьмы (F)
zts844e	Усиливает элемент тьмы.
zts845e	Путь тьмы (E)
zts846e	Путь тьмы (D)
zts847e	Путь тьмы (C)
zts848e	Путь тьмы (B)
zts849e	Путь тьмы (A)
zts850e	Путь тьмы (S)
zts851e	Очарование (F)
zts852e	Вызывает сильное искушение.
zts853e	Очарование (E)
zts854e	Очарование (D)
zts855e	Очарование (C)
zts856e	Очарование (B)
zts857e	Очарование (A)
zts858e	Очарование (S)
zts859e	Сила тьмы (F)
zts860e	Высвобождает всемогущую разрушительную силу.
zts861e	Сила тьмы (E)
zts862e	Сила тьмы (D)
zts863e	Сила тьмы (C)
zts864e	Сила тьмы (B)
zts865e	Сила тьмы (A)
zts866e	Сила тьмы (S)
zts867e	Искушение (F)
zts868e	Подвергает искушению врага.
zts869e	Искушение (E)
zts870e	Искушение (D)
zts871e	Искушение (C)
zts872e	Искушение (B)
zts873e	Искушение (A)
zts874e	Искушение (S)
zts875e	Злоба (F)
zts876e	Устраняет противника со скоростью света.
zts877e	Злоба (E)
zts878e	Злоба (D)
zts879e	Злоба (C)
zts880e	Злоба (B)
zts881e	Злоба (A)
zts882e	Злоба (S)
zts883e	Помеченный (F)
zts884e	Приводит в безмолвное состояние.
zts885e	Помеченный (E)
zts886e	Помеченный (D)
zts887e	Помеченный (C)
zts888e	Помеченный (B)
zts889e	Помеченный (A)
zts890e	Помеченный (S)
zts891e	Танец пламени (F)
zts892e	Ослабляет сопротивление противника.
zts893e	Танец пламени (E)
zts894e	Танец пламени (D)
zts895e	Танец пламени (C)
zts896e	Танец пламени (B)
zts897e	Танец пламени (A)
zts898e	Танец пламени (S)
zts899e	Волшебный револьвер
zts900e	Усиливает элемент света и восполняет ОЗ
zts901e	Благословение Ковбоя
zts902e	Увеличивает сопротивление элементу света.
zts903e	Троянский конь
zts904e	Призывает троянского коня, чтобы атаковать сразу несколько врагов.
zts905e	Благословение Ниндзя
zts906e	Увеличивает сопротивление элементу тьмы.
zts907e	Крылья Архангела
zts908e	Крылья Архидемона
zts909e	Слабый удар Всевышнего
zts910e	Умение Всевышнего
zts911e	Удар Всевышнего
zts912e	Сильный удар Всевышнего
zts913e	Могущественный удар Всевышнего
zts914e	Смятение
zts915e	Наносит противнику урон, разрушая его разум.
zts916e	Броня тьмы
zts917e	Позволяет ускользнуть от опасности.
zts918e	Слабая темная энергия
zts919e	Темная энергия разрушает тело изнутри.
zts920e	Темная энергия
zts921e	Сильная темная энергия
zts922e	Проклятие
zts923e	Проклятие наносит серьезный урон.
zts924e	Иллюзия
zts925e	Иллюзия приводит к страху и ужасу.
zts926e	Гипноз
zts927e	Контролирует разум с помощью гипноза.
zts928e	Сильная остановка времени
zts929e	Останавливает противника путем контроля его восприятия времени.
zts930e	Остановка времени
zts931e	Слабая остановка времени
zts932e	Сильное колесо фортуны
zts933e	После изменения восприятия времени противника появляется положительный эффект.
zts934e	Колесо фортуны
zts935e	Слабое колесо фортуны
zts936e	Темное лезвие
zts937e	Темное лезвие уменьшает эффект исцеляющих предметов.
zts938e	Поглощение душ
zts939e	Поглощает извлеченные души.
zts940e	Метка смерти
zts941e	Противник, находящийся под меткой смерти, получает дополнительный урон от [Разделения души].
zts942e	Духовное освобождение
zts943e	Духовное освобождение выпускает поглощенные души и уменьшает время восстановления навыка.
zts944e	Сильное духовное освобождение
zts945e	Бесконечная броня
zts946e	Бесконечная броня повышает защиту и помогает избежать принудительного перемещения.
zts947e	Слабый дух берсерка
zts948e	Ярость, выпущенная духом берсерка, увеличивает силу.
zts949e	Дух берсерка
zts950e	Сильный дух берсерка
zts951e	Одержимость
zts952e	Одержимый противник получает урон, пока длится эффект. Когда эффект спадает, он переходит на другого находящегося рядом противника.
zts953e	Маятник мстительного духа
zts954e	Усиливает защитные способности на время.
zts955e	Сильная одержимость
zts956e	Переносчик получает повреждения, пока действует эффект. После этого эффект перемещается на другого находящегося рядом противника.
zts957e	Переданный переносчиком эффект. Наносит урон непрерывно в течение его действия.
zts958e	Свет Саракаэля
zts959e	Власть Саракаэля бесспорна.
zts960e	Пылающие крылья
zts961e	Морозные крылья
zts963e	Благословение Индейца
zts964e	Увеличивает сопротивление элементу огня и уменьшает полученный критический урон.
zts965e	Индейские кровные узы
zts966e	Усиление элемента огня и поджигание нескольких врагов, находящихся поблизости.
zts967e	Чары Фокси
zts968e	Полное покорение и повиновение чарам Фокси.
zts969e	Красный флакон
zts970e	В этом тонком стеклянном сосуде хранится особый уникальный эффект.
zts971e	Чарующий дурман (F)
zts972e	Фокси покоряет всех своей красотой.
zts973e	Чарующий дурман (E)
zts974e	Чарующий дурман (D)
zts975e	Чарующий дурман (C)
zts976e	Чарующий дурман (B)
zts977e	Чарующий дурман (A)
zts978e	Чарующий дурман (S)
zts979e	Пушистый хвостик (F)
zts980e	Девять пушистых и такииих мягких хвостиков!
zts981e	Пушистый хвостик (E)
zts982e	Пушистый хвостик (D)
zts983e	Пушистый хвостик (C)
zts984e	Пушистый хвостик (B)
zts985e	Пушистый хвостик (A)
zts986e	Пушистый хвостик (S)
zts987e	Пронзительный крик (F)
zts988e	Режущий слух крик Фокси.
zts989e	Пронзительный крик (E)
zts990e	Пронзительный крик (D)
zts991e	Пронзительный крик (C)
zts992e	Пронзительный крик (B)
zts993e	Пронзительный крик (A)
zts994e	Пронзительный крик (S)
zts995e	Благословение Одина
zts996e	Повышение сопротивления элементу воды, снижение времени восстановления навыков и периодическое восстановление ОМ.
zts997e	Гнев Одина
zts998e	Повышение сопротивления плохим эффектам и получаемому урону.
zts999e	Сила тигра
zts1000e	Тигр восстает.
zts1001e	Уменьшение скорости передвижения.
zts1002e	Кунжутное масло
zts1003e	Старое кунжутное масло
zts1004e	Кружение
zts1005e	Ощущение головокружения.
zts1006e	Серьезная кровопотеря (F)
zts1007e	Серьезная кровопотеря началась.
zts1008e	Серьезная кровопотеря (E)
zts1009e	Серьезная кровопотеря (D)
zts1010e	Серьезная кровопотеря (C)
zts1011e	Серьезная кровопотеря (B)
zts1012e	Серьезная кровопотеря (A)
zts1013e	Серьезная кровопотеря (S)
zts1014e	Страшная буря (F)
zts1015e	Буря тигра не оказывает эффекта на персонажей и монстров высокого уровня.
zts1016e	Страшная буря (E)
zts1017e	Страшная буря (D)
zts1018e	Страшная буря (C)
zts1019e	Страшная буря (B)
zts1020e	Страшная буря (A)
zts1021e	Страшная буря (S)
zts1022e	Сила тигра (F)
zts1023e	Тигр восстает.
zts1024e	Сила тигра (E)
zts1025e	Сила тигра (D)
zts1026e	Сила тигра (C)
zts1027e	Сила тигра (B)
zts1028e	Сила тигра (A)
zts1029e	Сила тигра (S)
zts1030e	Быстрая рука
zts1031e	Пока действует этот эффект, каждый нанесенный удар является критическим.
zts1033e	Суп из красной фасоли
zts1034e	Мое сокровище, твое сокровище
zts1035e	Чонгби и Хонгби сильнее, когда они вместе.
zts1036e	Благословение дьявола
zts1037e	Получает неполное благословение.
zts1038e	Колючий кустарник
zts1039e	Темная магия Лорены использует шипы для обездвиживания.
zts1040e	Аромат проклятия (Червь)
zts1041e	Темная магия Лорены превращает цель в червя.
zts1042e	Аромат проклятия (Крыса)
zts1043e	Темная магия Лорены превращает цель в крысу.
zts1044e	Дубина с шипами (F)
zts1045e	Осторожно, дьявольская боль!
zts1046e	Дубина с шипами (E)
zts1047e	Дубина с шипами (D)
zts1048e	Дубина с шипами (C)
zts1049e	Дубина с шипами (B)
zts1050e	Дубина с шипами (A)
zts1051e	Дубина с шипами (S)
zts1052e	Клон беса (F)
zts1053e	Призывает агрессивного клона беса.
zts1054e	Клон беса (E)
zts1055e	Клон беса (D)
zts1056e	Клон беса (C)
zts1057e	Клон беса (B)
zts1058e	Клон беса (A)
zts1059e	Клон беса (S)
zts1060e	Шляпа беса (F)
zts1061e	Использует способность беса исчезать в воздухе.
zts1062e	Шляпа беса (E)
zts1063e	Шляпа беса (D)
zts1064e	Шляпа беса (C)
zts1065e	Шляпа беса (B)
zts1066e	Шляпа беса (A)
zts1067e	Шляпа беса (S)
zts1068e	Карающий свет (F)
zts1069e	Наказывает врага силой, данной ему светом.
zts1070e	Карающий свет (E)
zts1071e	Карающий свет (D)
zts1072e	Карающий свет (C)
zts1073e	Карающий свет (B)
zts1074e	Карающий свет (A)
zts1075e	Карающий свет (S)
zts1076e	Световая метка (F)
zts1077e	Яркая световая метка.
zts1078e	Световая метка (E)
zts1079e	Световая метка (D)
zts1080e	Световая метка (C)
zts1081e	Световая метка (B)
zts1082e	Световая метка (A)
zts1083e	Световая метка (S)
zts1084e	Божье имя (F)
zts1085e	Ослабляет врага божьей силой.
zts1086e	Божье имя (E)
zts1087e	Божье имя (D)
zts1088e	Божье имя (C)
zts1089e	Божье имя (B)
zts1090e	Божье имя (A)
zts1091e	Божье имя (S)
zts1092e	Сила очищения
zts1093e	Эффект порошка снимает ужасное настроение.
zts1094e	Ужасное настроение
zts1095e	Ведьма Лорена поглощает жизненную силу.
zts1096e	Аромат проклятия (Пыш)
zts1097e	Проклятая магия Лорены превращает цель в пышнохвоста.
zts1098e	Магические оковы
zts1099e	Позволяет использовать элементальные навыки врага.
zts1100e	Пламя
zts1101e	Энергия огня
zts1102e	Лед
zts1103e	Энергия воды
zts1104e	Нимб
zts1105e	Энергия света
zts1106e	Без элемента
zts1107e	Нейтральная энергия
zts1108e	Тьма
zts1109e	Быстрая дорога 1
zts1110e	Эффект снимается во время атаки, нанося дополнительный урон.
zts1111e	Быстрая дорога 2
zts1112e	Быстрая дорога 3
zts1113e	Магическое заклинание
zts1114e	Мастер заклинаний
zts1115e	Усиливает навык до предела на определенное время.
zts1116e	Осветляющий порошок
zts1117e	Помечен осветляющим порошком. Получает дополнительный урон от священного взрыва.
zts1118e	Памятник
zts1119e	Запоминает место для дальнейшей телепортации.
zts1120e	Просвещение
zts1121e	Божье благословение
zts1122e	Быстрое лезвие
zts1123e	Замедляется из-за ранения.
zts1124e	Кара проклятия
zts1125e	Обездвижен(а) силой проклятия.
zts1126e	Кара
zts1127e	Не может избегать атак определенное время.
zts1128e	Святилище
zts1129e	Сильно ослабляет регенерацию.
zts1130e	Воспламенение
zts1131e	Священная сила окутывает меч, увеличивая наносимый урон.
zts1132e	Замыкание
zts1133e	Священная сила окутывает тело, увеличивая защиту.
zts1134e	Распад
zts1135e	Использует силу проклятия и наносит дополнительный урон от преобразования.
zts1136e	Темный рывок
zts1137e	Энергия для рывков усиливается до предела.
zts1138e	Пульс света (F)
zts1139e	Поражен(а) сильнейшей световой энергией.
zts1140e	Пульс света (E)
zts1141e	Пульс света (D)
zts1142e	Пульс света (C)
zts1143e	Пульс света (B)
zts1144e	Пульс света (A)
zts1145e	Пульс света (S)
zts1146e	Колючий кустарник (F)
zts1147e	Обездвижен(а) шипами.
zts1148e	Колючий кустарник (E)
zts1149e	Колючий кустарник (D)
zts1150e	Колючий кустарник (С)
zts1151e	Колючий кустарник (B)
zts1152e	Колючий кустарник (A)
zts1153e	Колючий кустарник (S)
zts1154e	Аромат проклятия (F)
zts1155e	Ослаблен(а) ароматом проклятия.
zts1156e	Аромат проклятия (E)
zts1157e	Аромат проклятия (D)
zts1158e	Аромат проклятия (C)
zts1159e	Аромат проклятия (B)
zts1160e	Аромат проклятия (A)
zts1161e	Аромат проклятия (S)
zts1162e	Обездвижен(а) колючим кустарником.
zts1163e	Ты ослаблен(а) ароматом проклятия.
zts1164e	Благословение ведьмы
zts1165e	Получает благословение ведьмы от Лорены.
zts1166e	Провокация
zts1167e	Провоцирует соперника высокомерным поведением.
zts1168e	Жестокость
zts1169e	Крайне раздражен и зол.
zts1170e	Адское пламя (F)
zts1171e	Адское пламя
zts1172e	Адское пламя (E)
zts1173e	Адское пламя (D)
zts1174e	Адское пламя (C)
zts1175e	Адское пламя (B)
zts1176e	Адское пламя (A)
zts1177e	Адское пламя (S)
zts1178e	Кипение (F)
zts1179e	Кипение
zts1180e	Кипение (E)
zts1181e	Кипение (D)
zts1182e	Кипение (C)
zts1183e	Кипение (B)
zts1184e	Кипение (A)
zts1185e	Кипение (S)
zts1186e	Заколдованный трут (F)
zts1187e	Уменьшает урон благодаря использованию  Заколдованного трута.
zts1188e	Заколдованный трут (E)
zts1189e	Заколдованный трут (D)
zts1190e	Заколдованный трут (C)
zts1191e	Заколдованный трут (B)
zts1192e	Заколдованный трут (A)
zts1193e	Заколдованный трут (S)
zts1194e	Пакт тьмы
zts1195e	Пакт тьмы повышает скорость атаки.
zts1196e	Зловещая тень
zts1197e	Помогает тебе разгромить врага смертоносной атакой.
zts1198e	Быстрые ноги
zts1199e	Максимизирует способность избегать физических атак.
zts1200e	Священный щит
zts1201e	Божественная сила защищает тебя от вражеских атак
zts1202e	С некоторой вероятностью скрывает тебя от противников на случайное количество времени.
zts1203e	Бросок через бедро
zts1204e	Быстрый и ловкий рывок.
zts1205e	Колючая трава
zts1206e	Трава оставляет ощущение зуда на коже.
zts1207e	Морковный яд
zts1208e	Морковный яд Лолы имеет очень эффективное действие.
zts1209e	Мурашки по коже
zts1210e	Остановка времени
zts1211e	Один из талантов долгоживущей черепашки.
zts1212e	Любовь-морковь
zts1213e	Приманивает кролика огромной морковкой. Исчезает сразу после уничтожения гигантского овоща.
zts1214e	Колючая трава (F)
zts1215e	Колючая трава (E)
zts1216e	Колючая трава (D)
zts1217e	Колючая трава (C)
zts1218e	Колючая трава (B)
zts1219e	Колючая трава (A)
zts1220e	Колючая трава (S)
zts1221e	Морковный яд (F)
zts1222e	Морковный яд (E)
zts1223e	Морковный яд (D)
zts1224e	Морковный яд (C)
zts1225e	Морковный яд (B)
zts1226e	Морковный яд (A)
zts1227e	Морковный яд (S)
zts1228e	Бросок через бедро (F)
zts1229e	Бросок через бедро (E)
zts1230e	Бросок через бедро (D)
zts1231e	Бросок через бедро (C)
zts1232e	Бросок через бедро (B)
zts1233e	Бросок через бедро (A)
zts1234e	Бросок через бедро (S)
zts1235e	Прицеливание (F)
zts1236e	Цель захвачена, опасность неминуема!
zts1237e	Прицеливание (E)
zts1238e	Прицеливание (D)
zts1239e	Прицеливание (C)
zts1240e	Прицеливание (B)
zts1241e	Прицеливание (A)
zts1242e	Прицеливание (S)
zts1243e	Ловушка (F)
zts1244e	Свобода передвижения временно ограничена из-за атак.
zts1245e	Ловушка (E)
zts1246e	Ловушка (D)
zts1247e	Ловушка (C)
zts1248e	Ловушка (B)
zts1249e	Ловушка (A)
zts1250e	Ловушка (S)
zts1251e	Огневая поддержка (F)
zts1252e	Мощная огневая поддержка.
zts1253e	Огневая поддержка (E)
zts1254e	Огневая поддержка (D)
zts1255e	Огневая поддержка (C)
zts1256e	Огневая поддержка (B)
zts1257e	Огневая поддержка (A)
zts1258e	Огневая поддержка (S)
zts1259e	Молитва Анкеллоан
zts1260e	Благословлен(а) силой Анкеллоан.
zts1261e	Призрак Анкеллоан
zts1263e	Золотые крылья
zts1264e	Ониксовые крылья
zts1265e	Абсолютный ноль (F)
zts1266e	ОМ стремительно падает.
zts1267e	Абсолютный ноль (E)
zts1268e	Абсолютный ноль (D)
zts1269e	Абсолютный ноль (C)
zts1270e	Абсолютный ноль (B)
zts1271e	Абсолютный ноль (A)
zts1272e	Абсолютный ноль (S)
zts1273e	Пузырчатый взрыв (F)
zts1274e	Быстро теряет ОЗ
zts1275e	Пузырчатый взрыв (E)
zts1276e	Пузырчатый взрыв (D)
zts1277e	Пузырчатый взрыв (C)
zts1278e	Пузырчатый взрыв (B)
zts1279e	Пузырчатый взрыв (A)
zts1280e	Пузырчатый взрыв (S)
zts1281e	Быстро теряет ОЗ Получает огромный урон от критического удара
zts1282e	Ледяная вспышка (F)
zts1283e	Невозможно использовать навыки из-за внезапного обморожения.
zts1284e	Ледяная вспышка (E)
zts1285e	Невозможно использовать навыки из-за внезапного обморожения.
zts1286e	Ледяная вспышка (D)
zts1287e	Ледяная вспышка (C)
zts1288e	Ледяная вспышка (B)
zts1289e	Ледяная вспышка (A)
zts1290e	Ледяная вспышка (S)
zts1291e	Невозможно использовать навыки из-за внезапного обморожения. Все сопротивления снижены.
zts1292e	Ледяной туман (F)
zts1293e	Из-за плохой видимости сложно найти врага.
zts1294e	Ледяной туман (E)
zts1295e	Ледяной туман (D)
zts1296e	Ледяной туман (C)
zts1297e	Ледяной туман (B)
zts1298e	Ледяной туман (A)
zts1299e	Ледяной туман (S)
zts1300e	Морозный укус (F)
zts1301e	Невозможно избежать воздействия пронизывающего холода.
zts1302e	Морозный укус (E)
zts1303e	Морозный укус (D)
zts1304e	Морозный укус (C)
zts1305e	Морозный укус (B)
zts1306e	Морозный укус (A)
zts1307e	Морозный укус (S)
zts1308e	Ледяной блеск (F)
zts1309e	Создает тонкий слой льда для кражи полезных эффектов врага.
zts1310e	Ледяной блеск (E)
zts1311e	Ледяной блеск (D)
zts1312e	Ледяной блеск (C)
zts1313e	Ледяной блеск (B)
zts1314e	Ледяной блеск (A)
zts1315e	Ледяной блеск (S)
zts1316e	Ужасная рана (F)
zts1317e	Глубокая и опасная рана, которую трудно залечить.
zts1318e	Ужасная рана (E)
zts1319e	Ужасная рана (D)
zts1320e	Ужасная рана (C)
zts1321e	Ужасная рана (B)
zts1322e	Ужасная рана (A)
zts1323e	Ужасная рана (S)
zts1324e	Грабеж (F)
zts1325e	Порази врага, чтобы украсть его сокровища.
zts1326e	Грабеж (E)
zts1327e	Грабеж (D)
zts1328e	Грабеж (C)
zts1329e	Грабеж (B)
zts1330e	Грабеж (A)
zts1331e	Грабеж (S)
zts1332e	Испуг (F)
zts1333e	Скован страхом из-за корабля-призрака.
zts1334e	Испуг (E)
zts1335e	Испуг (D)
zts1336e	Испуг (C)
zts1337e	Испуг (B)
zts1338e	Испуг (A)
zts1339e	Испуг (S)
zts1340e	Режим ярости
zts1341e	Счетчик ярости заполнен.
zts1342e	Плакса
zts1343e	Забывчивая Эрения
zts1344e	Безрассудная Зенас
zts1345e	Где мой рог?
zts1346e	Забывчивая Эрения забыла, что уже использовала свой рог.
zts1347e	Верни мои туфли!
zts1348e	Она сожалеет, что швырнула свою туфлю.
zts1349e	Созданный рог
zts1350e	Грация Эрении
zts1351e	Роскошные туфли
zts1352e	Благодать Зенас
zts1353e	Борьба с болью
zts1354e	Благословение Анкеллоан
zts1355e	Грация Анкеллоан
zts1356e	Ты возрождаете Грацию Анкеллоан благодаря спасению крестоносца.
zts1357e	Печаль крестоносца
zts1358e	Кормится злобой крестоносца.
zts1359e	Проклятие Эрении
zts1360e	Проклятие Эрении
zts1361e	Проклятие Зенас
zts1362e	Проклятие Зенас
zts1363e	Защита Анкеллоан
zts1364e	Проклятие Анкеллоан
zts1365e	Проклятие Анкеллоан невероятно сильное.
zts1366e	Отвращение Зенас
zts1367e	Зенас очень возмущена.
zts1368e	Режим ярости
zts1369e	Счетчик ярости заполнен.
zts1370e	Хитрость
zts1371e	Исчезновение за мгновение.
zts1376e	Сотрясение (F)
zts1377e	Головокружение, вызванное ударом плюшевым мишкой.
zts1378e	Сотрясение (E)
zts1379e	Сотрясение (D)
zts1380e	Сотрясение (C)
zts1381e	Сотрясение (B)
zts1382e	Сотрясение (A)
zts1383e	Сотрясение (S)
zts1384e	Кукловодство (F)
zts1385e	Превращен мощью кукловода.
zts1386e	Кукловодство (E)
zts1387e	Кукловодство (D)
zts1388e	Кукловодство (C)
zts1389e	Кукловодство (B)
zts1390e	Кукловодство (A)
zts1391e	Кукловодство (S)
zts1392e	Гигантизм (F)
zts1393e	Гигантский плюшевый мишка поедает душу своего владельца.
zts1394e	Гигантизм (E)
zts1395e	Гигантизм (D)
zts1396e	Гигантизм (C)
zts1397e	Гигантизм (B)
zts1398e	Гигантизм (A)
zts1399e	Гигантизм (S)
zts1400e	Русская рулетка (F)
zts1401e	Смертельная игра.
zts1402e	Русская рулетка (E)
zts1403e	Русская рулетка (D)
zts1404e	Русская рулетка (C)
zts1405e	Русская рулетка (B)
zts1406e	Русская рулетка (A)
zts1407e	Русская рулетка (S)
zts1408e	Чары Арлекина (F)
zts1409e	Проделки одного из цирковых фантомов.
zts1410e	Чары Арлекина (E)
zts1411e	Чары Арлекина (D)
zts1412e	Чары Арлекина (C)
zts1413e	Чары Арлекина (B)
zts1414e	Чары Арлекина (A)
zts1415e	Чары Арлекина (S)
zts1416e	Ошеломление (F)
zts1417e	Потеря сознания от ошеломления.
zts1418e	Ошеломление (E)
zts1419e	Ошеломление (D)
zts1420e	Ошеломление (C)
zts1421e	Ошеломление (B)
zts1422e	Ошеломление (A)
zts1423e	Ошеломление (S)
zts1424e	Мегамандра (F)
zts1425e	Призывает огромную мандру, которая атакует врага.
zts1426e	Мегамандра (E)
zts1427e	Мегамандра (D)
zts1428e	Мегамандра (C)
zts1429e	Мегамандра (B)
zts1430e	Мегамандра (A)
zts1431e	Мегамандра (S)
zts1432e	Тюрьма из оков (F)
zts1433e	Обездвижен оковами из корней.
zts1434e	Тюрьма из оков (E)
zts1435e	Тюрьма из оков (D)
zts1436e	Тюрьма из оков (C)
zts1437e	Тюрьма из оков (B)
zts1438e	Тюрьма из оков (A)
zts1439e	Тюрьма из оков (S)
zts1440e	Смена положения (F)
zts1441e	Меняется местами с целью на короткий период времени.
zts1442e	Смена положения (E)
zts1443e	Смена положения (D)
zts1444e	Смена положения (C)
zts1445e	Смена положения (B)
zts1446e	Смена положения (A)
zts1447e	Смена положения (S)
zts1448e	Взмах меча (F)
zts1449e	Случайный порез вызывает критическое кровотечение.
zts1450e	Взмах меча (E)
zts1451e	Взмах меча (D)
zts1452e	Взмах меча (C)
zts1453e	Взмах меча (B)
zts1454e	Взмах меча (A)
zts1455e	Взмах меча (S)
zts1456e	Промах (F)
zts1457e	Тяжелый урон подвергает тебя опасности.
zts1458e	Промах (E)
zts1459e	Промах (D)
zts1460e	Промах (C)
zts1461e	Промах (B)
zts1462e	Промах (A)
zts1463e	Промах (S)
zts1464e	Цветочный отражатель (F)
zts1465e	Когда ты получаешь урон, часть его отражается. Навыки, все действие которых заключается только в нанесении негативных эффектов, не могут быть отражены.
