zts1e	Магазин инструментов Тео (использование)
zts1587e	Что-нибудь особое произошло в городе?
zts1588e	Очень тихо. Приходи и навести нас. Мне нужно рассказать тебе пару вещей. Мастер хотел тоже бы узнать, как у тебя обстоят дела.
zts1589e	Ха-ха... Да....конечно я хочу....
zts1590e	Я исследую это место некоторое время.
zts1591e	Я пойду вместе с тобой!
zts1592e	Хммм?
zts1593e	Что-то случилось?
zts1594e	Нет, ничего. Ужасный запах, от него так тошно.
zts1595e	Запах Дьявола. Я испытываю отвращение к этому.
zts1596e	Я говорю не о запахе Дьявола. Это что-то другое.
zts1597e	От этого запаха у меня голова болит.
zts1598e	Это Кэтси!!
zts1599e	ХоХоХоХо~~~~
zts1600e	А ну стоять!! Ты, уродливое существо!!
zts1601e	Вы неблагодарные негодяи! Я ухожу!
zts1602e	Где это? Хм?
zts1603e	Бесполезно. Она исчезла. Но теперь у нас тут другая компания.
zts1604e	Кенель! У меня вопрос. Кто эта Катси?
zts1605e	Отвратительный вид!
zts1606e	От?.. Отвратительный?
zts1607e	Они источают странные запахи, носят смешные имена и причудливую одежду!
zts1608e	Хмм... Я не понимаю тебя... Почему они отвратительны?
zts1609e	Давай больше не будем об этом говорить.
zts1610e	Почему ты говоришь такое? Это очень жестоко.
zts1611e	Не обращай внимания на эти глупые истории!
zts1612e	Но тебе это не кажется странным?
zts1613e	Я не хочу больше об этом говорить. И давай выбираться отсюда. Нет смысла искать дальше.
zts1614e	(Впереди виднеется то, что осталось от Фернон. Несмотря на то, что жизнь покинула ее и она увядает, она все еще выглядит опасной.)
zts1615e	Это из-за Фернон? Демоны стали еще более агрессивными и жестокими. Фернон спит, так ведь?
zts1616e	Фернон не спит.
zts1617e	Кто? Кто здесь?
zts1618e	Хаха!!! Лучше следи за Дьяволами.
zts1619e	Кто это, черт подери?
zts1620e	Хм! Ты лучше, чем я думал. Хаха...
zts1621e	Где ты? Выйди и поговорим лицом к лицу!
zts1622e	Может быть, я здесь... или здесь...
zts1623e	Если тебе так интересно, найди меня.
zts1624e	Что?! Это шутка??
zts1625e	Ооп.. отличная работа!
zts1626e	Вот это! Ты это сделал?
zts1627e	Нет.
zts1628e	Вы смеетесь надо мной?
zts1629e	Хехе У меня нет времени смеяться над тобой, ты видишь?
zts1630e	Ты видишь рычаг в центре экрана?
zts1631e	Хммм.. да?
zts1632e	Потяни его
zts1633e	Эй, кто ты такой??? Почему ты смеешься надо мной?
zts1634e	Хм... Я никогда не смеялся над тобой.
zts1635e	Прекрати валять дурака и покажись!
zts1636e	Может быть, в соседней комнате...
zts1637e	Что?
zts1638e	Хахаха! Обещаю, ты найдешь меня там! Давай же, почему бы нам не поболтать за чашечкой кофе?
zts1639e	Где ты? Покажись немедленно!!
zts1640e	Та-да!
zts1641e	Иееекс!
zts1642e	Приятно познакомиться. Меня зовут Катлотт де Уайтвайн! Я благородная принцесса семьи Форест!
zts1643e	Что... что... что ты такое?
zts1644e	Ты, идиот! Ты что никогда раньше не видел Кэтси?
zts1645e	Хахаха, Кэтси! Я в первый раз слышу это имя.
zts1646e	Нет, нет!
zts1647e	Ну да, в любом случае рад тебя встретить. Что хочешь выпить? Кофе, красный чай, какао, свежий фруктовый сок...хмм, есть также минеральная вода, если ты ничего из того не хочешь.
zts1648e	Я... Мне они не нужны! Ответь просто на мой вопрос!
zts1649e	Мне стыдно!!! Ты меня так обследуешь, как будто я преступник.
zts1650e	Закрой свой рот! Почему ты меня преследуешь?
zts1651e	Никогда и не собирался.
zts1652e	А что это было тогда?
zts1653e	Я тут ни при чем!
zts1654e	Ты что шутишь надо мной?
zts1655e	С чего бы мне это делать? Хаха!
zts1656e	(Она что-то скрывает... По лицу видно.)
zts1657e	Не смотри так на меня, ты меня смущаешь!
zts1658e	Так что ты здесь делаешь?
zts1659e	Я? Я пленник Фернон.
zts1660e	Что?
zts1661e	Пленник Фернон! Да, это я! Тебе удалось спасти меня, слово рыцарю в сияющих доспехах и на белом коне! Спасибо тебе!
zts1662e	Если ты пленник, то это означает, что у тебя нет никаких отношений с Дьяволами?
zts1663e	Конечно, нет! Здесь была пара монстров, которая сторожила меня, но благодаря тебе я снова наслаждаюсь свободой! Хохо!
zts1664e	(Все очень странно. Аж голова болит.)
zts1665e	Ты...
zts1666e	А ты ничего. Должен я сказать.
zts1667e	О! Только не приближайся!
zts1668e	Тогда пока !! Хехе!!
zts1669e	Кенэль!! Что происходит?
zts1670e	Они здесь!!!
zts1671e	Они?
zts1672e	Противные Катси!!
zts1673e	Аааа!
zts1674e	Я не знаю, почему они начали нас беспокоить. Но если они так хотят, они получат сполна. Давайте нападём на них здесь.
zts1675e	Солдат 1: Да!
zts1676e	Солдат 2: Да, сэр!
zts1677e	Ты! Человек!
zts1678e	А, а ты кто?
zts1679e	Меня зовут Сенил Клубничный Пирог. Я предводительница Белых Колдуньей Шипа Розы и являюсь самой главной колдуньей  в Кэтси. Я хотела бы узнать правильный путь, пожалуйста, помоги мне.
zts1680e	Ах, да!! Скажите мне, пожалуйста.
zts1681e	Ты знаешь, где живут нечестные Ковольты?
zts1682e	Аа!!!
zts1683e	Я не знаю, почему ты так удивлен, но если мой вопрос был слишком невежливым, я прошу прощения.
zts1684e	Нет, не все. Но прежде чем я тебе отвечу, я хочу задать тебе один вопрос.
zts1685e	Да, как ты хочешь.
zts1686e	Скажи мне, кэтси. Что ты думаешь о ковольтах?
zts1687e	Эти глупые, дикие и грязные существа... я не хочу их упоминать даже.
zts1688e	Так зачем они тебе?
zts1689e	Чтобы наказать их за их невежество!
zts1690e	Ковольты здесь мои друзья. Это главная причина, почему я не могу тебе ответить!
zts1691e	О!!! Ты друг Ковольтов?
zts1692e	Я тебя не знаю! Возвращайся назад, если ты хочешь биться с моими друзьями!
zts1693e	Ой!!! Если ты друг Ковольтов?!
zts1694e	(Сенил усмехается).
zts1695e	...Тогда ты наш враг!
zts1696e	Белые Колдуньи Шипа Розы!!! Накажите его!!!
zts1697e	Белая Колдунья Шипа Розы: Именем Шипов Розы!!!!
zts1698e	Ааааа!
zts1699e	Не убивай его! Мы оставим его в живых до тех пор, пока узнаем, где находится эта мерзкая деревня Ковольтов!
zts1700e	Белая Колдунья Шипа Розы: Так точно, командир!!!
zts1701e	Такое возможно?
zts1702e	*Бууум!* (Ты слышишь грохот, как при взрыве. В воздухе повисает слой пыли.)
zts1703e	Эй.... Просыпайтесь!!!
zts1704e	А! Кенэль!
zts1705e	Следуй за мной, пока они тебя не увидели!!
zts1706e	Хаха.. Они не оставят тебя в живых, если узнают, что ты на стороне Ковольтов.
zts1707e	Действительно?
zts1708e	Это так грустно. Племя коаренов страдает от угрозы Фернон. А теперь начинается новая война.
zts1709e	В...война? Ты уверен?
zts1710e	Потому что мы Ковольты, а они Катси!
zts1711e	Между нашими родами существует старая неприязнь?
zts1712e	Я не думаю...
zts1713e	Тогда почему мы не можем быть друзьями? Как мы с тобой!
zts1714e	Невозможно...
zts1715e	Почему нет? Ты же этого даже не пробовал!
zts1716e	Во-первых, я не хочу выглядеть как они!!! Противно!!! Безобразно!!! Отвратительно!!!
zts1717e	Ты думаешь, это хорошая причина?
zts1718e	А их имена. В конце своих имён они ставят....
zts1719e	..? Что ?
zts1720e	Они вставляют название своего любимого блюда!
zts1721e	(Грр)... очень! Действительно очень смешные существа!
zts1722e	Хорошо, эти проблемы были у тебя... Я имею в виду.... ты мог бы их иметь.... раньше?
zts1723e	Вы, человеческие существа, не можете этого понять. Так как вы ненавидите мух и жуков, мы не можем терпеть Катси. Мы полностью противоположны друг другу. Когда мы видим один одного, мы готовы уничтожить друг друга на месте.
zts1724e	Ты хочешь рискнуть своей жизнью, чтобы их уничтожить?
zts1725e	Это все эти противные твари, которые начали войну!!
zts1726e	(Он никогда не поймет!)
zts1727e	Люди... я хотел попросить вас о помощи, но я думаю, я не смогу.
zts1728e	Отступи! Я не хочу вовлекать тебя в этот нечестный бой!
zts1729e	(Кррр)... Они .... Они очень сильны! Отступление, отступление!
zts1730e	Рыцарь Ордена Бутона Розы! Покажи им нашу ярость и нашу силу!
zts1731e	Кенэль! С тобой все в порядке?
zts1732e	А! Это ты!!
zts1733e	Хмммм.. неплохо, но давай не будем больше жертвовать нашими людьми. Я хочу задать тебе пару вопросов.
zts1734e	Ты можешь не отвечать!! Что-то есть между нами!!! Одного из нас скоро здесь не будет!!
zts1735e	Знают ли вообще эти грязные Ковольты, что такое честь?
zts1736e	Воняющие жители Кэтси! Как могли вы только решиться, своими грязными ртами произносить слово ЧЕСТЬ!
zts1737e	Вы оба, прекратите! Ну, Сенил, что Вы хотели знать?
zts1738e	Глупцы! Зачем вы пробудили дерево Фернон?
zts1739e	Ответь мне!!
zts1740e	Откуда ты знаешь, что дерево Фернон пробужено?
zts1741e	Мне жаль тебя! Ты не имеешь ни малейшего представления о своем преступлении... Твое невежество - вот твое преступление!
zts1742e	Я спрашиваю тебя, как ты это можешь знать!!
zts1743e	Ты грешен! Катси - существа интуиции. Я знаю все.
zts1744e	Мы не пробуждали дерево Фернон!
zts1745e	Ха! Фернон нельзя пробудить без крови ковольтов! Хватит врать!
zts1746e	Это бессмысленно. Вы пробудили Фернон, а теперь хотите запечатать ее снова... И поэтому вы похитили нашу принцессу! Что вы сделали с Кэтлоттой?!
zts1747e	Принцессой?
zts1748e	Я знаю, что ты не трогал нашу принцессу, потому что я даже сейчас слышу, как бьется ее сердце, но если...
zts1749e	Хаха!!!
zts1750e	Я отправлю тебя в ад, если ты хоть пальцем тронешь принцессу!
zts1751e	Хахахаха!!
zts1752e	Ты смеешься надо мной?
zts1753e	Слушай, грязная Катси! Ты не испугаешь меня своими пустыми угрозами. А между тем, это же замечательно! Жизнь принцессы Катси в моих руках!!! Хахаха!!!
zts1754e	Кенэль! О чем ты говоришь?
zts1755e	Отступаем!! Возвращаемся!!
zts1756e	Запомни... одна царапина на ее теле станет началом войны, и тогда ты сильно пожалеешь об этом.
zts1757e	Кенэль!!
zts1758e	(Больше нет смысла сражаться! Вперед на поиски принцессы кэтси!)
zts1759e	Братья!! Принцесса Катси недалеко!! Найдите ее живой, пока день не закончился!! Поторопитесь!!
zts1760e	А!! Кенэль!!
zts1761e	О! Почему ты здесь ?
zts1762e	А, я просто мимо прохожу...
zts1763e	Ты тоже ищешь принцессу кэтси?
zts1764e	Нет, нет, нет, нет, нет !!!
zts1765e	Хмм. Я чувствую запах рыбы, но это неважно. Ты человек, и поэтому мы не можем раскрыть тебе законы ковольтов!
zts1766e	Хаха, ладно, всего хорошего! У меня как раз мало времени.
zts1767e	Простите?
zts1768e	Братья!! Катси очень хитры. Начинайте поиски принцессы немедленно!! Нам нужно во что бы то ни стало найти принцессу Катси! Поторопитесь!
zts1769e	Оо... ты... это ты!
zts1770e	Эй, рыцарь! Помоги мне выбраться отсюда!
zts1771e	О чем вы говорите?
zts1772e	Я просто пойду и спрячусь... а ты придумай, что сказать!!
zts1773e	Аааа!
zts1774e	Что ты здесь делаешь?!
zts1775e	Ты не замечал здесь девушек Катси?
zts1776e	Хм? Что это?
zts1777e	Я думаю, я не должен был спрашивать тебя...
zts1778e	Ах! Мы снова встретились!!!
zts1779e	Хорошо, что мы встретились! Мне нужно поговорить с тобой.
zts1780e	Мне очень жаль, но у меня нет времени на такое, пока!
zts1781e	Здесь опасно! Ты должен покинуть это место!
zts1782e	Я знаю!! Пока !!
zts1783e	Оо... ты все еще здесь?
zts1784e	Да...
zts1785e	Ты собираешься спасти Принцессу Катси?
zts1786e	Нет... нет... Я так не думаю...
zts1787e	Не хотелось бы давить на тебя, но я несколько разочарован...
zts1788e	Сейчас же остановись!!!!
zts1789e	О! Мой рыцарь!
zts1790e	Я тебе говорил, что это опасное место!
zts1791e	А, теперь ты беспокоишься обо мне?
zts1792e	Нет, нет, нет, НЕТ!!!
zts1793e	Спасибо, что тебя это волнует! Но я должен здесь еще кое-что уладить... всего хорошего!
zts1794e	(Битва Кэтлотты и Кенеля! Нужно что-то предпринять, иначе последствия будут ужасны!)
zts1795e	Остановитесь!
zts1796e	О... мой рыцарь!
zts1797e	Не суй свой нос в чужие дела!
zts1798e	Прекрати, Кенэль!! Она же маленькая девочка!!
zts1799e	Почему ты меня сдерживаешь?
zts1800e	Нет причин воевать. Она пришла сюда, чтобы запечатать Фернон!
zts1801e	Я знаю! Но...!
zts1802e	Ты знал, и если ты знал, то должен был остановить это!
zts1803e	Но Катси и Ковольты не могут жить вместе! Это наша судьба!
zts1804e	Пожалуйста! Прекратите сейчас же!
zts1805e	Прекратите спорить. Я сдаюсь.
zts1806e	О чем ты говоришь?!
zts1807e	Я пойду с этим старым человеком. Я сдаюсь, я слишком устал.
zts1808e	Ты... ты... ты с ума сошел?!
zts1809e	Кстати, мой Рыцарь!
zts1810e	Я спас тебя!
zts1811e	Хаха... Ты наверное не помнишь, что произошло у сердца Фернон!
zts1812e	О... Это ты?
zts1813e	Спасибо тебе! Фернон пленила меня очень давно. Думаю, пришло время отплатить!
zts1814e	Она говорит слишком много. Замолчи! И, братья! Схватите эту грязную Катси!!!
zts1815e	(Очень тихо. Пламя факелов ярко вспыхивает. Коарены-стражи патрулируют проходы. Нужно избегать любых конфликтов, иначе мир между людьми и ковольтами будет нарушен... Проберусь внутрь и спасу принцессу Кэтлотту!)
zts1816e	Солдат 1: Я слышал, что грязные Катси появились поблизости, да?
zts1817e	Солдат 2: *Гррр* Я положу конец этой войне!
zts1818e	Солдат 1: Война?
zts1819e	Солдат 2: Недавно Капитан Кенель участвовал в бою с рыцарями Катси. Если их рыцари пришли к горе Крем, их цель очевидна!
zts1820e	Солдат 1: *Гррр* Понятно, все ясно!
zts1821e	Солдат 2: Что понятно? Что ты имеешь в виду?
zts1822e	Солдат 1: Взяли в плен одну Катси. Она должна быть где-то здесь...?
zts1823e	Солдат 2: Стреляйте! Вы  что, плохо слышите? Я не могу видеть этих Кэтси!
zts1824e	Солдат 1: Даа, в любом случае, это плохо. Еще недавно только закончилась война в НосВилле.
zts1825e	Солдат 1: И ты знаешь эту девочку Катси?
zts1826e	Солдат 2: *Гррр* Она воняет!
zts1827e	Солдат 1: Эти гнусные бестии называют это "ароматическая вода"!  Какая противная!
zts1828e	Солдат 2: Оо... У меня мороз по коже! Я не знаю, как таких только Земля носит. Давайте мы их просто убьём и зароем где-нибудь!
zts1829e	Солдат 1: (гррр) ? Я слишком долго работал на эту тюрьму. Но я никогда не чувствовал себя так плохо.
zts1830e	Ну вот, Белые Колдуньи Шипа Розы отчаянно ищут принцессу. Если они узнают, что она здесь, они сразу же прийдут сюда.
zts1831e	Хмм...
zts1832e	Мы их сюда приведём, чтобы защитить, а сами разоружим их. Затем мы их всех уничтожим, так как они запачкали нашу гору Крем.
zts1833e	Нет причины убивать принцессу. И мы не будем биться против рыцарей.
zts1834e	Разве ты не понимаешь? Только кэтси смогут запечатать Фернон вновь! Так почему же мы должны враждовать с ними?!
zts1835e	Нет!
zts1836e	Если Фернон пробудится, нам всем конец! Мы потеряем много наших братьев. И даже если большинству удастся выжить, мы потеряем свою родную землю.
zts1837e	Гррр...
zts1838e	Я не могу допустить, чтобы мои братья погибли из-за какой-то старой вражды!
zts1839e	Я никогда не пойду на компромисс с Катси, даже если придется потерять наших братьев!
zts1840e	Замолчи! Я положу конец этому старому конфликту коаренов и кэтси. А затем мы навсегда отправим Фернон на покой.
zts1841e	Тогда не пускайте их сюда!!!
zts1842e	Эй, ты! Как ты сюда попал?!
zts1843e	Думаю, с его навыками это проще простого.
zts1844e	Без понятия, почему принцесса Вас преследует, но также нет причины её здесь удерживать, или? Пожалуйста, отпустите её!
zts1845e	Нет, я не могу.
zts1846e	Если она попадет в руки Кенко?
zts1847e	Оо! Кажется, ты понимаешь.
zts1848e	Но Белые Колдуньи Шипа Розы не допустят этого.
zts1849e	По этой самой причине я хотел вас видеть... Будет гораздо проще, так как ты сюда пришёл.
zts1850e	Передай рыцарям мое письмо.
zts1851e	Да? Какое письмо?
zts1852e	Мирное соглашение.
zts1853e	Моё решение не обсуждается, боец! Иди и дерись против Кэтси.
zts1854e	Это невозможно.
zts1855e	После того, как ты прокрадешься туда, не шуми, когда будешь идти. Никто кроме нас троих не знает, что ты здесь был. Это так должно и остаться!
zts1856e	Да! Ясно! Я заставлю кэтси подписать договор.
zts1857e	Ааа! Кенэль.
zts1858e	... Мне очень жаль ...
zts1859e	Я не могу тебя отпустить.
zts1860e	Пожалуйста. Не выполняйте приказ моего Магистра.
zts1861e	Мне очень жаль - но я не могу.
zts1862e	*Гррр* Тогда... Прости за это.
zts1863e	Братья! Схватите его! Заберите у него письмо!
zts1864e	О, Боже!
zts1865e	Привет!
zts1866e	Ой! Ну ты меня и напугал!
zts1867e	Ты такой хорошенький, хахаха!
zts1868e	Я бы тебя спас, но я не могу. Кто-то как раз сейчас за мной следит.
zts1869e	Хаха. А это место не такое уж и плохое.
zts1870e	Не беспокойся, Коарен и Кэтси помирятся.
zts1871e	Хаха... Я знаю... Моя красота и мой шарм растопят любое сердце! Если Ковольты не слепы, с ними все будет точно так.
zts1872e	(Какая необыкновенно уверенная девушка!)
zts1873e	Ха! Вы меня тоже оставите в беде?!
zts1874e	Аа.... В любом случае я найду Белых Колдунь из Шипа Розы  и потребую от них признать мирный договор. Пожалуйста, подожди ещё чуть-чуть.
zts1875e	Что? Здесь была Рози, колдунья Тьмы?
zts1876e	Ты что этого не знал?
zts1877e	Рози, колдунья Тьмы шумная, грязная и, в придачу ко всему, скучная!!!
zts1878e	Хммм? Я себя так ужасно чувствую. Мой рыцарь... пожалуйста, оставь меня одну.
zts1879e	(Она начинает меня раздражать!)
zts1880e	Сейчас я хочу побыть в одиночестве.
zts1881e	Ковольт 1: Стоять!
zts1882e	Ковольт 2: Отсюда нет выхода!
zts1883e	Ковольт 3: Это приказ Кенэля!! Братья. Схватите его!!
zts1884e	Ковольт 1: Ты не сдавайся!
zts1885e	Ковольт 2: Ну теперь то было!
zts1886e	Ковольт 3: Ты не уйдешь отсюда!
zts1887e	Прекратить!
zts1888e	Ковольт 1: Ээ!?
zts1889e	Ковольт 2: Магистр!
zts1890e	Прекрати домогаться до него!
zts1891e	Корр-Корркоарен!
zts1892e	Воин! Отправляйся в путь. Я надеюсь, ты вернешься скоро с хорошими новостями.
zts1893e	Корркоарен! Спасибо тебе! И не волнуйся, я смогу убедить Сенил!
zts1894e	Стоять!
zts1895e	Ты же не сдашься просто так, или?
zts1896e	Пожалуйста. Дай мне письмо.
zts1897e	Нет, ни за что на свете !!
zts1898e	Я не хочу с тобой драться. Но...
zts1899e	Ковольт и Катси никогда не могут быть друзьями.
zts1900e	Кто ты?
zts1901e	Аа... ты Катси!
zts1902e	Я ищу Рози, Колдунью Тьмы. Я должен её увидеть.
zts1903e	Хм?
zts1904e	Ты случайно не друг Рози, Колдуньи Тьмы?
zts1905e	Хмм... почему ты хочешь к нему?
zts1906e	У меня письмо от Корркоарена. Он хочет заключить мир.
zts1907e	Ты говоришь о том самом Корркоарене? Великом коарене?
zts1908e	Верно!
zts1909e	Отдай мне письмо!
zts1910e	Кто ты на самом деле?
zts1911e	Меня зовут Катриша де БлэкКаппучино. Я младшая сестра Принцессы Катлотт. Ты можешь называть меня Пэтти.
zts1912e	А... вот ты где! Принцессу взяли в плен Ковольты. Но не беспокойся, с ней все в порядке. Прочти сначала вот это.
zts1913e	(Ты передаешь письмо Корркоарена Кэтрише.)
zts1914e	Итак, в письме написано, что...
zts1915e	Без этого письма мирный договор не может вступить в силу.
zts1916e	(Кэтриша рвет письмо Корркоарена на мелкие кусочки.)
zts1917e	Что... что ты делаешь?
zts1918e	Что видел...
zts1919e	Жизнь твоей сестры в опасности!
zts1920e	И что? Мне-то какое дело с этого?
zts1921e	Хохохохохо!!!
zts1922e	Кто? Кто к черту ты?
zts1923e	Принцесса Катриша, сестра Принцессы Катлотт, аа! Кто-то идет. Хохо! Я сейчас уйду. До встречи!
zts1924e	Стоять!
zts1925e	Договорились по этому вопросу. Письмо было доставлено и уже разорвоно.
zts1926e	О чем ты говоришь?
zts1927e	Я не знаю. Ни с того ни с сего появилась странная девочка Катси.
zts1928e	Хммммм.... это был Даркси?
zts1929e	Да. Что?
zts1930e	Вы не знаете, но есть 2 лагеря Катси. Одна часть - открытые и мирные, а другая часть, называется Даркси, буйные и жестокие. Конечно же Даркси намного опаснее.
zts1931e	Великолепные новости! Даркси на моей стороне... Хахаха!
zts1932e	Я просто не мог более решительнее поддерживать.
zts1933e	Кто!! Кто ты?! Где?
zts1934e	Ты спрашиваешь себя, кто я? Ты что даже не знаешь, кто на твоей стороне находится, а кто воюет против тебя?
zts1935e	Ты!!!
zts1936e	Я Принцесса Катси и Хозяйка Даркси. Принцесса Катриша!
zts1937e	Гррр...
zts1938e	Мерзкие ковольты.
zts1939e	Я убью тебя.
zts1940e	Ты, вонючая Кэтси!
zts1941e	Ху-Ху...
zts1942e	(Нет, я не могу участвовать в этой битве... Мне нужно выбраться отсюда как можно быстрее и разыскать Сенил!)
zts1943e	Конечно, Рози, колдунья Тьмы находится недалеко. Я должен её найти и убедить. Если мы продвинемся в наших переговорах в перёд и заключим мирный союз между Ковольтами и Кэтси,  то тогда Кенэль и Даркси ничего не смогут поделать.
zts1944e	Рози, Колдунья Тьмы! Послушай меня!
zts1945e	Хмм... Ты совсем не ценишь свою жизнь? Почему ты пришел сюда один?
zts1946e	Остановитесь! Великий Корркоарен хочет заключить мир.
zts1947e	Оо?  Хо-хо-хо!!!
zts1948e	Это правда. Поверь мне!
zts1949e	Если бы ты был на моём месте, смог бы ты этому поверить?
zts1950e	Ненависть между двумя народами лежит глубже, чем ты мог себе представить. Она не может быть решена только благодаря паре твоих  дипломатических слов.
zts1951e	В чем причина этой зависти, которую ты даже не можешь понять?
zts1952e	Со временем причина забывается. Но, даже если ее никто не помнит, это не значит, что ее нет. С того момента, как мы пришли в этот мир, мы ненавидели кэтси. Несмотря на то, что мы не помним причину этой ненависти, она продолжает течь по нашим жилам. Ты говоришь, мы должны отбросить ее, но это значит, что...
zts1953e	Это значит, что ты мой враг!
zts1954e	Проходит мимо!
zts1955e	Подожди!!! Рози, Колдунья Тьмы!
zts1956e	Ааа! Ты Патти?
zts1957e	Я тебе никогда не разрешала употреблять это имя.
zts1958e	Предательница не может быть принцессой!!
zts1959e	Как ты можешь называть меня предателем, если ты сама восстала против воли Матери Эрениа!
zts1960e	Вся жизнь и сердце Кэтси происходят из одного источника: Принцесса Катлотте. Все остальное считается как придательство.
zts1961e	Ты всё ещё думаешь о Катлотте. Она сумашедшая.
zts1962e	Сообщи мне то, что ты должен мне сказать, и исчезни, или мне прийдётся  воткнуть мой меч в твоё сердце.
zts1963e	Ты становишся дерзким. Давай мы решим это мирно. Я покажу тебя новость.
zts1964e	Развяжите его!!
zts1965e	У меня есть просьба.
zts1966e	Почему?
zts1967e	Ха-ха!!!
zts1968e	Почему я должен следовать твоим приказам?
zts1969e	В ином случае, Катлотте могла бы умереть.
zts1970e	!!!!
zts1971e	Кажется, ты не понимаешь. Недавно у тебя была битва с Корркоареном.
zts1972e	Как ты посмел!... Что ты сделал с Принцессой?
zts1973e	(Кэтриша презрительно смеется.) Если ты сделаешь все, что я скажу, ничего ни с кем не случится. Ты, человек! Пойдем со мной!
zts1974e	Что.... Что за причина, спасать меня?
zts1975e	Успокойся и спокойно подумай!
zts1976e	Я не прощу тебя, Пэтти. Я убью тебя.
zts1977e	Здесь ты будешь в безопасности.
zts1978e	П...почему ты меня спас?
zts1979e	Потому что я тот, кто хочет заключить мир с Ковольтами!
zts1980e	Что??
zts1981e	Сенил ненавидит ковольтов. Ее сердце полно злобы. Если пойдешь к ней с письмом Корркоарена, она тебя прибьет.
zts1982e	Действительно!
zts1983e	Это как с огнем играть.
zts1984e	А почему ты бросил Кенэля? Почему ты дрался против него?
zts1985e	Кенэль такой же трюкач, как и Рози, Колдунья Тьмы.
zts1986e	Сенил или Кенель, мне все равно. Я заключу мирный договор с ковольтами... И помогу им расправиться с Фернон!
zts1987e	Ты бы сделал это для самого себя?
zts1988e	(Кэтриша презрительно смеется.) Нельзя недооценивать даркси!
zts1989e	Что это было?!
zts1990e	Ааа! Неплохо!
zts1991e	Почему ты атаковал?
zts1992e	Извини, пожалуйста, я хотел только посмотреть, как ты на это среагируешь. В любом случае, разреши представиться. Мы - элитные войска "рыцари чёрных ботинок" Даркси.
zts1993e	Рыцарь Ордена Черных ботинок!
zts1994e	Я иду на встречу с Корркоареном.
zts1995e	Почему тебе не пришло в голову сразу к нему пойти?!
zts1996e	Потому что большинство Ковольтов ненавидят Катси? Но сейчас у меня есть друг, Рыцарь Ордена Черных ботинок, поэтому я в безопасности!
zts1997e	Ковольт: Кааааа!
zts1998e	Оо, что здесь происходит?
zts1999e	Ковольт: Кенко здесь...
zts2000e	Ковольт: Корркоарен в опасности! Пожалуйста... Помоги ему!
zts2001e	(Воины Кенеля и белые колдуньи Розы Сенил сражаются на одной стороне!)
zts2002e	Прекратите! Сейчас же прекратите!
zts2003e	Почему ты меня сдерживаешь?
zts2004e	Что ты делаешь??
zts2005e	Сейчас неподходящее время для этого! На Корркоарена напали кенко, и он в большой опасности!
zts2006e	Хозяин??
zts2007e	Что? Причем здесь я?
zts2008e	Меня это интересует!
zts2009e	Катриша!! И Рыцарь Ордена Черных ботинок!
zts2010e	Я справляюсь с этим! Иди с Кенелем и найти Корркоарена!
zts2011e	Мне не нужна помощь Катси!!
zts2012e	Кенэль!! У нас нет времени для этого!
zts2013e	У тебя больше нет времени! Оставь это мне и поищи Магистра!
zts2014e	Все... Все будет хорошо?
zts2015e	Ха! Это же проще некуда!
zts2016e	Что ты делаешь?
zts2017e	Ты тот самый Катси, который умеет обращаться с магией Печатей?
zts2018e	Отпусти меня! Отпусти меня!!
zts2019e	Кенко! Хватит, прекрати!
zts2020e	О, мой рыцарь! Сделай же что-нибудь!
zts2021e	Оо... ты так быстро!!!
zts2022e	Все кончено! Сдавайся!!
zts2023e	(Демон хватает Кэтлотту и убегает вместе с ней.)
zts2024e	Ааааа!!! Помоги мне!!!
zts2025e	Нет!!!
zts2026e	Хорошо!! Эй, человек. Я не забуду того, что случилось сегодня!!!
zts2027e	Ты в порядке?
zts2028e	Ковольт: Корр... Корркоарен... Пожалуйста! Аргх!
zts2029e	Черт. Он мертв.
zts2030e	Все в порядке. Это не так серьезно.
zts2031e	О, Катриша
zts2032e	Хммм?
zts2033e	Подожди. Она приходит в себя.
zts2034e	Между тем... Где темная колдунья Роуз?
zts2035e	Мы увели ее. Она была ранена и должна побыть в покое. А кстати, где Катлотт?
zts2036e	Что-то случилось?
zts2037e	Мне очень жаль, но она была похищена Кенко.
zts2038e	О, Боже мой! Мы должны ее обязательно найти!!!
zts2039e	Хм?
zts2040e	Сестра...
zts2041e	Кстати, Катриша.
zts2042e	Называй меня Пэтти.
zts2043e	О, Пэтти, почему ты не можешь поладить с темной колдуньей Роуз? Вы ведь обе чтите Катлотт, не так ли?
zts2044e	На это есть причина? По которой ты не можешь мне ничего сказать?
zts2045e	Это как различие между Катси и Даркси.. Хаха!
zts2046e	Что ты имеешь в виду?
zts2047e	Ну... Мы будто не можем говорить друг с другом. Но если я скажу больше, это приведет к недоразумению. Так что проехали.
zts2048e	... Хорошо.
zts2049e	Ты тоже охотишься за Кенко?
zts2050e	Конечно. Я не знаю, почему Кенко похитил Катлотт, но я думаю, он точно не разговаривать с ней собрался!
zts2051e	Ты знаешь причину?
zts2052e	Ты знаешь, что у Кэтлотты есть сила, с помощью которой она может запечатать Фернон?
zts2053e	И?
zts2054e	Обратный вариант тоже возможен.
zts2055e	Хорошо, давай пока работать вместе. Сейчас главная задача - найти ее!
zts2056e	Кэтси? Кто ты?
