zts1e	Genel efektler
zts568e	Rakip bilinç kararmasý yaþadýðýnda ya da saldýrýya uðradýðýnda yere serilme kalkar. "Uygula" yeteneði kombinasyonuyla rakip %30 hasar alýr.
zts569e	Aþýrý gergin durum
zts570e	Aþýrý gergin durum rakibin aþýrý provokasyonu nedeniyle irade kaybý nedeniyle meydana gelir ve ek hasar oluþturabilir.
zts571e	Büyülü Düþünce
zts572e	Büyülü düþünce rakibin tüm etkilerini belirli bir ihtimalle geri yansýtýr. Sadece bir debuff oluþturan yetenekler geri yansýtýlamaz.
zts573e	Gergin durum
zts574e	Aþýrý gergin durum rakibin aþýrý provokasyonu nedeniyle irade kaybý nedeniyle meydana gelir.
zts575e	Kan basýncý
zts576e	Saldýrý gücü ve hareket hýzý kan isteði nedeniyle yükselmiþ durumda.
zts577e	Maðlubun Ýniltisi
zts578e	Maðlubun iniltisi seni bir yenilgi karþýsýnda cesaretlini kýrar. "Uygulama" yeteneði kombinasyonuyla %70 oranýnda ek bir hasar alýrsýn.
zts579e	Kitle sevinci
zts580e	Kitle sevincinde düþmanýn yenilgisinin sevinci savaþma ruhunu güçlendirir.
zts581e	Patlamanýn güçlenmesi
zts582e	Patlamanýn güçlenmesiyle isabet oraný ve saldýrý mesafesi yükselir.
zts583e	Zafer çýðlýðý
zts584e	Zafer çýðlýðý savaþta güçlü bir zafer isteðini gösterir.
zts585e	Birinci þok dalgasý
zts586e	Rakip güçlü bir gök gürültüsüyle þoka girer.
zts587e	Magma kalkan
zts588e	Magma kalkaný rakibin saldýrý gücünü emer ve BP yükler.
zts589e	Zehirli Volkan Gazý
zts590e	Zehirli volkan gazý rakibe hasar verir.
zts591e	Volkan gücü
zts592e	Volkan gücü Vulkano'nun tüm yeteneklerini maksimum hale getirir.
zts593e	Lav Bataklýðý
zts594e	Lav Bataklýðý saldýrý yeteneðini zayýflatýr.
zts595e	Lav Dökümü
zts596e	Lav dökümü, sertleþen lavla birlikte rakibin düþük bir ihtimalle donmasýný saðlar.
zts597e	Büyük Lav Dökümü
zts598e	Büyük lav dökümü, sertleþen lavla birlikte rakibin belirli bir ihtimalle donmasýný saðlar.
zts599e	Kaynayan Lav Dökümü
zts600e	Kaynayan lav dökümü, sertleþen lavla birlikte rakibin büyük bir ihtimalle donmasýný saðlar.
zts601e	Alevli Lav Dökümü
zts602e	Yanan lav dökümü rakibin hýzla donmasýný saðlar.
zts603e	Lav Donuðu
zts604e	Rakip bu durumda lav donuklarýna karþý hiçbir þey yapamaz.
zts605e	Bacaklardan asýlma
zts606e	Rakip patlama þok dalgasýyla bacaklarýndan sürüklenir.
zts607e	Büyük patlama þoku dalgasý
zts608e	Büyük patlama þoku dalgasý her þeyi beraberinde sürükler.
zts609e	Turbo yükleyici
zts610e	Turbo yükleyici topun geliþtirmesi sayesinde performans yeteneðini artýrýr.
zts611e	Yükleme engeli
zts612e	Topun baþarýsý hatalý düzenleme nedeniyle kösteklenir.
zts613e	Magma Panzeri
zts614e	Magma panzeri zýrhý kaplar ve çok yüksek bir savunma gücü saðlar.
zts615e	Ýkinci þok dalgasý
zts616e	Üçüncü þok dalgasý
zts617e	Ejderha korkusu
zts618e	Ejderha karþýsýndaki büyük korku sayesinde donma.
zts619e	Kötü yükleme nedeniyle þok
zts620e	Kötü yükleme nedeniyle þok durumuna uðratýr.
zts621e	Süren þok dalgasý
zts622e	Daha uzun süren bir þok durumuna uðratýr.
zts623e	Rakip bilinç kararmasýna veya saldýrýya uðradýðý an yere serilme kaldýrýlýr. "Uygulama" yeteneði kombinasyonuyla rakibe %20 ekstra hasar verilir.
zts624e	Vücudun performans yeteneði kan arzusuyla yükselir.
zts625e	Maðlubun hýçkýrýðý yenilgide cesaretini kýrar. "Uygulama" yeteneði kombinasyonuyla %20 ekstra hasar alýrsýn.
zts626e	Yanan lav dökümü rakibin çok büyük ihtimalle donmasýný saðlar.
zts627e	Silahla savunma
zts628e	Rakibin saldýrýsýna karþý kendini topla savun.
zts629e	Harlý Cehennem Ateþi
zts630e	Rakip cehennem ateþiyle zayýflar ve HPsi sürekli düþer.
zts631e	Fena Kanama
zts632e	Baykuþ Kutsamasý
zts633e	Su direnci ile saldýrý gücü artar.
zts634e	Cadýlar Bayramý Kutsamasý
zts635e	Cadýlar Bayramý Kutsamasý, EXP'ni %10 artýrýr.
zts636e	Kan emen Drakula
zts637e	Rakibinin YP'sini emmeni ve kendi yaþam gücünün artmasýný saðlar.
zts638e	Rudi'nin Kutsamasý
zts639e	Yenileme eþyasýnýn etkinliðini artýrýr ve düþük seviyeli canavarlara karþý saldýrý gücünü artýrýr.
zts640e	Melodi Çiçeðinin Kutsamasý
zts641e	Bu kutsamayý melodi çiçeði görevini tamamladýktan sonra alýrsýn.
zts642e	Melodi Çiçeði Ateþi
zts643e	Rudi'nin Kalkaný
zts644e	Rudi'nin görünmez kalkaný bir anlýk koruma saðlar.
zts645e	Nezaket Gösterisi
zts646e	Oyuncu arkadaþýnýn hasarýný kendi üstüne alýyorsun.
zts648e	Meditasyonla ruhunu kurtarýyorsun.
zts652e	Bu durum iç yaralanmaya neden oluyor.
zts655e	Sarsýcý Travma
zts656e	Kýlýç darbesiyle meydana gelen bir þok durumu.
zts657e	Enerji Eksikliði
zts658e	Belli bir olasýlýkla kötü efekti engeller.
zts659e	Þiddetli Enerji Eksikliði
zts660e	Kritik Enerji Eksikliði
zts661e	Kundalini Sendromü
zts662e	Bu durum bedensel ve ruhsal enerjini epey azaltýr.
zts663e	Travma
zts664e	Þiddetli Travma
zts665e	Kritik Travma
zts666e	Feda Olma Ruhu
zts667e	Su Kabarcýðý
zts668e	Su kabarcýðý seni içine alýr ve saldýrýlardan korur.
zts669e	Sirenlerin Þarkýsý
zts670e	Sirenlerin þarkýsý kendini kontrol edemeyecek hale getiriyor.
zts671e	Küçük Þelale
zts672e	Þelale, hareket hýzýný azaltýr.
zts673e	Þelale
zts674e	Büyük Þelale
zts675e	Küçük Elektroþok
zts676e	Elektroþok kýsa süreliðine tamamen felç eder.
zts677e	Elektroþok
zts678e	Büyük Elektroþok
zts679e	Su Basýncý
zts680e	Yüksek su basýncý, kýsa süreliðine tamamen felce uðratýr.
zts681e	Okyanus Kutsamasý
zts682e	Kutsal denizin kutsamasý, rakipten gelecek hasardan korur.
zts683e	Vikingli'nin öfkesi (F)
zts684e	Vikingli'nin öfkesi patlýyor.
zts685e	Vikingli'nin öfkesi (E)
zts686e	Vikingli'nin Öfkesi (D)
zts687e	Vikingli'nin öfkesi (C)
zts688e	Vikingli'nin öfkesi (B)
zts689e	Vikingli'nin öfkesi (A)
zts690e	Vikingli'nin öfkesi (S)
zts691e	Kötü çocuðun darbesi (F)
zts692e	Cesaret ve yiðitlikle rakibini aldat.
zts693e	Kötü çocuðun darbesi (E)
zts694e	Kötü çocuðun darbesi (D)
zts695e	Kötü çocuðun darbesi (C)
zts696e	Kötü çocuðun darbesi (B)
zts697e	Kötü çocuðun darbesi (A)
zts698e	Kötü çocuðun darbesi (S)
zts699e	Anne sevgisi (F)
zts700e	Anne sevgisi güçlü bir koruma içgüdüsü uyandýrýr.
zts701e	Anne sevgisi (E)
zts702e	Anne sevgisi (D)
zts703e	Anne sevgisi (C)
zts704e	Anne sevgisi (B)
zts705e	Anne sevgisi (A)
zts706e	Anne sevgisi (S)
zts707e	Annenin bilgeliði (F)
zts708e	Kadýnlar güçlüdür ama anneler daha güçlüdür.
zts709e	Annenin bilgeliði (E)
zts710e	Annenin bilgeliði (D)
zts711e	Annenin bilgeliði (C)
zts712e	Annenin bilgeliði (B)
zts713e	Annenin bilgeliði (A)
zts714e	Annenin bilgeliði (S)
zts715e	Aðýr kanama (F)
zts716e	Aðýr kanama (E)
zts717e	Aðýr kanama (D)
zts718e	Aðýr kanama (C)
zts719e	Aðýr kanama (B)
zts720e	Aðýr kanama (A)
zts721e	Aðýr kanama (S)
zts722e	Freya'nýn ilaný (F)
zts723e	Freya'nýn ilaný (E)
zts724e	Freya'nýn ilaný (D)
zts725e	Freya'nýn ilaný (C)
zts726e	Freya'nýn ilaný (B)
zts727e	Freya'nýn ilaný (A)
zts728e	Freya'nýn ilaný (S)
zts729e	Çok isabetli Vikingli vuruþu (F)
zts730e	Çok isabetli Vikingli vuruþu (E)
zts731e	Çok isabetli Vikingli vuruþu (D)
zts732e	Çok isabetli Vikingli vuruþu (C)
zts733e	Çok isabetli Vikingli vuruþu (B)
zts734e	Çok isabetli Vikingli vuruþu (A)
zts735e	Çok isabetli Vikingli vuruþu (S)
zts736e	Leona'nýn Kutsamasý
zts737e	Leona'nýn kutsamasý etkili bir saldýrýya olanak saðlar.
zts738e	Leonanýn Spesiyalitesi
zts739e	Leonanýn spesiyalitesi sana daha etkili bir saldýrý saðlar.
zts740e	Su elementi ve saldýrý gücüne karþý dayanýklýlýðýn yükseldi.
zts741e	Fluffy Bally Kutsamasý
zts742e	Savaþ yeteneði, Fluffy Bally kutsamasý sayesinde artar.
zts743e	Engelli
zts744e	Rakibin saldýrý gücü kýsýtlanýr.
zts746e	Aydýnlatýcý Ruh
zts747e	Ölçülülüðün Ruhu
zts748e	Zihinsel Güç
zts749e	Ýç Yaralanma - 1. derece
zts750e	Ýç Yaralanma - 2. derece
zts751e	Ýç Yaralanma - 3. derece
zts752e	Enerji eksikliði durumunda hiçbir þey yapýlamaz.
zts753e	Mobil Tuzak
zts754e	Mobil tuzaða yakalandýðýnda kýsa bir süre hareket edemezsin.
zts755e	Körlük
zts756e	Sis nedeniyle isabet oraný düþer ve büyü saldýrýsýnýn kullaným süresi azalýr.
zts757e	Pusu
zts758e	Pusuya yat ve saldýracak aný bekle.
zts759e	Pusudan baskýn
zts760e	Rakibe doðrudan pusudan saldýr.
zts761e	Hayati Güç
zts762e	Ormanýn enerjisiyle hayati gücüne güç kat.
zts763e	Pusu - 1. pozisyon
zts764e	Sessiz sedasýz ve aniden saldýrýp isabet etmeni saðlar.
zts765e	Pusu - 2. pozisyon
zts766e	Pusucu - 1. pozisyon
zts767e	Pusucu saldýrýsý için uygun bir pozisyon bul. Pusudan da yapýlabilir.
zts768e	Pusucu - 2. pozisyon
zts769e	Kafaya Ýsabet
zts770e	Çok etkili vuruþa maruz kalan hedef þoka girer.
zts771e	Pusu - 1. hazýrlýk
zts772e	Çok etkili bir pusu saldýrýsýna hazýrlýk
zts773e	Pusu - 2. hazýrlýk
zts774e	Ebedi Buz
zts775e	Ebedi buzda tutsak oldun ve geçici olarak hiçbir þey yapamazsýn.
zts776e	Þiddetli Baðýrma
zts777e	Þiddetli baðýrma kýsa süreliðine halsizliðe neden olur.
zts778e	Mandra Uyuþmasý
zts779e	Mandra uyuþmasýyla sinirler geçici olarak kontrol edilemez hale girer.
zts780e	Hafif Mandra Zehri
zts781e	Mandra zehri vücuttaki sinirleri bayaðý yýpratýr.
zts782e	Mandra Zehri
zts783e	Aðýr Mandra Zehri
zts784e	Ölümcül Mandra Zehri
zts785e	Hýzlý Geri Çekilme
zts786e	Bedenine yapýlan saldýrýdan hýzlýca geri çekilerek kurtulma.
zts787e	Pusucunun çapraz ateþinde
zts788e	Pusucu saldýrýsýndan büyük hasara uðrama.
zts789e	Kartal Gözü
zts790e	Kartal gözü, çok uzakta olan bir rakibe tam isabetli bir saldýrý yapýlmasýna olanak saðlar.
zts791e	Canavarýn Baðýrmasý
zts792e	Baðýrma, canavarýn saldýrý gücüne güç katar.
zts793e	Canvarýn Çýlgýnlýðý
zts794e	Glacerus çýlgýna döner.
zts795e	Alýnan hasarýn bir kýsmý bir oyuncu arkadaþa aktarýlýr.
zts796e	Bir oyuncu arkadaþýn hasarýný üstlenirsin, onun yerine savunma gücün artar.
zts797e	Tilkinin Kutsamasý
zts798e	Tilkinin kutsamasý, ateþ elementine karþý direnci artýrýr.
zts799e	Sirenlerin Þarkýsý (PvP)
zts800e	1. Dönem: Takým Arenasýnýn Diriliþi
zts801e	Diriliþ/ 1. Dönem sýrasýnda hayatta kalma yetisi belirli bir süreliðine artýrýldý.
zts802e	2. Dönem: Takým Arenasýnýn Diriliþi
zts803e	Diriliþ/ 2. Dönem sýrasýnda saldýrý gücü belirli bir süreliðine artýrýldý.
zts804e	3. Dönem: Takým Arenasýnýn Diriliþi
zts805e	Diriliþ/ 3. Dönem sýrasýnda hayatta kalma yetisi, saldýrý gücü ve hareket hýzý belirli bir süreliðine artýrýldý.
zts806e	Zayýf Birleþtirme
zts807e	Güçlü Birleþtirme
zts808e	Takým arenasý saldýrý gücü artýrýldý.
zts809e	Takým arenasý savunma gücü artýrýldý.
zts810e	Takým arenasý enerjisi artýrýldý.
zts811e	Takým arenasý hareket hýzý artýrýldý.
zts812e	Keskin Görüþ
zts813e	Keskin görüþ, saklanmýþ bir karakteri kýsa süreliðine deliðinden çýkarýr.
zts814e	Takýmdaki herkes ayný sýnýfa aitse, birleþtirme zayýf demektir.
zts815e	Takýmdaki herkes deðiþik sýnýflara aitse, birleþtirme güçlü demektir.
zts816e	Hareket hýzý kýsa süreliðine artýrýldý.
zts817e	Su Bombasý
zts819e	Navy Kutsamasý
zts820e	Savunma gücünü ve suya karþý direnmeyi artýrýr.
zts821e	Erenia'nýn Kutsamasý
zts822e	Erenia'nýn kutsamasý, seni %50 ihtimalle tüm kötü etkilere karþý dayanýklý kýlýyor.
zts823e	Zenas'ýn Kutsamasý
zts824e	Zenas'ýn kutsamasý, alýnan hasarý bloke ediyor. Ama sen ne saldýrabilirsin ne de hareket edebilirsin.
zts825e	Astral Enerji
zts826e	Astral enerji, BP miktarýný çabucak doldurmaný saðlar.
zts827e	Kamuflaj Beresi
zts828e	Baþkalarýnýn seni tanýyamayacaðý harika bir kamuflajýn var.
zts829e	Ýntikam
zts830e	Bir dakika boyunca yýldýrým hýzýnda hareket edebilirsin.
zts832e	Su bombasý, saldýrý gücünü ve suya karþý direnmeyi azaltýr.
zts835e	Perinin tecrübe puanlarýnda artýþ
zts836e	Perinin tecrübe puaný miktarýný artýrýr.
zts837e	Sis
zts838e	Sisli
zts841e	Titan Kanadý
zts842e	Titan Güçlendirmesi
zts843e	Karanlýðýn Yürüyüþü (F)
zts844e	Gölge elementinin gücünü artýrýr.
zts845e	Karanlýðýn Yürüyüþü (E)
zts846e	Karanlýðýn Yürüyüþü (D)
zts847e	Karanlýðýn Yürüyüþü (C)
zts848e	Karanlýðýn Yürüyüþü (B)
zts849e	Karanlýðýn Yürüyüþü (A)
zts850e	Karanlýðýn Yürüyüþü (S)
zts851e	Büyülenme (F)
zts852e	Cezbedici bir durum gerçekleþtirir.
zts853e	Büyülenme (E)
zts854e	Büyülenme (D)
zts855e	Büyülenme (C)
zts856e	Büyülenme (B)
zts857e	Büyülenme (A)
zts858e	Büyülenme (S)
zts859e	Karanlýðýn Gücü (F)
zts860e	Mutlak imha gücünü açýða çýkarýr.
zts861e	Karanlýðýn Gücü (E)
zts862e	Karanlýðýn Gücü (D)
zts863e	Karanlýðýn Gücü (C)
zts864e	Karanlýðýn Gücü (B)
zts865e	Karanlýðýn Gücü (A)
zts866e	Karanlýðýn Gücü (S)
zts867e	Cazibe (F)
zts868e	Rakibin cazibesine kapýldýn.
zts869e	Cazibe (E)
zts870e	Cazibe (D)
zts871e	Cazibe (C)
zts872e	Cazibe (B)
zts873e	Cazibe (A)
zts874e	Cazibe (S)
zts875e	Hainlik (F)
zts876e	Rakibin iþini yýldýrým hýzýnda bitirir.
zts877e	Hainlik (E)
zts878e	Hainlik (D)
zts879e	Hainlik (C)
zts880e	Hainlik (B)
zts881e	Hainlik (A)
zts882e	Hainlik (S)
zts883e	Çizilmiþ (F)
zts884e	Ketum bir durumda.
zts885e	Çizilmiþ (E)
zts886e	Çizilmiþ (D)
zts887e	Çizilmiþ (C)
zts888e	Çizilmiþ (B)
zts889e	Çizilmiþ (A)
zts890e	Çizilmiþ (S)
zts891e	Alev Dansý (F)
zts892e	Rakibin direncini zayýflatýr.
zts893e	Alev Dansý (E)
zts894e	Alev Dansý (D)
zts895e	Alev Dansý (C)
zts896e	Alev Dansý (B)
zts897e	Alev Dansý (A)
zts898e	Alev Dansý (S)
zts899e	Sihirli Tabanca
zts900e	Iþýk elementi güçlenir ve YP dolar.
zts901e	Kovboy Kutsamasý
zts902e	Iþýk elementine karþý direnci yükseltir.
zts903e	Truva Atý
zts904e	Birden fazla düþmana saldýrmak için bir tuva atý çaðýrýr.
zts905e	Ninja Kutsamasý
zts906e	Gölge elementine karþý direnci artýrýr.
zts907e	Baþmelek Kanatlarý
zts908e	Baþþeytan Kanatlarý
zts909e	Hafif Çarpýlma
zts910e	Doðuþtan Yetenekli
zts911e	Çarpýlma
zts912e	Güçlü Çarpýlma
zts913e	Þiddetli Çarpýlma
zts914e	Kargaþa
zts915e	Zihni yok edilerek rakibe zarar verilir.
zts916e	Karanlýðýn Zýrhý
zts917e	Tehlike anýnda kýsa süreliðine kaçýlmasýný saðlar.
zts918e	Hafif Karanlýk Enerji
zts919e	Bedenin içine iþleyen karanlýk enerji zarar verir.
zts920e	Karanlýk Enerji
zts921e	Güçlü Karanlýk Enerji
zts922e	Lanetin Elleri
zts923e	Lanetin elleri büyük zarara uðratýr.
zts924e	Ýllüzyon
zts925e	Ýllüzyon, korku verir ve yanýlgýya uðratýr.
zts926e	Düþünce Emilimi
zts927e	Kýsa süreli bir oto hipnoz yapýlarak düþünce emilimi saðlanabilir.
zts928e	Güçlü Zaman Boþluðu
zts929e	Zaman hissini kontrol ederek rakibi oyalamayý saðlar.
zts930e	Zaman Boþluðu
zts931e	Hafif Zaman Boþluðu
zts932e	Güçlü Çarkýfelek
zts933e	Rakibin zaman hissini bozarak pozitif efekt kazandýrýr.
zts934e	Çarkýfelek
zts935e	Hafif Çarkýfelek
zts936e	Namlu Dönüþtürücü
zts937e	Namlu dönüþtürücü, þifa saðlayan objelerin etkisini azaltýr.
zts938e	Ruh Emilimi
zts939e	Ruh emilimi, çýkarýlan ruhlarýn emilmesini saðlar.
zts940e	Ölüm Ýþareti
zts941e	Bu ölüm iþaretini taþýyan ve [ruh ayrýlmasýna] maruz kalana ekstra zarar verir.
zts942e	Ruh Azadý
zts943e	Ruh azadý, emilmiþ ruhlarý azat eder ve becerinin soðuma süresini azaltýr.
zts944e	Güçlü Ruh Azadý
zts945e	Mutlak Zýrh
zts946e	Mutlak zýrh savunmayý artýrýr ve istem dýþý olan harekete karþý koymayý saðlar.
zts947e	Hiddetin Zayýf Ruhu
zts948e	Hiddetin ruhundan meydana gelen öfke, gücü artýrýr.
zts949e	Hiddetin Ruhu
zts950e	Hiddetin Güçlü Ruhu
zts951e	Saplantý
zts952e	Saplantý, etki süresi boyunca zarara uðratýr, sonrasýnda da etkiyi ilk hedefe en yakýn rakibe aktarýr.
zts953e	Ýntikam Ruhlarýnýn Sarkacý
zts954e	Kýsa süreliðine savunma becerilerini artýrýr.
zts955e	Güçlü Saplantý
zts956e	Konakçýya dönüþür ve etki süresi boyunca zarara uðrar. Konakçýnýn üzerindeki etki biter bitmez yakýnýndaki rakibe geçer.
zts957e	Konakçýdan etki geçer. Etki süresi boyunca aralýksýz olarak zarara uðrar.
zts958e	Sarakael'in Iþýðý
zts959e	Sarakel'in gücü saðlamda.
zts960e	Alevli Ateþ Kanatlar
zts961e	Donmuþ Buz Kanatlar
zts963e	Kýzýlderili Kutsamasý
zts964e	Ateþ elementine karþý dayanýklýlýðý yükseltir ve alýnan kritik hasarý düþürür.
zts965e	Kýzýlderili Kan Birliði
zts966e	Ateþ elementinin gücünü yükseltir ve yakýndaki birden fazla rakibi ýsýtýr.
zts967e	Tilkicik'in Cazibesi
zts968e	Tilkicik'in Cazibesi ile tamamen teslim olmuþ ve sakinleþmiþ.
zts969e	Kýrmýzý Küçük Þiþe
zts970e	Bu filigranlý cam þiþede benzersiz özel efektler saklý.
zts971e	Baþtan çýkarýcý (F)
zts972e	Tilkicik, Þirin & Çekici sayesinde herkesi baþtan çýkarýyor.
zts973e	Baþtan çýkarýcý (E)
zts974e	Baþtan çýkarýcý (D)
zts975e	Baþtan çýkarýcý (C)
zts976e	Baþtan çýkarýcý (B)
zts977e	Baþtan çýkarýcý (A)
zts978e	Baþtan çýkarýcý (S)
zts979e	Yumuþacýk Kuyruk (F)
zts980e	Hafif mi hafif dokuz yumuþacýk kuyruk.
zts981e	Yumuþacýk Kuyruk (E)
zts982e	Yumuþacýk Kuyruk (D)
zts983e	Yumuþacýk Kuyruk (C)
zts984e	Yumuþacýk Kuyruk (B)
zts985e	Yumuþacýk Kuyruk (A)
zts986e	Yumuþacýk Kuyruk (S)
zts987e	Þiddetli Uðultu (F)
zts988e	Tilkicik'in þiddetli ve kulaklarý çýnlatan tilki uðuldamasý.
zts989e	Þiddetli Uðultu (E)
zts990e	Þiddetli Uðultu (D)
zts991e	Þiddetli Uðultu (C)
zts992e	Þiddetli Uðultu (B)
zts993e	Þiddetli Uðultu (A)
zts994e	Þiddetli Uðultu (S)
zts995e	Odin'in Kutsamasý
zts996e	Su elementine karþý dayanýklýlýðý artýrýr, becerilerin soðuma süresini azaltýr ve belli aralýklarla BP yeniler.
zts997e	Odin'in Öfkesi
zts998e	Kötü etkilere ve saldýrý hasarýna karþý dayanýklýlýðý artýrýr.
zts999e	Kaplan'ýn Egemenliði
zts1000e	Kaplan ayaða kalkar.
zts1001e	Hareket hýzýný azaltýr.
zts1002e	Susam Yaðý
zts1003e	Eski Susam Yaðý
zts1004e	Çýldýrma
zts1005e	Baþ döndürücü.
zts1006e	Yoðun Kan Kaybý (F)
zts1007e	Yoðun kan kaybý baþladý.
zts1008e	Yoðun Kan Kaybý (E)
zts1009e	Yoðun Kan Kaybý (D)
zts1010e	Yoðun Kan Kaybý (C)
zts1011e	Yoðun Kan Kaybý (B)
zts1012e	Yoðun Kan Kaybý (A)
zts1013e	Yoðun Kan Kaybý (S)
zts1014e	Çýlgýn Fýrtýna (F)
zts1015e	Kaplan'ýn çýlgýn fýrtýnasý yüksek seviyeli canavarlarý ya da karakterleri etkilemez.
zts1016e	Çýlgýn Fýrtýna (E)
zts1017e	Çýlgýn Fýrtýna (D)
zts1018e	Çýlgýn Fýrtýna (C)
zts1019e	Çýlgýn Fýrtýna (B)
zts1020e	Çýlgýn Fýrtýna (A)
zts1021e	Çýlgýn Fýrtýna (S)
zts1022e	Kaplan'ýn Egemenliði (F)
zts1023e	Kaplan ayaða kalkar.
zts1024e	Kaplan'ýn Egemenliði (E)
zts1025e	Kaplan'ýn Egemenliði (D)
zts1026e	Kaplan'ýn Egemenliði (C)
zts1027e	Kaplan'ýn Egemenliði (B)
zts1028e	Kaplan'ýn Egemenliði (A)
zts1029e	Kaplan'ýn Egemenliði (S)
zts1030e	Becerikli El
zts1031e	Etki süresi boyunca her saldýrýda kritik bir isabet saðlar.
zts1033e	Kýrmýzý fasulye çorbasý.
zts1034e	Benim definem, senin definen
zts1035e	Cheongbi ve Hongbi birlikte daha güçlü.
zts1036e	Þeytan Kutsamasý
zts1037e	Eksik kutsama alýr.
zts1038e	Dikenli Çalý
zts1039e	Laurena'nýn lanetli büyüsü, dikenler sayesinde hareketsiz hale getirir.
zts1040e	Lanetin Kokusu (Kurt)
zts1041e	Laurena'nýn lanetli büyüsü, hedefi bir kurda dönüþtürür.
zts1042e	Lanetin Kokusu (Sýçan)
zts1043e	Laurena'nýn lanetli büyüsü, hedefi bir sýçana dönüþtürür.
zts1044e	Boynuz Kulübü (F)
zts1045e	Dikkat, çok kötü acýtýr!
zts1046e	Boynuz Kulübü (E)
zts1047e	Boynuz Kulübü (D)
zts1048e	Boynuz Kulübü (C)
zts1049e	Boynuz Kulübü (B)
zts1050e	Boynuz Kulübü (A)
zts1051e	Boynuz Kulübü (S)
zts1052e	Þeytancýðýn Klonu (F)
zts1053e	Þeytancýðýn saldýrgan bir klonunu çaðýrýr.
zts1054e	Þeytancýðýn Klonu (E)
zts1055e	Þeytancýðýn Klonu (D)
zts1056e	Þeytancýðýn Klonu (C)
zts1057e	Þeytancýðýn Klonu (B)
zts1058e	Þeytancýðýn Klonu (A)
zts1059e	Þeytancýðýn Klonu (S)
zts1060e	Þeytancýðýn Þapkasý (F)
zts1061e	Þeytancýðýn buhar olup uçma kabiliyetini kullanýr.
zts1062e	Þeytancýðýn Þapkasý (E)
zts1063e	Þeytancýðýn Þapkasý (D)
zts1064e	Þeytancýðýn Þapkasý (C)
zts1065e	Þeytancýðýn Þapkasý (B)
zts1066e	Þeytancýðýn Þapkasý (A)
zts1067e	Þeytancýðýn Þapkasý (S)
zts1068e	Parlayan Kader (F)
zts1069e	Düþmaný parlayan bir ýþýkla cezalandýrýr.
zts1070e	Parlayan Kader (E)
zts1071e	Parlayan Kader (D)
zts1072e	Parlayan Kader (C)
zts1073e	Parlayan Kader (B)
zts1074e	Parlayan Kader (A)
zts1075e	Parlayan Kader (S)
zts1076e	Iþýk Ýþareti (F)
zts1077e	Pýrýl pýrýl parlayan bir iþaret.
zts1078e	Iþýk Ýþareti (E)
zts1079e	Iþýk Ýþareti (D)
zts1080e	Iþýk Ýþareti (C)
zts1081e	Iþýk Ýþareti (B)
zts1082e	Iþýk Ýþareti (A)
zts1083e	Iþýk Ýþareti (S)
zts1084e	Tanrý Adýna (F)
zts1085e	Rakibi tanrýnýn gücüyle zayýflatýr.
zts1086e	Tanrý Adýna (E)
zts1087e	Tanrý Adýna (D)
zts1088e	Tanrý Adýna (C)
zts1089e	Tanrý Adýna (B)
zts1090e	Tanrý Adýna (A)
zts1091e	Tanrý Adýna (S)
zts1092e	Temizlik Enerjisi
zts1093e	Tozun etkisi moralsizliði giderir.
zts1094e	Moralsizlik
zts1095e	Cadý Laurena'nýn gücü, yaþam gücünü emer.
zts1096e	Lanetin Kokusu (Çalýkuyruk)
zts1097e	Laurena'nýn lanetli gücü, hedefi bir çalýkuyruðuna dönüþtürür.
zts1098e	Sihirli Kelepçe
zts1099e	Düþman saldýrýlarýn elemente baðlý becerilerini kullanma imkaný saðlar.
zts1100e	Alev
zts1101e	Ateþin Enerjisi
zts1102e	Buz
zts1103e	Suyun Enerjisi
zts1104e	Ayla
zts1105e	Iþýðýn Enerjisi
zts1106e	Elementsiz
zts1107e	Nötr Enerji
zts1108e	Karanlýk
zts1109e	Sollama Þeridi 1
zts1110e	Saldýrýda efekt kaldýrýlýr ve ek saldýrý hasarý oluþturulur.
zts1111e	Sollama Þeridi 2
zts1112e	Sollama Þeridi 3
zts1113e	Sihirli Söz
zts1114e	Sihir Kitabý
zts1115e	Yeteneði belli bir süre maksimuma çýkarýr.
zts1116e	Parlayan Toz
zts1117e	Parlayan tozla boyanmýþ. Kutsal patlamayla ek hasar alýr.
zts1118e	Günlük
zts1119e	Iþýnlanacak yeri kaydeder.
zts1120e	Aydýnlanma
zts1121e	Tanrý Kutsamasý
zts1122e	Namlu Aðzý
zts1123e	Yara nedeniyle yavaþladý.
zts1124e	Azabýn Hükmü
zts1125e	Azabýn gücü hareketi kýsýtlar.
zts1126e	Hüküm
zts1127e	Saldýrýyý belli bir süre engelleyemez.
zts1128e	Kutsal Emanet
zts1129e	Yenilemeyi büyük miktarda azaltýr.
zts1130e	Ateþleme
zts1131e	Kutsal güç kýlýcý sarar ve saldýrý hasarýný artýrýr.
zts1132e	Geri Tepme
zts1133e	Kutsal güç savunmayý artýrmak için bedeni sarar.
zts1134e	Yýkým
zts1135e	Azabýn enerjisini yoðunlaþtýrýr ve dönüþ sayesinde ek hasar oluþturur.
zts1136e	Karanlýk Koþu
zts1137e	Koþu enerjisi maksimuma çýkarýlýr.
zts1138e	Iþýk Darbesi (F)
zts1139e	Þiddetli bir ýþýk darbesi verir.
zts1140e	Iþýk Darbesi (E)
zts1141e	Iþýk Darbesi (D)
zts1142e	Iþýk Darbesi (C)
