zts1e	Ataques especiales
zts594e	Extracción de HP
zts595e	Conseguir una extracción del oponente
zts596e	El nivel de HP del oponente ha sido reducido un %s y el nivel de HP del jugador ha aumentado la misma cantidad.
zts597e	Habilidad del jefe de los monstruos
zts598e	Maestro Morcos
zts599e	Proporciona %s%% daños al jugador que se encuentra a %s campos de ti.
zts600e	Pierdes el reflejo y la probabilidad de MP
zts601e	Perder los MP restantes con cierta probabilidad
zts602e	No utilizar este objeto.
zts603e	Tiene un %s%% de probabilidades de eliminar un %s%% de los MP restantes.
zts604e	Especialización y Hechizo Resistencia
zts605e	Hechizo Resistencia
zts606e	Especialización PvP
zts607e	Eliminar hechizo por debajo de un determinado nivel.
zts608e	%s%% de resistencia contra el efecto: %s e inferior.
zts609e	%s daños adicionales en modo PvP.
zts610e	Disminuye %s daños en modo dos jugadores.
zts611e	Tiene una probabilidad del %s%% de eliminar efectos dañinos de nivel inferior al %s.
zts612e	La explosión ha causado %s%% daños en %s bloques cercanos.
zts613e	Maestro Hatus
zts614e	Ataque Cabeza de Dragón
zts615e	Causa %s%% daños a los jugadores de un lugar determinado.
zts616e	Lady Calvina
zts617e	Invocar serpiente
zts618e	Especialista SE
zts619e	Energía del escudo
zts620e	Expansión del hechizo
zts621e	Movimiento del aura
zts622e	Vida y muerte
zts623e	Inserta el número de hechizos y el valor de los daños (1/1000).
zts624e	Inserta el número de hechizos.
zts625e	Moviendo el aura provoca esta influencia a tu alrededor.
zts626e	No tienes que insertar nada.
zts627e	Cuanto menos vida tengas, más fuerte será el efecto.
zts628e	4. Raid de la familia Glacernon
zts629e	4. Habilidad de Glacernon
zts630e	Todos los adversarios que se encuentren a %s campos a la redonda sufren un daño de %s%%.
zts631e	Todos los adversarios que se encuentren a %s campos a la redonda sufren un gran daño de %s%%.
zts632e	Ataque del monstruo evocado
zts633e	Eliminar monstruo evocado
zts634e	Le infliges un %s%% de daño a [%s].
zts638e	Aumenta el nivel máximo de HP en un %s%%, pero nunca más de 5 000 HP.
zts639e	Reduce el nivel máximo de HP en un %s%%, aunque no más de 5000 HP.
zts651e	El Acelerador aumenta tu velocidad.
zts652e	Tu velocidad aumenta al máximo durante un período corto de tiempo.
zts657e	esconder en barril de ron
zts663e	Invoca 1 [%s] con una probabilidad del %s%%.
zts664e	Invoca 1 [%s] con una probabilidad del %s%% (desaparece pasado un tiempo)
zts668e	Atrae hacia ti la atención de los enemigos cercanos.
zts671e	La fuerza de ataque total ha aumentado en un %s%%.
zts672e	La fuerza de ataque total se ha reducido en un %s%%.
zts673e	La fuerza de defensa total ha aumentado en un %s%%.
zts674e	La fuerza de defensa total se ha reducido en un %s%%.
zts675e	Modifica el nivel máximo de MP. (Espíritu del Oso)
zts676e	Aumenta el nivel máximo de MP en un %s%%, pero nunca más de 5 000 MP.
zts677e	Reduce el nivel máximo de MP en un %s%%, aunque no más de 5 000 MP.
zts678e	Reduce las habilidades de todos tus oponentes.
zts685e	Refleja el daño máximo recibido de %s.
zts686e	El daño infligido por todos los ataques aumentará en un %s%% con una probabilidad del %s%%. Si la defensa funciona, la energía se cargará.
zts687e	El daño infligido por todos los ataques se reducirá en un %s%% con una probabilidad del %s%%. Si la defensa funciona, la energía se cargará.
zts688e	Cuando hayas conseguido derrotar a tu oponente con esta habilidad, habrá una probabilidad del %s%% de que se dé el siguiente efecto: [%s].
zts689e	Si te burlas de un oponente que ha caído fuera de combate, habrá una probabilidad del %s%% de que se dé el siguiente efecto: [%s].
zts690e	Si te burlas de un oponente que tiene un estado normal, habrá una probabilidad del %s%% de que se dé el siguiente efecto: [%s].
zts691e	Devuelve el efecto maligno del oponente con una probabilidad determinada.
zts694e	El radio de ataque aumenta en %s.
zts695e	El radio de ataque del Servidor del cañón de fuego se reduce en %s.
zts696e	Retroceso ante %s bloqueos del adversario.
zts699e	Las habilidades ígneas de Volcano aumentan en %s.
zts700e	Las habilidades ígneas de Volcano se reducen en %s.
zts704e	Reduce la efectividad del buff que potencia del ataque del enemigo.
zts705e	Si consigues esquivar el ataque del enemigo, el buff aumentará con una probabilidad determinada.
zts706e	Defensa contra %s de daño crítico.
zts713e	Reduce en un %s%% el daño que recibe tu compañero dentro del alcance. En cambio, recibes %s%% del daño de tu compañero.
zts714e	Aumenta el daño transferido por el compañero en un %s%%.
zts715e	Reduce el daño transferido por el compañero en un %s%%.
zts716e	La capacidad de recuperación de HP ha aumentado en un %s%%.
zts717e	La capacidad de recuperación de HP ha disminuido en un %s%%.
zts718e	Daños adicionales recibidos por combo de habilidades: %s%%
zts728e	El Sacrificio produce, con una probabilidad del %s%%, [%s].
zts732e	Se genera, con una probabilidad del %s%%, [%s] en el lugar fijado.
zts733e	Se retira, con una probabilidad del %s%%, [%s] en el lugar indicado.
zts734e	Desaparece sin dejar rastro.
zts741e	Hay una probabilidad de un %s %% de que no sufras daño. Además, un %s %% del daño que habrías recibido se añadirá a tus HP.
zts742e	Hay una probabilidad de un %s %% de que no sufras daño. En su lugar, un %s %% del daño que habrías recibido se restará a tus HP.
zts745e	Los daños aumentan en %s%% debido a la utilización de la técnica [%s].
zts746e	Los daños disminuyen en %s%% debido a la utilización de la técnica [%s].
zts747e	El índice de golpe mortal aumenta en %s%% debido a la utilización de la técnica [%s].
zts748e	El índice de golpe mortal disminuye en %s%% debido a la utilización de la técnica [%s].
zts752e	Aumenta los daños contra %s en un %s%%.
zts753e	Cuando %s ataque a un jugador, los daños disminuirán en %s%%.
zts754e	La eficacia de los objetos de recuperación aumenta en %s%%.
zts755e	La eficacia de los objetos de recuperación disminuye en %s%%.
zts757e	Si Liona lleva la Tarjeta del especialista para compañero, hay una probabilidad del %s%% de que se produzca [%s].
zts758e	Si Liona lleva la Tarjeta del especialista para compañero, hay una probabilidad del %s%% de que se elimine [%s].
zts764e	Tender una emboscada al enemigo y atacarlo.
zts765e	El halcón sigue y acecha al enemigo y puede atacarlo desde el aire.
zts766e	Gracias a los agudos sentidos del halcón, se identifica y ataca al enemigo con menos HP. Después, este jugador queda marcado para que los demás también puedan atacarlo.
zts767e	Aumenta el poder de defensa en PvP.
zts768e	Reduce el daño recibido en modo PvP en un %s %%.
zts769e	El poder de defensa en PvP disminuye en un %s%%.
zts776e	Restablece un %s%% del HP restante del oponente.
zts777e	Disminuye el nivel de HP del oponente en %s%%
zts778e	Si se utiliza %s veces, se produce [%s]. Solo puede subir hasta el nivel 2.
zts779e	El alcance de ataque aumenta en %s.
zts780e	El alcance de ataque se reduce en %s.
zts781e	Mover en otra dirección durante %s segundos contra la voluntad del jugador.
zts782e	Desde la emboscada se provoca, con una probabilidad del %s%%, [%s].
zts787e	Tras un ataque de francotirador se produce, con una probabilidad del %s%%, [%s].
zts788e	Tras un ataque de francotirador se retira, con una probabilidad del %s%%, [%s].
zts789e	El alcance de ataque de emboscada aumenta en %s.
zts790e	Se produce, con una probabilidad del %s%%, [%s] después de un ataque de emboscada.
zts793e	Pierdes todo el control sobre tu cuerpo. Otros jugadores pueden liberarte del hielo eterno.
zts794e	La meditación corta genera, con una probabilidad del %s%%, [%s].
zts795e	La meditación media genera, con una probabilidad del %s%%, [%s].
zts796e	La meditación larga genera, con una probabilidad del %s%%, [%s].
zts799e	Recibes un impacto crítico de francotirador con una probabilidad de un %s %% del daño.
zts808e	Desplazamiento de %s campo/s hacia atrás con una probabilidad del %s%%.
zts810e	Desplaza al adversario, con una probabilidad del %s%%, %s campo/s hacia atrás.
zts811e	El tiempo de efecto para ataque a corta distancia aumenta en %s.
zts812e	El tiempo de efecto para ataque a corta distancia se reduce en %s.
zts813e	El tiempo de efecto para ataque a larga distancia aumenta en %s.
zts814e	El tiempo de efecto para ataque a larga distancia se reduce en %s.
zts815e	El tiempo de efecto para ataque mágico aumenta en %s.
zts816e	El tiempo de efecto para ataque mágico se reduce en %s.
zts817e	Cuando te mata otro jugador, su HP se reduce en un %s %% de los HP que haya perdido.
zts818e	Cuando te mata otro jugador, su HP se incrementa en un %s %% de los HP que haya perdido.
zts819e	Aumenta el poder de ataque en PvP.
zts820e	Aumenta el poder de ataque en PvP en un %s%%.
zts821e	Se reduce el poder de ataque en PvP en un %s%%.
zts823e	Te teletransporta al lugar escogido.
zts827e	Otorga una probabilidad del %s%% de invocar [%s].
zts828e	Recupera tus HP en un %s%%.
zts829e	Disminuye tus HP en un %s%%.
zts831e	Puede cazar ovejas.
zts832e	Buff de la arena de equipos
zts833e	Poder de defensa de la arena de equipos
zts834e	Poder de ataque de la arena de equipos
zts835e	El daño recibido en la arena de equipos tiene una probabilidad del %s%% de aumentar en un %s%%.
zts836e	El daño recibido en la arena de equipos tiene una probabilidad del %s%% de reducirse en un %s%%.
zts837e	El poder de ataque en la arena de equipos tiene una probabilidad del %s%% de aumentar en un %s%% durante un ataque.
zts838e	El poder de ataque en la arena de equipos tiene una probabilidad del %s%% de reducirse en un %s%% durante un ataque.
zts840e	Llamar al nº. 1
zts841e	Llamar al nº. 2
zts842e	Llamar al nº. 3
zts843e	Vista de espectador
zts844e	Llamar al participante nº. 1
zts845e	Llamar al participante nº. 2
zts846e	Llamar al participante nº. 3
zts847e	Cambiar de la vista propia a los participantes en el combate.
zts849e	Solamente puedes ver a personajes escondidos en tus cercanías.
zts850e	Aumento de los puntos de experiencia de tu hada
zts851e	Los puntos de experiencia de tu hada aumentan en un %s%%.
zts853e	Lanza bellotas tan fuerte como puede.
zts860e	Con una probabilidad de éxito del %s%% invoca hasta %s Clones oscuros.
zts861e	Existe una probabilidad de %s%% de convertir los efectos regeneradores de HP en daño.
zts862e	Transforma los daños de los enemigos en un efecto sanador con una probabilidad de éxito del %s%%. El HP regenerado y los daños acumulados desaparecen tras %s segundos.
zts863e	El tiempo de regeneración de las técnicas de los enemigos aumenta en un %s%%, con una probabilidad de éxito del %s%%. Cuando la técnica da resultado, tu tiempo de regeneración disminuye.
zts864e	Hay una probabilidad de un %s%% de aumentar los daños recibidos mediante el elemento tinieblas en un %s%% mientras te acompañe un Hada de las tinieblas.
zts865e	Hay una probabilidad de un %s%% de disminuir los daños recibidos mediante el elemento tinieblas en un %s%%.
zts869e	Hay una probabilidad de un %s%% de utilizar [%s] cuando haya un espíritu absorbido.
zts870e	Hay una probabilidad de un %s%% de utilizar [%s] cuando no haya un espíritu absorbido.
zts871e	Resiste el movimiento forzado con una probabilidad del %s%%.
zts873e	El período de tiempo para la reutilización de habilidades mágicas ha aumentado en un %s%%.
zts874e	El período de tiempo para la reutilización de habilidades mágicas ha disminuido en un %s%%.
zts877e	Ataca a todos los enemigos que están en el campo de visión salvo en un lugar concreto.
zts878e	Reduce el nivel de HP del enemigo en un %s%% con una probabilidad del %s%%.
zts879e	El nivel de HP se reduce en un %s%% del daño ocasionado con una probabilidad del %s%%.
zts883e	Invoca un zarzal que esté a la vista.
zts884e	Transforma el objetivo.
zts886e	Hay una probabilidad del %s%% de que no se puedan emplear efectos beneficiosos por debajo del nivel %s.
zts890e	Teleporta velozmente %s campos adelante.
zts891e	Hace caer diez meteoritos y %s adicionales.
zts892e	Te teleporta con %s miembros al lugar guardado.
zts894e	Solamente capaz de lanzar un ataque normal debido a la furia.
zts895e	Atrae hacia ti la atención de los enemigos a 5 campos de distancia.
zts900e	Hay una probabilidad del %s%% de que se ignoren %s%% de la defensa del objetivo.
zts901e	Hay una probabilidad del %s%% de que se reduzca el daño crítico recibido en un %s%%.
zts904e	Transformación en héroe. Los MP máximos variarán porcentualmente.
zts905e	Aparición de Ancelloan. Los HP y los MP máximos aumentan en un %s%%.
zts906e	Aparición de Ancelloan. Los HP y los MP máximos disminuyen en un %s%%.
zts908e	Durante el ataque hay una probabilidad del %s %% de invocar a un clon de sombras para que lance un ataque adicional.
zts909e	Robo de efecto
zts910e	En caso de impactar, al enemigo se le roba un efecto por debajo del nivel %s. Máximo: %s efectos.
zts912e	Si el ataque tiene éxito, se pueden robar efectos positivos por debajo del nivel %s del compañero del objetivo y transferirlos a aliados en el rango de 3 campos. Se puede robar hasta un máximo de %s efectos.
zts913e	Abortar transformación
zts914e	La transformación tiene una probabilidad del %s%% de interrumpirse. Retorna al estado anterior cuando el efecto desaparece.
zts916e	No puede atacar durante %s segundo.
zts917e	Probabilidad del %s %% de que se interrumpa la transformación. Si se interrumpe, no se podrá atacar durante %s segundo. El objetivo regresa al estado anterior.
zts919e	Cambio de sitio
zts920e	Intercambia la posición con el objetivo. En cuanto termine el efecto, el personaje vuelve a la posición inicial.
zts923e	Si mueres, la cantidad de puntos de fama que pierdes aumenta en un %s%%.
zts924e	Si mueres, la cantidad de puntos de fama que pierdes disminuye en un %s%%.
zts925e	Si mueres, la cantidad de puntos de experiencia de nivel heroico que pierdes aumenta en un %s%%.
zts926e	Si mueres, la cantidad de puntos de experiencia de nivel heroico que pierdes disminuye en un %s%%.
zts928e	Se ejecutará la sentencia; la muerte os espera.
zts931e	Aumenta el daño contra jugadores de la facción de los Ángeles en un %s %%.
zts932e	Cuando atacas a ángeles, tus daños máximos se reducen a %s%%.
zts933e	Aumenta el daño contra jugadores de la facción de los Demonios en un %s %%.
zts934e	Cuando atacas a demonios, tus daños máximos se reducen a %s%%.
zts937e	Hay una probabilidad del %s%% de que se restaure el tiempo de espera de la habilidad de ataque empleada.
zts938e	Hay una probabilidad del %s%% de que se emplee [%s] sobre la alianza dentro de 5 campos.
zts939e	Hay una probabilidad del %s%% de que se elimine [%s] de la alianza dentro de 5 campos.
zts940e	Otorga una probabilidad del %s%% de eliminar efectos positivos por debajo del nivel %s.
zts942e	Si el nivel de combate del monstruo es igual o más alto que el del personaje, hay una probabilidad de un %s %% de que el daño aumente un %s %%.
zts943e	Si el nivel del monstruo es más alto que el del personaje, hay una probabilidad de un %s%% de que el daño disminuya en un %s%%.
zts945e	Bloquea %s efectos negativos por debajo del nivel %s.
zts947e	Tu velocidad de movimiento aumenta en %s mientras te ocultes.
zts948e	Tu velocidad de movimiento disminuye en %s mientras te ocultes.
zts955e	La fama recibida aumenta en un %s%%.
zts956e	La fama recibida se reduce en un %s%%.
zts957e	La experiencia de héroe recibida aumenta en un %s%%.
zts958e	La experiencia de héroe recibida se reduce en un %s%%.
zts959e	Mientras te acompañen puedes recibir siempre tras %s hora(s) %s objeto(s) desconocido(s).
zts960e	%s%% de probabilidad de retirarle al enemigo un potenciador de refuerzo.
zts961e	Crea mediante la magia del Liche un Dragón de huesos y le otorga al usuario la Fuerza vital del dragón.
zts962e	Crea mediante la magia del Liche un Dragón de huesos y le otorga al usuario la Fuerza vital del dragón fuerte.
zts970e	Los ataques dirigidos a enemigos escondidos pueden ocasionar %s daños ocasionales
zts972e	El daño de enemigos ocultos aumenta en %s%%.
zts973e	El daño de enemigos ocultos aumenta en un %s%%.
zts974e	Desvela enemigos ocultos en %s campos adyacentes.
zts977e	Vuelve al mini-mundo y regenera un %s%% de tus HP. Si tus HP están al máximo, recibirás un %s%% de HP adicionales.
zts980e	Puede utilizar la habilidad %s veces sin tiempo de espera.
zts985e	Se transforma y adopta la postura del dragón, con la que puedes lanzar ataques llameantes.
zts986e	Se transforma y adopta la postura del haetae, con la que puedes lanzar ataques con el poder de la bestia.
zts987e	Tiene una probabilidad del %s%% de cancelar el tiempo de espera de %s.
zts988e	Tiene una probabilidad del %s%% de cancelar el tiempo de espera de %s.
zts991e	Los puntos de experiencia profesional y de combate recibidos aumentan en un %s%%.
zts993e	Tienes una probabilidad del %s%% de disparar una flecha mágica cuando utilices magia o habilidades de ataque a distancia.
zts997e	Probabilidad del %s%% de aumentar el daño de ataques de fuego en un %s%%.
zts998e	Probabilidad del %s%% de reducir el daño de ataques de fuego en un %s%%.
zts999e	En compañía, incremento del daño en un %s%% contra monstruos en un recipiente sellado y en un %s%% contra monstruos en el Reino de la Muerte.
zts1000e	En compañía, reducción del daño en un %s%% contra monstruos en un recipiente sellado y en un %s%% contra monstruos en el Reino de la Muerte.
zts1002e	Zancada
zts1003e	Iluminación
zts1004e	Entrada de luz lunar
zts1005e	Posición floral
zts1006e	Marca lunar
zts1007e	Esquivas ataques y tienes una probabilidad del %s %% de generar %s.
zts1008e	Si usas una habilidad de potenciador mientras está activo Iluminación, recibes efectos adicionales.
zts1010e	Puedes usar habilidades de la Luna llena.
zts1012e	Puedes usar habilidades de la Flor de loto.
zts1014e	El próximo daño que provocas a un enemigo con la Marca aumenta en %s%% y consume la Marca lunar.
zts1015e	El próximo daño del enemigo se reduce en %s%% y consume la Marca lunar.
zts1016e	Daño aumentado en un %s%% contra monstruos en recipientes sellados y en un %s%% contra monstruos en el Reino de la Muerte.
zts1017e	Daño reducido en un %s%% contra monstruos en recipientes sellados y en un %s%% contra monstruos en el Reino de la Muerte.
zts1019e	Aguante
zts1020e	Posibilidad de ataque
zts1021e	Marca de la luna llena
zts1022e	Ligado por el poder de la luna llena
zts1023e	Si te atacan, tienes un %s%% de probabilidad de generar lo siguiente: %s.
zts1024e	Tras utilizar una habilidad de ataque, existe la probabilidad de recibir una posibilidad de ataque adicional.
zts1025e	El próximo daño que provocas a un enemigo con la Marca aumenta en %s%% y consume la Marca de la luna llena.
zts1026e	Si el efecto "Ligado por el poder de la luz lunar" daña a tu oponente, activarás "Ligado por el poder de la luna llena".
zts1027e	Varía el valor de porcentaje del elemento.
zts1028e	Varía el valor de porcentaje del elemento fuego.
zts1029e	Varía el valor de porcentaje del elemento agua.
zts1030e	Varía el valor de porcentaje del elemento luz.
zts1031e	Varía el valor de porcentaje del elemento tinieblas.
zts1032e	Varía los valores de porcentaje de todos los elementos.
zts1033e	El daño de bonificación del elemento fuego aumenta en un %s %%.
zts1034e	El elemento fuego se reduce en un %s%%.
zts1035e	El elemento agua aumenta en un %s%%.
zts1036e	El elemento agua se reduce en un %s%%.
zts1037e	El elemento luz aumenta en un %s%%.
zts1038e	El elemento luz se reduce en un %s%%.
zts1039e	El elemento tinieblas aumenta en un %s%%.
zts1040e	El elemento tinieblas se reduce en un %s%%.
zts1041e	Todos los elementos aumentan en un %s%%.
zts1042e	Todos los elementos se reducen en un %s%%.
zts1043e	Varía el valor de porcentaje de la resistencia elemental.
zts1044e	Varía los valores de porcentaje de todas las resistencias.
zts1045e	Varía el valor de porcentaje de la resistencia al fuego.
zts1046e	Varía el valor de porcentaje de la resistencia al agua.
zts1047e	Varía el valor de porcentaje de la resistencia a la luz.
zts1048e	Varía el valor de porcentaje de la resistencia a las tinieblas.
zts1049e	Todas las resistencias elementales aumentan en un %s%%.
zts1050e	Todas las resistencias elementales se reducen en un %s%%.
zts1051e	La resistencia al fuego aumenta en un %s%%.
zts1052e	La resistencia al fuego se reduce en un %s%%.
zts1053e	La resistencia al agua aumenta en un %s%%.
zts1054e	La resistencia al agua se reduce en un %s%%.
zts1055e	La resistencia a la luz aumenta en un %s%%.
zts1056e	La resistencia a la luz se reduce en un %s%%.
zts1057e	La resistencia a las tinieblas aumenta en un %s%%.
zts1058e	La resistencia a las tinieblas se reduce en un %s%%.
zts1060e	Hay una probabilidad de que un objeto de botín vuelva a caer. El efecto solo se aplica si el objeto que se ha tirado se asigna al jugador. No se aplica si se comparte en el grupo.
zts1061e	Cuando un monstruo deja caer un objeto hay una probabilidad del %s %% de que vuelva a dejar caer el mismo objeto. El efecto solo se aplica si el objeto que se ha tirado se asigna al jugador. No se aplica si se comparte en el grupo.
zts1064e	Aumenta en %s el elemento del hada que tengas equipada.
zts1065e	El elemento de un hada equipada se reduce en %s.
zts1070e	Hay una probabilidad del (HP momentáneos / HP máximos*%s) %% de que el enemigo reciba el efecto %s.
zts1071e	Hay una probabilidad del (HP perdidos / HP máximos*%s) %% de que el enemigo reciba el efecto %s.
zts1072e	Si el ataque tiene éxito recibes %s puntos definitivos.
zts1073e	Si te atacan mientras esté activado el Bloqueo recibes %s puntos definitivos.
zts1074e	Puedes utilizar habilidades definitivas.
zts1075e	El daño causado por el enemigo desactiva este efecto.
zts1078e	El poder de ataque PvP aumenta durante la Batalla Arco Iris en un %s %%. La velocidad de movimiento aumenta durante la Batalla Arco Iris en %s.
zts1079e	El poder de ataque PvP se reduce durante la Batalla Arco Iris en un %s %%. La velocidad de movimiento se reduce durante la Batalla Arco Iris en %s.
zts1086e	Todo el daño elemental tiene una probabilidad del %s %% de aumentar en un %s %%.
zts1087e	Todo el daño elemental tiene una probabilidad del %s %% de reducirse en un %s %%.
zts1088e	Todo el daño de ataques de fuego tiene una probabilidad del %s %% de aumentar en un %s %%.
zts1089e	Todo el daño de ataques de fuego tiene una probabilidad del %s %% de reducirse en un %s %%.
zts1090e	Todo el daño de ataques de agua tiene una probabilidad del %s %% de aumentar en un %s %%.
zts1091e	Todo el daño de ataques de agua tiene una probabilidad del %s %% de reducirse en un %s %%.
zts1092e	Todo el daño de ataques de luz tiene una probabilidad del %s %% de aumentar en un %s %%.
zts1093e	Todo el daño de ataques de luz tiene una probabilidad del %s %% de reducirse en un %s %%.
zts1094e	Todo el daño de ataques de tinieblas tiene una probabilidad del %s %% de aumentar en un %s %%.
zts1095e	Todo el daño de ataques de tinieblas tiene una probabilidad del %s %% de reducirse en un %s %%.
zts1102e	El daño contra plantas de nivel bajo aumenta en un %s %%.
zts1103e	El daño contra plantas de nivel bajo se reduce en un %s %%.
zts1104e	El daño contra animales de nivel bajo aumenta en un %s %%.
zts1105e	El daño contra animales de nivel bajo se reduce en un %s %%.
zts1106e	El daño contra monstruos de nivel bajo aumenta en un %s %%.
zts1107e	El daño contra monstruos de nivel bajo se reduce en un %s %%.
zts1108e	El daño contra Duendes aumenta en un %s %%.
zts1109e	El daño contra Duendes se reduce en un %s %%.
zts1110e	El daño contra Catsys aumenta en un %s %%.
zts1111e	El daño contra Catsys se reduce en un %s %%.
zts1116e	El daño contra Almas de nivel bajo se reduce en un %s %%.
zts1117e	El daño contra Ángeles aumenta en un %s %%.
zts1118e	El daño contra Ángeles se reduce en un %s %%.
zts1119e	El daño contra Demonios aumenta en un %s %%.
zts1120e	El daño contra Demonios se reduce en un %s %%.
zts1126e	El daño contra monstruos de nivel bajo en el Reino de la Muerte se reduce en un %s %%.
zts1127e	El daño contra monstruos de nivel bajo en recipientes sellados aumenta en un %s %%.
zts1128e	El daño contra monstruos de nivel bajo en recipientes sellados se reduce en un %s %%.
zts1129e	La ganancia de experiencia aumenta en un %s %% .
zts1130e	La ganancia de experiencia se reduce en un %s %%.
zts1131e	La ganancia de experiencia de profesión aumenta en un %s %%.
zts1132e	La ganancia de experiencia de profesión se reduce en un %s %%.
zts1138e	Los puntos de habilidad de ataque de tu especialista se reducen en %s.
zts1139e	Los puntos de habilidad de defensa de tu especialista aumentan en %s.
zts1140e	Los puntos de habilidad de defensa de tu especialista se reducen en %s.
zts1141e	Los puntos de habilidad elemental de tu especialista aumentan en %s.
zts1142e	Los puntos de habilidad elemental de tu especialista se reducen en %s.
zts1143e	Los puntos de habilidad de HP/MP de tu especialista aumentan en %s.
zts1144e	Los puntos de habilidad de HP/MP de tu especialista se reducen en %s.
zts1150e	Todos los ataques aumentan en un %s %%.
zts1151e	Todos los ataques se reducen en un %s %%.
zts1152e	Los ataques cuerpo a cuerpo aumentan en un %s %%.
zts1153e	Los ataques cuerpo a cuerpo se reducen en un %s %%.
zts1154e	Los ataques a distancia aumentan en un %s %%.
zts1155e	Los ataques a distancia se reducen en un %s %%.
zts1156e	Los ataques mágicos aumentan en un %s %%.
zts1157e	Los ataques mágicos se reducen en un %s %%.
zts1158e	El daño contra Almas de nivel bajo aumenta en un %s %%.
zts1159e	El daño contra monstruos de nivel bajo en el Reino de la Muerte aumenta en un %s %%.
zts1160e	Los puntos de habilidad de ataque de tu especialista aumentan en %s.
zts1162e	Al atacar hay una probabilidad del %s %% de aumentar en %s el elemento del hada equipada.
zts1163e	Al atacar hay una probabilidad del %s %% de reducir en %s el elemento del hada equipada.
zts1169e	Hay una probabilidad de un %s %% de que el enemigo reciba el efecto %s al atacar.
zts1170e	Hay una probabilidad de un %s %% de que recibas el efecto %s al atacar.
zts1171e	Hay una probabilidad de un %s %% de que el enemigo reciba el efecto %s al defender.
zts1172e	Hay una probabilidad de un %s %% de que recibas el efecto %s al defender.
zts1176e	Si te atacan con una habilidad de elemento tinieblas, hay una probabilidad de un %s %% de causar el efecto %s.
zts1177e	Si estás bajo el efecto de penalizaciones, los poderes de ataque y defensa aumentan un %s %% por penalización.
zts1178e	Si estás bajo el efecto de potenciadores, los poderes de ataque y defensa aumentan un %s %% por potenciador.
zts1180e	Hay una probabilidad del %s %% de que el enemigo reciba %s dentro de 2 campos.
zts1181e	Hay una probabilidad del %s %% de retirar %s de un enemigo dentro de 2 campos.
zts1190e	Hay una probabilidad del %s %% de invocar un/a %s al defender.
zts1191e	Hay una probabilidad del %s %% de invocar dos %s al defender.
zts1198e	Hay una probabilidad del %s %% de causar Ataque de los meteoritos al atacar.
zts1199e	Hay una probabilidad del %s %% de devolver un %s %% de daño al enemigo al defender.
zts1200e	Hay una probabilidad del %s %% de lanzar un ataque de lobo al atacar.
zts1201e	Hay una probabilidad de un %s %% de empujar al enemigo al defender.
zts1210e	Hay una probabilidad del %s %% de desencadenar un relámpago al atacar.
zts1211e	Hay una probabilidad del %s %% de causar Poder de la maldición al atacar.
zts1212e	Hay una probabilidad del %s %% de lanzar un ataque de oso al atacar.
zts1213e	Hay una probabilidad del %s %% de causar Poder del frío al atacar.
zts1215e	El daño contra muertos vivientes de nivel bajo aumenta en un %s %%.
zts1216e	El daño contra muertos vivientes de nivel bajo se reduce en un %s %%.
zts1220e	La defensa en distancias cortas aumenta en un %s %%.
zts1221e	La defensa en distancias cortas disminuye en un %s %%.
zts1222e	La defensa en distancias largas aumenta en un %s %%.
zts1223e	La defensa en distancias largas disminuye en un %s %%.
zts1224e	La defensa mágica aumenta en un %s %%.
zts1225e	La defensa mágica disminuye en un %s %%.
zts1227e	La recuperación de MP aumenta en un %s %%.
zts1228e	La recuperación de MP disminuye en un %s %%.
zts1231e	El daño contra monstruos aumenta en un %s %%.
zts1232e	El daño contra monstruos se reduce en un %s %%.
zts1234e	El consumo de puntos de producción disminuye en un %s %%.
zts1235e	El consumo de puntos de producción aumenta en un %s %%.
zts1237e	La capacidad de esquivar aumenta en un %s %%.
zts1238e	La capacidad de esquivar disminuye en un %s %%.
zts1246e	Hay una probabilidad del %s %% de devolver un %s %% de daño al enemigo al defender.
zts1247e	Causa a todos los enemigos dentro de %s campo(s) %s de daño cada 4 segundos.
zts1248e	El poder de ataque de tu NosMate aumenta en un %s %%.
zts1249e	Causa a todos los enemigos dentro de %s campo(s) %s cada 4 segundos.
zts1250e	Un enemigo tiene un %s %% de probabilidades (nivel de eficacia x18) de sufrir daño mediante el Poder del apocalipsis al atacar. Además, recibe el penalizador correspondiente.
zts1251e	Tienes una probabilidad del %s %% de recibir el Poder de la reflexión al atacar.
zts1252e	Un enemigo tiene un %s %% de probabilidades (nivel de eficacia x15) de sufrir daño mediante el Poder del lobo al atacar. Además, recibe el penalizador correspondiente.
zts1253e	Hay una probabilidad del %s %% de empujar al enemigo 4 campos al atacar.
zts1254e	Hay una probabilidad del %s %% de empujar al enemigo 4 campos al defender.
zts1255e	Durante el ataque, el enemigo tiene un %s %% de probabilidad (nivel de eficacia x17) de sufrir daño del Poder de la explosión. Además, recibe el penalizador correspondiente.
zts1257e	Tienes un %s %% de probabilidades de recibir el Poder de la agilidad al atacar.
zts1258e	Un enemigo tiene un %s %% de probabilidades (nivel de eficacia x18) de sufrir daño mediante el Poder del rayo al atacar. Además, recibe el penalizador correspondiente.
zts1259e	Hay una probabilidad del %s %% de causarle al enemigo Poder de la maldición al atacar.
zts1260e	Un enemigo tiene un %s %% de probabilidades (nivel de eficacia x23) de sufrir daño mediante el Poder del oso al atacar. Además, recibe el penalizador correspondiente.
