zts1e	Najlepsza obs³uga
zts274e	Punkt produkcji regeneracja 30 sztuk
zts275e	U¿yj wszystkich przedmiotów w ekwipunku.
zts276e	Wszystkich przedmiotów w ekwipunku mo¿esz u¿ywaæ przez [n]10 dni.[n] Nie mo¿na u¿ywaæ z amuletem.
zts277e	Mo¿esz u¿ywaæ wszystkie przedmioty w ekwipunku przez 30 [n]dni.[n] Nie mo¿e byæ u¿yte z amuletem.
zts278e	Mo¿esz u¿ywaæ wszystkie przedmioty w ekwipunku przez [n]60 dni.[n] Nie mo¿e byæ u¿yte z amuletem.
zts279e	Ekwipunek tak¿e dla przyjaciela.
zts280e	Mo¿esz u¿ywaæ 50 dodatkowych miejsc w ekwipunku twojego przyjaciela.[n]Tylko przez 10 dni[n]
zts281e	Mo¿esz u¿ywaæ 50 dodatkowych miejsc w ekwipunku twojego przyjaciela.[n]Tylko przez 30 dni[n]
zts282e	Mo¿esz u¿ywaæ 50 dodatkowych miejsc w ekwipunku twojego przyjaciela.[n]Tylko przez 60 dni[n]
zts283e	U¿ywaj wszêdzie sklepu
zts284e	Poprzez twoje zwierze mo¿esz wszêdzie otwieraæ sklep.[n] Przez 10 dni do u¿ytku.[n]
zts285e	Sklep mo¿e zostaæ wszêdzie otwarty, jeœli u¿yje siê zwierzaka.[n] Tylko przez 30 dni[n]
zts286e	U¿yj naraz wszystkich przedmiotów w ekwipunku.
zts287e	Kup naraz plecak wyprawy, plecak przyjaciela i kosz ekstradycji zwierzaka[n]
zts288e	Otrzymaj b³ogos³awieñstwo od Ancelloan.
zts289e	5 b³ogos³awieñstw od Ancelloana
zts290e	Doœwiadczenie bitwy i pracy zosta³y zwiêkszone na jedn¹ godzinê o [n]100%. Bez ograniczenia stopnia.[n] Nie mo¿e zostaæ u¿yte z amuletem.
zts291e	10x B³ogos³awieñstwo Ancelloan
zts292e	B³ogos³awieñstwo NosKumpla
zts293e	5 b³ogos³awieñstw Anio³a Stró¿a
zts294e	Doœwiadczenia NosKumpla zwiêkszone o 50%.[n] Prêdkoœæ +2[n]przez 1 godzinê[n]
zts295e	Czar podwójnej nagrody
zts296e	WeŸ sobie ten œwietny przedmiot!
zts297e	Otrzymaj jedn¹ z okrutnych masek A, [n]okrutn¹ maskê B, [n]okrutn¹ maskê C, [n] per³ê krzakogona, [n] per³ê gladiatora krzakogona,[n] czarn¹ per³ê deratyzatora krzakogona
zts298e	Otrzymaj jedn¹ z masek milczenia A, [n]maskê milczenia B, [n]maskê milczenia C, [n]per³ê krzakogona, [n] per³ê gladiatora krzakogona,[n] per³ê deratyzatora krzakogona
zts299e	Otrzymaj opaskê otch³ani A, [n] opaskê otch³ani B,[n] opaskê otch³ani C,[n]per³ê krzakogona,[n]per³ê gladiatora krzakogona,[n] per³ê deratyzatora krzakogona
zts300e	Doœwiadczenie bitwy i pracy zwiêkszone o 100% na 1 godzinê[n] Dla ka¿dego stopnia[n]
zts301e	Otrzymaj jedn¹ z okrutnych masek A, okrutn¹ maskê B, okrutn¹ maskê C, kamieñ krzakogona, strojny kamieñ krzakogona, czarny kamieñ krzakogona, [n] 5 Cash przedmiotów
zts302e	Otrzymaj jedn¹ z masek milczenia A, maskê milczenia B, maskê milczenia C, kamieñ krzakogona, strojny kamieñ krzakogona, czarny kamieñ krzakogona, [n] 5 Cash przedmiotów
zts303e	Otrzymaj opaskê otch³ani A, opaskê otch³ani B, opaskê otch³ani C, Per³ê Br¹zowego Krzakogona, Per³ê Lotnego Krzakogona, Per³ê Czarnego Krzakogona[n]5 Cash przedmiotów
zts304e	Krzakogon moim zwierzakiem
zts305e	Tori Tori pi³ka
zts306e	Rejestracja s³odkiego Krzakogona jako zwierzaka[n]
zts307e	Gladiator Tori pi³ka
zts308e	Czarna Tori pi³ka
zts309e	Otrzymaj jedna z okrutnych masek A, okrutn¹ maskê B, okrutn¹ maskê C,[n] krzakogon, ogonek deratyzatora krzakogona, ogonek gladiatora krzakogona,[n] zwój ochronny wyposa¿enia, zwój zezwalaj¹cy na start stopnia, jedzenie dla m¹drych zwierzaków domowych, wodê Ÿródlan¹ z Cylloanu, du¿y nape³niacz PS
zts310e	Otrzymaj jeden z nastêpuj¹cych przedmiotów: Maskê Ciszy A, Maskê Ciszy B, Maskê Ciszy C,[n]Per³ê Br¹zowego Krzakogona, Per³ê Krzakogona Gladiatora, Per³ê Deratyzatora Krzakogona, [n]Zwój Ochrony Wyposa¿enia, Zwój Zniesienia, Specjaln¹ Karma dla Zwierzaka[n]Wodê ródlana z Cylloan, Du¿y Specjalny Eliksir.
zts311e	Otrzymaj opaskê otch³ani na oczy A, opaskê otch³ani na oczy B, opaskê otch³ani C,[n]Per³ê Br¹zowego Krzakogona, Per³ê Deratyzatora Krzakogona, Per³ê Krzakogona Gladiatora, [n]Zwój ochrony wyposa¿enia, zwój zniesienia, specjalna karma dla zwierzaka[n]Woda Ÿródlana z Cylloan, du¿y nape³niacz PS
zts312e	Zwiêksz umiejêtnoœci czarodziejki!
zts313e	Wzmacniacz czarodziejki
zts314e	Wzmocnij umiejêtnoœci czarodziejki na 1 godzinê.[n] Jeœli u¿yjesz wzmacniacza czarodziejek, nie mo¿esz na czas dzia³ania zmieniaæ czarodziejki.
zts357e	Mam takie przeczucie, ¿e w Nowym Roku siê bardzo wybijê!
zts358e	1 koperta z nagrod¹
zts359e	Mo¿esz otrzymaæ jeden z nastêpuj¹cych obiektów: œredni specjalny uzupe³niacz, b³ogos³awieñstwo od Ancelloana, pismo wyzwolenia, zwój do ochrony wyposa¿enia, ... ., Du¿y specjalny uzupe³niacz, plecak poszukiwacza przygód, wodê Ÿródlan¹ od Cylloanu, du¿y kompletny napój, he³m czarnego rycerza, maskê czarnego rycerza, mroŸn¹ per³ê krzakogona, per³ê œwinki szczêœcia, per³ê szczêœliwego szczura.[n]
zts360e	10 kopert z nagrodami
zts361e	5 kopert z nagrodami
zts362e	1 prezent urodzinowy
zts363e	Skoro tylko tego u¿yjesz, bêd¹ nastêpuj¹ce elementy przez 15 dni skuteczne:[n][Elementy podstawowe:][n]Posiadasz w swoim ekwipunku w kategoriach "wyposa¿enie", "g³ówne" i "inne" jednoczeœnie 4 miejsca wiêcej (razem 12 miejsc).[n]Otrzymasz 10% wiêcej doœwiadczenia.[n][Inne efekty:][n]Twój przyjaciel i twój NosKumpel otrzymuj¹ 10% wiêcej doœwiadczenia.[n]Twoje wartoœci ataku i obrony wzrastaj¹ o 10%.[n][Ostrze¿enie:][n]Jeœli u¿yjesz tego razem z plecakiem poszukiwacza przygód, twoje miejsca w ekwipunku NIE zostan¹ podwojone![n]Nie mo¿esz tego przedmiotu w³o¿yæ do sklepu.[n][n]
zts364e	Nosiæ ma³a myszkê.
zts365e	S³odki kapelusz szczura
zts366e	Mo¿esz posiadaæ szczêœliwego szczura jako zwierzê domowe.[n][n]
zts367e	Pob³ogos³awiony ró¿ow¹ œwink¹
zts368e	Per³a Nowego Roku!
zts369e	Mo¿esz posiadaæ œwinkê szczêœcia jako zwierzê domowe.[n][n]Twoje wartoœci ataku i obrony wzrastaj¹ o 10%, jeœli ono ci bêdzie towarzyszyæ.[n]
zts370e	Ch³odzeinie, aby przeciwdzia³aæ wypadkom.
zts371e	Krzakogon z jedn¹ per³¹ mrozu
zts372e	Mo¿esz posiadaæ krzakogon jako zwierzê domowe.[n][n]Jeœli bêdzie atakowaæ, zmrozi z du¿¹ pewnoœci¹ przeciwnika. Prêdkoœæ i stopieñ ochrony przeciwnika zostan¹ poprzez to zamro¿one i spadn¹.[n]
zts373e	Mam mojego w³asnego ma³ego Œwiêtego Miko³aja!
zts374e	Per³a krzakogona
zts718e	Kostium dalmatyñczyka
zts719e	Kostium dalmatyñczyka (7 dni)
zts720e	Kostium dalmatyñczyka (30 dni)
zts721e	kostium dalmatyñczyka (wieczny)
zts722e	Kostium rottweilera
zts723e	Kostium rottweilera (7 dni)
zts724e	Kostium rottweilera (30 dni)
zts725e	Kostium rottweilera (wieczny)
zts727e	Kostium kota syjamskiego
zts728e	Kostium kota syjamskiego (7 dni)
zts729e	Kostium kota syjamskiego (30 dni)
zts730e	Kostium kota syjamskiego (wieczny)
zts731e	Kostium szarego kota
zts732e	Kostium szarego kota (7 dni)
zts733e	Kostium szarego kota (30 dni)
zts734e	Kostium szarego kota (wieczny)
zts736e	Kostium króliczka
zts737e	Kostium króliczka (7 dni)
zts738e	Kostium króliczka (30 dni)
zts739e	Kostium króliczka (wieczny)
zts740e	¯ó³ty kostium króliczka
zts741e	¯ó³ty kostium króliczka (7 dni)
zts742e	¯ó³ty kostium króliczka (30 dni)
zts743e	¯ó³ty kostium króliczka (wieczny)
zts749e	Jasny kostium lwa
zts750e	Jasny kostium lwa (7 dni)
zts751e	Jasny kostium lwa (30 dni)
zts752e	Jasny kostium lwa (wieczny)
zts753e	Kostium buldoga
zts754e	Kostium buldoga (7 dni)
zts755e	Kostium buldoga (30 dni)
zts756e	Kostium buldoga (wieczny)
zts757e	Kostium bernardyna
zts758e	Kostium bernardyna (7 dni)
zts759e	Kostium bernardyna (30 dni)
zts760e	Kostium bernardyna (wieczny)
zts761e	Kostium birmañskiego kota
zts762e	Kostium birmañskiego kota (7 dni)
zts763e	Kostium birmañskiego kota (30 dni)
zts764e	Kostium birmañskiego kota (wieczny)
zts765e	Kostium kota Korat
zts766e	Kostium kota Korat (7 dni)
zts767e	Kostium kota Korat (30 dni)
zts768e	Kostium kota Korat (wieczny)
zts770e	Kostium marcowego królika
zts771e	Kostium marcowego królika (7 dni)
zts772e	Kostium marcowego królika (30 dni)
zts773e	Kostium marcowego królika (wieczny)
zts774e	Bia³y kostium królika
zts775e	Bia³y kostium królika (7 dni)
zts776e	Bia³y kostium królika (30 dni)
zts777e	Bia³y kostium królika (wieczny)
zts778e	Z³oty kostium lwa
zts779e	Z³oty kostium lwa (7 dni)
zts780e	Z³oty kostium lwa (30 dni)
zts781e	Z³oty kostium lwa (wieczny)
zts783e	Czapka Dalmatyñczyka
zts784e	Czapka Dalmatyñczyka (7 dni)
zts785e	Kapelusz dalmatyñczyka (30 dni)
zts786e	Czapka Dalmatyñczyka (na sta³e)
zts787e	Czapka Rottweilera
zts788e	Czapka Rottweilera (7 dni)
zts789e	Czapka Rottweilera (30 dni)
zts790e	Czapka Rottweilera (na sta³e)
zts792e	Czapka Siamese
zts793e	Czapka Siamese (7 dni)
zts794e	Kapelusz syjamskiego kota (30 dni)
zts795e	Kapelusz syjamskiego kota (wieczny)
zts796e	Kapelusz szarego kota
zts797e	Kapelusz szarego kota (7 dni)
zts798e	Kapelusz szarego kota (30 dni)
zts799e	Kapelusz szarego kota (wieczny)
zts801e	Uszy królika
zts802e	Uszy królika (7 dni)
zts803e	Uszy królika (30 dni)
zts804e	Uszy królika (wieczne)
zts805e	Z³ote uszy królika
zts806e	Z³ote uszy królika (7 dni)
zts807e	Z³ote uszy królika (30 dni)
zts808e	Z³ote uszy królika (wieczne)
zts814e	Jasny lwi kapelusz
zts815e	Jasny lwi kapelusz (7 dni)
zts816e	Jasny lwi kapelusz (30 dni)
zts817e	Jasny lwi kapelusz (wieczny)
zts818e	Kapelusz buldoga
zts819e	Kapelusz buldoga (7 dni)
zts820e	Kapelusz buldoga (30 dni)
zts821e	Kapelusz buldoga (wieczny)
zts822e	Kapelusz bernardyna
zts823e	Kapelusz bernardyna (7 dni)
zts824e	Kapelusz œwiêtego Bernarda (30 dni)
zts825e	Kapelusz bernardyna (wieczny)
zts826e	Kapelusz birmañskiego kota
zts827e	Kapelusz birmañskiego kota (7 dni)
zts828e	Kapelusz birmañskiego kota (30 dni)
zts829e	Kapelusz birmañskiego kota (wieczny)
zts830e	Kapelusz kota Korat
zts831e	Kapelusz kota Korat (7 dni)
zts832e	Kapelusz kota Korat (30 dni)
zts833e	Kapelusz kota Korat (wieczny)
zts835e	Kapelusz marcowego królika
zts836e	Kapelusz marcowego królika (7 dni)
zts837e	Kapelusz marcowego królika (30 dni)
zts838e	Kapelusz marcowego królika (wieczny)
zts839e	Bia³y króliczy kapelusz
zts840e	Bia³y króliczy kapelusz (7 dni)
zts841e	Czapka Bia³ego Królika (30 dni)
zts842e	Bia³y króliczy kapelusz (wieczny)
zts843e	Z³oty lwi kapelusz
zts844e	Z³oty lwi kapelusz (7 dni)
zts845e	Czapka Z³otego Lwa (30 dni)
zts846e	Z³oty lwi kapelusz (wieczny)
zts899e	Czapka Dalmatyñczyka
zts900e	Czapka Dalmatyñczyka (7 dni)
zts901e	Czapka Dalmatyñczyka (30 dni)
zts902e	Czapka Dalmatyñczyka (na sta³e)
zts903e	Czapka Rottweilera
zts904e	Czapka Rottweilera (7 dni)
zts905e	Czapka Rottweilera (30 dni)
zts906e	Czapka Rottweilera (na sta³e)
zts908e	Jasny lwi kapelusz
zts909e	Jasny lwi kapelusz (7 dni)
zts910e	Jasny lwi kapelusz (30 dni)
zts911e	Jasny lwi kapelusz (wieczny)
zts912e	Ciemny kapelusz lwa
zts913e	Ciemny kapelusz lwa (7 dni)
zts914e	Ciemny kapelusz lwa (30 dni)
zts915e	Ciemny lwi kapelusz (wieczny)
zts916e	Kapelusz buldoga
zts917e	Kapelusz buldoga (7 dni)
zts918e	Kapelusz buldoga ( 30 dni)
zts919e	Kapelusz buldoga (wieczny)
zts920e	Kapelusz bernardyna
zts921e	Kapelusz bernardyna (7 dni)
zts922e	Kapelusz bernardyna (30 dni)
zts923e	Kapelusz bernardyna (wieczny)
zts925e	Z³oty kapelusz lwa
zts926e	Z³oty kapelusz lwa (7 dni)
zts927e	Z³oty lwi kapelusz (30 dni)
zts928e	Z³oty kapelusz lwa (wieczny)
zts929e	Ciemny lwi kapelusz
zts930e	Ciemny lwi kapelusz (7 dni)
zts931e	Ciemny kapelusz lwa (30 dni)
zts932e	Ciemny lwi kapelusz (wieczny)
zts933e	Kostium dalmatyñczyka
zts934e	Kostium dalmatyñczyka (7 dni)
zts935e	Kostium dalmatyñczyka (30 dni)
zts936e	Kostium dalmatyñczyka (wieczny)
zts937e	Kostium rottweilera
zts938e	Kostium rottweilera (7 dni)
zts939e	Kostium rottweilera (30 dni)
zts940e	Kostium rottweilera (wieczny)
zts941e	Wspania³y Kapelusz Lwa!
zts942e	Jasny kostium lwa (7 dni)
zts943e	Jasny kostium lwa (30 dni)
zts944e	Jasny kostium lwa (wieczny)
zts945e	Ciemny kostium lwa (7 dni)
zts946e	Ciemny kostium lwa (30 dni)
zts947e	Ciemny kostium lwa (wieczny)
zts948e	Kostium buldoga
zts949e	Kostium buldoga (7 dni)
zts950e	Kostium buldoga (30 dni)
zts951e	Kostium buldoga (wieczny)
zts952e	Wytworny Kapelusz Lwa!
zts953e	Z³oty kapelusz lwa
zts954e	Z³oty kapelusz lwa (7 dni)
zts955e	Z³oty lwi kapelusz (30 dni)
zts956e	Z³oty kapelusz lwa (wieczny)
zts957e	Ciemny lwi kapelusz
zts958e	Ciemny lwi kapelusz (7 dni)
zts959e	Ciemny kapelusz lwa (30 dni)
zts960e	Ciemny lwi kapelusz (wieczny)
zts961e	Jasny kostium lwa
zts962e	Ciemny kostium lwa
zts963e	Kapelusz bernardyna
zts964e	Kapelusz bernardyna (7 dni)
zts965e	Kapelusz bernardyna (30 dni)
zts966e	Kapelusz bernardyna (wieczny)
zts1005e	10 Eliksirów PvP si³y ataku
zts1006e	10 Eliksirów PvP si³y ataku
zts1007e	5 Eliksirów PvP si³y obrony
zts1008e	10 Eliksirów PvP si³y obrony
zts1009e	5 Eliksirów PvP odpornoœci
zts1010e	10 Eliksirów PvP odpornoœci
zts1011e	5 Rogów przywo³ania rodziny
zts1012e	10 Rogów przywo³ania rodziny
zts1057e	Jestem symbolem wiecznego piêkna!
zts1058e	Dzwoneczek
zts1059e	Dzwoneczek (7 dni)
zts1060e	Dzwoneczek (30 dni)
zts1061e	Kostium Wró¿ki (na sta³e)
zts1062e	Jestem demonem Nostale!
zts1063e	Bia³y demon
zts1064e	Bia³y demon (7 dni)
zts1065e	Bia³y demon (30 dni)
zts1066e	Bia³y demon (wieczny)
zts1067e	Za³ó¿ ³adn¹ wst¹¿kê!
zts1068e	Ró¿owa kokarda do w³osów
zts1069e	Ró¿owa kokarda do w³osów (7 dni)
zts1070e	Ró¿owa kokarda do w³osów (30 dni)
zts1071e	Ró¿owa kokarda do w³osów (wieczna)
zts1072e	Zostañ postawnym mê¿czyzn¹!
zts1073e	Bia³y filcowy kapelusz
zts1074e	Bia³y filcowy kapelusz (7 dni)
zts1075e	Bia³y filcowy kapelusz (30 dni)
zts1076e	Bia³y filcowy kapelusz (wieczny)
zts1118e	Usuwa obce zapachy!
zts1119e	Perfumy
zts1120e	Bêdzie u¿ywany, jeœli przekszta³cisz ekskluzywne przedmioty innych w swoje w³asne.[n][Instrukcja][n]Okno do przekszta³cania przedmiotów otworzy siê, jeœli klikniesz na nie dwa razy
zts1121e	20 perfum
zts1122e	50 perfum
zts1123e	99 perfum
zts1146e	Pegaz
zts1147e	S³odki Zaj¹czek
zts1242e	Losowe Noworoczne Pude³ko!
zts1243e	Noworoczne pude³ko
zts1244e	Noworoczne pude³ko[n]Mo¿esz otrzymaæ jeden z ró¿norodnych przedmiotów.[n]Przedmioty w pude³ku[n]Per³a Byka Krzakogona, Tajemnicze Pude³ko B, Koszyk Zwierz¹tka (60 dni), 5 Flakoników Perfum, 50 Skrzyde³ PrzyjaŸni, 50 Wód ródlanych z Cylloan, Plecak Poszukiwacza Przygód (30 dni), Per³a NosKumpla, 2 Szyldy z imieniem dla NosKumpla, 3 Porcje Najlepszego Po¿ywienia dla NosKumpla.[n][n]
zts1266e	SprawdŸ swoje szczêœcie!
zts1325e	Perla chorego krzakogona
zts1327e	Dobrze wygl¹daj¹cy kapelusz dla mê¿czyzn
zts1329e	Dobrze wygl¹daj¹cy kapelusz dla mê¿czyzn (7 dni)
zts1331e	Dobrze wygl¹daj¹cy kapelusz dla mê¿czyzn (nieograniczony)
zts1332e	Dobrze wygl¹daj¹cy garnitur dla mê¿czyzn
zts1334e	Dobrze wygl¹daj¹cy garnitur dla mê¿czyzn (7 dni)
zts1336e	Dobrze wygl¹daj¹cy garnitur dla mê¿czyzn (nieograniczony)
zts1348e	Gwiezdny Mundurek Szkolny
zts1349e	Gwiezdny Mundurek Szkolny (7 dni)
zts1350e	Gwiezdny Mundurek Szkolny (30 dni)
zts1351e	Gwiezdny Mundurek Szkolny (Nieograniczone)
zts1359e	Per³a Samuraja-Krzakogona
zts1394e	Skrzyd³o Anio³a
zts1397e	Skrzyd³o Demona
zts1510e	Pióra Anio³a (99 sztuk)
zts1511e	Tajemnicze pud³o A [n]Jeœli otworzysz to pud³o, bêdziesz móg³ uzyskaæ nastêpuj¹ce przedmioty NosMarketu. [n] [Przedmioty, które mo¿esz uzyskaæ] [n] Maska Grozy A [n] Maska Grozy B [n] Maska Grozy C [n] Per³a Krzakogona[n] Per³a Gladiatora Krzakogona  [n] Per³a Deratyzatora Krzakogona[n] Karma dla bystrego zwierzaka[n] Zwoje Uwolnienia[n] Woda Ÿródlana z Cylloanu[n] Zwój do zniesienia ustalonego poziomu[n] Du¿y Specjalny Eliksir[n]
zts1512e	Tajemnicze pude³ko B [n]Jeœli je otworzysz, otrzymasz jeden z przedmiotów z NosMarketu. [n][Przedmioty, które mo¿esz uzyskaæ] [n]Maska ciszy A [n]Maska ciszy B [n]Maska ciszy C [n]Per³a Krzakogona Byka[n]Per³a Wodnego Krzakogona[n]Per³a Krzakogona Samuraja[n]Specjalna karma dla zwierzaka[n]Zwój ochrony wyposa¿enia[n]Woda Ÿródlana z Cylloan[n]Zwój do zniesienia[n]Du¿y Specjalny Eliksir[n]
zts1513e	Tajemnicze pude³ko C[n]Jeœli je otworzysz, otrzymasz jeden z przedmiotów z NosMarketu. [n][Przedmioty, które mo¿esz uzyskaæ] [n]Przepaska na oczy A [n]Przepaska na oczy B [n]Przepaska na oczy C[n]Per³a Pegaza[n]Per³a s³odkiego zaj¹czka[n]Per³a Chorego Krzakogona[n]Specjalna karma dla zwierzaka[n]Zwój ochrony wyposa¿enia[n]Woda Ÿródlana z Cylloan[n]Zwój zniesienia[n]Du¿y Specjalny Eliksir[n]
zts1528e	Koszyk zwierz¹tka (10 dni, event)
zts1530e	Pieczêæ Olbrzymiego Czarnego Paj¹ka
zts1531e	Pieczêæ Olbrzymiego Slade
zts1532e	Pieczêæ Xysenstrauch
zts1533e	Pieczêæ Mrocznego Castra
zts1534e	Pieczêæ Króla Kurczaków
zts1535e	Pieczêæ Matki Cuby
zts1537e	Magiczny skuter
zts1540e	Magiczny Dywan
zts2790e	Medal NosHandlarza (1 dzieñ)(event)
zts2800e	Medal NosHandlarza (30 dni)
zts2801e	Medal NosHandlarza (7 dni)
zts8848e	Losowa Skrzynia ME 2012
zts8993e	Losowa Skrzynia Puszka K³êbuszka
zts9201e	Odjechane Pude³ko Nagród
zts9265e	Drobniutki Samorodek Z³ota
zts9266e	Ma³y Samorodek Z³ota
zts9267e	Du¿y Samorodek Z³ota
zts9268e	Wielki Samorodek Z³ota
zts9282e	Skrzynia Specjalisty: "Skrzyd³a i nie tylko"
zts10043e	Po³¹czenie kostiumów
zts10054e	Dla wszystkich, którzy uwielbiaj¹ zmiany!
zts10055e	Dziêki niemu mo¿esz zmieniæ wygl¹d swojego kostiumu.[n]Aby to zrobiæ, musisz zarejestrowaæ kostium bazowy i kostium materia³owy.[n][Uwaga][n]1. Kostiumów z ograniczeniem czasowym nie mo¿na zmieniaæ.[n]2. Kostiumy przypisane do postaci mo¿na zmieniæ jeden raz.[n]3. Wskutek tego zniknie kostium materia³owy.[n]4. Poprzez [Reset kostiumu materia³owego] mo¿esz cofn¹æ zmianê.[n]5. Opcje kostiumu materia³owego nie dotycz¹ kostiumu bazowego.[n]
zts10226e	Medal na 10. rocznicê
zts10274e	Medal VIP Banku Cuarry (10 dni)
zts10275e	W Banku Cuarry otrzymasz status VIPa i zostaniesz zwolniony z wszelkich op³at.[n][Uwaga] Wy¿ny tylko przez 10 dni.[n]
zts10276e	Medal VIP Banku Cuarry (30 dni)
zts10277e	W Banku Cuarry otrzymasz status VIPa i zostaniesz zwolniony z wszelkich op³at.[n][Uwaga] Wy¿ny tylko przez 30 dni.[n]
zts19668e	Plecak Poszukiwacza Przygód (na sta³e)
zts19669e	Plecak Partnera (na sta³e)
zts19670e	Koszyk Zwierzaka (na sta³e)
zts19684e	Przez 10 dni mo¿esz[n]u¿ywaæ wszystkich slotów swojego ekwipunku.[n]
zts19685e	Przez 30 dni mo¿esz[n]u¿ywaæ wszystkich slotów swojego ekwipunku.[n]
zts19686e	Przez 60 dni mo¿esz[n]u¿ywaæ wszystkich slotów swojego ekwipunku.[n]
zts19687e	Mo¿esz u¿ywaæ na sta³e wszystkich slotów swojego ekwipunku.[n]
zts19874e	Medal na 11. Rocznicê
zts19880e	Skrzynia z Magicznymi Saniami
zts19881e	Ta skrzynia zawiera magiczne sanie.[n]
zts19886e	Per³a Polarnego Prychacza
zts19888e	Maska Ognistego Diab³a (30 dni)
zts19889e	Maska Ognistego Diab³a (na sta³e)
zts19890e	Strój Ognistego Diab³a (30 dni)
zts19891e	Strój Ognistego Diab³a (na sta³e)
zts19892e	Zestaw Ognistego Diab³a
zts19911e	Karta Specjalisty Kostiumu Weselnego
zts19913e	Wytrych do Skrzyni Skarbów
zts19915e	Krzakogon Szczêœcia
zts19916e	Krzakogon Superszczêœcia
zts19930e	Skrzyd³a Kostiumu Ognistego Diab³a (30 dni)
zts19931e	Skrzyd³a Kostiumu Ognistego Diab³a (na sta³e)
zts19932e	Karta Specjalisty Partnera Szalonego Zaj¹ca Wielkanocnego
zts19933e	Imprezowy Kapelusik Zaj¹ca Wielkanocnego (30 dni)
zts19934e	Imprezowy Kapelusik Zaj¹ca Wielkanocnego (na sta³e)
zts19935e	Imprezowy Kostium Zaj¹ca Wielkanocnego (30 dni)
zts19936e	Imprezowy Kostium Zaj¹ca Wielkanocnego (na sta³e)
zts19937e	Skrzynia Imprezowego Kostiumu Zaj¹ca Wielkanocnego
zts19938e	Kapelusz Zaj¹ca Wielkanocnego (30 dni)
zts19939e	Kapelusz Zaj¹ca Wielkanocnego (na sta³e)
zts19940e	Kostium Zaj¹ca Wielkanocnego (30 dni)
zts19941e	Kostium Zaj¹ca Wielkanocnego (na sta³e)
zts19942e	Zestaw Kostiumowy Zaj¹ca Wielkanocnego
zts19954e	Per³a Z³otej Chmury
zts19956e	Zapieczêtowany Bohaterski Amulet B³ogos³awieñstwa (losowy)
zts19959e	Nakrycie G³owy do Kostiumu Wró¿ki (30 dni)
zts19960e	Nakrycie G³owy do Kostiumu Wró¿ki (na sta³e)
zts19961e	Szata do Kostiumu Wró¿ki (30 dni)
zts19962e	Szata do Kostiumu Wró¿ki (na sta³e)
zts19963e	Skrzyd³a Kostiumu Wró¿ki (30 dni)
zts19964e	Skrzyd³a Kostiumu Wró¿ki (na sta³e)
zts19965e	Zestaw Kostiumowy Wró¿ki
zts19973e	Pieczêæ Grasslin
zts19976e	Dopalacz PDR (1 dzieñ)
zts19977e	Dopalacz PDR (3 dni)
zts19978e	Dopalacz PDR (7 dni)
zts19979e	Dopalacz PDR (30 dni)
zts19980e	Skrzynia "Magiczny Osio³ek-Piniata"
zts19986e	Karta Specjalisty Partnera Jednoskrzyd³ej Perti
zts19987e	Ma³a WiedŸma Mrozu
zts19993e	Wydra
zts19995e	Poszukiwacz Przygód
zts19996e	Przyjaciel Zwierz¹t
zts19997e	Buntownik
zts19998e	Idealista
zts19999e	Orêdownik Pokoju
zts20000e	Dyplomata
zts20001e	Niszczyciel Chwastów
zts20002e	Wybawiciel NosVille
zts20003e	Niestrudzony
zts20004e	Niezrównany
zts20005e	Sztukmistrz
zts20006e	Arcymag
zts20007e	Czarnoksiê¿nik
zts20008e	Srebrny £uk
zts20009e	Robin Hood
zts20010e	Strzelec Wyborowy
zts20011e	Najemnik
zts20012e	Templariusz
zts20013e	Wielki Miecznik
zts20014e	Czarny Pas
zts20015e	Kosiarz
zts20016e	Wejœcie Smoka
zts20017e	Tytu³ eventu
zts20018e	Anio³ Œmierci PvP
zts20019e	Czempion PvP
zts20020e	Legenda PvP
zts20021e	Tytan PvP
zts20022e	Onyksowy Smok
zts20023e	Wyzwoliciel
zts20024e	Dziecko Szczêœcia
zts20025e	Bystrzak
zts20026e	Bastion
zts20027e	Jasnowidz
zts20028e	Legendarny Bohater
zts20029e	Boski
zts20032e	Tropikalny Kapelusz (30 dni)
zts20033e	Tropikalny Kapelusz (na sta³e)
zts20034e	Tropikalny Kostium (30 dni)
zts20035e	Tropikalny Kostium (na sta³e)
zts20036e	Skrzyd³a Tropikalnego Kostiumu (30 dni)
zts20037e	Skrzyd³a Tropikalnego Kostiumu (na sta³e)
zts20038e	Tropikalny Zestaw Kostiumowy
zts20039e	Karta zmiany nazwy
zts20043e	B³yskawiczne Skrzyd³a
zts20045e	Bilet Rozszerzenia Ekwipunku (30 dni)
zts20046e	Bilet Rozszerzenia Ekwipunku (60 dni)
zts20047e	Bilet Rozszerzenia Ekwipunku (na sta³e)
zts20048e	Medal na 12. Urodziny
zts20049e	Skrzynia z Alpak¹ na 12. Urodziny
zts20050e	Skrzynia z Alpak¹ Wyœcigow¹ na 12. Urodziny
zts20053e	Artysta
zts20054e	Ciasteczkowy Potwór
zts20055e	Wrodzony Talent
zts20056e	Megafan
zts20057e	Mistrz Quizu
zts20058e	Model
zts20059e	Gwiazda Filmowa
zts20060e	Gawêdziarz
zts20061e	Ty ¿yjesz!
zts20062e	Kotek
zts20063e	Ciep³e Serce
zts20064e	Kapelusz WiedŸmy Mrozu (30 dni)
zts20065e	Kapelusz WiedŸmy Mrozu (na sta³e)
