zts1e	Attaque spéciale
zts585e	Utiliser le parchemin protecteur SP inférieur
zts586e	Utiliser le parchemin protecteur SP supérieur
zts587e	Bonhomme de neige géant
zts588e	Froid 1
zts589e	Froid 2
zts590e	Le Blizzard inflige jusqu'à 99 % de dégâts aux joueurs debout.
zts591e	Le Tremblement de terre inflige jusqu'à 99 % de dégâts aux joueurs allongés.
zts592e	Absorption
zts593e	Cibler l'absorption
zts594e	Absorption de HP
zts595e	L'absorption est activée contre l'adversaire.
zts596e	Les HP de l'adversaire diminuent de %s. Cette valeur est ensuite ajoutée aux HP du joueurs.
zts597e	Compétence du boss
zts598e	Maître Morcos
zts599e	Le joueur à plus de %s champs d'écart de toi subit %s%% de dégâts.
zts600e	La réflexion et les MP sont perdus.
zts601e	Avec une certaine probabilité, les MP restants sont perdus.
zts602e	Cette partie ne peut pas être utilisée.
zts603e	Avec une probabilité de %s%%, %s%% des MP restants sont perdus.
zts604e	Spécialisation et résistance au buff
zts605e	Résistance au buff
zts606e	Spécialisation PvP
zts607e	Au dessous d'un certain niveau, le buff est supprimé.
zts608e	Tu bénéficies de %s %% de résistance contre l'effet %s et inférieur.
zts609e	Les dégâts en PvP augmentent de %s.
zts610e	Les dégâts en PvP diminuent de %s.
zts611e	Avec une probabilité de %s%%, les effets de niveau %s ou inférieur sont levés.
zts612e	Dans un rayon de %s champs, l'explosion provoque %s%% de dégâts.
zts613e	Maître Hatus
zts614e	Coup-de tête du dragon
zts615e	Le joueur subit %s%% dégâts à un endroit spécifique.
zts616e	Dame Calvina
zts617e	Un serpent est invoqué.
zts618e	Spécialiste SE
zts619e	Énergie du bouclier
zts620e	Propagation du buff
zts621e	Déplacement de l'aura
zts622e	Mort et vif
zts623e	Le nombre de buffs et les statistiques de dégâts s'affichent (1/1 000).
zts624e	La quantité de buffs s'affiche.
zts625e	Le Déplacement de l'aura a un impact sur les environs.
zts626e	Tu n'as rien à saisir.
zts627e	Moins tu as de HP, plus l'effet est puissant.
zts628e	4. Raid en famille de la Couronne de glace
zts629e	4. Compétence de la Couronne de glace
zts630e	Tous les adversaires dans un rayon de %s champs subissent %s%% de dégâts.
zts631e	Tous les adversaires dans un rayon de %s champs subissent %s%% de dégâts.
zts632e	Attaque du monstre invoqué
zts633e	Le monstre invoqué est vaincu.
zts634e	Tu infliges à %s %s%% de dégâts.
zts638e	Les HP maximums augmentent de %s%%, mais pas au-delà de 5 000 HP.
zts639e	Les HP maximums diminuent de %s%%, mais pas au-delà de 5 000 HP.
zts651e	Le boosteur de vitesse augmente ta vitesse.
zts652e	Ta vitesse est temporairement maximisée.
zts657e	Tonneau de rhum pour cachette
zts663e	1 %s est invoqué avec une probabilité de %s%%.
zts664e	1 %s est invoqué avec une probabilité de %s%% (disparaît après un certain temps).
zts668e	L'attention des adversaires proches se fixe sur toi.
zts671e	La force d'attaque totale augmente de %s%%.
zts672e	La force d'attaque totale diminue de %s%%.
zts673e	La force de défense totale augmente de %s%%.
zts674e	La force de défense totale diminue de %s%%.
zts675e	Les MP maximums sont modifiés (Esprit de l'ours).
zts676e	Les MP maximums augmentent de %s%%, mais pas au-delà de 5 000 MP.
zts677e	Les MP maximums diminuent de %s%%, mais pas au-delà de 5 000 MP.
zts678e	Les compétences de tous les adversaires sont amoindries.
zts685e	Les dégâts maximums subis sont répercutés de %s.
zts686e	Les dégâts de toutes les attaques augmentent de %s%% avec une probabilité de %s%%. Si la défense est efficace, l'énergie est rechargée.
zts687e	Les dégâts de toutes les attaques diminuent de %s%% avec une probabilité de %s%%. Si la défense est efficace, l'énergie est rechargée.
zts688e	Si tu parviens à vaincre ton adversaire en utilisant cette compétence, il y a une probabilité de %s%% de provoquer %s.
zts689e	Lorsque tu te moques de ton adversaire qui est K.O., il y a une probabilité de %s%% de provoquer : %s.
zts690e	Lorsque tu te moques d'un adversaire qui est dans un état normal, il y a une probabilité de %s%% de provoquer : %s.
zts691e	Un effet négatif adverse est réfléchi avec une certaine probabilité.
zts694e	La surface d'attaque augmente de %s.
zts695e	La zone d'effet des compétences du Canonnier de feu diminue de %s.
zts696e	Tu recules face à %s blocages de l'adversaire.
zts699e	Les compétences enflammées du Volcanor augmentent de %s.
zts700e	Les compétences enflammées du Volcanor diminuent de %s.
zts704e	L'efficacité du buff renforçant l'attaque de l'adversaire diminue.
zts705e	Si tu réussis à esquiver l'attaque de l'adversaire, le buff augmente avec une certaine probabilité.
zts706e	Tu te défends de %s dégâts critiques.
zts713e	%s%% des dégâts subis par ton allié à portée diminuent. En contrepartie, tu encaisses %s%% des dégâts de ton allié.
zts714e	Les dégâts transmis par tes coéquipiers augmentent de %s%%.
zts715e	Les dégâts transmis par tes coéquipiers diminuent de %s%%.
zts716e	Le rétablissement des HP augmente de %s%%.
zts717e	Le rétablissement des HP diminue de %s%%.
zts718e	Dégâts supplémentaires subis par combo : %s%%
zts728e	Avec une probabilité de %s%%, le sacrifice provoque %s.
zts732e	Il y a une probabilité de %s%% de provoquer à l'endroit déterminé : %s.
zts733e	Il y a une probabilité de %s%% de supprimer à l'endroit déterminé : %s.
zts734e	Tu disparais temporairement sans laisser de trace.
zts741e	Avec %s %% de probabilité, tu ne subis pas de dégâts. De plus, %s %% des dégâts que tu aurais dû subir sont ajoutés à tes HP.
zts742e	Avec %s %% de probabilité, tu ne subis pas de dégâts. Au lieu de çela, %s %% des dégâts que tu aurais dû subir sont retirés de tes HP.
zts745e	Les dégâts augmentent de %s%% grâce à l'utilisation de la compétence %s.
zts746e	Les dégâts diminuent de %s%% grâce à l'utilisation de la compétence %s.
zts747e	La probabilité de coups critiques augmente de %s%% grâce à l'utilisation de la compétence %s.
zts748e	La probabilité de coups critiques diminue de %s%% grâce à l'utilisation de la compétence %s.
zts752e	Les dégâts contre %s augmentent de %s%%.
zts753e	Lorsqu'un joueur est attaqué par %s, les dégâts diminuent de %s%%.
zts754e	L'efficacité des objets de récupération augmente de %s%%.
zts755e	L'efficacité des objets de récupération diminue de %s%%.
zts757e	Quand Léona porte la carte de spécialiste pour partenaire, il y a une probabilité de %s%% de provoquer : %s.
zts758e	Quand Léona porte la carte de spécialiste pour partenaire, il y a une probabilité de %s%% de supprimer : %s.
zts764e	Tu embusques l'adversaire pour l'attaquer de manière ciblée.
zts765e	L'ennemi est poursuivi, chassé par le faucon, et peut être attaqué depuis le ciel.
zts766e	L'intelligence du faucon permet d'identifier et d'attaquer l'ennemi qui a le moins de HP. Ce joueur sera marqué d'un signe et pourra être attaqué avec plus d'intensité par d'autres.
zts767e	La défense en PvP augmente.
zts768e	Les dégâts en PvP réduisent de %s %%.
zts769e	La défense en PvP diminue de %s%%.
zts776e	%s%% des HP restants de l'adversaire sont rétablis.
zts777e	%s%% des HP restants de l'adversaire diminuent.
zts778e	Après %s utilisations, %s survient (mais ne peut atteindre au maximum que le niveau 2).
zts779e	La portée d'attaque augmente de %s.
zts780e	La portée d'attaque diminue de %s.
zts781e	Le joueur est déplacé contre sa volonté dans une autre direction pendant %s secondes.
zts782e	En Embuscade, il y a une probabilité de %s%% de provoque : %s.
zts787e	Après l'attaque du Tireur embusqué, il y a une probabilité de %s%% de provoquer : %s.
zts788e	Après l'attaque du Tireur embusqué, il y a une probabilité de %s%% de supprimer : %s.
zts789e	La portée d'attaque en Embuscade augmente de %s.
zts790e	En cas d'attaque en Embuscade, il y a une probabilité de %s%% de provoquer : %s.
zts793e	Une fois que tout contrôle physique est perdu, les autres joueurs peuvent te libérer de la glace éternelle.
zts794e	Avec une probabilité de %s%%, la Méditation courte provoque : %s.
zts795e	Avec une probabilité de %s%%, la Méditation normale provoque : %s.
zts796e	Avec une probabilité de %s%%, la Méditation longue provoque : %s.
zts799e	L'attaque du tireur embusqué t'inflige des dégâts critiques avec %s %% de probabilité.
zts808e	Avec une probabilité %s%%, tu recules de %s champs.
zts810e	Avec une probabilité de %s%%, l'adversaire est repoussé de %s champs en arrière.
zts811e	La durée d'effet d'une attaque rapprochée augmente de %s.
zts812e	La durée d'effet d'une attaque rapprochée diminue de %s.
zts813e	La durée d'effet d'une attaque à distance augmente de %s.
zts814e	La durée d'effet d'une attaque à distance diminue de %s.
zts815e	La durée d'effet d'une attaque magique augmente de %s.
zts816e	La durée d'effet d'une attaque magique diminue de %s.
zts817e	Quand un joueur t'élimine, les HP de celui-ci diminuent à hauteur de %s %% des HP qu'il a perdus.
zts818e	Quand un joueur t'élimine, les HP de celui-ci augmentent à hauteur de %s %% des HP qu'il a perdus.
zts819e	La force d'attaque en PvP augmente.
zts820e	La force d'attaque en PvP augmente de %s%%.
zts821e	La force d'attaque en PvP diminue de %s%%.
zts823e	Tu te téléportes à l'endroit choisi.
zts827e	Avec une probabilité de %s%%, %s est invoqué.
zts828e	Tu récupères %s%% de tes HP.
zts829e	Tes HP diminuent de %s%%.
zts831e	Cette compétence permet de chasser des moutons.
zts832e	Buff d'arène d'équipe
zts833e	Force de défense de l'arène d'équipe
zts834e	Force d'attaque pour l'arène d'équipe
zts835e	Avec une probabilité de %s%%, les dégâts subis dans l'arène d'équipe augmentent de %s%%.
zts836e	Avec une probabilité de %s%%, les dégâts subis dans l'arène d'équipe diminuent de %s%%.
zts837e	Avec une probabilité de %s%%, la force d'attaque dans l'arène d'équipe augmente de %s%%.
zts838e	Avec une probabilité de %s%%, la force d'attaque dans l'arène d'équipe diminue de %s%%.
zts840e	Appeler le n° 1
zts841e	Appeler le n° 2
zts842e	Appeler le n° 3
zts843e	Vue spectateur
zts844e	Appeler le participant n° 1
zts845e	Appeler le participant n° 2
zts846e	Appeler le participant n° 3
zts847e	Passe de ton propre point de vue à celui du participant au combat.
zts849e	Tu peux à présent voir les personnages cachés qui se trouvent près de toi.
zts850e	Les points d'EXP de ta fée augmentent.
zts851e	Les points d'EXP de ta fée augmentent de %s%%.
zts853e	Cette compétence vous permet de lancer des noisettes le plus fort possible.
zts860e	Avec une probabilité de %s%%, tu invoques jusqu'à %s clones des ténèbres.
zts861e	Avec une probabilité de %s%%, la régénération des HP se change en dégâts.
zts862e	Avec une probabilité de %s%%, les dégâts de l'adversaire se transforme en effet régénérateur. Les HP rétablis et les dégâts accumulés disparaissent au bout de %s secondes.
zts863e	Avec une probabilité de %s%%, le temps de rechargement de la compétence adverse augmente de %s%%. Si la compétence réussit, ton propre temps de rechargement sera diminué.
zts864e	Avec une probabilité de %s %%, les dégâts de l'élément Obscurité augmentent de %s %% si une fée de l'Obscurité t'accompagne.
zts865e	Avec une probabilité de %s%%, les dégâts infligés par l'élément Obscurité diminuent de %s%%.
zts869e	Avec une probabilité de %s%%, la compétence %s est utilisée si un esprit absorbé est disponible.
zts870e	Avec une probabilité de %s%%, la compétence %s est utilisée si aucun esprit absorbé n'est disponible.
zts871e	Avec une probabilité de %s%%, tu résistes à un mouvement forcé.
zts873e	Le délai pour réutiliser tes compétences magiques augmente de %s%%.
zts874e	Le délai pour réutiliser tes compétences magiques diminue de %s%%.
zts877e	Attaque tous les ennemis dans ton champ de vision, sauf à un endroit précis.
zts878e	Avec une probabilité de %s%%, les HP de l'adversaire diminuent de %s%%.
zts879e	Les HP diminuent à hauteur de %s%% des dégâts causés avec une probabilité de %s%%.
zts883e	Tu invoques un Buisson épineux dans ton champ de vision.
zts884e	La cible est transformée.
zts886e	Avec une probabilité de %s%%, aucun effet positif inférieur au niveau %s ne peut être utilisé.
zts890e	Téléportation rapide %s champs en avant
zts891e	10 météorites et %s de plus s'abattent.
zts892e	Toi et %s membres êtes téléportés vers le lieu sauvegardé.
zts894e	La rage empêche de provoquer plus qu'une simple attaque normale.
zts895e	L'attention des adversaires dans un rayon de 5 champs se fixe sur toi.
zts900e	Avec une probabilité de %s%%, %s%% de la défense de la cible est ignorée.
zts901e	Avec une probabilité de %s%%, les dégâts critiques subis diminuent de %s%%.
zts904e	Transformation en héros : les MP maximums sont modifiés en pourcentage.
zts905e	Ancelloan apparaît. Les HP et les MP maximums augmentent de %s%%.
zts906e	Ancelloan apparaît. Les HP et les MP maximums diminuent de %s%%.
zts908e	Au cours de l'attaque, tu as une probabilité de %s %% d'invoquer un clône de l'Obscurité pour lancer une attaque supplémentaire.
zts909e	Vol d'effet
zts910e	Une attaque réussie permet de voler un effet positif au-dessous du niveau %s de la cible. Il est possible de subtiliser jusqu'à %s effets.
zts912e	Une attaque réussie permet de voler des effets positifs au-dessous du niveau %s du partenaire de la cible pour les transférer à des alliés dans un rayon de 3 champs. Il est possible de subtiliser jusqu'à %s effets.
zts913e	Annulation de transformation
zts914e	La transformation est annulée avec une probabilité de %s%%. Le personnage retourne à l'état précédent une fois l'effet dissipé.
zts916e	Toute attaque est impossible pendant %s secondes.
zts917e	La transformation est annulée avec une probabilité de %s %%. Si l'interruption marche, toute attaque est impossible pendant %s secondes. La cible retourne à son état précédent.
zts919e	Changement de place
zts920e	Tu échanges ta position avec celle de ta cible. Dès que l'effet prend fin, le personnage reprend sa position initiale.
zts923e	Quand tu meurs, le nombre de points de réputation que tu perds augmente de %s%%.
zts924e	Quand tu meurs, le nombre de points de réputation que tu perds diminue de %s%%.
zts925e	Quand tu meurs, le nombre de points d'EXP de niveau héroïque que tu perds augmente de %s%%.
zts926e	Quand tu meurs, le nombre de points d'EXP de niveau héroïque que tu perds diminue de %s%%.
zts928e	La peine sera appliquée, la mort vous attend.
zts931e	Augmentez les dégâts contre les joueurs du camp de l'ange de %s %%.
zts932e	Si tu attaques des anges, tes dégâts maximaux diminuent, passant à %s%%.
zts933e	Augmentez les dégâts contre les joueurs du camp du démon de %s %%.
zts934e	Si tu attaques des démons, tes dégâts maximaux diminuent, passant à %s%%.
zts937e	Avec une probabilité de %s %%, le temps de rechargement de la compétence d'attaque utilisée est réinitialisé.
zts938e	Avec une probabilité de %s%%, %s est utilisé sur l'alliance dans une zone de 5 champs.
zts939e	Avec une probabilité de %s%%, %s est retiré de l'alliance dans une zone de 5 champs.
zts940e	Avec une probabilité de %s%%, les effets positifs au-dessous du niveau %s sont levés.
zts942e	Si le monstre est d'un niveau de combat égal ou plus élevé que le personnage, il y a %s %% de probabilité que les dégâts augmentent de %s %%.
zts943e	Si le monstre est d'un niveau plus élevé que le personnage, il y a %s %% de probabilité que les dégâts diminuent de %s %%.
zts945e	Cette compétence bloque %s effets négatifs au-dessous du niveau %s.
zts947e	Ta vitesse de déplacement augmente de %s quand tu te caches.
zts948e	Ta vitesse de déplacement est réduite de %s quand tu te caches.
zts955e	La réputation reçue est augmentée de %s %%.
zts956e	La réputation reçue est réduite de %s %%.
zts957e	L'expérience héroïque acquise est augmentée de %s %%.
zts958e	L'expérience héroïque acquise est réduite de %s %%.
zts959e	Quand tu es accompagné, tu peux encore recevoir %s objet(s) inconnu(s) après %s heure(s).
zts960e	Il y a %s %% de chances de retirer un buff de renforcement d'un ennemi.
zts961e	Grâce à la magie de la liche, un dragon squelettique est créé, faisant bénéficier l'utilisateur de la « vitalité du dragon ».
zts962e	Grâce à la magie de la liche, un dragon squelettique est créé, faisant bénéficier l'utilisateur de la « vitalité du dragon puissant ».
zts970e	Les attaques contre des ennemis cachés provoquent %s de dégâts en plus.
zts972e	Les dégâts des ennemis cachés augmentent de %s %%.
zts973e	Les dégâts des ennemis cachés sont réduits de %s %%.
zts974e	Les ennemis cachés dans %s champs environnants sont couverts.
zts977e	Tu retournes dans ton minipays et tu rétablis %s %% de tes HP. Si tu disposes du montant de HP maximums, tu reçois %s %% de HP supplémentaires.
zts980e	L'utilisation de compétence est possible %s fois sans temps de rechargement.
zts985e	Tu te transformes en dragon et disposes alors du pouvoir de lancer des attaques de flamme.
zts986e	Tu te transformes en haetae et disposes alors du pouvoir de lancer des attaques avec une puissance féroce.
zts987e	Il y a une probabilité de %s %% de déclencher le temps de rechargement de la compétence %s.
zts988e	Il y a une probabilité de %s %% de déclencher le temps de rechargement de la compétence %s.
zts991e	Les points d'EXP de combat et de métier remportés augmentent de %s %%.
zts993e	Il y a une probabilité de %s %% que tu décoches une flèche magique quand tu utilises la magie ou des compétences d'attaque à distance.
zts997e	Il y a %s %% de probabilité pour que les dégâts d'attaque de Feu augmentent de %s %%.
zts998e	Il y a %s %% de probabilité pour que les dégâts d'attaque de Feu diminuent de %s %%.
zts999e	En sa présence, l'attaque contre les monstres du récipient scellé augmente de %s %% et l'attaque contre les monstres de la Terre des morts augmente de %s %%.
zts1000e	En sa présence, l'attaque contre les monstres du récipient scellé diminue de %s %% et l'attaque contre les monstres de la Terre des morts diminue de %s %%.
zts1002e	Pas d'esquive
zts1003e	Illumination
zts1004e	Infusion de lumière lunaire
zts1005e	Position de fleur de lotus
zts1006e	Marque de la lune
zts1007e	Tu évites les attaques et tu provoques, avec une probabilité de %s %%, %s.
zts1008e	Si tu utilises une compétence de buff pendant qu'illumination est active, alors tu reçois des effets supplémentaires.
zts1010e	Tu peux utiliser les compétences de la pleine lune.
zts1012e	Tu peux utiliser les compétences de la fleur de lotus.
zts1014e	Les prochains dégâts que tu infliges à un adversaire avec la marque sont augmentés de %s %% et consomment la marque de la lune.
zts1015e	Les prochains dégâts infligés par un de tes adversaires sont réduits de %s %% et consomment la marque de la lune.
zts1016e	Les dégâts augmentent de %s%% contre les monstres de récipients scellés et de %s%% contre les monstres sur la Terre des morts.
zts1017e	Les dégâts diminuent de %s%% contre les monstres de récipients scellés et de %s%% contre les monstres sur la Terre des morts.
zts1019e	Tenir bon
zts1020e	Possibilité d'attaque
zts1021e	Marque de la pleine lune
zts1022e	Lié par la puissance de la pleine lune
zts1023e	Quand tu es attaqué, tu as une probabilité de %s %% de déclencher %s.
zts1024e	Après l'utilisation d'une compétence d'attaque, il y a une probabilité d'obtenir une possibilité d'attaque supplémentaire.
zts1025e	Les prochains dégâts que tu infliges à un adversaire avec la marque sont augmentés de %s %% et consomment la marque de la pleine lune.
zts1026e	Quand l'effet « Lié par la puissance de la lune » est activé sur ton adversaire, tu déclenches « Lié par la puissance de la pleine lune ».
zts1027e	Le pourcentage de l'élément évolue.
zts1028e	Le pourcentage de l'élément Feu évolue.
zts1029e	Le pourcentage de l'élément Eau évolue.
zts1030e	Le pourcentage de l'élément Lumière évolue.
zts1031e	Le pourcentage de l'élément Obscurité évolue.
zts1032e	Le pourcentage de tous les éléments évolue.
zts1033e	Le dégât de bonus de l'élément Feu totale augmente de %s %%.
zts1034e	L'élément Feu diminue de %s%%.
zts1035e	L'élément Eau augmente de %s%%.
zts1036e	L'élément Eau diminue de %s%%.
zts1037e	L'élément Lumière augmente de %s%%.
zts1038e	L'élément Lumière diminue de %s%%.
zts1039e	L'élément Obscurité augmente de %s%%.
zts1040e	L'élément Obscurité diminue de %s%%.
zts1041e	Tous les éléments augmentent de %s%%.
zts1042e	Tous les éléments diminuent de %s%%.
zts1043e	Le pourcentage de résistance élémentaire évolue.
zts1044e	Le pourcentage de toutes les résistances évolue.
zts1045e	Le pourcentage de résistance au Feu évolue.
zts1046e	Le pourcentage de résistance à l'Eau évolue.
zts1047e	Le pourcentage de résistance à la Lumière évolue.
zts1048e	Le pourcentage de résistance à l'Obscurité évolue.
zts1049e	Toutes les résistances élémentaires augmentent de %s%%.
zts1050e	Toutes les résistances élémentaires diminuent de %s%%.
zts1051e	La résistance au Feu augmente de %s%%.
zts1052e	La résistance au Feu diminue de %s%%.
zts1053e	La résistance à l'Eau augmente de %s%%.
zts1054e	La Résistance à l'Eau diminue de %s%%.
zts1055e	La résistance à la Lumière augmente de %s%%.
zts1056e	La résistance à la Lumière diminue de %s%%.
zts1057e	La résistance à l'Obscurité augmente de %s%%.
zts1058e	La résistance à l'Obscurité diminue de %s%%.
zts1060e	Avec une certaine probabilité, un objet tombé a des chances de tomber à nouveau. Cet effet n'intervient que si l'objet tombé appartient au joueur et n'est pas partagé par le groupe.
zts1061e	Quand tu chasses un monstre et qu'il laisse tomber un objet, tu as %s %% de probabilité que cet objet tombe encore une fois. Cet effet n'intervient que si l'objet tombé appartient au joueur et n'est pas partagé par le groupe.
zts1064e	L'élément de la fée équipée augmente de %s.
zts1065e	L'élément d'une fée équipée diminue de %s.
zts1070e	Il y a une probabilité de (HP actuels/HP maximums*%s) %% que l'ennemi obtienne l'effet %s.
zts1071e	Il y a une probabilité de (HP perdus/HP maximums*%s) %% que l'ennemi obtienne l'effet %s.
zts1072e	En cas d'attaque réussie, tu obtiens %s points ultimes.
zts1073e	Lorsqu'on t'attaque alors que le barrage est actif, tu obtiens %s points ultimes.
zts1074e	Tu peux exécuter des compétences ultimes.
zts1075e	Cet effet annule les dégâts provoqués par tes adversaires.
zts1078e	La force d'attaque PvP augmente de %s %% pendant la bataille de l'arc-en-ciel. La vitesse de déplacement augmente de %s pendant la bataille de l'arc-en-ciel.
zts1079e	La force d'attaque PvP diminue de %s %% pendant la bataille de l'arc-en-ciel. La vitesse de déplacement diminue de %s pendant la bataille de l'arc-en-ciel.
zts1086e	Avec une probabilité de %s %%, les dégâts élémentaires augmentent de %s %%.
zts1087e	Avec une probabilité de %s %%, les dégâts élémentaires diminuent de %s %%.
zts1088e	Avec une probabilité de %s %%, les dégâts d'attaque de Feu augmentent de %s %%.
zts1089e	Avec une probabilité de %s %%, les dégâts d'attaque de Feu diminuent de %s %%.
zts1090e	Avec une probabilité de %s %%, les dégâts d'attaque d'Eau augmentent de %s %%.
zts1091e	Avec une probabilité de %s %%, les dégâts d'attaque d'Eau diminuent de %s %%.
zts1092e	Avec une probabilité de %s %%, les dégâts d'attaque de Lumière augmentent de %s %%.
zts1093e	Avec une probabilité de %s %%, les dégâts d'attaque de Lumière diminuent de %s %%.
zts1094e	Avec une probabilité de %s %%, les dégâts d'attaque d'Obscurité augmentent de %s %%.
zts1095e	Avec une probabilité de %s %%, les dégâts d'attaque d'Obscurité diminuent de %s %%.
zts1102e	Les dégâts contre les plantes de faible niveau augmentent de %s %%.
zts1103e	Les dégâts contre les plantes de faible niveau diminuent de %s %%.
zts1104e	Les dégâts contre les animaux de faible niveau augmentent de %s %%.
zts1105e	Les dégâts contre les animaux de faible niveau diminuent de %s %%.
zts1106e	Les dégâts contre les monstres de faible niveau augmentent de %s %%.
zts1107e	Les dégâts contre les monstres de faible niveau diminuent de %s %%.
zts1108e	Les dégâts contre les Kovolts augmentent de %s %%.
zts1109e	Les dégâts contre les Kovolts diminuent de %s %%.
zts1110e	Les dégâts contre les Catsys augmentent de %s %%.
zts1111e	Les dégâts contre les Catsys diminuent de %s %%.
zts1116e	Les dégâts contre les âmes de faible niveau diminuent de %s %%.
zts1117e	Les dégâts contre les anges augmentent de %s %%.
zts1118e	Les dégâts contre les anges diminuent de %s %%.
zts1119e	Les dégâts contre les démons augmentent de %s %%.
zts1120e	Les dégâts contre les démons diminuent de %s %%.
zts1126e	Les dégâts contre les monstres de la Terre des morts diminuent de %s %%.
zts1127e	Les dégâts contre les monstres des récipients scellés augmentent de %s %%.
zts1128e	Les dégâts contre les monstres des récipients scellés diminuent de %s %%.
zts1129e	Le gain en EXP augmente de %s %%.
zts1130e	Le gain en EXP diminue de %s %%.
zts1131e	Le gain en EXP de métier augmente de %s %%.
zts1132e	Le gain en EXP de métier diminue de %s %%.
zts1138e	Les points de compétence d'attaque de ton spécialiste diminuent de %s.
zts1139e	Les points de compétence de défense de ton spécialiste augmentent de %s.
zts1140e	Les points de compétence de défense de ton spécialiste diminuent de %s.
zts1141e	Les points de compétence de l'élément de ton spécialiste augmentent de %s.
zts1142e	Les points de compétence de l'élément de ton spécialiste diminuent de %s.
zts1143e	Les points de compétence HP/MP de ton spécialiste augmentent de %s.
zts1144e	Les points de compétence HP/MP de ton spécialiste diminuent de %s.
zts1150e	Toutes les attaques augmentent de %s %%.
zts1151e	Toutes les attaques diminuent de %s %%.
zts1152e	Toutes les attaques rapprochées augmentent de %s %%.
zts1153e	Toutes les attaques rapprochées diminuent de %s %%.
zts1154e	Toutes les attaques à distance augmentent de %s %%.
zts1155e	Toutes les attaques à distance diminuent de %s %%.
zts1156e	Toutes les attaques magiques augmentent de %s %%.
zts1157e	Toutes les attaques magiques diminuent de %s %%.
zts1158e	Les dégâts contre les âmes de faible niveau augmentent de %s %%.
zts1159e	Les dégâts contre les monstres de la Terre des morts augmentent de %s %%.
zts1160e	Les points de compétence d'attaque de ton spécialiste augmentent de %s.
zts1162e	En cas d'attaque, l'élément de ta fée équipée a une probabilité de %s %% d'augmenter de %s.
zts1163e	En cas d'attaque, l'élément de ta fée équipée a une probabilité de %s %% de diminuer de %s.
zts1169e	En cas d'attaque, il y a une probabilité de %s %% que l'ennemi obtienne l'effet %s.
zts1170e	En cas d'attaque, il y a une probabilité de %s %% que tu obtiennes l'effet %s.
zts1171e	Si tu te défends, il y a une probabilité de %s %% que l'ennemi obtienne l'effet %s.
zts1172e	Si tu te défends, il y a une probabilité de %s %% que tu obtiennes l'effet %s.
zts1176e	Si on t'attaque avec une compétence de l'élément Obscurité, il y a une probabilité de %s %% de déclencher l'effet %s.
zts1177e	Si tu as des debuffs actifs, alors la force d'attaque et de défense augmente de %s %% par debuff.
zts1178e	Si tu as des buffs actifs, alors la force d'attaque et de défense augmente de %s %% par buff.
zts1180e	Avec une probabilité de %s %%, un adversaire reçoit %s dans un rayon de 2 champs.
zts1181e	Avec une probabilité de %s %%, %s est retiré d'un adversaire dans un rayon de 2 champs.
zts1190e	Si tu te défends, il y a %s %% de probabilité qu'un(e) %s soit invoqué(e).
zts1191e	Si tu te défends, il y a %s %% de probabilité que deux %s soient invoqué(e)s.
zts1198e	Si tu te défends, il y a %s %% de probabilité de déclencher un impact de météorite.
zts1199e	Si tu te défends, il y a une probabilité de %s %% de renvoyer %s %% de dégâts à l'adversaire.
zts1200e	Si tu attaques, il y a %s %% de probabilité de déclencher une attaque du loup.
zts1201e	Si tu te défends, il y a %s %% de probabilité de contre-attaquer l'adversaire.
zts1210e	Si tu attaques, il y a %s %% de probabilité de déclencher la foudre.
zts1211e	Si tu attaques, il y a %s %% de probabilité de déclencher pouvoir de la malédiction.
zts1212e	Si tu attaques, il y a %s %% de probabilité de déclencher une attaque de l'ours.
zts1213e	Si tu attaques, il y a %s %% de probabilité de déclencher pouvoir du froid.
zts1215e	Les dégâts contre les morts-vivants de faible niveau augmentent de %s %%.
zts1216e	Les dégâts contre les morts-vivants de faible niveau diminuent de %s %%.
zts1220e	La défense d'attaque rapprochée augmente de %s %%.
zts1221e	La défense rapprochée diminue de %s %%.
zts1222e	La défense à distance augmente de %s %%.
zts1223e	La défense à distance diminue de %s %%.
zts1224e	La défense magique augmente de %s %%.
zts1225e	La défense magique diminue de %s %%.
zts1227e	La récupération de MP augmente de %s %%.
zts1228e	La récupération de MP diminue de %s %%.
zts1231e	Les dégâts contre les monstres augmentent de %s %%.
zts1232e	Les dégâts contre les monstres diminuent de %s %%.
zts1234e	La consommation de points de fabrication diminue de %s %%.
zts1235e	La consommation de points de fabrication augmente de %s %%.
zts1237e	Les statistiques d'esquive augmentent de %s %%.
zts1238e	L'esquive diminue de %s %%.
zts1246e	Si tu te défends, il y a une probabilité de %s %% de renvoyer %s %% de dégâts à l'adversaire.
zts1247e	Dans une zone de %s champs, toutes les 4 secondes, tu infliges %s points de dégâts à tous les ennemis.
zts1248e	La force d'attaque de ton NosMate augmente de %s %%.
zts1249e	Dans une zone de %s champs, toutes les 4 secondes, tu infliges %s à tous les ennemis.
zts1250e	Si tu attaques, il y a %s %% de probabilité qu'un adversaire subisse (niveau d'effet * 18) points de dégâts du pouvoir de l'apocalypse. En plus, il subit le debuff correspondant.
zts1251e	Si tu attaques, il y a %s %% de probabilité que tu bénéficies du pouvoir de réflexion.
zts1252e	Si tu attaques, il y a %s %% de probabilité qu'un adversaire subisse (niveau d'effet * 15) points de dégâts du pouvoir du loup. En plus, il subit le debuff correspondant.
