zts1e	Odpoèinek
zts633e	Kopat
zts634e	Breèet
zts635e	Skákat
zts636e	Posílit vıbušnou magickou bombu
zts637e	Støední skok slepièího krále
zts638e	Rychlı skok slepièího krále
zts639e	Útok bambusovou tøtinou
zts640e	JajaMaru Boss past
zts641e	Útok Shurikù
zts642e	Skok Shurikù
zts643e	Plamennı oheò
zts644e	Shození bomby
zts645e	Nahrazení
zts646e	Stealth Modus
zts647e	Zaklínání Kamapakuna
zts648e	Vytvoøení
zts649e	Energie prázdného srdce
zts650e	Zlepšení vıbušné magické bomby 2
zts651e	Útok Ninja Shurikù
zts652e	Kopání Namaju
zts653e	Pøivolat Namaja
zts654e	Útok vybavení
zts655e	Útok javorovıch listù
zts656e	Laserové paprsky
zts657e	Pøivolat duchy
zts658e	Magické ruce
zts659e	jedovatá mlha
zts660e	Sandále
zts661e	Útok Kovoltovıch lukostøeleckıch duchù
zts662e	Základní útok JajaMaru. Hází na nepøátele Shurikeny.
zts663e	Skoèí a hází proti nepøátelùm Shurikeny.
zts664e	Ohnivı útok na nepøítele postavenıch do øad
zts665e	Vrhne na nepøátele bombu plnou energie a poškodí je
zts666e	Teleportuje na urèité místo a zanechá døevìné piliny na prvotním místì
zts667e	Schová Char. Vydrí k dalšímu vlastnímu útoku nebo útoku nìkım jinım
zts668e	Jede na prachovém králi Kamapakunu a útoèí na okolní protivníky
zts669e	Zakleje proroctví JajaMaru, útoèí a nechá pøitom nepøítele zmizet
zts670e	Tento talent je efektivní pouze pro Namaju
zts671e	Obnovuje na omezenou dobu energii a škodí Namaju
zts672e	Úprk pøíšer
zts673e	Okamitı útok váleèníka Kovolta
zts674e	Teleport zlé eny
zts675e	jedovatá mlha
zts676e	Základní útok znovuzrozeného ïábla
zts677e	Oslepení znovuzrozeného ïábla
zts678e	Základní útok sokola Smrtihlava
zts679e	Základní útok Landera
zts680e	Vìtrná smrš mrtvého Landera
zts681e	Mlèení mrtvého Landera
zts682e	Fantóm teleport mrtvého Landera
zts683e	Základní útok obrovského rytíøe
zts684e	Zemskı šok obrovského rytíøe
zts685e	Vıøik obrovského rytíøe
zts686e	Omamnı štít obrovského rytíøe
zts687e	Základní útok temného Horna
zts688e	Ohnivá hvìzda temného Horna
zts689e	Jarní skok
zts690e	Jarní øev
zts691e	Støední jarní skok
zts692e	Rychlı jarní skok
zts693e	Základní útok ohnivého draka
zts694e	Základní útok kostìného draka
zts695e	Elementární útok
zts696e	Posvátnı šíp
zts697e	Trojitı útok
zts698e	Modus obleení
zts699e	Obrannı modus
zts700e	Modlitba pro obnovení
zts701e	Posvátnı køí
zts702e	Rostoucí štít
zts703e	Modlitba za obranu
zts704e	Modlitba za útok
zts705e	Koncentrát x
zts706e	Švihni kovovou rukou
zts707e	Úder
zts708e	Nad oblièejem
zts709e	Útok zvukovıch vln
zts710e	Adrenalínovı úder
zts711e	Šílenı útok
zts712e	Velké udeøení
zts713e	Rozøíznutí tornáda
zts714e	Zuøivec
zts715e	ivot a smrt
zts716e	Zlomení pancíøe
zts717e	Palba z pušky
zts718e	Rychlá støela
zts719e	Daleká støela
zts720e	Tempo Booster
zts721e	Pokladaè bomb
zts722e	Bomba s jedovatım plynem
zts723e	Odstøel
zts724e	Podivuhodné uzdravení
zts725e	Boom støela
zts726e	Ohnivá mina
zts727e	Pekelnı pád
zts728e	Hodí bumerang
zts729e	Hadí útok
zts730e	Paøát bestie
zts731e	Duch orla
zts732e	Elementární svìtlo
zts733e	Krouivı let
zts734e	Vlkùv duch
zts735e	Elementární Down
zts736e	Bøeèan
zts737e	Duch medvìda
zts738e	Síla lesa
zts739e	Ledová koule
zts740e	Ledovı støep
zts741e	Ledovı paprsek
zts742e	Ledové kopí
zts743e	Ledovı øetìz
zts744e	Ledovı štít
zts745e	Ledovec
zts746e	Poehnání vody
zts747e	Velké kroupy
zts748e	Zima
zts749e	Snìhová bouøe
zts750e	Crisos - bublinovı útok
zts751e	Treekun - útok nohama
zts752e	Posvátnı dech
zts753e	Posvátnı element
zts754e	Záøivı efekt
zts755e	Koncentrát xx
zts756e	Zapnout Booster
zts757e	Zmrzlı øetìz
zts758e	Vıstøel kouzelné zbranì
zts759e	Kombinovanı vıstøel
zts760e	Magickı blesk
zts761e	Duchovní strá
zts762e	Prokletá støela
zts763e	Temná kletba
zts764e	Posedlost
zts765e	Dobíjení ducha
zts766e	Nápoj ke zlu
zts767e	Rekviem
zts768e	Invaze duchù
zts769e	Útok paøezu
zts770e	Speciální elektrickı útok
zts771e	Odvolání rostlin
zts772e	Erikiel kopí modus
zts773e	Krtèí útok
zts774e	Baziliškùv zkameòující útok
zts775e	Útok molího prášku
zts776e	Útoèná schopnost skoku zpìt
zts777e	Graylander-útok
zts778e	Graylander hvìzdná schopnost
zts779e	Crisos - základní útok
zts780e	Útok krtonoky
zts781e	Soustøeï moc
zts782e	Exploze bomby
zts783e	Exploze bomby 2
zts784e	Agresivní útok
zts785e	Exploze pozemních min
zts786e	Skluznice - základní útok
zts787e	Kluzkı ledovec
zts788e	Základní útok sedmikrásek
zts789e	Plynovı obal sedmikrásky
zts790e	Seina - základní útok
zts791e	Seina - posvátnı køí
zts792e	Velké rozmáchnutí
zts793e	Nad oblièejem
zts794e	Brzda obrnìní
zts795e	Základní útok strácù spravedlnosti
zts796e	Protivníci budou zasaeni posvátnım šípem a budou tìce zranìni.
zts797e	Trojité poškození tohoto útoku zraní tvoje protivníky.
zts798e	Okolní kreatury budou oslabeny svìtelnou silou posvátného dechu.
zts799e	Na urèitou dobu zvıší všechny útoèné síly.
zts800e	Tvoje skupina je zahalena do posvátného svìtla.
zts801e	Body ivota budou opìt obnoveny.
zts802e	Explozí vyvolanou duchem svìtla vznikne velkı køí.
zts804e	Zvyšuje tìlesnou sílu a obranu jak tvou, tak i tvé skupiny.
zts805e	Zvyšuje úroveò útoku a morálku jak tvou, tak i tvé skupiny.
zts806e	Tvùj cíl a okolní protivníci budou díky zaklínání koncentrované moci poraeni.
zts807e	To je základní útok nièitele.
zts808e	Rychlá støela, která zpùsobí tvım protivníkùm tak velké poškození, e upadnou do bezvìdomí.
zts809e	Zmìní tvou pušku ve velmi smrtelnou zbraò, která znièí všechny okolní protivníky.
zts810e	Zrychlí tvé pohyby díky pouití silného Boosteru.
zts811e	Útoèí na okolní protivníky pomocí exploze speciální bomby. Po 40 sekundách se bomba sama zneškodní.
zts812e	Otráví okolní protivníky díky explozi bomby s jedovatım plynem.
zts813e	Prùrazná síla pušky je zvıšena.
zts814e	Uzdravení všech škodlivıch efektù, které ti zpùsobili tvoji protivníci.
zts815e	Zaútoèí na protivníky a okolí svrením bomby.
zts816e	Ohnivé miny zaútoèí na nepøátele
zts817e	Nejsilnìjší bomba bude náhodnì odpálena.
zts818e	To je základní útok Modrého kouzelníka.
zts819e	Útoèí na protivníka kousky ledu
zts820e	Nechá protivníka zmrznout pouitím mocného ledového kouzla
zts821e	Protivník utrpí poškození díky ledovému kopí
zts822e	Upevní protivníka na zmrzlı øetìz, aby mu zpùsobil poškození.
zts823e	Sníí útok protivníka pouitím ochranného ledového štítu
zts824e	Okolo postavy, která kouzlo pouije, vzniknou ledové sloupy
zts825e	Poehnání vody
zts826e	Zvyšuje rezistenci vùèi elementùm vody
zts827e	Protivníci utrpí poškození seshora padajícími velkımi kroupami.
zts828e	Protivník zmrzne a ztuhne díky studenému prùvanu
zts829e	Ledová snìhová bouøe zpùsobí protivníkùm velké škody.
zts830e	Schopnosti Hellduke
zts831e	Pùsobením bude obnoveno HP
zts832e	Tajuplnı Aron
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Mystickı rytíø
zts838e	Maximalizuje obrannou hodnotu díky vytvoøení mohutného štítu.
zts840e	Základní útok snìhuláka
zts842e	Základní útok Whitney
zts843e	Proklínající blesk Whitney
zts844e	Mystickı rytíøskı úder
zts845e	Coupe - základní útok
zts846e	Coupe had
zts847e	Justin - základní útok
zts848e	Justin - velké rozmáchnutí
zts849e	To je základní útok zuøivce
zts850e	Základní útok revírníka.
zts851e	Základní útok temného kanonıra
zts852e	To je základní útok zuøivce.
zts853e	Pøemote protivníka obrovskou zbraní.
zts854e	Pøemoct protivníka a okolí zbraní, která je plná temné energie.
zts855e	Zvyšuje útoènou sílu tím, e vytahuje zlo z ducha, ale
zts856e	Sniuje obrannou sílu
zts857e	Prudce zaútoèit na nepøítele a odèerpat mu zlo.
zts858e	Bij do nepøítele a se z toho zblázní.
zts859e	Pøemo nepøátele a okolí náhodnım zlem.
zts860e	Neutralizuj obranu protivníka pouitím obrovské zbranì.
zts861e	Rozlom zem a nepøítele pomocí zla.
zts862e	Zvyšuje útoènou sílu sníením vlastního ivota.
zts863e	Pøemùe okolí náhodnì tím, e pouije zlo a temné síly.
zts864e	To je standardní útok revírníka.
zts865e	Hoï na protivníka 2 bumerangy.
zts866e	Poøezej protivníky hodem bumerangu.
zts867e	Mùeš na protivníka cílenì zaútoèit tím, e zavoláš zpìt orlí duši.
zts868e	Naplní tì duchem pøírody.
zts869e	Poøe nepøítele tím, e hodíš prudce bumerangem.
zts870e	Zvyš rychlost pohybu tím, e pøivoláš vlèího ducha.
zts871e	Vysaj z nepøítele ducha pøírody.
zts872e	Hoï na okolní nepøátele nìkolik bumerangù, abys je rozsekal.
zts873e	Zvyšuje obrannou sílu tím, e zavolá medvìdí duši.
zts874e	Hoï obrovskım bumerangem spolu s duchem pøírody.
zts875e	Základní útok temného kanonıra.
zts876e	Vystøelí opakovanì èarovnou zbraò
zts877e	Magickı blesk zpùsobuje explozi, která zpùsobí nepøíteli poškození.
zts878e	Objeví se duchovní stráce, aby chránil postavu pøed útoky
zts879e	Odpálí na protivníka prokletou støelu
zts880e	Pokryje postavu temnou kletbou, která zvyšuje sílu elementu stínu
zts881e	Protivníka prokleje mocnı démon
zts882e	Odpal opakovanì støely s prokletımi duchy
zts883e	Vyslat temného ducha a vyplnit jím protivníky.
zts884e	Kvùli rekviem  poškozeného démona uteèou ze strachu všichni nepøátelé z okolí a jejich ivoty vyhasnou.
zts885e	Divoké ohnivé støely s prokletımi duchy.
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts954e	Zvyšuje tìlesnou sílu o 5.
zts955e	Zvyšuje tìlesnou sílu o 15.
zts956e	[Mistrovskı] Zesílenı útok
zts957e	Zvyšuje tìlesnou sílu o 60.
zts958e	Zvyšuje rychlost o 5.
zts959e	Zvyšuje rychlost o 15.
zts960e	Zvyšuje rychlost o 60.
zts961e	Zvyšuje magickou obranu o 5.
zts962e	Zvyšuje magickou obranu o 30.
zts963e	Zvyšuje magickou obranu o 60.
zts964e	Zvyšuje maximální HP o 300.
zts965e	Zvyšuje maximální HP o 1000.
zts966e	Zvyšuje maximální HP o 3000.
zts967e	Zvyšuje maximální MP o 300.
zts968e	Zvyšuje maximální MP o 1000.
zts969e	Zvyšuje maximální MP o 3000.
zts970e	[Nízké] Pøirozené uzdravení
zts971e	Specialista na nemrtvé
zts972e	Zvyšuje útoènou sílu zblízka na nízkoúrovòové nemrtvé.
zts973e	Jak chytnout
zts974e	1. Zvol pøíšeru a zkontroluj, jestli má symbol zajetí.
zts975e	2. Útoè na pøíšeru tak dlouho, a bude její HP pod 50% hodnotou.
zts976e	3. Pro ulovení pøíšery pouij chytací schopnost.
zts977e	4. Pokud se chycení nepovede, poèkej, a se schopnost opìt dobije a zkus to znovu.
zts978e	Zvyšuje útoènou sílu 1. úroveò
zts979e	Zvyšuje útoènou sílu zblízka pøi zuøivém úderu
zts980e	Útoèná síla se zvyšuje.
zts981e	Zvyšuje útoènou sílu zblízka pøi úderu pomsty a poškození pøi kritickém zásahu.
zts982e	Zvyšuje útoènou sílu pøi zemské vlnì.
zts983e	Zvyšuje útoènou sílu zblízka pøi nárazu vìtru.
zts984e	Zvyšuje útoènou sílu zblízka pøi dvojitém útoku.
zts985e	Zvyšuje útoènou sílu zdálky pøi dynamické støele.
zts986e	Vytvoøí dùleitı zásah.
zts987e	Doeò svého protivníka.
zts988e	Po nasbírání energie meèe se prudce otoè, abys pøivodil okolním protivníkùm poškození.
zts989e	Vystøel šíp, abys protivníka odstrèil.
zts990e	Støílej šípy bìhem skoku, abys bez potrestání zpùsobil svım okolním protivníkùm poškození.
zts991e	Odebrání støílení, které umoòuje støílení šípù do okolí 3 polí cíle.
zts992e	Dıkou zpùsob kritické poškození.
zts993e	Pøidej na tvoji pøídavnou zbraò jed, abys protivníka otrávil.
zts994e	Pøitom co se otáèíš, zaútoè na všechny protivníky v okolí.
zts995e	Díky pøekvapivému útoku je pohyb protivníkù pøerušen.
zts996e	Sbírat útoènou energii, aby byl monı silnìjší útok na pøíští cíl.
zts997e	Zvyšuje dobrodruhùm míru zásahu a zpùsobené kritické poškození.
zts998e	Jedovatá špièka šípu
zts999e	Zvyšuje útoènou sílu zdálky cílené rány.
zts1000e	Zvyšuje útoènou sílu zdálky intenzivní støely.
zts1001e	Magická bariéra
zts1002e	Vytvoøí štít, aby se s urèitou pravdìpodobností sníily škody všech monıch útokù.
zts1003e	Ochrana pøírody
zts1004e	Vytvoøí záruku, která redukuje všechny škody elementù, a kterou obdrí èlenové skupiny.
zts1005e	Zvyšuje útoènou sílu zdálky pøi prudkém vıstøelu.
zts1006e	Zvyšuje útoènou sílu zdálky pøi dešti z šípù.
zts1007e	Posílení
zts1008e	Zvyšuje útoènou sílu zblízka u bouøkové rány a pravdìpodobnost pohyb pøerušit.
zts1009e	Zvyšuje útoènou sílu zblízka pøi smrtelném bodnutí.
zts1010e	Exploze
zts1011e	Pøidává s urèitou pravdìpodobností plamennou explozi k ohnivému kolíku.
zts1012e	Mráz
zts1013e	S urèitou pravdìpodobností zmrazí tvého protivníka díky pouití ledového kolíku.
zts1014e	Zvyšuje magickou útoènou sílu magické rakety.
zts1015e	Posílení úroveò 1
zts1016e	Zvyšuje magickou útoènou sílu a element vody tornáda.
zts1017e	Posílení úroveò 2
zts1018e	Zvyšuje magickou útoènou sílu hodu kamenem.
zts1019e	Zvyšuje magickou útoènou sílu magické støely.
zts1020e	Zvyšuje šanci na kritickı zásah a zpùsobuje dodateèné poškození.
zts1021e	Zvyšuje útoènou sílu 2. úroveò
zts1022e	Vybavení vodního elementu úroveò 1
zts1023e	Magickı vıstøel zásobit vodním elementem.
zts1024e	Vystøelí rychle energii meèe pøed tebe.
zts1025e	Zvıší všechny pøekáky soustøedìním se na tvé tìlo.
zts1026e	Objev se náhle pøed tvım nepøítelem a zasáhni ho úderem.
zts1027e	Zpùsob nepøíteli ztrátu vìdomí tím, e ho zasáhneš velkou kulkou.
zts1028e	Vytøel šíp s vıbušninou, abys zpùsobil citelné poškození.
zts1029e	PvP specializace
zts1030e	Zvyšuje útoènou sílu zblízka pøi PvP.
zts1031e	Vybavení elementu ohnì úroveò 1
zts1032e	Úder zlosti opatøit elementem ohnì.
zts1033e	Vybavení elementu ohnì úroveò 2
zts1034e	Vybavení stínového elementu úroveò 1
zts1035e	Úderu zlosti pøidat element stínu.
zts1036e	Vybavení stínového elementu úroveò 2
zts1037e	Zvıší útoènou sílu zblízka lesklého ostøí.
zts1038e	Specializace na nízkoúrovòové pøíšery
zts1039e	Zvyšuje útoènou sílu zblízka pøi útoku na nízkoúrovòové pøíšery.
zts1040e	Specializace na zvíøata
zts1041e	Zvyšuje útoènou sílu zblízka pøi útoku na nízkoúrovòová zvíøata.
zts1042e	Specializace na rostliny
zts1043e	Zvyšuje útoènou sílu zblízka pøi útoku na nízkoúrovòové rostliny.
zts1044e	Zvyšuje útoènou sílu zdálky pøi útoku na nízkoúrovòové pøíšery.
zts1045e	Zvyšuje útoènou sílu zdálky pøi útoku na nízkoúrovòová zvíøata
zts1046e	Zvyšuje útoènou sílu 3. úroveò
zts1047e	Zvyšuje útoènou sílu 4. úroveò
zts1048e	Vybavení elementu ohnì
zts1049e	Zmìní vlastní element na element ohnì.
zts1050e	Zvyšuje pravdìpodobnost ztráty pamìti pøi hvìzdném útoku.
zts1051e	Zesiluje efekt a trvání krvavého spolku.
zts1052e	Zvyšuje útoènou sílu zblízka bìhem Hbitého útoku a zpùsobuje Ochrnutí.
zts1053e	Zatáhni protivníka náhle pøed sebe, abys odvedl jeho pozornost.
zts1054e	Zvyšuje útoènou sílu zdálky explozivního vıstøelu.
zts1055e	Zvyšuje útoènou sílu zdálky pøi útoku na nízkoúrovòové rostliny.
zts1056e	Zvyšuje útoènou sílu zdálky skákající støely.
zts1057e	Maximalizuje efekt a trvání sokolího oka.
zts1058e	Zesiluje jedovatı osten 1. úrovnì
zts1059e	Pøidat na dıku jedovatı osten.
zts1060e	Zesílení jedovatého ostnu 2. úroveò
zts1061e	Pøidej tvému explozivnímu vıstøelu element ohnì.
zts1062e	Zvyšuje útoènou sílu zdálky pøi útoku na nízkoúrovòové nemrtvé.
zts1063e	Zvyšuje útoènou sílu zdálky v PvP.
zts1064e	Vystøel ohnivı šíp, abys spálil protivníka.
zts1065e	Na energickı kolík pøidat element vody.
zts1066e	Vybavení elementu vody 2. úroveò
zts1067e	K magickému vıstøelu pøidat element ohnì.
zts1068e	Zvyšuje magickou útoènou energii a element ohnì ohnivého kolíku.
zts1069e	Zvyšuje magickou útoènou sílu a element vody ledového kolíku.
zts1070e	Zvyšuje magickou útoènou sílu a element ohnì ohnivého sloupu.
zts1071e	Støílej magickımi šípy nad sebe, abys okolo sebe vytvoøil déš z šípù.
zts1072e	Zraò nepøítele dıkou na jeho slabém místì, abys mu silnì ublíil.
zts1073e	Ochromující jed
zts1074e	Otrav špièku šípu ochromujícím jedem, abys sníil protivníkovu sílu.
zts1075e	Zesílenı jed
zts1076e	Otrav špièku šípu zesílenım jedem, abys stimuloval protivníkovy nervy.
zts1077e	Zesílenı smrtelnı jed 1. úroveò
zts1078e	Otrávit dıku smrtícím jedem.
zts1079e	Zesílenı smrtící jed 2. úroveò
zts1080e	Zpùsob protivníkovi silné poškození zakletím ledového vrtáku ze zemì.
zts1081e	Spravedlnost nebe
zts1082e	Zaútoè na protivníka pomocí svìtla z nebe.
zts1083e	Spal protivníka tím, e budeš okolo sebe støíkat lávou.
zts1084e	Vystøel koncentrované kouzlo tvou èarovnou zbraní.
zts1085e	Vyzaøuj auru smrti, aby tví protivníci ztratili odvahu.
zts1086e	Vytvoøí studenìjší ledovı vrták ne obvykle, zvyšuje magickou útoènou sílu a pravdìpodobnost zpùsobení zmrznutí.
zts1087e	Pøidej ke spravedlnosti nebe element vody.
zts1088e	Vytvoøí havìjší lávu ne obvykle, zvyšuje magickou útoènou sílu a pravdìpodobnost kritického spálení.
zts1089e	Zakletí Calvina
zts1090e	Základní útok Calvina
zts1091e	Ztráta vìdomí úroveò 1
zts1092e	Pøidat na lesklı šíp kouzlo, aby bylo protivníkovi zpùsobeno více poškození a ztráta vìdomí.
zts1093e	Zvyšuje útoènou sílu zblízka pøi útocích na oslabené body a zpùsobuje protivníkovi váná krvácení.
zts1094e	Schopnost animaèního efektu bude lesklejší a jeho síla se zvıší.
zts1095e	K nárazu vìtru pøidat element ohnì.
zts1096e	K nárazu vìtru pøidat element stínu.
zts1097e	K dynamickému vıstøelu pøidat element ohnì.
zts1098e	K dynamickému vıstøelu pøidat element stínu.
zts1099e	K dvojitému útoku pøidat element ohnì.
zts1100e	K dvojitému útoku pøidat element stínu.
zts1101e	Zvyšuje dosah vıstøelu
zts1102e	Zvyšuje dosah vıstøelu bouølivého útoku
zts1103e	Pøidat k zemské vlnì element ohnì.
zts1104e	Vybavení elementu stínu
zts1105e	K zemské vlnì pøidat element stínu.
zts1106e	K úderu pomsty pøidat element ohnì.
zts1107e	K úderu pomsty pøidat element stínu.
zts1108e	zlikvidovat obranu úroveò 1
zts1109e	Zaútoèí na nechránìné místo protivníka, aby znièil jeho obrannou zbraò.
zts1110e	Zlikvidovat obranu úroveò 2
zts1111e	Zlikvidovat obranu úroveò 3
zts1112e	Útoèí rukojetí meèe, aby zpùsobil protivníkovi fatální ztrátu vìdomí.
zts1113e	Pøitáhni protivníka neoèekávanì pøed sebe, abys zcela odpoutal jeho pozornost.
zts1114e	Maximalizuje efekt a délku útisku.
zts1115e	Mìní svùj element v element stínu.
zts1116e	Zlepšuje energii meèe.
zts1117e	Pøidej lesklému ostøí element ohnì.
zts1118e	Pøidej lesklému ostøí element stínu.
zts1119e	Animaèní efekt lesklého ostøí bude lesklejší a jeho síla se maximalizuje.
zts1120e	Pøidej explozivnímu vıstøelu element stínu.
zts1121e	Animaèní efekt explozivního vıstøelu je lesklejší s maximální silou.
zts1122e	1. schopnost útok lišky
zts1123e	2. schopnost útok lišky
zts1124e	3. Základní útok lišky
zts1125e	1. Loveckı útok vlka
zts1126e	2. Loveckı útok vlka
zts1127e	3. Loveckı útok vlka
zts1128e	Vybavení elementu vody
zts1129e	Cílené støele pøidat element vody.
zts1130e	Vybavení elementu svìtla
zts1131e	Cílenému vıstøelu pøidat element svìtla.
zts1132e	Zvyšuje míru zásahu.
zts1133e	Zvyšuje pravdìpodobnost zasaení protivníka cílenım vıstøelem.
zts1134e	Zvyšuje šanci na kritickı zásah.
zts1135e	Zvyšuje šanci na kritickı zásah u Cílené støely.
zts1136e	Zlepšení (smrtící rána)
zts1137e	Maximalizuje šanci na kritickı zásah u Cílené støely.
zts1138e	Intenzivní støele pøidat element vody.
zts1139e	Intenzivní støele pøidat element svìtla.
zts1140e	Zesílené nárazy 1. úroveò
zts1141e	Vystøelí šíp, aby odrazil protivníka daleko.
zts1142e	Zesílené nárazy 2. úroveò
zts1143e	Zesílené nárazy 3. úroveò
zts1144e	Maximalizuje útoènou sílu zdálky intenzivního vıstøelu.
zts1145e	Aktivuje efekt Pronikavé støely a maximalizuje její sílu a šanci na kritickı zásah.
zts1146e	Skákavé støele pøidat element vody.
zts1147e	Vybavení elementu svìtla 1. úroveò
zts1148e	Skákavé støele pøidat element svìtla.
zts1149e	Vybavení elementu svìtla 2. úroveò
zts1150e	Maximalizuje útoènou sílu skákavé støely.
zts1151e	Razantnímu vıstøelu pøidat element svìtla.
zts1152e	Razantnímu vıstøelu pøidat element vody.
zts1153e	Maximalizuje útoènou sílu zdálky razantního vıstøelu.
zts1154e	Dešti šípù pøidat element vody.
zts1155e	Dešti šípù pøidat element svìtla.
zts1156e	Maximalizuje útoènou sílu zdálky u deštì z šípù.
zts1157e	Smrtelnému bodnutí pøidat element vody.
zts1158e	Smrtelnému bodnutí pøidat element svìtla.
zts1159e	Krvácení
zts1160e	Udìlej svému protivníkovi bodnou ránu na kritickém místì, aby z nìj krvácel.
zts1161e	Ztráta vìdomí
zts1162e	Udìlej svému protivníkovi bodnou ránu na kritickém místì, aby ztratil vìdomí.
zts1163e	Maximalizuje útoènou sílu zblízka smrtelného bodnutí.
zts1164e	Bouøkové ránì pøidat element vody.
zts1165e	Bouøkové ránì pøidat element svìtla.
zts1166e	Maximalizuje útok zblízka Bouøkové rány a zvyšuje šanci na kritickı zásah.
zts1167e	Ztráta vìdomí 2. úroveò
zts1168e	Animaèní efekt lesklého šípu bude lesklejší a jeho síla bude maximální.
zts1169e	Aktivuje efekt Zamìøení slabıch míst a maximalizuje jeho sílu a šanci na kritickı zásah.
zts1170e	Cílená støela na nohy protivníka, zvyšuje útoènou sílu zdálky a pravdìpodobnost zranìní protivníkovy nohy.
zts1171e	Maximalizuje útoènou sílu zdálky Zamìøení cíle a zvyšuje míru zásahu.
zts1172e	Energickému kolíku pøidat element ohnì.
zts1173e	Magické raketì pøidat element vody.
zts1174e	Magické raketì pøidat element ohnì.
zts1175e	Maximalizuje magickou útoènou sílu magické rakety.
zts1176e	Maximalizuje magickou útoènou sílu hodu kamenem, aby protivník lehce ztratil vìdomí.
zts1177e	Ochrana svìtla
zts1178e	Ochrana pøírody støeí energii elementu svìtla.
zts1179e	Ochrana stínu
zts1180e	Ochrana pøírody støeí energii elementu stínu.
zts1181e	Animaèní efekt ledového vrtáku je lesklejší a jeho síla bude maximalizovaná.
zts1182e	Kouzelné kulce pøidat element ohnì.
zts1183e	Kouzelné kulce pøidat element vody.
zts1184e	Maximalizuje magickou útoènou sílu magické kulky.
zts1185e	Zvyšuje útoènou sílu bìhem zotavování magie.
zts1186e	Maximalizuje efekt magické bariéry. Prodluuje délku a sílu absorpce.
zts1187e	Posílení 3. úroveò
zts1188e	Obrana zdálky 1. úroveò
zts1189e	Obrana zdálky 2. úroveò
zts1190e	Obrana zdálky 3. úroveò
zts1191e	Magická ochrana 1. úroveò
zts1192e	Magická ochrana 2. úroveò
zts1193e	Magická ochrana 3. úroveò
zts1194e	Zvyšuje rozsah zotavení 2. úroveò
zts1195e	Zesiluje oslepnutí, aby protivník tìce oslepl.
zts1196e	Sniuje rychlost pohybu
zts1197e	Sníená míra zásahu
zts1198e	Spojuje magickou energii, aby tvùj protivník upadl do spánku.
zts1199e	Pøidej magickému paprsku element ohnì.
zts1200e	Pøidej magickému paprsku element vody.
zts1201e	Zvyšuje útoènou sílu
zts1202e	Maximalizuje útoènou sílu magického proudu.
zts1203e	Animaèní efekt magma zóny bude lesklejší a síla bude maximalizovaná.
zts1204e	3. Silnı útok lišky
zts1205e	3. Základní útok Wollie
zts1206e	3. Základní útok Impa
zts1207e	3. Základní útok Jelly
zts1208e	3. Základní útok krysy
zts1209e	Ochrana vody
zts1210e	Ochrana pøírody støeí energii elementu vody.
zts1211e	Ochrana ohnì
zts1212e	Ochrana pøírody støeí energii elementu ohnì.
zts1213e	Animaèní efekt spravedlnosti nebe bude lesklejší a jeho síla bude maximalizovaná.
zts1214e	Zlepšit (útoènou sílu)
zts1215e	Maximalizuje útoènou sílu cílené støely.
zts1216e	Teleport Ledové paní
zts1217e	Útok stráce démonù
zts1218e	Útok stráce andìlù
zts1219e	Ledovı útok
zts1220e	Základní útok tulenì
zts1221e	Celoplošnı útok Mlného obra
zts1222e	Základní útok Ïáblovy dámy
zts1223e	Zakletí Královny krtkù
zts1224e	Tajuplné zotavení Arona
zts1225e	SE útok na okolí
zts1226e	SE útok na okolí 2
zts1227e	Základní útok ducha Mandry
zts1228e	Základní útok Prokleté bestie
zts1229e	Data fazolí
zts1230e	Sníí schopnost nesvìtelného elementu protivníkù pomocí posvátného svìtla.
zts1231e	Posílí tvoji skupinu dobrodruhù a tebe pomocí posvátného svìtla.
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
