zts1e	Nouvel objet
zts1033e	Cet objet est vendable en magasin. Récupère-le sur des reines des abeilles.[n][n]
zts1034e	Toile d'araignée
zts1035e	Cet objet est vendable en magasin.[n]Récupère-le sur des araignées.[n][n]
zts1036e	Œil du roi araignée
zts1037e	Cet objet est vendable en magasin.[n]Récupère-le sur des rois araignées.[n][n]
zts1038e	Carapace de scarabée
zts1039e	Cet objet est vendable en magasin.[n]Récupère-le sur des guêpes et des wigglers.[n][n]
zts1040e	Perle des ténèbres
zts1041e	Cet objet est vendable en magasin.[n]Récupère-le sur des souffleurs, des crânes, des golems et des rois poussières.[n][n]
zts1042e	Manche à balai abîmé
zts1043e	Porte-bonheur du nouvel an
zts1044e	Potion magique
zts1045e	Cet objet sert à fabriquer plusieurs matériaux magiques. Il peut aussi servir à partager le cristal de nouvelle lune.[n][n]
zts1046e	Herbe
zts1047e	Cet objet sert à concocter des potions et des préparations d'herbes médicinales.[n][n]
zts1048e	Fruits rouges
zts1049e	Cet objet sert à concocter des potions de guérison.[n][n]
zts1050e	Herbe bleue
zts1051e	Cet objet est utilisé pour fabriquer des potions de mana.[n][n]
zts1052e	Encre mystérieuse
zts1053e	Cet objet mystérieux permet de lier la magie à des amulettes.[n][n]
zts1054e	Betterave
zts1055e	Cet objet s'utilise pour fabriquer des remèdes.[n][n]
zts1056e	Ginseng
zts1057e	Cet objet sert à fabriquer des remèdes.[n][n]
zts1058e	Ramure
zts1059e	Pierre rectangulaire
zts1060e	Il s'agit de matériel pour effectuer des travaux dans le minipays.[n][n]
zts1061e	Graine mystérieuse
zts1062e	Petit pot de fleurs
zts1063e	Perle de verre
zts1064e	Plantule germée
zts1065e	Grand pot de fleurs
zts1066e	Semis
zts1067e	Terre bénie
zts1068e	Graine germée
zts1069e	Céréales
zts1070e	Cet objet s'utilise principalement en cuisine.[n][n]
zts1071e	Légumes
zts1072e	Cet objet s'utilise principalement en cuisine.[n][n]
zts1073e	Fruits
zts1074e	Viande
zts1075e	Fruits de mer
zts1076e	Sucre
zts1077e	Cet objet s'utilise principalement en cuisine.[n]Tu peux l'obtenir au marché de NosVille.[n][n]
zts1078e	Sel
zts1079e	Cet objet s'utilise principalement en cuisine.[n]Tu peux l'obtenir au marché de NosVille.[n][n]
zts1080e	Poivre
zts1081e	Estragon
zts1082e	Huile végétale
zts1083e	Fromage et œufs
zts1084e	Épices
zts1085e	Luinia de la protection
zts1086e	Luinia du rétablissement
zts1087e	Cet objet sert à protéger un PNJ pendant les missions d'espace-temps. [n]L'endurance de tous les PNJ dans un rayon de 6 champs est augmentée de 800. [n]L'effet n'est pas valable sur les joueurs et NosMates.[n][n]
zts1088e	Bandage efficace
zts1089e	Cet objet stoppe les saignements jusqu'au niveau 3.[n][n]
zts1090e	Entraîneur de NosMates fort
zts1091e	Un entraîneur fort est invoqué pour améliorer le niveau d'attaque et de défense de ton NosMate.[n][n]
zts1092e	Potion de coiffure
zts1093e	Cet objet modifie ta coiffure.[n][n]
zts1094e	Taco
zts1095e	Cet objet rétablit 200 MP.[n]La récupération ne peut pas dépasser 20 % des MP maximums.[n][n]
zts1096e	Purée de pommes de terre
zts1097e	Cet objet rétablit 200 HP.[n]La récupération ne peut pas dépasser 20 % des HP maximums.[n][n]
zts1098e	Nouilles
zts1099e	Cet objet rétablit 400 HP.[n]La récupération ne peut pas dépasser 20 % des HP maximums.[n][n]
zts1100e	Petit four
zts1101e	Cet objet rétablit 400 MP.[n]La récupération ne peut pas dépasser 20 % des MP maximums.[n][n]
zts1102e	Bâtonnets au fromage
zts1103e	Cet objet rétablit 600 MP.[n]La récupération ne peut pas dépasser 40 % des MP maximums.[n][n]
zts1104e	Pommes frites
zts1105e	Cet objet rétablit 600 HP.[n]La récupération ne peut pas dépasser 40 % des HP maximums.[n][n]
zts1106e	Tarte aux fruits
zts1107e	Pudding
zts1108e	Sushi
zts1109e	Lard
zts1110e	Vitamine
zts1111e	Müsli
zts1112e	Écus en chocolat
zts1113e	Carte de spécialiste
zts1114e	Patates douces
zts1115e	Pain à l'ail
zts1116e	Makis
zts1117e	Purée de pommes de terre
zts1118e	Salade de pommes de terre
zts1119e	Salade de fruits
zts1120e	Salade de poulet
zts1121e	Salade de crevettes
zts1122e	Baguette de sourcier
zts1123e	Boule de cristal sacrée de dignité
zts1124e	Ta dignité augmente de 100.[n]Le seuil maximum ne peut être dépassé.[n][n]
zts1125e	Badge pour familiers
zts1126e	Cet objet donne un nom à ton familier.[n][Mode d'emploi][n]Sélectionne un familier et double-clique[n]sur le badge pour saisir le nom.[n][n]
zts1127e	Croquettes de qualité
zts1128e	La loyauté de ton NosMate augmente de 100.[n]L'animal gagne même 1 niveau.[n][n] Par contre, l'objet ne peut être utilisé[n]que si le niveau du NosMate est[n]de 5 niveaux inférieur[n]à celui de ton personnage.[n][n]
zts1129e	Médicament pour partenaire
zts1130e	Le partenaire progresse de 1 niveau.[n] [Attention][n]Le partenaire ne peut pas progresser au-delà de[n]5 niveaux inférieurs à celui du joueur.[n][n]
zts1131e	Ailes de l'amitié
zts1132e	Envole-toi immédiatement vers un de tes amis.[n][Mode d'emploi][n]Ouvre ta liste d'amis.[n]Clique sur le symbole « Go ».[n]Tu pourras ensuite t'envoler vers ton ami[n]en utilisant une aile de l'amitié.[n][n]
zts1133e	Maxi gel coiffant
zts1134e	Cet objet modifie ta coiffure.[n]Les Aventuriers ne peuvent pas l'utiliser.[n][n]
zts1135e	Maxi cire coiffante
zts1136e	Cet objet modifie ta coiffure.[n]Les Aventuriers ne peuvent pas l'utiliser.[n][n]
zts1137e	Coloration rose
zts1138e	Colore tes cheveux en rose.[n][n]
zts1139e	Coloration vert clair
zts1140e	Colore tes cheveux en vert clair.[n][n]
zts1141e	Coloration blanche
zts1142e	Colore tes cheveux en blanc.[n][n]
zts1143e	Coloration bleu clair
zts1144e	Colore tes cheveux en bleu.[n][n]
zts1145e	Coloration noire
zts1146e	Colore tes cheveux en noir.[n][n]
zts1147e	Potion de dignité
zts1148e	Ta dignité augmente au maximum.[n][n]
zts1149e	Gâteau du NosMall
zts1150e	Les HP et MP augmentent temporairement.[n]Les NosMates et partenaires sont soignés.[n]Il s'agit d'un objet évènementiel pour fêter l'ouverture du NosMall.[n][n]
zts1151e	Pierre d'équipe
zts1152e	Cet objet téléporte les membres d'un groupe à l'endroit où se trouve le chef de raid.[n][n][Attention][n]Cet objet peut uniquement être utilisé par le chef de raid à l'entrée d'une carte de raid.[n][n]
zts1153e	Mouchoir de la séparation
zts1154e	Cet objet remet le partenaire sélectionné en liberté.[n]Cette action est irréversible.[n][n]
zts1155e	Griffe de Slade
zts1156e	Cette griffe du vieux démon Slade se trouve en possession des Catsys.[n][n]
zts1157e	Haut-parleur
zts1158e	Tu peux envoyer des messages à tous[n]les joueurs de ton canal.[n][Mode d'emploi][n]Double-clique sur le[n]haut-parleur et insère ton[n]message dans le champ prévu à cet effet.[n][n]
zts1159e	Bulle
zts1160e	Chocolat chaud
zts1161e	Les HP et MP augmentent temporairement.[n]Les NosMates et partenaires sont soignés.[n]Il s'agit d'un objet évènementiel pour fêter Noël.[n][n]
zts1162e	Soupe de nouilles
zts1163e	Les HP et MP sont progressivement restaurés.[n]L'effet agit aussi sur les NosMates dans un rayon de 3 champs. [n]L'objet est seulement utilisable en mode repos.[n]Il s'agit d'un objet évènementiel pour fêter le nouvel an.[n][n]
zts1164e	Masse gluante rouge
zts1165e	Cet objet est vendable en magasin. Son origine est inconnue.[n][n]
zts1166e	Antibiotique antizombi
zts1167e	Cet objet prévient les infections. [n]L'objet peut être utilisé sur les NosMates et sur d'autres personnages.[n][n][n]
zts1168e	Masse gluante bleue
zts1169e	Masse gluante verte
zts1170e	Logement
zts1171e	Après avoir construit ce bâtiment dans le minipays, on peut y ajouter des objets pour décorer la terrasse.[n][n]
zts1172e	Ferme
zts1173e	Une fois ce bâtiment construit dans le minipays, la terrasse peut être décorée de divers objets.[n][n]
zts1174e	Tente de voyage
zts1175e	Après avoir construit ce bâtiment dans le minipays, on peut y ajouter des objets pour décorer le jardin.[n][n]
zts1176e	Gîte rural
zts1177e	Petit entrepôt
zts1178e	Tu profites de 14 emplacements.[n]Ce bâtiment ne peut être construit que dans le minipays.[n]Il permet de stocker et d'échanger des objets entre personnages d'un même compte.[n](Les deux personnages impliqués dans l'échange doivent avoir un entrepôt.)[n]Chaque personnage ne peut construire qu'un entrepôt.[n]Passer à un entrepôt plus petit peut faire perdre des objets.[n][n]
zts1179e	Entrepôt moyen
zts1180e	Tu profites de 21 emplacements.[n]Ce bâtiment ne peut être construit que dans le minipays.[n]Il permet de stocker et d'échanger des objets entre personnages d'un même compte.[n](Les deux personnages impliqués dans l'échange doivent avoir un entrepôt.)[n]Chaque personnage ne peut construire qu'un entrepôt.[n]Passer à un entrepôt plus petit peut faire perdre des objets.[n][n]
zts1181e	Lampe de terrasse en fer
zts1182e	Lampe de terrasse en bronze
zts1183e	Bonsaï à pot rond
zts1184e	Bonsaï à pot rectangulaire
zts1185e	Bonsaï à pot décoratif
zts1186e	Plant de tomates
zts1187e	Plant de tomates jaunes
zts1188e	Plant de tomates en pot en terre cuite
zts1189e	Plant de tomates jaunes en pot en terre cuite
zts1190e	Étagère blanche
zts1191e	Étagère rose
zts1192e	Sculpture en marbre de laineux
zts1193e	Sculpture en or de laineux
zts1194e	NotUse
zts1195e	Fleurs orange dans un seau blanc
zts1196e	Il s'agit d'un magnifique bouquet de fleurs de toutes les couleurs.[n][n]
zts1197e	Fleurs vives dans un seau marron
zts1198e	Fleurs orange dans un seau marron
zts1199e	Fleurs vives dans un seau blanc
zts1200e	Sculpture de dryade en bronze
zts1201e	Sculpture de dryade en vert
zts1202e	Lanterne moderne en bronze
zts1203e	Cette lampe aux contours soignés est somptueusement décorée.[n][n]
zts1204e	Lanterne moderne en marbre
zts1205e	Parasol blanc
zts1206e	Cet objet permet de faire de l'ombre.[n][n]
zts1207e	Parasol rayé
zts1208e	Parasol rose
zts1209e	Parasol orné d'étoiles
zts1210e	Buisson vert foncé
zts1211e	Il s'agit d'un buisson bon marché de forme ronde qui sert à décorer le jardin.[n][n]
zts1212e	Buisson à fruits jaunes
zts1213e	Buisson vert pâle
zts1214e	Buisson à fruits rouges
zts1215e	Lys blanc dans un pot bleu
zts1216e	Lys blanc dans un pot marron
zts1217e	Lys blanc dans un pot vert
zts1218e	Lys jaune dans un pot bleu
zts1219e	Lys jaune dans un pot marron
zts1220e	Lys jaune dans un pot vert
zts1221e	Lys rouge dans un pot bleu
zts1222e	Lys rouge dans un pot marron
zts1223e	Lys rouge dans un pot vert
zts1224e	Jacinthes lilas dans un pot bleu
zts1225e	Jacinthes lilas dans un pot marron
zts1226e	Jacinthes lilas dans un pot vert
zts1227e	Jacinthes rose dans un pot bleu
zts1228e	Jacinthes rose dans un pot marron
zts1229e	Jacinthes rose dans un pot vert
zts1230e	Jacinthes rose pâle dans un pot bleu
zts1231e	Jacinthes rose pâle dans un pot marron
zts1232e	Jacinthes rose pâle dans un pot vert
zts1233e	Sculpture d'éléphant
zts1234e	Sculpture de hamster
zts1235e	Lot de pique-nique simple
zts1236e	Voilà de quoi faire un pique-nique avec du café et un peu de gâteau.[n][n]
zts1237e	Sculpture de Ratufu
zts1238e	C'est l'œuvre du fameux sculpteur Taylor Ratu. Il s'agit de son tout premier travail, réalisé quand il était très jeune.[n][n]
zts1239e	NotUse
zts1240e	Étang romantique
zts1241e	Ce point d'eau artificiel, aux décors charmants, crée une atmosphère très romantique.[n][n]
zts1242e	NotUse
zts1243e	Platebande de roses rouges
zts1244e	Cette platebande est chargée de roses qui ne flétrissent jamais et sentent très bon.[n][n]
zts1245e	Platebande de roses blanches
zts1246e	NotUse
zts1247e	NotUse
zts1248e	NotUse
zts1249e	NotUse
zts1250e	Petite tente
zts1251e	Tapis rose
zts1252e	Tapis vert
zts1253e	Pierre décorative en granit
zts1254e	Pierre décorative en quartz
zts1255e	Roche décorative claire
zts1256e	Roche décorative sombre
zts1257e	NotUse
zts1258e	NotUse
zts1259e	Table de thé antique
zts1260e	Table de thé luxueuse
zts1261e	Table de banquet en acajou
zts1262e	Table de banquet en bois de pin
zts1263e	Table de dîner en marbre
zts1264e	Table de dîner en bois de cerisier
zts1265e	Table de fête rose
zts1266e	Table de fête orange
zts1267e	Arbre vert foncé
zts1268e	Cet arbre de bon goût permet de décorer le jardin.[n][n]
zts1269e	Arbre à fruits rouges
zts1270e	Arbre à fruits jaunes
zts1271e	Arbre vert clair
zts1272e	Pot en châtaignier avec violettes
zts1273e	Ce pot de fleurs est fait dans un bois spécial qui permet de garder les fleurs plus longtemps en vie.[n][n]
zts1274e	Pot en châtaignier avec fleurs d'été
zts1275e	Pot en châtaignier avec fleurs roses
zts1276e	Pot en chêne avec violettes
zts1277e	Pot en chêne avec fleurs d'été
zts1278e	Pot en chêne avec fleurs roses
zts1279e	Cœur de roses rouges
zts1280e	Il s'agit d'un bouquet de roses en forme de cœur.[n]Cet objet très prisé, et assez cher, sert de décoration.[n][n]
zts1281e	Cœur de roses blanches
zts1282e	Luxueux set de piquenique bleu
zts1283e	Ce set de piquenique offre un délicieux repas et des boissons rafraîchissantes.[n][n]
zts1284e	Luxueux set de piquenique rouge
zts1285e	Sculpture en or de renard
zts1286e	Sculpture en marbre de renard
zts1287e	Grand entrepôt
zts1288e	Maison de plage
zts1289e	Entrepôt minuscule
zts1290e	Tu profites de 7 emplacements.[n]Ce bâtiment ne peut être construit que dans le minipays.[n]Il permet de stocker et d'échanger des objets entre personnages d'un même compte.[n](Les deux personnages impliqués dans l'échange doivent avoir un entrepôt.)[n]Chaque personnage ne peut construire qu'un entrepôt.[n]Passer à un entrepôt plus petit peut faire perdre des objets.[n][n]
zts1291e	NotUse
zts1292e	Cet objet permet de construire des maisons moyennes au minipays.[n]Les HP maximums de ton partenaire augmentent de 1 000.[n][n]
zts1293e	Cabane de jardin
zts1294e	Cet objet permet de construire de grandes maisons au minipays.[n]Les HP maximums de ton partenaire augmentent de 2 000.[n][n]
zts1295e	Tu peux construire une maison rouge.[n]Tu profites de 30 emplacements dans l'entrepôt.[n]L'entrepôt peut être utilisé par tous les personnages d'un même compte.[n][n]
zts1296e	Lanterne en fer antique
zts1297e	La lanterne en fer antique permet d'éclairer le minipays.[n][n]
zts1298e	Lanterne en bronze antique
zts1299e	Arbre à fruits orange
zts1300e	Arbre à fruits rose
zts1301e	Entrepôt géant (30 jours)
zts1302e	Tu profites de 56 emplacements.[n]Ce bâtiment ne peut être construit que dans le minipays pendant 30 jours.[n]Il permet de stocker et d'échanger des objets entre personnages d'un même compte.[n](Les deux personnages impliqués dans l'échange doivent avoir un entrepôt.)[n]Chaque personnage ne peut construire qu'un entrepôt.[n]Passer à un entrepôt plus petit peut faire perdre des objets.[n][n]
zts1303e	Sapin de Noël
zts1304e	Décoration de Noël
zts1305e	Mélodie du printemps
zts1306e	Mélodie de l'été
zts1307e	Mélodie de l'automne
zts1308e	Mélodie de l'hiver
zts1309e	Épée de garde
zts1310e	Collier ordinaire
zts1311e	Dague rare
zts1312e	Épée rare
zts1313e	Baguette magique rare
zts1314e	Collier de chien de l'enfer
zts1315e	Amulette du fantôme
zts1316e	Tablette noire
zts1317e	Paquet de cigarettes du capitaine Lance
zts1318e	Herbe odorante
zts1319e	Eau étincelante
zts1320e	Fleur mandragore
zts1321e	Parfum de chasse
zts1322e	Filet à fouineurs
zts1323e	Poudre magique
zts1324e	Cœur brûlant du slade flambant
zts1325e	Rubis rouge
zts1326e	Petit rubis rouge
zts1327e	Fruit d'arbre en fleur
zts1328e	Moustache de taupe
zts1329e	Masque magique
zts1330e	Pantalon magique
zts1331e	Manteau magique
zts1332e	Arme magique
zts1333e	Coffre au trésor
zts1334e	Sculpture du tourbillon
zts1335e	Gourde noire
zts1336e	Os canin noir
zts1337e	Poudre noire
zts1339e	Perle de Kenko
zts1340e	Amulette de l'âme
zts1341e	Branche de la pureté
zts1342e	Branche sacrée
zts1343e	Blé
zts1344e	Minerai de fer
zts1345e	Fouineur
zts1346e	Trace suspecte
zts1347e	Bouton de blocage
zts1348e	Bouton de blocage (utilisé)
zts1349e	Porte 1
zts1351e	Porte 2
zts1352e	Porte 3
zts1353e	Porte cet objet, au moment des paris, pour augmenter ta probabilité de réussite de 10 %. [n]Avec cet objet, ton équipement sera protégé en cas d'échec lors d'un pari.[n]Cet objet est utilisable pour les armes et armures normales.[n](L'objet est utilisable jusqu'à 3 fois.)[n][Attention][n]Il est impossible de parier sur de l'équipement héroïque avec cet objet.[n]
zts1354e	Avec cet objet, ton équipement sera protégé en cas d'échec lors d'un pari.[n]Cet objet est utilisable pour les armes et armures normales.[n](L'objet est utilisable jusqu'à 3 fois.)[n][Attention][n]Il est impossible de parier sur de l'équipement héroïque avec cet objet.[n]
zts1355e	Il s'agit de la médaille de l'évènement du partenaire secret.[n]Les points d'EXP augmentent de 5 %. [n]Les points des membres de groupe augmentent de 5 %.[n] L'objet est utilisable pendant 10 jours.[n][n]
zts1356e	Il s'agit d'un espace-temps d'entraînement.[n]L'entrée est possible immédiatement.[n][n]
zts1358e	Les points d'EXP au combat augmentent de 30 %. [n]Les points d'EXP de métier augmentent de 30 %. [n]Les points d'EXP des NosMates et partenaires augmentent de 30 %. [n]Le gain en or augmente de 20 %. [n]Le gain en réputation augmente de 20 %.[n]L'objet peut être utilisé pendant 3 jours.[n][n]
zts1359e	Ruban
zts1360e	Il s'agit d'un objet pour fêter la Saint-Valentin.[n][n]
zts1361e	Paquet-cadeau
zts1362e	Cadeau de Saint-Valentin
zts1363e	Œuf magique
zts1364e	Morceau de chocolat
zts1365e	Médaille de Mimi
zts1366e	Cet objet de quête est nécessaire pour utiliser des objets spécifiques. Alors, conserve-le avec soin ![n][n]
zts1367e	L'objet donne l'apparence d'un soldat kenko[n]pour fourvoyer les démons.[n]Tu en auras besoin pour la quête, alors conserve-le bien.[n][n]
zts1368e	Carte de spécialiste de la poule
zts1369e	Entonnoir aspirant
zts1370e	Réduis les HP d'un soldat kenko jusqu'à ce que sa barre de vie passe au rouge[n]et utilise ensuite un entonnoir aspirant.[n]En cas de réussite, tu obtiendras une perle de Kenko.[n][n]
zts1371e	Ambre jaune de la Lumière
zts1372e	Ambre jaune de l'Obscurité
zts1373e	Ambre jaune de l'Eau
zts1374e	Ambre jaune du Feu
zts1375e	Sceau du roi poulet
zts1376e	Marqueur PNJ
zts1377e	Ce poussin inflige 50 % de dégâts supplémentaires contre le roi poulet. Il ne porte aucun élément spécifique et volète sans cesse.[n][n]
zts1380e	Tu peux commencer le raid du roi poulet dans le Poulailler de NosVille.[n]Niveau recommandé : 20-99[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid.[n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ». [n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de cœur supplémentaire ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1381e	Bonbon
zts1382e	Paquet-cadeau du jour blanc
zts1383e	Les HP et MP augmentent temporairement.[n]Les NosMates et partenaires sont soignés.[n]Les HP sont en partie rétablis.[n][n]
zts1384e	Jus de fruit
zts1385e	Argile collante
zts1386e	Statue de l'os brillant
zts1387e	Brique
zts1388e	Gazon
zts1389e	Bêche
zts1390e	Carte au trésor
zts1391e	Masque de chien
zts1392e	Chapeau brillant
zts1393e	Pioche
zts1394e	Pierre brillante
zts1395e	Miroir à main
zts1396e	Masque rouge
zts1397e	Tissu rouge
zts1398e	Dent de bête
zts1399e	Vase précieux
zts1400e	Bout de lettre
zts1401e	Clé en diamant noire
zts1402e	Marteau de la peine
zts1403e	[n][n]
zts1404e	Carte de spécialiste scellée de Jajamaru
zts1405e	Perle scellée de Sakura
zts1406e	Sakura
zts1407e	Carte de spécialiste de Jajamaru
zts1408e	Parchemin protecteur d'équipement
zts1409e	En l'utilisant, tu peux immédiatement améliorer ou parier des objets.[n]En cas d'échec, l'équipement ne disparaît pas et ne se détériore pas.[n][Mode d'emploi][n]Double-clique dessus pour activer ou désactiver la protection.[n](Si tu désactives la protection, le parchemin ne sera alors pas utilisé).[n]Si tu améliores ou paries un objet en mode protection,[n]un parchemin protecteur sera utilisé.[n][n]
zts1410e	Parchemin de libération
zts1411e	Cet objet peut renforcer l'équipement de niveau fixe.[n]Double-clique sur le parchemin et sélectionne un objet pour libérer son niveau.[n][n]
zts1412e	Marteau géant
zts1413e	Essence d'esprit
zts1414e	Poussière de fées
zts1415e	Cristal des âmes
zts1416e	Épingle à cheveux de Sakura
zts1417e	Pierre en forme de chapeau
zts1418e	Sceau de Namaju
zts1419e	Portail de la pierre tombale
zts1420e	Pierre brillante
zts1421e	Coffre d'évènement N.O.S.
zts1422e	Ouvre le coffre d'évènement pour recevoir un des objets.[n][n]
zts1423e	Cet objet peut renforcer l'équipement de niveau fixe.[n]Double-clique sur le parchemin et[n]sélectionne un objet pour libérer son niveau.[n][n]
zts1424e	Il s'agit d'un objet prévu pour l'évènement de l'alphabet.[n]Les HP augmentent lentement de 1 000.[n]Collecte toutes les lettres[n]et rapporte-les à un PNJ spécifique[n]pour obtenir un coffre au trésor.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1425e	Il s'agit d'un objet prévu pour l'évènement de l'alphabet.[n]Les MP augmentent lentement de 1 000.[n]Collecte toutes les lettres[n]et rapporte-les à un PNJ spécifique[n]pour obtenir un coffre au trésor.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1426e	Il s'agit d'un objet prévu pour l'évènement de l'alphabet.[n]Les HP et MP augmentent lentement de 1 000.[n]Collecte toutes les lettres[n]et rapporte-les à un PNJ spécifique[n]pour obtenir un coffre au trésor.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1427e	Quand le sceau est brisé,[n]l'objet se transforme en carte de spécialiste de Jajamaru.[n][n]
zts1428e	Une fois le sceau brisé,[n]l'objet se transforme en perle de la princesse Sakura.[n]
zts1429e	Quand le sceau est brisé,[n]l'objet se transforme en carte de spécialiste de Jajamaru.[n][n]
zts1430e	Une fois le sceau brisé,[n]il se transforme en perle de la princesse Sakura.[n]
zts1431e	C'est la carte de spécialiste de l'élément Feu.[n]Retour d'une légende ![n]Jajamaru débarque à NosTale[n]pour sauver la princesse Sakura ![n]
zts1432e	Il s'agit d'un objet de quête.[n]Clique sur la pierre dans ton inventaire pour entrer immédiatement dans l'espace-temps.[n][n]
zts1433e	Retour d'une légende ![n]Jajamaru débarque à NosTale[n]pour sauver la princesse Sakura ![n]
zts1434e	Sceau de raid de Namaju
zts1435e	Tu peux commencer le raid de Namaju dans la Villa de Namaju sur le toit pleine lune.[n] [n] Niveau recommandé : 50 à 99 [n] [Mode d'emploi] Cet objet fait de toi le chef du raid. [n] En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n] [n] Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur à celui recommandé peuvent participer au raid, mais ils sont pénalisés.[n][n](Ils ne peuvent pas recevoir de cœur supplémentaire ou de boite de raid (et ce, même en cas de réussite).) [n]
zts1436e	Boîte à énigmes
zts1437e	Tu peux commencer le raid de Namaju dans la Villa de Namaju au nord de NosVille. [n]Niveau recommandé : 50-99[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid. [n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de cœur supplémentaire ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1438e	Inscription à la bataille de l'arc-en-ciel
zts1439e	NotUse
zts1440e	Avec cet objet, tu peux participer à la NosDanse du minipays.
zts1441e	Chapeau de chat
zts1442e	Chapeau d'âne
zts1443e	Cet objet protège avec une certaine probabilité du cri de mandragore.[n][n]
zts1444e	Chapeau de cowboy
zts1445e	Chapeau de singe
zts1446e	Cet objet protège avec une forte probabilité des syncopes.[n][n]
zts1447e	Chapeau d'antilope
zts1448e	Chapeau de volubilis
zts1449e	Chapeau de pingouin
zts1450e	Haut-de-forme ancien
zts1451e	Serre-tête à oreilles
zts1452e	Chapeau pot de fleurs
zts1453e	Clé endommagée
zts1454e	Diamant noir
zts1455e	Cuisse de poulet
zts1456e	Son utilisation peut entraîner un des effets suivants :[n]Hausse des HP/MP/points de spécialiste/rien[n]Tu peux te rendre auprès d'Eva Energy pour échanger 10 de ces objets et 20 000 pièces d'or[n]contre un sceau des herbins.[n][Attention][n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts1457e	Bambou
zts1458e	Sac odorant
zts1459e	Riz
zts1460e	Sceau de l'évènement des vacances
zts1462e	Croquettes spéciales
zts1463e	Donnes-en à ton NosMate pour lui faire ramasser [n]  automatiquement les objets tombés au sol. [n] Cette fonctionnalité ne peut être activée [n] que pour les NosMates qui te suivent. [n] Tous les objets ramassés [n] seront stockés dans l'inventaire. [n][n] Si l'animal est pris au piège dans une perle, la fonctionnalité sera désactivée. Cet effet n'intervient que si l'objet tombé appartient au joueur et n'est pas partagé par le groupe.
zts1464e	Équipe-toi de cet objet pour ne pas être affecté[n]par le poison du géant brumeux. [n]Cet objet est à utiliser pour une quête, alors conserve-le bien soigneusement ![n][n]
zts1465e	Tu peux commencer le raid à NosVille. [n]Niveau recommandé : 20-99[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid. [n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid.[n]Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur au niveau recommandé peuvent participer au raid, mais ils sont pénalisés[n]et ne peuvent pas recevoir de cœur supplémentaire ou de boîte de raid (et ce, même en cas de réussite).[n][n]
zts1466e	L'objet n'est pas négociable entre joueurs.[n][n]
zts1467e	Cet objet protège avec une certaine probabilité du cri de mandragore.[n]Cet objet n'est pas négociable entre joueurs.[n][n]
zts1468e	Cet objet protège avec une forte probabilité des syncopes.[n]L'objet n'est pas négociable entre joueurs.[n][n]
zts1469e	Cet objet protège avec une forte probabilité des saignements.[n]L'objet n'est pas négociable entre joueurs.[n][n]
zts1470e	L'objet n'est pas négociable entre joueurs.[n][n]
zts1471e	Cet objet protège avec une certaine probabilité du cri de mandragore.[n]Cet objet n'est pas négociable entre joueurs.[n][n]
zts1472e	Cet objet protège avec une forte probabilité des saignements.[n]L'objet n'est pas négociable entre joueurs.[n][n]
zts1473e	Fée des herbins
zts1474e	Si tu as une fée des herbins comme NosMate,[n]celle-ci n'a pas besoin de nourriture[n](mais elle consomme des MP).[n]
zts1475e	Si tu as une fée des herbins comme NosMate,[n]celle-ci n'a pas besoin de nourriture[n](mais elle consomme des MP).[n]
zts1476e	Potion de rédemption
zts1477e	Quand un personnage succombe sur la Terre des morts, il peut y être ressuscité.[n][n]
zts1478e	Téléporteur au crépuscule
zts1479e	Cet objet te téléporte au Pic du crépuscule où se trouve le portail de la Terre des morts.[n][n]
zts1480e	Le personnage est ressuscité quand[n]il succombe sur la Terre des morts.
zts1481e	Inscription à la bataille de l'arc-en-ciel
