zts1e	Отдых
zts741e	Ледяное дыхание
zts742e	Ледяное копье
zts743e	Ледяные оковы
zts744e	Ледяной щит
zts745e	Ледник
zts746e	Благословение водой
zts747e	Огромная глыба
zts748e	Ледяной вихрь
zts749e	Град
zts750e	Пузырчая атака Крисоса
zts751e	Атака корнями Куна
zts752e	Освящение
zts753e	Тройная зарядка
zts754e	Эффект свечения
zts755e	Концентрация 2
zts756e	Усилитель активирован
zts757e	Ледяная стена
zts758e	Волшебное оружие
zts759e	Обстрел
zts760e	Магическая вспышка
zts761e	Призрачный страж
zts762e	Проклятая молния
zts763e	Темная сила
zts764e	Одержимость
zts765e	Призыв призраков
zts766e	Зелье зла
zts767e	Реквием
zts768e	Нашествие духов
zts769e	Атака пнем
zts770e	Специальная атака электричеством
zts771e	Призыв медузы
zts772e	Стойка для метания копья Эрикиеля
zts773e	Атака Крота
zts774e	Окаменяющая атака василиска
zts775e	Атака мотылька
zts776e	Умелая атака
zts777e	Атака Грэйландера
zts778e	"Жестокий хвост" Грэйландера
zts779e	Базовая атака Крисоса
zts780e	Атака Медведки
zts781e	Сконцентрированный удар
zts782e	Взрыв бомбы
zts783e	Взрыв бомбы 2
zts784e	Отталкивающий удар
zts785e	Взрыв мины
zts786e	Базовая атака катапультой
zts787e	Катапульта
zts788e	Базовая атака Дейзи
zts789e	Газовая граната Дейзи
zts790e	Базовая атака Сейны
zts791e	Святой Крест Сейны
zts792e	Широкий размах
zts793e	Гнев
zts794e	Бронелом
zts795e	Базовая атака Крестоносца.
zts796e	Поражает противников силой Святого Духа.
zts797e	Поражает врагов тройной стрелой Святого Света.
zts798e	Стоящая вокруг нежить ослабевает из-за силы света Священного Духа.
zts799e	Повышает силу всех атак на какое-то время.
zts800e	Твоя цель окружена Священным Светом.
zts801e	Восстанавливает ОЗ
zts802e	Дух Света взрывается и поражает противников большим крестом.
zts804e	Повышает выносливость и защиту тебе и твоей группе.
zts805e	Повышает силу атаки и мораль тебе и твоей группе.
zts806e	Поражает противников силой святого креста на большой площади.
zts807e	Базовая атака Разрушителя.
zts808e	Быстрый выстрел, который наносит противнику такой вред, что он падает без сознания.
zts809e	Поражает рядом стоящих противников.
zts810e	Благодаря работе мощного усилителя, скорость движений увеличивается.
zts811e	Призыв бомбы, которая взрывается через 40 секунд, нанося урон рядом находящимся противникам.
zts812e	Отравляет противников ядовитым газом
zts813e	Усиленный выстрел из дробовика.
zts814e	Исцеляет все негативные эффекты, наложенные противниками.
zts815e	Атакует противников, бросая бомбу.
zts816e	Огненная мина несется на противника
zts817e	Мощнейшая бомба падает с неба.
zts818e	Базовая атака Ледяного мага.
zts819e	Поражает врага кусочками льда
zts820e	Замораживает врага мощным ледяным заклинанием
zts821e	Пронзает врага ледяным копьем
zts822e	Создает ледяную стену, наносящую урон всему на своем пути
zts823e	Ледяной щит отражает атаку противника.
zts824e	Взращивает ледяные шипы вокруг заклинателя
zts825e	Благословение водой
zts826e	Повышает сопротивление элементу воды
zts827e	Ударяет врага ледяной глыбой
zts828e	Замораживает противников до костей
zts829e	Наносит огромный урон всему, что есть в твоем поле видимости
zts830e	Навык князя ада
zts831e	Восстанавливает ОЗ
zts832e	Загадочный Арон
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Таинственный рыцарь
zts838e	Максимизирует защиту, создавая большой щит.
zts840e	Основная атака Снежного человека
zts842e	Базовая атака Уитни
zts843e	Проклятая Молния Уитни.
zts844e	Удар Таинственного рыцаря
zts845e	Базовая атака Кукукина
zts846e	Змея Купея
zts847e	Базовая атака Джастина
zts848e	Большой мах Джастина
zts849e	Это основная атака Берсерка.
zts850e	Базовая атака Хранителя пустоши
zts851e	Базовая атака Темного стрелка
zts852e	Базовая атака Берсерка.
zts853e	Атакуй противника огромным оружием.
zts854e	Поражает врагов в широком радиусе оружием тьмы.
zts855e	Повышает силу атаки, комбинируя ментальную силу и безумие.
zts856e	Понижает защиту.
zts857e	В приступе ярости нападай на врага.
zts858e	Яростное нападение на противника.
zts859e	Ударяет в разные точки из-за приступа ярости
zts860e	Нейтрализует защиту противника.
zts861e	В приступе ярости вбей врага в землю.
zts862e	Повышает силу атаки за счет потребления ОЗ
zts863e	Ударяет ближайших к тебе врагов
zts864e	Ты бросаешь в противника бумеранг.
zts865e	Запусти 2 бумеранга в противника.
zts866e	Разрежь врага броском бумеранга.
zts867e	Повышение точности благодаря вызову духа орла.
zts868e	Сияние стихий наполняет тебя природным духом.
zts869e	Разрежь противника на части, запустив бумеранги вокруг себя.
zts870e	Повышение скорости движения благодаря вызову духа волка.
zts871e	Вытягивание элементальной защиты из противника.
zts872e	Запусти несколько бумерангов, чтобы рассечь противников на части.
zts873e	Повышение защиты благодаря призыву духа медведя.
zts874e	Запусти огромный бумеранг с духом природы.
zts875e	Базовая атака Темного стрелка.
zts876e	Продолжительные выстрелы из магического пистолета
zts877e	Взрывает врага
zts878e	Призрачный страж защищает тебя от атак
zts879e	Выстреливает в противника заклинанием проклятия
zts880e	Накладывает на персонажа темное заклинание, усиливающее элемент тьмы
zts881e	Могущественный демон проклинает врага
zts882e	Выстреливает в цель несколько раз
zts883e	Наполняет врага темной энергией
zts884e	Заставляет всех врагов разбегаться в страхе, одновременно понижая количество их очков здоровья
zts885e	Призывает орду проклятых призраков, атакующих врагов
zts886e	monster skill
zts887e	monster skill
zts888e	monster skill
zts889e	monster skill
zts890e	monster skill
zts891e	monster skill
zts892e	monster skill
zts893e	monster skill
zts894e	monster skill
zts895e	monster skill
zts896e	monster skill
zts897e	monster skill
zts898e	monster skill
zts899e	monster skill
zts900e	monster skill
zts901e	monster skill
zts902e	monster skill
zts903e	monster skill
zts904e	monster skill
zts905e	monster skill
zts906e	monster skill
zts907e	monster skill
zts908e	monster skill
zts909e	monster skill
zts910e	monster skill
zts911e	monster skill
zts912e	monster skill
zts913e	monster skill
zts914e	monster skill
zts915e	monster skill
zts916e	monster skill
zts917e	monster skill
zts918e	monster skill
zts919e	monster skill
zts920e	monster skill
zts921e	monster skill
zts922e	monster skill
zts923e	monster skill
zts924e	monster skill
zts925e	monster skill
zts926e	monster skill
zts927e	monster skill
zts928e	monster skill
zts929e	monster skill
zts930e	monster skill
zts931e	monster skill
zts932e	monster skill
zts933e	monster skill
zts934e	monster skill
zts935e	monster skill
zts936e	monster skill
zts937e	monster skill
zts938e	monster skill
zts939e	monster skill
zts940e	monster skill
zts941e	monster skill
zts942e	monster skill
zts943e	monster skill
zts944e	monster skill
zts945e	monster skill
zts946e	monster skill
zts947e	monster skill
zts948e	monster skill
zts949e	monster skill
zts954e	Повышает физическую силу на 5.
zts955e	Повышает физическую силу на 15.
zts956e	[Эксперт] Физическая сила
zts957e	Повышает физическую силу на 60.
zts958e	Повышает ловкость на 5.
zts959e	Повышает ловкость на 15.
zts960e	Повышает ловкость на 60.
zts961e	Повышает интеллект на 5.
zts962e	Повышает интеллект на 30.
zts963e	Повышает интеллект на 60.
zts964e	Навсегда повышает ОЗ на 300
zts965e	Навсегда повышает ОЗ на 1000
zts966e	Навсегда повышает ОЗ на 3000
zts967e	Навсегда повышает ОМ на 300.
zts968e	Навсегда повышает ОМ на 1000.
zts969e	Навсегда повышает ОМ на 3000.
zts970e	[Начальный] Естественное исцеление
zts971e	Относится к нежити
zts972e	Повышает силу атаки нежити низких уровней в ближнем бою.
zts973e	Приручи монстра, и он станет твоим питомцем.
zts974e	1. Выбери монстра и проверь, стоит ли на нем метка с приручением.
zts975e	2. Атакуй монстра до тех пор, пока количество его ОЗ не опустится ниже 50%.
zts976e	3. Чтобы словить монстра, используй навык "Приручить".
zts977e	4. Если взятие монстра не удалось, подожди, пока навык восстановится и попробуй заново.
zts978e	Повышает силу атаки на 1 уровень.
zts979e	Повышает силу удара ярости в ближнем бою.
zts980e	Сила атаки повышена.
zts981e	Повышает силу удара мести в ближнем бою и ущерб от критического удара.
zts982e	Повышает силу Земляной Волны в ближнем бою.
zts983e	Повышает силу действия порыва ветра в ближнем бою.
zts984e	Повышает силу ближней атаки Двойной атаки.
zts985e	Повышает силу динамичного выстрела в дальнем бою.
zts986e	Нанеси сильный удар.
zts987e	Потяни врага, стоящего перед тобой.
zts988e	После сбора энергии меча, резко повернись, чтобы нанести противнику вред.
zts989e	Пусти стрелу, чтобы убрать противника.
zts990e	Стреляет во время прыжка, нанося урон находящимся рядом врагам.
zts991e	Дистанционная стрельба, направляющая 3 группы стрел вокруг цели.
zts992e	Нанеси огромный ущерб при помощи кинжала.
zts993e	Добавь яд к своему запасному оружию, чтобы отравить противника.
zts994e	Когда ты будешь поворачиваться, атакуй всех противников вокруг при помощи кинжала.
zts995e	Благодаря внезапному нападению движение противников прервано.
zts996e	Собирает энергию атаки, чтобы применить ее во время нападения на следующую цель.
zts997e	Повышает точность и критический урон искателя приключений.
zts998e	Ядовитый наконечник стрелы
zts999e	Повышает вероятность попадания в цель в дальнем бою.
zts1000e	Повышает силу атаки дальнего боя Сконцентрированного выстрела.
zts1001e	Магический барьер
zts1002e	Создает защитный щит для уменьшения вреда от нападений
zts1003e	Сохранение природы
zts1004e	Создает щит вокруг твоей группы, снижающий весь элементальный урон.
zts1005e	Повышает силу атаки дальнего боя Быстрого выстрела.
zts1006e	Повышает силу Дождя Стрел в дальнем бою.
zts1007e	Укрепление
zts1008e	Повышает силу штурмового удара в ближнем бою и вероятность прервать движение.
zts1009e	Повышает силу смертельного удара в ближнем бою.
zts1010e	Взрыв
zts1011e	Взорви противника с определенной вероятностью, используя Огненную Стрелу.
zts1012e	Мороз
zts1013e	Заморозь своего противника с определенной вероятностью, используя ледяную стрелу.
zts1014e	Повышает силу магической ракеты во время магической атаки.
zts1015e	Укрепление 1Ур.
zts1016e	Повышает силу магической атаки и водную стихию Торнадо.
zts1017e	Укрепление 2Ур.
zts1018e	Повышает силу Каменного Куба в магической атаке.
zts1019e	Повышает силу магической атаки Магической пули.
zts1020e	Повышает шанс нанесения критического урона и наносит дополнительный урон.
zts1021e	Повышает силу атаки на 2 уровня.
zts1022e	Использование элемента воды 1 уровня
zts1023e	Усиливает Магический выстрел элементом воды.
zts1024e	Ты наносишь мощный удар мечом впереди себя.
zts1025e	Повышает все сопротивления, помогая тебе лучше сконцентрироваться на своем теле.
zts1026e	Появись вдруг перед врагом и ударь его.
zts1027e	Брось в противника большой снаряд и оглуши его.
zts1028e	Чтобы причинить огромный ущерб, стреляй стрелами со взрывчаткой.
zts1029e	Специализация ПвП
zts1030e	Повышает силу ближней атаки в ПвП.
zts1031e	Использование элемента огня 1 уровня
zts1032e	Усиливает Яростный удар элементом огня.
zts1033e	Использование элемента огня 2 уровня
zts1034e	Использование Стихии Тьмы 1Ур.
zts1035e	Усиливает Яростный удар элементом тьмы.
zts1036e	Использование Стихии Тьмы 2Ур.
zts1037e	Повышает силу Сверкающего Лезвия в ближнем бою.
zts1038e	Относится к монстрам низких уровней
zts1039e	Во время атаки на монстров низких уровней увеличивается сила атаки в ближнем бою.
zts1040e	Относится к питомцам
zts1041e	Во время атаки на питомцев средних уровней сила атаки в ближнем бою повышается.
zts1042e	Относится к растениям
zts1043e	Во время атаки растений средних уровней сила атаки в ближнем бою повышается.
zts1044e	Во время атаки монстров средних уровней сила атаки в дальнем бою повышается.
zts1045e	Сила атаки в дальнем бою повышается во время атаки питомцев средних уровней.
zts1046e	Повышает силу атаки на 3 уровня.
zts1047e	Повышает силу атаки на 4 уровня.
zts1048e	Использование элемента огня
zts1049e	Меняет элемент на огонь.
zts1050e	Увеличивает шанс Оглушения при Ударе навершьем.
zts1051e	Усиление эффекта и продолжительности Залога крови.
zts1052e	Повышает силу ближней атаки Стремительной атаки и накладывает Оцепенение.
zts1053e	Внезапно подтянуть противника, что находиться перед тобой, чтобы отвлечь его.
zts1054e	Повышает силу Разрывного выстрела в дальнем бою.
zts1055e	Сила атаки в дальнем бою повышается во время атаки растений низких уровней.
zts1056e	Повышает силу Выстрела в прыжке в дальнем бою.
zts1057e	Максимизирует эффект и длительность Ритуала ястреба.
zts1058e	Усиление Ядовитого Шипа 1Ур.
zts1059e	Прикрепить к кинжалу Ядовитый Шип.
zts1060e	Усиление Ядовитого Шипа 2Ур.
zts1061e	Усиливает Взрывной выстрел элементом огня.
zts1062e	Сила атаки в дальнем бою повышается во время атаки Нежити низких уровней.
zts1063e	Повышает силу дальней атаки в ПвП.
zts1064e	Выпусти пылающую стрелу, чтобы сжечь противника.
zts1065e	Усиливает Стрелу энергии элементом воды.
zts1066e	Использование элемента воды 2 уровня
zts1067e	Усиливает Магический выстрел элементом огня.
zts1068e	Повышение силы магической атаки и элемента огня огненной стрелы.
zts1069e	Повышает силу магического боя и элемент воды Ледяной Стрелы.
zts1070e	Повышение силы магической атаки и элемента огня огненной колонны.
zts1071e	Пускай магические стрелы, чтобы создать вокруг себя дождь стрел.
zts1072e	Ты должен попасть кинжалом в слабое место противника, чтобы нанести ему огромный вред.
zts1073e	Парализующий яд
zts1074e	На наконечник стрелы нанесен парализующий яд, который способен уменьшить силу противника.
zts1075e	Усиливающий яд
zts1076e	Нанеси на наконечник стрелы усиливающий яд, чтобы поразить нервы противника.
zts1077e	Усиленный смертельный яд: Уровень 1
zts1078e	Нанеси Смертельный Яд на кинжал.
zts1079e	Усиленный смертельный яд: Уровень 2
zts1080e	Нанеси множественные повреждения врагу, призвав ледяные сверла из под земли.
zts1081e	Справедливость Небес
zts1082e	Атакуй противника, используя Небесный свет.
zts1083e	Сожги противника, разбрызгивая лаву вокруг себя.
zts1084e	Нанеси заклятие, стреляя из своего Волшебного оружия.
zts1085e	Распространяй вокруг ауру смерти, чтобы лишить врага мужества.
zts1086e	Создает более холодный Ледяной вихрь, чем обычно, а также повышает силу атаки в магическом бою и вероятность заморозить противника.
zts1087e	Усиливает Справедливость Небес элементом воды.
zts1088e	Создает более горячую лаву чем обычно, повышает силу магического боя и вероятность губительного сожжения.
zts1089e	Вызов Кальвинас
zts1090e	Базовая атака Кальвинас
zts1091e	Отключка 1 уровень
zts1092e	Заколдовать Сверкающую Стрелу, чтобы нанести противнику больше вреда и оглушить его.
zts1093e	При нападении на слабые места повышает силу атаки в ближнем бою и заставляет противника пролить много крови.
zts1094e	Навык Анимационного Эффекта становится более ярким, а его действие сильнее.
zts1095e	Усиливает Порыв ветра элементом огня.
zts1096e	Усиливает Порыв ветра элементом тьмы.
zts1097e	Вложить в Динамичный Выстрел элемент огня.
zts1098e	Усиливает Динамичного выстрела элементом тьмы.
zts1099e	Используй Двойное Нападение со стихией Огня.
zts1100e	Усиливает Двойную атаку элементом тьмы.
zts1101e	Повышает дальность.
zts1102e	Повышает дальность Стремительной атаки.
zts1103e	Усиливает Земляную волну элементом огня.
zts1104e	Использование Стихии Тьмы
zts1105e	Усиливает Земляную волну элементом тьмы.
zts1106e	Усиливает Ответный удар элементом огня.
zts1107e	Усиливает Ответный удар элементом тьмы.
zts1108e	Нейтрализовать оборону 1Ур.
zts1109e	Ты целишься в незащищенное место на теле врага, чтобы обойти его броню.
zts1110e	Нейтрализовать оборону 2Ур.
zts1111e	Нейтрализовать оборону 3Ур.
zts1112e	Атакуй противника ручкой меча, чтобы оглушить его.
zts1113e	Быстро потяни к себе противника, стоящего перед тобой чтобы сильно смутить его.
zts1114e	Усиление эффекта и длительности Подавления.
zts1115e	Меняет элемент на тьму.
zts1116e	Улучшает Энергию меча.
zts1117e	Усиливает Сияющий клинок элементом огня.
zts1118e	Усиливает Сияющий клинок элементом тьмы.
zts1119e	Анимационный эффект Сверкающего клинка становится ярче, а его сила максимальной.
zts1120e	Усиливает Взрывной выстрел элементом тьмы.
zts1121e	Анимационный эффект Разрывного выстрела становится ярче, а его сила максимальной.
zts1122e	Первый навык лисы
zts1123e	Второй навык лисы
zts1124e	Третий базовый навык лисы
zts1125e	Стремительная Атака Волка 1й степени
zts1126e	Стремительная Атака Волка 2й степени
zts1127e	Стремительная Атака Волка 3й степени
zts1128e	Использование элемента воды
zts1129e	Усиливает Искусный выстрел элементом воды.
zts1130e	Использование элемента света
zts1131e	Усиливает Искусный выстрел элементом света.
zts1132e	Повышает точность.
zts1133e	Повышает вероятность попасть в цель во время атаки противника.
zts1134e	Повышает шанс нанесения критического урона.
zts1135e	Повышает шанс нанесения критического урона Искусного выстрела.
zts1136e	Улучшение (Критические удары)
zts1137e	Максимизирует шанс нанесения критического урона Искусного выстрела.
zts1138e	Усиливает Сконцентрированный выстрел элементом воды.
zts1139e	Усиливает Сконцентрированный выстрел элементом света.
zts1140e	Усиленное толкание 1Ур.
zts1141e	Выпусти стрелу, чтобы отогнать противника далеко.
zts1142e	Усиленное толкание 2Ур.
zts1143e	Усиленное толкание 3Ур.
zts1144e	Максимизирует силу атаки дальнего боя Сконцентрированного выстрела.
zts1145e	Активирует анимацию Проникающего выстрела и максимизирует его силу и шанс нанесения критического урона.
zts1146e	Усиливает Выстрел в прыжке элементом воды.
zts1147e	Использование элемента света 1 уровня
zts1148e	Усиливает Выстрел в прыжке элементом света.
zts1149e	Использование элемента света 2 уровня
zts1150e	Делает силу Выстрела в прыжке в дальнем бою максимальной.
zts1151e	Усиливает Быстрый выстрел элементом света.
zts1152e	Усиливает Быстрый выстрел элементом воды.
zts1153e	Повышает силу атаки дальнего боя Быстрого выстрела.
zts1154e	Усиливает Дождь стрел элементом воды.
zts1155e	Усиливает Дождь стрел элементом света.
zts1156e	Делает силу Дождя Стрел в дальнем бою максимальной.
zts1157e	Усиливает Смертельный удар элементом воды.
zts1158e	Усиливает Смертельный удар элементом света.
zts1159e	Кровопролитие
zts1160e	Ты наносишь противнику удар, который вызывает Кровотечение.
zts1161e	Отключка
zts1162e	Ты наносишь противнику удар, который вызывает Отключку.
zts1163e	Делает силу смертельного удара в ближнем бою максимальной.
zts1164e	Вложи в Штурмовой удар элемент воды.
zts1165e	Вложи в Штурмовой удар элемент света.
zts1166e	Максимизирует силу атаки в ближнем бою Штурмового удара и повышает шанс нанесения критического урона.
zts1167e	Отключка 2 уровень
zts1168e	Анимационный Эффект Сверкающего Лезвия становится ярче, а его действие максимальным.
zts1169e	Активирует анимацию Удара в слабые места и максимизирует его силу и шанс нанесения критического урона.
zts1170e	Выстрел в ноги противника повышает силу атаки в дальнем бою и вероятность ранения противника в ногу.
zts1171e	Максимизирует силу атаки дальнего боя Сдержанности цели и повышает точность.
zts1172e	Усиливает Стрелу энергии элементом огня.
zts1173e	Усиливает Магическую ракету элементом воды.
zts1174e	Усиливает Магическую ракету элементом огня.
zts1175e	Делает силу Магической Ракеты в магической атаке максимальной.
zts1176e	Делает силу Каменного Куба в магическом бою максимальной, чтобы легко можно было оглушить противника.
zts1177e	Охрана Света
zts1178e	Сохранение природы охраняет энергию стихии света.
zts1179e	Охрана Тьмы
zts1180e	Сохранение природы охраняет энергию стихии тьмы.
zts1181e	Анимационный эффект Ледяной стены становится ярче, а его сила максимальной.
zts1182e	Усиливает Магическую пулю элементом огня.
zts1183e	Усиливает Магическую пулю элементом воды.
zts1184e	Максимизирует силу магической атаки Магической пули.
zts1185e	Повышает силу атаки во время Магического Отдыха.
zts1186e	Усиливает эффект, продолжительность и силу поглощения Магического барьера.
zts1187e	Укрепление 3Ур.
zts1188e	Дальняя защита 1Ур.
zts1189e	Дальняя защита 2Ур.
zts1190e	Дальняя защита 3Ур.
zts1191e	Магическая защита 1Ур.
zts1192e	Магическая защита 2Ур.
zts1193e	Магическая защита 3Ур.
zts1194e	Повышение объема восстановления 2Ур.
zts1195e	Повышает эффект ослепления, чтобы заставить противника ослепнуть.
zts1196e	Уменьшает скорость движения
zts1197e	Пониженная точность
zts1198e	Концентрирует всю энергию на том, чтобы вогнать противника в глубокий сон.
zts1199e	Добавь Магическому Лучу стихию Огня.
zts1200e	Добавь Магическому Лучу стихию Воды.
zts1201e	Повышает силу атаки
zts1202e	Делает силу атаки Магического Луча максимальной.
zts1203e	Анимационный эффект Зоны Магмы становится ярче, а его действие максимальным.
zts1204e	Третий сильный навык лисы
zts1205e	Овца. 3-я основная атака
zts1206e	3-я базовая атака бесов
zts1207e	3-я базовая атака желе
zts1208e	3-я базовая атака хомяков
zts1209e	Охрана воды
zts1210e	Сохранение природы охраняет энергию стихии воды.
zts1211e	Охрана Огня
zts1212e	Сохранение природы охраняет энергию стихии Огня.
zts1213e	Анимационный эффект Справедливости Небес становится ярче, а его сила максимальной.
zts1214e	Улучшение (сила атаки)
zts1215e	Делает эффект Выстрела в цель в дальнем бою максимальным.
zts1216e	Телепорт морозной ведьмы
zts1217e	Атака демона-стражника
zts1218e	Атака ангела-стражника
zts1219e	Ледяная атака
zts1220e	Базовая атака Ривен Фрока
zts1221e	Атака Туманного Великана
zts1222e	Основная атака Дьявольской Леди
zts1223e	Вызов Королевы Кротов
zts1224e	Таинственное восстановление Арона
zts1225e	Атака вокруг себя
zts1226e	Атака вокруг себя 2
zts1227e	Базовая атака мандры-призрака
zts1228e	Основная атака проклятой бестии
zts1229e	Пусто
zts1230e	Уменьшить способности врагов, не относящихся к стихии Света, с помощью Благодатного Света.
zts1231e	Священный свет укрепляет твою группу.
zts1286e	monster skill
zts1287e	monster skill
zts1288e	monster skill
zts1289e	monster skill
zts1290e	monster skill
zts1291e	monster skill
zts1292e	monster skill
zts1293e	monster skill
zts1294e	monster skill
zts1295e	monster skill
zts1296e	Обучение приготовлению еды для группы.
zts1297e	Повышает силу атаки Энергия меча.
zts1298e	Повышает силу атаки тебе и твоей группе, ненадолго понижая твои ОЗ
zts1299e	Повышает твою силу защиты.
zts1300e	Повышает точность и шанс нанесения критического урона тебе и твоей группе.
zts1301e	Повышает силу атаки Магической пули.
zts1302e	Повышает силу и элемент огня Разрывного выстрела.
zts1303e	Использование элемента огня 3 уровня
zts1304e	Повышает эффект Залога Крови.
zts1305e	Использование стихии Тьмы 3Ур.
zts1306e	Повышает силу атаки на 5 уровней.
zts1307e	Делает эффект Соколиного Глаза максимальным.
zts1308e	Создает более холодный Ледяной вихрь, чем обычно, а также повышает силу атаки в магическом бою.
zts1309e	Усиливает Справедливость Небес элементом огня.
zts1310e	Создает более горячую лаву, чем обычно, а также повышает силу магической атаки.
zts1311e	Атака по области Темного отшельника
zts1312e	Заколдовать Сверкающую Стрелу, чтобы причинить еще больше вреда противнику и оглушить его.
zts1313e	Анимационный эффект Сверкающей Стрелы становится ярче, а ее сила максимальной.
zts1314e	Максимизирует силу дальней атаки Магической пули.
zts1315e	Распространяй вокруг ауру смерти, чтобы лишить врага мужества и понизить их скорость передвижения.
zts1316e	Распространяет вокруг деморализующую врагов ауру смерти, которая понижает их точность.
zts1317e	Повышение силы магической атаки огненной стрелы.
zts1318e	Повышает силу Ледяной Стрелы в Магическом бою.
zts1319e	С помощью этого ты можешь нападать своим мечом как торнадо.
zts1320e	Это умение собирает всю твою энергию чтобы разрушить место одним коротким ударом.
zts1321e	Повышает шанс нанесения критического урона тебе и твоей группе на некоторое время.
zts1322e	Повышает скорость передвижения тебе и твоей группе на какое-то время.
zts1323e	Увеличивает количество повреждений на определенное время, если ты нанесешь роковой удар.
zts1324e	Повышает твою силу защиты и одновременно уменьшает нанесенный ущерб на 30%, в то время как твоя Мана используется.
zts1325e	Повышает элемент огня и сопротивление огню тебе и твоей группе.
zts1326e	Снижает вероятность получения рокового удара.
zts1327e	Перемещение Ауры имеет определенное влияние на окружающую обстановку.
zts1328e	Атака охотника мокана
zts1329e	Лента Призыва
zts1330e	Взрыв 2Ур.
zts1331e	Мороз 2Ур.
zts1332e	Усиливает эффект Сохранения природы.
zts1333e	Использование элемента воды 3 уровня
zts1335e	monster skill
zts1336e	Список рейдов
zts1337e	monster skill
zts1338e	monster skill
zts1339e	monster skill
zts1340e	monster skill
zts1341e	monster skill
zts1342e	monster skill
zts1343e	monster skill
zts1344e	monster skill
zts1345e	monster skill
zts1346e	monster skill
zts1347e	monster skill
zts1348e	monster skill
zts1349e	monster skill
zts1350e	monster skill
zts1351e	monster skill
zts1352e	monster skill
zts1353e	monster skill
zts1354e	monster skill
zts1355e	monster skill
zts1356e	monster skill
zts1357e	monster skill
zts1358e	monster skill
zts1359e	monster skill
zts1360e	monster skill
zts1361e	monster skill
zts1362e	monster skill
zts1363e	monster skill
zts1364e	monster skill
zts1365e	monster skill
zts1366e	monster skill
zts1367e	monster skill
zts1368e	monster skill
zts1369e	monster skill
zts1370e	monster skill
zts1371e	monster skill
zts1372e	monster skill
zts1373e	monster skill
zts1374e	monster skill
zts1375e	monster skill
zts1376e	monster skill
zts1377e	monster skill
zts1378e	monster skill
zts1379e	monster skill
zts1380e	monster skill
zts1381e	monster skill
zts1382e	monster skill
zts1383e	monster skill
zts1384e	monster skill
zts1385e	monster skill
zts1386e	monster skill
zts1387e	monster skill
zts1388e	monster skill
zts1389e	monster skill
zts1390e	monster skill
zts1391e	monster skill
zts1392e	monster skill
zts1393e	monster skill
zts1394e	monster skill
zts1395e	monster skill
zts1396e	monster skill
zts1397e	monster skill
zts1398e	monster skill
zts1399e	monster skill
zts1400e	monster skill
zts1401e	monster skill
zts1402e	monster skill
zts1403e	monster skill
zts1404e	monster skill
zts1405e	monster skill
zts1406e	monster skill
zts1407e	monster skill
zts1408e	monster skill
zts1409e	monster skill
zts1410e	monster skill
zts1411e	monster skill
zts1412e	monster skill
zts1413e	monster skill
zts1414e	monster skill
zts1415e	monster skill
zts1416e	monster skill
zts1417e	monster skill
zts1418e	monster skill
zts1419e	monster skill
zts1420e	monster skill
zts1421e	monster skill
zts1422e	monster skill
zts1423e	monster skill
zts1424e	monster skill
zts1425e	monster skill
zts1426e	monster skill
zts1427e	monster skill
zts1428e	monster skill
zts1429e	monster skill
zts1430e	monster skill
zts1431e	monster skill
zts1432e	monster skill
zts1433e	monster skill
zts1434e	monster skill
zts1435e	monster skill
zts1436e	monster skill
zts1437e	monster skill
zts1438e	monster skill
zts1439e	monster skill
zts1440e	monster skill
zts1441e	monster skill
zts1442e	monster skill
zts1443e	monster skill
zts1444e	monster skill
zts1445e	monster skill
zts1446e	monster skill
zts1447e	monster skill
zts1448e	monster skill
zts1449e	monster skill
zts1450e	monster skill
zts1451e	monster skill
zts1452e	monster skill
zts1453e	monster skill
zts1454e	monster skill
zts1455e	monster skill
zts1456e	monster skill
zts1457e	monster skill
zts1458e	monster skill
zts1459e	monster skill
zts1460e	monster skill
zts1461e	monster skill
zts1462e	monster skill
zts1463e	monster skill
zts1464e	monster skill
zts1465e	monster skill
zts1466e	monster skill
zts1467e	monster skill
zts1468e	monster skill
zts1469e	monster skill
zts1470e	monster skill
zts1471e	monster skill
zts1472e	monster skill
zts1473e	monster skill
zts1474e	monster skill
zts1475e	monster skill
zts1476e	monster skill
zts1477e	monster skill
zts1478e	monster skill
zts1479e	monster skill
zts1480e	monster skill
zts1481e	monster skill
zts1482e	monster skill
zts1483e	monster skill
zts1484e	monster skill
zts1485e	monster skill
zts1486e	monster skill
zts1487e	monster skill
zts1488e	monster skill
zts1489e	monster skill
zts1490e	monster skill
zts1491e	monster skill
zts1492e	monster skill
zts1493e	monster skill
zts1494e	monster skill
zts1495e	monster skill
zts1496e	monster skill
zts1497e	monster skill
zts1498e	monster skill
zts1499e	monster skill
zts1500e	monster skill
zts1501e	monster skill
zts1502e	monster skill
zts1503e	monster skill
zts1504e	monster skill
zts1505e	monster skill
zts1506e	monster skill
zts1507e	monster skill
zts1508e	monster skill
zts1509e	monster skill
zts1510e	monster skill
zts1511e	monster skill
zts1512e	monster skill
zts1513e	monster skill
zts1514e	monster skill
zts1515e	monster skill
zts1516e	monster skill
zts1517e	monster skill
zts1518e	monster skill
zts1519e	monster skill
zts1520e	monster skill
zts1521e	monster skill
zts1522e	monster skill
zts1523e	monster skill
zts1524e	monster skill
zts1525e	monster skill
zts1526e	monster skill
