zts1e	Dinlenme
zts539e	Meteor düþmesi
zts540e	Rakibe zarar vermek ve çevrede bulanan her þeyi ziyan etmek için büyük bir meteoriti caðýrýr
zts541e	Kutsal saldýrý
zts542e	Düþmanlara saldýrmaya yarayan kutsal ýþýk topu
zts543e	BP harcamayan oyun sihiri
zts544e	Ýyileþme
zts545e	Seçilen bir karakteri iyileþtirir
zts546e	Kutsal Iþýk
zts547e	Kutsal bir ýþýk gökten yayýlýr ve rakiplerine zarar verir.
zts548e	Büyü enerjisi kalkaný
zts549e	Seni korumak için sihirli bir kalkan oluþturur
zts550e	Göðün þarkýsý
zts551e	Rakiplerin belirli bir süre savaþ isteklerini kaybederler.
zts552e	Evrensel Ýyileþme
zts553e	Yoldaþlarýnýn ve senin üzerinde olan tüm zararlý büyüleri etkisiz kýlar.
zts554e	Ölümsüz temizleme
zts555e	Ölümsüzlere kritik hasar verme
zts556e	Grup Ýyileþtirmesi
zts557e	Üyelerin YP deðerlerini restore eder.
zts558e	Kutsal silah
zts559e	Silahýný belirli bir süre ýþýk elementiyle kutsa
zts560e	Kutsama
zts562e	Kutsal çekiç
zts563e	Kutsal bir çekiç gökten düþüyor ve rakiplerine büyük zarar veriyor
zts564e	Sevgi (Alt+ F)
zts565e	Selam vermek (Alt + W)
zts566e	Gülümsemek (Alt + E)
zts567e	Gülmek (Alt + R)
zts568e	Utangaç (Alt + T)
zts569e	Hehe (Alt + Y)
zts570e	Ooops (Alt + U)
zts571e	Ahhh (Alt + I)
zts572e	Mahçup (Alt + O)
zts573e	Galibiyet (Alt + P)
zts574e	Ne? (Alt + A)
zts575e	Dalga mý geçiyorsun? (Alt + S)
zts576e	Ýhtiyaç (Alt + D)
zts577e	Utanç duygusu (Alt + F)
zts578e	Kýzgýn (Alt + G)
zts579e	Parayý ödeyeceðim (Alt + H)
zts580e	Yakaladým seni (Alt + J)
zts581e	Yansýtmak (Alt + K)
zts582e	Göz yaþlarý (Alt + L)
zts583e	Aðlamak (Alt + Z)
zts584e	Hýçkýrýk (Alt + X)
zts585e	Yanýp kül olmak  (Alt + C)
zts586e	Heyecanlý oðlan (Alt + V)
zts587e	Heyecanlý kýz (Alt + B)
zts588e	Hmmmm (Alt + N)
zts589e	Hmmz (Alt + M)
zts590e	Uzun yüz (Alt + ,)
zts591e	Jerico þutu
zts592e	Geliþtirme
zts594e	Yakýn mesafe saldýrýda maksimum ve minimum hasar 18 yükseltilir,yakýn mesafe savunma ise 9 yükseltilir.
zts595e	Uzak mesafe saldýrýlarda maksimum ve minimum hasar 18 yükseltilir,uzak mesafe savunma 9 yükseltilir,yakýn mesafe saldýrýlarda hýz 19 ve uzak mesafe saldýrýlarda hýz 36 yükseltilir.Uzak- ve yakýn mesafe saldýrýlarda eðilme 18 iyileþtirilir.
zts596e	[Yüksek] Akýl geliþtirme
zts597e	Büyülü savunmayý 10 arttýrýr
zts598e	[Usta] Zeka geliþtirme
zts599e	YP'yi devamlý olarak 250 yükseltir
zts600e	BP'yi kalýcý olarak 250 yükseltir
zts601e	[Yüksek] Efektif saldýrý gücü
zts602e	Minimal ve maksimum zararlarýn her biri, yakýn ve uzak mesafe saldýrýlarda 14 yükseltilir.
zts603e	[Usta] Efektif saldýrý gücü
zts604e	[Yüksek] Kendini savunmak
zts605e	Yakýn-,uzak mesafe ve büyü saldýrýlarýna karþý savunma 12 yükseltilir.
zts606e	[Usta] Kendini savunma
zts607e	YP dinlenmesini 100 yükseltir
zts608e	BP dinlenmesini 100'e çýkartýr
zts609e	Doðal iyileþme
zts610e	Havalý bir efektle
zts611e	Yeteneklerin gücü - enerjiyi yükseltir
zts612e	Parlayan kýlýç
zts613e	Tornado seviyesini yükseltme 2
zts614e	Kuvvetli ve büyülü kurþunu yükselt
zts616e	Fýrtýna kazasý
zts617e	Direnmeyi efekte karþý güçlendirir
zts618e	Ani saldýrý
zts619e	Uyuþturan kurþun
zts620e	Patlayan kurþun
zts621e	Alevlenen ok
zts622e	Parlayan ok
zts623e	Zayýf noktalara saldýr
zts624e	Buz duvar
zts625e	Iþýðýn adeleti
zts626e	Magma bölgesi
zts627e	Sihirli ýþýn
zts628e	Yenilenin nefesi
zts629e	Tavuk Kralýnýn atlayýþý
zts630e	Tavuk Kralýnýn çýðlýðý
zts631e	Sýnýrlý bir süre için yakýndaki yoldaþlarýn savunma ve direncini artýrýr.
zts632e	Kritik isabetlerden korur
zts633e	Tekmele
zts634e	Aðla
zts635e	Atla
zts636e	Patlayýcý sihirli bombayý güçlendir
zts637e	Tavuk Kralýnýn orta derece atlamasý
zts638e	Tavuk Kralýnýn hzýlý derece atlamasý
zts639e	Bambu kamýþýnla saldýrý
zts640e	JajaMaru Patron tuzaðý
zts641e	Shuriken saldýrýsý
zts642e	Shuriken Atlayýþý
zts643e	Alev ateþi
zts644e	Bomba savurma
zts645e	Deðiþtir
zts646e	Gizli durum
zts647e	Kamapakun Çaðýrýmý
zts648e	Meydana getirme
zts649e	Boþ kalbin enerjisi
zts650e	Patlayan sihirli bomba 2'nin iyileþtirlimesi
zts651e	Ninja Shuriken Saldýrýsý
zts652e	Namaju'nun tepinmesi
zts653e	Namaja'yý Çaðýrýmý
zts654e	Techizatlarýn saldýrýsý
zts655e	Çýnar aðacý yapraklarýnýn saldýrýsý
zts656e	Lazer ýþýnlarý
zts657e	Ruhlarý çaðýr
zts658e	Sihirli eller
zts659e	Zehirli sis
zts660e	Sandalet
zts661e	Kovolt hayalet okçusu tarafýndan saldýrý
zts662e	JajaMaru'nun temel saldýrýsý. Düþmanlarýn üzerine Shuriken fýrlatýr
zts663e	Zýplar ve düþmanlarýn üzerine Shuriken fýrlatýr
zts664e	Sýrada duran düþmanlara karþý ateþ hücumu
zts665e	Çok enerjili bir bomba fýrlatýr ve onlara zarar verir
zts666e	Belirli bir yere ýþýnlar ve baþlangýç noktasýnda odun parçalarý býrakýr geride
zts667e	Karakteri saklar. Bir dahaki senin saldýrýna veya karþý tarafýn saldýrýsýna kadar dayanýr.
zts668e	Üzerinde Toz Kral Kamapakuni'yi bindirmiþ vaziyette gider ve etrafta bulunan rakiplere saldýrýr
zts669e	JajaMaru'nun kehanetini çaðýrýr, saldýrýr ve düþmaný ortadan yok eder
zts670e	Bu yetenek sadece Namaju için efektiftir
zts671e	Kýsa bir süre için enerjiyi eski haline getirir ve Namaju'ya zarar verir
zts672e	Canavar hamlesi
zts673e	Kovolt Savaþçýsýnýn hýzlý saldýrýsý
zts674e	Kötü Kadýnýn Iþýncýsý
zts675e	Zehirli sis
zts676e	Yeninden dirilmiþ Þeytan'ýn temel hücumu
zts677e	Yeninden dirilmiþ Þeytan'ýn gözünü almak
zts678e	Kurukafa Þahinin temel hücumu
zts679e	Ölüm Savaþçýsý'nýn Temel Hücumu
zts680e	Ölüm Savaþçýsý Kasýrgasý
zts681e	Ölüm Savaþçýsý Sessizliði
zts682e	Ölüm Savaþçýsý Hayalet Iþýnlanmasý
zts683e	Dev Þövalyenin temel hücumu
zts684e	Dev Þövalyenin yer þoku
zts685e	Dev Þövalyenin çýðlýðý
zts686e	Dev Þövalyenin uyuþturan kalkaný
zts687e	Kara boynuzun temel hücumu
zts688e	Kara boynuzun ateþ yýldýzý
zts689e	Bahar atlamasý
zts690e	Bahar kükremesi
zts691e	Orta bahar atlayýþý
zts692e	Hýzlý bahar atlayýþý
zts693e	Ateþ ejderhanýn temel saldýrýsý
zts694e	Kemik canavarýnýn temel saldýrýsý
zts695e	Elementer saldýrý
zts696e	Kutsal ok
zts697e	Üç misli  saldýrý
zts698e	Kuþatma durumu
zts699e	Savunma durumu
zts700e	Eski haline getirme duasý
zts701e	Kutsal haç
zts702e	Büyüyen kalkan
zts703e	Savunma duasý
zts704e	Saldýrý duasý
zts705e	Konsantre madde
zts706e	Çubuk kolunu salla
zts707e	Darbe
zts708e	Yüzün üstünde
zts709e	Ses dalgalarýnýn saldýrýsý
zts710e	Adrenalin yükselmesi
zts711e	Çýlgýn hücum
zts712e	Büyük darbe
zts713e	Yarýcý Tornado
zts714e	Berserker
zts715e	Yaþam ve ölüm
zts716e	Zýrh kýrýcý
zts717e	Filinta'ya ateþ et
zts718e	Hýzlý atýþ
zts719e	Uzak atýþ
zts720e	Tempo yükselticisi
zts721e	Bomba yerleþtirici
zts722e	Zehirli gaz bombasý
zts723e	Patlayýcý vuruþ
zts724e	Saðlýk çantasý
zts725e	Boom vuruþu
zts726e	Ateþ mayýný
zts727e	Cehennem yýkýlýþý
zts728e	Bumerangý at
zts729e	Yýlan ataðý
zts730e	Hayvan pençesi
zts731e	Kartal hayaleti
zts732e	Elemental ýþýldama
zts733e	Bumerang atma
zts734e	Kurt hayaleti
zts735e	Elementer iniþ
zts736e	Sarmaþýk
zts737e	Ayý Ruhu
zts738e	Orman gücü
zts739e	Buz topu
zts740e	Buz parçasý
zts741e	Buz ýþýný
zts742e	Buz mýzraðý
zts743e	Buz zinciri
zts744e	Buz kalkaný
zts745e	Buzul
zts746e	Suyun kutsanmasý
zts747e	Þiddetli dolu
zts748e	Soðuk
zts749e	Kar fýrtýnasý
zts750e	Crisos'un üfürük saldýrýsý
zts751e	Treekun'un ayak saldýrýsý
zts752e	Kutsal nefes
zts753e	Kutsal element
zts754e	Iþýldayan efekt
zts755e	Konsantre etmek
zts756e	Yükseltici açýk
zts757e	Buzlanmýþ zincir
zts758e	Sihirli silahý ateþle
zts759e	Kombinasyonlu ateþ
zts760e	Büyülü Þimþek
zts761e	Ruhani bekçi
zts762e	Lanetlenmiþ ateþ
zts763e	Karanlýk beddua
zts764e	Saplantý
zts765e	Cin yükleme
zts766e	Kötülük Ýksiri
zts767e	Ölüler kudas ayini
zts768e	Cinler istilasý
zts769e	Kütük hücumu
zts770e	Özel elektrik hücumu
zts771e	Bitkilerin iptali
zts772e	Erikiel mýzrak tarzý
zts773e	Köstebek hücumu
zts774e	Basilisk'in taþ etme saldýrýsý
zts775e	Naftalin tozu saldýrýsý
zts776e	Geri atlama yetenek saldýrýsý
zts777e	Gri Lander saldýrýsý
zts778e	Gri Lander yýldýz yeteneði
zts779e	Crison'un temel saldýrýsý
zts780e	Köstebek cýrcýrböceði saldýrýsý
zts781e	Balta Darbesi
zts782e	Bomba patlamasý
zts783e	Bomba patlamasý 2
zts784e	Agresif saldýrý
zts785e	Mayýn patlamasý
zts786e	Kufen'in temel saldýrýsý
zts787e	Kýzak buzulu
zts788e	Papatyalarýn temel hücumu
zts789e	Papatya gaz cevi
zts790e	Seina'nýn temel saldýrýsý
zts791e	Seina kutsal haç
zts792e	Büyük hamle
zts793e	Yüzün üstünde
zts794e	Zýrh durdurucu
zts795e	Adaletin koruyucusu'nun temel saldýrýsý
zts796e	Rakiblere kutsal bir ok isabet edecek ve aðýr þekilde yaralanacaklar.
zts797e	Rakibe normal verdiðinin üç misli hasar ver.
zts798e	Iþýðýn gücü kutsal nefesle çevrede bulunan mahluklarýn güçleri azalacak.
zts799e	Kýsa bir zaman bütün saldýrý güçlerini yükseltir
zts800e	Grubunu kutsal bir ýþýk sarar
zts801e	Yaþam puanlarý eski haline getiriliyor
zts802e	Bir patlamayla ýsýðýn ruhanisinden oluþan büyük bir haç ortaya çýkar
zts804e	Bedenini ve savunma gücünü yükseltir, ayný zamanda grubunda bulananlarýnda.
zts805e	Saldýrý gücünü ve moralini yükseltir, ayný zamanda grubunda bulananlarýnlarýnkinide.
zts806e	Çevrede bulunan rakipleri konsantreli gücü çaðýrmayla yener ve amacýna ulaþýrsýn.
zts807e	Muhribin temel saldýrýsý
zts808e	Rakiplere hýzlý bir kurþun sýkma onlarý o dererce zarara sokar ki, bayýlýrlar
zts809e	Filintayý, çevrede bulunan bütün rakibleri yok edecek öldürücü bir silah haline getirir.
zts810e	Güçlü biri yükseltici kullanmakla, hareketlerin hýzlanýr.
zts811e	Özel bir bomba patlatarak, çevrede bulunan rakiplere saldýrýr. 40 saniye sonra bomba kendiliðinden patlar.
zts812e	Çevrede bulunan rakibleri zehirli gaz bombasýyla zehirler.
zts813e	Filintanýn gücü kuvvetlendirilmiþtir.
zts814e	Rakibler tarafýndan verilen zararlý efektler, iyileþiyor.
zts815e	Çevrede bulunan rakiblere bomba atarak saldýrýr.
zts816e	Ateþ mayýnlarý rakiblere saldýrýyor
zts817e	En güçlü bomba rasgele patlatýlacak
zts818e	Mavi büyü için temel saldýrý
zts819e	Rakiblere donmuþ buz parcalarýnla saldýrýyor.
zts820e	Düþmaný güçlü bir buz büyüsü ile dondurur
zts821e	Buz mýzraðý tarafýndan düþman hasar alýr
zts822e	Rakibe zarar vermek için donmuþ bir zincire baðlýyor.
zts823e	Koruyucu bir buz kalkaný sayesinde düþmanýn saldýrýsýný azaltýr
zts824e	Sihiri uygulayan karakterin çevresinde buz sütunlarý oluþuyor.
zts825e	Kutsanmýþ su
zts826e	Su elementlerine karþý direnci arttýrýr
zts827e	Dolu tanecikleri yaðmasý sebebiyle, rakibler zarar görüyor.
zts828e	Serin hava cereyaný nedeniyle, rakip buz kesilir.
zts829e	Kar fýrtýnasý ve dondurucu soðuk, rakiblere büyük zarar verir
zts830e	Hellduke'un yeteneði
zts831e	YP etkileþim nedeniyle eski haline getirilir.
zts832e	Gizemli Aron
zts837e	Mistik Þövalye
zts838e	Muazzam bir kalkan yaratarak, savunma gücünün deðerini maksimize eder.
zts840e	Kardan adamýn temel saldýrýsý
zts842e	Whitney'in temel saldýrýsý
zts843e	Whitney'in  lanet þimþeði
zts844e	Mistik þövalye vuruþu
zts845e	Coupe'un temel saldýrýsý
zts846e	Coupe Yýlan
zts847e	Justin'in temel saldýrýsý
zts848e	Justin'in büyük hamlesi
zts849e	Berserker'in temel saldýrýsýdýr
zts850e	Doða koruyucunun temel saldýrýsý
zts851e	Kara Kanonier'in temel saldýrýsý
zts852e	Berserkerlerin temel saldýrýsýdýr
zts853e	Kocaman bir silahla rakibi vur.
zts854e	Rakibi ve cevreyi karanlýk elementler dahilindeki bir silahla alt et.
zts855e	Kötülüðü akýldan çýkararak, saldýrý gücünü yükseltir
zts856e	Savunma gücünü azaltýr
zts857e	Kuvvetli bir þekilde rakibi devir, böyleyken kötülük onun aklýndan çýkar.
zts858e	Çýldýrmýþ bir vaziyette rakibe kuralsýzca vur.
zts859e	Düþmanlara ve çevreye tesadüfen kötülükle vur.
zts860e	Devasa bir silah kullanarak rakibin defansýný etkisizleþtir.
zts861e	Düþmaný ve yeri kötülükle parçala.
zts862e	Kendi yaþam gücünü kýsaltarak, saldýrýsý gücünü yükselt.
zts863e	Kötülüðü ve karaklýk güçleri kullanýrken, çevreyi tesadüfen yerle bir eder.
zts864e	Doða koruyucunun standart saldýrýsýdýr.
zts865e	Rakibine iki boomerang at.
zts866e	Bir boomerang atmakla düþmanlarýn yolunu kesersin.
zts867e	Kartal ruhanisini geriye çaðýrýrsan, rakibine karþý hedefli bir hücum yapabilirsin
zts868e	Doganin ruhunla doldurur seni.
zts869e	Bumerang'ý daha sýk atarak, rakiçlerinin yolunu kes
zts870e	Kurtlarýn ruhunu çaðýrarak yürüme hýzýný yükseltir
zts871e	Düþmandan doðanýn ruhunu em
zts872e	Bir kaç bumerangý etrafýný sarmýþ düþmanlara karþý onlara hasar vermek için fýrlat
zts873e	Ayý ruhunu çaðýrarak savunma gücünü yükseltir.
zts874e	Doðanýn ruhu ile birlikte devasa bir bumerangý fýrlat
zts875e	Kara Kanonier'in temel saldýrýsý
zts876e	Sihirli silahý tekrar tekrar ateþler
zts877e	Düþmana sihirli bir yýldýrým tarafýndan oluþturulan patlama ile hasar verir
zts878e	Ruhani bir koruyucu karakteri saldýrýlardan korumak için ortaya çýkar
zts879e	Hedefin üstüne lanetlenmiþ bir atýþ yapar
zts880e	Karakteri  kara lanet ile büyüler bu sayede kara büyülerin gücü arttýrýlýr
zts881e	Güçlü bir iblis düþmaný lanetler
zts882e	Arka arkaya lanetlenmiþ ruhlar  ile atýþlar yap
zts883e	Karanlýk ruhlarý yolla ve düþmaný bunlarla doldur.
zts884e	Ölülerin ruhu için ettiði duayla mesgul olan Ýblis yüzünden, korkudan kaçýyorlar çevrede bulunan tüm düþmanlar ve hayatlarý sönecek.
zts885e	Lanetlenmiþ ruhlarýn vahþi ateþ atýþlarý.
zts954e	Fiziksel kuvveti 5 arttýrýyor.
zts955e	Fiziksel kuvveti 15 arttýrýyor.
zts956e	[Usta] Güçlendirilmiþ saldýrý.
zts957e	Fiziksel kuvveti 60 arttýrýyor.
zts958e	Tempoyu 5 yükseltir.
zts959e	Tempoyu 15 yükseltir.
zts960e	Tempoyu 60 yükseltir.
zts961e	Büyü savunmasýný 5 arttýrýr.
zts962e	Büyü savunmasýný 30 arttýrýr.
zts963e	Büyü savunmasýný 60 arttýrýr.
zts964e	Maksimum Yp'ýný 300 arttýrýr.
zts965e	Maksimum YP'ýný 1000 arttýrýr.
zts966e	Maksimum Yp'ýný 3000 artýrýr.
zts967e	Maksimum BP'ýný 300 arttýrýr.
zts968e	Maksimum Bp'ýný 1000 arttýrýr.
zts969e	Maksimum Bp'ýný 3000 arttýrýr.
zts970e	[Düþük] Natürel tedavi
zts971e	Ölümsüzler üzerine uzmanlaþmýþ.
zts972e	Düþük seviyeli ölümsüzler karþýsýnda yakýn dövüþ gücünü arttýrýr.
zts973e	Nasýl baþlanýr
zts974e	1. Bir yaratýk seç ve esaret sembolüne sahip oldup olmadýðýný kontrol et.
zts975e	2. Yaratýða YP %50 nin altýna düþene kadar saldýr.
zts976e	3. Yaratýðý yakalamak için, yakalama becerisini kullan.
zts977e	4. Eðer yakalama baþarýsýz olursa,  beceri yüklenene kadar bekle ve tekrar dene.
zts978e	Saldýrý gücünü 1 seviye arttýrýr.
zts979e	Yakýn saldýrý gücünü öfkeli vuruþ ile arttýrýr.
zts980e	Saldýrý gücü arttý.
zts981e	Yakýn saldýrý gücünü intikam vuruþu ve kritik isabet ile arttýrýr.
zts982e	Yakýn saldýrý gücünü yer dalgasý ile arttýrýr.
zts983e	Yakýn saldýrý gücünü rüzgar vuruþu ile arttýrýr.
zts984e	Yakýn saldýrý gücünü çifte saldýrý ile arttýrýr.
zts985e	Uzak saldýrý gücünü dinamik atýþ ile yükseltir.
zts986e	Önemli bir isabet elde ediyor.
zts987e	Önündeki rakibi yakala.
zts988e	Kýlýç enerjisini topladýktan sonra, çevrende bulunan düþmanlara zarar vermek için, güçlüce dön.
zts989e	Rakibini düþürmek için bir ok at.
zts990e	Çevrede bulunan rakiblere cezasýzca zarar vermek için, bir keresinde atlarken ok fýrlat
zts991e	Uzaktan atýþ, hedefin 3 hücresine ok gönderir.
zts992e	Hançerin ile kritik zarar ver.
zts993e	Rakibi zehirlemek için ilave silahýna zehir sür.
zts994e	Etrafýnda dönerken , çevrendeki düþmanlara hançerinle saldýr.
zts995e	Þaþýrtýcý bir saldýrý nedeni ile rakibin haraketi engellendi.
zts996e	Bir sonraki hedefe daha güçlü bir saldýrý gerçekleþtirmek için , enerji topla.
zts997e	Ýsabet oranýný ve Maceracýnýn verdiði kritik hasarý yükseltir.
zts998e	Zehirli ok ucu
zts999e	Hedef atýþýn uzak saldýrý gücünü yükseltir.
zts1000e	Þiddetli vuruþun uzak mesafe saldýrý gücünü yükseltir.
zts1001e	Büyü bariyeri
zts1002e	Belirli olasýlýk ile bütün saldýrýlarýn hasarýný azaltmak için bir kalkan yaratýr.
zts1003e	Doðayý koruma
zts1004e	Bir koruyucu yaratarak, grup üyelerinin gördükleri element hasarlarý azaltýr.
zts1005e	Hýzlý vuruþta, uzak mesafe saldýrý gücünü yükseltir.
zts1006e	Ok yaðmurunda, uzak mesafe saldýrý gücünü yükseltir.
zts1007e	Güçlendirme
zts1008e	Fýrtýnalý darbe de, yakýn mesafe saldýrý gücünü ve haraketi durdurma olasýlýðýný yükseltir.
zts1009e	Öldürücü saplamada yakýn mesafe saldýrý gücünü yükseltir.
zts1010e	Patlama
zts1011e	Alev patlamasýný belirli bir olasýlýða kadar ateþ topuna ekler.
zts1012e	Donma
zts1013e	Buz matkabýný kullanarak, rakibini belirli bir olasiliða kadar dondur.
zts1014e	Büyülü füzenin saldýrý gücünü yükseltir.
zts1015e	Güçlendirme 1Svy.
zts1016e	Büyülü saldýrý gücünü ve tornadonun su elementini yükseltir.
zts1017e	Güçlendirme 2Svy.
zts1018e	Taþ atýþýnýn büyülü saldýrý gücünü yükseltir.
zts1019e	Sihirli kurþunun, büyülü saldýrý gücünü yükseltir.
zts1020e	Kritik isabet þansýný yükseltir ve ekstra hasar verir.
zts1021e	Saldýrý gücünü yükseltir 2Svy.
zts1022e	Su gücü elementinin donatýmý 1Svy.
zts1023e	Sihirli vuruþu su elementinle kuþat.
zts1024e	Çabukça senden önce kiliç enerjisi ateþ eder.
zts1025e	Bedenine konsantre olarak bütün dirençleri yükseltir.
zts1026e	Birdenbire düþmanýnýn karþýsýna çýk ve ona bir darbe vur.
zts1027e	Ýri bir kurþunu düþmanýna isabet ettirerek, kendinden geçmesini saðla.
zts1028e	Büyük zarar vermek için oku patlayýcý maddeyle at.
zts1029e	PvP uzmanlaþma
zts1030e	PvP'de yakýn mesafe saldýrýyý yükseltir.
zts1031e	Ateþ elementinin donatýmý 1svy
zts1032e	Öfkeli darbeyle ateþ elementini donat.
zts1033e	Ateþ elementinin donatýmý 2svy
zts1034e	Gölge elementinin donatýmý 1svy
zts1035e	Öfkeli darbeyle gölge elementini donat.
zts1036e	Gölge elementinin donatýmý 2svy
zts1037e	Parlayan kýlýcýn yakýn mesafe saldýrý gücünü yükseltir.
zts1038e	Düþük seviyeli canavarlar için uzmanlýk
zts1039e	Düþük seviyeli canavarlara hücüm ederken yakýn mesafe saldýrý gücünü yükseltir.
zts1040e	Hayvanlar üzerine uzmanlaþmýþ
zts1041e	Düþük seviyeli hayvanlara hücüm ederken yakýn mesafe saldýrý gücünü yükseltir.
zts1042e	Bitkiler üzerinde uzmanlaþmýþ
zts1043e	Düþük seviyeli bitkilere hücüm ederken yakýn mesafe saldýrý gücünü yükseltir.
zts1044e	Düþük seviyeli canavarlara hücüm ederken uzak mesafe saldýrý gücünü yükseltir.
zts1045e	Düþük seviyeli hayvanlara hücüm ederken uzak mesafe saldýrý gücünü yükseltir.
zts1046e	Saldýrý gücünü yükseltir 3svy
zts1047e	Saldýrý gücünü yükseltir 4svy
zts1048e	Ateþ elementinin donatýmý
zts1049e	Elementini, ateþ elementine dönüþtürür.
zts1050e	Yýldýzlý saldýrýda, kendinden geçme olasýlýðýný yükseltir.
zts1051e	Kan birleþimi'nin efekt ve süresini kuvvetlendirir.
zts1052e	Hamleli darbe de, yakýn mesafe saldýrý gücünü yükseltir ve rakibi put keser.
zts1053e	Rakibi oyalamak için birdenbire kendine çek.
zts1054e	Patlayýcý vuruþun, uzak mesafe saldýrý gücünü yükseltir.
zts1055e	Düþük seviyeli bitkilere hücüm ederken, uzak mesafe saldýrý gücünü yükseltir.
zts1056e	Atlamalý vuruþ, uzak mesafe saldýrý gücünü yükseltir.
zts1057e	Þahin gözü'nün efekt ve süresini arttýrýr.
zts1058e	Zehirli Diken'i güçlendirir 1svy
zts1059e	Hançeri zehirli diken ile donat.
zts1060e	Zehirli Diken'i güçlendirir 2svy
zts1061e	Patlamalý vuruþa ateþ elementini ekle.
zts1062e	Düþük seviyeli ölümsüzlere hücum ederken, uzak mesafe saldýrý gücünü yükseltir.
zts1063e	PvP'de uzak mesafe saldýrý gücünü yükseltir.
zts1064e	Rakibini yakmak için ateþli ok fýrlat.
zts1065e	Enerji topunu su elementinle donat.
zts1066e	Su elementinin donatýmý 2svy
zts1067e	Büyülü vuruþu ateþ elementinle donat.
zts1068e	Büyülü saldýrý gücünü ve ateþ topunun su elementini yükseltir.
zts1069e	Büyülü saldýrý gücünü ve buz matkabýn su elementini yükseltir.
zts1070e	Büyülü saldýrý gücünü ve ateþ sütunun ateþ elementini yükseltir.
zts1071e	Çevrende ok yaðmuru oluþturmak için üzerinden büyülü oklar fýrlat.
zts1072e	Aðýr bir zarar vermek için rakibinin zayýf noktasýna hançer sapla.
zts1073e	Felce uðratan zehir
zts1074e	Rakibin gücünü azaltmak için okun ucuna felce uðratan zehirden sür.
zts1075e	Güçlendiren zehir
zts1076e	Rakibin sinirlerini uyarmak için okun ucuna felce uðratan zehirden sür.
zts1077e	Güçlendirme ölüm zehiri 1svy
zts1078e	Hançere öldüren zehirden sür.
zts1079e	Güçlendirme öldüren zehir 2svy
zts1080e	Rakibine aðýr zarar vermek için buz matkabýna çaðrý yap ve yerden çýkmasýný saðla.
zts1081e	Gökyüzünün hükmü
zts1082e	Rakibe gökyüzünün ýþýðý ile hücüm et.
zts1083e	Etrafýna lav saçarak, rakibi yak.
zts1084e	Sihirli silahýnla yoðunlaþtýrýlmýþ  bir büyü ateþle.
zts1085e	Rakiplerinin cesaretini kýrmak için ölümün çevresindeki ýþýk halkasýný sal.
zts1086e	Normalden daha soðuk bir buz matkabý yaratarak, büyü saldýrý gücünü ve don tutmasýna sebebiyet verme olasýlýðýný yükseltir.
zts1087e	Gökyüzünün hükmüne su elementini ekle.
zts1088e	Her zamankinden daha çok sýcak lava yaratýr, saldýrý gücünü ve kritik yanma olasýlýðýný yükseltir.
zts1089e	Calvina'nýn çaðýrýlmasý
zts1090e	Calvina'nýn temel saldýrýsý
zts1091e	Kendinden geçme 1svy
zts1092e	Rakibine daha aðýr zarar vermek için parlayan oku büyüle ve kendinden geçmesini saðla.
zts1093e	Hassas noktalara saldýrýlarda yakýn mesafe saldýrý gücünü yükseltir ve rakibin ciddiye alýnacak þekilde kanamasýna sebep olur.
zts1094e	Yetenek animasyon efekti daha da parlayacak ve gücü artacak.
zts1095e	Borayý ateþ elementinle donat.
zts1096e	Borayý ateþ elementinle donat.
zts1097e	Dinamik vuruþu ateþ elementinle donat.
zts1098e	Dinamik vuruþu ateþ elementinle donat.
zts1099e	Çifte vuruþu ateþ elementinle donat.
zts1100e	Çifte saldýrýyý ateþ elementinle donat.
zts1101e	Vuruþ menzilini yükseltir
zts1102e	Fýrtýna darbesinde vuruþ menzilini geniþletir
zts1103e	Yer dalgasýný ateþ elementinle donat.
zts1104e	Gölge elementinin donatýmý
zts1105e	Yer dalgasýný gölge elementinle donat.
zts1106e	Ýntikam darbesini ateþ elementinle donat.
zts1107e	Ýntikam darbesini gölge elementinle donat.
zts1108e	Savunmayý yok et 1svy
zts1109e	Rakibin savunma silahýný yok etmek için hassas bir noktasýna saldýrýr.
zts1110e	Savunmayý yok et 2svy
zts1111e	Savunmayý yok et 3svy
zts1112e	Rakibin öldürücü þekilde kendinden geçmesine sebep olmak için kýlýcýn kabzasýyla saldýrýr.
zts1113e	Rakibi oyalamak için birdenbire kendine çek.
zts1114e	Eziyet etmenin etki ve süresini maksimize eder.
zts1115e	Elementini karanlýk enerji elementine dönüþtürür.
zts1116e	Kýlýç enerjisini yükseltir.
zts1117e	Parlayan kýlýca ateþ elementini ekle.
zts1118e	Parlayan kýlýca karanlýk enerji elementini ekle.
zts1119e	Parlayan kýlýcýn animasyon efekti daha da parlayacak ve gücü maksimize edilecek.
zts1120e	Patlama vuruþuna karanlýk enerji elementini ekle.
zts1121e	Patlama vuruþunun animasyon efekti daha da parlayacak ve gücü maksimize edilecek.
zts1122e	1'ci yetenek: tilkinin saldýrmasý
zts1123e	2'ci yetenek: tilkinin saldýrmasý
zts1124e	Tilkinin 3'cü temel saldýrmasý
zts1125e	Kurdun 1'ci saldýrmasý
zts1126e	Kurdun 2'ci saldýrmasý
zts1127e	Kurdun 3'cü saldýrmasý
zts1128e	Su elementinin donatýmý
zts1129e	Hedef vuruþu su elementinle donat.
zts1130e	Iþýk elementinin donatýmý.
zts1131e	Hedef vuruþu ýþýk elementinle donat.
