zts1e	Bester Service
zts306e	Das süße Buschi als NosMate registrieren[n]
zts307e	Perle mit Gladiator Buschi
zts308e	Perle mit schwarzem Buschi
zts309e	Bekomme eines der folgenden Dinge: grimmige Maske A, grimmige Maske B, grimmige Maske C,[n]Perle mit braunem Buschi, Perle mit Kammerjäger Buschi, Perle mit Gladiator Buschi,[n]Ausrüstungsschutzrolle, Schriftrolle der Freisetzung, spezielles Haustierfutter,[n]Cylloan Quellwasser, Großer Spezialtrank.[n][n]
zts310e	Erhalte einen der folgenden Gegenstände: Stille Maske A, Stille Maske B, Stille Maske C,[n]Perle mit braunem Buschi, Perle mit Gladiator Buschi, Perle mit Kammerjäger Buschi,[n]Ausrüstungsschutzrolle, Schriftrolle der Freisetzung, Spezielles Haustierfutter,[n]Cylloan Quellwasser, Großer Spezialtrank.
zts311e	Bekomme eine der Augenbinde des Abgrunds A, Augenbinde des Abgrunds B, Augenbinde des Abgrunds C,[n]Perle mit braunem Buschi, Perle mit Kammerjäger Buschi, Perle mit Gladiator Buschi, [n]Ausrüstungsschutzrolle, Rolle der Freisetzung, Spezielles Haustierfutter[n]Cylloan Quellwasser, Großer SP Auffüller
zts312e	Erhöhe die Fähigkeit der Fee!
zts313e	Feenverstärker
zts314e	Booste die Fähigkeit der Fee für 1 Stunde.[n] Wenn du den Feenverstärker benutzt, kannst du die Fee für die Wirkungsdauer nicht ändern.
zts357e	Ich habe so eine Vorahnung, dass ich im Neuen Jahr ganz groß rauskomme!
zts358e	1 Geschenkumschlag
zts359e	Erhalte eins der folgenden Items:[n]1x Mittlerer Spezialtrank[n]1x Ancelloan Segen[n]1x Schriftrolle der Freisetzung[n]1x Ausrüstungsschutzrolle[n]1x Großer Spezialtrank[n]1x Abenteuerrucksack[n]1x Cylloan Quellwasser[n]1x Göttlicher Erholungstrank[n]1x Ritterhelm[n]1x Rittermaske[n]1x Perle mit krankem Buschi[n]1x Perle mit Neujahrsglücksschwein[n]1x Perle mit glücklicher Ratte[n][n]
zts360e	10 Geschenkumschläge
zts361e	5 Geschenkumschläge
zts362e	1 Geburtstagsgeschenk
zts363e	Sobald du es anwendest werden die folgenden Effekte für die nächsten 15 Tage wirksam:[n][Basis Effekte:][n]Du hast in deinem Inventar in den Kategorien "Ausrüstung", "Haupt" und "Anderes" jeweils 4 Plätze mehr (insgesamt 12 Plätze).[n]Du erhältst 10% mehr Erfahrung.[n][Andere Effekte:][n]Dein Partner und dein NosMate erhalten 10% mehr Erfahrung.[n]Deine Angriffs- und Verteidigungswerte steigen um 10% an.[n][Achtung:][n]Wenn du es zusammen mit dem Abenteurerrucksack anwendest werden deine Inventarplätze NICHT verdoppelt![n]Du kannst das Item nicht ins Warenhaus legen.[n][n]
zts364e	Eine kleine Maus tragen.
zts365e	Süßer Rattenhut
zts366e	Du kannst eine glückliche Ratte als Haustier haben.[n][n]
zts367e	Mit einem rosa Schwein gesegnet
zts368e	Neujahrsperle!
zts369e	Du kannst ein Glücksschwein als Haustier haben.[n][n]Deine Angriffs-/Verteidigungswerte steigen um 10% an, wenn es dich begleitet.[n]
zts370e	Kälte um Unfälle zu vermeiden.
zts371e	Perle mit Buschi (Eis)
zts372e	Du kannst ein Bushtail als Haustier haben.[n][n]Wenn es angreift gibt es mit einer bestimmten Wahrscheinlichkeit Frost an den Gegner ab. Die Geschwindigkeit und das Verteidigungslevel des Gegner werden dadurch eingefroren und sinken.[n]
zts373e	Ich hab meinen eigenen kleinen Weihnachtsmann!
zts374e	Perle mit braunem Buschi
zts571e	Du kannst alle Items im Inventar für [n] Kann nicht mit dem Amulett verwendet werden.
zts718e	Dalmatiner Kostüm
zts719e	Dalmatiner Kostüm (7 Tage)
zts720e	Dalmatiner Kostüm (30 Tage)
zts721e	Dalmatiner Kostüm (Unbegrenzt)
zts722e	Rottweiler Kostüm
zts723e	Rottweiler Kostüm (7 Tage)
zts724e	Rottweiler Kostüm (30 Tage)
zts725e	Rottweiler Kostüm (Unbegrenzt)
zts727e	Siamkatzen Kostüm
zts728e	Siamkatzen Kostüm (7 Tage)
zts729e	Siamkatzen Kostüm (30 Tage)
zts730e	Siamkatzen Kostüm (Unbegrenzt)
zts731e	Graues Katzenkostüm
zts732e	Graues Katzenkostüm (7 Tage)
zts733e	Graues Katzenkostüm (30 Tage)
zts734e	Graues Katzenkostüm (Unbegrenzt)
zts736e	Häschenkostüm
zts737e	Häschenkostüm (7 Tage)
zts738e	Häschenkostüm (30 Tage)
zts739e	Häschenkostüm (Unbegrenzt)
zts740e	Gelbes Häschenkostüm
zts741e	Gelbes Häschenkostüm (7 Tage)
zts742e	Gelbes Häschenkostüm (30 Tage)
zts743e	Gelbes Häschenkostüm (Unbegrenzt)
zts749e	Helles Löwenkostüm
zts750e	Helles Löwenkostüm (7 Tage)
zts751e	Helles Löwenkostüm (30 Tage)
zts752e	Helles Löwenkostüm (Unbegrenzt)
zts753e	Bulldoggen Kostüm
zts754e	Bulldoggen Kostüm (7 Tage)
zts755e	Bulldoggen Kostüm (30 Tage)
zts756e	Bulldoggen Kostüm (Unbegrenzt)
zts757e	Bernhardiner Kostüm
zts758e	Bernhardiner Kostüm (7 Tage)
zts759e	Bernhardiner Kostüm (30 Tage)
zts760e	Bernhardiner Kostüm (Unbegrenzt)
zts761e	Birmakater Kostüm
zts762e	Birmakater Kostüm (7 Tage)
zts763e	Birmakater Kostüm (30 Tage)
zts764e	Birmakater Kostüm (Unbegrenzt)
zts765e	Koratkater Kostüm
zts766e	Koratkater Kostüm (7 Tage)
zts767e	Koratkater Kostüm (30 Tage)
zts768e	Koratkater Kostüm (Unbegrenzt)
zts770e	Märzhasen Kostüm
zts771e	Märzhasen Kostüm (7 Tage)
zts772e	Märzhasen Kostüm (30 Tage)
zts773e	Märzhasen Kostüm (Unbegrenzt)
zts774e	Weißes Hasenkostüm
zts775e	Weißes Hasenkostüm (7 Tage)
zts776e	Weißes Hasenkostüm (30 Tage)
zts777e	Weißes Hasenkostüm (Unbegrenzt)
zts778e	Goldenes Löwenkostüm
zts779e	Goldenes Löwenkostüm (7 Tage)
zts780e	Goldenes Löwenkostüm (30 Tage)
zts781e	Goldenes Löwenkostüm (Unbegrenzt)
zts783e	Dalmatiner Hut
zts784e	Dalmatiner Hut (7 Tage)
zts785e	Dalmatiner Hut (30 Tage)
zts786e	Dalmatiner Hut (Unbegrenzt)
zts787e	Rottweiler Hut
zts788e	Rottweiler Hut (7 Tage)
zts789e	Rottweiler Hut (30 Tage)
zts790e	Rottweiler Hut (Unbegrenzt)
zts792e	Siamkatzen Hut
zts793e	Siamkatzen Hut (7 tage)
zts794e	Siamkatzen Hut (30 Tage)
zts795e	Siamkatzen Hut (Unbegrenzt)
zts796e	Grauer Katzenhut
zts797e	Grauer Katzenhut (7 Tage)
zts798e	Grauer Katzenhut (30 Tage)
zts799e	Grauer Katzenhut (Unbegrenzt)
zts801e	Häschenohren
zts802e	Häschenohren (7 Tage)
zts803e	Häschenohren (30 Tage)
zts804e	Häschenohren (Unbegrenzt)
zts805e	Gelbe Häschenohren
zts806e	Gelbe Häschenohren (7 Tage)
zts807e	Gelbe Häschenohren (30 Tage)
zts808e	Gelbe Häschenohren (Unbegrenzt)
zts814e	Heller Löwenhut
zts815e	Heller Löwenhut (7 Tage)
zts816e	Heller Löwenhut (30 Tage)
zts817e	Heller Löwenhut (Unbegrenzt)
zts818e	Bulldoggen Hut
zts819e	Bulldoggen Hut (7 Tage)
zts820e	Bulldoggen Hut (30 Tage)
zts821e	Bulldoggen Hut (Unbegrenzt)
zts822e	Bernhardiner Hut
zts823e	Bernhardiner Hut (7 Tage)
zts824e	Bernhardiner Hut (30 Tage)
zts825e	Bernhardiner Hut (Unbegrenzt)
zts826e	Birmakater Hut
zts827e	Birmakater Hut (7 Tage)
zts828e	Birmakater Hut (30 Tage)
zts829e	Birmakater Hut (Unbegrenzt)
zts830e	Koratkater Hut
zts831e	Koratkater Hut (7 Tage)
zts832e	Koratkater Hut (30 Tage)
zts833e	Koratkater Hut (Unbegrenzt)
zts835e	Märzhasen Hut
zts836e	Märzhasen Hut (7 Tage)
zts837e	Märzhasen Hut (30 Tage)
zts838e	Märzhasen Hut (Unbegrenzt)
zts839e	Weißer Hasenhut
zts840e	Weißer Hasenhut (7 Tage)
zts841e	Weißer Hasenhut (30 Tage)
zts842e	Weißer Hasenhut (Unbegrenzt)
zts843e	Goldener Löwenhut
zts844e	Goldener Löwenhut (7 Tage)
zts845e	Goldener Löwenhut (30 Tage)
zts846e	Goldener Löwenhut (Unbegrenzt)
zts899e	Dalmatiner Hut
zts900e	Dalmatiner Hut (7 Tage)
zts901e	Dalmatiner Hut (30 Tage)
zts902e	Dalmatiner Hut (Unbegrenzt)
zts903e	Rottweiler Hut
zts904e	Rottweiler Hut (7 Tage)
zts905e	Rottweiler Hut (30 Tage)
zts906e	Rottweiler Hut (Unbegrenzt)
zts908e	Heller Löwenhut
zts909e	Heller Löwenhut (7 Tage)
zts910e	Heller Löwenhut (30 Tage)
zts911e	Heller Löwenhut (Unbegrenzt)
zts912e	Dunkler Löwenhut
zts913e	Dunkler Löwenhut (7 Tage)
zts914e	Dunkler Löwenhut (30 Tage)
zts915e	Dunkler Löwenhut (Unbegrenzt)
zts916e	Bulldoggen Hut
zts917e	Bulldoggen Hut (7 Tage)
zts918e	Bulldoggen Hut (30 Tage)
zts919e	Bulldoggen Hut (Unbegrenzt)
zts920e	Bernhardiner Hut
zts921e	Bernhardiner Hut (7 Tage)
zts922e	Bernhardiner Hut (30 Tage)
zts923e	Bernhardiner Hut (Unbegrenzt)
zts925e	Goldener Löwenhut
zts926e	Goldener Löwenhut (7 Tage)
zts927e	Goldener Löwenhut (30 Tage)
zts928e	Goldener Löwenhut (Unbegrenzt)
zts929e	Schwarzer Löwenhut
zts930e	Schwarzer Löwenhut (7 Tage)
zts931e	Schwarzer Löwenhut (30 Tage)
zts932e	Schwarzer Löwenhut (Unbegrenzt)
zts933e	Dalmatiner Kostüm
zts934e	Dalmatiner Kostüm (7 Tage)
zts935e	Dalmatiner Kostüm (30 Tage)
zts936e	Dalmatiner Kostüm (Unbegrenzt)
zts937e	Rottweiler Kostüm
zts938e	Rottweiler Kostüm (7 Tage)
zts939e	Rottweiler Kostüm (30 Tage)
zts940e	Rottweiler Kostüm (Unbegrenzt)
zts941e	Ein großartiger Löwenhut!
zts942e	Helles Löwenkostüm (7 Tage)
zts943e	Helles Löwenkostüm (30 Tage)
zts944e	Helles Löwenkostüm (Unbegrenzt)
zts945e	Dunkles Löwenkostüm (7 Tage)
zts946e	Dunkles Löwenkostüm (30 Tage)
zts947e	Dunkles Löwenkostüm (Unbegrenzt)
zts948e	Bulldoggen Kostüm
zts949e	Bulldoggen Kostüm (7 Tage)
zts950e	Bulldoggen Kostüm (30 Tage)
zts951e	Bulldoggen Kostüm (Unbegrenzt)
zts952e	Ein prächtiger Löwenhut!
zts953e	Goldener Löwenhut
zts954e	Goldener Löwenhut (7 Tage)
zts955e	Goldener Löwenhut (30 Tage)
zts956e	Goldener Löwenhut (Unbegrenzt)
zts957e	Schwarzer Löwenhut
zts958e	Schwarzer Löwenhut (7 Tage)
zts959e	Schwarzer Löwenhut (30 Tage)
zts960e	Schwarzer Löwenhut (Unbegrenzt)
zts961e	Helles Löwenkostüm
zts962e	Dunkles Löwenkostüm
zts963e	Bernhardiner Hut
zts964e	Bernhardiner Hut (7 Tage)
zts965e	Bernhardiner Hut (30 Tage)
zts966e	Bernhardiner Hut (Unbegrenzt)
zts1005e	10 PvP Angriffskraft Tränke
zts1006e	10 PvP Angriffskraft Tränke
zts1007e	5 PvP Verteidigungs Tränke
zts1008e	10 PvP Verteidigungs Tränke
zts1009e	5x PvP-Widerstandstrank
zts1010e	10x PvP-Widerstandstrank
zts1011e	5 Familien-Versammlungs Hörner
zts1012e	10 Familien-Versammlungs Hörner
zts1057e	Ich bin das Symbol der ewigen Schöhnheit!
zts1058e	Tinker Bell
zts1059e	Tinker Bell (7 Tage)
zts1060e	Tinker Bell (30 Tage)
zts1061e	Feenkostüm (unbegrenzt)
zts1062e	Ich bin der Dämone von Nostale!
zts1063e	Weißer Dämon
zts1064e	Weißer Dämon (7 Tage)
zts1065e	Weißer Dämon (30 Tage)
zts1066e	Weißer Dämon (unbegrenzt)
zts1067e	Trage eine schöne Schleife!
zts1068e	Rosa Haarband
zts1069e	Rosa Haarband (7 Tage)
zts1070e	Rosa Haarband (30 Tage)
zts1071e	Rosa Haarband (unbegrenzt)
zts1072e	Werde ein stattlicher Mann!
zts1073e	Weißer Flizhut
zts1074e	Weißer Filzhut (7 Tage)
zts1075e	Weißer Filzhut (30 Tage)
zts1076e	Weißer Filzhut (unbegrenzt)
zts1118e	Entfernt den Geruch der Anderen!
zts1119e	Parfüm
zts1120e	Wird verwendet, wenn du die exklusiven Items der Anderen in dein eigenes umwandelst.[n][Anleitung][n]Das Item-Umwandlungsfenster öffnet sich, wenn du darauf doppelklickst.
zts1121e	20 Parfüms
zts1122e	50 Parfüms
zts1123e	99 Parfüms
zts1124e	90 Gut riechende Parfüme
zts1146e	Pegasus
zts1147e	Süßer Hase
zts1242e	Neujahr Zufallsbox
zts1243e	Neujahr Box
zts1244e	Neujahr Box[n]Du kannst einen der verschiedenen Gegenstände erhalten.[n]Gegenstände: Perle mit Stier Buschi, Geheimnisvolle Box B, Haustierkorb (60 Tage), 5 Parfüms, 50 Flügel der Freundschaft, 50 Cylloan Quellwasser, Abenteuerrucksack (30 Tage), Haustierperle, 2 Namensschilder für NosMates, 3 Portionen Edles Haustierfutter.[n][n]
zts1266e	Teste dein Glück!
zts1325e	Stier Tori Perle
zts1327e	Gutaussehender Hut für Männer
zts1329e	Gutaussehender Hut für Männer(7 Tage)
zts1330e	Hut für gutaussehende Männer (30 Tage)
zts1331e	Gutaussehender Hut für Männer(Unbegrenzt)
zts1332e	Gutaussehender Anzug für Männer
zts1334e	Gutaussehender Anzug für Männer (7 Tage)
zts1335e	Anzug für gutaussehende Männer[30 Tage]
zts1336e	Gutaussehender Anzug für Männer (Unbegrenzt)
zts1348e	Starlight Schuluniform
zts1349e	Starlight Schuluniform (7 Tage)
zts1350e	Starlight Schuluniform (30 Tage)
zts1351e	Starlight Schuluniform (Unbegrenzt)
zts1352e	Starlight Haarband
zts1353e	Starlight Haarband (7 Tage)
zts1354e	Starlight Haarband (30 Tage)
zts1355e	Starlight Haarband (Unbegrenzt)
zts1359e	Samurai Buschschwänzchen Perle
zts1394e	Flügel der Engel
zts1397e	Flügel der Dämonen
zts1510e	99x Engelsfeder
zts1511e	Geheimnisvolle Box A [n]Wenn du diese Box öffnest, kannst du eines der folgenden NosMall Items erlangen. [n] [Die Items die du erlangen kannst] [n] Grimmige Maske A [n] Grimmige Maske B [n] Grimmige Maske C [n] Perle mit braunem Buschi[n] Perle mit Gladiator Buschi[n] Perle mit Kammerjäger Buschi[n] Spezielles Haustierfutter[n] Ausrüstungsschutzrolle[n] Cylloan Quellwasser[n] Schriftrolle der Freisetzung[n] Großer Spezialtrank[n]
zts1512e	Geheimnisvolle Box B [n]Wenn du diese Box öffnest, kannst du eines der folgenden NosMall Items erlangen. [n][Die Items die du erlangen kannst] [n]Stille Maske A [n]Stille Maske B [n]Stille Maske C[n]Perle mit Stier Buschi [n]Perle mit Aqua Buschi[n]Perle mit Samurai Buschi[n]Spezielles Haustierfutter[n]Ausrüstungsschutzrolle[n]Cylloan Quellwasser[n]Schriftrolle der Freisetzung[n]Großer Spezialtrank[n]
zts1513e	Geheimnisvolle Box C [n]Wenn du diese Box öffnest, kannst du eines der folgenden NosMall Items erlangen. [n][Die Items die du erlangen kannst] [n]Augenbinde A [n]Augenbinde B [n]Augenbinde C[n]Perle mit Pegasus[n]Perle mit süßem Hasen [n]Perle mit krankem Buschi[n]Spezielles Haustierfutter[n]Ausrüstungsschutzrolle[n]Cylloan Quellwasser[n]Schriftrolle der Freisetzung[n]Großer Spezialtrank[n]
zts1528e	Haustierkorb (10 Tage/Event)
zts1530e	Schwarze Riesenspinne Siegel
zts1531e	Riesen Slade Siegel
zts1532e	Xysenstrauch Siegel
zts1533e	Dark Castra Siegel
zts1534e	Huhnkönig Siegel
zts1535e	Cuby Mutter Siegel
zts1537e	Magischer Roller
zts1540e	Magischer Teppich
zts2790e	NosHändler-Medaille (1 Tag)(Event)
zts2800e	NosHändler-Medaille (30 Tage)
zts2801e	NosHändler-Medaille (7 Tage)
zts8825e	Sweet Rabbit costume random box(EU)
zts8826e	Lovely Rabbit costume random box(EU)
zts8848e	Fußball-EM 2012-Zufallstruhe
zts8993e	Zufallstruhe des Keinarmhasen
zts9201e	Abgefahrene Jackpot-Box
zts9265e	Winziger Goldbrocken
zts9266e	Kleiner Goldbrocken
zts9267e	Großer Goldbrocken
zts9268e	Riesiger Goldbrocken
zts9282e	Spezialistentruhe: Flügel & mehr
zts10043e	Kostümfusion
zts10054e	Für alle, die Abwechslung lieben!
zts10055e	Damit kannst du das Aussehen deines Kostüms ändern.[n]Um das zu tun, musst du das Basiskostüm und das Materialkostüm registrieren.[n][Achtung][n]1. Zeitlich begrenzte Kostüme können nicht verändert werden.[n]2. Nur an Charaktere gebundene Kostüme können einmal verändert werden.[n]3. Das Materialkostüm wird dadurch verschwinden.[n]4. Durch ein [Kostümfusions-Reset] kannst du die Änderung rückgängig machen.[n]5. Die Optionen des Materialkostüms werden nicht auf das Basiskostüm angewandt.[n]
zts10226e	Medaille des 10. Jahrestages
zts10274e	VIP-Medaille der Cuarry-Bank (10 Tage)
zts10275e	Du erhältst bei der Cuarry-Bank den VIP-Status und musst keine Gebühren zahlen.[n][Achtung] Gilt nur für 10 Tage.[n]
zts10276e	VIP-Medaille der Cuarry-Bank (30 Tage)
zts10277e	Du erhältst bei der Cuarry-Bank den VIP-Status und musst keine Gebühren zahlen.[n][Achtung] Gilt nur für 30 Tage.[n]
zts19668e	Abenteurerrucksack (unbegrenzt)
zts19669e	Partnerrucksack (unbegrenzt)
zts19670e	Haustierkorb (unbegrenzt)
zts19684e	Du kannst 10 Tage lang[n]alle Slots deines Inventars nutzen.[n]
zts19685e	Du kannst 30 Tage lang[n]alle Slots deines Inventars nutzen.[n]
zts19686e	Du kannst 60 Tage lang[n]alle Slots deines Inventars nutzen.[n]
zts19687e	Du kannst dauerhaft alle Slots deines Inventars nutzen.[n]
zts19874e	Medaille des 11. Jahrestages
zts19880e	Truhe mit magischem Schlitten
zts19881e	Diese Truhe enthält einen magischen Schlitten.[n]
zts19886e	Perle von Polarbär Fauch
zts19888e	Feuerteufel-Maske (30 Tage)
zts19889e	Feuerteufel-Maske (unbegrenzt)
zts19890e	Feuerteufel-Kostüm (30 Tage)
zts19891e	Feuerteufel-Kostüm (unbegrenzt)
zts19892e	Feuerteufel-Set
zts19911e	Hochzeitskostüm-Spezialistenkarte
zts19913e	Schatztruhen-Generalschlüssel
zts19915e	Glücks-Buschi
zts19916e	Superglücks-Buschi
zts19930e	Feuerteufel-Kostümflügel (30 Tage)
zts19931e	Feuerteufel-Kostümflügel (unbegrenzt)
zts19932e	Partnerspezialistenkarte des verrückten Osterhasen
zts19933e	Osterhasen-Partyhütchen (30 Tage)
zts19934e	Osterhasen-Partyhütchen (unbegrenzt)
zts19935e	Osterhasen-Partykostüm (30 Tage)
zts19936e	Osterhasen-Partykostüm (unbegrenzt)
zts19937e	Osterhasen-Partykostüm-Truhe
zts19938e	Osterhasenhut (30 Tage)
zts19939e	Osterhasenhut (unbegrenzt)
zts19940e	Osterhasenkostüm (30 Tage)
zts19941e	Osterhasenkostüm (unbegrenzt)
zts19942e	Osterhasenkostüm-Set
zts19954e	Perle von Goldwolke
zts19956e	Versiegeltes heldenhaftes Amulett des Segens (Zufall)
zts19959e	Feen-Kostümkopfbedeckung (30 Tage)
zts19960e	Feen-Kostümkopfbedeckung (unbegrenzt)
zts19961e	Feen-Kostümgewand (30 Tage)
zts19962e	Feen-Kostümgewand (unbegrenzt)
zts19963e	Feen-Kostümflügel (30 Tage)
zts19964e	Feen-Kostümflügel (unbegrenzt)
zts19965e	Feen-Kostümset
zts19973e	Grasslin-Siegel
zts19976e	FXP-Booster (1 Tag)
zts19977e	FXP-Booster (3 Tage)
zts19978e	FXP-Booster (7 Tage)
zts19979e	FXP-Booster (30 Tage)
zts19980e	"Magische Esel-Piñata"-Truhe
zts19986e	Partnerspezialistenkarte von Ein-Schwinge Perti
zts19987e	Kleine Frosthexe
zts19993e	Otter
zts19995e	Abenteurer
zts19996e	Tierfreund
zts19997e	Rebell
zts19998e	Idealist
zts19999e	Friedensstifter
zts20000e	Diplomat
zts20001e	Unkrautvernichter
zts20002e	Retter von NosVille
zts20003e	Unermüdlich
zts20004e	Einsame Spitze
zts20005e	Zauberkünstler
zts20006e	Hochmagier
zts20007e	Hexenmeister
zts20008e	Silberbogen
zts20009e	Robin Hood
zts20010e	Meisterschütze
zts20011e	Söldner
zts20012e	Tempelritter
zts20013e	Schwertmeister
zts20014e	Schwarzgurt
zts20015e	Sensei
zts20016e	mit der Todeskralle
zts20017e	Eventtitel
zts20018e	PvP-Todesengel
zts20019e	PvP-Champion
zts20020e	PvP-Legende
zts20021e	PvP-Titan
zts20022e	Onyxdrache
zts20023e	Befreier
zts20024e	Glückskind
zts20025e	Scharfsinnig
zts20026e	Bollwerk
zts20027e	Hellseher
zts20028e	Strahlender Held
zts20029e	Göttlich
zts20032e	Tropenhut (30 Tage)
zts20033e	Tropenhut (unbegrenzt)
zts20034e	Tropen-Kostüm (30 Tage)
zts20035e	Tropen-Kostüm (unbegrenzt)
zts20036e	Tropen-Kostümflügel (30 Tage)
zts20037e	Tropen-Kostümflügel (unbegrenzt)
zts20038e	Tropen-Kostümset
zts20039e	Namensänderungskarte
zts20043e	Blitzschwingen
zts20045e	Inventarerweiterungsticket (30 Tage)
zts20046e	Inventarerweiterungsticket (60 Tage)
zts20047e	Inventarerweiterungsticket (unbegrenzt)
zts20048e	Medaille des 12. Jahrestages
zts20049e	Alpaka-Truhe zum 12. Jahrestag
zts20050e	Rennalpaka-Truhe zum 12. Jahrestag
zts20053e	Künstler
zts20054e	mag Kekse
zts20055e	Naturtalent
zts20056e	Allergrößter Fan
zts20057e	Quizmaster
zts20058e	Model
zts20059e	Filmstar
zts20060e	Wortschöpfer
zts20061e	überlebt!
zts20062e	Samtpfote
zts20063e	Warmes Herz
zts20064e	Frosthexenhut (30 Tage)
zts20065e	Frosthexenhut (unbegrenzt)
zts20066e	Frosthexenkostüm (30 Tage)
zts20067e	Frosthexenkostüm (unbegrenzt)
zts20068e	Frosthexen-Kostümflügel (30 Tage)
zts20069e	Frosthexen-Kostümflügel (unbegrenzt)
zts20070e	Frosthexen-Kostümset
zts20071e	Tattoo-Speicherschriftrolle
zts20072e	Tattoo-Entferner
zts20073e	Reparatur-Runenamboss
zts20074e	Runenentfernungs-Hammer
zts20075e	Glücksrunen-Schriftrolle
zts20078e	Engelsfeder-Zufallstruhe
zts20079e	Vollmondkristall-Zufallstruhe
zts20080e	Premium-Glücksrunen-Schriftrolle
zts20085e	Tattoo-Runen-Zufallstruhe 1
zts20086e	Diese Truhe enthält tolle Gegenstände.[n]Öffne die Truhe, um eins der folgenden Items zu erhalten:[n]2x Tattoo-Speicherschriftrolle[n]2x Tattoo-Entferner[n]2x Runenentfernungs-Hammer[n]4x Glücksrunen-Schriftrolle[n]8x Reparatur-Runenamboss
zts20087e	Tattoo-Runen-Zufallstruhe 2
zts20088e	Diese Truhe enthält tolle Gegenstände.[n]Öffne die Truhe, um eins der folgenden Items zu erhalten:[n]3x Tattoo-Speicherschriftrolle[n]3x Tattoo-Entferner[n]3x Runenentfernungs-Hammer[n]6x Glücksrunen-Schriftrolle[n]12x Reparatur-Runenamboss
zts20091e	"Zauberer von Noz"-Hut (30 Tage)
zts20092e	"Zauberer von Noz"-Hut (unbegrenzt)
zts20093e	"Zauberer von Noz"-Kostüm (30 Tage)
zts20094e	"Zauberer von Noz"-Kostüm (unbegrenzt)
zts20095e	"Zauberer von Noz"-Set
zts20116e	Wähle andere Flügel für deinen Spezialisten.[n]
zts20119e	Truhe "Geräumiges Warenlager (unbegrenzt)"
zts20120e	Truhe "Geräumiges Warenlager (30 Tage)"
zts20131e	Temporary Text
zts20132e	Temporary Text
zts20133e	Geräumiges Warenlager (30 Tage)
zts20149e	Runenpolitur
zts20158e	Achenaton, der verfluchte Pharao
zts20168e	Schwertschwingen
zts20182e	Medaille des 13. Jahrestages
zts20183e	Goldener Kuchenpudding
zts20184e	Kuchenpudding
zts20185e	Kostüm "Kürbishexe/Kürbisritter" (30 Tage)
zts20186e	Hut "Kürbishexe/Kürbisritter" (30 Tage)
zts20187e	Kostümflügel "Kürbishexe/Kürbisritter" (30 Tage)
zts20188e	Kostüm "Kürbishexe/Kürbisritter" (unbegrenzt)
zts20189e	Hut "Kürbishexe/Kürbisritter" (unbegrenzt)
zts20190e	Kostümflügel "Kürbishexe/Kürbisritter" (unbegrenzt)
zts20191e	Set "Kürbishexe/Kürbisritter"
zts20204e	Gecko-Paladin
zts20205e	Profi-Fischer-Skin
zts20213e	Baumhaus-Paket
zts20214e	Weihnachtsbaum-Paket
zts20215e	Schneemannfamilie-Paket
zts20216e	"Auto mit Weihnachtsbaum"-Paket
zts20217e	Wichtel-Warenhaus-Paket (30 Tage)
zts20218e	Wichtel-Warenhaus-Paket (unbegrenzt)
zts20219e	"Festliche Dekorationen 2020"-Paket (30 Tage)
zts20220e	"Festliche Dekorationen 2020"-Paket (unbegrenzt)
zts20221e	Kristallschwingen
zts20223e	Wichtel-Warenhaus (30 Tage)
zts20230e	Magischer Schlitten
zts20231e	Lanzentod-Schädelhelm (30 Tage)
zts20232e	Lanzentod-Schädelhelm (unbegrenzt)
zts20233e	Lanzentod-Brustpanzer (30 Tage)
zts20234e	Lanzentod-Brustpanzer (unbegrenzt)
zts20235e	Lanzentod-Schwingen (30 Tage)
zts20236e	Lanzentod-Schwingen (unbegrenzt)
zts20237e	Lanzentod-Set
zts20255e	Rodeobulle
zts20257e	Rodeobullen-Truhe
zts20261e	Zauberkauz
zts20269e	Wunderland-Kostüm (30 Tage)
zts20270e	Wunderland-Kostüm (unbegrenzt)
zts20271e	Wunderland-Kopfbedeckung (30 Tage)
zts20272e	Wunderland-Kopfbedeckung (unbegrenzt)
zts20273e	Wunderland-Kostümset
zts20274e	Wunderland-Kostüm (unbegrenzt)
zts20281e	Sternekoch-Skin
zts20289e	Blumenflügel
zts20299e	Flederfuchs
zts20300e	Fabulös
zts20336e	Schneemann-Raidsiegel
zts20337e	Jack O'Lanterns Raidsiegel
zts20338e	Siegel der Huhnkönigin (Event)
zts20339e	Foxys Raidsiegel
zts20340e	Marus Raidsiegel
zts20341e	Hongbi-Cheongbi-Raidsiegel
zts20342e	Raidsiegel des wahnsinnigen Dr. Maunz
zts20343e	Raidsiegel des verrückten Osterhasen
zts20344e	Piratensiegel (Event)
zts20345e	Lola Löffels Raidsiegel
zts20346e	Honigbienenkostüm (30 Tage)
zts20347e	Honigbienenkostüm (unbegrenzt)
zts20348e	Honigbienenkrone (30 Tage)
zts20349e	Honigbienenkrone (unbegrenzt)
zts20350e	Honigbienenflügel (30 Tage)
zts20351e	Honigbienenflügel (unbegrenzt)
zts20352e	Honigbienen-Sonnenbrille (30 Tage)
zts20353e	Honigbienen-Sonnenbrille (unbegrenzt)
zts20354e	Honigbienen-Kostümset
zts20366e	Honigbienenkostüm (30 Tage)
zts20367e	Honigbienenkostüm (unbegrenzt)
zts20368e	Honigbienenkrone (30 Tage)
zts20369e	Honigbienenkrone (unbegrenzt)
zts20370e	Honigbienenflügel (30 Tage)
zts20371e	Honigbienenflügel (unbegrenzt)
