zts1e	Entraînement pour aventurier novice
zts1048e	Le prisonnier Sharif, du Camp des voleurs du désert, te demande d'aller chercher la clé pour le délivrer.
zts1049e	Le prisonnier Sharif, du Camp des voleurs du désert, te demande de le libérer. Une fois le prisonnier délivré, informes-en la représentante Semia au Quartier d'Akamur.
zts1050e	L'étrange relique
zts1051e	Le morceau de relique doit être apporté à la représentante Semia dans la Cité des aigles du désert.
zts1052e	La représentante Semia te demande d'apporter le sac contenant le morceau de relique à Nephi dans le Quartier d'Akamur.
zts1053e	Les fantômes du Patio d'Aster
zts1054e	Le grand prêtre Eladin, du Temple d'Aster, te demande d'aller voir la prêtresse Vera et de suivre ses instructions.
zts1055e	La prêtresse Vera, du Temple d'Aster, te demande d'examiner la Bibliothèque dans les souterrains du Temple d'Aster.
zts1056e	La prêtresse Vera, du Temple d'Aster, te demande d'examiner les grottes souterraines du Sanctuaire central.
zts1057e	La prêtresse Vera, du Temple d'Aster, te demande d'examiner le hall des prières dans le Centre d'Aster.
zts1058e	Le Sanctuaire central doit être examiné. Je pense qu'il doit rester des traces des récents évènements qui s'y sont produits dans les souterrains du Temple d'Aster.
zts1059e	La prêtresse Vera, du Temple d'Aster, te demande d'apporter le rapport au grand prêtre Eladin.
zts1060e	Le chaos du Temple d'Aster
zts1061e	La prêtresse Vera, du Temple d'Aster, te demande de lui apporter de l'essence de fantômes une fois que tu auras éliminé les fantômes de la Bibliothèque.
zts1062e	La prêtresse Vera, du Temple d'Aster, te demande de lui apporter de l'essence de fantômes une fois que tu auras éliminé les fantômes des grottes souterraines du Temple d'Aster.
zts1063e	La prêtresse Vera, du Temple d'Aster, te demande de lui apporter de l'essence de fantômes une fois que tu auras éliminé les fantômes du hall des prières du Temple d'Aster.
zts1064e	La prêtresse Vera, du Temple d'Aster, te demande de lui apporter de l'essence de fantômes une fois que tu auras éliminé les fantômes du Sanctuaire central du centre du Temple d'Aster.
zts1065e	La prêtresse Vera, du Temple d'Aster, te demande d'amener au grand prêtre Eladin le sac magique avec l'essence de fantômes amassée jusqu'ici.
zts1066e	Fantômes, reposez en paix
zts1067e	Le grand prêtre Eladin te demande d'aller au Quartier d'Akamur vérifier la liste des marchandises établie il y a quelque temps.
zts1068e	Nephi, du Quartier d'Akamur, pense que la représentante Semia a déjà vérifié la liste des marchandises du Temple d'Aster.
zts1069e	La représentante Semia, du Quartier d'Akamur, dit que les marchandises répertoriées dans la liste des marchandises se trouvent au Camp de Garton.
zts1070e	La représentante Semia, du Quartier d'Akamur, dit que les bâtons d'encens doivent être apportés au grand prêtre Eladin.
zts1071e	Le grand prêtre Eladin te demande de rendre hommage à l'âme d'un prêtre dans le Temple d'Aster en brûlant de l'encens béni par le dieu du soleil.
zts1072e	La prêtresse Nora, des souterrains du Temple d'Aster, te demande de répandre l'encens sur le corps du prêtre mort dans la Bibliothèque.
zts1073e	La prêtresse Nora, des souterrains du Temple d'Aster, te demande de répandre l'encens sur le corps du prêtre mort.
zts1074e	La prêtresse Nora, des souterrains du Temple d'Aster, te demande de répandre l'encens sur le corps du prêtre mort dans le hall des prières.
zts1075e	La prêtresse Nora, des souterrains du Temple d'Aster, te demande de répandre l'encens sur le corps du chasseur de trésors mort dans le hall des prières.
zts1076e	La prêtresse Nora te demande d'apporter la lettre d'un défunt à une personne qui saura la lire.
zts1077e	Apporte la lettre du défunt énervé au grand prêtre Eladin. Il pourra t'en dire plus sur son contenu.
zts1078e	La relique des idées
zts1079e	Apporte la relique brisée de Grenigas au grand prêtre Eladin.
zts1080e	Le grand prêtre Eladin, du Temple d'Aster, te demande de trouver la relique brisée de Grenigas et de l'apporter à la prêtresse Vera.
zts1081e	La prêtresse Vera, du Temple d'Aster, te demande de retrouver la relique brisée de Grenigas dans les souterrains du Temple d'Aster.
zts1082e	La prêtresse Vera, du Temple d'Aster, te demande de trouver le morceau de relique de Grenigas au Sanctuaire central des souterrains d'Aster.
zts1083e	La prêtresse Vera, du Temple d'Aster, te demande de trouver le morceau de relique de Grenigas au Sanctuaire central du Centre d'Aster.
zts1084e	L'enquêteur disparu
zts1085e	Riana, du Camp des chasseurs de trésors, te demande de retrouver l'enquêteur disparu.
zts1086e	Serena, du Camp des chasseurs de trésors, te demande d'aller chercher le rapport des voleurs du désert à propos du Temple oublié dans le Camp de Garton.
zts1087e	Serena, du Camp des chasseurs de trésors, te demande d'aller récupérer le rapport des voleurs du désert sur le Temple oublié. Il est en possession des voleurs sur le Chemin du Temple. Cherche ensuite l'enquêteur disparu dans le Temple oublié.
zts1088e	Michol, du Temple oublié, te demande de lui faire gagner du temps pour que l'agent guérisse de ses blessures.
zts1089e	Michol, du Temple oublié, te demande de récupérer le fragment de la tablette d'écriture dérobé par les monstres.
zts1090e	Michol, du Temple oublié, te demande d'apporter les objets examinés à Serena au Camp des chasseurs de trésors.
zts1091e	Serena, du Camp des chasseurs de trésors, te demande d'apporter le rapport de Michol à Riana.
zts1092e	Le Temple oublié
zts1093e	Michol, du Temple oublié, te demande d'éliminer les monstres des environs pour que les recherches puissent continuer.
zts1094e	Michol, du Temple oublié, te demande d'éliminer les monstres des environs afin que les recherches puissent continuer.
zts1095e	Michol, du Temple oublié, te demande d'éliminer les monstres dans la zone spéciale C, pour que les recherches puissent continuer.
zts1096e	Michol, du Temple oublié, te demande de trouver le rapport contenant les informations supplémentaires sur le Temple oublié qu'un enquêteur a perdu.
zts1097e	Michol, du Temple oublié, te demande d'apporter le rapport actuel sur le Temple oublié à Serena au Camp des chasseurs de trésors.
zts1098e	Serena, du Camp des chasseurs de trésors, te demande d'apporter son rapport d'investigation concis à Riana.
zts1099e	La véritable nature du Temple oublié
zts1100e	Michol, du Temple oublié, te demande de lui ramener la première tablette d'écriture.
zts1101e	Michol, du Temple oublié, te demande de lui rapporter la deuxième tablette d'écriture.
zts1102e	Michol, du Temple oublié, te demande de lui rapporter la troisième tablette d'écriture.
zts1103e	Michol, du Temple oublié, te demande de reprendre aux monstres la tablette d'écriture brisée.
zts1104e	Michol, du Temple oublié, te demande d'apporter le récipient contenant les tablettes d'écriture brisées à Serena au Camp des chasseurs de trésors.
zts1105e	Serena, du Camp des chasseurs de trésors, te demande d'apporter le rapport concis à Riana.
zts1106e	Le gardien du Temple de Rashid
zts1107e	Michol, du Temple oublié, te demande d'éliminer les monstres de la Bibliothèque pour que les recherches dans les catacombes du Temple de Rashid puissent être menées.
zts1108e	Michol, du Temple oublié, te demande d'éliminer les montres des grottes souterraines pour que les recherches dans les catacombes du Temple de Rashid puissent continuer.
zts1109e	Michol, du Temple oublié, te demande d'éliminer les monstres du hall des prières pour que les recherches dans les catacombes du Temple de Rashid puissent continuer.
zts1110e	Michol, du Temple oublié, te demande d'éliminer les monstres du Sanctuaire central pour que les recherches dans les catacombes du Temple de Rashid puissent continuer.
zts1111e	Michol, du Temple oublié, te demande d'apporter son rapport sur le gardien du Temple de Rashid à Serena au Camp des chasseurs de trésors.
zts1112e	Serena, du Camp des chasseurs de trésors, te demande d'apporter le rapport concis sur le gardien du Temple de Rashid à Riana.
zts1113e	La relique du Temple de Rashid
zts1114e	Michol, du Temple oublié, te demande d'aller chercher les morceaux de relique brisés dans les catacombes du Temple de Rashid. Inspecte aussi la Bibliothèque !
zts1115e	Michol, de la place du temple, te demande d'aller chercher les morceaux de relique brisés dans les catacombes du Temple de Rashid. Examine aussi les grottes souterraines !
zts1116e	Michol, du Temple oublié, te demande d'aller chercher les morceaux de relique brisés dans le Centre de Rashid. Inspecte aussi le hall des prières !
zts1117e	Michol, du Temple oublié, te demande d'aller chercher les morceaux de relique bisés dans les catacombes du Temple de Rashid. Inspecte aussi le Sanctuaire central !
zts1118e	Michol, du Temple oublié, te demande d'apporter le sac contenant les morceaux de relique à Serena au Camp des chasseurs de trésors.
zts1119e	Serena, du Camp des chasseurs de trésors, te demande de remettre à Riana le rapport sur les reliques du Temple de Rashid.
zts1120e	Le secret du Temple de Rashid
zts1121e	Michol, du Temple oublié, te demande de partir à la recherche de la première tablette d'écriture brisée qui se trouve dans les catacombes du Temple de Rashid. Commence par inspecter la Bibliothèque située près de l'entrée.
zts1122e	Michol, du Temple oublié, te demande de partir à la recherche de la deuxième tablette d'écriture brisée qui se trouve dans les catacombes du Temple de Rashid. Dirige-toi vers les grottes souterraines !
zts1123e	Michol, du Temple oublié, te demande de partir à la recherche de la troisième tablette d'écriture brisée qui se trouve dans les catacombes du Temple de Rashid. Dirige-toi vers le hall des prières !
zts1124e	Michol, du Temple oublié, te demande de partir à la recherche de la quatrième tablette d'écriture brisée qui se trouve dans les catacombes du Temple de Rashid. Dirige-toi vers le Sanctuaire central !
zts1125e	Michol, du Temple oublié, te demande d'apporter le sac à dos du chasseur de trésors à Serena au Camp des chasseurs de trésors.
zts1126e	Serena, du Camp des chasseurs de trésors, te demande d'apporter à Riana le rapport concis sur la vraie nature du Temple de Rashid.
zts1127e	Un homme nommé Xavier
zts1128e	Xavier, de la Zone du chaos, te demande d'emprunter pour lui un peu d'argent à son ami Velmon, car il n'en a pas assez pour pouvoir s'acheter de l'alcool.
zts1129e	Velmon, de la Zone du chaos, te demande de lui apporter les ingrédients nécessaires à la préparation d'un sort qui libérera Xavier de sa dépression. Il a besoin de l'essence de fantômes des sables.
zts1130e	Velmon, de la Zone du chaos, te demande de lui apporter les ingrédients nécessaires à la préparation d'un sort qui libérera Xavier de sa dépression. Il a besoin de l'essence de fantômes des vents.
zts1131e	Velmon, de la Zone du chaos, te demande de lui apporter des ingrédients nécessaires à la préparation d'un sort qui libérera Xavier de sa dépression. Il a besoin du rhum et de la poussière de fées du Camp de Garton.
zts1132e	Velmon, de la Zone du chaos, te demande d'apporter un récipient au grand prêtre Eladin, du Temple d'Aster, pour qu'il puisse compléter le sort contre la dépression.
zts1133e	Si tu apportes le rhum spécial du grand prêtre Eladin, du Temple d'Aster, à la représentante Semia, du Quartier d'Akamur, elle l'emballera de façon à ce qu'il ait l'air flambant neuf.
zts1134e	La représentante Semia, du Quartier d'Akamur, a de nouveau empaqueté le rhum. Apporte-le à Xavier afin qu'il puisse guérir de sa dépression.
zts1135e	Xavier, de la Zone du chaos, s'est endormi. Va en informer Velmon !
zts1136e	La lettre au chef des voleurs du désert
zts1137e	La lettre au chef des voleurs du désert est déchirée en plusieurs morceaux. Retrouves-en et apporte-les à Semia, du Quartier d'Akamur, pour l'interroger à ce sujet.
zts1138e	La représente Semia, du Quartier d'Akamur, te demande d'éliminer les monstres du Désert perdu en échange de ces informations. Ensuite, va voir Velmon dans la Zone du chaos.
zts1139e	Velmon te demande d'aller aider sa patrouille dans la Zone du chaos.
zts1140e	Velmon, de la Zone du chaos, pense que tu devrais questionner Xavier pour obtenir ces informations.
zts1141e	Xavier, de la Zone du chaos, explique que la lettre lui est adressée, mais que tu devrais tout de même en parler avec Velmon pour en savoir plus.
zts1142e	La tactique des voleurs du désert
zts1143e	Xavier, de la Zone du chaos, te demande d'aller chercher de l'alcool chez Velmon, car il n'a plus un sou. C'est peut-être absurde, mais aider ne coûte rien !
zts1144e	Velmon, de la Zone du chaos, te demande de l'aider lui et sa patrouille.
zts1145e	Velmon, de la Zone du chaos, te demande de régler la situation concernant les voleurs du désert avec l'aide du représentant Rushaldin du Camp des voleurs du désert.
zts1146e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'éliminer les voleurs.
zts1147e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'aller chercher Kamil dans le Patio des voleurs.
zts1148e	Kamil te demande d'éliminer les voleurs du désert qui patrouillent près du camp des voleurs.
zts1149e	Kamil te demande d'éliminer les commandants Shoran et Shay pour contrer les plans des voleurs du désert.
zts1150e	Kamil te demande d'apporter le sceau rouillé du chef à Velmon.
zts1151e	Velmon, de la Zone du chaos, te demande de rapporter les sceaux à leur véritable propriétaire en te montrant Xavier du doigt.
zts1152e	Il est temps de se défendre
zts1153e	Velmon, de la Zone du chaos, te demande d'éliminer les monstres des Environs du chaos et du Désert perdu.
zts1154e	Velmon, de la Zone du chaos, te demande d'éliminer les voleurs du désert dans la Zone du chaos et dans le Camp de Kerus.
zts1155e	Velmon, de la Zone du chaos, te demande d'éliminer les voleurs dans le Camp de Garton.
zts1156e	La scission des voleurs du désert
zts1157e	Le journal du voyageur a été trouvé dans les souterrains du Temple d'Aster. Tu dois maintenant trouver quelqu'un qui pourrait en savoir davantage. Kamil sait peut-être quelque chose.
zts1158e	Kamil te demande d'aller chercher de la poussière de fées dans le Camp des voleurs du désert. Auparavant, tu dois cependant trouver un sac de fée en cuir.
zts1159e	Kamil te demande d'aller chercher les sacs étranges des voleurs du désert dans les environs.
zts1160e	Kamil te demande d'apporter le récipient étrange au représentant Rushaldin au Camp des voleurs du désert.
zts1161e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'apporter sa lettre et le récipient étrange de Kamil à son ami qui se trouve dans la Zone du chaos.
zts1162e	Le représentant Rushaldin, de la Zone du chaos, te demande d'apporter sa lettre à Xavier.
zts1163e	À chaque effet sa cause
zts1164e	Inspecte le sud-ouest du Camp des voleurs du désert. Profites-en aussi pour éliminer les voleurs du désert gênants.
zts1165e	Inspecte le sud-est du Camp des voleurs du désert. Profites-en aussi pour éliminer les voleurs du désert gênants.
zts1166e	Inspecte l'est du Camp des voleurs du désert. Profites-en aussi pour éliminer les voleurs du désert gênants.
zts1167e	Au Camp des voleurs du désert, trouve et inspecte le lieu où la drogue est fabriquée. Profites-en aussi pour éliminer les voleurs du désert gênants.
zts1168e	Utilise le contenu du flacon médicinal sur un voleur endormi dans le camp voleurs du désert. Observe sa réaction et fais ton rapport.
zts1169e	Kamil te demande d'apporter le rapport d'investigation au représentant Rushaldin dans le Camp des voleurs du désert.
zts1170e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'apporter le rapport concis à Velmon, dans la Zone du chaos.
zts1171e	Velmon, de la Zone du chaos, te demande d'informer Xavier des évènements du Camp des voleurs du désert.
zts1172e	La guérison des voleurs du désert
zts1173e	Le flacon médicinal étrange doit être apporté à Kamil dans le Patio des voleurs.
zts1174e	Kamil te demande d'apporter la fiole au représentant Rushaldin au plus vite dans le Camp des voleurs du désert.
zts1175e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'apporter les échantillons de drogue et la lettre secrète à son vieil ami Velmon dans la Zone du chaos.
zts1176e	Velmon, de la Zone du chaos, te raconte que Xavier sait très certainement comment produire un antidote contre cette drogue.
zts1177e	Xavier, de la Zone du chaos, te demande d'apporter un échantillon de cette drogue et la lettre au grand prêtre Eladin, son vieil ami, au Temple d'Aster.
zts1178e	Le grand prêtre Eladin a besoin des marchandises commandées aux marchands d'Akamur pour réaliser l'antidote. Renseigne-toi auprès d'eux pour savoir où en est la commande !
zts1179e	Après vérification approfondie de la liste des marchandises, la représentante Semia, du Quartier d'Akamur, explique que les marchandises pour le Temple d'Aster sont dispersées dans les camps de Kerus et de Garton.
zts1180e	Le grand prêtre Eladin, du Temple d'Aster, te demande d'apporter l'essence de fées bénie au représentant Rushaldin dans le Camp des voleurs du désert.
zts1181e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'essayer l'essence de fées bénie sur un voleur du désert endormi.
zts1182e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'apporter son rapport sur la proposition de solution à Kamil dans le Patio des voleurs.
zts1183e	Kamil te demande d'apporter son rapport sur le Camp des voleurs du désert à Velmon dans la Zone du chaos.
zts1184e	Velmon, de la Zone du chaos, te demande d'apporter le rapport sur la proposition de solution à Xavier.
zts1185e	Le chef des voleurs du désert
zts1186e	Kamil te demande de lui fournir les lettres d'ordre secrètes des commandants du Camp des voleurs du désert.
zts1187e	Kamil te demande de lui fournir les lettres d'ordre secrètes des commandants Shoran et Shay.
zts1188e	Kamil te demande d'aller parler au représentant Rushaldin dans le Camp des voleurs du désert afin de savoir où se trouve le chef.
zts1189e	Le représentant Rushaldin, du Camp des voleurs du désert, raconte que lorsque l'ancien chef est parti, un autre voleur est parti avec lui et se trouve dans la même région. Il s'agit de Velmon, de la Zone du chaos.
zts1190e	Velmon, de la Zone du chaos, ne peut rien te dire de concret, mais il connaît la personne que tu recherches : son nom est Xavier !
zts1191e	Récupération du larcin
zts1192e	Paul, de la Cité des aigles du désert, te demande de récupérer les cadeaux volés par les voleurs du désert. Tu les trouveras probablement dans les camps de Garton et de Kerus.
zts1193e	Le terrible larcin
zts1194e	Delmon Milow, de la Cité des aigles du désert, te demande de lui rapporter ses marchandises volées par les voleurs. Tu les trouveras dans les camps de Garton et de Kerus.
zts1195e	Frayeur dans la Zone du chaos
zts1196e	Delmon Milow, de la Cité des aigles du désert, dit qu'il attend des marchandises qui se trouvent toujours dans la Zone du chaos. Va voir ce qu'il en est !
zts1197e	Velmon, de la Zone du chaos, te demande d'aller parler au représentant Rushaldin, dans le Camp des voleurs du désert, à propos de la situation désespérée des habitants de la Zone du chaos.
zts1198e	Le représentant Rushaldin, du Camp des voleurs du désert, te demande d'interroger Kamil dans le Patio des voleurs.
zts1199e	Kamil te révèle fièrement les informations collectées dans l'entourage du commandant Shoran. Il s'agit apparemment des marchandises que Delmon Milow a perdues.
zts1200e	Kamil te demande d'apporter sa lettre secrète à Velmon.
zts1201e	Velmon, de la Zone du chaos, te demande d'apporter le réveil à Delmon Milow pour dissiper le malentendu.
zts1202e	L'épée en flammes
zts1203e	Cherche Benito Butler sur la Place de Port Alveus !
zts1204e	Hamakung, de la mine de Port Alveus, te demande d'apporter la demande d'aide des marchands d'Akamur au représentant Jin Hamadin dans les Environs du port.
zts1205e	Jin Hamadin te demande d'apporter sa lettre à Tom, le garde du port, au Port désertique de Mortaz.
zts1206e	Tom, le garde du Port désertique de Mortaz, te demande d'apporter les précieuses marchandises au Camp d'Akamur. Pour obtenir les précieuses marchandises, tu devras terminer la quête intitulée « Marchandises volées ».
zts1207e	Le président Noah, du Camp d'Akamur, te demande d'apporter sa lettre à Nephi dans la Cité des aigles du désert. Pour obtenir sa lettre, termine la quête sur les négociations avec les voleurs du désert.
zts1208e	Nephi, du Quartier d'Akamur, te demande d'apporter la note déchirée au grand prêtre Eladin au Temple d'Aster. Pour obtenir la note déchirée, termine la quête intitulée « Le plan des voleurs du désert ».
zts1209e	Le grand prêtre Eladin, du Temple d'Aster, te demande de transmettre son appel à l'aide à Nephi au Quartier d'Akamur. Mais pour cela, tu dois d'abord terminer la quête « Les fantômes du Patio d'Aster ».
zts1210e	Nephi, du Quartier d'Akamur, te demande d'apporter les salaires des marchands d'Akamur à Riana dans le Camp des chasseurs de trésors.
zts1211e	Riana, du Camp des chasseurs de trésors, te demande de transmettre à Michol, du Temple oublié, le rapport des enquêtes et l'offre d'assistance.
zts1212e	Michol, du Temple oublié, te demande d'apporter les morceaux de relique brisés à Riana au Camp des chasseurs de trésors. Pour pouvoir récupérer les morceaux de relique brisés, tu dois terminer la quête intitulée « Les reliques du Temple de Rashid ».
zts1213e	D'après les informations de Riana, du Camp des chasseurs de trésors, il y aurait un lien entre Xavier et les voleurs du désert. Afin de connaître la vérité, il te faut rendre un service à Xavier. Pour découvrir sa vraie identité, tu as besoin du sceau rouillé du chef. Tu ne pourras le récupérer qu'après avoir terminé la quête intitulée « Un homme nommé Xavier ».
zts1214e	Pour que Xavier reçoive les informations sur le voyageur mystérieux du Camp des voleurs du désert, tu dois d'abord questionner Kamil dans le Patio des voleurs.
zts1215e	Kamil te demande de l'aide. Quand tu te seras acquitté de tes services, il te livrera les informations sur le voyageur mystérieux. Une fois la quête « La guérison des voleurs du désert » terminée, tu recevras les documents du traître. Va en informer ensuite Velmon dans la Zone du chaos.
zts1216e	Cherche les pierres d'espace-temps.
zts1229e	Collecte les figues de cactus entamées que les renards des sables marins ont abandonnées aux Environs du port.
zts1230e	Tu as collecté les figues de cactus nécessaires. Informes-en Tom, le garde du port.
zts1231e	Dans les Environs du port, chasse les tranchants des sables marins et récolte les figues de cactus !
zts1232e	Tu as collecté toutes les figues de cactus. Informes-en Tom, le garde du port.
zts1233e	Élimine les espions de la troupe d'éclaireurs de Neil et empare-toi du sac de figues de cactus.
zts1234e	Tu t'es emparé du sac de figues de cactus. Informes-en Tom, le garde du port.
zts1235e	Va au Camp de Neil et élimine les bombardiers d'élite !
zts1236e	Tu as éliminé les bombardiers d'élite de Neil. Va en informer Hamid.
zts1237e	Élimine le commandant Neil dans son camp et trouve la lettre pour le port !
zts1238e	Tu as récupéré le rapport de Neil. Apporte-le à Tom, le garde du port.
zts1239e	Va voir Hamid, près du Camp de Neil, pour recevoir de nouvelles instructions.
zts1240e	Apporte le rapport de reconnaissance à Hamid.
zts1241e	Élimine les assassins d'élite de Neil dans le Camp de Neil.
zts1242e	Tu as éliminé les assassins d'élite de Neil. Informes-en Hamid.
zts1243e	Élimine le commandant Neil et empare-toi du 2e rapport de reconnaissance.
zts1244e	Tu t'es emparé du 2e rapport de reconnaissance. Apporte-le à Hamid.
zts1245e	Apporte le rapport de reconnaissance de Hamid à Chilton, le gardien du phare.
zts1246e	Apporte le rapport de reconnaissance au président Noah au Camp d'Akamur.
zts1247e	Va voir Hamid près du Camp de Neil.
zts1248e	Élimine les espions de la troupe d'éclaireurs de Neil et récupère le sac de figues de cactus.
zts1249e	Tu as récupéré le sac de figues de cactus. Informes-en Hamid.
zts1250e	Va au Camp de Neil et mêle les figues empoisonnées aux autres figues de cactus.
zts1251e	Tu as bien répandu les figues de cactus empoisonnées. Informes-en Hamid.
zts1252e	Élimine le commandant Neil et récupère la liste de commandements.
zts1253e	Tu as dérobé la liste de commandements au commandant. Informes-en Hamid.
zts1254e	Dépose la liste de commandements falsifiée dans la boîte aux lettres de Neil dans le Camp de Neil.
zts1255e	La liste de commandements falsifiée est en place. Informes-en Hamid.
zts1256e	Transmets le rapport de Hamid à Tom, le garde du port.
zts1257e	La requête du devin Nuki (quête journalière)
zts1258e	Le devin Nuki, de la Cité des aigles du désert, te demande de lui rapporter des tissus chauds. En échange, il te tirera les cartes de tarot.
zts1259e	Le devin Nuki, de la Cité des aigles du désert, te demande de lui procurer la pièce de cuivre de la bande des voleurs. En échange, il te tirera les cartes de tarot.
zts1260e	Le devin Nuki, de la Cité des aigles du désert, te demande de lui procurer du cuir chaud. En échange, il te tirera les cartes de tarot.
zts1261e	Le devin Nuki, de la Cité des aigles du désert, te demande de lui procurer des morceaux de métal chauds. En échange, il te lira les cartes de tarot.
zts1262e	Le devin Nuki, de la Cité des aigles du désert, te demande de lui procurer du bois chaud. En échange, il te tirera les cartes de tarot.
zts1263e	Va voir Hamid qui se cache près du Camp de Neil.
zts1264e	Trouve Shane qui est retenu prisonnier dans le Camp de Neil !
zts1265e	Élimine le maître des clés de Neil et récupère la clé.
zts1266e	Tu as récupéré la clé des voleurs du désert. Apporte-la à Shane.
zts1267e	Élimine le gardien de Neil et récupère sa clé.
zts1268e	Tu as trouvé la clé du gardien. Apporte-la à Shane.
zts1269e	Élimine les chasseurs d'élite de Neil.
zts1270e	Tu as éliminé les chasseurs d'élite de Neil. Informes-en Tom, le garde du port.
zts1271e	Inspecte les marchandises perdues qui ont été abandonnées aux Environs du port.
zts1272e	Tu as trouvé les marchandises perdues. Apporte-les à Tom, le garde du port.
zts1273e	Examine les marchandises détruites près du Camp de Neil.
zts1274e	Tu as trouvé les marchandises détruites ! Apporte-les à Hamid.
zts1275e	Inspecte les marchandises pillées au Camp de Neil.
zts1276e	Tu as trouvé les marchandises pillées. Apporte-les à Tom, le garde du port.
zts1277e	Va dans les Environs du port chasser des poissons des sables marins pour pouvoir récupérer des marchandises de peu de valeur.
zts1278e	Tu as trouvé les marchandises volées. Apporte-les à Chilton, le gardien du phare.
zts1279e	Élimine les samouraïs de la troupe d'éclaireurs de Neil sur le chemin menant près du Camp de Neil et récupère les marchandises de valeur moyenne.
zts1280e	Tu as récupéré les marchandises volées. Apporte-les à Hamid qui se trouve à l'entrée du Camp de Neil.
zts1281e	Élimine les samouraïs d'élite de Neil dans le Camp de Neil et récupère les marchandises précieuses.
zts1282e	Tu as récupéré toutes les marchandises volées. Apporte-les à Chilton, le gardien du phare, pour recevoir ta récompense.
zts1283e	Va voir Hazel au Camp d'Akamur.
zts1284e	Les marchandises volées
zts1285e	Élimine les rampants épineux des sables tempétueux dans le Camp marchand est et les poissons des sables tempétueux du Camp marchand ouest.
zts1286e	Tu as récupéré les marchandises. Apporte-les à Hazel.
zts1287e	Élimine les espions de la troupe d'éclaireurs de Kerus près du Camp de Kerus et récupère la marchandise endommagée.
zts1288e	Tu as récupéré la marchandise endommagée. Apporte-la à Hazel.
zts1289e	Inspecte le drapeau d'Akamur détruit près du Camp de Kerus.
zts1290e	Tu as inspecté le drapeau. Informes-en Hazel.
zts1291e	Inspecte les marchandises du Camp de Kerus.
zts1292e	Apporte les marchandises trouvées à Hazel dans le Camp d'Akamur.
zts1293e	Cherche les marchandises manquantes dans le Camp de Kerus.
zts1294e	Apporte le rapport au président Noah.
zts1295e	Chasse des basilics des sables tempétueux dans le Camp marchand est.
zts1296e	Tu as éliminé tous les basilics des sables tempétueux. Informes-en Hazel.
zts1297e	Chasse des protas des sables poussiéreux dans le Camp marchand ouest.
zts1298e	Tu as éliminé tous les protas des sables poussiéreux. Informes-en Hazel.
zts1299e	Chasse des scorpions des sables tempétueux près du Camp de Melki.
zts1300e	Tu as éliminé tous les scorpions des sables tempétueux. Informes-en Hazel.
zts1301e	Chasse des prédateurs des sables tempétueux près du Camp de Kerus.
zts1302e	La chasse aux scorpions des sables tempétueux est terminée. Informes-en Hazel.
zts1303e	Va voir Hazel.
zts1304e	Va voir Mursha dans le Camp de Kerus.
zts1305e	Élimine les assassins d'élite de Kerus et récupère les masques des voleurs du désert.
zts1306e	Tu as récupéré tous les masques des voleurs du désert. Apporte-les au représentant Mursha.
zts1307e	Élimine des chasseurs d'élite de Kerus et récupère des emblèmes des voleurs du désert.
zts1308e	Tu as récupéré tous les emblèmes des voleurs du désert. Apporte-les au représentant Mursha.
zts1309e	Élimine le commandant Kerus et récupère son sceau.
zts1310e	Tu as récupéré le sceau de Kerus. Apporte-le au représentant Mursha.
zts1311e	Apporte le message secret de Mursha à Hazel au Camp d'Akamur.
zts1312e	Apporte le message de Hazel au président Noah au Camp d'Akamur.
zts1313e	Apporte le coffre des listes de commandements à Hazel.
zts1314e	Va au Camp de Melki et élimine les bombardiers d'élite de Melki.
zts1315e	Va voir Humad, prisonnier dans le Camp de Melki.
zts1316e	Élimine le gardien de Melki et rapporte la clé.
zts1317e	Tu as obtenu la clé. Libère maintenant le prisonnier Humad.
zts1318e	Élimine les samouraïs d'élite de Melki.
zts1319e	Tu as éliminé tous les monstres. Informes-en Hazel.
zts1320e	Apporte le rapport de Hazel au président Noah.
zts1321e	Chasse des protas des sables tempétueux dans le Camp marchand est.
zts1322e	Tu as tué tous les protas des sables tempétueux. Informes-en Hazel.
zts1323e	Élimine les rampants des sables tempétueux dans le Camp marchand est et les samouraïs de la troupe d'éclaireurs de Melki près du Camp de Melki.
zts1324e	Tu as éliminé toutes les créatures. Informes-en Hazel.
zts1325e	Élimine le commandant Melki et les chasseurs d'élite de Melki.
zts1326e	Chasse des mantes des sables poussiéreux dans le Camp marchand ouest.
zts1327e	Tu as éliminé toutes les mantes des sables poussiéreux. Informes-en Hazel.
zts1328e	Élimine les bombardiers de la troupe d'éclaireurs de Kerus près du Camp de Kerus.
zts1329e	Tu as éliminé les bombardiers de la troupe d'éclaireurs de Kerus. Va en informer Hazel.
zts1330e	Va au Camp de Kerus et élimine le commandant et ses samouraïs d'élite.
zts1331e	Parle à la représentante Semia.
zts1332e	Va au Camp de Kerus et élimine le commandant Kerus afin de récupérer son rapport urgent.
zts1333e	Tu as récupéré le rapport urgent de Kerus. Apporte-le à la représentante Semia.
