zts1e	Spezialangriff
zts533e	Unter Level %s ist die Wahrscheinlichkeit, einen schlechten Effekt zu erhalten, um %s%% erhöht.
zts534e	Bis einschließlich Level %s beträgt die Wahrscheinlichkeit, nie einen schlechten Effekt zu erhalten, %s%%.
zts535e	Unter Level %s ist die Wahrscheinlichkeit, einen schlechten normalen Effekt zu erhalten, um %s%% erhöht.
zts536e	Unter Level %s beträgt die Wahrscheinlichkeit, nie einen schlechten normalen Effekt zu erhalten, %s%%.
zts537e	Unter Level %s ist die Wahrscheinlichkeit, einen schlechten magischen Effekt zu erhalten, um %s%% erhöht.
zts538e	Unter Level %s beträgt die Wahrscheinlichkeit, nie einen schlechten magischen Effekt zu erhalten, %s%%.
zts539e	Unter Level %s ist die Wahrscheinlichkeit, einen sehr giftigen Effekt zu erhalten, um %s%% erhöht.
zts540e	Unter Level %s beträgt die Wahrscheinlichkeit, nie einen sehr giftigen Effekt zu erhalten, %s%%.
zts541e	Unter Level %s ist die Wahrscheinlichkeit, einen Krankheitseffekt zu erhalten, um %s%% erhöht.
zts542e	Unter Level %s beträgt die Wahrscheinlichkeit, nie einen Krankheitseffekt zu erhalten, %s%%.
zts543e	Besonderes Verhalten
zts544e	Zufälliger Teleport
zts545e	Springe auf ein Gebiet.
zts546e	Stecke alle ringsherum an.
zts547e	Teleportiert dich zu einem zufälligen Ort auf der Karte.
zts548e	Springe auf jedes Objekt in einer Entfernung von %s Feld(ern).
zts549e	Verteile in einer Entfernung von %s %s an unser Team.
zts550e	Verteile in einer Entfernung von %s %s an unsere Feinde.
zts551e	Quest
zts552e	Questgeber
zts553e	Beschwört den Regeln entsprechend Monster.
zts554e	Prozentuale Heilung und prozentualer Schaden
zts555e	Prozentualer Schaden
zts556e	Verringert die HP des Gegners um %s%%.
zts557e	Durch den Schaden sind die HP um %s%% verringert.
zts558e	Transformiert die Umgebung.
zts559e	Transformiert %s in %s.
zts560e	Bezahltes Item
zts561e	Die Kraft der Schriftrolle wurde gewährt.
zts562e	Vermehrt das Gold.
zts563e	Erhöht den Goldgewinn um %s%%.
zts564e	Verändert die maximalen HP prozentual. (Benutzt nur Buff.)
zts565e	Verändert die maximalen MP prozentual. (Benutzt nur Buff.)
zts566e	Erhöht die maximalen HP um %s%%.
zts567e	Verringert die maximalen HP um %s%%.
zts568e	Erhöht die maximalen MP um %s%%.
zts569e	Verringert die maximalen MP um %s%%.
zts570e	Alle Verteidigungen sind um %s%% erhöht.
zts571e	Die zweite Spezialistenkarte.
zts572e	Bombe legen
zts573e	Bombe zünden
zts574e	Sprengkörper bei einem Angriff auslegen.
zts575e	Zerstört die Umgebung.
zts576e	Beschwört eine Bombe. Bei erneuter Aktivierung wird die Bombe ausgelöst.
zts577e	Beschwört 3 Feuerminen.
zts578e	Heiliger Atem
zts579e	Wirkt einen Buff auf den Angreifer.
zts580e	Verringert die Fähigkeiten der Feinde, die nicht das Lichtelement benutzen.
zts581e	Trifft den Angreifer mit einer Wahrscheinlichkeit von %s%% mit %s.
zts582e	Upgrade der Spezialistenkarte
zts583e	Niedrige SP-Schutzrolle
zts584e	Hohe SP-Schutzrolle
zts585e	Niedrige SP-Schutzrolle benutzen.
zts586e	Hohe SP-Schutzrolle benutzen.
zts587e	Großer Schneemann
zts588e	Kälte 1
zts589e	Kälte 2
zts590e	Ein Schneesturm. Alle stehenden Spieler erleiden bis zu 99% Schaden.
zts591e	Ein Erdbeben. Alle liegenden Spieler erleiden bis zu 99% Schaden.
zts592e	Entziehen
zts593e	Entziehen erzielen
zts594e	HP-Entzug
zts595e	Wirkt Entziehen auf den Gegner.
zts596e	Die HP des Gegners werden um %s reduziert und die HP des Spielers um diesen Wert erhöht.
zts597e	Bossmonster-Skill
zts598e	Meister Morcos
zts599e	Fügt dem Spieler, der mehr als %s Felder von dir entfernt ist, %s%% Schaden zu.
zts600e	Verliert die Reflexion und MP.
zts601e	Mit einer bestimmten Wahrscheinlichkeit gehen die verbleibenden MP verloren.
zts602e	Diesen Teil nicht benutzen.
zts603e	Mit einer Wahrscheinlichkeit von %s%% gehen %s%% der verbleibenden MP verloren.
zts604e	Spezialisierung und Buff-Resistenz
zts605e	Buff-Resistenz
zts606e	PvP-Spezialisierung
zts607e	Entfernt den Buff unter einem bestimmten Level.
zts608e	%s%% Resistenz gegen den Effekt: %s und niedriger.
zts609e	Erhöht den Schaden im PvP um %s.
zts610e	Verringert den Schaden im PvP um %s.
zts611e	Entfernt mit einer Wahrscheinlichkeit von %s%% Effekte mit Level %s oder niedriger.
zts612e	Die Explosion verursacht in einem Umkreis von %s Feldern %s%% Schaden.
zts613e	Meister Hatus
zts614e	Drachenkopfangriff
zts615e	Fügt den Spieler an einem bestimmten Ort %s%% Schaden zu.
zts616e	Lady Calvinas
zts617e	Schlange beschwören
zts618e	SE Spezialist
zts619e	Schildenergie
zts620e	Verbreiten des Buffs
zts621e	Bewegen der Aura
zts622e	Leben und Tod
zts623e	Gib die Anzahl der Buffs und den Wert des Schadens ein (1/1.000).
zts624e	Gib die Anzahl der Buffs ein.
zts625e	Das Bewegen der Aura hat Einfluss auf die Umgebung.
zts626e	Du musst nichts eingeben.
zts627e	Je weniger HP du hast, desto stärker wird der Effekt.
zts628e	4. Glacernon-Familienraid
zts629e	4. Glacernon-Skill
zts630e	Fügt allen Gegner in einem Umkreis von %s Feldern %s%% Schaden zu.
zts631e	Fügt allen Gegner in einem Umkreis von %s Feldern %s%% Schaden zu.
zts632e	Angriff des beschworenen Monsters
zts633e	Besiege das beschworene Monster.
zts634e	Fügt %s %s%% Schaden zu.
zts638e	Erhöht die maximalen HP um %s%%, allerdings nicht höher als 5000 HP.
zts639e	Verringert die maximalen HP um %s%%, allerdings nicht mehr als 5000 HP.
zts651e	Der Speedbooster erhöht deine Geschwindigkeit.
zts652e	Maximiert kurzzeitig deine Geschwindigkeit.
zts657e	Im Rumfass verstecken
zts663e	Ruft 1 %s mit einer Wahrscheinlichkeit von %s%% herbei.
zts664e	Beschwört 1 %s mit einer Wahrscheinlichkeit von %s%%. (Verschwindet nach einer gewissen Zeit wieder)
zts668e	Zieht die Aufmerksamkeit von Gegnern in der Nähe auf dich.
zts671e	Die gesamte Angriffskraft ist um %s%% erhöht.
zts672e	Die gesamte Angriffskraft ist um %s%% verringert.
zts673e	Die gesamte Verteidigungskraft ist um %s%% erhöht.
zts674e	Die gesamte Verteidigungskraft ist um %s%% verringert.
zts675e	Verändert die maximalen MP. (Geist des Bären)
zts676e	Erhöht die maximalen MP um %s%%, allerdings nicht höher als 5000 MP.
zts677e	Verringert die maximalen MP um %s%%, allerdings nicht mehr als 5000 MP.
zts678e	Vermindert die Fähigkeiten aller Gegner.
zts685e	Spiegeln des maximal erhaltenen Schadens von %s.
zts686e	Der Schaden aller Angriffe wird um %s%% mit einer Wahrscheinlichkeit von %s%% erhöht. Wenn die Verteidigung erfolgreich war, wird Energie aufgeladen.
zts687e	Der Schaden aller Angriffe wird um %s%% mit einer Wahrscheinlichkeit von %s%% verringert. Wenn die Verteidigung erfolgreich war, wird Energie aufgeladen.
zts688e	Wenn es gelungen ist, den Gegner mit diesem Skill zu besiegen, wird mit einer Wahrscheinlichkeit von %s%% %s eintreten.
zts689e	Wenn du einen Gegner verhöhnst, der einen Knockdown hat, wird mit einer Wahrscheinlichkeit von %s%% %s eintreten.
zts690e	Wenn du einen Gegner verhöhnst, der sich in einem Normalzustand befindet, wird mit einer Wahrscheinlichkeit von %s%% %s eintreten.
zts691e	Spiegelt einen schlechten Effekt des Gegners mit einer gewissen Wahrscheinlichkeit.
zts694e	Der Wirkungsbereich des Feuerkanoniers ist um %s erhöht.
zts695e	Der Wirkungsbereich des Feuerkanoniers ist um %s verringert.
zts696e	Zurückweichen vor %s Blocks des Gegners.
zts699e	Die feurigen Fähigkeiten von Vulkano werden um %s erhöht.
zts700e	Die feurigen Fähigkeiten von Vulkano werden um %s verringert.
zts704e	Verringert die Effizienz der angriffsverstärkenden Buffs des Gegners.
zts705e	Gelingt es, sich dem Angriff des Gegners zu entziehen, wird der Buff mit einer gewissen Wahrscheinlichkeit erhöht.
zts706e	Erleidet bei einem Angriff maximal %s kritischen Schaden.
zts713e	Verringert %s%% des Schadens, den du in der Reichweite deines Mitspielers erhältst. Dafür erhält dein Mitspieler %s%% deines erlittenen Schadens.
zts714e	Erhöht den vom Mitspieler übertragenen Schaden um %s%%.
zts715e	Verringert den vom Mitspieler übertragenen Schaden um %s%%.
zts716e	Die HP-Erholung ist um %s%% erhöht.
zts717e	Die HP-Erholung ist um %s%% verringert.
zts718e	Zusätzlich erhaltener Schaden durch Skill-Kombo: %s%%
zts728e	Mit einer Wahrscheinlichkeit von %s%% bewirkt das Aufopfern %s.
zts732e	Am festgelegten Standort wird mit einer Wahrscheinlichkeit von %s%% %s erzeugt.
zts733e	Am festgelegten Standort wird mit einer Wahrscheinlichkeit von %s%% %s entfernt.
zts734e	Verschwindet kurz ohne jede Spur.
zts741e	%s%% des erhaltenen Schadens wird deiner HP hinzugefügt und mit aktivem Buff erhältst du keinen weiteren Schaden.
zts742e	%s%% des erhaltenen Schadens wird deiner HP abgezogen und mit aktivem Buff du erhältst keinen weiteren Schaden.
zts745e	Der Schaden ist um %s%% erhöht durch Verwendung des Skills %s.
zts746e	Der Schaden ist um %s%% verringert durch Verwendung des Skills %s.
zts747e	Die kritische Trefferchance ist um %s%% erhöht durch Verwendung des Skills %s.
zts748e	Die kritische Trefferchance ist um %s%% verringert durch Verwendung des Skills %s.
zts752e	Erhöht den Schaden gegen %s um %s%%.
zts753e	Wenn %s einen Spieler angreift, ist der Schaden um %s%% verringert.
zts754e	Die Effektivität der Wiederherstellungsitems ist um %s%% erhöht.
zts755e	Die Effektivität der Wiederherstellungsitems ist um %s%% verringert.
zts757e	Wenn Leona die Partnerspezialistenkarte trägt, wird mit einer Wahrscheinlichkeit von %s%% %s erzeugt.
zts758e	Wenn Leona die Partnerspezialistenkarte trägt, wird mit einer Wahrscheinlichkeit von %s%% %s entfernt.
zts764e	Den Gegner aus dem Hinterhalt gezielt angreifen.
zts765e	Der Feind wird vom Falken verfolgt, gejagt und kann auch aus der Luft angegriffen werden.
zts766e	Durch den Scharfsinn des Falken wird der Feind mit der niedrigsten HP identifiziert und angegriffen. Danach wird dieser Spieler mit einem Zeichen markiert und kann intensiv von anderen attackiert werden.
zts767e	Die Verteidigung im PvP ist erhöht.
zts768e	Die Verteidigung im PvP ist um %s%% erhöht.
zts769e	Die Verteidigung im PvP ist um %s%% verringert.
zts776e	Stellt %s%% der verbliebenen HP des Gegners wieder her.
zts777e	Verringert %s%% der verbliebenen HP des Gegners.
zts778e	Wird es %s Mal verwendet, wird %s erzeugt. Kann aber maximal auf Stufe 2 ansteigen.
zts779e	Die Angriffsreichweite ist erhöht um %s.
zts780e	Die Angriffsreichweite ist verringert um %s.
zts781e	Gegen den Willen des Spielers in eine andere Richtung bewegen für %s Sekunden.
zts782e	Aus dem Hinterhalt heraus wird mit einer Wahrscheinlichkeit von %s%% %s erzeugt.
zts787e	Nach einem Heckenschützen-Angriff wird mit einer Wahrscheinlichkeit von %s%% %s erzeugt.
zts788e	Nach einem Heckenschützen-Angriff wird mit einer Wahrscheinlichkeit von %s%% %s entfernt.
zts789e	Die Angriffsreichweite aus dem Hinterhalt ist um %s erhöht.
zts790e	Bei einem Angriff aus dem Hinterhalt wird mit einer Wahrscheinlichkeit von %s%% %s erzeugt.
zts793e	Jegliche Körperkontrolle verloren. Andere Spieler können dich aus dem ewigen Eis befreien.
zts794e	Die kurze Meditation bewirkt mit einer Wahrscheinlichkeit von %s%% %s.
zts795e	Die reguläre Meditation bewirkt mit einer Wahrscheinlichkeit von %s%% %s.
zts796e	Die langwierige Meditation bewirkt mit einer Wahrscheinlichkeit von %s%% %s.
zts799e	Du erhältst %s%% des Schadens eines kritischen Treffers durch einen Heckenschützenangriff.
zts808e	Mit einer Wahrscheinlichkeit von %s%% bewegst du dich %s Feld(er) zurück.
zts810e	Schiebt den Gegner mit einer Wahrscheinlichkeit von %s%% um %s Feld(er) weg.
zts811e	Die Wirkungsdauer für einen Nahangriff ist um %s erhöht.
zts812e	Die Wirkungsdauer für einen Nahangriff ist um %s verringert.
zts813e	Die Wirkungsdauer für einen Fernangriff ist um %s erhöht.
zts814e	Die Wirkungsdauer für einen Fernangriff ist um %s verringert.
zts815e	Die Wirkungsdauer für einen Magieangriff ist um %s erhöht.
zts816e	Die Wirkungsdauer für einen Magieangriff ist um %s verringert.
zts817e	Wenn du von einem anderen Spieler getötet wirst, verringern sich seine HP um %s%%.
zts818e	Wenn du von einem anderen Spieler getötet wirst, erhöhen sich seine HP um %s%%.
zts819e	Erhöht die Angriffskraft im PvP.
zts820e	Erhöht die Angriffskraft im PvP um %s%%.
zts821e	Verringert die Angriffskraft im PvP um %s%%.
zts823e	Teleportiert zum ausgewählten Platz.
zts827e	Ruft mit einer Wahrscheinlichkeit von %s%% %s herbei.
zts828e	Stellt %s%% deiner HP wieder her.
zts829e	Verringert deine HP um %s%%.
zts831e	Kann Schafe jagen.
zts832e	Teamarena-Buff
zts833e	Teamarena-Verteidigungskraft
zts834e	Teamarena-Angriffskraft
zts835e	Mit einer Wahrscheinlichkeit von %s%% erhöht sich der erhaltene Schaden in der Teamarena um %s%%.
zts836e	Mit einer Wahrscheinlichkeit von %s%% verringert sich der erhaltene Schaden in der Teamarena um %s%%.
zts837e	Mit einer Wahrscheinlichkeit von %s%% erhöht sich die Angriffskraft während einer Attacke in der Teamarena um %s%%.
zts838e	Mit einer Wahrscheinlichkeit von %s%% verringert sich die Angriffskraft während einer Attacke in der Teamarena um %s%%.
zts840e	Nr. 1 rufen
zts841e	Nr. 2 rufen
zts842e	Nr. 3 rufen
zts843e	Zuschaueransicht
zts844e	1. Teilnehmer rufen
zts845e	2. Teilnehmer rufen
zts846e	3. Teilnehmer rufen
zts847e	Von der eigenen Ansicht zum kämpfenden Teilnehmer wechseln.
zts849e	Du kannst nun versteckte Charaktere in deiner Nähe sehen.
zts850e	Erhöhung der Erfahrungspunkte deiner Fee
zts851e	Die Erfahrungspunkte deiner Fee sind um %s%% erhöht.
zts853e	Wirft die Eichel so hart wie möglich.
zts860e	Mit einer Erfolgsquote von %s%% werden bis zu %s dunkle Klone beschworen.
zts861e	Mit einer Erfolgsquote von %s%% werden HP-regenerative Effekte zu Schaden umgekehrt.
zts862e	Wandelt den Schaden des Feindes um in einen Heilungseffekt mit %s%%-iger Erfolgsquote. Die wiederhergestellten HP und der gesammelte Schaden verschwinden nach %s Sekunden.
zts863e	Mit einer Erfolgsquote von %s%% wird die Abklingzeit des Gegnerskills um %s%% erhöht. Wenn der Skill gelingt, wird deine eigene Skill-Abklingzeit verringert.
zts864e	Mit einer Wahrscheinlichkeit von %s%% wird der durch das Schattenelement erhaltene Schaden um %s%% erhöht, sofern dich eine Schattenfee begleitet.
zts865e	Mit einer Wahrscheinlichkeit von %s%% wird der durch das Schattenelement erhaltene Schaden um %s%% verringert.
zts869e	Mit einer Wahrscheinlichkeit von %s%% wird %s angewendet, wenn ein absorbierter Geist vorhanden ist.
zts870e	Mit einer Wahrscheinlichkeit von %s%% wird %s angewendet, wenn kein absorbierter Geist vorhanden ist.
zts871e	Widersteht der erzwungenen Bewegung mit einer Wahrscheinlichkeit von %s%%.
zts873e	Die Zeitspanne für die Wiederverwendung von Magieskills ist um %s%% erhöht.
zts874e	Die Zeitspanne für die Wiederverwendung von Magieskills ist um %s%% verringert.
zts877e	Greift alle Feinde in Sichtweite an. Außer an einem gewissen Standort.
zts878e	Verringert die HP des Gegners um %s%% mit einer Wahrscheinlichkeit von %s%%.
zts879e	Die HP sind um %s%% des verursachten Schadens und mit einer Wahrscheinlichkeit von %s%% verringert.
zts883e	Beschwört einen Dornbusch in Sichtweite.
zts884e	Verwandelt das Ziel.
zts886e	Mit einer Wahrscheinlichkeit von %s%% können keine guten Effekte unter Level %s angewendet werden.
zts890e	Teleportiert schnell um %s Felder vorwärts.
zts891e	Lässt zehn Meteoriten und zusätzliche %s herabfallen.
zts892e	Teleportiert dich und %s Mitglieder zum gespeicherten Ort.
zts894e	Durch die Wut nur in der Lage, einen normalen Angriff auszuführen.
zts895e	Zieht die Aufmerksamkeit der Gegner innerhalb von 5 Feldern auf dich.
zts900e	Mit einer Wahrscheinlichkeit von %s%% werden %s%% der Verteidigung des Ziels ignoriert.
zts901e	Mit einer Wahrscheinlichkeit von %s%% wird der erhaltene kritische Schaden um %s%% verringert.
zts904e	Transformation zum Helden. Die maximalen MP werden prozentual verändert.
zts905e	Erscheinung von Ancelloan. Erhöht jeweils die maximalen HP und MP um %s%%.
zts906e	Erscheinung von Ancelloan. Verringert jeweils die maximalen HP und MP um %s%%.
zts908e	Während des Angriffs wird der Schatten des Onyxdrachen mit einer Wahrscheinlichkeit von %s%% beschworen, um eine zusätzliche Attacke einzuleiten.
zts909e	Effektklau
zts910e	Bei erfolgreichem Angriff wird ein guter Effekt unter Level %s vom Ziel gestohlen. Maximal %s Effekte.
zts912e	Wenn die Attacke erfolgreich ist, können gute Effekte unter Level %s vom Partner des Ziels gestohlen und zu Verbündeten innerhalb von 3 Feldern transferiert werden. Es können maximal %s Effekte gestohlen werden.
zts913e	Verwandlungsabbruch
zts914e	Die Verwandlung wird mit einer Wahrscheinlichkeit von %s%% abgebrochen. Kehrt zum vorherigen Zustand zurück, wenn der Effekt verschwunden ist.
zts916e	Kann für %s Sekunden nicht angreifen.
zts917e	Bricht die Verwandlung mit einer Wahrscheinlichkeit von %s%% ab. Wenn der Abbruch erfolgreich ist, kann für %s Sekunden nicht angegriffen werden. Der Charakter kehrt in den vorherigen Zustand zurück.
zts919e	Platzwechsel
zts920e	Tauscht die Position mit dem Ziel. Sobald der Effekt endet, kehrt der Charakter zur vorherigen Position zurück.
zts923e	Wenn du stirbst, wird die Menge der Rufpunkte, die du verlierst, um %s%% erhöht.
zts924e	Wenn du stirbst, wird die Menge der Rufpunkte, die du verlierst, um %s%% reduziert.
zts925e	Wenn du stirbst, wird die Menge der Heldenlevel-Erfahrungspunkte, die du verlierst, um %s%% erhöht.
zts926e	Wenn du stirbst, wird die Menge der Heldenlevel-Erfahrungspunkte, die du verlierst, um %s%% reduziert.
zts928e	Die Strafe wird vollstreckt, der Tod erwartet euch.
zts931e	Wenn du Engel angreifst, erhöht sich dein maximaler Schaden auf %s%%.
zts932e	Wenn du Engel angreifst, verringert sich dein maximaler Schaden auf %s%%.
zts933e	Wenn du Dämonen angreifst, erhöht sich dein maximaler Schaden auf %s%%.
zts934e	Wenn du Dämonen angreifst, verringert sich dein maximaler Schaden auf %s%%.
zts937e	Mit einer Wahrscheinlichkeit von %s%% wird die Abklingzeit des verwendeten Angriffsskills zurückgesetzt.
zts938e	Mit einer Wahrscheinlichkeit von %s%% wird %s innerhalb von 5 Feldern auf die Allianz angewendet.
zts939e	Mit einer Wahrscheinlichkeit von %s%% wird %s innerhalb von 5 Feldern von der Allianz entfernt.
zts940e	Mit einer Wahrscheinlichkeit von %s%% werden gute Effekte unter Lv.%s entfernt.
zts942e	Besitzt das Monster ein höheres Level als der Charakter, wird der Schaden mit einer Wahrscheinlichkeit von %s%% um %s%% erhöht.
zts943e	Besitzt das Monster ein höheres Level als der Charakter, wird der Schaden mit einer Wahrscheinlichkeit von %s%% um %s%% reduziert.
zts945e	Blockt %s schlechte Effekte unter Lv. %s.
zts947e	Deine Bewegungsgeschwindigkeit ist um %s erhöht, während du verborgen bist.
zts948e	Deine Bewegungsgeschwindigkeit ist um %s reduziert, während du verborgen bist.
zts955e	Erhaltener Ruhm ist um %s%% erhöht.
zts956e	Erhaltener Ruhm ist um %s%% verringert.
zts957e	Erhaltene Heldenerfahrung ist um %s%% erhöht.
zts958e	Erhaltene Heldenerfahrung ist um %s%% verringert.
zts959e	Während du begleitet wirst, kannst du immer nach %s Stunde(n) %s unbekannte(s) Item(s) erhalten.
zts960e	%s%% Chance, einen Verstärkungsbuff vom Gegner zu entfernen.
zts961e	Erschafft mit der Magie des Lichs einen Knochendrachen und verleiht dem Anwender "Lebenskraft des Drachen".
zts962e	Erschafft mit der Magie des Lichs einen Knochendrachen und verleiht dem Anwender "Lebenskraft des starken Drachen".
zts970e	Angriffe auf versteckte Feinde verursachen %s zusätzlichen Schaden.
zts972e	Schaden von versteckten Feinden ist um %s%% erhöht.
zts973e	Schaden von versteckten Feinden ist um %s%% verringert.
zts974e	Deckt versteckte Feinde auf %s umliegenden Feldern auf.
zts977e	Kehre ins Miniland zurück und regeneriere %s%% deiner HP. Wenn du maximale HP besitzt, erhältst du %s%% zusätzliche HP.
zts980e	Kann Skill ohne Abklingzeit %s-mal einsetzen.
zts985e	Verwandelt sich und nimmt die Drachen-Stellung ein, mit der du flammende Angriffe ausführen kannst.
zts986e	Verwandelt sich und nimmt die Haetae-Stellung ein, mit der du Angriffe mit der Kraft der Bestie ausführen kannst.
zts987e	Löst mit einer Wahrscheinlichkeit von %s%% die Abklingzeit von [%s] aus.
zts991e	Erhaltene Kampf- und Joberfahrungspunkte sind um %s%% erhöht.
zts993e	Mit einer Wahrscheinlichkeit von %s%% feuerst du einen magischen Pfeil ab, wenn du Magie oder Fernangriffskills einsetzt.
zts997e	Erhöht den Feuer-Angriffsschaden mit %s%%iger Wahrscheinlichkeit um %s%%.
zts998e	Reduziert den Feuer-Angriffsschaden mit %s%%iger Wahrscheinlichkeit um %s%%.
zts999e	In Begleitung um %s%% erhöhter Angriff auf Monster in einem versiegelten Gefäß und um %s%% erhöhter Angriff auf Monster im Land der Toten.
zts1000e	In Begleitung um %s%% reduzierter Angriff auf Monster in einem versiegelten Gefäß und um %s%% reduzierter Angriff auf Monster im Land der Toten.
zts1002e	Ausfallschritt
zts1003e	Erleuchtung
zts1004e	Mondlichtinfusion
zts1005e	Blütenhaltung
zts1006e	Mal des Mondes
zts1007e	Du weichst Angriffen aus und erzeugst %s mit einer Wahrscheinlichkeit von %s%%.
zts1008e	Wenn du einen Buff-Skill einsetzt, während Erleuchtung aktiv ist, erhältst du zusätzliche Effekte.
zts1010e	Du kannst Skills des Vollmondes einsetzen.
zts1012e	Du kannst Skills der Lotusblüte einsetzen.
zts1014e	Der nächste Schaden, den du einem Gegner mit dem Mal zufügst, wird um %s%% erhöht und verbraucht das Mal des Mondes.
zts1015e	Der nächste Schaden des Gegners wird um %s%% reduziert und verbraucht das Mal des Mondes.
zts1016e	Um %s%% erhöhter Schaden gegen Monster aus Versiegelten Gefäßen und um %s%% erhöhter Schaden gegen Monster im Land der Toten.
zts1017e	Um %s%% reduzierter Schaden gegen Monster aus Versiegelten Gefäßen und um %s%% reduzierter Schaden gegen Monster im Land der Toten.
zts1019e	Standhalten
zts1020e	Angriffsmöglichkeit
zts1021e	Mal des Vollmondes
zts1022e	Gebunden durch die Macht des Vollmondes
zts1023e	Wenn du angegriffen wirst, erzeugst du mit %s%% Wahrscheinlichkeit %s.
zts1024e	Nach Verwendung eines Angriffsskills besteht die Chance, eine zusätzliche Angriffsmöglichkeit zu erhalten.
zts1025e	Der nächste Schaden, den du einem mit dem Mal markierten Gegner zufügst, wird um %s%% erhöht und verbraucht das Mal des Vollmondes.
zts1026e	Wenn der Effekt "Gebunden durch die Macht des Mondlichts" auf deinen Gegner wirkt, löst du "Gebunden durch die Macht des Vollmondes" aus.
zts1027e	Verändert den Prozentwert des Elements.
zts1028e	Verändert den Prozentwert des Feuerelements.
zts1029e	Verändert den Prozentwert des Wasserelements.
zts1030e	Verändert den Prozentwert des Lichtelements.
zts1031e	Verändert den Prozentwert des Schattenelements.
zts1032e	Verändert die Prozentwerte aller Elemente.
zts1033e	Das Feuerelement ist um %s%% erhöht.
zts1034e	Das Feuerelement ist um %s%% reduziert.
zts1035e	Das Wasserelement ist um %s%% erhöht.
zts1036e	Das Wasserelement ist um %s%% reduziert.
zts1037e	Das Lichtelement ist um %s%% erhöht.
zts1038e	Das Lichtelement ist um %s%% reduziert.
zts1039e	Das Schattenelement ist um %s%% erhöht.
zts1040e	Das Schattenelement ist um %s%% reduziert.
zts1041e	Alle Elemente sind um %s%% erhöht.
zts1042e	Alle Elemente sind um %s%% reduziert.
zts1043e	Verändert den Prozentwert der Elementresistenz.
zts1044e	Verändert die Prozentwerte aller Resistenzen.
zts1045e	Verändert den Prozentwert der Feuerresistenz.
zts1046e	Verändert den Prozentwert der Wasserresistenz.
zts1047e	Verändert den Prozentwert der Lichtresistenz.
zts1048e	Verändert den Prozentwert der Schattenresistenz.
zts1049e	Alle Elementresistenzen sind um %s%% erhöht.
zts1050e	Alle Elementresistenzen sind um %s%% reduziert.
zts1051e	Die Feuerresistenz ist um %s%% erhöht.
zts1052e	Die Feuerresistenz ist um %s%% reduziert.
zts1053e	Die Wasserresistenz ist um %s%% erhöht.
zts1054e	Die Wasserresistenz ist um %s%% reduziert.
zts1055e	Die Lichtresistenz ist um %s%% erhöht.
zts1056e	Die Lichtresistenz ist um %s%% reduziert.
zts1057e	Die Schattenresistenz ist um %s%% erhöht.
zts1058e	Die Schattenresistenz ist um %s%% reduziert.
zts1060e	Ein fallen gelassenes Item wird mit einer gewissen Wahrscheinlichkeit erneut fallen gelassen.
zts1061e	Wenn ein Monster gejagt wird und ein Item fallen lässt, besteht eine %s%%ige Chance, dass es das gleiche Item noch einmal fallen lässt.
zts1064e	Das Element einer ausgerüsteten Fee erhöht sich um %s.
zts1065e	Das Element einer ausgerüsteten Fee reduziert sich um %s.
zts1070e	Mit einer Wahrscheinlichkeit von (Momentane HP/Maximale HP*%s)%% erhält der Gegner den Effekt [%s].
zts1071e	Mit einer Wahrscheinlichkeit von (Verlorene HP/Maximale HP*%s)%% erhält der Gegner den Effekt [%s].
zts1072e	Wenn der Angriff gelingt, erhältst du %s Ulti-Punkte.
zts1073e	Wenn du angegriffen wirst, während Abblocken aktiv ist, erhältst du %s Ulti-Punkte.
zts1074e	Du kannst Ulti-Skills einsetzen.
