zts1e	Abenteurerausbildung für Anfänger
zts675e	Ergattere den Hammer eines Stählernen Folterknechtes!
zts676e	Zerstöre die Statue des Schreckens!
zts677e	Brich das Siegel des Labyrinth der Qual!
zts678e	Sammle schwarze Diamanten!
zts679e	Lass den Schlüssel reparieren!
zts680e	Gehe zum versteckten Altar!
zts681e	Befreie Catlotte und beschütze das Siegel von Fernon!
zts682e	Hol das Schnüfflernetz!
zts683e	Gehe zum ausgewiesenen Ort!
zts685e	Fordere es heraus! Auswertung des Timespacesteins!
zts687e	Beende den Timespace mit einem höheren Level, als dem erforderten! (Setze den Modus dafür auf Rekordherausforderung.)
zts688e	Untersuche das Geheime Labor!
zts689e	Triff Anni beim Krem-Punkt im NosCamp.
zts690e	Triff den Häuptling der Koaren!
zts691e	Triff Anni!
zts692e	Gehe zum Geheimen Labor 1!
zts693e	Absolviere den Timespacestein Level 76!
zts694e	Erkläre Anni, was im geheimen Labor passiert ist!
zts695e	Bitte Doggo um Schutz!
zts696e	Absolviere den Timespacestein Level 67!
zts697e	Finde Radals Abschiedsbrief!
zts698e	Berichte Anni von deinen Untersuchungen im Labor!
zts699e	Alle haben sich verändert.
zts700e	Frage Schmuckexpertin Soraya nach ihrer Meinung zu Radals Ringen! Die Suche nach den Ringen beginnt bei der Schriftrolle der Erleuchtung im geheimen Labor 3.
zts701e	Finde die Catsys, um etwas über Radals Ringe zu lernen!
zts702e	Finde die Catsys!
zts703e	Finde jemanden, der etwas über die Perle der Dämmerung weiß!
zts704e	Gehe zur Felsenklippe!
zts705e	Besorge eisige Herzen!
zts706e	Sammle je zehn Schwertlilien und Gänseblümchen!
zts707e	Lege die gesammelten Zutaten in den Mund der Krabbenstatue!
zts708e	Absolviere den Timespacestein Level 68!
zts709e	Erzähle Catlotte, wo sich die Perle der Dämmerung befindet!
zts710e	Besorge Wasser für die Vase!
zts711e	Bringe die Wasserflasche zu Catlotte!
zts712e	Schau dich in NosVille um!
zts713e	Jage 99 kleine Erdechsen!
zts714e	Sieh nach, wie es Mimi Mentor geht!
zts715e	Jage schwache Waschbärvögel und besorge dir 99 Schwänze von ihnen!
zts716e	Hör dir an, was Calvin Coach zu sagen hat!
zts717e	Sammle je 99 Steinhammer-Stümpfe und Steinaxt-Stümpfe!
zts718e	Siehe nach, wie es Calvin Coach geht!
zts719e	Jage 99 starke Baumzombies!
zts720e	Finde heraus, was die Ursache für das verseuchte Wasser ist!
zts721e	Jage je 99 Königsblutegel und riesige Blutegel!
zts722e	Bringe Catlotte das reine Wasser!
zts723e	Gebe Catlotte das reine Wasser!
zts724e	Sieh nach, wie es den Bewohnern von NosVille geht!
zts725e	Sieh dich vor ... Irgendetwas nähert sich!
zts726e	Untersuche das Labor gründlich!
zts727e	Berichte von deinen Untersuchungen im Labor!
zts728e	Sammle Gänseblümchen und Schwertlilien!
zts729e	Lege die gesammelten Zutaten in den Mund der Krabbenstatue!
zts730e	Besorge die Perle der Dämmerung von der Riesenmuschel!
zts731e	Geh zur Katzenstube im Tannenwald und berichte davon, was mit der Perle der Dämmerung geschehen ist!
zts732e	Bringe das trübe Wasser zu Catlotte!
zts733e	Bringe das verunreinigte Wasser zu Catlotte!
zts734e	Bringe das verschmutzte Wasser zu Catlotte!
zts735e	Besorge Schwänze von Waschbärvögeln, wie von Mimi Mentor verlangt!
zts736e	Jage Stümpfe, wie von Calvin Coach verlangt!
zts737e	Jage starke Baumzombies, wie von Calvin Coach verlangt!
zts738e	Vernichte die Blutegel, die die Spuren verwischen!
zts739e	Unbekanntes Erz
zts740e	Finde Jack Lumbers Forsthaus!
zts741e	Stelle dich dem jungen Mann vor!
zts742e	Hör dir an, was Jack Lumber zu sagen hat!
zts743e	Finde heraus, warum die Yaks nicht mehr zu Jack Lumber kommen!
zts744e	Gib Jack Lumber das Glöckchen!
zts745e	Finde das bösartige Wesen, das aus den Yaks Monster gemacht hat!
zts746e	Vernichte das bösartige Wesen, das aus den Yaks Monster gemacht hat!
zts747e	Erkläre Jack Lumber, warum die Yaks bösartig geworden sind!
zts748e	Hör dir an, was Rody Windsinger zu sagen hat!
zts749e	Finde jemanden, der etwas über das unbekannte Erz wissen könnte.
zts750e	Finde heraus, wo sich das unbekannte Erz befindet!
zts751e	Finde das unbekannte Erz bei den Monstern!
zts752e	Finde das unbekannte Erz bei den Monstern!
zts753e	Folge der glitzernden Spur!
zts754e	Ist Fever sehr gefährlich?
zts755e	Informiere dich bei Catlotte über Fevers Schleim!
zts756e	Finde mehr über den Wurmschleim heraus!
zts757e	Finde die Dame, von der Doggo gesprochen hat!
zts758e	Finde Soty Bystanders Assistenten!
zts759e	Jage Wollets und finde Fevers Hautschuppe!
zts760e	Bringe Fevers Hautschuppen zu Rect Lat!
zts761e	Zeige Soty Bystander Fevers Hautschuppe!
zts762e	Jage Echsen, wie von Mimi Mentor verlangt!
zts763e	Finde die erste Zutat für den Zauber!
zts764e	Bring Soty die erste Zutat für den Zauber!
zts765e	Hol dir Hilfe von Catlotte!
zts766e	Finde die zweite Zutat für den Zauber!
zts767e	Bring Soty die zweite Zutat für den Zauber!
zts768e	Hol dir Hilfe von Teodor Topp!
zts769e	Zahle, was Teodor Topp verlangt, und besorge die Informationen!
zts770e	Finde die dritte Zutat für den Zauber!
zts771e	Bring Soty die dritte Zutat für den Zauber!
zts772e	Hol dir Hilfe von Mimi Mentor!
zts773e	Finde die vierte Zutat für den Zauber!
zts774e	Bring Soty die vierte Zutat für den Zauber!
zts775e	Hol dir Hilfe vom Häuptling der Koaren!
zts776e	Finde die fünfte Zutat für den Zauber!
zts777e	Bring Soty die fünfte Zutat für den Zauber!
zts778e	Hol dir Hilfe von Doggo!
zts779e	Finde die sechste Zutat für den Zauber!
zts780e	Bring Soty die sechste Zutat für den Zauber!
zts781e	Finde jemanden, der die siebte Zutat für den Zauber kennt!
zts782e	Finde die falsche Zutat für den Zauber!
zts783e	Gib Soty Bystander die falsche Zutat!
zts784e	Enthülle Rect Lats wahre Identität!
zts785e	Wo ist die Wahrheit?
zts786e	Höre dir an, was Rect Lat zu sagen hat!
zts787e	Finde den Alten Baum!
zts788e	Untersuche das Innere des alten Baumes!
zts789e	Werde die Monster los, die dich daran hindern, Fever zu verfolgen!
zts790e	Irgendjemand ist hier... überprüfe das!
zts791e	Gehe nach Seli-Lusha!
zts792e	Folge Eri Windspears Anweisungen!
zts793e	Erledige die Monster, die den Weg zum Untergrundpfad blockieren!
zts794e	Erledige die Monster, die den Weg zum Untergrundpfad blockieren!
zts795e	Endlich hast du das Tor zum Untergrundpfad gefunden!
zts796e	Erkunde Seli-Lusha!
zts797e	Finde endlich die Wahrheit heraus!
zts798e	Suche Korrkoaren!
zts799e	Frage Colly, wie du zu Korrkoaren gelangen kannst!
zts800e	Finde die erste Zutat für den Visionszauber!
zts801e	Finde die zweite Zutat für den Visionszauber!
zts802e	Finde die dritte Zutat für den Visionszauber!
zts803e	Übergib Colly alle für den Visionszauber benötigten Zutaten!
zts804e	Hol die Perle der Dämmerung zurück!
zts805e	Die Entscheidung von Eri Windspear und Rect Lat
zts806e	Bitte Eri Windspear um Hilfe, damit die Wiedergeburt von Latheore verhindert werden kann!
zts807e	Bitte Rect Lat um Hilfe, damit die Wiedergeburt von Latheore verhindert werden kann!
zts808e	Gehe nach Seli-Lusha, um die Wiedergeburt von Latheore zu verhindern!
zts809e	Kämpfe gegen die Engel, die sich dir in den Weg stellen!
zts810e	Kämpfe dich durch zu Fevers Kokon!
zts811e	Kämpfe gegen die Engel, die sich dir in den Weg stellen!
zts812e	Kämpfe dich durch zu Fevers Kokon!
zts813e	Verhindere die Rückkehr des Königs der Engel!
zts814e	Finde Jacks Lumbers Forsthaus!
zts815e	Die Ankunft der Dämonen
zts816e	Beschützers des Lichts
zts817e	Schau dich nach Gegenständen des Eismagiers um!
zts818e	Erkundige dich, wie du den Edelstein fertigen kannst!
zts819e	Liefere die Gegenstände des Eismagiers aus!
zts820e	Erkundige dich, wie du das Tagebuch wiederherstellen lassen kannst!
zts821e	Finde etwas über die Vergangenheit des Eismagiers heraus!
zts822e	Sag, was du im Timespace erlebt hast!
zts823e	Suche nach den Gegenständen des Zerstörers!
zts824e	Sammle Zutaten für das spezielle Bleichmittel!
zts825e	Liefere das spezielle Bleichmittel aus!
zts826e	Liefere die Gegenstände des Zerstörers aus!
zts827e	Bezahle die verlangte Summe an Gold!
zts828e	Finde etwas über die Vergangenheit des Zerstörers heraus!
zts829e	Sag, was du im Timespace erlebt hast!
zts830e	Suche nach den Gegenständen des Kreuzritters!
zts831e	Suche die heiligen Wasserflaschen!
zts832e	Liefere die heiligen Wasserflaschen aus!
zts833e	Liefere die Gegenstände des Kreuzritters aus!
zts834e	Suche nach dem Safe!
zts835e	Suche nach dem Schlüssel!
zts836e	Liefere den Safe und den Schlüssel ab!
zts837e	Finde etwas über die Vergangenheit des Kreuzritters heraus!
zts838e	Besiege Archtheridon!
zts839e	Verbreite die Nachricht, dass du Archtheridon bezwungen hast!
zts840e	Benutze Tor 1, das du von Jerico erhalten hast und stelle dich deiner ersten Aufgabe.
zts841e	Benutze Tor 2 und bestreite die Mission.
zts842e	Benutze Tor 3 und bestehe die letzte Herausforderung.
zts843e	Dunkler Rächer
zts844e	Finde die Erinnerungsfragmente!
zts845e	Suche nach etwas, das mit den Erinnerungsfragmenten zu tun hat!
zts846e	Überbringe das Stück Erinnerungsfragment!
zts847e	Überbringe die Erinnerungsfragmente!
zts848e	Suche in der Vergangenheit nach Hinweisen!
zts849e	Zahle die geforderte Summe!
zts850e	Sammle die Materialien für den Speer des Priesters!
zts851e	Überbringe den unfertigen Speer des Priesters!
zts852e	Vollende den Speer des Priesters!
zts853e	Überbringe den Speer des Priesters!
zts854e	Besiege Echekaruel Mysticaron!
zts855e	Glacernon
zts856e	Höre dir an, was Mimi Mentor zu sagen hat!
zts857e	Überbringe Mimi Mentors Brief!
zts858e	Überbringe Benito Butler den Brief!
zts859e	Gehe zum Hafen, um Leika Passage zu treffen
zts860e	Kehre zu Anni zurück!
zts861e	Gehe zu Leika Passage!
zts862e	Gehe zu Mimi Mentor!
zts863e	Teile Leika Passage mit, dass du für die Reise bereit bist!
zts864e	Erlange die Kraft der Bewahrung, gehe nach Glacernon und hole dir dort weitere Anweisungen von Leika.
zts865e	Überbringe Rudin Albisco das Empfehlungsschreiben!
zts866e	Triff Aurelius Roshu!
zts867e	Kehre zu Rudin Albisco zurück!
zts868e	Sammle Hinweise!
zts869e	Überbringe Rudin Albisco das Logbuch!
zts870e	Sammle weitere Hinweise!
zts871e	Überbringe den Aufklärungsbericht!
zts872e	Überbringe die alte Tafel!
zts873e	Sammle zusätzliche Hinweise!
zts874e	Finde heraus, wer der Verräter ist!
zts875e	Überbringe Mukrajus Magiebuch!
zts876e	Gehe zu Rudin Albisco!
zts877e	Sammle 10 Stück schlechtes Holz!
zts878e	Gehe zum Brunnen bei der Abendrotklippe!
zts879e	Bestehe den Timespace als Rekordmission, das heißt mit einer höheren Punktezahl als nötig!
zts880e	Erkundung des Labors
zts881e	Geführt von einer altehrwürdigen Seele
zts882e	Timespace bestehen
zts883e	Ein Botengang für den Weihnachtsmann
zts884e	Jage Monster, um die Kinder zu beschützen!
zts885e	Berichte dem Weihnachtsmann!
zts933e	Angriff auf den Hafen
zts934e	Hafenwache Tom aus dem Wüstenhafen Mortaz bittet dich, die Ursprünge der Hafenangriffe herauszufinden.
zts935e	Angriff auf den Hafen
zts936e	Hafenwache Tom vom Wüstenhafen Mortaz behauptet, dass man Beweise finden kann, wenn die Monster erledigt werden.
zts937e	Hafenwache Tom bittet dich, den Spähtruppspion der Wüstenräuber zu erledigen und die Kaktusfeigen zu beschaffen.
zts938e	Hafenwache Tom bittet dich, Hamid in Neils Lagerumfeld einen Brief zu überbringen.
zts939e	Hamid aus Neils Lagerumfeld bittet dich, die Wüstenräuber in Neils Lager zu beseitigen.
zts940e	Hamid aus Neils Lagerumfeld bittet dich, die Sachen, die du von Kommandant Neil beschafft hast, zu Hafenwache Tom im Wüstenhafen Mortaz zu bringen.
zts941e	Seltsame Ereignisse
zts942e	Leuchtturmwärter Chilton vom Wüstenhafen Mortaz bittet dich, zu Hamid in Neils Lagerumfeld zu gehen und seinen Anweisungen zu folgen.
zts943e	Hamid aus Neils Lagerumfeld bittet dich, den Späher der Wüstenräuber in der Umgebung zu erledigen.
zts944e	Hamid aus Neils Lagerumfeld bittet dich, Neils Lager anzugreifen und die Wüstenräuber zu erledigen.
zts945e	Hamid bittet dich, Kommandant Neil in seinem Lager zu erledigen und den hochwertigen Patrouillenbericht zu beschaffen.
zts946e	Hamid aus Neils Lagerumfeld bittet dich, den hochwertigen Patrouillenbericht zu Leuchtturmwärter Chilton zu bringen.
zts947e	Leuchtturmwärter Chilton bittet dich, den hochwertigen Patrouillenbericht dem Präsidenten Noah im Akamurlager zu überbringen.
zts948e	Hafenverteidigung
zts949e	Hafenwache Tom bittet dich, zu Hamid in Neils Lagerumfeld zu gehen und seinen Anweisungen zu folgen.
zts950e	Hamid aus Neils Lagerumfeld bittet dich, Kaktusfeigen von den Wüstenräubern zu stehlen.
zts951e	Hamid aus Neils Lagerumfeld bittet dich, die mit Aromen versetzten Kaktusfeigen in Neils Lager auszulegen.
zts952e	Hamid aus Neils Lagerumfeld bittet dich, den Auftragsstapel vom Lagerkommandanten zu beschaffen.
zts953e	Hamid aus Neils Lagerumfeld bittet dich, den manipulierten Auftragsstapel wieder zurück zu bringen.
zts954e	Hafenverteidigung
zts955e	Hamid aus Neils Lagerumfeld bittet dich, Hafenwache Tom am Wüstenhafen Mortaz etwas zu überbringen.
zts956e	Der dumme, aber wertvolle Assistent
zts957e	Hafenwache Tom bittet dich, Assistent Shane aus Neils Lager zu befreien.
zts958e	Assistent Shane in Neils Lager bittet dich, den Schlüssel der Wüstenräuber vom Schlüsselmeister zu beschaffen, damit er seine Fußketten lösen kann.
zts959e	Assistent Shane von Neils Lager bittet dich, den Schlüssel der Wüstenräuber vom Gefängniswärter zu beschaffen, damit er seine Fußketten lösen kann.
zts960e	Assistent Shane von Neils Lager bittet dich, die Wüstenräuber zu erledigen, damit er einen sicheren Fluchtweg hat.
zts961e	Verlorene Handelswaren: Teil 1
zts962e	Hafenwache Tom bittet dich, die Handelswaren der Akamurhändler aus der Umgebung zurückzubringen.
zts963e	Verlorene Handelswaren: Teil 2
zts964e	Leuchtturmwärter Chilton bittet dich, die Handelswaren in Neils Lagerumfeld zu Hamid zu bringen.
zts965e	Verlorene Handelswaren: Teil 3
zts966e	Hamid aus Neils Lagerumfeld bittet dich, die Handelswaren von den Wüstenräubern zurück zu holen und sie anschließend zu Hafenwache Tom zu bringen.
zts967e	Gestohlene Handelsgüter: Teil 1
zts968e	Leuchtturmwärter Chilton vom Wüstenhafen Mortaz bittet dich, die Monster in der Umgebung zu erledigen und die Handelswaren zurück zu bringen.
zts969e	Gestohlene Handelsgüter: Teil 2
zts970e	Leuchtturmwärter Chilton vom Wüstenhafen Mortaz bittet dich, in Neils Lagerumfeld die Handelswaren wiederzuerlangen und sie anschließend zu Hamid zu bringen.
zts971e	Gestohlene Handelsgüter: Teil 3
zts972e	Hamid aus Neils Lagerumfeld bittet dich, die Handelswaren von den Wüstenräubern zu stehlen und diese zu Leuchtturmwärter Chilton zu bringen.
zts973e	Suche die gestohlenen Handelswaren!
zts974e	Präsident Noah aus dem Akamurlager bittet dich, zu Hazel zu gehen und ihren Anweisungen zu folgen.
zts975e	Hazel aus dem Akamurlager bittet dich, die Monster im Händlerlager Ost und West zu erledigen und die Handelsartikel einzusammeln.
zts976e	Hazel aus dem Akamurlager bittet dich, die Wüstenräuber im Händlerlager West zu erledigen und die Handelsartikel einzusammeln.
zts977e	Suche die gestohlenen Handelswaren!
zts978e	Hazel aus dem Akamurlager bittet dich, die verlorene Flagge der Akamurhändler zu suchen.
zts979e	Hazel aus dem Akamurlager bittet dich, die Handelswaren von Kerus Lager zurück zu bringen.
zts980e	Hazel aus dem Akamurlager bittet dich, den Bericht Noah zu überbringen.
zts981e	Die Akamurhandelsroute
zts982e	Hazel von den Akamurhändler bittet dich, die Monster im Händlerlager Ost zu erledigen, damit die Handelsstraße wieder geöffnet werden kann.
zts983e	Hazel von den Akamurhändler bittet dich, im Händlerlager West die Monster zu erledigen, damit die Straße zur Wüstenadlerstadt geöffnet werden kann.
zts984e	Hazel von den Akamurhändler bittet dich, die Monster in Melkis Lagerumfeld zu erledigen, damit die Straße zum Händlerlager geöffnet werden kann.
zts985e	Hazel aus dem Akamurlager bittet dich, die Monster in Kerus Lagerumfeld zu erledigen, damit die Handelsstraße zwischen dem Händlerlager und der Wüstenadlerstadt geöffnet werden kann.
zts986e	Hazel aus dem Akamurlager bittet dich, Noah den Bericht zu überbringen.
zts987e	Verhandlungen mit den Wüstenräubern
zts988e	Noah aus dem Akamurlager bittet dich, Verhandlungen mit dem Repräsentanten der Wüstenräuber zu führen. Alle Vorbereitungen für die Verhandlungen werden von Hazel getroffen.
zts989e	Hazel aus dem Akamurlager bittet dich, Repräsentant Mursha in Kerus Lager das vorbereitete Dokument zu überbringen.
zts990e	Repräsentant Mursha aus Kerus Lager befiehlt den Wüstenräubern, den Abenteurer anzugreifen.
zts991e	Repräsentant Mursha aus Kerus Lager befiehlt Kommandanten Kerus, den Abenteurer anzugreifen.
zts992e	Repräsentant Mursha sagt, er habe verstanden, was ihm die Akamurhändler sagen wollen, und gibt dir einen geheimen Brief, den du den Händlern bringen sollst.
zts993e	Hazel aus dem Akamurlager bittet dich, ihren Brief Noah zu überbringen.
zts994e	Befreiung des Händlers
zts995e	Übergebe den zweiten Auftragsbericht an Hazel!
zts996e	Hazel aus dem Akamurlager bittet dich, die Wüstenräuber in Melkis Lager zu erledigen, um den dort festgehaltenen Händler zu befreien. Anschließend sollst du mit dem gefangenen Händler Humad sprechen.
zts997e	Der gefangene Händler Humad von Melkis Lager bittet dich, die Wüstenräuber zu erledigen und den Schlüssel vom Gefängniswärter zu beschaffen.
zts998e	Der gefangene Händler Humad in Melkis Lager bittet dich, die Wüstenräuber zu erledigen, damit er einen sicheren Fluchtweg hat. Anschließend sollst du mit Hazel reden.
zts999e	Hazel aus dem Akamurlager bittet dich, den Bericht über den gefangenen Händler an Noah zu überbringen.
zts1000e	Der Weg zu Melkis Lager
zts1001e	Hazel aus dem Akamurlager hat die Anweisung gegeben, die Monster im östlichen Händlerlager zu erledigen.
zts1002e	Hazel aus dem Akamurlager hat die Anweisung gegeben, die Monster und Wüstenräuber in Melkis Lagerumfeld zu erledigen.
zts1003e	Hazel aus dem Akamurlager hat die Anweisung gegeben, die Wüstenräuber und den Kommandanten Melki in Melkis Lager zu erledigen.
zts1004e	Hazel aus dem Akamurlager hat die Anweisung gegeben, Präsident Noah den Bericht zu übergeben.
zts1005e	Der Weg zu Kerus Lager
zts1006e	Hazel aus dem Akamurlager hat die Anweisung gegeben, die Monster im Händlerlager West zu erledigen.
zts1007e	Hazel aus dem Akamurlager hat die Anweisung gegeben, die Monster und die Wüstenräuber in Kerus Lagerumfeld zu erledigen.
zts1008e	Hazel aus dem Akamurlager hat die Anweisung gegeben, die Wüstenräuber in Kerus Lager und den Kommandanten Melki in Melkis Lager zu erledigen.
zts1009e	Das Vorhaben der Wüstenräuber
zts1010e	Nephi aus dem Akamurquartier hat die Anweisung gegeben, den Befehlen von Repräsentantin Semia Folge zu leisten.
zts1011e	Repräsentantin Semia aus dem Akamurquartier hat die Anweisung gegeben, den eiligen Bericht von Kommandant Keru in Kerus Lager zu beschaffen.
zts1012e	Repräsentantin Semia hat die Anweisung gegeben, der entsandten Wache Putran in Gartons Lagerumfeld zu helfen und die Wüstenräuber zu erledigen. Danach sollst du den Anweisungen von Wächter Putran Folge leisten.
zts1013e	Wache Putran aus Gartons Lagerumfeld bittet dich, die Wüstenräuber zu erledigen.
zts1014e	Wache Putran bittet dich, Gartons Lager anzugreifen und die feindlichen Bewegungen der Wüstenräuber zu beobachten.
zts1015e	Wache Putran bittet dich, Kommandant Garton in Gartons Lager zu erledigen und anschließend den eiligen Bericht der Patrouille B zu beschaffen.
zts1016e	Wache Putran aus Gartons Lagerumfeld bittet dich, den eiligen Bericht der Patrouille B schnellstmöglich zu Repräsentantin Semia im Akamurquartier zu bringen.
zts1017e	Repräsentantin Semia vom Akamurquartier übergibt dir Kommandant Kerus eiligen Bericht und ein Täschchen mit etwas Geld, welches du Xavier in der Zone des Chaos bringen sollst.
zts1018e	Repräsentantin Semia vom Akamurquartier bittet dich den Bericht Nephi zu übergeben.
zts1019e	Die letzte Verhandlung
zts1020e	Repräsentantin Semia vom Akamurquartier bittet dich, Velmon in der Zone des Chaos zu suchen und eine Möglichkeit für Verhandlungen mit den Wüstenräubern zu finden.
zts1021e	Velmon aus der Zone des Chaos bittet dich, den versiegelten Brief zu Repräsentant Rushaldin ins Wüstenräuberlager zu bringen.
zts1022e	Repräsentant Rushaldin aus dem Wüstenräuberlager bittet dich, den Wüstenräuber, der eure Unterhaltung belauscht hat, zu erledigen.
zts1023e	Repräsentant Rushaldin aus dem Wüstenräuberlager bittet dich, die merkwürdige Medizinflasche zu beschaffen.
zts1024e	Nachdem Rushaldin aus dem Wüstenräuberlager geflohen ist, musst du ihm den Weg bahnen, damit er sicher in die Zone des Chaos gelangen kann.
zts1025e	Repräsentant Rushaldin bittet dich, seinen geheimen Brief mit Informationen über die derzeitige Situation im Wüstenräuberlager einer wichtigen Person der Akamurhändler zu überreichen.
zts1026e	Repräsentantin Semia vom Akamurquartier bittet dich, den Bericht Nephi zu überreichen.
zts1027e	Kenne deinen Feind so gut wie dich selbst
zts1028e	Nephi vom Akamurquartier bittet dich den Brief zu Repräsentantin Semia zu bringen.
zts1029e	Repräsentantin Semia vom Akamurquartier bittet dich, den Brief mit der Aufschrift "Missionsname: Kenne deinen Feind wie dich selbst", Velmon aus der Zone des Chaos zu überreichen.
zts1030e	Velmon aus der Zone des Chaos bittet dich, die Wüstenräuber und Kommandant Keru in Kerus Lager zu erledigen. Des Weiteren sollst du die merkwürdige Truhe von Keru untersuchen.
zts1031e	Bringe die Skizze der Wüstenräuber zu Velmon in der Zone des Chaos!
zts1032e	Velmon aus der Zone des Chaos bittet dich, die Wüstenräuber und den Kommandanten Garton in Gartons Lager zu erledigen und anschließend Gartons merkwürdige Truhe zu untersuchen.
zts1033e	In der merkwürdigen Truhe in Gartons Lager kannst du eine Skizze der Wüstenräuber finden. Bringe sie zu Velmon aus der Zone des Chaos!
zts1034e	Velmon aus der Zone des Chaos möchte eine Beurteilung der Skizze haben und bittet dich darum, Xavier dazu zu befragen.
zts1035e	Die vervollständigte Skizze der Wüstenräuber muss Repräsentantin Semia im Akamurquartier übergeben werden.
zts1036e	Vernichtung der Wüstenräuber
zts1037e	Nephi vom Akamurquartier bittet dich, das Schreiben mit dem Befehl zum Angriff an Repräsentantin Semia zu überreichen und anschließend ihren Anweisungen Folge zu leisten.
zts1038e	Semia aus dem Akamurquartier bittet dich, die Räuber im Wüstenräuberlager anzugreifen.
zts1039e	Repräsentantin Semia vom Akamurquartier bittet dich, den Bericht über den Angriff auf das Wüstenräuberlager an Nephi zu übergeben.
zts1040e	Die Suche nach wertvollen Handelsartikeln
zts1041e	Nephi vom Akamurquartier bittet dich, den Bericht von Präsident Noah über die Suche nach den wertvollen Handelsartikeln zu Repräsentantin Semia zu bringen.
zts1042e	Dem Bericht von Repräsentantin Semia vom Akamurquartier zufolge müssen die Handelsartikel in einer Truhe in Kerus Lager sein. Suche den oberen Teil des Reliktes vom Astertempel!
zts1043e	Repräsentantin Semia vom Akamurquartier bittet dich, den unteren Teil des Reliktes vom Astertempel in Gartons Lager zu suchen, welcher irgendwo in einer Truhe zu finden ist.
zts1044e	Repräsentantin Semia vom Akamurquartier bittet dich, den mittleren Teil des Reliktes vom Astertempel zu suchen, welcher irgendwo in einer Truhe im Wüstenräuberlager zu finden ist.
zts1045e	Repräsentantin Semia vom Akamurquartier bittet dich, das Relikt des Astertempels, Hohepriester Eladin zu überbringen.
zts1046e	Der gefangene Händler
zts1047e	Nimm den Zettel mit dem Hilferuf und gehe zum Wüstenräuberlager. Suche den Gefangenen Sharif, der dort irgendwo festgehalten wird!
zts1048e	Der Gefangene Sharif aus dem Wüstenräuberlager bittet dich, den Schlüssel zu suchen, damit er befreit werden kann.
zts1049e	Der Gefangene Sharif aus dem Wüstenräuberlager bittet dich, ihn zu befreien. Nach der Befreiung musst du das Geschehene Repräsentantin Semia vom Akamurquartier berichten.
zts1050e	Das seltsame Relikt
zts1051e	Das Reliktstück muss zu Repräsentantin Semia in der Wüstenadlerstadt gebracht werden.
zts1052e	Repräsentantin Semia bittet dich, die Tasche, die das zerbrochene Reliktstück enthält, zu Nephi im Akamurquartier zu bringen.
zts1053e	Die Geister des Asterinnenhofs
zts1054e	Hohepriester Eladin vom Astertempel bittet dich, zu Priesterin Vera zu gehen und ihren Anweisungen Folge zu leisten.
zts1055e	Priesterin Vera vom Astertempel bittet dich, die Bücherei im Untergrund des Astertempels zu untersuchen.
zts1056e	Priesterin Vera vom Astertempel bittet dich, die Untergrundhöhlen am heiligen Zentrumsplatz zu untersuchen.
zts1057e	Priesterin Vera vom Astertempel bittet dich, die Gebetshalle im Asterzentrum zu untersuchen.
zts1058e	Der heilige Zentrumsplatz muss untersucht werden. Ich denke, man kann Spuren finden, die vom Ereignis am heiligen Zentrumsplatz im Untergrund des Astertempels stammen.
zts1059e	Priesterin Vera vom Astertempel bittet dich, den Bericht zu Hohepriester Eladin zu bringen.
zts1060e	Das Chaos des Astertempels
zts1061e	Priesterin Vera vom Astertempel bittet dich, Geisteressenz mitzubringen, nachdem du die Geister in der Bücherei erledigt hast.
zts1062e	Priesterin Vera vom Astertempel bittet dich, die Geisteressenz zu besorgen, nachdem du die Geister in den Untergrundhöhlen des Astertempels erledigt hast.
zts1063e	Priesterin Vera vom Astertempel bittet dich, die Geisteressenz zu besorgen, nachdem du die Geister in der Gebetshalle des Astertempels erledigt hast.
zts1064e	Priesterin Vera vom Astertempel bittet dich, die Geisteressenz zu besorgen, nachdem du die Geister am heiligen Zentrumsplatz im Astertempel erledigt hast.
zts1065e	Priesterin Vera vom Astertempel bittet dich, die magische Tasche mit der Geisteressenz, die bis jetzt gesammelt wurde, zu Hohepriester Eladin zu bringen.
zts1066e	Gehet in Frieden, ihr Geister
zts1067e	Hohepriester Eladin vom Astertempel bittet dich, zum Akamurquartier zu gehen und die schon vor einiger Zeit aufgegebene Warenliste zu überprüfen.
zts1068e	Nephi vom Akamurquartier meint, dass die Warenliste vom Astertempel bereits von Repräsentantin Semia überprüft wurde.
zts1069e	Repräsentantin Semia vom Akamurquartier sagt, dass die Waren auf der Warenliste sich in Gartons Lager befinden.
zts1070e	Repräsentantin Semia vom Akamurquartier meint, dass die Räucherstäbchen zu Hohepriester Eladin gebracht werden müssen.
zts1071e	Hohepriester Eladin bittet dich, die Seele eines Priesters, der sich irgendwo im Astertempel befindet, mit den Räucherstäbchen, die den Segen des Sonnengottes in sich tragen, zu ehren.
zts1072e	Priesterin Nora, die sich im Untergrund des Astertempels befindet, bittet dich, den Duft auf der Leiche des toten Priesters in der Bücherei zu platzieren.
zts1073e	Priesterin Nora im Untergrund des Astertempels bittet dich, den Duft auf der Leiche des toten Priesters zu platzieren.
zts1074e	Priesterin Nora im Untergrund des Astertempels bittet dich, den Duft auf der Leiche des toten Priesters in der Gebetshalle zu platzieren.
zts1075e	Priesterin Nora im Untergrund des Astertempels bittet dich, den Duft auf der Leiche des toten Schatzsuchers in der Gebetshalle zu platzieren.
zts1076e	Priesterin Nora bittet dich, den Brief eines Toten jemandem zu überreichen, der ihn lesen kann.
