zts1e	Efectos Generales
zts641e	Obtendrás esta bendición al completar la aventura Flor de Sonido.
zts642e	Fiebre de la Flor de Sonido
zts643e	Escudo de Rudi
zts644e	El escudo invisible de Rudi proporciona protección durante un momento.
zts645e	Gesto noble
zts646e	Asumes los daños por el otro jugador.
zts648e	Se libera al fantasma mediante meditación.
zts652e	El estado ha provocado una herida interna.
zts655e	Trauma cautivador
zts656e	Un estado de choque provocado por la introducción de una cuchilla.
zts657e	Falta de energía
zts658e	Evita un efecto negativo con una probabilidad determinada.
zts659e	Falta fuerte de energía
zts660e	Falta crítica de energía
zts661e	Síndrome de Kundalini
zts662e	Este estado limita enormemente tus energías corporal y mental.
zts663e	Trauma
zts664e	Trauma fuerte
zts665e	Trauma crítico
zts666e	Espíritu de sacrificio
zts667e	Burbuja de agua
zts668e	La Burbuja de agua te envuelve y protege de ataques.
zts669e	El canto de las sirenas
zts670e	El Canto de las sirenas te hace perder todo control sobre ti mismo.
zts671e	Cascada pequeña
zts672e	La velocidad de movimiento se reduce por la cascada.
zts673e	Cascada
zts674e	Cascada grande
zts675e	Electrochoque pequeño
zts676e	El Electrochoque hace que todo se ralentice durante un momento.
zts677e	Electrochoque
zts678e	Electrochoque grande
zts679e	Presión hidráulica
zts680e	La gran presión del agua lo paraliza todo durante un momento.
zts681e	Bendición del océano
zts682e	Protege de daños del enemigo mediante la bendición del mar sagrado.
zts683e	Ira del Vikingo (F)
zts684e	La Ira del Vikingo estalla.
zts685e	Ira del Vikingo (E)
zts686e	Ira del Vikingo (D)
zts687e	Ira del Vikingo (C)
zts688e	Ira del Vikingo (B)
zts689e	Ira del Vikingo (A)
zts690e	Ira del Vikingo (S)
zts691e	Golpe del niño malo (F)
zts692e	Engañar al rival con valentía y desparpajo.
zts693e	Golpe del niño malo (E)
zts694e	Golpe del niño malo (D)
zts695e	Golpe del niño malo (C)
zts696e	Golpe del niño malo (B)
zts697e	Golpe del niño malo (A)
zts698e	Golpe del niño malo (S)
zts699e	Amor de madre (F)
zts700e	El amor de madre despierta un profundo instinto de protección.
zts701e	Amor de madre (E)
zts702e	Amor de madre (D)
zts703e	Amor de madre (C)
zts704e	Amor de madre (B)
zts705e	Amor de madre (A)
zts706e	Amor de madre (S)
zts707e	Sabiduría de madre (F)
zts708e	Las mujeres pueden ser débiles, pero las madres siempre son fuertes.
zts709e	Sabiduría de madre (E)
zts710e	Sabiduría de madre (D)
zts711e	Sabiduría de madre (C)
zts712e	Sabiduría de madre (B)
zts713e	Sabiduría de madre (A)
zts714e	Sabiduría de madre (S)
zts715e	Hemorragia severa (F)
zts716e	Hemorragia severa (E)
zts717e	Hemorragia severa (D)
zts718e	Hemorragia severa (C)
zts719e	Hemorragia severa (B)
zts720e	Hemorragia severa (A)
zts721e	Hemorragia severa (S)
zts722e	Aviso de Freya (F)
zts723e	Aviso de Freya (E)
zts724e	Aviso de Freya (D)
zts725e	Aviso de Freya (C)
zts726e	Aviso de Freya (B)
zts727e	Aviso de Freya (A)
zts728e	Aviso de Freya (S)
zts729e	Disparo certero vikingo (F)
zts730e	Disparo certero vikingo (E)
zts731e	Disparo certero vikingo (D)
zts732e	Disparo certero vikingo (C)
zts733e	Disparo certero vikingo (B)
zts734e	Disparo certero vikingo (A)
zts735e	Disparo certero vikingo (S)
zts736e	Bendición de Liona
zts737e	La bendición de Liona permite ataques más eficientes.
zts738e	Especialidad de Liona
zts739e	La Especialidad de Liona te permite un ataque más eficiente.
zts740e	Aumentan la resistencia al elemento agua y la fuerza de ataque.
zts741e	Bendición del conejorejo
zts742e	La habilidad de lucha aumenta gracias a la Bendición del conejorejo.
zts743e	Discapacitado
zts744e	Disminuye el poder de ataque del adversario.
zts746e	Espíritu de aclaración
zts747e	Espíritu de la mesura
zts748e	Fuerza mental
zts749e	Herida interna-Primer grado
zts750e	Herida interna-Segundo grado
zts751e	Herida interna-Tercer grado
zts752e	Si falta energía no se puede hacer nada.
zts753e	Trampa móvil
zts754e	Si has caído víctima de la Trampa móvil, no podrás moverte durante un momento.
zts755e	Ceguera
zts756e	La niebla reduce el índice de aciertos y el plazo de efecto de tu ataque mágico.
zts757e	Emboscada
zts758e	Permanecer al acecho y esperar hasta el momento justo para atacar.
zts759e	Ataque desde emboscada
zts760e	Tender una emboscada al enemigo y atacarlo.
zts761e	Fuerza vital
zts762e	Refuerza tu fuerza vital con la energía del bosque.
zts763e	Emboscada - Posición 1
zts764e	Gracias a un movimiento prácticamente imperceptible puedes atacar con rapidez y precisión.
zts765e	Emboscada - Posición 2
zts766e	Francotirador - Posición 1
zts767e	Encontrar la posición adecuada para un ataque de francotirador. También disponible en emboscada.
zts768e	Francotirador - Posición 2
zts769e	Tiro en la cabeza
zts770e	Un tiro muy efectivo provoca un choque en el objetivo.
zts771e	Emboscada - Preparación 1
zts772e	Preparación para un ataque eficiente desde emboscada.
zts773e	Emboscada - Preparación 2
zts774e	Hielo eterno
zts775e	Estás atrapado en el Hielo eterno y no puedes hacer nada durante un tiempo.
zts776e	Bramido vehemente
zts777e	Un Bramido vehemente provoca un estado de debilidad momentáneo.
zts778e	Rigidez de Mandra
zts779e	Un aturdimiento de Mandra te hacer perder el control sobre tus nervios durante un momento.
zts780e	Veneno suave de Mandra
zts781e	El Veneno de Mandra provoca un daño considerable sobre los nervios del cuerpo.
zts782e	Veneno de Mandra
zts783e	Veneno fuerte de Madra
zts784e	Veneno mortífero de Mandra
zts785e	Evasión rápida
zts786e	Evadir un ataque al cuerpo mediante una vuelta rápida.
zts787e	En la retícula del francotirador
zts788e	Sufrir enormes daños por el ataque del francotirador.
zts789e	Ojo de águila
zts790e	El Ojo de águila te posibilita un ataque muy exacto desde una gran distancia.
zts791e	Bramido de la bestia
zts792e	La potencia de ataque de la bestia se ve reforzada por su bramido.
zts793e	Rabia de la bestia
zts794e	Glacerus está fuera de control.
zts795e	Se transmite una parte de los daños recibidos a otro jugador.
zts796e	Recibes el daño en lugar de otro jugador, con lo que aumentas tu fuerza de defensa.
zts797e	Bendición del zorro
zts798e	La Bendición del zorro aumenta tu resistencia contra el elemento fuego.
zts799e	El canto de las sirenas (JcJ)
zts800e	Fase 1: resurrección de la arena de equipos
zts801e	Durante la fase 1 de la resurrección, la capacidad de supervivencia aumenta durante un tiempo determinado.
zts802e	Fase 2: resurrección de la arena de equipos
zts803e	Durante la fase 2 de la resurrección, el poder de ataque aumenta durante un tiempo determinado.
zts804e	Fase 3: resurrección de la arena de equipos
zts805e	Durante la fase 3 de la resurrección, la capacidad de supervivencia, el poder de ataque y la velocidad de movimiento aumentan durante un tiempo determinado.
zts806e	Combinación débil
zts807e	Combinación fuerte
zts808e	Se ha aumentado el poder de ataque de la arena de equipos.
zts809e	Se ha aumentado el poder de defensa de la arena de equipos.
zts810e	Se ha aumentado la energía de la arena de equipos.
zts811e	Se ha aumentado la velocidad de movimiento de la arena de equipos.
zts812e	Vista afilada
zts813e	La Vista afilada permite desvelar a un personaje escondido durante un breve período de tiempo.
zts814e	Si todos los miembros del equipo pertenecen a la misma clase, la combinación es débil.
zts815e	Si todos los miembros del equipo pertenecen a diferentes clases, la combinación es fuerte.
zts816e	La velocidad de movimiento aumenta durante un breve período de tiempo.
zts817e	Bomba de agua
zts819e	Bendición de la marina
zts820e	El poder de defensa y la resistencia contra el agua aumentan.
zts821e	Bendición de Erenia
zts822e	La Bendición de Erenia te otorga una probabilidad del 50% de resistir todos los efectos perjudiciales.
zts823e	Bendición de Zenas
zts824e	La Bendición de Zenas bloquea el daño recibido. Pero no puedes atacar ni moverte.
zts825e	Energía astral
zts826e	La Energía astral te permite rellenar rápidamente tus MP.
zts827e	Capa de camuflaje
zts828e	Te camuflas a la perfección y nadie puede verte.
zts829e	Venganza
zts830e	Puedes moverte a la velocidad del rayo durante un breve período de tiempo.
zts832e	La Bomba de agua reduce el poder de ataque y la resistencia contra el agua.
zts835e	Aumento de los puntos de experiencia de tu hada
zts836e	Aumentan los puntos de experiencia de tu hada
zts837e	Esmog
zts838e	Abotargado
zts841e	Alas de titanio
zts842e	Optimización de titanio
zts843e	Marcha de la oscuridad (F)
zts844e	Aumenta el poder del elemento sombra.
zts845e	Marcha de la oscuridad (E)
zts846e	Marcha de la oscuridad (D)
zts847e	Marcha de la oscuridad (C)
zts848e	Marcha de la oscuridad (B)
zts849e	Marcha de la oscuridad (A)
zts850e	Marcha de la oscuridad (S)
zts851e	Fascinación (F)
zts852e	Induce a un estado de tentación.
zts853e	Fascinación (E)
zts854e	Fascinación (D)
zts855e	Fascinación (C)
zts856e	Fascinación (B)
zts857e	Fascinación (A)
zts858e	Fascinación (S)
zts859e	Poder de la oscuridad (F)
zts860e	Desata una poderosa fuerza de destrucción.
zts861e	Poder de la oscuridad (E)
zts862e	Poder de la oscuridad (D)
zts863e	Poder de la oscuridad (C)
zts864e	Poder de la oscuridad (B)
zts865e	Poder de la oscuridad (A)
zts866e	Poder de la oscuridad (S)
zts867e	Tentación (F)
zts868e	Bajo los efectos de la tentación del adversario.
zts869e	Tentación (E)
zts870e	Tentación (D)
zts871e	Tentación (C)
zts872e	Tentación (B)
zts873e	Tentación (A)
zts874e	Tentación (S)
zts875e	Malicia (F)
zts876e	Elimina a los oponentes como un rayo.
zts877e	Malicia (E)
zts878e	Malicia (D)
zts879e	Malicia (C)
zts880e	Malicia (B)
zts881e	Malicia (A)
zts882e	Malicia (S)
zts883e	Marcado (F)
zts884e	Bajo el estado mudez.
zts885e	Marcado (E)
zts886e	Marcado (D)
zts887e	Marcado (C)
zts888e	Marcado (B)
zts889e	Marcado (A)
zts890e	Marcado (S)
zts891e	Danza del fuego (F)
zts892e	Reduce la resistencia del enemigo.
zts893e	Danza del fuego (E)
zts894e	Danza del fuego (D)
zts895e	Danza del fuego (C)
zts896e	Danza del fuego (B)
zts897e	Danza del fuego (A)
zts898e	Danza del fuego (S)
zts899e	Pistola mágica
zts900e	Potencia el elemento luz y restablece HP.
zts901e	Bendición del cowboy
zts902e	Aumenta la resistencia contra el elemento luz.
zts903e	Caballo troyano
zts904e	Invoca a un caballo troyano para que ataque a los enemigos cercanos.
zts905e	Bendición del ninja
zts906e	Aumenta la resistencia contra el elemento tinieblas.
zts907e	Alas de arcángel
zts908e	Alas de archidemonio
zts909e	Golpe divino débil
zts910e	Destreza divina
zts911e	Golpe divino
zts912e	Golpe divino fuerte
zts913e	Golpe divino vigoroso
zts914e	Caos
zts915e	Causa daño al enemigo destruyendo su mente.
zts916e	Armadura de la oscuridad
zts917e	Te permite escapar del peligro de forma rápida.
zts918e	Energía oscura débil
zts919e	La energía oscura causa daño dentro del cuerpo.
zts920e	Energía oscura
zts921e	Energía oscura fuerte
zts922e	Manos malditas
zts923e	Recibe una gran cantidad de las manos malditas.
zts924e	Espejismo
zts925e	El espejismo conduce al miedo y a la decepción.
zts926e	Absorción mental
zts927e	La absorción mental es posible a través de la práctica de la autohipnosis.
zts928e	Vacío temporal fuerte
zts929e	Detiene al enemigo controlando su sensación del tiempo.
zts930e	Vacío temporal
zts931e	Vacío temporal débil
zts932e	Rueda de la fortuna intensa
zts933e	Recibe un efecto positivo alterando la sensación temporal del enemigo.
zts934e	Rueda de la fortuna
zts935e	Rueda de la fortuna débil
zts936e	Cambio de hoja
zts937e	El cambio de hoja reduce la eficacia de los objetos curativos.
zts938e	Absorción espiritual
zts939e	Permite la absorción de espíritus succionados.
zts940e	Marca de la muerte
zts941e	Ocasiona daño adicional a los que lleven esta marca de la Muerte y se expongan a la [División de los espíritus].
zts942e	Liberación espiritual
zts943e	Libera a los espíritus absorbidos y reduce el tiempo de recuperación de la técnica.
zts944e	Liberación espiritual fuerte
zts945e	Coraza suprema
zts946e	Aumenta la defensa y ayuda a resistir el movimiento forzado.
zts947e	Espíritu de la furia débil
zts948e	La rabia lanzada por el Espíritu de la furia aumenta la fuerza.
zts949e	Espíritu de la furia
zts950e	Espíritu de la furia fuerte
zts951e	Posesión
zts952e	La Posesión ocasiona daño durante la duración del efecto, y después lo transfiere al enemigo más cercano al objetivo.
zts953e	Péndulo del espíritu de la venganza
zts954e	Aumenta la capacidad de resistencia durante un momento.
zts955e	Posesión fuerte
zts956e	Se convierte en receptor de los daños mientras dura el efecto. Una vez pasado este efecto, se transfiere a los enemigos cercanos.
zts957e	El efecto se transmite a través del receptor. Mientras el efecto está en vigor, recibe el daño de forma ininterrumpida.
zts958e	Luz de Sarakael
zts959e	El poder de Sarakael está asegurado.
zts960e	Alas de fuego llameantes
zts961e	Alas de hielo gélidas
zts963e	Bendición apache
zts964e	Aumenta la resistencia al elemento fuego y se reduce el daño crítico recibido.
zts965e	Hermandad de los apaches
zts966e	Aumenta la potencia del elemento fuego e incendia a los enemigos cercanos.
zts967e	Encanto de Vulpina
zts968e	Completamente tranquilos y pacatos gracias al encanto de Vulpina.
zts969e	Botellín rojo
zts970e	Un efecto especial particular se esconde en este labrado contenedor cristalino.
zts971e	Caer engatusado (F)
zts972e	Vulpina vuelve loco a todo el mundo con su dulzura y su sensualidad.
zts973e	Caer engatusado (E)
zts974e	Caer engatusado (D)
zts975e	Caer engatusado (C)
zts976e	Caer engatusado (B)
zts977e	Caer engatusado (A)
zts978e	Caer engatusado (S)
zts979e	Cola peluda (F)
zts980e	Las nueve colas son taaan suaves...
zts981e	Cola peluda (E)
zts982e	Cola peluda (D)
zts983e	Cola peluda (C)
zts984e	Cola peluda (B)
zts985e	Cola peluda (A)
zts986e	Cola peluda (S)
zts987e	Aullido penetrante (F)
zts988e	Un agudo aullido zorruno de Vulpina.
zts989e	Aullido penetrante (E)
zts990e	Aullido penetrante (D)
zts991e	Aullido penetrante (C)
zts992e	Aullido penetrante (B)
zts993e	Aullido penetrante (A)
zts994e	Aullido penetrante (S)
zts995e	Bendición de Odín
zts996e	Aumenta la resistencia contra el elemento agua, disminuye el tiempo de espera de habilidades y restaura MP a determinados intervalos de tiempo.
zts997e	Ira de Odín
zts998e	Aumenta la resistencia contra efectos negativos y el daño de ataque.
zts999e	El poder del tigre
zts1000e	El tigre se alza.
zts1001e	Reduce la velocidad de movimiento.
zts1002e	Aceite de sésamo
zts1003e	Aceite de sésamo viejo
zts1004e	Dar vueltas
zts1005e	Marea.
zts1006e	Gran derrame de sangre (F)
zts1007e	Ha tenido lugar un gran derrame de sangre.
zts1008e	Gran derrame de sangre (E)
zts1009e	Gran derrame de sangre (D)
zts1010e	Gran derrame de sangre (C)
zts1011e	Gran derrame de sangre (B)
zts1012e	Gran derrame de sangre (A)
zts1013e	Gran derrame de sangre (S)
zts1014e	Monstruosa tempestad (F)
zts1015e	El Tornado del tigre no tiene efecto sobre monstruos o personajes de nivel alto.
zts1016e	Monstruosa tempestad (E)
zts1017e	Monstruosa tempestad (D)
zts1018e	Monstruosa tempestad (C)
zts1019e	Monstruosa tempestad (B)
zts1020e	Monstruosa tempestad (A)
zts1021e	Monstruosa tempestad (S)
zts1022e	Poder del tigre (F)
zts1023e	El tigre se alza.
zts1024e	Poder del tigre (E)
zts1025e	Poder del tigre (D)
zts1026e	Poder del tigre (C)
zts1027e	Poder del tigre (B)
zts1028e	Poder del tigre (A)
zts1029e	Poder del tigre (S)
zts1030e	Mano hábil
zts1031e	Causa un impacto crítico con cada ataque mientras dure el efecto.
zts1033e	Potaje de alubias rojas
zts1034e	Mi tesoro, tu tesoro
zts1035e	Cheongbi y Hongbi son más fuertes cuando están juntas.
zts1036e	Bendición del Diablo
zts1037e	Obtiene una bendición incompleta.
zts1038e	Zarzal
zts1039e	La magia maldita de Laurena usa espinas para inmovilizar.
zts1040e	Aroma de la maldición (Gusano)
zts1041e	La magia maldita de Laurena transforma al objetivo en un gusano.
zts1042e	Aroma de la maldición (Rata)
zts1043e	La magia maldita de Laurena transforma al objetivo en una rata.
zts1044e	Club del cuerno (F)
zts1045e	¡Cuidado, duele una barbaridad!
zts1046e	Club del cuerno (E)
zts1047e	Club del cuerno (D)
zts1048e	Club del cuerno (C)
zts1049e	Club del cuerno (B)
zts1050e	Club del cuerno (A)
zts1051e	Club del cuerno (S)
zts1052e	Clon de diablilla (F)
zts1053e	Invoca a un clon de diablilla agresiva.
zts1054e	Clon de diablilla (E)
zts1055e	Clon de diablilla (D)
zts1056e	Clon de diablilla (C)
zts1057e	Clon de diablilla (B)
zts1058e	Clon de diablilla (A)
zts1059e	Clon de diablilla (S)
zts1060e	Sombrero de diablilla (F)
zts1061e	Utiliza el don de la diablilla para esfumarse como por arte de magia.
zts1062e	Sombrero de diablilla (E)
zts1063e	Sombrero de diablilla (D)
zts1064e	Sombrero de diablilla (C)
zts1065e	Sombrero de diablilla (B)
zts1066e	Sombrero de diablilla (A)
zts1067e	Sombrero de diablilla (S)
zts1068e	Juicio de luz
zts1069e	Castiga al enemigo con una luz cegadora.
zts1070e	Juicio de luz (E)
zts1071e	Juicio de luz (D)
zts1072e	Juicio de luz (C)
zts1073e	Juicio de luz (B)
zts1074e	Juicio de luz (A)
zts1075e	Juicio de luz (S)
zts1076e	Marca resplandeciente (F)
zts1077e	Una marca que brilla con fuerza.
zts1078e	Marca resplandeciente (E)
zts1079e	Marca resplandeciente (D)
zts1080e	Marca resplandeciente (C)
zts1081e	Marca resplandeciente (B)
zts1082e	Marca resplandeciente (A)
zts1083e	Marca resplandeciente (S)
zts1084e	En nombre de Dios (F)
zts1085e	Debilita a los enemigos con el poder de Dios.
zts1086e	En nombre de Dios (E)
zts1087e	En nombre de Dios (D)
zts1088e	En nombre de Dios (C)
zts1089e	En nombre de Dios (B)
zts1090e	En nombre de Dios (A)
zts1091e	En nombre de Dios (S)
zts1092e	Energía de la purificación
zts1093e	El efecto de los polvos acaba con el ambiente lúgubre.
zts1094e	Ambiente lúgubre
zts1095e	El poder de la bruja Laurena sorbe la fuerza vital.
zts1096e	Aroma de la maldición (ardilla)
zts1097e	La magia maldita de Laurena transforma a su objetivo en una ardilla.
zts1098e	Caldero mágico
zts1099e	Permite utilizar las habilidades ligadas a elementos de los ataques enemigos.
zts1100e	Llama
zts1101e	Energía del fuego
zts1102e	Hielo
zts1103e	Energía del agua
zts1104e	Halo
zts1105e	Energía de la luz
zts1106e	Sin elemento
zts1107e	Energía neutral
zts1108e	Oscuridad
zts1109e	Carril de adelantamiento 1
zts1110e	Elimina el efecto de un ataque y causa daños de ataque adicionales.
zts1111e	Carril de adelantamiento 2
zts1112e	Carril de adelantamiento 3
zts1113e	Encantamiento
zts1114e	Maestro de los libros de encantamientos
zts1115e	Aumenta hasta el máximo la habilidad durante un tiempo determinado.
zts1116e	Polvo luminoso
zts1117e	Teñido por el Polvo luminoso. Recibe daños adicionales por la explosión sagrada.
zts1118e	Monumento
zts1119e	Guarda la ubicación para el teletransporte.
zts1120e	Iluminación
zts1121e	Bendición divina
zts1122e	Carrera y corte
zts1123e	Retrasa por culpa de una herida.
zts1124e	Juicio de la condenación
zts1125e	Inmoviliza mediante el poder de la condenación.
zts1126e	Juicio
zts1127e	No puede evitar el ataque durante un tiempo determinado.
zts1128e	Reliquia
zts1129e	Reduce una gran cantidad de regeneración.
zts1130e	Ignición
zts1131e	El poder divino se imbuye en la espada y aumenta el daño de ataque.
zts1132e	Reignición
zts1133e	El poder divino se imbuye en el cuerpo para aumentar la defensa.
zts1134e	Corrupción
zts1135e	Unifica la energía de la condenación y causa daños adicionales mediante conversión.
zts1136e	Carrera oscura
zts1137e	Se maximiza la energía para carreras.
zts1138e	Impacto lumínico (F)
zts1139e	Un gran golpe de luz.
zts1140e	Impacto lumínico (E)
zts1141e	Impacto lumínico (D)
zts1142e	Impacto lumínico (C)
zts1143e	Impacto lumínico (B)
zts1144e	Impacto lumínico (A)
zts1145e	Impacto lumínico (S)
zts1146e	Zarzal (F)
zts1147e	Unas espinas evitan el movimiento.
zts1148e	Zarzal (E)
zts1149e	Zarzal (D)
zts1150e	Zarzal (C)
zts1151e	Zarzal (B)
zts1152e	Zarzal (A)
zts1153e	Zarzal (S)
zts1154e	Aroma de la maldición (F)
zts1155e	Debilita mediante la fragancia de la maldición.
zts1156e	Aroma de la maldición (E)
zts1157e	Aroma de la maldición (D)
zts1158e	Aroma de la maldición (C)
zts1159e	Aroma de la maldición (B)
zts1160e	Aroma de la maldición (A)
zts1161e	Aroma de la maldición (S)
zts1162e	El zarzal impide el movimiento.
zts1163e	El aroma de la maldición te debilita.
zts1164e	Bendición de bruja
zts1165e	Recibe la bendición de la bruja Laurena.
zts1166e	Bravata
zts1167e	Provoca al enemigo con una hazaña valerosa.
zts1168e	Atrocidad
zts1169e	Muy enfadado e irritado.
zts1170e	Llamas del infierno (F)
zts1171e	Llamas del infierno
zts1172e	Llamas del infierno (E)
zts1173e	Llamas del infierno (D)
zts1174e	Llamas del infierno (C)
zts1175e	Llamas del infierno (B)
zts1176e	Llamas del infierno (A)
zts1177e	Llamas del infierno (S)
zts1178e	Sobrecocción (F)
zts1179e	Sobrecocción
zts1180e	Sobrecocción (E)
zts1181e	Sobrecocción (D)
zts1182e	Sobrecocción (C)
zts1183e	Sobrecocción (B)
zts1184e	Sobrecocción (A)
zts1185e	Sobrecocción (S)
zts1186e	Yesca mágica (F)
zts1187e	Reduce el daño mediante el uso de una potente yesca mágica.
zts1188e	Yesca mágica (E)
zts1189e	Yesca mágica (D)
zts1190e	Yesca mágica (C)
zts1191e	Yesca mágica (B)
zts1192e	Yesca mágica (A)
zts1193e	Yesca mágica (S)
zts1194e	Pacto de la oscuridad
zts1195e	El Pacto de la oscuridad permite atacar más rápidamente.
zts1196e	Sombra del bellaco
zts1197e	Te permite subyugar al enemigo con un ataque mortífero.
zts1198e	Pies ágiles
zts1199e	Maximiza la capacidad de esquivar para ataques físicos.
zts1200e	Escudo sacro
zts1201e	Protégete de ataques enemigos con el poder divino.
zts1202e	Tiene cierta probabilidad de ocultarte durante un tiempo aleatorio, de modo que los enemigos no te pueden detectar.
zts1203e	Caderazo
zts1204e	Ataca con agilidad, destreza y contundencia.
zts1205e	Parterre
zts1206e	El césped de este parterre pica.
zts1207e	Veneno de zanahorias
zts1208e	El Veneno de zanahorias de Lola es muy efectivo.
zts1209e	Calambre por susto
zts1210e	Intemporalidad
zts1211e	Un talento de la tortuga que ya vivió una larga vida.
zts1212e	Amor por las zanahorias
zts1213e	Atraes a las liebrecillas con una zanahoria gigante. Desaparece en cuanto se destruye la verdura gigante.
zts1214e	Parterre (F)
zts1215e	Parterre (E)
zts1216e	Parterre (D)
zts1217e	Parterre (C)
zts1218e	Parterre (B)
zts1219e	Parterre (A)
zts1220e	Parterre (S)
zts1221e	Veneno de zanahorias (F)
zts1222e	Veneno de zanahorias (E)
zts1223e	Veneno de zanahorias (D)
zts1224e	Veneno de zanahorias (C)
zts1225e	Veneno de zanahorias (B)
zts1226e	Veneno de zanahorias (A)
zts1227e	Veneno de zanahorias (S)
zts1228e	Caderazo (F)
zts1229e	Caderazo (E)
zts1230e	Caderazo (D)
zts1231e	Caderazo (C)
zts1232e	Caderazo (B)
zts1233e	Caderazo (A)
zts1234e	Caderazo (S)
zts1235e	Visar (F)
zts1236e	Objetivo localizado. Peligro inminente.
zts1237e	Visar (E)
zts1238e	Visar (D)
zts1239e	Visar (C)
zts1240e	Visar (B)
zts1241e	Visar (A)
zts1242e	Visar (S)
zts1243e	Trabazón (F)
zts1244e	La libertad de movimiento se ve reducida temporalmente por el ataque.
zts1245e	Trabazón (E)
zts1246e	Trabazón (D)
zts1247e	Trabazón (C)
zts1248e	Trabazón (B)
zts1249e	Trabazón (A)
zts1250e	Trabazón (S)
zts1251e	Fuego de apoyo (F)
zts1252e	Potencia de fuego de lo más útil.
zts1253e	Fuego de apoyo (E)
zts1254e	Fuego de apoyo (D)
zts1255e	Fuego de apoyo (C)
zts1256e	Fuego de apoyo (B)
zts1257e	Fuego de apoyo (A)
zts1258e	Fuego de apoyo (S)
zts1259e	Oración de Ancelloan
zts1260e	Bendito por el poder de Ancelloan.
zts1261e	Aparición de Ancelloan
zts1263e	Alas doradas
zts1264e	Alas de ónice
zts1265e	Punto cero (F)
zts1266e	Los MP disminuyen velozmente.
zts1267e	Punto cero (E)
zts1268e	Punto cero (D)
zts1269e	Punto cero (C)
zts1270e	Punto cero (B)
zts1271e	Punto cero (A)
zts1272e	Punto cero (S)
zts1273e	Estallido de burbujas (F)
zts1274e	Los HP disminuyen velozmente.
zts1275e	Estallido de burbujas (E)
zts1276e	Estallido de burbujas (D)
zts1277e	Estallido de burbujas (C)
zts1278e	Estallido de burbujas (B)
zts1279e	Estallido de burbujas (A)
zts1280e	Estallido de burbujas (S)
zts1281e	Los HP disminuyen velozmente. Recibe un daño enorme debido a un impacto crítico.
zts1282e	Enfriamiento relámpago (F)
zts1283e	No puede utilizar magia debido a una súbita rigidez gélida.
zts1284e	Enfriamiento relámpago (E)
zts1285e	No puede utilizar habilidades debido a una súbita rigidez gélida.
zts1286e	Enfriamiento relámpago (D)
zts1287e	Enfriamiento relámpago (C)
zts1288e	Enfriamiento relámpago (B)
zts1289e	Enfriamiento relámpago (A)
zts1290e	Enfriamiento relámpago (S)
zts1291e	No puede utilizar habilidades debido a una súbita rigidez gélida. Todas las resistencias disminuyen.
zts1292e	Niebla de hielo (F)
zts1293e	La mala visibilidad dificulta localizar al enemigo.
zts1294e	Niebla de hielo (E)
zts1295e	Niebla de hielo (D)
zts1296e	Niebla de hielo (C)
zts1297e	Niebla de hielo (B)
zts1298e	Niebla de hielo (A)
zts1299e	Niebla de hielo (S)
zts1300e	Hipotermia (F)
zts1301e	Es imposible evitar el frío congelador.
zts1302e	Hipotermia (E)
zts1303e	Hipotermia (D)
zts1304e	Hipotermia (C)
zts1305e	Hipotermia (B)
zts1306e	Hipotermia (A)
zts1307e	Hipotermia (S)
zts1308e	Velo (F)
zts1309e	Crea una fina capa de hielo para robar un efecto positivo del enemigo.
zts1310e	Velo (E)
zts1311e	Velo (D)
zts1312e	Velo (C)
zts1313e	Velo (B)
zts1314e	Velo (A)
zts1315e	Velo (S)
zts1316e	Herida brutal (F)
zts1317e	Una herida profunda y dolorosa, difícil de curar.
zts1318e	Herida brutal (E)
zts1319e	Herida brutal (D)
zts1320e	Herida brutal (C)
zts1321e	Herida brutal (B)
zts1322e	Herida brutal (A)
zts1323e	Herida brutal (S)
zts1324e	Saqueo (F)
zts1325e	Acaba con el enemigo para apropiarse de sus tesoros.
zts1326e	Saqueo (E)
zts1327e	Saqueo (D)
zts1328e	Saqueo (C)
zts1329e	Saqueo (B)
zts1330e	Saqueo (A)
zts1331e	Saqueo (S)
zts1332e	Mirada de ultratumba (F)
zts1333e	El pavor que causa el barco fantasma es helador.
zts1334e	Mirada de ultratumba (E)
zts1335e	Mirada de ultratumba (D)
zts1336e	Mirada de ultratumba (C)
zts1337e	Mirada de ultratumba (B)
zts1338e	Mirada de ultratumba (A)
zts1339e	Mirada de ultratumba (S)
zts1340e	Modo ira
zts1341e	El medidor de ira está completamente lleno.
zts1342e	Llorica
zts1343e	Erenia la olvidadiza
zts1344e	Zenas, la Vanidosa
zts1345e	¿Dónde está mi cuerno?
zts1346e	Erenia la olvidadiza ha olvidado que ya usó su cuerno.
zts1347e	¡Devuélveme los zapatos!
zts1348e	Lamenta haber lanzado su propio zapato.
zts1349e	Cuerno hecho a mano
zts1350e	Misericordia de Erenia
zts1351e	Zapatos lujosos
zts1352e	Misericordia de Zenas
zts1353e	Lucha del dolor
zts1354e	Bendición de Ancelloan
zts1355e	Misericordia de Ancelloan
zts1356e	Recibes la Misericordia de Ancelloan porque salvaste al cruzado.
zts1357e	Lamento del cruzado
zts1358e	Se alimenta del rencor del cruzado.
zts1359e	Maldición de Erenia
zts1360e	Maldición de Erenia
zts1361e	Maldición de Zenas
zts1362e	Maldición de Zenas
zts1363e	Protección de Ancelloan
