zts1e	ÈŞ½Ä(C)
zts303e	Á¤±³ÇÑ¼¦ÀÇ Ä¡¸íÅ¸ È®·üÀ» ´õ ³ô¿©ÁØ´Ù.
zts304e	ÀÏÁ¤È®·ü·Î Æò¼ÒÀÇ ¹è°¡ µÇ´Â ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts305e	°üÅëÇÇÇØ Áõ°¡
zts306e	ÇÇ¾î½Ì¼¦ÀÇ Ä¡¸íÅ¸ ¹ß»ı½Ã Ä¡¸íÇÇÇØ·®À» Áõ°¡ ½ÃÅ²´Ù
zts307e	µ¿½Ã °ø°İ
zts308e	Á¡ÇÁ¼¦½Ã ´ë»óÁÖÀ§ 1Ä­³»ÀÇ Àûµéµµ µ¿½Ã¿¡ °ø°İÇÑ´Ù
zts309e	ÄÚº¼Æ® ¼¦
zts310e	ÄÚº¼Æ®¿¡ ´ëÇØ °ø°İ·ÂÀÌ Áõ°¡ÇÑ´Ù
zts311e	¼Ó»ç °­È­
zts312e	¼Ó»çÀÇ °ø°İ·ÂÀÌ Áõ°¡ÇÑ´Ù
zts313e	°øÁß³­»ç °­È­
zts314e	°øÁß³­»çÀÇ °ø°İ·ÂÀÌ Áõ°¡ÇÑ´Ù
zts315e	¹üÀ§ Áõ°¡
zts316e	°øÁß³­»çÀÇ ¹üÀ§°¡ ´õ¿í Áõ°¡ÇÑ´Ù
zts317e	´Ü¹ß Âî¸£±â½Ã »ó´ë¿¡°Ô ÃâÇ÷À» ÀÏÀ¸Å²´Ù
zts318e	´Ü¹ß Âî¸£±â °­È­
zts319e	´Ü¹ßÂî¸£±âÀÇ °ø°İ·ÂÀ» °­È­ ½ÃÅ²´Ù
zts320e	È®·ü Áõ°¡
zts321e	ÅÍ´× Ä«¿îÆ® »ç¿ë½Ã ÀÌµ¿ºÒ°¡ È®·üÀÌ ³ô¾ÆÁø´Ù
zts322e	µ¦½ºÂ÷Â¡ÀÇ °ø°İ±â¿îÀÌ Áõ°¡ÇÑ´Ù
zts323e	ÀÌµ¿¼Óµµ Áõ°¡
zts324e	ÇìÀÌ½ºÆ®ÀÇ ÀÌµ¿¼Óµµ°¡ ´õ »¡¶óÁø´Ù
zts325e	¸ÅÀÇ ÀÇ½Ä °­È­
zts326e	¸ÅÀÇ ÀÇ½Ä½Ã °ø°İ·ÂÀÌ Ãß°¡µÈ´Ù
zts327e	¾àÃÊ±â¼ú °­È­
zts328e	ÇØµ¶°¡´ÉÇÑ µ¶ÀÇ ·¹º§À» ³ô¿©ÁØ´Ù
zts329e	¾îÁö·¯¿òµ¶ ºÎ¿©
zts330e	º¸Á¶´Ü°Ë¿¡ Ãß°¡·Î ¾îÁö·¯¿òµ¶À» ¹Ù¸¥´Ù
zts331e	¸Íµ¶ ºÎ¿©
zts332e	º¸Á¶´Ü°Ë¿¡ Ãß°¡·Î ¸Íµ¶À» ¹Ù¸¥´Ù
zts333e	¹Ğ¾î³»±â
zts334e	»ó´ë¹æÀ» µÚ·Î ¹Ğ¾î³½´Ù.
zts335e	¿¡³ÊÁöº¼Æ® °­È­
zts336e	¿¡³ÊÁöº¼Æ® °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts337e	¿¡³ÊÁö º¼Æ® »ç¿ë½Ã °ø°İ¹üÀ§°¡ ´Ã¾î³­´Ù
zts338e	½ºÆç°Ç °­È­
zts339e	½ºÆç°ÇÀÇ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts340e	»ó±Ş½Ä¹° Æ¯È­
zts341e	Æø¹ß Ãß°¡
zts342e	ÆÄÀÌ¾î º¼Æ® »ç¿ë½Ã È­¿° Æø¹ßÀÌ ÀÏ¾î³­´Ù
zts343e	ÆÄÀÌ¾îº¼Æ® °­È­
zts344e	ÆÄÀÌ¾î º¼Æ®ÀÇ °ø°İ·ÂÀ» ³ôÀÎ´Ù
zts345e	°áºù Ãß°¡
zts346e	¾ÆÀÌ½ºº¼Æ® »ç¿ë½Ã »ó´ë°¡ ¾ó¾î¹ö¸°´Ù
zts347e	¾ÆÀÌ½ºº¼Æ® °­È­
zts348e	¾ÆÀÌ½º º¼Æ®ÀÇ °ø°İ·ÂÀ» ³ôÀÎ´Ù
zts349e	¸ÅÁ÷ ¹Ì»çÀÏ °­È­
zts350e	¸ÅÁ÷¹Ì»çÀÏÀÇ °ø°İ·ÂÀ» ³ôÀÎ´Ù
zts351e	¹üÀ§Áõ°¡
zts352e	¸ÅÁ÷¹Ì»çÀÏÀÇ °ø°İ¹üÀ§°¡ Áõ°¡ÇÑ´Ù
zts353e	È­¿°±âµÕ °­È­
zts354e	È­¿°±âµÕÀÇ °ø°İ·ÂÀ» ³ôÀÎ´Ù
zts355e	Åä³×ÀÌµµ °­È­
zts356e	Åä³×ÀÌµµÀÇ °ø°İ·ÂÀ» ³ôÀÎ´Ù
zts357e	Àç»ı·Â Áõ°¡
zts358e	Àç»ıµÇ´Â HP°¡ Áõ°¡ÇÑ´Ù
zts359e	½ºÆ¿·® Áõ°¡
zts360e	»ó´ë¿¡°Ô¼­ »©¾Ñ¾Æ¿À´Â MPÀÇ ¾çÀÌ Áõ°¡ÇÑ´Ù.
zts361e	´ıºí¸µ
zts362e	¸ŞÅ×¿À
zts363e	ÁÖÀ§°ø°İ
zts364e	ÁÖÀ§°ø°İ2
zts365e	²ö²öÀÌ ¹ñ±â
zts366e	ÁÖÀ§±âÀı
zts367e	¹«Áö²ö²öÀÌ¹ñ±â
zts368e	±¤ºÎ¼ÒÈ¯
zts369e	±¤ºÎ¼ÒÈ¯2
zts370e	±¤ºÎ¼ÒÈ¯3
zts371e	°­ÇÑÁÖÀ§ÀÏ°İ(ÄËÄÚ)
zts372e	°øÁß´øÁö±â
zts373e	¹°¾î¶â±â
zts374e	¾óÀ½ÆøÇ³
zts375e	Å©¸£ÄÚ¾Æ·» µ¹·Áº£±â
zts376e	¾ÆÅ©Å©ÄÉ³Ú ´ë½¬
zts377e	ÈÄ¸£ÄËÄÚ ÁÖÀ§°ø°İ
zts378e	°ÅºÏÀÌ ÁÖÀ§°ø°İ
zts379e	´ÙÅ©À§Ä¡ ÀúÁÖ
zts380e	ºí·¯µåÀ§Ä¡ »ç·É°ø°İ
zts381e	±ÍºÎÀÎ »ç·É°ø°İ
zts382e	±ÍºÎÀÎ ¸ÁÀÚÀÇ ¼Õ
zts383e	ÄÉ³Ú µ¹ÁøÇÏ±â
zts384e	°¥±â´Á´ë µ¹ÁøÇÏ±â
zts385e	ÇÏÀ§¸ó½ºÅÍµ¹Áø
zts386e	µÕ±¸¸® ¿À¿°½ÃÅ°±â
zts387e	¿Õ°Å¹Ì Àû ´ç°Ü¿À±â
zts388e	¿Õ°Å¹ÌÁÖÀ§°ø°İ
zts389e	Äğ·°Å² ÁÖÀ§°ø°İ
zts390e	Äğ·°Å² ÀçÃ¤±â
zts391e	´õ½ºÆ®Äà ÆÄÀÌ¾îº¼
zts392e	»ş¸¦·Î¶ß ½ºÅ³
zts393e	ÆäÆ®¸®»ş ½ºÅ³1
zts394e	ÆäÆ®¸®»ş ½ºÅ³2
zts395e	NPC°­ÇÑÀÏ°İ
zts396e	¶¯¶¯ÀÌ ½½¶óÀÓ¼ÒÈ¯
zts397e	»ê»ïÀÇ È¸º¹
zts398e	»ê»ïÀÇ ÁÖÀ§°ø°İ
zts399e	Ä«½ºÆ®¶ó ³«·Ú
zts400e	Ä«½ºÆ®¶ó ¿¬±â
zts401e	½½¶óµå Æ÷È¿
zts402e	½½¶óµå µ¹´øÁö±â
zts403e	Ä«½ºÆ®¶ó ±âº»¸¶¹ı
zts404e	Àè½ºÆÄÀÌ´õ ±âº»°ø°İ
zts405e	Àè½ºÆÄÀÌ´õ °Å¹ÌÁÙ
zts406e	½½¶óµå ±âº»°ø°İ
zts407e	Ä«½ºÆ®¶óÅÚ·¹Æ÷Æ®
zts408e	´ë½¬¸¸µå¶ó´ë½¬
zts409e	Ã¶Åğ°ø°İ
zts410e	³«¼®°ø°İ
zts411e	°Å¹Ì°ø°İ
zts412e	°ËÀº¿î¼®°ø°İ
zts413e	½ºÄÃ¾ÆÃ³ ¼Ó»ç
zts414e	½ºÄÃ¾ÆÃ³ °­·ÄÇÑ¼¦
zts415e	½ºÄÃÇØ¸Ó °ø°İ
zts416e	´õ½ºÆ®Å· ÆÄÀÌ¾î½ºÅè
zts417e	¶×º¸¼öÈ£ÀÚ°¡½º
zts418e	Äù½ºÆ® ºñÈ¦´õ
zts419e	º£°Ô¶§¸®±â
zts420e	½ÃÃ¼³îÀÌ
zts421e	ÀáÀÚ±â
zts422e	½É½ÉÇØ
zts423e	¾şµå·Á³î±â
zts424e	ÀáÀÚ¸® Ã¼Á¶
zts425e	Æ¼Å¸ÀÓ
zts426e	ÅÆ¹ö¸°Ä¡±â
zts427e	±â´ë°í ½Í¾î
zts428e	¿ë¼­ÇØÁà¿ä
zts429e	Ã¥º¸±â
zts430e	¾ç¼Õ°Ë °ø°İ
zts431e	¿ö¸®¾îÀÇ ±âº»°ø°İÀÌ´Ù
zts432e	Æ®¸®ÇÃ Å©·¡½¬
zts433e	Àû¿¡°Ô °­·ÂÇÑ 3¿¬Å¸ °ø°İÀ» ÇÑ´Ù.
zts434e	¾ÆÀÌ¾ğ ½ºÅ²
zts435e	ÇÇºÎ¸¦ ¼ø°£ÀûÀ¸·Î °­Ã¶Ã³·³ ¸¸µé¾î ¹æ¾î·ÂÀ» ³ôÀÎ´Ù.
zts436e	½ºÇÉ ºí·Î¿ì
zts437e	È¸Àü·ÂÀ» ÀÌ¿ëÇØ ´ë°ËÀ» ÈÖµÑ·¯ ÀûµéÀ» °ø°İÇÑ´Ù.
zts438e	ÇÁ·Îº¸Å©
zts439e	ÁÖÀ§ÀûµéÀÌ ÀÚ½ÅÀ» °ø°İÇÏµµ·Ï ²ø¾îµéÀÎ´Ù
zts440e	ÇÇ´Ï½¬ ºí·Î¿ì
zts441e	ÇÑ¼ÕÀ¸·Î °ËÀ» ±æ°Ô Âñ·¯ ³Ö¾î ÀÏ·Ä·Î ÀÖ´Â ÀûÀ» ¸ğµÎ °ø°İÇÑ´Ù.
zts442e	»ş¿ìÆ® ÇÇ¾î
zts443e	À§ÇùÀûÀÎ °íÇÔ¼Ò¸®·Î ÀûµéÀ» °øÆ÷¿¡ ¶³°Ô ÇÑ´Ù.
zts444e	ÀÚ½Åº¸´Ù ³ôÀº ·¹º§ÀÇ »ó´ë¿¡°Ô´Â ·¹º§Â÷°¡ Å¬¼ö·Ï Àß µèÁö ¾Ê´Â´Ù.
zts445e	¼ñ´õ ¹ö½ºÆ®
zts446e	¿ŞÂÊ ¾î±ú °©¿ÊÀ¸·Î µ¹ÁøÇØ Å¸°İÀ» ÀÔÈù´Ù.
zts447e	Ç»¸®
zts448e	ÇÔ¼ºÀ» Áú·¯ ÀÚ½Å°ú ÁÖº¯ÀÇ »ç±â¸¦ ³ôÀÎ´Ù
zts449e	¾î½º ¼îÅ©
zts450e	´ë°ËÀÇ ±â¿îÀ» ¶¥¼ÓÀ¸·Î ¹ß»ê½ÃÄÑ ÁÖÀ§¸¦ °ø°İÇÑ´Ù.
zts451e	¶óÀÌÂ¡ µå·¡°ï
zts452e	È¸Àü·ÂÀ¸·Î ÆÄ¿ö¸¦ ´õÇØ ´ë°ËÀ» ¿Ã·ÁÄ¡´Â ±â¼ú·Î
zts453e	°­·ÂÇÑ ÆÄ±«·ÂÀ» °¡Áö°í ÀÖ´Ù
zts454e	±âº» º£±â
zts455e	ºí·¹ÀÌµåÀÇ ±âº» °ø°İÀÌ´Ù
zts456e	½ÊÀÚº£±â
zts457e	°ËÀ» ½ÊÀÚ¸ğ¾çÀ¸·Î ÈÖµÑ·¯ °­ÇÑ ÇÇÇØ¸¦ ÀÔÈù´Ù
zts458e	¿¡³ÊÁö ºí·¹ÀÌµå
zts459e	¹Ù´ÚÀ» °¡¸£´Â °Ë±â·Î ¸Õ°÷¿¡ ÀÖ´Â ÀûÀ» °ø°İÇÑ´Ù.
zts460e	Ã¼ÀÎ¾îÅÃ
zts461e	ºü¸¥ 3¿¬Å¸ °ø°İÀ¸·Î ÀûÀ» Á¤½Å¾øÀÌ ¸¸µç´Ù.
zts462e	°Ë³¯¹æ¾î
zts463e	¼ø°£ÀûÀ¸·Î ÀûÀÇ °ø°İÀ» ¸·¾Æ³»¸é¼­ ±×¸¸Å­ ÀÚ½ÅÀÇ ±â¸¦ Áõ°¡½ÃÅ²´Ù.
zts464e	°Ë±âÆøÇ³
zts465e	»ç¹æÀ¸·Î ºñ¹Ù¶÷ÀÌ ¸ô¾ÆÄ¡µí °ø°İÇÏ´Â °Ë¹ı
zts466e	Àü±¤¼®È­
zts467e	ÀÏÁ¤°Å¸®¸¦ ºûÀÇ ¼Óµµ·Î ÀüÁøÇÏ¿© ¹ßµµ¼úÀ» ÇÑ´Ù.
zts468e	Àç»ıÈ£Èí
zts469e	ÂªÀº ¸í»óÀ¸·Î Ã¼·Â°ú Á¤½Å·ÂÀ» È¸º¹½ÃÅ²´Ù
zts470e	ÀÏ°İÇÊ»ì
zts471e	±â¸¦ ²ø¾î¸ğ¾Æ ³ĞÀº ¹İ°æÀ» ¼ø½Ä°£¿¡ º£´Â ±â¼ú
zts472e	»şÇÁ¿§Áö
zts473e	ÀÚ½ÅÀÌ »ç¿ëÇÏ´Â °ËÀÇ ³¯À» ¿¹¸®ÇÏ°Ô ÇÑ´Ù
zts474e	´í½Ì¼Òµå
zts475e	°ËÀ» ³¯·Á ÀÚ±â ÁÖÀ§ÀÇ ÀûµéÀ» º£¾î³Ñ±ä´Ù
zts476e	È£Å©¾ÆÀÌ
zts477e	ÀÏÁ¤½Ã°£ ÀÚ½ÅÀÌ³ª Å¸ÀÎÀÇ ¸íÁß·üÀ» ÀÏÁ¤ÇÏ°Ô À¯Áö½ÃÅ²´Ù.
zts478e	Çìµå ¼¦
zts479e	Á¤È®ÇÑ Á¶ÁØÀ¸·Î Ä¡¸í»óÀ» ÀÔÈù´Ù
zts480e	À©µå¿öÄ¿
zts481e	ÀÏÁ¤½Ã°£ ÀÚ½ÅÀÌ³ª Å¸ÀÎÀÇ ÀÌµ¿¼Óµµ¸¦ Áõ°¡½ÃÅ²´Ù
zts482e	ÇÃ·¡½Ã ¹ğ
zts483e	¼¶±¤ÅºÀ» ½î¾Æ ÀûµéÀÇ ´«À» ¸Ö°Ô ÇÑ´Ù.
zts484e	Æ®¸®ÇÃ ¿¡·Î¿ì
zts485e	ºü¸£°í ¿¬¼ÓÀûÀÎ È­»ì·Î ¿©·¯¸íÀÇ ÀûµéÀ» °ø°İÇÑ´Ù
zts486e	·¹ÀÎÁö ºÎ½ºÆ®
zts487e	¸Å¿ì ¸Õ°Å¸®ÀÇ Àû¿¡°Ô °­·ÂÇÑ °ø°İÀ» ÇÑ´Ù
zts488e	½ºÅ©·ù º¼Æ®
zts489e	°­·ÂÇÏ°Ô È¸ÀüÇÏ´Â È­»ì·Î Áö³ªÄ¡´Â Àûµé ¸ğµÎ¿¡°Ô ÇÇÇØ¸¦ ÁØ´Ù
zts490e	Ä¿¹ö¸µ ÆÄÀÌ¾î
zts491e	ÀÚ±â ÁÖº¯À¸·Î ¼ö¸¹Àº È­»ìÀ» ³­»çÇÑ´Ù.
zts492e	·¡ÇÇµå
zts493e	ÀÏÁ¤½Ã°£ ¸ğµç ±â¼úÀÇ Àç»ç¿ë½Ã°£ÀÌ °¨¼ÒÇÑ´Ù
zts494e	½ã´õ ½ºÅè
zts495e	ÀÏÁ¤Áö¿ª¿¡ Æø¿ì¿Íµµ °°Àº È­»ìºñ¸¦ ÆÛº×´Â´Ù.
zts496e	´Ü°Ë°ø°İ
zts497e	¾î½Ø½ÅÀÇ ±âº»°ø°İÀÌ´Ù
zts498e	Å©¸® ¾÷
zts499e	°ø°İÀÇ ÁıÁß·ÂÀ» ÀÏÁ¤½Ã°£ ³ô¿© Å©¸®Æ¼ÄÃ È®·üÀÌ ³ô¾ÆÁø´Ù
zts500e	½½·¡½¬
zts501e	ºü¸£°í °­·ÄÇÑ °ø°İÀ» »ó´ë¿¡°Ô °¡ÇÑ´Ù
zts502e	µö ½º¸ğ±×
zts503e	Â£Àº ¾È°³¸¦ ¸¸µé¾î ÁÖº¯ ¸ó½ºÅÍÀÇ ¸íÁß·üÀ» ³·Ãá´Ù.
zts504e	»ç½½³´ ´øÁö±â
zts505e	»ç½½³´À» ´øÁ® »ó´ë¹æÀ» ÀÚ½ÅÀÇ ¾ÕÀ¸·Î ²ø°í ¿Â´Ù.
zts506e	Á¡ÇÁ·Î °ø°İÀ» È¸ÇÇÇÑ´Ù.
zts507e	¼º°øÀûÀ¸·Î È¸ÇÇ½Ã ÀÏÁ¤·®ÀÇ ±â¿îÀÌ ÃæÀüµÈ´Ù.
zts508e	Åä¸¶È£Å©
zts509e	¾Ï±â¸¦ ¿©·¯¹ß ³¯·Á ÀûÀ» °ø°İÇÑ´Ù.
zts510e	»õµµ¿ì
zts511e	Àº½ÅÇÑ´Ù. Àº½Å ÈÄ¿¡´Â °ø°İÇÏ°Å³ª ´çÇÏ¸é Ç®¸°´Ù.
zts512e	½ºÅè ½½·¡½¬
zts513e	´Ü°ËÀ» ¾ç¼Õ¿¡ Áã°í ºü¸£°Ô ¿©·¯ ¹ø µ¹¾Æ ÁÖÀ§ °ø°İÀ» ÇÑ´Ù.
zts514e	µ¥µé¸® ½ºÆ®¶óÀÌÅ©
zts515e	ÀûÀ» ±Ş½ÀÇØ Ä¡¸íÀûÀÎ ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts516e	¼¨µµ¿ì »óÅÂ¿¡¼­ »ç¿ëÇØ¾ß È¿°úÀûÀÌ´Ù.
zts517e	Æø·ÄÅº
zts518e	´ıºí¸µ°ú ÇÔ²² ¹ß¾Æ·¡ ÆøÅºÀ» ÅÍÆ®¸°´Ù.
zts519e	´ıºí¸µ°ú µ¿ÀÏÇÑ ±â´Éµµ ÇÑ´Ù.
zts520e	·¹µå ¸ÅÁö¼ÇÀÇ ±âº»°ø°İÀÌ´Ù.
zts521e	ÆÄÀÌ¾î ¹ö½ºÆ®
zts522e	ÀÏÁ¤ ´ë»ó¿¡ ÀÛÀº Æø¹ßÀ» ÀÏÀ¸Å²´Ù
zts523e	ÆÄÀÌ¾î ºê·¹½º
zts524e	°­·ÂÇÑ ºÒÀÇ ¼û°áÀ» ³»»Õ¾î »ó´ë¸¦ ÅÂ¿î´Ù
zts525e	¸¶³ª Æ®·£½ºÇ»Àü
zts526e	ÀÚ½ÅÀÇ »ı¸í·ÂÀ» ÀÏºÎ ¼ÒºñÇØ ¸¶³ª¸¦ Ã¤¿î´Ù
zts527e	ÆÄÀÌ¾î ½ºÅè
zts528e	ºÒÀÇ ÆøÇ³À¸·Î ÁÖº¯ÀÇ ÀûµéÀ» ÅÂ¿î´Ù
zts529e	ÆÄÀÌ¾î ·£½º
zts530e	ÇÏ´Ã¿¡¼­ ºÒÀÇ Ã¢À» ¼ÒÈ¯ÇØ ÀûÀ» °üÅë½ÃÅ²´Ù.
zts531e	ÆÄÀÌ¾î ºí·¹½Ì
zts532e	ÀÚ½Å°ú ÁÖº¯ ¾Æ±ºÀÇ ºÒ±â¿î°ú ºÒÀúÇ×·ÂÀ» »ó½Â½ÃÅ²´Ù.
zts533e	ÆÄÀÌ¾î ¿ù
zts534e	ÀÏÀÚ·ÎµÈ ºÒÀÇ º®À» ¼ÒÈ¯ÇØ ÀûµéÀ» °ø°İÇÑ´Ù
zts535e	¸ŞÅ×¿À ½º¿ú
zts536e	¿î¼®µéÀ» ¼ÒÈ¯ÇØ Àû ÁÖº¯¿¡ ¸¶±¸ ¶³¾î¶ß¸°´Ù.
zts537e	ÀÎÆä¸£³ë
zts538e	ÁÖº¯ÀÌ ¹«Áß·Â »óÅÂ°¡ µÇ¸é¼­ °­·ÄÇÑ ºÒ±â¿îÀÌ ¼Ú¾Æ³­´Ù.
zts539e	¸ŞÅ×¿À ½ºÆ®¶óÀÌÅ©
zts540e	°Å´ëÇÑ ¿î¼®À» ¼ÒÈ¯ÇØ Å¸°Ù°ú ±× ÁÖº¯À» ÆÄ±«ÇÑ´Ù
zts541e	È¦¸®¾îÅÃ
zts542e	¼º½º·± ºû ±¸Ã¼¸¦ ³¯·Á ÀûÀ» °ø°İÇÑ´Ù.
zts543e	MP°¡ ¼Ò¸ğµÇÁö ¾Ê´Â Æ¯º°ÇÑ ¸¶¹ıÀÌ´Ù.
zts544e	Èú¸µ
zts545e	¼±ÅÃÇÑ »ó´ëÀÇ ÇÇ¸¦ ÀÏÁ¤·® Ã¤¿î´Ù
zts546e	È¦¸® ¶óÀÌÆ®
zts547e	½Å¼ºÇÑ ºû±âµÕÀÌ ÇÏ´Ã¿¡¼­ ³»·Á¿Í Àû¿¡°Ô ÇÇÇØ¸¦ ÁØ´Ù
zts548e	¸¶³ª ½Çµå
zts549e	ÀÚ½ÅÀÇ ÁÖÀ§¿¡ º¸È£¸·ÀÌ »ı±ä´Ù.
zts550e	Çìºì ¼Û
zts551e	ÁÖº¯ ÀûÀÌ ÀÏÁ¤½Ã°£ ½Î¿ï ÀÇÁö¸¦ ÀÒ´Â´Ù.
zts552e	Å¥¾î ¿Ã
zts553e	ÁÖº¯ µ¿·áµé¿¡°Ô °É·ÁÀÖ´Â ³ª»Û È¿°úµéÀ» ¸ğµÎ ÇØÁ¦ÇØ ÁØ´Ù.
zts554e	ÅÏ ¾ğµ¥µå
zts555e	ÁÖÀ§¿¡ ÀÖ´Â ¾ÏÈæ ¾ğµ¥µå¿¡°Ô Å« µ¥¹ÌÁö¸¦ ÁØ´Ù.
zts556e	±×·ì Èú¸µ
zts557e	ÁÖº¯ µ¿·áµéÀÇ »ı¸í·ÂÀ» ºü¸£°Ô È¸º¹½ÃÄÑÁØ´Ù.
zts558e	È¦¸® ¿şÆù
zts559e	ºû¼Ó¼º ±â¿îÀ» ´ë»óÀÇ ¹«±â¿¡  ÀÏÁ¤½Ã°£ ºÎ¿©ÇØ ÁØ´Ù.
zts560e	ºí·¹½Ì
zts562e	È¦¸® ÇØ¸Ó
zts563e	¼º½º·¯¿î °Å´ë ÇØ¸Ó°¡ °øÁß¿¡¼­ ³»·Á Ä£´Ù
zts564e	»ç¶ûÇØ(ALT+Q)
zts565e	¹æ°¡(ALT+W)
zts566e	¾¾ÀÍ(ALT+E)
zts567e	ÇÏÇÏ(ALT+R)
zts568e	¼öÁİ(ALT+T)
zts569e	ÈÄÈÊ(ALT+Y)
zts570e	Çã°Æ(ALT+U)
zts571e	Å©¾Ç(ALT+I)
zts572e	»ßÁú(ALT+O)
zts573e	ºêÀÌ~(ALT+P)
zts574e	¹¹¾ß(ALT+A)
zts575e	Àå³­ÇØ?(ALT+S)
zts576e	¿øÃò!(ALT+D)
zts577e	±ÜÀû(ALT+F)
zts578e	Äã±×³É(ALT+G)
zts579e	ÀØÁö¾Ê°Ú´Ù(ALT+H)
zts580e	³¬¾Ò´Ù!(ALT+J)
zts581e	¹İ»ç(ALT+K)
zts582e	±Û½é(ALT+L)
zts583e	¿ì¿¨(ALT+Z)
zts584e	ÈÇÂ½(ALT+X)
zts585e	ÇÏ¾é°ÔºÒÅÂ¿ü¾î(ALT+C)
zts586e	»ş¹æ-³²(ALT+V)
zts587e	»ş¹æ-¿©(ALT+B)
zts588e	ÈåÀ½(ALT+N)
zts589e	®X(ALT+M)
zts590e	½Ã¹«·è(ALT+,)
zts591e	Á¦¸®ÄÚ µ¹·ÁÂ÷±â
zts592e	¾÷±×·¹ÀÌµå
zts594e	½ÅÃ¼ ´É·ÂÀ» 30 ³ô¿©ÁØ´Ù.
zts595e	¹ÎÃ¸À» 30 ³ô¿©ÁØ´Ù.
zts596e	[°í±Ş] Áö´É°³¹ß ÄÚ½º
zts597e	Á¤½Å ´É·ÂÀ» 35 ³ô¿©ÁØ´Ù.
zts598e	[ÃÖ°í] Áö´É°³¹ß ÄÚ½º
zts599e	ÃÖ´ë HP¾çÀ» 400 Áõ°¡½ÃÄÑÁØ´Ù
zts600e	ÃÖ´ë MP¾çÀ» 400 Áõ°¡½ÃÄÑÁØ´Ù
zts601e	[°í±Ş] È¿À²Àû °ø°İ·Ğ
zts602e	¸ğµç °ø°İ·ÂÀ» 20 »ó½Â½ÃÄÑÁØ´Ù
zts603e	[ÃÖ°í] È¿À²Àû °ø°İ·Ğ
zts604e	[°í±Ş] ÀÚ±â ¹æ¾î¼ú
zts605e	¸ğµç ¹æ¾î·ÂÀ» 20 »ó½Â½ÃÄÑÁØ´Ù
zts606e	[ÃÖ°í] ÀÚ±â ¹æ¾î¼ú
zts607e	HP È¸º¹¾çÀ» 100 »ó½Â½ÃÄÑÁØ´Ù
zts608e	MPÈ¸º¹¾çÀ» 120 »ó½Â½ÃÄÑÁØ´Ù
zts609e	ÀÚ¿¬Ä¡À¯
zts610e	ÇÑÃş ´õ È­·ÁÇØÁö´Â ÀÌÆåÆ®¿Í ÇÔ²²
zts611e	½ºÅ³ÀÇ ¼º´É¶ÇÇÑ ´õ¿í °­ÇØÁø´Ù
zts612e	»şÀÌ´× ºí·¹ÀÌµå
zts613e	Åä³×ÀÌµµ °­È­2
zts614e	ÆÄ¿ö¸ÅÁ÷Åº °­È­
zts616e	½ºÅè Å©·¡½¬
zts617e	¼Ó¼ºÀúÇ×°­È­
zts618e	±â½À
zts619e	½ºÅÏ¼¦
zts620e	Æø¹ß ¼¦
zts621e	ÇÃ·¡ÀÓ ¾Ö·Î¿ì
zts622e	»şÀÌ´× ¾Ö·Î¿ì
zts623e	¾àÁ¡Âî¸£±â
zts624e	¾óÀ½¼Û°÷
zts625e	ºûÀÇ ½ÉÆÇ
zts626e	¸¶±×¸¶Á¸
zts627e	¸ÅÁ÷ ºö
zts628e	ÆĞ¹èÀÚÀÇ ¼û°á
zts629e	Å·²¿´ß Á¡ÇÁ
zts630e	Å·²¿´ß ¿ï±â
zts631e	ÁÖº¯ µ¿·áµéÀÇ ¹æ¾îµî±ŞÀ» ÀÏÁ¤½Ã°£ 1 ¿Ã·ÁÁØ´Ù.
zts632e	Ä¡¸íÅ¸¿¡ ¸ÂÁö ¾Ê°Ô ÇØÁØ´Ù.
zts633e	¹ß·Î¶§¸®±â
zts634e	¿ï±â
zts635e	Á¡ÇÁÇÏ±â
zts636e	Æø¹ß¸ÅÁ÷Åº °­È­
zts637e	Å·²¿´ß Áß°£Á¡ÇÁ
zts638e	Å·²¿´ß ºü¸¥Á¡ÇÁ
zts639e	´ë³ª¹«´Ù¹ß°ø°İ
zts640e	ÀÚÀÚ¸¶·ç º¸½ºÆ®·¦
zts641e	¼ö¸®ÄË°ø°İ
zts642e	Á¡ÇÁ ¼ö¸®ÄË
zts643e	È­¿°ºĞ»ç
zts644e	ÆøÅº ÅõÃ´
zts645e	±³Ã¼
zts646e	±âÃ´¾ø¾Ö±â
zts647e	°¡¸¶ÆÄÄï ¼ÒÈ¯
zts648e	ÀÎ¹ıÇâºĞ½Å
zts649e	¹«³äÀÇ ÀÎ¼ú
zts650e	Æø¹ß¸ÅÁ÷Åº °­È­2
zts651e	´ÑÀÚ ¼ö¸®ÄË °ø°İ
zts652e	³ª¸¶ÁÖ ¹ß±¸¸£±â
zts653e	³ª¸¶ÁÖ ¼ÒÈ¯
zts654e	Åé´Ïµ¿±¸¸®°ø°İ
zts655e	´ÜÇ³ÀÙ°ø°İ
zts656e	±¤¼±ÆÄ
zts657e	Á¤·É¼ÒÈ¯
zts658e	¸¶¹ıÀÇ¼Õ
zts659e	µ¶¾È°³
zts660e	°øÁßÁ¦ºñ
zts661e	ÄÚº¼Æ® ¿µÈ¥±Ã»ç °ø°İ
