zts1e	초보모험가 학습코스
zts704e	가파른 절벽으로 가자.
zts705e	차가운 심장을 구하자.
zts706e	순수한 야생화, 정열의 야생화를 10개씩 채집하자.
zts707e	게 모양 석상의 입안에 모은 재료를 넣어보자.
zts708e	68레벨 시공의 돌을 완료하라.
zts709e	샤를롯들에게 황혼의 진주의 행방을 알리자.
zts710e	꽃병에 쓸 물을 구하자.
zts711e	가득찬 물병을 샤를롯에게 가져다 주자.
zts712e	밀라노 마을이 어떤지 살펴보자.
zts713e	갈색리자드 99마리를 잡아라.
zts714e	에릴에게 확인을 받자.
zts715e	참너굴새를 잡아서 너굴새꼬리 99개를 얻자.
zts716e	셀빅의 부름에 응하자.
zts717e	돌망치그루터기와 돌도끼그루터기를 99마리씩 잡아라.
zts718e	셀빅에게 확인을 받자.
zts719e	나무좀비 99마리를 잡아라.
zts720e	물이 오염된 이유를 찾자.
zts721e	찰거머리 99마리, 왕거머리 99마리를 처치하자.
zts722e	깨끗한 물을 구하자.
zts723e	깨끗한 물을 샤를롯에게 전하자.
zts724e	밀라노 마을의 상태를 살펴보자.
zts725e	무언가가 다가오고 있습니다. 살펴보세요.
zts726e	연구소를 자세히 조사하자.
zts727e	연구소에 대해 조사한 것에 대해 보고하자.
zts728e	순수한 야생화, 정열의 야생화를 채집하자.
zts729e	게 모양 석상 입안에 모은 재료를 넣어보자.
zts730e	천년 묵은 조개에게 황혼의 진주를 얻자.
zts731e	황혼의 진주의 행방을 알리자.
zts732e	조금 오염된 물을 샤를롯에게 가져다 주자.
zts733e	오염된 물을 샤를롯에게 가져다 주자.
zts734e	많이 오염된 물을 샤를롯에게 가져다 주자.
zts735e	에릴의 부탁대로 너굴새를 잡아서 너굴새꼬리를 얻자.
zts736e	셀빅의 부탁대로 그루터기를 처치하자.
zts737e	셀빅의 부탁대로 나무좀비를 처치하자.
zts738e	이어진 흔적을 지우는 거머리들을 처치하자.
zts739e	미지의 광석
zts740e	잭의 벌 목장을 찾자.
zts741e	청년과 자기소개를 하자.
zts742e	잭의 이야기를 듣자.
zts743e	사슴들이 잭에게 오지 않는 이유를 알아내자.
zts744e	잭에게 방울을 건내주자.
zts745e	사슴이 마물이 되게한 원흉을 찾아라.
zts746e	사슴이 마물이 되게한 원흉을 처치하자.
zts747e	사슴이 흉폭해진 이유에 대해 잭에게 설명하자.
zts748e	로디의 부름에 응하자.
zts749e	미지의 광석에 대해 잘 알고 있는 사람의 조언이 필요하다.
zts750e	미지의 광석이 있는 곳을 찾자.
zts751e	몬스터에게서 미지의 광석을 찾자.
zts752e	몬스터에게서 미지의 광석을 찾아보자.
zts753e	기척이 느껴진 곳으로 가자.
zts754e	피버는 초 위험생물체?
zts755e	샤를롯에게 피버의 점액질에 대해 물어보자.
zts756e	피버의 점액질에 대해 사람들에게 물어보자.
zts757e	알렉스가 알려준 사람을 찾자.
zts758e	소티의 부관을 찾아보자.
zts759e	워렛을 잡아서 허물을 찾자.
zts760e	피버의 허물을 렉트에게 가져다 주자.
zts761e	피버의 허물을 소티에게 보여주자.
zts762e	에릴의 부탁대로 리자드들을 잡아라.
zts763e	첫번째 주술 재료를 구하자.
zts764e	첫번째 주술재료를 가져다 주자.
zts765e	샤를롯의 도움을 받자.
zts766e	두번째 주술재료를 구하자.
zts767e	두번째 주술재료를 가져다 주자.
zts768e	모건의 도움을 받자.
zts769e	모건이 요구하는 금액을 지불하고 정보를 알아내자.
zts770e	세번째 주술재료를 구하자.
zts771e	세번째 주술재료를 가져다주자.
zts772e	에릴의 도움을 받자.
zts773e	네번째 주술재료를 구하자.
zts774e	네번째 주술재료를 가져다 주자.
zts775e	우르 코아렌의 도움을 받자.
zts776e	다섯번째 주술재료를 구하자.
zts777e	다섯번째 주술재료를 가져다주자.
zts778e	알렉스의 도움을 받자.
zts779e	여섯번째 주술재료를 구하자.
zts780e	여섯번째 주술재료를 가져다주자.
zts781e	일곱번째 주술재료에 대한 단서를 찾아보자.
zts782e	가짜 주술재료를 구하자.
zts783e	가짜 주술재료를 소티에게 전하자.
zts784e	렉트의 정체를 확인하자.
zts785e	진실은 어디에?
zts786e	렉트의 해명을 듣자.
zts787e	오래된 나무를 찾자.
zts788e	오래된 나무 속을 조사하자.
zts789e	피버의 흔적을 가리는 몬스터를 처치하자.
zts790e	근처에 누군가 있다. 확인해 보자.
zts791e	셀리루샤로 가보자.
zts792e	에리의 안내대로 따라가자.
zts793e	지하터널로 가는 길을 막는 몬스터들을 처치하자.
zts794e	지하터널 입구로 가는 길을 막는 몬스터들을 처치하자.
zts795e	드디어 지하터널 입구를 발견했다.
zts796e	셀리루샤를 살펴보자.
zts797e	진실을 알아보자.
zts798e	코아렌의 행방을 알아내자.
zts799e	크르코아렌이 있는 곳으로 갈 수 있도록 물어보자.
zts800e	비전 주술을 사용하기 위한 첫번째 재료를 구하자.
zts801e	비전 주술을 사용하기 위한 두번째 재료를 구하자.
zts802e	비전 주술을 사용하기 위한 세번째 재료를 구하자.
zts803e	비전 주술의 재료들을 전달하자.
zts804e	황혼의 진주를 되찾자.
zts805e	에리와 렉트의 선택
zts806e	라테오르의 부활을 막기 위해 에리에게 협력을 요청하자.
zts807e	라테오르의 부활을 막기 위해 렉트에게 협력을 요청하자.
zts808e	라테오르의 부활을 막기 위해 셀리루샤로 가자.
zts809e	앞 길을 막는 엔젤들을 물리치자.
zts810e	피버의 번데기가 있는 곳으로 가자.
zts811e	앞길을 막는 엔젤들을 물리치자.
zts812e	피버의 번데기가 있는 곳으로 이동하자.
zts813e	천사왕의 소환을 막아야 한다.
zts814e	잭의 벌목장을 찾자.
zts815e	초위험생물의 출현
zts816e	빛의 수호자
zts817e	블루메지션의 유품을 찾아라.
zts818e	보석의 세공을 부탁하자.
zts819e	블루메지션의 유품을 전달하자.
zts820e	일기장의 복구를 부탁하자.
zts821e	블루메지션의 과거를 찾아보자.
zts822e	시공의 돌에서 겪었던 일들을 이야기하자.
zts823e	디스트로이어의 유품을 찾아라.
zts824e	특수표백제의 재료를 구하자.
zts825e	특수표백제를 전달하자.
zts826e	디스트로이어의 유품을 전달하자.
zts827e	원하는 금액을 지불하자.
zts828e	디스트로이어의 과거를 알아보자.
zts829e	시공의 돌에서 있었던 일들을 이야기하자.
zts830e	크루세이더의 유품을 찾아라.
zts831e	신성한 물병을 구하자.
zts832e	신성한 물병을 전달하자.
zts833e	크루세이더의 유품을 전달하자.
zts834e	금고를 찾아라.
zts835e	열쇠를 찾아라.
zts836e	금고와 열쇠를 전달하자.
zts837e	크루세이더의 과거를 알아보자.
zts838e	마공 아크테리돈을 물리쳐라.
zts839e	아크테리돈을 물리친 소식을 전달하자.
zts840e	제리코에게 받은 관문1 시공의 돌을 사용하여 첫번째 관문에 도전하자.
zts841e	관문2 시공의 돌을 사용하여 두번째 관문에 도전하자.
zts842e	관문3 시공의 돌을 사용하여 마지막 관문에 도전하자.
zts843e	어둠의 복수자
zts844e	기억의 조각에 대해 알아보자.
zts845e	기억의 조각에 관한 물건을 찾자.
zts846e	기억의 조각에 관한 물건을 전달하자.
zts847e	기억의 조각을 전달하자.
zts848e	과거를 통해 단서를 찾자.
zts849e	요구하는 금액을 지불하자.
zts850e	제사장의 창 재료를 구하자.
zts851e	미완성 제사장의 창을 전달하자.
zts852e	제사장의 창을 완성하자.
zts853e	제사장의 창을 전달하자.
zts854e	에체카루엘을 물리쳐라.
zts855e	프로즌 크라운
zts856e	에릴 카운터의 외뢰를 들어보자.
zts857e	에릴 카운터의 편지를 전해주자.
zts858e	산드라 브레이크의 편지를 전해주자.
zts859e	항구로 가보자.
zts860e	산드라 브레이크에게 돌아가자.
zts861e	레이카 커틀라스에게 가보자.
zts862e	에릴 카운터를 만나자.
zts863e	여행 준비가 다 됐다고 알려주자.
zts864e	해야할 일을 물어보자.
zts865e	소개장을 전달하자.
zts866e	대마법사 페어로슈를 만나자.
zts867e	루딘 프로즌하트에게 돌아가자.
zts868e	정보를 수집하자.
zts869e	항해일지를 전달하자.
zts870e	추가정보를 수집하자.
zts871e	추가 정보를 전달하자.
zts872e	수집한 정보를 전달하자.
zts873e	추가 정보를 수집하자.
zts874e	연락책을 알아내자.
zts875e	무크라쥬의 마법서를 전달하자.
zts876e	라테오르의 알에 대해서 물어보자.
zts877e	질낮은 나무 10개를 모아주세요 .
zts878e	아침의평원에서 데굴데굴절벽의 우물가로 이동하라
zts879e	기록도전모드에서 해당 점수 이상으로 시공의 돌을 완료하라!
zts880e	연구소 탐사
zts881e	고대 영혼의 인도
zts882e	시공의 돌을 완료하세요
zts883e	산타클로스의 심부름
zts884e	아이들을 보호하기 위해 몬스터를 처치해라!
zts885e	산타클로스에게 보고하라
zts886e	서부광산지역에 위치한 서부 제 1광산에서 코볼트 광부를 사냥하여 광석을 얻자.
zts887e	서부광산지역에 위치한 서부 제 1광산에서 코볼트 광부를 사냥하여 곡괭이를 얻자.
zts888e	밀라노 마을로 가서 빌 스미스에게 수비대원들의 무기를 받자.
zts889e	수비대원들이 출동한 서부광산지역으로 가자.
zts890e	밀라노 마을로 가서 셀빅 비기너에게 검은석판의 내용을 들어보자.
zts891e	서부광산지역으로 가서 수비대와 함께 마물들의 침공을 막으세요.
zts892e	서부광산지역에서 레인과 합류해 마물들을 처치하자.
zts893e	서부광산지역에 위치한 서부 제 2광산에서 코볼트들을 처치하라.
zts894e	서부 제 2광산에서 수비대와 합류해 코볼트들의 주동 세력을 무찌르자!
zts895e	아침의 평원을 조사하자! 아침의 평원은 밀라노마을 12시에 위치한 밀라노 북부평원에서 이동할 수 있다.
zts896e	아침의 평원으로 이동하여 마물이 계속 등장하는 원인을 파악하자
zts897e	밀라노마을에 있는 에릴카운터에게 마왕다크에 대해서 이야기를 해주자.
zts898e	밀라노 마을에 있는 친위대원 핀토에게 소식을 전하자
zts899e	친위대장에게 식사를 제공하자. 밀라노 마을의 마트에서 구입할 수 있다.
zts900e	밀라노마을에 있는 친위대원 핀토에게 케빈에 대해서 물어보자.
zts901e	모건이 원하는 맛있는 펫먹이를 가져다 주자. 맛있는 펫먹이는 밀라노마을 마트에서 구입할 수 있다.
zts902e	모건이 원하는 길리온 스톤을 가져다 주자. 길리온 스톤은 몬스터를 처치하면 일정 확률로 획득할 수 있다.
zts903e	모건이 원하는 블랙볼을 가져다 주자. 블랙볼은 블랙볼 종류 몬스터를 처치하면 일정 확률로 획득할 수 있다.
zts904e	서부광산지역에서 모건이 원하는 동물을 포획하자.
zts905e	아침의 평원에 있는 친위대의 집합장소에 가보자.
zts906e	빈병을 가지고 서부광산지역에 있는 우물가로 가자. 빈병은 밀라노 마트에서 구입할 수 있다.
zts907e	아침의평원에 출현하는 부실한 약재만드라로 부터 만드라 꽃잎을 구하라.
zts908e	밀라노마을에 있는 라울 엔디넬에게 추적향수제조를 부탁하자
zts909e	페르논신전입구로 가서 킁킁이 벌레를 채집하라. 페르논 신전은 아침의 평원에서 이동할 수 있다.
zts910e	아침의 평원에서 수비대들의 위치를 추적하자.
zts911e	아침의 평원에서 제리코에게 트레이닝을 받자.
zts912e	아침의 평원에서 케빈과의 도전장소로 이동하자.
zts913e	서부광산지역에 있는 머독에게서 철을 얻어와라.
zts914e	광산내에서 철광석을 구해라. 광산 내 철광석을 채집하면 철광석을 획득할 수 있다.
zts915e	페르논신전입구의 수비대 기지에 상황을 전달하자. 페르논 신전 입구는 아침의 평원에서 이동할 수 있다.
zts916e	페르논신전 입구의 수비대 기지에 있는 친위대 장교 베이먼에게 문서를 전달하자.
zts917e	폐광지하의 붉은 진흙골렘을 처치하자. 폐광지하는 페르논신전의 폐광안에 위치한다.
zts918e	친위대 대장 로만손에게도 데몬에 대한 소식을 전하자. 로만손은 폐광에서 이동할 수 있는 친위대 대피소에 위치하고 있다.
zts919e	페르논신전 1층에서 코아렌을 따라잡아라.
zts920e	폐광지하에 있는데몬하수인과 대화하라.
zts921e	페르논신전B2층의 6개의 관문으로 가서 허상부적을 착용한 후 47레벨 시공의 돌을 수행하자.
zts922e	페르논신전B2층으로 가서 켄코 은신처에 잠입하라.
zts923e	신전비밀지역B1층의 소용돌이 동쪽을 찾아가자. 신전비밀지역은 길이 여러 갈래로 되어있으니 입구를 잘 찾아보자.
zts924e	신전비밀지역B1층의 소용돌이 동쪽에서 첫번째 지맥을 끊어라.
zts925e	신전비밀지역B1층의 소용돌이 서쪽에서 두번째 지맥을 끊어라.
zts926e	신전비밀지역B3층의 소용돌이 남쪽에서 세번째 지맥을 끊어라.
zts927e	신전비밀지역B3층의 소용돌이 북쪽에서 네번째 지맥을 끊어라.
zts928e	신전비밀지역B3층에 위치한 페르논의 심장으로 돌격하자!
zts929e	신전비밀지역B4층에 위치한 페르논의 뿌리로 돌격하자!
zts930e	신전B2층의 구불구불통로로 가서 킁에게 페르논의 봉인에 대한 이야기를 듣자.
zts931e	49레벨 시공의 돌에 있는 킁을 다시만나 페르논의 봉인에 대한 이야기를 자세히 듣자.
zts932e	에릴의 부탁대로 비만비둘기를 잡아서 비둘기 꼬리를 얻자.
zts933e	항구 습격 저지
zts934e	모르타즈 항구의 항구관리인 톰의 요청으로 항구를 습격하는 원인을 조사해야 한다.
zts935e	항구습격저지
zts936e	모르타즈 항구의 항구관리인 톰은 괴물들을 처치하면 무언가 증거를 찾을 수 있을 것이라고 합니다.
zts937e	모르타즈 항구의 항구관리인 톰이 사막도적단 공작원을 처치해서 선인장 과실포대를 가져다 달라고 합니다.
zts938e	모르타즈 항구의 항구관리인 톰이 닐의 야영지 근처에 숨어있는 조수 빈에게 편지를 전달해달라고 합니다.
zts939e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지에 있는 사막도적단들을 소탕해달라고 합니다.
zts940e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지에 있는 부대장 닐에게서 얻은 것을 모르타즈 사막 항구에 있는 항구관리인 톰에게 전달해달라고 합니다.
zts941e	항구 주변이 이상한데...
zts942e	모르타즈 항구의 등대지기 칠튼이 닐의 야영지 인근에 있는 조수 빈에게 가서 그의 지시를 따라달라고 합니다.
zts943e	닐의 야영지 인근에 있는 조수 빈이 주변의 사막도적단 정찰병을 처치해달라고 합니다.
zts944e	닐의 야영지 인근에 있는 조수 빈이 닐의 야영지를 급습해서 사막도적단을 처치해달라고 합니다.
zts945e	조수 빈이 닐의 야영지의 부대장 닐을 처치해서 고급정찰보고서를 가져다 달라고 합니다.
zts946e	닐의 야영지 근처에 있는 조수 빈이 고급정찰보고서를 등대지기 칠튼에게 가져다 달라고 합니다.
zts947e	등대지기 칠튼이 아카무르 상단 야영지의 총행수 하마드 아카무르에게 고급정찰보고서를 전해달라고 합니다.
zts948e	항구 사수
zts949e	모르타즈 항구의 항구관리인 톰이 닐의 야영지 근처에 있는 조수 빈에게 가서 그의 지시대로 따라달라고 합니다.
zts950e	닐의 야영지 근처에 있는 조수 빈이 사막도적단에게서 선인장 과실포대를 탈취해달라고 합니다.
zts951e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지에 향료 섞인 선인장 과실 포대를 뿌려달라고 합니다.
zts952e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지의 부대장 초소에서 지령묶음을 가져다 달라고 합니다.
zts953e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지에 조작된 지령묶음을 배포해달라고 합니다.
zts954e	항수 사수
zts955e	닐의 야영지 근처에 있는 조수 빈이 모르타즈 항구의 항구관리인 톰에게 전달해달라고 합니다.
zts956e	멍청하지만 소중한 조수
zts957e	모르타즈 항구의 항구관리인 톰이 닐의 야영지에 있는 조수 쉐인을 구해달라고 합니다
zts958e	닐의 야영지에 있는 조수 쉐인이 자신의 족쇄를 풀기 위해서는 사막도적단 열쇠지기에게서 사막도적단 열쇠가 필요하다고 합니다.
zts959e	닐의 야영지에 있는 조수 쉐인이 자신의 족쇄를 풀기 위해서는 사막도적단 교도관의 사막도적단 열쇠가 필요하다고 합니다.
zts960e	닐의 야영지에 있는 조수 쉐인이 자신이 탈출하기 위한 도주로를 확보하기 위해서 사막도적단들을 처치해달라고 합니다.
zts961e	하급 교역물 회수
zts962e	등대지기 톰이 사막 항구 주변에서 상단교역물을 되찾아달라고 합니다.
zts963e	중급 교역물 회수
zts964e	모르타즈 항구의 등대지기 칠튼이 닐의 야영지 근처에서 상단 교역물을 되찾아서 조수 빈에게 전해달라고 합니다.
zts965e	상급 교역물 회수
zts966e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지 근처의 사막도적들에게서 상단 교역물을 되찾은 뒤 모르타즈 항구에 있는 항구관리인 톰에게 전해달라고 합니다.
zts967e	하급 교역품 탈취
zts968e	모르타즈 항구에 있는 등대지기 칠튼이 항구 주변의 괴물을 처치해서 상단교역물을 가져다 달라고 합니다.
zts969e	중급 교역품 탈취
zts970e	모르타즈 항구의 등대지기 칠튼이 닐의 야영지 근처의 사막도적단들에게서 상단 교역물을 되찾아서 조수 빈에게 전해달라고 합니다.
zts971e	상급 교역품 탈취
zts972e	닐의 야영지 근처에 있는 조수 빈이 닐의 야영지에 있는 사막도적단에게서 상단 교역물을 되찾아 모르타즈 항구의 등대지기 칠튼에게 전해달라고 합니다.
zts973e	탈취된 아카무르 상단의 교역품을 찾아라.
zts974e	아카무르 상단 야영지에 있는 총행수 하마드 아카무르가 부행수 슈밀 헤이즐의 지시를 따르라고 합니다.
zts975e	아카무르 상단 야영지에 있는 부행수 슈밀 헤이즐이 상단 야영지 동부와 상단 야영지 서부의 괴물들을 처치하여 상단교역품을 회수해달라고 합니다.
zts976e	아카무르 상단 야영지에 있는 부행수 슈밀 헤이즐이 상단 야영지 서부의 사막도적단을 처치하여 상단교역품을 회수해달라고 합니다.
zts977e	탈취된 아카무르 상단의 교역품을 찾아라
zts978e	아카무르 상단 야영지에 있는 슈밀 헤이즐이 잃어버린 아카무르 상단 깃발을 찾아달라고 합니다.
zts979e	아카무르 상단 야영지에 있는 슈밀 헤이즐이 케루스의 야영지에서 상단교역품을 회수해달라고 합니다.
zts980e	아카무르 상단 야영지에 있는 슈밀 헤이즐이 하마드 아카무르에게 보고서를 전달해달라고 합니다.
zts981e	상단 야영지의 도로개통
zts982e	아카무르 상단의 슈밀 헤이즐이 항구와 상단야영지 간의 도로를 열기위해 상단 야영지 동부의 괴물들을 처치해달라고 합니다.
zts983e	아카무르 상단의 슈밀 헤이즐이 상단야영지와 데저트이글 시티 간의 도로를 열기위해 상단 야영지 서부의 괴물들을 처치해달라고 합니다.
zts984e	아카무르 상단의 슈밀 헤이즐이 항구와 상단야영지 간의 도로를 열기위해 멜키의 야영지 인근에 있는 괴물들을 처치해달라고 합니다.
zts985e	아카무르 상단 야영지의 슈밀 헤이즐이 상단야영지와 데저트이글 시티 간의 도로를 열기위해 케루스의 야영지 인근에 있는 괴물들을 처치해달라고 합니다.
zts986e	아카무르 상단 야영지의 슈밀 헤이즐이 하마드 아카무르에게 보고서를 전달해달라고 합니다.
zts987e	사막도적단과의 협상
zts988e	아카무르 상단 야영지의 하마드 아카무르가 사막도적단의 대리인과 협상해줄 것을 부탁합니다. 협상과 관련된 준비는 슈밀 헤이즐이 해줄 것이라고 말합니다.
zts989e	아카무르 상단 야영지의 슈밀 헤이즐이 케루스의 야영지에 있는 대리인 무르샤에게 자신이 준비한 문서를 전해달라고 합니다.
zts990e	케루스의 야영지에 있는 대리인 무르샤가 사막도적단에게 명령해서 모험가를 공격하라고 합니다.
zts991e	케루스의 야영지에 있는 대리인 무르샤가 부대장 케루스에게 명령해서 모험가를 공격하라고 합니다.
zts992e	멜키의 야영지에 있는 대리인 무르샤가 아카무르 상단의 뜻을 알았다고 하며 아카무르 상단의 책임자에게 밀서를 전해달라고 합니다.
zts993e	아카무르 상단 야영지에 있는 슈밀 헤이즐이 자신이 준비한 편지를 하마드 아카무르에게 전달해달라고 합니다.
zts994e	상단포로 구출작전
zts995e	2차 행동지령서를 슈밀 헤이즐에게 전달해야 합니다.
zts996e	아카무르상단 야영지의 슈밀 헤이즐이 상단의 포로를 구금하고 있는  멜키의 야영지를 습격해서 사막도적단을 처치한 뒤 상단 포로 후마드와 대화해야합니다.
zts997e	멜키의 야영지에 있는 상단포로 후마드가 사막도적단 교도관을 처치해서 교도관의 열쇠를 가져와달라고 합니다.
zts998e	멜키의 야영지에 있는 상단포로 후마드가 자신의 도주로를 확보를 위해서 사막도적단을 처치해달라고 합니다. 도주로 확보 후 슈밀 헤이즐과 대화해야 합니다.
zts999e	아카무르 상단의 슈밀 헤이즐이 포로에 관한 보고서를 하마드 아카무르에게 전달해달라고 합니다.
zts1000e	멜키의 야영지로
zts1001e	아카무르상단 야영지의 슈밀 헤이즐이 상단야영지 동부에 있는 괴물들을 처치해달라고 합니다.
zts1002e	아카무르상단 야영지의 슈밀 헤이즐이 멜키의 야영지 인근의 괴물과 사막도적단들을 처치해달라고 합니다.
zts1003e	아카무르상단 야영지의 슈밀 헤이즐이 멜키의 야영지에 있는 사막도적단과 부대장 멜키를 처치해달라고 합니다.
zts1004e	아카무르상단 야영지의 슈밀 헤이즐이 아카무르상단의 총행수인 하마드 아카무르에게 보고서를 전달해달라고 합니다.
zts1005e	케루스의 야영지로
zts1006e	아카무르상단 야영지의 슈밀 헤이즐이 상단야영지 서부에 있는 괴물들을 처치해달라고 합니다.
zts1007e	아카무르상단 야영지의 슈밀 헤이즐이 케루스의 야영지 인근의 괴물과 사막도적단들을 처치해달라고 합니다.
zts1008e	아카무르상단 야영지의 슈밀 헤이즐이 케루스의 야영지에 있는 사막도적단과 부대장 멜키를 처치해달라고 합니다.
zts1009e	사막도적단이 노리는 것은?
zts1010e	아카무르상단 본점의 총단장 네피 아카무르가 대리인 세미아 펠튼의 지시를 따라달라고 합니다.
zts1011e	아카무르상단 본점의 대리인 세미아 펠튼이 케루스의 야영지에 있는 부대장 케루스에게서 긴급지령서를 가져와 달라고 합니다.
zts1012e	대리인 세미아 펠튼이 가톤의 야영지 인근에 파견되어있는 경비병 푸트란을 도와 사막도적단을 처치해달라고 합니다. 작전 수행후 경비병 푸트란의 지시에 따라달라고 합니다.
zts1013e	가톤의 야영지 인근에 있는 경비병 푸트란이사막도적단을 처치해달라고 합니다.
zts1014e	경비병 푸트란이 가톤의 야영지에 침입해서 사막도적단들의 동태를 살펴달라고 합니다.
zts1015e	경비병 푸트란이 가톤의 야영지에 있는 부대장 가톤을 처치한 뒤에 그가 가지고 있는 긴급지령서B를 가져와 달라고 합니다.
zts1016e	가톤의 야영지 인근에 있는 경비병 푸트란이 아카무르상단 본점에 있는 대리인 세미아 펠튼에게 긴급지령서 B를 전달해달라고 합니다.
zts1017e	아카무르상단 본점에 있는 세미아 펠튼이 긴급지령서 묶음과 아카무르상단 의뢰비 주머니를 무법지대에 있는 까마귀 머피에게 전달해달라고 합니다.
zts1018e	아카무르상단 본점에 있는 세미아 펠튼이 보고서를 총단장 네피 아카무르에게 전달해달라고 합니다.
zts1019e	사막도적단과 마지막 교섭
zts1020e	아카무르상단 본점의 대리인 세미아 펠튼이 무법지대에 있는 칼잡이 벨몬을 설득해서 사막도적단과 교섭할 방법을 찾아달라고 한다.
zts1021e	무법지대의 칼잡이 벨몬이 벨몬의 봉인된 편지를 사막도적단 소굴에 있는 대리인 루샬딘에게 전달해달라고 합니다.
zts1022e	사막도적단 소굴의 대리인 루샬딘이 자신과의 밀담을 엿들은 사막도적단을 처치해달라고 합니다.
zts1023e	사막도적단 소굴에 있는 대리인 루샬딘이 주변에 있는 수상한 약병들을 수거해달라고 합니다.
zts1024e	사막도적단 소굴에 있는 대리인 루샤딘이 현재 사막도적단 소굴에서 탈출해서 무법지대로 갈 수 있게 도주로를 확보해달라고 합니다.
zts1025e	사막도적단 소굴에 있는 대리인 루샤딘이 현재 사막도적단의 상황에 대한 것이 적혀있는 루샤딘의 밀서를 아카무르상단의 중요인물에게 전달해달라고 합니다.
zts1026e	아카무르상단 본점에 있는 세미아 펠튼이 보고서를 총단장인 네피 아카무르에게 전달해달라고 합니다.
zts1027e	지피지기
zts1028e	아카무르상단 본점에 있는 네피 아카무르가 '대리인에게 보내는 편지-총행수로부터' 를 대리인 세미아 펠튼에게 전달해달라고 합니다.
zts1029e	아카무르상단의 본점에 있는 세미아 펠튼이 '작전명: 지피지기'를 무법지대에 있는 칼잡이 벨몬에게 전해달라고 합니다.
zts1030e	무법지대에 있는 칼잡이 벨몬이 케루스의 야영지에 있는 사막도적단과 부대장 케루스를 처치해달라고 합니다. 그리고 케루스의 수상한 상자를 조사해달라고 합니다.
zts1031e	사막도적단 조직도를 무법지대에 있는 칼잡이 벨몬에게 전달해야 합니다.
zts1032e	무법지대의 칼잡이 벨몬이 가톤의 야영지에 있는 사막도적단과 부대장 가톤을 처치한 뒤에 가톤의 수상한 상자를 조사해달라고 합니다.
zts1033e	가톤의 야영지에 있는 가톤의 수상한 상자에서 사막도적단의 조직도를 발견했습니다. 무법지대에 있는 칼잡이 벨몬에게 전달해야 합니다.
zts1034e	무법지대에 있는 칼잡이 벨몬이 사막도적단 조직도에 관한 조언을 얻기 위해서는 까마귀 머피에게 문의해야 한다고 합니다.
zts1035e	완성된 사막도적단 조직도를 가지고 아카무르상단 본점에 있는 대리인 세미아 펠튼에게 전달해야합니다.
zts1036e	사막도적단과 전면전
zts1037e	아카무르상단 본점의 총단장 네피 아카무르가 사막도적단소굴 토벌명령서를 세미아 펠튼에게 전달한 뒤에 그녀의 지시에 따르라고 합니다.
zts1038e	아카무르상단 본점의 대리인 세미아 펠튼이 사막도적단소굴에 있는 사막도적단을 토벌해달라고 합니다.
zts1039e	아카무르상단 본점에 있는 대리인 세미아 펠튼이 총단장 네피 아카무르에게 사막도적단소굴 토벌 보고서를 전달해달라고 합니다.
zts1040e	중요 상단교역품 추적
zts1041e	아카무르상단 본점의 총단장 네피 아카무르가 "상단교역품 추적 보고서-총행수로부터"을 대리인 세미아 펠튼에게 전달해달라고 합니다.
zts1042e	아카무르상단 본점의 대리인 세미아 펠튼이 입수한 정보에 따라 케루스의 야영지의 어딘가에 있을 상자에서 아스터사원 유물 윗조각을 찾아야 합니다.
zts1043e	아카무르상단 본점의 대리인 세미아 펠튼이 가톤의 야영지 어딘가에 있을 상자에서 아스터사원 유물 아랫조각을 찾아달라고 합니다.
zts1044e	아카무르상단 본점의 대리인 세미아 펠튼이 사막도적단 소굴의 어딘가에 있을 상자에서 아스터사원 유물 가운데 조각을 찾아달라고 합니다.
zts1045e	아카무르상단 본점의 대리인 세미아 펠튼이 아스터사원 유물을 아스터사원의 대사제 엘라딘에게 전달해달라고 합니다.
zts1046e	사막도적단 소굴안의 상단포로 구출작전
zts1047e	구조요청의 내용이 담긴 쪽지를 가지고 사막도적단 소굴 어딘가에 있을 상단포로 롬멜을 찾아야 합니다.
zts1048e	사막도적단 소굴에 있는 상단포로 롬멜이 사막도적단에게서 도적단소굴 열쇠를 찾아서 풀어달라고 합니다.
zts1049e	사막도적단 소굴에 있는 상단포로 롬멜이 자신의 도주로를 확보해달라고 합니다. 이 임무를 완료하면 아카무르상단 본점의 세미아 펠트에게 보고해야합니다.
zts1050e	의문의 유물 조각
zts1051e	부서진 유물조각을 데저트이글 시티에 있는 세미아 펠튼에게 가져가야 합니다.
zts1052e	아카무르상단 본점에 있는 세미아 펠튼이 부서진 유물조각이 담긴 주머니를 가지고 네피 아카무르에게 전달해달라고 합니다.
zts1053e	아스터사원 지하성소에 유령이?
zts1054e	아스터사원의 대사제 엘라딘이 사제 베라에게 가서 그녀의 지시를 따르라고 합니다.
zts1055e	사제 베라가 아스터사원 지하성소에 있는 서고를 조사해달라고 합니다.
zts1056e	사제 베라가 아스터사원 지하성소에 있는 납골당을 조사해달라고 합니다.
zts1057e	사제 베라가 아스터사원 지하성소에 있는 예배당을 조사해달라고 합니다.
