zts1e	새로운아이템
zts4512e	HP:3000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4513e	MP:3000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4514e	MP:20000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4515e	HP:20000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4516e	옛아스터사원 예배당에 있는 옛아스터사원 비밀통로를 통해 도적단 레이드를 수행할 수 있다.[n]권장레벨 : 80~95[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n][n]
zts4517e	타로카드 팩 과 좋은 뽑기 상자 가 들어있습니다.[n][n]
zts4518e	폭염 철괴
zts4519e	강한 열기가 느껴지는 철괴[n]생산에 사용된다[n][n]
zts4520e	부서진 유물
zts4521e	상점에 판매하는 물건이다.[n]상태가 좋지 못해 감정과정에서 부서진 유물로[n]가치가 별로 없어 상점에서도 거의 가격을 쳐주질 않는다.[n][n]
zts4522e	빛나는 보라색 보석
zts4523e	상점에 판매하는 물건이다.[n][n]
zts4524e	빛나는 하늘색 보석
zts4525e	HP:2000 MP:2000[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4526e	불나는 통닭
zts4527e	HP:10000 MP:10000[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식 중에 먹을 수 있다.[n][n]
zts4528e	폭염 가죽
zts4529e	강한 열기가 느껴지는 가죽[n]생산에 사용된다[n][n]
zts4530e	폭염 옷감
zts4531e	강한 열기가 느껴지는 옷감[n]생산에 사용된다[n][n]
zts4532e	폭염 나무
zts4533e	강한 열기가 느껴지는 나무[n]생산에 사용된다[n][n]
zts4534e	폭염 은사
zts4535e	생산에 사용된다[n][n]
zts4536e	폭염 금사
zts4537e	황천 마광석
zts4538e	암흑 마광석
zts4539e	황천 수정
zts4540e	암흑 수정
zts4541e	청색 금속 모래
zts4542e	청색 나무 파편
zts4543e	청색 수정 파편
zts4544e	보라색 나무 파편
zts4545e	보라색 금속 모래
zts4546e	보라색 수정 파편
zts4547e	자주빛 호박석
zts4548e	주황빛 호박석
zts4549e	연청빛 호박석
zts4550e	아카무르 복면 조각
zts4551e	도적단 복면 조각
zts4552e	아카무르 뱃지
zts4553e	바싹마른 호밀빵
zts4554e	HP:3500 MP:1500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4555e	오아시스 생수
zts4556e	HP:1500 MP:3500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4557e	화끈한 양꼬치
zts4558e	HP:4000 MP:3000[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4559e	시원한 지하수
zts4560e	HP:3000 MP:4000[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4561e	뜨거운 코코아
zts4562e	HP:15000 MP:7500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식 중에 먹을 수 있다.[n][n]
zts4563e	차가운 코코아
zts4564e	HP:7500 MP:15000[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식 중에 먹을 수 있다.[n][n]
zts4565e	양고기
zts4566e	화끈한 양꼬치 재료[n][n]
zts4567e	지하수
zts4568e	시원한 지하수 재료[n][n]
zts4569e	매우 큰 딸기 상자
zts4570e	신선한 딸기주스 와 진한 딸기와인 재료[n][n]
zts4571e	잘익은 포도 상자
zts4572e	신선한 포도주스 와 진한 포도와인 재료[n][n]
zts4573e	빨간 사과 상자
zts4574e	신선한 사과주스 와 진한 사과와인 재료[n][n]
zts4575e	사막의 귀환서
zts4576e	마을로 되돌아 간다[n]현재의 위치가 기억되며 복귀의 부적 사용시 되돌아 올 수 있다.[n][사용제한][n]사막 지역에서만 사용할 수 있다.[n]사막 지역 내에 부활위치지정 된 마을로 귀환한다.[n][n]
zts4577e	착용 시 죽음의 섬
zts4579e	5장이 들어있는 팩. 사용시 타인에게 양도할 수 있는 봉인된 타로카드 5매를 획득합니다.[n][얻을 수 있는 아이템][n]봉인된 타로카드 [광대],[마법사],[연인],[은둔자],[죽음],[악마],[탑],[별],[달],[태양] 중 5장을 획득[n][봉인된 타로카드][n]봉인된 타로카드를 사용하면 타로카드(장비)를 획득합니다.[n]타로카드(장비)는 착용시부터 사용시간이 적용됩니다.[n]
zts4580e	5장이 들어있는 팩. 사용시 타인에게 양도할 수 있는 봉인된 타로카드 5매를 획득합니다.[n][얻을 수 있는 아이템][n]봉인된 타로카드 [광대],[마법사],[연인],[은둔자],[죽음],[악마],[탑],[별],[달],[태양] 중 5장을 획득[n][봉인된 타로카드][n]봉인된 타로카드를 사용하면 타로카드(장비)를 획득합니다.[n]타로카드(장비)는 착용시부터 사용시간이 적용됩니다.[n]* 타로카드는 60레벨 이상 만 사용할 수 있습니다.[n][n]
zts4581e	상자를 열어서 다양한 캐시 아이템을 얻을 수 있다[n][얻을 수 있는 아이템][n]똑똑한 펫먹이[n]장비 보호 스크롤[n]실로안의 샘물[n]등급고정 해제 스크롤[n]큰 스페셜 충전제[n]사나운 가면 A[n]사나운 가면 B[n]사나운 가면 C[n]토리토리 구슬[n]검투사토리 구슬[n]블랙토리 구슬[n]
zts4582e	상자를 열어서 다양한 캐시 아이템을 얻을 수 있다[n][얻을 수 있는 아이템][n]침묵의 마스크 A[n]침묵의 마스크 B[n]침묵의 마스크 C[n]블랙 토리 구슬[n]아쿠아 토리 구슬[n]검객 토리 구슬[n]똑똑한 펫먹이[n]장비보호 스크롤[n]실로안의 심물[n]등급고정 해제스크롤[n]큰 스페셜 포인트 충전제[n]
zts4583e	상자를 열어서 다양한 캐시 아이템을 얻을 수 있다[n][얻을 수 있는 아이템][n]심연의 눈가리개 A[n]심연의 눈가리개 B[n]심연의 눈가리개 C[n]페가수스 펫 구슬[n]큐티 레빗 펫 구슬[n]감기걸린 토리 구슬[n]똑똑한 펫먹이[n]장비보호 스크롤[n]실로안의 심물[n]등급고정 해제스크롤[n]큰 스페셜 포인트 충전제[n]
zts4584e	착용 시 죽음의 섬&#52255;함을 느껴 빨리 움직이고 더 강하게 공격할 수 있게 되지만 MP를 많이 소모합니다.[n]이동속도 +1, 공격력 150 증가, MP 소모량 20% 감소[n]필요레벨: 60Lv[n]사용기간: 1시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4585e	상자를 열어서 다양한 캐시 아이템을 얻을 수 있다[n][얻을 수 있는 아이템][n]침묵의 마스크 A[n]침묵의 마스크 B[n]침묵의 마스크 C[n]카우 토리 구슬[n]아쿠아 토리 구슬[n]검객 토리 구슬[n]똑똑한 펫먹이[n]장비보호 스크롤[n]실로안의 심물[n]등급고정 해제스크롤[n]큰 스페셜 포인트 충전제[n]
zts4586e	독립 기념일 선물상자 A
zts4587e	독립 기념일 선물 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]안셀로안의 축복[n]수호신의 축복[n]실로안의 샘물[n]페어리 부스터[n]곰인형 옷(영구)[n]곰인형 모자(영구)[n]방어력 상승 물약[n]폭죽[n]큰 스페셜 포인트 충전제[n]등급고정 해제 스크롤[n]장비 보호 스크롤[n]무에타이 토리 펫 구슬[n]
zts4588e	독립 기념일 선물상자 B
zts4589e	독립 기념일 선물 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]안셀로안의 축복[n]수호신의 축복[n]실로안의 샘물[n]페어리 부스터[n]팬더 옷(영구)[n]팬더 모자(영구)[n]방어력 상승 물약[n]폭죽[n]큰 스페셜 포인트 충전제[n]등급고정 해제 스크롤[n]장비 보호 스크롤[n]페가수스 펫 구슬[n]
zts4590e	HP:2000 MP:2000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4591e	HP:2500[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4592e	HP:2000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4593e	MP:2000[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4594e	MP:2500[n]사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]
zts4595e	옛아스터사원 예배당에 있는 옛아스터사원 비밀통로를 통해 도적단 레이드를 수행할 수 있다.[n]권장레벨 : 80~99[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n][n]
zts4596e	HP:700 MP:700[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4597e	HP:2500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식 중에 먹을 수 있다.[n][n]
zts4598e	HP:700 MP:300[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4599e	HP:300 MP:700[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4600e	HP:1000 MP:500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4601e	HP:500 MP:1000[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][n]
zts4602e	MP:2500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식 중에 먹을 수 있다.[n][n]
zts4603e	HP:2500 MP:2500[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식 중에 먹을 수 있다.[n][n]
zts4604e	무에타이 토리 상자
zts4605e	무에타이 토리 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]무에타이 토리 펫 구슬[n]감기걸린토리 구슬[n]엔젤윙[n]데빌윙[n]페어리 부스터[n]장비보호 스크롤[n]등급고정 해제 스크롤[n]큰 스페셜 충전제[n]똑똑한 펫먹이[n]
zts4606e	착용 시 광대의 기분으로 빨리 움직이며 더 많은 돈을 획득합니다.[n]이동속도+1, 골드획득량 10% 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4607e	착용 시 마법사의 마력으로 마나가 증가하고 소모가 줄며 모든 속성에 대한 저항이 증가합니다.[n]마나소모 20% 감소, MP 최대치 2500 증가, 모든 속성 저항 3 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4608e	착용 시 연인의 사랑과 따뜻함이 느껴집니다.[n]HP 최대치 2,000 증가, MP 최대치 2,000 증가, 모든 공격력 50 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4609e	착용 시 은둔자 처럼 행동해 방어력이 증가합니다.[n]모든 방어력 100 증가, HP 최대치 800증가, 모든 속성 저항 3 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4610e	착용 시 죽음의 섬&#52255;함을 느끼게 합니다.[n]명중률 150 증가, 모든 공격력 150 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n]
zts4611e	착용 시 악마의 힘으로 강해집니다.[n]이동속도 +1, HP 800 증가, 모든 공격력 250 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4612e	착용 시 탑의 마력으로 골드와 경험치를 더 많이 얻습니다.[n]골드 획득량 10% 증가, 전투경험치 획득량 10% 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4613e	착용 시 별빛의 영향으로 빨리 움직이고 더 많은 경험치를 얻습니다.[n]이동속도 +1, 전투경험치 획득량 15% 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4614e	착용 시 달의 축복을 받습니다.[n]MP 최대치 1500 증가, 모든 공격력 50 증가, 모든 방어력 50 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n]
zts4615e	착용 시 태양의 열기를 받아 강해집니다.[n][n]이동속도 +1, MP 800 증가, 모든 공격력 250 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4616e	노스몰에서 구매한 아이템이 들어 있는 상자.[n][구성 품목][n]마법 스쿠터 상자 1개[n]우정의 날개 10개[n]확성기 30개[n]타로카드 팩 1개[n]마법 스쿠터 상자와 다양한 아이템들 그리고 구매특전으로 고대의 뽑기 상자 가 들어있다.[n][n]
zts4617e	마법 스쿠터 상자
zts4618e	프리미엄 상자에서 꺼낸 상자.[n]마법 스쿠터가 들어있다.[n][주의사항][n]마법 스쿠터를 상자에서 꺼내면 더 이상 거래할 수 없습니다.[n][n]
zts4619e	고대의 뽑기 상자
zts4620e	각종 아이템이 숨겨져 있는 행운의 상자! 다른 곳에서는 구할 수 없는 희귀 아이템을 찾을 수 있다.[n][n]
zts4621e	노스몰에서 구매한 아이템이 들어 있는 상자.[n]안셀로안의 축복, 타로카드 팩, 큰 스페셜 충전제와 모자 뽑기 상자(7일) 가 들어있다.[n][n]
zts4622e	타로카드 [광대]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [광대]를 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4623e	타로카드 [마법사]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [마법사]를 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4624e	타로카드 [연인]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [연인]을 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4625e	타로카드 [은둔자]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [은둔자]를 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4626e	타로카드 [죽음]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [죽음]을 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4627e	타로카드 [악마]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [악마]를 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4628e	타로카드 [탑]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [탑]을 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4629e	타로카드 [별]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [별]을 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4630e	타로카드 [달]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [달]을 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4631e	타로카드 [태양]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [태양]을 획득합니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4632e	5장이 들어있는 팩. 사용시 타인에게 양도할 수 있는 봉인된 타로카드 5매를 획득합니다.[n][얻을 수 있는 아이템][n]봉인된 타로카드 [광대],[마법사],[연인],[은둔자],[죽음],[악마],[탑],[별],[달],[태양] 중 5장을 획득[n][봉인된 타로카드][n]봉인된 타로카드를 사용하면 타로카드(장비)를 획득합니다.[n]타로카드(장비)는 착용시부터 사용시간이 적용됩니다.[n][사용레벨][n]사용 레벨 제한 없음.[n][n]
zts4633e	아이템 사용시 마법 스쿠터 라이더로 변신한다.[n]이동속도가 지형에 상관없이 평균적으로 빨라진다.[n]변신중 아이템을 사용하면 변신이 해제된다.[n]변신중 다른 이동속도 증감 효과를 받지 않는다.[n]사용 레벨 제한이 없다.[n][n]
zts4634e	아이템 사용시 마법 융단 라이더로 변신한다.[n]사막지역에서 이동속도가 빨라진다.[n]다른 지역에서는 약간 빨라진다.[n]변신중 아이템을 사용하면 변신이 해제된다.[n]변신중 다른 이동속도 증감 효과를 받지 않는다.[n]70레벨 이상이 사용할 수 있다.[n][n]
zts4635e	착용 시 태양의 열기를 받아 강해집니다.[n]이동속도 +1, MP 800 증가, 모든 공격력 250 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]
zts4636e	경험치 획득량이 100% 상승한다.[n](1시간 사용가능)[n][n]
zts4637e	할로윈토리 구슬
zts4638e	블루마린 코스튬(1일)
zts4639e	블루마린 코스튬(7일)
zts4640e	블루마린 코스튬(30일)
zts4641e	블루마린 코스튬(영구)
zts4642e	블루세일러 코스튬(1일)
zts4643e	블루세일러 코스튬(7일)
zts4644e	블루세일러 코스튬(30일)
zts4645e	블루세일러 코스튬(영구)
zts4646e	블루마린 모자(1일)
zts4647e	블루마린 모자(7일)
zts4648e	블루마린 모자(30일)
zts4649e	블루마린 모자(영구)
zts4650e	블루세일러 모자(1일)
zts4651e	블루세일러 모자(7일)
zts4652e	블루세일러 모자(30일)
zts4653e	블루세일러 모자(영구)
zts4654e	2(이벤트)
zts4655e	2주년 기념 메달
zts4656e	무에타이 토리 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]무에타이 토리 펫 구슬[n]작은 스페셜 충전제[n]매우 큰 전체 회복제[n]체면상승 물약[n]천사의 날개[n]수호신의 축복[n]우정의 날개[n][n]
zts4657e	할로윈 변신 스크롤
zts4658e	아이템을 사용하면 할로윈 분위기에 어울리는 몬스터로 변신한다. 변신 성공시 1개를 소모한다.[n][변신할 수 있는 몬스터][n]럼버야크[n]페트리시아[n]집게고문관[n]바퀴고문관[n]인두고문관[n][변신해제 방법][n]변신 상태에서 변신에 사용한 아이템을 다시 사용하면 아이템 소모 없이 변신이 해제된다.[n]변신 상태에서 사망하거나 접속을 해제해도 변신이 해제된다.[n][n]
zts4659e	할로윈 변신 마법책
zts4660e	아이템을 사용하면 할로윈 분위기에 어울리는 몬스터로 변신한다.[n][변신할 수 있는 몬스터][n]럼버야크[n]페트리시아[n]집게고문관[n]바퀴고문관[n]인두고문관[n][변신해제 방법][n]변신 상태에서 변신에 사용한 아이템을 다시 사용하면 변신이 해제된다.[n]변신 상태에서 사망하거나 접속을 해제해도 변신이 해제된다.[n][n]
zts4661e	할로윈 변신 스크롤(이벤트)
zts4662e	아이템을 사용하면 할로윈 분위기에 어울리는 몬스터로 변신한다. 변신 성공시 1개를 소모한다.[n][변신할 수 있는 몬스터][n]럼버야크[n]페트리시아[n]집게고문관[n]바퀴고문관[n]인두고문관[n][변신해제 방법][n]변신 상태에서 변신에 사용한 아이템을 다시 사용하면 아이템 소모 없이 변신이 해제된다.[n]변신 상태에서 사망하거나 접속을 해제해도 변신이 해제된다.[n][이벤트 아이템][n]이 아이템은 이벤트 종료 시 사라진다.[n][n]
zts4663e	할로윈 레이드 인장
zts4664e	밀라노 마을에 있는 ㅇㅇㅇ을 통해 할로윈 레이드를 수행할 수 있다.[n]권장레벨 : 20 ~ 99[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n](하트개수 증가 없음, 원정성공시 보물상자 받지 못함)[n][이벤트 아이템][n]이 아이템은 이벤트 종료시 사라진다.[n][n]
zts4665e	할로윈 과자 주머니
zts4666e	마을 NPC들에게 Trick! of Treat!! 를 하고 받은 주머니[n]모아서 브룩힐드의 하마꿍 집사에게 가져가면 할로윈 이벤트 선물과 교환 받을 수 있다.[n][이벤트 아이템][n]이 아이템은 이벤트 종료시 사라진다.[n][n]
zts4667e	할로윈 푯말
zts4668e	30분동안 다른 사람이 미니랜드에 들어올 수 있도록 푯말을 세운다.[n]잭오랜턴 모양으로 생겼다.[n][n]
zts4669e	할로윈 선물 상자
zts4670e	상자를 열면 다양한 이벤트 아이템을 획득할 수 있다.[n][이벤트 아이템][n]이 아이템은 이벤트 종료시 사라진다.[n][n]
zts4671e	잭오랜턴 보물상자
zts4672e	노스몰에서 구매한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목중 임의의 1종을 획득한다.[n][얻을 수 있는 아이템][n]할로윈 변신 스크롤 30 장[n]할로윈 토리 구슬 1 개[n]할로윈 푯말 20 개[n]안셀로안의 축복 3개[n]타로카드팩 3개[n][추가 보너스][n]할로윈 변신 스크롤 10 장[n]00 아이템 0 개[n]구매특전으로 ???? 뽑기 상자 가 들어있다.[n][n]
zts4673e	사용시 플레이어와 노스메이트를 회복시켜준다.[n][n]이 아이템은 이벤트 종료시 사라진다[n]
zts4674e	착용 시 죽음의 섬&#52255;함을 느끼게 합니다.[n]명중률 150 증가, 모든 공격력 150 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4675e	축복 5개 패키지(이벤트)
zts4676e	경험치 획득량을 증가시켜주는 아이템 세트.[n]사용시 안셀로안의 축복 5개, 수호신의 축복 5개를 얻을 수 있다.[n]
zts4677e	축복 10개 패키지(이벤트)
zts4678e	타로카드 [광대]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [광대]를 획득합니다.[n][사용레벨][n][n]
zts4679e	타로카드 [마법사]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [마법사]를 획득합니다.[n][사용레벨][n][n]
zts4680e	타로카드 [연인]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [연인]을 획득합니다.[n][사용레벨][n][n]
zts4681e	타로카드 [은둔자]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [은둔자]를 획득합니다.[n][사용레벨][n][n]
zts4682e	타로카드 [죽음]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [죽음]을 획득합니다.[n][사용레벨][n][n]
zts4683e	타로카드 [악마]가 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [악마]를 획득합니다.[n][사용레벨][n][n]
zts4684e	타로카드 [탑]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [탑]을 획득합니다.[n][사용레벨][n][n]
zts4685e	타로카드 [별]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [별]을 획득합니다.[n][사용레벨][n][n]
zts4686e	타로카드 [달]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [달]을 획득합니다.[n][사용레벨][n][n]
zts4687e	타로카드 [태양]이 봉인되어 있어 타인에게 양도할 수 있다.[n][사용방법][n]더블클릭해서 사용하면 봉인을 풀어 타로카드 [태양]을 획득합니다.[n][사용레벨][n][n]
zts4688e	5장이 들어있는 팩. 사용시 타인에게 양도할 수 있는 봉인된 타로카드 5매를 획득합니다.[n][얻을 수 있는 아이템][n]봉인된 타로카드 [광대],[마법사],[연인],[은둔자],[죽음],[악마],[탑],[별],[달],[태양] 중 5장을 획득[n][봉인된 타로카드][n]봉인된 타로카드를 사용하면 타로카드(장비)를 획득합니다.[n]타로카드(장비)는 착용시부터 사용시간이 적용됩니다.[n][사용레벨][n][n]
zts4689e	레어상승부적(이벤트)
zts4690e	경험치 획득량을 증가시켜주는 아이템 세트.[n][n]사용시 안셀로안의 축복 10개, 수호신의 축복 10개를 얻을 수 있다.[n]
zts4691e	가방 30일 패키지(이벤트)
zts4692e	가방 10일 패키지(이벤트)
zts4693e	모험가의 배낭 10일(이벤트)
zts4694e	모험가의 배낭 30일(이벤트)
zts4695e	파트너의 배낭 10일(이벤트)
zts4696e	파트너의 배낭 30일(이벤트)
zts4697e	펫의 배달바구니 10일(이벤트)
zts4698e	펫의 배달바구니 30일(이벤트)
zts4699e	착용 시 죽음의 섬&#52255;함을 느끼게 합니다.[n]명중률 150 증가, 모든 공격력 150 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4700e	착용 시 연인의 사랑과 따뜻함이 느껴집니다.[n]HP 최대치 2000 증가, MP 최대치 2000 증가, 모든 공격력 50 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4701e	펌프킨토리 구슬
zts4702e	할로윈 보물상자
zts4703e	잭오랜턴 레이드 인장
zts4704e	밀라노 마을 북서쪽에 있는 잭오랜턴 은신처를 통해 잭오랜턴 레이드를 수행할 수 있다.[n]권장레벨 : 20 ~ 99[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람 클릭 후 원정대 영입 버튼을 누르면 원정대로 가입 시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]권장레벨 이상의 사람은 원정대에 참여는 가능하지만 패널티를 받는다.[n](하트개수 증가 없음, 원정성공시 보물상자 받지 못함)[n][이벤트 아이템][n]이 아이템은 이벤트 종료시 사라진다.[n][n]
zts4705e	노스몰에서 구매한 아이템이 들어 있는 상자.[n]할로윈 보물상자와 고급 뽑기 상자 가 들어있다.[n]
zts4706e	착용 시 연인의 사랑과 따뜻함이 느껴집니다.[n]HP 최대치 800 증가, MP 최대치 800 증가, 모든 공격력 50 증가[n]필요레벨: 1Lv[n]사용기간: 3시간[n]착용시부터 사용기간이 적용된다.[n][n]
zts4707e	아이템 사용시 마법 융단 라이더로 변신한다.[n]사막지역에서 이동속도가 더 빨라진다.[n]변신중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n]
zts4708e	할로윈 보물상자(일본)
