zts1e	공격특수
zts649e	%s%% 확률로 [%s] 대량 소환 (일정시간후 사라짐)
zts650e	라이더 이동속도 변경
zts651e	라이더 부스터의 효과로 라이더의 성능이 향상되었습니다.
zts652e	순간적으로 라이더의 성능을 극대화시킨다.
zts653e	애꾸는 선장 쿵펜
zts654e	해룡 소환 공격
zts655e	좌표 순간이동
zts656e	특정 좌표로 순간이동
zts657e	술통방어
zts658e	HP 무적
zts659e	케르토스
zts660e	분노의 돌진
zts661e	케르토스 새끼를 향해 돌진한다
zts662e	랜덤소환(1개)
zts663e	%s%% 확률로 [%s] 1개 소환
zts664e	%s%% 확률로 [%s] 1개 소환 (일정시간후 사라짐)
zts665e	특수한 효과3
zts666e	얼굴 헤이트
zts667e	주위 공격(자폭)
zts668e	주위의 상대방이 자신을 주목하도록 만듭니다
zts669e	주위의 상대방에게 자신을 관심에서 벗어나도록 만듭니다
zts670e	자폭 공격으로 주위 %s칸이내에 %s%%의 피해를 입힌다
zts671e	모든 공격력이 %s만큼 증가한다
zts672e	모든 공격력이 %s만큼 감소한다
zts673e	모든 방어력이 %s만큼 상승한다
zts674e	모든 방어력이 %s만큼 감소한다
zts675e	최대MP변경(베어스피릿)
zts676e	최대MP가 %s%% 증가한다. 단, 최대 MP증가치가 5천을 넘지 않는다.
zts677e	최대MP가 %s%% 감소한다. 단, 최대 MP감소치가 5천을 넘지 않는다.
zts678e	모든 적들의 능력을 하락시킨다.
zts679e	신규스페셜리스트1
zts680e	매직리플렉션 데미지 반사
zts681e	사용안함
zts682e	익스큐션 군중의환호
zts683e	스니어다중효과
zts684e	매직리플렉션 디버프 반사
zts685e	받은 피해의 최대 %s까지 반사한다.
zts686e	모든 공격을 %s%%확률로 %s%%의 피해가 증가하며, 블록 성공시 기운을 충전한다.
zts687e	모든 공격을 %s%%확률로 %s%%의 피해가 감소하며, 블록 성공시 기운을 충전한다.
zts688e	상대 플레이어를 처형에 성공할 경우, %s%%확률로 [%s]가 발동된다.
zts689e	넉다운 상태의 적에게 스니어를 사용 할 경우, %s%%확률로 [%s]가 된다.
zts690e	일반 상태의 적에게 스니어를 사용 할 경우, %s%%확률로 [%s]가 된다.
zts691e	일정확률로 상대 플레이어의 나쁜효과를 반사시킨다.
zts692e	신규스페셜리스트2
zts693e	웨폰마스터리 폭약강화
zts694e	캐논 슈터의 공격 범위가 %s 증가된다.
zts695e	캐논 슈터의 공격 범위가 %s 감소된다.
zts696e	상대방으로부터 %s칸 뒤로 후퇴한다.
zts697e	신규스페셜리스트3
zts698e	볼케닉파워
zts699e	볼케닉 기술력이 %s%%만큼 증가된다.
zts700e	볼케닉 기술력이 %s%%만큼 감소된다.
zts701e	공격력버프효율감소
zts702e	공격력버프삭제
zts703e	치뎀 최대치 설정
zts704e	상대방이 사용하고있는 공격력 증가 버프의 효율을 감소시킨다.
zts705e	일정 확률로 상대방의 공격력 증가 버프를 1개 삭제시킨다.
zts706e	%s 이상의 치명타 피해량을 막아낸다.
zts707e	신규물스페(검사)
zts708e	숭고한희생
zts709e	숭도한희생데미지감소
zts710e	내상회복량
zts711e	연계스킬추가피해
zts712e	희생정신반사
zts713e	일정 거리내의 동료의 피해를 %s%% 감소시키고, 동료가 받는 피해의 %s%% 만큼 대신 피해 받는다.
zts714e	전이된 동료의 피해 데미지를 최대 %s%%까지 증가시킨다.
zts715e	전이된 동료의 피해 데미지를 최대 %s%%까지 감소시킨다.
zts716e	HP회복량이 %s%% 증가한다.
zts717e	HP회복량이 %s%% 감소한다.
zts718e	연계 기술에 %s%%추가 피해를 입는다.
zts719e	스킬관련
zts720e	스킬적용해제
zts721e	짧은명상
zts722e	일반명상
zts723e	깊은명상
zts724e	희생정신
zts725e	짧은명상을 유지하면 깨달음을 통해 %s%%확률로 [%s]을 얻는다.
zts726e	일반명상을 유지하면 깨달음을 통해 %s%%확률로 [%s]을 얻는다.
zts727e	깊은명상을 유지하면 깨달음을 통해 %s%%확률로 [%s]을 얻는다.
zts728e	희생을 실천할 경우 %s%%확률로 [%s]을 얻는다.
zts729e	신규물스페(법사)
zts730e	빅월풀
zts731e	어비스워커
zts732e	지정된 위치에 %s%%확률로 [%s]을 발생시킨다.
zts733e	지정된 위치에 %s%%확률로 [%s]을 제거시킨다.
zts734e	순간적으로 자취를 감춘다.
zts735e	파트너스킬
zts736e	피해시HP증가
zts737e	공격충전
zts738e	방어시버프적용
zts739e	스킬연계뎀지퍼센트증가
zts740e	스킬연계치명확률증가
zts741e	%s%%확률로 자신이 받은 피해의 %s%%만큼 HP가 회복하며, 버프 발동시 피해를 입지 않는다.
zts742e	%s%%확률로 자신이 받은 피해의 %s%%만큼 HP가 감소한다, 버프 발동시 피해를 입지 않는다.
zts743e	다음 공격에 사용된다.
zts744e	%s%% 확률로 공격 성공시 1회용 [%s]를 발생시킨다.
zts745e	%s%% 만큼 데미지가 증가된, [%s]을 사용할 수 있다.
zts746e	%s%% 만큼 데미지가 감소된, [%s]을 사용할 수 있다.
zts747e	%s%% 만큼 치명타 발생 확률이 증가된, [%s]을 사용할 수 있다.
zts748e	%s%% 만큼 치명타 발생 확률이 감소된, [%s]을 사용할 수 있다.
zts749e	펫용
zts750e	특화퍼센트데미지
zts751e	아이템회복량증가
zts752e	%s에 대해서 %s%%의 추가 피해를 입힌다
zts753e	%s 공격시 %s%%만큼 데미지가 감소된다
zts754e	아이템 회복량이 %s%% 만큼 증가한다
zts755e	아이템 회복량이 %s%% 만큼 감소한다
zts756e	캐서린변신추가능력
zts757e	카드 착용 대상이 캐서린일 경우, %s%%확률로 [%s]를 발생시킨다
zts758e	카드 착용 대상이 캐서린일 경우, %s%%확률로 [%s]를 제거시킨다
zts759e	신규물스페(법사 궁사)
zts760e	엠버쉬
zts761e	엠버쉬피버
zts762e	옵저버(설명용)
zts763e	호크센스(설명용)
zts764e	매복 상태에서 적에게 집중 공격을 한다.
zts765e	지정한 타겟에게 매를 붙여 추적한다. 화면전환을 이용하여 적의 동태를 살필 수 있으며, 옵저버 호크를 이용한 공격이 가능하다.
zts766e	범위내의 적들을 파악하여 가장 낮은 체력의 적을 찾아내 공격 후 징표를 생성한다. 징표를 누르면 대상을 일점사 할 수있다.
zts767e	PvP 방어력 증가
zts768e	PvP 방어력 %s%% 증가
zts769e	PvP 방어력 %s%% 감소
zts770e	신규물스페(궁사2)
zts771e	저격자세
zts772e	스나이핑(설명용)
zts773e	사거리증가
zts774e	반전효과
zts775e	스나이핑1단계(설명용)
zts776e	적군의 남아있는 체력에서 %s%% 만큼 회복시킨다.
zts777e	적군의 남아있는 체력에서 %s%% 만큼 소멸시킨다.
zts778e	%s회 사용시 [%s]를 발생시킨다. 단, 최대 2회까지 누적된다.
zts779e	공격 사거리가 %s 만큼 증가한다.
zts780e	공격 사거리가 %s 만큼 감소한다.
zts781e	%s초 시간동안 자기의 의지와는 상관없이 반대로 움직인다.
zts782e	매복 사용시 %s의 확률로 [%s]를 발생시킨다.
zts783e	신규물스페(궁사3)
zts784e	헤드샷(설명용)
zts785e	사거리증가(설명용)
zts786e	스나이핑2단계(설명용)
zts787e	스나이핑 스킬 공격시 %s%%확률로 [%s]를 발생시킨다.
zts788e	스나이핑 스킬 공격시 %s%%확률로 [%s]를 제거시킨다.
zts789e	매복 상태에서 공격 사거리가 %s 증가한다.
zts790e	매복 상태에서 공격시 %s의 확률로 [%s]를 발생시킨다.
zts791e	물속성레이드
zts792e	영원한결빙(설명용)
zts793e	조작이 불가능한 상태로 다른 플레이어가 근접해서 레버를 %s초 동안 돌려야만 얼음 상태가 해제된다.
zts794e	짧은명상을 유지하면 %s%%확률로 [%s]을 얻는다.
zts795e	일반명상을 유지하면 %s%%확률로 [%s]을 얻는다.
zts796e	깊은명상을 유지하면 %s%%확률로 [%s]을 얻는다.
zts797e	단발마(디버프용)
zts798e	저격대상(설명용)
zts799e	저격 타겟팅되어 스나이핑 공격에 %s%% 치명타 피해를 입는다.
zts800e	한기폭풍(서버제어)
zts801e	히스란트 시야안의 적들을 모두 얼려버린다. 단, 특정 위치에 있는 경우는 제외
zts802e	확률적 특수 행동
zts803e	확률백스텝
zts804e	확률밀기
zts805e	근접 시간시간 변경
zts806e	원거리 시간시간 변경
zts807e	마법 시간시간 변경
zts808e	%s%%의 확률로 뒤로 %s칸 이동한다.
zts809e	%s%%의 확률로 뒤로 %s칸 이동한다
zts810e	%s%%의 확률로 상대방을 %s칸 뒤로 민다.
zts811e	근접 스킬의 시전 시간이 %s 만큼 증가한다.
zts812e	근접 스킬의 시전 시간이 %s 만큼 감소한다.
zts813e	원거리 스킬의 시전 시간이 %s 만큼 증가한다.
zts814e	원거리 스킬의 시전 시간이 %s 만큼 감소한다.
zts815e	마법 스킬의 시전 시간이 %s 만큼 증가한다.
zts816e	마법 스킬의 시전 시간이 %s 만큼 감소한다.
zts817e	PVP시, 자신을 죽인 상대의 남아있는 HP를 %s%% 감소시킨다.
zts818e	PVP시, 자신을 죽인 상대의 남아있는 HP를 %s%% 증가시킨다.
zts819e	PvP 공격력 증가
zts820e	PvP 공격력 %s%% 증가
zts821e	PvP 공격력 %s%% 감소
zts822e	논타겟순간이동
zts823e	지정된 장소로 순간이동한다.
zts824e	펫 특수 행동
zts825e	공격시소환
zts826e	죽을시HP회복
zts827e	%s%% 확률로 [%s] 소환한다.
zts828e	본체의 HP를 %s%% 회복시킨다.
zts829e	본체의 HP를 %s%% 감소시킨다.
zts830e	양 사냥(돌발용)
zts831e	숨어있는 양을 사냥할 수 있다.
zts832e	아레나버프
zts833e	아레나방어력
zts834e	아레나공격력
zts835e	대전장에서 받은 피해를 %s%%확률로 %s%%의 피해가 증가한다.
zts836e	대전장에서 받은 피해를 %s%%확률로 %s%%의 피해가 감소한다.
zts837e	대전장에서 공격 시 %s%%확률로 데미지가 %s%%증가한다.
zts838e	대전장에서 공격 시 %s%%확률로 데미지가 %s%%감소한다.
zts839e	팀아레나용(보여주기)
zts840e	1번소환
zts841e	2번소환
zts842e	3번소환
zts843e	옵저버뷰
zts844e	첫번째 주자를 소환한다.
zts845e	두번째 주자를 소환한다.
zts846e	세번째 주자를 소환한다.
zts847e	현재 대전중인 주자와 자신의 시점을 변경한다.
zts848e	은신감지
zts849e	주변에 숨어있는 대상을 볼 수 있다.
zts850e	페어리경험치상승
zts851e	페어리 경험치 획득량이 %s%% 증가한다.
zts852e	토리 킹(돌발용)
zts853e	도토리를 세게 던진다.
zts854e	신규어둠스페
zts855e	아브라카다브라
zts856e	일루젼
zts857e	마인드컨트롤
zts858e	타임러스이터니티
zts859e	어둠의기운
zts860e	%s%% 확률로 어둠의 근원을 최대 %s 소환한다.
zts861e	%s%% 확률로 HP회복 관련을 %s%% HP감소 상태로 바꾼다.
zts862e	%s%% 확률로 상대의 공격을 HP회복 상태로 바꾼다. 회복된 피해량은 %s초 후 누적되어 피해를 입는다.
zts863e	%s%% 확률로 상대방의 쿨타임을 %s%% 늘려버린다. 성공할 경우 자신의 쿨타임은 줄어든다.
zts864e	어둠속성일 경우 %s%% 확률로 어둠의 속성에 대한 받은 피해가 %s%% 증가된다.
zts865e	어둠속성일 경우 %s%% 확률로 어둠의 속성에 대한 받은 피해가 %s%% 감소된다.
zts866e	신규어둠스페2
zts867e	영혼방출
zts868e	땡겨오기저항
zts869e	흡수된 영혼을 가지고 있을때 사용하면, %s%%확률로 [%s]이 발동된다.
zts870e	흡수된 영혼이 없을 경우, %s%%확률로 [%s]이 발동된다.
zts871e	%s%%의 확률로 강제이동에 저항한다.
zts872e	마법 쿨타임 변경
zts873e	마법 스킬 재사용시간이 %s%% 증가한다.
zts874e	마법 스킬 재사용시간이 %s%% 감소한다.
zts875e	겨울이벤트레이드
zts876e	퍼센트데미지(확률)
zts877e	시야 전체에 강력한 공격을 한다. 단, 특정 위치에 있는 경우는 제외
zts878e	상대의 HP를 %s%% 확률로 %s%% 감소시킨다
zts879e	피해를 입으면 %s%% 확률로 HP가 %s%% 감소된다
zts880e	신규빛스페레이드
zts881e	가시덤불(서버제어)
zts882e	저주의향기(서버제어)
zts883e	시야 전체에 강력한 마법으로 가시덤불을 소환한다.
zts884e	강력한 마법으로 대상을 변신시킨다.
zts885e	좋은버프저항(확률)
zts886e	%s%% 확률로 %s 레벨이하 좋은효과 버프가 걸리지 않는다.
zts887e	주변이동(최대값에서마이너스2)
zts888e	스타폴
zts889e	매스텔레포트(보여주기용)
zts890e	주변 %s칸 이내로 빠르게 순간이동한다.
zts891e	10개의 기본 유성과 %s 개의 유성을 동시에 소환한다.
zts892e	기억된 위치로 주변 아군 %s명과 함께 순간이동 할 수 있다.
zts893e	딥빡(보여주기용)
zts894e	크게 흥분하여 기본 공격만 가능하다.
zts895e	주위 5칸 이내의 상대방이 자신을 주목하도록 만듭니다
zts896e	주위 5칸 이내의 상대방에게 자신을 관심에서 벗어나도록 만듭니다
zts897e	PVP용
zts898e	방어력관통
zts899e	크리티컬관통
zts900e	%s%% 확률로 상대방의 방어력을 %s%% 만큼 무시한다.
zts901e	%s%% 확률로 상대방의 크리티컬 피해감소를 %s%% 만큼 무시한다.
zts902e	최대HP가 %s%% 증가한다. 단, 최대 HP증가치가 8천을 넘지 않는다.
zts903e	최대HP가 %s%% 감소한다. 단, 최대 HP감소치가 8천을 넘지 않는다.
zts904e	영웅변신최대MP%변경
zts905e	안셀로안 강림 상태. 최대HP와 MP가 %s%% 증가한다.
zts906e	안셀로안 강림 상태. 최대HP와 MP가 %s%% 감소한다.
zts907e	그림자날개효과
zts908e	공격 시 %s%% 확률로 그림자가 추가 공격을 한다.
zts909e	버프훔치기
zts910e	공격 성공 시, 상대방의 %s레벨 이하 좋은효과를 최대 %s개 빼앗아온다.
zts911e	파트너버프훔치기(하드코딩)
zts912e	공격 성공 시 상대방 파트너 효과 중, %s레벨 이하 좋은효과를 %s개 빼앗아 주변 3칸이내 아군에게 전달한다.
zts913e	변신해제
zts914e	%s%%의 확률로 변신이 풀린다. 효과가 사라지면 원래의 상태로 돌아온다.
zts915e	공격불가(보여주기용)
zts916e	%s초 동안 공격이 불가능하다.
zts917e	%s%%의 확률로 변신이 해제된다. 적중될 경우 마지막 %s초 동안 공격이 불가능하며 이후 원상태가 된다.
zts918e	신규파트너스킬
zts919e	바꿔치기
zts920e	대상과의 위치가 바뀐 상태. 효과가 사라지면 원래의 위치로 돌아간다.
zts921e	사망 시 명성
zts922e	사망 시 각성경험치
zts923e	사망 시, 잃는 명성이 %s%% 증가한다.
zts924e	사망 시, 잃는 명성이 %s%% 감소한다.
zts925e	사망 시, 잃는 각성 경험치가 %s%% 증가한다.
zts926e	사망 시, 잃는 각성 경험치가 %s%% 감소한다.
zts927e	단죄(서버제어)
zts928e	단죄가 시작되어, 죽음으로 인도된다.
zts929e	천사진영 추가피해
zts930e	악마진영 추가피해
zts931e	천사 진영 공격 시, 최대 %s%%까지 데미지가 증가된다.
zts932e	천사 진영 공격 시, 최대 %s%%까지 데미지가 감소된다.
zts933e	악마 진영 공격 시, 최대 %s%%까지 데미지가 증가된다.
zts934e	악마 진영 공격 시, 최대 %s%%까지 데미지가 감소된다.
zts935e	단일 쿨타임 변경
zts936e	주변 버프적용해제
zts937e	%s%% 확률로 사용한 공격 스킬 재사용시간이 초기화된다
zts938e	주변 5칸 이내의 아군에게 %s%%확률로 [%s]를 발생시킨다
zts939e	주변 5칸 이내의 아군에게 %s%%확률로 [%s]를 제거시킨다
zts940e	%s%%확률로 %s레벨이하의 좋은효과를 소멸시킨다
zts941e	사냥 시 데미지 증가
zts942e	몬스터가 내 레벨과 같거나 높을 경우 공격 시 %s%% 확률로 데미지가 %s%% 증가한다.
zts943e	몬스터가 내 레벨과 같거나 높을 경우 공격 시 %s%% 확률로 데미지가 %s%% 감소한다.
zts944e	디버프방어
zts945e	%s회 동안 %s 레벨 이하의 나쁜효과를 막아준다.
zts946e	은신 중 이동속도 증감
zts947e	은신 상태에서, 이동속도가 추가로 %s증가한다.
zts948e	은신 상태에서, 이동속도가 추가로 %s감소한다.
zts949e	숨었다공격(코스튬)
zts950e	각성 명성 획득
zts951e	명성 획득
zts952e	각성 획득
zts953e	동행 시 상자 획득(설명용)
zts954e	리치 마력(설명용)
zts955e	명성 획득이 %s%% 만큼 증가한다.
zts956e	명성 획득이 %s%% 만큼 감소한다.
zts957e	각성 경험치 획득이 %s%% 만큼 증가한다.
zts958e	각성 경험치 획득이 %s%% 만큼 감소한다.
zts959e	동행 시, %s시간마다 %s개의 알 수 없는 아이템을 얻을 수 있다
zts960e	%s%% 확률로 상대방의 공격력 증가 버프를 1개 삭제시킨다.
zts961e	리치의 마력으로 본 드래곤의 크기가 증가하며, 드래곤의 활력을 술자에게 전해준다.
zts962e	리치의 마력으로 본 드래곤의 크기가 증가하며, 강력한 드래곤의 활력을 술자에게 전해준다.
zts963e	펫 스킬
zts964e	부활
zts965e	은신대상 공격할때
zts966e	은신대상 맞을때
zts967e	은신해제
zts968e	사망한 캐릭터를 부활시키며, 부활 시 HP, MP가 %s%% 회복된다.
zts969e	사망한 캐릭터를 부활시키며, 부활 시 HP, MP가 %s%% 회복된다.(사용안함)
zts970e	은신한 대상에게 공격을 가하면, %s의 추가 피해를 입힌다.
zts971e	은신한 대상에게 공격을 가하면, %s의 추가 피해를 입힌다.(사용안함)
zts972e	은신한 대상에게 받는 피해가 %s%% 증가한다.
zts973e	은신한 대상에게 받는 피해가 %s%% 감소한다.
zts974e	주변 %s 칸 이내의 숨어있는 적의 은신을 강제로 해제시킨다.
zts975e	주변 %s 칸 이내의 숨어있는 적의 은신을 강제로 해제시킨다.(사용안함)
zts976e	희생회복(노스메이트전용)
zts977e	미니랜드로 즉시 복귀되며, 캐릭터 HP를 %s%% 회복시킨다. 대상의 HP가 최대치일 경우, HP의 %s%% 확장 보너스로 얻는다.
zts978e	미니랜드로 즉시 복귀되며, 캐릭터 HP를 %s%% 회복시킨다. 대상의 HP가 최대치일 경우, HP의 %s%% 확장 보너스로 얻는다.(사용안함)
zts979e	준비자세(설명용)
zts980e	%s회 동안 재사용 대기 시간없이, 스킬을 사용 할 수 있다.
zts981e	%s회 동안 재사용 대기 시간없이, 스킬을 사용 할 수 있다.(사용안함)
zts982e	권사 스페
zts983e	변화무쌍
zts984e	단일 쿨타임 변경(스킬용)
zts985e	자세 변화를 통해, 일정 시간 동안, 불꽃을 다룰 수 있는 용의 자세를 취한다.
zts986e	자세 변화를 통해, 괴수 능력이 극대화된 해태의 자세를 취한다.
zts987e	%s%% 확률로 [%s] 재사용시간이 초기화된다
zts988e	%s%% 확률로 [%s] 재사용시간이 초기화된다(설명용)
zts989e	좋은효과 저항(기존좋은효과제외)
