zts1e	일반효과
zts662e	주화입마에 빠진 상태
zts663e	관통충격
zts664e	심한 관통충격
zts665e	극심한 관통충격
zts666e	희생정신
zts667e	어비스
zts668e	물의 장벽으로 자신을 감싼다.
zts669e	세이렌의 노래
zts670e	세이렌의 노래에 취해 몸을 제어할 수 없다.
zts671e	약한 물벼락
zts672e	물벼락을 맞아 잠시동안 이동속도가 느려진다.
zts673e	물벼락
zts674e	강력한 물벼락
zts675e	약한 일렉트릭 쇼크
zts676e	전기 충격으로 잠시동안 행동이 불가능해진다.
zts677e	일렉트릭 쇼크
zts678e	강력한 일렉트릭 쇼크
zts679e	워터프레셔
zts680e	압력으로 인해 몸을 가눌 수 없는 상태.
zts681e	오션 블래스
zts682e	신성한 바다의 축복을 받아 적의 공격으로부터 보호한다.
zts683e	바이킹의 분노(F)
zts684e	바이킹의 분노를 표출한다.
zts685e	바이킹의 분노(E)
zts686e	바이킹의 분노(D)
zts687e	바이킹의 분노(C)
zts688e	바이킹의 분노(B)
zts689e	바이킹의 분노(A)
zts690e	바이킹의 분노(S)
zts691e	악동의 일격(F)
zts692e	용기를 얻어 더욱 심한 장난을 친다.
zts693e	악동의 일격(E)
zts694e	악동의 일격(D)
zts695e	악동의 일격(C)
zts696e	악동의 일격(B)
zts697e	악동의 일격(A)
zts698e	악동의 일격(S)
zts699e	모성애(F)
zts700e	보호 본능이 발동된다.
zts701e	모성애(E)
zts702e	모성애(D)
zts703e	모성애(C)
zts704e	모성애(B)
zts705e	모성애(A)
zts706e	모성애(S)
zts707e	엄마의 지혜(F)
zts708e	여자는 약하지만, 어머니는 강하다.
zts709e	엄마의 지혜(E)
zts710e	엄마의 지혜(D)
zts711e	엄마의 지혜(C)
zts712e	엄마의 지혜(B)
zts713e	엄마의 지혜(A)
zts714e	엄마의 지혜(S)
zts715e	심한출혈(F)
zts716e	심한출혈(E)
zts717e	심한출혈(D)
zts718e	심한출혈(C)
zts719e	심한출혈(B)
zts720e	심한출혈(A)
zts721e	심한출혈(S)
zts722e	엄마의 잔소리(F)
zts723e	엄마의 잔소리(E)
zts724e	엄마의 잔소리(D)
zts725e	엄마의 잔소리(C)
zts726e	엄마의 잔소리(B)
zts727e	엄마의 잔소리(A)
zts728e	엄마의 잔소리(S)
zts729e	슈퍼울트라바이킹 샷(F)
zts730e	슈퍼울트라바이킹 샷(E)
zts731e	슈퍼울트라바이킹 샷(D)
zts732e	슈퍼울트라바이킹 샷(C)
zts733e	슈퍼울트라바이킹 샷(B)
zts734e	슈퍼울트라바이킹 샷(A)
zts735e	슈퍼울트라바이킹 샷(S)
zts736e	캐서린의 축복
zts737e	캐서린의 축복으로 인해, 보다 효율적인 공격이 가능하다.
zts738e	캐서린 특화능력
zts739e	캐서린의 특화능력으로 인해, 보다 효율적인 공격이 가능하다.
zts740e	공격력과 물속성 저항이 증가한다.
zts741e	블레싱 오브 플러피
zts742e	플러피의 축복으로 전투 능력이 향상된다.
zts743e	디크리즈
zts744e	상대의 공격력을 대폭 감소 시킨다.
zts745e	플러피 이베이젼
zts746e	깨닳음의 정신
zts747e	견고함의 정신
zts748e	강인함의 정신
zts749e	내상 I
zts750e	내상 II
zts751e	내상 III
zts752e	체내 기혈이 손상되어 손을 쓸 수 없다.
zts753e	포터블 트랩
zts754e	설치된 덫에 걸려 움직임이 봉쇄된 상태.
zts755e	실명
zts756e	연막의 효과로 시야가 감소되어 명중률이 현저히 낮아지고, 마법 스킬의 시전 시간이 증가된다.
zts757e	엠버쉬
zts758e	매복을 하여 공격 타이밍을 살핀다.
zts759e	엠버쉬 피버
zts760e	매복 상태에서 적에게 집중 공격을 한다.
zts761e	바이탈 포스
zts762e	숲의 정기를 받아, 전투 시 필요한 신체조건이 최적화된다.
zts763e	매복 자세 I
zts764e	은밀하게 이동하여 적에게 기습공격 할 수 있다.
zts765e	매복 자세 II
zts766e	저격 자세 I
zts767e	스나이핑의 극대화를 위한 자세. 매복상태에서 사용 할 수 있다.
zts768e	저격 자세 II
zts769e	헤드 샷
zts770e	강력한 한방을 맞아 머리에 충격이 있는 상태.
zts771e	매복 준비 자세 I
zts772e	매복 후 효율적으로 공격 할 수 있다.
zts773e	매복 준비 자세 II
zts774e	영원한 결빙
zts775e	몸이 얼어붙어 아무런 행동을 취할 수가 없다.
zts776e	포효 후유증
zts777e	거친 포효로 인해 잠시동안 탈진한 상태.
zts778e	만드라 마비 독
zts779e	만드라 식물의 마비 성분을 이용하여 순간적으로 신경이 통제불능 상태가된다.
zts780e	희석된 만드라 독
zts781e	만드라 식물의 독성분을 이용하여 신경에 영향을 준다.
zts782e	만드라 독
zts783e	강한 만드라 독
zts784e	치명적 만드라 독
zts785e	퀵이베이젼
zts786e	빠른 회전을 이용해서 물리 공격을 회피한다.
zts787e	저격대상
zts788e	스나이핑 공격에 큰 피해를 입는다.
zts789e	이글아이
zts790e	멀리 있는 적을 향해 정확한 공격이 가능하다.
zts791e	야수의 포효
zts792e	포효함으로써 전투력이 상승된다.
zts793e	야수의 광기
zts794e	극도로 흥분된 상태.
zts795e	피해의 일부를 동료에게 전달한다.
zts796e	동료의 피해를 감수하며 자신의 방어력을 높힌다.
zts797e	블레싱 오브 폭스
zts798e	불속성 저항이 증가한다.
zts799e	세이렌의 노래(PvP)
zts800e	팀아레나 부활 강화 1단계
zts801e	부활 시, 일정시간 동안 생존능력이 상승된다.
zts802e	팀아레나 부활 강화 2단계
zts803e	부활 시, 일정시간 동안 공격능력이 상승된다.
zts804e	팀아레나 부활 강화 3단계
zts805e	부활 시, 일정시간 동안 생존,공격,이동능력이 상승된다.
zts806e	불안정한 조합
zts807e	완벽한 조합
zts808e	아레나 공격력 상승
zts809e	아레나 방어력 상승
zts810e	아레나 에너지 상승
zts811e	아레나 이동속도 상승
zts812e	날카로운 눈매
zts813e	일정시간 주변에 숨어있는 대상을 볼 수 있다.
zts814e	모두 같은 직업으로 팀이 구성된 경우 조합이 불안정하다.
zts815e	모두 다른 직업으로 팀이 구성된 경우 안정적인 조합이다.
zts816e	일정시간 이동속도가 상승된다.
zts817e	물포탄피해
zts818e	공격력과 물속성 저항을 감소시킨다.
zts819e	블레싱 오브 네이비
zts820e	방어력과 물속성 저항이 증가한다.
zts821e	에레니아의 축복
zts822e	50%의 확률로 모든 나쁜효과에 저항한다.
zts823e	지나스의 축복
zts824e	모든 피해를 블록한다. 단, 이동과 공격을 할 수 없다.
zts825e	페르논의 정기
zts826e	지속되는 시간 동안 MP가 빠르게 회복된다.
zts827e	헬로드의 역습
zts828e	어둠속으로 몸을 숨겨 은신 상태가 된다.
zts829e	미스트헤븐의 역습
zts830e	순간적으로 매우 빠른 이동 상태가 된다.
zts831e	물포탄에 피해를 입어 공격력 물속성 저항을 감소시킨다.
zts832e	물포탄에 피해를 입어 공격력과 물속성 저항을 감소시킨다.
zts833e	대포 강화
zts834e	폭약을 강화하여 잠시동안 다수의 적을 타격한다.
zts835e	페어리 경험치 상승
zts836e	페어리 경험치 획득량이 상승한다.
zts837e	골탕 먹이기
zts838e	골탕 먹은 상태
zts839e	토리킹 물
zts840e	물 속성에 반대되는 속성을 공격하면 큰 피해를 받는다.
zts841e	머시너리 윙
zts842e	날개 강화 효과
zts843e	어둠의 일족(F)
zts844e	어둠 일족의 능력을 끌어올린다.
zts845e	어둠의 일족(E)
zts846e	어둠의 일족(D)
zts847e	어둠의 일족(C)
zts848e	어둠의 일족(B)
zts849e	어둠의 일족(A)
zts850e	어둠의 일족(S)
zts851e	매혹(F)
zts852e	매혹당한 상태
zts853e	매혹(E)
zts854e	매혹(D)
zts855e	매혹(C)
zts856e	매혹(B)
zts857e	매혹(A)
zts858e	매혹(S)
zts859e	어둠의 권능(F)
zts860e	파괴의 힘을 사용한다.
zts861e	어둠의 권능(E)
zts862e	어둠의 권능(D)
zts863e	어둠의 권능(C)
zts864e	어둠의 권능(B)
zts865e	어둠의 권능(A)
zts866e	어둠의 권능(S)
zts867e	유혹(F)
zts868e	상대방을 유혹할 수 있는 상태.
zts869e	유혹(E)
zts870e	유혹(D)
zts871e	유혹(C)
zts872e	유혹(B)
zts873e	유혹(A)
zts874e	유혹(S)
zts875e	독살(F)
zts876e	적을 빠르게 처치한다.
zts877e	독살(E)
zts878e	독살(D)
zts879e	독살(C)
zts880e	독살(B)
zts881e	독살(A)
zts882e	독살(S)
zts883e	문양 각인(F)
zts884e	침묵 상태
zts885e	문양 각인(E)
zts886e	문양 각인(D)
zts887e	문양 각인(C)
zts888e	문양 각인(B)
zts889e	문양 각인(A)
zts890e	문양 각인(S)
zts891e	어둠의 불꽃(F)
zts892e	상대방의 저항력을 낮춘다.
zts893e	어둠의 불꽃(E)
zts894e	어둠의 불꽃(D)
zts895e	어둠의 불꽃(C)
zts896e	어둠의 불꽃(B)
zts897e	어둠의 불꽃(A)
zts898e	어둠의 불꽃(S)
zts899e	권총 강화
zts900e	빛속성 기운이 증가하고, 자신의 HP를 회복한다.
zts901e	블레싱 오브 카우보이
zts902e	빛속성 저항이 증가한다.
zts903e	목마 소환
zts904e	목마를 소환하여 다수의 적을 공격한다.
zts905e	블레싱 오브 닌자
zts906e	어둠속성 저항이 증가한다.
zts907e	대천사의 날개
zts908e	마왕의 날개
zts909e	약한 신의 주먹
zts910e	신의 능력
zts911e	신의 주먹
zts912e	강력한 신의 주먹
zts913e	매우 강력한 신의 주먹
zts914e	컨퓨즈
zts915e	정신을 파괴하여 피해를 입힌다.
zts916e	어둠의 갑옷
zts917e	순간적으로 위기에서 탈출 할 수 있다.
zts918e	약한 어둠의 기운
zts919e	몸안에 어둠이 침식하여 피해를 입힌다.
zts920e	어둠의 기운
zts921e	강한 어둠의 기운
zts922e	커스 핸즈
zts923e	어둠의 손길로 인해 치명적인 피해를 입는다.
zts924e	일루젼
zts925e	환각과 공포로 휩싸인다.
zts926e	마인드 컨트롤
zts927e	자신에게 잠시동안 최면을 건다.
zts928e	강력한 시간의 억압
zts929e	상대방의 시간을 조절하여 방해한다.
zts930e	시간의 억압
zts931e	절제된 시간의 억압
zts932e	강력한 운명의 수레바퀴
zts933e	상대방의 시간을 방해한 만큼 이로운 효과를 얻는다.
zts934e	운명의 수레바퀴
zts935e	절제된 운명의 수레바퀴
zts936e	다크 블레이드
zts937e	어둠의 칼날의 피해로 인해 회복 아이템의 효율이 감소된다.
zts938e	흡수된 영혼
zts939e	영혼을 흡수하여 보관 중인 상태
zts940e	죽음의 표식
zts941e	죽음의 표식이 남아 있는 대상에게 영혼가르기를 사용할 경우 추가 피해를 입힌다
zts942e	영혼 방출
zts943e	흡수된 영혼을 방출하여 자신의 스킬 재사용시간을 감소 시킨다
zts944e	강력한 영혼 방출
zts945e	무한의 갑주
zts946e	방어력 상승과 강제이동 저항효과
zts947e	약한 원혼 폭주
zts948e	분노를 일으켜 강해진다
zts949e	원혼 폭주
zts950e	강력한 원혼 폭주
zts951e	원혼 빙의
zts952e	일정 시간동안 피해를 주며, 근처로 전염된다
zts953e	원혼 베기
zts954e	순간적으로 능력을 끌어 올린다
zts955e	강력한 원혼 빙의
zts956e	숙주가 되어 일정 시간동안 피해를 주며, 일정확률로 근처에 전염된다
zts957e	숙주로부터 감염되어 지속적으로 피해를 받는다
zts958e	사라카엘의 빛
zts959e	대천사 사라카엘의 힘이 깃들어 있다
zts960e	타오르는 불꿏 날개
zts961e	혹한의 불꽃 날개
zts962e	타오르는 불꽃 날개
zts963e	블레싱 오브 인디언
zts964e	불 속성 저항이 증가하고, 치명타 피해를 감소한다.
zts965e	인디언의 우정
zts966e	불 속성 기운이 증가하고, 다수의 적을 공격한다.
zts967e	구미호에게 홀리다
zts968e	구미호에게 홀려서 정신을 차릴 수 없다.
zts969e	빨간 병의 효과
zts970e	빨간 병의 특수한 효과
zts971e	애교에 푹 빠지다(F)
zts972e	구미호의 애교 몸짓에 푹 빠진다.
zts973e	애교에 푹 빠지다(E)
zts974e	애교에 푹 빠지다(D)
zts975e	애교에 푹 빠지다(C)
zts976e	애교에 푹 빠지다(B)
zts977e	애교에 푹 빠지다(A)
zts978e	애교에 푹 빠지다(S)
zts979e	뽀송뽀송한 꼬리(F)
zts980e	뽀송뽀송한 아홉개의 꼬리 감촉이 부드럽다.
zts981e	뽀송뽀송한 꼬리(E)
zts982e	뽀송뽀송한 꼬리(D)
zts983e	뽀송뽀송한 꼬리(C)
zts984e	뽀송뽀송한 꼬리(B)
zts985e	뽀송뽀송한 꼬리(A)
zts986e	뽀송뽀송한 꼬리(S)
zts987e	앙칼진 포효(F)
zts988e	구미호의 앙칼진 포효
zts989e	앙칼진 포효(E)
zts990e	앙칼진 포효(D)
zts991e	앙칼진 포효(C)
zts992e	앙칼진 포효(B)
zts993e	앙칼진 포효(A)
zts994e	앙칼진 포효(S)
zts995e	블레싱 오브 바이킹
zts996e	물 속성 저항이 증가와 스킬 재사용 시간이 감소되며, 일정 시간마다 MP가 회복된다.
zts997e	바이킹의 혼
zts998e	일정 시간동안 상태이상 저항이 높아지며, 공격력이 상승된다.
zts999e	호랑이 기운
zts1000e	호랑이 기운이 솟아난다.
zts1001e	순간적으로 이동속도가 저하된다.
zts1002e	참기름
zts1003e	미끌미끌 참기름
zts1004e	빙글빙글
zts1005e	빙글빙글 돌아 정신이 혼미하다.
zts1006e	대량 출혈(F)
zts1007e	대량 출혈 사태가 일어났다.
zts1008e	대량 출혈(E)
zts1009e	대량 출혈(D)
zts1010e	대량 출혈(C)
zts1011e	대량 출혈(B)
zts1012e	대량 출혈(A)
zts1013e	대량 출혈(S)
zts1014e	강력한 돌풍(F)
zts1015e	호랑이가 일으키는 강력한 풍압. 단, 상급생물에게는 통하지 않는다.
zts1016e	강력한 돌풍(E)
zts1017e	강력한 돌풍(D)
zts1018e	강력한 돌풍(C)
zts1019e	강력한 돌풍(B)
zts1020e	강력한 돌풍(A)
zts1021e	강력한 돌풍(S)
zts1022e	호랑이 기운(F)
zts1023e	호랑이 기운이 솟아나요.
zts1024e	호랑이 기운(E)
zts1025e	호랑이 기운(D)
zts1026e	호랑이 기운(C)
zts1027e	호랑이 기운(B)
zts1028e	호랑이 기운(A)
zts1029e	호랑이 기운(S)
zts1030e	치명적인 공격
zts1031e	일정 시간동안 항상 치명타 공격을 한다.
zts1032e	7주년 기념버프
zts1033e	팥죽 효과
zts1034e	도깨비의 보은
zts1035e	홍비와 청비는 함께있을 때 더욱 강하다.
zts1036e	카오스의 가호
zts1037e	불완전한 카오스의 가호를 받는다.
zts1038e	가시덤불
zts1039e	로레나가 사용하는 저주 마법, 가시덤불에 갇혀 움직일 수 없다.
zts1040e	저주의향기 지렁이
zts1041e	로레나가 사용하는 저주 마법, 지렁이로 변신된다.
zts1042e	저주의향기 쥐
zts1043e	로레나가 사용하는 저주 마법, 쥐로 변신된다.
zts1044e	뿔난 방망이(F)
zts1045e	도깨비 방망이가 매우 아프다!
zts1046e	뿔난 방망이(E)
zts1047e	뿔난 방망이(D)
zts1048e	뿔난 방망이(C)
zts1049e	뿔난 방망이(B)
zts1050e	뿔난 방망이(A)
zts1051e	뿔난 방망이(S)
zts1052e	도깨비 분신(F)
zts1053e	난폭한 도깨비 분신을 소환한다.
zts1054e	도깨비 분신(E)
zts1055e	도깨비 분신(D)
zts1056e	도깨비 분신(C)
zts1057e	도깨비 분신(B)
zts1058e	도깨비 분신(A)
zts1059e	도깨비 분신(S)
zts1060e	도깨비 감투(F)
zts1061e	도깨비 감투 요술을 사용해서 흔적도 없이 사라진다.
zts1062e	도깨비 감투(E)
zts1063e	도깨비 감투(D)
zts1064e	도깨비 감투(C)
zts1065e	도깨비 감투(B)
zts1066e	도깨비 감투(A)
zts1067e	도깨비 감투(S)
zts1068e	심판의 빛(F)
zts1069e	심판의 빛으로 징벌한다.
zts1070e	심판의 빛(E)
zts1071e	심판의 빛(D)
zts1072e	심판의 빛(C)
zts1073e	심판의 빛(B)
zts1074e	심판의 빛(A)
zts1075e	심판의 빛(S)
zts1076e	빛의 표식(F)
zts1077e	강렬한 빛으로 인한 낙인.
zts1078e	빛의 표식(E)
zts1079e	빛의 표식(D)
zts1080e	빛의 표식(C)
zts1081e	빛의 표식(B)
zts1082e	빛의 표식(A)
zts1083e	빛의 표식(S)
zts1084e	신의 이름으로(F)
zts1085e	신의 권능을 빌어 약화시킨다.
zts1086e	신의 이름으로(E)
zts1087e	신의 이름으로(D)
zts1088e	신의 이름으로(C)
zts1089e	신의 이름으로(B)
zts1090e	신의 이름으로(A)
zts1091e	신의 이름으로(S)
zts1092e	정화의 기운
zts1093e	정화의 가루 효과로 으스스한 기운을 물리친다.
zts1094e	으스스한 기운
zts1095e	마녀 로레나의 기운으로 인해 체력이 지속적으로 소모된다.
zts1096e	저주의향기 토리
zts1097e	로레나가 사용하는 저주 마법, 토리로 변신된다.
zts1098e	주문엮기
zts1099e	상대방의 공격 속성에 대응하는 스킬을 사용 할 수 있다.
zts1100e	화염
zts1101e	불의 기운
zts1102e	빙결
zts1103e	물의 기운
zts1104e	신성
zts1105e	빛의 기운
zts1106e	무속성
zts1107e	무속성 기운
zts1108e	암흑
zts1109e	오버드라이브 1단계
zts1110e	공격 시, 버프가 소멸되며 공격력을 증가시킨다.
zts1111e	오버드라이브 2단계
zts1112e	오버드라이브 3단계
zts1113e	주문사용
zts1114e	스펠 북 마스터리
zts1115e	일정 시간동안 자신의 능력을 최대한 끌어올린다.
zts1116e	빛나는 가루
zts1117e	빛의 가루로 얼룩져 있다. 홀리 익스플로젼에 추가 피해를 받는다.
zts1118e	메모리얼
zts1119e	순간이동할 수 있는 위치를 기억하고있다.
zts1120e	루미너스 라이트
zts1121e	신의 가호
zts1122e	연검
zts1123e	검상으로 인해 이동속도가 저하된다.
zts1124e	어둠의 심판
zts1125e	어둠의 힘으로 인해 움직일 수 없다.
zts1126e	심판
zts1127e	일정 시간동안 공격을 회피하지 못한다.
zts1128e	생츄어리
zts1129e	회복량이 대폭 감소된다.
zts1130e	이그나이트
zts1131e	검에 신성력을 씌워 공격력이 상승된다.
zts1132e	리 이그니션
zts1133e	신성한 힘이 몸에 깃들어 방어력이 상승된다.
zts1134e	커럽트
zts1135e	어둠의 기운에 의해 속박된 상태. 컨버트 효과에 추가 피해를 받는다.
zts1136e	다크 스프린트
zts1137e	어둠의 기운이 극대화되어 전력질주가 가능하게 된다.
zts1138e	번개(F)
zts1139e	강력한 번개에 맞은 상태.
zts1140e	번개(E)
zts1141e	번개(D)
zts1142e	번개(C)
zts1143e	번개(B)
zts1144e	번개(A)
zts1145e	번개(S)
zts1146e	가시덤불(F)
zts1147e	가시덩불로 인해 이동에 방해가 된다.
zts1148e	가시덤불(E)
zts1149e	가시덤불(D)
zts1150e	가시덤불(C)
zts1151e	가시덤불(B)
zts1152e	가시덤불(A)
zts1153e	가시덤불(S)
zts1154e	저주의 향기(F)
zts1155e	저주의 향기로 매우 약해져잇다.
zts1156e	저주의 향기(E)
zts1157e	저주의 향기(D)
zts1158e	저주의 향기(C)
zts1159e	저주의 향기(B)
zts1160e	저주의 향기(A)
zts1161e	저주의 향기(S)
zts1162e	가시덤불로 인해 이동에 방해가 된다.
zts1163e	저주의 향기로 매우 약해져있다.
zts1164e	마녀 로레나의 가호
zts1165e	마녀 로레나의 가호를 받는다.
zts1166e	도발
zts1167e	매우 거만한 상태로 적을 도발한다
zts1168e	딥빡
zts1169e	크게 흥분하여 깊은 빡침을 느끼는 상태
zts1170e	지옥의 겁화(F)
zts1171e	지옥의 겁화
zts1172e	지옥의 겁화(E)
zts1173e	지옥의 겁화(D)
zts1174e	지옥의 겁화(C)
zts1175e	지옥의 겁화(B)
zts1176e	지옥의 겁화(A)
zts1177e	지옥의 겁화(S)
zts1178e	끓어오르는 마기(F)
zts1179e	끓어오르는 마기
zts1180e	끓어오르는 마기(E)
zts1181e	끓어오르는 마기(D)
zts1182e	끓어오르는 마기(C)
zts1183e	끓어오르는 마기(B)
zts1184e	끓어오르는 마기(A)
zts1185e	끓어오르는 마기(S)
zts1186e	비늘강화(F)
zts1187e	더욱 단단해진 비늘로 피해를 감소시킨다
zts1188e	비늘강화(E)
zts1189e	비늘강화(D)
zts1190e	비늘강화(C)
zts1191e	비늘강화(B)
zts1192e	비늘강화(A)
zts1193e	비늘강화(S)
zts1194e	어둠의 계약
zts1195e	어둠과의 계약으로 신속하게 공격할 수 있다.
zts1196e	암살의 기회
zts1197e	일격필살로 적을 제압할 수 있다.
zts1198e	민첩한 발걸음
zts1199e	물리 공격에 대한 회피율이 극대화된다.
zts1200e	홀리 실드
zts1201e	성스러운 힘으로 적의 공격을 방어한다.
zts1202e	10~40초 사이에 일정 확률로 은신이 유지되며, 적에게 들키지 않는다
zts1203e	깡총깡총
zts1204e	경쾌한 발걸음으로 좀 더 빠르게 공격한다
zts1205e	풀독
zts1206e	풀좀 씹어봤다는 두목토끼의 풀독
zts1207e	당근독
zts1208e	당근좀 씹어봤다는 두목토끼의 당근독
zts1209e	깜짝 놀라 경끼를 일으킨다
zts1210e	불로장생의 기운
zts1211e	오래 살수있는 거북이들의 신묘한 기술
zts1212e	아이러브당근
zts1213e	거대한 당근으로 토끼를 유혹한다 거대 당근이 부셔지면 효과는 사라진다
zts1214e	풀독(F)
zts1215e	풀독(E)
zts1216e	풀독(D)
zts1217e	풀독(C)
zts1218e	풀독(B)
zts1219e	풀독(A)
zts1220e	풀독(S)
zts1221e	당근독(F)
zts1222e	당근독(E)
zts1223e	당근독(D)
zts1224e	당근독(C)
zts1225e	당근독(B)
zts1226e	당근독(A)
zts1227e	당근독(S)
zts1228e	깡총깡총(F)
zts1229e	깡총깡총(E)
zts1230e	깡총깡총(D)
zts1231e	깡총깡총(C)
zts1232e	깡총깡총(B)
zts1233e	깡총깡총(A)
zts1234e	깡총깡총(S)
zts1235e	타겟 온(F)
zts1236e	표적 대상이 되어 위험한 순간
zts1237e	타겟 온(E)
zts1238e	타겟 온(D)
zts1239e	타겟 온(C)
zts1240e	타겟 온(B)
zts1241e	타겟 온(A)
zts1242e	타겟 온(S)
zts1243e	스네어(F)
zts1244e	강력한 일격에 의해 일시적으로 이동에 제약이 생긴다
zts1245e	스네어(E)
zts1246e	스네어(D)
zts1247e	스네어(C)
zts1248e	스네어(B)
zts1249e	스네어(A)
zts1250e	스네어(S)
zts1251e	지원사격(F)
zts1252e	보다 강력한 화력으로 지원한다
zts1253e	지원사격(E)
zts1254e	지원사격(D)
zts1255e	지원사격(C)
zts1256e	지원사격(B)
zts1257e	지원사격(A)
zts1258e	지원사격(S)
zts1259e	안셀로안의 헌신
zts1260e	안셀로안의 힘으로 충만된 상태
zts1261e	안셀로안의 강림
zts1262e	8주년 기념버프
zts1263e	골드 드래곤의 금빛 날개
zts1264e	블랙 드래곤의 그림자 날개
zts1265e	절대영도(F)
zts1266e	MP가 급속하게 빠져나간다.
zts1267e	절대영도(E)
zts1268e	절대영도(D)
zts1269e	절대영도(C)
zts1270e	절대영도(B)
zts1271e	절대영도(A)
zts1272e	절대영도(S)
zts1273e	버블 샷(F)
zts1274e	HP가 급속하게 빠져나간다.
zts1275e	버블 샷(E)
zts1276e	버블 샷(D)
zts1277e	버블 샷(C)
zts1278e	버블 샷(B)
zts1279e	버블 샷(A)
zts1280e	버블 샷(S)
zts1281e	HP가 급속하게 빠져나간다. 치명타에 큰 피해를 입는다.
zts1282e	급속냉각(F)
zts1283e	급속하게 얼어붙어 마법을 사용하지 못한다.
zts1284e	급속냉각(E)
zts1285e	급속하게 얼어붙어 스킬 공격이 불가능하다.
zts1286e	급속냉각(D)
zts1287e	급속냉각(C)
zts1288e	급속냉각(B)
zts1289e	급속냉각(A)
zts1290e	급속냉각(S)
zts1291e	급속하게 얼어붙어 스킬 공격이 불가능하다. 모둔 기운에 대한 저항이 감소된다.
zts1292e	서리안개(F)
zts1293e	적을 찾기 어려워진다.
zts1294e	서리안개(E)
zts1295e	서리안개(D)
zts1296e	서리안개(C)
zts1297e	서리안개(B)
zts1298e	서리안개(A)
zts1299e	서리안개(S)
zts1300e	동상(F)
zts1301e	매서운 추위로 회피가 불가능하다.
zts1302e	동상(E)
zts1303e	동상(D)
zts1304e	동상(C)
zts1305e	동상(B)
zts1306e	동상(A)
zts1307e	동상(S)
zts1308e	글레이즈(F)
zts1309e	얇은 얼음막을 생성하여 적의 좋은 효과를 빼앗아온다.
zts1310e	글레이즈(E)
zts1311e	글레이즈(D)
zts1312e	글레이즈(C)
zts1313e	글레이즈(B)
zts1314e	글레이즈(A)
zts1315e	글레이즈(S)
zts1316e	깊은 상처(F)
zts1317e	깊게 베인 상처, 아물기 힘들다.
zts1318e	깊은 상처(E)
zts1319e	깊은 상처(D)
zts1320e	깊은 상처(C)
zts1321e	깊은 상처(B)
zts1322e	깊은 상처(A)
zts1323e	깊은 상처(S)
zts1324e	약탈의지(F)
zts1325e	적을 처치하고 더 많은 보물을 획득할 수 있다.
zts1326e	약탈의지(E)
zts1327e	약탈의지(D)
zts1328e	약탈의지(C)
zts1329e	약탈의지(B)
zts1330e	약탈의지(A)
zts1331e	약탈의지(S)
zts1332e	오싹한 한기(F)
zts1333e	공포의 유령선때문에 혼비백산된 상태.
zts1334e	오싹한 한기(E)
zts1335e	오싹한 한기(D)
zts1336e	오싹한 한기(C)
zts1337e	오싹한 한기(B)
zts1338e	오싹한 한기(A)
zts1339e	오싹한 한기(S)
zts1340e	광폭화 모드
zts1341e	분노 게이지가 모두 충전된 상태
zts1342e	울보쟁이
zts1343e	건망증 심한 에레니아
zts1344e	허영심 많은 지나스
zts1345e	앗 내 뿔장식이 어디갔지
zts1346e	건망증이 심한 그녀는 뿔을 사용한 것을 또 잊어버립니다.
zts1347e	내 구두 돌려줘잉
zts1348e	성격에 못이겨 구두를 집어 던진것에 후회합니다.
zts1349e	수제 뿔장식
zts1350e	여신 에레니아의 가호
zts1351e	명품 구두
zts1352e	여신 지나스의 가호
zts1353e	고통의 몸부림
zts1354e	여신 에레니아의 축복
zts1355e	안셀로안의 은총
zts1356e	성기사를 구출하여 안셀로안의 은총을 받았다.
zts1357e	성기사의 원한어린 절규
zts1358e	구출하지 못한 성기사의 원한이 서려있다.
zts1359e	에레니아의 저주
zts1360e	여신 에레니아의 저주가 내려진 상태
zts1361e	지나스의 저주
zts1362e	여신 지나스의 저주가 내려진 상태
zts1363e	안셀로안의 가호
zts1364e	안셀로안의 저주
zts1365e	안셀로안의 저주가 내려진 상태
zts1366e	지나스의 빡침
zts1367e	여신 지나스가 매우 화가난 상태
zts1368e	R Mode
zts1369e	R Mode 게이지가 모두 충전된 상태
zts1370e	눈속임
zts1371e	순간적으로 자취를 감춘다.
zts1372e	미스틱헤븐 세트효과
zts1373e	신화등급 아이템의 착용 효과
zts1374e	헬로드 세트효과
zts1375e	페르논 세트효과
zts1376e	뇌진탕(F)
zts1377e	곰인형과의 충돌로 인해 어지럽다.
zts1378e	뇌진당(E)
zts1379e	뇌진당(D)
zts1380e	뇌진탕(C)
zts1381e	뇌진탕(B)
zts1382e	뇌진탕(A)
zts1383e	뇌진탕(S)
zts1384e	인형 변신(F)
zts1385e	인형술사의 마력으로 강제 변신된 상태
zts1386e	인형 변신(E)
zts1387e	인형 변신(D)
zts1388e	인형 변신(C)
zts1389e	인형 변신(B)
zts1390e	인형 변신(A)
zts1391e	인형 변신(S)
zts1392e	거대화(F)
zts1393e	곰인형에 영혼을 불어넣은 상태
zts1394e	거대화(E)
zts1395e	거대화(D)
zts1396e	거대화(C)
zts1397e	거대화(B)
zts1398e	거대화(A)
zts1399e	거대화(S)
zts1400e	사망유희(F)
zts1401e	The Game Of Death
zts1402e	사망유희(E)
zts1403e	사망유희(D)
zts1404e	사망유희(C)
zts1405e	사망유희(B)
zts1406e	사망유희(A)
zts1407e	사망유희(S)
