zts1e	최고의 서비스
zts893e	숙녀 치파오 마법상자
zts894e	여성용 코스튬 마법상자[n]보라매화 치파오(30일/영구), 빨강봉황 치파오(30일/영구), 신감각 치파오(30일/영구), 황후 머리장식(30일/영구), 장비 보호스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제 중 한 개가 나온다[n]
zts895e	기모노 마법상자
zts896e	여성용 코스튬 마법상자[n]벚꽃색 기모노(30일/영구), 귀여운 무늬 기모노(30일/영구), 쿠노이치 복장(30일/영구), 꽃무늬 비녀(30일/영구), 장비 보호스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제 중 한 개가 나온다[n]
zts897e	귀여운 파티 마법상자
zts898e	여성용 코스튬 마법상자[n]파이어 로즈(30일/영구), 후레시 민트(30일/영구), 밀키 초콜렛(30일/영구), 장비 보호스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제 중 한 개가 나온다[n]
zts899e	날렵한 강아지 옷
zts900e	날렵한 강아지 옷(7일)
zts901e	날렵한 강아지 옷(30일)
zts902e	날렵한 강아지 옷(영구)
zts903e	초롱초롱한 강아지 옷
zts904e	초롱초롱한 강아지 옷(7일)
zts905e	초롱초롱한 강아지 옷(30일)
zts906e	초롱초롱한 강아지 옷(영구)
zts907e	예쁜 사자 의상!
zts908e	갈색 파마 사자 옷
zts909e	갈색 파마 사자 옷(7일)
zts910e	갈색 파마 사자 옷(30일)
zts911e	갈색 파마 사자 옷(영구)
zts912e	흑색 파마 사자 옷
zts913e	흑색 파마 사자 옷(7일)
zts914e	흑색 파마 사자 옷(30일)
zts915e	흑색 파마 사자 옷(영구)
zts916e	멋있는 강아지 옷
zts917e	멋있는 강아지 옷(7일)
zts918e	멋있는 강아지 옷(30일)
zts919e	멋있는 강아지 옷(영구)
zts920e	순한 강아지 옷
zts921e	순한 강아지 옷(7일)
zts922e	순한 강아지 옷(30일)
zts923e	순한 강아지 옷(영구)
zts924e	위엄있는 사자 의상!
zts925e	황금 사자 옷
zts926e	황금 사자 옷(7일)
zts927e	황금 사자 옷(30일)
zts928e	황금 사자 옷(영구)
zts929e	검은 사자 옷
zts930e	검은 사자 옷(7일)
zts931e	검은 사자 옷(30일)
zts932e	검은 사자 옷(영구)
zts933e	날렵한 강아지 모자
zts934e	날렵한 강아지 모자(7일)
zts935e	날렵한 강아지 모자(30일)
zts936e	날렵한 강아지 모자(영구)
zts937e	초롱초롱한 강아지 모자
zts938e	초롱초롱한 강아지 모자(7일)
zts939e	초롱초롱한 강아지 모자(30일)
zts940e	초롱초롱한 강아지 모자(영구)
zts941e	예쁜 사자 모자!
zts942e	갈색 파마 사자 모자(7일)
zts943e	갈색 파마 사자 모자(30일)
zts944e	갈색 파마 사자 모자(영구)
zts945e	흑색 파마 사자 모자(7일)
zts946e	흑색 파마 사자 모자(30일)
zts947e	흑색 파마 사자 모자(영구)
zts948e	멋있는 강아지 모자
zts949e	멋있는 강아지 모자(7일)
zts950e	멋있는 강아지 모자(30일)
zts951e	멋있는 강아지 모자(영구)
zts952e	위엄있는 사자 모자!
zts953e	황금 사자 모자
zts954e	황금 사자 모자(7일)
zts955e	황금 사자 모자(30일)
zts956e	황금 사자 모자(영구)
zts957e	검은 사자 모자
zts958e	검은 사자 모자(7일)
zts959e	검은 사자 모자(30일)
zts960e	검은 사자 모자(영구)
zts961e	갈색 파마 사자 모자
zts962e	흑색 파마 사자 모자
zts963e	순한 강아지 모자
zts964e	순한 강아지 모자 (7일)
zts965e	순한 강아지 모자 (30일)
zts966e	순한 강아지 모자 (영구)
zts967e	이벤트용
zts968e	안셀로안의 축복(이벤트용)
zts969e	대만 이벤트용[n]
zts970e	ACT4 선물상자A
zts971e	홍콩 이벤트용[n]
zts972e	ACT4 선물상자B
zts973e	가방 사고 창고도 받고
zts974e	가방 30일 패키지
zts975e	인벤토리를 늘려주는 가방 세트.[n]사용시 초대형 2층 창고 30일, 파트너의 배낭 30일, 모험가의 배낭 30일, 펫 배달 바구니 30일을 1개씩 얻을 수 있다.[n]
zts976e	부족한 인벤이여, 안녕
zts977e	가방 10일 패키지
zts978e	인벤토리를 늘려주는 가방 세트.[n]사용시 파트너의 배낭 10일, 모험가의 배낭 10일, 펫 배달 바구니 10일을 1개씩 얻을 수 있다.[n]
zts979e	경험치 아이템 특별 할인
zts980e	축복 10개 패키지
zts981e	경험치 획득량을 증가시켜주는 아이템 세트.[n]사용시 안셀로안의 축복 10개, 수호신의 축복 10개를 얻을 수 있다.[n]
zts982e	축복 5개 패키지
zts983e	경험치 획득량을 증가시켜주는 아이템 세트.[n]사용시 안셀로안의 축복 5개, 수호신의 축복 5개를 얻을 수 있다.[n]
zts984e	PvP에서 더 쎄게!
zts985e	PvP 공격력 강화제
zts986e	사용시 1시간 동안 PvP 공격력이 50% 상승한다.[n]프로즌크라운에서 상대 진영과 전투를 할 때에만 효과가 적용된다.[n]
zts987e	PvP 방어력 강화제
zts988e	사용시 1시간 동안 PvP 방어력이 50% 상승한다.[n]프로즌크라운에서 상대 진영과 전투를 할 때에만 효과가 적용된다.[n]
zts989e	PvP에서 더 튼튼하게!
zts990e	PvP 저항력 강화제
zts991e	사용시 1시간 동안 PvP 저항력이 20% 상승한다.[n]프로즌크라운에서 상대 진영과 전투를 할 때에만 효과가 적용된다.[n]
zts992e	우리 패밀리, 모여라!
zts993e	패밀리 소환 뿔나팔
zts994e	아이템을 사용한 위치로 패밀리원이 이동해 올 수 있다.[n]30초 동안 우측 하단에 배너가 출력되며, 배너를 클릭하여 이동할 수 있다.[n]같은 채널에 있는 패밀리원만 올 수 있으며, 레이드 및 시공의 돌에서는 사용이 불가능하다.[n]
zts995e	천사 화이트씰을 부활!
zts996e	천사 성소 키트
zts997e	최대 1시간 동안 천사 진영 화이트 씰을 부활시켜 주는 구조물을 설치한다.[n]HP와 MP 모두 100% 상태로 부활되며, 5초 동안 PvP 무적 버프가 걸린다.[n]부활을 하거나 적 진영에게 공격 받으면 성소의 사용시간이 줄어들며, 사용시간이 다 되면 사라지게 된다.[n][n]※프로즌크라운에서만 사용할 수 있으며, 자신이 천사 진영일 때만 사용할 수 있다[n]
zts998e	악마 화이트씰을 부활!
zts999e	악마 제단 키트
zts1000e	최대 1시간 동안 악마 진영 화이트 씰을 부활시켜 주는 구조물을 설치한다.[n]HP와 MP 모두 100% 상태로 부활되며, 5초 동안 PvP 무적 버프가 걸린다.[n]부활을 하거나 적 진영에게 공격 받으면 제단의 사용시간이 줄어들며, 사용시간이 다 되면 사라지게 된다.[n][n]※프로즌크라운에서만 사용할 수 있으며, 자신이 악마 진영일 때만 사용할 수 있다[n]
zts1001e	MY이벤트용
zts1002e	샐라임
zts1003e	파자마 카드
zts1004e	불속성 페어리
zts1005e	PvP 공격력 강화제 5개
zts1006e	PvP 공격력 강화제 10개
zts1007e	PvP 방어력 강화제 5개
zts1008e	PvP 방어력 강화제 10개
zts1009e	PvP 저항력 강화제 5개
zts1010e	PvP 저항력 강화제 10개
zts1011e	패밀리 소환 뿔나팔 5개
zts1012e	패밀리 소환 뿔나팔 10개
zts1013e	4차 행운의 열쇠
zts1014e	사용시 다양한 등급의 보물상자를 얻을 수 있다.[n]나온 상자를 열면 다양한 아이템 중 한 개를 받을 수 있다.[n][n][전설적인 보물상자][n]아쿠아 토리 구슬, 스페셜리스트 메달, 상급 카드 보호스크롤, 하급 카드 보호스크롤, 포인트 초기화 물약 중 1개[n][신비로운 보물상자][n]남성용 분홍색한복/호건(30일), 남성용 용무늬 치파오/강시 모자(30일), 남성용 달빛 음양사 복장/오모자(30일), 여성용 진달래 한복/아얌(30일), 여성용 보라매화 치파오/황후 머리장식(30일), 여성용 벚꽃색 기모노/꽃무늬 비녀(30일) 중 1개[n][고대의 보물상자][n]실로안의 샘물, 펫의 배달바구니, 모험가의 배낭/파트너의 배낭, 안셀로안의 축복, 장비 보호 스크롤 중 1개[n][고급스러운 보물상자][n]2회용 지름신의 축복 부적, 등급고정 해제 스크롤, 강력한 부적, 튼튼한 부적, 펫 이름표 중 1개[n][좋아 보이는 보물상자][n]파트너용 탕약, 수호신의 축복, 페어리 부스터, 내구력 충전 쿠폰, 생산 포인트 쿠폰 중 1개[n]
zts1015e	4차 행운의 열쇠 1개
zts1016e	4차 행운의 열쇠 5개
zts1017e	4차 행운의 열쇠 10개
zts1018e	남성 전통 모자 상자
zts1019e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 내구력 충전 쿠폰, 하급 카드 보호스크롤, 생산량 2배 쿠폰, 호건(30일), 강시모자(30일), 오모자(30일) 중 1개를 얻을 수 있다.[n]
zts1020e	여성 전통 모자 상자
zts1021e	여성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 내구력 충전 쿠폰, 하급 카드 보호스크롤, 생산량 2배 쿠폰, 황후 머리장식(30일), 꽃무늬 비녀(30일), 아얌(30일) 중 1개를 얻을 수 있다.[n]
zts1022e	여성 전통 의상 상자A
zts1023e	여성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 파트너용 탕약, 등급고정 해제 스크롤, 장비 보호 스크롤, 수호신의 축복, 진달래 한복(30일), 노을빛 한복(30일), 무궁화 한복(30일) 중 1개를 얻을 수 있다.[n]
zts1024e	여성 전통 의상 상자B
zts1025e	여성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 우정의 날개, 파트너용 탕약, 하급 카드 보호스크롤, 펫 이름표, 보라매화 치파오(30일), 빨강봉황 치파오(30일), 신감각 치파오(30일) 중 1개를 얻을 수 있다.[n]
zts1026e	여성 전통 의상 상자C
zts1027e	여성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 안셀로안의 축복, 장비 보호 스크롤, 파트너용 탕약, 중간 스페셜 충전제, 상급 카드 보호스크롤, 벚꽃색 기모노(30일), 귀여운 무늬 기모노(30일), 쿠노이치 복장(30일) 중 1개를 얻을 수 있다.[n]
zts1028e	남성 전통 의상 상자A
zts1029e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 파트너용 탕약, 등급고정 해제 스크롤, 장비 보호 스크롤, 수호신의 축복, 분홍색 한복(30일), 색동 저고리(30일), 전통 한복(30일) 중 1개를 얻을 수 있다.[n]
zts1030e	남성 전통 의상 상자B
zts1031e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 우정의 날개, 파트너용 탕약, 하급 카드 보호 스크롤, 펫 이름표, 무림고수 치파오(30일), 황제 치파오(30일), 용무늬 치파오(30일) 중 1개를 얻을 수 있다.[n]
zts1032e	남성 전통 의상 상자C
zts1033e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 안셀로안의 축복, 장비 보호 스크롤, 파트너용 탕약, 중간 스페셜 충전제, 상급 카드 보호스크롤, 달빛 음양사 복장(30일), 햇빛 음양사 복장(30일), 다다미무늬 기모노(30일) 중 1개를 얻을 수 있다.[n]
zts1034e	곰돌이 의상 상자
zts1035e	남녀공용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 팬더모자(30일), 팬더 옷(30일), 반달곰 모자(30일), 반달곰 옷(30일), 하급 카드 보호스크롤, 안셀로안의 축복, 세뱃돈 봉투, 실로안의 샘물, 생산량 2배 쿠폰, 파트너용 탕약, 파트너의 배낭(30일), 최고급 펫먹이 중 1개를 얻을 수 있다.[n]
zts1036e	오피스 레이디 의상 상자
zts1037e	여성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제, 사무복(30일), 큐티 레이디(30일), 학교 교복(30일) 중 1개를 얻을 수 있다.[n]
zts1038e	여성 츄리닝 의상 상자
zts1039e	여성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제, 블루스카이 스포츠웨어(30일), 핫 핑크 스포츠웨어(30일), 블랙 엔 화이트(30일) 중 1개를 얻을 수 있다.[n]
zts1040e	남성 자켓 의상 상자
zts1041e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제, 스마트 진(30일), 파이어 진(30일), 포레스트 진(30일) 중 1개를 얻을 수 있다.[n]
zts1042e	남성 모험가 의상 상자
zts1043e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제, 밀리터리 진(30일), 탐험가 복장(30일), 헤비메탈 진(30일) 중 1개를 얻을 수 있다.[n]
zts1044e	남성 힙합 의상 상자
zts1045e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제, 불꽃 츄리닝(30일), 힙합 츄리닝(30일) 중 1개를 얻을 수 있다.[n]
zts1046e	남성 쿵푸 의상 상자
zts1047e	남성용 코스튬 아이템이 숨겨져 있는 마법의 상자.[n]상자를 열어 장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제, 격투가 츄리닝(30일), 패션 츄리닝(30일) 중 1개를 얻을 수 있다.[n]
zts1048e	에너지 업그레이드 상자
zts1049e	스페셜리스트 카드 강화에 필요한 재료가 담겨 있는 마법의 상자.[n]상자를 열어 빛나는 맑은 영혼, 빛나는 녹색 영혼, 빛나는 붉은 영혼, 보름달의 수정, 천사의 날개, 하급 카드 보호 스크롤, 상급 카드 보호 스크롤 중 1개를 얻을 수 있다.[n]
zts1050e	유저 코스튬 의상 선물상자
zts1051e	여성용 요정 의상 선물상자
zts1052e	남성용 악마 의상 선물상자
zts1053e	리본 머리띠(1일)
zts1054e	신사모(1일)
zts1055e	팅커벨(1일)
zts1056e	화이트 데빌(1일)
zts1057e	영원한 귀여움의 상징!
zts1058e	팅커벨
zts1059e	팅커벨 (7일)
zts1060e	팅커벨 (30일)
zts1061e	팅커벨 (영구)
zts1062e	나는야 노스테일의 마왕!
zts1063e	화이트 데빌
zts1064e	화이트 데빌 (7일)
zts1065e	화이트 데빌 (30일)
zts1066e	화이트 데빌 (영구)
zts1067e	귀여운 리본을 달자!
zts1068e	리본 머리띠
zts1069e	리본 머리띠 (7일)
zts1070e	리본 머리띠 (30일)
zts1071e	리본 머리띠 (영구)
zts1072e	젠틀맨이 되자!
zts1073e	신사모
zts1074e	신사모 (7일)
zts1075e	신사모 (30일)
zts1076e	신사모 (영구)
zts1077e	말레이시아 이벤트용
zts1078e	우정의 날개 (이벤트용)
zts1079e	안셀로안의 축복 (이벤트용)
zts1080e	파트너용 탕약 (이벤트용)
zts1081e	매우큰 전체 회복제 (이벤트용)
zts1082e	수호신의 축복 (이벤트용)
zts1083e	5차 행운의 열쇠
zts1084e	사용시 다양한 등급의 보물상자를 얻을 수 있다.[n]나온 상자를 열면 다양한 아이템 중 한 개를 받을 수 있다.[n][n][전설적인 보물상자][n]토리토리 구슬, 블랙토리 구슬, 검투사 토리 구슬, 감기걸린 토리 구슬, 아쿠아 토리 구슬, 초대형 2층 창고(영구), 상급카드보호스크롤/천사의 날개 중 1개[n][신비로운 보물상자][n]30일짜리 남성용 코스튬 아이템인 색동저고리/호건, 무림고수 치파오/강시모자, 햇빛 음양사 복장/오모자, 화이트 데빌/신사모, 30일짜리 여성용 코스튬 아이템인 노을빛 한복/아얌, 빨강봉황 치파오/황후 머리 장식, 귀여운 무늬 기모노/꽃무늬 비녀, 팅커벨/리본 머리띠 중 1개[n][고대의 보물상자][n]실로안의 샘물, 안셀로안의 축복, 가방 10일 패키지, 하급 카드 보호스크롤/천사의 날개, 장비 보호 스크롤 중 1개[n][고급스러운 보물상자][n]2회용 지름신의 축복 부적, 등급고정 해제 스크롤, 강력한 부적, 튼튼한 부적, 펫 이름표 중 1개[n][좋아 보이는 보물상자][n]파트너용 탕약, 수호신의 축복, 페어리 부스터, 내구력 충전 쿠폰, 생산 포인트 쿠폰 중 1개[n]
zts1085e	페어리 부스터 1개
zts1086e	이벤트 선물상자 B
zts1087e	말레이시아 판매용
zts1088e	장비 보호 스크롤 10개
zts1089e	안셀로안의 축복 1개
zts1090e	등급고정 강화부적 5개
zts1091e	실로안의 샘물 99개
zts1092e	5차 행운의 열쇠 1개
zts1093e	5차 행운의 열쇠 5개
zts1094e	5차 행운의 열쇠 10개
zts1095e	08보상 선물상자
zts1096e	기간 한정 초대박 아이템
zts1097e	남성용 토끼의상 계절한정 마법상자
zts1098e	계절 한정 스페셜 선물상자.[n]사용시 다음 아이템 중 한 개를 얻을 수 있다[n][특수 아이템][n]아쿠아토리 펫 구슬[n][코스튬 아이템][n]멋쟁이 토끼 옷, 멋쟁이 토끼 모자, 털토끼 옷, 털토끼 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1099e	여성용 토끼의상 계절한정 마법상자
zts1100e	계절 한정 스페셜 선물상자.[n]사용시 다음 아이템 중 한 개를 얻을 수 있다[n][특수 아이템][n]아쿠아토리 펫 구슬[n][코스튬 아이템][n]가죽 토끼 옷, 가죽 토끼 모자, 화사한 토끼 옷, 화사한 토끼 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1101e	여성용 큐트 강아지 의상 마법상자
zts1102e	사용시 다음 아이템 중 한 개를 얻을 수 있다[n][코스튬 아이템][n]날렵한 강아지 옷, 날렵한 강아지 모자, 초롱초롱한 강아지 옷, 초롱초롱한 강아지 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1103e	남성용 멋쟁이 강아지 의상 마법상자
zts1104e	사용시 다음 아이템 중 한 개를 얻을 수 있다[n][코스튬 아이템][n]샴 옷, 샴 모자, 러시안 블루 옷, 러시안 블루 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1105e	여성용 큐트 고양이 의상 마법상자
zts1106e	사용시 다음 아이템 중 한 개를 얻을 수 있다[n][코스튬 아이템][n]흑색 파마 사자 옷, 흑색 파마 사자 모자 모자, 갈색 파마 사자 옷, 갈색 파마 사자 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1107e	남성용 멋쟁이 고양이 의상 마법상자
zts1108e	사용시 다음 아이템 중 한 개를 얻을 수 있다[n][코스튬 아이템][n]멋있는 강아지 옷, 멋있는 강아지 모자, 순한 강아지 옷, 순한 강아지 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1109e	여성용 큐트 사자의상 마법상자
zts1110e	사용시 다음 아이템 중 한 개를 얻을 수 있다[n][코스튬 아이템][n]아메리칸 숏헤어 옷, 아메리칸 숏헤어 모자, 코레트 옷, 코레트 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1111e	남성용 멋쟁이 사자의상 마법상자
zts1112e	사용시 다음 아이템 중 한 개를 얻을 수 있다[n][코스튬 아이템][n]검은 사자 옷, 검은 사자 모자, 황금 사자 옷, 황금 사자 모자 (30일/영구)[n][캐시 아이템][n]장비 보호 스크롤, 등급고정 해제 스크롤, 페어리 부스터, 수호신의 축복, 똑똑한 펫먹이, 안셀로안의 축복, 중간 스페셜 충전제[n]
zts1113e	6차 행운의 열쇠
zts1114e	사용시 다양한 등급의 보물상자를 얻을 수 있다.[n]나온 상자를 열면 다양한 아이템 중 한 개를 받을 수 있다.[n][n][전설적인 보물상자][n]블랙 토리 구슬, 복돼지 구슬, 반달곰 의상/모자(영구), 북극곰 의상/모자(영구), 상급 카드 보호 스크롤/천사의 날개, 영혼 부활석 중 1개[n][신비로운 보물상자][n]남성용 코스튬 아이템인 전통 한복/호건(30일), 황제 치파오/강시모자(30일), 다다미무늬 기모노/오모자(30일), 화이트 데빌/신사모(30일)과 여성용 코스튬 아이템인 무궁화 한복/아얌(30일), 신감각 치파오/황후 머리 장식(30일), 쿠노이치 복장/꽃무늬 비녀(30일), 팅커벨/리본 머리띠(30일) 중 1개[n][고대의 보물상자][n]실로안의 샘물, 마법의 지우개, 안셀로안의 축복, 가방 10일 패키지, 하급 카드 보호 스크롤천사의 날개, 장비 보호 스크롤 중 1개[n][고급스러운 보물상자][n]2회용 지름신의 보호 부적, 등급고정 해제 스크롤, 강력한 부적, 튼튼한 부적, 펫 이름표 중 1개[n][좋아 보이는 보물상자][n]파트너용 탕약, 수호신의 축복, 페어리 부스터, 내구력 충전 쿠폰, 생산 포인트 쿠폰 중 1개[n]
zts1115e	6차 행운의 열쇠 1개
zts1116e	6차 행운의 열쇠 5개
zts1117e	6차 행운의 열쇠 10개
zts1118e	타인의 체취를 지우자!
zts1119e	향긋한 향수
zts1120e	다른 캐릭터의 전용 아이템을 자신의 아이템으로 바꿀 때 필요한 향수[n][사용방법][n]향긋한 향수를 더블클릭하면 전용 아이템 전환 창이 출력된다. 해당 창에 타인의 전용 아이템을 올려놓고 전환 버튼을 눌러 자신의 전용 아이템으로 전환할 수 있다.[n][주의사항][n]바꾸려는 아이템의 레벨, 레어 등급에 따라 필요한 향수의 개수가 달라진다.[n]
zts1121e	향긋한 향수 20개
zts1122e	향긋한 향수 50개
zts1123e	향긋한 향수 99개
zts1124e	향긋한 향수 90개
zts1125e	GSP용
zts1126e	숨겨진 아이템을 찾아라
zts1127e	패션 남성용 상자 A(모자)
zts1128e	남성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]검은 사자 모자(영구)[n]검은 사자 모자(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1129e	패션 남성용 상자 A(의상)
zts1130e	남성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]검은 사자 옷(영구)[n]검은 사자 옷(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1131e	패션 남성용 상자 E(모자)
zts1132e	남성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]코레트 모자(영구)[n]코레트 모자(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1133e	패션 남성용 상자 E(의상)
zts1134e	남성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]코레트 옷(영구)[n]코레트 옷(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1135e	패션 여성용 상자 A(모자)
zts1136e	여성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]흑색 파마 사자 모자(영구)[n]흑색 파마 사자 모자(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1137e	패션 여성용 상자 A(의상)
zts1138e	여성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]흑색 파마 사자 옷(영구)[n]흑색 파마 사자 옷(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1139e	패션 여성용 상자 E(모자)
zts1140e	여성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]러시안 블루 모자(영구)[n]러시안 블루 모자(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1141e	패션 여성용 상자 E(의상)
zts1142e	여성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]러시안 블루 옷(영구)[n]러시안 블루 옷(7일)[n]큰 HP 회복제[n]큰 MP 회복제[n]큰 전체 회복제[n]스페셜포인트 충전제[n]
zts1143e	사용시 0~9 등급까지의 스페셜리스트 카드를 강화 할 수 있는 창이 나온다.[n]이 창에서 강화를 할 경우 실패 해도 스페셜리스트 영혼이 소멸이 되지 않으며, 빛나는 녹색 영혼과 빛나는 붉은 영혼이 사라지지 않는다.[n][사용방법][n]더블클릭시 카드 강화 창이 출력된다.[n]이 창에서 강화를 하면 보호스크롤이 1개 감소되며 카드를 보호 받을 수 있다.[n]
zts1144e	사용시 10~14 등급까지의 스페셜리스트 카드를 강화 할 수 있는 창이 나온다.[n]이 창에서 강화를 할 경우 실패 해도 스페셜리스트 영혼이 소멸이 되지 않으며, 빛나는 맑은 영혼이 사라지지 않는다.[n][사용방법][n]더블클릭시 카드 강화 창이 출력된다.[n]이 창에서 강화를 하면 보호스크롤이 1개 감소되며 카드를 보호 받을 수 있다.[n]
zts1145e	대만 판매용
zts1146e	페가수스 펫 구슬
zts1147e	큐티 레빗 펫 구슬
zts1148e	패션 남성용 상자 C(모자)
zts1149e	남성용 코스튬 아이템이 숨겨져 있는 상자.[n]상자를 열어서 다양한 아이템 중 한 개를 얻을 수 있다.[n][얻을 수 있는 아이템][n]털토끼모자(영구)[n]털토끼모자(7일)[n]큰 HP 회복제 30개[n]큰 MP 회복제 30개[n]큰 전체 회복제 30개[n]스페셜포인트 충전제[n]
zts1150e	패션 남성용 상자 C(의상)
