zts1e	밀라노 장비상점 (사용)
zts4742e	이미 돌아간 지 오래… 뭐, 해독제라는 걸 받으러 왔다던가.
zts4743e	이런… 한 발 늦었군.
zts4744e	뭐 원한다면 지금 켄코가 어디에 있는지 가르쳐 줄 수도 있는데.
zts4745e	어디에 있는지 안다는 거냐??
zts4746e	당연. 하핫.
zts4747e	지금 당장... 알려줄 수 있어?
zts4748e	물론. 받은 대가는 정확히 계산하는 것이 내 성격이지. 하핫!!
zts4749e	(혼잣말) 밀라노의 누구와 정말 비교되는군...
zts4750e	케넬.
zts4751e	네. 주군.
zts4752e	흩어진 병사들을 다시 모아라. 전열을 정비해라. 전쟁이다. 우리의 형제를 응징하기 위한 전쟁.
zts4753e	알겠습니다. 주군!!
zts4754e	그리고 인간.
zts4755e	너희와의 전쟁은 이렇게 마무리될 수 밖에 없겠구나.
zts4756e	그 이야기는…
zts4757e	휴전이다.
zts4758e	…아, 슬프구나. 형제여!! 형제여!!!
zts4759e	퀘스트 얻기
zts4760e	종료하기
zts4761e	장비 지르기!
zts4762e	인생은 한방이야! 한번 질러보지 않을래?
zts4763e	전직신청
zts4764e	패밀리관련
zts4765e	퀘스트얻기
zts4766e	스킬배우기
zts4771e	개인 아레나
zts4772e	패밀리 아레나
zts4773e	타임서클
zts4774e	마을이동
zts4775e	부활위치지정
zts4776e	일반대화폼
zts4777e	연구소용
zts4778e	으음... 이건…
zts4779e	음... 대단한걸요… 이거.
zts4780e	아무튼 이걸로 재밌는 걸 만들 수 있을 거 같은데…
zts4781e	지나스신... 지나스신의 화신이랄까요... 아무튼... 그 지나스의 화신이 아마… 연구소를… 그렇게…
zts4782e	아무튼 잠시만… 으으음… 자, 여기… 이거…
zts4783e	방금 말씀드린 인장인데… 이걸로 쉐도우지나스를… 아마 만날 수도…
zts4784e	여기 이 연구기록에 따르면... 헤헤헤… 뭐… 장담은 못하겠지만…
zts4785e	아, 그러고보니 아직도 무기가 나무토막이로군요!!
zts4786e	축하축하! 두번째 펫 [순한백양]을 획득하셨습니다!!
zts4787e	역시 뭔가 일어날 것만 같은 곳이야…
zts4788e	어이. 거기서 뭐해?
zts4789e	아, 그냥 이것 저것 알아보는 중이죠.
zts4790e	훗. 한가하구먼. 잘 됐어. 부탁 좀 할까.
zts4791e	수비대원 : 장비상점에 가서 수리맡겼던 무기 좀 찾아와 줬으면 싶은데 괜찮겠어?
zts4792e	네. 물론이죠!
zts4793e	호오!! 화끈하구만!! 좋아! 거래성립!
zts4794e	기쁜 소식이예요!! 코아렌의 군대가 모두 크렘산지 쪽으로 철수했습니다!! 드디어 전쟁이 끝난거지요!!
zts4795e	휴우… 결국 이렇게 해결된거인가요?
zts4796e	그런데… 표정이 그리 밝지 않으시네요?
zts4797e	뭐… 아직 끝난 것 같은 기분이 아니라… 하하하…
zts4798e	후훗… 많이 지치신 탓일 거예요. 자, 그건 그렇고 평화로운 시대에도 우리의 노스캠프는 여전히 바쁘답니다!!
zts4799e	새로운 일이로군요. 말씀하세요.
zts4800e	라울씨가 마법재료의 수집을 부탁하셨어요. 꽤 바쁘신 모양이던데, 서둘러주세요! 그리고 벨로치카씨가 요리재료가 급하게 필요하다고 알려왔어요! 덩달아 부탁드려요!!
zts4801e	자, 여기 받으세요!
zts4802e	마법재료의 수집… 부탁하셨잖아요?
zts4803e	아… 그런가요?
zts4804e	네. 그래요.
zts4805e	아하!! 기다리고 있었다구요!
zts4806e	하하.
zts4807e	그럼 오늘도 파이팅!! 수고많은 노스캠프 여러분!!
zts4808e	하하. 넵.
zts4809e	그러고보니 보물찾기는 잘 되가고 있나 몰라!!
zts4810e	네? 보물찾기요?
zts4811e	요즘 노스캠프, 보물찾기 때문에 꽤나 바쁘다고 들었는데… 아닌가요??
zts4812e	흐음… 에릴씨에게 물어봐야겠군요.
zts4813e	아앗!! 따돌림당하신 거구나!!!
zts4814e	하하... 서... 설마요...
zts4815e	이런이런!! 노스캠프에 왕따사건 발생!!!
zts4816e	지, 진정하세요!! 설마 그럴리가 있겠어요.
zts4817e	아녜요! 이건 틀림없는 왕.따.사.건!! 자, 어서 에릴씨한테 가서 확실하게 따지시라구요!
zts4818e	(혼잣말) 왠지 벨로치카... 즐거워보이잖아!!
zts4819e	저기, 에릴! 에릴!
zts4820e	아! 무슨 일이신가요?
zts4821e	벨로치카에게 들었는데… 보물찾기라니… 무슨 소리죠?
zts4822e	아… 그게…….
zts4823e	말씀해주세요!!
zts4824e	으음… 이게… 사실 숨겨진 보물에 대한 제보가 있긴 했어요.
zts4825e	그런데 왜 아무 이야기도 안해주신 거지요?
zts4826e	으음… 그 출처가… 어중이씨라서…
zts4827e	하하. 뭐 아시다시피 워낙 두서없이 말이 앞서는 분이라 믿음이 안가서 말이죠.
zts4828e	그, 그렇군요...
zts4829e	개인적으로 관심있으시다면 어중이씨를 한 번 만나보시는 것도 좋겠지요. 다만...
zts4830e	네... 확실히 노스캠프에서의 지원은 없다... 그 이야기겠죠?
zts4831e	빙고!!
zts4832e	혹시… 숨겨진 보물에 대해 들려주실 수 있어요?
zts4833e	숨겨진 보물이라…
zts4834e	에릴씨에게 다 들었다구요. 도대체 숨겨진 보물이라는 게 뭐지요?
zts4835e	후후… 이 어리석은 친구야. 내가 너에게 해줄 수 있는 말은 아무것도 없구나!!
zts4836e	무슨 소리지요? 그 이유가 뭔가요??
zts4837e	미지의 어둠 속에 숨겨진… 금단의 보물!! 그것을 손에 넣을 자에게 묻노니… 네 가지의 미덕을 아느냐?
zts4838e	네 개의… 미덕?
zts4839e	첫 번째 미덕은 동정!!! 타인의 어려움을 살피고 그 어려움을 측은히 여길 수 있는 자만이 보물을 손에 넣을 수 있다!!
zts4840e	두 번째 미덕은 희생!!! 타인을 위해 자신을 저버릴 수 있는 그 마음을 가진 자만이 보물을 손에 넣을 수 있다!!
zts4841e	(그... 그런가?)
zts4842e	세 번째 미덕은 봉사!!! 타인의 이로움을 위해 서슴지 않고 행동하는 자만이 보물을 손에 넣을 수 있다!!
zts4843e	(점점... 느낌이 안좋은 걸...)
zts4844e	네 번째 미덕은 베품!!! 자신이 가진 모든 것을 남을 위해 던질 수 있는 자만이 보물을 손에 넣을 수 있다!!
zts4845e	저기... 혹시... 제게 뭐 부탁하실 일이 있으셔서... 그러시는 건가요?
zts4846e	흠흠.
zts4847e	부탁을 들어드리면... 보물에 대해 알려주실 수 있다는 거... 맞죠?
zts4850e	서부광산지역에 가면... 아마 찾을 수 있을텐데... 거기에 말이야.... 이른바 슈퍼장비셋트라고 있을 거거든.
zts4851e	슈퍼장비셋트???
zts4852e	그게 모두 네 가지거든. 내가 그것들이 좀 필요하거든.
zts4853e	일단... 가져다드릴께요. 그럼 되는 거죠?
zts4854e	흠흠흠!
zts4855e	(혼잣말) 역시... 어중이씨답군.
zts4856e	오오오!!!
zts4857e	자, 이제 됐죠?
zts4858e	오오오오오!!!
zts4859e	이제 약속대로… 숨겨진 보물에 대해 알려주세요!!
zts4860e	좋았어!! 자격을 갖춘 이를 홀대할 수는 없는 법!! 자, 보물이 숨겨진 곳을 표시해주지!!
zts4861e	이, 이, 이, 이, 이게 뭐죠???
zts4862e	글…쎄요.
zts4863e	그거 저리 치워욧!!!
zts4864e	죄, 죄송…
zts4865e	…결국 망신만 당하고 말았다…
zts4866e	하하하. 어중이씨가 말하던 보물이라는 게… 그 조각상이었군요.
zts4867e	네… 그렇습니다.
zts4868e	재미있어 보이는 조각입니다. 한 번 구경해봐도 될까요?
zts4869e	여기…요.
zts4870e	흐음… 이거…
zts4871e	뭔가… 이상한 점이라도?
zts4872e	이…거 크레아노 지방의 코볼트들이 사용하는 주술석입니다.
zts4873e	크레아노의 코볼트들이라면... 켄코?
zts4874e	그렇겠지요. 흐음... 이 주술석 최근에 사용된 물건입니다. 다시 말해, 켄코들이 아직 밀라노지방 부근에 머무르고 있다는 소리입니다.
zts4875e	켄코들이... 아직 크레아노 지방으로 돌아가지 않았다는 증거겠군요.
zts4876e	요즘... 코아렌과 켄코의 전쟁에 대한 소문이 여기저기에서 들려오고 있습니다. 아무래도 조사해볼 필요가 있겠는걸요.  어떤 식으로든 우리 밀라노에 여파가 미칠 것 같습니다. 큰일이로군요.
zts4877e	...결국 이렇게 되는군.
zts4878e	어느 정도 알고 계셨나봅니다.
zts4879e	네. 저... 아무래도 코아렌들을 다시 한 번 만나봐야 되겠어요!!
zts4880e	흐음... 페르논신전 부근에 코아렌의 첩보원들이 활동한다는 이야기를 다른 모험가로부터 들었습니다. 한 번 조사해 보셨으면 좋겠군요.
zts4881e	넌 누구냐!!
zts4882e	아… 아… 진정하세요. 저는 그저…
zts4883e	나와 싸울 생각은 없나보군. 그렇다면 비켜라.
zts4884e	잠시만요! 저는 그저 크르코아렌이 걱정이 되어서...
zts4885e	훗. 감히 주군의 이름을 함부로 놀리다니. 꺼져. 나는 여기서 너의 역겨운 이야기를 듣고 있을 틈이 없다!!
zts4886e	잠시만요!! 지금 당신들이 켄코와 대립중이라는 거 알고 있습니다. 저는 그저...
zts4887e	이것봐. 지금 내 동료가 켄코에게 붙잡혀 언제 죽을지 모르는 판인데… 네놈따위 눈에 들어올 거나 같아? 어서 꺼지라구.
zts4888e	(혼잣말) 더 보채봐야 소용없겠군... 그런데 붙잡힌 동료라...
zts4889e	…왜 우리를 돕는 거지?
zts4890e	맹랑하군.
zts4891e	저는… 당신들과 적이 되고 싶지 않아요!
zts4892e	저는… 단지 여러분을 돕고 싶을 뿐입니다.
zts4893e	후우… 주군과 케넬공은 너를 해치지 말라 하셨지.
zts4894e	뭐… 네 멋대로 해봐도 좋아.
zts4895e	가, 감사합니다!
zts4896e	우리를 돕고 싶다고 했지? 그렇다면 수상한 곳이 하나 있는데… 좀 살펴봐 줄 수 있을까?
zts4897e	물론이예요!!
zts4898e	파견을 떠난 동료들의 소식이 통 없어서 말이야... 부탁하겠어.
zts4899e	말씀하신 곳에는… 코아렌 동료들 외에는 특별한 것 없더군요.
zts4900e	흐음… 다행이네.
zts4901e	하지만… 갑자기 공격을 당해서… 하마터면 큰일날 뻔 했어요.
zts4902e	훗. 이해해달라구. 우리 코볼트는 인간을 아주 싫어할 뿐더러… 바로 얼마전까지 전쟁이었잖아?
zts4903e	뭐… 그렇긴 하죠.
zts4904e	네가 없는 동안 알아낸 사실인데... 켄코의 보급부대가 최근 페르논신전 부근에 도착했더군.
zts4905e	아무래도 보급부대가 지원하는 보급품의 정체가 좀 수상하거든. 좀 알아볼 필요가 있어.
zts4906e	제가 한 번 나서보도록 하지요!!
zts4907e	흐음. 그럴 필요까지는 없는데. 위험할 뿐더러... 이건 누가 뭐래도 우리 문제니까.
zts4908e	코아렌과 켄코는 이미 완전히 돌아선 상황이지요. 차라리 인간인 제 쪽이 더 안전할겁니다.
zts4909e	하핫!! 그건 억지군!!
zts4910e	하지만 확실한 건... 전 해낼 자신이 있다구요!!
zts4911e	진심...이야?
zts4912e	물론!!
zts4913e	...미안해. 사실 누군가는 해야 할 일이지만... 할 수 있을 리가 없잖아... 우리들이...
zts4914e	맡겨주세요!!
zts4915e	그럼 부탁할께... 일단 그들이 마시고 있는 음료... 꽤 수상해. 몇 개만 확보하면 될 거 같은데.
zts4916e	대단하네… 이걸 어떻게….
zts4917e	하하… 뭐, 뭘요!!
zts4918e	일단 이 음료, 분석해봐야겠군. 그 결과는 따로 알려주지. 그런데…
zts4919e	그들이 비상식량 삼아 가지고 다니는 물건이 있다던데… 그것도 몇 개만 확보할 수 있을까?
zts4920e	걱정마세요!!!
zts4921e	빠르군. 이걸 벌써…
zts4922e	후훗. 걱정마시라고 했잖아요. 그런데 그 음료, 뭔가 알아낸 거라도 있나요?
zts4923e	흐음… 일종의 환각성분 같은 거라고나 할까. 그런데 그렇다고도 말하기 힘들고…
zts4924e	그게… 환각성분은 분명 들어있는데… 사실 그게 우리 몸에 들어와봤자… 별 작용을 일으키는 거 같지가 않거든.
zts4925e	…모를 일이네요.
zts4926e	뭐… 이 개껌을 조사해보면 좀 더 정확해지겠지. 그런데...
zts4927e	그들이 부상병들에게 사용한다는 이상한 가루약... 그게 마음에 걸려.
zts4928e	그, 그게 왜지요?
zts4929e	그 약을 사용하면... 순식간에 멀쩡해진다는 이상한 소문이 있어서...
zts4930e	일단 제가 몇 개 확보해 보겠어요!!
zts4931e	미안하군. 자꾸 어려운 부탁만 하게 되니.
zts4932e	이게 바로 그 약이라는 거군.
zts4933e	그 개껌말인데… 음료와 함께 섞으니… 무서운 음료가 되던 걸.
zts4934e	네? 그게 무슨 이야기죠?
zts4935e	그걸 마시면… 반쯤 미쳐버린다고 해야할까. 오로지… 싸움밖에 모르는 괴물이 되어 버려.
zts4936e	그… 그렇군요.
zts4937e	아마 이 가루약도 마찬가지일 것 같군.
zts4938e	잠시 기다려주겠어? 이 약을 분석결과… 곧 나올테니 말이야!!
zts4939e	...약을 가지고 잠시 떠나는 첩보대원... 어느 정도 시간 경과 후...
zts4940e	이, 이거 큰일이야!!!
zts4941e	이 약을 사용하면... 잠시 동안 엄청난 힘을 가진 괴물이 되어버려!!
zts4942e	그리고는 곧 죽어버리지!!
zts4943e	무서운 약이로군요!
zts4944e	그런데 문제는... 킁의 부대가... 켄코의 패잔병들을 추격중이라구!! 패잔병 대다수가 부상당한 병사들이었어!! 그래서 쫓아간 것인데...
zts4945e	킁이 위험해!! 이, 이걸 어쩌지?
zts4946e	저, 잠시만요!!
zts4947e	저도… 동행하고 싶은데…
zts4948e	불가능합니다.
zts4949e	불가능?? 뭔가 이유라도 있는 건가요?
zts4950e	제가 지금 가려고 하는 곳은 인간에 대한 증오의 원념이 가득한 장소… 인간은 결코 발디딜 수 없는 땅입니다.
zts4951e	그… 그런…
zts4952e	아시다시피 우리는 인간이 아닙니다. 그럼 이만.
zts4953e	…바람처럼 사라지는 킁…
zts4954e	뭔가… 방법이 없을까?? 혹시 라울이라면…
zts4955e	이봐요, 라울!!
zts4956e	라울!!!
zts4957e	으으음…
zts4958e	라울!! 제 얘기 좀 들어봐요!
zts4959e	아, 아, 아!! 죄송합니다… 그게…
zts4960e	급해요. 혹시 페르논신전 주변에 인간이 갈 수 없는 땅에 대한 정보… 알고 계신가요?
zts4961e	아… 이유는 알 수 없지만... 그 곳에 머무르는 원혼... 인간을 증오한답니다... 그 누구도 갈 수 없답니다... 단...
zts4962e	단?
zts4963e	아, 그게... 당신이 인간이 아니라면 갈 수 있겠지요.
zts4964e	그, 그건 말이 안되잖아요!!
zts4965e	아... 그렇군요.
zts4966e	방법이 전혀 없는 건가요?
zts4967e	아...
zts4968e	제발요!
zts4969e	제가... 잠시동안... 그... 코볼트처럼 보이게 해드릴 수는 있는데...
zts4970e	어중이 메인퀘스트
zts4971e	19Lv 새로운 인연
zts4972e	에릴 메인퀘스트
zts4973e	25Lv 강력한 적
zts4974e	31Lv 잿빛 폭풍!
zts4975e	모건 메인 퀘스트
zts4976e	28Lv 라이벌
zts4977e	레이먼드 메인퀘스트
zts4978e	33Lv 전란의 소용돌이
zts4979e	39Lv 분열과 배신
zts4980e	베이먼 메인퀘스트
zts4981e	35Lv 아군과 적
zts4982e	단 만골드가 있다면 얘기가 달라지지!
zts4983e	만 골드?????
zts4984e	우하하하하!! 만 골드다!! 만 골드다!!
zts4985e	우하하하하하하!! 만 골드… 만 골드…
zts4986e	우하하하하하!! 만 골드!!!!
zts4987e	일단 착수금이 오만 골드.
zts4988e	우선 크레센도 경에게 찔러 줄 뇌물 삼만 골드는 확보됐으니...
zts4989e	저... 이만 골드는 어디에?
zts4990e	저... 정말인가요??
zts4991e	으음... 일단 이 흡수깔대기를 이용하면... 코볼트들의 기운을... 으음...
zts4992e	어떻게요?
zts4993e	코볼트들을 지치게 만든 다음에... 깔대기를 사용하면...
zts4994e	그 다음은요?
zts4995e	깔대기가... 그 코볼트 기운으로... 가득 차면... 그게... 중얼중얼~
zts4996e	좀 더 확실하게 알려주세요!!
zts4997e	으음... 일단 코볼트의 기운을 가득 채운 다음에 다시 얘기해 봐야겠어.
zts4998e	휴우… 이것으로 된 건가.
zts4999e	(목소리) 저기… 계신가요?
zts5000e	이, 이건… 라울??
zts5001e	(목소리) 하하… 그게… 저 맞습니다…
zts5002e	도대체 여긴 어떻게?? 여긴 위험하다구요!
zts5003e	(목소리) 아… 그게… 제가 요번에… 새로 만든 발명품인데… 그게…
zts5004e	(목소리) 그게… 멀리 있는 사람에게… 으음… 목소리를… 중얼중얼~
zts5005e	멀리있는 사람에게 목소리를 전달하는 장치… 맞나요?
zts5006e	(목소리) 아… 고마워요. 그거... 그거입니다...
zts5007e	아... 신기하네요. 아무튼!! 저 흡수깔대기를 가득 채웠다구요! 허상구슬인지가 생겼는데... 지금 돌아갈께요!
zts5008e	(목소리) 아... 그게 아니라... 저 버려진 마법사의 탑이라고... 아시나요?
zts5009e	그건 또 무슨 소리예요?
zts5010e	(목소리) 죄송한데... 거기에 있는 그... 이름은 잘 기억이 안나는 데... 하여간 부적이던가...
zts5011e	(목소리) 그게... 같이 필요.... 어? 이... 이...
zts5012e	지지지지지지지직!!!
zts5013e	...라울의 목소리가 끊겼다...
zts5014e	새 발명품이라는 거... 고장인가 보네. 아무튼 마법사의 탑이라고 했나?
zts5015e	라울!! 말씀하신 것들이예요.
zts5016e	중얼중얼…
zts5017e	라울!!
zts5018e	아… 아! 죄송합니다… 지금 발명품이 고장나서… 그게…
zts5019e	(혼잣말) 그걸 아직까지 고치고 있던 거군.
zts5020e	그런데… 무슨 일로…
zts5021e	여기 말씀하신 것들 구해왔다구요.
zts5022e	아… 이게 뭐죠?
zts5023e	아, 그랬었지… 죄송해요. 이것들… 으음… 충분해요. 잠시만요.
zts5024e	...시간경과...
zts5025e	여기... 이거...
zts5026e	이거면... 제가 잠시 코볼트처럼 보인다는 거... 맞나요?
zts5027e	아마... 그럴 거 같은데...
zts5028e	(혼잣말) 더 이상 말을 말자.
zts5029e	훗. 너냐. 인간.
zts5030e	이제 본격적인 전쟁이다. 켄코놈들… 배신의 대가를 톡톡히 치루게 하겠다.
zts5031e	그런데 켄코… 왜 배신을 한 걸까요?
zts5032e	후후. 언젠가는 알게 되겠지. 지금 그것을 고민하고 있을 때는 아니다. 결국 전쟁이니까.
zts5033e	…그렇군요.
zts5034e	우리 군의 주력은 켄코의 본진을 공략한다. 너는 여기에서 놈들의 퇴로를 끊어라.
zts5035e	알겠어요.
zts5036e	퇴로가 모두 차단되면 우리 첩보원 친구들을 통해 후방부대의 지원을 요청해주게. 할 수 있겠지?
zts5037e	물론입니다. 여기는 걱정마세요.
zts5038e	고맙군. 인간. 그럼 부디, 몸조심해라!
zts5039e	…지난 일을 설명 중…
zts5040e	알겠다. 우리도 바로 이동해야겠군.이미 주력부대는 켄코본진을 향해 출발했겠지?
zts5041e	아마도… 지금 쯤이라면요.
zts5042e	중요한 정보가 있다. 우리가 켄코의 은신처를 알아냈지. 아마 본격적으로 전투가 벌어지기 전에 켄코를 쓰러뜨릴 수 있다면…
zts5043e	전쟁은 바로 마무리가 될 수도?
zts5044e	물론.
zts5045e	…제가 가겠습니다. 위치를 알려 주세요.
zts5046e	일단… 다른 코볼트들에게 알려야겠어… 시간이 없어!! 서둘러야 해!!
zts5047e	케넬경이 사로잡혔다구?? 이런…
zts5048e	이를 어쩌지요?
zts5049e	당장 우리도 방법이 없군... 제기랄!!
zts5050e	…미안. 너에게 화 낼 일은 아닐텐데.
zts5051e	...이것 좀 봐 주세요… 켄코의 집무실에서 탈취한 문서입니다.
zts5052e	흐음… 이것은 크레아노 지방의 고대언어다. 킁이라면 아마 알 수 있을지도 모르겠군.
zts5053e	킁은 어디에??
zts5054e	이 근방일 거다. 만약 우리가 먼저 킁을 만나게 되면 네 이야기를 전해놓도록 하지.
zts5055e	부탁해요!!
zts5056e	너도 서둘러 킁을 찾거라!!
zts5057e	이, 이제 어디로 가야 하지요?
zts5058e	동쪽입니다… 자, 대략 이쯤이겠군요. 소용돌이 통로라고 불리우는…
zts5059e	소용돌이 통로??
zts5060e	저도 그 이상은 잘 모릅니다. 워낙 알려지지 않은 장소라서요. 분명한 것은 매우 위험한 장소라는 것. 그것은 틀림없습니다.
zts5061e	네… 가, 각오를 해야겠군요.
zts5062e	이… 이상해… 더 이상 앞으로 전진할 수가 없어!! 알 수 없는 마법의 기운… 혹시 라울이라면…
zts5063e	…지난 이야기를 설명하는 중…
zts5064e	아!! 죄송해요… 그, 성스러운 붉은 나뭇가지라고 아시나요?
zts5065e	갑자기 뜬금없이 붉은 나뭇가지라니요?
zts5066e	붉은 나뭇가지와… 성스러운 제단이 정화의 막대기를 만들게 되는데…
zts5067e	정화의 막대기??
zts5068e	성스러운 제단은… 으음… 버려진 마법사의 탑 8층…일 겁니다. 중얼중얼~
zts5069e	으음… 이봐요?
zts5070e	그러니까... 정화의 막대기를 가지고 있으면... 구불구불통로를 지나갈 수 있다는 이야기 맞죠?
zts5071e	(혼잣말) 뭐... 맞겠지.
zts5072e	이제는 버려진 마법사의 탑으로 가야겠군!
zts5073e	서, 성공이야!! 이게 바로 정화의 막대기!!
zts5074e	지맥은 모두 네 개입니다. 하지만 문제는 지맥들의 각각의 속성마법으로 보호받고 있다는 점이죠.
zts5075e	속성마법을 해제하려면 어떻게 해야할까요?
zts5076e	흐음… 아마 각각의 속성을 가지고 있는 마법용품을 사용해야할 것 같은데… 우선 이 주변을 잘 뒤져보도록 하지요. 뭔가 방법이 있을 겁니다.
zts5077e	자, 이제 모든 지맥이 끊겼어요!!
zts5078e	어서 서두르세요!! 페르논이 모든 힘을 차리기 전에 끝을 봐야 합니다!!
zts5079e	(목소리) 멈춰라!!
zts5080e	당신은 누, 누구??
zts5081e	(목소리) 페르논과 마주하고 싶은가.
zts5082e	누구시죠?
zts5083e	(목소리) 페르논의 분노는… 너희를 태워 재로 만들 것이다!!
zts5084e	당신은 누구시지요? 우리에게 원하는 게 무엇이지요?
zts5085e	(목소리) 나와 거래를 하자. 신전의 꼭대기에서 기다리겠노라.
zts5086e	...갑자기 찾아온 정적...
zts5087e	저 목소리... 믿을 수 있을까요?
zts5088e	앞을 보세요.
zts5089e	엄청난 마력의 오오라예요. 아까 그 목소리... 쉽게 무시할 수가 없겠군요.
zts5090e	자, 누구신지는 몰라도… 원하시는 게 뭐지요? 왜 우리를 부른 거지요?
zts5091e	나를… 죽여라!!!
zts5092e	조심하세요!! 엄청난 마력이예요!!
zts5093e	하하… 이제 나도 자유로군.
zts5094e	나… 모른다. 이곳에 속박된 이래 나의 시간은 멈췄다. 내가 누군지… 이곳이 어디인지… 아무것도 나는… 모른다.
zts5095e	무, 무슨 소리예요!! 저희는 페르논을, 페르논을 쓰러뜨려야 한다구요!!
zts5096e	하하… 페르논은 쓰러지지 않아.
zts5097e	나는… 아마… 페르논을 잠재우기 위한 열쇠였을 것이다. 너희를 만날 수 있었던 것은… 누군가... 페르논을 깨웟나보군.
zts5098e	그렇습니다.
zts5099e	고맙다. 난 이제 자유다... 난 이제... 이곳을 떠난다...
zts5100e	...속박된영혼의 몸이 점점 사라지고 있다!!...
zts5101e	이봐요!! 우리는 페르논을 쓰러뜨려야 한다구요!! 어떻게 하면! 어떻게 하면 페르논의 본체에 다다를 수 있는 거지요??
zts5102e	페르논이 허락하는 것은 페르논을 깨운 자... 페르논을 깨운 자의 마법의 상징... 그 외에는 죽음 뿐이다. 포기하라...
zts5103e	이봐요!! 이봐요!!
zts5104e	...속박된 영혼이 사라졌다...
zts5105e	이... 이런!!!
zts5106e	페르논을 깨운 자는 켄코...
zts5107e	...무슨 소리예요?
zts5108e	켄코가 사용했던 마법물품...이라면 저 무시무시한 마법진을 깨뜨릴 수 있다는 얘기지요!!
zts5109e	하지만 그걸 어디...에서...
zts5110e	그게 문제입니다만...
zts5111e	설마... 켄코의 마법물품이 있는 곳을 아시는 건가요?
zts5112e	지금 당장!! 지금 당장 밀라노마을로 돌아가야겠어요!! 노스캠프로!!
zts5113e	시간이 없어요!! 서둘러야 해요!!
zts5114e	셀빅!! 셀빅!!
zts5115e	아, 왜 이리 허둥대시는 건가요?
zts5116e	그때 제가 드렸던 그… 주문석!!
zts5117e	그… 크레아노의 주문석… 이상하게 생긴 물건 있잖아요!!
zts5118e	아… 그, 그거라면 여기에…
zts5119e	아…  네… 뭔지는 모르지만 도움이 되었다니 저 또한 영광입니다.
zts5120e	그래, 이거!! 이거라면!!!
zts5121e	이, 이젠 끝장이야!!
zts5122e	아직입니다. 할 수 있는 게 남아 있는 한, 계속 움직여야 합니다!!
zts5123e	방법이 남아 있기나 한건가요?
zts5124e	일단… 이 곳의 마법진은 완전히 와해된 것이 분명합니다. 그렇다면… 페르논의 심장으로 바로 돌진할 수 있을 지도 몰라요.
zts5125e	페르논의 심장…이라구요?
zts5126e	네. 만약 페르논의 심장을 멈출 수 있다면… 본체 또한 멈추게 될 겁니다.
zts5127e	그렇겠지요. 그랬다면 애초에 심장을 노렸을 것을.
zts5128e	믿어야 합니다. 할 수 있다고 말이죠! 자, 아직 포기하기는 이릅니다. 힘을 내세요!
zts5129e	우리는 도망치지 않는다. 우리는 패배하지 않는다. 자 형제들이여!! 나를 따르라!! 저 더러운 인간들의 목에 칼을 겨누어라!!
zts5130e	이 검은 석판은! 예전에 마물들이 연락할때 사용하던것과 같은거야!
zts5131e	그…런데 왜 제게 그런 얘기를 갑자기??
zts5135e	흠흠. 그게... 데굴데굴절벽이라고 말이야.
zts5136e	데굴데굴 절벽이요?
zts5137e	위험해요! 왜 따라온거죠?
zts5138e	대체 뭐가 위험하다는 거에요?
zts5139e	더이상 접근하지 마세요. 이 앞에는 무서운 마물이 있습니다!
zts5140e	마물?
zts5141e	코볼트가 아닌 생명체는 무조건 공격하는 무시무시한 녀석입니다. 데몬이 데리고 왔죠.
zts5142e	더이상 앞으로 나가지 마세요. 그럼.
zts5143e	밀라노 스킬등록소2(사용)
zts5151e	킹꼬닭인장얻기
zts5152e	밀라노 마을의 모든분들에게 알려드립니다.
zts5153e	지금 로펠로경이 소유한 양계장이 난폭해진 닭과 병아리들로 큰 위기에 처해 있습니다.
zts5154e	한때 양계장의 최고 영물이었던 킹꼬닭이 왜 난폭해 졌는지 이유는 아직 밝혀지지 않았습니다.
zts5155e	하지만 이 사태가 계속된다면 앞으로 신선한 달걀에 대한 미련은 접으셔야 할껍니다.
zts5156e	만약 그런 끔찍한 일이 벌어지는것을 바라지 않으신다면 당장 킹꼬닭을 잡아오세요.
zts5157e	시간이 없습니다. 당장 가세요. 내 말 잘 알아 들으셨습니까?
zts5158e	[로펠로 저택 집사 하마쿰]
zts5159e	이... 이거... 은근히 협박하는거 같은데?!!!
zts5160e	43Lv 신비의 보물을 찾아서
zts5161e	첩보대원 메인퀘스트
zts5162e	45Lv 새로운 동맹
zts5163e	48Lv 페르논의 나무
zts5164e	첩보대원 대화
zts5165e	정식서비스 이벤트
zts5166e	에릴1
zts5167e	에릴2
zts5168e	에릴3
zts5169e	에릴4
zts5170e	에릴5
zts5171e	에릴6
zts5172e	에릴7
zts5173e	아이템 받기
zts5174e	44Lv 새로운 동맹
zts5175e	코볼트인부 자자마루퀘스트
zts5176e	퀘스트받기
zts5177e	자자마루 퀘스트
zts5178e	저.. 안녕하세요?
zts5179e	지금은 바쁘니 좀 비켜주겠나!
zts5180e	…. (기분이 무척 안좋아 보이네..)
zts5181e	에잇! 이렇게 단단한걸 어떻게 부수란거야!!
zts5182e	저, 저기..
zts5183e	아직도 안갔나? 정말 귀찮은 친구로구만!!
zts5184e	그게 아니라.. (궁금한건 나중에 물어보자..) 힘들어 보이시는데.. 무슨 일인지 알려주시면 제가 좀 도와드릴까 해서요..
zts5185e	그, 그런거였나? 미안하네. 하지만 자네라도 별 수 없을거야.
